context: So, it's going pretty well with your girlfriend? response:	Yeah, it is. T-To tell the truth...
context: Hey...\Why are you trying to get close to me?\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So basically a pet?!\I see.\You're basically being charitable to all of the dogs and cats out there\since you have so much money. response:	Th-That's not it...
context: Why are you trying to get close to me?\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So basically a pet?!\I see.\You're basically being charitable to all of the dogs and cats out there\since you have so much money.\Th-That's not it... response:	That's not it! That's not it!
context: Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So basically a pet?!\I see.\You're basically being charitable to all of the dogs and cats out there\since you have so much money.\Th-That's not it...\That's not it! That's not it! response:	I feel like you're screaming out for help more than any cat or dog!
context: or a cat pitiably crying out for help...\So basically a pet?!\I see.\You're basically being charitable to all of the dogs and cats out there\since you have so much money.\Th-That's not it...\That's not it! That's not it!\I feel like you're screaming out for help more than any cat or dog! response:	So worse than a pet?!
context: So basically a pet?!\I see.\You're basically being charitable to all of the dogs and cats out there\since you have so much money.\Th-That's not it...\That's not it! That's not it!\I feel like you're screaming out for help more than any cat or dog!\So worse than a pet?! response:	Well, given how gloom and doom you are,
context: I see.\You're basically being charitable to all of the dogs and cats out there\since you have so much money.\Th-That's not it...\That's not it! That's not it!\I feel like you're screaming out for help more than any cat or dog!\So worse than a pet?!\Well, given how gloom and doom you are, response:	you need a friend like this.
context: You're basically being charitable to all of the dogs and cats out there\since you have so much money.\Th-That's not it...\That's not it! That's not it!\I feel like you're screaming out for help more than any cat or dog!\So worse than a pet?!\Well, given how gloom and doom you are,\you need a friend like this. response:	Souta-kun, you'll be my friend, won't you?!
context: since you have so much money.\Th-That's not it...\That's not it! That's not it!\I feel like you're screaming out for help more than any cat or dog!\So worse than a pet?!\Well, given how gloom and doom you are,\you need a friend like this.\Souta-kun, you'll be my friend, won't you?! response:	Since we're friends,
context: Th-That's not it...\That's not it! That's not it!\I feel like you're screaming out for help more than any cat or dog!\So worse than a pet?!\Well, given how gloom and doom you are,\you need a friend like this.\Souta-kun, you'll be my friend, won't you?!\Since we're friends, response:	can I go to your house, like friends do?!
context: That's not it! That's not it!\I feel like you're screaming out for help more than any cat or dog!\So worse than a pet?!\Well, given how gloom and doom you are,\you need a friend like this.\Souta-kun, you'll be my friend, won't you?!\Since we're friends,\can I go to your house, like friends do?! response:	I, uh...
context: I feel like you're screaming out for help more than any cat or dog!\So worse than a pet?!\Well, given how gloom and doom you are,\you need a friend like this.\Souta-kun, you'll be my friend, won't you?!\Since we're friends,\can I go to your house, like friends do?!\I, uh... response:	Oh, yeah. My house is a complete mess.
context: So worse than a pet?!\Well, given how gloom and doom you are,\you need a friend like this.\Souta-kun, you'll be my friend, won't you?!\Since we're friends,\can I go to your house, like friends do?!\I, uh...\Oh, yeah. My house is a complete mess. response:	Then, I'll clean!
context: Well, given how gloom and doom you are,\you need a friend like this.\Souta-kun, you'll be my friend, won't you?!\Since we're friends,\can I go to your house, like friends do?!\I, uh...\Oh, yeah. My house is a complete mess.\Then, I'll clean! response:	I'm a neat-freak, although I may not look it.
context: you need a friend like this.\Souta-kun, you'll be my friend, won't you?!\Since we're friends,\can I go to your house, like friends do?!\I, uh...\Oh, yeah. My house is a complete mess.\Then, I'll clean!\I'm a neat-freak, although I may not look it. response:	Uh huh!
context: Souta-kun, you'll be my friend, won't you?!\Since we're friends,\can I go to your house, like friends do?!\I, uh...\Oh, yeah. My house is a complete mess.\Then, I'll clean!\I'm a neat-freak, although I may not look it.\Uh huh! response:	Do as you like.
context: Since we're friends,\can I go to your house, like friends do?!\I, uh...\Oh, yeah. My house is a complete mess.\Then, I'll clean!\I'm a neat-freak, although I may not look it.\Uh huh!\Do as you like. response:	It's okay for me to like you?!
context: can I go to your house, like friends do?!\I, uh...\Oh, yeah. My house is a complete mess.\Then, I'll clean!\I'm a neat-freak, although I may not look it.\Uh huh!\Do as you like.\It's okay for me to like you?! response:	Not what I meant!
context: I, uh...\Oh, yeah. My house is a complete mess.\Then, I'll clean!\I'm a neat-freak, although I may not look it.\Uh huh!\Do as you like.\It's okay for me to like you?!\Not what I meant! response:	Cleaning!
context: Oh, yeah. My house is a complete mess.\Then, I'll clean!\I'm a neat-freak, although I may not look it.\Uh huh!\Do as you like.\It's okay for me to like you?!\Not what I meant!\Cleaning! response:	Why is this happening?!
context: Then, I'll clean!\I'm a neat-freak, although I may not look it.\Uh huh!\Do as you like.\It's okay for me to like you?!\Not what I meant!\Cleaning!\Why is this happening?! response:	Why are you bringing me along?
context: I'm a neat-freak, although I may not look it.\Uh huh!\Do as you like.\It's okay for me to like you?!\Not what I meant!\Cleaning!\Why is this happening?!\Why are you bringing me along? response:	You're a friend, too.
context: Uh huh!\Do as you like.\It's okay for me to like you?!\Not what I meant!\Cleaning!\Why is this happening?!\Why are you bringing me along?\You're a friend, too. response:	We're all going together.
context: Do as you like.\It's okay for me to like you?!\Not what I meant!\Cleaning!\Why is this happening?!\Why are you bringing me along?\You're a friend, too.\We're all going together. response:	Right. So where is this Quest Dorm place, anyway?
context: It's okay for me to like you?!\Not what I meant!\Cleaning!\Why is this happening?!\Why are you bringing me along?\You're a friend, too.\We're all going together.\Right. So where is this Quest Dorm place, anyway? response:	The station after the Hatsudai school station.
context: Not what I meant!\Cleaning!\Why is this happening?!\Why are you bringing me along?\You're a friend, too.\We're all going together.\Right. So where is this Quest Dorm place, anyway?\The station after the Hatsudai school station. response:	The next station over is 10 kilometers away, right?
context: Cleaning!\Why is this happening?!\Why are you bringing me along?\You're a friend, too.\We're all going together.\Right. So where is this Quest Dorm place, anyway?\The station after the Hatsudai school station.\The next station over is 10 kilometers away, right? response:	Hatagaya Academy is too big.
context: Why is this happening?!\Why are you bringing me along?\You're a friend, too.\We're all going together.\Right. So where is this Quest Dorm place, anyway?\The station after the Hatsudai school station.\The next station over is 10 kilometers away, right?\Hatagaya Academy is too big. response:	I know the place is large,
context: Why are you bringing me along?\You're a friend, too.\We're all going together.\Right. So where is this Quest Dorm place, anyway?\The station after the Hatsudai school station.\The next station over is 10 kilometers away, right?\Hatagaya Academy is too big.\I know the place is large, response:	but I never would have thought this was part of the school.
context: You're a friend, too.\We're all going together.\Right. So where is this Quest Dorm place, anyway?\The station after the Hatsudai school station.\The next station over is 10 kilometers away, right?\Hatagaya Academy is too big.\I know the place is large,\but I never would have thought this was part of the school. response:	A farming village?
context: We're all going together.\Right. So where is this Quest Dorm place, anyway?\The station after the Hatsudai school station.\The next station over is 10 kilometers away, right?\Hatagaya Academy is too big.\I know the place is large,\but I never would have thought this was part of the school.\A farming village? response:	We're almost there.
context: Right. So where is this Quest Dorm place, anyway?\The station after the Hatsudai school station.\The next station over is 10 kilometers away, right?\Hatagaya Academy is too big.\I know the place is large,\but I never would have thought this was part of the school.\A farming village?\We're almost there. response:	Here we are.
context: The station after the Hatsudai school station.\The next station over is 10 kilometers away, right?\Hatagaya Academy is too big.\I know the place is large,\but I never would have thought this was part of the school.\A farming village?\We're almost there.\Here we are. response:	It's abandoned!
context: The next station over is 10 kilometers away, right?\Hatagaya Academy is too big.\I know the place is large,\but I never would have thought this was part of the school.\A farming village?\We're almost there.\Here we are.\It's abandoned! response:	I told you two it was a mess.
context: Hatagaya Academy is too big.\I know the place is large,\but I never would have thought this was part of the school.\A farming village?\We're almost there.\Here we are.\It's abandoned!\I told you two it was a mess. response:	Danger
context: I know the place is large,\but I never would have thought this was part of the school.\A farming village?\We're almost there.\Here we are.\It's abandoned!\I told you two it was a mess.\Danger response:	It's so dangerous, the sign's crooked.
context: but I never would have thought this was part of the school.\A farming village?\We're almost there.\Here we are.\It's abandoned!\I told you two it was a mess.\Danger\It's so dangerous, the sign's crooked. response:	It's so dangerous, there're holes in the stairway.
context: A farming village?\We're almost there.\Here we are.\It's abandoned!\I told you two it was a mess.\Danger\It's so dangerous, the sign's crooked.\It's so dangerous, there're holes in the stairway. response:	The holes are what make it dangerous.
context: We're almost there.\Here we are.\It's abandoned!\I told you two it was a mess.\Danger\It's so dangerous, the sign's crooked.\It's so dangerous, there're holes in the stairway.\The holes are what make it dangerous. response:	I wouldn't be surprised if the
context: Here we are.\It's abandoned!\I told you two it was a mess.\Danger\It's so dangerous, the sign's crooked.\It's so dangerous, there're holes in the stairway.\The holes are what make it dangerous.\I wouldn't be surprised if the response:	Quest Dorm
context: It's abandoned!\I told you two it was a mess.\Danger\It's so dangerous, the sign's crooked.\It's so dangerous, there're holes in the stairway.\The holes are what make it dangerous.\I wouldn't be surprised if the\Quest Dorm response:	floor on the second level collapsed at any time.
context: I told you two it was a mess.\Danger\It's so dangerous, the sign's crooked.\It's so dangerous, there're holes in the stairway.\The holes are what make it dangerous.\I wouldn't be surprised if the\Quest Dorm\floor on the second level collapsed at any time. response:	This here's my room.
context: Danger\It's so dangerous, the sign's crooked.\It's so dangerous, there're holes in the stairway.\The holes are what make it dangerous.\I wouldn't be surprised if the\Quest Dorm\floor on the second level collapsed at any time.\This here's my room. response:	It doesn't look much better in here.
context: It's so dangerous, the sign's crooked.\It's so dangerous, there're holes in the stairway.\The holes are what make it dangerous.\I wouldn't be surprised if the\Quest Dorm\floor on the second level collapsed at any time.\This here's my room.\It doesn't look much better in here. response:	I don't have anywhere else to go.
context: It's so dangerous, there're holes in the stairway.\The holes are what make it dangerous.\I wouldn't be surprised if the\Quest Dorm\floor on the second level collapsed at any time.\This here's my room.\It doesn't look much better in here.\I don't have anywhere else to go. response:	I'm just happy I have a place to stay.
context: The holes are what make it dangerous.\I wouldn't be surprised if the\Quest Dorm\floor on the second level collapsed at any time.\This here's my room.\It doesn't look much better in here.\I don't have anywhere else to go.\I'm just happy I have a place to stay. response:	I can't ask for much.
context: I wouldn't be surprised if the\Quest Dorm\floor on the second level collapsed at any time.\This here's my room.\It doesn't look much better in here.\I don't have anywhere else to go.\I'm just happy I have a place to stay.\I can't ask for much. response:	It's the first time I've been to a friend's house
context: Quest Dorm\floor on the second level collapsed at any time.\This here's my room.\It doesn't look much better in here.\I don't have anywhere else to go.\I'm just happy I have a place to stay.\I can't ask for much.\It's the first time I've been to a friend's house response:	and been in a guy's room!
context: floor on the second level collapsed at any time.\This here's my room.\It doesn't look much better in here.\I don't have anywhere else to go.\I'm just happy I have a place to stay.\I can't ask for much.\It's the first time I've been to a friend's house\and been in a guy's room! response:	That's an overstatement.
context: This here's my room.\It doesn't look much better in here.\I don't have anywhere else to go.\I'm just happy I have a place to stay.\I can't ask for much.\It's the first time I've been to a friend's house\and been in a guy's room!\That's an overstatement. response:	You have lots of friends, don't you?
context: It doesn't look much better in here.\I don't have anywhere else to go.\I'm just happy I have a place to stay.\I can't ask for much.\It's the first time I've been to a friend's house\and been in a guy's room!\That's an overstatement.\You have lots of friends, don't you? response:	That's true...
context: I don't have anywhere else to go.\I'm just happy I have a place to stay.\I can't ask for much.\It's the first time I've been to a friend's house\and been in a guy's room!\That's an overstatement.\You have lots of friends, don't you?\That's true... response:	Hm?
context: I'm just happy I have a place to stay.\I can't ask for much.\It's the first time I've been to a friend's house\and been in a guy's room!\That's an overstatement.\You have lots of friends, don't you?\That's true...\Hm? response:	I've wanted to be your friend for a while now, too!
context: I can't ask for much.\It's the first time I've been to a friend's house\and been in a guy's room!\That's an overstatement.\You have lots of friends, don't you?\That's true...\Hm?\I've wanted to be your friend for a while now, too! response:	Wh-Why me?!
context: It's the first time I've been to a friend's house\and been in a guy's room!\That's an overstatement.\You have lots of friends, don't you?\That's true...\Hm?\I've wanted to be your friend for a while now, too!\Wh-Why me?! response:	Well, I couldn't just leave a dog sitting there getting pelted by rain
context: and been in a guy's room!\That's an overstatement.\You have lots of friends, don't you?\That's true...\Hm?\I've wanted to be your friend for a while now, too!\Wh-Why me?!\Well, I couldn't just leave a dog sitting there getting pelted by rain response:	or a cat pitiably crying out for help...
context: That's an overstatement.\You have lots of friends, don't you?\That's true...\Hm?\I've wanted to be your friend for a while now, too!\Wh-Why me?!\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help... response:	So I'm basically a pet, too?!
context: You have lots of friends, don't you?\That's true...\Hm?\I've wanted to be your friend for a while now, too!\Wh-Why me?!\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So I'm basically a pet, too?! response:	It's nice to see you laugh, Souta-kun!
context: That's true...\Hm?\I've wanted to be your friend for a while now, too!\Wh-Why me?!\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So I'm basically a pet, too?!\It's nice to see you laugh, Souta-kun! response:	I want you to laugh forever.
context: Hm?\I've wanted to be your friend for a while now, too!\Wh-Why me?!\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So I'm basically a pet, too?!\It's nice to see you laugh, Souta-kun!\I want you to laugh forever. response:	I-I'm going to hit the restroom.
context: I've wanted to be your friend for a while now, too!\Wh-Why me?!\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So I'm basically a pet, too?!\It's nice to see you laugh, Souta-kun!\I want you to laugh forever.\I-I'm going to hit the restroom. response:	I wanted to see him laugh some more.
context: Wh-Why me?!\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So I'm basically a pet, too?!\It's nice to see you laugh, Souta-kun!\I want you to laugh forever.\I-I'm going to hit the restroom.\I wanted to see him laugh some more. response:	So what do you like so much about Souta, Akane?
context: Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So I'm basically a pet, too?!\It's nice to see you laugh, Souta-kun!\I want you to laugh forever.\I-I'm going to hit the restroom.\I wanted to see him laugh some more.\So what do you like so much about Souta, Akane? response:	I have no clue.
context: or a cat pitiably crying out for help...\So I'm basically a pet, too?!\It's nice to see you laugh, Souta-kun!\I want you to laugh forever.\I-I'm going to hit the restroom.\I wanted to see him laugh some more.\So what do you like so much about Souta, Akane?\I have no clue. response:	I can't stand not solving any
context: So I'm basically a pet, too?!\It's nice to see you laugh, Souta-kun!\I want you to laugh forever.\I-I'm going to hit the restroom.\I wanted to see him laugh some more.\So what do you like so much about Souta, Akane?\I have no clue.\I can't stand not solving any response:	mystery that catches my eye.
context: It's nice to see you laugh, Souta-kun!\I want you to laugh forever.\I-I'm going to hit the restroom.\I wanted to see him laugh some more.\So what do you like so much about Souta, Akane?\I have no clue.\I can't stand not solving any\mystery that catches my eye. response:	The first time I saw Souta-kun,
context: I want you to laugh forever.\I-I'm going to hit the restroom.\I wanted to see him laugh some more.\So what do you like so much about Souta, Akane?\I have no clue.\I can't stand not solving any\mystery that catches my eye.\The first time I saw Souta-kun, response:	it felt like someone grabbed my heart.
context: I-I'm going to hit the restroom.\I wanted to see him laugh some more.\So what do you like so much about Souta, Akane?\I have no clue.\I can't stand not solving any\mystery that catches my eye.\The first time I saw Souta-kun,\it felt like someone grabbed my heart. response:	I wanted to do something for him.
context: I wanted to see him laugh some more.\So what do you like so much about Souta, Akane?\I have no clue.\I can't stand not solving any\mystery that catches my eye.\The first time I saw Souta-kun,\it felt like someone grabbed my heart.\I wanted to do something for him. response:	So love at first sight?
context: So what do you like so much about Souta, Akane?\I have no clue.\I can't stand not solving any\mystery that catches my eye.\The first time I saw Souta-kun,\it felt like someone grabbed my heart.\I wanted to do something for him.\So love at first sight? response:	Love at first sight?
context: I have no clue.\I can't stand not solving any\mystery that catches my eye.\The first time I saw Souta-kun,\it felt like someone grabbed my heart.\I wanted to do something for him.\So love at first sight?\Love at first sight? response:	Not that. Not at all.
context: I can't stand not solving any\mystery that catches my eye.\The first time I saw Souta-kun,\it felt like someone grabbed my heart.\I wanted to do something for him.\So love at first sight?\Love at first sight?\Not that. Not at all. response:	This story's from when I was a kid.
context: mystery that catches my eye.\The first time I saw Souta-kun,\it felt like someone grabbed my heart.\I wanted to do something for him.\So love at first sight?\Love at first sight?\Not that. Not at all.\This story's from when I was a kid. response:	Since I was the granddaughter of the head of the Mahougasawa Group,
context: The first time I saw Souta-kun,\it felt like someone grabbed my heart.\I wanted to do something for him.\So love at first sight?\Love at first sight?\Not that. Not at all.\This story's from when I was a kid.\Since I was the granddaughter of the head of the Mahougasawa Group, response:	I didn't really have any friends.
context: it felt like someone grabbed my heart.\I wanted to do something for him.\So love at first sight?\Love at first sight?\Not that. Not at all.\This story's from when I was a kid.\Since I was the granddaughter of the head of the Mahougasawa Group,\I didn't really have any friends. response:	They sent me to a library to expand my knowledge,
context: I wanted to do something for him.\So love at first sight?\Love at first sight?\Not that. Not at all.\This story's from when I was a kid.\Since I was the granddaughter of the head of the Mahougasawa Group,\I didn't really have any friends.\They sent me to a library to expand my knowledge, response:	and that was the first time I met a friend my age, who felt like an equal.
context: So love at first sight?\Love at first sight?\Not that. Not at all.\This story's from when I was a kid.\Since I was the granddaughter of the head of the Mahougasawa Group,\I didn't really have any friends.\They sent me to a library to expand my knowledge,\and that was the first time I met a friend my age, who felt like an equal. response:	So exchanging the things we cared about was just something
context: Love at first sight?\Not that. Not at all.\This story's from when I was a kid.\Since I was the granddaughter of the head of the Mahougasawa Group,\I didn't really have any friends.\They sent me to a library to expand my knowledge,\and that was the first time I met a friend my age, who felt like an equal.\So exchanging the things we cared about was just something response:	we did to show our feelings for each other.
context: Not that. Not at all.\This story's from when I was a kid.\Since I was the granddaughter of the head of the Mahougasawa Group,\I didn't really have any friends.\They sent me to a library to expand my knowledge,\and that was the first time I met a friend my age, who felt like an equal.\So exchanging the things we cared about was just something\we did to show our feelings for each other. response:	But to the adults,
context: This story's from when I was a kid.\Since I was the granddaughter of the head of the Mahougasawa Group,\I didn't really have any friends.\They sent me to a library to expand my knowledge,\and that was the first time I met a friend my age, who felt like an equal.\So exchanging the things we cared about was just something\we did to show our feelings for each other.\But to the adults, response:	the things we shared had very different values.
context: Since I was the granddaughter of the head of the Mahougasawa Group,\I didn't really have any friends.\They sent me to a library to expand my knowledge,\and that was the first time I met a friend my age, who felt like an equal.\So exchanging the things we cared about was just something\we did to show our feelings for each other.\But to the adults,\the things we shared had very different values. response:	Our equal relationship was shattered,
context: I didn't really have any friends.\They sent me to a library to expand my knowledge,\and that was the first time I met a friend my age, who felt like an equal.\So exchanging the things we cared about was just something\we did to show our feelings for each other.\But to the adults,\the things we shared had very different values.\Our equal relationship was shattered, response:	and a wall went up that
context: They sent me to a library to expand my knowledge,\and that was the first time I met a friend my age, who felt like an equal.\So exchanging the things we cared about was just something\we did to show our feelings for each other.\But to the adults,\the things we shared had very different values.\Our equal relationship was shattered,\and a wall went up that response:	divided us into different worlds.
context: and that was the first time I met a friend my age, who felt like an equal.\So exchanging the things we cared about was just something\we did to show our feelings for each other.\But to the adults,\the things we shared had very different values.\Our equal relationship was shattered,\and a wall went up that\divided us into different worlds. response:	The Group called her
context: So exchanging the things we cared about was just something\we did to show our feelings for each other.\But to the adults,\the things we shared had very different values.\Our equal relationship was shattered,\and a wall went up that\divided us into different worlds.\The Group called her response:	pitiable and looked down on her.
context: we did to show our feelings for each other.\But to the adults,\the things we shared had very different values.\Our equal relationship was shattered,\and a wall went up that\divided us into different worlds.\The Group called her\pitiable and looked down on her. response:	I couldn't save her.
context: But to the adults,\the things we shared had very different values.\Our equal relationship was shattered,\and a wall went up that\divided us into different worlds.\The Group called her\pitiable and looked down on her.\I couldn't save her. response:	I couldn't save that pitiable girl.
context: the things we shared had very different values.\Our equal relationship was shattered,\and a wall went up that\divided us into different worlds.\The Group called her\pitiable and looked down on her.\I couldn't save her.\I couldn't save that pitiable girl. response:	And so I ran into Souta-kun,
context: Our equal relationship was shattered,\and a wall went up that\divided us into different worlds.\The Group called her\pitiable and looked down on her.\I couldn't save her.\I couldn't save that pitiable girl.\And so I ran into Souta-kun, response:	and thought to myself, I can save someone this time,
context: and a wall went up that\divided us into different worlds.\The Group called her\pitiable and looked down on her.\I couldn't save her.\I couldn't save that pitiable girl.\And so I ran into Souta-kun,\and thought to myself, I can save someone this time, response:	and if I could pull that off, then I could, in turn,
context: divided us into different worlds.\The Group called her\pitiable and looked down on her.\I couldn't save her.\I couldn't save that pitiable girl.\And so I ran into Souta-kun,\and thought to myself, I can save someone this time,\and if I could pull that off, then I could, in turn, response:	somehow make up for being pitiable myself so long ago.
context: The Group called her\pitiable and looked down on her.\I couldn't save her.\I couldn't save that pitiable girl.\And so I ran into Souta-kun,\and thought to myself, I can save someone this time,\and if I could pull that off, then I could, in turn,\somehow make up for being pitiable myself so long ago. response:	That's why these selfish desires of mine aren't love.
context: pitiable and looked down on her.\I couldn't save her.\I couldn't save that pitiable girl.\And so I ran into Souta-kun,\and thought to myself, I can save someone this time,\and if I could pull that off, then I could, in turn,\somehow make up for being pitiable myself so long ago.\That's why these selfish desires of mine aren't love. response:	I can't let them be love.
context: I couldn't save her.\I couldn't save that pitiable girl.\And so I ran into Souta-kun,\and thought to myself, I can save someone this time,\and if I could pull that off, then I could, in turn,\somehow make up for being pitiable myself so long ago.\That's why these selfish desires of mine aren't love.\I can't let them be love. response:	I don't really see a problem.
context: I couldn't save that pitiable girl.\And so I ran into Souta-kun,\and thought to myself, I can save someone this time,\and if I could pull that off, then I could, in turn,\somehow make up for being pitiable myself so long ago.\That's why these selfish desires of mine aren't love.\I can't let them be love.\I don't really see a problem. response:	You two are alike in a way.
context: And so I ran into Souta-kun,\and thought to myself, I can save someone this time,\and if I could pull that off, then I could, in turn,\somehow make up for being pitiable myself so long ago.\That's why these selfish desires of mine aren't love.\I can't let them be love.\I don't really see a problem.\You two are alike in a way. response:	Huh?
context: and thought to myself, I can save someone this time,\and if I could pull that off, then I could, in turn,\somehow make up for being pitiable myself so long ago.\That's why these selfish desires of mine aren't love.\I can't let them be love.\I don't really see a problem.\You two are alike in a way.\Huh? response:	Souta said something similar.
context: and if I could pull that off, then I could, in turn,\somehow make up for being pitiable myself so long ago.\That's why these selfish desires of mine aren't love.\I can't let them be love.\I don't really see a problem.\You two are alike in a way.\Huh?\Souta said something similar. response:	That people would meet misfortune if they got too close to him, or something.
context: somehow make up for being pitiable myself so long ago.\That's why these selfish desires of mine aren't love.\I can't let them be love.\I don't really see a problem.\You two are alike in a way.\Huh?\Souta said something similar.\That people would meet misfortune if they got too close to him, or something. response:	What caused you two to think like that may have been different,
context: That's why these selfish desires of mine aren't love.\I can't let them be love.\I don't really see a problem.\You two are alike in a way.\Huh?\Souta said something similar.\That people would meet misfortune if they got too close to him, or something.\What caused you two to think like that may have been different, response:	but if you both aren't trying to make yourselves happy,
context: I can't let them be love.\I don't really see a problem.\You two are alike in a way.\Huh?\Souta said something similar.\That people would meet misfortune if they got too close to him, or something.\What caused you two to think like that may have been different,\but if you both aren't trying to make yourselves happy, response:	and are trying to make each other happy instead,
context: I don't really see a problem.\You two are alike in a way.\Huh?\Souta said something similar.\That people would meet misfortune if they got too close to him, or something.\What caused you two to think like that may have been different,\but if you both aren't trying to make yourselves happy,\and are trying to make each other happy instead, response:	I think you both will
context: You two are alike in a way.\Huh?\Souta said something similar.\That people would meet misfortune if they got too close to him, or something.\What caused you two to think like that may have been different,\but if you both aren't trying to make yourselves happy,\and are trying to make each other happy instead,\I think you both will response:	end up happy in the end.
context: Huh?\Souta said something similar.\That people would meet misfortune if they got too close to him, or something.\What caused you two to think like that may have been different,\but if you both aren't trying to make yourselves happy,\and are trying to make each other happy instead,\I think you both will\end up happy in the end. response:	Nanami-chan, you're a poet!
context: Souta said something similar.\That people would meet misfortune if they got too close to him, or something.\What caused you two to think like that may have been different,\but if you both aren't trying to make yourselves happy,\and are trying to make each other happy instead,\I think you both will\end up happy in the end.\Nanami-chan, you're a poet! response:	I take that back!
context: That people would meet misfortune if they got too close to him, or something.\What caused you two to think like that may have been different,\but if you both aren't trying to make yourselves happy,\and are trying to make each other happy instead,\I think you both will\end up happy in the end.\Nanami-chan, you're a poet!\I take that back! response:	It was a poem! A poem!
context: What caused you two to think like that may have been different,\but if you both aren't trying to make yourselves happy,\and are trying to make each other happy instead,\I think you both will\end up happy in the end.\Nanami-chan, you're a poet!\I take that back!\It was a poem! A poem! response:	I take it all back!
context: but if you both aren't trying to make yourselves happy,\and are trying to make each other happy instead,\I think you both will\end up happy in the end.\Nanami-chan, you're a poet!\I take that back!\It was a poem! A poem!\I take it all back! response:	It was a wonderful poem!
context: and are trying to make each other happy instead,\I think you both will\end up happy in the end.\Nanami-chan, you're a poet!\I take that back!\It was a poem! A poem!\I take it all back!\It was a wonderful poem! response:	Stop saying poem already!
context: I think you both will\end up happy in the end.\Nanami-chan, you're a poet!\I take that back!\It was a poem! A poem!\I take it all back!\It was a wonderful poem!\Stop saying poem already! response:	Nanami, you're so wonderful!
context: end up happy in the end.\Nanami-chan, you're a poet!\I take that back!\It was a poem! A poem!\I take it all back!\It was a wonderful poem!\Stop saying poem already!\Nanami, you're so wonderful! response:	What's going on here?
context: Nanami-chan, you're a poet!\I take that back!\It was a poem! A poem!\I take it all back!\It was a wonderful poem!\Stop saying poem already!\Nanami, you're so wonderful!\What's going on here? response:	Danger
context: I take that back!\It was a poem! A poem!\I take it all back!\It was a wonderful poem!\Stop saying poem already!\Nanami, you're so wonderful!\What's going on here?\Danger response:	I had fun today.
context: It was a poem! A poem!\I take it all back!\It was a wonderful poem!\Stop saying poem already!\Nanami, you're so wonderful!\What's going on here?\Danger\I had fun today. response:	Can I come over again?
context: I take it all back!\It was a wonderful poem!\Stop saying poem already!\Nanami, you're so wonderful!\What's going on here?\Danger\I had fun today.\Can I come over again? response:	No.
context: It was a wonderful poem!\Stop saying poem already!\Nanami, you're so wonderful!\What's going on here?\Danger\I had fun today.\Can I come over again?\No. response:	He said no again!
context: Stop saying poem already!\Nanami, you're so wonderful!\What's going on here?\Danger\I had fun today.\Can I come over again?\No.\He said no again! response:	That's enough. Let's go home.
context: Nanami, you're so wonderful!\What's going on here?\Danger\I had fun today.\Can I come over again?\No.\He said no again!\That's enough. Let's go home. response:	Okay.
context: What's going on here?\Danger\I had fun today.\Can I come over again?\No.\He said no again!\That's enough. Let's go home.\Okay. response:	Oh, no!
context: Danger\I had fun today.\Can I come over again?\No.\He said no again!\That's enough. Let's go home.\Okay.\Oh, no! response:	I left something in Souta-kun's room.
context: I had fun today.\Can I come over again?\No.\He said no again!\That's enough. Let's go home.\Okay.\Oh, no!\I left something in Souta-kun's room. response:	I'm going to go get it.
context: Can I come over again?\No.\He said no again!\That's enough. Let's go home.\Okay.\Oh, no!\I left something in Souta-kun's room.\I'm going to go get it. response:	I guess I'll wait.
context: No.\He said no again!\That's enough. Let's go home.\Okay.\Oh, no!\I left something in Souta-kun's room.\I'm going to go get it.\I guess I'll wait. response:	Make sure you don't fall.
context: He said no again!\That's enough. Let's go home.\Okay.\Oh, no!\I left something in Souta-kun's room.\I'm going to go get it.\I guess I'll wait.\Make sure you don't fall. response:	That's a...
context: That's enough. Let's go home.\Okay.\Oh, no!\I left something in Souta-kun's room.\I'm going to go get it.\I guess I'll wait.\Make sure you don't fall.\That's a... response:	What's wrong?
context: Okay.\Oh, no!\I left something in Souta-kun's room.\I'm going to go get it.\I guess I'll wait.\Make sure you don't fall.\That's a...\What's wrong? response:	A death flag just appeared above Akane's head.
context: Oh, no!\I left something in Souta-kun's room.\I'm going to go get it.\I guess I'll wait.\Make sure you don't fall.\That's a...\What's wrong?\A death flag just appeared above Akane's head. response:	What?
context: I left something in Souta-kun's room.\I'm going to go get it.\I guess I'll wait.\Make sure you don't fall.\That's a...\What's wrong?\A death flag just appeared above Akane's head.\What? response:	Why isn't it breaking?
