context: Using the power of LIfPrasir is response:	essentially shaving off a part of his life.
context: Saito...\Saito, it's almost time. Are you ready?\Yes.\Saito...\Louise, look after Tiffa.\Let's get this over with, all right?\Yeah.\Now! response:	Keep attacking!
context: Saito, it's almost time. Are you ready?\Yes.\Saito...\Louise, look after Tiffa.\Let's get this over with, all right?\Yeah.\Now!\Keep attacking! response:	Show no fear! We are holy knights!
context: Yes.\Saito...\Louise, look after Tiffa.\Let's get this over with, all right?\Yeah.\Now!\Keep attacking!\Show no fear! We are holy knights! response:	It looks like the Mind Wipe spell worked!
context: Saito...\Louise, look after Tiffa.\Let's get this over with, all right?\Yeah.\Now!\Keep attacking!\Show no fear! We are holy knights!\It looks like the Mind Wipe spell worked! response:	Thank goodness!
context: Louise, look after Tiffa.\Let's get this over with, all right?\Yeah.\Now!\Keep attacking!\Show no fear! We are holy knights!\It looks like the Mind Wipe spell worked!\Thank goodness! response:	Um, Louise, I...
context: Let's get this over with, all right?\Yeah.\Now!\Keep attacking!\Show no fear! We are holy knights!\It looks like the Mind Wipe spell worked!\Thank goodness!\Um, Louise, I... response:	Let's not think about it.
context: Yeah.\Now!\Keep attacking!\Show no fear! We are holy knights!\It looks like the Mind Wipe spell worked!\Thank goodness!\Um, Louise, I...\Let's not think about it. response:	Right now, we just have to believe.
context: Now!\Keep attacking!\Show no fear! We are holy knights!\It looks like the Mind Wipe spell worked!\Thank goodness!\Um, Louise, I...\Let's not think about it.\Right now, we just have to believe. response:	Like Siesta said.
context: Keep attacking!\Show no fear! We are holy knights!\It looks like the Mind Wipe spell worked!\Thank goodness!\Um, Louise, I...\Let's not think about it.\Right now, we just have to believe.\Like Siesta said. response:	We have to believe we can all go home together.
context: Show no fear! We are holy knights!\It looks like the Mind Wipe spell worked!\Thank goodness!\Um, Louise, I...\Let's not think about it.\Right now, we just have to believe.\Like Siesta said.\We have to believe we can all go home together. response:	Cano Soil Teiwas Isa Unjo Cebo Ragsjur Dagas!
context: It looks like the Mind Wipe spell worked!\Thank goodness!\Um, Louise, I...\Let's not think about it.\Right now, we just have to believe.\Like Siesta said.\We have to believe we can all go home together.\Cano Soil Teiwas Isa Unjo Cebo Ragsjur Dagas! response:	Wow!
context: Thank goodness!\Um, Louise, I...\Let's not think about it.\Right now, we just have to believe.\Like Siesta said.\We have to believe we can all go home together.\Cano Soil Teiwas Isa Unjo Cebo Ragsjur Dagas!\Wow! response:	I see. It's Cleansing magic.
context: Um, Louise, I...\Let's not think about it.\Right now, we just have to believe.\Like Siesta said.\We have to believe we can all go home together.\Cano Soil Teiwas Isa Unjo Cebo Ragsjur Dagas!\Wow!\I see. It's Cleansing magic. response:	Normally it's healing magic, but for evil beings,
context: Let's not think about it.\Right now, we just have to believe.\Like Siesta said.\We have to believe we can all go home together.\Cano Soil Teiwas Isa Unjo Cebo Ragsjur Dagas!\Wow!\I see. It's Cleansing magic.\Normally it's healing magic, but for evil beings, response:	this magic is more damaging than an attack.
context: Right now, we just have to believe.\Like Siesta said.\We have to believe we can all go home together.\Cano Soil Teiwas Isa Unjo Cebo Ragsjur Dagas!\Wow!\I see. It's Cleansing magic.\Normally it's healing magic, but for evil beings,\this magic is more damaging than an attack. response:	Indeed, this is my Void magic.
context: Like Siesta said.\We have to believe we can all go home together.\Cano Soil Teiwas Isa Unjo Cebo Ragsjur Dagas!\Wow!\I see. It's Cleansing magic.\Normally it's healing magic, but for evil beings,\this magic is more damaging than an attack.\Indeed, this is my Void magic. response:	Now, Saito, if you would be so kind.
context: We have to believe we can all go home together.\Cano Soil Teiwas Isa Unjo Cebo Ragsjur Dagas!\Wow!\I see. It's Cleansing magic.\Normally it's healing magic, but for evil beings,\this magic is more damaging than an attack.\Indeed, this is my Void magic.\Now, Saito, if you would be so kind. response:	S-Sure.
context: Cano Soil Teiwas Isa Unjo Cebo Ragsjur Dagas!\Wow!\I see. It's Cleansing magic.\Normally it's healing magic, but for evil beings,\this magic is more damaging than an attack.\Indeed, this is my Void magic.\Now, Saito, if you would be so kind.\S-Sure. response:	Even as we watch,
context: Wow!\I see. It's Cleansing magic.\Normally it's healing magic, but for evil beings,\this magic is more damaging than an attack.\Indeed, this is my Void magic.\Now, Saito, if you would be so kind.\S-Sure.\Even as we watch, response:	Saito's life is being depleted. I... I don't want that!
context: I see. It's Cleansing magic.\Normally it's healing magic, but for evil beings,\this magic is more damaging than an attack.\Indeed, this is my Void magic.\Now, Saito, if you would be so kind.\S-Sure.\Even as we watch,\Saito's life is being depleted. I... I don't want that! response:	Saito...
context: Normally it's healing magic, but for evil beings,\this magic is more damaging than an attack.\Indeed, this is my Void magic.\Now, Saito, if you would be so kind.\S-Sure.\Even as we watch,\Saito's life is being depleted. I... I don't want that!\Saito... response:	Founder Brimir, lend me your strength.
context: this magic is more damaging than an attack.\Indeed, this is my Void magic.\Now, Saito, if you would be so kind.\S-Sure.\Even as we watch,\Saito's life is being depleted. I... I don't want that!\Saito...\Founder Brimir, lend me your strength. response:	Hey, pal, are you all right?!
context: Indeed, this is my Void magic.\Now, Saito, if you would be so kind.\S-Sure.\Even as we watch,\Saito's life is being depleted. I... I don't want that!\Saito...\Founder Brimir, lend me your strength.\Hey, pal, are you all right?! response:	This... This is nothing...
context: Now, Saito, if you would be so kind.\S-Sure.\Even as we watch,\Saito's life is being depleted. I... I don't want that!\Saito...\Founder Brimir, lend me your strength.\Hey, pal, are you all right?!\This... This is nothing... response:	Saito...
context: S-Sure.\Even as we watch,\Saito's life is being depleted. I... I don't want that!\Saito...\Founder Brimir, lend me your strength.\Hey, pal, are you all right?!\This... This is nothing...\Saito... response:	Fly up! Move!
context: Even as we watch,\Saito's life is being depleted. I... I don't want that!\Saito...\Founder Brimir, lend me your strength.\Hey, pal, are you all right?!\This... This is nothing...\Saito...\Fly up! Move! response:	Something's strange... Sylphid, please!
context: Saito's life is being depleted. I... I don't want that!\Saito...\Founder Brimir, lend me your strength.\Hey, pal, are you all right?!\This... This is nothing...\Saito...\Fly up! Move!\Something's strange... Sylphid, please! response:	Use me, pal!
context: Saito...\Founder Brimir, lend me your strength.\Hey, pal, are you all right?!\This... This is nothing...\Saito...\Fly up! Move!\Something's strange... Sylphid, please!\Use me, pal! response:	Got it!
context: Founder Brimir, lend me your strength.\Hey, pal, are you all right?!\This... This is nothing...\Saito...\Fly up! Move!\Something's strange... Sylphid, please!\Use me, pal!\Got it! response:	I'm sorry, pal...
context: Hey, pal, are you all right?!\This... This is nothing...\Saito...\Fly up! Move!\Something's strange... Sylphid, please!\Use me, pal!\Got it!\I'm sorry, pal... response:	Looks like this one's a little too strong for me.
context: This... This is nothing...\Saito...\Fly up! Move!\Something's strange... Sylphid, please!\Use me, pal!\Got it!\I'm sorry, pal...\Looks like this one's a little too strong for me. response:	I thought you looked pretty dopey the first time we met,
context: Saito...\Fly up! Move!\Something's strange... Sylphid, please!\Use me, pal!\Got it!\I'm sorry, pal...\Looks like this one's a little too strong for me.\I thought you looked pretty dopey the first time we met, response:	but you've shaped up quite nicely,
context: Fly up! Move!\Something's strange... Sylphid, please!\Use me, pal!\Got it!\I'm sorry, pal...\Looks like this one's a little too strong for me.\I thought you looked pretty dopey the first time we met,\but you've shaped up quite nicely, response:	haven't you?
context: Something's strange... Sylphid, please!\Use me, pal!\Got it!\I'm sorry, pal...\Looks like this one's a little too strong for me.\I thought you looked pretty dopey the first time we met,\but you've shaped up quite nicely,\haven't you? response:	Wait, Derf!
context: Use me, pal!\Got it!\I'm sorry, pal...\Looks like this one's a little too strong for me.\I thought you looked pretty dopey the first time we met,\but you've shaped up quite nicely,\haven't you?\Wait, Derf! response:	So long, pal.
context: Got it!\I'm sorry, pal...\Looks like this one's a little too strong for me.\I thought you looked pretty dopey the first time we met,\but you've shaped up quite nicely,\haven't you?\Wait, Derf!\So long, pal. response:	Saito!
context: I'm sorry, pal...\Looks like this one's a little too strong for me.\I thought you looked pretty dopey the first time we met,\but you've shaped up quite nicely,\haven't you?\Wait, Derf!\So long, pal.\Saito! response:	I don't believe this... Derf...
context: Looks like this one's a little too strong for me.\I thought you looked pretty dopey the first time we met,\but you've shaped up quite nicely,\haven't you?\Wait, Derf!\So long, pal.\Saito!\I don't believe this... Derf... response:	Saito, hang on!
context: I thought you looked pretty dopey the first time we met,\but you've shaped up quite nicely,\haven't you?\Wait, Derf!\So long, pal.\Saito!\I don't believe this... Derf...\Saito, hang on! response:	At this rate...
context: but you've shaped up quite nicely,\haven't you?\Wait, Derf!\So long, pal.\Saito!\I don't believe this... Derf...\Saito, hang on!\At this rate... response:	Julio,
context: haven't you?\Wait, Derf!\So long, pal.\Saito!\I don't believe this... Derf...\Saito, hang on!\At this rate...\Julio, response:	you have to live.
context: Wait, Derf!\So long, pal.\Saito!\I don't believe this... Derf...\Saito, hang on!\At this rate...\Julio,\you have to live. response:	Your Holiness!
context: So long, pal.\Saito!\I don't believe this... Derf...\Saito, hang on!\At this rate...\Julio,\you have to live.\Your Holiness! response:	Your Holiness!
context: Saito!\I don't believe this... Derf...\Saito, hang on!\At this rate...\Julio,\you have to live.\Your Holiness!\Your Holiness! response:	You know, Saito, there's something
context: I don't believe this... Derf...\Saito, hang on!\At this rate...\Julio,\you have to live.\Your Holiness!\Your Holiness!\You know, Saito, there's something response:	I haven't been able to tell you for a long time.
context: Saito, hang on!\At this rate...\Julio,\you have to live.\Your Holiness!\Your Holiness!\You know, Saito, there's something\I haven't been able to tell you for a long time. response:	So today, I'm finally going to tell you.
context: At this rate...\Julio,\you have to live.\Your Holiness!\Your Holiness!\You know, Saito, there's something\I haven't been able to tell you for a long time.\So today, I'm finally going to tell you. response:	Next time, stay tuned for Louise's Choice.
context: Julio,\you have to live.\Your Holiness!\Your Holiness!\You know, Saito, there's something\I haven't been able to tell you for a long time.\So today, I'm finally going to tell you.\Next time, stay tuned for Louise's Choice. response:	Louise's Choice
context: you have to live.\Your Holiness!\Your Holiness!\You know, Saito, there's something\I haven't been able to tell you for a long time.\So today, I'm finally going to tell you.\Next time, stay tuned for Louise's Choice.\Louise's Choice response:	Saito, I...
