context: I've been thinking, and well, response:	I thought maybe I could do the play after all...
context: yet we are secretly vindictive and insidious within...\I don't like you or anything, but we are definitely close. I understand you.\Yeah. I don't like you or anything either,\but I feel some kind of kinship with you.\Okay,\We're going to come up with specific divisions of labor!\Actually, what are the divisions of labor for a play?\Rika-chan's doing the costumes... response:	Stuff like the set, props, sound, and lighting?
context: I don't like you or anything, but we are definitely close. I understand you.\Yeah. I don't like you or anything either,\but I feel some kind of kinship with you.\Okay,\We're going to come up with specific divisions of labor!\Actually, what are the divisions of labor for a play?\Rika-chan's doing the costumes...\Stuff like the set, props, sound, and lighting? response:	I don't know either
context: Yeah. I don't like you or anything either,\but I feel some kind of kinship with you.\Okay,\We're going to come up with specific divisions of labor!\Actually, what are the divisions of labor for a play?\Rika-chan's doing the costumes...\Stuff like the set, props, sound, and lighting?\I don't know either response:	Yeah, it would be hard to do everything by ourselves.
context: but I feel some kind of kinship with you.\Okay,\We're going to come up with specific divisions of labor!\Actually, what are the divisions of labor for a play?\Rika-chan's doing the costumes...\Stuff like the set, props, sound, and lighting?\I don't know either\Yeah, it would be hard to do everything by ourselves. response:	That's what stagehands are for.
context: Okay,\We're going to come up with specific divisions of labor!\Actually, what are the divisions of labor for a play?\Rika-chan's doing the costumes...\Stuff like the set, props, sound, and lighting?\I don't know either\Yeah, it would be hard to do everything by ourselves.\That's what stagehands are for. response:	Maho-san and Tsubasa don't look like they'll be any help...
context: We're going to come up with specific divisions of labor!\Actually, what are the divisions of labor for a play?\Rika-chan's doing the costumes...\Stuff like the set, props, sound, and lighting?\I don't know either\Yeah, it would be hard to do everything by ourselves.\That's what stagehands are for.\Maho-san and Tsubasa don't look like they'll be any help... response:	In that case, I'll call on the girls on the volleyball team who have some free time.
context: Actually, what are the divisions of labor for a play?\Rika-chan's doing the costumes...\Stuff like the set, props, sound, and lighting?\I don't know either\Yeah, it would be hard to do everything by ourselves.\That's what stagehands are for.\Maho-san and Tsubasa don't look like they'll be any help...\In that case, I'll call on the girls on the volleyball team who have some free time. response:	We have lots of people, and they're strong.
context: Rika-chan's doing the costumes...\Stuff like the set, props, sound, and lighting?\I don't know either\Yeah, it would be hard to do everything by ourselves.\That's what stagehands are for.\Maho-san and Tsubasa don't look like they'll be any help...\In that case, I'll call on the girls on the volleyball team who have some free time.\We have lots of people, and they're strong. response:	Really?
context: Stuff like the set, props, sound, and lighting?\I don't know either\Yeah, it would be hard to do everything by ourselves.\That's what stagehands are for.\Maho-san and Tsubasa don't look like they'll be any help...\In that case, I'll call on the girls on the volleyball team who have some free time.\We have lots of people, and they're strong.\Really? response:	Thanks. You're a big help.
context: I don't know either\Yeah, it would be hard to do everything by ourselves.\That's what stagehands are for.\Maho-san and Tsubasa don't look like they'll be any help...\In that case, I'll call on the girls on the volleyball team who have some free time.\We have lots of people, and they're strong.\Really?\Thanks. You're a big help. response:	No problem.
context: Yeah, it would be hard to do everything by ourselves.\That's what stagehands are for.\Maho-san and Tsubasa don't look like they'll be any help...\In that case, I'll call on the girls on the volleyball team who have some free time.\We have lots of people, and they're strong.\Really?\Thanks. You're a big help.\No problem. response:	We can bring things from home for props.
context: That's what stagehands are for.\Maho-san and Tsubasa don't look like they'll be any help...\In that case, I'll call on the girls on the volleyball team who have some free time.\We have lots of people, and they're strong.\Really?\Thanks. You're a big help.\No problem.\We can bring things from home for props. response:	And then the BGM, where should we play what music...
context: Maho-san and Tsubasa don't look like they'll be any help...\In that case, I'll call on the girls on the volleyball team who have some free time.\We have lots of people, and they're strong.\Really?\Thanks. You're a big help.\No problem.\We can bring things from home for props.\And then the BGM, where should we play what music... response:	I really want to be particular.
context: In that case, I'll call on the girls on the volleyball team who have some free time.\We have lots of people, and they're strong.\Really?\Thanks. You're a big help.\No problem.\We can bring things from home for props.\And then the BGM, where should we play what music...\I really want to be particular. response:	Sounds like fun!
context: We have lots of people, and they're strong.\Really?\Thanks. You're a big help.\No problem.\We can bring things from home for props.\And then the BGM, where should we play what music...\I really want to be particular.\Sounds like fun! response:	And what might all these lovely maidens gathered here be talking about?
context: Really?\Thanks. You're a big help.\No problem.\We can bring things from home for props.\And then the BGM, where should we play what music...\I really want to be particular.\Sounds like fun!\And what might all these lovely maidens gathered here be talking about? response:	Asapin!
context: Thanks. You're a big help.\No problem.\We can bring things from home for props.\And then the BGM, where should we play what music...\I really want to be particular.\Sounds like fun!\And what might all these lovely maidens gathered here be talking about?\Asapin! response:	Tell me what's troubling you.
context: No problem.\We can bring things from home for props.\And then the BGM, where should we play what music...\I really want to be particular.\Sounds like fun!\And what might all these lovely maidens gathered here be talking about?\Asapin!\Tell me what's troubling you. response:	I'll grant whatever you desire...
context: We can bring things from home for props.\And then the BGM, where should we play what music...\I really want to be particular.\Sounds like fun!\And what might all these lovely maidens gathered here be talking about?\Asapin!\Tell me what's troubling you.\I'll grant whatever you desire... response:	Quit spewing pheromones near me!
context: And then the BGM, where should we play what music...\I really want to be particular.\Sounds like fun!\And what might all these lovely maidens gathered here be talking about?\Asapin!\Tell me what's troubling you.\I'll grant whatever you desire...\Quit spewing pheromones near me! response:	Miyazawa, you're so square.
context: I really want to be particular.\Sounds like fun!\And what might all these lovely maidens gathered here be talking about?\Asapin!\Tell me what's troubling you.\I'll grant whatever you desire...\Quit spewing pheromones near me!\Miyazawa, you're so square. response:	You just get ready for your dinner show.
context: Sounds like fun!\And what might all these lovely maidens gathered here be talking about?\Asapin!\Tell me what's troubling you.\I'll grant whatever you desire...\Quit spewing pheromones near me!\Miyazawa, you're so square.\You just get ready for your dinner show. response:	The folks in my class are doing that,
context: And what might all these lovely maidens gathered here be talking about?\Asapin!\Tell me what's troubling you.\I'll grant whatever you desire...\Quit spewing pheromones near me!\Miyazawa, you're so square.\You just get ready for your dinner show.\The folks in my class are doing that, response:	I see, prepararing for the play.
context: Asapin!\Tell me what's troubling you.\I'll grant whatever you desire...\Quit spewing pheromones near me!\Miyazawa, you're so square.\You just get ready for your dinner show.\The folks in my class are doing that,\I see, prepararing for the play. response:	You're doing the set too?
context: Tell me what's troubling you.\I'll grant whatever you desire...\Quit spewing pheromones near me!\Miyazawa, you're so square.\You just get ready for your dinner show.\The folks in my class are doing that,\I see, prepararing for the play.\You're doing the set too? response:	Well in that case, I'll do that.
context: I'll grant whatever you desire...\Quit spewing pheromones near me!\Miyazawa, you're so square.\You just get ready for your dinner show.\The folks in my class are doing that,\I see, prepararing for the play.\You're doing the set too?\Well in that case, I'll do that. response:	What, you, Asapin?? (Text:Suspicion)
context: Quit spewing pheromones near me!\Miyazawa, you're so square.\You just get ready for your dinner show.\The folks in my class are doing that,\I see, prepararing for the play.\You're doing the set too?\Well in that case, I'll do that.\What, you, Asapin?? (Text:Suspicion) response:	How could you?! I always get an A in Art!
context: Miyazawa, you're so square.\You just get ready for your dinner show.\The folks in my class are doing that,\I see, prepararing for the play.\You're doing the set too?\Well in that case, I'll do that.\What, you, Asapin?? (Text:Suspicion)\How could you?! I always get an A in Art! response:	Oh, but I've seen Asaba-kun's sketches.
context: You just get ready for your dinner show.\The folks in my class are doing that,\I see, prepararing for the play.\You're doing the set too?\Well in that case, I'll do that.\What, you, Asapin?? (Text:Suspicion)\How could you?! I always get an A in Art!\Oh, but I've seen Asaba-kun's sketches. response:	They're detailed and really good.
context: The folks in my class are doing that,\I see, prepararing for the play.\You're doing the set too?\Well in that case, I'll do that.\What, you, Asapin?? (Text:Suspicion)\How could you?! I always get an A in Art!\Oh, but I've seen Asaba-kun's sketches.\They're detailed and really good. response:	Well, all right.
context: I see, prepararing for the play.\You're doing the set too?\Well in that case, I'll do that.\What, you, Asapin?? (Text:Suspicion)\How could you?! I always get an A in Art!\Oh, but I've seen Asaba-kun's sketches.\They're detailed and really good.\Well, all right. response:	So, what should we do?
context: You're doing the set too?\Well in that case, I'll do that.\What, you, Asapin?? (Text:Suspicion)\How could you?! I always get an A in Art!\Oh, but I've seen Asaba-kun's sketches.\They're detailed and really good.\Well, all right.\So, what should we do? response:	Don't take charge when you just barged in.
context: Well in that case, I'll do that.\What, you, Asapin?? (Text:Suspicion)\How could you?! I always get an A in Art!\Oh, but I've seen Asaba-kun's sketches.\They're detailed and really good.\Well, all right.\So, what should we do?\Don't take charge when you just barged in. response:	Don't you think our group is getting weirder and weirder?
context: What, you, Asapin?? (Text:Suspicion)\How could you?! I always get an A in Art!\Oh, but I've seen Asaba-kun's sketches.\They're detailed and really good.\Well, all right.\So, what should we do?\Don't take charge when you just barged in.\Don't you think our group is getting weirder and weirder? response:	I bet you just wanted to join a group of girls.
context: How could you?! I always get an A in Art!\Oh, but I've seen Asaba-kun's sketches.\They're detailed and really good.\Well, all right.\So, what should we do?\Don't take charge when you just barged in.\Don't you think our group is getting weirder and weirder?\I bet you just wanted to join a group of girls. response:	But of course!
context: Oh, but I've seen Asaba-kun's sketches.\They're detailed and really good.\Well, all right.\So, what should we do?\Don't take charge when you just barged in.\Don't you think our group is getting weirder and weirder?\I bet you just wanted to join a group of girls.\But of course! response:	Is that what it is!
context: They're detailed and really good.\Well, all right.\So, what should we do?\Don't take charge when you just barged in.\Don't you think our group is getting weirder and weirder?\I bet you just wanted to join a group of girls.\But of course!\Is that what it is! response:	Miyazawa.
context: Well, all right.\So, what should we do?\Don't take charge when you just barged in.\Don't you think our group is getting weirder and weirder?\I bet you just wanted to join a group of girls.\But of course!\Is that what it is!\Miyazawa. response:	Arima!
context: So, what should we do?\Don't take charge when you just barged in.\Don't you think our group is getting weirder and weirder?\I bet you just wanted to join a group of girls.\But of course!\Is that what it is!\Miyazawa.\Arima! response:	Here are the printouts.
context: Don't take charge when you just barged in.\Don't you think our group is getting weirder and weirder?\I bet you just wanted to join a group of girls.\But of course!\Is that what it is!\Miyazawa.\Arima!\Here are the printouts. response:	Hideaki, what are you doing?
context: Don't you think our group is getting weirder and weirder?\I bet you just wanted to join a group of girls.\But of course!\Is that what it is!\Miyazawa.\Arima!\Here are the printouts.\Hideaki, what are you doing? response:	You ask me?
context: I bet you just wanted to join a group of girls.\But of course!\Is that what it is!\Miyazawa.\Arima!\Here are the printouts.\Hideaki, what are you doing?\You ask me? response:	I'm going to help Miyazawa's gang.
context: But of course!\Is that what it is!\Miyazawa.\Arima!\Here are the printouts.\Hideaki, what are you doing?\You ask me?\I'm going to help Miyazawa's gang. response:	That sounds nice.
context: Is that what it is!\Miyazawa.\Arima!\Here are the printouts.\Hideaki, what are you doing?\You ask me?\I'm going to help Miyazawa's gang.\That sounds nice. response:	I want to help too.
context: Miyazawa.\Arima!\Here are the printouts.\Hideaki, what are you doing?\You ask me?\I'm going to help Miyazawa's gang.\That sounds nice.\I want to help too. response:	You want to join a group of girls?
context: Arima!\Here are the printouts.\Hideaki, what are you doing?\You ask me?\I'm going to help Miyazawa's gang.\That sounds nice.\I want to help too.\You want to join a group of girls? response:	I'm not you.
context: Here are the printouts.\Hideaki, what are you doing?\You ask me?\I'm going to help Miyazawa's gang.\That sounds nice.\I want to help too.\You want to join a group of girls?\I'm not you. response:	You're helping us enough already by giving advice.
context: Hideaki, what are you doing?\You ask me?\I'm going to help Miyazawa's gang.\That sounds nice.\I want to help too.\You want to join a group of girls?\I'm not you.\You're helping us enough already by giving advice. response:	Arima.
context: You ask me?\I'm going to help Miyazawa's gang.\That sounds nice.\I want to help too.\You want to join a group of girls?\I'm not you.\You're helping us enough already by giving advice.\Arima. response:	Are you all right?
context: I'm going to help Miyazawa's gang.\That sounds nice.\I want to help too.\You want to join a group of girls?\I'm not you.\You're helping us enough already by giving advice.\Arima.\Are you all right? response:	What'll happen next!
context: That sounds nice.\I want to help too.\You want to join a group of girls?\I'm not you.\You're helping us enough already by giving advice.\Arima.\Are you all right?\What'll happen next! response:	The preparations for the play are going steadily,
context: I want to help too.\You want to join a group of girls?\I'm not you.\You're helping us enough already by giving advice.\Arima.\Are you all right?\What'll happen next!\The preparations for the play are going steadily, response:	and Sis shows off her lovey-doveyness with Arima.
context: You want to join a group of girls?\I'm not you.\You're helping us enough already by giving advice.\Arima.\Are you all right?\What'll happen next!\The preparations for the play are going steadily,\and Sis shows off her lovey-doveyness with Arima. response:	But unrelated to that, Tonami Takefumi...
context: I'm not you.\You're helping us enough already by giving advice.\Arima.\Are you all right?\What'll happen next!\The preparations for the play are going steadily,\and Sis shows off her lovey-doveyness with Arima.\But unrelated to that, Tonami Takefumi... response:	And the tremendously busy days...
context: You're helping us enough already by giving advice.\Arima.\Are you all right?\What'll happen next!\The preparations for the play are going steadily,\and Sis shows off her lovey-doveyness with Arima.\But unrelated to that, Tonami Takefumi...\And the tremendously busy days... response:	Please see next Act, Bye.
