context: This is the first meeting of the Council of 101 in ten years. response:	Members of the Council. Why have you brought us here?
context: But that means...\I'll go on attacking people...\The pact has already been forged.\You're now bound by blood to the Valvraves. A being based on the sacrifice of human life.\Forget it! I don't want to hurt\Is that so?\Die, then.\Kamitsuki or not, I suspect that you will die if I separate your head from your body. response:	Die? Me?
context: I'll go on attacking people...\The pact has already been forged.\You're now bound by blood to the Valvraves. A being based on the sacrifice of human life.\Forget it! I don't want to hurt\Is that so?\Die, then.\Kamitsuki or not, I suspect that you will die if I separate your head from your body.\Die? Me? response:	If I died, I wouldn't cause people any more trouble.
context: The pact has already been forged.\You're now bound by blood to the Valvraves. A being based on the sacrifice of human life.\Forget it! I don't want to hurt\Is that so?\Die, then.\Kamitsuki or not, I suspect that you will die if I separate your head from your body.\Die? Me?\If I died, I wouldn't cause people any more trouble. response:	I wouldn't hurt anyone else.
context: You're now bound by blood to the Valvraves. A being based on the sacrifice of human life.\Forget it! I don't want to hurt\Is that so?\Die, then.\Kamitsuki or not, I suspect that you will die if I separate your head from your body.\Die? Me?\If I died, I wouldn't cause people any more trouble.\I wouldn't hurt anyone else. response:	If I was gone, if there were no more Kamitsuki, then...
context: Forget it! I don't want to hurt\Is that so?\Die, then.\Kamitsuki or not, I suspect that you will die if I separate your head from your body.\Die? Me?\If I died, I wouldn't cause people any more trouble.\I wouldn't hurt anyone else.\If I was gone, if there were no more Kamitsuki, then... response:	If I...
context: Is that so?\Die, then.\Kamitsuki or not, I suspect that you will die if I separate your head from your body.\Die? Me?\If I died, I wouldn't cause people any more trouble.\I wouldn't hurt anyone else.\If I was gone, if there were no more Kamitsuki, then...\If I... response:	If I...
context: Die, then.\Kamitsuki or not, I suspect that you will die if I separate your head from your body.\Die? Me?\If I died, I wouldn't cause people any more trouble.\I wouldn't hurt anyone else.\If I was gone, if there were no more Kamitsuki, then...\If I...\If I... response:	No.
context: Kamitsuki or not, I suspect that you will die if I separate your head from your body.\Die? Me?\If I died, I wouldn't cause people any more trouble.\I wouldn't hurt anyone else.\If I was gone, if there were no more Kamitsuki, then...\If I...\If I...\No. response:	No.
context: Die? Me?\If I died, I wouldn't cause people any more trouble.\I wouldn't hurt anyone else.\If I was gone, if there were no more Kamitsuki, then...\If I...\If I...\No.\No. response:	L-elf. If I die, what happens to the Valvrave?
context: If I died, I wouldn't cause people any more trouble.\I wouldn't hurt anyone else.\If I was gone, if there were no more Kamitsuki, then...\If I...\If I...\No.\No.\L-elf. If I die, what happens to the Valvrave? response:	We choose its next pilot.
context: I wouldn't hurt anyone else.\If I was gone, if there were no more Kamitsuki, then...\If I...\If I...\No.\No.\L-elf. If I die, what happens to the Valvrave?\We choose its next pilot. response:	This country needs the military strength that the Valvraves provide.
context: If I was gone, if there were no more Kamitsuki, then...\If I...\If I...\No.\No.\L-elf. If I die, what happens to the Valvrave?\We choose its next pilot.\This country needs the military strength that the Valvraves provide. response:	I take back what I said.
context: If I...\If I...\No.\No.\L-elf. If I die, what happens to the Valvrave?\We choose its next pilot.\This country needs the military strength that the Valvraves provide.\I take back what I said. response:	The Valvrave's curse is mine to bear.
context: If I...\No.\No.\L-elf. If I die, what happens to the Valvrave?\We choose its next pilot.\This country needs the military strength that the Valvraves provide.\I take back what I said.\The Valvrave's curse is mine to bear. response:	How is this Earthfall operation gonna work if we don't got any Valvraves?
context: No.\No.\L-elf. If I die, what happens to the Valvrave?\We choose its next pilot.\This country needs the military strength that the Valvraves provide.\I take back what I said.\The Valvrave's curse is mine to bear.\How is this Earthfall operation gonna work if we don't got any Valvraves? response:	Dorssia's got a fleet waiting for us outside of the neutral zone!
context: No.\L-elf. If I die, what happens to the Valvrave?\We choose its next pilot.\This country needs the military strength that the Valvraves provide.\I take back what I said.\The Valvrave's curse is mine to bear.\How is this Earthfall operation gonna work if we don't got any Valvraves?\Dorssia's got a fleet waiting for us outside of the neutral zone! response:	We can't leave the Moon, much less go to Earth!
context: L-elf. If I die, what happens to the Valvrave?\We choose its next pilot.\This country needs the military strength that the Valvraves provide.\I take back what I said.\The Valvrave's curse is mine to bear.\How is this Earthfall operation gonna work if we don't got any Valvraves?\Dorssia's got a fleet waiting for us outside of the neutral zone!\We can't leave the Moon, much less go to Earth! response:	Can you do it? Attack people so that you can save lives?
context: We choose its next pilot.\This country needs the military strength that the Valvraves provide.\I take back what I said.\The Valvrave's curse is mine to bear.\How is this Earthfall operation gonna work if we don't got any Valvraves?\Dorssia's got a fleet waiting for us outside of the neutral zone!\We can't leave the Moon, much less go to Earth!\Can you do it? Attack people so that you can save lives? response:	Watch me.
context: This country needs the military strength that the Valvraves provide.\I take back what I said.\The Valvrave's curse is mine to bear.\How is this Earthfall operation gonna work if we don't got any Valvraves?\Dorssia's got a fleet waiting for us outside of the neutral zone!\We can't leave the Moon, much less go to Earth!\Can you do it? Attack people so that you can save lives?\Watch me. response:	The attacks are withdrawal symptoms resulting from Rune depletion.
context: I take back what I said.\The Valvrave's curse is mine to bear.\How is this Earthfall operation gonna work if we don't got any Valvraves?\Dorssia's got a fleet waiting for us outside of the neutral zone!\We can't leave the Moon, much less go to Earth!\Can you do it? Attack people so that you can save lives?\Watch me.\The attacks are withdrawal symptoms resulting from Rune depletion. response:	If you ingest Runes on a regular basis, you won't attack anyone.
context: The Valvrave's curse is mine to bear.\How is this Earthfall operation gonna work if we don't got any Valvraves?\Dorssia's got a fleet waiting for us outside of the neutral zone!\We can't leave the Moon, much less go to Earth!\Can you do it? Attack people so that you can save lives?\Watch me.\The attacks are withdrawal symptoms resulting from Rune depletion.\If you ingest Runes on a regular basis, you won't attack anyone. response:	L-elf. From now on, I'm going to feed on no one but you.
context: How is this Earthfall operation gonna work if we don't got any Valvraves?\Dorssia's got a fleet waiting for us outside of the neutral zone!\We can't leave the Moon, much less go to Earth!\Can you do it? Attack people so that you can save lives?\Watch me.\The attacks are withdrawal symptoms resulting from Rune depletion.\If you ingest Runes on a regular basis, you won't attack anyone.\L-elf. From now on, I'm going to feed on no one but you. response:	I can't hurt anyone else.
context: Dorssia's got a fleet waiting for us outside of the neutral zone!\We can't leave the Moon, much less go to Earth!\Can you do it? Attack people so that you can save lives?\Watch me.\The attacks are withdrawal symptoms resulting from Rune depletion.\If you ingest Runes on a regular basis, you won't attack anyone.\L-elf. From now on, I'm going to feed on no one but you.\I can't hurt anyone else. response:	We'll split it 50-50. The curse. The hope. Everything.
context: We can't leave the Moon, much less go to Earth!\Can you do it? Attack people so that you can save lives?\Watch me.\The attacks are withdrawal symptoms resulting from Rune depletion.\If you ingest Runes on a regular basis, you won't attack anyone.\L-elf. From now on, I'm going to feed on no one but you.\I can't hurt anyone else.\We'll split it 50-50. The curse. The hope. Everything. response:	It turned on!
context: Can you do it? Attack people so that you can save lives?\Watch me.\The attacks are withdrawal symptoms resulting from Rune depletion.\If you ingest Runes on a regular basis, you won't attack anyone.\L-elf. From now on, I'm going to feed on no one but you.\I can't hurt anyone else.\We'll split it 50-50. The curse. The hope. Everything.\It turned on! response:	No activity again today. It sure is quiet, huh?
context: Watch me.\The attacks are withdrawal symptoms resulting from Rune depletion.\If you ingest Runes on a regular basis, you won't attack anyone.\L-elf. From now on, I'm going to feed on no one but you.\I can't hurt anyone else.\We'll split it 50-50. The curse. The hope. Everything.\It turned on!\No activity again today. It sure is quiet, huh? response:	They're safe if they stay on the Moon. I doubt they're stupid enough to leave.
context: The attacks are withdrawal symptoms resulting from Rune depletion.\If you ingest Runes on a regular basis, you won't attack anyone.\L-elf. From now on, I'm going to feed on no one but you.\I can't hurt anyone else.\We'll split it 50-50. The curse. The hope. Everything.\It turned on!\No activity again today. It sure is quiet, huh?\They're safe if they stay on the Moon. I doubt they're stupid enough to leave. response:	Whao?
context: If you ingest Runes on a regular basis, you won't attack anyone.\L-elf. From now on, I'm going to feed on no one but you.\I can't hurt anyone else.\We'll split it 50-50. The curse. The hope. Everything.\It turned on!\No activity again today. It sure is quiet, huh?\They're safe if they stay on the Moon. I doubt they're stupid enough to leave.\Whao? response:	Physical object detected leaving Module 77 at high speed!
context: L-elf. From now on, I'm going to feed on no one but you.\I can't hurt anyone else.\We'll split it 50-50. The curse. The hope. Everything.\It turned on!\No activity again today. It sure is quiet, huh?\They're safe if they stay on the Moon. I doubt they're stupid enough to leave.\Whao?\Physical object detected leaving Module 77 at high speed! response:	Valvraves, five! Sazanami-class vessel, one!
context: I can't hurt anyone else.\We'll split it 50-50. The curse. The hope. Everything.\It turned on!\No activity again today. It sure is quiet, huh?\They're safe if they stay on the Moon. I doubt they're stupid enough to leave.\Whao?\Physical object detected leaving Module 77 at high speed!\Valvraves, five! Sazanami-class vessel, one! response:	We cross the neutral line in 60 seconds. Beyond that lies a battlefield.
context: We'll split it 50-50. The curse. The hope. Everything.\It turned on!\No activity again today. It sure is quiet, huh?\They're safe if they stay on the Moon. I doubt they're stupid enough to leave.\Whao?\Physical object detected leaving Module 77 at high speed!\Valvraves, five! Sazanami-class vessel, one!\We cross the neutral line in 60 seconds. Beyond that lies a battlefield. response:	We're about to cross the line!
context: It turned on!\No activity again today. It sure is quiet, huh?\They're safe if they stay on the Moon. I doubt they're stupid enough to leave.\Whao?\Physical object detected leaving Module 77 at high speed!\Valvraves, five! Sazanami-class vessel, one!\We cross the neutral line in 60 seconds. Beyond that lies a battlefield.\We're about to cross the line! response:	It's the Dorssian navy!
context: No activity again today. It sure is quiet, huh?\They're safe if they stay on the Moon. I doubt they're stupid enough to leave.\Whao?\Physical object detected leaving Module 77 at high speed!\Valvraves, five! Sazanami-class vessel, one!\We cross the neutral line in 60 seconds. Beyond that lies a battlefield.\We're about to cross the line!\It's the Dorssian navy! response:	Unit 1, you take point. Units 3, 4, and 6, deploy at uniform velocity.
context: They're safe if they stay on the Moon. I doubt they're stupid enough to leave.\Whao?\Physical object detected leaving Module 77 at high speed!\Valvraves, five! Sazanami-class vessel, one!\We cross the neutral line in 60 seconds. Beyond that lies a battlefield.\We're about to cross the line!\It's the Dorssian navy!\Unit 1, you take point. Units 3, 4, and 6, deploy at uniform velocity. response:	Unit 5, your mission is defending this craft.
context: Whao?\Physical object detected leaving Module 77 at high speed!\Valvraves, five! Sazanami-class vessel, one!\We cross the neutral line in 60 seconds. Beyond that lies a battlefield.\We're about to cross the line!\It's the Dorssian navy!\Unit 1, you take point. Units 3, 4, and 6, deploy at uniform velocity.\Unit 5, your mission is defending this craft. response:	We're going to Earth.
context: Physical object detected leaving Module 77 at high speed!\Valvraves, five! Sazanami-class vessel, one!\We cross the neutral line in 60 seconds. Beyond that lies a battlefield.\We're about to cross the line!\It's the Dorssian navy!\Unit 1, you take point. Units 3, 4, and 6, deploy at uniform velocity.\Unit 5, your mission is defending this craft.\We're going to Earth. response:	We'll go to Earth and meet with other JIORans.
context: Valvraves, five! Sazanami-class vessel, one!\We cross the neutral line in 60 seconds. Beyond that lies a battlefield.\We're about to cross the line!\It's the Dorssian navy!\Unit 1, you take point. Units 3, 4, and 6, deploy at uniform velocity.\Unit 5, your mission is defending this craft.\We're going to Earth.\We'll go to Earth and meet with other JIORans. response:	With the people who built the Valvraves, too.
context: We cross the neutral line in 60 seconds. Beyond that lies a battlefield.\We're about to cross the line!\It's the Dorssian navy!\Unit 1, you take point. Units 3, 4, and 6, deploy at uniform velocity.\Unit 5, your mission is defending this craft.\We're going to Earth.\We'll go to Earth and meet with other JIORans.\With the people who built the Valvraves, too. response:	And I'll ask them.
context: We're about to cross the line!\It's the Dorssian navy!\Unit 1, you take point. Units 3, 4, and 6, deploy at uniform velocity.\Unit 5, your mission is defending this craft.\We're going to Earth.\We'll go to Earth and meet with other JIORans.\With the people who built the Valvraves, too.\And I'll ask them. response:	How to go back to being human from a Kamitsuki.
context: It's the Dorssian navy!\Unit 1, you take point. Units 3, 4, and 6, deploy at uniform velocity.\Unit 5, your mission is defending this craft.\We're going to Earth.\We'll go to Earth and meet with other JIORans.\With the people who built the Valvraves, too.\And I'll ask them.\How to go back to being human from a Kamitsuki. response:	We've crossed the line!
context: Unit 1, you take point. Units 3, 4, and 6, deploy at uniform velocity.\Unit 5, your mission is defending this craft.\We're going to Earth.\We'll go to Earth and meet with other JIORans.\With the people who built the Valvraves, too.\And I'll ask them.\How to go back to being human from a Kamitsuki.\We've crossed the line! response:	As soon as we've taken back JIOR and all this is over,
context: Unit 5, your mission is defending this craft.\We're going to Earth.\We'll go to Earth and meet with other JIORans.\With the people who built the Valvraves, too.\And I'll ask them.\How to go back to being human from a Kamitsuki.\We've crossed the line!\As soon as we've taken back JIOR and all this is over, response:	I'll destroy all the Valvraves!
context: We're going to Earth.\We'll go to Earth and meet with other JIORans.\With the people who built the Valvraves, too.\And I'll ask them.\How to go back to being human from a Kamitsuki.\We've crossed the line!\As soon as we've taken back JIOR and all this is over,\I'll destroy all the Valvraves! response:	I'm going to make it so that this curse ends with us!
context: We'll go to Earth and meet with other JIORans.\With the people who built the Valvraves, too.\And I'll ask them.\How to go back to being human from a Kamitsuki.\We've crossed the line!\As soon as we've taken back JIOR and all this is over,\I'll destroy all the Valvraves!\I'm going to make it so that this curse ends with us! response:	It's been a long time, Mirko.
context: With the people who built the Valvraves, too.\And I'll ask them.\How to go back to being human from a Kamitsuki.\We've crossed the line!\As soon as we've taken back JIOR and all this is over,\I'll destroy all the Valvraves!\I'm going to make it so that this curse ends with us!\It's been a long time, Mirko. response:	This isn't the Council of 101.
context: And I'll ask them.\How to go back to being human from a Kamitsuki.\We've crossed the line!\As soon as we've taken back JIOR and all this is over,\I'll destroy all the Valvraves!\I'm going to make it so that this curse ends with us!\It's been a long time, Mirko.\This isn't the Council of 101. response:	I am now the 68th Chancellor of Dorssia, Amadeus.
context: How to go back to being human from a Kamitsuki.\We've crossed the line!\As soon as we've taken back JIOR and all this is over,\I'll destroy all the Valvraves!\I'm going to make it so that this curse ends with us!\It's been a long time, Mirko.\This isn't the Council of 101.\I am now the 68th Chancellor of Dorssia, Amadeus. response:	Stay in character in front of the humans.
context: We've crossed the line!\As soon as we've taken back JIOR and all this is over,\I'll destroy all the Valvraves!\I'm going to make it so that this curse ends with us!\It's been a long time, Mirko.\This isn't the Council of 101.\I am now the 68th Chancellor of Dorssia, Amadeus.\Stay in character in front of the humans. response:	More importantly...
context: As soon as we've taken back JIOR and all this is over,\I'll destroy all the Valvraves!\I'm going to make it so that this curse ends with us!\It's been a long time, Mirko.\This isn't the Council of 101.\I am now the 68th Chancellor of Dorssia, Amadeus.\Stay in character in front of the humans.\More importantly... response:	Those are...
context: I'll destroy all the Valvraves!\I'm going to make it so that this curse ends with us!\It's been a long time, Mirko.\This isn't the Council of 101.\I am now the 68th Chancellor of Dorssia, Amadeus.\Stay in character in front of the humans.\More importantly...\Those are... response:	Yes.
context: I'm going to make it so that this curse ends with us!\It's been a long time, Mirko.\This isn't the Council of 101.\I am now the 68th Chancellor of Dorssia, Amadeus.\Stay in character in front of the humans.\More importantly...\Those are...\Yes. response:	The children of the Valvraves.
context: It's been a long time, Mirko.\This isn't the Council of 101.\I am now the 68th Chancellor of Dorssia, Amadeus.\Stay in character in front of the humans.\More importantly...\Those are...\Yes.\The children of the Valvraves. response:	Next time, episode 14, Hard Reentry.
context: This isn't the Council of 101.\I am now the 68th Chancellor of Dorssia, Amadeus.\Stay in character in front of the humans.\More importantly...\Those are...\Yes.\The children of the Valvraves.\Next time, episode 14, Hard Reentry. response:	Valvrave the Liberator... The system that will expose the truth of the world.
