context: In order to stop the out-of-control Laxus, response:	Erza, and even Mystogan, challenged him in battle.
context: No matter how strong he is, after being hit with all that Dragon Slayer magic...\I can't believe it.\Well, it's simple really.\I hate the old man's lectures, so I kept it a secret.\But I'll show you special.\N-No way...\You've got to be kidding me.\Roar of the... response:	You're also a Dragon Slayer?
context: I can't believe it.\Well, it's simple really.\I hate the old man's lectures, so I kept it a secret.\But I'll show you special.\N-No way...\You've got to be kidding me.\Roar of the...\You're also a Dragon Slayer? response:	Oh?
context: Well, it's simple really.\I hate the old man's lectures, so I kept it a secret.\But I'll show you special.\N-No way...\You've got to be kidding me.\Roar of the...\You're also a Dragon Slayer?\Oh? response:	Still alive?
context: I hate the old man's lectures, so I kept it a secret.\But I'll show you special.\N-No way...\You've got to be kidding me.\Roar of the...\You're also a Dragon Slayer?\Oh?\Still alive? response:	Just stay down already.
context: But I'll show you special.\N-No way...\You've got to be kidding me.\Roar of the...\You're also a Dragon Slayer?\Oh?\Still alive?\Just stay down already. response:	My body...
context: N-No way...\You've got to be kidding me.\Roar of the...\You're also a Dragon Slayer?\Oh?\Still alive?\Just stay down already.\My body... response:	I'm all numb...
context: You've got to be kidding me.\Roar of the...\You're also a Dragon Slayer?\Oh?\Still alive?\Just stay down already.\My body...\I'm all numb... response:	You two, Erza, Mystogan,
context: Roar of the...\You're also a Dragon Slayer?\Oh?\Still alive?\Just stay down already.\My body...\I'm all numb...\You two, Erza, Mystogan, response:	the old man, the trash in the guild,
context: You're also a Dragon Slayer?\Oh?\Still alive?\Just stay down already.\My body...\I'm all numb...\You two, Erza, Mystogan,\the old man, the trash in the guild, response:	all the people in Magnolia...
context: Oh?\Still alive?\Just stay down already.\My body...\I'm all numb...\You two, Erza, Mystogan,\the old man, the trash in the guild,\all the people in Magnolia... response:	I'll make them all disappear!
context: Still alive?\Just stay down already.\My body...\I'm all numb...\You two, Erza, Mystogan,\the old man, the trash in the guild,\all the people in Magnolia...\I'll make them all disappear! response:	What's with this crazy magical power?
context: Just stay down already.\My body...\I'm all numb...\You two, Erza, Mystogan,\the old man, the trash in the guild,\all the people in Magnolia...\I'll make them all disappear!\What's with this crazy magical power? response:	This power... It's Gramps's...
context: My body...\I'm all numb...\You two, Erza, Mystogan,\the old man, the trash in the guild,\all the people in Magnolia...\I'll make them all disappear!\What's with this crazy magical power?\This power... It's Gramps's... response:	It targets everything the caster sees as an enemy...
context: I'm all numb...\You two, Erza, Mystogan,\the old man, the trash in the guild,\all the people in Magnolia...\I'll make them all disappear!\What's with this crazy magical power?\This power... It's Gramps's...\It targets everything the caster sees as an enemy... response:	Master Makarov's Ultimate Spell of Judgment!
context: You two, Erza, Mystogan,\the old man, the trash in the guild,\all the people in Magnolia...\I'll make them all disappear!\What's with this crazy magical power?\This power... It's Gramps's...\It targets everything the caster sees as an enemy...\Master Makarov's Ultimate Spell of Judgment! response:	Fairy Law!
context: the old man, the trash in the guild,\all the people in Magnolia...\I'll make them all disappear!\What's with this crazy magical power?\This power... It's Gramps's...\It targets everything the caster sees as an enemy...\Master Makarov's Ultimate Spell of Judgment!\Fairy Law! response:	That's right!
context: all the people in Magnolia...\I'll make them all disappear!\What's with this crazy magical power?\This power... It's Gramps's...\It targets everything the caster sees as an enemy...\Master Makarov's Ultimate Spell of Judgment!\Fairy Law!\That's right! response:	Fairy Law!
context: I'll make them all disappear!\What's with this crazy magical power?\This power... It's Gramps's...\It targets everything the caster sees as an enemy...\Master Makarov's Ultimate Spell of Judgment!\Fairy Law!\That's right!\Fairy Law! response:	The spell that destroyed Master Joze in one hit...
context: What's with this crazy magical power?\This power... It's Gramps's...\It targets everything the caster sees as an enemy...\Master Makarov's Ultimate Spell of Judgment!\Fairy Law!\That's right!\Fairy Law!\The spell that destroyed Master Joze in one hit... response:	Stop it, Laxus!
context: This power... It's Gramps's...\It targets everything the caster sees as an enemy...\Master Makarov's Ultimate Spell of Judgment!\Fairy Law!\That's right!\Fairy Law!\The spell that destroyed Master Joze in one hit...\Stop it, Laxus! response:	Laxus!
context: It targets everything the caster sees as an enemy...\Master Makarov's Ultimate Spell of Judgment!\Fairy Law!\That's right!\Fairy Law!\The spell that destroyed Master Joze in one hit...\Stop it, Laxus!\Laxus! response:	Stop it, Laxus!
context: Master Makarov's Ultimate Spell of Judgment!\Fairy Law!\That's right!\Fairy Law!\The spell that destroyed Master Joze in one hit...\Stop it, Laxus!\Laxus!\Stop it, Laxus! response:	Levy!
context: Fairy Law!\That's right!\Fairy Law!\The spell that destroyed Master Joze in one hit...\Stop it, Laxus!\Laxus!\Stop it, Laxus!\Levy! response:	You idiot!
context: That's right!\Fairy Law!\The spell that destroyed Master Joze in one hit...\Stop it, Laxus!\Laxus!\Stop it, Laxus!\Levy!\You idiot! response:	Why are you here?
context: Fairy Law!\The spell that destroyed Master Joze in one hit...\Stop it, Laxus!\Laxus!\Stop it, Laxus!\Levy!\You idiot!\Why are you here? response:	Laxus!
context: The spell that destroyed Master Joze in one hit...\Stop it, Laxus!\Laxus!\Stop it, Laxus!\Levy!\You idiot!\Why are you here?\Laxus! response:	The master is...
context: Stop it, Laxus!\Laxus!\Stop it, Laxus!\Levy!\You idiot!\Why are you here?\Laxus!\The master is... response:	The master... Your grandfather is...
context: Laxus!\Stop it, Laxus!\Levy!\You idiot!\Why are you here?\Laxus!\The master is...\The master... Your grandfather is... response:	So please, stop this!
context: Stop it, Laxus!\Levy!\You idiot!\Why are you here?\Laxus!\The master is...\The master... Your grandfather is...\So please, stop this! response:	Come see him!
context: Levy!\You idiot!\Why are you here?\Laxus!\The master is...\The master... Your grandfather is...\So please, stop this!\Come see him! response:	On death's door? Gramps?
context: You idiot!\Why are you here?\Laxus!\The master is...\The master... Your grandfather is...\So please, stop this!\Come see him!\On death's door? Gramps? response:	He's gonna die?
context: Why are you here?\Laxus!\The master is...\The master... Your grandfather is...\So please, stop this!\Come see him!\On death's door? Gramps?\He's gonna die? response:	Laxus!
context: Laxus!\The master is...\The master... Your grandfather is...\So please, stop this!\Come see him!\On death's door? Gramps?\He's gonna die?\Laxus! response:	Perfect timing!
context: The master is...\The master... Your grandfather is...\So please, stop this!\Come see him!\On death's door? Gramps?\He's gonna die?\Laxus!\Perfect timing! response:	Now my chance of becoming master just went back up!
context: The master... Your grandfather is...\So please, stop this!\Come see him!\On death's door? Gramps?\He's gonna die?\Laxus!\Perfect timing!\Now my chance of becoming master just went back up! response:	The bastard...
context: So please, stop this!\Come see him!\On death's door? Gramps?\He's gonna die?\Laxus!\Perfect timing!\Now my chance of becoming master just went back up!\The bastard... response:	Disappear, Fairy Tail!
context: Come see him!\On death's door? Gramps?\He's gonna die?\Laxus!\Perfect timing!\Now my chance of becoming master just went back up!\The bastard...\Disappear, Fairy Tail! response:	I'll build it up again from scratch!
context: On death's door? Gramps?\He's gonna die?\Laxus!\Perfect timing!\Now my chance of becoming master just went back up!\The bastard...\Disappear, Fairy Tail!\I'll build it up again from scratch! response:	It won't lose to anyone! Everyone will cower in fear before my ultimate guild!
context: He's gonna die?\Laxus!\Perfect timing!\Now my chance of becoming master just went back up!\The bastard...\Disappear, Fairy Tail!\I'll build it up again from scratch!\It won't lose to anyone! Everyone will cower in fear before my ultimate guild! response:	That's...
context: Laxus!\Perfect timing!\Now my chance of becoming master just went back up!\The bastard...\Disappear, Fairy Tail!\I'll build it up again from scratch!\It won't lose to anyone! Everyone will cower in fear before my ultimate guild!\That's... response:	Why, you...
context: Perfect timing!\Now my chance of becoming master just went back up!\The bastard...\Disappear, Fairy Tail!\I'll build it up again from scratch!\It won't lose to anyone! Everyone will cower in fear before my ultimate guild!\That's...\Why, you... response:	How could you?
context: Now my chance of becoming master just went back up!\The bastard...\Disappear, Fairy Tail!\I'll build it up again from scratch!\It won't lose to anyone! Everyone will cower in fear before my ultimate guild!\That's...\Why, you...\How could you? response:	Fairy Law is invoked!
context: The bastard...\Disappear, Fairy Tail!\I'll build it up again from scratch!\It won't lose to anyone! Everyone will cower in fear before my ultimate guild!\That's...\Why, you...\How could you?\Fairy Law is invoked! response:	That time we laughed, saying we're both like each other,
context: Disappear, Fairy Tail!\I'll build it up again from scratch!\It won't lose to anyone! Everyone will cower in fear before my ultimate guild!\That's...\Why, you...\How could you?\Fairy Law is invoked!\That time we laughed, saying we're both like each other, response:	we even kindly overlooked the little lies.
context: I'll build it up again from scratch!\It won't lose to anyone! Everyone will cower in fear before my ultimate guild!\That's...\Why, you...\How could you?\Fairy Law is invoked!\That time we laughed, saying we're both like each other,\we even kindly overlooked the little lies. response:	If we lose a place to go back to together, I don't care.
context: It won't lose to anyone! Everyone will cower in fear before my ultimate guild!\That's...\Why, you...\How could you?\Fairy Law is invoked!\That time we laughed, saying we're both like each other,\we even kindly overlooked the little lies.\If we lose a place to go back to together, I don't care. response:	Because I'll protect that smile.
context: That's...\Why, you...\How could you?\Fairy Law is invoked!\That time we laughed, saying we're both like each other,\we even kindly overlooked the little lies.\If we lose a place to go back to together, I don't care.\Because I'll protect that smile. response:	The meetings and partings numerous as the stars in the sky...
context: Why, you...\How could you?\Fairy Law is invoked!\That time we laughed, saying we're both like each other,\we even kindly overlooked the little lies.\If we lose a place to go back to together, I don't care.\Because I'll protect that smile.\The meetings and partings numerous as the stars in the sky... response:	All the things I don't want to lose...
context: How could you?\Fairy Law is invoked!\That time we laughed, saying we're both like each other,\we even kindly overlooked the little lies.\If we lose a place to go back to together, I don't care.\Because I'll protect that smile.\The meetings and partings numerous as the stars in the sky...\All the things I don't want to lose... response:	Right now I feel like I don't need any of them.
context: Fairy Law is invoked!\That time we laughed, saying we're both like each other,\we even kindly overlooked the little lies.\If we lose a place to go back to together, I don't care.\Because I'll protect that smile.\The meetings and partings numerous as the stars in the sky...\All the things I don't want to lose...\Right now I feel like I don't need any of them. response:	I just want to see you by my side,
context: That time we laughed, saying we're both like each other,\we even kindly overlooked the little lies.\If we lose a place to go back to together, I don't care.\Because I'll protect that smile.\The meetings and partings numerous as the stars in the sky...\All the things I don't want to lose...\Right now I feel like I don't need any of them.\I just want to see you by my side, response:	all my happiness and sadness.
context: we even kindly overlooked the little lies.\If we lose a place to go back to together, I don't care.\Because I'll protect that smile.\The meetings and partings numerous as the stars in the sky...\All the things I don't want to lose...\Right now I feel like I don't need any of them.\I just want to see you by my side,\all my happiness and sadness. response:	Let's start from here.
context: If we lose a place to go back to together, I don't care.\Because I'll protect that smile.\The meetings and partings numerous as the stars in the sky...\All the things I don't want to lose...\Right now I feel like I don't need any of them.\I just want to see you by my side,\all my happiness and sadness.\Let's start from here. response:	Let's start our tomorrow.
context: Because I'll protect that smile.\The meetings and partings numerous as the stars in the sky...\All the things I don't want to lose...\Right now I feel like I don't need any of them.\I just want to see you by my side,\all my happiness and sadness.\Let's start from here.\Let's start our tomorrow. response:	Let's do it like we've just been reborn.
context: The meetings and partings numerous as the stars in the sky...\All the things I don't want to lose...\Right now I feel like I don't need any of them.\I just want to see you by my side,\all my happiness and sadness.\Let's start from here.\Let's start our tomorrow.\Let's do it like we've just been reborn. response:	Like flowers blown in a summer wind,
context: All the things I don't want to lose...\Right now I feel like I don't need any of them.\I just want to see you by my side,\all my happiness and sadness.\Let's start from here.\Let's start our tomorrow.\Let's do it like we've just been reborn.\Like flowers blown in a summer wind, response:	let us bloom brightly in this instant.
context: Right now I feel like I don't need any of them.\I just want to see you by my side,\all my happiness and sadness.\Let's start from here.\Let's start our tomorrow.\Let's do it like we've just been reborn.\Like flowers blown in a summer wind,\let us bloom brightly in this instant. response:	Note: Japanese Residents Only
context: I just want to see you by my side,\all my happiness and sadness.\Let's start from here.\Let's start our tomorrow.\Let's do it like we've just been reborn.\Like flowers blown in a summer wind,\let us bloom brightly in this instant.\Note: Japanese Residents Only response:	This is the most important announcement in history!
context: all my happiness and sadness.\Let's start from here.\Let's start our tomorrow.\Let's do it like we've just been reborn.\Like flowers blown in a summer wind,\let us bloom brightly in this instant.\Note: Japanese Residents Only\This is the most important announcement in history! response:	We're giving away a full set of the manga so far plus the opening and ending theme CDs
context: Let's start from here.\Let's start our tomorrow.\Let's do it like we've just been reborn.\Like flowers blown in a summer wind,\let us bloom brightly in this instant.\Note: Japanese Residents Only\This is the most important announcement in history!\We're giving away a full set of the manga so far plus the opening and ending theme CDs response:	plus all the video games you see here to 20 lucky winners!
context: Let's start our tomorrow.\Let's do it like we've just been reborn.\Like flowers blown in a summer wind,\let us bloom brightly in this instant.\Note: Japanese Residents Only\This is the most important announcement in history!\We're giving away a full set of the manga so far plus the opening and ending theme CDs\plus all the video games you see here to 20 lucky winners! response:	Just fill out a postcard and send'em all in!
context: Let's do it like we've just been reborn.\Like flowers blown in a summer wind,\let us bloom brightly in this instant.\Note: Japanese Residents Only\This is the most important announcement in history!\We're giving away a full set of the manga so far plus the opening and ending theme CDs\plus all the video games you see here to 20 lucky winners!\Just fill out a postcard and send'em all in! response:	And next week the battle with Laxus reaches its climax!
context: Like flowers blown in a summer wind,\let us bloom brightly in this instant.\Note: Japanese Residents Only\This is the most important announcement in history!\We're giving away a full set of the manga so far plus the opening and ending theme CDs\plus all the video games you see here to 20 lucky winners!\Just fill out a postcard and send'em all in!\And next week the battle with Laxus reaches its climax! response:	Next time: Fantasia!
context: let us bloom brightly in this instant.\Note: Japanese Residents Only\This is the most important announcement in history!\We're giving away a full set of the manga so far plus the opening and ending theme CDs\plus all the video games you see here to 20 lucky winners!\Just fill out a postcard and send'em all in!\And next week the battle with Laxus reaches its climax!\Next time: Fantasia! response:	Thanks to the awesome giveaway, I didn't get any lines!
