context: I don't want you to go! response:	I'm just going to do laundry.
context: A favor?\I would like to have a small piece of you.\We decline, lonely one.\Don't say that! Please, Water Spirit!\Wait! Knock it off!\If she gets in a bad mood...\I'll do whatever you tell me to, so just a bit...\A tiny bit... response:	Very well.
context: I would like to have a small piece of you.\We decline, lonely one.\Don't say that! Please, Water Spirit!\Wait! Knock it off!\If she gets in a bad mood...\I'll do whatever you tell me to, so just a bit...\A tiny bit...\Very well. response:	You would do anything, say you?
context: We decline, lonely one.\Don't say that! Please, Water Spirit!\Wait! Knock it off!\If she gets in a bad mood...\I'll do whatever you tell me to, so just a bit...\A tiny bit...\Very well.\You would do anything, say you? response:	Yeah...
context: Don't say that! Please, Water Spirit!\Wait! Knock it off!\If she gets in a bad mood...\I'll do whatever you tell me to, so just a bit...\A tiny bit...\Very well.\You would do anything, say you?\Yeah... response:	We are occupied with increasing the water,
context: Wait! Knock it off!\If she gets in a bad mood...\I'll do whatever you tell me to, so just a bit...\A tiny bit...\Very well.\You would do anything, say you?\Yeah...\We are occupied with increasing the water, response:	and have no time to drive off attackers.
context: If she gets in a bad mood...\I'll do whatever you tell me to, so just a bit...\A tiny bit...\Very well.\You would do anything, say you?\Yeah...\We are occupied with increasing the water,\and have no time to drive off attackers. response:	Attackers?
context: I'll do whatever you tell me to, so just a bit...\A tiny bit...\Very well.\You would do anything, say you?\Yeah...\We are occupied with increasing the water,\and have no time to drive off attackers.\Attackers? response:	Some of your kind are attacking us.
context: A tiny bit...\Very well.\You would do anything, say you?\Yeah...\We are occupied with increasing the water,\and have no time to drive off attackers.\Attackers?\Some of your kind are attacking us. response:	We desire to be rid of them.
context: Very well.\You would do anything, say you?\Yeah...\We are occupied with increasing the water,\and have no time to drive off attackers.\Attackers?\Some of your kind are attacking us.\We desire to be rid of them. response:	Attacking the Water Spirit? Who'd do such a fearless thing?
context: You would do anything, say you?\Yeah...\We are occupied with increasing the water,\and have no time to drive off attackers.\Attackers?\Some of your kind are attacking us.\We desire to be rid of them.\Attacking the Water Spirit? Who'd do such a fearless thing? response:	There's no way I'd know that!
context: Yeah...\We are occupied with increasing the water,\and have no time to drive off attackers.\Attackers?\Some of your kind are attacking us.\We desire to be rid of them.\Attacking the Water Spirit? Who'd do such a fearless thing?\There's no way I'd know that! response:	All right.
context: We are occupied with increasing the water,\and have no time to drive off attackers.\Attackers?\Some of your kind are attacking us.\We desire to be rid of them.\Attacking the Water Spirit? Who'd do such a fearless thing?\There's no way I'd know that!\All right. response:	If we defeat them, you'll give us a piece of your body, right?
context: and have no time to drive off attackers.\Attackers?\Some of your kind are attacking us.\We desire to be rid of them.\Attacking the Water Spirit? Who'd do such a fearless thing?\There's no way I'd know that!\All right.\If we defeat them, you'll give us a piece of your body, right? response:	We shall bestow it.
context: Attackers?\Some of your kind are attacking us.\We desire to be rid of them.\Attacking the Water Spirit? Who'd do such a fearless thing?\There's no way I'd know that!\All right.\If we defeat them, you'll give us a piece of your body, right?\We shall bestow it. response:	I don't want to be involved in a fight!
context: Some of your kind are attacking us.\We desire to be rid of them.\Attacking the Water Spirit? Who'd do such a fearless thing?\There's no way I'd know that!\All right.\If we defeat them, you'll give us a piece of your body, right?\We shall bestow it.\I don't want to be involved in a fight! response:	You want to be locked up, Mon-Mon?
context: We desire to be rid of them.\Attacking the Water Spirit? Who'd do such a fearless thing?\There's no way I'd know that!\All right.\If we defeat them, you'll give us a piece of your body, right?\We shall bestow it.\I don't want to be involved in a fight!\You want to be locked up, Mon-Mon? response:	All right! Do as you like!
context: Attacking the Water Spirit? Who'd do such a fearless thing?\There's no way I'd know that!\All right.\If we defeat them, you'll give us a piece of your body, right?\We shall bestow it.\I don't want to be involved in a fight!\You want to be locked up, Mon-Mon?\All right! Do as you like! response:	Attacking the spirit that is at the bottom of the lake...
context: There's no way I'd know that!\All right.\If we defeat them, you'll give us a piece of your body, right?\We shall bestow it.\I don't want to be involved in a fight!\You want to be locked up, Mon-Mon?\All right! Do as you like!\Attacking the spirit that is at the bottom of the lake... response:	That's quite a mage we're up against.
context: All right.\If we defeat them, you'll give us a piece of your body, right?\We shall bestow it.\I don't want to be involved in a fight!\You want to be locked up, Mon-Mon?\All right! Do as you like!\Attacking the spirit that is at the bottom of the lake...\That's quite a mage we're up against. response:	How do you dive into the lake?
context: If we defeat them, you'll give us a piece of your body, right?\We shall bestow it.\I don't want to be involved in a fight!\You want to be locked up, Mon-Mon?\All right! Do as you like!\Attacking the spirit that is at the bottom of the lake...\That's quite a mage we're up against.\How do you dive into the lake? response:	Most likely a user of air.
context: We shall bestow it.\I don't want to be involved in a fight!\You want to be locked up, Mon-Mon?\All right! Do as you like!\Attacking the spirit that is at the bottom of the lake...\That's quite a mage we're up against.\How do you dive into the lake?\Most likely a user of air. response:	I think so too.
context: I don't want to be involved in a fight!\You want to be locked up, Mon-Mon?\All right! Do as you like!\Attacking the spirit that is at the bottom of the lake...\That's quite a mage we're up against.\How do you dive into the lake?\Most likely a user of air.\I think so too. response:	Using air magic, you can create a sphere of air
context: You want to be locked up, Mon-Mon?\All right! Do as you like!\Attacking the spirit that is at the bottom of the lake...\That's quite a mage we're up against.\How do you dive into the lake?\Most likely a user of air.\I think so too.\Using air magic, you can create a sphere of air response:	and use it to walk along the lake bottom.
context: All right! Do as you like!\Attacking the spirit that is at the bottom of the lake...\That's quite a mage we're up against.\How do you dive into the lake?\Most likely a user of air.\I think so too.\Using air magic, you can create a sphere of air\and use it to walk along the lake bottom. response:	I think we're up against quite a caster.
context: Attacking the spirit that is at the bottom of the lake...\That's quite a mage we're up against.\How do you dive into the lake?\Most likely a user of air.\I think so too.\Using air magic, you can create a sphere of air\and use it to walk along the lake bottom.\I think we're up against quite a caster. response:	Is that so?
context: That's quite a mage we're up against.\How do you dive into the lake?\Most likely a user of air.\I think so too.\Using air magic, you can create a sphere of air\and use it to walk along the lake bottom.\I think we're up against quite a caster.\Is that so? response:	You're talking only to Montmorency!
context: How do you dive into the lake?\Most likely a user of air.\I think so too.\Using air magic, you can create a sphere of air\and use it to walk along the lake bottom.\I think we're up against quite a caster.\Is that so?\You're talking only to Montmorency! response:	You love her much more than you love me, don't you?!
context: Most likely a user of air.\I think so too.\Using air magic, you can create a sphere of air\and use it to walk along the lake bottom.\I think we're up against quite a caster.\Is that so?\You're talking only to Montmorency!\You love her much more than you love me, don't you?! response:	That's not it! We're talking about something important,
context: I think so too.\Using air magic, you can create a sphere of air\and use it to walk along the lake bottom.\I think we're up against quite a caster.\Is that so?\You're talking only to Montmorency!\You love her much more than you love me, don't you?!\That's not it! We're talking about something important, response:	on how to turn you back to normal!
context: Using air magic, you can create a sphere of air\and use it to walk along the lake bottom.\I think we're up against quite a caster.\Is that so?\You're talking only to Montmorency!\You love her much more than you love me, don't you?!\That's not it! We're talking about something important,\on how to turn you back to normal! response:	Turning what part of me back to normal?
context: and use it to walk along the lake bottom.\I think we're up against quite a caster.\Is that so?\You're talking only to Montmorency!\You love her much more than you love me, don't you?!\That's not it! We're talking about something important,\on how to turn you back to normal!\Turning what part of me back to normal? response:	I'm totally normal right now.
context: I think we're up against quite a caster.\Is that so?\You're talking only to Montmorency!\You love her much more than you love me, don't you?!\That's not it! We're talking about something important,\on how to turn you back to normal!\Turning what part of me back to normal?\I'm totally normal right now. response:	I just love you, Saito!
context: Is that so?\You're talking only to Montmorency!\You love her much more than you love me, don't you?!\That's not it! We're talking about something important,\on how to turn you back to normal!\Turning what part of me back to normal?\I'm totally normal right now.\I just love you, Saito! response:	I understand!
context: You're talking only to Montmorency!\You love her much more than you love me, don't you?!\That's not it! We're talking about something important,\on how to turn you back to normal!\Turning what part of me back to normal?\I'm totally normal right now.\I just love you, Saito!\I understand! response:	I love you too, Louise, so can you be quiet for a little while?
context: You love her much more than you love me, don't you?!\That's not it! We're talking about something important,\on how to turn you back to normal!\Turning what part of me back to normal?\I'm totally normal right now.\I just love you, Saito!\I understand!\I love you too, Louise, so can you be quiet for a little while? response:	Yeah! I'll stay quiet.
context: That's not it! We're talking about something important,\on how to turn you back to normal!\Turning what part of me back to normal?\I'm totally normal right now.\I just love you, Saito!\I understand!\I love you too, Louise, so can you be quiet for a little while?\Yeah! I'll stay quiet. response:	For that to happen to Louise...
context: on how to turn you back to normal!\Turning what part of me back to normal?\I'm totally normal right now.\I just love you, Saito!\I understand!\I love you too, Louise, so can you be quiet for a little while?\Yeah! I'll stay quiet.\For that to happen to Louise... response:	It really works well.
context: Turning what part of me back to normal?\I'm totally normal right now.\I just love you, Saito!\I understand!\I love you too, Louise, so can you be quiet for a little while?\Yeah! I'll stay quiet.\For that to happen to Louise...\It really works well. response:	Don't think it's someone else's problem!
context: I'm totally normal right now.\I just love you, Saito!\I understand!\I love you too, Louise, so can you be quiet for a little while?\Yeah! I'll stay quiet.\For that to happen to Louise...\It really works well.\Don't think it's someone else's problem! response:	Someone's here!
context: I just love you, Saito!\I understand!\I love you too, Louise, so can you be quiet for a little while?\Yeah! I'll stay quiet.\For that to happen to Louise...\It really works well.\Don't think it's someone else's problem!\Someone's here! response:	It sounds like a spell is being cast.
context: I understand!\I love you too, Louise, so can you be quiet for a little while?\Yeah! I'll stay quiet.\For that to happen to Louise...\It really works well.\Don't think it's someone else's problem!\Someone's here!\It sounds like a spell is being cast. response:	Well, there's no doubt about it.
context: I love you too, Louise, so can you be quiet for a little while?\Yeah! I'll stay quiet.\For that to happen to Louise...\It really works well.\Don't think it's someone else's problem!\Someone's here!\It sounds like a spell is being cast.\Well, there's no doubt about it. response:	Be a good girl and stay here for a while.
context: Yeah! I'll stay quiet.\For that to happen to Louise...\It really works well.\Don't think it's someone else's problem!\Someone's here!\It sounds like a spell is being cast.\Well, there's no doubt about it.\Be a good girl and stay here for a while. response:	Saito!
context: For that to happen to Louise...\It really works well.\Don't think it's someone else's problem!\Someone's here!\It sounds like a spell is being cast.\Well, there's no doubt about it.\Be a good girl and stay here for a while.\Saito! response:	Montmorency...
context: It really works well.\Don't think it's someone else's problem!\Someone's here!\It sounds like a spell is being cast.\Well, there's no doubt about it.\Be a good girl and stay here for a while.\Saito!\Montmorency... response:	As long as I am with you, I won't let you face any danger...
context: Don't think it's someone else's problem!\Someone's here!\It sounds like a spell is being cast.\Well, there's no doubt about it.\Be a good girl and stay here for a while.\Saito!\Montmorency...\As long as I am with you, I won't let you face any danger... response:	It's all right! You hurry up and go too! Hurry up and stop them!
context: Someone's here!\It sounds like a spell is being cast.\Well, there's no doubt about it.\Be a good girl and stay here for a while.\Saito!\Montmorency...\As long as I am with you, I won't let you face any danger...\It's all right! You hurry up and go too! Hurry up and stop them! response:	Yeah... I guess so.
context: It sounds like a spell is being cast.\Well, there's no doubt about it.\Be a good girl and stay here for a while.\Saito!\Montmorency...\As long as I am with you, I won't let you face any danger...\It's all right! You hurry up and go too! Hurry up and stop them!\Yeah... I guess so. response:	Hold on.
context: Well, there's no doubt about it.\Be a good girl and stay here for a while.\Saito!\Montmorency...\As long as I am with you, I won't let you face any danger...\It's all right! You hurry up and go too! Hurry up and stop them!\Yeah... I guess so.\Hold on. response:	The opponent is a user of pretty powerful magic spells.
context: Be a good girl and stay here for a while.\Saito!\Montmorency...\As long as I am with you, I won't let you face any danger...\It's all right! You hurry up and go too! Hurry up and stop them!\Yeah... I guess so.\Hold on.\The opponent is a user of pretty powerful magic spells. response:	There's no way we would win going head-to-head against them.
context: Saito!\Montmorency...\As long as I am with you, I won't let you face any danger...\It's all right! You hurry up and go too! Hurry up and stop them!\Yeah... I guess so.\Hold on.\The opponent is a user of pretty powerful magic spells.\There's no way we would win going head-to-head against them. response:	You're going to help me?
context: Montmorency...\As long as I am with you, I won't let you face any danger...\It's all right! You hurry up and go too! Hurry up and stop them!\Yeah... I guess so.\Hold on.\The opponent is a user of pretty powerful magic spells.\There's no way we would win going head-to-head against them.\You're going to help me? response:	Of course.
context: As long as I am with you, I won't let you face any danger...\It's all right! You hurry up and go too! Hurry up and stop them!\Yeah... I guess so.\Hold on.\The opponent is a user of pretty powerful magic spells.\There's no way we would win going head-to-head against them.\You're going to help me?\Of course. response:	A noble would be shamed if he made a peasant fight all by himself.
context: It's all right! You hurry up and go too! Hurry up and stop them!\Yeah... I guess so.\Hold on.\The opponent is a user of pretty powerful magic spells.\There's no way we would win going head-to-head against them.\You're going to help me?\Of course.\A noble would be shamed if he made a peasant fight all by himself. response:	Sorry!
context: Yeah... I guess so.\Hold on.\The opponent is a user of pretty powerful magic spells.\There's no way we would win going head-to-head against them.\You're going to help me?\Of course.\A noble would be shamed if he made a peasant fight all by himself.\Sorry! response:	Guiche, I had totally lost my faith in you until now.
context: Hold on.\The opponent is a user of pretty powerful magic spells.\There's no way we would win going head-to-head against them.\You're going to help me?\Of course.\A noble would be shamed if he made a peasant fight all by himself.\Sorry!\Guiche, I had totally lost my faith in you until now. response:	Don't worry about it.
context: The opponent is a user of pretty powerful magic spells.\There's no way we would win going head-to-head against them.\You're going to help me?\Of course.\A noble would be shamed if he made a peasant fight all by himself.\Sorry!\Guiche, I had totally lost my faith in you until now.\Don't worry about it. response:	So, what do we do?
context: There's no way we would win going head-to-head against them.\You're going to help me?\Of course.\A noble would be shamed if he made a peasant fight all by himself.\Sorry!\Guiche, I had totally lost my faith in you until now.\Don't worry about it.\So, what do we do? response:	The plan is like this...
context: You're going to help me?\Of course.\A noble would be shamed if he made a peasant fight all by himself.\Sorry!\Guiche, I had totally lost my faith in you until now.\Don't worry about it.\So, what do we do?\The plan is like this... response:	I'll use magic here to draw their attention.
context: Of course.\A noble would be shamed if he made a peasant fight all by himself.\Sorry!\Guiche, I had totally lost my faith in you until now.\Don't worry about it.\So, what do we do?\The plan is like this...\I'll use magic here to draw their attention. response:	Use that to surprise them with an ambush!
context: A noble would be shamed if he made a peasant fight all by himself.\Sorry!\Guiche, I had totally lost my faith in you until now.\Don't worry about it.\So, what do we do?\The plan is like this...\I'll use magic here to draw their attention.\Use that to surprise them with an ambush! response:	Understood!
context: Sorry!\Guiche, I had totally lost my faith in you until now.\Don't worry about it.\So, what do we do?\The plan is like this...\I'll use magic here to draw their attention.\Use that to surprise them with an ambush!\Understood! response:	Wait... Are you trying to swing by with the easy part?
context: Guiche, I had totally lost my faith in you until now.\Don't worry about it.\So, what do we do?\The plan is like this...\I'll use magic here to draw their attention.\Use that to surprise them with an ambush!\Understood!\Wait... Are you trying to swing by with the easy part? response:	What are you talking about?
context: Don't worry about it.\So, what do we do?\The plan is like this...\I'll use magic here to draw their attention.\Use that to surprise them with an ambush!\Understood!\Wait... Are you trying to swing by with the easy part?\What are you talking about? response:	I am a mage, and you are a swordsman, aren't you?
context: So, what do we do?\The plan is like this...\I'll use magic here to draw their attention.\Use that to surprise them with an ambush!\Understood!\Wait... Are you trying to swing by with the easy part?\What are you talking about?\I am a mage, and you are a swordsman, aren't you? response:	Considering our tactics...
context: The plan is like this...\I'll use magic here to draw their attention.\Use that to surprise them with an ambush!\Understood!\Wait... Are you trying to swing by with the easy part?\What are you talking about?\I am a mage, and you are a swordsman, aren't you?\Considering our tactics... response:	Yeah, yeah...
context: I'll use magic here to draw their attention.\Use that to surprise them with an ambush!\Understood!\Wait... Are you trying to swing by with the easy part?\What are you talking about?\I am a mage, and you are a swordsman, aren't you?\Considering our tactics...\Yeah, yeah... response:	Then I'll run by behind them, so I'm leaving the rest to you.
context: Use that to surprise them with an ambush!\Understood!\Wait... Are you trying to swing by with the easy part?\What are you talking about?\I am a mage, and you are a swordsman, aren't you?\Considering our tactics...\Yeah, yeah...\Then I'll run by behind them, so I'm leaving the rest to you. response:	Yeah...
context: Understood!\Wait... Are you trying to swing by with the easy part?\What are you talking about?\I am a mage, and you are a swordsman, aren't you?\Considering our tactics...\Yeah, yeah...\Then I'll run by behind them, so I'm leaving the rest to you.\Yeah... response:	I came here thinking it would be a little vacation.
context: Wait... Are you trying to swing by with the easy part?\What are you talking about?\I am a mage, and you are a swordsman, aren't you?\Considering our tactics...\Yeah, yeah...\Then I'll run by behind them, so I'm leaving the rest to you.\Yeah...\I came here thinking it would be a little vacation. response:	Why do I have to be in such a situation?
context: What are you talking about?\I am a mage, and you are a swordsman, aren't you?\Considering our tactics...\Yeah, yeah...\Then I'll run by behind them, so I'm leaving the rest to you.\Yeah...\I came here thinking it would be a little vacation.\Why do I have to be in such a situation? response:	Earth, robust mother, answer my wishes and become a moving wall!
context: I am a mage, and you are a swordsman, aren't you?\Considering our tactics...\Yeah, yeah...\Then I'll run by behind them, so I'm leaving the rest to you.\Yeah...\I came here thinking it would be a little vacation.\Why do I have to be in such a situation?\Earth, robust mother, answer my wishes and become a moving wall! response:	Huh?
context: Considering our tactics...\Yeah, yeah...\Then I'll run by behind them, so I'm leaving the rest to you.\Yeah...\I came here thinking it would be a little vacation.\Why do I have to be in such a situation?\Earth, robust mother, answer my wishes and become a moving wall!\Huh? response:	They're taking turns using their magic, so they're never off guard!
context: Yeah, yeah...\Then I'll run by behind them, so I'm leaving the rest to you.\Yeah...\I came here thinking it would be a little vacation.\Why do I have to be in such a situation?\Earth, robust mother, answer my wishes and become a moving wall!\Huh?\They're taking turns using their magic, so they're never off guard! response:	Draw me, partner!
context: Then I'll run by behind them, so I'm leaving the rest to you.\Yeah...\I came here thinking it would be a little vacation.\Why do I have to be in such a situation?\Earth, robust mother, answer my wishes and become a moving wall!\Huh?\They're taking turns using their magic, so they're never off guard!\Draw me, partner! response:	Now!
context: Yeah...\I came here thinking it would be a little vacation.\Why do I have to be in such a situation?\Earth, robust mother, answer my wishes and become a moving wall!\Huh?\They're taking turns using their magic, so they're never off guard!\Draw me, partner!\Now! response:	Hot!
context: I came here thinking it would be a little vacation.\Why do I have to be in such a situation?\Earth, robust mother, answer my wishes and become a moving wall!\Huh?\They're taking turns using their magic, so they're never off guard!\Draw me, partner!\Now!\Hot! response:	Look out!
context: Why do I have to be in such a situation?\Earth, robust mother, answer my wishes and become a moving wall!\Huh?\They're taking turns using their magic, so they're never off guard!\Draw me, partner!\Now!\Hot!\Look out! response:	Not good! Saito, run!
context: Earth, robust mother, answer my wishes and become a moving wall!\Huh?\They're taking turns using their magic, so they're never off guard!\Draw me, partner!\Now!\Hot!\Look out!\Not good! Saito, run! response:	Don't be mean to Saito!
context: Huh?\They're taking turns using their magic, so they're never off guard!\Draw me, partner!\Now!\Hot!\Look out!\Not good! Saito, run!\Don't be mean to Saito! response:	Saito?
context: They're taking turns using their magic, so they're never off guard!\Draw me, partner!\Now!\Hot!\Look out!\Not good! Saito, run!\Don't be mean to Saito!\Saito? response:	Did someone say Saito?
context: Draw me, partner!\Now!\Hot!\Look out!\Not good! Saito, run!\Don't be mean to Saito!\Saito?\Did someone say Saito? response:	Oh, it's true.
context: Now!\Hot!\Look out!\Not good! Saito, run!\Don't be mean to Saito!\Saito?\Did someone say Saito?\Oh, it's true. response:	Looking closely, it really is Saito.
context: Hot!\Look out!\Not good! Saito, run!\Don't be mean to Saito!\Saito?\Did someone say Saito?\Oh, it's true.\Looking closely, it really is Saito. response:	Huh?
context: Look out!\Not good! Saito, run!\Don't be mean to Saito!\Saito?\Did someone say Saito?\Oh, it's true.\Looking closely, it really is Saito.\Huh? response:	Guiche, Montmorency... Even Louise?
context: Not good! Saito, run!\Don't be mean to Saito!\Saito?\Did someone say Saito?\Oh, it's true.\Looking closely, it really is Saito.\Huh?\Guiche, Montmorency... Even Louise? response:	Why are you all here?
context: Don't be mean to Saito!\Saito?\Did someone say Saito?\Oh, it's true.\Looking closely, it really is Saito.\Huh?\Guiche, Montmorency... Even Louise?\Why are you all here? response:	I see, so that's what's going on.
context: Saito?\Did someone say Saito?\Oh, it's true.\Looking closely, it really is Saito.\Huh?\Guiche, Montmorency... Even Louise?\Why are you all here?\I see, so that's what's going on. response:	But why did you make such a dangerous thing as a love potion?
context: Did someone say Saito?\Oh, it's true.\Looking closely, it really is Saito.\Huh?\Guiche, Montmorency... Even Louise?\Why are you all here?\I see, so that's what's going on.\But why did you make such a dangerous thing as a love potion? response:	That's because...
context: Oh, it's true.\Looking closely, it really is Saito.\Huh?\Guiche, Montmorency... Even Louise?\Why are you all here?\I see, so that's what's going on.\But why did you make such a dangerous thing as a love potion?\That's because... response:	Ouch!
context: Looking closely, it really is Saito.\Huh?\Guiche, Montmorency... Even Louise?\Why are you all here?\I see, so that's what's going on.\But why did you make such a dangerous thing as a love potion?\That's because...\Ouch! response:	I just wanted to make some.
context: Huh?\Guiche, Montmorency... Even Louise?\Why are you all here?\I see, so that's what's going on.\But why did you make such a dangerous thing as a love potion?\That's because...\Ouch!\I just wanted to make some. response:	That puts us in trouble.
context: Guiche, Montmorency... Even Louise?\Why are you all here?\I see, so that's what's going on.\But why did you make such a dangerous thing as a love potion?\That's because...\Ouch!\I just wanted to make some.\That puts us in trouble. response:	We have to defeat the Water Spirit for Tabitha to keep face.
context: Why are you all here?\I see, so that's what's going on.\But why did you make such a dangerous thing as a love potion?\That's because...\Ouch!\I just wanted to make some.\That puts us in trouble.\We have to defeat the Water Spirit for Tabitha to keep face. response:	Why do you have to defeat it?
context: I see, so that's what's going on.\But why did you make such a dangerous thing as a love potion?\That's because...\Ouch!\I just wanted to make some.\That puts us in trouble.\We have to defeat the Water Spirit for Tabitha to keep face.\Why do you have to defeat it? response:	That's because...
context: But why did you make such a dangerous thing as a love potion?\That's because...\Ouch!\I just wanted to make some.\That puts us in trouble.\We have to defeat the Water Spirit for Tabitha to keep face.\Why do you have to defeat it?\That's because... response:	Tabitha's family asked her to.
context: That's because...\Ouch!\I just wanted to make some.\That puts us in trouble.\We have to defeat the Water Spirit for Tabitha to keep face.\Why do you have to defeat it?\That's because...\Tabitha's family asked her to. response:	The water level is rising every day,
context: Ouch!\I just wanted to make some.\That puts us in trouble.\We have to defeat the Water Spirit for Tabitha to keep face.\Why do you have to defeat it?\That's because...\Tabitha's family asked her to.\The water level is rising every day, response:	and their territory is getting damaged.
context: I just wanted to make some.\That puts us in trouble.\We have to defeat the Water Spirit for Tabitha to keep face.\Why do you have to defeat it?\That's because...\Tabitha's family asked her to.\The water level is rising every day,\and their territory is getting damaged. response:	You have your own reasons for being here... This is tough.
context: That puts us in trouble.\We have to defeat the Water Spirit for Tabitha to keep face.\Why do you have to defeat it?\That's because...\Tabitha's family asked her to.\The water level is rising every day,\and their territory is getting damaged.\You have your own reasons for being here... This is tough. response:	Hey, Mon-Mon, you were saying that the Water Spirit was angry, right?
context: We have to defeat the Water Spirit for Tabitha to keep face.\Why do you have to defeat it?\That's because...\Tabitha's family asked her to.\The water level is rising every day,\and their territory is getting damaged.\You have your own reasons for being here... This is tough.\Hey, Mon-Mon, you were saying that the Water Spirit was angry, right? response:	I did, but why?
context: Why do you have to defeat it?\That's because...\Tabitha's family asked her to.\The water level is rising every day,\and their territory is getting damaged.\You have your own reasons for being here... This is tough.\Hey, Mon-Mon, you were saying that the Water Spirit was angry, right?\I did, but why? response:	For now, we can ask it the reason why it's so upset.
context: That's because...\Tabitha's family asked her to.\The water level is rising every day,\and their territory is getting damaged.\You have your own reasons for being here... This is tough.\Hey, Mon-Mon, you were saying that the Water Spirit was angry, right?\I did, but why?\For now, we can ask it the reason why it's so upset. response:	Why are you overflowing the lake with water?
context: Tabitha's family asked her to.\The water level is rising every day,\and their territory is getting damaged.\You have your own reasons for being here... This is tough.\Hey, Mon-Mon, you were saying that the Water Spirit was angry, right?\I did, but why?\For now, we can ask it the reason why it's so upset.\Why are you overflowing the lake with water? response:	It's causing everyone trouble.
context: The water level is rising every day,\and their territory is getting damaged.\You have your own reasons for being here... This is tough.\Hey, Mon-Mon, you were saying that the Water Spirit was angry, right?\I did, but why?\For now, we can ask it the reason why it's so upset.\Why are you overflowing the lake with water?\It's causing everyone trouble. response:	Because one of your folk abducted the treasure that we were guarding.
context: and their territory is getting damaged.\You have your own reasons for being here... This is tough.\Hey, Mon-Mon, you were saying that the Water Spirit was angry, right?\I did, but why?\For now, we can ask it the reason why it's so upset.\Why are you overflowing the lake with water?\It's causing everyone trouble.\Because one of your folk abducted the treasure that we were guarding. response:	A treasure?
context: You have your own reasons for being here... This is tough.\Hey, Mon-Mon, you were saying that the Water Spirit was angry, right?\I did, but why?\For now, we can ask it the reason why it's so upset.\Why are you overflowing the lake with water?\It's causing everyone trouble.\Because one of your folk abducted the treasure that we were guarding.\A treasure? response:	We can exist only in water.
context: Hey, Mon-Mon, you were saying that the Water Spirit was angry, right?\I did, but why?\For now, we can ask it the reason why it's so upset.\Why are you overflowing the lake with water?\It's causing everyone trouble.\Because one of your folk abducted the treasure that we were guarding.\A treasure?\We can exist only in water. response:	Therefore, should we fill this entire world with water,
context: I did, but why?\For now, we can ask it the reason why it's so upset.\Why are you overflowing the lake with water?\It's causing everyone trouble.\Because one of your folk abducted the treasure that we were guarding.\A treasure?\We can exist only in water.\Therefore, should we fill this entire world with water, response:	we will someday have the treasure back in our hands.
context: For now, we can ask it the reason why it's so upset.\Why are you overflowing the lake with water?\It's causing everyone trouble.\Because one of your folk abducted the treasure that we were guarding.\A treasure?\We can exist only in water.\Therefore, should we fill this entire world with water,\we will someday have the treasure back in our hands. response:	Fill the world with water? That's a long-term plan...
context: Why are you overflowing the lake with water?\It's causing everyone trouble.\Because one of your folk abducted the treasure that we were guarding.\A treasure?\We can exist only in water.\Therefore, should we fill this entire world with water,\we will someday have the treasure back in our hands.\Fill the world with water? That's a long-term plan... response:	That can't be helped.
context: It's causing everyone trouble.\Because one of your folk abducted the treasure that we were guarding.\A treasure?\We can exist only in water.\Therefore, should we fill this entire world with water,\we will someday have the treasure back in our hands.\Fill the world with water? That's a long-term plan...\That can't be helped. response:	Spirits are immortal,
context: Because one of your folk abducted the treasure that we were guarding.\A treasure?\We can exist only in water.\Therefore, should we fill this entire world with water,\we will someday have the treasure back in our hands.\Fill the world with water? That's a long-term plan...\That can't be helped.\Spirits are immortal, response:	so their sense of time is different from ours.
context: A treasure?\We can exist only in water.\Therefore, should we fill this entire world with water,\we will someday have the treasure back in our hands.\Fill the world with water? That's a long-term plan...\That can't be helped.\Spirits are immortal,\so their sense of time is different from ours. response:	All right, if that's the case,
context: We can exist only in water.\Therefore, should we fill this entire world with water,\we will someday have the treasure back in our hands.\Fill the world with water? That's a long-term plan...\That can't be helped.\Spirits are immortal,\so their sense of time is different from ours.\All right, if that's the case, response:	I'll bring whatever that treasure is back to you!
context: Therefore, should we fill this entire world with water,\we will someday have the treasure back in our hands.\Fill the world with water? That's a long-term plan...\That can't be helped.\Spirits are immortal,\so their sense of time is different from ours.\All right, if that's the case,\I'll bring whatever that treasure is back to you! response:	Saito, it's easy to say that, but...
context: we will someday have the treasure back in our hands.\Fill the world with water? That's a long-term plan...\That can't be helped.\Spirits are immortal,\so their sense of time is different from ours.\All right, if that's the case,\I'll bring whatever that treasure is back to you!\Saito, it's easy to say that, but... response:	What's the name of that treasure?
context: Fill the world with water? That's a long-term plan...\That can't be helped.\Spirits are immortal,\so their sense of time is different from ours.\All right, if that's the case,\I'll bring whatever that treasure is back to you!\Saito, it's easy to say that, but...\What's the name of that treasure? response:	Andvari's Ring. A ring that has spent much time with us.
context: That can't be helped.\Spirits are immortal,\so their sense of time is different from ours.\All right, if that's the case,\I'll bring whatever that treasure is back to you!\Saito, it's easy to say that, but...\What's the name of that treasure?\Andvari's Ring. A ring that has spent much time with us. response:	Andvari... I've heard of it.
context: Spirits are immortal,\so their sense of time is different from ours.\All right, if that's the case,\I'll bring whatever that treasure is back to you!\Saito, it's easy to say that, but...\What's the name of that treasure?\Andvari's Ring. A ring that has spent much time with us.\Andvari... I've heard of it. response:	I think it was a magic item that grants artificial souls.
