context: I've been thinking this whole time. response:	What should I do for Norman's sake?
context: Realistically, this is the only way to escape with everyone.\At first, we told four.\What do you want to know? Go ahead. Ask me anything.\Really, anything?\Yes. Whether it be about the farm or about the headquarters...\Nat.\There are humans outside who haven't been eaten.\Anna. response:	Then you don't know how long the demons have been around?
context: At first, we told four.\What do you want to know? Go ahead. Ask me anything.\Really, anything?\Yes. Whether it be about the farm or about the headquarters...\Nat.\There are humans outside who haven't been eaten.\Anna.\Then you don't know how long the demons have been around? response:	Lannion. Thoma.
context: What do you want to know? Go ahead. Ask me anything.\Really, anything?\Yes. Whether it be about the farm or about the headquarters...\Nat.\There are humans outside who haven't been eaten.\Anna.\Then you don't know how long the demons have been around?\Lannion. Thoma. response:	We let them hear what Sister said.
context: Really, anything?\Yes. Whether it be about the farm or about the headquarters...\Nat.\There are humans outside who haven't been eaten.\Anna.\Then you don't know how long the demons have been around?\Lannion. Thoma.\We let them hear what Sister said. response:	Since that far back?
context: Yes. Whether it be about the farm or about the headquarters...\Nat.\There are humans outside who haven't been eaten.\Anna.\Then you don't know how long the demons have been around?\Lannion. Thoma.\We let them hear what Sister said.\Since that far back? response:	For the rest, we spent two months slowly recruiting them in.
context: Nat.\There are humans outside who haven't been eaten.\Anna.\Then you don't know how long the demons have been around?\Lannion. Thoma.\We let them hear what Sister said.\Since that far back?\For the rest, we spent two months slowly recruiting them in. response:	Mom probably didn't notice at all.
context: There are humans outside who haven't been eaten.\Anna.\Then you don't know how long the demons have been around?\Lannion. Thoma.\We let them hear what Sister said.\Since that far back?\For the rest, we spent two months slowly recruiting them in.\Mom probably didn't notice at all. response:	That Emma was only pretending to have given up, but was actually giving everyone instructions.
context: Anna.\Then you don't know how long the demons have been around?\Lannion. Thoma.\We let them hear what Sister said.\Since that far back?\For the rest, we spent two months slowly recruiting them in.\Mom probably didn't notice at all.\That Emma was only pretending to have given up, but was actually giving everyone instructions. response:	Training for the escape, and all other preparations.
context: Then you don't know how long the demons have been around?\Lannion. Thoma.\We let them hear what Sister said.\Since that far back?\For the rest, we spent two months slowly recruiting them in.\Mom probably didn't notice at all.\That Emma was only pretending to have given up, but was actually giving everyone instructions.\Training for the escape, and all other preparations. response:	How far along are you?
context: Lannion. Thoma.\We let them hear what Sister said.\Since that far back?\For the rest, we spent two months slowly recruiting them in.\Mom probably didn't notice at all.\That Emma was only pretending to have given up, but was actually giving everyone instructions.\Training for the escape, and all other preparations.\How far along are you? response:	Everything is ready.
context: We let them hear what Sister said.\Since that far back?\For the rest, we spent two months slowly recruiting them in.\Mom probably didn't notice at all.\That Emma was only pretending to have given up, but was actually giving everyone instructions.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready. response:	Supplies, food, and warm clothing.
context: Since that far back?\For the rest, we spent two months slowly recruiting them in.\Mom probably didn't notice at all.\That Emma was only pretending to have given up, but was actually giving everyone instructions.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing. response:	We can escape anytime.
context: For the rest, we spent two months slowly recruiting them in.\Mom probably didn't notice at all.\That Emma was only pretending to have given up, but was actually giving everyone instructions.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime. response:	You guys...
context: Mom probably didn't notice at all.\That Emma was only pretending to have given up, but was actually giving everyone instructions.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\You guys... response:	Norman.
context: That Emma was only pretending to have given up, but was actually giving everyone instructions.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\You guys...\Norman. response:	Nat and I will climb up first. Then we'll pull everyone up.
context: Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\You guys...\Norman.\Nat and I will climb up first. Then we'll pull everyone up. response:	Okay, everyone! Just do it like how we trained, and you'll be fine!
context: How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\You guys...\Norman.\Nat and I will climb up first. Then we'll pull everyone up.\Okay, everyone! Just do it like how we trained, and you'll be fine! response:	Everyone's going to escape safely.
context: Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\You guys...\Norman.\Nat and I will climb up first. Then we'll pull everyone up.\Okay, everyone! Just do it like how we trained, and you'll be fine!\Everyone's going to escape safely. response:	Wait...
context: Supplies, food, and warm clothing.\We can escape anytime.\You guys...\Norman.\Nat and I will climb up first. Then we'll pull everyone up.\Okay, everyone! Just do it like how we trained, and you'll be fine!\Everyone's going to escape safely.\Wait... response:	It's burning. Everything is burning.
context: We can escape anytime.\You guys...\Norman.\Nat and I will climb up first. Then we'll pull everyone up.\Okay, everyone! Just do it like how we trained, and you'll be fine!\Everyone's going to escape safely.\Wait...\It's burning. Everything is burning. response:	But...
context: You guys...\Norman.\Nat and I will climb up first. Then we'll pull everyone up.\Okay, everyone! Just do it like how we trained, and you'll be fine!\Everyone's going to escape safely.\Wait...\It's burning. Everything is burning.\But... response:	They're still alive! Emma and Ray, and...
context: Norman.\Nat and I will climb up first. Then we'll pull everyone up.\Okay, everyone! Just do it like how we trained, and you'll be fine!\Everyone's going to escape safely.\Wait...\It's burning. Everything is burning.\But...\They're still alive! Emma and Ray, and... response:	I won't let you escape, my adorable children.
context: Nat and I will climb up first. Then we'll pull everyone up.\Okay, everyone! Just do it like how we trained, and you'll be fine!\Everyone's going to escape safely.\Wait...\It's burning. Everything is burning.\But...\They're still alive! Emma and Ray, and...\I won't let you escape, my adorable children. response:	Is this all of us?
context: Okay, everyone! Just do it like how we trained, and you'll be fine!\Everyone's going to escape safely.\Wait...\It's burning. Everything is burning.\But...\They're still alive! Emma and Ray, and...\I won't let you escape, my adorable children.\Is this all of us? response:	Mom.
