context: Genes of Destiny response:	Please look after them.
context: In an effort to prevent your annihilation,\I have offered Earth my assistance throughout the war.\Unfortunately, repelling our army has proven to be\an extremely difficult task.\However, if you destroy that gate,\the invasion will come to a complete halt.\I believe that is the only option left before you.\Is that really a Wulgaru princess? response:	If she's from the enemy side, why is she helping us?
context: I have offered Earth my assistance throughout the war.\Unfortunately, repelling our army has proven to be\an extremely difficult task.\However, if you destroy that gate,\the invasion will come to a complete halt.\I believe that is the only option left before you.\Is that really a Wulgaru princess?\If she's from the enemy side, why is she helping us? response:	Can we actually believe anything she tells us?
context: Unfortunately, repelling our army has proven to be\an extremely difficult task.\However, if you destroy that gate,\the invasion will come to a complete halt.\I believe that is the only option left before you.\Is that really a Wulgaru princess?\If she's from the enemy side, why is she helping us?\Can we actually believe anything she tells us? response:	A heat source located above satellite orbit is
context: an extremely difficult task.\However, if you destroy that gate,\the invasion will come to a complete halt.\I believe that is the only option left before you.\Is that really a Wulgaru princess?\If she's from the enemy side, why is she helping us?\Can we actually believe anything she tells us?\A heat source located above satellite orbit is response:	quickly approaching GDF Headquarters.
context: However, if you destroy that gate,\the invasion will come to a complete halt.\I believe that is the only option left before you.\Is that really a Wulgaru princess?\If she's from the enemy side, why is she helping us?\Can we actually believe anything she tells us?\A heat source located above satellite orbit is\quickly approaching GDF Headquarters. response:	I repeat: A heat source located above
context: the invasion will come to a complete halt.\I believe that is the only option left before you.\Is that really a Wulgaru princess?\If she's from the enemy side, why is she helping us?\Can we actually believe anything she tells us?\A heat source located above satellite orbit is\quickly approaching GDF Headquarters.\I repeat: A heat source located above response:	satellite orbit is quickly approaching GDF Headquarters.
context: I believe that is the only option left before you.\Is that really a Wulgaru princess?\If she's from the enemy side, why is she helping us?\Can we actually believe anything she tells us?\A heat source located above satellite orbit is\quickly approaching GDF Headquarters.\I repeat: A heat source located above\satellite orbit is quickly approaching GDF Headquarters. response:	Please remain calm!
context: Is that really a Wulgaru princess?\If she's from the enemy side, why is she helping us?\Can we actually believe anything she tells us?\A heat source located above satellite orbit is\quickly approaching GDF Headquarters.\I repeat: A heat source located above\satellite orbit is quickly approaching GDF Headquarters.\Please remain calm! response:	The unidentified flying object will reach GDF Headquarters in- uh...
context: If she's from the enemy side, why is she helping us?\Can we actually believe anything she tells us?\A heat source located above satellite orbit is\quickly approaching GDF Headquarters.\I repeat: A heat source located above\satellite orbit is quickly approaching GDF Headquarters.\Please remain calm!\The unidentified flying object will reach GDF Headquarters in- uh... response:	Confirming the identification code!
context: Can we actually believe anything she tells us?\A heat source located above satellite orbit is\quickly approaching GDF Headquarters.\I repeat: A heat source located above\satellite orbit is quickly approaching GDF Headquarters.\Please remain calm!\The unidentified flying object will reach GDF Headquarters in- uh...\Confirming the identification code! response:	The identification code belongs to the...
context: A heat source located above satellite orbit is\quickly approaching GDF Headquarters.\I repeat: A heat source located above\satellite orbit is quickly approaching GDF Headquarters.\Please remain calm!\The unidentified flying object will reach GDF Headquarters in- uh...\Confirming the identification code!\The identification code belongs to the... response:	That's a Wulgaru ship?!
context: quickly approaching GDF Headquarters.\I repeat: A heat source located above\satellite orbit is quickly approaching GDF Headquarters.\Please remain calm!\The unidentified flying object will reach GDF Headquarters in- uh...\Confirming the identification code!\The identification code belongs to the...\That's a Wulgaru ship?! response:	What's it doing here?!
context: I repeat: A heat source located above\satellite orbit is quickly approaching GDF Headquarters.\Please remain calm!\The unidentified flying object will reach GDF Headquarters in- uh...\Confirming the identification code!\The identification code belongs to the...\That's a Wulgaru ship?!\What's it doing here?! response:	What's going on...?
context: satellite orbit is quickly approaching GDF Headquarters.\Please remain calm!\The unidentified flying object will reach GDF Headquarters in- uh...\Confirming the identification code!\The identification code belongs to the...\That's a Wulgaru ship?!\What's it doing here?!\What's going on...? response:	Commander Simon...?
context: Please remain calm!\The unidentified flying object will reach GDF Headquarters in- uh...\Confirming the identification code!\The identification code belongs to the...\That's a Wulgaru ship?!\What's it doing here?!\What's going on...?\Commander Simon...? response:	This is the Imperial Princess Teoria of the Wulgaru!
context: The unidentified flying object will reach GDF Headquarters in- uh...\Confirming the identification code!\The identification code belongs to the...\That's a Wulgaru ship?!\What's it doing here?!\What's going on...?\Commander Simon...?\This is the Imperial Princess Teoria of the Wulgaru! response:	Please forgive my unseemly entrance.
context: Confirming the identification code!\The identification code belongs to the...\That's a Wulgaru ship?!\What's it doing here?!\What's going on...?\Commander Simon...?\This is the Imperial Princess Teoria of the Wulgaru!\Please forgive my unseemly entrance. response:	In order to prove what I said to be true,
context: The identification code belongs to the...\That's a Wulgaru ship?!\What's it doing here?!\What's going on...?\Commander Simon...?\This is the Imperial Princess Teoria of the Wulgaru!\Please forgive my unseemly entrance.\In order to prove what I said to be true, response:	I wanted everyone to see the Wulgaru unit
context: That's a Wulgaru ship?!\What's it doing here?!\What's going on...?\Commander Simon...?\This is the Imperial Princess Teoria of the Wulgaru!\Please forgive my unseemly entrance.\In order to prove what I said to be true,\I wanted everyone to see the Wulgaru unit response:	that I used to fly here.
context: What's it doing here?!\What's going on...?\Commander Simon...?\This is the Imperial Princess Teoria of the Wulgaru!\Please forgive my unseemly entrance.\In order to prove what I said to be true,\I wanted everyone to see the Wulgaru unit\that I used to fly here. response:	Our technology served as the foundation for
context: What's going on...?\Commander Simon...?\This is the Imperial Princess Teoria of the Wulgaru!\Please forgive my unseemly entrance.\In order to prove what I said to be true,\I wanted everyone to see the Wulgaru unit\that I used to fly here.\Our technology served as the foundation for response:	the AHSMB units developed by the MJP.
context: Commander Simon...?\This is the Imperial Princess Teoria of the Wulgaru!\Please forgive my unseemly entrance.\In order to prove what I said to be true,\I wanted everyone to see the Wulgaru unit\that I used to fly here.\Our technology served as the foundation for\the AHSMB units developed by the MJP. response:	I will participate in this operation.
context: This is the Imperial Princess Teoria of the Wulgaru!\Please forgive my unseemly entrance.\In order to prove what I said to be true,\I wanted everyone to see the Wulgaru unit\that I used to fly here.\Our technology served as the foundation for\the AHSMB units developed by the MJP.\I will participate in this operation. response:	If everyone does likewise, I shall share my information with you.
context: Please forgive my unseemly entrance.\In order to prove what I said to be true,\I wanted everyone to see the Wulgaru unit\that I used to fly here.\Our technology served as the foundation for\the AHSMB units developed by the MJP.\I will participate in this operation.\If everyone does likewise, I shall share my information with you. response:	I implore you to offer your cooperation.
context: In order to prove what I said to be true,\I wanted everyone to see the Wulgaru unit\that I used to fly here.\Our technology served as the foundation for\the AHSMB units developed by the MJP.\I will participate in this operation.\If everyone does likewise, I shall share my information with you.\I implore you to offer your cooperation. response:	There! That's it for our tests.
context: I wanted everyone to see the Wulgaru unit\that I used to fly here.\Our technology served as the foundation for\the AHSMB units developed by the MJP.\I will participate in this operation.\If everyone does likewise, I shall share my information with you.\I implore you to offer your cooperation.\There! That's it for our tests. response:	Asagi, thank you.
context: that I used to fly here.\Our technology served as the foundation for\the AHSMB units developed by the MJP.\I will participate in this operation.\If everyone does likewise, I shall share my information with you.\I implore you to offer your cooperation.\There! That's it for our tests.\Asagi, thank you. response:	Uh, it was nothing.
context: Our technology served as the foundation for\the AHSMB units developed by the MJP.\I will participate in this operation.\If everyone does likewise, I shall share my information with you.\I implore you to offer your cooperation.\There! That's it for our tests.\Asagi, thank you.\Uh, it was nothing. response:	We weren't able to get everything done...
context: the AHSMB units developed by the MJP.\I will participate in this operation.\If everyone does likewise, I shall share my information with you.\I implore you to offer your cooperation.\There! That's it for our tests.\Asagi, thank you.\Uh, it was nothing.\We weren't able to get everything done... response:	What are you up to?
context: I will participate in this operation.\If everyone does likewise, I shall share my information with you.\I implore you to offer your cooperation.\There! That's it for our tests.\Asagi, thank you.\Uh, it was nothing.\We weren't able to get everything done...\What are you up to? response:	Oh, Boss!
context: If everyone does likewise, I shall share my information with you.\I implore you to offer your cooperation.\There! That's it for our tests.\Asagi, thank you.\Uh, it was nothing.\We weren't able to get everything done...\What are you up to?\Oh, Boss! response:	We asked Asagi to help with Red 5's tests,
context: I implore you to offer your cooperation.\There! That's it for our tests.\Asagi, thank you.\Uh, it was nothing.\We weren't able to get everything done...\What are you up to?\Oh, Boss!\We asked Asagi to help with Red 5's tests, response:	and then the unit turned on!
context: There! That's it for our tests.\Asagi, thank you.\Uh, it was nothing.\We weren't able to get everything done...\What are you up to?\Oh, Boss!\We asked Asagi to help with Red 5's tests,\and then the unit turned on! response:	Huh? How did you activate it?
context: Asagi, thank you.\Uh, it was nothing.\We weren't able to get everything done...\What are you up to?\Oh, Boss!\We asked Asagi to help with Red 5's tests,\and then the unit turned on!\Huh? How did you activate it? response:	Uh, well, like I would my own...
context: Uh, it was nothing.\We weren't able to get everything done...\What are you up to?\Oh, Boss!\We asked Asagi to help with Red 5's tests,\and then the unit turned on!\Huh? How did you activate it?\Uh, well, like I would my own... response:	What gives?
context: We weren't able to get everything done...\What are you up to?\Oh, Boss!\We asked Asagi to help with Red 5's tests,\and then the unit turned on!\Huh? How did you activate it?\Uh, well, like I would my own...\What gives? response:	I wonder if Asagi and Izuru share similar DNA.
context: What are you up to?\Oh, Boss!\We asked Asagi to help with Red 5's tests,\and then the unit turned on!\Huh? How did you activate it?\Uh, well, like I would my own...\What gives?\I wonder if Asagi and Izuru share similar DNA. response:	Like siblings?
context: Oh, Boss!\We asked Asagi to help with Red 5's tests,\and then the unit turned on!\Huh? How did you activate it?\Uh, well, like I would my own...\What gives?\I wonder if Asagi and Izuru share similar DNA.\Like siblings? response:	I see. So that's why Red 5 activated.
context: We asked Asagi to help with Red 5's tests,\and then the unit turned on!\Huh? How did you activate it?\Uh, well, like I would my own...\What gives?\I wonder if Asagi and Izuru share similar DNA.\Like siblings?\I see. So that's why Red 5 activated. response:	Of all the unlikely...!
context: and then the unit turned on!\Huh? How did you activate it?\Uh, well, like I would my own...\What gives?\I wonder if Asagi and Izuru share similar DNA.\Like siblings?\I see. So that's why Red 5 activated.\Of all the unlikely...! response:	So you didn't know about this?
context: Huh? How did you activate it?\Uh, well, like I would my own...\What gives?\I wonder if Asagi and Izuru share similar DNA.\Like siblings?\I see. So that's why Red 5 activated.\Of all the unlikely...!\So you didn't know about this? response:	No...
context: Uh, well, like I would my own...\What gives?\I wonder if Asagi and Izuru share similar DNA.\Like siblings?\I see. So that's why Red 5 activated.\Of all the unlikely...!\So you didn't know about this?\No... response:	Asagi is rather shaken.
context: What gives?\I wonder if Asagi and Izuru share similar DNA.\Like siblings?\I see. So that's why Red 5 activated.\Of all the unlikely...!\So you didn't know about this?\No...\Asagi is rather shaken. response:	You should be the one to explain things to him.
context: I wonder if Asagi and Izuru share similar DNA.\Like siblings?\I see. So that's why Red 5 activated.\Of all the unlikely...!\So you didn't know about this?\No...\Asagi is rather shaken.\You should be the one to explain things to him. response:	This is classified information!
context: Like siblings?\I see. So that's why Red 5 activated.\Of all the unlikely...!\So you didn't know about this?\No...\Asagi is rather shaken.\You should be the one to explain things to him.\This is classified information! response:	But don't those two have a right to know the truth?
context: I see. So that's why Red 5 activated.\Of all the unlikely...!\So you didn't know about this?\No...\Asagi is rather shaken.\You should be the one to explain things to him.\This is classified information!\But don't those two have a right to know the truth? response:	I take it this is about how Red 5 activated.
context: Of all the unlikely...!\So you didn't know about this?\No...\Asagi is rather shaken.\You should be the one to explain things to him.\This is classified information!\But don't those two have a right to know the truth?\I take it this is about how Red 5 activated. response:	Yes, ma'am. Commander Simon explained
context: So you didn't know about this?\No...\Asagi is rather shaken.\You should be the one to explain things to him.\This is classified information!\But don't those two have a right to know the truth?\I take it this is about how Red 5 activated.\Yes, ma'am. Commander Simon explained response:	how our DNA is programmed into our AHSMB units.
context: No...\Asagi is rather shaken.\You should be the one to explain things to him.\This is classified information!\But don't those two have a right to know the truth?\I take it this is about how Red 5 activated.\Yes, ma'am. Commander Simon explained\how our DNA is programmed into our AHSMB units. response:	So each unit can only be activated by its designated pilot.
context: Asagi is rather shaken.\You should be the one to explain things to him.\This is classified information!\But don't those two have a right to know the truth?\I take it this is about how Red 5 activated.\Yes, ma'am. Commander Simon explained\how our DNA is programmed into our AHSMB units.\So each unit can only be activated by its designated pilot. response:	But I...
context: You should be the one to explain things to him.\This is classified information!\But don't those two have a right to know the truth?\I take it this is about how Red 5 activated.\Yes, ma'am. Commander Simon explained\how our DNA is programmed into our AHSMB units.\So each unit can only be activated by its designated pilot.\But I... response:	There was a system recognition error.
context: This is classified information!\But don't those two have a right to know the truth?\I take it this is about how Red 5 activated.\Yes, ma'am. Commander Simon explained\how our DNA is programmed into our AHSMB units.\So each unit can only be activated by its designated pilot.\But I...\There was a system recognition error. response:	Are you telling me the truth?
context: But don't those two have a right to know the truth?\I take it this is about how Red 5 activated.\Yes, ma'am. Commander Simon explained\how our DNA is programmed into our AHSMB units.\So each unit can only be activated by its designated pilot.\But I...\There was a system recognition error.\Are you telling me the truth? response:	Yeah.
context: I take it this is about how Red 5 activated.\Yes, ma'am. Commander Simon explained\how our DNA is programmed into our AHSMB units.\So each unit can only be activated by its designated pilot.\But I...\There was a system recognition error.\Are you telling me the truth?\Yeah. response:	I want to know what actually happened!
context: Yes, ma'am. Commander Simon explained\how our DNA is programmed into our AHSMB units.\So each unit can only be activated by its designated pilot.\But I...\There was a system recognition error.\Are you telling me the truth?\Yeah.\I want to know what actually happened! response:	I can't fight feeling as I do right now!
context: how our DNA is programmed into our AHSMB units.\So each unit can only be activated by its designated pilot.\But I...\There was a system recognition error.\Are you telling me the truth?\Yeah.\I want to know what actually happened!\I can't fight feeling as I do right now! response:	Very well...
context: So each unit can only be activated by its designated pilot.\But I...\There was a system recognition error.\Are you telling me the truth?\Yeah.\I want to know what actually happened!\I can't fight feeling as I do right now!\Very well... response:	You know that the MJP was originally
context: But I...\There was a system recognition error.\Are you telling me the truth?\Yeah.\I want to know what actually happened!\I can't fight feeling as I do right now!\Very well...\You know that the MJP was originally response:	an organization dedicated entirely to manipulating DNA
context: There was a system recognition error.\Are you telling me the truth?\Yeah.\I want to know what actually happened!\I can't fight feeling as I do right now!\Very well...\You know that the MJP was originally\an organization dedicated entirely to manipulating DNA response:	to develop humans suited for space, right?
context: Are you telling me the truth?\Yeah.\I want to know what actually happened!\I can't fight feeling as I do right now!\Very well...\You know that the MJP was originally\an organization dedicated entirely to manipulating DNA\to develop humans suited for space, right? response:	Yes...
context: Yeah.\I want to know what actually happened!\I can't fight feeling as I do right now!\Very well...\You know that the MJP was originally\an organization dedicated entirely to manipulating DNA\to develop humans suited for space, right?\Yes... response:	But then the war with the Wulgaru began...
context: I want to know what actually happened!\I can't fight feeling as I do right now!\Very well...\You know that the MJP was originally\an organization dedicated entirely to manipulating DNA\to develop humans suited for space, right?\Yes...\But then the war with the Wulgaru began... response:	That's when Imperial Princess Teoria defected to Earth.
context: I can't fight feeling as I do right now!\Very well...\You know that the MJP was originally\an organization dedicated entirely to manipulating DNA\to develop humans suited for space, right?\Yes...\But then the war with the Wulgaru began...\That's when Imperial Princess Teoria defected to Earth. response:	After she fled to Earth,
context: Very well...\You know that the MJP was originally\an organization dedicated entirely to manipulating DNA\to develop humans suited for space, right?\Yes...\But then the war with the Wulgaru began...\That's when Imperial Princess Teoria defected to Earth.\After she fled to Earth, response:	the organization was transformed into the MJP,
context: You know that the MJP was originally\an organization dedicated entirely to manipulating DNA\to develop humans suited for space, right?\Yes...\But then the war with the Wulgaru began...\That's when Imperial Princess Teoria defected to Earth.\After she fled to Earth,\the organization was transformed into the MJP, response:	which was meant to cultivate AHSMB pilots.
context: an organization dedicated entirely to manipulating DNA\to develop humans suited for space, right?\Yes...\But then the war with the Wulgaru began...\That's when Imperial Princess Teoria defected to Earth.\After she fled to Earth,\the organization was transformed into the MJP,\which was meant to cultivate AHSMB pilots. response:	You know about this, yes?
context: to develop humans suited for space, right?\Yes...\But then the war with the Wulgaru began...\That's when Imperial Princess Teoria defected to Earth.\After she fled to Earth,\the organization was transformed into the MJP,\which was meant to cultivate AHSMB pilots.\You know about this, yes? response:	We used DNA brought from Wulgaru to create those pilots.
context: Yes...\But then the war with the Wulgaru began...\That's when Imperial Princess Teoria defected to Earth.\After she fled to Earth,\the organization was transformed into the MJP,\which was meant to cultivate AHSMB pilots.\You know about this, yes?\We used DNA brought from Wulgaru to create those pilots. response:	But we needed to use as close to pure Wulgaru DNA as possible...
context: But then the war with the Wulgaru began...\That's when Imperial Princess Teoria defected to Earth.\After she fled to Earth,\the organization was transformed into the MJP,\which was meant to cultivate AHSMB pilots.\You know about this, yes?\We used DNA brought from Wulgaru to create those pilots.\But we needed to use as close to pure Wulgaru DNA as possible... response:	As such, it was decided that
context: That's when Imperial Princess Teoria defected to Earth.\After she fled to Earth,\the organization was transformed into the MJP,\which was meant to cultivate AHSMB pilots.\You know about this, yes?\We used DNA brought from Wulgaru to create those pilots.\But we needed to use as close to pure Wulgaru DNA as possible...\As such, it was decided that response:	we would use Imperial Princess Teoria's DNA.
context: After she fled to Earth,\the organization was transformed into the MJP,\which was meant to cultivate AHSMB pilots.\You know about this, yes?\We used DNA brought from Wulgaru to create those pilots.\But we needed to use as close to pure Wulgaru DNA as possible...\As such, it was decided that\we would use Imperial Princess Teoria's DNA. response:	Is that, uh...?
context: the organization was transformed into the MJP,\which was meant to cultivate AHSMB pilots.\You know about this, yes?\We used DNA brought from Wulgaru to create those pilots.\But we needed to use as close to pure Wulgaru DNA as possible...\As such, it was decided that\we would use Imperial Princess Teoria's DNA.\Is that, uh...? response:	We used Imperial Princess Teoria's DNA on Izuru.
context: which was meant to cultivate AHSMB pilots.\You know about this, yes?\We used DNA brought from Wulgaru to create those pilots.\But we needed to use as close to pure Wulgaru DNA as possible...\As such, it was decided that\we would use Imperial Princess Teoria's DNA.\Is that, uh...?\We used Imperial Princess Teoria's DNA on Izuru. response:	Huh? Then how come I was able to activate Red 5?
context: You know about this, yes?\We used DNA brought from Wulgaru to create those pilots.\But we needed to use as close to pure Wulgaru DNA as possible...\As such, it was decided that\we would use Imperial Princess Teoria's DNA.\Is that, uh...?\We used Imperial Princess Teoria's DNA on Izuru.\Huh? Then how come I was able to activate Red 5? response:	Your paternal DNA came from the same source.
context: We used DNA brought from Wulgaru to create those pilots.\But we needed to use as close to pure Wulgaru DNA as possible...\As such, it was decided that\we would use Imperial Princess Teoria's DNA.\Is that, uh...?\We used Imperial Princess Teoria's DNA on Izuru.\Huh? Then how come I was able to activate Red 5?\Your paternal DNA came from the same source. response:	You mean-
context: But we needed to use as close to pure Wulgaru DNA as possible...\As such, it was decided that\we would use Imperial Princess Teoria's DNA.\Is that, uh...?\We used Imperial Princess Teoria's DNA on Izuru.\Huh? Then how come I was able to activate Red 5?\Your paternal DNA came from the same source.\You mean- response:	I've said all I can.
context: As such, it was decided that\we would use Imperial Princess Teoria's DNA.\Is that, uh...?\We used Imperial Princess Teoria's DNA on Izuru.\Huh? Then how come I was able to activate Red 5?\Your paternal DNA came from the same source.\You mean-\I've said all I can. response:	Was it... Commander Simon?
context: we would use Imperial Princess Teoria's DNA.\Is that, uh...?\We used Imperial Princess Teoria's DNA on Izuru.\Huh? Then how come I was able to activate Red 5?\Your paternal DNA came from the same source.\You mean-\I've said all I can.\Was it... Commander Simon? response:	You knew?!
context: Is that, uh...?\We used Imperial Princess Teoria's DNA on Izuru.\Huh? Then how come I was able to activate Red 5?\Your paternal DNA came from the same source.\You mean-\I've said all I can.\Was it... Commander Simon?\You knew?! response:	No, I wouldn't say that.
context: We used Imperial Princess Teoria's DNA on Izuru.\Huh? Then how come I was able to activate Red 5?\Your paternal DNA came from the same source.\You mean-\I've said all I can.\Was it... Commander Simon?\You knew?!\No, I wouldn't say that. response:	So, in a way, you could say that Izuru and I are like brothers.
context: Huh? Then how come I was able to activate Red 5?\Your paternal DNA came from the same source.\You mean-\I've said all I can.\Was it... Commander Simon?\You knew?!\No, I wouldn't say that.\So, in a way, you could say that Izuru and I are like brothers. response:	Is that about right?
context: Your paternal DNA came from the same source.\You mean-\I've said all I can.\Was it... Commander Simon?\You knew?!\No, I wouldn't say that.\So, in a way, you could say that Izuru and I are like brothers.\Is that about right? response:	Asagi, could you please keep this to yourself?
context: You mean-\I've said all I can.\Was it... Commander Simon?\You knew?!\No, I wouldn't say that.\So, in a way, you could say that Izuru and I are like brothers.\Is that about right?\Asagi, could you please keep this to yourself? response:	I never should have asked...
context: I've said all I can.\Was it... Commander Simon?\You knew?!\No, I wouldn't say that.\So, in a way, you could say that Izuru and I are like brothers.\Is that about right?\Asagi, could you please keep this to yourself?\I never should have asked... response:	Asagi!
context: Was it... Commander Simon?\You knew?!\No, I wouldn't say that.\So, in a way, you could say that Izuru and I are like brothers.\Is that about right?\Asagi, could you please keep this to yourself?\I never should have asked...\Asagi! response:	What is it?
context: You knew?!\No, I wouldn't say that.\So, in a way, you could say that Izuru and I are like brothers.\Is that about right?\Asagi, could you please keep this to yourself?\I never should have asked...\Asagi!\What is it? response:	Uh, it's nothing...
context: No, I wouldn't say that.\So, in a way, you could say that Izuru and I are like brothers.\Is that about right?\Asagi, could you please keep this to yourself?\I never should have asked...\Asagi!\What is it?\Uh, it's nothing... response:	Where's Kei?
context: So, in a way, you could say that Izuru and I are like brothers.\Is that about right?\Asagi, could you please keep this to yourself?\I never should have asked...\Asagi!\What is it?\Uh, it's nothing...\Where's Kei? response:	She was worried about Tamaki, so she went back to her room.
context: Is that about right?\Asagi, could you please keep this to yourself?\I never should have asked...\Asagi!\What is it?\Uh, it's nothing...\Where's Kei?\She was worried about Tamaki, so she went back to her room. response:	Is something wrong?
context: Asagi, could you please keep this to yourself?\I never should have asked...\Asagi!\What is it?\Uh, it's nothing...\Where's Kei?\She was worried about Tamaki, so she went back to her room.\Is something wrong? response:	It's nothing!
context: I never should have asked...\Asagi!\What is it?\Uh, it's nothing...\Where's Kei?\She was worried about Tamaki, so she went back to her room.\Is something wrong?\It's nothing! response:	Are you okay?
context: Asagi!\What is it?\Uh, it's nothing...\Where's Kei?\She was worried about Tamaki, so she went back to her room.\Is something wrong?\It's nothing!\Are you okay? response:	Why don't you get a checkup, Asagi?
context: What is it?\Uh, it's nothing...\Where's Kei?\She was worried about Tamaki, so she went back to her room.\Is something wrong?\It's nothing!\Are you okay?\Why don't you get a checkup, Asagi? response:	Nah, I... just have an ulcer.
context: Uh, it's nothing...\Where's Kei?\She was worried about Tamaki, so she went back to her room.\Is something wrong?\It's nothing!\Are you okay?\Why don't you get a checkup, Asagi?\Nah, I... just have an ulcer. response:	You're acting kind of weird, Asagi.
context: Where's Kei?\She was worried about Tamaki, so she went back to her room.\Is something wrong?\It's nothing!\Are you okay?\Why don't you get a checkup, Asagi?\Nah, I... just have an ulcer.\You're acting kind of weird, Asagi. response:	No, not really.
context: She was worried about Tamaki, so she went back to her room.\Is something wrong?\It's nothing!\Are you okay?\Why don't you get a checkup, Asagi?\Nah, I... just have an ulcer.\You're acting kind of weird, Asagi.\No, not really. response:	I know!
context: Is something wrong?\It's nothing!\Are you okay?\Why don't you get a checkup, Asagi?\Nah, I... just have an ulcer.\You're acting kind of weird, Asagi.\No, not really.\I know! response:	Huh?
context: It's nothing!\Are you okay?\Why don't you get a checkup, Asagi?\Nah, I... just have an ulcer.\You're acting kind of weird, Asagi.\No, not really.\I know!\Huh? response:	I bet you've got a crush on someone, right?
context: Are you okay?\Why don't you get a checkup, Asagi?\Nah, I... just have an ulcer.\You're acting kind of weird, Asagi.\No, not really.\I know!\Huh?\I bet you've got a crush on someone, right? response:	Wh-where'd that come from?
context: Why don't you get a checkup, Asagi?\Nah, I... just have an ulcer.\You're acting kind of weird, Asagi.\No, not really.\I know!\Huh?\I bet you've got a crush on someone, right?\Wh-where'd that come from? response:	You just mentioned Kei...
context: Nah, I... just have an ulcer.\You're acting kind of weird, Asagi.\No, not really.\I know!\Huh?\I bet you've got a crush on someone, right?\Wh-where'd that come from?\You just mentioned Kei... response:	And then with talk about Patrick, too.
context: You're acting kind of weird, Asagi.\No, not really.\I know!\Huh?\I bet you've got a crush on someone, right?\Wh-where'd that come from?\You just mentioned Kei...\And then with talk about Patrick, too. response:	Kei? No, I don't really like anyone...
context: No, not really.\I know!\Huh?\I bet you've got a crush on someone, right?\Wh-where'd that come from?\You just mentioned Kei...\And then with talk about Patrick, too.\Kei? No, I don't really like anyone... response:	You do!
context: I know!\Huh?\I bet you've got a crush on someone, right?\Wh-where'd that come from?\You just mentioned Kei...\And then with talk about Patrick, too.\Kei? No, I don't really like anyone...\You do! response:	Moron! I just said that's not the deal!
context: Huh?\I bet you've got a crush on someone, right?\Wh-where'd that come from?\You just mentioned Kei...\And then with talk about Patrick, too.\Kei? No, I don't really like anyone...\You do!\Moron! I just said that's not the deal! response:	Okay, got it.
context: I bet you've got a crush on someone, right?\Wh-where'd that come from?\You just mentioned Kei...\And then with talk about Patrick, too.\Kei? No, I don't really like anyone...\You do!\Moron! I just said that's not the deal!\Okay, got it. response:	Seriously. It's really not like that, honest.
context: Wh-where'd that come from?\You just mentioned Kei...\And then with talk about Patrick, too.\Kei? No, I don't really like anyone...\You do!\Moron! I just said that's not the deal!\Okay, got it.\Seriously. It's really not like that, honest. response:	If we...
context: You just mentioned Kei...\And then with talk about Patrick, too.\Kei? No, I don't really like anyone...\You do!\Moron! I just said that's not the deal!\Okay, got it.\Seriously. It's really not like that, honest.\If we... response:	If we have something we want tell someone,
context: And then with talk about Patrick, too.\Kei? No, I don't really like anyone...\You do!\Moron! I just said that's not the deal!\Okay, got it.\Seriously. It's really not like that, honest.\If we...\If we have something we want tell someone, response:	we really should tell them, shouldn't we?
context: Kei? No, I don't really like anyone...\You do!\Moron! I just said that's not the deal!\Okay, got it.\Seriously. It's really not like that, honest.\If we...\If we have something we want tell someone,\we really should tell them, shouldn't we? response:	While we still can.
context: You do!\Moron! I just said that's not the deal!\Okay, got it.\Seriously. It's really not like that, honest.\If we...\If we have something we want tell someone,\we really should tell them, shouldn't we?\While we still can. response:	Izuru, I want to tell you something.
context: Moron! I just said that's not the deal!\Okay, got it.\Seriously. It's really not like that, honest.\If we...\If we have something we want tell someone,\we really should tell them, shouldn't we?\While we still can.\Izuru, I want to tell you something. response:	I think you should know about this.
context: Okay, got it.\Seriously. It's really not like that, honest.\If we...\If we have something we want tell someone,\we really should tell them, shouldn't we?\While we still can.\Izuru, I want to tell you something.\I think you should know about this. response:	Asagi, don't tell me you...!
context: Seriously. It's really not like that, honest.\If we...\If we have something we want tell someone,\we really should tell them, shouldn't we?\While we still can.\Izuru, I want to tell you something.\I think you should know about this.\Asagi, don't tell me you...! response:	Izuru, you already knew?
context: If we...\If we have something we want tell someone,\we really should tell them, shouldn't we?\While we still can.\Izuru, I want to tell you something.\I think you should know about this.\Asagi, don't tell me you...!\Izuru, you already knew? response:	Don't tell me...
context: If we have something we want tell someone,\we really should tell them, shouldn't we?\While we still can.\Izuru, I want to tell you something.\I think you should know about this.\Asagi, don't tell me you...!\Izuru, you already knew?\Don't tell me... response:	HELL NO!
context: we really should tell them, shouldn't we?\While we still can.\Izuru, I want to tell you something.\I think you should know about this.\Asagi, don't tell me you...!\Izuru, you already knew?\Don't tell me...\HELL NO! response:	Sorry, but... But I...
context: While we still can.\Izuru, I want to tell you something.\I think you should know about this.\Asagi, don't tell me you...!\Izuru, you already knew?\Don't tell me...\HELL NO!\Sorry, but... But I... response:	Listen up!
context: Izuru, I want to tell you something.\I think you should know about this.\Asagi, don't tell me you...!\Izuru, you already knew?\Don't tell me...\HELL NO!\Sorry, but... But I...\Listen up! response:	The two of us share the same DNA!
context: I think you should know about this.\Asagi, don't tell me you...!\Izuru, you already knew?\Don't tell me...\HELL NO!\Sorry, but... But I...\Listen up!\The two of us share the same DNA! response:	In a way, we're brothers.
