context: Spring, response:	this is the season when flowers color the Jungfrau.
context: Tomorrow, as part of the Sechselauten opening parade, Fleur and I will both be cosplaying as well\Wait! I didn't hear anything about that!\Now, now, cosplay is the uniform for the Sechselauten.\Hol\Let's go to the aroma spa to prepare for tomorrow!\I'm going to bed...\Hol\Hold on! response:	Anyone looking at you now would take you for a girl, Ao.
context: Wait! I didn't hear anything about that!\Now, now, cosplay is the uniform for the Sechselauten.\Hol\Let's go to the aroma spa to prepare for tomorrow!\I'm going to bed...\Hol\Hold on!\Anyone looking at you now would take you for a girl, Ao. response:	Doesn't mean I have to let them hit on me!
context: Now, now, cosplay is the uniform for the Sechselauten.\Hol\Let's go to the aroma spa to prepare for tomorrow!\I'm going to bed...\Hol\Hold on!\Anyone looking at you now would take you for a girl, Ao.\Doesn't mean I have to let them hit on me! response:	So cute
context: Hol\Let's go to the aroma spa to prepare for tomorrow!\I'm going to bed...\Hol\Hold on!\Anyone looking at you now would take you for a girl, Ao.\Doesn't mean I have to let them hit on me!\So cute response:	Hey girl, where are you from?
context: Let's go to the aroma spa to prepare for tomorrow!\I'm going to bed...\Hol\Hold on!\Anyone looking at you now would take you for a girl, Ao.\Doesn't mean I have to let them hit on me!\So cute\Hey girl, where are you from? response:	Is that cosplay, girl?
context: I'm going to bed...\Hol\Hold on!\Anyone looking at you now would take you for a girl, Ao.\Doesn't mean I have to let them hit on me!\So cute\Hey girl, where are you from?\Is that cosplay, girl? response:	So cute!
context: Hol\Hold on!\Anyone looking at you now would take you for a girl, Ao.\Doesn't mean I have to let them hit on me!\So cute\Hey girl, where are you from?\Is that cosplay, girl?\So cute! response:	Don't call me a girl!
context: Hold on!\Anyone looking at you now would take you for a girl, Ao.\Doesn't mean I have to let them hit on me!\So cute\Hey girl, where are you from?\Is that cosplay, girl?\So cute!\Don't call me a girl! response:	So cuuute!
context: Anyone looking at you now would take you for a girl, Ao.\Doesn't mean I have to let them hit on me!\So cute\Hey girl, where are you from?\Is that cosplay, girl?\So cute!\Don't call me a girl!\So cuuute! response:	So cuuute!
context: Doesn't mean I have to let them hit on me!\So cute\Hey girl, where are you from?\Is that cosplay, girl?\So cute!\Don't call me a girl!\So cuuute!\So cuuute! response:	Here.
context: So cute\Hey girl, where are you from?\Is that cosplay, girl?\So cute!\Don't call me a girl!\So cuuute!\So cuuute!\Here. response:	Do you know what this is? This flower's called a camellia.
context: Hey girl, where are you from?\Is that cosplay, girl?\So cute!\Don't call me a girl!\So cuuute!\So cuuute!\Here.\Do you know what this is? This flower's called a camellia. response:	La parfait charme.
context: Is that cosplay, girl?\So cute!\Don't call me a girl!\So cuuute!\So cuuute!\Here.\Do you know what this is? This flower's called a camellia.\La parfait charme. response:	It embodies the perfect charm.
context: So cute!\Don't call me a girl!\So cuuute!\So cuuute!\Here.\Do you know what this is? This flower's called a camellia.\La parfait charme.\It embodies the perfect charm. response:	Camellia... have the perfect charm.
context: Don't call me a girl!\So cuuute!\So cuuute!\Here.\Do you know what this is? This flower's called a camellia.\La parfait charme.\It embodies the perfect charm.\Camellia... have the perfect charm. response:	We call these flowers tsubaki back on the island.
context: So cuuute!\So cuuute!\Here.\Do you know what this is? This flower's called a camellia.\La parfait charme.\It embodies the perfect charm.\Camellia... have the perfect charm.\We call these flowers tsubaki back on the island. response:	Tsubaki?
context: So cuuute!\Here.\Do you know what this is? This flower's called a camellia.\La parfait charme.\It embodies the perfect charm.\Camellia... have the perfect charm.\We call these flowers tsubaki back on the island.\Tsubaki? response:	So they call them camellias here, huh?
context: Here.\Do you know what this is? This flower's called a camellia.\La parfait charme.\It embodies the perfect charm.\Camellia... have the perfect charm.\We call these flowers tsubaki back on the island.\Tsubaki?\So they call them camellias here, huh? response:	Yeah.
context: Do you know what this is? This flower's called a camellia.\La parfait charme.\It embodies the perfect charm.\Camellia... have the perfect charm.\We call these flowers tsubaki back on the island.\Tsubaki?\So they call them camellias here, huh?\Yeah. response:	The way camellias fall is beautiful.
context: La parfait charme.\It embodies the perfect charm.\Camellia... have the perfect charm.\We call these flowers tsubaki back on the island.\Tsubaki?\So they call them camellias here, huh?\Yeah.\The way camellias fall is beautiful. response:	The petals don't fall one by one, but the whole blossom comes off at once.
context: It embodies the perfect charm.\Camellia... have the perfect charm.\We call these flowers tsubaki back on the island.\Tsubaki?\So they call them camellias here, huh?\Yeah.\The way camellias fall is beautiful.\The petals don't fall one by one, but the whole blossom comes off at once. response:	N um
context: Camellia... have the perfect charm.\We call these flowers tsubaki back on the island.\Tsubaki?\So they call them camellias here, huh?\Yeah.\The way camellias fall is beautiful.\The petals don't fall one by one, but the whole blossom comes off at once.\N um response:	Well camellias... tsubaki, was it?
context: We call these flowers tsubaki back on the island.\Tsubaki?\So they call them camellias here, huh?\Yeah.\The way camellias fall is beautiful.\The petals don't fall one by one, but the whole blossom comes off at once.\N um\Well camellias... tsubaki, was it? response:	You had these flowers on your island too, huh?
context: Tsubaki?\So they call them camellias here, huh?\Yeah.\The way camellias fall is beautiful.\The petals don't fall one by one, but the whole blossom comes off at once.\N um\Well camellias... tsubaki, was it?\You had these flowers on your island too, huh? response:	That makes me a little happy.
context: So they call them camellias here, huh?\Yeah.\The way camellias fall is beautiful.\The petals don't fall one by one, but the whole blossom comes off at once.\N um\Well camellias... tsubaki, was it?\You had these flowers on your island too, huh?\That makes me a little happy. response:	Elena, here.
context: Yeah.\The way camellias fall is beautiful.\The petals don't fall one by one, but the whole blossom comes off at once.\N um\Well camellias... tsubaki, was it?\You had these flowers on your island too, huh?\That makes me a little happy.\Elena, here. response:	Your soul is mine!
context: The way camellias fall is beautiful.\The petals don't fall one by one, but the whole blossom comes off at once.\N um\Well camellias... tsubaki, was it?\You had these flowers on your island too, huh?\That makes me a little happy.\Elena, here.\Your soul is mine! response:	Elena, who are you?
context: The petals don't fall one by one, but the whole blossom comes off at once.\N um\Well camellias... tsubaki, was it?\You had these flowers on your island too, huh?\That makes me a little happy.\Elena, here.\Your soul is mine!\Elena, who are you? response:	Guten Morgen, Jungfrauen.
context: N um\Well camellias... tsubaki, was it?\You had these flowers on your island too, huh?\That makes me a little happy.\Elena, here.\Your soul is mine!\Elena, who are you?\Guten Morgen, Jungfrauen. response:	It's an honor to meet you again, Kriegsjungfrauen... Frauleins of Team Pied Piper.
context: Well camellias... tsubaki, was it?\You had these flowers on your island too, huh?\That makes me a little happy.\Elena, here.\Your soul is mine!\Elena, who are you?\Guten Morgen, Jungfrauen.\It's an honor to meet you again, Kriegsjungfrauen... Frauleins of Team Pied Piper. response:	Err...
context: You had these flowers on your island too, huh?\That makes me a little happy.\Elena, here.\Your soul is mine!\Elena, who are you?\Guten Morgen, Jungfrauen.\It's an honor to meet you again, Kriegsjungfrauen... Frauleins of Team Pied Piper.\Err... response:	Pardon madame, maybe you have the wrong person...
context: That makes me a little happy.\Elena, here.\Your soul is mine!\Elena, who are you?\Guten Morgen, Jungfrauen.\It's an honor to meet you again, Kriegsjungfrauen... Frauleins of Team Pied Piper.\Err...\Pardon madame, maybe you have the wrong person... response:	Is Pied Piper some kind of detergent or something?
context: Elena, here.\Your soul is mine!\Elena, who are you?\Guten Morgen, Jungfrauen.\It's an honor to meet you again, Kriegsjungfrauen... Frauleins of Team Pied Piper.\Err...\Pardon madame, maybe you have the wrong person...\Is Pied Piper some kind of detergent or something? response:	Hey, Fleur, Elena, Ao. Team Pied Piper, do you read?
context: Your soul is mine!\Elena, who are you?\Guten Morgen, Jungfrauen.\It's an honor to meet you again, Kriegsjungfrauen... Frauleins of Team Pied Piper.\Err...\Pardon madame, maybe you have the wrong person...\Is Pied Piper some kind of detergent or something?\Hey, Fleur, Elena, Ao. Team Pied Piper, do you read? response:	You forgot to report in.
context: Elena, who are you?\Guten Morgen, Jungfrauen.\It's an honor to meet you again, Kriegsjungfrauen... Frauleins of Team Pied Piper.\Err...\Pardon madame, maybe you have the wrong person...\Is Pied Piper some kind of detergent or something?\Hey, Fleur, Elena, Ao. Team Pied Piper, do you read?\You forgot to report in. response:	Excuse us!
context: Guten Morgen, Jungfrauen.\It's an honor to meet you again, Kriegsjungfrauen... Frauleins of Team Pied Piper.\Err...\Pardon madame, maybe you have the wrong person...\Is Pied Piper some kind of detergent or something?\Hey, Fleur, Elena, Ao. Team Pied Piper, do you read?\You forgot to report in.\Excuse us! response:	After them!
context: It's an honor to meet you again, Kriegsjungfrauen... Frauleins of Team Pied Piper.\Err...\Pardon madame, maybe you have the wrong person...\Is Pied Piper some kind of detergent or something?\Hey, Fleur, Elena, Ao. Team Pied Piper, do you read?\You forgot to report in.\Excuse us!\After them! response:	Take the next right!
context: Err...\Pardon madame, maybe you have the wrong person...\Is Pied Piper some kind of detergent or something?\Hey, Fleur, Elena, Ao. Team Pied Piper, do you read?\You forgot to report in.\Excuse us!\After them!\Take the next right! response:	Next one, too!
context: Pardon madame, maybe you have the wrong person...\Is Pied Piper some kind of detergent or something?\Hey, Fleur, Elena, Ao. Team Pied Piper, do you read?\You forgot to report in.\Excuse us!\After them!\Take the next right!\Next one, too! response:	Looks like they managed to shake her off just fine.
context: Is Pied Piper some kind of detergent or something?\Hey, Fleur, Elena, Ao. Team Pied Piper, do you read?\You forgot to report in.\Excuse us!\After them!\Take the next right!\Next one, too!\Looks like they managed to shake her off just fine. response:	They're headed towards Sechselauten park.
context: Hey, Fleur, Elena, Ao. Team Pied Piper, do you read?\You forgot to report in.\Excuse us!\After them!\Take the next right!\Next one, too!\Looks like they managed to shake her off just fine.\They're headed towards Sechselauten park. response:	Let's go then!
context: You forgot to report in.\Excuse us!\After them!\Take the next right!\Next one, too!\Looks like they managed to shake her off just fine.\They're headed towards Sechselauten park.\Let's go then! response:	Yes. Yes.
context: Excuse us!\After them!\Take the next right!\Next one, too!\Looks like they managed to shake her off just fine.\They're headed towards Sechselauten park.\Let's go then!\Yes. Yes. response:	I'm sorry, roger that.
context: After them!\Take the next right!\Next one, too!\Looks like they managed to shake her off just fine.\They're headed towards Sechselauten park.\Let's go then!\Yes. Yes.\I'm sorry, roger that. response:	Making us call in every two hours...
context: Take the next right!\Next one, too!\Looks like they managed to shake her off just fine.\They're headed towards Sechselauten park.\Let's go then!\Yes. Yes.\I'm sorry, roger that.\Making us call in every two hours... response:	Ah, Ao, they said you should stay disguised as a girl until we get back to the base.
context: Next one, too!\Looks like they managed to shake her off just fine.\They're headed towards Sechselauten park.\Let's go then!\Yes. Yes.\I'm sorry, roger that.\Making us call in every two hours...\Ah, Ao, they said you should stay disguised as a girl until we get back to the base. response:	Hey, does it look clear?
context: Looks like they managed to shake her off just fine.\They're headed towards Sechselauten park.\Let's go then!\Yes. Yes.\I'm sorry, roger that.\Making us call in every two hours...\Ah, Ao, they said you should stay disguised as a girl until we get back to the base.\Hey, does it look clear? response:	It's probably...
context: They're headed towards Sechselauten park.\Let's go then!\Yes. Yes.\I'm sorry, roger that.\Making us call in every two hours...\Ah, Ao, they said you should stay disguised as a girl until we get back to the base.\Hey, does it look clear?\It's probably... response:	Hi
context: Let's go then!\Yes. Yes.\I'm sorry, roger that.\Making us call in every two hours...\Ah, Ao, they said you should stay disguised as a girl until we get back to the base.\Hey, does it look clear?\It's probably...\Hi response:	Leave us alone already!
context: Yes. Yes.\I'm sorry, roger that.\Making us call in every two hours...\Ah, Ao, they said you should stay disguised as a girl until we get back to the base.\Hey, does it look clear?\It's probably...\Hi\Leave us alone already! response:	They're so tenacious!
context: I'm sorry, roger that.\Making us call in every two hours...\Ah, Ao, they said you should stay disguised as a girl until we get back to the base.\Hey, does it look clear?\It's probably...\Hi\Leave us alone already!\They're so tenacious! response:	Why did it... why did it come to this?
context: Making us call in every two hours...\Ah, Ao, they said you should stay disguised as a girl until we get back to the base.\Hey, does it look clear?\It's probably...\Hi\Leave us alone already!\They're so tenacious!\Why did it... why did it come to this? response:	Ao, dash!
context: Ah, Ao, they said you should stay disguised as a girl until we get back to the base.\Hey, does it look clear?\It's probably...\Hi\Leave us alone already!\They're so tenacious!\Why did it... why did it come to this?\Ao, dash! response:	Yes, this is Pied Piper.
context: Hey, does it look clear?\It's probably...\Hi\Leave us alone already!\They're so tenacious!\Why did it... why did it come to this?\Ao, dash!\Yes, this is Pied Piper. response:	I'm sorry, yes, we're all fine.
context: It's probably...\Hi\Leave us alone already!\They're so tenacious!\Why did it... why did it come to this?\Ao, dash!\Yes, this is Pied Piper.\I'm sorry, yes, we're all fine. response:	Yes, no problems at the moment.
context: Hi\Leave us alone already!\They're so tenacious!\Why did it... why did it come to this?\Ao, dash!\Yes, this is Pied Piper.\I'm sorry, yes, we're all fine.\Yes, no problems at the moment. response:	So close... Pied Piper... you won't get away!
context: Leave us alone already!\They're so tenacious!\Why did it... why did it come to this?\Ao, dash!\Yes, this is Pied Piper.\I'm sorry, yes, we're all fine.\Yes, no problems at the moment.\So close... Pied Piper... you won't get away! response:	Yes. Roger that.
context: They're so tenacious!\Why did it... why did it come to this?\Ao, dash!\Yes, this is Pied Piper.\I'm sorry, yes, we're all fine.\Yes, no problems at the moment.\So close... Pied Piper... you won't get away!\Yes. Roger that. response:	Ao, you seem to have taken the lead.
context: Why did it... why did it come to this?\Ao, dash!\Yes, this is Pied Piper.\I'm sorry, yes, we're all fine.\Yes, no problems at the moment.\So close... Pied Piper... you won't get away!\Yes. Roger that.\Ao, you seem to have taken the lead. response:	This week's Miss GenBleu...
context: Ao, dash!\Yes, this is Pied Piper.\I'm sorry, yes, we're all fine.\Yes, no problems at the moment.\So close... Pied Piper... you won't get away!\Yes. Roger that.\Ao, you seem to have taken the lead.\This week's Miss GenBleu... response:	What's going on... dammit...
context: Yes, this is Pied Piper.\I'm sorry, yes, we're all fine.\Yes, no problems at the moment.\So close... Pied Piper... you won't get away!\Yes. Roger that.\Ao, you seem to have taken the lead.\This week's Miss GenBleu...\What's going on... dammit... response:	Where did those three run off to?
context: I'm sorry, yes, we're all fine.\Yes, no problems at the moment.\So close... Pied Piper... you won't get away!\Yes. Roger that.\Ao, you seem to have taken the lead.\This week's Miss GenBleu...\What's going on... dammit...\Where did those three run off to? response:	We might just get away with this.
context: Yes, no problems at the moment.\So close... Pied Piper... you won't get away!\Yes. Roger that.\Ao, you seem to have taken the lead.\This week's Miss GenBleu...\What's going on... dammit...\Where did those three run off to?\We might just get away with this. response:	What part of it?
context: So close... Pied Piper... you won't get away!\Yes. Roger that.\Ao, you seem to have taken the lead.\This week's Miss GenBleu...\What's going on... dammit...\Where did those three run off to?\We might just get away with this.\What part of it? response:	Add some thigh-highs to that skirt and see how people peep at that...
context: Yes. Roger that.\Ao, you seem to have taken the lead.\This week's Miss GenBleu...\What's going on... dammit...\Where did those three run off to?\We might just get away with this.\What part of it?\Add some thigh-highs to that skirt and see how people peep at that... response:	I just knew you could pull it off even though you're a guy, ne
context: Ao, you seem to have taken the lead.\This week's Miss GenBleu...\What's going on... dammit...\Where did those three run off to?\We might just get away with this.\What part of it?\Add some thigh-highs to that skirt and see how people peep at that...\I just knew you could pull it off even though you're a guy, ne response:	I'm taking this off.
context: This week's Miss GenBleu...\What's going on... dammit...\Where did those three run off to?\We might just get away with this.\What part of it?\Add some thigh-highs to that skirt and see how people peep at that...\I just knew you could pull it off even though you're a guy, ne\I'm taking this off. response:	You've gotta pretend to be a girl till we get back to base.
context: What's going on... dammit...\Where did those three run off to?\We might just get away with this.\What part of it?\Add some thigh-highs to that skirt and see how people peep at that...\I just knew you could pull it off even though you're a guy, ne\I'm taking this off.\You've gotta pretend to be a girl till we get back to base. response:	But still, I don't think I need to wear a sailor uniform.
context: Where did those three run off to?\We might just get away with this.\What part of it?\Add some thigh-highs to that skirt and see how people peep at that...\I just knew you could pull it off even though you're a guy, ne\I'm taking this off.\You've gotta pretend to be a girl till we get back to base.\But still, I don't think I need to wear a sailor uniform. response:	It totally suit you though...
context: We might just get away with this.\What part of it?\Add some thigh-highs to that skirt and see how people peep at that...\I just knew you could pull it off even though you're a guy, ne\I'm taking this off.\You've gotta pretend to be a girl till we get back to base.\But still, I don't think I need to wear a sailor uniform.\It totally suit you though... response:	That's not the issue here.
context: What part of it?\Add some thigh-highs to that skirt and see how people peep at that...\I just knew you could pull it off even though you're a guy, ne\I'm taking this off.\You've gotta pretend to be a girl till we get back to base.\But still, I don't think I need to wear a sailor uniform.\It totally suit you though...\That's not the issue here. response:	What's the current situation?
context: Add some thigh-highs to that skirt and see how people peep at that...\I just knew you could pull it off even though you're a guy, ne\I'm taking this off.\You've gotta pretend to be a girl till we get back to base.\But still, I don't think I need to wear a sailor uniform.\It totally suit you though...\That's not the issue here.\What's the current situation? response:	A Scub Coral has materialized at the border of Switzerland and Italy.
context: I just knew you could pull it off even though you're a guy, ne\I'm taking this off.\You've gotta pretend to be a girl till we get back to base.\But still, I don't think I need to wear a sailor uniform.\It totally suit you though...\That's not the issue here.\What's the current situation?\A Scub Coral has materialized at the border of Switzerland and Italy. response:	We've received a scramble request for Team Pied Piper.
context: I'm taking this off.\You've gotta pretend to be a girl till we get back to base.\But still, I don't think I need to wear a sailor uniform.\It totally suit you though...\That's not the issue here.\What's the current situation?\A Scub Coral has materialized at the border of Switzerland and Italy.\We've received a scramble request for Team Pied Piper. response:	That said...
context: You've gotta pretend to be a girl till we get back to base.\But still, I don't think I need to wear a sailor uniform.\It totally suit you though...\That's not the issue here.\What's the current situation?\A Scub Coral has materialized at the border of Switzerland and Italy.\We've received a scramble request for Team Pied Piper.\That said... response:	The IFO maintenance isn't finished yet, is it?
context: But still, I don't think I need to wear a sailor uniform.\It totally suit you though...\That's not the issue here.\What's the current situation?\A Scub Coral has materialized at the border of Switzerland and Italy.\We've received a scramble request for Team Pied Piper.\That said...\The IFO maintenance isn't finished yet, is it? response:	They have temporary cockpits in place, but they can fight.
context: It totally suit you though...\That's not the issue here.\What's the current situation?\A Scub Coral has materialized at the border of Switzerland and Italy.\We've received a scramble request for Team Pied Piper.\That said...\The IFO maintenance isn't finished yet, is it?\They have temporary cockpits in place, but they can fight. response:	Roger.
context: That's not the issue here.\What's the current situation?\A Scub Coral has materialized at the border of Switzerland and Italy.\We've received a scramble request for Team Pied Piper.\That said...\The IFO maintenance isn't finished yet, is it?\They have temporary cockpits in place, but they can fight.\Roger. response:	So, how are you going to pick us up?
context: What's the current situation?\A Scub Coral has materialized at the border of Switzerland and Italy.\We've received a scramble request for Team Pied Piper.\That said...\The IFO maintenance isn't finished yet, is it?\They have temporary cockpits in place, but they can fight.\Roger.\So, how are you going to pick us up? response:	You've brought your cosplay up to another level...
context: A Scub Coral has materialized at the border of Switzerland and Italy.\We've received a scramble request for Team Pied Piper.\That said...\The IFO maintenance isn't finished yet, is it?\They have temporary cockpits in place, but they can fight.\Roger.\So, how are you going to pick us up?\You've brought your cosplay up to another level... response:	A lot has happened...
context: We've received a scramble request for Team Pied Piper.\That said...\The IFO maintenance isn't finished yet, is it?\They have temporary cockpits in place, but they can fight.\Roger.\So, how are you going to pick us up?\You've brought your cosplay up to another level...\A lot has happened... response:	This is bad, I seriously might fall for you
context: That said...\The IFO maintenance isn't finished yet, is it?\They have temporary cockpits in place, but they can fight.\Roger.\So, how are you going to pick us up?\You've brought your cosplay up to another level...\A lot has happened...\This is bad, I seriously might fall for you response:	So, what kind of Secret is it this time?
context: The IFO maintenance isn't finished yet, is it?\They have temporary cockpits in place, but they can fight.\Roger.\So, how are you going to pick us up?\You've brought your cosplay up to another level...\A lot has happened...\This is bad, I seriously might fall for you\So, what kind of Secret is it this time? response:	It seems HQ is still confirming the particulars, but...
context: They have temporary cockpits in place, but they can fight.\Roger.\So, how are you going to pick us up?\You've brought your cosplay up to another level...\A lot has happened...\This is bad, I seriously might fall for you\So, what kind of Secret is it this time?\It seems HQ is still confirming the particulars, but... response:	What the hell is that?!
context: Roger.\So, how are you going to pick us up?\You've brought your cosplay up to another level...\A lot has happened...\This is bad, I seriously might fall for you\So, what kind of Secret is it this time?\It seems HQ is still confirming the particulars, but...\What the hell is that?! response:	A snowman?
context: So, how are you going to pick us up?\You've brought your cosplay up to another level...\A lot has happened...\This is bad, I seriously might fall for you\So, what kind of Secret is it this time?\It seems HQ is still confirming the particulars, but...\What the hell is that?!\A snowman? response:	A black snowman?!
context: You've brought your cosplay up to another level...\A lot has happened...\This is bad, I seriously might fall for you\So, what kind of Secret is it this time?\It seems HQ is still confirming the particulars, but...\What the hell is that?!\A snowman?\A black snowman?! response:	Ladies and gentlemen of Team Pied Piper, we've been waiting for you.
context: A lot has happened...\This is bad, I seriously might fall for you\So, what kind of Secret is it this time?\It seems HQ is still confirming the particulars, but...\What the hell is that?!\A snowman?\A black snowman?!\Ladies and gentlemen of Team Pied Piper, we've been waiting for you. response:	It may seem sudden, but please take off at once. Negotiations are complete.
context: This is bad, I seriously might fall for you\So, what kind of Secret is it this time?\It seems HQ is still confirming the particulars, but...\What the hell is that?!\A snowman?\A black snowman?!\Ladies and gentlemen of Team Pied Piper, we've been waiting for you.\It may seem sudden, but please take off at once. Negotiations are complete. response:	That took a while.
context: So, what kind of Secret is it this time?\It seems HQ is still confirming the particulars, but...\What the hell is that?!\A snowman?\A black snowman?!\Ladies and gentlemen of Team Pied Piper, we've been waiting for you.\It may seem sudden, but please take off at once. Negotiations are complete.\That took a while. response:	Well, the Scub did materialize on the borderline of Switzerland and Italy.
context: It seems HQ is still confirming the particulars, but...\What the hell is that?!\A snowman?\A black snowman?!\Ladies and gentlemen of Team Pied Piper, we've been waiting for you.\It may seem sudden, but please take off at once. Negotiations are complete.\That took a while.\Well, the Scub did materialize on the borderline of Switzerland and Italy. response:	They kept arguing about how to divide the costs.
context: What the hell is that?!\A snowman?\A black snowman?!\Ladies and gentlemen of Team Pied Piper, we've been waiting for you.\It may seem sudden, but please take off at once. Negotiations are complete.\That took a while.\Well, the Scub did materialize on the borderline of Switzerland and Italy.\They kept arguing about how to divide the costs. response:	How ridiculous.
context: A snowman?\A black snowman?!\Ladies and gentlemen of Team Pied Piper, we've been waiting for you.\It may seem sudden, but please take off at once. Negotiations are complete.\That took a while.\Well, the Scub did materialize on the borderline of Switzerland and Italy.\They kept arguing about how to divide the costs.\How ridiculous. response:	Take care of our precious girls on their field trip.
context: A black snowman?!\Ladies and gentlemen of Team Pied Piper, we've been waiting for you.\It may seem sudden, but please take off at once. Negotiations are complete.\That took a while.\Well, the Scub did materialize on the borderline of Switzerland and Italy.\They kept arguing about how to divide the costs.\How ridiculous.\Take care of our precious girls on their field trip. response:	Fleur, Elena, Ao,
context: Ladies and gentlemen of Team Pied Piper, we've been waiting for you.\It may seem sudden, but please take off at once. Negotiations are complete.\That took a while.\Well, the Scub did materialize on the borderline of Switzerland and Italy.\They kept arguing about how to divide the costs.\How ridiculous.\Take care of our precious girls on their field trip.\Fleur, Elena, Ao, response:	get to the hangers then stand by immediately.
context: It may seem sudden, but please take off at once. Negotiations are complete.\That took a while.\Well, the Scub did materialize on the borderline of Switzerland and Italy.\They kept arguing about how to divide the costs.\How ridiculous.\Take care of our precious girls on their field trip.\Fleur, Elena, Ao,\get to the hangers then stand by immediately. response:	The Scub Coral has materialized near an inlet of the southern basin of Lake Lugano.
context: That took a while.\Well, the Scub did materialize on the borderline of Switzerland and Italy.\They kept arguing about how to divide the costs.\How ridiculous.\Take care of our precious girls on their field trip.\Fleur, Elena, Ao,\get to the hangers then stand by immediately.\The Scub Coral has materialized near an inlet of the southern basin of Lake Lugano. response:	The airspace is above the national border between Italy and Switzerland.
context: Well, the Scub did materialize on the borderline of Switzerland and Italy.\They kept arguing about how to divide the costs.\How ridiculous.\Take care of our precious girls on their field trip.\Fleur, Elena, Ao,\get to the hangers then stand by immediately.\The Scub Coral has materialized near an inlet of the southern basin of Lake Lugano.\The airspace is above the national border between Italy and Switzerland. response:	I'm sending you the data now.
context: They kept arguing about how to divide the costs.\How ridiculous.\Take care of our precious girls on their field trip.\Fleur, Elena, Ao,\get to the hangers then stand by immediately.\The Scub Coral has materialized near an inlet of the southern basin of Lake Lugano.\The airspace is above the national border between Italy and Switzerland.\I'm sending you the data now. response:	Is this a new model?
context: How ridiculous.\Take care of our precious girls on their field trip.\Fleur, Elena, Ao,\get to the hangers then stand by immediately.\The Scub Coral has materialized near an inlet of the southern basin of Lake Lugano.\The airspace is above the national border between Italy and Switzerland.\I'm sending you the data now.\Is this a new model? response:	We're in the middle of maintenance. You'll have to deal with various irregularities this time, so take care.
context: Take care of our precious girls on their field trip.\Fleur, Elena, Ao,\get to the hangers then stand by immediately.\The Scub Coral has materialized near an inlet of the southern basin of Lake Lugano.\The airspace is above the national border between Italy and Switzerland.\I'm sending you the data now.\Is this a new model?\We're in the middle of maintenance. You'll have to deal with various irregularities this time, so take care. response:	Like this?
context: Fleur, Elena, Ao,\get to the hangers then stand by immediately.\The Scub Coral has materialized near an inlet of the southern basin of Lake Lugano.\The airspace is above the national border between Italy and Switzerland.\I'm sending you the data now.\Is this a new model?\We're in the middle of maintenance. You'll have to deal with various irregularities this time, so take care.\Like this? response:	Of course.
context: get to the hangers then stand by immediately.\The Scub Coral has materialized near an inlet of the southern basin of Lake Lugano.\The airspace is above the national border between Italy and Switzerland.\I'm sending you the data now.\Is this a new model?\We're in the middle of maintenance. You'll have to deal with various irregularities this time, so take care.\Like this?\Of course. response:	I kinda feel on edge here...
context: The Scub Coral has materialized near an inlet of the southern basin of Lake Lugano.\The airspace is above the national border between Italy and Switzerland.\I'm sending you the data now.\Is this a new model?\We're in the middle of maintenance. You'll have to deal with various irregularities this time, so take care.\Like this?\Of course.\I kinda feel on edge here... response:	It suits you well.
context: The airspace is above the national border between Italy and Switzerland.\I'm sending you the data now.\Is this a new model?\We're in the middle of maintenance. You'll have to deal with various irregularities this time, so take care.\Like this?\Of course.\I kinda feel on edge here...\It suits you well. response:	Georg, what's the Secret's form?
context: I'm sending you the data now.\Is this a new model?\We're in the middle of maintenance. You'll have to deal with various irregularities this time, so take care.\Like this?\Of course.\I kinda feel on edge here...\It suits you well.\Georg, what's the Secret's form? response:	I'm currently running a comparison of this Secret's form.
context: Is this a new model?\We're in the middle of maintenance. You'll have to deal with various irregularities this time, so take care.\Like this?\Of course.\I kinda feel on edge here...\It suits you well.\Georg, what's the Secret's form?\I'm currently running a comparison of this Secret's form. response:	At present, I have found no references to instances of similar forms.
context: We're in the middle of maintenance. You'll have to deal with various irregularities this time, so take care.\Like this?\Of course.\I kinda feel on edge here...\It suits you well.\Georg, what's the Secret's form?\I'm currently running a comparison of this Secret's form.\At present, I have found no references to instances of similar forms. response:	The Secret will reach the Scub Coral in approximately 7 minutes.
context: Like this?\Of course.\I kinda feel on edge here...\It suits you well.\Georg, what's the Secret's form?\I'm currently running a comparison of this Secret's form.\At present, I have found no references to instances of similar forms.\The Secret will reach the Scub Coral in approximately 7 minutes. response:	The target is currently above Locarno.
context: Of course.\I kinda feel on edge here...\It suits you well.\Georg, what's the Secret's form?\I'm currently running a comparison of this Secret's form.\At present, I have found no references to instances of similar forms.\The Secret will reach the Scub Coral in approximately 7 minutes.\The target is currently above Locarno. response:	What's our ETA?
context: I kinda feel on edge here...\It suits you well.\Georg, what's the Secret's form?\I'm currently running a comparison of this Secret's form.\At present, I have found no references to instances of similar forms.\The Secret will reach the Scub Coral in approximately 7 minutes.\The target is currently above Locarno.\What's our ETA? response:	Three and half minutes to target airspace.
context: It suits you well.\Georg, what's the Secret's form?\I'm currently running a comparison of this Secret's form.\At present, I have found no references to instances of similar forms.\The Secret will reach the Scub Coral in approximately 7 minutes.\The target is currently above Locarno.\What's our ETA?\Three and half minutes to target airspace. response:	Judging by this Secret's form, it most likely posses characteristics of the Samarkand Secret, the Australian Secrets, and perhaps some other airborne types.
