context: I-It's fine by me... response:	Usotsuki na anata nakimushi no atashi
context: That you've become a miser.\Sign: A miser\Are you saving up for a hotel room...?\Yeah... my house is just too dangerous.\And I don't know when my parents will be out again.\Ah... about that...\I've done a lot of thinking about it too, but...\Ah, yeah. response:	Yeah... you're right, I guess.
context: Sign: A miser\Are you saving up for a hotel room...?\Yeah... my house is just too dangerous.\And I don't know when my parents will be out again.\Ah... about that...\I've done a lot of thinking about it too, but...\Ah, yeah.\Yeah... you're right, I guess. response:	You'd prefer...
context: Are you saving up for a hotel room...?\Yeah... my house is just too dangerous.\And I don't know when my parents will be out again.\Ah... about that...\I've done a lot of thinking about it too, but...\Ah, yeah.\Yeah... you're right, I guess.\You'd prefer... response:	Yeah, so...
context: Yeah... my house is just too dangerous.\And I don't know when my parents will be out again.\Ah... about that...\I've done a lot of thinking about it too, but...\Ah, yeah.\Yeah... you're right, I guess.\You'd prefer...\Yeah, so... response:	Since we kinda rushed the other day...
context: And I don't know when my parents will be out again.\Ah... about that...\I've done a lot of thinking about it too, but...\Ah, yeah.\Yeah... you're right, I guess.\You'd prefer...\Yeah, so...\Since we kinda rushed the other day... response:	If you're going out of your way, I'd like to go somewhere like hot springs or the beach.
context: Ah... about that...\I've done a lot of thinking about it too, but...\Ah, yeah.\Yeah... you're right, I guess.\You'd prefer...\Yeah, so...\Since we kinda rushed the other day...\If you're going out of your way, I'd like to go somewhere like hot springs or the beach. response:	That way it'll become a memory, right?
context: I've done a lot of thinking about it too, but...\Ah, yeah.\Yeah... you're right, I guess.\You'd prefer...\Yeah, so...\Since we kinda rushed the other day...\If you're going out of your way, I'd like to go somewhere like hot springs or the beach.\That way it'll become a memory, right? response:	Y-Yeah.
context: Ah, yeah.\Yeah... you're right, I guess.\You'd prefer...\Yeah, so...\Since we kinda rushed the other day...\If you're going out of your way, I'd like to go somewhere like hot springs or the beach.\That way it'll become a memory, right?\Y-Yeah. response:	It'll... become a... memory...
context: Yeah... you're right, I guess.\You'd prefer...\Yeah, so...\Since we kinda rushed the other day...\If you're going out of your way, I'd like to go somewhere like hot springs or the beach.\That way it'll become a memory, right?\Y-Yeah.\It'll... become a... memory... response:	The hotel fee... the train fee...
context: You'd prefer...\Yeah, so...\Since we kinda rushed the other day...\If you're going out of your way, I'd like to go somewhere like hot springs or the beach.\That way it'll become a memory, right?\Y-Yeah.\It'll... become a... memory...\The hotel fee... the train fee... response:	And if it were Tokyo Disneyland, it would be even better!
context: Yeah, so...\Since we kinda rushed the other day...\If you're going out of your way, I'd like to go somewhere like hot springs or the beach.\That way it'll become a memory, right?\Y-Yeah.\It'll... become a... memory...\The hotel fee... the train fee...\And if it were Tokyo Disneyland, it would be even better! response:	How much is that...?
context: Since we kinda rushed the other day...\If you're going out of your way, I'd like to go somewhere like hot springs or the beach.\That way it'll become a memory, right?\Y-Yeah.\It'll... become a... memory...\The hotel fee... the train fee...\And if it were Tokyo Disneyland, it would be even better!\How much is that...? response:	H-How much would that all cost?
context: If you're going out of your way, I'd like to go somewhere like hot springs or the beach.\That way it'll become a memory, right?\Y-Yeah.\It'll... become a... memory...\The hotel fee... the train fee...\And if it were Tokyo Disneyland, it would be even better!\How much is that...?\H-How much would that all cost? response:	And so... here!
context: That way it'll become a memory, right?\Y-Yeah.\It'll... become a... memory...\The hotel fee... the train fee...\And if it were Tokyo Disneyland, it would be even better!\How much is that...?\H-How much would that all cost?\And so... here! response:	Let's both save up, little by little.
context: Y-Yeah.\It'll... become a... memory...\The hotel fee... the train fee...\And if it were Tokyo Disneyland, it would be even better!\How much is that...?\H-How much would that all cost?\And so... here!\Let's both save up, little by little. response:	It might take some time, but I'm sure we'll double the happiness!
context: It'll... become a... memory...\The hotel fee... the train fee...\And if it were Tokyo Disneyland, it would be even better!\How much is that...?\H-How much would that all cost?\And so... here!\Let's both save up, little by little.\It might take some time, but I'm sure we'll double the happiness! response:	H-Huh?
context: The hotel fee... the train fee...\And if it were Tokyo Disneyland, it would be even better!\How much is that...?\H-How much would that all cost?\And so... here!\Let's both save up, little by little.\It might take some time, but I'm sure we'll double the happiness!\H-Huh? response:	W-We'll save up?
context: And if it were Tokyo Disneyland, it would be even better!\How much is that...?\H-How much would that all cost?\And so... here!\Let's both save up, little by little.\It might take some time, but I'm sure we'll double the happiness!\H-Huh?\W-We'll save up? response:	We'll really both save up for it?
context: How much is that...?\H-How much would that all cost?\And so... here!\Let's both save up, little by little.\It might take some time, but I'm sure we'll double the happiness!\H-Huh?\W-We'll save up?\We'll really both save up for it? response:	Yeah!
context: H-How much would that all cost?\And so... here!\Let's both save up, little by little.\It might take some time, but I'm sure we'll double the happiness!\H-Huh?\W-We'll save up?\We'll really both save up for it?\Yeah! response:	O-Okay.
context: And so... here!\Let's both save up, little by little.\It might take some time, but I'm sure we'll double the happiness!\H-Huh?\W-We'll save up?\We'll really both save up for it?\Yeah!\O-Okay. response:	I'll gamble on Takahashi's smile.
context: Let's both save up, little by little.\It might take some time, but I'm sure we'll double the happiness!\H-Huh?\W-We'll save up?\We'll really both save up for it?\Yeah!\O-Okay.\I'll gamble on Takahashi's smile. response:	I wonder if it'll take about half a year?
context: It might take some time, but I'm sure we'll double the happiness!\H-Huh?\W-We'll save up?\We'll really both save up for it?\Yeah!\O-Okay.\I'll gamble on Takahashi's smile.\I wonder if it'll take about half a year? response:	And it's really okay with you, right?
context: H-Huh?\W-We'll save up?\We'll really both save up for it?\Yeah!\O-Okay.\I'll gamble on Takahashi's smile.\I wonder if it'll take about half a year?\And it's really okay with you, right? response:	Yeah!
context: W-We'll save up?\We'll really both save up for it?\Yeah!\O-Okay.\I'll gamble on Takahashi's smile.\I wonder if it'll take about half a year?\And it's really okay with you, right?\Yeah! response:	We'll probably have enough in time for our graduation class trip...
context: We'll really both save up for it?\Yeah!\O-Okay.\I'll gamble on Takahashi's smile.\I wonder if it'll take about half a year?\And it's really okay with you, right?\Yeah!\We'll probably have enough in time for our graduation class trip... response:	I sometimes think...
context: Yeah!\O-Okay.\I'll gamble on Takahashi's smile.\I wonder if it'll take about half a year?\And it's really okay with you, right?\Yeah!\We'll probably have enough in time for our graduation class trip...\I sometimes think... response:	Takeuchi!
context: O-Okay.\I'll gamble on Takahashi's smile.\I wonder if it'll take about half a year?\And it's really okay with you, right?\Yeah!\We'll probably have enough in time for our graduation class trip...\I sometimes think...\Takeuchi! response:	This is the newest issue!
context: I'll gamble on Takahashi's smile.\I wonder if it'll take about half a year?\And it's really okay with you, right?\Yeah!\We'll probably have enough in time for our graduation class trip...\I sometimes think...\Takeuchi!\This is the newest issue! response:	Oh! Let me see!
context: I wonder if it'll take about half a year?\And it's really okay with you, right?\Yeah!\We'll probably have enough in time for our graduation class trip...\I sometimes think...\Takeuchi!\This is the newest issue!\Oh! Let me see! response:	I sorta feel like I'm being gypped here.
context: And it's really okay with you, right?\Yeah!\We'll probably have enough in time for our graduation class trip...\I sometimes think...\Takeuchi!\This is the newest issue!\Oh! Let me see!\I sorta feel like I'm being gypped here. response:	I definitely am.
context: Yeah!\We'll probably have enough in time for our graduation class trip...\I sometimes think...\Takeuchi!\This is the newest issue!\Oh! Let me see!\I sorta feel like I'm being gypped here.\I definitely am. response:	How much have you saved so far?
context: We'll probably have enough in time for our graduation class trip...\I sometimes think...\Takeuchi!\This is the newest issue!\Oh! Let me see!\I sorta feel like I'm being gypped here.\I definitely am.\How much have you saved so far? response:	721 yen.
context: I sometimes think...\Takeuchi!\This is the newest issue!\Oh! Let me see!\I sorta feel like I'm being gypped here.\I definitely am.\How much have you saved so far?\721 yen. response:	It sure is pretty.
context: Takeuchi!\This is the newest issue!\Oh! Let me see!\I sorta feel like I'm being gypped here.\I definitely am.\How much have you saved so far?\721 yen.\It sure is pretty. response:	Yeah.
context: This is the newest issue!\Oh! Let me see!\I sorta feel like I'm being gypped here.\I definitely am.\How much have you saved so far?\721 yen.\It sure is pretty.\Yeah. response:	Yano...
context: Oh! Let me see!\I sorta feel like I'm being gypped here.\I definitely am.\How much have you saved so far?\721 yen.\It sure is pretty.\Yeah.\Yano... response:	Let's go see the fireworks this summer.
context: I sorta feel like I'm being gypped here.\I definitely am.\How much have you saved so far?\721 yen.\It sure is pretty.\Yeah.\Yano...\Let's go see the fireworks this summer. response:	It's my dream.
context: I definitely am.\How much have you saved so far?\721 yen.\It sure is pretty.\Yeah.\Yano...\Let's go see the fireworks this summer.\It's my dream. response:	Okay.
context: How much have you saved so far?\721 yen.\It sure is pretty.\Yeah.\Yano...\Let's go see the fireworks this summer.\It's my dream.\Okay. response:	I want to go to the festival, the Kiri Festival, and the beach, all together with you!
context: 721 yen.\It sure is pretty.\Yeah.\Yano...\Let's go see the fireworks this summer.\It's my dream.\Okay.\I want to go to the festival, the Kiri Festival, and the beach, all together with you! response:	Let's create a ton of memories together.
context: It sure is pretty.\Yeah.\Yano...\Let's go see the fireworks this summer.\It's my dream.\Okay.\I want to go to the festival, the Kiri Festival, and the beach, all together with you!\Let's create a ton of memories together. response:	I don't really like the word memory.
context: Yeah.\Yano...\Let's go see the fireworks this summer.\It's my dream.\Okay.\I want to go to the festival, the Kiri Festival, and the beach, all together with you!\Let's create a ton of memories together.\I don't really like the word memory. response:	Why not?
context: Yano...\Let's go see the fireworks this summer.\It's my dream.\Okay.\I want to go to the festival, the Kiri Festival, and the beach, all together with you!\Let's create a ton of memories together.\I don't really like the word memory.\Why not? response:	No reason. In my Japanese class in elementary school, I read a story.
context: Let's go see the fireworks this summer.\It's my dream.\Okay.\I want to go to the festival, the Kiri Festival, and the beach, all together with you!\Let's create a ton of memories together.\I don't really like the word memory.\Why not?\No reason. In my Japanese class in elementary school, I read a story. response:	What story?
context: It's my dream.\Okay.\I want to go to the festival, the Kiri Festival, and the beach, all together with you!\Let's create a ton of memories together.\I don't really like the word memory.\Why not?\No reason. In my Japanese class in elementary school, I read a story.\What story? response:	A story called What Color Was That Girl's Dress?
context: Okay.\I want to go to the festival, the Kiri Festival, and the beach, all together with you!\Let's create a ton of memories together.\I don't really like the word memory.\Why not?\No reason. In my Japanese class in elementary school, I read a story.\What story?\A story called What Color Was That Girl's Dress? response:	Heard of it?
context: I want to go to the festival, the Kiri Festival, and the beach, all together with you!\Let's create a ton of memories together.\I don't really like the word memory.\Why not?\No reason. In my Japanese class in elementary school, I read a story.\What story?\A story called What Color Was That Girl's Dress?\Heard of it? response:	Nope...
context: Let's create a ton of memories together.\I don't really like the word memory.\Why not?\No reason. In my Japanese class in elementary school, I read a story.\What story?\A story called What Color Was That Girl's Dress?\Heard of it?\Nope... response:	Two girls, named A and B are recalling an old story together.
context: I don't really like the word memory.\Why not?\No reason. In my Japanese class in elementary school, I read a story.\What story?\A story called What Color Was That Girl's Dress?\Heard of it?\Nope...\Two girls, named A and B are recalling an old story together. response:	They get into this discussion about a picture hanging on the wall of one of the staircase landings in their elementary school.
context: Why not?\No reason. In my Japanese class in elementary school, I read a story.\What story?\A story called What Color Was That Girl's Dress?\Heard of it?\Nope...\Two girls, named A and B are recalling an old story together.\They get into this discussion about a picture hanging on the wall of one of the staircase landings in their elementary school. response:	A picture of a girl picking flowers in front of a deep red sunset...
context: No reason. In my Japanese class in elementary school, I read a story.\What story?\A story called What Color Was That Girl's Dress?\Heard of it?\Nope...\Two girls, named A and B are recalling an old story together.\They get into this discussion about a picture hanging on the wall of one of the staircase landings in their elementary school.\A picture of a girl picking flowers in front of a deep red sunset... response:	You really never read this?
context: What story?\A story called What Color Was That Girl's Dress?\Heard of it?\Nope...\Two girls, named A and B are recalling an old story together.\They get into this discussion about a picture hanging on the wall of one of the staircase landings in their elementary school.\A picture of a girl picking flowers in front of a deep red sunset...\You really never read this? response:	Nope.
context: A story called What Color Was That Girl's Dress?\Heard of it?\Nope...\Two girls, named A and B are recalling an old story together.\They get into this discussion about a picture hanging on the wall of one of the staircase landings in their elementary school.\A picture of a girl picking flowers in front of a deep red sunset...\You really never read this?\Nope. response:	A says, Oh! How nostalgic. You're talking about the picture of the girl in a pretty yellow dress, right?
context: Heard of it?\Nope...\Two girls, named A and B are recalling an old story together.\They get into this discussion about a picture hanging on the wall of one of the staircase landings in their elementary school.\A picture of a girl picking flowers in front of a deep red sunset...\You really never read this?\Nope.\A says, Oh! How nostalgic. You're talking about the picture of the girl in a pretty yellow dress, right? response:	But then B says, No, the dress she was wearing was red, just like the sunset!
context: Nope...\Two girls, named A and B are recalling an old story together.\They get into this discussion about a picture hanging on the wall of one of the staircase landings in their elementary school.\A picture of a girl picking flowers in front of a deep red sunset...\You really never read this?\Nope.\A says, Oh! How nostalgic. You're talking about the picture of the girl in a pretty yellow dress, right?\But then B says, No, the dress she was wearing was red, just like the sunset! response:	No, it was red!
context: Two girls, named A and B are recalling an old story together.\They get into this discussion about a picture hanging on the wall of one of the staircase landings in their elementary school.\A picture of a girl picking flowers in front of a deep red sunset...\You really never read this?\Nope.\A says, Oh! How nostalgic. You're talking about the picture of the girl in a pretty yellow dress, right?\But then B says, No, the dress she was wearing was red, just like the sunset!\No, it was red! response:	No, it was definitely yellow.
context: They get into this discussion about a picture hanging on the wall of one of the staircase landings in their elementary school.\A picture of a girl picking flowers in front of a deep red sunset...\You really never read this?\Nope.\A says, Oh! How nostalgic. You're talking about the picture of the girl in a pretty yellow dress, right?\But then B says, No, the dress she was wearing was red, just like the sunset!\No, it was red!\No, it was definitely yellow. response:	Alright, then why don't we go see for ourselves?
context: A picture of a girl picking flowers in front of a deep red sunset...\You really never read this?\Nope.\A says, Oh! How nostalgic. You're talking about the picture of the girl in a pretty yellow dress, right?\But then B says, No, the dress she was wearing was red, just like the sunset!\No, it was red!\No, it was definitely yellow.\Alright, then why don't we go see for ourselves? response:	The two of them, filled with excitement, reached the old, nostalgic school building.
context: You really never read this?\Nope.\A says, Oh! How nostalgic. You're talking about the picture of the girl in a pretty yellow dress, right?\But then B says, No, the dress she was wearing was red, just like the sunset!\No, it was red!\No, it was definitely yellow.\Alright, then why don't we go see for ourselves?\The two of them, filled with excitement, reached the old, nostalgic school building. response:	What color was that girl's dress?
context: Nope.\A says, Oh! How nostalgic. You're talking about the picture of the girl in a pretty yellow dress, right?\But then B says, No, the dress she was wearing was red, just like the sunset!\No, it was red!\No, it was definitely yellow.\Alright, then why don't we go see for ourselves?\The two of them, filled with excitement, reached the old, nostalgic school building.\What color was that girl's dress? response:	What color was it?
context: A says, Oh! How nostalgic. You're talking about the picture of the girl in a pretty yellow dress, right?\But then B says, No, the dress she was wearing was red, just like the sunset!\No, it was red!\No, it was definitely yellow.\Alright, then why don't we go see for ourselves?\The two of them, filled with excitement, reached the old, nostalgic school building.\What color was that girl's dress?\What color was it? response:	It...
context: But then B says, No, the dress she was wearing was red, just like the sunset!\No, it was red!\No, it was definitely yellow.\Alright, then why don't we go see for ourselves?\The two of them, filled with excitement, reached the old, nostalgic school building.\What color was that girl's dress?\What color was it?\It... response:	It was just a black and white picture.
context: No, it was red!\No, it was definitely yellow.\Alright, then why don't we go see for ourselves?\The two of them, filled with excitement, reached the old, nostalgic school building.\What color was that girl's dress?\What color was it?\It...\It was just a black and white picture. response:	The dress that dark silhouette wore was scribbled completely black.
context: No, it was definitely yellow.\Alright, then why don't we go see for ourselves?\The two of them, filled with excitement, reached the old, nostalgic school building.\What color was that girl's dress?\What color was it?\It...\It was just a black and white picture.\The dress that dark silhouette wore was scribbled completely black. response:	Yet in their memories, both bickering girls were sure that the dress in the picture had a color.
context: Alright, then why don't we go see for ourselves?\The two of them, filled with excitement, reached the old, nostalgic school building.\What color was that girl's dress?\What color was it?\It...\It was just a black and white picture.\The dress that dark silhouette wore was scribbled completely black.\Yet in their memories, both bickering girls were sure that the dress in the picture had a color. response:	See? Human memories are too vague.
context: The two of them, filled with excitement, reached the old, nostalgic school building.\What color was that girl's dress?\What color was it?\It...\It was just a black and white picture.\The dress that dark silhouette wore was scribbled completely black.\Yet in their memories, both bickering girls were sure that the dress in the picture had a color.\See? Human memories are too vague. response:	Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things...
context: What color was that girl's dress?\What color was it?\It...\It was just a black and white picture.\The dress that dark silhouette wore was scribbled completely black.\Yet in their memories, both bickering girls were sure that the dress in the picture had a color.\See? Human memories are too vague.\Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things... response:	It gives new, greater meaning than was actually there.
context: What color was it?\It...\It was just a black and white picture.\The dress that dark silhouette wore was scribbled completely black.\Yet in their memories, both bickering girls were sure that the dress in the picture had a color.\See? Human memories are too vague.\Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things...\It gives new, greater meaning than was actually there. response:	That's why I don't believe any of this talk about beautiful memories.
context: It...\It was just a black and white picture.\The dress that dark silhouette wore was scribbled completely black.\Yet in their memories, both bickering girls were sure that the dress in the picture had a color.\See? Human memories are too vague.\Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things...\It gives new, greater meaning than was actually there.\That's why I don't believe any of this talk about beautiful memories. response:	What do you believe in, then?
context: It was just a black and white picture.\The dress that dark silhouette wore was scribbled completely black.\Yet in their memories, both bickering girls were sure that the dress in the picture had a color.\See? Human memories are too vague.\Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things...\It gives new, greater meaning than was actually there.\That's why I don't believe any of this talk about beautiful memories.\What do you believe in, then? response:	You.
context: The dress that dark silhouette wore was scribbled completely black.\Yet in their memories, both bickering girls were sure that the dress in the picture had a color.\See? Human memories are too vague.\Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things...\It gives new, greater meaning than was actually there.\That's why I don't believe any of this talk about beautiful memories.\What do you believe in, then?\You. response:	Absolutely you.
context: Yet in their memories, both bickering girls were sure that the dress in the picture had a color.\See? Human memories are too vague.\Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things...\It gives new, greater meaning than was actually there.\That's why I don't believe any of this talk about beautiful memories.\What do you believe in, then?\You.\Absolutely you. response:	What's right in front of me now.
context: See? Human memories are too vague.\Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things...\It gives new, greater meaning than was actually there.\That's why I don't believe any of this talk about beautiful memories.\What do you believe in, then?\You.\Absolutely you.\What's right in front of me now. response:	Nana, wanna come shopping with me today?
context: Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things...\It gives new, greater meaning than was actually there.\That's why I don't believe any of this talk about beautiful memories.\What do you believe in, then?\You.\Absolutely you.\What's right in front of me now.\Nana, wanna come shopping with me today? response:	Shoot! I dropped her stuff all over the place!
context: It gives new, greater meaning than was actually there.\That's why I don't believe any of this talk about beautiful memories.\What do you believe in, then?\You.\Absolutely you.\What's right in front of me now.\Nana, wanna come shopping with me today?\Shoot! I dropped her stuff all over the place! response:	Whose is this?
context: That's why I don't believe any of this talk about beautiful memories.\What do you believe in, then?\You.\Absolutely you.\What's right in front of me now.\Nana, wanna come shopping with me today?\Shoot! I dropped her stuff all over the place!\Whose is this? response:	Yamamoto-san's.
context: What do you believe in, then?\You.\Absolutely you.\What's right in front of me now.\Nana, wanna come shopping with me today?\Shoot! I dropped her stuff all over the place!\Whose is this?\Yamamoto-san's. response:	She'll get really mad at us.
context: You.\Absolutely you.\What's right in front of me now.\Nana, wanna come shopping with me today?\Shoot! I dropped her stuff all over the place!\Whose is this?\Yamamoto-san's.\She'll get really mad at us. response:	I have a copy of this, too.
context: Absolutely you.\What's right in front of me now.\Nana, wanna come shopping with me today?\Shoot! I dropped her stuff all over the place!\Whose is this?\Yamamoto-san's.\She'll get really mad at us.\I have a copy of this, too. response:	So Yamamoto-san also reads poetry books...
context: What's right in front of me now.\Nana, wanna come shopping with me today?\Shoot! I dropped her stuff all over the place!\Whose is this?\Yamamoto-san's.\She'll get really mad at us.\I have a copy of this, too.\So Yamamoto-san also reads poetry books... response:	Nana, hurry up and give it!
context: Nana, wanna come shopping with me today?\Shoot! I dropped her stuff all over the place!\Whose is this?\Yamamoto-san's.\She'll get really mad at us.\I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it! response:	Ah, yeah!
context: Shoot! I dropped her stuff all over the place!\Whose is this?\Yamamoto-san's.\She'll get really mad at us.\I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah! response:	She won't notice we dropped it, right?
context: Whose is this?\Yamamoto-san's.\She'll get really mad at us.\I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\She won't notice we dropped it, right? response:	W-What am I gonna do? I took it as soon as I saw it.
context: Yamamoto-san's.\She'll get really mad at us.\I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\She won't notice we dropped it, right?\W-What am I gonna do? I took it as soon as I saw it. response:	They're a little younger, and...
context: She'll get really mad at us.\I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\She won't notice we dropped it, right?\W-What am I gonna do? I took it as soon as I saw it.\They're a little younger, and... response:	And... this is probably... Nana-san.
context: I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\She won't notice we dropped it, right?\W-What am I gonna do? I took it as soon as I saw it.\They're a little younger, and...\And... this is probably... Nana-san. response:	Why does Yamamoto-san have...
context: So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\She won't notice we dropped it, right?\W-What am I gonna do? I took it as soon as I saw it.\They're a little younger, and...\And... this is probably... Nana-san.\Why does Yamamoto-san have... response:	Kisetsu ga sukoshi ugoita ki ga suru
context: Nana, hurry up and give it!\Ah, yeah!\She won't notice we dropped it, right?\W-What am I gonna do? I took it as soon as I saw it.\They're a little younger, and...\And... this is probably... Nana-san.\Why does Yamamoto-san have...\Kisetsu ga sukoshi ugoita ki ga suru response:	Hizashi mo mijikaku itsukazurete
context: Ah, yeah!\She won't notice we dropped it, right?\W-What am I gonna do? I took it as soon as I saw it.\They're a little younger, and...\And... this is probably... Nana-san.\Why does Yamamoto-san have...\Kisetsu ga sukoshi ugoita ki ga suru\Hizashi mo mijikaku itsukazurete response:	Futari no basu ha kawaranai machi
context: She won't notice we dropped it, right?\W-What am I gonna do? I took it as soon as I saw it.\They're a little younger, and...\And... this is probably... Nana-san.\Why does Yamamoto-san have...\Kisetsu ga sukoshi ugoita ki ga suru\Hizashi mo mijikaku itsukazurete\Futari no basu ha kawaranai machi response:	Hashitteiru koto hotto shiteta
context: W-What am I gonna do? I took it as soon as I saw it.\They're a little younger, and...\And... this is probably... Nana-san.\Why does Yamamoto-san have...\Kisetsu ga sukoshi ugoita ki ga suru\Hizashi mo mijikaku itsukazurete\Futari no basu ha kawaranai machi\Hashitteiru koto hotto shiteta response:	Mado no soto itsumo mitai ni miteru anata
context: They're a little younger, and...\And... this is probably... Nana-san.\Why does Yamamoto-san have...\Kisetsu ga sukoshi ugoita ki ga suru\Hizashi mo mijikaku itsukazurete\Futari no basu ha kawaranai machi\Hashitteiru koto hotto shiteta\Mado no soto itsumo mitai ni miteru anata response:	Soshite watashi mo mane wo shiteiru
context: And... this is probably... Nana-san.\Why does Yamamoto-san have...\Kisetsu ga sukoshi ugoita ki ga suru\Hizashi mo mijikaku itsukazurete\Futari no basu ha kawaranai machi\Hashitteiru koto hotto shiteta\Mado no soto itsumo mitai ni miteru anata\Soshite watashi mo mane wo shiteiru response:	itsumo mitai ni
context: Why does Yamamoto-san have...\Kisetsu ga sukoshi ugoita ki ga suru\Hizashi mo mijikaku itsukazurete\Futari no basu ha kawaranai machi\Hashitteiru koto hotto shiteta\Mado no soto itsumo mitai ni miteru anata\Soshite watashi mo mane wo shiteiru\itsumo mitai ni response:	Nee futari ha onaji nano ka na?
context: Kisetsu ga sukoshi ugoita ki ga suru\Hizashi mo mijikaku itsukazurete\Futari no basu ha kawaranai machi\Hashitteiru koto hotto shiteta\Mado no soto itsumo mitai ni miteru anata\Soshite watashi mo mane wo shiteiru\itsumo mitai ni\Nee futari ha onaji nano ka na? response:	Ikitai basho ha? Damatteitatte iinda yo ne?
context: Hizashi mo mijikaku itsukazurete\Futari no basu ha kawaranai machi\Hashitteiru koto hotto shiteta\Mado no soto itsumo mitai ni miteru anata\Soshite watashi mo mane wo shiteiru\itsumo mitai ni\Nee futari ha onaji nano ka na?\Ikitai basho ha? Damatteitatte iinda yo ne? response:	Nee futari ha onaji nano ka na?
context: Futari no basu ha kawaranai machi\Hashitteiru koto hotto shiteta\Mado no soto itsumo mitai ni miteru anata\Soshite watashi mo mane wo shiteiru\itsumo mitai ni\Nee futari ha onaji nano ka na?\Ikitai basho ha? Damatteitatte iinda yo ne?\Nee futari ha onaji nano ka na? response:	Itoshii kimochi... Anata no shisen ha ima, mienakute...
context: Hashitteiru koto hotto shiteta\Mado no soto itsumo mitai ni miteru anata\Soshite watashi mo mane wo shiteiru\itsumo mitai ni\Nee futari ha onaji nano ka na?\Ikitai basho ha? Damatteitatte iinda yo ne?\Nee futari ha onaji nano ka na?\Itoshii kimochi... Anata no shisen ha ima, mienakute... response:	I feel like the seasons have changed slightly
context: Mado no soto itsumo mitai ni miteru anata\Soshite watashi mo mane wo shiteiru\itsumo mitai ni\Nee futari ha onaji nano ka na?\Ikitai basho ha? Damatteitatte iinda yo ne?\Nee futari ha onaji nano ka na?\Itoshii kimochi... Anata no shisen ha ima, mienakute...\I feel like the seasons have changed slightly response:	and the sunbeams have thinned and will one day shift.
context: Soshite watashi mo mane wo shiteiru\itsumo mitai ni\Nee futari ha onaji nano ka na?\Ikitai basho ha? Damatteitatte iinda yo ne?\Nee futari ha onaji nano ka na?\Itoshii kimochi... Anata no shisen ha ima, mienakute...\I feel like the seasons have changed slightly\and the sunbeams have thinned and will one day shift. response:	But I was relieved, knowing our bus
context: itsumo mitai ni\Nee futari ha onaji nano ka na?\Ikitai basho ha? Damatteitatte iinda yo ne?\Nee futari ha onaji nano ka na?\Itoshii kimochi... Anata no shisen ha ima, mienakute...\I feel like the seasons have changed slightly\and the sunbeams have thinned and will one day shift.\But I was relieved, knowing our bus response:	was riding through our unchanged city.
context: Nee futari ha onaji nano ka na?\Ikitai basho ha? Damatteitatte iinda yo ne?\Nee futari ha onaji nano ka na?\Itoshii kimochi... Anata no shisen ha ima, mienakute...\I feel like the seasons have changed slightly\and the sunbeams have thinned and will one day shift.\But I was relieved, knowing our bus\was riding through our unchanged city. response:	You always gaze up to me from outside my window
context: Ikitai basho ha? Damatteitatte iinda yo ne?\Nee futari ha onaji nano ka na?\Itoshii kimochi... Anata no shisen ha ima, mienakute...\I feel like the seasons have changed slightly\and the sunbeams have thinned and will one day shift.\But I was relieved, knowing our bus\was riding through our unchanged city.\You always gaze up to me from outside my window response:	and I mimic you by doing the same
context: Nee futari ha onaji nano ka na?\Itoshii kimochi... Anata no shisen ha ima, mienakute...\I feel like the seasons have changed slightly\and the sunbeams have thinned and will one day shift.\But I was relieved, knowing our bus\was riding through our unchanged city.\You always gaze up to me from outside my window\and I mimic you by doing the same response:	like always.
context: Itoshii kimochi... Anata no shisen ha ima, mienakute...\I feel like the seasons have changed slightly\and the sunbeams have thinned and will one day shift.\But I was relieved, knowing our bus\was riding through our unchanged city.\You always gaze up to me from outside my window\and I mimic you by doing the same\like always. response:	Hey, I wonder if we're both the same?
context: I feel like the seasons have changed slightly\and the sunbeams have thinned and will one day shift.\But I was relieved, knowing our bus\was riding through our unchanged city.\You always gaze up to me from outside my window\and I mimic you by doing the same\like always.\Hey, I wonder if we're both the same? response:	Even if the place we want to go to has gotten dull, it's all right.
context: and the sunbeams have thinned and will one day shift.\But I was relieved, knowing our bus\was riding through our unchanged city.\You always gaze up to me from outside my window\and I mimic you by doing the same\like always.\Hey, I wonder if we're both the same?\Even if the place we want to go to has gotten dull, it's all right. response:	Hey, I wonder if we're both the same?
