context: People do not live for the sake of clothing! response:	Satsuki Kiryuin is rising up to overthrow Life Fibers!
context: Magnificent.\It would appear to be a inherent ability she possesses.\You little fool!\I have you now!\Shingan-Tensenzuki!\What?!\Mon mignon pret-a-porter! (My cute clothes!)\You guys are boring because you're too uptight. response:	I'll let my cute li'l doppelgangers fight you,
context: It would appear to be a inherent ability she possesses.\You little fool!\I have you now!\Shingan-Tensenzuki!\What?!\Mon mignon pret-a-porter! (My cute clothes!)\You guys are boring because you're too uptight.\I'll let my cute li'l doppelgangers fight you, response:	so try to remember how to have fun, okay?
context: You little fool!\I have you now!\Shingan-Tensenzuki!\What?!\Mon mignon pret-a-porter! (My cute clothes!)\You guys are boring because you're too uptight.\I'll let my cute li'l doppelgangers fight you,\so try to remember how to have fun, okay? response:	Matoi, snap out of it!
context: I have you now!\Shingan-Tensenzuki!\What?!\Mon mignon pret-a-porter! (My cute clothes!)\You guys are boring because you're too uptight.\I'll let my cute li'l doppelgangers fight you,\so try to remember how to have fun, okay?\Matoi, snap out of it! response:	I tied up her nervous system good and tight.
context: Shingan-Tensenzuki!\What?!\Mon mignon pret-a-porter! (My cute clothes!)\You guys are boring because you're too uptight.\I'll let my cute li'l doppelgangers fight you,\so try to remember how to have fun, okay?\Matoi, snap out of it!\I tied up her nervous system good and tight. response:	She'll never be able to break free of my control.
context: What?!\Mon mignon pret-a-porter! (My cute clothes!)\You guys are boring because you're too uptight.\I'll let my cute li'l doppelgangers fight you,\so try to remember how to have fun, okay?\Matoi, snap out of it!\I tied up her nervous system good and tight.\She'll never be able to break free of my control. response:	Ryuko Matoi!
context: Mon mignon pret-a-porter! (My cute clothes!)\You guys are boring because you're too uptight.\I'll let my cute li'l doppelgangers fight you,\so try to remember how to have fun, okay?\Matoi, snap out of it!\I tied up her nervous system good and tight.\She'll never be able to break free of my control.\Ryuko Matoi! response:	Don't... screw... with... me!
context: You guys are boring because you're too uptight.\I'll let my cute li'l doppelgangers fight you,\so try to remember how to have fun, okay?\Matoi, snap out of it!\I tied up her nervous system good and tight.\She'll never be able to break free of my control.\Ryuko Matoi!\Don't... screw... with... me! response:	What?
context: I'll let my cute li'l doppelgangers fight you,\so try to remember how to have fun, okay?\Matoi, snap out of it!\I tied up her nervous system good and tight.\She'll never be able to break free of my control.\Ryuko Matoi!\Don't... screw... with... me!\What? response:	Don't think we're such easy marks!
context: so try to remember how to have fun, okay?\Matoi, snap out of it!\I tied up her nervous system good and tight.\She'll never be able to break free of my control.\Ryuko Matoi!\Don't... screw... with... me!\What?\Don't think we're such easy marks! response:	You can't tie down me and Senketsu with a little thread like this!
context: Matoi, snap out of it!\I tied up her nervous system good and tight.\She'll never be able to break free of my control.\Ryuko Matoi!\Don't... screw... with... me!\What?\Don't think we're such easy marks!\You can't tie down me and Senketsu with a little thread like this! response:	Impossible... She broke free of your Mind Stitching?
context: I tied up her nervous system good and tight.\She'll never be able to break free of my control.\Ryuko Matoi!\Don't... screw... with... me!\What?\Don't think we're such easy marks!\You can't tie down me and Senketsu with a little thread like this!\Impossible... She broke free of your Mind Stitching? response:	This feeling... Impossible!
context: She'll never be able to break free of my control.\Ryuko Matoi!\Don't... screw... with... me!\What?\Don't think we're such easy marks!\You can't tie down me and Senketsu with a little thread like this!\Impossible... She broke free of your Mind Stitching?\This feeling... Impossible! response:	I expected nothing less from someone
context: Ryuko Matoi!\Don't... screw... with... me!\What?\Don't think we're such easy marks!\You can't tie down me and Senketsu with a little thread like this!\Impossible... She broke free of your Mind Stitching?\This feeling... Impossible!\I expected nothing less from someone response:	who's been a constant thorn in my side.
context: Don't... screw... with... me!\What?\Don't think we're such easy marks!\You can't tie down me and Senketsu with a little thread like this!\Impossible... She broke free of your Mind Stitching?\This feeling... Impossible!\I expected nothing less from someone\who's been a constant thorn in my side. response:	How long are you gonna keep talking down to me?
context: What?\Don't think we're such easy marks!\You can't tie down me and Senketsu with a little thread like this!\Impossible... She broke free of your Mind Stitching?\This feeling... Impossible!\I expected nothing less from someone\who's been a constant thorn in my side.\How long are you gonna keep talking down to me? response:	I got a whole heap of bones to pick with you.
context: Don't think we're such easy marks!\You can't tie down me and Senketsu with a little thread like this!\Impossible... She broke free of your Mind Stitching?\This feeling... Impossible!\I expected nothing less from someone\who's been a constant thorn in my side.\How long are you gonna keep talking down to me?\I got a whole heap of bones to pick with you. response:	But for now, I'm taking her down!
context: You can't tie down me and Senketsu with a little thread like this!\Impossible... She broke free of your Mind Stitching?\This feeling... Impossible!\I expected nothing less from someone\who's been a constant thorn in my side.\How long are you gonna keep talking down to me?\I got a whole heap of bones to pick with you.\But for now, I'm taking her down! response:	La vie est juste drole.
context: Impossible... She broke free of your Mind Stitching?\This feeling... Impossible!\I expected nothing less from someone\who's been a constant thorn in my side.\How long are you gonna keep talking down to me?\I got a whole heap of bones to pick with you.\But for now, I'm taking her down!\La vie est juste drole. response:	Let's do it, Senketsu!
context: This feeling... Impossible!\I expected nothing less from someone\who's been a constant thorn in my side.\How long are you gonna keep talking down to me?\I got a whole heap of bones to pick with you.\But for now, I'm taking her down!\La vie est juste drole.\Let's do it, Senketsu! response:	Ready!
context: I expected nothing less from someone\who's been a constant thorn in my side.\How long are you gonna keep talking down to me?\I got a whole heap of bones to pick with you.\But for now, I'm taking her down!\La vie est juste drole.\Let's do it, Senketsu!\Ready! response:	Truly, life is...
context: who's been a constant thorn in my side.\How long are you gonna keep talking down to me?\I got a whole heap of bones to pick with you.\But for now, I'm taking her down!\La vie est juste drole.\Let's do it, Senketsu!\Ready!\Truly, life is... response:	Long time, no see, Ryuko!
context: How long are you gonna keep talking down to me?\I got a whole heap of bones to pick with you.\But for now, I'm taking her down!\La vie est juste drole.\Let's do it, Senketsu!\Ready!\Truly, life is...\Long time, no see, Ryuko! response:	You!
context: I got a whole heap of bones to pick with you.\But for now, I'm taking her down!\La vie est juste drole.\Let's do it, Senketsu!\Ready!\Truly, life is...\Long time, no see, Ryuko!\You! response:	Nui Harime!
context: But for now, I'm taking her down!\La vie est juste drole.\Let's do it, Senketsu!\Ready!\Truly, life is...\Long time, no see, Ryuko!\You!\Nui Harime! response:	Satsuki said that the whole killing-your-father thing was her idea,
context: La vie est juste drole.\Let's do it, Senketsu!\Ready!\Truly, life is...\Long time, no see, Ryuko!\You!\Nui Harime!\Satsuki said that the whole killing-your-father thing was her idea, response:	but that's a lie, lie, lie, a big fat lie!
context: Let's do it, Senketsu!\Ready!\Truly, life is...\Long time, no see, Ryuko!\You!\Nui Harime!\Satsuki said that the whole killing-your-father thing was her idea,\but that's a lie, lie, lie, a big fat lie! response:	Lady Ragyo and I were behind the whole thing!
context: Ready!\Truly, life is...\Long time, no see, Ryuko!\You!\Nui Harime!\Satsuki said that the whole killing-your-father thing was her idea,\but that's a lie, lie, lie, a big fat lie!\Lady Ragyo and I were behind the whole thing! response:	You want me to give you back this Scissor Blade, right?
context: Truly, life is...\Long time, no see, Ryuko!\You!\Nui Harime!\Satsuki said that the whole killing-your-father thing was her idea,\but that's a lie, lie, lie, a big fat lie!\Lady Ragyo and I were behind the whole thing!\You want me to give you back this Scissor Blade, right? response:	Come on, avenge your father right here and now.
context: Long time, no see, Ryuko!\You!\Nui Harime!\Satsuki said that the whole killing-your-father thing was her idea,\but that's a lie, lie, lie, a big fat lie!\Lady Ragyo and I were behind the whole thing!\You want me to give you back this Scissor Blade, right?\Come on, avenge your father right here and now. response:	But don't get mad at me if your quest
context: You!\Nui Harime!\Satsuki said that the whole killing-your-father thing was her idea,\but that's a lie, lie, lie, a big fat lie!\Lady Ragyo and I were behind the whole thing!\You want me to give you back this Scissor Blade, right?\Come on, avenge your father right here and now.\But don't get mad at me if your quest response:	for revenge costs you your life, okay?
context: Nui Harime!\Satsuki said that the whole killing-your-father thing was her idea,\but that's a lie, lie, lie, a big fat lie!\Lady Ragyo and I were behind the whole thing!\You want me to give you back this Scissor Blade, right?\Come on, avenge your father right here and now.\But don't get mad at me if your quest\for revenge costs you your life, okay? response:	Kiryuin, Ragyo is yours.
context: Satsuki said that the whole killing-your-father thing was her idea,\but that's a lie, lie, lie, a big fat lie!\Lady Ragyo and I were behind the whole thing!\You want me to give you back this Scissor Blade, right?\Come on, avenge your father right here and now.\But don't get mad at me if your quest\for revenge costs you your life, okay?\Kiryuin, Ragyo is yours. response:	She isn't yours to give.
context: but that's a lie, lie, lie, a big fat lie!\Lady Ragyo and I were behind the whole thing!\You want me to give you back this Scissor Blade, right?\Come on, avenge your father right here and now.\But don't get mad at me if your quest\for revenge costs you your life, okay?\Kiryuin, Ragyo is yours.\She isn't yours to give. response:	Defeating my mother is my lifelong ambition!
context: Lady Ragyo and I were behind the whole thing!\You want me to give you back this Scissor Blade, right?\Come on, avenge your father right here and now.\But don't get mad at me if your quest\for revenge costs you your life, okay?\Kiryuin, Ragyo is yours.\She isn't yours to give.\Defeating my mother is my lifelong ambition! response:	Life Fiber Synchronize, Kamui Senketsu!
context: You want me to give you back this Scissor Blade, right?\Come on, avenge your father right here and now.\But don't get mad at me if your quest\for revenge costs you your life, okay?\Kiryuin, Ragyo is yours.\She isn't yours to give.\Defeating my mother is my lifelong ambition!\Life Fiber Synchronize, Kamui Senketsu! response:	KAMUI SENKETSU
context: Come on, avenge your father right here and now.\But don't get mad at me if your quest\for revenge costs you your life, okay?\Kiryuin, Ragyo is yours.\She isn't yours to give.\Defeating my mother is my lifelong ambition!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU response:	Remind me, were you this slow before?
context: But don't get mad at me if your quest\for revenge costs you your life, okay?\Kiryuin, Ragyo is yours.\She isn't yours to give.\Defeating my mother is my lifelong ambition!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Remind me, were you this slow before? response:	Mon mignon pret-a-porter!
context: for revenge costs you your life, okay?\Kiryuin, Ragyo is yours.\She isn't yours to give.\Defeating my mother is my lifelong ambition!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Remind me, were you this slow before?\Mon mignon pret-a-porter! response:	You think scraps of cloth are a match for me?!
context: Kiryuin, Ragyo is yours.\She isn't yours to give.\Defeating my mother is my lifelong ambition!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Remind me, were you this slow before?\Mon mignon pret-a-porter!\You think scraps of cloth are a match for me?! response:	Impossible!
context: She isn't yours to give.\Defeating my mother is my lifelong ambition!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Remind me, were you this slow before?\Mon mignon pret-a-porter!\You think scraps of cloth are a match for me?!\Impossible! response:	Aw, what's the matter?
context: Defeating my mother is my lifelong ambition!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Remind me, were you this slow before?\Mon mignon pret-a-porter!\You think scraps of cloth are a match for me?!\Impossible!\Aw, what's the matter? response:	I've never seen you look worried before.
context: Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Remind me, were you this slow before?\Mon mignon pret-a-porter!\You think scraps of cloth are a match for me?!\Impossible!\Aw, what's the matter?\I've never seen you look worried before. response:	Ryuko!
context: KAMUI SENKETSU\Remind me, were you this slow before?\Mon mignon pret-a-porter!\You think scraps of cloth are a match for me?!\Impossible!\Aw, what's the matter?\I've never seen you look worried before.\Ryuko! response:	What's wrong? Are you saying I'm getting carried away again?
context: Remind me, were you this slow before?\Mon mignon pret-a-porter!\You think scraps of cloth are a match for me?!\Impossible!\Aw, what's the matter?\I've never seen you look worried before.\Ryuko!\What's wrong? Are you saying I'm getting carried away again? response:	No, the opposite!
context: Mon mignon pret-a-porter!\You think scraps of cloth are a match for me?!\Impossible!\Aw, what's the matter?\I've never seen you look worried before.\Ryuko!\What's wrong? Are you saying I'm getting carried away again?\No, the opposite! response:	We've never been so in sync before!
context: You think scraps of cloth are a match for me?!\Impossible!\Aw, what's the matter?\I've never seen you look worried before.\Ryuko!\What's wrong? Are you saying I'm getting carried away again?\No, the opposite!\We've never been so in sync before! response:	Right now, you and I are one!
context: Impossible!\Aw, what's the matter?\I've never seen you look worried before.\Ryuko!\What's wrong? Are you saying I'm getting carried away again?\No, the opposite!\We've never been so in sync before!\Right now, you and I are one! response:	This is literally Life Fiber Synchronization!
context: Aw, what's the matter?\I've never seen you look worried before.\Ryuko!\What's wrong? Are you saying I'm getting carried away again?\No, the opposite!\We've never been so in sync before!\Right now, you and I are one!\This is literally Life Fiber Synchronization! response:	JIN-I-ITTAI (LIFE FIBER SYNCHRONIZE)
context: I've never seen you look worried before.\Ryuko!\What's wrong? Are you saying I'm getting carried away again?\No, the opposite!\We've never been so in sync before!\Right now, you and I are one!\This is literally Life Fiber Synchronization!\JIN-I-ITTAI (LIFE FIBER SYNCHRONIZE) response:	I know! Doesn't this feel awesome?!
context: Ryuko!\What's wrong? Are you saying I'm getting carried away again?\No, the opposite!\We've never been so in sync before!\Right now, you and I are one!\This is literally Life Fiber Synchronization!\JIN-I-ITTAI (LIFE FIBER SYNCHRONIZE)\I know! Doesn't this feel awesome?! response:	How can an ordinary human have this much power?
context: What's wrong? Are you saying I'm getting carried away again?\No, the opposite!\We've never been so in sync before!\Right now, you and I are one!\This is literally Life Fiber Synchronization!\JIN-I-ITTAI (LIFE FIBER SYNCHRONIZE)\I know! Doesn't this feel awesome?!\How can an ordinary human have this much power? response:	Stand aside!
context: No, the opposite!\We've never been so in sync before!\Right now, you and I are one!\This is literally Life Fiber Synchronization!\JIN-I-ITTAI (LIFE FIBER SYNCHRONIZE)\I know! Doesn't this feel awesome?!\How can an ordinary human have this much power?\Stand aside! response:	Ragyo Kiryuin!
context: We've never been so in sync before!\Right now, you and I are one!\This is literally Life Fiber Synchronization!\JIN-I-ITTAI (LIFE FIBER SYNCHRONIZE)\I know! Doesn't this feel awesome?!\How can an ordinary human have this much power?\Stand aside!\Ragyo Kiryuin! response:	You will pay for taking the lives of my father, Soichiro Kiryuin,
context: Right now, you and I are one!\This is literally Life Fiber Synchronization!\JIN-I-ITTAI (LIFE FIBER SYNCHRONIZE)\I know! Doesn't this feel awesome?!\How can an ordinary human have this much power?\Stand aside!\Ragyo Kiryuin!\You will pay for taking the lives of my father, Soichiro Kiryuin, response:	and my baby sister who was never given a name!
context: This is literally Life Fiber Synchronization!\JIN-I-ITTAI (LIFE FIBER SYNCHRONIZE)\I know! Doesn't this feel awesome?!\How can an ordinary human have this much power?\Stand aside!\Ragyo Kiryuin!\You will pay for taking the lives of my father, Soichiro Kiryuin,\and my baby sister who was never given a name! response:	This is all about revenge for ancient history?
context: JIN-I-ITTAI (LIFE FIBER SYNCHRONIZE)\I know! Doesn't this feel awesome?!\How can an ordinary human have this much power?\Stand aside!\Ragyo Kiryuin!\You will pay for taking the lives of my father, Soichiro Kiryuin,\and my baby sister who was never given a name!\This is all about revenge for ancient history? response:	For someone so young, you're so trite.
context: I know! Doesn't this feel awesome?!\How can an ordinary human have this much power?\Stand aside!\Ragyo Kiryuin!\You will pay for taking the lives of my father, Soichiro Kiryuin,\and my baby sister who was never given a name!\This is all about revenge for ancient history?\For someone so young, you're so trite. response:	It is a noble cause resulting from personal feelings.
context: How can an ordinary human have this much power?\Stand aside!\Ragyo Kiryuin!\You will pay for taking the lives of my father, Soichiro Kiryuin,\and my baby sister who was never given a name!\This is all about revenge for ancient history?\For someone so young, you're so trite.\It is a noble cause resulting from personal feelings. response:	Someone like you whose soul is enchained by Life Fibers
context: Stand aside!\Ragyo Kiryuin!\You will pay for taking the lives of my father, Soichiro Kiryuin,\and my baby sister who was never given a name!\This is all about revenge for ancient history?\For someone so young, you're so trite.\It is a noble cause resulting from personal feelings.\Someone like you whose soul is enchained by Life Fibers response:	could never understand.
context: Ragyo Kiryuin!\You will pay for taking the lives of my father, Soichiro Kiryuin,\and my baby sister who was never given a name!\This is all about revenge for ancient history?\For someone so young, you're so trite.\It is a noble cause resulting from personal feelings.\Someone like you whose soul is enchained by Life Fibers\could never understand. response:	Can you defeat me, though?
context: You will pay for taking the lives of my father, Soichiro Kiryuin,\and my baby sister who was never given a name!\This is all about revenge for ancient history?\For someone so young, you're so trite.\It is a noble cause resulting from personal feelings.\Someone like you whose soul is enchained by Life Fibers\could never understand.\Can you defeat me, though? response:	If I take your head, not even you will survive!
context: and my baby sister who was never given a name!\This is all about revenge for ancient history?\For someone so young, you're so trite.\It is a noble cause resulting from personal feelings.\Someone like you whose soul is enchained by Life Fibers\could never understand.\Can you defeat me, though?\If I take your head, not even you will survive! response:	Now, I'll have your head!
context: This is all about revenge for ancient history?\For someone so young, you're so trite.\It is a noble cause resulting from personal feelings.\Someone like you whose soul is enchained by Life Fibers\could never understand.\Can you defeat me, though?\If I take your head, not even you will survive!\Now, I'll have your head! response:	Lady Ragyo!
context: For someone so young, you're so trite.\It is a noble cause resulting from personal feelings.\Someone like you whose soul is enchained by Life Fibers\could never understand.\Can you defeat me, though?\If I take your head, not even you will survive!\Now, I'll have your head!\Lady Ragyo! response:	It is finished.
context: It is a noble cause resulting from personal feelings.\Someone like you whose soul is enchained by Life Fibers\could never understand.\Can you defeat me, though?\If I take your head, not even you will survive!\Now, I'll have your head!\Lady Ragyo!\It is finished. response:	What's it
context: Someone like you whose soul is enchained by Life Fibers\could never understand.\Can you defeat me, though?\If I take your head, not even you will survive!\Now, I'll have your head!\Lady Ragyo!\It is finished.\What's it response:	Shiro!
context: could never understand.\Can you defeat me, though?\If I take your head, not even you will survive!\Now, I'll have your head!\Lady Ragyo!\It is finished.\What's it\Shiro! response:	Honnouji Academy, please come in...
context: Can you defeat me, though?\If I take your head, not even you will survive!\Now, I'll have your head!\Lady Ragyo!\It is finished.\What's it\Shiro!\Honnouji Academy, please come in... response:	Honnouji Academy!
context: If I take your head, not even you will survive!\Now, I'll have your head!\Lady Ragyo!\It is finished.\What's it\Shiro!\Honnouji Academy, please come in...\Honnouji Academy! response:	I was just imagining things?
context: Now, I'll have your head!\Lady Ragyo!\It is finished.\What's it\Shiro!\Honnouji Academy, please come in...\Honnouji Academy!\I was just imagining things? response:	It is you that is finished, Satsuki.
context: Lady Ragyo!\It is finished.\What's it\Shiro!\Honnouji Academy, please come in...\Honnouji Academy!\I was just imagining things?\It is you that is finished, Satsuki. response:	As long as a single scrap of skin
context: It is finished.\What's it\Shiro!\Honnouji Academy, please come in...\Honnouji Academy!\I was just imagining things?\It is you that is finished, Satsuki.\As long as a single scrap of skin response:	no, a single strand of neck thread remains attached,
context: What's it\Shiro!\Honnouji Academy, please come in...\Honnouji Academy!\I was just imagining things?\It is you that is finished, Satsuki.\As long as a single scrap of skin\no, a single strand of neck thread remains attached, response:	my body can regenerate itself.
context: Shiro!\Honnouji Academy, please come in...\Honnouji Academy!\I was just imagining things?\It is you that is finished, Satsuki.\As long as a single scrap of skin\no, a single strand of neck thread remains attached,\my body can regenerate itself. response:	It would seem that not even your Bakuzan was able
context: Honnouji Academy, please come in...\Honnouji Academy!\I was just imagining things?\It is you that is finished, Satsuki.\As long as a single scrap of skin\no, a single strand of neck thread remains attached,\my body can regenerate itself.\It would seem that not even your Bakuzan was able response:	to sever it completely.
context: Honnouji Academy!\I was just imagining things?\It is you that is finished, Satsuki.\As long as a single scrap of skin\no, a single strand of neck thread remains attached,\my body can regenerate itself.\It would seem that not even your Bakuzan was able\to sever it completely. response:	Impossible...
context: I was just imagining things?\It is you that is finished, Satsuki.\As long as a single scrap of skin\no, a single strand of neck thread remains attached,\my body can regenerate itself.\It would seem that not even your Bakuzan was able\to sever it completely.\Impossible... response:	Lady Satsuki!
context: It is you that is finished, Satsuki.\As long as a single scrap of skin\no, a single strand of neck thread remains attached,\my body can regenerate itself.\It would seem that not even your Bakuzan was able\to sever it completely.\Impossible...\Lady Satsuki! response:	You will not interfere.
context: As long as a single scrap of skin\no, a single strand of neck thread remains attached,\my body can regenerate itself.\It would seem that not even your Bakuzan was able\to sever it completely.\Impossible...\Lady Satsuki!\You will not interfere. response:	Satsuki, you are completely misunderstanding.
context: no, a single strand of neck thread remains attached,\my body can regenerate itself.\It would seem that not even your Bakuzan was able\to sever it completely.\Impossible...\Lady Satsuki!\You will not interfere.\Satsuki, you are completely misunderstanding. response:	You think you are wearing Junketsu perfectly.
context: my body can regenerate itself.\It would seem that not even your Bakuzan was able\to sever it completely.\Impossible...\Lady Satsuki!\You will not interfere.\Satsuki, you are completely misunderstanding.\You think you are wearing Junketsu perfectly. response:	What are you saying?
context: It would seem that not even your Bakuzan was able\to sever it completely.\Impossible...\Lady Satsuki!\You will not interfere.\Satsuki, you are completely misunderstanding.\You think you are wearing Junketsu perfectly.\What are you saying? response:	All you're doing is forcing it onto you.
context: to sever it completely.\Impossible...\Lady Satsuki!\You will not interfere.\Satsuki, you are completely misunderstanding.\You think you are wearing Junketsu perfectly.\What are you saying?\All you're doing is forcing it onto you. response:	To the ignorant masses, even that much would appear impressive.
context: Impossible...\Lady Satsuki!\You will not interfere.\Satsuki, you are completely misunderstanding.\You think you are wearing Junketsu perfectly.\What are you saying?\All you're doing is forcing it onto you.\To the ignorant masses, even that much would appear impressive. response:	If anything, I give you an A for effort.
context: Lady Satsuki!\You will not interfere.\Satsuki, you are completely misunderstanding.\You think you are wearing Junketsu perfectly.\What are you saying?\All you're doing is forcing it onto you.\To the ignorant masses, even that much would appear impressive.\If anything, I give you an A for effort. response:	But nothing is uglier than seeing someone
context: You will not interfere.\Satsuki, you are completely misunderstanding.\You think you are wearing Junketsu perfectly.\What are you saying?\All you're doing is forcing it onto you.\To the ignorant masses, even that much would appear impressive.\If anything, I give you an A for effort.\But nothing is uglier than seeing someone response:	wear clothing that doesn't fit them!
context: Satsuki, you are completely misunderstanding.\You think you are wearing Junketsu perfectly.\What are you saying?\All you're doing is forcing it onto you.\To the ignorant masses, even that much would appear impressive.\If anything, I give you an A for effort.\But nothing is uglier than seeing someone\wear clothing that doesn't fit them! response:	Wearing Junketsu to this battle was a terrible mistake.
context: You think you are wearing Junketsu perfectly.\What are you saying?\All you're doing is forcing it onto you.\To the ignorant masses, even that much would appear impressive.\If anything, I give you an A for effort.\But nothing is uglier than seeing someone\wear clothing that doesn't fit them!\Wearing Junketsu to this battle was a terrible mistake. response:	Of course, you wouldn't be even able to
context: What are you saying?\All you're doing is forcing it onto you.\To the ignorant masses, even that much would appear impressive.\If anything, I give you an A for effort.\But nothing is uglier than seeing someone\wear clothing that doesn't fit them!\Wearing Junketsu to this battle was a terrible mistake.\Of course, you wouldn't be even able to response:	stand before me if it weren't for his strength.
context: All you're doing is forcing it onto you.\To the ignorant masses, even that much would appear impressive.\If anything, I give you an A for effort.\But nothing is uglier than seeing someone\wear clothing that doesn't fit them!\Wearing Junketsu to this battle was a terrible mistake.\Of course, you wouldn't be even able to\stand before me if it weren't for his strength. response:	I've had enough of your garbage!
context: To the ignorant masses, even that much would appear impressive.\If anything, I give you an A for effort.\But nothing is uglier than seeing someone\wear clothing that doesn't fit them!\Wearing Junketsu to this battle was a terrible mistake.\Of course, you wouldn't be even able to\stand before me if it weren't for his strength.\I've had enough of your garbage! response:	Your little scheme has given me no end of entertainment.
context: If anything, I give you an A for effort.\But nothing is uglier than seeing someone\wear clothing that doesn't fit them!\Wearing Junketsu to this battle was a terrible mistake.\Of course, you wouldn't be even able to\stand before me if it weren't for his strength.\I've had enough of your garbage!\Your little scheme has given me no end of entertainment. response:	But I think it's time for you to return Junketsu.
context: But nothing is uglier than seeing someone\wear clothing that doesn't fit them!\Wearing Junketsu to this battle was a terrible mistake.\Of course, you wouldn't be even able to\stand before me if it weren't for his strength.\I've had enough of your garbage!\Your little scheme has given me no end of entertainment.\But I think it's time for you to return Junketsu. response:	Ryuko! Look at the sky!
context: wear clothing that doesn't fit them!\Wearing Junketsu to this battle was a terrible mistake.\Of course, you wouldn't be even able to\stand before me if it weren't for his strength.\I've had enough of your garbage!\Your little scheme has given me no end of entertainment.\But I think it's time for you to return Junketsu.\Ryuko! Look at the sky! response:	What the hell?!
context: Wearing Junketsu to this battle was a terrible mistake.\Of course, you wouldn't be even able to\stand before me if it weren't for his strength.\I've had enough of your garbage!\Your little scheme has given me no end of entertainment.\But I think it's time for you to return Junketsu.\Ryuko! Look at the sky!\What the hell?! response:	It can't be, those are
context: Of course, you wouldn't be even able to\stand before me if it weren't for his strength.\I've had enough of your garbage!\Your little scheme has given me no end of entertainment.\But I think it's time for you to return Junketsu.\Ryuko! Look at the sky!\What the hell?!\It can't be, those are response:	Oh, but they are. Those are COVERS.
context: stand before me if it weren't for his strength.\I've had enough of your garbage!\Your little scheme has given me no end of entertainment.\But I think it's time for you to return Junketsu.\Ryuko! Look at the sky!\What the hell?!\It can't be, those are\Oh, but they are. Those are COVERS. response:	Beings created from the Original Life Fiber.
context: I've had enough of your garbage!\Your little scheme has given me no end of entertainment.\But I think it's time for you to return Junketsu.\Ryuko! Look at the sky!\What the hell?!\It can't be, those are\Oh, but they are. Those are COVERS.\Beings created from the Original Life Fiber. response:	Satsuki Kiryuin...!
context: Your little scheme has given me no end of entertainment.\But I think it's time for you to return Junketsu.\Ryuko! Look at the sky!\What the hell?!\It can't be, those are\Oh, but they are. Those are COVERS.\Beings created from the Original Life Fiber.\Satsuki Kiryuin...! response:	You are a disgrace, Satsuki Kiryuin!
context: But I think it's time for you to return Junketsu.\Ryuko! Look at the sky!\What the hell?!\It can't be, those are\Oh, but they are. Those are COVERS.\Beings created from the Original Life Fiber.\Satsuki Kiryuin...!\You are a disgrace, Satsuki Kiryuin! response:	This is the fate that awaits any fool who dares oppose me
context: Ryuko! Look at the sky!\What the hell?!\It can't be, those are\Oh, but they are. Those are COVERS.\Beings created from the Original Life Fiber.\Satsuki Kiryuin...!\You are a disgrace, Satsuki Kiryuin!\This is the fate that awaits any fool who dares oppose me response:	no, oppose the Life Fibers!
context: What the hell?!\It can't be, those are\Oh, but they are. Those are COVERS.\Beings created from the Original Life Fiber.\Satsuki Kiryuin...!\You are a disgrace, Satsuki Kiryuin!\This is the fate that awaits any fool who dares oppose me\no, oppose the Life Fibers! response:	You bitch!
context: It can't be, those are\Oh, but they are. Those are COVERS.\Beings created from the Original Life Fiber.\Satsuki Kiryuin...!\You are a disgrace, Satsuki Kiryuin!\This is the fate that awaits any fool who dares oppose me\no, oppose the Life Fibers!\You bitch! response:	This shows that Satsuki was never worthy
context: Oh, but they are. Those are COVERS.\Beings created from the Original Life Fiber.\Satsuki Kiryuin...!\You are a disgrace, Satsuki Kiryuin!\This is the fate that awaits any fool who dares oppose me\no, oppose the Life Fibers!\You bitch!\This shows that Satsuki was never worthy response:	to be a vessel of the Life Fibers.
context: Beings created from the Original Life Fiber.\Satsuki Kiryuin...!\You are a disgrace, Satsuki Kiryuin!\This is the fate that awaits any fool who dares oppose me\no, oppose the Life Fibers!\You bitch!\This shows that Satsuki was never worthy\to be a vessel of the Life Fibers. response:	Life Fiber Override, Kamui Junketsu!
context: Satsuki Kiryuin...!\You are a disgrace, Satsuki Kiryuin!\This is the fate that awaits any fool who dares oppose me\no, oppose the Life Fibers!\You bitch!\This shows that Satsuki was never worthy\to be a vessel of the Life Fibers.\Life Fiber Override, Kamui Junketsu! response:	KAMUI JUNKETSU
context: You are a disgrace, Satsuki Kiryuin!\This is the fate that awaits any fool who dares oppose me\no, oppose the Life Fibers!\You bitch!\This shows that Satsuki was never worthy\to be a vessel of the Life Fibers.\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU response:	However, I have that fool to thank for allowing me
context: This is the fate that awaits any fool who dares oppose me\no, oppose the Life Fibers!\You bitch!\This shows that Satsuki was never worthy\to be a vessel of the Life Fibers.\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\However, I have that fool to thank for allowing me response:	to meet someone I never expected to see.
