context: Sorry to call you here out of the blue. response:	It's okay...
context: Good thing she's not going up there.\I'm glad I'm not participating in this...\If Kirino saw me cosplaying in that, I would die...\I think she'd be really happy, though...\Now then, this is the winner's prizethe trophy!\A special Meruru figure!\There's only one of these in the world!\Special Meruru! Yes! Yes! Yes! response:	I want it so bad! Dammit!
context: I'm glad I'm not participating in this...\If Kirino saw me cosplaying in that, I would die...\I think she'd be really happy, though...\Now then, this is the winner's prizethe trophy!\A special Meruru figure!\There's only one of these in the world!\Special Meruru! Yes! Yes! Yes!\I want it so bad! Dammit! response:	If only there were a character that looked like me!
context: If Kirino saw me cosplaying in that, I would die...\I think she'd be really happy, though...\Now then, this is the winner's prizethe trophy!\A special Meruru figure!\There's only one of these in the world!\Special Meruru! Yes! Yes! Yes!\I want it so bad! Dammit!\If only there were a character that looked like me! response:	She wanted to participate!
context: I think she'd be really happy, though...\Now then, this is the winner's prizethe trophy!\A special Meruru figure!\There's only one of these in the world!\Special Meruru! Yes! Yes! Yes!\I want it so bad! Dammit!\If only there were a character that looked like me!\She wanted to participate! response:	It looks like we picked the right present for her.
context: Now then, this is the winner's prizethe trophy!\A special Meruru figure!\There's only one of these in the world!\Special Meruru! Yes! Yes! Yes!\I want it so bad! Dammit!\If only there were a character that looked like me!\She wanted to participate!\It looks like we picked the right present for her. response:	Yeah...
context: A special Meruru figure!\There's only one of these in the world!\Special Meruru! Yes! Yes! Yes!\I want it so bad! Dammit!\If only there were a character that looked like me!\She wanted to participate!\It looks like we picked the right present for her.\Yeah... response:	But Kanako will see her if she's up there making a racket like that.
context: There's only one of these in the world!\Special Meruru! Yes! Yes! Yes!\I want it so bad! Dammit!\If only there were a character that looked like me!\She wanted to participate!\It looks like we picked the right present for her.\Yeah...\But Kanako will see her if she's up there making a racket like that. response:	I'll go warn her.
context: Special Meruru! Yes! Yes! Yes!\I want it so bad! Dammit!\If only there were a character that looked like me!\She wanted to participate!\It looks like we picked the right present for her.\Yeah...\But Kanako will see her if she's up there making a racket like that.\I'll go warn her. response:	We should split up here.
context: I want it so bad! Dammit!\If only there were a character that looked like me!\She wanted to participate!\It looks like we picked the right present for her.\Yeah...\But Kanako will see her if she's up there making a racket like that.\I'll go warn her.\We should split up here. response:	It'll be a hard to explain if she sees us together.
context: If only there were a character that looked like me!\She wanted to participate!\It looks like we picked the right present for her.\Yeah...\But Kanako will see her if she's up there making a racket like that.\I'll go warn her.\We should split up here.\It'll be a hard to explain if she sees us together. response:	Yes.
context: She wanted to participate!\It looks like we picked the right present for her.\Yeah...\But Kanako will see her if she's up there making a racket like that.\I'll go warn her.\We should split up here.\It'll be a hard to explain if she sees us together.\Yes. response:	We can meet up where we were earlier.
context: It looks like we picked the right present for her.\Yeah...\But Kanako will see her if she's up there making a racket like that.\I'll go warn her.\We should split up here.\It'll be a hard to explain if she sees us together.\Yes.\We can meet up where we were earlier. response:	Give this to Kirino.
context: Yeah...\But Kanako will see her if she's up there making a racket like that.\I'll go warn her.\We should split up here.\It'll be a hard to explain if she sees us together.\Yes.\We can meet up where we were earlier.\Give this to Kirino. response:	Now then, entry number 1!
context: But Kanako will see her if she's up there making a racket like that.\I'll go warn her.\We should split up here.\It'll be a hard to explain if she sees us together.\Yes.\We can meet up where we were earlier.\Give this to Kirino.\Now then, entry number 1! response:	We have last year's winner, coming all the way from England again this year, Bridget-chan!
context: I'll go warn her.\We should split up here.\It'll be a hard to explain if she sees us together.\Yes.\We can meet up where we were earlier.\Give this to Kirino.\Now then, entry number 1!\We have last year's winner, coming all the way from England again this year, Bridget-chan! response:	Taste my blade!
context: We should split up here.\It'll be a hard to explain if she sees us together.\Yes.\We can meet up where we were earlier.\Give this to Kirino.\Now then, entry number 1!\We have last year's winner, coming all the way from England again this year, Bridget-chan!\Taste my blade! response:	Yeah! Real Al-chan, so awesome! So cute! Be my sister!
context: It'll be a hard to explain if she sees us together.\Yes.\We can meet up where we were earlier.\Give this to Kirino.\Now then, entry number 1!\We have last year's winner, coming all the way from England again this year, Bridget-chan!\Taste my blade!\Yeah! Real Al-chan, so awesome! So cute! Be my sister! response:	Quiet down, you idiot!
context: Yes.\We can meet up where we were earlier.\Give this to Kirino.\Now then, entry number 1!\We have last year's winner, coming all the way from England again this year, Bridget-chan!\Taste my blade!\Yeah! Real Al-chan, so awesome! So cute! Be my sister!\Quiet down, you idiot! response:	Dammit, every single time, you!
context: We can meet up where we were earlier.\Give this to Kirino.\Now then, entry number 1!\We have last year's winner, coming all the way from England again this year, Bridget-chan!\Taste my blade!\Yeah! Real Al-chan, so awesome! So cute! Be my sister!\Quiet down, you idiot!\Dammit, every single time, you! response:	Why are you here?
context: Give this to Kirino.\Now then, entry number 1!\We have last year's winner, coming all the way from England again this year, Bridget-chan!\Taste my blade!\Yeah! Real Al-chan, so awesome! So cute! Be my sister!\Quiet down, you idiot!\Dammit, every single time, you!\Why are you here? response:	And what's with your hair?
context: Now then, entry number 1!\We have last year's winner, coming all the way from England again this year, Bridget-chan!\Taste my blade!\Yeah! Real Al-chan, so awesome! So cute! Be my sister!\Quiet down, you idiot!\Dammit, every single time, you!\Why are you here?\And what's with your hair? response:	I've got my reasons.
context: We have last year's winner, coming all the way from England again this year, Bridget-chan!\Taste my blade!\Yeah! Real Al-chan, so awesome! So cute! Be my sister!\Quiet down, you idiot!\Dammit, every single time, you!\Why are you here?\And what's with your hair?\I've got my reasons. response:	We can talk later.
context: Taste my blade!\Yeah! Real Al-chan, so awesome! So cute! Be my sister!\Quiet down, you idiot!\Dammit, every single time, you!\Why are you here?\And what's with your hair?\I've got my reasons.\We can talk later. response:	For now, hide your face with that.
context: Yeah! Real Al-chan, so awesome! So cute! Be my sister!\Quiet down, you idiot!\Dammit, every single time, you!\Why are you here?\And what's with your hair?\I've got my reasons.\We can talk later.\For now, hide your face with that. response:	You don't want your school friends to know about this.
context: Quiet down, you idiot!\Dammit, every single time, you!\Why are you here?\And what's with your hair?\I've got my reasons.\We can talk later.\For now, hide your face with that.\You don't want your school friends to know about this. response:	Is someone here?
context: Dammit, every single time, you!\Why are you here?\And what's with your hair?\I've got my reasons.\We can talk later.\For now, hide your face with that.\You don't want your school friends to know about this.\Is someone here? response:	Someone you know is participating.
context: Why are you here?\And what's with your hair?\I've got my reasons.\We can talk later.\For now, hide your face with that.\You don't want your school friends to know about this.\Is someone here?\Someone you know is participating. response:	Explain yourself later.
context: And what's with your hair?\I've got my reasons.\We can talk later.\For now, hide your face with that.\You don't want your school friends to know about this.\Is someone here?\Someone you know is participating.\Explain yourself later. response:	99 points! Did she win it already?
context: I've got my reasons.\We can talk later.\For now, hide your face with that.\You don't want your school friends to know about this.\Is someone here?\Someone you know is participating.\Explain yourself later.\99 points! Did she win it already? response:	Hey, who's this person I know?
context: We can talk later.\For now, hide your face with that.\You don't want your school friends to know about this.\Is someone here?\Someone you know is participating.\Explain yourself later.\99 points! Did she win it already?\Hey, who's this person I know? response:	Did they go on already?
context: For now, hide your face with that.\You don't want your school friends to know about this.\Is someone here?\Someone you know is participating.\Explain yourself later.\99 points! Did she win it already?\Hey, who's this person I know?\Did they go on already? response:	No, you should be able to tell once she comes out.
context: You don't want your school friends to know about this.\Is someone here?\Someone you know is participating.\Explain yourself later.\99 points! Did she win it already?\Hey, who's this person I know?\Did they go on already?\No, you should be able to tell once she comes out. response:	Now then, entry 21, Kanakana-chan, come on out!
context: Is someone here?\Someone you know is participating.\Explain yourself later.\99 points! Did she win it already?\Hey, who's this person I know?\Did they go on already?\No, you should be able to tell once she comes out.\Now then, entry 21, Kanakana-chan, come on out! response:	Okay!
context: Someone you know is participating.\Explain yourself later.\99 points! Did she win it already?\Hey, who's this person I know?\Did they go on already?\No, you should be able to tell once she comes out.\Now then, entry 21, Kanakana-chan, come on out!\Okay! response:	Stardust Witch Meruru!
context: Explain yourself later.\99 points! Did she win it already?\Hey, who's this person I know?\Did they go on already?\No, you should be able to tell once she comes out.\Now then, entry 21, Kanakana-chan, come on out!\Okay!\Stardust Witch Meruru! response:	Starts now!
context: 99 points! Did she win it already?\Hey, who's this person I know?\Did they go on already?\No, you should be able to tell once she comes out.\Now then, entry 21, Kanakana-chan, come on out!\Okay!\Stardust Witch Meruru!\Starts now! response:	What the hell?
context: Hey, who's this person I know?\Did they go on already?\No, you should be able to tell once she comes out.\Now then, entry 21, Kanakana-chan, come on out!\Okay!\Stardust Witch Meruru!\Starts now!\What the hell? response:	She is crazy good at singing!
context: Did they go on already?\No, you should be able to tell once she comes out.\Now then, entry 21, Kanakana-chan, come on out!\Okay!\Stardust Witch Meruru!\Starts now!\What the hell?\She is crazy good at singing! response:	Wait, how does she know this song?
context: No, you should be able to tell once she comes out.\Now then, entry 21, Kanakana-chan, come on out!\Okay!\Stardust Witch Meruru!\Starts now!\What the hell?\She is crazy good at singing!\Wait, how does she know this song? response:	So cute!
context: Now then, entry 21, Kanakana-chan, come on out!\Okay!\Stardust Witch Meruru!\Starts now!\What the hell?\She is crazy good at singing!\Wait, how does she know this song?\So cute! response:	What is this? What is this?
context: Okay!\Stardust Witch Meruru!\Starts now!\What the hell?\She is crazy good at singing!\Wait, how does she know this song?\So cute!\What is this? What is this? response:	CG? An illusion? Is she 3D? 3D?!
context: Stardust Witch Meruru!\Starts now!\What the hell?\She is crazy good at singing!\Wait, how does she know this song?\So cute!\What is this? What is this?\CG? An illusion? Is she 3D? 3D?! response:	Calm down!
context: Starts now!\What the hell?\She is crazy good at singing!\Wait, how does she know this song?\So cute!\What is this? What is this?\CG? An illusion? Is she 3D? 3D?!\Calm down! response:	Oh crap. I've got a nosebleed!
context: What the hell?\She is crazy good at singing!\Wait, how does she know this song?\So cute!\What is this? What is this?\CG? An illusion? Is she 3D? 3D?!\Calm down!\Oh crap. I've got a nosebleed! response:	Hey, isn't that a bit embarrassing for a girl?
context: She is crazy good at singing!\Wait, how does she know this song?\So cute!\What is this? What is this?\CG? An illusion? Is she 3D? 3D?!\Calm down!\Oh crap. I've got a nosebleed!\Hey, isn't that a bit embarrassing for a girl? response:	Thank you, everyone!
context: Wait, how does she know this song?\So cute!\What is this? What is this?\CG? An illusion? Is she 3D? 3D?!\Calm down!\Oh crap. I've got a nosebleed!\Hey, isn't that a bit embarrassing for a girl?\Thank you, everyone! response:	There we have it! 100 points!
context: So cute!\What is this? What is this?\CG? An illusion? Is she 3D? 3D?!\Calm down!\Oh crap. I've got a nosebleed!\Hey, isn't that a bit embarrassing for a girl?\Thank you, everyone!\There we have it! 100 points! response:	Kanakana-chan got a full 100 points!
context: What is this? What is this?\CG? An illusion? Is she 3D? 3D?!\Calm down!\Oh crap. I've got a nosebleed!\Hey, isn't that a bit embarrassing for a girl?\Thank you, everyone!\There we have it! 100 points!\Kanakana-chan got a full 100 points! response:	Wow, she's amazing.
context: CG? An illusion? Is she 3D? 3D?!\Calm down!\Oh crap. I've got a nosebleed!\Hey, isn't that a bit embarrassing for a girl?\Thank you, everyone!\There we have it! 100 points!\Kanakana-chan got a full 100 points!\Wow, she's amazing. response:	Hey, so...
context: Calm down!\Oh crap. I've got a nosebleed!\Hey, isn't that a bit embarrassing for a girl?\Thank you, everyone!\There we have it! 100 points!\Kanakana-chan got a full 100 points!\Wow, she's amazing.\Hey, so... response:	When does this person I know come on?
context: Oh crap. I've got a nosebleed!\Hey, isn't that a bit embarrassing for a girl?\Thank you, everyone!\There we have it! 100 points!\Kanakana-chan got a full 100 points!\Wow, she's amazing.\Hey, so...\When does this person I know come on? response:	See? Just like I said.
context: Hey, isn't that a bit embarrassing for a girl?\Thank you, everyone!\There we have it! 100 points!\Kanakana-chan got a full 100 points!\Wow, she's amazing.\Hey, so...\When does this person I know come on?\See? Just like I said. response:	It wasn't just because she's the spitting image.
context: Thank you, everyone!\There we have it! 100 points!\Kanakana-chan got a full 100 points!\Wow, she's amazing.\Hey, so...\When does this person I know come on?\See? Just like I said.\It wasn't just because she's the spitting image. response:	Right? Kanako's amazing, you know?
context: There we have it! 100 points!\Kanakana-chan got a full 100 points!\Wow, she's amazing.\Hey, so...\When does this person I know come on?\See? Just like I said.\It wasn't just because she's the spitting image.\Right? Kanako's amazing, you know? response:	Man, this sucks.
context: Kanakana-chan got a full 100 points!\Wow, she's amazing.\Hey, so...\When does this person I know come on?\See? Just like I said.\It wasn't just because she's the spitting image.\Right? Kanako's amazing, you know?\Man, this sucks. response:	What's with those gross otaku freaks?
context: Wow, she's amazing.\Hey, so...\When does this person I know come on?\See? Just like I said.\It wasn't just because she's the spitting image.\Right? Kanako's amazing, you know?\Man, this sucks.\What's with those gross otaku freaks? response:	Like I'd even think of coming within a hundred feet of them.
context: Hey, so...\When does this person I know come on?\See? Just like I said.\It wasn't just because she's the spitting image.\Right? Kanako's amazing, you know?\Man, this sucks.\What's with those gross otaku freaks?\Like I'd even think of coming within a hundred feet of them. response:	Ka-Kanakana-chan, you can't say something like that...
context: When does this person I know come on?\See? Just like I said.\It wasn't just because she's the spitting image.\Right? Kanako's amazing, you know?\Man, this sucks.\What's with those gross otaku freaks?\Like I'd even think of coming within a hundred feet of them.\Ka-Kanakana-chan, you can't say something like that... response:	They all cheered for you...
context: See? Just like I said.\It wasn't just because she's the spitting image.\Right? Kanako's amazing, you know?\Man, this sucks.\What's with those gross otaku freaks?\Like I'd even think of coming within a hundred feet of them.\Ka-Kanakana-chan, you can't say something like that...\They all cheered for you... response:	Me-Meruru turned into a dark witch!
context: It wasn't just because she's the spitting image.\Right? Kanako's amazing, you know?\Man, this sucks.\What's with those gross otaku freaks?\Like I'd even think of coming within a hundred feet of them.\Ka-Kanakana-chan, you can't say something like that...\They all cheered for you...\Me-Meruru turned into a dark witch! response:	Gross! Shut up, brat.
context: Right? Kanako's amazing, you know?\Man, this sucks.\What's with those gross otaku freaks?\Like I'd even think of coming within a hundred feet of them.\Ka-Kanakana-chan, you can't say something like that...\They all cheered for you...\Me-Meruru turned into a dark witch!\Gross! Shut up, brat. response:	Hey! Don't make little kids like that cry!
context: Man, this sucks.\What's with those gross otaku freaks?\Like I'd even think of coming within a hundred feet of them.\Ka-Kanakana-chan, you can't say something like that...\They all cheered for you...\Me-Meruru turned into a dark witch!\Gross! Shut up, brat.\Hey! Don't make little kids like that cry! response:	So, what did you think about my performance?
context: What's with those gross otaku freaks?\Like I'd even think of coming within a hundred feet of them.\Ka-Kanakana-chan, you can't say something like that...\They all cheered for you...\Me-Meruru turned into a dark witch!\Gross! Shut up, brat.\Hey! Don't make little kids like that cry!\So, what did you think about my performance? response:	Oh right, how did you know that song?
context: Like I'd even think of coming within a hundred feet of them.\Ka-Kanakana-chan, you can't say something like that...\They all cheered for you...\Me-Meruru turned into a dark witch!\Gross! Shut up, brat.\Hey! Don't make little kids like that cry!\So, what did you think about my performance?\Oh right, how did you know that song? response:	Did you know about this anime?
context: Ka-Kanakana-chan, you can't say something like that...\They all cheered for you...\Me-Meruru turned into a dark witch!\Gross! Shut up, brat.\Hey! Don't make little kids like that cry!\So, what did you think about my performance?\Oh right, how did you know that song?\Did you know about this anime? response:	Nope.
context: They all cheered for you...\Me-Meruru turned into a dark witch!\Gross! Shut up, brat.\Hey! Don't make little kids like that cry!\So, what did you think about my performance?\Oh right, how did you know that song?\Did you know about this anime?\Nope. response:	But I do idol auditions regularly.
context: Me-Meruru turned into a dark witch!\Gross! Shut up, brat.\Hey! Don't make little kids like that cry!\So, what did you think about my performance?\Oh right, how did you know that song?\Did you know about this anime?\Nope.\But I do idol auditions regularly. response:	I practice at karaoke places too.
context: Gross! Shut up, brat.\Hey! Don't make little kids like that cry!\So, what did you think about my performance?\Oh right, how did you know that song?\Did you know about this anime?\Nope.\But I do idol auditions regularly.\I practice at karaoke places too. response:	I can remember a song like that after hearing it once.
context: Hey! Don't make little kids like that cry!\So, what did you think about my performance?\Oh right, how did you know that song?\Did you know about this anime?\Nope.\But I do idol auditions regularly.\I practice at karaoke places too.\I can remember a song like that after hearing it once. response:	Amazing, right?
context: So, what did you think about my performance?\Oh right, how did you know that song?\Did you know about this anime?\Nope.\But I do idol auditions regularly.\I practice at karaoke places too.\I can remember a song like that after hearing it once.\Amazing, right? response:	Amazing, sure.
context: Oh right, how did you know that song?\Did you know about this anime?\Nope.\But I do idol auditions regularly.\I practice at karaoke places too.\I can remember a song like that after hearing it once.\Amazing, right?\Amazing, sure. response:	But...
context: Did you know about this anime?\Nope.\But I do idol auditions regularly.\I practice at karaoke places too.\I can remember a song like that after hearing it once.\Amazing, right?\Amazing, sure.\But... response:	What?
context: Nope.\But I do idol auditions regularly.\I practice at karaoke places too.\I can remember a song like that after hearing it once.\Amazing, right?\Amazing, sure.\But...\What? response:	You looked like you were having fun singing it. Was that an act?
context: But I do idol auditions regularly.\I practice at karaoke places too.\I can remember a song like that after hearing it once.\Amazing, right?\Amazing, sure.\But...\What?\You looked like you were having fun singing it. Was that an act? response:	Were you just acting like it and making fun of the fans inside?
context: I practice at karaoke places too.\I can remember a song like that after hearing it once.\Amazing, right?\Amazing, sure.\But...\What?\You looked like you were having fun singing it. Was that an act?\Were you just acting like it and making fun of the fans inside? response:	Well...
context: I can remember a song like that after hearing it once.\Amazing, right?\Amazing, sure.\But...\What?\You looked like you were having fun singing it. Was that an act?\Were you just acting like it and making fun of the fans inside?\Well... response:	It was fun.
context: Amazing, right?\Amazing, sure.\But...\What?\You looked like you were having fun singing it. Was that an act?\Were you just acting like it and making fun of the fans inside?\Well...\It was fun. response:	I like it when people call me cute.
context: Amazing, sure.\But...\What?\You looked like you were having fun singing it. Was that an act?\Were you just acting like it and making fun of the fans inside?\Well...\It was fun.\I like it when people call me cute. response:	I think that moe stuff is stupid, but I like the feeling of being worshipped when they go crazy over my singing and dancing.
context: But...\What?\You looked like you were having fun singing it. Was that an act?\Were you just acting like it and making fun of the fans inside?\Well...\It was fun.\I like it when people call me cute.\I think that moe stuff is stupid, but I like the feeling of being worshipped when they go crazy over my singing and dancing. response:	I see...
context: What?\You looked like you were having fun singing it. Was that an act?\Were you just acting like it and making fun of the fans inside?\Well...\It was fun.\I like it when people call me cute.\I think that moe stuff is stupid, but I like the feeling of being worshipped when they go crazy over my singing and dancing.\I see... response:	You might make a good idol.
context: You looked like you were having fun singing it. Was that an act?\Were you just acting like it and making fun of the fans inside?\Well...\It was fun.\I like it when people call me cute.\I think that moe stuff is stupid, but I like the feeling of being worshipped when they go crazy over my singing and dancing.\I see...\You might make a good idol. response:	Of course!
context: Were you just acting like it and making fun of the fans inside?\Well...\It was fun.\I like it when people call me cute.\I think that moe stuff is stupid, but I like the feeling of being worshipped when they go crazy over my singing and dancing.\I see...\You might make a good idol.\Of course! response:	Here.
context: Well...\It was fun.\I like it when people call me cute.\I think that moe stuff is stupid, but I like the feeling of being worshipped when they go crazy over my singing and dancing.\I see...\You might make a good idol.\Of course!\Here. response:	Thank you so much!
context: It was fun.\I like it when people call me cute.\I think that moe stuff is stupid, but I like the feeling of being worshipped when they go crazy over my singing and dancing.\I see...\You might make a good idol.\Of course!\Here.\Thank you so much! response:	She's late!
context: I like it when people call me cute.\I think that moe stuff is stupid, but I like the feeling of being worshipped when they go crazy over my singing and dancing.\I see...\You might make a good idol.\Of course!\Here.\Thank you so much!\She's late! response:	When do I get my clothes?!
context: I think that moe stuff is stupid, but I like the feeling of being worshipped when they go crazy over my singing and dancing.\I see...\You might make a good idol.\Of course!\Here.\Thank you so much!\She's late!\When do I get my clothes?! response:	Ayase!!
context: I see...\You might make a good idol.\Of course!\Here.\Thank you so much!\She's late!\When do I get my clothes?!\Ayase!! response:	Huh?
context: You might make a good idol.\Of course!\Here.\Thank you so much!\She's late!\When do I get my clothes?!\Ayase!!\Huh? response:	ED
context: Of course!\Here.\Thank you so much!\She's late!\When do I get my clothes?!\Ayase!!\Huh?\ED response:	HH
context: Here.\Thank you so much!\She's late!\When do I get my clothes?!\Ayase!!\Huh?\ED\HH response:	O SNS
context: Thank you so much!\She's late!\When do I get my clothes?!\Ayase!!\Huh?\ED\HH\O SNS response:	OOO
context: She's late!\When do I get my clothes?!\Ayase!!\Huh?\ED\HH\O SNS\OOO response:	OOOO
context: When do I get my clothes?!\Ayase!!\Huh?\ED\HH\O SNS\OOO\OOOO response:	H HO
context: Ayase!!\Huh?\ED\HH\O SNS\OOO\OOOO\H HO response:	SH
context: Huh?\ED\HH\O SNS\OOO\OOOO\H HO\SH response:	HH
context: ED\HH\O SNS\OOO\OOOO\H HO\SH\HH response:	10|heart|
context: HH\O SNS\OOO\OOOO\H HO\SH\HH\10|heart| response:	datte shouganain da mon
context: O SNS\OOO\OOOO\H HO\SH\HH\10|heart|\datte shouganain da mon response:	itsu no ma ni suki ni nattete
context: OOO\OOOO\H HO\SH\HH\10|heart|\datte shouganain da mon\itsu no ma ni suki ni nattete response:	atashi datte kouiu no futsuu ja nai tte wakatteru yo!
context: OOOO\H HO\SH\HH\10|heart|\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo! response:	mitasanai bokurano SNS kanzen sousaku endoresu
context: H HO\SH\HH\10|heart|\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\mitasanai bokurano SNS kanzen sousaku endoresu response:	kimi no suki na anime no hiroin no oto
context: SH\HH\10|heart|\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\mitasanai bokurano SNS kanzen sousaku endoresu\kimi no suki na anime no hiroin no oto response:	otona, tomodachi mo ejiki
context: HH\10|heart|\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\mitasanai bokurano SNS kanzen sousaku endoresu\kimi no suki na anime no hiroin no oto\otona, tomodachi mo ejiki response:	ippo wo fumidaseba
context: 10|heart|\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\mitasanai bokurano SNS kanzen sousaku endoresu\kimi no suki na anime no hiroin no oto\otona, tomodachi mo ejiki\ippo wo fumidaseba response:	hora mugen no koa na furendoshippu
context: datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\mitasanai bokurano SNS kanzen sousaku endoresu\kimi no suki na anime no hiroin no oto\otona, tomodachi mo ejiki\ippo wo fumidaseba\hora mugen no koa na furendoshippu response:	boku no suki na kyarakuta-
context: itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\mitasanai bokurano SNS kanzen sousaku endoresu\kimi no suki na anime no hiroin no oto\otona, tomodachi mo ejiki\ippo wo fumidaseba\hora mugen no koa na furendoshippu\boku no suki na kyarakuta- response:	kurasu no tonari no seki no shai na ano ko
context: atashi datte kouiu no futsuu ja nai tte wakatteru yo!\mitasanai bokurano SNS kanzen sousaku endoresu\kimi no suki na anime no hiroin no oto\otona, tomodachi mo ejiki\ippo wo fumidaseba\hora mugen no koa na furendoshippu\boku no suki na kyarakuta-\kurasu no tonari no seki no shai na ano ko response:	sekaijuu minna oniichan to yobaretai no
context: mitasanai bokurano SNS kanzen sousaku endoresu\kimi no suki na anime no hiroin no oto\otona, tomodachi mo ejiki\ippo wo fumidaseba\hora mugen no koa na furendoshippu\boku no suki na kyarakuta-\kurasu no tonari no seki no shai na ano ko\sekaijuu minna oniichan to yobaretai no response:	rounyaku nannyo sou iu jidai
context: kimi no suki na anime no hiroin no oto\otona, tomodachi mo ejiki\ippo wo fumidaseba\hora mugen no koa na furendoshippu\boku no suki na kyarakuta-\kurasu no tonari no seki no shai na ano ko\sekaijuu minna oniichan to yobaretai no\rounyaku nannyo sou iu jidai response:	dare ni mo ienaide kakushiteta keredo
context: otona, tomodachi mo ejiki\ippo wo fumidaseba\hora mugen no koa na furendoshippu\boku no suki na kyarakuta-\kurasu no tonari no seki no shai na ano ko\sekaijuu minna oniichan to yobaretai no\rounyaku nannyo sou iu jidai\dare ni mo ienaide kakushiteta keredo response:	wakattekureru nara anta ni iu yo
context: ippo wo fumidaseba\hora mugen no koa na furendoshippu\boku no suki na kyarakuta-\kurasu no tonari no seki no shai na ano ko\sekaijuu minna oniichan to yobaretai no\rounyaku nannyo sou iu jidai\dare ni mo ienaide kakushiteta keredo\wakattekureru nara anta ni iu yo response:	datte shouganain da mon
context: hora mugen no koa na furendoshippu\boku no suki na kyarakuta-\kurasu no tonari no seki no shai na ano ko\sekaijuu minna oniichan to yobaretai no\rounyaku nannyo sou iu jidai\dare ni mo ienaide kakushiteta keredo\wakattekureru nara anta ni iu yo\datte shouganain da mon response:	itsu no ma ni suki ni nattete
context: boku no suki na kyarakuta-\kurasu no tonari no seki no shai na ano ko\sekaijuu minna oniichan to yobaretai no\rounyaku nannyo sou iu jidai\dare ni mo ienaide kakushiteta keredo\wakattekureru nara anta ni iu yo\datte shouganain da mon\itsu no ma ni suki ni nattete response:	atashi datte kouiu no futsuu ja nai tte wakatteru yo!
context: kurasu no tonari no seki no shai na ano ko\sekaijuu minna oniichan to yobaretai no\rounyaku nannyo sou iu jidai\dare ni mo ienaide kakushiteta keredo\wakattekureru nara anta ni iu yo\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo! response:	juuman kudasai|heart|
context: sekaijuu minna oniichan to yobaretai no\rounyaku nannyo sou iu jidai\dare ni mo ienaide kakushiteta keredo\wakattekureru nara anta ni iu yo\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\juuman kudasai|heart| response:	I mean, I just can't help it
context: rounyaku nannyo sou iu jidai\dare ni mo ienaide kakushiteta keredo\wakattekureru nara anta ni iu yo\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\juuman kudasai|heart|\I mean, I just can't help it response:	At some point, I fell in love with it
context: dare ni mo ienaide kakushiteta keredo\wakattekureru nara anta ni iu yo\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\juuman kudasai|heart|\I mean, I just can't help it\At some point, I fell in love with it response:	I already know that it just isn't normal!
context: wakattekureru nara anta ni iu yo\datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\juuman kudasai|heart|\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal! response:	Never filling, our complete SNS search, endless
context: datte shouganain da mon\itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\juuman kudasai|heart|\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Never filling, our complete SNS search, endless response:	Your favorite anime's heroine's voice,
context: itsu no ma ni suki ni nattete\atashi datte kouiu no futsuu ja nai tte wakatteru yo!\juuman kudasai|heart|\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Never filling, our complete SNS search, endless\Your favorite anime's heroine's voice, response:	Adults, friends, all mine
context: atashi datte kouiu no futsuu ja nai tte wakatteru yo!\juuman kudasai|heart|\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Never filling, our complete SNS search, endless\Your favorite anime's heroine's voice,\Adults, friends, all mine response:	If you take a step forward,
context: juuman kudasai|heart|\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Never filling, our complete SNS search, endless\Your favorite anime's heroine's voice,\Adults, friends, all mine\If you take a step forward, response:	Look, infinite core friendships
context: I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Never filling, our complete SNS search, endless\Your favorite anime's heroine's voice,\Adults, friends, all mine\If you take a step forward,\Look, infinite core friendships response:	My favorite character
