context: Long have I awaited this moment, human filth. response:	With the Subterranean and Deep Sea kings gone,
context: She's a seer. A great one at that.\She correctly predicted earthquakes and monster attacks.\We've gotten through many crises without Madame Shibabawa's predictions.\But even so, we provided a bodyguard\and gave her special treatment.\Yes, because her few predictions were 100 accurate.\The crux of the problem, though,\is her last, greatest prophecy. response:	Even as she choked on that final cough drop,
context: She correctly predicted earthquakes and monster attacks.\We've gotten through many crises without Madame Shibabawa's predictions.\But even so, we provided a bodyguard\and gave her special treatment.\Yes, because her few predictions were 100 accurate.\The crux of the problem, though,\is her last, greatest prophecy.\Even as she choked on that final cough drop, response:	she managed to leave this note.
context: We've gotten through many crises without Madame Shibabawa's predictions.\But even so, we provided a bodyguard\and gave her special treatment.\Yes, because her few predictions were 100 accurate.\The crux of the problem, though,\is her last, greatest prophecy.\Even as she choked on that final cough drop,\she managed to leave this note. response:	It is a prophecy that will absolutely come to pass.
context: But even so, we provided a bodyguard\and gave her special treatment.\Yes, because her few predictions were 100 accurate.\The crux of the problem, though,\is her last, greatest prophecy.\Even as she choked on that final cough drop,\she managed to leave this note.\It is a prophecy that will absolutely come to pass. response:	Here it is!
context: and gave her special treatment.\Yes, because her few predictions were 100 accurate.\The crux of the problem, though,\is her last, greatest prophecy.\Even as she choked on that final cough drop,\she managed to leave this note.\It is a prophecy that will absolutely come to pass.\Here it is! response:	Can you read it?
context: Yes, because her few predictions were 100 accurate.\The crux of the problem, though,\is her last, greatest prophecy.\Even as she choked on that final cough drop,\she managed to leave this note.\It is a prophecy that will absolutely come to pass.\Here it is!\Can you read it? response:	Th-The earth... Th-The earth...
context: The crux of the problem, though,\is her last, greatest prophecy.\Even as she choked on that final cough drop,\she managed to leave this note.\It is a prophecy that will absolutely come to pass.\Here it is!\Can you read it?\Th-The earth... Th-The earth... response:	THE EARTH IS IN TROUBLE
context: is her last, greatest prophecy.\Even as she choked on that final cough drop,\she managed to leave this note.\It is a prophecy that will absolutely come to pass.\Here it is!\Can you read it?\Th-The earth... Th-The earth...\THE EARTH IS IN TROUBLE response:	What? That's so dumb.
context: Even as she choked on that final cough drop,\she managed to leave this note.\It is a prophecy that will absolutely come to pass.\Here it is!\Can you read it?\Th-The earth... Th-The earth...\THE EARTH IS IN TROUBLE\What? That's so dumb. response:	Can I go? I have cram school.
context: she managed to leave this note.\It is a prophecy that will absolutely come to pass.\Here it is!\Can you read it?\Th-The earth... Th-The earth...\THE EARTH IS IN TROUBLE\What? That's so dumb.\Can I go? I have cram school. response:	I know you are a prodigy, Child Emperor,
context: It is a prophecy that will absolutely come to pass.\Here it is!\Can you read it?\Th-The earth... Th-The earth...\THE EARTH IS IN TROUBLE\What? That's so dumb.\Can I go? I have cram school.\I know you are a prodigy, Child Emperor, response:	but if you cannot grasp the danger, it reveals how immature you still are.
context: Here it is!\Can you read it?\Th-The earth... Th-The earth...\THE EARTH IS IN TROUBLE\What? That's so dumb.\Can I go? I have cram school.\I know you are a prodigy, Child Emperor,\but if you cannot grasp the danger, it reveals how immature you still are. response:	What'd you say?!
context: Can you read it?\Th-The earth... Th-The earth...\THE EARTH IS IN TROUBLE\What? That's so dumb.\Can I go? I have cram school.\I know you are a prodigy, Child Emperor,\but if you cannot grasp the danger, it reveals how immature you still are.\What'd you say?! response:	Listen up!
context: Th-The earth... Th-The earth...\THE EARTH IS IN TROUBLE\What? That's so dumb.\Can I go? I have cram school.\I know you are a prodigy, Child Emperor,\but if you cannot grasp the danger, it reveals how immature you still are.\What'd you say?!\Listen up! response:	Madame Shibabawa's predictions are 100 accurate!
context: THE EARTH IS IN TROUBLE\What? That's so dumb.\Can I go? I have cram school.\I know you are a prodigy, Child Emperor,\but if you cannot grasp the danger, it reveals how immature you still are.\What'd you say?!\Listen up!\Madame Shibabawa's predictions are 100 accurate! response:	She has predicted many catastrophes in the past.
context: What? That's so dumb.\Can I go? I have cram school.\I know you are a prodigy, Child Emperor,\but if you cannot grasp the danger, it reveals how immature you still are.\What'd you say?!\Listen up!\Madame Shibabawa's predictions are 100 accurate!\She has predicted many catastrophes in the past. response:	A few of them resulted in the loss of countless lives.
context: Can I go? I have cram school.\I know you are a prodigy, Child Emperor,\but if you cannot grasp the danger, it reveals how immature you still are.\What'd you say?!\Listen up!\Madame Shibabawa's predictions are 100 accurate!\She has predicted many catastrophes in the past.\A few of them resulted in the loss of countless lives. response:	But not once did Madame Shibabawa use the word trouble.
context: I know you are a prodigy, Child Emperor,\but if you cannot grasp the danger, it reveals how immature you still are.\What'd you say?!\Listen up!\Madame Shibabawa's predictions are 100 accurate!\She has predicted many catastrophes in the past.\A few of them resulted in the loss of countless lives.\But not once did Madame Shibabawa use the word trouble. response:	Something more dangerous than a Dragon- level catastrophe or monster is on its way.
context: but if you cannot grasp the danger, it reveals how immature you still are.\What'd you say?!\Listen up!\Madame Shibabawa's predictions are 100 accurate!\She has predicted many catastrophes in the past.\A few of them resulted in the loss of countless lives.\But not once did Madame Shibabawa use the word trouble.\Something more dangerous than a Dragon- level catastrophe or monster is on its way. response:	And it will occur
context: What'd you say?!\Listen up!\Madame Shibabawa's predictions are 100 accurate!\She has predicted many catastrophes in the past.\A few of them resulted in the loss of countless lives.\But not once did Madame Shibabawa use the word trouble.\Something more dangerous than a Dragon- level catastrophe or monster is on its way.\And it will occur response:	in the next six months!
context: Listen up!\Madame Shibabawa's predictions are 100 accurate!\She has predicted many catastrophes in the past.\A few of them resulted in the loss of countless lives.\But not once did Madame Shibabawa use the word trouble.\Something more dangerous than a Dragon- level catastrophe or monster is on its way.\And it will occur\in the next six months! response:	Okay, but we've no idea when in the next six months.
context: Madame Shibabawa's predictions are 100 accurate!\She has predicted many catastrophes in the past.\A few of them resulted in the loss of countless lives.\But not once did Madame Shibabawa use the word trouble.\Something more dangerous than a Dragon- level catastrophe or monster is on its way.\And it will occur\in the next six months!\Okay, but we've no idea when in the next six months. response:	Yeah, hard to plan for that.
context: She has predicted many catastrophes in the past.\A few of them resulted in the loss of countless lives.\But not once did Madame Shibabawa use the word trouble.\Something more dangerous than a Dragon- level catastrophe or monster is on its way.\And it will occur\in the next six months!\Okay, but we've no idea when in the next six months.\Yeah, hard to plan for that. response:	You are correct.
context: A few of them resulted in the loss of countless lives.\But not once did Madame Shibabawa use the word trouble.\Something more dangerous than a Dragon- level catastrophe or monster is on its way.\And it will occur\in the next six months!\Okay, but we've no idea when in the next six months.\Yeah, hard to plan for that.\You are correct. response:	But I want you all to be ready for a fight in the next six months.
context: But not once did Madame Shibabawa use the word trouble.\Something more dangerous than a Dragon- level catastrophe or monster is on its way.\And it will occur\in the next six months!\Okay, but we've no idea when in the next six months.\Yeah, hard to plan for that.\You are correct.\But I want you all to be ready for a fight in the next six months. response:	In the next six months means...
context: Something more dangerous than a Dragon- level catastrophe or monster is on its way.\And it will occur\in the next six months!\Okay, but we've no idea when in the next six months.\Yeah, hard to plan for that.\You are correct.\But I want you all to be ready for a fight in the next six months.\In the next six months means... response:	it could be tomorrow, or even today.
context: And it will occur\in the next six months!\Okay, but we've no idea when in the next six months.\Yeah, hard to plan for that.\You are correct.\But I want you all to be ready for a fight in the next six months.\In the next six months means...\it could be tomorrow, or even today. response:	That's true. Who are you, anyway?
context: in the next six months!\Okay, but we've no idea when in the next six months.\Yeah, hard to plan for that.\You are correct.\But I want you all to be ready for a fight in the next six months.\In the next six months means...\it could be tomorrow, or even today.\That's true. Who are you, anyway? response:	Good thing I'm here.
context: Okay, but we've no idea when in the next six months.\Yeah, hard to plan for that.\You are correct.\But I want you all to be ready for a fight in the next six months.\In the next six months means...\it could be tomorrow, or even today.\That's true. Who are you, anyway?\Good thing I'm here. response:	The building is under attack!
context: Yeah, hard to plan for that.\You are correct.\But I want you all to be ready for a fight in the next six months.\In the next six months means...\it could be tomorrow, or even today.\That's true. Who are you, anyway?\Good thing I'm here.\The building is under attack! response:	That's impossible!
context: You are correct.\But I want you all to be ready for a fight in the next six months.\In the next six months means...\it could be tomorrow, or even today.\That's true. Who are you, anyway?\Good thing I'm here.\The building is under attack!\That's impossible! response:	This is the Hero Association HQ!
context: But I want you all to be ready for a fight in the next six months.\In the next six months means...\it could be tomorrow, or even today.\That's true. Who are you, anyway?\Good thing I'm here.\The building is under attack!\That's impossible!\This is the Hero Association HQ! response:	A formidable fortress, to be sure!
context: In the next six months means...\it could be tomorrow, or even today.\That's true. Who are you, anyway?\Good thing I'm here.\The building is under attack!\That's impossible!\This is the Hero Association HQ!\A formidable fortress, to be sure! response:	Time to attack.
context: it could be tomorrow, or even today.\That's true. Who are you, anyway?\Good thing I'm here.\The building is under attack!\That's impossible!\This is the Hero Association HQ!\A formidable fortress, to be sure!\Time to attack. response:	Hawk, Eagle, Falcon, Kite!
context: That's true. Who are you, anyway?\Good thing I'm here.\The building is under attack!\That's impossible!\This is the Hero Association HQ!\A formidable fortress, to be sure!\Time to attack.\Hawk, Eagle, Falcon, Kite! response:	Yar! Yar!
context: Good thing I'm here.\The building is under attack!\That's impossible!\This is the Hero Association HQ!\A formidable fortress, to be sure!\Time to attack.\Hawk, Eagle, Falcon, Kite!\Yar! Yar! response:	Wipe out these so-called heroes and the land will belong to us!
context: The building is under attack!\That's impossible!\This is the Hero Association HQ!\A formidable fortress, to be sure!\Time to attack.\Hawk, Eagle, Falcon, Kite!\Yar! Yar!\Wipe out these so-called heroes and the land will belong to us! response:	We will dive straight in!
context: That's impossible!\This is the Hero Association HQ!\A formidable fortress, to be sure!\Time to attack.\Hawk, Eagle, Falcon, Kite!\Yar! Yar!\Wipe out these so-called heroes and the land will belong to us!\We will dive straight in! response:	Follow me, the Sky King!
context: This is the Hero Association HQ!\A formidable fortress, to be sure!\Time to attack.\Hawk, Eagle, Falcon, Kite!\Yar! Yar!\Wipe out these so-called heroes and the land will belong to us!\We will dive straight in!\Follow me, the Sky King! response:	Father...above us...
context: A formidable fortress, to be sure!\Time to attack.\Hawk, Eagle, Falcon, Kite!\Yar! Yar!\Wipe out these so-called heroes and the land will belong to us!\We will dive straight in!\Follow me, the Sky King!\Father...above us... response:	Escape...
context: Time to attack.\Hawk, Eagle, Falcon, Kite!\Yar! Yar!\Wipe out these so-called heroes and the land will belong to us!\We will dive straight in!\Follow me, the Sky King!\Father...above us...\Escape... response:	Me, the Sky King, killed like some worthless insect.
context: Hawk, Eagle, Falcon, Kite!\Yar! Yar!\Wipe out these so-called heroes and the land will belong to us!\We will dive straight in!\Follow me, the Sky King!\Father...above us...\Escape...\Me, the Sky King, killed like some worthless insect. response:	Who could have
context: Yar! Yar!\Wipe out these so-called heroes and the land will belong to us!\We will dive straight in!\Follow me, the Sky King!\Father...above us...\Escape...\Me, the Sky King, killed like some worthless insect.\Who could have response:	What was that?
context: Wipe out these so-called heroes and the land will belong to us!\We will dive straight in!\Follow me, the Sky King!\Father...above us...\Escape...\Me, the Sky King, killed like some worthless insect.\Who could have\What was that? response:	Who knows? It flew, so we killed it.
context: We will dive straight in!\Follow me, the Sky King!\Father...above us...\Escape...\Me, the Sky King, killed like some worthless insect.\Who could have\What was that?\Who knows? It flew, so we killed it. response:	That is good.
context: Follow me, the Sky King!\Father...above us...\Escape...\Me, the Sky King, killed like some worthless insect.\Who could have\What was that?\Who knows? It flew, so we killed it.\That is good. response:	Duty, to protect ship.
context: Father...above us...\Escape...\Me, the Sky King, killed like some worthless insect.\Who could have\What was that?\Who knows? It flew, so we killed it.\That is good.\Duty, to protect ship. response:	Emergency power activated.
context: Escape...\Me, the Sky King, killed like some worthless insect.\Who could have\What was that?\Who knows? It flew, so we killed it.\That is good.\Duty, to protect ship.\Emergency power activated. response:	What was that?
context: Me, the Sky King, killed like some worthless insect.\Who could have\What was that?\Who knows? It flew, so we killed it.\That is good.\Duty, to protect ship.\Emergency power activated.\What was that? response:	What's going on out there?
context: Who could have\What was that?\Who knows? It flew, so we killed it.\That is good.\Duty, to protect ship.\Emergency power activated.\What was that?\What's going on out there? response:	I don't know.
context: What was that?\Who knows? It flew, so we killed it.\That is good.\Duty, to protect ship.\Emergency power activated.\What was that?\What's going on out there?\I don't know. response:	All communications have been cut off.
context: Who knows? It flew, so we killed it.\That is good.\Duty, to protect ship.\Emergency power activated.\What was that?\What's going on out there?\I don't know.\All communications have been cut off. response:	Damn it...
context: That is good.\Duty, to protect ship.\Emergency power activated.\What was that?\What's going on out there?\I don't know.\All communications have been cut off.\Damn it... response:	Impossible!
context: Duty, to protect ship.\Emergency power activated.\What was that?\What's going on out there?\I don't know.\All communications have been cut off.\Damn it...\Impossible! response:	Dad!
context: Emergency power activated.\What was that?\What's going on out there?\I don't know.\All communications have been cut off.\Damn it...\Impossible!\Dad! response:	We're okay now. Grab on to me.
context: What was that?\What's going on out there?\I don't know.\All communications have been cut off.\Damn it...\Impossible!\Dad!\We're okay now. Grab on to me. response:	That's the way.
context: What's going on out there?\I don't know.\All communications have been cut off.\Damn it...\Impossible!\Dad!\We're okay now. Grab on to me.\That's the way. response:	Good job.
context: I don't know.\All communications have been cut off.\Damn it...\Impossible!\Dad!\We're okay now. Grab on to me.\That's the way.\Good job. response:	What is this?
context: All communications have been cut off.\Damn it...\Impossible!\Dad!\We're okay now. Grab on to me.\That's the way.\Good job.\What is this? response:	There are survivors?
context: Damn it...\Impossible!\Dad!\We're okay now. Grab on to me.\That's the way.\Good job.\What is this?\There are survivors? response:	Ship, failed to kill all. Then we kill.
context: Impossible!\Dad!\We're okay now. Grab on to me.\That's the way.\Good job.\What is this?\There are survivors?\Ship, failed to kill all. Then we kill. response:	That is good.
context: Dad!\We're okay now. Grab on to me.\That's the way.\Good job.\What is this?\There are survivors?\Ship, failed to kill all. Then we kill.\That is good. response:	Get away now!
context: We're okay now. Grab on to me.\That's the way.\Good job.\What is this?\There are survivors?\Ship, failed to kill all. Then we kill.\That is good.\Get away now! response:	You think I don't sense your thirst for blood?
context: That's the way.\Good job.\What is this?\There are survivors?\Ship, failed to kill all. Then we kill.\That is good.\Get away now!\You think I don't sense your thirst for blood? response:	I accompanied Master Atomic
context: Good job.\What is this?\There are survivors?\Ship, failed to kill all. Then we kill.\That is good.\Get away now!\You think I don't sense your thirst for blood?\I accompanied Master Atomic response:	and was waiting for the Class S meeting to end,
context: What is this?\There are survivors?\Ship, failed to kill all. Then we kill.\That is good.\Get away now!\You think I don't sense your thirst for blood?\I accompanied Master Atomic\and was waiting for the Class S meeting to end, response:	only to meet thunder and destruction.
context: There are survivors?\Ship, failed to kill all. Then we kill.\That is good.\Get away now!\You think I don't sense your thirst for blood?\I accompanied Master Atomic\and was waiting for the Class S meeting to end,\only to meet thunder and destruction. response:	Is this your doing?!
context: Ship, failed to kill all. Then we kill.\That is good.\Get away now!\You think I don't sense your thirst for blood?\I accompanied Master Atomic\and was waiting for the Class S meeting to end,\only to meet thunder and destruction.\Is this your doing?! response:	Destruction levels at 99.8?
context: That is good.\Get away now!\You think I don't sense your thirst for blood?\I accompanied Master Atomic\and was waiting for the Class S meeting to end,\only to meet thunder and destruction.\Is this your doing?!\Destruction levels at 99.8? response:	City A has been destroyed in an instant!
context: Get away now!\You think I don't sense your thirst for blood?\I accompanied Master Atomic\and was waiting for the Class S meeting to end,\only to meet thunder and destruction.\Is this your doing?!\Destruction levels at 99.8?\City A has been destroyed in an instant! response:	Who could have known her prediction would come true this soon?!
context: You think I don't sense your thirst for blood?\I accompanied Master Atomic\and was waiting for the Class S meeting to end,\only to meet thunder and destruction.\Is this your doing?!\Destruction levels at 99.8?\City A has been destroyed in an instant!\Who could have known her prediction would come true this soon?! response:	Hey! Why was this building spared?
context: I accompanied Master Atomic\and was waiting for the Class S meeting to end,\only to meet thunder and destruction.\Is this your doing?!\Destruction levels at 99.8?\City A has been destroyed in an instant!\Who could have known her prediction would come true this soon?!\Hey! Why was this building spared? response:	We assigned Metal Knight to construct this building.
context: and was waiting for the Class S meeting to end,\only to meet thunder and destruction.\Is this your doing?!\Destruction levels at 99.8?\City A has been destroyed in an instant!\Who could have known her prediction would come true this soon?!\Hey! Why was this building spared?\We assigned Metal Knight to construct this building. response:	That's why it's stronger than the average shelter.
context: only to meet thunder and destruction.\Is this your doing?!\Destruction levels at 99.8?\City A has been destroyed in an instant!\Who could have known her prediction would come true this soon?!\Hey! Why was this building spared?\We assigned Metal Knight to construct this building.\That's why it's stronger than the average shelter. response:	So that's why there're no windows.
context: Is this your doing?!\Destruction levels at 99.8?\City A has been destroyed in an instant!\Who could have known her prediction would come true this soon?!\Hey! Why was this building spared?\We assigned Metal Knight to construct this building.\That's why it's stronger than the average shelter.\So that's why there're no windows. response:	We should go outside and see. To be sure it's the prophecy.
context: Destruction levels at 99.8?\City A has been destroyed in an instant!\Who could have known her prediction would come true this soon?!\Hey! Why was this building spared?\We assigned Metal Knight to construct this building.\That's why it's stronger than the average shelter.\So that's why there're no windows.\We should go outside and see. To be sure it's the prophecy. response:	Master! Will you
context: City A has been destroyed in an instant!\Who could have known her prediction would come true this soon?!\Hey! Why was this building spared?\We assigned Metal Knight to construct this building.\That's why it's stronger than the average shelter.\So that's why there're no windows.\We should go outside and see. To be sure it's the prophecy.\Master! Will you response:	Master...
context: Who could have known her prediction would come true this soon?!\Hey! Why was this building spared?\We assigned Metal Knight to construct this building.\That's why it's stronger than the average shelter.\So that's why there're no windows.\We should go outside and see. To be sure it's the prophecy.\Master! Will you\Master... response:	That's big! Are they aliens?
context: Hey! Why was this building spared?\We assigned Metal Knight to construct this building.\That's why it's stronger than the average shelter.\So that's why there're no windows.\We should go outside and see. To be sure it's the prophecy.\Master! Will you\Master...\That's big! Are they aliens? response:	So that's what blew the city to pieces.
context: We assigned Metal Knight to construct this building.\That's why it's stronger than the average shelter.\So that's why there're no windows.\We should go outside and see. To be sure it's the prophecy.\Master! Will you\Master...\That's big! Are they aliens?\So that's what blew the city to pieces. response:	Go back to...
context: That's why it's stronger than the average shelter.\So that's why there're no windows.\We should go outside and see. To be sure it's the prophecy.\Master! Will you\Master...\That's big! Are they aliens?\So that's what blew the city to pieces.\Go back to... response:	your planet!
context: So that's why there're no windows.\We should go outside and see. To be sure it's the prophecy.\Master! Will you\Master...\That's big! Are they aliens?\So that's what blew the city to pieces.\Go back to...\your planet! response:	A militant creature.
context: We should go outside and see. To be sure it's the prophecy.\Master! Will you\Master...\That's big! Are they aliens?\So that's what blew the city to pieces.\Go back to...\your planet!\A militant creature. response:	Also cautious.
context: Master! Will you\Master...\That's big! Are they aliens?\So that's what blew the city to pieces.\Go back to...\your planet!\A militant creature.\Also cautious. response:	Hurry. Let us hurry and kill.
context: Master...\That's big! Are they aliens?\So that's what blew the city to pieces.\Go back to...\your planet!\A militant creature.\Also cautious.\Hurry. Let us hurry and kill. response:	That is good.
context: That's big! Are they aliens?\So that's what blew the city to pieces.\Go back to...\your planet!\A militant creature.\Also cautious.\Hurry. Let us hurry and kill.\That is good. response:	Can it be killed?
context: So that's what blew the city to pieces.\Go back to...\your planet!\A militant creature.\Also cautious.\Hurry. Let us hurry and kill.\That is good.\Can it be killed? response:	Each of its strikes is lethal!
context: Go back to...\your planet!\A militant creature.\Also cautious.\Hurry. Let us hurry and kill.\That is good.\Can it be killed?\Each of its strikes is lethal! response:	I can't beat this thing...
context: your planet!\A militant creature.\Also cautious.\Hurry. Let us hurry and kill.\That is good.\Can it be killed?\Each of its strikes is lethal!\I can't beat this thing... response:	Such a weak species.
context: A militant creature.\Also cautious.\Hurry. Let us hurry and kill.\That is good.\Can it be killed?\Each of its strikes is lethal!\I can't beat this thing...\Such a weak species. response:	Easily killed.
context: Also cautious.\Hurry. Let us hurry and kill.\That is good.\Can it be killed?\Each of its strikes is lethal!\I can't beat this thing...\Such a weak species.\Easily killed. response:	That is good.
context: Hurry. Let us hurry and kill.\That is good.\Can it be killed?\Each of its strikes is lethal!\I can't beat this thing...\Such a weak species.\Easily killed.\That is good. response:	It's splitting?
context: That is good.\Can it be killed?\Each of its strikes is lethal!\I can't beat this thing...\Such a weak species.\Easily killed.\That is good.\It's splitting? response:	Damn, not now...
context: Can it be killed?\Each of its strikes is lethal!\I can't beat this thing...\Such a weak species.\Easily killed.\That is good.\It's splitting?\Damn, not now... response:	I will dispose of this. You handle the rest.
context: Each of its strikes is lethal!\I can't beat this thing...\Such a weak species.\Easily killed.\That is good.\It's splitting?\Damn, not now...\I will dispose of this. You handle the rest. response:	Very well.
context: I can't beat this thing...\Such a weak species.\Easily killed.\That is good.\It's splitting?\Damn, not now...\I will dispose of this. You handle the rest.\Very well. response:	I will go kill those that ran.
context: Such a weak species.\Easily killed.\That is good.\It's splitting?\Damn, not now...\I will dispose of this. You handle the rest.\Very well.\I will go kill those that ran. response:	That is good.
context: Easily killed.\That is good.\It's splitting?\Damn, not now...\I will dispose of this. You handle the rest.\Very well.\I will go kill those that ran.\That is good. response:	Master!
context: That is good.\It's splitting?\Damn, not now...\I will dispose of this. You handle the rest.\Very well.\I will go kill those that ran.\That is good.\Master! response:	Iairon, you okay?
context: It's splitting?\Damn, not now...\I will dispose of this. You handle the rest.\Very well.\I will go kill those that ran.\That is good.\Master!\Iairon, you okay? response:	You know, your left arm...
context: Damn, not now...\I will dispose of this. You handle the rest.\Very well.\I will go kill those that ran.\That is good.\Master!\Iairon, you okay?\You know, your left arm... response:	Master! Swords have no effect on this monster.
context: I will dispose of this. You handle the rest.\Very well.\I will go kill those that ran.\That is good.\Master!\Iairon, you okay?\You know, your left arm...\Master! Swords have no effect on this monster. response:	Forget me! Retreat!
context: Very well.\I will go kill those that ran.\That is good.\Master!\Iairon, you okay?\You know, your left arm...\Master! Swords have no effect on this monster.\Forget me! Retreat! response:	Outta my way!
context: I will go kill those that ran.\That is good.\Master!\Iairon, you okay?\You know, your left arm...\Master! Swords have no effect on this monster.\Forget me! Retreat!\Outta my way! response:	Iai! The path of the sword does not end for you yet!
context: That is good.\Master!\Iairon, you okay?\You know, your left arm...\Master! Swords have no effect on this monster.\Forget me! Retreat!\Outta my way!\Iai! The path of the sword does not end for you yet! response:	Stop bleeding!
context: Master!\Iairon, you okay?\You know, your left arm...\Master! Swords have no effect on this monster.\Forget me! Retreat!\Outta my way!\Iai! The path of the sword does not end for you yet!\Stop bleeding! response:	Yes, Master!
context: Iairon, you okay?\You know, your left arm...\Master! Swords have no effect on this monster.\Forget me! Retreat!\Outta my way!\Iai! The path of the sword does not end for you yet!\Stop bleeding!\Yes, Master! response:	So there is a life-form on this planet that can fight.
context: You know, your left arm...\Master! Swords have no effect on this monster.\Forget me! Retreat!\Outta my way!\Iai! The path of the sword does not end for you yet!\Stop bleeding!\Yes, Master!\So there is a life-form on this planet that can fight. response:	Excellent!
context: Master! Swords have no effect on this monster.\Forget me! Retreat!\Outta my way!\Iai! The path of the sword does not end for you yet!\Stop bleeding!\Yes, Master!\So there is a life-form on this planet that can fight.\Excellent! response:	Try to withstand our invasion!
context: Forget me! Retreat!\Outta my way!\Iai! The path of the sword does not end for you yet!\Stop bleeding!\Yes, Master!\So there is a life-form on this planet that can fight.\Excellent!\Try to withstand our invasion! response:	Planet, eh? You from outer space?
context: Outta my way!\Iai! The path of the sword does not end for you yet!\Stop bleeding!\Yes, Master!\So there is a life-form on this planet that can fight.\Excellent!\Try to withstand our invasion!\Planet, eh? You from outer space? response:	And you got friends up in that floaty toy?
context: Iai! The path of the sword does not end for you yet!\Stop bleeding!\Yes, Master!\So there is a life-form on this planet that can fight.\Excellent!\Try to withstand our invasion!\Planet, eh? You from outer space?\And you got friends up in that floaty toy? response:	Yeah, that's it.
context: Stop bleeding!\Yes, Master!\So there is a life-form on this planet that can fight.\Excellent!\Try to withstand our invasion!\Planet, eh? You from outer space?\And you got friends up in that floaty toy?\Yeah, that's it. response:	I doubt you alone have the power to do all this to the city.
context: Yes, Master!\So there is a life-form on this planet that can fight.\Excellent!\Try to withstand our invasion!\Planet, eh? You from outer space?\And you got friends up in that floaty toy?\Yeah, that's it.\I doubt you alone have the power to do all this to the city. response:	Atomic Samurai, count us in.
context: So there is a life-form on this planet that can fight.\Excellent!\Try to withstand our invasion!\Planet, eh? You from outer space?\And you got friends up in that floaty toy?\Yeah, that's it.\I doubt you alone have the power to do all this to the city.\Atomic Samurai, count us in. response:	You the bastard that smashed this town?!
context: Excellent!\Try to withstand our invasion!\Planet, eh? You from outer space?\And you got friends up in that floaty toy?\Yeah, that's it.\I doubt you alone have the power to do all this to the city.\Atomic Samurai, count us in.\You the bastard that smashed this town?! response:	And if I am?
context: Try to withstand our invasion!\Planet, eh? You from outer space?\And you got friends up in that floaty toy?\Yeah, that's it.\I doubt you alone have the power to do all this to the city.\Atomic Samurai, count us in.\You the bastard that smashed this town?!\And if I am? response:	For all the beautiful men you killed...
context: Planet, eh? You from outer space?\And you got friends up in that floaty toy?\Yeah, that's it.\I doubt you alone have the power to do all this to the city.\Atomic Samurai, count us in.\You the bastard that smashed this town?!\And if I am?\For all the beautiful men you killed... response:	I claim vengeance!
context: And you got friends up in that floaty toy?\Yeah, that's it.\I doubt you alone have the power to do all this to the city.\Atomic Samurai, count us in.\You the bastard that smashed this town?!\And if I am?\For all the beautiful men you killed...\I claim vengeance! response:	Each separate attack must be delivered with intent...
context: Yeah, that's it.\I doubt you alone have the power to do all this to the city.\Atomic Samurai, count us in.\You the bastard that smashed this town?!\And if I am?\For all the beautiful men you killed...\I claim vengeance!\Each separate attack must be delivered with intent... response:	Dark Angel
context: I doubt you alone have the power to do all this to the city.\Atomic Samurai, count us in.\You the bastard that smashed this town?!\And if I am?\For all the beautiful men you killed...\I claim vengeance!\Each separate attack must be delivered with intent...\Dark Angel response:	Flash!
context: Atomic Samurai, count us in.\You the bastard that smashed this town?!\And if I am?\For all the beautiful men you killed...\I claim vengeance!\Each separate attack must be delivered with intent...\Dark Angel\Flash! response:	Issue an evacuation warning to City A and all neighboring cities.
context: You the bastard that smashed this town?!\And if I am?\For all the beautiful men you killed...\I claim vengeance!\Each separate attack must be delivered with intent...\Dark Angel\Flash!\Issue an evacuation warning to City A and all neighboring cities. response:	Right now!
context: And if I am?\For all the beautiful men you killed...\I claim vengeance!\Each separate attack must be delivered with intent...\Dark Angel\Flash!\Issue an evacuation warning to City A and all neighboring cities.\Right now! response:	And expand the System M vitals monitor to cover all of City A.
context: For all the beautiful men you killed...\I claim vengeance!\Each separate attack must be delivered with intent...\Dark Angel\Flash!\Issue an evacuation warning to City A and all neighboring cities.\Right now!\And expand the System M vitals monitor to cover all of City A. response:	We need an accurate count of the survivors.
context: I claim vengeance!\Each separate attack must be delivered with intent...\Dark Angel\Flash!\Issue an evacuation warning to City A and all neighboring cities.\Right now!\And expand the System M vitals monitor to cover all of City A.\We need an accurate count of the survivors. response:	What's the threat level?
context: Each separate attack must be delivered with intent...\Dark Angel\Flash!\Issue an evacuation warning to City A and all neighboring cities.\Right now!\And expand the System M vitals monitor to cover all of City A.\We need an accurate count of the survivors.\What's the threat level? response:	Dragon, without doubt.
context: Dark Angel\Flash!\Issue an evacuation warning to City A and all neighboring cities.\Right now!\And expand the System M vitals monitor to cover all of City A.\We need an accurate count of the survivors.\What's the threat level?\Dragon, without doubt. response:	No...
context: Flash!\Issue an evacuation warning to City A and all neighboring cities.\Right now!\And expand the System M vitals monitor to cover all of City A.\We need an accurate count of the survivors.\What's the threat level?\Dragon, without doubt.\No... response:	This might be God.
context: Issue an evacuation warning to City A and all neighboring cities.\Right now!\And expand the System M vitals monitor to cover all of City A.\We need an accurate count of the survivors.\What's the threat level?\Dragon, without doubt.\No...\This might be God. response:	Four Class S heroes can take care of the enemy on the ground...
context: Right now!\And expand the System M vitals monitor to cover all of City A.\We need an accurate count of the survivors.\What's the threat level?\Dragon, without doubt.\No...\This might be God.\Four Class S heroes can take care of the enemy on the ground... response:	The problem is that.
