context: Papa fell down when he was on GALAX. response:	He's been sleeping in the hospital ever since.
context: Ministry of Defense Collapses. Is it Connected to a Criminal Act?\A man claiming to be the leader of a group\called the Neo Hundred announced\their criminal intentions on a video-sharing website.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\Just now, his pronouncements have come true.\This borders on the supernatural.\Just who are the Neo Hundred? response:	It's just like Katze.
context: A man claiming to be the leader of a group\called the Neo Hundred announced\their criminal intentions on a video-sharing website.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\Just now, his pronouncements have come true.\This borders on the supernatural.\Just who are the Neo Hundred?\It's just like Katze. response:	It never dirties its own hands.
context: called the Neo Hundred announced\their criminal intentions on a video-sharing website.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\Just now, his pronouncements have come true.\This borders on the supernatural.\Just who are the Neo Hundred?\It's just like Katze.\It never dirties its own hands. response:	It pretends to be someone else
context: their criminal intentions on a video-sharing website.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\Just now, his pronouncements have come true.\This borders on the supernatural.\Just who are the Neo Hundred?\It's just like Katze.\It never dirties its own hands.\It pretends to be someone else response:	and ignites planets on fire while enjoying the mayhem.
context: Ministry of Defense Collapses. Is it Connected to a Criminal Act?\Just now, his pronouncements have come true.\This borders on the supernatural.\Just who are the Neo Hundred?\It's just like Katze.\It never dirties its own hands.\It pretends to be someone else\and ignites planets on fire while enjoying the mayhem. response:	It wants to send this world up in flames.
context: Just now, his pronouncements have come true.\This borders on the supernatural.\Just who are the Neo Hundred?\It's just like Katze.\It never dirties its own hands.\It pretends to be someone else\and ignites planets on fire while enjoying the mayhem.\It wants to send this world up in flames. response:	Leader!
context: This borders on the supernatural.\Just who are the Neo Hundred?\It's just like Katze.\It never dirties its own hands.\It pretends to be someone else\and ignites planets on fire while enjoying the mayhem.\It wants to send this world up in flames.\Leader! response:	No!
context: Just who are the Neo Hundred?\It's just like Katze.\It never dirties its own hands.\It pretends to be someone else\and ignites planets on fire while enjoying the mayhem.\It wants to send this world up in flames.\Leader!\No! response:	Th-This situation is completely unexpected!
context: It's just like Katze.\It never dirties its own hands.\It pretends to be someone else\and ignites planets on fire while enjoying the mayhem.\It wants to send this world up in flames.\Leader!\No!\Th-This situation is completely unexpected! response:	We must seek JJ-sama's advice!
context: It never dirties its own hands.\It pretends to be someone else\and ignites planets on fire while enjoying the mayhem.\It wants to send this world up in flames.\Leader!\No!\Th-This situation is completely unexpected!\We must seek JJ-sama's advice! response:	Pai-Pai.
context: It pretends to be someone else\and ignites planets on fire while enjoying the mayhem.\It wants to send this world up in flames.\Leader!\No!\Th-This situation is completely unexpected!\We must seek JJ-sama's advice!\Pai-Pai. response:	Most things in life are unexpected.
context: and ignites planets on fire while enjoying the mayhem.\It wants to send this world up in flames.\Leader!\No!\Th-This situation is completely unexpected!\We must seek JJ-sama's advice!\Pai-Pai.\Most things in life are unexpected. response:	Even more things will happen.
context: It wants to send this world up in flames.\Leader!\No!\Th-This situation is completely unexpected!\We must seek JJ-sama's advice!\Pai-Pai.\Most things in life are unexpected.\Even more things will happen. response:	If JJ is like God,
context: Leader!\No!\Th-This situation is completely unexpected!\We must seek JJ-sama's advice!\Pai-Pai.\Most things in life are unexpected.\Even more things will happen.\If JJ is like God, response:	he probably won't do anything.
context: No!\Th-This situation is completely unexpected!\We must seek JJ-sama's advice!\Pai-Pai.\Most things in life are unexpected.\Even more things will happen.\If JJ is like God,\he probably won't do anything. response:	He's not even from this planet, anyway.
context: Th-This situation is completely unexpected!\We must seek JJ-sama's advice!\Pai-Pai.\Most things in life are unexpected.\Even more things will happen.\If JJ is like God,\he probably won't do anything.\He's not even from this planet, anyway. response:	I-I am not from this planet, either.
context: We must seek JJ-sama's advice!\Pai-Pai.\Most things in life are unexpected.\Even more things will happen.\If JJ is like God,\he probably won't do anything.\He's not even from this planet, anyway.\I-I am not from this planet, either. response:	But you and I are already friends.
context: Pai-Pai.\Most things in life are unexpected.\Even more things will happen.\If JJ is like God,\he probably won't do anything.\He's not even from this planet, anyway.\I-I am not from this planet, either.\But you and I are already friends. response:	Friends, my ass!
context: Most things in life are unexpected.\Even more things will happen.\If JJ is like God,\he probably won't do anything.\He's not even from this planet, anyway.\I-I am not from this planet, either.\But you and I are already friends.\Friends, my ass! response:	I am your leader!
context: Even more things will happen.\If JJ is like God,\he probably won't do anything.\He's not even from this planet, anyway.\I-I am not from this planet, either.\But you and I are already friends.\Friends, my ass!\I am your leader! response:	That's too complicated.
context: If JJ is like God,\he probably won't do anything.\He's not even from this planet, anyway.\I-I am not from this planet, either.\But you and I are already friends.\Friends, my ass!\I am your leader!\That's too complicated. response:	I'll ask you as a friend.
context: he probably won't do anything.\He's not even from this planet, anyway.\I-I am not from this planet, either.\But you and I are already friends.\Friends, my ass!\I am your leader!\That's too complicated.\I'll ask you as a friend. response:	What do you really want to do, Pai-Pai?
context: He's not even from this planet, anyway.\I-I am not from this planet, either.\But you and I are already friends.\Friends, my ass!\I am your leader!\That's too complicated.\I'll ask you as a friend.\What do you really want to do, Pai-Pai? response:	Wait. What've you been doing, anyway?
context: I-I am not from this planet, either.\But you and I are already friends.\Friends, my ass!\I am your leader!\That's too complicated.\I'll ask you as a friend.\What do you really want to do, Pai-Pai?\Wait. What've you been doing, anyway? response:	Looking.
context: But you and I are already friends.\Friends, my ass!\I am your leader!\That's too complicated.\I'll ask you as a friend.\What do you really want to do, Pai-Pai?\Wait. What've you been doing, anyway?\Looking. response:	For what?
context: Friends, my ass!\I am your leader!\That's too complicated.\I'll ask you as a friend.\What do you really want to do, Pai-Pai?\Wait. What've you been doing, anyway?\Looking.\For what? response:	For the game boss!
context: I am your leader!\That's too complicated.\I'll ask you as a friend.\What do you really want to do, Pai-Pai?\Wait. What've you been doing, anyway?\Looking.\For what?\For the game boss! response:	Katze-san!
context: That's too complicated.\I'll ask you as a friend.\What do you really want to do, Pai-Pai?\Wait. What've you been doing, anyway?\Looking.\For what?\For the game boss!\Katze-san! response:	Where are you?
context: I'll ask you as a friend.\What do you really want to do, Pai-Pai?\Wait. What've you been doing, anyway?\Looking.\For what?\For the game boss!\Katze-san!\Where are you? response:	Ka-Ka-Ka-Ka...
context: What do you really want to do, Pai-Pai?\Wait. What've you been doing, anyway?\Looking.\For what?\For the game boss!\Katze-san!\Where are you?\Ka-Ka-Ka-Ka... response:	Live News Feed
context: Wait. What've you been doing, anyway?\Looking.\For what?\For the game boss!\Katze-san!\Where are you?\Ka-Ka-Ka-Ka...\Live News Feed response:	Incidents/Accidents
context: Looking.\For what?\For the game boss!\Katze-san!\Where are you?\Ka-Ka-Ka-Ka...\Live News Feed\Incidents/Accidents response:	Alien Responsible for Collapsed Kasumigaseki Buildings? 10 Vehicles Overturned on Aoyama Avenue, Cause Unknown Train Derailed on Yamanote Line, Services Suspended in Both Directions Mysterious Blackout Along Tokyo Bay, No Estimate for Restoration of Power Small Fire at Tokyo Metropolitan City Hall, Electrical Problems Suspected
context: For what?\For the game boss!\Katze-san!\Where are you?\Ka-Ka-Ka-Ka...\Live News Feed\Incidents/Accidents\Alien Responsible for Collapsed Kasumigaseki Buildings? 10 Vehicles Overturned on Aoyama Avenue, Cause Unknown Train Derailed on Yamanote Line, Services Suspended in Both Directions Mysterious Blackout Along Tokyo Bay, No Estimate for Restoration of Power Small Fire at Tokyo Metropolitan City Hall, Electrical Problems Suspected response:	It'd be sad if he didn't have a grave when he dies, right?
context: For the game boss!\Katze-san!\Where are you?\Ka-Ka-Ka-Ka...\Live News Feed\Incidents/Accidents\Alien Responsible for Collapsed Kasumigaseki Buildings? 10 Vehicles Overturned on Aoyama Avenue, Cause Unknown Train Derailed on Yamanote Line, Services Suspended in Both Directions Mysterious Blackout Along Tokyo Bay, No Estimate for Restoration of Power Small Fire at Tokyo Metropolitan City Hall, Electrical Problems Suspected\It'd be sad if he didn't have a grave when he dies, right? response:	Paranormal events have been reported
context: Katze-san!\Where are you?\Ka-Ka-Ka-Ka...\Live News Feed\Incidents/Accidents\Alien Responsible for Collapsed Kasumigaseki Buildings? 10 Vehicles Overturned on Aoyama Avenue, Cause Unknown Train Derailed on Yamanote Line, Services Suspended in Both Directions Mysterious Blackout Along Tokyo Bay, No Estimate for Restoration of Power Small Fire at Tokyo Metropolitan City Hall, Electrical Problems Suspected\It'd be sad if he didn't have a grave when he dies, right?\Paranormal events have been reported response:	not only in Kasumigaseki and Ichigaya, but nationwide.
context: Where are you?\Ka-Ka-Ka-Ka...\Live News Feed\Incidents/Accidents\Alien Responsible for Collapsed Kasumigaseki Buildings? 10 Vehicles Overturned on Aoyama Avenue, Cause Unknown Train Derailed on Yamanote Line, Services Suspended in Both Directions Mysterious Blackout Along Tokyo Bay, No Estimate for Restoration of Power Small Fire at Tokyo Metropolitan City Hall, Electrical Problems Suspected\It'd be sad if he didn't have a grave when he dies, right?\Paranormal events have been reported\not only in Kasumigaseki and Ichigaya, but nationwide. response:	They include vehicles suddenly being overturned,
context: Ka-Ka-Ka-Ka...\Live News Feed\Incidents/Accidents\Alien Responsible for Collapsed Kasumigaseki Buildings? 10 Vehicles Overturned on Aoyama Avenue, Cause Unknown Train Derailed on Yamanote Line, Services Suspended in Both Directions Mysterious Blackout Along Tokyo Bay, No Estimate for Restoration of Power Small Fire at Tokyo Metropolitan City Hall, Electrical Problems Suspected\It'd be sad if he didn't have a grave when he dies, right?\Paranormal events have been reported\not only in Kasumigaseki and Ichigaya, but nationwide.\They include vehicles suddenly being overturned, response:	trains coming in contact with unseen objects,
context: Live News Feed\Incidents/Accidents\Alien Responsible for Collapsed Kasumigaseki Buildings? 10 Vehicles Overturned on Aoyama Avenue, Cause Unknown Train Derailed on Yamanote Line, Services Suspended in Both Directions Mysterious Blackout Along Tokyo Bay, No Estimate for Restoration of Power Small Fire at Tokyo Metropolitan City Hall, Electrical Problems Suspected\It'd be sad if he didn't have a grave when he dies, right?\Paranormal events have been reported\not only in Kasumigaseki and Ichigaya, but nationwide.\They include vehicles suddenly being overturned,\trains coming in contact with unseen objects, response:	and unexplained occurrences of blackouts and fires.
context: Incidents/Accidents\Alien Responsible for Collapsed Kasumigaseki Buildings? 10 Vehicles Overturned on Aoyama Avenue, Cause Unknown Train Derailed on Yamanote Line, Services Suspended in Both Directions Mysterious Blackout Along Tokyo Bay, No Estimate for Restoration of Power Small Fire at Tokyo Metropolitan City Hall, Electrical Problems Suspected\It'd be sad if he didn't have a grave when he dies, right?\Paranormal events have been reported\not only in Kasumigaseki and Ichigaya, but nationwide.\They include vehicles suddenly being overturned,\trains coming in contact with unseen objects,\and unexplained occurrences of blackouts and fires. response:	It's my fault.
context: Alien Responsible for Collapsed Kasumigaseki Buildings? 10 Vehicles Overturned on Aoyama Avenue, Cause Unknown Train Derailed on Yamanote Line, Services Suspended in Both Directions Mysterious Blackout Along Tokyo Bay, No Estimate for Restoration of Power Small Fire at Tokyo Metropolitan City Hall, Electrical Problems Suspected\It'd be sad if he didn't have a grave when he dies, right?\Paranormal events have been reported\not only in Kasumigaseki and Ichigaya, but nationwide.\They include vehicles suddenly being overturned,\trains coming in contact with unseen objects,\and unexplained occurrences of blackouts and fires.\It's my fault. response:	Nope.
context: It'd be sad if he didn't have a grave when he dies, right?\Paranormal events have been reported\not only in Kasumigaseki and Ichigaya, but nationwide.\They include vehicles suddenly being overturned,\trains coming in contact with unseen objects,\and unexplained occurrences of blackouts and fires.\It's my fault.\Nope. response:	It's all of our faults.
context: Paranormal events have been reported\not only in Kasumigaseki and Ichigaya, but nationwide.\They include vehicles suddenly being overturned,\trains coming in contact with unseen objects,\and unexplained occurrences of blackouts and fires.\It's my fault.\Nope.\It's all of our faults. response:	That's what Katze-san said.
context: not only in Kasumigaseki and Ichigaya, but nationwide.\They include vehicles suddenly being overturned,\trains coming in contact with unseen objects,\and unexplained occurrences of blackouts and fires.\It's my fault.\Nope.\It's all of our faults.\That's what Katze-san said. response:	It said it's all of our faults.
context: They include vehicles suddenly being overturned,\trains coming in contact with unseen objects,\and unexplained occurrences of blackouts and fires.\It's my fault.\Nope.\It's all of our faults.\That's what Katze-san said.\It said it's all of our faults. response:	So, that's why we have to do
context: trains coming in contact with unseen objects,\and unexplained occurrences of blackouts and fires.\It's my fault.\Nope.\It's all of our faults.\That's what Katze-san said.\It said it's all of our faults.\So, that's why we have to do response:	what only each and every one of us can do.
context: and unexplained occurrences of blackouts and fires.\It's my fault.\Nope.\It's all of our faults.\That's what Katze-san said.\It said it's all of our faults.\So, that's why we have to do\what only each and every one of us can do. response:	Exactly!
context: It's my fault.\Nope.\It's all of our faults.\That's what Katze-san said.\It said it's all of our faults.\So, that's why we have to do\what only each and every one of us can do.\Exactly! response:	Let's think together on what we can do.
context: Nope.\It's all of our faults.\That's what Katze-san said.\It said it's all of our faults.\So, that's why we have to do\what only each and every one of us can do.\Exactly!\Let's think together on what we can do. response:	Now is not the time to be gloomy.
context: It's all of our faults.\That's what Katze-san said.\It said it's all of our faults.\So, that's why we have to do\what only each and every one of us can do.\Exactly!\Let's think together on what we can do.\Now is not the time to be gloomy. response:	We're already all in the same boat, aren't we?
context: That's what Katze-san said.\It said it's all of our faults.\So, that's why we have to do\what only each and every one of us can do.\Exactly!\Let's think together on what we can do.\Now is not the time to be gloomy.\We're already all in the same boat, aren't we? response:	What do you want to do, Rui-kun?
context: It said it's all of our faults.\So, that's why we have to do\what only each and every one of us can do.\Exactly!\Let's think together on what we can do.\Now is not the time to be gloomy.\We're already all in the same boat, aren't we?\What do you want to do, Rui-kun? response:	I want to get X and the NOTE back from Katze.
context: So, that's why we have to do\what only each and every one of us can do.\Exactly!\Let's think together on what we can do.\Now is not the time to be gloomy.\We're already all in the same boat, aren't we?\What do you want to do, Rui-kun?\I want to get X and the NOTE back from Katze. response:	I'm sure X will come back.
context: what only each and every one of us can do.\Exactly!\Let's think together on what we can do.\Now is not the time to be gloomy.\We're already all in the same boat, aren't we?\What do you want to do, Rui-kun?\I want to get X and the NOTE back from Katze.\I'm sure X will come back. response:	Well, Rui-kun,
context: Exactly!\Let's think together on what we can do.\Now is not the time to be gloomy.\We're already all in the same boat, aren't we?\What do you want to do, Rui-kun?\I want to get X and the NOTE back from Katze.\I'm sure X will come back.\Well, Rui-kun, response:	you've been on GALAX all this time with X, right?
context: Let's think together on what we can do.\Now is not the time to be gloomy.\We're already all in the same boat, aren't we?\What do you want to do, Rui-kun?\I want to get X and the NOTE back from Katze.\I'm sure X will come back.\Well, Rui-kun,\you've been on GALAX all this time with X, right? response:	That means you're friends.
context: Now is not the time to be gloomy.\We're already all in the same boat, aren't we?\What do you want to do, Rui-kun?\I want to get X and the NOTE back from Katze.\I'm sure X will come back.\Well, Rui-kun,\you've been on GALAX all this time with X, right?\That means you're friends. response:	A friend will come back, for sure!
context: We're already all in the same boat, aren't we?\What do you want to do, Rui-kun?\I want to get X and the NOTE back from Katze.\I'm sure X will come back.\Well, Rui-kun,\you've been on GALAX all this time with X, right?\That means you're friends.\A friend will come back, for sure! response:	Well, we should be going, Go, Bird!
context: What do you want to do, Rui-kun?\I want to get X and the NOTE back from Katze.\I'm sure X will come back.\Well, Rui-kun,\you've been on GALAX all this time with X, right?\That means you're friends.\A friend will come back, for sure!\Well, we should be going, Go, Bird! response:	But, before that, we have something we need to do.
context: I want to get X and the NOTE back from Katze.\I'm sure X will come back.\Well, Rui-kun,\you've been on GALAX all this time with X, right?\That means you're friends.\A friend will come back, for sure!\Well, we should be going, Go, Bird!\But, before that, we have something we need to do. response:	The second Gatchaman PR Campaign!
context: I'm sure X will come back.\Well, Rui-kun,\you've been on GALAX all this time with X, right?\That means you're friends.\A friend will come back, for sure!\Well, we should be going, Go, Bird!\But, before that, we have something we need to do.\The second Gatchaman PR Campaign! response:	We're still doing that?
context: Well, Rui-kun,\you've been on GALAX all this time with X, right?\That means you're friends.\A friend will come back, for sure!\Well, we should be going, Go, Bird!\But, before that, we have something we need to do.\The second Gatchaman PR Campaign!\We're still doing that? response:	It's about to start.
context: you've been on GALAX all this time with X, right?\That means you're friends.\A friend will come back, for sure!\Well, we should be going, Go, Bird!\But, before that, we have something we need to do.\The second Gatchaman PR Campaign!\We're still doing that?\It's about to start. response:	Are you guys for real, Gatchaman?!
context: That means you're friends.\A friend will come back, for sure!\Well, we should be going, Go, Bird!\But, before that, we have something we need to do.\The second Gatchaman PR Campaign!\We're still doing that?\It's about to start.\Are you guys for real, Gatchaman?! response:	No way!
context: A friend will come back, for sure!\Well, we should be going, Go, Bird!\But, before that, we have something we need to do.\The second Gatchaman PR Campaign!\We're still doing that?\It's about to start.\Are you guys for real, Gatchaman?!\No way! response:	No way!
context: Well, we should be going, Go, Bird!\But, before that, we have something we need to do.\The second Gatchaman PR Campaign!\We're still doing that?\It's about to start.\Are you guys for real, Gatchaman?!\No way!\No way! response:	They're for real,
context: But, before that, we have something we need to do.\The second Gatchaman PR Campaign!\We're still doing that?\It's about to start.\Are you guys for real, Gatchaman?!\No way!\No way!\They're for real, response:	Are you guys for real, Gatchaman?!
context: The second Gatchaman PR Campaign!\We're still doing that?\It's about to start.\Are you guys for real, Gatchaman?!\No way!\No way!\They're for real,\Are you guys for real, Gatchaman?! response:	We just started the Gatchannel today!
context: We're still doing that?\It's about to start.\Are you guys for real, Gatchaman?!\No way!\No way!\They're for real,\Are you guys for real, Gatchaman?!\We just started the Gatchannel today! response:	OD
context: It's about to start.\Are you guys for real, Gatchaman?!\No way!\No way!\They're for real,\Are you guys for real, Gatchaman?!\We just started the Gatchannel today!\OD response:	Sugane
context: Are you guys for real, Gatchaman?!\No way!\No way!\They're for real,\Are you guys for real, Gatchaman?!\We just started the Gatchannel today!\OD\Sugane response:	Gatcha!
context: No way!\No way!\They're for real,\Are you guys for real, Gatchaman?!\We just started the Gatchannel today!\OD\Sugane\Gatcha! response:	Gatcha!
context: No way!\They're for real,\Are you guys for real, Gatchaman?!\We just started the Gatchannel today!\OD\Sugane\Gatcha!\Gatcha! response:	Gatcha!
context: They're for real,\Are you guys for real, Gatchaman?!\We just started the Gatchannel today!\OD\Sugane\Gatcha!\Gatcha!\Gatcha! response:	They don't look like a team
context: Are you guys for real, Gatchaman?!\We just started the Gatchannel today!\OD\Sugane\Gatcha!\Gatcha!\Gatcha!\They don't look like a team response:	They gonna do this every week?
context: We just started the Gatchannel today!\OD\Sugane\Gatcha!\Gatcha!\Gatcha!\They don't look like a team\They gonna do this every week? response:	This is a super fun, exciting show
context: OD\Sugane\Gatcha!\Gatcha!\Gatcha!\They don't look like a team\They gonna do this every week?\This is a super fun, exciting show response:	Wish they'd turn this into an anime
context: Sugane\Gatcha!\Gatcha!\Gatcha!\They don't look like a team\They gonna do this every week?\This is a super fun, exciting show\Wish they'd turn this into an anime response:	I'd totally buy the figures!
context: Gatcha!\Gatcha!\Gatcha!\They don't look like a team\They gonna do this every week?\This is a super fun, exciting show\Wish they'd turn this into an anime\I'd totally buy the figures! response:	that directly connects us Gatchaman to you!
context: Gatcha!\Gatcha!\They don't look like a team\They gonna do this every week?\This is a super fun, exciting show\Wish they'd turn this into an anime\I'd totally buy the figures!\that directly connects us Gatchaman to you! response:	How many aliens are there?
context: Gatcha!\They don't look like a team\They gonna do this every week?\This is a super fun, exciting show\Wish they'd turn this into an anime\I'd totally buy the figures!\that directly connects us Gatchaman to you!\How many aliens are there? response:	Transform already!
context: They don't look like a team\They gonna do this every week?\This is a super fun, exciting show\Wish they'd turn this into an anime\I'd totally buy the figures!\that directly connects us Gatchaman to you!\How many aliens are there?\Transform already! response:	Cute, Hajime-chan!
context: They gonna do this every week?\This is a super fun, exciting show\Wish they'd turn this into an anime\I'd totally buy the figures!\that directly connects us Gatchaman to you!\How many aliens are there?\Transform already!\Cute, Hajime-chan! response:	Look, we already have questions from you!
context: This is a super fun, exciting show\Wish they'd turn this into an anime\I'd totally buy the figures!\that directly connects us Gatchaman to you!\How many aliens are there?\Transform already!\Cute, Hajime-chan!\Look, we already have questions from you! response:	What are the CROWDS?
context: Wish they'd turn this into an anime\I'd totally buy the figures!\that directly connects us Gatchaman to you!\How many aliens are there?\Transform already!\Cute, Hajime-chan!\Look, we already have questions from you!\What are the CROWDS? response:	Okay, we have someone knowledgeable about that.
context: I'd totally buy the figures!\that directly connects us Gatchaman to you!\How many aliens are there?\Transform already!\Cute, Hajime-chan!\Look, we already have questions from you!\What are the CROWDS?\Okay, we have someone knowledgeable about that. response:	Here's our special guest, Rui-kun.
context: that directly connects us Gatchaman to you!\How many aliens are there?\Transform already!\Cute, Hajime-chan!\Look, we already have questions from you!\What are the CROWDS?\Okay, we have someone knowledgeable about that.\Here's our special guest, Rui-kun. response:	Pai-man
context: How many aliens are there?\Transform already!\Cute, Hajime-chan!\Look, we already have questions from you!\What are the CROWDS?\Okay, we have someone knowledgeable about that.\Here's our special guest, Rui-kun.\Pai-man response:	Jou-san, it started!
context: Transform already!\Cute, Hajime-chan!\Look, we already have questions from you!\What are the CROWDS?\Okay, we have someone knowledgeable about that.\Here's our special guest, Rui-kun.\Pai-man\Jou-san, it started! response:	It's a live stream by Gatchaman!
context: Cute, Hajime-chan!\Look, we already have questions from you!\What are the CROWDS?\Okay, we have someone knowledgeable about that.\Here's our special guest, Rui-kun.\Pai-man\Jou-san, it started!\It's a live stream by Gatchaman! response:	C'mon! Hurry!
context: Look, we already have questions from you!\What are the CROWDS?\Okay, we have someone knowledgeable about that.\Here's our special guest, Rui-kun.\Pai-man\Jou-san, it started!\It's a live stream by Gatchaman!\C'mon! Hurry! response:	I'm not interested.
context: What are the CROWDS?\Okay, we have someone knowledgeable about that.\Here's our special guest, Rui-kun.\Pai-man\Jou-san, it started!\It's a live stream by Gatchaman!\C'mon! Hurry!\I'm not interested. response:	Hello, I am Ninomiya Rui.
context: Okay, we have someone knowledgeable about that.\Here's our special guest, Rui-kun.\Pai-man\Jou-san, it started!\It's a live stream by Gatchaman!\C'mon! Hurry!\I'm not interested.\Hello, I am Ninomiya Rui. response:	Rui
context: Here's our special guest, Rui-kun.\Pai-man\Jou-san, it started!\It's a live stream by Gatchaman!\C'mon! Hurry!\I'm not interested.\Hello, I am Ninomiya Rui.\Rui response:	Gatcha!
context: Pai-man\Jou-san, it started!\It's a live stream by Gatchaman!\C'mon! Hurry!\I'm not interested.\Hello, I am Ninomiya Rui.\Rui\Gatcha! response:	Gatcha!
context: Jou-san, it started!\It's a live stream by Gatchaman!\C'mon! Hurry!\I'm not interested.\Hello, I am Ninomiya Rui.\Rui\Gatcha!\Gatcha! response:	Rui-Rui, no makeup!
context: It's a live stream by Gatchaman!\C'mon! Hurry!\I'm not interested.\Hello, I am Ninomiya Rui.\Rui\Gatcha!\Gatcha!\Rui-Rui, no makeup! response:	Rui-kun, you made GALAX, right?
context: C'mon! Hurry!\I'm not interested.\Hello, I am Ninomiya Rui.\Rui\Gatcha!\Gatcha!\Rui-Rui, no makeup!\Rui-kun, you made GALAX, right? response:	Wait, it's OD!
context: I'm not interested.\Hello, I am Ninomiya Rui.\Rui\Gatcha!\Gatcha!\Rui-Rui, no makeup!\Rui-kun, you made GALAX, right?\Wait, it's OD! response:	That's amazing!
context: Hello, I am Ninomiya Rui.\Rui\Gatcha!\Gatcha!\Rui-Rui, no makeup!\Rui-kun, you made GALAX, right?\Wait, it's OD!\That's amazing! response:	OD's still alive?
context: Rui\Gatcha!\Gatcha!\Rui-Rui, no makeup!\Rui-kun, you made GALAX, right?\Wait, it's OD!\That's amazing!\OD's still alive? response:	First, I must make an apology.
context: Gatcha!\Gatcha!\Rui-Rui, no makeup!\Rui-kun, you made GALAX, right?\Wait, it's OD!\That's amazing!\OD's still alive?\First, I must make an apology. response:	I was managing GALAX
context: Gatcha!\Rui-Rui, no makeup!\Rui-kun, you made GALAX, right?\Wait, it's OD!\That's amazing!\OD's still alive?\First, I must make an apology.\I was managing GALAX response:	when an alien named Berg-Katze gave me
context: Rui-Rui, no makeup!\Rui-kun, you made GALAX, right?\Wait, it's OD!\That's amazing!\OD's still alive?\First, I must make an apology.\I was managing GALAX\when an alien named Berg-Katze gave me response:	a supernatural power called the CROWDS.
context: Rui-kun, you made GALAX, right?\Wait, it's OD!\That's amazing!\OD's still alive?\First, I must make an apology.\I was managing GALAX\when an alien named Berg-Katze gave me\a supernatural power called the CROWDS. response:	As you may have heard from the press,
context: Wait, it's OD!\That's amazing!\OD's still alive?\First, I must make an apology.\I was managing GALAX\when an alien named Berg-Katze gave me\a supernatural power called the CROWDS.\As you may have heard from the press, response:	Lame, Rui-Rui!
context: That's amazing!\OD's still alive?\First, I must make an apology.\I was managing GALAX\when an alien named Berg-Katze gave me\a supernatural power called the CROWDS.\As you may have heard from the press,\Lame, Rui-Rui! response:	it allows its user to exert control, regardless of distance, through will power alone.
context: OD's still alive?\First, I must make an apology.\I was managing GALAX\when an alien named Berg-Katze gave me\a supernatural power called the CROWDS.\As you may have heard from the press,\Lame, Rui-Rui!\it allows its user to exert control, regardless of distance, through will power alone. response:	You used to make fun of these public apologies all the time!
context: First, I must make an apology.\I was managing GALAX\when an alien named Berg-Katze gave me\a supernatural power called the CROWDS.\As you may have heard from the press,\Lame, Rui-Rui!\it allows its user to exert control, regardless of distance, through will power alone.\You used to make fun of these public apologies all the time! response:	The CROWDS have a physical manifestation, but it is invisible.
context: I was managing GALAX\when an alien named Berg-Katze gave me\a supernatural power called the CROWDS.\As you may have heard from the press,\Lame, Rui-Rui!\it allows its user to exert control, regardless of distance, through will power alone.\You used to make fun of these public apologies all the time!\The CROWDS have a physical manifestation, but it is invisible. response:	All the time!
context: when an alien named Berg-Katze gave me\a supernatural power called the CROWDS.\As you may have heard from the press,\Lame, Rui-Rui!\it allows its user to exert control, regardless of distance, through will power alone.\You used to make fun of these public apologies all the time!\The CROWDS have a physical manifestation, but it is invisible.\All the time! response:	Although I knew Katze was evil,
context: a supernatural power called the CROWDS.\As you may have heard from the press,\Lame, Rui-Rui!\it allows its user to exert control, regardless of distance, through will power alone.\You used to make fun of these public apologies all the time!\The CROWDS have a physical manifestation, but it is invisible.\All the time!\Although I knew Katze was evil, response:	I used that power to help resolve various accidents and incidents.
context: As you may have heard from the press,\Lame, Rui-Rui!\it allows its user to exert control, regardless of distance, through will power alone.\You used to make fun of these public apologies all the time!\The CROWDS have a physical manifestation, but it is invisible.\All the time!\Although I knew Katze was evil,\I used that power to help resolve various accidents and incidents. response:	However, in the end, I was attacked by Katze and...
context: Lame, Rui-Rui!\it allows its user to exert control, regardless of distance, through will power alone.\You used to make fun of these public apologies all the time!\The CROWDS have a physical manifestation, but it is invisible.\All the time!\Although I knew Katze was evil,\I used that power to help resolve various accidents and incidents.\However, in the end, I was attacked by Katze and... response:	Don't worry. Your dad won't die.
context: it allows its user to exert control, regardless of distance, through will power alone.\You used to make fun of these public apologies all the time!\The CROWDS have a physical manifestation, but it is invisible.\All the time!\Although I knew Katze was evil,\I used that power to help resolve various accidents and incidents.\However, in the end, I was attacked by Katze and...\Don't worry. Your dad won't die. response:	Really?
context: You used to make fun of these public apologies all the time!\The CROWDS have a physical manifestation, but it is invisible.\All the time!\Although I knew Katze was evil,\I used that power to help resolve various accidents and incidents.\However, in the end, I was attacked by Katze and...\Don't worry. Your dad won't die.\Really? response:	Yeah.
context: The CROWDS have a physical manifestation, but it is invisible.\All the time!\Although I knew Katze was evil,\I used that power to help resolve various accidents and incidents.\However, in the end, I was attacked by Katze and...\Don't worry. Your dad won't die.\Really?\Yeah. response:	So you should cheer him on and tell him to hang in there.
context: All the time!\Although I knew Katze was evil,\I used that power to help resolve various accidents and incidents.\However, in the end, I was attacked by Katze and...\Don't worry. Your dad won't die.\Really?\Yeah.\So you should cheer him on and tell him to hang in there. response:	Okay, all right.
