context: I am Amon Kotaro, newly assigned to Control Division One as of today! response:	Pleased to make your acquaintance!
context: Before she came to the 20th Ward, Rize was in the 11th.\I'm certain about that.\The 11th Ward...\Maybe I'll go there the next day I have off.\Oh, excuse me!\Ah, no, excuse me.\I lost myself there for a bit.\Well, g'bye! response:	-Must be going! -Something about that person...
context: I'm certain about that.\The 11th Ward...\Maybe I'll go there the next day I have off.\Oh, excuse me!\Ah, no, excuse me.\I lost myself there for a bit.\Well, g'bye!\-Must be going! -Something about that person... response:	smells delicious...
context: The 11th Ward...\Maybe I'll go there the next day I have off.\Oh, excuse me!\Ah, no, excuse me.\I lost myself there for a bit.\Well, g'bye!\-Must be going! -Something about that person...\smells delicious... response:	Insurance card, library card...
context: Maybe I'll go there the next day I have off.\Oh, excuse me!\Ah, no, excuse me.\I lost myself there for a bit.\Well, g'bye!\-Must be going! -Something about that person...\smells delicious...\Insurance card, library card... response:	and here we have...
context: Oh, excuse me!\Ah, no, excuse me.\I lost myself there for a bit.\Well, g'bye!\-Must be going! -Something about that person...\smells delicious...\Insurance card, library card...\and here we have... response:	his student ID! Kaneki Ken, age nineteen. The same age as me!
context: Ah, no, excuse me.\I lost myself there for a bit.\Well, g'bye!\-Must be going! -Something about that person...\smells delicious...\Insurance card, library card...\and here we have...\his student ID! Kaneki Ken, age nineteen. The same age as me! response:	And the all-important contents are...
context: I lost myself there for a bit.\Well, g'bye!\-Must be going! -Something about that person...\smells delicious...\Insurance card, library card...\and here we have...\his student ID! Kaneki Ken, age nineteen. The same age as me!\And the all-important contents are... response:	That's a real shame.
context: Well, g'bye!\-Must be going! -Something about that person...\smells delicious...\Insurance card, library card...\and here we have...\his student ID! Kaneki Ken, age nineteen. The same age as me!\And the all-important contents are...\That's a real shame. response:	Pickpocketed?
context: -Must be going! -Something about that person...\smells delicious...\Insurance card, library card...\and here we have...\his student ID! Kaneki Ken, age nineteen. The same age as me!\And the all-important contents are...\That's a real shame.\Pickpocketed? response:	Mm-hmm.
context: smells delicious...\Insurance card, library card...\and here we have...\his student ID! Kaneki Ken, age nineteen. The same age as me!\And the all-important contents are...\That's a real shame.\Pickpocketed?\Mm-hmm. response:	Do you remember their face?
context: Insurance card, library card...\and here we have...\his student ID! Kaneki Ken, age nineteen. The same age as me!\And the all-important contents are...\That's a real shame.\Pickpocketed?\Mm-hmm.\Do you remember their face? response:	I never got a good look.
context: and here we have...\his student ID! Kaneki Ken, age nineteen. The same age as me!\And the all-important contents are...\That's a real shame.\Pickpocketed?\Mm-hmm.\Do you remember their face?\I never got a good look. response:	Did you file a report?
context: his student ID! Kaneki Ken, age nineteen. The same age as me!\And the all-important contents are...\That's a real shame.\Pickpocketed?\Mm-hmm.\Do you remember their face?\I never got a good look.\Did you file a report? response:	There wasn't that much in it.
context: And the all-important contents are...\That's a real shame.\Pickpocketed?\Mm-hmm.\Do you remember their face?\I never got a good look.\Did you file a report?\There wasn't that much in it. response:	Geez, you're pathetic.
context: That's a real shame.\Pickpocketed?\Mm-hmm.\Do you remember their face?\I never got a good look.\Did you file a report?\There wasn't that much in it.\Geez, you're pathetic. response:	If you were more vigilant, you wouldn't have creeps coming after you.
context: Pickpocketed?\Mm-hmm.\Do you remember their face?\I never got a good look.\Did you file a report?\There wasn't that much in it.\Geez, you're pathetic.\If you were more vigilant, you wouldn't have creeps coming after you. response:	-Uh, yes, you're right. -We've just received some breaking news.
context: Mm-hmm.\Do you remember their face?\I never got a good look.\Did you file a report?\There wasn't that much in it.\Geez, you're pathetic.\If you were more vigilant, you wouldn't have creeps coming after you.\-Uh, yes, you're right. -We've just received some breaking news. response:	Following Chairman Washu Tsuneyoshi's decision,
context: Do you remember their face?\I never got a good look.\Did you file a report?\There wasn't that much in it.\Geez, you're pathetic.\If you were more vigilant, you wouldn't have creeps coming after you.\-Uh, yes, you're right. -We've just received some breaking news.\Following Chairman Washu Tsuneyoshi's decision, response:	11th 20th Ward's investigator personnel to be increased
context: I never got a good look.\Did you file a report?\There wasn't that much in it.\Geez, you're pathetic.\If you were more vigilant, you wouldn't have creeps coming after you.\-Uh, yes, you're right. -We've just received some breaking news.\Following Chairman Washu Tsuneyoshi's decision,\11th 20th Ward's investigator personnel to be increased response:	CCG has increased investigator numbers in the 11th and 20th Wards.
context: Did you file a report?\There wasn't that much in it.\Geez, you're pathetic.\If you were more vigilant, you wouldn't have creeps coming after you.\-Uh, yes, you're right. -We've just received some breaking news.\Following Chairman Washu Tsuneyoshi's decision,\11th 20th Ward's investigator personnel to be increased\CCG has increased investigator numbers in the 11th and 20th Wards. response:	-Hmm, is the 20th Ward really that unruly? -This is in an effort to clamp down on ghoul activity,
context: There wasn't that much in it.\Geez, you're pathetic.\If you were more vigilant, you wouldn't have creeps coming after you.\-Uh, yes, you're right. -We've just received some breaking news.\Following Chairman Washu Tsuneyoshi's decision,\11th 20th Ward's investigator personnel to be increased\CCG has increased investigator numbers in the 11th and 20th Wards.\-Hmm, is the 20th Ward really that unruly? -This is in an effort to clamp down on ghoul activity, response:	-Hmm, is the 20th Ward really that unruly? -which has been on the rise, beginning with the 11th Ward...
context: Geez, you're pathetic.\If you were more vigilant, you wouldn't have creeps coming after you.\-Uh, yes, you're right. -We've just received some breaking news.\Following Chairman Washu Tsuneyoshi's decision,\11th 20th Ward's investigator personnel to be increased\CCG has increased investigator numbers in the 11th and 20th Wards.\-Hmm, is the 20th Ward really that unruly? -This is in an effort to clamp down on ghoul activity,\-Hmm, is the 20th Ward really that unruly? -which has been on the rise, beginning with the 11th Ward... response:	-Beats me. -which has been on the rise, beginning with the 11th Ward...
context: If you were more vigilant, you wouldn't have creeps coming after you.\-Uh, yes, you're right. -We've just received some breaking news.\Following Chairman Washu Tsuneyoshi's decision,\11th 20th Ward's investigator personnel to be increased\CCG has increased investigator numbers in the 11th and 20th Wards.\-Hmm, is the 20th Ward really that unruly? -This is in an effort to clamp down on ghoul activity,\-Hmm, is the 20th Ward really that unruly? -which has been on the rise, beginning with the 11th Ward...\-Beats me. -which has been on the rise, beginning with the 11th Ward... response:	-I wonder if the balance has shifted. -which has been on the rise, beginning with the 11th Ward...
context: -Uh, yes, you're right. -We've just received some breaking news.\Following Chairman Washu Tsuneyoshi's decision,\11th 20th Ward's investigator personnel to be increased\CCG has increased investigator numbers in the 11th and 20th Wards.\-Hmm, is the 20th Ward really that unruly? -This is in an effort to clamp down on ghoul activity,\-Hmm, is the 20th Ward really that unruly? -which has been on the rise, beginning with the 11th Ward...\-Beats me. -which has been on the rise, beginning with the 11th Ward...\-I wonder if the balance has shifted. -which has been on the rise, beginning with the 11th Ward... response:	Huh?
context: Following Chairman Washu Tsuneyoshi's decision,\11th 20th Ward's investigator personnel to be increased\CCG has increased investigator numbers in the 11th and 20th Wards.\-Hmm, is the 20th Ward really that unruly? -This is in an effort to clamp down on ghoul activity,\-Hmm, is the 20th Ward really that unruly? -which has been on the rise, beginning with the 11th Ward...\-Beats me. -which has been on the rise, beginning with the 11th Ward...\-I wonder if the balance has shifted. -which has been on the rise, beginning with the 11th Ward...\Huh? response:	Hmm? Oh, I thought that there was some kind of ghoul organization
context: 11th 20th Ward's investigator personnel to be increased\CCG has increased investigator numbers in the 11th and 20th Wards.\-Hmm, is the 20th Ward really that unruly? -This is in an effort to clamp down on ghoul activity,\-Hmm, is the 20th Ward really that unruly? -which has been on the rise, beginning with the 11th Ward...\-Beats me. -which has been on the rise, beginning with the 11th Ward...\-I wonder if the balance has shifted. -which has been on the rise, beginning with the 11th Ward...\Huh?\Hmm? Oh, I thought that there was some kind of ghoul organization response:	here in the 20th Ward.
context: CCG has increased investigator numbers in the 11th and 20th Wards.\-Hmm, is the 20th Ward really that unruly? -This is in an effort to clamp down on ghoul activity,\-Hmm, is the 20th Ward really that unruly? -which has been on the rise, beginning with the 11th Ward...\-Beats me. -which has been on the rise, beginning with the 11th Ward...\-I wonder if the balance has shifted. -which has been on the rise, beginning with the 11th Ward...\Huh?\Hmm? Oh, I thought that there was some kind of ghoul organization\here in the 20th Ward. response:	W-Why do you think that?
context: -Hmm, is the 20th Ward really that unruly? -This is in an effort to clamp down on ghoul activity,\-Hmm, is the 20th Ward really that unruly? -which has been on the rise, beginning with the 11th Ward...\-Beats me. -which has been on the rise, beginning with the 11th Ward...\-I wonder if the balance has shifted. -which has been on the rise, beginning with the 11th Ward...\Huh?\Hmm? Oh, I thought that there was some kind of ghoul organization\here in the 20th Ward.\W-Why do you think that? response:	Compared to the other wards, there are remarkably fewer predatory cases here.
context: -Hmm, is the 20th Ward really that unruly? -which has been on the rise, beginning with the 11th Ward...\-Beats me. -which has been on the rise, beginning with the 11th Ward...\-I wonder if the balance has shifted. -which has been on the rise, beginning with the 11th Ward...\Huh?\Hmm? Oh, I thought that there was some kind of ghoul organization\here in the 20th Ward.\W-Why do you think that?\Compared to the other wards, there are remarkably fewer predatory cases here. response:	I thought it was because the 20th Ward ghouls were collaborating.
context: -Beats me. -which has been on the rise, beginning with the 11th Ward...\-I wonder if the balance has shifted. -which has been on the rise, beginning with the 11th Ward...\Huh?\Hmm? Oh, I thought that there was some kind of ghoul organization\here in the 20th Ward.\W-Why do you think that?\Compared to the other wards, there are remarkably fewer predatory cases here.\I thought it was because the 20th Ward ghouls were collaborating. response:	Oh, mm-hmm...
context: -I wonder if the balance has shifted. -which has been on the rise, beginning with the 11th Ward...\Huh?\Hmm? Oh, I thought that there was some kind of ghoul organization\here in the 20th Ward.\W-Why do you think that?\Compared to the other wards, there are remarkably fewer predatory cases here.\I thought it was because the 20th Ward ghouls were collaborating.\Oh, mm-hmm... response:	The binge eaters and the gourmets also went missing
context: Huh?\Hmm? Oh, I thought that there was some kind of ghoul organization\here in the 20th Ward.\W-Why do you think that?\Compared to the other wards, there are remarkably fewer predatory cases here.\I thought it was because the 20th Ward ghouls were collaborating.\Oh, mm-hmm...\The binge eaters and the gourmets also went missing response:	when they started getting more active with their predation.
context: Hmm? Oh, I thought that there was some kind of ghoul organization\here in the 20th Ward.\W-Why do you think that?\Compared to the other wards, there are remarkably fewer predatory cases here.\I thought it was because the 20th Ward ghouls were collaborating.\Oh, mm-hmm...\The binge eaters and the gourmets also went missing\when they started getting more active with their predation. response:	Which means it's conceivable that this ghoul organization
context: here in the 20th Ward.\W-Why do you think that?\Compared to the other wards, there are remarkably fewer predatory cases here.\I thought it was because the 20th Ward ghouls were collaborating.\Oh, mm-hmm...\The binge eaters and the gourmets also went missing\when they started getting more active with their predation.\Which means it's conceivable that this ghoul organization response:	cleaned house against the groups that would be on CCG's blacklist.
context: W-Why do you think that?\Compared to the other wards, there are remarkably fewer predatory cases here.\I thought it was because the 20th Ward ghouls were collaborating.\Oh, mm-hmm...\The binge eaters and the gourmets also went missing\when they started getting more active with their predation.\Which means it's conceivable that this ghoul organization\cleaned house against the groups that would be on CCG's blacklist. response:	Hmm? Hey, Kaneki, you look a little pale.
context: Compared to the other wards, there are remarkably fewer predatory cases here.\I thought it was because the 20th Ward ghouls were collaborating.\Oh, mm-hmm...\The binge eaters and the gourmets also went missing\when they started getting more active with their predation.\Which means it's conceivable that this ghoul organization\cleaned house against the groups that would be on CCG's blacklist.\Hmm? Hey, Kaneki, you look a little pale. response:	O-Oh, sorry. I'm all right.
context: I thought it was because the 20th Ward ghouls were collaborating.\Oh, mm-hmm...\The binge eaters and the gourmets also went missing\when they started getting more active with their predation.\Which means it's conceivable that this ghoul organization\cleaned house against the groups that would be on CCG's blacklist.\Hmm? Hey, Kaneki, you look a little pale.\O-Oh, sorry. I'm all right. response:	Hide, you um, sure are interested in ghouls, huh?
context: Oh, mm-hmm...\The binge eaters and the gourmets also went missing\when they started getting more active with their predation.\Which means it's conceivable that this ghoul organization\cleaned house against the groups that would be on CCG's blacklist.\Hmm? Hey, Kaneki, you look a little pale.\O-Oh, sorry. I'm all right.\Hide, you um, sure are interested in ghouls, huh? response:	Yeah.
context: The binge eaters and the gourmets also went missing\when they started getting more active with their predation.\Which means it's conceivable that this ghoul organization\cleaned house against the groups that would be on CCG's blacklist.\Hmm? Hey, Kaneki, you look a little pale.\O-Oh, sorry. I'm all right.\Hide, you um, sure are interested in ghouls, huh?\Yeah. response:	The thing is...
context: when they started getting more active with their predation.\Which means it's conceivable that this ghoul organization\cleaned house against the groups that would be on CCG's blacklist.\Hmm? Hey, Kaneki, you look a little pale.\O-Oh, sorry. I'm all right.\Hide, you um, sure are interested in ghouls, huh?\Yeah.\The thing is... response:	Ogura Hisashi's Ghouls Dissected
context: Which means it's conceivable that this ghoul organization\cleaned house against the groups that would be on CCG's blacklist.\Hmm? Hey, Kaneki, you look a little pale.\O-Oh, sorry. I'm all right.\Hide, you um, sure are interested in ghouls, huh?\Yeah.\The thing is...\Ogura Hisashi's Ghouls Dissected response:	This book is super fascinating!
context: cleaned house against the groups that would be on CCG's blacklist.\Hmm? Hey, Kaneki, you look a little pale.\O-Oh, sorry. I'm all right.\Hide, you um, sure are interested in ghouls, huh?\Yeah.\The thing is...\Ogura Hisashi's Ghouls Dissected\This book is super fascinating! response:	Huh?
context: Hmm? Hey, Kaneki, you look a little pale.\O-Oh, sorry. I'm all right.\Hide, you um, sure are interested in ghouls, huh?\Yeah.\The thing is...\Ogura Hisashi's Ghouls Dissected\This book is super fascinating!\Huh? response:	It tells of a gang of ghouls in the 3rd Ward that wear clown masks,
context: O-Oh, sorry. I'm all right.\Hide, you um, sure are interested in ghouls, huh?\Yeah.\The thing is...\Ogura Hisashi's Ghouls Dissected\This book is super fascinating!\Huh?\It tells of a gang of ghouls in the 3rd Ward that wear clown masks, response:	and of how Matsubara, the ghoul from Wakayama came to Tokyo,
context: Hide, you um, sure are interested in ghouls, huh?\Yeah.\The thing is...\Ogura Hisashi's Ghouls Dissected\This book is super fascinating!\Huh?\It tells of a gang of ghouls in the 3rd Ward that wear clown masks,\and of how Matsubara, the ghoul from Wakayama came to Tokyo, response:	and about how ghouls' hair grows and stuff!
context: Yeah.\The thing is...\Ogura Hisashi's Ghouls Dissected\This book is super fascinating!\Huh?\It tells of a gang of ghouls in the 3rd Ward that wear clown masks,\and of how Matsubara, the ghoul from Wakayama came to Tokyo,\and about how ghouls' hair grows and stuff! response:	Kaneki, I'll see you later.
context: The thing is...\Ogura Hisashi's Ghouls Dissected\This book is super fascinating!\Huh?\It tells of a gang of ghouls in the 3rd Ward that wear clown masks,\and of how Matsubara, the ghoul from Wakayama came to Tokyo,\and about how ghouls' hair grows and stuff!\Kaneki, I'll see you later. response:	Mr. Amon, the reinforcements from the head office are waiting for you.
context: Ogura Hisashi's Ghouls Dissected\This book is super fascinating!\Huh?\It tells of a gang of ghouls in the 3rd Ward that wear clown masks,\and of how Matsubara, the ghoul from Wakayama came to Tokyo,\and about how ghouls' hair grows and stuff!\Kaneki, I'll see you later.\Mr. Amon, the reinforcements from the head office are waiting for you. response:	Understood. I'll be right there.
context: This book is super fascinating!\Huh?\It tells of a gang of ghouls in the 3rd Ward that wear clown masks,\and of how Matsubara, the ghoul from Wakayama came to Tokyo,\and about how ghouls' hair grows and stuff!\Kaneki, I'll see you later.\Mr. Amon, the reinforcements from the head office are waiting for you.\Understood. I'll be right there. response:	I wonder who they're going to assign.
context: Huh?\It tells of a gang of ghouls in the 3rd Ward that wear clown masks,\and of how Matsubara, the ghoul from Wakayama came to Tokyo,\and about how ghouls' hair grows and stuff!\Kaneki, I'll see you later.\Mr. Amon, the reinforcements from the head office are waiting for you.\Understood. I'll be right there.\I wonder who they're going to assign. response:	There wouldn't be any openings among the veteran force.
context: It tells of a gang of ghouls in the 3rd Ward that wear clown masks,\and of how Matsubara, the ghoul from Wakayama came to Tokyo,\and about how ghouls' hair grows and stuff!\Kaneki, I'll see you later.\Mr. Amon, the reinforcements from the head office are waiting for you.\Understood. I'll be right there.\I wonder who they're going to assign.\There wouldn't be any openings among the veteran force. response:	Yo!
context: and of how Matsubara, the ghoul from Wakayama came to Tokyo,\and about how ghouls' hair grows and stuff!\Kaneki, I'll see you later.\Mr. Amon, the reinforcements from the head office are waiting for you.\Understood. I'll be right there.\I wonder who they're going to assign.\There wouldn't be any openings among the veteran force.\Yo! response:	Mr. Shinohara! Don't tell me you're coming to the 20th Ward.
context: and about how ghouls' hair grows and stuff!\Kaneki, I'll see you later.\Mr. Amon, the reinforcements from the head office are waiting for you.\Understood. I'll be right there.\I wonder who they're going to assign.\There wouldn't be any openings among the veteran force.\Yo!\Mr. Shinohara! Don't tell me you're coming to the 20th Ward. response:	No, I'm on something else. These two are going to the 20th Ward.
context: Kaneki, I'll see you later.\Mr. Amon, the reinforcements from the head office are waiting for you.\Understood. I'll be right there.\I wonder who they're going to assign.\There wouldn't be any openings among the veteran force.\Yo!\Mr. Shinohara! Don't tell me you're coming to the 20th Ward.\No, I'm on something else. These two are going to the 20th Ward. response:	Mr. Hoji!
context: Mr. Amon, the reinforcements from the head office are waiting for you.\Understood. I'll be right there.\I wonder who they're going to assign.\There wouldn't be any openings among the veteran force.\Yo!\Mr. Shinohara! Don't tell me you're coming to the 20th Ward.\No, I'm on something else. These two are going to the 20th Ward.\Mr. Hoji! response:	Kotaro, long time no see.
context: Understood. I'll be right there.\I wonder who they're going to assign.\There wouldn't be any openings among the veteran force.\Yo!\Mr. Shinohara! Don't tell me you're coming to the 20th Ward.\No, I'm on something else. These two are going to the 20th Ward.\Mr. Hoji!\Kotaro, long time no see. response:	It's been too long!
context: I wonder who they're going to assign.\There wouldn't be any openings among the veteran force.\Yo!\Mr. Shinohara! Don't tell me you're coming to the 20th Ward.\No, I'm on something else. These two are going to the 20th Ward.\Mr. Hoji!\Kotaro, long time no see.\It's been too long! response:	M-Mr. Amon!
context: There wouldn't be any openings among the veteran force.\Yo!\Mr. Shinohara! Don't tell me you're coming to the 20th Ward.\No, I'm on something else. These two are going to the 20th Ward.\Mr. Hoji!\Kotaro, long time no see.\It's been too long!\M-Mr. Amon! response:	P-Pleased to meet you!
context: Yo!\Mr. Shinohara! Don't tell me you're coming to the 20th Ward.\No, I'm on something else. These two are going to the 20th Ward.\Mr. Hoji!\Kotaro, long time no see.\It's been too long!\M-Mr. Amon!\P-Pleased to meet you! response:	Investigator 2nd Grade Takizawa Seido, Head Office Control Division One!
context: Mr. Shinohara! Don't tell me you're coming to the 20th Ward.\No, I'm on something else. These two are going to the 20th Ward.\Mr. Hoji!\Kotaro, long time no see.\It's been too long!\M-Mr. Amon!\P-Pleased to meet you!\Investigator 2nd Grade Takizawa Seido, Head Office Control Division One! response:	He apparently is a fan of yours. He's been quite anxious.
context: No, I'm on something else. These two are going to the 20th Ward.\Mr. Hoji!\Kotaro, long time no see.\It's been too long!\M-Mr. Amon!\P-Pleased to meet you!\Investigator 2nd Grade Takizawa Seido, Head Office Control Division One!\He apparently is a fan of yours. He's been quite anxious. response:	A-Assistant Special Investigator Hoji! That is to say, I mean...
context: Mr. Hoji!\Kotaro, long time no see.\It's been too long!\M-Mr. Amon!\P-Pleased to meet you!\Investigator 2nd Grade Takizawa Seido, Head Office Control Division One!\He apparently is a fan of yours. He's been quite anxious.\A-Assistant Special Investigator Hoji! That is to say, I mean... response:	Nice to meet you, Investigator Takizawa.
context: Kotaro, long time no see.\It's been too long!\M-Mr. Amon!\P-Pleased to meet you!\Investigator 2nd Grade Takizawa Seido, Head Office Control Division One!\He apparently is a fan of yours. He's been quite anxious.\A-Assistant Special Investigator Hoji! That is to say, I mean...\Nice to meet you, Investigator Takizawa. response:	I-I am delighted to meet you!
context: It's been too long!\M-Mr. Amon!\P-Pleased to meet you!\Investigator 2nd Grade Takizawa Seido, Head Office Control Division One!\He apparently is a fan of yours. He's been quite anxious.\A-Assistant Special Investigator Hoji! That is to say, I mean...\Nice to meet you, Investigator Takizawa.\I-I am delighted to meet you! response:	Amon,
context: M-Mr. Amon!\P-Pleased to meet you!\Investigator 2nd Grade Takizawa Seido, Head Office Control Division One!\He apparently is a fan of yours. He's been quite anxious.\A-Assistant Special Investigator Hoji! That is to say, I mean...\Nice to meet you, Investigator Takizawa.\I-I am delighted to meet you!\Amon, response:	these two are going to be overseeing the 20th Ward for a bit.
context: P-Pleased to meet you!\Investigator 2nd Grade Takizawa Seido, Head Office Control Division One!\He apparently is a fan of yours. He's been quite anxious.\A-Assistant Special Investigator Hoji! That is to say, I mean...\Nice to meet you, Investigator Takizawa.\I-I am delighted to meet you!\Amon,\these two are going to be overseeing the 20th Ward for a bit. response:	Huh?
context: Investigator 2nd Grade Takizawa Seido, Head Office Control Division One!\He apparently is a fan of yours. He's been quite anxious.\A-Assistant Special Investigator Hoji! That is to say, I mean...\Nice to meet you, Investigator Takizawa.\I-I am delighted to meet you!\Amon,\these two are going to be overseeing the 20th Ward for a bit.\Huh? response:	You're being assigned to a special task force.
context: He apparently is a fan of yours. He's been quite anxious.\A-Assistant Special Investigator Hoji! That is to say, I mean...\Nice to meet you, Investigator Takizawa.\I-I am delighted to meet you!\Amon,\these two are going to be overseeing the 20th Ward for a bit.\Huh?\You're being assigned to a special task force. response:	Special task force, you say?
context: A-Assistant Special Investigator Hoji! That is to say, I mean...\Nice to meet you, Investigator Takizawa.\I-I am delighted to meet you!\Amon,\these two are going to be overseeing the 20th Ward for a bit.\Huh?\You're being assigned to a special task force.\Special task force, you say? response:	Mm-hmm. Marude told me.
context: Nice to meet you, Investigator Takizawa.\I-I am delighted to meet you!\Amon,\these two are going to be overseeing the 20th Ward for a bit.\Huh?\You're being assigned to a special task force.\Special task force, you say?\Mm-hmm. Marude told me. response:	The 11th Ward, together with me.
context: I-I am delighted to meet you!\Amon,\these two are going to be overseeing the 20th Ward for a bit.\Huh?\You're being assigned to a special task force.\Special task force, you say?\Mm-hmm. Marude told me.\The 11th Ward, together with me. response:	The 11th Ward...
context: Amon,\these two are going to be overseeing the 20th Ward for a bit.\Huh?\You're being assigned to a special task force.\Special task force, you say?\Mm-hmm. Marude told me.\The 11th Ward, together with me.\The 11th Ward... response:	Oh, yeah. Things have gotten that bad in the 11th Ward, huh?
context: these two are going to be overseeing the 20th Ward for a bit.\Huh?\You're being assigned to a special task force.\Special task force, you say?\Mm-hmm. Marude told me.\The 11th Ward, together with me.\The 11th Ward...\Oh, yeah. Things have gotten that bad in the 11th Ward, huh? response:	Mm-hmm. From what Yomo said, the ghouls are working together
context: Huh?\You're being assigned to a special task force.\Special task force, you say?\Mm-hmm. Marude told me.\The 11th Ward, together with me.\The 11th Ward...\Oh, yeah. Things have gotten that bad in the 11th Ward, huh?\Mm-hmm. From what Yomo said, the ghouls are working together response:	to hunt down the investigators. It sounds like it's a real mess.
context: You're being assigned to a special task force.\Special task force, you say?\Mm-hmm. Marude told me.\The 11th Ward, together with me.\The 11th Ward...\Oh, yeah. Things have gotten that bad in the 11th Ward, huh?\Mm-hmm. From what Yomo said, the ghouls are working together\to hunt down the investigators. It sounds like it's a real mess. response:	Oh, yeah?
context: Special task force, you say?\Mm-hmm. Marude told me.\The 11th Ward, together with me.\The 11th Ward...\Oh, yeah. Things have gotten that bad in the 11th Ward, huh?\Mm-hmm. From what Yomo said, the ghouls are working together\to hunt down the investigators. It sounds like it's a real mess.\Oh, yeah? response:	The way things are headed, there could be big trouble.
context: Mm-hmm. Marude told me.\The 11th Ward, together with me.\The 11th Ward...\Oh, yeah. Things have gotten that bad in the 11th Ward, huh?\Mm-hmm. From what Yomo said, the ghouls are working together\to hunt down the investigators. It sounds like it's a real mess.\Oh, yeah?\The way things are headed, there could be big trouble. response:	What sort of big trouble?
context: The 11th Ward, together with me.\The 11th Ward...\Oh, yeah. Things have gotten that bad in the 11th Ward, huh?\Mm-hmm. From what Yomo said, the ghouls are working together\to hunt down the investigators. It sounds like it's a real mess.\Oh, yeah?\The way things are headed, there could be big trouble.\What sort of big trouble? response:	A war, maybe.
context: The 11th Ward...\Oh, yeah. Things have gotten that bad in the 11th Ward, huh?\Mm-hmm. From what Yomo said, the ghouls are working together\to hunt down the investigators. It sounds like it's a real mess.\Oh, yeah?\The way things are headed, there could be big trouble.\What sort of big trouble?\A war, maybe. response:	The day may be coming when I get called the Devil Ape again.
context: Oh, yeah. Things have gotten that bad in the 11th Ward, huh?\Mm-hmm. From what Yomo said, the ghouls are working together\to hunt down the investigators. It sounds like it's a real mess.\Oh, yeah?\The way things are headed, there could be big trouble.\What sort of big trouble?\A war, maybe.\The day may be coming when I get called the Devil Ape again. response:	Speaking of which, where is Touka?
context: Mm-hmm. From what Yomo said, the ghouls are working together\to hunt down the investigators. It sounds like it's a real mess.\Oh, yeah?\The way things are headed, there could be big trouble.\What sort of big trouble?\A war, maybe.\The day may be coming when I get called the Devil Ape again.\Speaking of which, where is Touka? response:	She might be in with Hetare.
context: to hunt down the investigators. It sounds like it's a real mess.\Oh, yeah?\The way things are headed, there could be big trouble.\What sort of big trouble?\A war, maybe.\The day may be coming when I get called the Devil Ape again.\Speaking of which, where is Touka?\She might be in with Hetare. response:	I thought she couldn't handle being around birds.
context: Oh, yeah?\The way things are headed, there could be big trouble.\What sort of big trouble?\A war, maybe.\The day may be coming when I get called the Devil Ape again.\Speaking of which, where is Touka?\She might be in with Hetare.\I thought she couldn't handle being around birds. response:	That's supposedly true. I'll go have a quick look.
context: The way things are headed, there could be big trouble.\What sort of big trouble?\A war, maybe.\The day may be coming when I get called the Devil Ape again.\Speaking of which, where is Touka?\She might be in with Hetare.\I thought she couldn't handle being around birds.\That's supposedly true. I'll go have a quick look. response:	He had a family, too.
context: What sort of big trouble?\A war, maybe.\The day may be coming when I get called the Devil Ape again.\Speaking of which, where is Touka?\She might be in with Hetare.\I thought she couldn't handle being around birds.\That's supposedly true. I'll go have a quick look.\He had a family, too. response:	Touka?
context: A war, maybe.\The day may be coming when I get called the Devil Ape again.\Speaking of which, where is Touka?\She might be in with Hetare.\I thought she couldn't handle being around birds.\That's supposedly true. I'll go have a quick look.\He had a family, too.\Touka? response:	I wonder where this guy's family is.
context: The day may be coming when I get called the Devil Ape again.\Speaking of which, where is Touka?\She might be in with Hetare.\I thought she couldn't handle being around birds.\That's supposedly true. I'll go have a quick look.\He had a family, too.\Touka?\I wonder where this guy's family is. response:	Eh?
context: Speaking of which, where is Touka?\She might be in with Hetare.\I thought she couldn't handle being around birds.\That's supposedly true. I'll go have a quick look.\He had a family, too.\Touka?\I wonder where this guy's family is.\Eh? response:	Everyone at least has a family, right?
context: She might be in with Hetare.\I thought she couldn't handle being around birds.\That's supposedly true. I'll go have a quick look.\He had a family, too.\Touka?\I wonder where this guy's family is.\Eh?\Everyone at least has a family, right? response:	Ayato!
context: I thought she couldn't handle being around birds.\That's supposedly true. I'll go have a quick look.\He had a family, too.\Touka?\I wonder where this guy's family is.\Eh?\Everyone at least has a family, right?\Ayato! response:	What is it, sis?
context: That's supposedly true. I'll go have a quick look.\He had a family, too.\Touka?\I wonder where this guy's family is.\Eh?\Everyone at least has a family, right?\Ayato!\What is it, sis? response:	Poor little guy. He's hurt, huh?
context: He had a family, too.\Touka?\I wonder where this guy's family is.\Eh?\Everyone at least has a family, right?\Ayato!\What is it, sis?\Poor little guy. He's hurt, huh? response:	Dad...
context: Touka?\I wonder where this guy's family is.\Eh?\Everyone at least has a family, right?\Ayato!\What is it, sis?\Poor little guy. He's hurt, huh?\Dad... response:	How about we look after him at home?
context: I wonder where this guy's family is.\Eh?\Everyone at least has a family, right?\Ayato!\What is it, sis?\Poor little guy. He's hurt, huh?\Dad...\How about we look after him at home? response:	Uh-huh!
context: Eh?\Everyone at least has a family, right?\Ayato!\What is it, sis?\Poor little guy. He's hurt, huh?\Dad...\How about we look after him at home?\Uh-huh! response:	Ah, I found a worm!
