context: The Rising of the Shield Hero response:	In the Midst of Turmoil
context: We'll have the daily special, and she'll have a large kids' meal.\Got it.\Itsuki-sama...\We've received a Guild request to overthrow a town lord to the north.\What will we do?\From the Guild?\Yes.\From looking into it, response:	it seems that lord is heavily taxing citizens beyond the court's set limits,
context: Got it.\Itsuki-sama...\We've received a Guild request to overthrow a town lord to the north.\What will we do?\From the Guild?\Yes.\From looking into it,\it seems that lord is heavily taxing citizens beyond the court's set limits, response:	using that revenue to hire mercenaries, and suppressing dissent.
context: Itsuki-sama...\We've received a Guild request to overthrow a town lord to the north.\What will we do?\From the Guild?\Yes.\From looking into it,\it seems that lord is heavily taxing citizens beyond the court's set limits,\using that revenue to hire mercenaries, and suppressing dissent. response:	Heavy taxes?
context: We've received a Guild request to overthrow a town lord to the north.\What will we do?\From the Guild?\Yes.\From looking into it,\it seems that lord is heavily taxing citizens beyond the court's set limits,\using that revenue to hire mercenaries, and suppressing dissent.\Heavy taxes? response:	Do they mean that town from earlier?
context: What will we do?\From the Guild?\Yes.\From looking into it,\it seems that lord is heavily taxing citizens beyond the court's set limits,\using that revenue to hire mercenaries, and suppressing dissent.\Heavy taxes?\Do they mean that town from earlier? response:	Here's your food.
context: From the Guild?\Yes.\From looking into it,\it seems that lord is heavily taxing citizens beyond the court's set limits,\using that revenue to hire mercenaries, and suppressing dissent.\Heavy taxes?\Do they mean that town from earlier?\Here's your food. response:	That looks yummy!
context: Yes.\From looking into it,\it seems that lord is heavily taxing citizens beyond the court's set limits,\using that revenue to hire mercenaries, and suppressing dissent.\Heavy taxes?\Do they mean that town from earlier?\Here's your food.\That looks yummy! response:	Time to dig in!
context: From looking into it,\it seems that lord is heavily taxing citizens beyond the court's set limits,\using that revenue to hire mercenaries, and suppressing dissent.\Heavy taxes?\Do they mean that town from earlier?\Here's your food.\That looks yummy!\Time to dig in! response:	Chew before you swallow, now.
context: it seems that lord is heavily taxing citizens beyond the court's set limits,\using that revenue to hire mercenaries, and suppressing dissent.\Heavy taxes?\Do they mean that town from earlier?\Here's your food.\That looks yummy!\Time to dig in!\Chew before you swallow, now. response:	Is that so?
context: using that revenue to hire mercenaries, and suppressing dissent.\Heavy taxes?\Do they mean that town from earlier?\Here's your food.\That looks yummy!\Time to dig in!\Chew before you swallow, now.\Is that so? response:	Someone needs to be taught that with great power comes great responsibility.
context: Heavy taxes?\Do they mean that town from earlier?\Here's your food.\That looks yummy!\Time to dig in!\Chew before you swallow, now.\Is that so?\Someone needs to be taught that with great power comes great responsibility. response:	Master, that's gross!
context: Do they mean that town from earlier?\Here's your food.\That looks yummy!\Time to dig in!\Chew before you swallow, now.\Is that so?\Someone needs to be taught that with great power comes great responsibility.\Master, that's gross! response:	Sorry.
context: Here's your food.\That looks yummy!\Time to dig in!\Chew before you swallow, now.\Is that so?\Someone needs to be taught that with great power comes great responsibility.\Master, that's gross!\Sorry. response:	What's so funny?
context: That looks yummy!\Time to dig in!\Chew before you swallow, now.\Is that so?\Someone needs to be taught that with great power comes great responsibility.\Master, that's gross!\Sorry.\What's so funny? response:	Oh, I just didn't know you'd been bitten by a spider.
context: Time to dig in!\Chew before you swallow, now.\Is that so?\Someone needs to be taught that with great power comes great responsibility.\Master, that's gross!\Sorry.\What's so funny?\Oh, I just didn't know you'd been bitten by a spider. response:	Bitten by a spider?
context: Chew before you swallow, now.\Is that so?\Someone needs to be taught that with great power comes great responsibility.\Master, that's gross!\Sorry.\What's so funny?\Oh, I just didn't know you'd been bitten by a spider.\Bitten by a spider? response:	It's nothing. Don't worry about it.
context: Is that so?\Someone needs to be taught that with great power comes great responsibility.\Master, that's gross!\Sorry.\What's so funny?\Oh, I just didn't know you'd been bitten by a spider.\Bitten by a spider?\It's nothing. Don't worry about it. response:	It's you, isn't it?
context: Someone needs to be taught that with great power comes great responsibility.\Master, that's gross!\Sorry.\What's so funny?\Oh, I just didn't know you'd been bitten by a spider.\Bitten by a spider?\It's nothing. Don't worry about it.\It's you, isn't it? response:	You're the one impersonating us, then stealing our jobs and rewards.
context: Master, that's gross!\Sorry.\What's so funny?\Oh, I just didn't know you'd been bitten by a spider.\Bitten by a spider?\It's nothing. Don't worry about it.\It's you, isn't it?\You're the one impersonating us, then stealing our jobs and rewards. response:	Why would you think it's me?
context: Sorry.\What's so funny?\Oh, I just didn't know you'd been bitten by a spider.\Bitten by a spider?\It's nothing. Don't worry about it.\It's you, isn't it?\You're the one impersonating us, then stealing our jobs and rewards.\Why would you think it's me? response:	Because who else would
context: What's so funny?\Oh, I just didn't know you'd been bitten by a spider.\Bitten by a spider?\It's nothing. Don't worry about it.\It's you, isn't it?\You're the one impersonating us, then stealing our jobs and rewards.\Why would you think it's me?\Because who else would response:	Ever considered that it may be because you're trying to be a cool, secret vigilante?
context: Oh, I just didn't know you'd been bitten by a spider.\Bitten by a spider?\It's nothing. Don't worry about it.\It's you, isn't it?\You're the one impersonating us, then stealing our jobs and rewards.\Why would you think it's me?\Because who else would\Ever considered that it may be because you're trying to be a cool, secret vigilante? response:	What do you mean?
context: Bitten by a spider?\It's nothing. Don't worry about it.\It's you, isn't it?\You're the one impersonating us, then stealing our jobs and rewards.\Why would you think it's me?\Because who else would\Ever considered that it may be because you're trying to be a cool, secret vigilante?\What do you mean? response:	Were you the adventurer who helped the resistance in the north?
context: It's nothing. Don't worry about it.\It's you, isn't it?\You're the one impersonating us, then stealing our jobs and rewards.\Why would you think it's me?\Because who else would\Ever considered that it may be because you're trying to be a cool, secret vigilante?\What do you mean?\Were you the adventurer who helped the resistance in the north? response:	Yes.
context: It's you, isn't it?\You're the one impersonating us, then stealing our jobs and rewards.\Why would you think it's me?\Because who else would\Ever considered that it may be because you're trying to be a cool, secret vigilante?\What do you mean?\Were you the adventurer who helped the resistance in the north?\Yes. response:	Do you know what happened to that country after the king was ousted?
context: You're the one impersonating us, then stealing our jobs and rewards.\Why would you think it's me?\Because who else would\Ever considered that it may be because you're trying to be a cool, secret vigilante?\What do you mean?\Were you the adventurer who helped the resistance in the north?\Yes.\Do you know what happened to that country after the king was ousted? response:	Is this everyone from your village?
context: Why would you think it's me?\Because who else would\Ever considered that it may be because you're trying to be a cool, secret vigilante?\What do you mean?\Were you the adventurer who helped the resistance in the north?\Yes.\Do you know what happened to that country after the king was ousted?\Is this everyone from your village? response:	Yes.
context: Because who else would\Ever considered that it may be because you're trying to be a cool, secret vigilante?\What do you mean?\Were you the adventurer who helped the resistance in the north?\Yes.\Do you know what happened to that country after the king was ousted?\Is this everyone from your village?\Yes. response:	Everyone else died.
context: Ever considered that it may be because you're trying to be a cool, secret vigilante?\What do you mean?\Were you the adventurer who helped the resistance in the north?\Yes.\Do you know what happened to that country after the king was ousted?\Is this everyone from your village?\Yes.\Everyone else died. response:	After the revolution, our lives did get a lot better.
context: What do you mean?\Were you the adventurer who helped the resistance in the north?\Yes.\Do you know what happened to that country after the king was ousted?\Is this everyone from your village?\Yes.\Everyone else died.\After the revolution, our lives did get a lot better. response:	But not for long.
context: Were you the adventurer who helped the resistance in the north?\Yes.\Do you know what happened to that country after the king was ousted?\Is this everyone from your village?\Yes.\Everyone else died.\After the revolution, our lives did get a lot better.\But not for long. response:	Then the resistance started hiking up the taxes.
context: Yes.\Do you know what happened to that country after the king was ousted?\Is this everyone from your village?\Yes.\Everyone else died.\After the revolution, our lives did get a lot better.\But not for long.\Then the resistance started hiking up the taxes. response:	But why?
context: Do you know what happened to that country after the king was ousted?\Is this everyone from your village?\Yes.\Everyone else died.\After the revolution, our lives did get a lot better.\But not for long.\Then the resistance started hiking up the taxes.\But why? response:	I don't know too much about it,
context: Is this everyone from your village?\Yes.\Everyone else died.\After the revolution, our lives did get a lot better.\But not for long.\Then the resistance started hiking up the taxes.\But why?\I don't know too much about it, response:	but apparently it takes a lot of money to run a country.
context: Yes.\Everyone else died.\After the revolution, our lives did get a lot better.\But not for long.\Then the resistance started hiking up the taxes.\But why?\I don't know too much about it,\but apparently it takes a lot of money to run a country. response:	Looking back, maybe the previous king was thinking the same thing.
context: Everyone else died.\After the revolution, our lives did get a lot better.\But not for long.\Then the resistance started hiking up the taxes.\But why?\I don't know too much about it,\but apparently it takes a lot of money to run a country.\Looking back, maybe the previous king was thinking the same thing. response:	All you did was switch up who was running the place.
context: After the revolution, our lives did get a lot better.\But not for long.\Then the resistance started hiking up the taxes.\But why?\I don't know too much about it,\but apparently it takes a lot of money to run a country.\Looking back, maybe the previous king was thinking the same thing.\All you did was switch up who was running the place. response:	It didn't solve anything.
context: But not for long.\Then the resistance started hiking up the taxes.\But why?\I don't know too much about it,\but apparently it takes a lot of money to run a country.\Looking back, maybe the previous king was thinking the same thing.\All you did was switch up who was running the place.\It didn't solve anything. response:	Don't change the subject!
context: Then the resistance started hiking up the taxes.\But why?\I don't know too much about it,\but apparently it takes a lot of money to run a country.\Looking back, maybe the previous king was thinking the same thing.\All you did was switch up who was running the place.\It didn't solve anything.\Don't change the subject! response:	We're talking about impersonating
context: But why?\I don't know too much about it,\but apparently it takes a lot of money to run a country.\Looking back, maybe the previous king was thinking the same thing.\All you did was switch up who was running the place.\It didn't solve anything.\Don't change the subject!\We're talking about impersonating response:	How do you explain my case?
context: I don't know too much about it,\but apparently it takes a lot of money to run a country.\Looking back, maybe the previous king was thinking the same thing.\All you did was switch up who was running the place.\It didn't solve anything.\Don't change the subject!\We're talking about impersonating\How do you explain my case? response:	Was it about some disease?
context: but apparently it takes a lot of money to run a country.\Looking back, maybe the previous king was thinking the same thing.\All you did was switch up who was running the place.\It didn't solve anything.\Don't change the subject!\We're talking about impersonating\How do you explain my case?\Was it about some disease? response:	If you know, that makes things easier.
context: Looking back, maybe the previous king was thinking the same thing.\All you did was switch up who was running the place.\It didn't solve anything.\Don't change the subject!\We're talking about impersonating\How do you explain my case?\Was it about some disease?\If you know, that makes things easier. response:	Why'd you steal that job?
context: All you did was switch up who was running the place.\It didn't solve anything.\Don't change the subject!\We're talking about impersonating\How do you explain my case?\Was it about some disease?\If you know, that makes things easier.\Why'd you steal that job? response:	Did you know that the corpse of that dragon you killed caused an epidemic?
context: It didn't solve anything.\Don't change the subject!\We're talking about impersonating\How do you explain my case?\Was it about some disease?\If you know, that makes things easier.\Why'd you steal that job?\Did you know that the corpse of that dragon you killed caused an epidemic? response:	I got rid of that corpse.
context: Don't change the subject!\We're talking about impersonating\How do you explain my case?\Was it about some disease?\If you know, that makes things easier.\Why'd you steal that job?\Did you know that the corpse of that dragon you killed caused an epidemic?\I got rid of that corpse. response:	That's why the job request was canceled.
context: We're talking about impersonating\How do you explain my case?\Was it about some disease?\If you know, that makes things easier.\Why'd you steal that job?\Did you know that the corpse of that dragon you killed caused an epidemic?\I got rid of that corpse.\That's why the job request was canceled. response:	No way...
context: How do you explain my case?\Was it about some disease?\If you know, that makes things easier.\Why'd you steal that job?\Did you know that the corpse of that dragon you killed caused an epidemic?\I got rid of that corpse.\That's why the job request was canceled.\No way... response:	If you think I'm lying, go to that eastern village and see for yourself.
context: Was it about some disease?\If you know, that makes things easier.\Why'd you steal that job?\Did you know that the corpse of that dragon you killed caused an epidemic?\I got rid of that corpse.\That's why the job request was canceled.\No way...\If you think I'm lying, go to that eastern village and see for yourself. response:	Do you have any idea how many people died because of you two?!
context: If you know, that makes things easier.\Why'd you steal that job?\Did you know that the corpse of that dragon you killed caused an epidemic?\I got rid of that corpse.\That's why the job request was canceled.\No way...\If you think I'm lying, go to that eastern village and see for yourself.\Do you have any idea how many people died because of you two?! response:	B-Because of me?
context: Why'd you steal that job?\Did you know that the corpse of that dragon you killed caused an epidemic?\I got rid of that corpse.\That's why the job request was canceled.\No way...\If you think I'm lying, go to that eastern village and see for yourself.\Do you have any idea how many people died because of you two?!\B-Because of me? response:	Naofumi-sama...
context: Did you know that the corpse of that dragon you killed caused an epidemic?\I got rid of that corpse.\That's why the job request was canceled.\No way...\If you think I'm lying, go to that eastern village and see for yourself.\Do you have any idea how many people died because of you two?!\B-Because of me?\Naofumi-sama... response:	I see. I'm sorry.
context: I got rid of that corpse.\That's why the job request was canceled.\No way...\If you think I'm lying, go to that eastern village and see for yourself.\Do you have any idea how many people died because of you two?!\B-Because of me?\Naofumi-sama...\I see. I'm sorry. response:	You believe him?
context: That's why the job request was canceled.\No way...\If you think I'm lying, go to that eastern village and see for yourself.\Do you have any idea how many people died because of you two?!\B-Because of me?\Naofumi-sama...\I see. I'm sorry.\You believe him? response:	He has no reason to lie.
context: No way...\If you think I'm lying, go to that eastern village and see for yourself.\Do you have any idea how many people died because of you two?!\B-Because of me?\Naofumi-sama...\I see. I'm sorry.\You believe him?\He has no reason to lie. response:	Don't cause any more problems.
context: If you think I'm lying, go to that eastern village and see for yourself.\Do you have any idea how many people died because of you two?!\B-Because of me?\Naofumi-sama...\I see. I'm sorry.\You believe him?\He has no reason to lie.\Don't cause any more problems. response:	I don't believe you, okay?
context: Do you have any idea how many people died because of you two?!\B-Because of me?\Naofumi-sama...\I see. I'm sorry.\You believe him?\He has no reason to lie.\Don't cause any more problems.\I don't believe you, okay? response:	I embedded that dragon zombie core in your chest plate
context: B-Because of me?\Naofumi-sama...\I see. I'm sorry.\You believe him?\He has no reason to lie.\Don't cause any more problems.\I don't believe you, okay?\I embedded that dragon zombie core in your chest plate response:	and also gave it an auto-repair function. It's one of my best works.
context: Naofumi-sama...\I see. I'm sorry.\You believe him?\He has no reason to lie.\Don't cause any more problems.\I don't believe you, okay?\I embedded that dragon zombie core in your chest plate\and also gave it an auto-repair function. It's one of my best works. response:	Like it?
context: I see. I'm sorry.\You believe him?\He has no reason to lie.\Don't cause any more problems.\I don't believe you, okay?\I embedded that dragon zombie core in your chest plate\and also gave it an auto-repair function. It's one of my best works.\Like it? response:	Boss...
context: You believe him?\He has no reason to lie.\Don't cause any more problems.\I don't believe you, okay?\I embedded that dragon zombie core in your chest plate\and also gave it an auto-repair function. It's one of my best works.\Like it?\Boss... response:	Just how badly do you want to make me look like a bandit chief?
context: He has no reason to lie.\Don't cause any more problems.\I don't believe you, okay?\I embedded that dragon zombie core in your chest plate\and also gave it an auto-repair function. It's one of my best works.\Like it?\Boss...\Just how badly do you want to make me look like a bandit chief? response:	You look cool, Master!
context: Don't cause any more problems.\I don't believe you, okay?\I embedded that dragon zombie core in your chest plate\and also gave it an auto-repair function. It's one of my best works.\Like it?\Boss...\Just how badly do you want to make me look like a bandit chief?\You look cool, Master! response:	That suits you very well!
context: I don't believe you, okay?\I embedded that dragon zombie core in your chest plate\and also gave it an auto-repair function. It's one of my best works.\Like it?\Boss...\Just how badly do you want to make me look like a bandit chief?\You look cool, Master!\That suits you very well! response:	Pardon us.
context: I embedded that dragon zombie core in your chest plate\and also gave it an auto-repair function. It's one of my best works.\Like it?\Boss...\Just how badly do you want to make me look like a bandit chief?\You look cool, Master!\That suits you very well!\Pardon us. response:	Oh, thank goodness you're here.
context: and also gave it an auto-repair function. It's one of my best works.\Like it?\Boss...\Just how badly do you want to make me look like a bandit chief?\You look cool, Master!\That suits you very well!\Pardon us.\Oh, thank goodness you're here. response:	We ran around and somehow scraped up 150 silver pieces.
context: Like it?\Boss...\Just how badly do you want to make me look like a bandit chief?\You look cool, Master!\That suits you very well!\Pardon us.\Oh, thank goodness you're here.\We ran around and somehow scraped up 150 silver pieces. response:	Use that money to get yourselves better equipment.
context: Boss...\Just how badly do you want to make me look like a bandit chief?\You look cool, Master!\That suits you very well!\Pardon us.\Oh, thank goodness you're here.\We ran around and somehow scraped up 150 silver pieces.\Use that money to get yourselves better equipment. response:	You mean you'll accept us?
context: Just how badly do you want to make me look like a bandit chief?\You look cool, Master!\That suits you very well!\Pardon us.\Oh, thank goodness you're here.\We ran around and somehow scraped up 150 silver pieces.\Use that money to get yourselves better equipment.\You mean you'll accept us? response:	I can't have you guys dropping like flies.
context: You look cool, Master!\That suits you very well!\Pardon us.\Oh, thank goodness you're here.\We ran around and somehow scraped up 150 silver pieces.\Use that money to get yourselves better equipment.\You mean you'll accept us?\I can't have you guys dropping like flies. response:	Thank you so much!
context: That suits you very well!\Pardon us.\Oh, thank goodness you're here.\We ran around and somehow scraped up 150 silver pieces.\Use that money to get yourselves better equipment.\You mean you'll accept us?\I can't have you guys dropping like flies.\Thank you so much! response:	Don't get the wrong idea.
context: Pardon us.\Oh, thank goodness you're here.\We ran around and somehow scraped up 150 silver pieces.\Use that money to get yourselves better equipment.\You mean you'll accept us?\I can't have you guys dropping like flies.\Thank you so much!\Don't get the wrong idea. response:	The moment you try to exploit or set me up,
context: Oh, thank goodness you're here.\We ran around and somehow scraped up 150 silver pieces.\Use that money to get yourselves better equipment.\You mean you'll accept us?\I can't have you guys dropping like flies.\Thank you so much!\Don't get the wrong idea.\The moment you try to exploit or set me up, response:	you'll have hell to pay.
context: We ran around and somehow scraped up 150 silver pieces.\Use that money to get yourselves better equipment.\You mean you'll accept us?\I can't have you guys dropping like flies.\Thank you so much!\Don't get the wrong idea.\The moment you try to exploit or set me up,\you'll have hell to pay. response:	Of course!
context: Use that money to get yourselves better equipment.\You mean you'll accept us?\I can't have you guys dropping like flies.\Thank you so much!\Don't get the wrong idea.\The moment you try to exploit or set me up,\you'll have hell to pay.\Of course! response:	Thanks for us having us!
context: You mean you'll accept us?\I can't have you guys dropping like flies.\Thank you so much!\Don't get the wrong idea.\The moment you try to exploit or set me up,\you'll have hell to pay.\Of course!\Thanks for us having us! response:	We have lots more friends now!
context: I can't have you guys dropping like flies.\Thank you so much!\Don't get the wrong idea.\The moment you try to exploit or set me up,\you'll have hell to pay.\Of course!\Thanks for us having us!\We have lots more friends now! response:	There are less than 24 hours until the Wave.
context: Thank you so much!\Don't get the wrong idea.\The moment you try to exploit or set me up,\you'll have hell to pay.\Of course!\Thanks for us having us!\We have lots more friends now!\There are less than 24 hours until the Wave. response:	Let's have a strategy meeting.
context: Don't get the wrong idea.\The moment you try to exploit or set me up,\you'll have hell to pay.\Of course!\Thanks for us having us!\We have lots more friends now!\There are less than 24 hours until the Wave.\Let's have a strategy meeting. response:	Yes, sir!
context: The moment you try to exploit or set me up,\you'll have hell to pay.\Of course!\Thanks for us having us!\We have lots more friends now!\There are less than 24 hours until the Wave.\Let's have a strategy meeting.\Yes, sir! response:	'Kay!
context: you'll have hell to pay.\Of course!\Thanks for us having us!\We have lots more friends now!\There are less than 24 hours until the Wave.\Let's have a strategy meeting.\Yes, sir!\'Kay! response:	Not again, kid!
context: Of course!\Thanks for us having us!\We have lots more friends now!\There are less than 24 hours until the Wave.\Let's have a strategy meeting.\Yes, sir!\'Kay!\Not again, kid! response:	My shop isn't your meeting room!
context: Thanks for us having us!\We have lots more friends now!\There are less than 24 hours until the Wave.\Let's have a strategy meeting.\Yes, sir!\'Kay!\Not again, kid!\My shop isn't your meeting room! response:	Melty-sama appears to have made contact with the Shield Hero's party.
context: We have lots more friends now!\There are less than 24 hours until the Wave.\Let's have a strategy meeting.\Yes, sir!\'Kay!\Not again, kid!\My shop isn't your meeting room!\Melty-sama appears to have made contact with the Shield Hero's party. response:	If the Shield Hero is the kind of man I hear he is,
context: There are less than 24 hours until the Wave.\Let's have a strategy meeting.\Yes, sir!\'Kay!\Not again, kid!\My shop isn't your meeting room!\Melty-sama appears to have made contact with the Shield Hero's party.\If the Shield Hero is the kind of man I hear he is, response:	reconciliation will take quite some time.
context: Let's have a strategy meeting.\Yes, sir!\'Kay!\Not again, kid!\My shop isn't your meeting room!\Melty-sama appears to have made contact with the Shield Hero's party.\If the Shield Hero is the kind of man I hear he is,\reconciliation will take quite some time. response:	I feel bad for putting Melty through this,
context: Yes, sir!\'Kay!\Not again, kid!\My shop isn't your meeting room!\Melty-sama appears to have made contact with the Shield Hero's party.\If the Shield Hero is the kind of man I hear he is,\reconciliation will take quite some time.\I feel bad for putting Melty through this, response:	but this, too, is her duty as the future ruler.
context: 'Kay!\Not again, kid!\My shop isn't your meeting room!\Melty-sama appears to have made contact with the Shield Hero's party.\If the Shield Hero is the kind of man I hear he is,\reconciliation will take quite some time.\I feel bad for putting Melty through this,\but this, too, is her duty as the future ruler. response:	Your Majesty?
context: Not again, kid!\My shop isn't your meeting room!\Melty-sama appears to have made contact with the Shield Hero's party.\If the Shield Hero is the kind of man I hear he is,\reconciliation will take quite some time.\I feel bad for putting Melty through this,\but this, too, is her duty as the future ruler.\Your Majesty? response:	Continue to keep an eye on them.
context: My shop isn't your meeting room!\Melty-sama appears to have made contact with the Shield Hero's party.\If the Shield Hero is the kind of man I hear he is,\reconciliation will take quite some time.\I feel bad for putting Melty through this,\but this, too, is her duty as the future ruler.\Your Majesty?\Continue to keep an eye on them. response:	As you wish.
context: Melty-sama appears to have made contact with the Shield Hero's party.\If the Shield Hero is the kind of man I hear he is,\reconciliation will take quite some time.\I feel bad for putting Melty through this,\but this, too, is her duty as the future ruler.\Your Majesty?\Continue to keep an eye on them.\As you wish. response:	The next Wave is coming.
context: If the Shield Hero is the kind of man I hear he is,\reconciliation will take quite some time.\I feel bad for putting Melty through this,\but this, too, is her duty as the future ruler.\Your Majesty?\Continue to keep an eye on them.\As you wish.\The next Wave is coming. response:	Will the heroes be able to overcome it?
context: reconciliation will take quite some time.\I feel bad for putting Melty through this,\but this, too, is her duty as the future ruler.\Your Majesty?\Continue to keep an eye on them.\As you wish.\The next Wave is coming.\Will the heroes be able to overcome it? response:	Catastrophe Returns
