context: I understand it in my head, but why can't I move? response:	I say I have no reason to win, but why is it so painful when I lose?
context: Hey, Takahashi's kid. You've gotten big!\How's your old man and granddad?\They're both well, sir. They were playing shogi and fighting over it again last night.\So they wanted me to ask Kiriyama 5th-Dan a question.\The NHK Cup?\Which part? I was watching it, too.\Oh, it's right here.\Black, 4-b-Dragon Horse. response:	What? What are you doing, Kiriyama?!
context: How's your old man and granddad?\They're both well, sir. They were playing shogi and fighting over it again last night.\So they wanted me to ask Kiriyama 5th-Dan a question.\The NHK Cup?\Which part? I was watching it, too.\Oh, it's right here.\Black, 4-b-Dragon Horse.\What? What are you doing, Kiriyama?! response:	I don't know if he went in for the kill or to be killed!
context: They're both well, sir. They were playing shogi and fighting over it again last night.\So they wanted me to ask Kiriyama 5th-Dan a question.\The NHK Cup?\Which part? I was watching it, too.\Oh, it's right here.\Black, 4-b-Dragon Horse.\What? What are you doing, Kiriyama?!\I don't know if he went in for the kill or to be killed! response:	Nikaidou 4th-Dan? Nikaidou 4th-Dan?
context: So they wanted me to ask Kiriyama 5th-Dan a question.\The NHK Cup?\Which part? I was watching it, too.\Oh, it's right here.\Black, 4-b-Dragon Horse.\What? What are you doing, Kiriyama?!\I don't know if he went in for the kill or to be killed!\Nikaidou 4th-Dan? Nikaidou 4th-Dan? response:	Now that's some passionate commentary!
context: The NHK Cup?\Which part? I was watching it, too.\Oh, it's right here.\Black, 4-b-Dragon Horse.\What? What are you doing, Kiriyama?!\I don't know if he went in for the kill or to be killed!\Nikaidou 4th-Dan? Nikaidou 4th-Dan?\Now that's some passionate commentary! response:	My dad and grandpa said they didn't think that was the losing move.
context: Which part? I was watching it, too.\Oh, it's right here.\Black, 4-b-Dragon Horse.\What? What are you doing, Kiriyama?!\I don't know if he went in for the kill or to be killed!\Nikaidou 4th-Dan? Nikaidou 4th-Dan?\Now that's some passionate commentary!\My dad and grandpa said they didn't think that was the losing move. response:	They wondered what Nikaidou 4th-Dan was going on about.
context: Oh, it's right here.\Black, 4-b-Dragon Horse.\What? What are you doing, Kiriyama?!\I don't know if he went in for the kill or to be killed!\Nikaidou 4th-Dan? Nikaidou 4th-Dan?\Now that's some passionate commentary!\My dad and grandpa said they didn't think that was the losing move.\They wondered what Nikaidou 4th-Dan was going on about. response:	Same, King, Black. 5-e-Gold General.
context: Black, 4-b-Dragon Horse.\What? What are you doing, Kiriyama?!\I don't know if he went in for the kill or to be killed!\Nikaidou 4th-Dan? Nikaidou 4th-Dan?\Now that's some passionate commentary!\My dad and grandpa said they didn't think that was the losing move.\They wondered what Nikaidou 4th-Dan was going on about.\Same, King, Black. 5-e-Gold General. response:	No, he's right. That was the losing move.
context: What? What are you doing, Kiriyama?!\I don't know if he went in for the kill or to be killed!\Nikaidou 4th-Dan? Nikaidou 4th-Dan?\Now that's some passionate commentary!\My dad and grandpa said they didn't think that was the losing move.\They wondered what Nikaidou 4th-Dan was going on about.\Same, King, Black. 5-e-Gold General.\No, he's right. That was the losing move. response:	Seems like he lost
context: I don't know if he went in for the kill or to be killed!\Nikaidou 4th-Dan? Nikaidou 4th-Dan?\Now that's some passionate commentary!\My dad and grandpa said they didn't think that was the losing move.\They wondered what Nikaidou 4th-Dan was going on about.\Same, King, Black. 5-e-Gold General.\No, he's right. That was the losing move.\Seems like he lost response:	Dad and Grandpa didn't think the move was that bad.
context: Nikaidou 4th-Dan? Nikaidou 4th-Dan?\Now that's some passionate commentary!\My dad and grandpa said they didn't think that was the losing move.\They wondered what Nikaidou 4th-Dan was going on about.\Same, King, Black. 5-e-Gold General.\No, he's right. That was the losing move.\Seems like he lost\Dad and Grandpa didn't think the move was that bad. response:	In fact, they said it felt like an aggressive move with manly spirit.
context: Now that's some passionate commentary!\My dad and grandpa said they didn't think that was the losing move.\They wondered what Nikaidou 4th-Dan was going on about.\Same, King, Black. 5-e-Gold General.\No, he's right. That was the losing move.\Seems like he lost\Dad and Grandpa didn't think the move was that bad.\In fact, they said it felt like an aggressive move with manly spirit. response:	After my opponent surrounded me, he waited for me to make a mistake, and didn't attack.
context: My dad and grandpa said they didn't think that was the losing move.\They wondered what Nikaidou 4th-Dan was going on about.\Same, King, Black. 5-e-Gold General.\No, he's right. That was the losing move.\Seems like he lost\Dad and Grandpa didn't think the move was that bad.\In fact, they said it felt like an aggressive move with manly spirit.\After my opponent surrounded me, he waited for me to make a mistake, and didn't attack. response:	So I thought, All right, let's see if this is a mistake or not.
context: They wondered what Nikaidou 4th-Dan was going on about.\Same, King, Black. 5-e-Gold General.\No, he's right. That was the losing move.\Seems like he lost\Dad and Grandpa didn't think the move was that bad.\In fact, they said it felt like an aggressive move with manly spirit.\After my opponent surrounded me, he waited for me to make a mistake, and didn't attack.\So I thought, All right, let's see if this is a mistake or not. response:	Don't try to act cool, Kiriyama!
context: Same, King, Black. 5-e-Gold General.\No, he's right. That was the losing move.\Seems like he lost\Dad and Grandpa didn't think the move was that bad.\In fact, they said it felt like an aggressive move with manly spirit.\After my opponent surrounded me, he waited for me to make a mistake, and didn't attack.\So I thought, All right, let's see if this is a mistake or not.\Don't try to act cool, Kiriyama! response:	NHK Cup Tournament
context: No, he's right. That was the losing move.\Seems like he lost\Dad and Grandpa didn't think the move was that bad.\In fact, they said it felt like an aggressive move with manly spirit.\After my opponent surrounded me, he waited for me to make a mistake, and didn't attack.\So I thought, All right, let's see if this is a mistake or not.\Don't try to act cool, Kiriyama!\NHK Cup Tournament response:	If you really want to win, then persevere! Don't just attack, you have to defend!
context: Seems like he lost\Dad and Grandpa didn't think the move was that bad.\In fact, they said it felt like an aggressive move with manly spirit.\After my opponent surrounded me, he waited for me to make a mistake, and didn't attack.\So I thought, All right, let's see if this is a mistake or not.\Don't try to act cool, Kiriyama!\NHK Cup Tournament\If you really want to win, then persevere! Don't just attack, you have to defend! response:	You've been acting a little weird lately!
context: Dad and Grandpa didn't think the move was that bad.\In fact, they said it felt like an aggressive move with manly spirit.\After my opponent surrounded me, he waited for me to make a mistake, and didn't attack.\So I thought, All right, let's see if this is a mistake or not.\Don't try to act cool, Kiriyama!\NHK Cup Tournament\If you really want to win, then persevere! Don't just attack, you have to defend!\You've been acting a little weird lately! response:	Mr. Nikaidou, we can't see the board!
context: In fact, they said it felt like an aggressive move with manly spirit.\After my opponent surrounded me, he waited for me to make a mistake, and didn't attack.\So I thought, All right, let's see if this is a mistake or not.\Don't try to act cool, Kiriyama!\NHK Cup Tournament\If you really want to win, then persevere! Don't just attack, you have to defend!\You've been acting a little weird lately!\Mr. Nikaidou, we can't see the board! response:	You used to be more careful and single-minded back in the 3rd Dan league!
context: After my opponent surrounded me, he waited for me to make a mistake, and didn't attack.\So I thought, All right, let's see if this is a mistake or not.\Don't try to act cool, Kiriyama!\NHK Cup Tournament\If you really want to win, then persevere! Don't just attack, you have to defend!\You've been acting a little weird lately!\Mr. Nikaidou, we can't see the board!\You used to be more careful and single-minded back in the 3rd Dan league! response:	Bravery and recklessness are similar but different!
context: So I thought, All right, let's see if this is a mistake or not.\Don't try to act cool, Kiriyama!\NHK Cup Tournament\If you really want to win, then persevere! Don't just attack, you have to defend!\You've been acting a little weird lately!\Mr. Nikaidou, we can't see the board!\You used to be more careful and single-minded back in the 3rd Dan league!\Bravery and recklessness are similar but different! response:	Kiriyama, can you hear me?
context: Don't try to act cool, Kiriyama!\NHK Cup Tournament\If you really want to win, then persevere! Don't just attack, you have to defend!\You've been acting a little weird lately!\Mr. Nikaidou, we can't see the board!\You used to be more careful and single-minded back in the 3rd Dan league!\Bravery and recklessness are similar but different!\Kiriyama, can you hear me? response:	Nikaidou 4th-Dan, you're too close to the camera!
context: NHK Cup Tournament\If you really want to win, then persevere! Don't just attack, you have to defend!\You've been acting a little weird lately!\Mr. Nikaidou, we can't see the board!\You used to be more careful and single-minded back in the 3rd Dan league!\Bravery and recklessness are similar but different!\Kiriyama, can you hear me?\Nikaidou 4th-Dan, you're too close to the camera! response:	Take better care of your shogi, and yourself, Kiriyama!
context: If you really want to win, then persevere! Don't just attack, you have to defend!\You've been acting a little weird lately!\Mr. Nikaidou, we can't see the board!\You used to be more careful and single-minded back in the 3rd Dan league!\Bravery and recklessness are similar but different!\Kiriyama, can you hear me?\Nikaidou 4th-Dan, you're too close to the camera!\Take better care of your shogi, and yourself, Kiriyama! response:	You're way too close! Nikaidou 4th-Dan, they're playing on the 4th floor.
context: You've been acting a little weird lately!\Mr. Nikaidou, we can't see the board!\You used to be more careful and single-minded back in the 3rd Dan league!\Bravery and recklessness are similar but different!\Kiriyama, can you hear me?\Nikaidou 4th-Dan, you're too close to the camera!\Take better care of your shogi, and yourself, Kiriyama!\You're way too close! Nikaidou 4th-Dan, they're playing on the 4th floor. response:	He can't hear you! Please calm down!
context: Mr. Nikaidou, we can't see the board!\You used to be more careful and single-minded back in the 3rd Dan league!\Bravery and recklessness are similar but different!\Kiriyama, can you hear me?\Nikaidou 4th-Dan, you're too close to the camera!\Take better care of your shogi, and yourself, Kiriyama!\You're way too close! Nikaidou 4th-Dan, they're playing on the 4th floor.\He can't hear you! Please calm down! response:	You heard him, kid.
context: You used to be more careful and single-minded back in the 3rd Dan league!\Bravery and recklessness are similar but different!\Kiriyama, can you hear me?\Nikaidou 4th-Dan, you're too close to the camera!\Take better care of your shogi, and yourself, Kiriyama!\You're way too close! Nikaidou 4th-Dan, they're playing on the 4th floor.\He can't hear you! Please calm down!\You heard him, kid. response:	You got yourself a good friend there.
context: Bravery and recklessness are similar but different!\Kiriyama, can you hear me?\Nikaidou 4th-Dan, you're too close to the camera!\Take better care of your shogi, and yourself, Kiriyama!\You're way too close! Nikaidou 4th-Dan, they're playing on the 4th floor.\He can't hear you! Please calm down!\You heard him, kid.\You got yourself a good friend there. response:	I'm a little envious.
context: Kiriyama, can you hear me?\Nikaidou 4th-Dan, you're too close to the camera!\Take better care of your shogi, and yourself, Kiriyama!\You're way too close! Nikaidou 4th-Dan, they're playing on the 4th floor.\He can't hear you! Please calm down!\You heard him, kid.\You got yourself a good friend there.\I'm a little envious. response:	I'm saying this as your best friend!
context: Nikaidou 4th-Dan, you're too close to the camera!\Take better care of your shogi, and yourself, Kiriyama!\You're way too close! Nikaidou 4th-Dan, they're playing on the 4th floor.\He can't hear you! Please calm down!\You heard him, kid.\You got yourself a good friend there.\I'm a little envious.\I'm saying this as your best friend! response:	Your best friend, he says!
context: Take better care of your shogi, and yourself, Kiriyama!\You're way too close! Nikaidou 4th-Dan, they're playing on the 4th floor.\He can't hear you! Please calm down!\You heard him, kid.\You got yourself a good friend there.\I'm a little envious.\I'm saying this as your best friend!\Your best friend, he says! response:	Ah, youth! I'm jealous, dammit!
context: You're way too close! Nikaidou 4th-Dan, they're playing on the 4th floor.\He can't hear you! Please calm down!\You heard him, kid.\You got yourself a good friend there.\I'm a little envious.\I'm saying this as your best friend!\Your best friend, he says!\Ah, youth! I'm jealous, dammit! response:	Bodoro...
context: He can't hear you! Please calm down!\You heard him, kid.\You got yourself a good friend there.\I'm a little envious.\I'm saying this as your best friend!\Your best friend, he says!\Ah, youth! I'm jealous, dammit!\Bodoro... response:	Listen! I'm only going to say this once!
context: You heard him, kid.\You got yourself a good friend there.\I'm a little envious.\I'm saying this as your best friend!\Your best friend, he says!\Ah, youth! I'm jealous, dammit!\Bodoro...\Listen! I'm only going to say this once! response:	But it's kind of important.
context: You got yourself a good friend there.\I'm a little envious.\I'm saying this as your best friend!\Your best friend, he says!\Ah, youth! I'm jealous, dammit!\Bodoro...\Listen! I'm only going to say this once!\But it's kind of important. response:	Listen, Kiriyama!
context: I'm a little envious.\I'm saying this as your best friend!\Your best friend, he says!\Ah, youth! I'm jealous, dammit!\Bodoro...\Listen! I'm only going to say this once!\But it's kind of important.\Listen, Kiriyama! response:	In fact, get this on video so you can watch it over and over again!
context: I'm saying this as your best friend!\Your best friend, he says!\Ah, youth! I'm jealous, dammit!\Bodoro...\Listen! I'm only going to say this once!\But it's kind of important.\Listen, Kiriyama!\In fact, get this on video so you can watch it over and over again! response:	- Wow, that's amazing. - They're BFF's after all.
context: Your best friend, he says!\Ah, youth! I'm jealous, dammit!\Bodoro...\Listen! I'm only going to say this once!\But it's kind of important.\Listen, Kiriyama!\In fact, get this on video so you can watch it over and over again!\- Wow, that's amazing. - They're BFF's after all. response:	Take better care of yourself!
context: Ah, youth! I'm jealous, dammit!\Bodoro...\Listen! I'm only going to say this once!\But it's kind of important.\Listen, Kiriyama!\In fact, get this on video so you can watch it over and over again!\- Wow, that's amazing. - They're BFF's after all.\Take better care of yourself! response:	Because you're not doing that, is the reason why you can't progress!
context: Bodoro...\Listen! I'm only going to say this once!\But it's kind of important.\Listen, Kiriyama!\In fact, get this on video so you can watch it over and over again!\- Wow, that's amazing. - They're BFF's after all.\Take better care of yourself!\Because you're not doing that, is the reason why you can't progress! response:	Dammit! Who cares?
context: Listen! I'm only going to say this once!\But it's kind of important.\Listen, Kiriyama!\In fact, get this on video so you can watch it over and over again!\- Wow, that's amazing. - They're BFF's after all.\Take better care of yourself!\Because you're not doing that, is the reason why you can't progress!\Dammit! Who cares? response:	Who the hell do you think you are?!
context: But it's kind of important.\Listen, Kiriyama!\In fact, get this on video so you can watch it over and over again!\- Wow, that's amazing. - They're BFF's after all.\Take better care of yourself!\Because you're not doing that, is the reason why you can't progress!\Dammit! Who cares?\Who the hell do you think you are?! response:	Explode
context: Listen, Kiriyama!\In fact, get this on video so you can watch it over and over again!\- Wow, that's amazing. - They're BFF's after all.\Take better care of yourself!\Because you're not doing that, is the reason why you can't progress!\Dammit! Who cares?\Who the hell do you think you are?!\Explode response:	That really pisses me off!
context: In fact, get this on video so you can watch it over and over again!\- Wow, that's amazing. - They're BFF's after all.\Take better care of yourself!\Because you're not doing that, is the reason why you can't progress!\Dammit! Who cares?\Who the hell do you think you are?!\Explode\That really pisses me off! response:	Rei!
context: - Wow, that's amazing. - They're BFF's after all.\Take better care of yourself!\Because you're not doing that, is the reason why you can't progress!\Dammit! Who cares?\Who the hell do you think you are?!\Explode\That really pisses me off!\Rei! response:	The kid's angry!
context: Take better care of yourself!\Because you're not doing that, is the reason why you can't progress!\Dammit! Who cares?\Who the hell do you think you are?!\Explode\That really pisses me off!\Rei!\The kid's angry! response:	In the first place, what he's saying is crazy!
context: Because you're not doing that, is the reason why you can't progress!\Dammit! Who cares?\Who the hell do you think you are?!\Explode\That really pisses me off!\Rei!\The kid's angry!\In the first place, what he's saying is crazy! response:	I'm only going to say this once!
context: Dammit! Who cares?\Who the hell do you think you are?!\Explode\That really pisses me off!\Rei!\The kid's angry!\In the first place, what he's saying is crazy!\I'm only going to say this once! response:	I'm only going to say this once! So record it and watch it over and over again!
context: Who the hell do you think you are?!\Explode\That really pisses me off!\Rei!\The kid's angry!\In the first place, what he's saying is crazy!\I'm only going to say this once!\I'm only going to say this once! So record it and watch it over and over again! response:	So record it and watch it over and over again!
context: Explode\That really pisses me off!\Rei!\The kid's angry!\In the first place, what he's saying is crazy!\I'm only going to say this once!\I'm only going to say this once! So record it and watch it over and over again!\So record it and watch it over and over again! response:	I don't understand it at all!
context: That really pisses me off!\Rei!\The kid's angry!\In the first place, what he's saying is crazy!\I'm only going to say this once!\I'm only going to say this once! So record it and watch it over and over again!\So record it and watch it over and over again!\I don't understand it at all! response:	Good point! But I think Mr. Nikaidou's feelings for you as his best friend are genuine!
context: Rei!\The kid's angry!\In the first place, what he's saying is crazy!\I'm only going to say this once!\I'm only going to say this once! So record it and watch it over and over again!\So record it and watch it over and over again!\I don't understand it at all!\Good point! But I think Mr. Nikaidou's feelings for you as his best friend are genuine! response:	Wheee-ooo, you guys are sweet and sour!
context: The kid's angry!\In the first place, what he's saying is crazy!\I'm only going to say this once!\I'm only going to say this once! So record it and watch it over and over again!\So record it and watch it over and over again!\I don't understand it at all!\Good point! But I think Mr. Nikaidou's feelings for you as his best friend are genuine!\Wheee-ooo, you guys are sweet and sour! response:	There's hope for this generation yet!
context: In the first place, what he's saying is crazy!\I'm only going to say this once!\I'm only going to say this once! So record it and watch it over and over again!\So record it and watch it over and over again!\I don't understand it at all!\Good point! But I think Mr. Nikaidou's feelings for you as his best friend are genuine!\Wheee-ooo, you guys are sweet and sour!\There's hope for this generation yet! response:	Haaa
context: I'm only going to say this once!\I'm only going to say this once! So record it and watch it over and over again!\So record it and watch it over and over again!\I don't understand it at all!\Good point! But I think Mr. Nikaidou's feelings for you as his best friend are genuine!\Wheee-ooo, you guys are sweet and sour!\There's hope for this generation yet!\Haaa response:	Lucky!
context: I'm only going to say this once! So record it and watch it over and over again!\So record it and watch it over and over again!\I don't understand it at all!\Good point! But I think Mr. Nikaidou's feelings for you as his best friend are genuine!\Wheee-ooo, you guys are sweet and sour!\There's hope for this generation yet!\Haaa\Lucky! response:	Lucky? What is?
context: So record it and watch it over and over again!\I don't understand it at all!\Good point! But I think Mr. Nikaidou's feelings for you as his best friend are genuine!\Wheee-ooo, you guys are sweet and sour!\There's hope for this generation yet!\Haaa\Lucky!\Lucky? What is? response:	This is the first time I've heard you raise your voice, Rei!
context: I don't understand it at all!\Good point! But I think Mr. Nikaidou's feelings for you as his best friend are genuine!\Wheee-ooo, you guys are sweet and sour!\There's hope for this generation yet!\Haaa\Lucky!\Lucky? What is?\This is the first time I've heard you raise your voice, Rei! response:	Her words...
context: Good point! But I think Mr. Nikaidou's feelings for you as his best friend are genuine!\Wheee-ooo, you guys are sweet and sour!\There's hope for this generation yet!\Haaa\Lucky!\Lucky? What is?\This is the first time I've heard you raise your voice, Rei!\Her words... response:	This is kind of fun.
context: Wheee-ooo, you guys are sweet and sour!\There's hope for this generation yet!\Haaa\Lucky!\Lucky? What is?\This is the first time I've heard you raise your voice, Rei!\Her words...\This is kind of fun. response:	After all, nobody had ever said that to me before.
context: There's hope for this generation yet!\Haaa\Lucky!\Lucky? What is?\This is the first time I've heard you raise your voice, Rei!\Her words...\This is kind of fun.\After all, nobody had ever said that to me before. response:	Hey, Rei. Would you please teach me how to play shogi?
context: Haaa\Lucky!\Lucky? What is?\This is the first time I've heard you raise your voice, Rei!\Her words...\This is kind of fun.\After all, nobody had ever said that to me before.\Hey, Rei. Would you please teach me how to play shogi? response:	Important Things. Important Matters.
context: Lucky!\Lucky? What is?\This is the first time I've heard you raise your voice, Rei!\Her words...\This is kind of fun.\After all, nobody had ever said that to me before.\Hey, Rei. Would you please teach me how to play shogi?\Important Things. Important Matters. response:	Teach Me How to Play Shogi
context: Lucky? What is?\This is the first time I've heard you raise your voice, Rei!\Her words...\This is kind of fun.\After all, nobody had ever said that to me before.\Hey, Rei. Would you please teach me how to play shogi?\Important Things. Important Matters.\Teach Me How to Play Shogi response:	Would you teach me how to play shogi?
context: This is the first time I've heard you raise your voice, Rei!\Her words...\This is kind of fun.\After all, nobody had ever said that to me before.\Hey, Rei. Would you please teach me how to play shogi?\Important Things. Important Matters.\Teach Me How to Play Shogi\Would you teach me how to play shogi? response:	I had no idea.
context: Her words...\This is kind of fun.\After all, nobody had ever said that to me before.\Hey, Rei. Would you please teach me how to play shogi?\Important Things. Important Matters.\Teach Me How to Play Shogi\Would you teach me how to play shogi?\I had no idea. response:	If someone had interest in a world I was in,
context: This is kind of fun.\After all, nobody had ever said that to me before.\Hey, Rei. Would you please teach me how to play shogi?\Important Things. Important Matters.\Teach Me How to Play Shogi\Would you teach me how to play shogi?\I had no idea.\If someone had interest in a world I was in, response:	I didn't know it would make my stomach feel fluffy, and happy.
context: After all, nobody had ever said that to me before.\Hey, Rei. Would you please teach me how to play shogi?\Important Things. Important Matters.\Teach Me How to Play Shogi\Would you teach me how to play shogi?\I had no idea.\If someone had interest in a world I was in,\I didn't know it would make my stomach feel fluffy, and happy. response:	Let's see... First, what kind of board should we go with?
context: Hey, Rei. Would you please teach me how to play shogi?\Important Things. Important Matters.\Teach Me How to Play Shogi\Would you teach me how to play shogi?\I had no idea.\If someone had interest in a world I was in,\I didn't know it would make my stomach feel fluffy, and happy.\Let's see... First, what kind of board should we go with? response:	A plastic mat would probably be better than a wooden board.
context: Important Things. Important Matters.\Teach Me How to Play Shogi\Would you teach me how to play shogi?\I had no idea.\If someone had interest in a world I was in,\I didn't know it would make my stomach feel fluffy, and happy.\Let's see... First, what kind of board should we go with?\A plastic mat would probably be better than a wooden board. response:	Since it'll be used on the tea table in the living room.
context: Teach Me How to Play Shogi\Would you teach me how to play shogi?\I had no idea.\If someone had interest in a world I was in,\I didn't know it would make my stomach feel fluffy, and happy.\Let's see... First, what kind of board should we go with?\A plastic mat would probably be better than a wooden board.\Since it'll be used on the tea table in the living room. response:	And maybe we should use these plastic pieces, so they can handle it easily.
context: Would you teach me how to play shogi?\I had no idea.\If someone had interest in a world I was in,\I didn't know it would make my stomach feel fluffy, and happy.\Let's see... First, what kind of board should we go with?\A plastic mat would probably be better than a wooden board.\Since it'll be used on the tea table in the living room.\And maybe we should use these plastic pieces, so they can handle it easily. response:	Besides, Momo often spills milk.
context: I had no idea.\If someone had interest in a world I was in,\I didn't know it would make my stomach feel fluffy, and happy.\Let's see... First, what kind of board should we go with?\A plastic mat would probably be better than a wooden board.\Since it'll be used on the tea table in the living room.\And maybe we should use these plastic pieces, so they can handle it easily.\Besides, Momo often spills milk. response:	Ahhh
context: If someone had interest in a world I was in,\I didn't know it would make my stomach feel fluffy, and happy.\Let's see... First, what kind of board should we go with?\A plastic mat would probably be better than a wooden board.\Since it'll be used on the tea table in the living room.\And maybe we should use these plastic pieces, so they can handle it easily.\Besides, Momo often spills milk.\Ahhh response:	Splash
context: I didn't know it would make my stomach feel fluffy, and happy.\Let's see... First, what kind of board should we go with?\A plastic mat would probably be better than a wooden board.\Since it'll be used on the tea table in the living room.\And maybe we should use these plastic pieces, so they can handle it easily.\Besides, Momo often spills milk.\Ahhh\Splash response:	Momo's milk!
context: Let's see... First, what kind of board should we go with?\A plastic mat would probably be better than a wooden board.\Since it'll be used on the tea table in the living room.\And maybe we should use these plastic pieces, so they can handle it easily.\Besides, Momo often spills milk.\Ahhh\Splash\Momo's milk! response:	Momo's milk
context: A plastic mat would probably be better than a wooden board.\Since it'll be used on the tea table in the living room.\And maybe we should use these plastic pieces, so they can handle it easily.\Besides, Momo often spills milk.\Ahhh\Splash\Momo's milk!\Momo's milk response:	Water of life, meow!
context: Since it'll be used on the tea table in the living room.\And maybe we should use these plastic pieces, so they can handle it easily.\Besides, Momo often spills milk.\Ahhh\Splash\Momo's milk!\Momo's milk\Water of life, meow! response:	Zoom
context: And maybe we should use these plastic pieces, so they can handle it easily.\Besides, Momo often spills milk.\Ahhh\Splash\Momo's milk!\Momo's milk\Water of life, meow!\Zoom response:	The characters aren't in cursive, so it's easy to read.
context: Besides, Momo often spills milk.\Ahhh\Splash\Momo's milk!\Momo's milk\Water of life, meow!\Zoom\The characters aren't in cursive, so it's easy to read. response:	And maybe we should have an illustrated guide, so it's easier to understand.
context: Ahhh\Splash\Momo's milk!\Momo's milk\Water of life, meow!\Zoom\The characters aren't in cursive, so it's easy to read.\And maybe we should have an illustrated guide, so it's easier to understand. response:	Let's see, which one would be good?
context: Splash\Momo's milk!\Momo's milk\Water of life, meow!\Zoom\The characters aren't in cursive, so it's easy to read.\And maybe we should have an illustrated guide, so it's easier to understand.\Let's see, which one would be good? response:	I recommend Taniyama and Senzaki for beginners, since they're easy to understand.
context: Momo's milk!\Momo's milk\Water of life, meow!\Zoom\The characters aren't in cursive, so it's easy to read.\And maybe we should have an illustrated guide, so it's easier to understand.\Let's see, which one would be good?\I recommend Taniyama and Senzaki for beginners, since they're easy to understand. response:	Nikaidou?
context: Momo's milk\Water of life, meow!\Zoom\The characters aren't in cursive, so it's easy to read.\And maybe we should have an illustrated guide, so it's easier to understand.\Let's see, which one would be good?\I recommend Taniyama and Senzaki for beginners, since they're easy to understand.\Nikaidou? response:	Boing
context: Water of life, meow!\Zoom\The characters aren't in cursive, so it's easy to read.\And maybe we should have an illustrated guide, so it's easier to understand.\Let's see, which one would be good?\I recommend Taniyama and Senzaki for beginners, since they're easy to understand.\Nikaidou?\Boing response:	Shucks. They're sold out.
context: Zoom\The characters aren't in cursive, so it's easy to read.\And maybe we should have an illustrated guide, so it's easier to understand.\Let's see, which one would be good?\I recommend Taniyama and Senzaki for beginners, since they're easy to understand.\Nikaidou?\Boing\Shucks. They're sold out. response:	That's too bad.
context: The characters aren't in cursive, so it's easy to read.\And maybe we should have an illustrated guide, so it's easier to understand.\Let's see, which one would be good?\I recommend Taniyama and Senzaki for beginners, since they're easy to understand.\Nikaidou?\Boing\Shucks. They're sold out.\That's too bad. response:	Um... I'll take this.
context: And maybe we should have an illustrated guide, so it's easier to understand.\Let's see, which one would be good?\I recommend Taniyama and Senzaki for beginners, since they're easy to understand.\Nikaidou?\Boing\Shucks. They're sold out.\That's too bad.\Um... I'll take this. response:	I'm thrilled, Kiriyama!
context: Let's see, which one would be good?\I recommend Taniyama and Senzaki for beginners, since they're easy to understand.\Nikaidou?\Boing\Shucks. They're sold out.\That's too bad.\Um... I'll take this.\I'm thrilled, Kiriyama! response:	Passionate Good
context: I recommend Taniyama and Senzaki for beginners, since they're easy to understand.\Nikaidou?\Boing\Shucks. They're sold out.\That's too bad.\Um... I'll take this.\I'm thrilled, Kiriyama!\Passionate Good response:	You sense the importance of spreading the word, too!
context: Nikaidou?\Boing\Shucks. They're sold out.\That's too bad.\Um... I'll take this.\I'm thrilled, Kiriyama!\Passionate Good\You sense the importance of spreading the word, too! response:	Sparkle
context: Boing\Shucks. They're sold out.\That's too bad.\Um... I'll take this.\I'm thrilled, Kiriyama!\Passionate Good\You sense the importance of spreading the word, too!\Sparkle response:	If it's okay with you, can I help? You don't have to, but if you really wanted, I could totally help you!
context: Shucks. They're sold out.\That's too bad.\Um... I'll take this.\I'm thrilled, Kiriyama!\Passionate Good\You sense the importance of spreading the word, too!\Sparkle\If it's okay with you, can I help? You don't have to, but if you really wanted, I could totally help you! response:	Sparkle Sparkle
context: That's too bad.\Um... I'll take this.\I'm thrilled, Kiriyama!\Passionate Good\You sense the importance of spreading the word, too!\Sparkle\If it's okay with you, can I help? You don't have to, but if you really wanted, I could totally help you!\Sparkle Sparkle response:	Sparkle
context: Um... I'll take this.\I'm thrilled, Kiriyama!\Passionate Good\You sense the importance of spreading the word, too!\Sparkle\If it's okay with you, can I help? You don't have to, but if you really wanted, I could totally help you!\Sparkle Sparkle\Sparkle response:	Sparkle Sparkle
context: I'm thrilled, Kiriyama!\Passionate Good\You sense the importance of spreading the word, too!\Sparkle\If it's okay with you, can I help? You don't have to, but if you really wanted, I could totally help you!\Sparkle Sparkle\Sparkle\Sparkle Sparkle response:	So, who are you going to teach?
context: Passionate Good\You sense the importance of spreading the word, too!\Sparkle\If it's okay with you, can I help? You don't have to, but if you really wanted, I could totally help you!\Sparkle Sparkle\Sparkle\Sparkle Sparkle\So, who are you going to teach? response:	Sparkle
context: You sense the importance of spreading the word, too!\Sparkle\If it's okay with you, can I help? You don't have to, but if you really wanted, I could totally help you!\Sparkle Sparkle\Sparkle\Sparkle Sparkle\So, who are you going to teach?\Sparkle response:	Sparkle Sparkle
context: Sparkle\If it's okay with you, can I help? You don't have to, but if you really wanted, I could totally help you!\Sparkle Sparkle\Sparkle\Sparkle Sparkle\So, who are you going to teach?\Sparkle\Sparkle Sparkle response:	Sparkle
context: If it's okay with you, can I help? You don't have to, but if you really wanted, I could totally help you!\Sparkle Sparkle\Sparkle\Sparkle Sparkle\So, who are you going to teach?\Sparkle\Sparkle Sparkle\Sparkle response:	Sparkle Sparkle
context: Sparkle Sparkle\Sparkle\Sparkle Sparkle\So, who are you going to teach?\Sparkle\Sparkle Sparkle\Sparkle\Sparkle Sparkle response:	Well then!
