context: Hey, Myoga... I hope you're not deceiving me. response:	Has this Inu-whatever really mastered the Tetsusaiga?
context: You dare imply that this stupid, useless sword...\is worthy of me?!\Oh! He's angry! He's angry!\I guess I'll take my leave!\They've escaped.\Wow! You're so strong!\I'll say.\Why bother to have Inuyasha to protect you... response:	when he's weaker than Sesshomaru?
context: is worthy of me?!\Oh! He's angry! He's angry!\I guess I'll take my leave!\They've escaped.\Wow! You're so strong!\I'll say.\Why bother to have Inuyasha to protect you...\when he's weaker than Sesshomaru? response:	What did you just say?
context: Oh! He's angry! He's angry!\I guess I'll take my leave!\They've escaped.\Wow! You're so strong!\I'll say.\Why bother to have Inuyasha to protect you...\when he's weaker than Sesshomaru?\What did you just say? response:	How could Sesshomaru call his great sword useless...
context: I guess I'll take my leave!\They've escaped.\Wow! You're so strong!\I'll say.\Why bother to have Inuyasha to protect you...\when he's weaker than Sesshomaru?\What did you just say?\How could Sesshomaru call his great sword useless... response:	how could Inuyasha be so weak...
context: They've escaped.\Wow! You're so strong!\I'll say.\Why bother to have Inuyasha to protect you...\when he's weaker than Sesshomaru?\What did you just say?\How could Sesshomaru call his great sword useless...\how could Inuyasha be so weak... response:	how utterly wrong I was about them both!
context: Wow! You're so strong!\I'll say.\Why bother to have Inuyasha to protect you...\when he's weaker than Sesshomaru?\What did you just say?\How could Sesshomaru call his great sword useless...\how could Inuyasha be so weak...\how utterly wrong I was about them both! response:	What?!
context: I'll say.\Why bother to have Inuyasha to protect you...\when he's weaker than Sesshomaru?\What did you just say?\How could Sesshomaru call his great sword useless...\how could Inuyasha be so weak...\how utterly wrong I was about them both!\What?! response:	Owee!
context: Why bother to have Inuyasha to protect you...\when he's weaker than Sesshomaru?\What did you just say?\How could Sesshomaru call his great sword useless...\how could Inuyasha be so weak...\how utterly wrong I was about them both!\What?!\Owee! response:	I am not weak!
context: when he's weaker than Sesshomaru?\What did you just say?\How could Sesshomaru call his great sword useless...\how could Inuyasha be so weak...\how utterly wrong I was about them both!\What?!\Owee!\I am not weak! response:	Old one... I've been thinking.
context: What did you just say?\How could Sesshomaru call his great sword useless...\how could Inuyasha be so weak...\how utterly wrong I was about them both!\What?!\Owee!\I am not weak!\Old one... I've been thinking. response:	That sword Sesshomaru has...
context: How could Sesshomaru call his great sword useless...\how could Inuyasha be so weak...\how utterly wrong I was about them both!\What?!\Owee!\I am not weak!\Old one... I've been thinking.\That sword Sesshomaru has... response:	Is it also a powerful sword?
context: how could Inuyasha be so weak...\how utterly wrong I was about them both!\What?!\Owee!\I am not weak!\Old one... I've been thinking.\That sword Sesshomaru has...\Is it also a powerful sword? response:	You mean, the Tenseiga?
context: how utterly wrong I was about them both!\What?!\Owee!\I am not weak!\Old one... I've been thinking.\That sword Sesshomaru has...\Is it also a powerful sword?\You mean, the Tenseiga? response:	You could say its power is awesome indeed.
context: What?!\Owee!\I am not weak!\Old one... I've been thinking.\That sword Sesshomaru has...\Is it also a powerful sword?\You mean, the Tenseiga?\You could say its power is awesome indeed. response:	But when the Dog General commissioned me to make it...
context: Owee!\I am not weak!\Old one... I've been thinking.\That sword Sesshomaru has...\Is it also a powerful sword?\You mean, the Tenseiga?\You could say its power is awesome indeed.\But when the Dog General commissioned me to make it... response:	I questioned at first about its powers.
context: I am not weak!\Old one... I've been thinking.\That sword Sesshomaru has...\Is it also a powerful sword?\You mean, the Tenseiga?\You could say its power is awesome indeed.\But when the Dog General commissioned me to make it...\I questioned at first about its powers. response:	A sword that won't cut?
context: Old one... I've been thinking.\That sword Sesshomaru has...\Is it also a powerful sword?\You mean, the Tenseiga?\You could say its power is awesome indeed.\But when the Dog General commissioned me to make it...\I questioned at first about its powers.\A sword that won't cut? response:	How're you supposed to fight with a sword like that?
context: That sword Sesshomaru has...\Is it also a powerful sword?\You mean, the Tenseiga?\You could say its power is awesome indeed.\But when the Dog General commissioned me to make it...\I questioned at first about its powers.\A sword that won't cut?\How're you supposed to fight with a sword like that? response:	The Tenseiga is not a sword you use against foes.
context: Is it also a powerful sword?\You mean, the Tenseiga?\You could say its power is awesome indeed.\But when the Dog General commissioned me to make it...\I questioned at first about its powers.\A sword that won't cut?\How're you supposed to fight with a sword like that?\The Tenseiga is not a sword you use against foes. response:	To put it simply, it is a sword of healing.
context: You mean, the Tenseiga?\You could say its power is awesome indeed.\But when the Dog General commissioned me to make it...\I questioned at first about its powers.\A sword that won't cut?\How're you supposed to fight with a sword like that?\The Tenseiga is not a sword you use against foes.\To put it simply, it is a sword of healing. response:	Healing?
context: You could say its power is awesome indeed.\But when the Dog General commissioned me to make it...\I questioned at first about its powers.\A sword that won't cut?\How're you supposed to fight with a sword like that?\The Tenseiga is not a sword you use against foes.\To put it simply, it is a sword of healing.\Healing? response:	While the Tetsusaiga is the sword to defeat the powerful...
context: But when the Dog General commissioned me to make it...\I questioned at first about its powers.\A sword that won't cut?\How're you supposed to fight with a sword like that?\The Tenseiga is not a sword you use against foes.\To put it simply, it is a sword of healing.\Healing?\While the Tetsusaiga is the sword to defeat the powerful... response:	the Tenseiga is the sword to save the lives of the weak.
context: I questioned at first about its powers.\A sword that won't cut?\How're you supposed to fight with a sword like that?\The Tenseiga is not a sword you use against foes.\To put it simply, it is a sword of healing.\Healing?\While the Tetsusaiga is the sword to defeat the powerful...\the Tenseiga is the sword to save the lives of the weak. response:	Save lives?
context: A sword that won't cut?\How're you supposed to fight with a sword like that?\The Tenseiga is not a sword you use against foes.\To put it simply, it is a sword of healing.\Healing?\While the Tetsusaiga is the sword to defeat the powerful...\the Tenseiga is the sword to save the lives of the weak.\Save lives? response:	If one has the true kindness of heart towards people...
context: How're you supposed to fight with a sword like that?\The Tenseiga is not a sword you use against foes.\To put it simply, it is a sword of healing.\Healing?\While the Tetsusaiga is the sword to defeat the powerful...\the Tenseiga is the sword to save the lives of the weak.\Save lives?\If one has the true kindness of heart towards people... response:	the Tenseiga has the power to save a hundred people in one sweep.
context: The Tenseiga is not a sword you use against foes.\To put it simply, it is a sword of healing.\Healing?\While the Tetsusaiga is the sword to defeat the powerful...\the Tenseiga is the sword to save the lives of the weak.\Save lives?\If one has the true kindness of heart towards people...\the Tenseiga has the power to save a hundred people in one sweep. response:	Kindness of heart?
context: To put it simply, it is a sword of healing.\Healing?\While the Tetsusaiga is the sword to defeat the powerful...\the Tenseiga is the sword to save the lives of the weak.\Save lives?\If one has the true kindness of heart towards people...\the Tenseiga has the power to save a hundred people in one sweep.\Kindness of heart? response:	The Tetsusaiga can kill a hundred in one sweep...
context: Healing?\While the Tetsusaiga is the sword to defeat the powerful...\the Tenseiga is the sword to save the lives of the weak.\Save lives?\If one has the true kindness of heart towards people...\the Tenseiga has the power to save a hundred people in one sweep.\Kindness of heart?\The Tetsusaiga can kill a hundred in one sweep... response:	while the Tenseiga can save a hundred in one sweep?
context: While the Tetsusaiga is the sword to defeat the powerful...\the Tenseiga is the sword to save the lives of the weak.\Save lives?\If one has the true kindness of heart towards people...\the Tenseiga has the power to save a hundred people in one sweep.\Kindness of heart?\The Tetsusaiga can kill a hundred in one sweep...\while the Tenseiga can save a hundred in one sweep? response:	And does this sword function as a weapon?
context: the Tenseiga is the sword to save the lives of the weak.\Save lives?\If one has the true kindness of heart towards people...\the Tenseiga has the power to save a hundred people in one sweep.\Kindness of heart?\The Tetsusaiga can kill a hundred in one sweep...\while the Tenseiga can save a hundred in one sweep?\And does this sword function as a weapon? response:	It is able to bring back dead souls.
context: Save lives?\If one has the true kindness of heart towards people...\the Tenseiga has the power to save a hundred people in one sweep.\Kindness of heart?\The Tetsusaiga can kill a hundred in one sweep...\while the Tenseiga can save a hundred in one sweep?\And does this sword function as a weapon?\It is able to bring back dead souls. response:	In this Feudal era, it can be used in many ways.
context: If one has the true kindness of heart towards people...\the Tenseiga has the power to save a hundred people in one sweep.\Kindness of heart?\The Tetsusaiga can kill a hundred in one sweep...\while the Tenseiga can save a hundred in one sweep?\And does this sword function as a weapon?\It is able to bring back dead souls.\In this Feudal era, it can be used in many ways. response:	I intended to name the sword, Coffin-Cheater...
context: the Tenseiga has the power to save a hundred people in one sweep.\Kindness of heart?\The Tetsusaiga can kill a hundred in one sweep...\while the Tenseiga can save a hundred in one sweep?\And does this sword function as a weapon?\It is able to bring back dead souls.\In this Feudal era, it can be used in many ways.\I intended to name the sword, Coffin-Cheater... response:	but it was christened with a fancy name like Tenseiga.
context: Kindness of heart?\The Tetsusaiga can kill a hundred in one sweep...\while the Tenseiga can save a hundred in one sweep?\And does this sword function as a weapon?\It is able to bring back dead souls.\In this Feudal era, it can be used in many ways.\I intended to name the sword, Coffin-Cheater...\but it was christened with a fancy name like Tenseiga. response:	Well, it was your father that named it.
context: The Tetsusaiga can kill a hundred in one sweep...\while the Tenseiga can save a hundred in one sweep?\And does this sword function as a weapon?\It is able to bring back dead souls.\In this Feudal era, it can be used in many ways.\I intended to name the sword, Coffin-Cheater...\but it was christened with a fancy name like Tenseiga.\Well, it was your father that named it. response:	I see...
context: while the Tenseiga can save a hundred in one sweep?\And does this sword function as a weapon?\It is able to bring back dead souls.\In this Feudal era, it can be used in many ways.\I intended to name the sword, Coffin-Cheater...\but it was christened with a fancy name like Tenseiga.\Well, it was your father that named it.\I see... response:	No wonder Sesshomaru wants a new sword.
context: And does this sword function as a weapon?\It is able to bring back dead souls.\In this Feudal era, it can be used in many ways.\I intended to name the sword, Coffin-Cheater...\but it was christened with a fancy name like Tenseiga.\Well, it was your father that named it.\I see...\No wonder Sesshomaru wants a new sword. response:	A sword to help others...
context: It is able to bring back dead souls.\In this Feudal era, it can be used in many ways.\I intended to name the sword, Coffin-Cheater...\but it was christened with a fancy name like Tenseiga.\Well, it was your father that named it.\I see...\No wonder Sesshomaru wants a new sword.\A sword to help others... response:	no way that guy'd have any use for it.
context: In this Feudal era, it can be used in many ways.\I intended to name the sword, Coffin-Cheater...\but it was christened with a fancy name like Tenseiga.\Well, it was your father that named it.\I see...\No wonder Sesshomaru wants a new sword.\A sword to help others...\no way that guy'd have any use for it. response:	Won't it work out? It was your father's will.
context: I intended to name the sword, Coffin-Cheater...\but it was christened with a fancy name like Tenseiga.\Well, it was your father that named it.\I see...\No wonder Sesshomaru wants a new sword.\A sword to help others...\no way that guy'd have any use for it.\Won't it work out? It was your father's will. response:	Given your brother's personality...
context: but it was christened with a fancy name like Tenseiga.\Well, it was your father that named it.\I see...\No wonder Sesshomaru wants a new sword.\A sword to help others...\no way that guy'd have any use for it.\Won't it work out? It was your father's will.\Given your brother's personality... response:	He wouldn't be happy with it, even if he could use it.
context: Well, it was your father that named it.\I see...\No wonder Sesshomaru wants a new sword.\A sword to help others...\no way that guy'd have any use for it.\Won't it work out? It was your father's will.\Given your brother's personality...\He wouldn't be happy with it, even if he could use it. response:	Looks delicious!
context: I see...\No wonder Sesshomaru wants a new sword.\A sword to help others...\no way that guy'd have any use for it.\Won't it work out? It was your father's will.\Given your brother's personality...\He wouldn't be happy with it, even if he could use it.\Looks delicious! response:	A very nice roast, indeed!
context: No wonder Sesshomaru wants a new sword.\A sword to help others...\no way that guy'd have any use for it.\Won't it work out? It was your father's will.\Given your brother's personality...\He wouldn't be happy with it, even if he could use it.\Looks delicious!\A very nice roast, indeed! response:	Let's dig in!
context: A sword to help others...\no way that guy'd have any use for it.\Won't it work out? It was your father's will.\Given your brother's personality...\He wouldn't be happy with it, even if he could use it.\Looks delicious!\A very nice roast, indeed!\Let's dig in! response:	Hey! Don't eat it all!
context: no way that guy'd have any use for it.\Won't it work out? It was your father's will.\Given your brother's personality...\He wouldn't be happy with it, even if he could use it.\Looks delicious!\A very nice roast, indeed!\Let's dig in!\Hey! Don't eat it all! response:	Oh! My meat's gone!
context: Won't it work out? It was your father's will.\Given your brother's personality...\He wouldn't be happy with it, even if he could use it.\Looks delicious!\A very nice roast, indeed!\Let's dig in!\Hey! Don't eat it all!\Oh! My meat's gone! response:	You just ate it all!
context: Given your brother's personality...\He wouldn't be happy with it, even if he could use it.\Looks delicious!\A very nice roast, indeed!\Let's dig in!\Hey! Don't eat it all!\Oh! My meat's gone!\You just ate it all! response:	Huh? Who are you anyway? And where am I?
context: He wouldn't be happy with it, even if he could use it.\Looks delicious!\A very nice roast, indeed!\Let's dig in!\Hey! Don't eat it all!\Oh! My meat's gone!\You just ate it all!\Huh? Who are you anyway? And where am I? response:	I was not aware of it, either...
context: Looks delicious!\A very nice roast, indeed!\Let's dig in!\Hey! Don't eat it all!\Oh! My meat's gone!\You just ate it all!\Huh? Who are you anyway? And where am I?\I was not aware of it, either... response:	that the sword is also your father's memento.
context: A very nice roast, indeed!\Let's dig in!\Hey! Don't eat it all!\Oh! My meat's gone!\You just ate it all!\Huh? Who are you anyway? And where am I?\I was not aware of it, either...\that the sword is also your father's memento. response:	What kind of power does it have?
context: Let's dig in!\Hey! Don't eat it all!\Oh! My meat's gone!\You just ate it all!\Huh? Who are you anyway? And where am I?\I was not aware of it, either...\that the sword is also your father's memento.\What kind of power does it have? response:	You want to know, Jaken?
context: Hey! Don't eat it all!\Oh! My meat's gone!\You just ate it all!\Huh? Who are you anyway? And where am I?\I was not aware of it, either...\that the sword is also your father's memento.\What kind of power does it have?\You want to know, Jaken? response:	It makes me extremely curious about the two swords...
context: Oh! My meat's gone!\You just ate it all!\Huh? Who are you anyway? And where am I?\I was not aware of it, either...\that the sword is also your father's memento.\What kind of power does it have?\You want to know, Jaken?\It makes me extremely curious about the two swords... response:	forged from your father's fang.
context: You just ate it all!\Huh? Who are you anyway? And where am I?\I was not aware of it, either...\that the sword is also your father's memento.\What kind of power does it have?\You want to know, Jaken?\It makes me extremely curious about the two swords...\forged from your father's fang. response:	The two swords are like... brothers.
context: Huh? Who are you anyway? And where am I?\I was not aware of it, either...\that the sword is also your father's memento.\What kind of power does it have?\You want to know, Jaken?\It makes me extremely curious about the two swords...\forged from your father's fang.\The two swords are like... brothers. response:	Oh no... I didn't mean to compare them with you and Inuyasha!
context: I was not aware of it, either...\that the sword is also your father's memento.\What kind of power does it have?\You want to know, Jaken?\It makes me extremely curious about the two swords...\forged from your father's fang.\The two swords are like... brothers.\Oh no... I didn't mean to compare them with you and Inuyasha! response:	I'm not concerned at all that you who hate half-demons...
context: that the sword is also your father's memento.\What kind of power does it have?\You want to know, Jaken?\It makes me extremely curious about the two swords...\forged from your father's fang.\The two swords are like... brothers.\Oh no... I didn't mean to compare them with you and Inuyasha!\I'm not concerned at all that you who hate half-demons... response:	would be related to Inuyasha... well, I am concerned, but!
context: What kind of power does it have?\You want to know, Jaken?\It makes me extremely curious about the two swords...\forged from your father's fang.\The two swords are like... brothers.\Oh no... I didn't mean to compare them with you and Inuyasha!\I'm not concerned at all that you who hate half-demons...\would be related to Inuyasha... well, I am concerned, but! response:	Jaken!
context: You want to know, Jaken?\It makes me extremely curious about the two swords...\forged from your father's fang.\The two swords are like... brothers.\Oh no... I didn't mean to compare them with you and Inuyasha!\I'm not concerned at all that you who hate half-demons...\would be related to Inuyasha... well, I am concerned, but!\Jaken! response:	Yes?
context: It makes me extremely curious about the two swords...\forged from your father's fang.\The two swords are like... brothers.\Oh no... I didn't mean to compare them with you and Inuyasha!\I'm not concerned at all that you who hate half-demons...\would be related to Inuyasha... well, I am concerned, but!\Jaken!\Yes? response:	Lord Sesshomaru!
context: forged from your father's fang.\The two swords are like... brothers.\Oh no... I didn't mean to compare them with you and Inuyasha!\I'm not concerned at all that you who hate half-demons...\would be related to Inuyasha... well, I am concerned, but!\Jaken!\Yes?\Lord Sesshomaru! response:	What are you doing?
context: The two swords are like... brothers.\Oh no... I didn't mean to compare them with you and Inuyasha!\I'm not concerned at all that you who hate half-demons...\would be related to Inuyasha... well, I am concerned, but!\Jaken!\Yes?\Lord Sesshomaru!\What are you doing? response:	Get up.
context: Oh no... I didn't mean to compare them with you and Inuyasha!\I'm not concerned at all that you who hate half-demons...\would be related to Inuyasha... well, I am concerned, but!\Jaken!\Yes?\Lord Sesshomaru!\What are you doing?\Get up. response:	Huh?
context: I'm not concerned at all that you who hate half-demons...\would be related to Inuyasha... well, I am concerned, but!\Jaken!\Yes?\Lord Sesshomaru!\What are you doing?\Get up.\Huh? response:	I'm not hurt!
context: would be related to Inuyasha... well, I am concerned, but!\Jaken!\Yes?\Lord Sesshomaru!\What are you doing?\Get up.\Huh?\I'm not hurt! response:	Why?
context: Jaken!\Yes?\Lord Sesshomaru!\What are you doing?\Get up.\Huh?\I'm not hurt!\Why? response:	I was slain just now!
context: Yes?\Lord Sesshomaru!\What are you doing?\Get up.\Huh?\I'm not hurt!\Why?\I was slain just now! response:	Do you see now?
context: Lord Sesshomaru!\What are you doing?\Get up.\Huh?\I'm not hurt!\Why?\I was slain just now!\Do you see now? response:	This Tenseiga is a sword that cannot kill!
context: What are you doing?\Get up.\Huh?\I'm not hurt!\Why?\I was slain just now!\Do you see now?\This Tenseiga is a sword that cannot kill! response:	Wh-what?
context: Get up.\Huh?\I'm not hurt!\Why?\I was slain just now!\Do you see now?\This Tenseiga is a sword that cannot kill!\Wh-what? response:	What's happening?
context: Huh?\I'm not hurt!\Why?\I was slain just now!\Do you see now?\This Tenseiga is a sword that cannot kill!\Wh-what?\What's happening? response:	Oh no! There!
context: I'm not hurt!\Why?\I was slain just now!\Do you see now?\This Tenseiga is a sword that cannot kill!\Wh-what?\What's happening?\Oh no! There! response:	Why did my father bestow this Tenseiga upon me...
context: Why?\I was slain just now!\Do you see now?\This Tenseiga is a sword that cannot kill!\Wh-what?\What's happening?\Oh no! There!\Why did my father bestow this Tenseiga upon me... response:	and the Tetsusaiga upon Inuyasha?
context: I was slain just now!\Do you see now?\This Tenseiga is a sword that cannot kill!\Wh-what?\What's happening?\Oh no! There!\Why did my father bestow this Tenseiga upon me...\and the Tetsusaiga upon Inuyasha? response:	I have a gift now.
context: Do you see now?\This Tenseiga is a sword that cannot kill!\Wh-what?\What's happening?\Oh no! There!\Why did my father bestow this Tenseiga upon me...\and the Tetsusaiga upon Inuyasha?\I have a gift now. response:	Let us go and see...
context: This Tenseiga is a sword that cannot kill!\Wh-what?\What's happening?\Oh no! There!\Why did my father bestow this Tenseiga upon me...\and the Tetsusaiga upon Inuyasha?\I have a gift now.\Let us go and see... response:	the Tetsusaiga.
context: Wh-what?\What's happening?\Oh no! There!\Why did my father bestow this Tenseiga upon me...\and the Tetsusaiga upon Inuyasha?\I have a gift now.\Let us go and see...\the Tetsusaiga. response:	There!
context: What's happening?\Oh no! There!\Why did my father bestow this Tenseiga upon me...\and the Tetsusaiga upon Inuyasha?\I have a gift now.\Let us go and see...\the Tetsusaiga.\There! response:	See you!
context: Oh no! There!\Why did my father bestow this Tenseiga upon me...\and the Tetsusaiga upon Inuyasha?\I have a gift now.\Let us go and see...\the Tetsusaiga.\There!\See you! response:	See you? You plan to escape alone?
context: Why did my father bestow this Tenseiga upon me...\and the Tetsusaiga upon Inuyasha?\I have a gift now.\Let us go and see...\the Tetsusaiga.\There!\See you!\See you? You plan to escape alone? response:	I can't rely on Inuyasha.
context: and the Tetsusaiga upon Inuyasha?\I have a gift now.\Let us go and see...\the Tetsusaiga.\There!\See you!\See you? You plan to escape alone?\I can't rely on Inuyasha. response:	Come on...
context: I have a gift now.\Let us go and see...\the Tetsusaiga.\There!\See you!\See you? You plan to escape alone?\I can't rely on Inuyasha.\Come on... response:	Leave'im!
context: Let us go and see...\the Tetsusaiga.\There!\See you!\See you? You plan to escape alone?\I can't rely on Inuyasha.\Come on...\Leave'im! response:	Who needs an old geezer like that?
context: the Tetsusaiga.\There!\See you!\See you? You plan to escape alone?\I can't rely on Inuyasha.\Come on...\Leave'im!\Who needs an old geezer like that? response:	Give it back!
context: There!\See you!\See you? You plan to escape alone?\I can't rely on Inuyasha.\Come on...\Leave'im!\Who needs an old geezer like that?\Give it back! response:	You cannot use the Tetsusaiga!
context: See you!\See you? You plan to escape alone?\I can't rely on Inuyasha.\Come on...\Leave'im!\Who needs an old geezer like that?\Give it back!\You cannot use the Tetsusaiga! response:	I will break it into pieces.
context: See you? You plan to escape alone?\I can't rely on Inuyasha.\Come on...\Leave'im!\Who needs an old geezer like that?\Give it back!\You cannot use the Tetsusaiga!\I will break it into pieces. response:	Shaddup, you geezer!
context: I can't rely on Inuyasha.\Come on...\Leave'im!\Who needs an old geezer like that?\Give it back!\You cannot use the Tetsusaiga!\I will break it into pieces.\Shaddup, you geezer! response:	Hey, Inuyasha!
context: Come on...\Leave'im!\Who needs an old geezer like that?\Give it back!\You cannot use the Tetsusaiga!\I will break it into pieces.\Shaddup, you geezer!\Hey, Inuyasha! response:	You'll regret this!
context: Leave'im!\Who needs an old geezer like that?\Give it back!\You cannot use the Tetsusaiga!\I will break it into pieces.\Shaddup, you geezer!\Hey, Inuyasha!\You'll regret this! response:	He's frank, isn't he?
context: Who needs an old geezer like that?\Give it back!\You cannot use the Tetsusaiga!\I will break it into pieces.\Shaddup, you geezer!\Hey, Inuyasha!\You'll regret this!\He's frank, isn't he? response:	I can't tell whether that old man is strong or weak.
context: Give it back!\You cannot use the Tetsusaiga!\I will break it into pieces.\Shaddup, you geezer!\Hey, Inuyasha!\You'll regret this!\He's frank, isn't he?\I can't tell whether that old man is strong or weak. response:	Poor thing... That Inuyasha will be killed by Sesshomaru.
context: You cannot use the Tetsusaiga!\I will break it into pieces.\Shaddup, you geezer!\Hey, Inuyasha!\You'll regret this!\He's frank, isn't he?\I can't tell whether that old man is strong or weak.\Poor thing... That Inuyasha will be killed by Sesshomaru. response:	After all, Inuyasha hasn't even been able to see...
context: I will break it into pieces.\Shaddup, you geezer!\Hey, Inuyasha!\You'll regret this!\He's frank, isn't he?\I can't tell whether that old man is strong or weak.\Poor thing... That Inuyasha will be killed by Sesshomaru.\After all, Inuyasha hasn't even been able to see... response:	the Wind Scar which awakens the Tetsusaiga's power.
context: Shaddup, you geezer!\Hey, Inuyasha!\You'll regret this!\He's frank, isn't he?\I can't tell whether that old man is strong or weak.\Poor thing... That Inuyasha will be killed by Sesshomaru.\After all, Inuyasha hasn't even been able to see...\the Wind Scar which awakens the Tetsusaiga's power. response:	Aren't you going after him, Inuyasha?
context: Hey, Inuyasha!\You'll regret this!\He's frank, isn't he?\I can't tell whether that old man is strong or weak.\Poor thing... That Inuyasha will be killed by Sesshomaru.\After all, Inuyasha hasn't even been able to see...\the Wind Scar which awakens the Tetsusaiga's power.\Aren't you going after him, Inuyasha? response:	You were lucky enough to meet the Tetsusaiga's maker!
context: You'll regret this!\He's frank, isn't he?\I can't tell whether that old man is strong or weak.\Poor thing... That Inuyasha will be killed by Sesshomaru.\After all, Inuyasha hasn't even been able to see...\the Wind Scar which awakens the Tetsusaiga's power.\Aren't you going after him, Inuyasha?\You were lucky enough to meet the Tetsusaiga's maker! response:	He's back.
context: He's frank, isn't he?\I can't tell whether that old man is strong or weak.\Poor thing... That Inuyasha will be killed by Sesshomaru.\After all, Inuyasha hasn't even been able to see...\the Wind Scar which awakens the Tetsusaiga's power.\Aren't you going after him, Inuyasha?\You were lucky enough to meet the Tetsusaiga's maker!\He's back. response:	Sesshomaru!
context: I can't tell whether that old man is strong or weak.\Poor thing... That Inuyasha will be killed by Sesshomaru.\After all, Inuyasha hasn't even been able to see...\the Wind Scar which awakens the Tetsusaiga's power.\Aren't you going after him, Inuyasha?\You were lucky enough to meet the Tetsusaiga's maker!\He's back.\Sesshomaru! response:	Stay put!
context: Poor thing... That Inuyasha will be killed by Sesshomaru.\After all, Inuyasha hasn't even been able to see...\the Wind Scar which awakens the Tetsusaiga's power.\Aren't you going after him, Inuyasha?\You were lucky enough to meet the Tetsusaiga's maker!\He's back.\Sesshomaru!\Stay put! response:	I will tear both you and Inuyasha into pieces!
context: After all, Inuyasha hasn't even been able to see...\the Wind Scar which awakens the Tetsusaiga's power.\Aren't you going after him, Inuyasha?\You were lucky enough to meet the Tetsusaiga's maker!\He's back.\Sesshomaru!\Stay put!\I will tear both you and Inuyasha into pieces! response:	Did you hear that?
context: the Wind Scar which awakens the Tetsusaiga's power.\Aren't you going after him, Inuyasha?\You were lucky enough to meet the Tetsusaiga's maker!\He's back.\Sesshomaru!\Stay put!\I will tear both you and Inuyasha into pieces!\Did you hear that? response:	What'll you do?!
context: Aren't you going after him, Inuyasha?\You were lucky enough to meet the Tetsusaiga's maker!\He's back.\Sesshomaru!\Stay put!\I will tear both you and Inuyasha into pieces!\Did you hear that?\What'll you do?! response:	Old one... you don't want to make Sesshomaru a new sword, right?
context: You were lucky enough to meet the Tetsusaiga's maker!\He's back.\Sesshomaru!\Stay put!\I will tear both you and Inuyasha into pieces!\Did you hear that?\What'll you do?!\Old one... you don't want to make Sesshomaru a new sword, right? response:	No!
context: He's back.\Sesshomaru!\Stay put!\I will tear both you and Inuyasha into pieces!\Did you hear that?\What'll you do?!\Old one... you don't want to make Sesshomaru a new sword, right?\No! response:	Well then...
context: Sesshomaru!\Stay put!\I will tear both you and Inuyasha into pieces!\Did you hear that?\What'll you do?!\Old one... you don't want to make Sesshomaru a new sword, right?\No!\Well then... response:	I've had it up to here with all this about Tetsusaiga.
context: Stay put!\I will tear both you and Inuyasha into pieces!\Did you hear that?\What'll you do?!\Old one... you don't want to make Sesshomaru a new sword, right?\No!\Well then...\I've had it up to here with all this about Tetsusaiga. response:	It's about time to settle this once and for all!
context: I will tear both you and Inuyasha into pieces!\Did you hear that?\What'll you do?!\Old one... you don't want to make Sesshomaru a new sword, right?\No!\Well then...\I've had it up to here with all this about Tetsusaiga.\It's about time to settle this once and for all! response:	Rest assured.
context: Did you hear that?\What'll you do?!\Old one... you don't want to make Sesshomaru a new sword, right?\No!\Well then...\I've had it up to here with all this about Tetsusaiga.\It's about time to settle this once and for all!\Rest assured. response:	It will all end today!
context: What'll you do?!\Old one... you don't want to make Sesshomaru a new sword, right?\No!\Well then...\I've had it up to here with all this about Tetsusaiga.\It's about time to settle this once and for all!\Rest assured.\It will all end today! response:	As long as you cannot see...
context: Old one... you don't want to make Sesshomaru a new sword, right?\No!\Well then...\I've had it up to here with all this about Tetsusaiga.\It's about time to settle this once and for all!\Rest assured.\It will all end today!\As long as you cannot see... response:	the Wind Scar.
context: No!\Well then...\I've had it up to here with all this about Tetsusaiga.\It's about time to settle this once and for all!\Rest assured.\It will all end today!\As long as you cannot see...\the Wind Scar. response:	Inuyasha's father had given his two sons each a sword.
context: Well then...\I've had it up to here with all this about Tetsusaiga.\It's about time to settle this once and for all!\Rest assured.\It will all end today!\As long as you cannot see...\the Wind Scar.\Inuyasha's father had given his two sons each a sword. response:	But the older brother Sesshomaru...
context: I've had it up to here with all this about Tetsusaiga.\It's about time to settle this once and for all!\Rest assured.\It will all end today!\As long as you cannot see...\the Wind Scar.\Inuyasha's father had given his two sons each a sword.\But the older brother Sesshomaru... response:	doesn't like that Inuyasha has the Tetsusaiga.
context: It's about time to settle this once and for all!\Rest assured.\It will all end today!\As long as you cannot see...\the Wind Scar.\Inuyasha's father had given his two sons each a sword.\But the older brother Sesshomaru...\doesn't like that Inuyasha has the Tetsusaiga. response:	The mystery of the Wind Scar is finally revealed!
context: Rest assured.\It will all end today!\As long as you cannot see...\the Wind Scar.\Inuyasha's father had given his two sons each a sword.\But the older brother Sesshomaru...\doesn't like that Inuyasha has the Tetsusaiga.\The mystery of the Wind Scar is finally revealed! response:	Inuyasha totally defeats Sesshomaru!
context: It will all end today!\As long as you cannot see...\the Wind Scar.\Inuyasha's father had given his two sons each a sword.\But the older brother Sesshomaru...\doesn't like that Inuyasha has the Tetsusaiga.\The mystery of the Wind Scar is finally revealed!\Inuyasha totally defeats Sesshomaru! response:	The sword of life, the Tenseiga, is drawn!
