context: I met that boring man response:	when I was going to community college.
context: Huh?\It appears impossible to stop the old geezer's attacks.\If all the damage is just going to come back to us,\then even if I stop time with Star Platinum, we won't be able to do anything.\When something's useless, I give up.\What did you say, Jotaro?\What the hell are you talking about?!\I'll kill you! response:	Your heads went flying!
context: It appears impossible to stop the old geezer's attacks.\If all the damage is just going to come back to us,\then even if I stop time with Star Platinum, we won't be able to do anything.\When something's useless, I give up.\What did you say, Jotaro?\What the hell are you talking about?!\I'll kill you!\Your heads went flying! response:	A-A knife...
context: If all the damage is just going to come back to us,\then even if I stop time with Star Platinum, we won't be able to do anything.\When something's useless, I give up.\What did you say, Jotaro?\What the hell are you talking about?!\I'll kill you!\Your heads went flying!\A-A knife... response:	What?!
context: then even if I stop time with Star Platinum, we won't be able to do anything.\When something's useless, I give up.\What did you say, Jotaro?\What the hell are you talking about?!\I'll kill you!\Your heads went flying!\A-A knife...\What?! response:	I can't touch it! J-Jotaro!
context: When something's useless, I give up.\What did you say, Jotaro?\What the hell are you talking about?!\I'll kill you!\Your heads went flying!\A-A knife...\What?!\I can't touch it! J-Jotaro! response:	I've given up on stopping the geezer,
context: What did you say, Jotaro?\What the hell are you talking about?!\I'll kill you!\Your heads went flying!\A-A knife...\What?!\I can't touch it! J-Jotaro!\I've given up on stopping the geezer, response:	but...
context: What the hell are you talking about?!\I'll kill you!\Your heads went flying!\A-A knife...\What?!\I can't touch it! J-Jotaro!\I've given up on stopping the geezer,\but... response:	Wha?
context: I'll kill you!\Your heads went flying!\A-A knife...\What?!\I can't touch it! J-Jotaro!\I've given up on stopping the geezer,\but...\Wha? response:	If he controls any photograph he's in,
context: Your heads went flying!\A-A knife...\What?!\I can't touch it! J-Jotaro!\I've given up on stopping the geezer,\but...\Wha?\If he controls any photograph he's in, response:	then maybe all we have to do is take a picture of him by himself, so he's alone.
context: A-A knife...\What?!\I can't touch it! J-Jotaro!\I've given up on stopping the geezer,\but...\Wha?\If he controls any photograph he's in,\then maybe all we have to do is take a picture of him by himself, so he's alone. response:	What?!
context: What?!\I can't touch it! J-Jotaro!\I've given up on stopping the geezer,\but...\Wha?\If he controls any photograph he's in,\then maybe all we have to do is take a picture of him by himself, so he's alone.\What?! response:	To think you've evaded my attack... Damn it!
context: I can't touch it! J-Jotaro!\I've given up on stopping the geezer,\but...\Wha?\If he controls any photograph he's in,\then maybe all we have to do is take a picture of him by himself, so he's alone.\What?!\To think you've evaded my attack... Damn it! response:	Josuke, say something to him.
context: I've given up on stopping the geezer,\but...\Wha?\If he controls any photograph he's in,\then maybe all we have to do is take a picture of him by himself, so he's alone.\What?!\To think you've evaded my attack... Damn it!\Josuke, say something to him. response:	Something cool. Let him have it!
context: but...\Wha?\If he controls any photograph he's in,\then maybe all we have to do is take a picture of him by himself, so he's alone.\What?!\To think you've evaded my attack... Damn it!\Josuke, say something to him.\Something cool. Let him have it! response:	Y-You didn't scare me at all, you idiot!
context: Wha?\If he controls any photograph he's in,\then maybe all we have to do is take a picture of him by himself, so he's alone.\What?!\To think you've evaded my attack... Damn it!\Josuke, say something to him.\Something cool. Let him have it!\Y-You didn't scare me at all, you idiot! response:	The
context: If he controls any photograph he's in,\then maybe all we have to do is take a picture of him by himself, so he's alone.\What?!\To think you've evaded my attack... Damn it!\Josuke, say something to him.\Something cool. Let him have it!\Y-You didn't scare me at all, you idiot!\The response:	The Ha
context: then maybe all we have to do is take a picture of him by himself, so he's alone.\What?!\To think you've evaded my attack... Damn it!\Josuke, say something to him.\Something cool. Let him have it!\Y-You didn't scare me at all, you idiot!\The\The Ha response:	The Han
context: What?!\To think you've evaded my attack... Damn it!\Josuke, say something to him.\Something cool. Let him have it!\Y-You didn't scare me at all, you idiot!\The\The Ha\The Han response:	The Hand
context: To think you've evaded my attack... Damn it!\Josuke, say something to him.\Something cool. Let him have it!\Y-You didn't scare me at all, you idiot!\The\The Ha\The Han\The Hand response:	Oku
context: Josuke, say something to him.\Something cool. Let him have it!\Y-You didn't scare me at all, you idiot!\The\The Ha\The Han\The Hand\Oku response:	Okuyasu
context: Something cool. Let him have it!\Y-You didn't scare me at all, you idiot!\The\The Ha\The Han\The Hand\Oku\Okuyasu response:	Okuyasu Niji
context: Y-You didn't scare me at all, you idiot!\The\The Ha\The Han\The Hand\Oku\Okuyasu\Okuyasu Niji response:	Okuyasu Nijimura
context: The\The Ha\The Han\The Hand\Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura response:	Damn you!
context: The Ha\The Han\The Hand\Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Damn you! response:	You guys are clearly used to fighting.
context: The Han\The Hand\Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Damn you!\You guys are clearly used to fighting. response:	You must have fought against people with the same kind
context: The Hand\Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Damn you!\You guys are clearly used to fighting.\You must have fought against people with the same kind response:	of power as my son many, many times!
context: Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Damn you!\You guys are clearly used to fighting.\You must have fought against people with the same kind\of power as my son many, many times! response:	He can get out, since he's a ghost.
context: Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Damn you!\You guys are clearly used to fighting.\You must have fought against people with the same kind\of power as my son many, many times!\He can get out, since he's a ghost. response:	We need to make sure you stay in there and keep quiet.
context: Okuyasu Niji\Okuyasu Nijimura\Damn you!\You guys are clearly used to fighting.\You must have fought against people with the same kind\of power as my son many, many times!\He can get out, since he's a ghost.\We need to make sure you stay in there and keep quiet. response:	There's something in this house that will cause him a lot of trouble if we find it.
context: Okuyasu Nijimura\Damn you!\You guys are clearly used to fighting.\You must have fought against people with the same kind\of power as my son many, many times!\He can get out, since he's a ghost.\We need to make sure you stay in there and keep quiet.\There's something in this house that will cause him a lot of trouble if we find it. response:	That's why you attacked us.
context: Damn you!\You guys are clearly used to fighting.\You must have fought against people with the same kind\of power as my son many, many times!\He can get out, since he's a ghost.\We need to make sure you stay in there and keep quiet.\There's something in this house that will cause him a lot of trouble if we find it.\That's why you attacked us. response:	I get it.
context: You guys are clearly used to fighting.\You must have fought against people with the same kind\of power as my son many, many times!\He can get out, since he's a ghost.\We need to make sure you stay in there and keep quiet.\There's something in this house that will cause him a lot of trouble if we find it.\That's why you attacked us.\I get it. response:	So if you fold him in half, there's no exit.
context: You must have fought against people with the same kind\of power as my son many, many times!\He can get out, since he's a ghost.\We need to make sure you stay in there and keep quiet.\There's something in this house that will cause him a lot of trouble if we find it.\That's why you attacked us.\I get it.\So if you fold him in half, there's no exit. response:	He can't run away.
context: of power as my son many, many times!\He can get out, since he's a ghost.\We need to make sure you stay in there and keep quiet.\There's something in this house that will cause him a lot of trouble if we find it.\That's why you attacked us.\I get it.\So if you fold him in half, there's no exit.\He can't run away. response:	Okuyasu, Koichi, you two search this room.
context: He can get out, since he's a ghost.\We need to make sure you stay in there and keep quiet.\There's something in this house that will cause him a lot of trouble if we find it.\That's why you attacked us.\I get it.\So if you fold him in half, there's no exit.\He can't run away.\Okuyasu, Koichi, you two search this room. response:	We'll search the right side.
context: We need to make sure you stay in there and keep quiet.\There's something in this house that will cause him a lot of trouble if we find it.\That's why you attacked us.\I get it.\So if you fold him in half, there's no exit.\He can't run away.\Okuyasu, Koichi, you two search this room.\We'll search the right side. response:	I can't protect my son now! Damn it!
context: There's something in this house that will cause him a lot of trouble if we find it.\That's why you attacked us.\I get it.\So if you fold him in half, there's no exit.\He can't run away.\Okuyasu, Koichi, you two search this room.\We'll search the right side.\I can't protect my son now! Damn it! response:	If that falls into their hands...
context: That's why you attacked us.\I get it.\So if you fold him in half, there's no exit.\He can't run away.\Okuyasu, Koichi, you two search this room.\We'll search the right side.\I can't protect my son now! Damn it!\If that falls into their hands... response:	Still, what thing that might cause trouble for him should we look for?
context: I get it.\So if you fold him in half, there's no exit.\He can't run away.\Okuyasu, Koichi, you two search this room.\We'll search the right side.\I can't protect my son now! Damn it!\If that falls into their hands...\Still, what thing that might cause trouble for him should we look for? response:	I'm not thinking too much about it.
context: So if you fold him in half, there's no exit.\He can't run away.\Okuyasu, Koichi, you two search this room.\We'll search the right side.\I can't protect my son now! Damn it!\If that falls into their hands...\Still, what thing that might cause trouble for him should we look for?\I'm not thinking too much about it. response:	If Kira's old man there turns pale, it's a good sign.
context: He can't run away.\Okuyasu, Koichi, you two search this room.\We'll search the right side.\I can't protect my son now! Damn it!\If that falls into their hands...\Still, what thing that might cause trouble for him should we look for?\I'm not thinking too much about it.\If Kira's old man there turns pale, it's a good sign. response:	I-I can't breathe...
context: Okuyasu, Koichi, you two search this room.\We'll search the right side.\I can't protect my son now! Damn it!\If that falls into their hands...\Still, what thing that might cause trouble for him should we look for?\I'm not thinking too much about it.\If Kira's old man there turns pale, it's a good sign.\I-I can't breathe... response:	I-It's too cramped... Please, just a little is fine.
context: We'll search the right side.\I can't protect my son now! Damn it!\If that falls into their hands...\Still, what thing that might cause trouble for him should we look for?\I'm not thinking too much about it.\If Kira's old man there turns pale, it's a good sign.\I-I can't breathe...\I-It's too cramped... Please, just a little is fine. response:	Just open the tiniest of holes in the tape and let me breathe...
context: I can't protect my son now! Damn it!\If that falls into their hands...\Still, what thing that might cause trouble for him should we look for?\I'm not thinking too much about it.\If Kira's old man there turns pale, it's a good sign.\I-I can't breathe...\I-It's too cramped... Please, just a little is fine.\Just open the tiniest of holes in the tape and let me breathe... response:	Y-You really can't breathe?
context: If that falls into their hands...\Still, what thing that might cause trouble for him should we look for?\I'm not thinking too much about it.\If Kira's old man there turns pale, it's a good sign.\I-I can't breathe...\I-It's too cramped... Please, just a little is fine.\Just open the tiniest of holes in the tape and let me breathe...\Y-You really can't breathe? response:	Hey, Koichi, he's just acting.
context: Still, what thing that might cause trouble for him should we look for?\I'm not thinking too much about it.\If Kira's old man there turns pale, it's a good sign.\I-I can't breathe...\I-It's too cramped... Please, just a little is fine.\Just open the tiniest of holes in the tape and let me breathe...\Y-You really can't breathe?\Hey, Koichi, he's just acting. response:	He's trying to get you to open a hole so he can escape.
context: I'm not thinking too much about it.\If Kira's old man there turns pale, it's a good sign.\I-I can't breathe...\I-It's too cramped... Please, just a little is fine.\Just open the tiniest of holes in the tape and let me breathe...\Y-You really can't breathe?\Hey, Koichi, he's just acting.\He's trying to get you to open a hole so he can escape. response:	Y-You may not believe me, b-but I really can't breathe!
context: If Kira's old man there turns pale, it's a good sign.\I-I can't breathe...\I-It's too cramped... Please, just a little is fine.\Just open the tiniest of holes in the tape and let me breathe...\Y-You really can't breathe?\Hey, Koichi, he's just acting.\He's trying to get you to open a hole so he can escape.\Y-You may not believe me, b-but I really can't breathe! response:	I'm claustrophobic, so I understand how that feels...
context: I-I can't breathe...\I-It's too cramped... Please, just a little is fine.\Just open the tiniest of holes in the tape and let me breathe...\Y-You really can't breathe?\Hey, Koichi, he's just acting.\He's trying to get you to open a hole so he can escape.\Y-You may not believe me, b-but I really can't breathe!\I'm claustrophobic, so I understand how that feels... response:	Oh, quit whining. You want us to open up a hole that bad?
context: I-It's too cramped... Please, just a little is fine.\Just open the tiniest of holes in the tape and let me breathe...\Y-You really can't breathe?\Hey, Koichi, he's just acting.\He's trying to get you to open a hole so he can escape.\Y-You may not believe me, b-but I really can't breathe!\I'm claustrophobic, so I understand how that feels...\Oh, quit whining. You want us to open up a hole that bad? response:	Fine, then. I'll open up plenty for you...
context: Just open the tiniest of holes in the tape and let me breathe...\Y-You really can't breathe?\Hey, Koichi, he's just acting.\He's trying to get you to open a hole so he can escape.\Y-You may not believe me, b-but I really can't breathe!\I'm claustrophobic, so I understand how that feels...\Oh, quit whining. You want us to open up a hole that bad?\Fine, then. I'll open up plenty for you... response:	With tacks, that is.
context: Y-You really can't breathe?\Hey, Koichi, he's just acting.\He's trying to get you to open a hole so he can escape.\Y-You may not believe me, b-but I really can't breathe!\I'm claustrophobic, so I understand how that feels...\Oh, quit whining. You want us to open up a hole that bad?\Fine, then. I'll open up plenty for you...\With tacks, that is. response:	Wh-What are you doing?!
context: Hey, Koichi, he's just acting.\He's trying to get you to open a hole so he can escape.\Y-You may not believe me, b-but I really can't breathe!\I'm claustrophobic, so I understand how that feels...\Oh, quit whining. You want us to open up a hole that bad?\Fine, then. I'll open up plenty for you...\With tacks, that is.\Wh-What are you doing?! response:	Damn it! Let me out of here, you stupid little brat!
context: He's trying to get you to open a hole so he can escape.\Y-You may not believe me, b-but I really can't breathe!\I'm claustrophobic, so I understand how that feels...\Oh, quit whining. You want us to open up a hole that bad?\Fine, then. I'll open up plenty for you...\With tacks, that is.\Wh-What are you doing?!\Damn it! Let me out of here, you stupid little brat! response:	Now you've shown your true colors.
context: Y-You may not believe me, b-but I really can't breathe!\I'm claustrophobic, so I understand how that feels...\Oh, quit whining. You want us to open up a hole that bad?\Fine, then. I'll open up plenty for you...\With tacks, that is.\Wh-What are you doing?!\Damn it! Let me out of here, you stupid little brat!\Now you've shown your true colors. response:	I won't be removing those tacks.
context: I'm claustrophobic, so I understand how that feels...\Oh, quit whining. You want us to open up a hole that bad?\Fine, then. I'll open up plenty for you...\With tacks, that is.\Wh-What are you doing?!\Damn it! Let me out of here, you stupid little brat!\Now you've shown your true colors.\I won't be removing those tacks. response:	Tacks? I can't see, but I appear to be on the post right now.
context: Oh, quit whining. You want us to open up a hole that bad?\Fine, then. I'll open up plenty for you...\With tacks, that is.\Wh-What are you doing?!\Damn it! Let me out of here, you stupid little brat!\Now you've shown your true colors.\I won't be removing those tacks.\Tacks? I can't see, but I appear to be on the post right now. response:	I've got a great idea!
context: Fine, then. I'll open up plenty for you...\With tacks, that is.\Wh-What are you doing?!\Damn it! Let me out of here, you stupid little brat!\Now you've shown your true colors.\I won't be removing those tacks.\Tacks? I can't see, but I appear to be on the post right now.\I've got a great idea! response:	Your tacks helped me come up with a trump card to get out of here!
context: With tacks, that is.\Wh-What are you doing?!\Damn it! Let me out of here, you stupid little brat!\Now you've shown your true colors.\I won't be removing those tacks.\Tacks? I can't see, but I appear to be on the post right now.\I've got a great idea!\Your tacks helped me come up with a trump card to get out of here! response:	It's easy! It's all thanks to you!
context: Wh-What are you doing?!\Damn it! Let me out of here, you stupid little brat!\Now you've shown your true colors.\I won't be removing those tacks.\Tacks? I can't see, but I appear to be on the post right now.\I've got a great idea!\Your tacks helped me come up with a trump card to get out of here!\It's easy! It's all thanks to you! response:	Well, see ya!
context: Damn it! Let me out of here, you stupid little brat!\Now you've shown your true colors.\I won't be removing those tacks.\Tacks? I can't see, but I appear to be on the post right now.\I've got a great idea!\Your tacks helped me come up with a trump card to get out of here!\It's easy! It's all thanks to you!\Well, see ya! response:	Wha...
context: Now you've shown your true colors.\I won't be removing those tacks.\Tacks? I can't see, but I appear to be on the post right now.\I've got a great idea!\Your tacks helped me come up with a trump card to get out of here!\It's easy! It's all thanks to you!\Well, see ya!\Wha... response:	Hey, you bastard...
context: I won't be removing those tacks.\Tacks? I can't see, but I appear to be on the post right now.\I've got a great idea!\Your tacks helped me come up with a trump card to get out of here!\It's easy! It's all thanks to you!\Well, see ya!\Wha...\Hey, you bastard... response:	What was that sound? What did you do?
context: Tacks? I can't see, but I appear to be on the post right now.\I've got a great idea!\Your tacks helped me come up with a trump card to get out of here!\It's easy! It's all thanks to you!\Well, see ya!\Wha...\Hey, you bastard...\What was that sound? What did you do? response:	Say something, damn it!
context: I've got a great idea!\Your tacks helped me come up with a trump card to get out of here!\It's easy! It's all thanks to you!\Well, see ya!\Wha...\Hey, you bastard...\What was that sound? What did you do?\Say something, damn it! response:	O-Okuyasu, this isn't good! I think he might have run away!
context: Your tacks helped me come up with a trump card to get out of here!\It's easy! It's all thanks to you!\Well, see ya!\Wha...\Hey, you bastard...\What was that sound? What did you do?\Say something, damn it!\O-Okuyasu, this isn't good! I think he might have run away! response:	Jotaro! H-He got away!
context: It's easy! It's all thanks to you!\Well, see ya!\Wha...\Hey, you bastard...\What was that sound? What did you do?\Say something, damn it!\O-Okuyasu, this isn't good! I think he might have run away!\Jotaro! H-He got away! response:	I-It's my fault. H-He used the tacks and did something!
context: Well, see ya!\Wha...\Hey, you bastard...\What was that sound? What did you do?\Say something, damn it!\O-Okuyasu, this isn't good! I think he might have run away!\Jotaro! H-He got away!\I-It's my fault. H-He used the tacks and did something! response:	You've been fooled, you moron!
context: Wha...\Hey, you bastard...\What was that sound? What did you do?\Say something, damn it!\O-Okuyasu, this isn't good! I think he might have run away!\Jotaro! H-He got away!\I-It's my fault. H-He used the tacks and did something!\You've been fooled, you moron! response:	Looks like I've won the battle of wits.
context: Hey, you bastard...\What was that sound? What did you do?\Say something, damn it!\O-Okuyasu, this isn't good! I think he might have run away!\Jotaro! H-He got away!\I-It's my fault. H-He used the tacks and did something!\You've been fooled, you moron!\Looks like I've won the battle of wits. response:	What?!
context: What was that sound? What did you do?\Say something, damn it!\O-Okuyasu, this isn't good! I think he might have run away!\Jotaro! H-He got away!\I-It's my fault. H-He used the tacks and did something!\You've been fooled, you moron!\Looks like I've won the battle of wits.\What?! response:	Th-This is...
context: Say something, damn it!\O-Okuyasu, this isn't good! I think he might have run away!\Jotaro! H-He got away!\I-It's my fault. H-He used the tacks and did something!\You've been fooled, you moron!\Looks like I've won the battle of wits.\What?!\Th-This is... response:	What's this doing here?
context: O-Okuyasu, this isn't good! I think he might have run away!\Jotaro! H-He got away!\I-It's my fault. H-He used the tacks and did something!\You've been fooled, you moron!\Looks like I've won the battle of wits.\What?!\Th-This is...\What's this doing here? response:	It can't be!
context: Jotaro! H-He got away!\I-It's my fault. H-He used the tacks and did something!\You've been fooled, you moron!\Looks like I've won the battle of wits.\What?!\Th-This is...\What's this doing here?\It can't be! response:	It's the bow and arrow... But we retrieved them...
context: I-It's my fault. H-He used the tacks and did something!\You've been fooled, you moron!\Looks like I've won the battle of wits.\What?!\Th-This is...\What's this doing here?\It can't be!\It's the bow and arrow... But we retrieved them... response:	The bow and arrow should be in safekeeping at the Speedwagon Foundation...
context: You've been fooled, you moron!\Looks like I've won the battle of wits.\What?!\Th-This is...\What's this doing here?\It can't be!\It's the bow and arrow... But we retrieved them...\The bow and arrow should be in safekeeping at the Speedwagon Foundation... response:	Is there another set?
context: Looks like I've won the battle of wits.\What?!\Th-This is...\What's this doing here?\It can't be!\It's the bow and arrow... But we retrieved them...\The bow and arrow should be in safekeeping at the Speedwagon Foundation...\Is there another set? response:	Josuke, be careful! Kira's father escaped!
context: What?!\Th-This is...\What's this doing here?\It can't be!\It's the bow and arrow... But we retrieved them...\The bow and arrow should be in safekeeping at the Speedwagon Foundation...\Is there another set?\Josuke, be careful! Kira's father escaped! response:	What?!
context: Th-This is...\What's this doing here?\It can't be!\It's the bow and arrow... But we retrieved them...\The bow and arrow should be in safekeeping at the Speedwagon Foundation...\Is there another set?\Josuke, be careful! Kira's father escaped!\What?! response:	This arrow drew Deadly Queen out of Yoshikage!
context: What's this doing here?\It can't be!\It's the bow and arrow... But we retrieved them...\The bow and arrow should be in safekeeping at the Speedwagon Foundation...\Is there another set?\Josuke, be careful! Kira's father escaped!\What?!\This arrow drew Deadly Queen out of Yoshikage! response:	The arrow is the important part!
context: It can't be!\It's the bow and arrow... But we retrieved them...\The bow and arrow should be in safekeeping at the Speedwagon Foundation...\Is there another set?\Josuke, be careful! Kira's father escaped!\What?!\This arrow drew Deadly Queen out of Yoshikage!\The arrow is the important part! response:	I'll never let you have it!
context: It's the bow and arrow... But we retrieved them...\The bow and arrow should be in safekeeping at the Speedwagon Foundation...\Is there another set?\Josuke, be careful! Kira's father escaped!\What?!\This arrow drew Deadly Queen out of Yoshikage!\The arrow is the important part!\I'll never let you have it! response:	R-Reverb, Koichi! Use Act 1 to go after it!
context: The bow and arrow should be in safekeeping at the Speedwagon Foundation...\Is there another set?\Josuke, be careful! Kira's father escaped!\What?!\This arrow drew Deadly Queen out of Yoshikage!\The arrow is the important part!\I'll never let you have it!\R-Reverb, Koichi! Use Act 1 to go after it! response:	I-It's too far away!
context: Is there another set?\Josuke, be careful! Kira's father escaped!\What?!\This arrow drew Deadly Queen out of Yoshikage!\The arrow is the important part!\I'll never let you have it!\R-Reverb, Koichi! Use Act 1 to go after it!\I-It's too far away! response:	Seriously?
context: Josuke, be careful! Kira's father escaped!\What?!\This arrow drew Deadly Queen out of Yoshikage!\The arrow is the important part!\I'll never let you have it!\R-Reverb, Koichi! Use Act 1 to go after it!\I-It's too far away!\Seriously? response:	The thing that Kira's father didn't want us to find was the bow and arrow!
context: What?!\This arrow drew Deadly Queen out of Yoshikage!\The arrow is the important part!\I'll never let you have it!\R-Reverb, Koichi! Use Act 1 to go after it!\I-It's too far away!\Seriously?\The thing that Kira's father didn't want us to find was the bow and arrow! response:	D-Damn it! It's all my fault!
context: This arrow drew Deadly Queen out of Yoshikage!\The arrow is the important part!\I'll never let you have it!\R-Reverb, Koichi! Use Act 1 to go after it!\I-It's too far away!\Seriously?\The thing that Kira's father didn't want us to find was the bow and arrow!\D-Damn it! It's all my fault! response:	No, Okuyasu. He was just a stronger opponent.
context: The arrow is the important part!\I'll never let you have it!\R-Reverb, Koichi! Use Act 1 to go after it!\I-It's too far away!\Seriously?\The thing that Kira's father didn't want us to find was the bow and arrow!\D-Damn it! It's all my fault!\No, Okuyasu. He was just a stronger opponent. response:	You can tell that Kira is definitely his son.
context: I'll never let you have it!\R-Reverb, Koichi! Use Act 1 to go after it!\I-It's too far away!\Seriously?\The thing that Kira's father didn't want us to find was the bow and arrow!\D-Damn it! It's all my fault!\No, Okuyasu. He was just a stronger opponent.\You can tell that Kira is definitely his son. response:	We've lost to that family's determination
context: R-Reverb, Koichi! Use Act 1 to go after it!\I-It's too far away!\Seriously?\The thing that Kira's father didn't want us to find was the bow and arrow!\D-Damn it! It's all my fault!\No, Okuyasu. He was just a stronger opponent.\You can tell that Kira is definitely his son.\We've lost to that family's determination response:	to never give up, and to survive, no matter what.
context: I-It's too far away!\Seriously?\The thing that Kira's father didn't want us to find was the bow and arrow!\D-Damn it! It's all my fault!\No, Okuyasu. He was just a stronger opponent.\You can tell that Kira is definitely his son.\We've lost to that family's determination\to never give up, and to survive, no matter what. response:	As long as they don't get this arrow, that's good enough.
context: Seriously?\The thing that Kira's father didn't want us to find was the bow and arrow!\D-Damn it! It's all my fault!\No, Okuyasu. He was just a stronger opponent.\You can tell that Kira is definitely his son.\We've lost to that family's determination\to never give up, and to survive, no matter what.\As long as they don't get this arrow, that's good enough. response:	I'm going to use this to make more enemies for you!
context: The thing that Kira's father didn't want us to find was the bow and arrow!\D-Damn it! It's all my fault!\No, Okuyasu. He was just a stronger opponent.\You can tell that Kira is definitely his son.\We've lost to that family's determination\to never give up, and to survive, no matter what.\As long as they don't get this arrow, that's good enough.\I'm going to use this to make more enemies for you! response:	The bow and arrow, huh... I see.
context: D-Damn it! It's all my fault!\No, Okuyasu. He was just a stronger opponent.\You can tell that Kira is definitely his son.\We've lost to that family's determination\to never give up, and to survive, no matter what.\As long as they don't get this arrow, that's good enough.\I'm going to use this to make more enemies for you!\The bow and arrow, huh... I see. response:	I thought there might be more than one set.
context: No, Okuyasu. He was just a stronger opponent.\You can tell that Kira is definitely his son.\We've lost to that family's determination\to never give up, and to survive, no matter what.\As long as they don't get this arrow, that's good enough.\I'm going to use this to make more enemies for you!\The bow and arrow, huh... I see.\I thought there might be more than one set. response:	Now I know exactly how DIO and the others
context: You can tell that Kira is definitely his son.\We've lost to that family's determination\to never give up, and to survive, no matter what.\As long as they don't get this arrow, that's good enough.\I'm going to use this to make more enemies for you!\The bow and arrow, huh... I see.\I thought there might be more than one set.\Now I know exactly how DIO and the others response:	were able to gather so many Stand users in such a short amount of time.
context: We've lost to that family's determination\to never give up, and to survive, no matter what.\As long as they don't get this arrow, that's good enough.\I'm going to use this to make more enemies for you!\The bow and arrow, huh... I see.\I thought there might be more than one set.\Now I know exactly how DIO and the others\were able to gather so many Stand users in such a short amount of time. response:	They created more of them around the world
context: to never give up, and to survive, no matter what.\As long as they don't get this arrow, that's good enough.\I'm going to use this to make more enemies for you!\The bow and arrow, huh... I see.\I thought there might be more than one set.\Now I know exactly how DIO and the others\were able to gather so many Stand users in such a short amount of time.\They created more of them around the world response:	with a number of those bows and arrows.
context: As long as they don't get this arrow, that's good enough.\I'm going to use this to make more enemies for you!\The bow and arrow, huh... I see.\I thought there might be more than one set.\Now I know exactly how DIO and the others\were able to gather so many Stand users in such a short amount of time.\They created more of them around the world\with a number of those bows and arrows. response:	I'm assuming Kira's father got this set from an old woman named Enyaba,
context: I'm going to use this to make more enemies for you!\The bow and arrow, huh... I see.\I thought there might be more than one set.\Now I know exactly how DIO and the others\were able to gather so many Stand users in such a short amount of time.\They created more of them around the world\with a number of those bows and arrows.\I'm assuming Kira's father got this set from an old woman named Enyaba, response:	and eventually, Okuyasu's brother, Keicho,
context: The bow and arrow, huh... I see.\I thought there might be more than one set.\Now I know exactly how DIO and the others\were able to gather so many Stand users in such a short amount of time.\They created more of them around the world\with a number of those bows and arrows.\I'm assuming Kira's father got this set from an old woman named Enyaba,\and eventually, Okuyasu's brother, Keicho, response:	also got hold of one, and came to this town.
context: I thought there might be more than one set.\Now I know exactly how DIO and the others\were able to gather so many Stand users in such a short amount of time.\They created more of them around the world\with a number of those bows and arrows.\I'm assuming Kira's father got this set from an old woman named Enyaba,\and eventually, Okuyasu's brother, Keicho,\also got hold of one, and came to this town. response:	Because Stand users attract other Stand users, apparently.
context: Now I know exactly how DIO and the others\were able to gather so many Stand users in such a short amount of time.\They created more of them around the world\with a number of those bows and arrows.\I'm assuming Kira's father got this set from an old woman named Enyaba,\and eventually, Okuyasu's brother, Keicho,\also got hold of one, and came to this town.\Because Stand users attract other Stand users, apparently. response:	Yoshikage, where are you right now?
context: were able to gather so many Stand users in such a short amount of time.\They created more of them around the world\with a number of those bows and arrows.\I'm assuming Kira's father got this set from an old woman named Enyaba,\and eventually, Okuyasu's brother, Keicho,\also got hold of one, and came to this town.\Because Stand users attract other Stand users, apparently.\Yoshikage, where are you right now? response:	You never could help but kill women, even when you were a boy.
context: They created more of them around the world\with a number of those bows and arrows.\I'm assuming Kira's father got this set from an old woman named Enyaba,\and eventually, Okuyasu's brother, Keicho,\also got hold of one, and came to this town.\Because Stand users attract other Stand users, apparently.\Yoshikage, where are you right now?\You never could help but kill women, even when you were a boy. response:	But if that's what brings you happiness, I'll protect you.
context: with a number of those bows and arrows.\I'm assuming Kira's father got this set from an old woman named Enyaba,\and eventually, Okuyasu's brother, Keicho,\also got hold of one, and came to this town.\Because Stand users attract other Stand users, apparently.\Yoshikage, where are you right now?\You never could help but kill women, even when you were a boy.\But if that's what brings you happiness, I'll protect you. response:	Because...
context: I'm assuming Kira's father got this set from an old woman named Enyaba,\and eventually, Okuyasu's brother, Keicho,\also got hold of one, and came to this town.\Because Stand users attract other Stand users, apparently.\Yoshikage, where are you right now?\You never could help but kill women, even when you were a boy.\But if that's what brings you happiness, I'll protect you.\Because... response:	You're my one and only son.
context: and eventually, Okuyasu's brother, Keicho,\also got hold of one, and came to this town.\Because Stand users attract other Stand users, apparently.\Yoshikage, where are you right now?\You never could help but kill women, even when you were a boy.\But if that's what brings you happiness, I'll protect you.\Because...\You're my one and only son. response:	Kosaku Kawajiri Shinobu Hayato
context: also got hold of one, and came to this town.\Because Stand users attract other Stand users, apparently.\Yoshikage, where are you right now?\You never could help but kill women, even when you were a boy.\But if that's what brings you happiness, I'll protect you.\Because...\You're my one and only son.\Kosaku Kawajiri Shinobu Hayato response:	What's gotten into you? You're actually cooking?
