context: Interviews with Monster Girls response:	Thank you for taking the time to visit.
context: In fact...\Yeah, when she uses the bathroom at night,\the light's too bright for her.\For anyone else, that would make it a lot easier to fall asleep.\Even considering that, I think her negligence comes out on top.\And what you said a minute ago, about her hairstyle...\That might have something to do with her vampire nature, too.\Huh? response:	Here, look. Vampires don't see their reflections in mirrors.
context: Yeah, when she uses the bathroom at night,\the light's too bright for her.\For anyone else, that would make it a lot easier to fall asleep.\Even considering that, I think her negligence comes out on top.\And what you said a minute ago, about her hairstyle...\That might have something to do with her vampire nature, too.\Huh?\Here, look. Vampires don't see their reflections in mirrors. response:	Since they can't see themselves, doing their own hair is difficult.
context: the light's too bright for her.\For anyone else, that would make it a lot easier to fall asleep.\Even considering that, I think her negligence comes out on top.\And what you said a minute ago, about her hairstyle...\That might have something to do with her vampire nature, too.\Huh?\Here, look. Vampires don't see their reflections in mirrors.\Since they can't see themselves, doing their own hair is difficult. response:	That's why she relies on you.
context: For anyone else, that would make it a lot easier to fall asleep.\Even considering that, I think her negligence comes out on top.\And what you said a minute ago, about her hairstyle...\That might have something to do with her vampire nature, too.\Huh?\Here, look. Vampires don't see their reflections in mirrors.\Since they can't see themselves, doing their own hair is difficult.\That's why she relies on you. response:	That would explain things, but...
context: Even considering that, I think her negligence comes out on top.\And what you said a minute ago, about her hairstyle...\That might have something to do with her vampire nature, too.\Huh?\Here, look. Vampires don't see their reflections in mirrors.\Since they can't see themselves, doing their own hair is difficult.\That's why she relies on you.\That would explain things, but... response:	Well, that's probably a superstition, though.
context: And what you said a minute ago, about her hairstyle...\That might have something to do with her vampire nature, too.\Huh?\Here, look. Vampires don't see their reflections in mirrors.\Since they can't see themselves, doing their own hair is difficult.\That's why she relies on you.\That would explain things, but...\Well, that's probably a superstition, though. response:	It's based on a belief that the link between a vampire's body and soul is weak,
context: That might have something to do with her vampire nature, too.\Huh?\Here, look. Vampires don't see their reflections in mirrors.\Since they can't see themselves, doing their own hair is difficult.\That's why she relies on you.\That would explain things, but...\Well, that's probably a superstition, though.\It's based on a belief that the link between a vampire's body and soul is weak, response:	or that mirrors reflect the soul, or things like that.
context: Huh?\Here, look. Vampires don't see their reflections in mirrors.\Since they can't see themselves, doing their own hair is difficult.\That's why she relies on you.\That would explain things, but...\Well, that's probably a superstition, though.\It's based on a belief that the link between a vampire's body and soul is weak,\or that mirrors reflect the soul, or things like that. response:	I figure it's just because Hikari is irresponsib
context: Here, look. Vampires don't see their reflections in mirrors.\Since they can't see themselves, doing their own hair is difficult.\That's why she relies on you.\That would explain things, but...\Well, that's probably a superstition, though.\It's based on a belief that the link between a vampire's body and soul is weak,\or that mirrors reflect the soul, or things like that.\I figure it's just because Hikari is irresponsib response:	Himari-chan?
context: Since they can't see themselves, doing their own hair is difficult.\That's why she relies on you.\That would explain things, but...\Well, that's probably a superstition, though.\It's based on a belief that the link between a vampire's body and soul is weak,\or that mirrors reflect the soul, or things like that.\I figure it's just because Hikari is irresponsib\Himari-chan? response:	I might have done something really awful.
context: That's why she relies on you.\That would explain things, but...\Well, that's probably a superstition, though.\It's based on a belief that the link between a vampire's body and soul is weak,\or that mirrors reflect the soul, or things like that.\I figure it's just because Hikari is irresponsib\Himari-chan?\I might have done something really awful. response:	H-Himari-chan?
context: That would explain things, but...\Well, that's probably a superstition, though.\It's based on a belief that the link between a vampire's body and soul is weak,\or that mirrors reflect the soul, or things like that.\I figure it's just because Hikari is irresponsib\Himari-chan?\I might have done something really awful.\H-Himari-chan? response:	If vampires really can't see themselves in mirrors...
context: Well, that's probably a superstition, though.\It's based on a belief that the link between a vampire's body and soul is weak,\or that mirrors reflect the soul, or things like that.\I figure it's just because Hikari is irresponsib\Himari-chan?\I might have done something really awful.\H-Himari-chan?\If vampires really can't see themselves in mirrors... response:	If Onee-chan was actually asking for my help...
context: It's based on a belief that the link between a vampire's body and soul is weak,\or that mirrors reflect the soul, or things like that.\I figure it's just because Hikari is irresponsib\Himari-chan?\I might have done something really awful.\H-Himari-chan?\If vampires really can't see themselves in mirrors...\If Onee-chan was actually asking for my help... response:	Onee-chan!
context: or that mirrors reflect the soul, or things like that.\I figure it's just because Hikari is irresponsib\Himari-chan?\I might have done something really awful.\H-Himari-chan?\If vampires really can't see themselves in mirrors...\If Onee-chan was actually asking for my help...\Onee-chan! response:	Looks like it's going to rain.
context: I figure it's just because Hikari is irresponsib\Himari-chan?\I might have done something really awful.\H-Himari-chan?\If vampires really can't see themselves in mirrors...\If Onee-chan was actually asking for my help...\Onee-chan!\Looks like it's going to rain. response:	It's supposed to rain this afternoon.
context: Himari-chan?\I might have done something really awful.\H-Himari-chan?\If vampires really can't see themselves in mirrors...\If Onee-chan was actually asking for my help...\Onee-chan!\Looks like it's going to rain.\It's supposed to rain this afternoon. response:	I'll have to call for a ride.
context: I might have done something really awful.\H-Himari-chan?\If vampires really can't see themselves in mirrors...\If Onee-chan was actually asking for my help...\Onee-chan!\Looks like it's going to rain.\It's supposed to rain this afternoon.\I'll have to call for a ride. response:	A ride?
context: H-Himari-chan?\If vampires really can't see themselves in mirrors...\If Onee-chan was actually asking for my help...\Onee-chan!\Looks like it's going to rain.\It's supposed to rain this afternoon.\I'll have to call for a ride.\A ride? response:	Yeah, walking around with an umbrella is dangerous for me.
context: If vampires really can't see themselves in mirrors...\If Onee-chan was actually asking for my help...\Onee-chan!\Looks like it's going to rain.\It's supposed to rain this afternoon.\I'll have to call for a ride.\A ride?\Yeah, walking around with an umbrella is dangerous for me. response:	So when it rains, I have someone in my family drive me.
context: If Onee-chan was actually asking for my help...\Onee-chan!\Looks like it's going to rain.\It's supposed to rain this afternoon.\I'll have to call for a ride.\A ride?\Yeah, walking around with an umbrella is dangerous for me.\So when it rains, I have someone in my family drive me. response:	Ah, I see.
context: Onee-chan!\Looks like it's going to rain.\It's supposed to rain this afternoon.\I'll have to call for a ride.\A ride?\Yeah, walking around with an umbrella is dangerous for me.\So when it rains, I have someone in my family drive me.\Ah, I see. response:	Himari-chan?
context: Looks like it's going to rain.\It's supposed to rain this afternoon.\I'll have to call for a ride.\A ride?\Yeah, walking around with an umbrella is dangerous for me.\So when it rains, I have someone in my family drive me.\Ah, I see.\Himari-chan? response:	I wonder what's wrong.
context: It's supposed to rain this afternoon.\I'll have to call for a ride.\A ride?\Yeah, walking around with an umbrella is dangerous for me.\So when it rains, I have someone in my family drive me.\Ah, I see.\Himari-chan?\I wonder what's wrong. response:	Not here.
context: I'll have to call for a ride.\A ride?\Yeah, walking around with an umbrella is dangerous for me.\So when it rains, I have someone in my family drive me.\Ah, I see.\Himari-chan?\I wonder what's wrong.\Not here. response:	Oh, if you're looking for Hikari...
context: A ride?\Yeah, walking around with an umbrella is dangerous for me.\So when it rains, I have someone in my family drive me.\Ah, I see.\Himari-chan?\I wonder what's wrong.\Not here.\Oh, if you're looking for Hikari... response:	I'm sorry, Onee-chan.
context: Yeah, walking around with an umbrella is dangerous for me.\So when it rains, I have someone in my family drive me.\Ah, I see.\Himari-chan?\I wonder what's wrong.\Not here.\Oh, if you're looking for Hikari...\I'm sorry, Onee-chan. response:	I'm sorry I didn't realize...
context: So when it rains, I have someone in my family drive me.\Ah, I see.\Himari-chan?\I wonder what's wrong.\Not here.\Oh, if you're looking for Hikari...\I'm sorry, Onee-chan.\I'm sorry I didn't realize... response:	I just decided that you were negligent,
context: Ah, I see.\Himari-chan?\I wonder what's wrong.\Not here.\Oh, if you're looking for Hikari...\I'm sorry, Onee-chan.\I'm sorry I didn't realize...\I just decided that you were negligent, response:	and acted like I knew everything.
context: Himari-chan?\I wonder what's wrong.\Not here.\Oh, if you're looking for Hikari...\I'm sorry, Onee-chan.\I'm sorry I didn't realize...\I just decided that you were negligent,\and acted like I knew everything. response:	Even though you were going through so much worse!
context: I wonder what's wrong.\Not here.\Oh, if you're looking for Hikari...\I'm sorry, Onee-chan.\I'm sorry I didn't realize...\I just decided that you were negligent,\and acted like I knew everything.\Even though you were going through so much worse! response:	Please let me apologize, Onee-chan!
context: Not here.\Oh, if you're looking for Hikari...\I'm sorry, Onee-chan.\I'm sorry I didn't realize...\I just decided that you were negligent,\and acted like I knew everything.\Even though you were going through so much worse!\Please let me apologize, Onee-chan! response:	Huh? Mirrors?
context: Oh, if you're looking for Hikari...\I'm sorry, Onee-chan.\I'm sorry I didn't realize...\I just decided that you were negligent,\and acted like I knew everything.\Even though you were going through so much worse!\Please let me apologize, Onee-chan!\Huh? Mirrors? response:	I can see myself in them just fine.
context: I'm sorry, Onee-chan.\I'm sorry I didn't realize...\I just decided that you were negligent,\and acted like I knew everything.\Even though you were going through so much worse!\Please let me apologize, Onee-chan!\Huh? Mirrors?\I can see myself in them just fine. response:	Uh... Sorry, Himari-chan.
context: I'm sorry I didn't realize...\I just decided that you were negligent,\and acted like I knew everything.\Even though you were going through so much worse!\Please let me apologize, Onee-chan!\Huh? Mirrors?\I can see myself in them just fine.\Uh... Sorry, Himari-chan. response:	This happened because I gave you that weird idea.
context: I just decided that you were negligent,\and acted like I knew everything.\Even though you were going through so much worse!\Please let me apologize, Onee-chan!\Huh? Mirrors?\I can see myself in them just fine.\Uh... Sorry, Himari-chan.\This happened because I gave you that weird idea. response:	No, it's fine.
context: and acted like I knew everything.\Even though you were going through so much worse!\Please let me apologize, Onee-chan!\Huh? Mirrors?\I can see myself in them just fine.\Uh... Sorry, Himari-chan.\This happened because I gave you that weird idea.\No, it's fine. response:	I was jumping to conclusions.
context: Even though you were going through so much worse!\Please let me apologize, Onee-chan!\Huh? Mirrors?\I can see myself in them just fine.\Uh... Sorry, Himari-chan.\This happened because I gave you that weird idea.\No, it's fine.\I was jumping to conclusions. response:	Yay!
context: Please let me apologize, Onee-chan!\Huh? Mirrors?\I can see myself in them just fine.\Uh... Sorry, Himari-chan.\This happened because I gave you that weird idea.\No, it's fine.\I was jumping to conclusions.\Yay! response:	Anyway, when you do my hair for me,
context: Huh? Mirrors?\I can see myself in them just fine.\Uh... Sorry, Himari-chan.\This happened because I gave you that weird idea.\No, it's fine.\I was jumping to conclusions.\Yay!\Anyway, when you do my hair for me, response:	you can also see me in the mirror, right?
context: I can see myself in them just fine.\Uh... Sorry, Himari-chan.\This happened because I gave you that weird idea.\No, it's fine.\I was jumping to conclusions.\Yay!\Anyway, when you do my hair for me,\you can also see me in the mirror, right? response:	That's true... That really is true.
context: Uh... Sorry, Himari-chan.\This happened because I gave you that weird idea.\No, it's fine.\I was jumping to conclusions.\Yay!\Anyway, when you do my hair for me,\you can also see me in the mirror, right?\That's true... That really is true. response:	I'm sorry! I guess I really worried you!
context: This happened because I gave you that weird idea.\No, it's fine.\I was jumping to conclusions.\Yay!\Anyway, when you do my hair for me,\you can also see me in the mirror, right?\That's true... That really is true.\I'm sorry! I guess I really worried you! response:	You're such a kind girl, after all.
context: No, it's fine.\I was jumping to conclusions.\Yay!\Anyway, when you do my hair for me,\you can also see me in the mirror, right?\That's true... That really is true.\I'm sorry! I guess I really worried you!\You're such a kind girl, after all. response:	You can't help jumping to conclusions.
context: I was jumping to conclusions.\Yay!\Anyway, when you do my hair for me,\you can also see me in the mirror, right?\That's true... That really is true.\I'm sorry! I guess I really worried you!\You're such a kind girl, after all.\You can't help jumping to conclusions. response:	I'm sorry I made you worry.
context: Yay!\Anyway, when you do my hair for me,\you can also see me in the mirror, right?\That's true... That really is true.\I'm sorry! I guess I really worried you!\You're such a kind girl, after all.\You can't help jumping to conclusions.\I'm sorry I made you worry. response:	Thanks, Himari.
context: Anyway, when you do my hair for me,\you can also see me in the mirror, right?\That's true... That really is true.\I'm sorry! I guess I really worried you!\You're such a kind girl, after all.\You can't help jumping to conclusions.\I'm sorry I made you worry.\Thanks, Himari. response:	Then, why make me help with your hair?
context: you can also see me in the mirror, right?\That's true... That really is true.\I'm sorry! I guess I really worried you!\You're such a kind girl, after all.\You can't help jumping to conclusions.\I'm sorry I made you worry.\Thanks, Himari.\Then, why make me help with your hair? response:	Huh?
context: That's true... That really is true.\I'm sorry! I guess I really worried you!\You're such a kind girl, after all.\You can't help jumping to conclusions.\I'm sorry I made you worry.\Thanks, Himari.\Then, why make me help with your hair?\Huh? response:	That's because...
context: I'm sorry! I guess I really worried you!\You're such a kind girl, after all.\You can't help jumping to conclusions.\I'm sorry I made you worry.\Thanks, Himari.\Then, why make me help with your hair?\Huh?\That's because... response:	I am, and always have been, just that negligent!
context: You're such a kind girl, after all.\You can't help jumping to conclusions.\I'm sorry I made you worry.\Thanks, Himari.\Then, why make me help with your hair?\Huh?\That's because...\I am, and always have been, just that negligent! response:	That hurts! My brains are gonna pop out!
context: You can't help jumping to conclusions.\I'm sorry I made you worry.\Thanks, Himari.\Then, why make me help with your hair?\Huh?\That's because...\I am, and always have been, just that negligent!\That hurts! My brains are gonna pop out! response:	Ow, ow, ow!
context: I'm sorry I made you worry.\Thanks, Himari.\Then, why make me help with your hair?\Huh?\That's because...\I am, and always have been, just that negligent!\That hurts! My brains are gonna pop out!\Ow, ow, ow! response:	Even if vampires didn't cast reflections in mirrors,
context: Thanks, Himari.\Then, why make me help with your hair?\Huh?\That's because...\I am, and always have been, just that negligent!\That hurts! My brains are gonna pop out!\Ow, ow, ow!\Even if vampires didn't cast reflections in mirrors, response:	Hikari would never lose who she is.
context: Then, why make me help with your hair?\Huh?\That's because...\I am, and always have been, just that negligent!\That hurts! My brains are gonna pop out!\Ow, ow, ow!\Even if vampires didn't cast reflections in mirrors,\Hikari would never lose who she is. response:	Ow, ow, ow, ow!
context: Huh?\That's because...\I am, and always have been, just that negligent!\That hurts! My brains are gonna pop out!\Ow, ow, ow!\Even if vampires didn't cast reflections in mirrors,\Hikari would never lose who she is.\Ow, ow, ow, ow! response:	Himari-chan, who understands and cares for her,
context: That's because...\I am, and always have been, just that negligent!\That hurts! My brains are gonna pop out!\Ow, ow, ow!\Even if vampires didn't cast reflections in mirrors,\Hikari would never lose who she is.\Ow, ow, ow, ow!\Himari-chan, who understands and cares for her, response:	is always closer to her than anyone else.
context: I am, and always have been, just that negligent!\That hurts! My brains are gonna pop out!\Ow, ow, ow!\Even if vampires didn't cast reflections in mirrors,\Hikari would never lose who she is.\Ow, ow, ow, ow!\Himari-chan, who understands and cares for her,\is always closer to her than anyone else. response:	Ow, ow, ow, ow!
context: That hurts! My brains are gonna pop out!\Ow, ow, ow!\Even if vampires didn't cast reflections in mirrors,\Hikari would never lose who she is.\Ow, ow, ow, ow!\Himari-chan, who understands and cares for her,\is always closer to her than anyone else.\Ow, ow, ow, ow! response:	Hey, Onee-chan! You left this!
context: Ow, ow, ow!\Even if vampires didn't cast reflections in mirrors,\Hikari would never lose who she is.\Ow, ow, ow, ow!\Himari-chan, who understands and cares for her,\is always closer to her than anyone else.\Ow, ow, ow, ow!\Hey, Onee-chan! You left this! response:	Bring it to the classroom with you!
context: Even if vampires didn't cast reflections in mirrors,\Hikari would never lose who she is.\Ow, ow, ow, ow!\Himari-chan, who understands and cares for her,\is always closer to her than anyone else.\Ow, ow, ow, ow!\Hey, Onee-chan! You left this!\Bring it to the classroom with you! response:	Why do I have to carry it?!
context: Hikari would never lose who she is.\Ow, ow, ow, ow!\Himari-chan, who understands and cares for her,\is always closer to her than anyone else.\Ow, ow, ow, ow!\Hey, Onee-chan! You left this!\Bring it to the classroom with you!\Why do I have to carry it?! response:	She's the perfect younger sister.
context: Ow, ow, ow, ow!\Himari-chan, who understands and cares for her,\is always closer to her than anyone else.\Ow, ow, ow, ow!\Hey, Onee-chan! You left this!\Bring it to the classroom with you!\Why do I have to carry it?!\She's the perfect younger sister. response:	It really did start raining.
context: Himari-chan, who understands and cares for her,\is always closer to her than anyone else.\Ow, ow, ow, ow!\Hey, Onee-chan! You left this!\Bring it to the classroom with you!\Why do I have to carry it?!\She's the perfect younger sister.\It really did start raining. response:	Did you bring an umbrella?
context: is always closer to her than anyone else.\Ow, ow, ow, ow!\Hey, Onee-chan! You left this!\Bring it to the classroom with you!\Why do I have to carry it?!\She's the perfect younger sister.\It really did start raining.\Did you bring an umbrella? response:	Yeah, I'm fine. I have a folding one.
context: Ow, ow, ow, ow!\Hey, Onee-chan! You left this!\Bring it to the classroom with you!\Why do I have to carry it?!\She's the perfect younger sister.\It really did start raining.\Did you bring an umbrella?\Yeah, I'm fine. I have a folding one. response:	What is it?
context: Hey, Onee-chan! You left this!\Bring it to the classroom with you!\Why do I have to carry it?!\She's the perfect younger sister.\It really did start raining.\Did you bring an umbrella?\Yeah, I'm fine. I have a folding one.\What is it? response:	Oh, nothing.
context: Bring it to the classroom with you!\Why do I have to carry it?!\She's the perfect younger sister.\It really did start raining.\Did you bring an umbrella?\Yeah, I'm fine. I have a folding one.\What is it?\Oh, nothing. response:	Well, I'm gonna head home first.
context: Why do I have to carry it?!\She's the perfect younger sister.\It really did start raining.\Did you bring an umbrella?\Yeah, I'm fine. I have a folding one.\What is it?\Oh, nothing.\Well, I'm gonna head home first. response:	All right. See you tomorrow.
context: She's the perfect younger sister.\It really did start raining.\Did you bring an umbrella?\Yeah, I'm fine. I have a folding one.\What is it?\Oh, nothing.\Well, I'm gonna head home first.\All right. See you tomorrow. response:	Now, then...
context: It really did start raining.\Did you bring an umbrella?\Yeah, I'm fine. I have a folding one.\What is it?\Oh, nothing.\Well, I'm gonna head home first.\All right. See you tomorrow.\Now, then... response:	That staff meeting ran long, huh?
context: Did you bring an umbrella?\Yeah, I'm fine. I have a folding one.\What is it?\Oh, nothing.\Well, I'm gonna head home first.\All right. See you tomorrow.\Now, then...\That staff meeting ran long, huh? response:	It sure did.
context: Yeah, I'm fine. I have a folding one.\What is it?\Oh, nothing.\Well, I'm gonna head home first.\All right. See you tomorrow.\Now, then...\That staff meeting ran long, huh?\It sure did. response:	Of course, I'm here till late, either way.
context: What is it?\Oh, nothing.\Well, I'm gonna head home first.\All right. See you tomorrow.\Now, then...\That staff meeting ran long, huh?\It sure did.\Of course, I'm here till late, either way. response:	Until late?
context: Oh, nothing.\Well, I'm gonna head home first.\All right. See you tomorrow.\Now, then...\That staff meeting ran long, huh?\It sure did.\Of course, I'm here till late, either way.\Until late? response:	Uh, I mean, crowded trains are a bad idea.
context: Well, I'm gonna head home first.\All right. See you tomorrow.\Now, then...\That staff meeting ran long, huh?\It sure did.\Of course, I'm here till late, either way.\Until late?\Uh, I mean, crowded trains are a bad idea. response:	Since I'm a succubus and all.
context: All right. See you tomorrow.\Now, then...\That staff meeting ran long, huh?\It sure did.\Of course, I'm here till late, either way.\Until late?\Uh, I mean, crowded trains are a bad idea.\Since I'm a succubus and all. response:	Oh, the aphrodisi
context: Now, then...\That staff meeting ran long, huh?\It sure did.\Of course, I'm here till late, either way.\Until late?\Uh, I mean, crowded trains are a bad idea.\Since I'm a succubus and all.\Oh, the aphrodisi response:	I mean, yeah, that's rough.
context: That staff meeting ran long, huh?\It sure did.\Of course, I'm here till late, either way.\Until late?\Uh, I mean, crowded trains are a bad idea.\Since I'm a succubus and all.\Oh, the aphrodisi\I mean, yeah, that's rough. response:	I'm used to it.
context: It sure did.\Of course, I'm here till late, either way.\Until late?\Uh, I mean, crowded trains are a bad idea.\Since I'm a succubus and all.\Oh, the aphrodisi\I mean, yeah, that's rough.\I'm used to it. response:	U-Um...
context: Of course, I'm here till late, either way.\Until late?\Uh, I mean, crowded trains are a bad idea.\Since I'm a succubus and all.\Oh, the aphrodisi\I mean, yeah, that's rough.\I'm used to it.\U-Um... response:	Takahashi-sensei...
context: Until late?\Uh, I mean, crowded trains are a bad idea.\Since I'm a succubus and all.\Oh, the aphrodisi\I mean, yeah, that's rough.\I'm used to it.\U-Um...\Takahashi-sensei... response:	Yes?
context: Uh, I mean, crowded trains are a bad idea.\Since I'm a succubus and all.\Oh, the aphrodisi\I mean, yeah, that's rough.\I'm used to it.\U-Um...\Takahashi-sensei...\Yes? response:	Nothing. Have a good evening.
context: Since I'm a succubus and all.\Oh, the aphrodisi\I mean, yeah, that's rough.\I'm used to it.\U-Um...\Takahashi-sensei...\Yes?\Nothing. Have a good evening. response:	Thanks. Same to you.
context: Oh, the aphrodisi\I mean, yeah, that's rough.\I'm used to it.\U-Um...\Takahashi-sensei...\Yes?\Nothing. Have a good evening.\Thanks. Same to you. response:	The aphrodisiac effect really doesn't work on him!
context: I mean, yeah, that's rough.\I'm used to it.\U-Um...\Takahashi-sensei...\Yes?\Nothing. Have a good evening.\Thanks. Same to you.\The aphrodisiac effect really doesn't work on him! response:	If it's him, even a succubus like me could...
context: I'm used to it.\U-Um...\Takahashi-sensei...\Yes?\Nothing. Have a good evening.\Thanks. Same to you.\The aphrodisiac effect really doesn't work on him!\If it's him, even a succubus like me could... response:	Damn, she's erotic!
context: U-Um...\Takahashi-sensei...\Yes?\Nothing. Have a good evening.\Thanks. Same to you.\The aphrodisiac effect really doesn't work on him!\If it's him, even a succubus like me could...\Damn, she's erotic! response:	It's raining.
context: Takahashi-sensei...\Yes?\Nothing. Have a good evening.\Thanks. Same to you.\The aphrodisiac effect really doesn't work on him!\If it's him, even a succubus like me could...\Damn, she's erotic!\It's raining. response:	Biology Prep Room
context: Yes?\Nothing. Have a good evening.\Thanks. Same to you.\The aphrodisiac effect really doesn't work on him!\If it's him, even a succubus like me could...\Damn, she's erotic!\It's raining.\Biology Prep Room response:	Which means she's probably here today.
context: Nothing. Have a good evening.\Thanks. Same to you.\The aphrodisiac effect really doesn't work on him!\If it's him, even a succubus like me could...\Damn, she's erotic!\It's raining.\Biology Prep Room\Which means she's probably here today. response:	I don't hear anything, though...
context: Thanks. Same to you.\The aphrodisiac effect really doesn't work on him!\If it's him, even a succubus like me could...\Damn, she's erotic!\It's raining.\Biology Prep Room\Which means she's probably here today.\I don't hear anything, though... response:	So maybe she's in the library?
context: The aphrodisiac effect really doesn't work on him!\If it's him, even a succubus like me could...\Damn, she's erotic!\It's raining.\Biology Prep Room\Which means she's probably here today.\I don't hear anything, though...\So maybe she's in the library? response:	She's asleep?
context: If it's him, even a succubus like me could...\Damn, she's erotic!\It's raining.\Biology Prep Room\Which means she's probably here today.\I don't hear anything, though...\So maybe she's in the library?\She's asleep? response:	Whoops, I fell asleep...
context: Damn, she's erotic!\It's raining.\Biology Prep Room\Which means she's probably here today.\I don't hear anything, though...\So maybe she's in the library?\She's asleep?\Whoops, I fell asleep... response:	A blanket?
context: It's raining.\Biology Prep Room\Which means she's probably here today.\I don't hear anything, though...\So maybe she's in the library?\She's asleep?\Whoops, I fell asleep...\A blanket? response:	Sensei, that's a good boy. Just sleep.
context: Biology Prep Room\Which means she's probably here today.\I don't hear anything, though...\So maybe she's in the library?\She's asleep?\Whoops, I fell asleep...\A blanket?\Sensei, that's a good boy. Just sleep. response:	Sensei's hair is so coarse.
context: Which means she's probably here today.\I don't hear anything, though...\So maybe she's in the library?\She's asleep?\Whoops, I fell asleep...\A blanket?\Sensei, that's a good boy. Just sleep.\Sensei's hair is so coarse. response:	Our hairstyles are similar, but the hair is different.
context: I don't hear anything, though...\So maybe she's in the library?\She's asleep?\Whoops, I fell asleep...\A blanket?\Sensei, that's a good boy. Just sleep.\Sensei's hair is so coarse.\Our hairstyles are similar, but the hair is different. response:	Excuse me.
context: So maybe she's in the library?\She's asleep?\Whoops, I fell asleep...\A blanket?\Sensei, that's a good boy. Just sleep.\Sensei's hair is so coarse.\Our hairstyles are similar, but the hair is different.\Excuse me. response:	Hi, Kyouko-chan.
context: She's asleep?\Whoops, I fell asleep...\A blanket?\Sensei, that's a good boy. Just sleep.\Sensei's hair is so coarse.\Our hairstyles are similar, but the hair is different.\Excuse me.\Hi, Kyouko-chan. response:	Did I keep you waiting?
context: Whoops, I fell asleep...\A blanket?\Sensei, that's a good boy. Just sleep.\Sensei's hair is so coarse.\Our hairstyles are similar, but the hair is different.\Excuse me.\Hi, Kyouko-chan.\Did I keep you waiting? response:	Hikari-chan's dad?
context: A blanket?\Sensei, that's a good boy. Just sleep.\Sensei's hair is so coarse.\Our hairstyles are similar, but the hair is different.\Excuse me.\Hi, Kyouko-chan.\Did I keep you waiting?\Hikari-chan's dad? response:	Hey.
context: Sensei, that's a good boy. Just sleep.\Sensei's hair is so coarse.\Our hairstyles are similar, but the hair is different.\Excuse me.\Hi, Kyouko-chan.\Did I keep you waiting?\Hikari-chan's dad?\Hey. response:	What brings you here?
context: Sensei's hair is so coarse.\Our hairstyles are similar, but the hair is different.\Excuse me.\Hi, Kyouko-chan.\Did I keep you waiting?\Hikari-chan's dad?\Hey.\What brings you here? response:	Huh?
context: Our hairstyles are similar, but the hair is different.\Excuse me.\Hi, Kyouko-chan.\Did I keep you waiting?\Hikari-chan's dad?\Hey.\What brings you here?\Huh? response:	I e-mailed Hikari. She didn't tell you?
context: Excuse me.\Hi, Kyouko-chan.\Did I keep you waiting?\Hikari-chan's dad?\Hey.\What brings you here?\Huh?\I e-mailed Hikari. She didn't tell you? response:	No.
context: Hi, Kyouko-chan.\Did I keep you waiting?\Hikari-chan's dad?\Hey.\What brings you here?\Huh?\I e-mailed Hikari. She didn't tell you?\No. response:	It seems both your parents are really busy,
context: Did I keep you waiting?\Hikari-chan's dad?\Hey.\What brings you here?\Huh?\I e-mailed Hikari. She didn't tell you?\No.\It seems both your parents are really busy, response:	so I came for you instead.
context: Hikari-chan's dad?\Hey.\What brings you here?\Huh?\I e-mailed Hikari. She didn't tell you?\No.\It seems both your parents are really busy,\so I came for you instead. response:	That's odd...
context: Hey.\What brings you here?\Huh?\I e-mailed Hikari. She didn't tell you?\No.\It seems both your parents are really busy,\so I came for you instead.\That's odd... response:	In the e-mail, I told her to let you know in person.
context: What brings you here?\Huh?\I e-mailed Hikari. She didn't tell you?\No.\It seems both your parents are really busy,\so I came for you instead.\That's odd...\In the e-mail, I told her to let you know in person. response:	Now that you mention it,
context: Huh?\I e-mailed Hikari. She didn't tell you?\No.\It seems both your parents are really busy,\so I came for you instead.\That's odd...\In the e-mail, I told her to let you know in person.\Now that you mention it, response:	right before she left, she had a funny smirk on her face.
context: I e-mailed Hikari. She didn't tell you?\No.\It seems both your parents are really busy,\so I came for you instead.\That's odd...\In the e-mail, I told her to let you know in person.\Now that you mention it,\right before she left, she had a funny smirk on her face. response:	She must have kept it to herself, as a joke.
context: No.\It seems both your parents are really busy,\so I came for you instead.\That's odd...\In the e-mail, I told her to let you know in person.\Now that you mention it,\right before she left, she had a funny smirk on her face.\She must have kept it to herself, as a joke. response:	Sorry about that, Kyouko-chan.
context: It seems both your parents are really busy,\so I came for you instead.\That's odd...\In the e-mail, I told her to let you know in person.\Now that you mention it,\right before she left, she had a funny smirk on her face.\She must have kept it to herself, as a joke.\Sorry about that, Kyouko-chan. response:	Oh, it's all right. Sorry to trouble you.
context: so I came for you instead.\That's odd...\In the e-mail, I told her to let you know in person.\Now that you mention it,\right before she left, she had a funny smirk on her face.\She must have kept it to herself, as a joke.\Sorry about that, Kyouko-chan.\Oh, it's all right. Sorry to trouble you. response:	It's no trouble whatsoever.
context: That's odd...\In the e-mail, I told her to let you know in person.\Now that you mention it,\right before she left, she had a funny smirk on her face.\She must have kept it to herself, as a joke.\Sorry about that, Kyouko-chan.\Oh, it's all right. Sorry to trouble you.\It's no trouble whatsoever. response:	After all, I owe your parents a lot.
context: In the e-mail, I told her to let you know in person.\Now that you mention it,\right before she left, she had a funny smirk on her face.\She must have kept it to herself, as a joke.\Sorry about that, Kyouko-chan.\Oh, it's all right. Sorry to trouble you.\It's no trouble whatsoever.\After all, I owe your parents a lot. response:	As they say, it's give and take.
context: Now that you mention it,\right before she left, she had a funny smirk on her face.\She must have kept it to herself, as a joke.\Sorry about that, Kyouko-chan.\Oh, it's all right. Sorry to trouble you.\It's no trouble whatsoever.\After all, I owe your parents a lot.\As they say, it's give and take. response:	By the way,
