context: Fixed Synced by bozxphd.Enjoy The Flick response:	Dropping troops at rally point.
context: Yeah, I want you teach me other topics.\Starting today, as Sir Karasuma's substitute,\I will be in charge of PE.\The name's Takaoka!\Okay!\First things first! Eat up!\Ah! That's baumkuchen from Kashi no Ki shop!\Come on and eat up! Go on! Come on! response:	Thanks for the treat!
context: Starting today, as Sir Karasuma's substitute,\I will be in charge of PE.\The name's Takaoka!\Okay!\First things first! Eat up!\Ah! That's baumkuchen from Kashi no Ki shop!\Come on and eat up! Go on! Come on!\Thanks for the treat! response:	Come on and eat up! Go on!
context: I will be in charge of PE.\The name's Takaoka!\Okay!\First things first! Eat up!\Ah! That's baumkuchen from Kashi no Ki shop!\Come on and eat up! Go on! Come on!\Thanks for the treat!\Come on and eat up! Go on! response:	Don't hold back and just eat!
context: The name's Takaoka!\Okay!\First things first! Eat up!\Ah! That's baumkuchen from Kashi no Ki shop!\Come on and eat up! Go on! Come on!\Thanks for the treat!\Come on and eat up! Go on!\Don't hold back and just eat! response:	But don't get the wrong idea that I'm just luring you in!
context: Okay!\First things first! Eat up!\Ah! That's baumkuchen from Kashi no Ki shop!\Come on and eat up! Go on! Come on!\Thanks for the treat!\Come on and eat up! Go on!\Don't hold back and just eat!\But don't get the wrong idea that I'm just luring you in! response:	I just want to get along with all of you.
context: First things first! Eat up!\Ah! That's baumkuchen from Kashi no Ki shop!\Come on and eat up! Go on! Come on!\Thanks for the treat!\Come on and eat up! Go on!\Don't hold back and just eat!\But don't get the wrong idea that I'm just luring you in!\I just want to get along with all of you. response:	Go on and help yourselves! Go on!
context: Ah! That's baumkuchen from Kashi no Ki shop!\Come on and eat up! Go on! Come on!\Thanks for the treat!\Come on and eat up! Go on!\Don't hold back and just eat!\But don't get the wrong idea that I'm just luring you in!\I just want to get along with all of you.\Go on and help yourselves! Go on! response:	Go on and eat. Help yourselves!
context: Come on and eat up! Go on! Come on!\Thanks for the treat!\Come on and eat up! Go on!\Don't hold back and just eat!\But don't get the wrong idea that I'm just luring you in!\I just want to get along with all of you.\Go on and help yourselves! Go on!\Go on and eat. Help yourselves! response:	He's Akira Takaoka. We were together in the airborne brigade.
context: Thanks for the treat!\Come on and eat up! Go on!\Don't hold back and just eat!\But don't get the wrong idea that I'm just luring you in!\I just want to get along with all of you.\Go on and help yourselves! Go on!\Go on and eat. Help yourselves!\He's Akira Takaoka. We were together in the airborne brigade. response:	I understand that he's a far better instructor than I.
context: Come on and eat up! Go on!\Don't hold back and just eat!\But don't get the wrong idea that I'm just luring you in!\I just want to get along with all of you.\Go on and help yourselves! Go on!\Go on and eat. Help yourselves!\He's Akira Takaoka. We were together in the airborne brigade.\I understand that he's a far better instructor than I. response:	Since we're not making progress, we have to find new ways to assassinate you..
context: Don't hold back and just eat!\But don't get the wrong idea that I'm just luring you in!\I just want to get along with all of you.\Go on and help yourselves! Go on!\Go on and eat. Help yourselves!\He's Akira Takaoka. We were together in the airborne brigade.\I understand that he's a far better instructor than I.\Since we're not making progress, we have to find new ways to assassinate you.. response:	I see.
context: But don't get the wrong idea that I'm just luring you in!\I just want to get along with all of you.\Go on and help yourselves! Go on!\Go on and eat. Help yourselves!\He's Akira Takaoka. We were together in the airborne brigade.\I understand that he's a far better instructor than I.\Since we're not making progress, we have to find new ways to assassinate you..\I see. response:	You and Sir Karasuma are like night and day.
context: I just want to get along with all of you.\Go on and help yourselves! Go on!\Go on and eat. Help yourselves!\He's Akira Takaoka. We were together in the airborne brigade.\I understand that he's a far better instructor than I.\Since we're not making progress, we have to find new ways to assassinate you..\I see.\You and Sir Karasuma are like night and day. response:	I know right! You're like a neighborhood dad!
context: Go on and help yourselves! Go on!\Go on and eat. Help yourselves!\He's Akira Takaoka. We were together in the airborne brigade.\I understand that he's a far better instructor than I.\Since we're not making progress, we have to find new ways to assassinate you..\I see.\You and Sir Karasuma are like night and day.\I know right! You're like a neighborhood dad! response:	Dad, huh? I like that!
context: Go on and eat. Help yourselves!\He's Akira Takaoka. We were together in the airborne brigade.\I understand that he's a far better instructor than I.\Since we're not making progress, we have to find new ways to assassinate you..\I see.\You and Sir Karasuma are like night and day.\I know right! You're like a neighborhood dad!\Dad, huh? I like that! response:	We're in the same class, so that makes us family, right?
context: He's Akira Takaoka. We were together in the airborne brigade.\I understand that he's a far better instructor than I.\Since we're not making progress, we have to find new ways to assassinate you..\I see.\You and Sir Karasuma are like night and day.\I know right! You're like a neighborhood dad!\Dad, huh? I like that!\We're in the same class, so that makes us family, right? response:	Alright!
context: I understand that he's a far better instructor than I.\Since we're not making progress, we have to find new ways to assassinate you..\I see.\You and Sir Karasuma are like night and day.\I know right! You're like a neighborhood dad!\Dad, huh? I like that!\We're in the same class, so that makes us family, right?\Alright! response:	From now on, we are a family!
context: Since we're not making progress, we have to find new ways to assassinate you..\I see.\You and Sir Karasuma are like night and day.\I know right! You're like a neighborhood dad!\Dad, huh? I like that!\We're in the same class, so that makes us family, right?\Alright!\From now on, we are a family! response:	You can rely on me on anything like a dad!
context: I see.\You and Sir Karasuma are like night and day.\I know right! You're like a neighborhood dad!\Dad, huh? I like that!\We're in the same class, so that makes us family, right?\Alright!\From now on, we are a family!\You can rely on me on anything like a dad! response:	Daddy!
context: You and Sir Karasuma are like night and day.\I know right! You're like a neighborhood dad!\Dad, huh? I like that!\We're in the same class, so that makes us family, right?\Alright!\From now on, we are a family!\You can rely on me on anything like a dad!\Daddy! response:	I did some research from the Ministry of Defense.
context: I know right! You're like a neighborhood dad!\Dad, huh? I like that!\We're in the same class, so that makes us family, right?\Alright!\From now on, we are a family!\You can rely on me on anything like a dad!\Daddy!\I did some research from the Ministry of Defense. response:	It seemed like your colleague, Takaoka, thought of you as his greatest rival.
context: Dad, huh? I like that!\We're in the same class, so that makes us family, right?\Alright!\From now on, we are a family!\You can rely on me on anything like a dad!\Daddy!\I did some research from the Ministry of Defense.\It seemed like your colleague, Takaoka, thought of you as his greatest rival. response:	But he thinks he's no match for you.
context: We're in the same class, so that makes us family, right?\Alright!\From now on, we are a family!\You can rely on me on anything like a dad!\Daddy!\I did some research from the Ministry of Defense.\It seemed like your colleague, Takaoka, thought of you as his greatest rival.\But he thinks he's no match for you. response:	Looks like he also applied to the same position as an instructor.
context: Alright!\From now on, we are a family!\You can rely on me on anything like a dad!\Daddy!\I did some research from the Ministry of Defense.\It seemed like your colleague, Takaoka, thought of you as his greatest rival.\But he thinks he's no match for you.\Looks like he also applied to the same position as an instructor. response:	His method is to be close to his students like a family.
context: From now on, we are a family!\You can rely on me on anything like a dad!\Daddy!\I did some research from the Ministry of Defense.\It seemed like your colleague, Takaoka, thought of you as his greatest rival.\But he thinks he's no match for you.\Looks like he also applied to the same position as an instructor.\His method is to be close to his students like a family. response:	I heard he trains a faithful team in a short period of time, by becoming like a violent father under dictatorship.
context: You can rely on me on anything like a dad!\Daddy!\I did some research from the Ministry of Defense.\It seemed like your colleague, Takaoka, thought of you as his greatest rival.\But he thinks he's no match for you.\Looks like he also applied to the same position as an instructor.\His method is to be close to his students like a family.\I heard he trains a faithful team in a short period of time, by becoming like a violent father under dictatorship. response:	This the result of his training.
context: Daddy!\I did some research from the Ministry of Defense.\It seemed like your colleague, Takaoka, thought of you as his greatest rival.\But he thinks he's no match for you.\Looks like he also applied to the same position as an instructor.\His method is to be close to his students like a family.\I heard he trains a faithful team in a short period of time, by becoming like a violent father under dictatorship.\This the result of his training. response:	What is this?
context: I did some research from the Ministry of Defense.\It seemed like your colleague, Takaoka, thought of you as his greatest rival.\But he thinks he's no match for you.\Looks like he also applied to the same position as an instructor.\His method is to be close to his students like a family.\I heard he trains a faithful team in a short period of time, by becoming like a violent father under dictatorship.\This the result of his training.\What is this? response:	Surprised?
context: It seemed like your colleague, Takaoka, thought of you as his greatest rival.\But he thinks he's no match for you.\Looks like he also applied to the same position as an instructor.\His method is to be close to his students like a family.\I heard he trains a faithful team in a short period of time, by becoming like a violent father under dictatorship.\This the result of his training.\What is this?\Surprised? response:	Looks like their morales and bodies ended up in pieces.
context: But he thinks he's no match for you.\Looks like he also applied to the same position as an instructor.\His method is to be close to his students like a family.\I heard he trains a faithful team in a short period of time, by becoming like a violent father under dictatorship.\This the result of his training.\What is this?\Surprised?\Looks like their morales and bodies ended up in pieces. response:	Our men can easily be manipulated.
context: Looks like he also applied to the same position as an instructor.\His method is to be close to his students like a family.\I heard he trains a faithful team in a short period of time, by becoming like a violent father under dictatorship.\This the result of his training.\What is this?\Surprised?\Looks like their morales and bodies ended up in pieces.\Our men can easily be manipulated. response:	Huh?
context: His method is to be close to his students like a family.\I heard he trains a faithful team in a short period of time, by becoming like a violent father under dictatorship.\This the result of his training.\What is this?\Surprised?\Looks like their morales and bodies ended up in pieces.\Our men can easily be manipulated.\Huh? response:	Looks like their morales and bodies ended up in pieces.
context: I heard he trains a faithful team in a short period of time, by becoming like a violent father under dictatorship.\This the result of his training.\What is this?\Surprised?\Looks like their morales and bodies ended up in pieces.\Our men can easily be manipulated.\Huh?\Looks like their morales and bodies ended up in pieces. response:	Doing good! 20 laps left!
context: This the result of his training.\What is this?\Surprised?\Looks like their morales and bodies ended up in pieces.\Our men can easily be manipulated.\Huh?\Looks like their morales and bodies ended up in pieces.\Doing good! 20 laps left! response:	Come on! Only an hour left!
context: What is this?\Surprised?\Looks like their morales and bodies ended up in pieces.\Our men can easily be manipulated.\Huh?\Looks like their morales and bodies ended up in pieces.\Doing good! 20 laps left!\Come on! Only an hour left! response:	What's this? Come on now! Give it all for your last spurt!
context: Surprised?\Looks like their morales and bodies ended up in pieces.\Our men can easily be manipulated.\Huh?\Looks like their morales and bodies ended up in pieces.\Doing good! 20 laps left!\Come on! Only an hour left!\What's this? Come on now! Give it all for your last spurt! response:	Last spurt!
context: Looks like their morales and bodies ended up in pieces.\Our men can easily be manipulated.\Huh?\Looks like their morales and bodies ended up in pieces.\Doing good! 20 laps left!\Come on! Only an hour left!\What's this? Come on now! Give it all for your last spurt!\Last spurt! response:	Oh mushroom! You're doing great!
context: Our men can easily be manipulated.\Huh?\Looks like their morales and bodies ended up in pieces.\Doing good! 20 laps left!\Come on! Only an hour left!\What's this? Come on now! Give it all for your last spurt!\Last spurt!\Oh mushroom! You're doing great! response:	Go all out! Go! Go! Go!
context: Huh?\Looks like their morales and bodies ended up in pieces.\Doing good! 20 laps left!\Come on! Only an hour left!\What's this? Come on now! Give it all for your last spurt!\Last spurt!\Oh mushroom! You're doing great!\Go all out! Go! Go! Go! response:	Hey, hey, hey.
context: Looks like their morales and bodies ended up in pieces.\Doing good! 20 laps left!\Come on! Only an hour left!\What's this? Come on now! Give it all for your last spurt!\Last spurt!\Oh mushroom! You're doing great!\Go all out! Go! Go! Go!\Hey, hey, hey. response:	Hey, hey, hey, hey, hey.
context: Doing good! 20 laps left!\Come on! Only an hour left!\What's this? Come on now! Give it all for your last spurt!\Last spurt!\Oh mushroom! You're doing great!\Go all out! Go! Go! Go!\Hey, hey, hey.\Hey, hey, hey, hey, hey. response:	Are you okay, Kanzaki?
context: Come on! Only an hour left!\What's this? Come on now! Give it all for your last spurt!\Last spurt!\Oh mushroom! You're doing great!\Go all out! Go! Go! Go!\Hey, hey, hey.\Hey, hey, hey, hey, hey.\Are you okay, Kanzaki? response:	- As your dad, I will make sure... - I can't do it anymore.
context: What's this? Come on now! Give it all for your last spurt!\Last spurt!\Oh mushroom! You're doing great!\Go all out! Go! Go! Go!\Hey, hey, hey.\Hey, hey, hey, hey, hey.\Are you okay, Kanzaki?\- As your dad, I will make sure... - I can't do it anymore. response:	I'd rather have Sir Karasuma's class.
context: Last spurt!\Oh mushroom! You're doing great!\Go all out! Go! Go! Go!\Hey, hey, hey.\Hey, hey, hey, hey, hey.\Are you okay, Kanzaki?\- As your dad, I will make sure... - I can't do it anymore.\I'd rather have Sir Karasuma's class. response:	Kanzaki!
context: Oh mushroom! You're doing great!\Go all out! Go! Go! Go!\Hey, hey, hey.\Hey, hey, hey, hey, hey.\Are you okay, Kanzaki?\- As your dad, I will make sure... - I can't do it anymore.\I'd rather have Sir Karasuma's class.\Kanzaki! response:	- Kanzaki! - Are you okay?
context: Go all out! Go! Go! Go!\Hey, hey, hey.\Hey, hey, hey, hey, hey.\Are you okay, Kanzaki?\- As your dad, I will make sure... - I can't do it anymore.\I'd rather have Sir Karasuma's class.\Kanzaki!\- Kanzaki! - Are you okay? response:	How dare you talk back to your dad.
context: Hey, hey, hey.\Hey, hey, hey, hey, hey.\Are you okay, Kanzaki?\- As your dad, I will make sure... - I can't do it anymore.\I'd rather have Sir Karasuma's class.\Kanzaki!\- Kanzaki! - Are you okay?\How dare you talk back to your dad. response:	- Stop that, Sir! - Sir!
context: Hey, hey, hey, hey, hey.\Are you okay, Kanzaki?\- As your dad, I will make sure... - I can't do it anymore.\I'd rather have Sir Karasuma's class.\Kanzaki!\- Kanzaki! - Are you okay?\How dare you talk back to your dad.\- Stop that, Sir! - Sir! response:	You're a bad girl.
context: Are you okay, Kanzaki?\- As your dad, I will make sure... - I can't do it anymore.\I'd rather have Sir Karasuma's class.\Kanzaki!\- Kanzaki! - Are you okay?\How dare you talk back to your dad.\- Stop that, Sir! - Sir!\You're a bad girl. response:	Somebody stop him!
context: - As your dad, I will make sure... - I can't do it anymore.\I'd rather have Sir Karasuma's class.\Kanzaki!\- Kanzaki! - Are you okay?\How dare you talk back to your dad.\- Stop that, Sir! - Sir!\You're a bad girl.\Somebody stop him! response:	If you want to get violent, get violent with me.
context: I'd rather have Sir Karasuma's class.\Kanzaki!\- Kanzaki! - Are you okay?\How dare you talk back to your dad.\- Stop that, Sir! - Sir!\You're a bad girl.\Somebody stop him!\If you want to get violent, get violent with me. response:	Heh. You're already getting in the way?
context: Kanzaki!\- Kanzaki! - Are you okay?\How dare you talk back to your dad.\- Stop that, Sir! - Sir!\You're a bad girl.\Somebody stop him!\If you want to get violent, get violent with me.\Heh. You're already getting in the way? response:	They are middle school students first before soldiers.
context: - Kanzaki! - Are you okay?\How dare you talk back to your dad.\- Stop that, Sir! - Sir!\You're a bad girl.\Somebody stop him!\If you want to get violent, get violent with me.\Heh. You're already getting in the way?\They are middle school students first before soldiers. response:	They will still lead their hopeless lives even if they studied.
context: How dare you talk back to your dad.\- Stop that, Sir! - Sir!\You're a bad girl.\Somebody stop him!\If you want to get violent, get violent with me.\Heh. You're already getting in the way?\They are middle school students first before soldiers.\They will still lead their hopeless lives even if they studied. response:	That's why I'm giving them discipline.
context: - Stop that, Sir! - Sir!\You're a bad girl.\Somebody stop him!\If you want to get violent, get violent with me.\Heh. You're already getting in the way?\They are middle school students first before soldiers.\They will still lead their hopeless lives even if they studied.\That's why I'm giving them discipline. response:	How about we face off as teachers?
context: You're a bad girl.\Somebody stop him!\If you want to get violent, get violent with me.\Heh. You're already getting in the way?\They are middle school students first before soldiers.\They will still lead their hopeless lives even if they studied.\That's why I'm giving them discipline.\How about we face off as teachers? response:	Choose the best student you trained among them.
context: Somebody stop him!\If you want to get violent, get violent with me.\Heh. You're already getting in the way?\They are middle school students first before soldiers.\They will still lead their hopeless lives even if they studied.\That's why I'm giving them discipline.\How about we face off as teachers?\Choose the best student you trained among them. response:	I will fight barehanded with that student.
context: If you want to get violent, get violent with me.\Heh. You're already getting in the way?\They are middle school students first before soldiers.\They will still lead their hopeless lives even if they studied.\That's why I'm giving them discipline.\How about we face off as teachers?\Choose the best student you trained among them.\I will fight barehanded with that student. response:	And if their knife even touches me once,
context: Heh. You're already getting in the way?\They are middle school students first before soldiers.\They will still lead their hopeless lives even if they studied.\That's why I'm giving them discipline.\How about we face off as teachers?\Choose the best student you trained among them.\I will fight barehanded with that student.\And if their knife even touches me once, response:	I'll concede that your style of education is better than mine and I'll take my leave.
context: They are middle school students first before soldiers.\They will still lead their hopeless lives even if they studied.\That's why I'm giving them discipline.\How about we face off as teachers?\Choose the best student you trained among them.\I will fight barehanded with that student.\And if their knife even touches me once,\I'll concede that your style of education is better than mine and I'll take my leave. response:	But!
context: They will still lead their hopeless lives even if they studied.\That's why I'm giving them discipline.\How about we face off as teachers?\Choose the best student you trained among them.\I will fight barehanded with that student.\And if their knife even touches me once,\I'll concede that your style of education is better than mine and I'll take my leave.\But! response:	We will be using this knife.
context: That's why I'm giving them discipline.\How about we face off as teachers?\Choose the best student you trained among them.\I will fight barehanded with that student.\And if their knife even touches me once,\I'll concede that your style of education is better than mine and I'll take my leave.\But!\We will be using this knife. response:	The student's target will be me, a human being.
context: How about we face off as teachers?\Choose the best student you trained among them.\I will fight barehanded with that student.\And if their knife even touches me once,\I'll concede that your style of education is better than mine and I'll take my leave.\But!\We will be using this knife.\The student's target will be me, a human being. response:	So naturally, the student would need a real knife.
context: Choose the best student you trained among them.\I will fight barehanded with that student.\And if their knife even touches me once,\I'll concede that your style of education is better than mine and I'll take my leave.\But!\We will be using this knife.\The student's target will be me, a human being.\So naturally, the student would need a real knife. response:	But the students haven't used...
context: I will fight barehanded with that student.\And if their knife even touches me once,\I'll concede that your style of education is better than mine and I'll take my leave.\But!\We will be using this knife.\The student's target will be me, a human being.\So naturally, the student would need a real knife.\But the students haven't used... response:	Relax.
context: And if their knife even touches me once,\I'll concede that your style of education is better than mine and I'll take my leave.\But!\We will be using this knife.\The student's target will be me, a human being.\So naturally, the student would need a real knife.\But the students haven't used...\Relax. response:	Stopping just before contact will still count as a hit.
context: I'll concede that your style of education is better than mine and I'll take my leave.\But!\We will be using this knife.\The student's target will be me, a human being.\So naturally, the student would need a real knife.\But the students haven't used...\Relax.\Stopping just before contact will still count as a hit. response:	Come on! Choose!
context: But!\We will be using this knife.\The student's target will be me, a human being.\So naturally, the student would need a real knife.\But the students haven't used...\Relax.\Stopping just before contact will still count as a hit.\Come on! Choose! response:	I'm bare-handed anyway!
context: We will be using this knife.\The student's target will be me, a human being.\So naturally, the student would need a real knife.\But the students haven't used...\Relax.\Stopping just before contact will still count as a hit.\Come on! Choose!\I'm bare-handed anyway! response:	What more of a handicap do you want?
context: The student's target will be me, a human being.\So naturally, the student would need a real knife.\But the students haven't used...\Relax.\Stopping just before contact will still count as a hit.\Come on! Choose!\I'm bare-handed anyway!\What more of a handicap do you want? response:	As someone who charged you with an assassination mission to save the world,
context: So naturally, the student would need a real knife.\But the students haven't used...\Relax.\Stopping just before contact will still count as a hit.\Come on! Choose!\I'm bare-handed anyway!\What more of a handicap do you want?\As someone who charged you with an assassination mission to save the world, response:	I consider you all fellow professionals.
context: But the students haven't used...\Relax.\Stopping just before contact will still count as a hit.\Come on! Choose!\I'm bare-handed anyway!\What more of a handicap do you want?\As someone who charged you with an assassination mission to save the world,\I consider you all fellow professionals. response:	And speaking as a professional,
context: Relax.\Stopping just before contact will still count as a hit.\Come on! Choose!\I'm bare-handed anyway!\What more of a handicap do you want?\As someone who charged you with an assassination mission to save the world,\I consider you all fellow professionals.\And speaking as a professional, response:	I believe the least you deserve in return
context: Stopping just before contact will still count as a hit.\Come on! Choose!\I'm bare-handed anyway!\What more of a handicap do you want?\As someone who charged you with an assassination mission to save the world,\I consider you all fellow professionals.\And speaking as a professional,\I believe the least you deserve in return response:	is the guarantee of a normal middle school life.
context: Come on! Choose!\I'm bare-handed anyway!\What more of a handicap do you want?\As someone who charged you with an assassination mission to save the world,\I consider you all fellow professionals.\And speaking as a professional,\I believe the least you deserve in return\is the guarantee of a normal middle school life. response:	So you don't have to take this knife if you don't want to.
context: I'm bare-handed anyway!\What more of a handicap do you want?\As someone who charged you with an assassination mission to save the world,\I consider you all fellow professionals.\And speaking as a professional,\I believe the least you deserve in return\is the guarantee of a normal middle school life.\So you don't have to take this knife if you don't want to. response:	Don't make me wait, Karasuma! Choose a student!
context: What more of a handicap do you want?\As someone who charged you with an assassination mission to save the world,\I consider you all fellow professionals.\And speaking as a professional,\I believe the least you deserve in return\is the guarantee of a normal middle school life.\So you don't have to take this knife if you don't want to.\Don't make me wait, Karasuma! Choose a student! response:	Will you do it?
context: As someone who charged you with an assassination mission to save the world,\I consider you all fellow professionals.\And speaking as a professional,\I believe the least you deserve in return\is the guarantee of a normal middle school life.\So you don't have to take this knife if you don't want to.\Don't make me wait, Karasuma! Choose a student!\Will you do it? response:	Nagisa.
context: I consider you all fellow professionals.\And speaking as a professional,\I believe the least you deserve in return\is the guarantee of a normal middle school life.\So you don't have to take this knife if you don't want to.\Don't make me wait, Karasuma! Choose a student!\Will you do it?\Nagisa. response:	What? Nagisa?
context: And speaking as a professional,\I believe the least you deserve in return\is the guarantee of a normal middle school life.\So you don't have to take this knife if you don't want to.\Don't make me wait, Karasuma! Choose a student!\Will you do it?\Nagisa.\What? Nagisa? response:	What?
context: I believe the least you deserve in return\is the guarantee of a normal middle school life.\So you don't have to take this knife if you don't want to.\Don't make me wait, Karasuma! Choose a student!\Will you do it?\Nagisa.\What? Nagisa?\What? response:	He'll lose.
context: is the guarantee of a normal middle school life.\So you don't have to take this knife if you don't want to.\Don't make me wait, Karasuma! Choose a student!\Will you do it?\Nagisa.\What? Nagisa?\What?\He'll lose. response:	You'll lose, Nagisa!
context: So you don't have to take this knife if you don't want to.\Don't make me wait, Karasuma! Choose a student!\Will you do it?\Nagisa.\What? Nagisa?\What?\He'll lose.\You'll lose, Nagisa! response:	Please leave it to me.
context: Don't make me wait, Karasuma! Choose a student!\Will you do it?\Nagisa.\What? Nagisa?\What?\He'll lose.\You'll lose, Nagisa!\Please leave it to me. response:	Takaoka will treat this match as a real combat.
context: Will you do it?\Nagisa.\What? Nagisa?\What?\He'll lose.\You'll lose, Nagisa!\Please leave it to me.\Takaoka will treat this match as a real combat. response:	So he has to demonstrate his strength.
context: Nagisa.\What? Nagisa?\What?\He'll lose.\You'll lose, Nagisa!\Please leave it to me.\Takaoka will treat this match as a real combat.\So he has to demonstrate his strength. response:	But for you, it's an assassination.
context: What? Nagisa?\What?\He'll lose.\You'll lose, Nagisa!\Please leave it to me.\Takaoka will treat this match as a real combat.\So he has to demonstrate his strength.\But for you, it's an assassination. response:	Just make one good contact.
context: What?\He'll lose.\You'll lose, Nagisa!\Please leave it to me.\Takaoka will treat this match as a real combat.\So he has to demonstrate his strength.\But for you, it's an assassination.\Just make one good contact. response:	Understood, Sir.
context: He'll lose.\You'll lose, Nagisa!\Please leave it to me.\Takaoka will treat this match as a real combat.\So he has to demonstrate his strength.\But for you, it's an assassination.\Just make one good contact.\Understood, Sir. response:	This trick worked wonders even at JSDF.
context: You'll lose, Nagisa!\Please leave it to me.\Takaoka will treat this match as a real combat.\So he has to demonstrate his strength.\But for you, it's an assassination.\Just make one good contact.\Understood, Sir.\This trick worked wonders even at JSDF. response:	Unarmed, I'd beat down a terrified new recruit
context: Please leave it to me.\Takaoka will treat this match as a real combat.\So he has to demonstrate his strength.\But for you, it's an assassination.\Just make one good contact.\Understood, Sir.\This trick worked wonders even at JSDF.\Unarmed, I'd beat down a terrified new recruit response:	who had never held a real knife before.
context: Takaoka will treat this match as a real combat.\So he has to demonstrate his strength.\But for you, it's an assassination.\Just make one good contact.\Understood, Sir.\This trick worked wonders even at JSDF.\Unarmed, I'd beat down a terrified new recruit\who had never held a real knife before. response:	Everyone there saw how much I outranked them.
context: So he has to demonstrate his strength.\But for you, it's an assassination.\Just make one good contact.\Understood, Sir.\This trick worked wonders even at JSDF.\Unarmed, I'd beat down a terrified new recruit\who had never held a real knife before.\Everyone there saw how much I outranked them. response:	They eventually became my faithful devotees.
context: But for you, it's an assassination.\Just make one good contact.\Understood, Sir.\This trick worked wonders even at JSDF.\Unarmed, I'd beat down a terrified new recruit\who had never held a real knife before.\Everyone there saw how much I outranked them.\They eventually became my faithful devotees. response:	I don't have to fight him to win.
context: Just make one good contact.\Understood, Sir.\This trick worked wonders even at JSDF.\Unarmed, I'd beat down a terrified new recruit\who had never held a real knife before.\Everyone there saw how much I outranked them.\They eventually became my faithful devotees.\I don't have to fight him to win. response:	I just need to kill him.
context: Understood, Sir.\This trick worked wonders even at JSDF.\Unarmed, I'd beat down a terrified new recruit\who had never held a real knife before.\Everyone there saw how much I outranked them.\They eventually became my faithful devotees.\I don't have to fight him to win.\I just need to kill him. response:	You damn brat!
context: This trick worked wonders even at JSDF.\Unarmed, I'd beat down a terrified new recruit\who had never held a real knife before.\Everyone there saw how much I outranked them.\They eventually became my faithful devotees.\I don't have to fight him to win.\I just need to kill him.\You damn brat! response:	How dare you turn on your father figure!
context: Unarmed, I'd beat down a terrified new recruit\who had never held a real knife before.\Everyone there saw how much I outranked them.\They eventually became my faithful devotees.\I don't have to fight him to win.\I just need to kill him.\You damn brat!\How dare you turn on your father figure! response:	I demand a rematch! I won't be off guard this time around!
context: who had never held a real knife before.\Everyone there saw how much I outranked them.\They eventually became my faithful devotees.\I don't have to fight him to win.\I just need to kill him.\You damn brat!\How dare you turn on your father figure!\I demand a rematch! I won't be off guard this time around! response:	True. If we'd fought again, I'd lose for sure.
context: Everyone there saw how much I outranked them.\They eventually became my faithful devotees.\I don't have to fight him to win.\I just need to kill him.\You damn brat!\How dare you turn on your father figure!\I demand a rematch! I won't be off guard this time around!\True. If we'd fought again, I'd lose for sure. response:	And I'm really grateful that your training us to make us stronger.
context: They eventually became my faithful devotees.\I don't have to fight him to win.\I just need to kill him.\You damn brat!\How dare you turn on your father figure!\I demand a rematch! I won't be off guard this time around!\True. If we'd fought again, I'd lose for sure.\And I'm really grateful that your training us to make us stronger. response:	But...
context: I don't have to fight him to win.\I just need to kill him.\You damn brat!\How dare you turn on your father figure!\I demand a rematch! I won't be off guard this time around!\True. If we'd fought again, I'd lose for sure.\And I'm really grateful that your training us to make us stronger.\But... response:	Our firm teacher is Korosensei.
context: I just need to kill him.\You damn brat!\How dare you turn on your father figure!\I demand a rematch! I won't be off guard this time around!\True. If we'd fought again, I'd lose for sure.\And I'm really grateful that your training us to make us stronger.\But...\Our firm teacher is Korosensei. response:	And our training instructor is Sir Karasuma.
context: You damn brat!\How dare you turn on your father figure!\I demand a rematch! I won't be off guard this time around!\True. If we'd fought again, I'd lose for sure.\And I'm really grateful that your training us to make us stronger.\But...\Our firm teacher is Korosensei.\And our training instructor is Sir Karasuma. response:	I'm sorry.
context: How dare you turn on your father figure!\I demand a rematch! I won't be off guard this time around!\True. If we'd fought again, I'd lose for sure.\And I'm really grateful that your training us to make us stronger.\But...\Our firm teacher is Korosensei.\And our training instructor is Sir Karasuma.\I'm sorry. response:	Please leave.
context: I demand a rematch! I won't be off guard this time around!\True. If we'd fought again, I'd lose for sure.\And I'm really grateful that your training us to make us stronger.\But...\Our firm teacher is Korosensei.\And our training instructor is Sir Karasuma.\I'm sorry.\Please leave. response:	Don't think I'm done with you.
context: True. If we'd fought again, I'd lose for sure.\And I'm really grateful that your training us to make us stronger.\But...\Our firm teacher is Korosensei.\And our training instructor is Sir Karasuma.\I'm sorry.\Please leave.\Don't think I'm done with you. response:	Whoa, Nagisa! What the hell are you?!
context: And I'm really grateful that your training us to make us stronger.\But...\Our firm teacher is Korosensei.\And our training instructor is Sir Karasuma.\I'm sorry.\Please leave.\Don't think I'm done with you.\Whoa, Nagisa! What the hell are you?! response:	You're amazing!
context: But...\Our firm teacher is Korosensei.\And our training instructor is Sir Karasuma.\I'm sorry.\Please leave.\Don't think I'm done with you.\Whoa, Nagisa! What the hell are you?!\You're amazing! response:	One-two!
context: Our firm teacher is Korosensei.\And our training instructor is Sir Karasuma.\I'm sorry.\Please leave.\Don't think I'm done with you.\Whoa, Nagisa! What the hell are you?!\You're amazing!\One-two! response:	Hooray! Hooray! Hooray!
context: And our training instructor is Sir Karasuma.\I'm sorry.\Please leave.\Don't think I'm done with you.\Whoa, Nagisa! What the hell are you?!\You're amazing!\One-two!\Hooray! Hooray! Hooray! response:	I see you've noticed it too.
