context: In the summer when I was 16, response:	I changed my brand of cigarettes to Seven Stars.
context: Are you fine with a loveless relationship?!\Love comes later.\People love themselves more than anyone else.\They end up loving those who can fulfill the most desires they have.\In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR Huh?!\Why not? Let them get married, Take. response:	Why don't we see where a relationship
context: Love comes later.\People love themselves more than anyone else.\They end up loving those who can fulfill the most desires they have.\In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR Huh?!\Why not? Let them get married, Take.\Why don't we see where a relationship response:	between a bastard and a fad follower will take them?
context: People love themselves more than anyone else.\They end up loving those who can fulfill the most desires they have.\In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR Huh?!\Why not? Let them get married, Take.\Why don't we see where a relationship\between a bastard and a fad follower will take them? response:	This could be fun.
context: They end up loving those who can fulfill the most desires they have.\In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR Huh?!\Why not? Let them get married, Take.\Why don't we see where a relationship\between a bastard and a fad follower will take them?\This could be fun. response:	Easy for you to say.
context: In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR Huh?!\Why not? Let them get married, Take.\Why don't we see where a relationship\between a bastard and a fad follower will take them?\This could be fun.\Easy for you to say. response:	Anyway, we must discuss this with the president.
context: HIDEKI KASAI (45) DIRECTOR In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR Huh?!\Why not? Let them get married, Take.\Why don't we see where a relationship\between a bastard and a fad follower will take them?\This could be fun.\Easy for you to say.\Anyway, we must discuss this with the president. response:	Until we do, please, everyone, keep this a secret.
context: HIDEKI KASAI (45) DIRECTOR Huh?!\Why not? Let them get married, Take.\Why don't we see where a relationship\between a bastard and a fad follower will take them?\This could be fun.\Easy for you to say.\Anyway, we must discuss this with the president.\Until we do, please, everyone, keep this a secret. response:	What a pain.
context: Why not? Let them get married, Take.\Why don't we see where a relationship\between a bastard and a fad follower will take them?\This could be fun.\Easy for you to say.\Anyway, we must discuss this with the president.\Until we do, please, everyone, keep this a secret.\What a pain. response:	Let me do as I wish! It's my marriage!
context: Why don't we see where a relationship\between a bastard and a fad follower will take them?\This could be fun.\Easy for you to say.\Anyway, we must discuss this with the president.\Until we do, please, everyone, keep this a secret.\What a pain.\Let me do as I wish! It's my marriage! response:	Well then, let's get started with the recording.
context: between a bastard and a fad follower will take them?\This could be fun.\Easy for you to say.\Anyway, we must discuss this with the president.\Until we do, please, everyone, keep this a secret.\What a pain.\Let me do as I wish! It's my marriage!\Well then, let's get started with the recording. response:	Huh? Where's Reira?
context: This could be fun.\Easy for you to say.\Anyway, we must discuss this with the president.\Until we do, please, everyone, keep this a secret.\What a pain.\Let me do as I wish! It's my marriage!\Well then, let's get started with the recording.\Huh? Where's Reira? response:	She was here until a moment ago.
context: Easy for you to say.\Anyway, we must discuss this with the president.\Until we do, please, everyone, keep this a secret.\What a pain.\Let me do as I wish! It's my marriage!\Well then, let's get started with the recording.\Huh? Where's Reira?\She was here until a moment ago. response:	I'm sure she'll be right back.
context: Anyway, we must discuss this with the president.\Until we do, please, everyone, keep this a secret.\What a pain.\Let me do as I wish! It's my marriage!\Well then, let's get started with the recording.\Huh? Where's Reira?\She was here until a moment ago.\I'm sure she'll be right back. response:	We record the vocals later anyway.
context: Until we do, please, everyone, keep this a secret.\What a pain.\Let me do as I wish! It's my marriage!\Well then, let's get started with the recording.\Huh? Where's Reira?\She was here until a moment ago.\I'm sure she'll be right back.\We record the vocals later anyway. response:	We can do it without temporary vocals.
context: What a pain.\Let me do as I wish! It's my marriage!\Well then, let's get started with the recording.\Huh? Where's Reira?\She was here until a moment ago.\I'm sure she'll be right back.\We record the vocals later anyway.\We can do it without temporary vocals. response:	Mari, could you please go look for her?
context: Let me do as I wish! It's my marriage!\Well then, let's get started with the recording.\Huh? Where's Reira?\She was here until a moment ago.\I'm sure she'll be right back.\We record the vocals later anyway.\We can do it without temporary vocals.\Mari, could you please go look for her? response:	Yes.
context: Well then, let's get started with the recording.\Huh? Where's Reira?\She was here until a moment ago.\I'm sure she'll be right back.\We record the vocals later anyway.\We can do it without temporary vocals.\Mari, could you please go look for her?\Yes. response:	What? Reira's your real name?
context: Huh? Where's Reira?\She was here until a moment ago.\I'm sure she'll be right back.\We record the vocals later anyway.\We can do it without temporary vocals.\Mari, could you please go look for her?\Yes.\What? Reira's your real name? response:	Mhm. Well, almost. It's spelled L-A-Y-L-A.
context: She was here until a moment ago.\I'm sure she'll be right back.\We record the vocals later anyway.\We can do it without temporary vocals.\Mari, could you please go look for her?\Yes.\What? Reira's your real name?\Mhm. Well, almost. It's spelled L-A-Y-L-A. response:	You know the Eric Clapton song, Layla?
context: I'm sure she'll be right back.\We record the vocals later anyway.\We can do it without temporary vocals.\Mari, could you please go look for her?\Yes.\What? Reira's your real name?\Mhm. Well, almost. It's spelled L-A-Y-L-A.\You know the Eric Clapton song, Layla? response:	Yeah. It's a famous song.
context: We record the vocals later anyway.\We can do it without temporary vocals.\Mari, could you please go look for her?\Yes.\What? Reira's your real name?\Mhm. Well, almost. It's spelled L-A-Y-L-A.\You know the Eric Clapton song, Layla?\Yeah. It's a famous song. response:	My father loved that song, so he named me after it.
context: We can do it without temporary vocals.\Mari, could you please go look for her?\Yes.\What? Reira's your real name?\Mhm. Well, almost. It's spelled L-A-Y-L-A.\You know the Eric Clapton song, Layla?\Yeah. It's a famous song.\My father loved that song, so he named me after it. response:	Even now when I'm alone in my room,
context: Mari, could you please go look for her?\Yes.\What? Reira's your real name?\Mhm. Well, almost. It's spelled L-A-Y-L-A.\You know the Eric Clapton song, Layla?\Yeah. It's a famous song.\My father loved that song, so he named me after it.\Even now when I'm alone in my room, response:	I play that CD and I don't feel alone.
context: Yes.\What? Reira's your real name?\Mhm. Well, almost. It's spelled L-A-Y-L-A.\You know the Eric Clapton song, Layla?\Yeah. It's a famous song.\My father loved that song, so he named me after it.\Even now when I'm alone in my room,\I play that CD and I don't feel alone. response:	Lovely Layla.
context: What? Reira's your real name?\Mhm. Well, almost. It's spelled L-A-Y-L-A.\You know the Eric Clapton song, Layla?\Yeah. It's a famous song.\My father loved that song, so he named me after it.\Even now when I'm alone in my room,\I play that CD and I don't feel alone.\Lovely Layla. response:	The Japanese title is different...
context: Mhm. Well, almost. It's spelled L-A-Y-L-A.\You know the Eric Clapton song, Layla?\Yeah. It's a famous song.\My father loved that song, so he named me after it.\Even now when I'm alone in my room,\I play that CD and I don't feel alone.\Lovely Layla.\The Japanese title is different... response:	That'll be 5,500 yen.
context: You know the Eric Clapton song, Layla?\Yeah. It's a famous song.\My father loved that song, so he named me after it.\Even now when I'm alone in my room,\I play that CD and I don't feel alone.\Lovely Layla.\The Japanese title is different...\That'll be 5,500 yen. response:	I'll be in touch.
context: Yeah. It's a famous song.\My father loved that song, so he named me after it.\Even now when I'm alone in my room,\I play that CD and I don't feel alone.\Lovely Layla.\The Japanese title is different...\That'll be 5,500 yen.\I'll be in touch. response:	Yes?
context: My father loved that song, so he named me after it.\Even now when I'm alone in my room,\I play that CD and I don't feel alone.\Lovely Layla.\The Japanese title is different...\That'll be 5,500 yen.\I'll be in touch.\Yes? response:	Hello?
context: Even now when I'm alone in my room,\I play that CD and I don't feel alone.\Lovely Layla.\The Japanese title is different...\That'll be 5,500 yen.\I'll be in touch.\Yes?\Hello? response:	Hello?
context: I play that CD and I don't feel alone.\Lovely Layla.\The Japanese title is different...\That'll be 5,500 yen.\I'll be in touch.\Yes?\Hello?\Hello? response:	Shin,.,
context: Lovely Layla.\The Japanese title is different...\That'll be 5,500 yen.\I'll be in touch.\Yes?\Hello?\Hello?\Shin,., response:	What's the matter?
context: The Japanese title is different...\That'll be 5,500 yen.\I'll be in touch.\Yes?\Hello?\Hello?\Shin,.,\What's the matter? response:	Where are you now, Reira? What about the recording?
context: That'll be 5,500 yen.\I'll be in touch.\Yes?\Hello?\Hello?\Shin,.,\What's the matter?\Where are you now, Reira? What about the recording? response:	Did something happen?
context: I'll be in touch.\Yes?\Hello?\Hello?\Shin,.,\What's the matter?\Where are you now, Reira? What about the recording?\Did something happen? response:	Reira, are you all right?
context: Yes?\Hello?\Hello?\Shin,.,\What's the matter?\Where are you now, Reira? What about the recording?\Did something happen?\Reira, are you all right? response:	Please do me a favor.
context: Hello?\Hello?\Shin,.,\What's the matter?\Where are you now, Reira? What about the recording?\Did something happen?\Reira, are you all right?\Please do me a favor. response:	I'm sorry.
context: Hello?\Shin,.,\What's the matter?\Where are you now, Reira? What about the recording?\Did something happen?\Reira, are you all right?\Please do me a favor.\I'm sorry. response:	Just tell me what it is. I'll do anything.
context: Shin,.,\What's the matter?\Where are you now, Reira? What about the recording?\Did something happen?\Reira, are you all right?\Please do me a favor.\I'm sorry.\Just tell me what it is. I'll do anything. response:	I don't need any more money.
context: What's the matter?\Where are you now, Reira? What about the recording?\Did something happen?\Reira, are you all right?\Please do me a favor.\I'm sorry.\Just tell me what it is. I'll do anything.\I don't need any more money. response:	Yasu,.,
context: Where are you now, Reira? What about the recording?\Did something happen?\Reira, are you all right?\Please do me a favor.\I'm sorry.\Just tell me what it is. I'll do anything.\I don't need any more money.\Yasu,., response:	Huh?
context: Did something happen?\Reira, are you all right?\Please do me a favor.\I'm sorry.\Just tell me what it is. I'll do anything.\I don't need any more money.\Yasu,.,\Huh? response:	What?
context: Reira, are you all right?\Please do me a favor.\I'm sorry.\Just tell me what it is. I'll do anything.\I don't need any more money.\Yasu,.,\Huh?\What? response:	Please give me Yasu's cell number.
context: Please do me a favor.\I'm sorry.\Just tell me what it is. I'll do anything.\I don't need any more money.\Yasu,.,\Huh?\What?\Please give me Yasu's cell number. response:	Hello...
context: I'm sorry.\Just tell me what it is. I'll do anything.\I don't need any more money.\Yasu,.,\Huh?\What?\Please give me Yasu's cell number.\Hello... response:	Nana?! What the hell are you doing?! You had me worried!
context: Just tell me what it is. I'll do anything.\I don't need any more money.\Yasu,.,\Huh?\What?\Please give me Yasu's cell number.\Hello...\Nana?! What the hell are you doing?! You had me worried! response:	Nobu?
context: I don't need any more money.\Yasu,.,\Huh?\What?\Please give me Yasu's cell number.\Hello...\Nana?! What the hell are you doing?! You had me worried!\Nobu? response:	I called you a number of times since this morning,
context: Yasu,.,\Huh?\What?\Please give me Yasu's cell number.\Hello...\Nana?! What the hell are you doing?! You had me worried!\Nobu?\I called you a number of times since this morning, response:	but you didn't pick up!
context: Huh?\What?\Please give me Yasu's cell number.\Hello...\Nana?! What the hell are you doing?! You had me worried!\Nobu?\I called you a number of times since this morning,\but you didn't pick up! response:	I was panicking a bit last night and said some mean things.
context: What?\Please give me Yasu's cell number.\Hello...\Nana?! What the hell are you doing?! You had me worried!\Nobu?\I called you a number of times since this morning,\but you didn't pick up!\I was panicking a bit last night and said some mean things. response:	But I'm the one this is happening to and went to work today,
context: Please give me Yasu's cell number.\Hello...\Nana?! What the hell are you doing?! You had me worried!\Nobu?\I called you a number of times since this morning,\but you didn't pick up!\I was panicking a bit last night and said some mean things.\But I'm the one this is happening to and went to work today, response:	so how dare you take the day off!
context: Hello...\Nana?! What the hell are you doing?! You had me worried!\Nobu?\I called you a number of times since this morning,\but you didn't pick up!\I was panicking a bit last night and said some mean things.\But I'm the one this is happening to and went to work today,\so how dare you take the day off! response:	I'm starting to hate myself for being so damn responsible.
context: Nana?! What the hell are you doing?! You had me worried!\Nobu?\I called you a number of times since this morning,\but you didn't pick up!\I was panicking a bit last night and said some mean things.\But I'm the one this is happening to and went to work today,\so how dare you take the day off!\I'm starting to hate myself for being so damn responsible. response:	MISSED CALL NOBUO MISSED CALL NOBUO MISSED CALL NOBUO
context: Nobu?\I called you a number of times since this morning,\but you didn't pick up!\I was panicking a bit last night and said some mean things.\But I'm the one this is happening to and went to work today,\so how dare you take the day off!\I'm starting to hate myself for being so damn responsible.\MISSED CALL NOBUO MISSED CALL NOBUO MISSED CALL NOBUO response:	Ah, sorry.
context: I called you a number of times since this morning,\but you didn't pick up!\I was panicking a bit last night and said some mean things.\But I'm the one this is happening to and went to work today,\so how dare you take the day off!\I'm starting to hate myself for being so damn responsible.\MISSED CALL NOBUO MISSED CALL NOBUO MISSED CALL NOBUO\Ah, sorry. response:	Never mind.
context: but you didn't pick up!\I was panicking a bit last night and said some mean things.\But I'm the one this is happening to and went to work today,\so how dare you take the day off!\I'm starting to hate myself for being so damn responsible.\MISSED CALL NOBUO MISSED CALL NOBUO MISSED CALL NOBUO\Ah, sorry.\Never mind. response:	I'm used to your merciless oppression,
context: I was panicking a bit last night and said some mean things.\But I'm the one this is happening to and went to work today,\so how dare you take the day off!\I'm starting to hate myself for being so damn responsible.\MISSED CALL NOBUO MISSED CALL NOBUO MISSED CALL NOBUO\Ah, sorry.\Never mind.\I'm used to your merciless oppression, response:	and I covered for you at work.
context: But I'm the one this is happening to and went to work today,\so how dare you take the day off!\I'm starting to hate myself for being so damn responsible.\MISSED CALL NOBUO MISSED CALL NOBUO MISSED CALL NOBUO\Ah, sorry.\Never mind.\I'm used to your merciless oppression,\and I covered for you at work. response:	Where are you now?
context: so how dare you take the day off!\I'm starting to hate myself for being so damn responsible.\MISSED CALL NOBUO MISSED CALL NOBUO MISSED CALL NOBUO\Ah, sorry.\Never mind.\I'm used to your merciless oppression,\and I covered for you at work.\Where are you now? response:	At Ren's... place?
context: I'm starting to hate myself for being so damn responsible.\MISSED CALL NOBUO MISSED CALL NOBUO MISSED CALL NOBUO\Ah, sorry.\Never mind.\I'm used to your merciless oppression,\and I covered for you at work.\Where are you now?\At Ren's... place? response:	I'm guessing Ren's not there because of work, right?
context: MISSED CALL NOBUO MISSED CALL NOBUO MISSED CALL NOBUO\Ah, sorry.\Never mind.\I'm used to your merciless oppression,\and I covered for you at work.\Where are you now?\At Ren's... place?\I'm guessing Ren's not there because of work, right? response:	I'm done with work today.
context: Ah, sorry.\Never mind.\I'm used to your merciless oppression,\and I covered for you at work.\Where are you now?\At Ren's... place?\I'm guessing Ren's not there because of work, right?\I'm done with work today. response:	What do you say we grab a bite to eat before going to the studio?
context: Never mind.\I'm used to your merciless oppression,\and I covered for you at work.\Where are you now?\At Ren's... place?\I'm guessing Ren's not there because of work, right?\I'm done with work today.\What do you say we grab a bite to eat before going to the studio? response:	Nobuo,.,
context: I'm used to your merciless oppression,\and I covered for you at work.\Where are you now?\At Ren's... place?\I'm guessing Ren's not there because of work, right?\I'm done with work today.\What do you say we grab a bite to eat before going to the studio?\Nobuo,., response:	My treat! You've gotta let me spill out my sad story!
context: and I covered for you at work.\Where are you now?\At Ren's... place?\I'm guessing Ren's not there because of work, right?\I'm done with work today.\What do you say we grab a bite to eat before going to the studio?\Nobuo,.,\My treat! You've gotta let me spill out my sad story! response:	I'm thinking, there really is something wrong with me.
context: Where are you now?\At Ren's... place?\I'm guessing Ren's not there because of work, right?\I'm done with work today.\What do you say we grab a bite to eat before going to the studio?\Nobuo,.,\My treat! You've gotta let me spill out my sad story!\I'm thinking, there really is something wrong with me. response:	I already know that, from long ago!
context: At Ren's... place?\I'm guessing Ren's not there because of work, right?\I'm done with work today.\What do you say we grab a bite to eat before going to the studio?\Nobuo,.,\My treat! You've gotta let me spill out my sad story!\I'm thinking, there really is something wrong with me.\I already know that, from long ago! response:	I can't remember why I'm here.
context: I'm guessing Ren's not there because of work, right?\I'm done with work today.\What do you say we grab a bite to eat before going to the studio?\Nobuo,.,\My treat! You've gotta let me spill out my sad story!\I'm thinking, there really is something wrong with me.\I already know that, from long ago!\I can't remember why I'm here. response:	Am I still only half awake?
context: I'm done with work today.\What do you say we grab a bite to eat before going to the studio?\Nobuo,.,\My treat! You've gotta let me spill out my sad story!\I'm thinking, there really is something wrong with me.\I already know that, from long ago!\I can't remember why I'm here.\Am I still only half awake? response:	The last thing I remember was the strawberry glass about to roll off the table.
context: What do you say we grab a bite to eat before going to the studio?\Nobuo,.,\My treat! You've gotta let me spill out my sad story!\I'm thinking, there really is something wrong with me.\I already know that, from long ago!\I can't remember why I'm here.\Am I still only half awake?\The last thing I remember was the strawberry glass about to roll off the table. response:	Those matching glasses were the first things we bought together...
context: Nobuo,.,\My treat! You've gotta let me spill out my sad story!\I'm thinking, there really is something wrong with me.\I already know that, from long ago!\I can't remember why I'm here.\Am I still only half awake?\The last thing I remember was the strawberry glass about to roll off the table.\Those matching glasses were the first things we bought together... response:	Was I able to catch that glass...
context: My treat! You've gotta let me spill out my sad story!\I'm thinking, there really is something wrong with me.\I already know that, from long ago!\I can't remember why I'm here.\Am I still only half awake?\The last thing I remember was the strawberry glass about to roll off the table.\Those matching glasses were the first things we bought together...\Was I able to catch that glass... response:	before it fell?
context: I'm thinking, there really is something wrong with me.\I already know that, from long ago!\I can't remember why I'm here.\Am I still only half awake?\The last thing I remember was the strawberry glass about to roll off the table.\Those matching glasses were the first things we bought together...\Was I able to catch that glass...\before it fell? response:	You know, Hachi...
context: I already know that, from long ago!\I can't remember why I'm here.\Am I still only half awake?\The last thing I remember was the strawberry glass about to roll off the table.\Those matching glasses were the first things we bought together...\Was I able to catch that glass...\before it fell?\You know, Hachi... response:	I was too small of a person
context: I can't remember why I'm here.\Am I still only half awake?\The last thing I remember was the strawberry glass about to roll off the table.\Those matching glasses were the first things we bought together...\Was I able to catch that glass...\before it fell?\You know, Hachi...\I was too small of a person response:	to be able to accept everything about you.
context: Am I still only half awake?\The last thing I remember was the strawberry glass about to roll off the table.\Those matching glasses were the first things we bought together...\Was I able to catch that glass...\before it fell?\You know, Hachi...\I was too small of a person\to be able to accept everything about you. response:	I was like a cheap glass.
context: The last thing I remember was the strawberry glass about to roll off the table.\Those matching glasses were the first things we bought together...\Was I able to catch that glass...\before it fell?\You know, Hachi...\I was too small of a person\to be able to accept everything about you.\I was like a cheap glass. response:	It's just that I preferred the pain of breaking into pieces,
context: Those matching glasses were the first things we bought together...\Was I able to catch that glass...\before it fell?\You know, Hachi...\I was too small of a person\to be able to accept everything about you.\I was like a cheap glass.\It's just that I preferred the pain of breaking into pieces, response:	to the loneliness I felt from losing everything.
context: Was I able to catch that glass...\before it fell?\You know, Hachi...\I was too small of a person\to be able to accept everything about you.\I was like a cheap glass.\It's just that I preferred the pain of breaking into pieces,\to the loneliness I felt from losing everything. response:	LOVELY LAYLA to the loneliness I felt from losing everything.
context: before it fell?\You know, Hachi...\I was too small of a person\to be able to accept everything about you.\I was like a cheap glass.\It's just that I preferred the pain of breaking into pieces,\to the loneliness I felt from losing everything.\LOVELY LAYLA to the loneliness I felt from losing everything. response:	LOVELY LAYLA
context: You know, Hachi...\I was too small of a person\to be able to accept everything about you.\I was like a cheap glass.\It's just that I preferred the pain of breaking into pieces,\to the loneliness I felt from losing everything.\LOVELY LAYLA to the loneliness I felt from losing everything.\LOVELY LAYLA response:	I was just too fragile.
context: I was too small of a person\to be able to accept everything about you.\I was like a cheap glass.\It's just that I preferred the pain of breaking into pieces,\to the loneliness I felt from losing everything.\LOVELY LAYLA to the loneliness I felt from losing everything.\LOVELY LAYLA\I was just too fragile. response:	It's not your fault.
context: to be able to accept everything about you.\I was like a cheap glass.\It's just that I preferred the pain of breaking into pieces,\to the loneliness I felt from losing everything.\LOVELY LAYLA to the loneliness I felt from losing everything.\LOVELY LAYLA\I was just too fragile.\It's not your fault. response:	I can't count how many nights
context: I was like a cheap glass.\It's just that I preferred the pain of breaking into pieces,\to the loneliness I felt from losing everything.\LOVELY LAYLA to the loneliness I felt from losing everything.\LOVELY LAYLA\I was just too fragile.\It's not your fault.\I can't count how many nights response:	I wished tomorrow would never come
context: It's just that I preferred the pain of breaking into pieces,\to the loneliness I felt from losing everything.\LOVELY LAYLA to the loneliness I felt from losing everything.\LOVELY LAYLA\I was just too fragile.\It's not your fault.\I can't count how many nights\I wished tomorrow would never come response:	To live as I am without being fake
context: to the loneliness I felt from losing everything.\LOVELY LAYLA to the loneliness I felt from losing everything.\LOVELY LAYLA\I was just too fragile.\It's not your fault.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake response:	What do I need
context: LOVELY LAYLA to the loneliness I felt from losing everything.\LOVELY LAYLA\I was just too fragile.\It's not your fault.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need response:	If I don't believe in myself, what can I believe in
context: LOVELY LAYLA\I was just too fragile.\It's not your fault.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in response:	The answer is too close to see
context: I was just too fragile.\It's not your fault.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see response:	Black tears are falling down
context: It's not your fault.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down response:	I have nothing, only sadness
context: I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down\I have nothing, only sadness response:	I can't put it into words
context: I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down\I have nothing, only sadness\I can't put it into words response:	My whole body starts to ache
context: To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down\I have nothing, only sadness\I can't put it into words\My whole body starts to ache response:	I can't stand it anymore on my own
