context: Kishou... Kishou Yanagihara... response:	How long do you think you can remain in Class A?
context: Because I'm serious and passionate every time!\Every single time, I think, This time for sure, I'll seriously die! Damn it!\Huh? Wh-What?\They foist their dreams on me!\They sit on the sidelines and go, Hang in there!\Keep your head in the game! Be grateful you can still play!\I'm doing my best without being told, every time!\What are you going on about? And you're even crying. response:	Still...
context: Every single time, I think, This time for sure, I'll seriously die! Damn it!\Huh? Wh-What?\They foist their dreams on me!\They sit on the sidelines and go, Hang in there!\Keep your head in the game! Be grateful you can still play!\I'm doing my best without being told, every time!\What are you going on about? And you're even crying.\Still... response:	Next year would probably be impossible.
context: Huh? Wh-What?\They foist their dreams on me!\They sit on the sidelines and go, Hang in there!\Keep your head in the game! Be grateful you can still play!\I'm doing my best without being told, every time!\What are you going on about? And you're even crying.\Still...\Next year would probably be impossible. response:	Oh, sorry. But it's too early to say that.
context: They foist their dreams on me!\They sit on the sidelines and go, Hang in there!\Keep your head in the game! Be grateful you can still play!\I'm doing my best without being told, every time!\What are you going on about? And you're even crying.\Still...\Next year would probably be impossible.\Oh, sorry. But it's too early to say that. response:	What? You just laughed at me!
context: They sit on the sidelines and go, Hang in there!\Keep your head in the game! Be grateful you can still play!\I'm doing my best without being told, every time!\What are you going on about? And you're even crying.\Still...\Next year would probably be impossible.\Oh, sorry. But it's too early to say that.\What? You just laughed at me! response:	And of course I can't do it.
context: Keep your head in the game! Be grateful you can still play!\I'm doing my best without being told, every time!\What are you going on about? And you're even crying.\Still...\Next year would probably be impossible.\Oh, sorry. But it's too early to say that.\What? You just laughed at me!\And of course I can't do it. response:	I'll die if I play a match like today's! You're still going to push me?
context: I'm doing my best without being told, every time!\What are you going on about? And you're even crying.\Still...\Next year would probably be impossible.\Oh, sorry. But it's too early to say that.\What? You just laughed at me!\And of course I can't do it.\I'll die if I play a match like today's! You're still going to push me? response:	Geez, I'm almost 60!
context: What are you going on about? And you're even crying.\Still...\Next year would probably be impossible.\Oh, sorry. But it's too early to say that.\What? You just laughed at me!\And of course I can't do it.\I'll die if I play a match like today's! You're still going to push me?\Geez, I'm almost 60! response:	Listen.
context: Still...\Next year would probably be impossible.\Oh, sorry. But it's too early to say that.\What? You just laughed at me!\And of course I can't do it.\I'll die if I play a match like today's! You're still going to push me?\Geez, I'm almost 60!\Listen. response:	What you just said? That's what you told me last year.
context: Next year would probably be impossible.\Oh, sorry. But it's too early to say that.\What? You just laughed at me!\And of course I can't do it.\I'll die if I play a match like today's! You're still going to push me?\Geez, I'm almost 60!\Listen.\What you just said? That's what you told me last year. response:	Oh, did I?
context: Oh, sorry. But it's too early to say that.\What? You just laughed at me!\And of course I can't do it.\I'll die if I play a match like today's! You're still going to push me?\Geez, I'm almost 60!\Listen.\What you just said? That's what you told me last year.\Oh, did I? response:	You sure did. And we're both way over 60.
context: What? You just laughed at me!\And of course I can't do it.\I'll die if I play a match like today's! You're still going to push me?\Geez, I'm almost 60!\Listen.\What you just said? That's what you told me last year.\Oh, did I?\You sure did. And we're both way over 60. response:	We've got our 70th coming up.
context: And of course I can't do it.\I'll die if I play a match like today's! You're still going to push me?\Geez, I'm almost 60!\Listen.\What you just said? That's what you told me last year.\Oh, did I?\You sure did. And we're both way over 60.\We've got our 70th coming up. response:	Burnt Field (Part 4)
context: I'll die if I play a match like today's! You're still going to push me?\Geez, I'm almost 60!\Listen.\What you just said? That's what you told me last year.\Oh, did I?\You sure did. And we're both way over 60.\We've got our 70th coming up.\Burnt Field (Part 4) response:	Next Episode Preview
context: Geez, I'm almost 60!\Listen.\What you just said? That's what you told me last year.\Oh, did I?\You sure did. And we're both way over 60.\We've got our 70th coming up.\Burnt Field (Part 4)\Next Episode Preview response:	Episode 41
context: Listen.\What you just said? That's what you told me last year.\Oh, did I?\You sure did. And we're both way over 60.\We've got our 70th coming up.\Burnt Field (Part 4)\Next Episode Preview\Episode 41 response:	Okay, it's ready!
context: What you just said? That's what you told me last year.\Oh, did I?\You sure did. And we're both way over 60.\We've got our 70th coming up.\Burnt Field (Part 4)\Next Episode Preview\Episode 41\Okay, it's ready! response:	Behold!
context: Oh, did I?\You sure did. And we're both way over 60.\We've got our 70th coming up.\Burnt Field (Part 4)\Next Episode Preview\Episode 41\Okay, it's ready!\Behold! response:	Delicious!
context: You sure did. And we're both way over 60.\We've got our 70th coming up.\Burnt Field (Part 4)\Next Episode Preview\Episode 41\Okay, it's ready!\Behold!\Delicious! response:	It's so chewy!
context: We've got our 70th coming up.\Burnt Field (Part 4)\Next Episode Preview\Episode 41\Okay, it's ready!\Behold!\Delicious!\It's so chewy! response:	Good idea! Let's ask him!
context: Burnt Field (Part 4)\Next Episode Preview\Episode 41\Okay, it's ready!\Behold!\Delicious!\It's so chewy!\Good idea! Let's ask him! response:	This plum syrup was made by Chiho.
context: Next Episode Preview\Episode 41\Okay, it's ready!\Behold!\Delicious!\It's so chewy!\Good idea! Let's ask him!\This plum syrup was made by Chiho. response:	There's a nice smell from the plums.
context: Episode 41\Okay, it's ready!\Behold!\Delicious!\It's so chewy!\Good idea! Let's ask him!\This plum syrup was made by Chiho.\There's a nice smell from the plums. response:	ILLUSTRATION: RYO IKUEMI
context: Okay, it's ready!\Behold!\Delicious!\It's so chewy!\Good idea! Let's ask him!\This plum syrup was made by Chiho.\There's a nice smell from the plums.\ILLUSTRATION: RYO IKUEMI response:	Saku, congratulations!
context: Behold!\Delicious!\It's so chewy!\Good idea! Let's ask him!\This plum syrup was made by Chiho.\There's a nice smell from the plums.\ILLUSTRATION: RYO IKUEMI\Saku, congratulations! response:	You really do win when I'm not there.
