context: You know, the universe is so large that we can't even begin to fathom it. response:	And time has been spinning for an eternity...
context: Well?\Does my kid sister have potential?\Yes.\She's an outrageous girl,\that Kyono Madoka.\Big Sis?\She's alive!\Midori, Big Sis is okay! response:	What happened?
context: Does my kid sister have potential?\Yes.\She's an outrageous girl,\that Kyono Madoka.\Big Sis?\She's alive!\Midori, Big Sis is okay!\What happened? response:	What? What? What?
context: Yes.\She's an outrageous girl,\that Kyono Madoka.\Big Sis?\She's alive!\Midori, Big Sis is okay!\What happened?\What? What? What? response:	What's wrong, Madoka?
context: She's an outrageous girl,\that Kyono Madoka.\Big Sis?\She's alive!\Midori, Big Sis is okay!\What happened?\What? What? What?\What's wrong, Madoka? response:	Midori stopped moving!
context: that Kyono Madoka.\Big Sis?\She's alive!\Midori, Big Sis is okay!\What happened?\What? What? What?\What's wrong, Madoka?\Midori stopped moving! response:	Why?
context: Big Sis?\She's alive!\Midori, Big Sis is okay!\What happened?\What? What? What?\What's wrong, Madoka?\Midori stopped moving!\Why? response:	I don't know! Maybe she fell asleep?
context: She's alive!\Midori, Big Sis is okay!\What happened?\What? What? What?\What's wrong, Madoka?\Midori stopped moving!\Why?\I don't know! Maybe she fell asleep? response:	Hey, wake up! Come on, Midori!
context: Midori, Big Sis is okay!\What happened?\What? What? What?\What's wrong, Madoka?\Midori stopped moving!\Why?\I don't know! Maybe she fell asleep?\Hey, wake up! Come on, Midori! response:	Bravo!
context: What happened?\What? What? What?\What's wrong, Madoka?\Midori stopped moving!\Why?\I don't know! Maybe she fell asleep?\Hey, wake up! Come on, Midori!\Bravo! response:	That was a brilliant illusion.
context: What? What? What?\What's wrong, Madoka?\Midori stopped moving!\Why?\I don't know! Maybe she fell asleep?\Hey, wake up! Come on, Midori!\Bravo!\That was a brilliant illusion. response:	But...
context: What's wrong, Madoka?\Midori stopped moving!\Why?\I don't know! Maybe she fell asleep?\Hey, wake up! Come on, Midori!\Bravo!\That was a brilliant illusion.\But... response:	there is no doubt that the Vox hides a frightening power.
context: Midori stopped moving!\Why?\I don't know! Maybe she fell asleep?\Hey, wake up! Come on, Midori!\Bravo!\That was a brilliant illusion.\But...\there is no doubt that the Vox hides a frightening power. response:	In fact, we just saw the proof.
context: Why?\I don't know! Maybe she fell asleep?\Hey, wake up! Come on, Midori!\Bravo!\That was a brilliant illusion.\But...\there is no doubt that the Vox hides a frightening power.\In fact, we just saw the proof. response:	Villagiulio!
context: I don't know! Maybe she fell asleep?\Hey, wake up! Come on, Midori!\Bravo!\That was a brilliant illusion.\But...\there is no doubt that the Vox hides a frightening power.\In fact, we just saw the proof.\Villagiulio! response:	It appears that for the people of De Metrio to sleep safely at night...
context: Hey, wake up! Come on, Midori!\Bravo!\That was a brilliant illusion.\But...\there is no doubt that the Vox hides a frightening power.\In fact, we just saw the proof.\Villagiulio!\It appears that for the people of De Metrio to sleep safely at night... response:	you must be put to sleep!
context: Bravo!\That was a brilliant illusion.\But...\there is no doubt that the Vox hides a frightening power.\In fact, we just saw the proof.\Villagiulio!\It appears that for the people of De Metrio to sleep safely at night...\you must be put to sleep! response:	You! The leader of the giant demons!
context: That was a brilliant illusion.\But...\there is no doubt that the Vox hides a frightening power.\In fact, we just saw the proof.\Villagiulio!\It appears that for the people of De Metrio to sleep safely at night...\you must be put to sleep!\You! The leader of the giant demons! response:	Brother...
context: But...\there is no doubt that the Vox hides a frightening power.\In fact, we just saw the proof.\Villagiulio!\It appears that for the people of De Metrio to sleep safely at night...\you must be put to sleep!\You! The leader of the giant demons!\Brother... response:	Brother!
context: there is no doubt that the Vox hides a frightening power.\In fact, we just saw the proof.\Villagiulio!\It appears that for the people of De Metrio to sleep safely at night...\you must be put to sleep!\You! The leader of the giant demons!\Brother...\Brother! response:	It can't be...
context: In fact, we just saw the proof.\Villagiulio!\It appears that for the people of De Metrio to sleep safely at night...\you must be put to sleep!\You! The leader of the giant demons!\Brother...\Brother!\It can't be... response:	Brother Dizelmine...
context: Villagiulio!\It appears that for the people of De Metrio to sleep safely at night...\you must be put to sleep!\You! The leader of the giant demons!\Brother...\Brother!\It can't be...\Brother Dizelmine... response:	Eliminate all resistant forces within Earth's domain.
context: It appears that for the people of De Metrio to sleep safely at night...\you must be put to sleep!\You! The leader of the giant demons!\Brother...\Brother!\It can't be...\Brother Dizelmine...\Eliminate all resistant forces within Earth's domain. response:	There is no need to pursue anyone who flees.
context: you must be put to sleep!\You! The leader of the giant demons!\Brother...\Brother!\It can't be...\Brother Dizelmine...\Eliminate all resistant forces within Earth's domain.\There is no need to pursue anyone who flees. response:	Yes, my lord.
context: You! The leader of the giant demons!\Brother...\Brother!\It can't be...\Brother Dizelmine...\Eliminate all resistant forces within Earth's domain.\There is no need to pursue anyone who flees.\Yes, my lord. response:	Muginami!
context: Brother...\Brother!\It can't be...\Brother Dizelmine...\Eliminate all resistant forces within Earth's domain.\There is no need to pursue anyone who flees.\Yes, my lord.\Muginami! response:	Let her go!
context: Brother!\It can't be...\Brother Dizelmine...\Eliminate all resistant forces within Earth's domain.\There is no need to pursue anyone who flees.\Yes, my lord.\Muginami!\Let her go! response:	If she stays, my brother will definitely kill them...
context: It can't be...\Brother Dizelmine...\Eliminate all resistant forces within Earth's domain.\There is no need to pursue anyone who flees.\Yes, my lord.\Muginami!\Let her go!\If she stays, my brother will definitely kill them... response:	Both Villagiulio,
context: Brother Dizelmine...\Eliminate all resistant forces within Earth's domain.\There is no need to pursue anyone who flees.\Yes, my lord.\Muginami!\Let her go!\If she stays, my brother will definitely kill them...\Both Villagiulio, response:	and Muginami for trying to save him.
context: Eliminate all resistant forces within Earth's domain.\There is no need to pursue anyone who flees.\Yes, my lord.\Muginami!\Let her go!\If she stays, my brother will definitely kill them...\Both Villagiulio,\and Muginami for trying to save him. response:	If I knew earlier that my brother's ship was coming to get me,
context: There is no need to pursue anyone who flees.\Yes, my lord.\Muginami!\Let her go!\If she stays, my brother will definitely kill them...\Both Villagiulio,\and Muginami for trying to save him.\If I knew earlier that my brother's ship was coming to get me, response:	I wouldn't have let Muginami go into battle.
context: Yes, my lord.\Muginami!\Let her go!\If she stays, my brother will definitely kill them...\Both Villagiulio,\and Muginami for trying to save him.\If I knew earlier that my brother's ship was coming to get me,\I wouldn't have let Muginami go into battle. response:	I'm sorry, Madoka.
context: Muginami!\Let her go!\If she stays, my brother will definitely kill them...\Both Villagiulio,\and Muginami for trying to save him.\If I knew earlier that my brother's ship was coming to get me,\I wouldn't have let Muginami go into battle.\I'm sorry, Madoka. response:	It's not your fault, Lan.
context: Let her go!\If she stays, my brother will definitely kill them...\Both Villagiulio,\and Muginami for trying to save him.\If I knew earlier that my brother's ship was coming to get me,\I wouldn't have let Muginami go into battle.\I'm sorry, Madoka.\It's not your fault, Lan. response:	I hope she's doing okay.
context: If she stays, my brother will definitely kill them...\Both Villagiulio,\and Muginami for trying to save him.\If I knew earlier that my brother's ship was coming to get me,\I wouldn't have let Muginami go into battle.\I'm sorry, Madoka.\It's not your fault, Lan.\I hope she's doing okay. response:	I wonder what planet she's on?
context: Both Villagiulio,\and Muginami for trying to save him.\If I knew earlier that my brother's ship was coming to get me,\I wouldn't have let Muginami go into battle.\I'm sorry, Madoka.\It's not your fault, Lan.\I hope she's doing okay.\I wonder what planet she's on? response:	I'll find her.
context: and Muginami for trying to save him.\If I knew earlier that my brother's ship was coming to get me,\I wouldn't have let Muginami go into battle.\I'm sorry, Madoka.\It's not your fault, Lan.\I hope she's doing okay.\I wonder what planet she's on?\I'll find her. response:	Huh?
context: If I knew earlier that my brother's ship was coming to get me,\I wouldn't have let Muginami go into battle.\I'm sorry, Madoka.\It's not your fault, Lan.\I hope she's doing okay.\I wonder what planet she's on?\I'll find her.\Huh? response:	I'll find her, and we'll return together.
context: I wouldn't have let Muginami go into battle.\I'm sorry, Madoka.\It's not your fault, Lan.\I hope she's doing okay.\I wonder what planet she's on?\I'll find her.\Huh?\I'll find her, and we'll return together. response:	To this town where the three of us first met.
context: I'm sorry, Madoka.\It's not your fault, Lan.\I hope she's doing okay.\I wonder what planet she's on?\I'll find her.\Huh?\I'll find her, and we'll return together.\To this town where the three of us first met. response:	I promise.
context: It's not your fault, Lan.\I hope she's doing okay.\I wonder what planet she's on?\I'll find her.\Huh?\I'll find her, and we'll return together.\To this town where the three of us first met.\I promise. response:	And when that day comes,
context: I hope she's doing okay.\I wonder what planet she's on?\I'll find her.\Huh?\I'll find her, and we'll return together.\To this town where the three of us first met.\I promise.\And when that day comes, response:	will you let us be your comrades again?
context: I wonder what planet she's on?\I'll find her.\Huh?\I'll find her, and we'll return together.\To this town where the three of us first met.\I promise.\And when that day comes,\will you let us be your comrades again? response:	Yes!
context: I'll find her.\Huh?\I'll find her, and we'll return together.\To this town where the three of us first met.\I promise.\And when that day comes,\will you let us be your comrades again?\Yes! response:	Well...
context: Huh?\I'll find her, and we'll return together.\To this town where the three of us first met.\I promise.\And when that day comes,\will you let us be your comrades again?\Yes!\Well... response:	I'll be going, okay?
context: I'll find her, and we'll return together.\To this town where the three of us first met.\I promise.\And when that day comes,\will you let us be your comrades again?\Yes!\Well...\I'll be going, okay? response:	Yeah.
context: To this town where the three of us first met.\I promise.\And when that day comes,\will you let us be your comrades again?\Yes!\Well...\I'll be going, okay?\Yeah. response:	See you!
context: I promise.\And when that day comes,\will you let us be your comrades again?\Yes!\Well...\I'll be going, okay?\Yeah.\See you! response:	See you!
context: And when that day comes,\will you let us be your comrades again?\Yes!\Well...\I'll be going, okay?\Yeah.\See you!\See you! response:	Bye-bye!
context: will you let us be your comrades again?\Yes!\Well...\I'll be going, okay?\Yeah.\See you!\See you!\Bye-bye! response:	Bye-bye!
context: Yes!\Well...\I'll be going, okay?\Yeah.\See you!\See you!\Bye-bye!\Bye-bye! response:	Bye-bye!
context: Well...\I'll be going, okay?\Yeah.\See you!\See you!\Bye-bye!\Bye-bye!\Bye-bye! response:	Bye-bye!
context: I'll be going, okay?\Yeah.\See you!\See you!\Bye-bye!\Bye-bye!\Bye-bye!\Bye-bye! response:	See you again!
context: Yeah.\See you!\See you!\Bye-bye!\Bye-bye!\Bye-bye!\Bye-bye!\See you again! response:	See you again!
context: See you!\See you!\Bye-bye!\Bye-bye!\Bye-bye!\Bye-bye!\See you again!\See you again! response:	Bye-bye!
context: See you!\Bye-bye!\Bye-bye!\Bye-bye!\Bye-bye!\See you again!\See you again!\Bye-bye! response:	Bye-bye!
context: Bye-bye!\Bye-bye!\Bye-bye!\Bye-bye!\See you again!\See you again!\Bye-bye!\Bye-bye! response:	Bye-bye!
context: Bye-bye!\Bye-bye!\Bye-bye!\See you again!\See you again!\Bye-bye!\Bye-bye!\Bye-bye! response:	Per
context: Bye-bye!\Bye-bye!\See you again!\See you again!\Bye-bye!\Bye-bye!\Bye-bye!\Per response:	And so, Muginami left,
context: Bye-bye!\See you again!\See you again!\Bye-bye!\Bye-bye!\Bye-bye!\Per\And so, Muginami left, response:	Lan returned to her home planet,
context: See you again!\See you again!\Bye-bye!\Bye-bye!\Bye-bye!\Per\And so, Muginami left,\Lan returned to her home planet, response:	and time passed.
context: See you again!\Bye-bye!\Bye-bye!\Bye-bye!\Per\And so, Muginami left,\Lan returned to her home planet,\and time passed. response:	And autumn in Kamogawa is slowly coming to an end.
context: Bye-bye!\Bye-bye!\Bye-bye!\Per\And so, Muginami left,\Lan returned to her home planet,\and time passed.\And autumn in Kamogawa is slowly coming to an end. response:	We're counting on you, Madoka!
context: Bye-bye!\Bye-bye!\Per\And so, Muginami left,\Lan returned to her home planet,\and time passed.\And autumn in Kamogawa is slowly coming to an end.\We're counting on you, Madoka! response:	You got it!
context: Bye-bye!\Per\And so, Muginami left,\Lan returned to her home planet,\and time passed.\And autumn in Kamogawa is slowly coming to an end.\We're counting on you, Madoka!\You got it! response:	Stop! Stop!
context: Per\And so, Muginami left,\Lan returned to her home planet,\and time passed.\And autumn in Kamogawa is slowly coming to an end.\We're counting on you, Madoka!\You got it!\Stop! Stop! response:	Safe!
context: And so, Muginami left,\Lan returned to her home planet,\and time passed.\And autumn in Kamogawa is slowly coming to an end.\We're counting on you, Madoka!\You got it!\Stop! Stop!\Safe! response:	You did it!
context: Lan returned to her home planet,\and time passed.\And autumn in Kamogawa is slowly coming to an end.\We're counting on you, Madoka!\You got it!\Stop! Stop!\Safe!\You did it! response:	Madoka, help!
context: and time passed.\And autumn in Kamogawa is slowly coming to an end.\We're counting on you, Madoka!\You got it!\Stop! Stop!\Safe!\You did it!\Madoka, help! response:	Okay!
context: And autumn in Kamogawa is slowly coming to an end.\We're counting on you, Madoka!\You got it!\Stop! Stop!\Safe!\You did it!\Madoka, help!\Okay! response:	At dawn's break,
context: We're counting on you, Madoka!\You got it!\Stop! Stop!\Safe!\You did it!\Madoka, help!\Okay!\At dawn's break, response:	as though lit by the morning moon...
context: You got it!\Stop! Stop!\Safe!\You did it!\Madoka, help!\Okay!\At dawn's break,\as though lit by the morning moon... response:	Got it!
context: Stop! Stop!\Safe!\You did it!\Madoka, help!\Okay!\At dawn's break,\as though lit by the morning moon...\Got it! response:	Huh?
context: Safe!\You did it!\Madoka, help!\Okay!\At dawn's break,\as though lit by the morning moon...\Got it!\Huh? response:	Madoka!
context: You did it!\Madoka, help!\Okay!\At dawn's break,\as though lit by the morning moon...\Got it!\Huh?\Madoka! response:	Bring it on!
context: Madoka, help!\Okay!\At dawn's break,\as though lit by the morning moon...\Got it!\Huh?\Madoka!\Bring it on! response:	Hey, Kyono!
context: Okay!\At dawn's break,\as though lit by the morning moon...\Got it!\Huh?\Madoka!\Bring it on!\Hey, Kyono! response:	Oh, just a minute!
context: At dawn's break,\as though lit by the morning moon...\Got it!\Huh?\Madoka!\Bring it on!\Hey, Kyono!\Oh, just a minute! response:	The next opening I have in the Sweats Club schedule is...
context: as though lit by the morning moon...\Got it!\Huh?\Madoka!\Bring it on!\Hey, Kyono!\Oh, just a minute!\The next opening I have in the Sweats Club schedule is... response:	Nothing like that. You received a letter.
context: Got it!\Huh?\Madoka!\Bring it on!\Hey, Kyono!\Oh, just a minute!\The next opening I have in the Sweats Club schedule is...\Nothing like that. You received a letter. response:	Huh?
context: Huh?\Madoka!\Bring it on!\Hey, Kyono!\Oh, just a minute!\The next opening I have in the Sweats Club schedule is...\Nothing like that. You received a letter.\Huh? response:	It's addressed to the Sweats Club.
context: Madoka!\Bring it on!\Hey, Kyono!\Oh, just a minute!\The next opening I have in the Sweats Club schedule is...\Nothing like that. You received a letter.\Huh?\It's addressed to the Sweats Club. response:	Midori hasn't moved since that day.
context: Bring it on!\Hey, Kyono!\Oh, just a minute!\The next opening I have in the Sweats Club schedule is...\Nothing like that. You received a letter.\Huh?\It's addressed to the Sweats Club.\Midori hasn't moved since that day. response:	Even the people on Pharos don't seem to know why.
context: Hey, Kyono!\Oh, just a minute!\The next opening I have in the Sweats Club schedule is...\Nothing like that. You received a letter.\Huh?\It's addressed to the Sweats Club.\Midori hasn't moved since that day.\Even the people on Pharos don't seem to know why. response:	So many things happened that I think she just wants to rest.
context: Oh, just a minute!\The next opening I have in the Sweats Club schedule is...\Nothing like that. You received a letter.\Huh?\It's addressed to the Sweats Club.\Midori hasn't moved since that day.\Even the people on Pharos don't seem to know why.\So many things happened that I think she just wants to rest. response:	Yeah, I'm sure that's it.
context: The next opening I have in the Sweats Club schedule is...\Nothing like that. You received a letter.\Huh?\It's addressed to the Sweats Club.\Midori hasn't moved since that day.\Even the people on Pharos don't seem to know why.\So many things happened that I think she just wants to rest.\Yeah, I'm sure that's it. response:	Mr. Moid returned to Le Garite with Lan and her brother.
context: Nothing like that. You received a letter.\Huh?\It's addressed to the Sweats Club.\Midori hasn't moved since that day.\Even the people on Pharos don't seem to know why.\So many things happened that I think she just wants to rest.\Yeah, I'm sure that's it.\Mr. Moid returned to Le Garite with Lan and her brother. response:	Since that happened, the wind's really been taken out of Mr. Tadokoro's sails.
context: Huh?\It's addressed to the Sweats Club.\Midori hasn't moved since that day.\Even the people on Pharos don't seem to know why.\So many things happened that I think she just wants to rest.\Yeah, I'm sure that's it.\Mr. Moid returned to Le Garite with Lan and her brother.\Since that happened, the wind's really been taken out of Mr. Tadokoro's sails. response:	H-Hot!
context: It's addressed to the Sweats Club.\Midori hasn't moved since that day.\Even the people on Pharos don't seem to know why.\So many things happened that I think she just wants to rest.\Yeah, I'm sure that's it.\Mr. Moid returned to Le Garite with Lan and her brother.\Since that happened, the wind's really been taken out of Mr. Tadokoro's sails.\H-Hot! response:	My Big Sister Yoko recovered completely from her injuries.
context: Midori hasn't moved since that day.\Even the people on Pharos don't seem to know why.\So many things happened that I think she just wants to rest.\Yeah, I'm sure that's it.\Mr. Moid returned to Le Garite with Lan and her brother.\Since that happened, the wind's really been taken out of Mr. Tadokoro's sails.\H-Hot!\My Big Sister Yoko recovered completely from her injuries. response:	Just what I'd expect from her.
context: Even the people on Pharos don't seem to know why.\So many things happened that I think she just wants to rest.\Yeah, I'm sure that's it.\Mr. Moid returned to Le Garite with Lan and her brother.\Since that happened, the wind's really been taken out of Mr. Tadokoro's sails.\H-Hot!\My Big Sister Yoko recovered completely from her injuries.\Just what I'd expect from her. response:	The scar doesn't bother her one bit.
context: So many things happened that I think she just wants to rest.\Yeah, I'm sure that's it.\Mr. Moid returned to Le Garite with Lan and her brother.\Since that happened, the wind's really been taken out of Mr. Tadokoro's sails.\H-Hot!\My Big Sister Yoko recovered completely from her injuries.\Just what I'd expect from her.\The scar doesn't bother her one bit. response:	She seems to have gotten close to Asteria lately.
context: Yeah, I'm sure that's it.\Mr. Moid returned to Le Garite with Lan and her brother.\Since that happened, the wind's really been taken out of Mr. Tadokoro's sails.\H-Hot!\My Big Sister Yoko recovered completely from her injuries.\Just what I'd expect from her.\The scar doesn't bother her one bit.\She seems to have gotten close to Asteria lately. response:	Madoka said that during the last battle, she realized she was on a beach.
context: Mr. Moid returned to Le Garite with Lan and her brother.\Since that happened, the wind's really been taken out of Mr. Tadokoro's sails.\H-Hot!\My Big Sister Yoko recovered completely from her injuries.\Just what I'd expect from her.\The scar doesn't bother her one bit.\She seems to have gotten close to Asteria lately.\Madoka said that during the last battle, she realized she was on a beach. response:	A beach?
context: Since that happened, the wind's really been taken out of Mr. Tadokoro's sails.\H-Hot!\My Big Sister Yoko recovered completely from her injuries.\Just what I'd expect from her.\The scar doesn't bother her one bit.\She seems to have gotten close to Asteria lately.\Madoka said that during the last battle, she realized she was on a beach.\A beach? response:	And she got some advice from a girl she didn't know.
context: H-Hot!\My Big Sister Yoko recovered completely from her injuries.\Just what I'd expect from her.\The scar doesn't bother her one bit.\She seems to have gotten close to Asteria lately.\Madoka said that during the last battle, she realized she was on a beach.\A beach?\And she got some advice from a girl she didn't know. response:	I see.
context: My Big Sister Yoko recovered completely from her injuries.\Just what I'd expect from her.\The scar doesn't bother her one bit.\She seems to have gotten close to Asteria lately.\Madoka said that during the last battle, she realized she was on a beach.\A beach?\And she got some advice from a girl she didn't know.\I see. response:	So she saw her too.
context: Just what I'd expect from her.\The scar doesn't bother her one bit.\She seems to have gotten close to Asteria lately.\Madoka said that during the last battle, she realized she was on a beach.\A beach?\And she got some advice from a girl she didn't know.\I see.\So she saw her too. response:	Isn't it about time you shared your story with me too?
context: The scar doesn't bother her one bit.\She seems to have gotten close to Asteria lately.\Madoka said that during the last battle, she realized she was on a beach.\A beach?\And she got some advice from a girl she didn't know.\I see.\So she saw her too.\Isn't it about time you shared your story with me too? response:	If I did, what would you do?
context: She seems to have gotten close to Asteria lately.\Madoka said that during the last battle, she realized she was on a beach.\A beach?\And she got some advice from a girl she didn't know.\I see.\So she saw her too.\Isn't it about time you shared your story with me too?\If I did, what would you do? response:	Nothing.
context: Madoka said that during the last battle, she realized she was on a beach.\A beach?\And she got some advice from a girl she didn't know.\I see.\So she saw her too.\Isn't it about time you shared your story with me too?\If I did, what would you do?\Nothing. response:	I'm just curious.
context: A beach?\And she got some advice from a girl she didn't know.\I see.\So she saw her too.\Isn't it about time you shared your story with me too?\If I did, what would you do?\Nothing.\I'm just curious. response:	They say girls who are too curious miss their chance at marriage.
context: And she got some advice from a girl she didn't know.\I see.\So she saw her too.\Isn't it about time you shared your story with me too?\If I did, what would you do?\Nothing.\I'm just curious.\They say girls who are too curious miss their chance at marriage. response:	I am the witch who pulled this universe into an eternal loop
context: I see.\So she saw her too.\Isn't it about time you shared your story with me too?\If I did, what would you do?\Nothing.\I'm just curious.\They say girls who are too curious miss their chance at marriage.\I am the witch who pulled this universe into an eternal loop response:	comprised of peace and calamity.
context: So she saw her too.\Isn't it about time you shared your story with me too?\If I did, what would you do?\Nothing.\I'm just curious.\They say girls who are too curious miss their chance at marriage.\I am the witch who pulled this universe into an eternal loop\comprised of peace and calamity. response:	But don't worry,
context: Isn't it about time you shared your story with me too?\If I did, what would you do?\Nothing.\I'm just curious.\They say girls who are too curious miss their chance at marriage.\I am the witch who pulled this universe into an eternal loop\comprised of peace and calamity.\But don't worry, response:	I promise I'll disappear.
context: If I did, what would you do?\Nothing.\I'm just curious.\They say girls who are too curious miss their chance at marriage.\I am the witch who pulled this universe into an eternal loop\comprised of peace and calamity.\But don't worry,\I promise I'll disappear. response:	Once Madoka severs this...
context: Nothing.\I'm just curious.\They say girls who are too curious miss their chance at marriage.\I am the witch who pulled this universe into an eternal loop\comprised of peace and calamity.\But don't worry,\I promise I'll disappear.\Once Madoka severs this... response:	The Rin-ne.
context: I'm just curious.\They say girls who are too curious miss their chance at marriage.\I am the witch who pulled this universe into an eternal loop\comprised of peace and calamity.\But don't worry,\I promise I'll disappear.\Once Madoka severs this...\The Rin-ne. response:	Come on!
context: They say girls who are too curious miss their chance at marriage.\I am the witch who pulled this universe into an eternal loop\comprised of peace and calamity.\But don't worry,\I promise I'll disappear.\Once Madoka severs this...\The Rin-ne.\Come on! response:	I was looking forward to the roasted pollock roe inside!
context: I am the witch who pulled this universe into an eternal loop\comprised of peace and calamity.\But don't worry,\I promise I'll disappear.\Once Madoka severs this...\The Rin-ne.\Come on!\I was looking forward to the roasted pollock roe inside! response:	Isn't this the...?
context: comprised of peace and calamity.\But don't worry,\I promise I'll disappear.\Once Madoka severs this...\The Rin-ne.\Come on!\I was looking forward to the roasted pollock roe inside!\Isn't this the...? response:	The Chairman of Novumundus is your personal reference, huh?
context: But don't worry,\I promise I'll disappear.\Once Madoka severs this...\The Rin-ne.\Come on!\I was looking forward to the roasted pollock roe inside!\Isn't this the...?\The Chairman of Novumundus is your personal reference, huh? response:	I saw Lan recently.
context: I promise I'll disappear.\Once Madoka severs this...\The Rin-ne.\Come on!\I was looking forward to the roasted pollock roe inside!\Isn't this the...?\The Chairman of Novumundus is your personal reference, huh?\I saw Lan recently. response:	We talked about so many things.
context: Once Madoka severs this...\The Rin-ne.\Come on!\I was looking forward to the roasted pollock roe inside!\Isn't this the...?\The Chairman of Novumundus is your personal reference, huh?\I saw Lan recently.\We talked about so many things. response:	About each other, about our future, and about you, Madoka.
context: The Rin-ne.\Come on!\I was looking forward to the roasted pollock roe inside!\Isn't this the...?\The Chairman of Novumundus is your personal reference, huh?\I saw Lan recently.\We talked about so many things.\About each other, about our future, and about you, Madoka. response:	We ended up arguing again,
context: Come on!\I was looking forward to the roasted pollock roe inside!\Isn't this the...?\The Chairman of Novumundus is your personal reference, huh?\I saw Lan recently.\We talked about so many things.\About each other, about our future, and about you, Madoka.\We ended up arguing again, response:	but we made up
context: I was looking forward to the roasted pollock roe inside!\Isn't this the...?\The Chairman of Novumundus is your personal reference, huh?\I saw Lan recently.\We talked about so many things.\About each other, about our future, and about you, Madoka.\We ended up arguing again,\but we made up response:	just like when we were a trio.
context: Isn't this the...?\The Chairman of Novumundus is your personal reference, huh?\I saw Lan recently.\We talked about so many things.\About each other, about our future, and about you, Madoka.\We ended up arguing again,\but we made up\just like when we were a trio. response:	We argued a lot and made up a lot.
context: The Chairman of Novumundus is your personal reference, huh?\I saw Lan recently.\We talked about so many things.\About each other, about our future, and about you, Madoka.\We ended up arguing again,\but we made up\just like when we were a trio.\We argued a lot and made up a lot. response:	And now, I love you two even more.
context: I saw Lan recently.\We talked about so many things.\About each other, about our future, and about you, Madoka.\We ended up arguing again,\but we made up\just like when we were a trio.\We argued a lot and made up a lot.\And now, I love you two even more. response:	Even if I squint really hard,
context: We talked about so many things.\About each other, about our future, and about you, Madoka.\We ended up arguing again,\but we made up\just like when we were a trio.\We argued a lot and made up a lot.\And now, I love you two even more.\Even if I squint really hard, response:	I still can't see the Earth from here.
context: About each other, about our future, and about you, Madoka.\We ended up arguing again,\but we made up\just like when we were a trio.\We argued a lot and made up a lot.\And now, I love you two even more.\Even if I squint really hard,\I still can't see the Earth from here. response:	But,
context: We ended up arguing again,\but we made up\just like when we were a trio.\We argued a lot and made up a lot.\And now, I love you two even more.\Even if I squint really hard,\I still can't see the Earth from here.\But, response:	I promise I'll return to Kamogawa someday.
context: but we made up\just like when we were a trio.\We argued a lot and made up a lot.\And now, I love you two even more.\Even if I squint really hard,\I still can't see the Earth from here.\But,\I promise I'll return to Kamogawa someday. response:	When I do, let's argue lots and lots!
context: just like when we were a trio.\We argued a lot and made up a lot.\And now, I love you two even more.\Even if I squint really hard,\I still can't see the Earth from here.\But,\I promise I'll return to Kamogawa someday.\When I do, let's argue lots and lots! response:	To my dearest Madoka...
context: We argued a lot and made up a lot.\And now, I love you two even more.\Even if I squint really hard,\I still can't see the Earth from here.\But,\I promise I'll return to Kamogawa someday.\When I do, let's argue lots and lots!\To my dearest Madoka... response:	Perfect!
context: And now, I love you two even more.\Even if I squint really hard,\I still can't see the Earth from here.\But,\I promise I'll return to Kamogawa someday.\When I do, let's argue lots and lots!\To my dearest Madoka...\Perfect! response:	Didn't I tell you to hold on to it since the wind is blowing?
context: Even if I squint really hard,\I still can't see the Earth from here.\But,\I promise I'll return to Kamogawa someday.\When I do, let's argue lots and lots!\To my dearest Madoka...\Perfect!\Didn't I tell you to hold on to it since the wind is blowing? response:	You didn't listen to your mother!
context: I still can't see the Earth from here.\But,\I promise I'll return to Kamogawa someday.\When I do, let's argue lots and lots!\To my dearest Madoka...\Perfect!\Didn't I tell you to hold on to it since the wind is blowing?\You didn't listen to your mother! response:	Just a minute!
context: But,\I promise I'll return to Kamogawa someday.\When I do, let's argue lots and lots!\To my dearest Madoka...\Perfect!\Didn't I tell you to hold on to it since the wind is blowing?\You didn't listen to your mother!\Just a minute! response:	I'll get it for you in a jiffy!
context: I promise I'll return to Kamogawa someday.\When I do, let's argue lots and lots!\To my dearest Madoka...\Perfect!\Didn't I tell you to hold on to it since the wind is blowing?\You didn't listen to your mother!\Just a minute!\I'll get it for you in a jiffy! response:	On my way!
context: When I do, let's argue lots and lots!\To my dearest Madoka...\Perfect!\Didn't I tell you to hold on to it since the wind is blowing?\You didn't listen to your mother!\Just a minute!\I'll get it for you in a jiffy!\On my way! response:	Special announcement!
context: To my dearest Madoka...\Perfect!\Didn't I tell you to hold on to it since the wind is blowing?\You didn't listen to your mother!\Just a minute!\I'll get it for you in a jiffy!\On my way!\Special announcement! response:	When did you get back, Muginami?
context: Perfect!\Didn't I tell you to hold on to it since the wind is blowing?\You didn't listen to your mother!\Just a minute!\I'll get it for you in a jiffy!\On my way!\Special announcement!\When did you get back, Muginami? response:	Madoka, all you said was Ehhh.
context: Didn't I tell you to hold on to it since the wind is blowing?\You didn't listen to your mother!\Just a minute!\I'll get it for you in a jiffy!\On my way!\Special announcement!\When did you get back, Muginami?\Madoka, all you said was Ehhh. response:	Oh, you're back too, Lan?
