context: N-Now, now, let's calm down, Ryuko. response:	Bite me! What the hell is going on?
context: Shinsoku-Senbonzuki!\I've read all your blocking moves now, too!\Even your Scissor Blade that can slice a Goku\Uniform to pieces is worthless if it can't hit its target!\Come on, is it over already?\That's a little disappointing, don't you think?\That's more like it!\Senketsu. I need you to do me a favor. response:	I understand. Bet it all on a single roll of the dice, eh?
context: I've read all your blocking moves now, too!\Even your Scissor Blade that can slice a Goku\Uniform to pieces is worthless if it can't hit its target!\Come on, is it over already?\That's a little disappointing, don't you think?\That's more like it!\Senketsu. I need you to do me a favor.\I understand. Bet it all on a single roll of the dice, eh? response:	Ryuko!
context: Even your Scissor Blade that can slice a Goku\Uniform to pieces is worthless if it can't hit its target!\Come on, is it over already?\That's a little disappointing, don't you think?\That's more like it!\Senketsu. I need you to do me a favor.\I understand. Bet it all on a single roll of the dice, eh?\Ryuko! response:	You're mine!
context: Uniform to pieces is worthless if it can't hit its target!\Come on, is it over already?\That's a little disappointing, don't you think?\That's more like it!\Senketsu. I need you to do me a favor.\I understand. Bet it all on a single roll of the dice, eh?\Ryuko!\You're mine! response:	T-They won't come off!
context: Come on, is it over already?\That's a little disappointing, don't you think?\That's more like it!\Senketsu. I need you to do me a favor.\I understand. Bet it all on a single roll of the dice, eh?\Ryuko!\You're mine!\T-They won't come off! response:	M-My eyes!
context: That's a little disappointing, don't you think?\That's more like it!\Senketsu. I need you to do me a favor.\I understand. Bet it all on a single roll of the dice, eh?\Ryuko!\You're mine!\T-They won't come off!\M-My eyes! response:	Now!
context: That's more like it!\Senketsu. I need you to do me a favor.\I understand. Bet it all on a single roll of the dice, eh?\Ryuko!\You're mine!\T-They won't come off!\M-My eyes!\Now! response:	Finishing Move: Sen-I-Soshitsu!
context: Senketsu. I need you to do me a favor.\I understand. Bet it all on a single roll of the dice, eh?\Ryuko!\You're mine!\T-They won't come off!\M-My eyes!\Now!\Finishing Move: Sen-I-Soshitsu! response:	SEN-I-SOSHITSU (FIBER LOST)
context: I understand. Bet it all on a single roll of the dice, eh?\Ryuko!\You're mine!\T-They won't come off!\M-My eyes!\Now!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST) response:	Oh, dear. He went and lost.
context: Ryuko!\You're mine!\T-They won't come off!\M-My eyes!\Now!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Oh, dear. He went and lost. response:	It would appear that this is what Lady Satsuki meant.
context: You're mine!\T-They won't come off!\M-My eyes!\Now!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Oh, dear. He went and lost.\It would appear that this is what Lady Satsuki meant. response:	You did it, Ryuko!
context: T-They won't come off!\M-My eyes!\Now!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Oh, dear. He went and lost.\It would appear that this is what Lady Satsuki meant.\You did it, Ryuko! response:	You beat one of the Elite Four already!
context: M-My eyes!\Now!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Oh, dear. He went and lost.\It would appear that this is what Lady Satsuki meant.\You did it, Ryuko!\You beat one of the Elite Four already! response:	You're amazing! And so fast! And so awesome! Yeah!
context: Now!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Oh, dear. He went and lost.\It would appear that this is what Lady Satsuki meant.\You did it, Ryuko!\You beat one of the Elite Four already!\You're amazing! And so fast! And so awesome! Yeah! response:	This isn't over yet!
context: Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\Oh, dear. He went and lost.\It would appear that this is what Lady Satsuki meant.\You did it, Ryuko!\You beat one of the Elite Four already!\You're amazing! And so fast! And so awesome! Yeah!\This isn't over yet! response:	I can still fight! Come on, Matoi!
context: SEN-I-SOSHITSU (FIBER LOST)\Oh, dear. He went and lost.\It would appear that this is what Lady Satsuki meant.\You did it, Ryuko!\You beat one of the Elite Four already!\You're amazing! And so fast! And so awesome! Yeah!\This isn't over yet!\I can still fight! Come on, Matoi! response:	Don't be pathetic, Sanageyama!
context: Oh, dear. He went and lost.\It would appear that this is what Lady Satsuki meant.\You did it, Ryuko!\You beat one of the Elite Four already!\You're amazing! And so fast! And so awesome! Yeah!\This isn't over yet!\I can still fight! Come on, Matoi!\Don't be pathetic, Sanageyama! response:	You have disgraced the Elite Four!
context: It would appear that this is what Lady Satsuki meant.\You did it, Ryuko!\You beat one of the Elite Four already!\You're amazing! And so fast! And so awesome! Yeah!\This isn't over yet!\I can still fight! Come on, Matoi!\Don't be pathetic, Sanageyama!\You have disgraced the Elite Four! response:	One who relies overly on a single skill will
context: You did it, Ryuko!\You beat one of the Elite Four already!\You're amazing! And so fast! And so awesome! Yeah!\This isn't over yet!\I can still fight! Come on, Matoi!\Don't be pathetic, Sanageyama!\You have disgraced the Elite Four!\One who relies overly on a single skill will response:	be brought low by that very same skill, huh?
context: You beat one of the Elite Four already!\You're amazing! And so fast! And so awesome! Yeah!\This isn't over yet!\I can still fight! Come on, Matoi!\Don't be pathetic, Sanageyama!\You have disgraced the Elite Four!\One who relies overly on a single skill will\be brought low by that very same skill, huh? response:	MANKANSHOKU BACK-ALLEY CLINIC
context: You're amazing! And so fast! And so awesome! Yeah!\This isn't over yet!\I can still fight! Come on, Matoi!\Don't be pathetic, Sanageyama!\You have disgraced the Elite Four!\One who relies overly on a single skill will\be brought low by that very same skill, huh?\MANKANSHOKU BACK-ALLEY CLINIC response:	Ah, that hits the spot.
context: This isn't over yet!\I can still fight! Come on, Matoi!\Don't be pathetic, Sanageyama!\You have disgraced the Elite Four!\One who relies overly on a single skill will\be brought low by that very same skill, huh?\MANKANSHOKU BACK-ALLEY CLINIC\Ah, that hits the spot. response:	That feels good?
context: I can still fight! Come on, Matoi!\Don't be pathetic, Sanageyama!\You have disgraced the Elite Four!\One who relies overly on a single skill will\be brought low by that very same skill, huh?\MANKANSHOKU BACK-ALLEY CLINIC\Ah, that hits the spot.\That feels good? response:	Yes, irons are wonderful.
context: Don't be pathetic, Sanageyama!\You have disgraced the Elite Four!\One who relies overly on a single skill will\be brought low by that very same skill, huh?\MANKANSHOKU BACK-ALLEY CLINIC\Ah, that hits the spot.\That feels good?\Yes, irons are wonderful. response:	It feels like all the wrinkles in my body melt away,
context: You have disgraced the Elite Four!\One who relies overly on a single skill will\be brought low by that very same skill, huh?\MANKANSHOKU BACK-ALLEY CLINIC\Ah, that hits the spot.\That feels good?\Yes, irons are wonderful.\It feels like all the wrinkles in my body melt away, response:	and my Life Fibers line up one by one.
context: One who relies overly on a single skill will\be brought low by that very same skill, huh?\MANKANSHOKU BACK-ALLEY CLINIC\Ah, that hits the spot.\That feels good?\Yes, irons are wonderful.\It feels like all the wrinkles in my body melt away,\and my Life Fibers line up one by one. response:	I'm glad my plan for you to blind Sanageyama worked.
context: be brought low by that very same skill, huh?\MANKANSHOKU BACK-ALLEY CLINIC\Ah, that hits the spot.\That feels good?\Yes, irons are wonderful.\It feels like all the wrinkles in my body melt away,\and my Life Fibers line up one by one.\I'm glad my plan for you to blind Sanageyama worked. response:	Being cut up was rather painful, I'll have you know.
context: MANKANSHOKU BACK-ALLEY CLINIC\Ah, that hits the spot.\That feels good?\Yes, irons are wonderful.\It feels like all the wrinkles in my body melt away,\and my Life Fibers line up one by one.\I'm glad my plan for you to blind Sanageyama worked.\Being cut up was rather painful, I'll have you know. response:	Sorry about that.
context: Ah, that hits the spot.\That feels good?\Yes, irons are wonderful.\It feels like all the wrinkles in my body melt away,\and my Life Fibers line up one by one.\I'm glad my plan for you to blind Sanageyama worked.\Being cut up was rather painful, I'll have you know.\Sorry about that. response:	Don't worry about it.
context: That feels good?\Yes, irons are wonderful.\It feels like all the wrinkles in my body melt away,\and my Life Fibers line up one by one.\I'm glad my plan for you to blind Sanageyama worked.\Being cut up was rather painful, I'll have you know.\Sorry about that.\Don't worry about it. response:	If we hadn't won, I wouldn't be enjoying this pleasant ironing.
context: Yes, irons are wonderful.\It feels like all the wrinkles in my body melt away,\and my Life Fibers line up one by one.\I'm glad my plan for you to blind Sanageyama worked.\Being cut up was rather painful, I'll have you know.\Sorry about that.\Don't worry about it.\If we hadn't won, I wouldn't be enjoying this pleasant ironing. response:	True.
context: It feels like all the wrinkles in my body melt away,\and my Life Fibers line up one by one.\I'm glad my plan for you to blind Sanageyama worked.\Being cut up was rather painful, I'll have you know.\Sorry about that.\Don't worry about it.\If we hadn't won, I wouldn't be enjoying this pleasant ironing.\True. response:	And make sure to get behind my lapels, too.
context: and my Life Fibers line up one by one.\I'm glad my plan for you to blind Sanageyama worked.\Being cut up was rather painful, I'll have you know.\Sorry about that.\Don't worry about it.\If we hadn't won, I wouldn't be enjoying this pleasant ironing.\True.\And make sure to get behind my lapels, too. response:	Be thorough about it.
context: I'm glad my plan for you to blind Sanageyama worked.\Being cut up was rather painful, I'll have you know.\Sorry about that.\Don't worry about it.\If we hadn't won, I wouldn't be enjoying this pleasant ironing.\True.\And make sure to get behind my lapels, too.\Be thorough about it. response:	Man, you're one demanding article of clothing, you know that?
context: Being cut up was rather painful, I'll have you know.\Sorry about that.\Don't worry about it.\If we hadn't won, I wouldn't be enjoying this pleasant ironing.\True.\And make sure to get behind my lapels, too.\Be thorough about it.\Man, you're one demanding article of clothing, you know that? response:	Ryuko's mumbling to her uniform again.
context: Sorry about that.\Don't worry about it.\If we hadn't won, I wouldn't be enjoying this pleasant ironing.\True.\And make sure to get behind my lapels, too.\Be thorough about it.\Man, you're one demanding article of clothing, you know that?\Ryuko's mumbling to her uniform again. response:	I think it's fine.
context: Don't worry about it.\If we hadn't won, I wouldn't be enjoying this pleasant ironing.\True.\And make sure to get behind my lapels, too.\Be thorough about it.\Man, you're one demanding article of clothing, you know that?\Ryuko's mumbling to her uniform again.\I think it's fine. response:	Who's there?!
context: If we hadn't won, I wouldn't be enjoying this pleasant ironing.\True.\And make sure to get behind my lapels, too.\Be thorough about it.\Man, you're one demanding article of clothing, you know that?\Ryuko's mumbling to her uniform again.\I think it's fine.\Who's there?! response:	Iori, I have a favor to ask you.
context: True.\And make sure to get behind my lapels, too.\Be thorough about it.\Man, you're one demanding article of clothing, you know that?\Ryuko's mumbling to her uniform again.\I think it's fine.\Who's there?!\Iori, I have a favor to ask you. response:	How was your mother's mood?
context: And make sure to get behind my lapels, too.\Be thorough about it.\Man, you're one demanding article of clothing, you know that?\Ryuko's mumbling to her uniform again.\I think it's fine.\Who's there?!\Iori, I have a favor to ask you.\How was your mother's mood? response:	I explained to her why I took out Junketsu.
context: Be thorough about it.\Man, you're one demanding article of clothing, you know that?\Ryuko's mumbling to her uniform again.\I think it's fine.\Who's there?!\Iori, I have a favor to ask you.\How was your mother's mood?\I explained to her why I took out Junketsu. response:	You needn't worry, Soroi.
context: Man, you're one demanding article of clothing, you know that?\Ryuko's mumbling to her uniform again.\I think it's fine.\Who's there?!\Iori, I have a favor to ask you.\How was your mother's mood?\I explained to her why I took out Junketsu.\You needn't worry, Soroi. response:	I've no time for losers, Sanageyama.
context: Ryuko's mumbling to her uniform again.\I think it's fine.\Who's there?!\Iori, I have a favor to ask you.\How was your mother's mood?\I explained to her why I took out Junketsu.\You needn't worry, Soroi.\I've no time for losers, Sanageyama. response:	I was overconfident in my eyesight.
context: I think it's fine.\Who's there?!\Iori, I have a favor to ask you.\How was your mother's mood?\I explained to her why I took out Junketsu.\You needn't worry, Soroi.\I've no time for losers, Sanageyama.\I was overconfident in my eyesight. response:	Give me another chance!
context: Who's there?!\Iori, I have a favor to ask you.\How was your mother's mood?\I explained to her why I took out Junketsu.\You needn't worry, Soroi.\I've no time for losers, Sanageyama.\I was overconfident in my eyesight.\Give me another chance! response:	I'll defeat Matoi for certain next time!
context: Iori, I have a favor to ask you.\How was your mother's mood?\I explained to her why I took out Junketsu.\You needn't worry, Soroi.\I've no time for losers, Sanageyama.\I was overconfident in my eyesight.\Give me another chance!\I'll defeat Matoi for certain next time! response:	Pathetic.
context: How was your mother's mood?\I explained to her why I took out Junketsu.\You needn't worry, Soroi.\I've no time for losers, Sanageyama.\I was overconfident in my eyesight.\Give me another chance!\I'll defeat Matoi for certain next time!\Pathetic. response:	I don't need subordinates who lack resolve.
context: I explained to her why I took out Junketsu.\You needn't worry, Soroi.\I've no time for losers, Sanageyama.\I was overconfident in my eyesight.\Give me another chance!\I'll defeat Matoi for certain next time!\Pathetic.\I don't need subordinates who lack resolve. response:	Resolve I have!
context: You needn't worry, Soroi.\I've no time for losers, Sanageyama.\I was overconfident in my eyesight.\Give me another chance!\I'll defeat Matoi for certain next time!\Pathetic.\I don't need subordinates who lack resolve.\Resolve I have! response:	Here is the proof!
context: I've no time for losers, Sanageyama.\I was overconfident in my eyesight.\Give me another chance!\I'll defeat Matoi for certain next time!\Pathetic.\I don't need subordinates who lack resolve.\Resolve I have!\Here is the proof! response:	CHALLENGE
context: I was overconfident in my eyesight.\Give me another chance!\I'll defeat Matoi for certain next time!\Pathetic.\I don't need subordinates who lack resolve.\Resolve I have!\Here is the proof!\CHALLENGE response:	HONNOUJIGAHARA
context: Give me another chance!\I'll defeat Matoi for certain next time!\Pathetic.\I don't need subordinates who lack resolve.\Resolve I have!\Here is the proof!\CHALLENGE\HONNOUJIGAHARA response:	Giving someone who was beaten a second chance...
context: I'll defeat Matoi for certain next time!\Pathetic.\I don't need subordinates who lack resolve.\Resolve I have!\Here is the proof!\CHALLENGE\HONNOUJIGAHARA\Giving someone who was beaten a second chance... response:	You're a soft touch, Satsuki Kiryuin!
context: Pathetic.\I don't need subordinates who lack resolve.\Resolve I have!\Here is the proof!\CHALLENGE\HONNOUJIGAHARA\Giving someone who was beaten a second chance...\You're a soft touch, Satsuki Kiryuin! response:	Tell me again after the fight just how soft I am, Ryuko Matoi.
context: I don't need subordinates who lack resolve.\Resolve I have!\Here is the proof!\CHALLENGE\HONNOUJIGAHARA\Giving someone who was beaten a second chance...\You're a soft touch, Satsuki Kiryuin!\Tell me again after the fight just how soft I am, Ryuko Matoi. response:	Watch closely what happens when you force a man to change.
context: Resolve I have!\Here is the proof!\CHALLENGE\HONNOUJIGAHARA\Giving someone who was beaten a second chance...\You're a soft touch, Satsuki Kiryuin!\Tell me again after the fight just how soft I am, Ryuko Matoi.\Watch closely what happens when you force a man to change. response:	Three-Star Goku Uniform: Blade Regalia MKII!
context: Here is the proof!\CHALLENGE\HONNOUJIGAHARA\Giving someone who was beaten a second chance...\You're a soft touch, Satsuki Kiryuin!\Tell me again after the fight just how soft I am, Ryuko Matoi.\Watch closely what happens when you force a man to change.\Three-Star Goku Uniform: Blade Regalia MKII! response:	THREE-STAR GOKU UNIFORM: BLADE REGALIA MKII
context: CHALLENGE\HONNOUJIGAHARA\Giving someone who was beaten a second chance...\You're a soft touch, Satsuki Kiryuin!\Tell me again after the fight just how soft I am, Ryuko Matoi.\Watch closely what happens when you force a man to change.\Three-Star Goku Uniform: Blade Regalia MKII!\THREE-STAR GOKU UNIFORM: BLADE REGALIA MKII response:	Be careful, Ryuko.
context: HONNOUJIGAHARA\Giving someone who was beaten a second chance...\You're a soft touch, Satsuki Kiryuin!\Tell me again after the fight just how soft I am, Ryuko Matoi.\Watch closely what happens when you force a man to change.\Three-Star Goku Uniform: Blade Regalia MKII!\THREE-STAR GOKU UNIFORM: BLADE REGALIA MKII\Be careful, Ryuko. response:	I'm getting a totally different vibe than last time.
context: Giving someone who was beaten a second chance...\You're a soft touch, Satsuki Kiryuin!\Tell me again after the fight just how soft I am, Ryuko Matoi.\Watch closely what happens when you force a man to change.\Three-Star Goku Uniform: Blade Regalia MKII!\THREE-STAR GOKU UNIFORM: BLADE REGALIA MKII\Be careful, Ryuko.\I'm getting a totally different vibe than last time. response:	Let's work fast, then.
context: You're a soft touch, Satsuki Kiryuin!\Tell me again after the fight just how soft I am, Ryuko Matoi.\Watch closely what happens when you force a man to change.\Three-Star Goku Uniform: Blade Regalia MKII!\THREE-STAR GOKU UNIFORM: BLADE REGALIA MKII\Be careful, Ryuko.\I'm getting a totally different vibe than last time.\Let's work fast, then. response:	Life Fiber Synchronize, Kamui Senketsu!
context: Tell me again after the fight just how soft I am, Ryuko Matoi.\Watch closely what happens when you force a man to change.\Three-Star Goku Uniform: Blade Regalia MKII!\THREE-STAR GOKU UNIFORM: BLADE REGALIA MKII\Be careful, Ryuko.\I'm getting a totally different vibe than last time.\Let's work fast, then.\Life Fiber Synchronize, Kamui Senketsu! response:	KAMUI SENKETSU
context: Watch closely what happens when you force a man to change.\Three-Star Goku Uniform: Blade Regalia MKII!\THREE-STAR GOKU UNIFORM: BLADE REGALIA MKII\Be careful, Ryuko.\I'm getting a totally different vibe than last time.\Let's work fast, then.\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU response:	Sorry about this, Senketsu.
context: Three-Star Goku Uniform: Blade Regalia MKII!\THREE-STAR GOKU UNIFORM: BLADE REGALIA MKII\Be careful, Ryuko.\I'm getting a totally different vibe than last time.\Let's work fast, then.\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Sorry about this, Senketsu. response:	I've covered up every last eye you've got!
context: THREE-STAR GOKU UNIFORM: BLADE REGALIA MKII\Be careful, Ryuko.\I'm getting a totally different vibe than last time.\Let's work fast, then.\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Sorry about this, Senketsu.\I've covered up every last eye you've got! response:	Now you can't use your Tengantsu!
context: Be careful, Ryuko.\I'm getting a totally different vibe than last time.\Let's work fast, then.\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Sorry about this, Senketsu.\I've covered up every last eye you've got!\Now you can't use your Tengantsu! response:	Look, Ryuko!
context: I'm getting a totally different vibe than last time.\Let's work fast, then.\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Sorry about this, Senketsu.\I've covered up every last eye you've got!\Now you can't use your Tengantsu!\Look, Ryuko! response:	His eyes are shut!
context: Let's work fast, then.\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Sorry about this, Senketsu.\I've covered up every last eye you've got!\Now you can't use your Tengantsu!\Look, Ryuko!\His eyes are shut! response:	Iori, I want you to sew my eyes shut.
context: Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Sorry about this, Senketsu.\I've covered up every last eye you've got!\Now you can't use your Tengantsu!\Look, Ryuko!\His eyes are shut!\Iori, I want you to sew my eyes shut. response:	But if I did that, you'd lose your Tengantsu!
context: KAMUI SENKETSU\Sorry about this, Senketsu.\I've covered up every last eye you've got!\Now you can't use your Tengantsu!\Look, Ryuko!\His eyes are shut!\Iori, I want you to sew my eyes shut.\But if I did that, you'd lose your Tengantsu! response:	That's all right.
context: Sorry about this, Senketsu.\I've covered up every last eye you've got!\Now you can't use your Tengantsu!\Look, Ryuko!\His eyes are shut!\Iori, I want you to sew my eyes shut.\But if I did that, you'd lose your Tengantsu!\That's all right. response:	It was my overconfidence that made me lose.
context: I've covered up every last eye you've got!\Now you can't use your Tengantsu!\Look, Ryuko!\His eyes are shut!\Iori, I want you to sew my eyes shut.\But if I did that, you'd lose your Tengantsu!\That's all right.\It was my overconfidence that made me lose. response:	Unless my eyes are sewn shut, I won't be able to beat Matoi!
context: Now you can't use your Tengantsu!\Look, Ryuko!\His eyes are shut!\Iori, I want you to sew my eyes shut.\But if I did that, you'd lose your Tengantsu!\That's all right.\It was my overconfidence that made me lose.\Unless my eyes are sewn shut, I won't be able to beat Matoi! response:	This is the resolve of a man who has realized
context: Look, Ryuko!\His eyes are shut!\Iori, I want you to sew my eyes shut.\But if I did that, you'd lose your Tengantsu!\That's all right.\It was my overconfidence that made me lose.\Unless my eyes are sewn shut, I won't be able to beat Matoi!\This is the resolve of a man who has realized response:	the error of his ways and sacrificed everything!
context: His eyes are shut!\Iori, I want you to sew my eyes shut.\But if I did that, you'd lose your Tengantsu!\That's all right.\It was my overconfidence that made me lose.\Unless my eyes are sewn shut, I won't be able to beat Matoi!\This is the resolve of a man who has realized\the error of his ways and sacrificed everything! response:	Know that as you face him, Matoi!
context: Iori, I want you to sew my eyes shut.\But if I did that, you'd lose your Tengantsu!\That's all right.\It was my overconfidence that made me lose.\Unless my eyes are sewn shut, I won't be able to beat Matoi!\This is the resolve of a man who has realized\the error of his ways and sacrificed everything!\Know that as you face him, Matoi! response:	Here I come.
context: But if I did that, you'd lose your Tengantsu!\That's all right.\It was my overconfidence that made me lose.\Unless my eyes are sewn shut, I won't be able to beat Matoi!\This is the resolve of a man who has realized\the error of his ways and sacrificed everything!\Know that as you face him, Matoi!\Here I come. response:	What's this intimidating aura?
context: That's all right.\It was my overconfidence that made me lose.\Unless my eyes are sewn shut, I won't be able to beat Matoi!\This is the resolve of a man who has realized\the error of his ways and sacrificed everything!\Know that as you face him, Matoi!\Here I come.\What's this intimidating aura? response:	Men (Head)!
context: It was my overconfidence that made me lose.\Unless my eyes are sewn shut, I won't be able to beat Matoi!\This is the resolve of a man who has realized\the error of his ways and sacrificed everything!\Know that as you face him, Matoi!\Here I come.\What's this intimidating aura?\Men (Head)! response:	Dou (Body)!
context: Unless my eyes are sewn shut, I won't be able to beat Matoi!\This is the resolve of a man who has realized\the error of his ways and sacrificed everything!\Know that as you face him, Matoi!\Here I come.\What's this intimidating aura?\Men (Head)!\Dou (Body)! response:	Kote (Wrist)!
context: This is the resolve of a man who has realized\the error of his ways and sacrificed everything!\Know that as you face him, Matoi!\Here I come.\What's this intimidating aura?\Men (Head)!\Dou (Body)!\Kote (Wrist)! response:	Oh, crap! These aren't the moves of someone with no eyes!
context: the error of his ways and sacrificed everything!\Know that as you face him, Matoi!\Here I come.\What's this intimidating aura?\Men (Head)!\Dou (Body)!\Kote (Wrist)!\Oh, crap! These aren't the moves of someone with no eyes! response:	You're terrified, aren't you, Matoi?
context: Know that as you face him, Matoi!\Here I come.\What's this intimidating aura?\Men (Head)!\Dou (Body)!\Kote (Wrist)!\Oh, crap! These aren't the moves of someone with no eyes!\You're terrified, aren't you, Matoi? response:	Say what?!
context: Here I come.\What's this intimidating aura?\Men (Head)!\Dou (Body)!\Kote (Wrist)!\Oh, crap! These aren't the moves of someone with no eyes!\You're terrified, aren't you, Matoi?\Say what?! response:	Your breathing. The smell of your sweat.
context: What's this intimidating aura?\Men (Head)!\Dou (Body)!\Kote (Wrist)!\Oh, crap! These aren't the moves of someone with no eyes!\You're terrified, aren't you, Matoi?\Say what?!\Your breathing. The smell of your sweat. response:	I can see the inner workings of your mind as clear as day.
context: Men (Head)!\Dou (Body)!\Kote (Wrist)!\Oh, crap! These aren't the moves of someone with no eyes!\You're terrified, aren't you, Matoi?\Say what?!\Your breathing. The smell of your sweat.\I can see the inner workings of your mind as clear as day. response:	I can see it far, far more clearly than I could with my eyes!
context: Dou (Body)!\Kote (Wrist)!\Oh, crap! These aren't the moves of someone with no eyes!\You're terrified, aren't you, Matoi?\Say what?!\Your breathing. The smell of your sweat.\I can see the inner workings of your mind as clear as day.\I can see it far, far more clearly than I could with my eyes! response:	Everything about this world!
context: Kote (Wrist)!\Oh, crap! These aren't the moves of someone with no eyes!\You're terrified, aren't you, Matoi?\Say what?!\Your breathing. The smell of your sweat.\I can see the inner workings of your mind as clear as day.\I can see it far, far more clearly than I could with my eyes!\Everything about this world! response:	Shingantsu. The eyes of the mind.
context: Oh, crap! These aren't the moves of someone with no eyes!\You're terrified, aren't you, Matoi?\Say what?!\Your breathing. The smell of your sweat.\I can see the inner workings of your mind as clear as day.\I can see it far, far more clearly than I could with my eyes!\Everything about this world!\Shingantsu. The eyes of the mind. response:	Sealing his eyes shut boosted his affinity with the Goku Uniform.
context: You're terrified, aren't you, Matoi?\Say what?!\Your breathing. The smell of your sweat.\I can see the inner workings of your mind as clear as day.\I can see it far, far more clearly than I could with my eyes!\Everything about this world!\Shingantsu. The eyes of the mind.\Sealing his eyes shut boosted his affinity with the Goku Uniform. response:	Men! Dou! Kote!
context: Say what?!\Your breathing. The smell of your sweat.\I can see the inner workings of your mind as clear as day.\I can see it far, far more clearly than I could with my eyes!\Everything about this world!\Shingantsu. The eyes of the mind.\Sealing his eyes shut boosted his affinity with the Goku Uniform.\Men! Dou! Kote! response:	Men! Dou! Kote!
context: Your breathing. The smell of your sweat.\I can see the inner workings of your mind as clear as day.\I can see it far, far more clearly than I could with my eyes!\Everything about this world!\Shingantsu. The eyes of the mind.\Sealing his eyes shut boosted his affinity with the Goku Uniform.\Men! Dou! Kote!\Men! Dou! Kote! response:	The Goku Uniform is now Sanageyama's eyes!
context: I can see the inner workings of your mind as clear as day.\I can see it far, far more clearly than I could with my eyes!\Everything about this world!\Shingantsu. The eyes of the mind.\Sealing his eyes shut boosted his affinity with the Goku Uniform.\Men! Dou! Kote!\Men! Dou! Kote!\The Goku Uniform is now Sanageyama's eyes! response:	His nose! His ears!
context: I can see it far, far more clearly than I could with my eyes!\Everything about this world!\Shingantsu. The eyes of the mind.\Sealing his eyes shut boosted his affinity with the Goku Uniform.\Men! Dou! Kote!\Men! Dou! Kote!\The Goku Uniform is now Sanageyama's eyes!\His nose! His ears! response:	Men! Dou! Kote!
context: Everything about this world!\Shingantsu. The eyes of the mind.\Sealing his eyes shut boosted his affinity with the Goku Uniform.\Men! Dou! Kote!\Men! Dou! Kote!\The Goku Uniform is now Sanageyama's eyes!\His nose! His ears!\Men! Dou! Kote! response:	He has acquired the Shingantsu, which surpasses even the Tengantsu.
context: Shingantsu. The eyes of the mind.\Sealing his eyes shut boosted his affinity with the Goku Uniform.\Men! Dou! Kote!\Men! Dou! Kote!\The Goku Uniform is now Sanageyama's eyes!\His nose! His ears!\Men! Dou! Kote!\He has acquired the Shingantsu, which surpasses even the Tengantsu. response:	SHINGANTSU
context: Sealing his eyes shut boosted his affinity with the Goku Uniform.\Men! Dou! Kote!\Men! Dou! Kote!\The Goku Uniform is now Sanageyama's eyes!\His nose! His ears!\Men! Dou! Kote!\He has acquired the Shingantsu, which surpasses even the Tengantsu.\SHINGANTSU response:	No one can evade his attacks!
context: Men! Dou! Kote!\Men! Dou! Kote!\The Goku Uniform is now Sanageyama's eyes!\His nose! His ears!\Men! Dou! Kote!\He has acquired the Shingantsu, which surpasses even the Tengantsu.\SHINGANTSU\No one can evade his attacks! response:	Men! Dou! Kote!
context: Men! Dou! Kote!\The Goku Uniform is now Sanageyama's eyes!\His nose! His ears!\Men! Dou! Kote!\He has acquired the Shingantsu, which surpasses even the Tengantsu.\SHINGANTSU\No one can evade his attacks!\Men! Dou! Kote! response:	Men! Dou! Kote!
context: The Goku Uniform is now Sanageyama's eyes!\His nose! His ears!\Men! Dou! Kote!\He has acquired the Shingantsu, which surpasses even the Tengantsu.\SHINGANTSU\No one can evade his attacks!\Men! Dou! Kote!\Men! Dou! Kote! response:	Men! Dou! Kote!
context: His nose! His ears!\Men! Dou! Kote!\He has acquired the Shingantsu, which surpasses even the Tengantsu.\SHINGANTSU\No one can evade his attacks!\Men! Dou! Kote!\Men! Dou! Kote!\Men! Dou! Kote! response:	Without your weapon, you have no means of turning the tables this time.
context: Men! Dou! Kote!\He has acquired the Shingantsu, which surpasses even the Tengantsu.\SHINGANTSU\No one can evade his attacks!\Men! Dou! Kote!\Men! Dou! Kote!\Men! Dou! Kote!\Without your weapon, you have no means of turning the tables this time. response:	So you'd think, right?
context: He has acquired the Shingantsu, which surpasses even the Tengantsu.\SHINGANTSU\No one can evade his attacks!\Men! Dou! Kote!\Men! Dou! Kote!\Men! Dou! Kote!\Without your weapon, you have no means of turning the tables this time.\So you'd think, right? response:	What the?
