context: It was only a short time, but thank you for taking care of me! response:	Pro Hero - Gran Torino - Quirk: Jet
context: I have a lot to learn.\Young Sero came in first, but compared to the beginning of the year,\you've all gotten a lot better at using your Quirks.\Keep going like this and start preparing for your final exam!\Yes, sir!\Group one, you can leave the field. Next group, get ready!\You surprised me. I couldn't believe my eyes!\Come find me after class is over. response:	Yes, sir...
context: Young Sero came in first, but compared to the beginning of the year,\you've all gotten a lot better at using your Quirks.\Keep going like this and start preparing for your final exam!\Yes, sir!\Group one, you can leave the field. Next group, get ready!\You surprised me. I couldn't believe my eyes!\Come find me after class is over.\Yes, sir... response:	The time has come when I must tell you
context: you've all gotten a lot better at using your Quirks.\Keep going like this and start preparing for your final exam!\Yes, sir!\Group one, you can leave the field. Next group, get ready!\You surprised me. I couldn't believe my eyes!\Come find me after class is over.\Yes, sir...\The time has come when I must tell you response:	about me and One For All.
context: Keep going like this and start preparing for your final exam!\Yes, sir!\Group one, you can leave the field. Next group, get ready!\You surprised me. I couldn't believe my eyes!\Come find me after class is over.\Yes, sir...\The time has come when I must tell you\about me and One For All. response:	Hanta Sero Quirk: Tape He can shoot tape-like material from his elbows and use it to apprehend or for movement.
context: Yes, sir!\Group one, you can leave the field. Next group, get ready!\You surprised me. I couldn't believe my eyes!\Come find me after class is over.\Yes, sir...\The time has come when I must tell you\about me and One For All.\Hanta Sero Quirk: Tape He can shoot tape-like material from his elbows and use it to apprehend or for movement. response:	Affiliation: U.A. High School Hero Class 1-A Birthday: 7/28 Height: 177 cm Blood Type: B Likes: Oranges
context: Group one, you can leave the field. Next group, get ready!\You surprised me. I couldn't believe my eyes!\Come find me after class is over.\Yes, sir...\The time has come when I must tell you\about me and One For All.\Hanta Sero Quirk: Tape He can shoot tape-like material from his elbows and use it to apprehend or for movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/28 Height: 177 cm Blood Type: B Likes: Oranges response:	Minoru Mineta Quirk: Pop Off He can pull ball-shaped objects from his head that can stick to anything and be used for offense or movement.
context: You surprised me. I couldn't believe my eyes!\Come find me after class is over.\Yes, sir...\The time has come when I must tell you\about me and One For All.\Hanta Sero Quirk: Tape He can shoot tape-like material from his elbows and use it to apprehend or for movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/28 Height: 177 cm Blood Type: B Likes: Oranges\Minoru Mineta Quirk: Pop Off He can pull ball-shaped objects from his head that can stick to anything and be used for offense or movement. response:	Affiliation: U.A. High School Hero Class 1-A Birthday: 10/8 Height: 108 cm Blood Type: A Likes: Women
context: Come find me after class is over.\Yes, sir...\The time has come when I must tell you\about me and One For All.\Hanta Sero Quirk: Tape He can shoot tape-like material from his elbows and use it to apprehend or for movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/28 Height: 177 cm Blood Type: B Likes: Oranges\Minoru Mineta Quirk: Pop Off He can pull ball-shaped objects from his head that can stick to anything and be used for offense or movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 10/8 Height: 108 cm Blood Type: A Likes: Women response:	That was some hard training.
context: Yes, sir...\The time has come when I must tell you\about me and One For All.\Hanta Sero Quirk: Tape He can shoot tape-like material from his elbows and use it to apprehend or for movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/28 Height: 177 cm Blood Type: B Likes: Oranges\Minoru Mineta Quirk: Pop Off He can pull ball-shaped objects from his head that can stick to anything and be used for offense or movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 10/8 Height: 108 cm Blood Type: A Likes: Women\That was some hard training. response:	Yuga Aoyama - Quirk: Naval Laser
context: The time has come when I must tell you\about me and One For All.\Hanta Sero Quirk: Tape He can shoot tape-like material from his elbows and use it to apprehend or for movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/28 Height: 177 cm Blood Type: B Likes: Oranges\Minoru Mineta Quirk: Pop Off He can pull ball-shaped objects from his head that can stick to anything and be used for offense or movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 10/8 Height: 108 cm Blood Type: A Likes: Women\That was some hard training.\Yuga Aoyama - Quirk: Naval Laser response:	Our first class in a while made me sweat!
context: about me and One For All.\Hanta Sero Quirk: Tape He can shoot tape-like material from his elbows and use it to apprehend or for movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/28 Height: 177 cm Blood Type: B Likes: Oranges\Minoru Mineta Quirk: Pop Off He can pull ball-shaped objects from his head that can stick to anything and be used for offense or movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 10/8 Height: 108 cm Blood Type: A Likes: Women\That was some hard training.\Yuga Aoyama - Quirk: Naval Laser\Our first class in a while made me sweat! response:	I need to work on my mobility.
context: Hanta Sero Quirk: Tape He can shoot tape-like material from his elbows and use it to apprehend or for movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/28 Height: 177 cm Blood Type: B Likes: Oranges\Minoru Mineta Quirk: Pop Off He can pull ball-shaped objects from his head that can stick to anything and be used for offense or movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 10/8 Height: 108 cm Blood Type: A Likes: Women\That was some hard training.\Yuga Aoyama - Quirk: Naval Laser\Our first class in a while made me sweat!\I need to work on my mobility. response:	You must compensate for it by gathering information.
context: Affiliation: U.A. High School Hero Class 1-A Birthday: 7/28 Height: 177 cm Blood Type: B Likes: Oranges\Minoru Mineta Quirk: Pop Off He can pull ball-shaped objects from his head that can stick to anything and be used for offense or movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 10/8 Height: 108 cm Blood Type: A Likes: Women\That was some hard training.\Yuga Aoyama - Quirk: Naval Laser\Our first class in a while made me sweat!\I need to work on my mobility.\You must compensate for it by gathering information. response:	That'll put me a step behind everyone.
context: Minoru Mineta Quirk: Pop Off He can pull ball-shaped objects from his head that can stick to anything and be used for offense or movement.\Affiliation: U.A. High School Hero Class 1-A Birthday: 10/8 Height: 108 cm Blood Type: A Likes: Women\That was some hard training.\Yuga Aoyama - Quirk: Naval Laser\Our first class in a while made me sweat!\I need to work on my mobility.\You must compensate for it by gathering information.\That'll put me a step behind everyone. response:	I'm jealous of guys like you and Sero.
context: Affiliation: U.A. High School Hero Class 1-A Birthday: 10/8 Height: 108 cm Blood Type: A Likes: Women\That was some hard training.\Yuga Aoyama - Quirk: Naval Laser\Our first class in a while made me sweat!\I need to work on my mobility.\You must compensate for it by gathering information.\That'll put me a step behind everyone.\I'm jealous of guys like you and Sero. response:	I wonder what he wants. It's a little scary...
context: That was some hard training.\Yuga Aoyama - Quirk: Naval Laser\Our first class in a while made me sweat!\I need to work on my mobility.\You must compensate for it by gathering information.\That'll put me a step behind everyone.\I'm jealous of guys like you and Sero.\I wonder what he wants. It's a little scary... response:	Hey, Midoriya!
context: Yuga Aoyama - Quirk: Naval Laser\Our first class in a while made me sweat!\I need to work on my mobility.\You must compensate for it by gathering information.\That'll put me a step behind everyone.\I'm jealous of guys like you and Sero.\I wonder what he wants. It's a little scary...\Hey, Midoriya! response:	I discovered something crazy!
context: Our first class in a while made me sweat!\I need to work on my mobility.\You must compensate for it by gathering information.\That'll put me a step behind everyone.\I'm jealous of guys like you and Sero.\I wonder what he wants. It's a little scary...\Hey, Midoriya!\I discovered something crazy! response:	Come here!
context: I need to work on my mobility.\You must compensate for it by gathering information.\That'll put me a step behind everyone.\I'm jealous of guys like you and Sero.\I wonder what he wants. It's a little scary...\Hey, Midoriya!\I discovered something crazy!\Come here! response:	Look at this hole, Shawshank!
context: You must compensate for it by gathering information.\That'll put me a step behind everyone.\I'm jealous of guys like you and Sero.\I wonder what he wants. It's a little scary...\Hey, Midoriya!\I discovered something crazy!\Come here!\Look at this hole, Shawshank! response:	It is probably thanks to the efforts of those who came before us!
context: That'll put me a step behind everyone.\I'm jealous of guys like you and Sero.\I wonder what he wants. It's a little scary...\Hey, Midoriya!\I discovered something crazy!\Come here!\Look at this hole, Shawshank!\It is probably thanks to the efforts of those who came before us! response:	Next door is, you know-
context: I'm jealous of guys like you and Sero.\I wonder what he wants. It's a little scary...\Hey, Midoriya!\I discovered something crazy!\Come here!\Look at this hole, Shawshank!\It is probably thanks to the efforts of those who came before us!\Next door is, you know- response:	the girls' locker room!
context: I wonder what he wants. It's a little scary...\Hey, Midoriya!\I discovered something crazy!\Come here!\Look at this hole, Shawshank!\It is probably thanks to the efforts of those who came before us!\Next door is, you know-\the girls' locker room! response:	Stop this, Mineta!
context: Hey, Midoriya!\I discovered something crazy!\Come here!\Look at this hole, Shawshank!\It is probably thanks to the efforts of those who came before us!\Next door is, you know-\the girls' locker room!\Stop this, Mineta! response:	Peeping is definitely a criminal act!
context: I discovered something crazy!\Come here!\Look at this hole, Shawshank!\It is probably thanks to the efforts of those who came before us!\Next door is, you know-\the girls' locker room!\Stop this, Mineta!\Peeping is definitely a criminal act! response:	My little Mineta is already a criminal act!
context: Come here!\Look at this hole, Shawshank!\It is probably thanks to the efforts of those who came before us!\Next door is, you know-\the girls' locker room!\Stop this, Mineta!\Peeping is definitely a criminal act!\My little Mineta is already a criminal act! response:	Yaoyorozu's ample yaoyoro-boobs!
context: Look at this hole, Shawshank!\It is probably thanks to the efforts of those who came before us!\Next door is, you know-\the girls' locker room!\Stop this, Mineta!\Peeping is definitely a criminal act!\My little Mineta is already a criminal act!\Yaoyorozu's ample yaoyoro-boobs! response:	Ashido's slender waist!
context: It is probably thanks to the efforts of those who came before us!\Next door is, you know-\the girls' locker room!\Stop this, Mineta!\Peeping is definitely a criminal act!\My little Mineta is already a criminal act!\Yaoyorozu's ample yaoyoro-boobs!\Ashido's slender waist! response:	Hagakure's floating underwear!
context: Next door is, you know-\the girls' locker room!\Stop this, Mineta!\Peeping is definitely a criminal act!\My little Mineta is already a criminal act!\Yaoyorozu's ample yaoyoro-boobs!\Ashido's slender waist!\Hagakure's floating underwear! response:	Uraraka's fine uraraka-body!
context: the girls' locker room!\Stop this, Mineta!\Peeping is definitely a criminal act!\My little Mineta is already a criminal act!\Yaoyorozu's ample yaoyoro-boobs!\Ashido's slender waist!\Hagakure's floating underwear!\Uraraka's fine uraraka-body! response:	Asui's unexpected boobie-
context: Stop this, Mineta!\Peeping is definitely a criminal act!\My little Mineta is already a criminal act!\Yaoyorozu's ample yaoyoro-boobs!\Ashido's slender waist!\Hagakure's floating underwear!\Uraraka's fine uraraka-body!\Asui's unexpected boobie- response:	Jiro's Earphone Jack!
context: Peeping is definitely a criminal act!\My little Mineta is already a criminal act!\Yaoyorozu's ample yaoyoro-boobs!\Ashido's slender waist!\Hagakure's floating underwear!\Uraraka's fine uraraka-body!\Asui's unexpected boobie-\Jiro's Earphone Jack! response:	With its brutal combination of precision and surprise attack abilities, it's super strong!
context: My little Mineta is already a criminal act!\Yaoyorozu's ample yaoyoro-boobs!\Ashido's slender waist!\Hagakure's floating underwear!\Uraraka's fine uraraka-body!\Asui's unexpected boobie-\Jiro's Earphone Jack!\With its brutal combination of precision and surprise attack abilities, it's super strong! response:	Thanks, Kyoka.
context: Yaoyorozu's ample yaoyoro-boobs!\Ashido's slender waist!\Hagakure's floating underwear!\Uraraka's fine uraraka-body!\Asui's unexpected boobie-\Jiro's Earphone Jack!\With its brutal combination of precision and surprise attack abilities, it's super strong!\Thanks, Kyoka. response:	How despicable.
context: Ashido's slender waist!\Hagakure's floating underwear!\Uraraka's fine uraraka-body!\Asui's unexpected boobie-\Jiro's Earphone Jack!\With its brutal combination of precision and surprise attack abilities, it's super strong!\Thanks, Kyoka.\How despicable. response:	Let us close this up right away!
context: Hagakure's floating underwear!\Uraraka's fine uraraka-body!\Asui's unexpected boobie-\Jiro's Earphone Jack!\With its brutal combination of precision and surprise attack abilities, it's super strong!\Thanks, Kyoka.\How despicable.\Let us close this up right away! response:	I'm the only one he didn't say anything about...
context: Uraraka's fine uraraka-body!\Asui's unexpected boobie-\Jiro's Earphone Jack!\With its brutal combination of precision and surprise attack abilities, it's super strong!\Thanks, Kyoka.\How despicable.\Let us close this up right away!\I'm the only one he didn't say anything about... response:	My eye! My eye!
context: Asui's unexpected boobie-\Jiro's Earphone Jack!\With its brutal combination of precision and surprise attack abilities, it's super strong!\Thanks, Kyoka.\How despicable.\Let us close this up right away!\I'm the only one he didn't say anything about...\My eye! My eye! response:	Excuse me!
context: Jiro's Earphone Jack!\With its brutal combination of precision and surprise attack abilities, it's super strong!\Thanks, Kyoka.\How despicable.\Let us close this up right away!\I'm the only one he didn't say anything about...\My eye! My eye!\Excuse me! response:	Have a seat.
context: With its brutal combination of precision and surprise attack abilities, it's super strong!\Thanks, Kyoka.\How despicable.\Let us close this up right away!\I'm the only one he didn't say anything about...\My eye! My eye!\Excuse me!\Have a seat. response:	He seems... different...
context: Thanks, Kyoka.\How despicable.\Let us close this up right away!\I'm the only one he didn't say anything about...\My eye! My eye!\Excuse me!\Have a seat.\He seems... different... response:	You went through a lot, huh?
context: How despicable.\Let us close this up right away!\I'm the only one he didn't say anything about...\My eye! My eye!\Excuse me!\Have a seat.\He seems... different...\You went through a lot, huh? response:	I'm sorry I couldn't be nearby.
context: Let us close this up right away!\I'm the only one he didn't say anything about...\My eye! My eye!\Excuse me!\Have a seat.\He seems... different...\You went through a lot, huh?\I'm sorry I couldn't be nearby. response:	That's... not something you need to apologize for, All Might...
context: I'm the only one he didn't say anything about...\My eye! My eye!\Excuse me!\Have a seat.\He seems... different...\You went through a lot, huh?\I'm sorry I couldn't be nearby.\That's... not something you need to apologize for, All Might... response:	More importantly...
context: My eye! My eye!\Excuse me!\Have a seat.\He seems... different...\You went through a lot, huh?\I'm sorry I couldn't be nearby.\That's... not something you need to apologize for, All Might...\More importantly... response:	Um, what did you mean when you said you wanted to talk about One For All?
context: Excuse me!\Have a seat.\He seems... different...\You went through a lot, huh?\I'm sorry I couldn't be nearby.\That's... not something you need to apologize for, All Might...\More importantly...\Um, what did you mean when you said you wanted to talk about One For All? response:	I heard...
context: Have a seat.\He seems... different...\You went through a lot, huh?\I'm sorry I couldn't be nearby.\That's... not something you need to apologize for, All Might...\More importantly...\Um, what did you mean when you said you wanted to talk about One For All?\I heard... response:	Oh, yes...
context: He seems... different...\You went through a lot, huh?\I'm sorry I couldn't be nearby.\That's... not something you need to apologize for, All Might...\More importantly...\Um, what did you mean when you said you wanted to talk about One For All?\I heard...\Oh, yes... response:	His Quirk was one that could keep someone from moving after ingesting their blood...
context: You went through a lot, huh?\I'm sorry I couldn't be nearby.\That's... not something you need to apologize for, All Might...\More importantly...\Um, what did you mean when you said you wanted to talk about One For All?\I heard...\Oh, yes...\His Quirk was one that could keep someone from moving after ingesting their blood... response:	What about it?
context: I'm sorry I couldn't be nearby.\That's... not something you need to apologize for, All Might...\More importantly...\Um, what did you mean when you said you wanted to talk about One For All?\I heard...\Oh, yes...\His Quirk was one that could keep someone from moving after ingesting their blood...\What about it? response:	Do you remember what I said
context: That's... not something you need to apologize for, All Might...\More importantly...\Um, what did you mean when you said you wanted to talk about One For All?\I heard...\Oh, yes...\His Quirk was one that could keep someone from moving after ingesting their blood...\What about it?\Do you remember what I said response:	when I gave you my power?
context: More importantly...\Um, what did you mean when you said you wanted to talk about One For All?\I heard...\Oh, yes...\His Quirk was one that could keep someone from moving after ingesting their blood...\What about it?\Do you remember what I said\when I gave you my power? response:	Eat this.
context: Um, what did you mean when you said you wanted to talk about One For All?\I heard...\Oh, yes...\His Quirk was one that could keep someone from moving after ingesting their blood...\What about it?\Do you remember what I said\when I gave you my power?\Eat this. response:	No, not that part.
context: I heard...\Oh, yes...\His Quirk was one that could keep someone from moving after ingesting their blood...\What about it?\Do you remember what I said\when I gave you my power?\Eat this.\No, not that part. response:	I said that it didn't matter what it was as long as you took in my DNA.
context: Oh, yes...\His Quirk was one that could keep someone from moving after ingesting their blood...\What about it?\Do you remember what I said\when I gave you my power?\Eat this.\No, not that part.\I said that it didn't matter what it was as long as you took in my DNA. response:	Th-Then d-don't tell me, the h-hero killer has One For All now...?!
context: His Quirk was one that could keep someone from moving after ingesting their blood...\What about it?\Do you remember what I said\when I gave you my power?\Eat this.\No, not that part.\I said that it didn't matter what it was as long as you took in my DNA.\Th-Then d-don't tell me, the h-hero killer has One For All now...?! response:	No, that's not it.
context: What about it?\Do you remember what I said\when I gave you my power?\Eat this.\No, not that part.\I said that it didn't matter what it was as long as you took in my DNA.\Th-Then d-don't tell me, the h-hero killer has One For All now...?!\No, that's not it. response:	I thought you might've been worried about that, but...
context: Do you remember what I said\when I gave you my power?\Eat this.\No, not that part.\I said that it didn't matter what it was as long as you took in my DNA.\Th-Then d-don't tell me, the h-hero killer has One For All now...?!\No, that's not it.\I thought you might've been worried about that, but... response:	I see... You forgot about it, huh?
context: when I gave you my power?\Eat this.\No, not that part.\I said that it didn't matter what it was as long as you took in my DNA.\Th-Then d-don't tell me, the h-hero killer has One For All now...?!\No, that's not it.\I thought you might've been worried about that, but...\I see... You forgot about it, huh? response:	One For All cannot be transferred to anyone unless the bearer wishes it.
context: Eat this.\No, not that part.\I said that it didn't matter what it was as long as you took in my DNA.\Th-Then d-don't tell me, the h-hero killer has One For All now...?!\No, that's not it.\I thought you might've been worried about that, but...\I see... You forgot about it, huh?\One For All cannot be transferred to anyone unless the bearer wishes it. response:	It cannot be stolen by force.
context: No, not that part.\I said that it didn't matter what it was as long as you took in my DNA.\Th-Then d-don't tell me, the h-hero killer has One For All now...?!\No, that's not it.\I thought you might've been worried about that, but...\I see... You forgot about it, huh?\One For All cannot be transferred to anyone unless the bearer wishes it.\It cannot be stolen by force. response:	It can be transferred by force, though.
context: I said that it didn't matter what it was as long as you took in my DNA.\Th-Then d-don't tell me, the h-hero killer has One For All now...?!\No, that's not it.\I thought you might've been worried about that, but...\I see... You forgot about it, huh?\One For All cannot be transferred to anyone unless the bearer wishes it.\It cannot be stolen by force.\It can be transferred by force, though. response:	Chocolate
context: Th-Then d-don't tell me, the h-hero killer has One For All now...?!\No, that's not it.\I thought you might've been worried about that, but...\I see... You forgot about it, huh?\One For All cannot be transferred to anyone unless the bearer wishes it.\It cannot be stolen by force.\It can be transferred by force, though.\Chocolate response:	This is just out of obligation! Obligation!
context: No, that's not it.\I thought you might've been worried about that, but...\I see... You forgot about it, huh?\One For All cannot be transferred to anyone unless the bearer wishes it.\It cannot be stolen by force.\It can be transferred by force, though.\Chocolate\This is just out of obligation! Obligation! response:	Why are you there?
context: I thought you might've been worried about that, but...\I see... You forgot about it, huh?\One For All cannot be transferred to anyone unless the bearer wishes it.\It cannot be stolen by force.\It can be transferred by force, though.\Chocolate\This is just out of obligation! Obligation!\Why are you there? response:	It's a special Quirk.
context: I see... You forgot about it, huh?\One For All cannot be transferred to anyone unless the bearer wishes it.\It cannot be stolen by force.\It can be transferred by force, though.\Chocolate\This is just out of obligation! Obligation!\Why are you there?\It's a special Quirk. response:	Yes, and this is how it came about...
context: One For All cannot be transferred to anyone unless the bearer wishes it.\It cannot be stolen by force.\It can be transferred by force, though.\Chocolate\This is just out of obligation! Obligation!\Why are you there?\It's a special Quirk.\Yes, and this is how it came about... response:	One For All was derived from a certain Quirk that existed in the past.
context: It cannot be stolen by force.\It can be transferred by force, though.\Chocolate\This is just out of obligation! Obligation!\Why are you there?\It's a special Quirk.\Yes, and this is how it came about...\One For All was derived from a certain Quirk that existed in the past. response:	A Quirk that existed in the past?
context: It can be transferred by force, though.\Chocolate\This is just out of obligation! Obligation!\Why are you there?\It's a special Quirk.\Yes, and this is how it came about...\One For All was derived from a certain Quirk that existed in the past.\A Quirk that existed in the past? response:	The name of that Quirk is All For One.
context: Chocolate\This is just out of obligation! Obligation!\Why are you there?\It's a special Quirk.\Yes, and this is how it came about...\One For All was derived from a certain Quirk that existed in the past.\A Quirk that existed in the past?\The name of that Quirk is All For One. response:	A Quirk that could steal Quirks from others and make them the holder's,
context: This is just out of obligation! Obligation!\Why are you there?\It's a special Quirk.\Yes, and this is how it came about...\One For All was derived from a certain Quirk that existed in the past.\A Quirk that existed in the past?\The name of that Quirk is All For One.\A Quirk that could steal Quirks from others and make them the holder's, response:	and one that could give those Quirks to others.
context: Why are you there?\It's a special Quirk.\Yes, and this is how it came about...\One For All was derived from a certain Quirk that existed in the past.\A Quirk that existed in the past?\The name of that Quirk is All For One.\A Quirk that could steal Quirks from others and make them the holder's,\and one that could give those Quirks to others. response:	All... Everything for one person...?
context: It's a special Quirk.\Yes, and this is how it came about...\One For All was derived from a certain Quirk that existed in the past.\A Quirk that existed in the past?\The name of that Quirk is All For One.\A Quirk that could steal Quirks from others and make them the holder's,\and one that could give those Quirks to others.\All... Everything for one person...? response:	This was when superpowers were first showing up,
context: Yes, and this is how it came about...\One For All was derived from a certain Quirk that existed in the past.\A Quirk that existed in the past?\The name of that Quirk is All For One.\A Quirk that could steal Quirks from others and make them the holder's,\and one that could give those Quirks to others.\All... Everything for one person...?\This was when superpowers were first showing up, response:	before society had figured out how to deal with the changes.
context: One For All was derived from a certain Quirk that existed in the past.\A Quirk that existed in the past?\The name of that Quirk is All For One.\A Quirk that could steal Quirks from others and make them the holder's,\and one that could give those Quirks to others.\All... Everything for one person...?\This was when superpowers were first showing up,\before society had figured out how to deal with the changes. response:	With the appearance of Quirks, suddenly,
context: A Quirk that existed in the past?\The name of that Quirk is All For One.\A Quirk that could steal Quirks from others and make them the holder's,\and one that could give those Quirks to others.\All... Everything for one person...?\This was when superpowers were first showing up,\before society had figured out how to deal with the changes.\With the appearance of Quirks, suddenly, response:	what made someone a normal human crumbled away.
context: The name of that Quirk is All For One.\A Quirk that could steal Quirks from others and make them the holder's,\and one that could give those Quirks to others.\All... Everything for one person...?\This was when superpowers were first showing up,\before society had figured out how to deal with the changes.\With the appearance of Quirks, suddenly,\what made someone a normal human crumbled away. response:	Protect humans!!! Humanity's crisis Give people peace of mind Get out!! Exile them!!
context: A Quirk that could steal Quirks from others and make them the holder's,\and one that could give those Quirks to others.\All... Everything for one person...?\This was when superpowers were first showing up,\before society had figured out how to deal with the changes.\With the appearance of Quirks, suddenly,\what made someone a normal human crumbled away.\Protect humans!!! Humanity's crisis Give people peace of mind Get out!! Exile them!! response:	With just that, laws lost their meaning,
context: and one that could give those Quirks to others.\All... Everything for one person...?\This was when superpowers were first showing up,\before society had figured out how to deal with the changes.\With the appearance of Quirks, suddenly,\what made someone a normal human crumbled away.\Protect humans!!! Humanity's crisis Give people peace of mind Get out!! Exile them!!\With just that, laws lost their meaning, response:	Don't come here!! Don't let the monsters in! Protect the peace!! Eliminate the monsters!! Segregate them!!
context: All... Everything for one person...?\This was when superpowers were first showing up,\before society had figured out how to deal with the changes.\With the appearance of Quirks, suddenly,\what made someone a normal human crumbled away.\Protect humans!!! Humanity's crisis Give people peace of mind Get out!! Exile them!!\With just that, laws lost their meaning,\Don't come here!! Don't let the monsters in! Protect the peace!! Eliminate the monsters!! Segregate them!! response:	and the progress of civilization stopped.
context: This was when superpowers were first showing up,\before society had figured out how to deal with the changes.\With the appearance of Quirks, suddenly,\what made someone a normal human crumbled away.\Protect humans!!! Humanity's crisis Give people peace of mind Get out!! Exile them!!\With just that, laws lost their meaning,\Don't come here!! Don't let the monsters in! Protect the peace!! Eliminate the monsters!! Segregate them!!\and the progress of civilization stopped. response:	It was literal decay.
context: before society had figured out how to deal with the changes.\With the appearance of Quirks, suddenly,\what made someone a normal human crumbled away.\Protect humans!!! Humanity's crisis Give people peace of mind Get out!! Exile them!!\With just that, laws lost their meaning,\Don't come here!! Don't let the monsters in! Protect the peace!! Eliminate the monsters!! Segregate them!!\and the progress of civilization stopped.\It was literal decay. response:	If superpowers had never appeared,
context: With the appearance of Quirks, suddenly,\what made someone a normal human crumbled away.\Protect humans!!! Humanity's crisis Give people peace of mind Get out!! Exile them!!\With just that, laws lost their meaning,\Don't come here!! Don't let the monsters in! Protect the peace!! Eliminate the monsters!! Segregate them!!\and the progress of civilization stopped.\It was literal decay.\If superpowers had never appeared, response:	then humans would be taking interstellar holidays by now.
context: what made someone a normal human crumbled away.\Protect humans!!! Humanity's crisis Give people peace of mind Get out!! Exile them!!\With just that, laws lost their meaning,\Don't come here!! Don't let the monsters in! Protect the peace!! Eliminate the monsters!! Segregate them!!\and the progress of civilization stopped.\It was literal decay.\If superpowers had never appeared,\then humans would be taking interstellar holidays by now. response:	Someone important said that in the past.
context: Protect humans!!! Humanity's crisis Give people peace of mind Get out!! Exile them!!\With just that, laws lost their meaning,\Don't come here!! Don't let the monsters in! Protect the peace!! Eliminate the monsters!! Segregate them!!\and the progress of civilization stopped.\It was literal decay.\If superpowers had never appeared,\then humans would be taking interstellar holidays by now.\Someone important said that in the past. response:	That's right.
context: With just that, laws lost their meaning,\Don't come here!! Don't let the monsters in! Protect the peace!! Eliminate the monsters!! Segregate them!!\and the progress of civilization stopped.\It was literal decay.\If superpowers had never appeared,\then humans would be taking interstellar holidays by now.\Someone important said that in the past.\That's right. response:	During that chaotic period,
context: Don't come here!! Don't let the monsters in! Protect the peace!! Eliminate the monsters!! Segregate them!!\and the progress of civilization stopped.\It was literal decay.\If superpowers had never appeared,\then humans would be taking interstellar holidays by now.\Someone important said that in the past.\That's right.\During that chaotic period, response:	there was someone who was the first to unify all the people.
context: and the progress of civilization stopped.\It was literal decay.\If superpowers had never appeared,\then humans would be taking interstellar holidays by now.\Someone important said that in the past.\That's right.\During that chaotic period,\there was someone who was the first to unify all the people. response:	I'm sure you've also heard of him.
context: It was literal decay.\If superpowers had never appeared,\then humans would be taking interstellar holidays by now.\Someone important said that in the past.\That's right.\During that chaotic period,\there was someone who was the first to unify all the people.\I'm sure you've also heard of him. response:	He stole Quirks from people
context: If superpowers had never appeared,\then humans would be taking interstellar holidays by now.\Someone important said that in the past.\That's right.\During that chaotic period,\there was someone who was the first to unify all the people.\I'm sure you've also heard of him.\He stole Quirks from people response:	and with his overwhelming power, he spread his influence.
context: then humans would be taking interstellar holidays by now.\Someone important said that in the past.\That's right.\During that chaotic period,\there was someone who was the first to unify all the people.\I'm sure you've also heard of him.\He stole Quirks from people\and with his overwhelming power, he spread his influence. response:	He moved people in a calculating way,
context: Someone important said that in the past.\That's right.\During that chaotic period,\there was someone who was the first to unify all the people.\I'm sure you've also heard of him.\He stole Quirks from people\and with his overwhelming power, he spread his influence.\He moved people in a calculating way, response:	committing evil acts to his heart's content.
context: That's right.\During that chaotic period,\there was someone who was the first to unify all the people.\I'm sure you've also heard of him.\He stole Quirks from people\and with his overwhelming power, he spread his influence.\He moved people in a calculating way,\committing evil acts to his heart's content. response:	In the blink of an eye, he became the leader of the evildoers
context: During that chaotic period,\there was someone who was the first to unify all the people.\I'm sure you've also heard of him.\He stole Quirks from people\and with his overwhelming power, he spread his influence.\He moved people in a calculating way,\committing evil acts to his heart's content.\In the blink of an eye, he became the leader of the evildoers response:	and ruled over Japan.
context: there was someone who was the first to unify all the people.\I'm sure you've also heard of him.\He stole Quirks from people\and with his overwhelming power, he spread his influence.\He moved people in a calculating way,\committing evil acts to his heart's content.\In the blink of an eye, he became the leader of the evildoers\and ruled over Japan. response:	I often see rumors about this online,
context: I'm sure you've also heard of him.\He stole Quirks from people\and with his overwhelming power, he spread his influence.\He moved people in a calculating way,\committing evil acts to his heart's content.\In the blink of an eye, he became the leader of the evildoers\and ruled over Japan.\I often see rumors about this online, response:	but isn't this a fabrication?
context: He stole Quirks from people\and with his overwhelming power, he spread his influence.\He moved people in a calculating way,\committing evil acts to his heart's content.\In the blink of an eye, he became the leader of the evildoers\and ruled over Japan.\I often see rumors about this online,\but isn't this a fabrication? response:	It's not in the textbooks or anything...
context: and with his overwhelming power, he spread his influence.\He moved people in a calculating way,\committing evil acts to his heart's content.\In the blink of an eye, he became the leader of the evildoers\and ruled over Japan.\I often see rumors about this online,\but isn't this a fabrication?\It's not in the textbooks or anything... response:	They can't put secret dealings in textbooks, can they?
