context: Time's up! response:	I studied when I was in the other dimension.
context: If I slaughter the villagers,\maybe THIS time, I'll remember something.\Why, you!\What?!\Hmm... Pretty good!\Hiraikotsu!\There!\He's formidable! response:	We must use caution.
context: maybe THIS time, I'll remember something.\Why, you!\What?!\Hmm... Pretty good!\Hiraikotsu!\There!\He's formidable!\We must use caution. response:	Yes! He's made from Naraku, after all.
context: Why, you!\What?!\Hmm... Pretty good!\Hiraikotsu!\There!\He's formidable!\We must use caution.\Yes! He's made from Naraku, after all. response:	Piece a cake!
context: What?!\Hmm... Pretty good!\Hiraikotsu!\There!\He's formidable!\We must use caution.\Yes! He's made from Naraku, after all.\Piece a cake! response:	Inuyasha!
context: Hmm... Pretty good!\Hiraikotsu!\There!\He's formidable!\We must use caution.\Yes! He's made from Naraku, after all.\Piece a cake!\Inuyasha! response:	How's that?!
context: Hiraikotsu!\There!\He's formidable!\We must use caution.\Yes! He's made from Naraku, after all.\Piece a cake!\Inuyasha!\How's that?! response:	You!
context: There!\He's formidable!\We must use caution.\Yes! He's made from Naraku, after all.\Piece a cake!\Inuyasha!\How's that?!\You! response:	Inuyasha!
context: He's formidable!\We must use caution.\Yes! He's made from Naraku, after all.\Piece a cake!\Inuyasha!\How's that?!\You!\Inuyasha! response:	Kagome!
context: We must use caution.\Yes! He's made from Naraku, after all.\Piece a cake!\Inuyasha!\How's that?!\You!\Inuyasha!\Kagome! response:	Inuyasha!
context: Yes! He's made from Naraku, after all.\Piece a cake!\Inuyasha!\How's that?!\You!\Inuyasha!\Kagome!\Inuyasha! response:	Kagome!
context: Piece a cake!\Inuyasha!\How's that?!\You!\Inuyasha!\Kagome!\Inuyasha!\Kagome! response:	Sorry I'm late!
context: Inuyasha!\How's that?!\You!\Inuyasha!\Kagome!\Inuyasha!\Kagome!\Sorry I'm late! response:	Don't come, Kagome!
context: How's that?!\You!\Inuyasha!\Kagome!\Inuyasha!\Kagome!\Sorry I'm late!\Don't come, Kagome! response:	That woman!
context: You!\Inuyasha!\Kagome!\Inuyasha!\Kagome!\Sorry I'm late!\Don't come, Kagome!\That woman! response:	What did l just feel?
context: Inuyasha!\Kagome!\Inuyasha!\Kagome!\Sorry I'm late!\Don't come, Kagome!\That woman!\What did l just feel? response:	He's an offshoot of Naraku.
context: Kagome!\Inuyasha!\Kagome!\Sorry I'm late!\Don't come, Kagome!\That woman!\What did l just feel?\He's an offshoot of Naraku. response:	Stay back!
context: Inuyasha!\Kagome!\Sorry I'm late!\Don't come, Kagome!\That woman!\What did l just feel?\He's an offshoot of Naraku.\Stay back! response:	Uh-huh...
context: Kagome!\Sorry I'm late!\Don't come, Kagome!\That woman!\What did l just feel?\He's an offshoot of Naraku.\Stay back!\Uh-huh... response:	Who is she?
context: Sorry I'm late!\Don't come, Kagome!\That woman!\What did l just feel?\He's an offshoot of Naraku.\Stay back!\Uh-huh...\Who is she? response:	Don't just stand there in a daze!
context: Don't come, Kagome!\That woman!\What did l just feel?\He's an offshoot of Naraku.\Stay back!\Uh-huh...\Who is she?\Don't just stand there in a daze! response:	Die!
context: That woman!\What did l just feel?\He's an offshoot of Naraku.\Stay back!\Uh-huh...\Who is she?\Don't just stand there in a daze!\Die! response:	He did it!
context: What did l just feel?\He's an offshoot of Naraku.\Stay back!\Uh-huh...\Who is she?\Don't just stand there in a daze!\Die!\He did it! response:	It's working!
context: He's an offshoot of Naraku.\Stay back!\Uh-huh...\Who is she?\Don't just stand there in a daze!\Die!\He did it!\It's working! response:	What is it? What is this?!
context: Stay back!\Uh-huh...\Who is she?\Don't just stand there in a daze!\Die!\He did it!\It's working!\What is it? What is this?! response:	Woman?
context: Uh-huh...\Who is she?\Don't just stand there in a daze!\Die!\He did it!\It's working!\What is it? What is this?!\Woman? response:	Huh? Yeah... That woman!
context: Who is she?\Don't just stand there in a daze!\Die!\He did it!\It's working!\What is it? What is this?!\Woman?\Huh? Yeah... That woman! response:	What're you babbling about?
context: Don't just stand there in a daze!\Die!\He did it!\It's working!\What is it? What is this?!\Woman?\Huh? Yeah... That woman!\What're you babbling about? response:	I'll finish you off!
context: Die!\He did it!\It's working!\What is it? What is this?!\Woman?\Huh? Yeah... That woman!\What're you babbling about?\I'll finish you off! response:	The woman! Move!
context: He did it!\It's working!\What is it? What is this?!\Woman?\Huh? Yeah... That woman!\What're you babbling about?\I'll finish you off!\The woman! Move! response:	Woman!
context: It's working!\What is it? What is this?!\Woman?\Huh? Yeah... That woman!\What're you babbling about?\I'll finish you off!\The woman! Move!\Woman! response:	Why, you!
context: What is it? What is this?!\Woman?\Huh? Yeah... That woman!\What're you babbling about?\I'll finish you off!\The woman! Move!\Woman!\Why, you! response:	Why, that!
context: Woman?\Huh? Yeah... That woman!\What're you babbling about?\I'll finish you off!\The woman! Move!\Woman!\Why, you!\Why, that! response:	Run!
context: Huh? Yeah... That woman!\What're you babbling about?\I'll finish you off!\The woman! Move!\Woman!\Why, you!\Why, that!\Run! response:	Kagome!
context: What're you babbling about?\I'll finish you off!\The woman! Move!\Woman!\Why, you!\Why, that!\Run!\Kagome! response:	Kagome!
context: I'll finish you off!\The woman! Move!\Woman!\Why, you!\Why, that!\Run!\Kagome!\Kagome! response:	You're the one!
context: The woman! Move!\Woman!\Why, you!\Why, that!\Run!\Kagome!\Kagome!\You're the one! response:	W-Who is he?
context: Woman!\Why, you!\Why, that!\Run!\Kagome!\Kagome!\You're the one!\W-Who is he? response:	What does he want?!
context: Why, you!\Why, that!\Run!\Kagome!\Kagome!\You're the one!\W-Who is he?\What does he want?! response:	I've wanted this... woman!
context: Why, that!\Run!\Kagome!\Kagome!\You're the one!\W-Who is he?\What does he want?!\I've wanted this... woman! response:	Taking us for fools!
context: Run!\Kagome!\Kagome!\You're the one!\W-Who is he?\What does he want?!\I've wanted this... woman!\Taking us for fools! response:	He was made from Naraku's flesh...
context: Kagome!\Kagome!\You're the one!\W-Who is he?\What does he want?!\I've wanted this... woman!\Taking us for fools!\He was made from Naraku's flesh... response:	Yet he claims he never heard of Naraku!
context: Kagome!\You're the one!\W-Who is he?\What does he want?!\I've wanted this... woman!\Taking us for fools!\He was made from Naraku's flesh...\Yet he claims he never heard of Naraku! response:	Kagura tells Inuyasha and the others of Muso's whereabouts.
context: You're the one!\W-Who is he?\What does he want?!\I've wanted this... woman!\Taking us for fools!\He was made from Naraku's flesh...\Yet he claims he never heard of Naraku!\Kagura tells Inuyasha and the others of Muso's whereabouts. response:	It is the cave where fifty years ago, Kikyo tended to the bandit Onigumo.
context: W-Who is he?\What does he want?!\I've wanted this... woman!\Taking us for fools!\He was made from Naraku's flesh...\Yet he claims he never heard of Naraku!\Kagura tells Inuyasha and the others of Muso's whereabouts.\It is the cave where fifty years ago, Kikyo tended to the bandit Onigumo. response:	It may be a trap!
context: What does he want?!\I've wanted this... woman!\Taking us for fools!\He was made from Naraku's flesh...\Yet he claims he never heard of Naraku!\Kagura tells Inuyasha and the others of Muso's whereabouts.\It is the cave where fifty years ago, Kikyo tended to the bandit Onigumo.\It may be a trap! response:	But we should find out something if we go!
context: I've wanted this... woman!\Taking us for fools!\He was made from Naraku's flesh...\Yet he claims he never heard of Naraku!\Kagura tells Inuyasha and the others of Muso's whereabouts.\It is the cave where fifty years ago, Kikyo tended to the bandit Onigumo.\It may be a trap!\But we should find out something if we go! response:	And during that time, Naraku sets out to destroy Kikyo!
context: Taking us for fools!\He was made from Naraku's flesh...\Yet he claims he never heard of Naraku!\Kagura tells Inuyasha and the others of Muso's whereabouts.\It is the cave where fifty years ago, Kikyo tended to the bandit Onigumo.\It may be a trap!\But we should find out something if we go!\And during that time, Naraku sets out to destroy Kikyo! response:	Next on Inuyasha: Onigumo's Memory Restored!
context: He was made from Naraku's flesh...\Yet he claims he never heard of Naraku!\Kagura tells Inuyasha and the others of Muso's whereabouts.\It is the cave where fifty years ago, Kikyo tended to the bandit Onigumo.\It may be a trap!\But we should find out something if we go!\And during that time, Naraku sets out to destroy Kikyo!\Next on Inuyasha: Onigumo's Memory Restored! response:	I'm gonna get revenge for what happened fifty years ago!
