context: Akatsuki... response:	Where am I?
context: Aren't you being a little arrogant?\Aren't you insulting the people around you?\How long do you intend to remain alone?\Don't you think it's childish to tell yourself\that all you need is Shiroe?\True, it's always been that way.\I was content with how comfortable I felt in his shadow.\I never tried to get close to anyone else. response:	Because I was totally reliant on him...
context: Aren't you insulting the people around you?\How long do you intend to remain alone?\Don't you think it's childish to tell yourself\that all you need is Shiroe?\True, it's always been that way.\I was content with how comfortable I felt in his shadow.\I never tried to get close to anyone else.\Because I was totally reliant on him... response:	When he left, I suddenly couldn't do anything.
context: How long do you intend to remain alone?\Don't you think it's childish to tell yourself\that all you need is Shiroe?\True, it's always been that way.\I was content with how comfortable I felt in his shadow.\I never tried to get close to anyone else.\Because I was totally reliant on him...\When he left, I suddenly couldn't do anything. response:	Not even what he asked me to do.
context: Don't you think it's childish to tell yourself\that all you need is Shiroe?\True, it's always been that way.\I was content with how comfortable I felt in his shadow.\I never tried to get close to anyone else.\Because I was totally reliant on him...\When he left, I suddenly couldn't do anything.\Not even what he asked me to do. response:	Did you think you've been coming here to protect her?
context: that all you need is Shiroe?\True, it's always been that way.\I was content with how comfortable I felt in his shadow.\I never tried to get close to anyone else.\Because I was totally reliant on him...\When he left, I suddenly couldn't do anything.\Not even what he asked me to do.\Did you think you've been coming here to protect her? response:	You weren't the only one
context: True, it's always been that way.\I was content with how comfortable I felt in his shadow.\I never tried to get close to anyone else.\Because I was totally reliant on him...\When he left, I suddenly couldn't do anything.\Not even what he asked me to do.\Did you think you've been coming here to protect her?\You weren't the only one response:	who had the job of visiting Watermaple House.
context: I was content with how comfortable I felt in his shadow.\I never tried to get close to anyone else.\Because I was totally reliant on him...\When he left, I suddenly couldn't do anything.\Not even what he asked me to do.\Did you think you've been coming here to protect her?\You weren't the only one\who had the job of visiting Watermaple House. response:	I was, as well, and so was Rieze.
context: I never tried to get close to anyone else.\Because I was totally reliant on him...\When he left, I suddenly couldn't do anything.\Not even what he asked me to do.\Did you think you've been coming here to protect her?\You weren't the only one\who had the job of visiting Watermaple House.\I was, as well, and so was Rieze. response:	I'm not the only one my lord relied on.
context: Because I was totally reliant on him...\When he left, I suddenly couldn't do anything.\Not even what he asked me to do.\Did you think you've been coming here to protect her?\You weren't the only one\who had the job of visiting Watermaple House.\I was, as well, and so was Rieze.\I'm not the only one my lord relied on. response:	Of course.
context: When he left, I suddenly couldn't do anything.\Not even what he asked me to do.\Did you think you've been coming here to protect her?\You weren't the only one\who had the job of visiting Watermaple House.\I was, as well, and so was Rieze.\I'm not the only one my lord relied on.\Of course. response:	But...
context: Not even what he asked me to do.\Did you think you've been coming here to protect her?\You weren't the only one\who had the job of visiting Watermaple House.\I was, as well, and so was Rieze.\I'm not the only one my lord relied on.\Of course.\But... response:	It's true that I wanted to help her because she was trying so hard.
context: Did you think you've been coming here to protect her?\You weren't the only one\who had the job of visiting Watermaple House.\I was, as well, and so was Rieze.\I'm not the only one my lord relied on.\Of course.\But...\It's true that I wanted to help her because she was trying so hard. response:	So...
context: You weren't the only one\who had the job of visiting Watermaple House.\I was, as well, and so was Rieze.\I'm not the only one my lord relied on.\Of course.\But...\It's true that I wanted to help her because she was trying so hard.\So... response:	I want your help.
context: who had the job of visiting Watermaple House.\I was, as well, and so was Rieze.\I'm not the only one my lord relied on.\Of course.\But...\It's true that I wanted to help her because she was trying so hard.\So...\I want your help. response:	I need your help.
context: I was, as well, and so was Rieze.\I'm not the only one my lord relied on.\Of course.\But...\It's true that I wanted to help her because she was trying so hard.\So...\I want your help.\I need your help. response:	Yes, of course.
context: I'm not the only one my lord relied on.\Of course.\But...\It's true that I wanted to help her because she was trying so hard.\So...\I want your help.\I need your help.\Yes, of course. response:	Rieze and I will help you.
context: Of course.\But...\It's true that I wanted to help her because she was trying so hard.\So...\I want your help.\I need your help.\Yes, of course.\Rieze and I will help you. response:	But who should you be saying that to?
context: But...\It's true that I wanted to help her because she was trying so hard.\So...\I want your help.\I need your help.\Yes, of course.\Rieze and I will help you.\But who should you be saying that to? response:	Who...
context: It's true that I wanted to help her because she was trying so hard.\So...\I want your help.\I need your help.\Yes, of course.\Rieze and I will help you.\But who should you be saying that to?\Who... response:	Akatsuki...
context: So...\I want your help.\I need your help.\Yes, of course.\Rieze and I will help you.\But who should you be saying that to?\Who...\Akatsuki... response:	Akatsuki is my friend!
context: I want your help.\I need your help.\Yes, of course.\Rieze and I will help you.\But who should you be saying that to?\Who...\Akatsuki...\Akatsuki is my friend! response:	Lenessia is doing her best,
context: I need your help.\Yes, of course.\Rieze and I will help you.\But who should you be saying that to?\Who...\Akatsuki...\Akatsuki is my friend!\Lenessia is doing her best, response:	so I want to help her!
context: Yes, of course.\Rieze and I will help you.\But who should you be saying that to?\Who...\Akatsuki...\Akatsuki is my friend!\Lenessia is doing her best,\so I want to help her! response:	I want you all...
context: Rieze and I will help you.\But who should you be saying that to?\Who...\Akatsuki...\Akatsuki is my friend!\Lenessia is doing her best,\so I want to help her!\I want you all... response:	all of us... to help her.
context: But who should you be saying that to?\Who...\Akatsuki...\Akatsuki is my friend!\Lenessia is doing her best,\so I want to help her!\I want you all...\all of us... to help her. response:	Because we're friends.
context: Who...\Akatsuki...\Akatsuki is my friend!\Lenessia is doing her best,\so I want to help her!\I want you all...\all of us... to help her.\Because we're friends. response:	Very well.
context: Akatsuki...\Akatsuki is my friend!\Lenessia is doing her best,\so I want to help her!\I want you all...\all of us... to help her.\Because we're friends.\Very well. response:	Let's stop that murderer.
context: Akatsuki is my friend!\Lenessia is doing her best,\so I want to help her!\I want you all...\all of us... to help her.\Because we're friends.\Very well.\Let's stop that murderer. response:	I'll come up with a plan.
context: Lenessia is doing her best,\so I want to help her!\I want you all...\all of us... to help her.\Because we're friends.\Very well.\Let's stop that murderer.\I'll come up with a plan. response:	I'm a friend, too, after all.
context: so I want to help her!\I want you all...\all of us... to help her.\Because we're friends.\Very well.\Let's stop that murderer.\I'll come up with a plan.\I'm a friend, too, after all. response:	My lord, the sun has set.
context: I want you all...\all of us... to help her.\Because we're friends.\Very well.\Let's stop that murderer.\I'll come up with a plan.\I'm a friend, too, after all.\My lord, the sun has set. response:	Let's hurry.
context: all of us... to help her.\Because we're friends.\Very well.\Let's stop that murderer.\I'll come up with a plan.\I'm a friend, too, after all.\My lord, the sun has set.\Let's hurry. response:	A broken spearhead...
context: Because we're friends.\Very well.\Let's stop that murderer.\I'll come up with a plan.\I'm a friend, too, after all.\My lord, the sun has set.\Let's hurry.\A broken spearhead... response:	What's the matter?
context: Very well.\Let's stop that murderer.\I'll come up with a plan.\I'm a friend, too, after all.\My lord, the sun has set.\Let's hurry.\A broken spearhead...\What's the matter? response:	It looks like this is a training area.
context: Let's stop that murderer.\I'll come up with a plan.\I'm a friend, too, after all.\My lord, the sun has set.\Let's hurry.\A broken spearhead...\What's the matter?\It looks like this is a training area. response:	For goblins.
context: I'll come up with a plan.\I'm a friend, too, after all.\My lord, the sun has set.\Let's hurry.\A broken spearhead...\What's the matter?\It looks like this is a training area.\For goblins. response:	Goblins?
context: I'm a friend, too, after all.\My lord, the sun has set.\Let's hurry.\A broken spearhead...\What's the matter?\It looks like this is a training area.\For goblins.\Goblins? response:	Surely not. I've never heard of them training.
context: My lord, the sun has set.\Let's hurry.\A broken spearhead...\What's the matter?\It looks like this is a training area.\For goblins.\Goblins?\Surely not. I've never heard of them training. response:	I'm sorry... It's acting strangely again.
context: Let's hurry.\A broken spearhead...\What's the matter?\It looks like this is a training area.\For goblins.\Goblins?\Surely not. I've never heard of them training.\I'm sorry... It's acting strangely again. response:	Sansa!
context: A broken spearhead...\What's the matter?\It looks like this is a training area.\For goblins.\Goblins?\Surely not. I've never heard of them training.\I'm sorry... It's acting strangely again.\Sansa! response:	My lord!
context: What's the matter?\It looks like this is a training area.\For goblins.\Goblins?\Surely not. I've never heard of them training.\I'm sorry... It's acting strangely again.\Sansa!\My lord! response:	My lord!
context: It looks like this is a training area.\For goblins.\Goblins?\Surely not. I've never heard of them training.\I'm sorry... It's acting strangely again.\Sansa!\My lord!\My lord! response:	My lord?
context: For goblins.\Goblins?\Surely not. I've never heard of them training.\I'm sorry... It's acting strangely again.\Sansa!\My lord!\My lord!\My lord? response:	The Graupel Sword Byakumaru?
context: Goblins?\Surely not. I've never heard of them training.\I'm sorry... It's acting strangely again.\Sansa!\My lord!\My lord!\My lord?\The Graupel Sword Byakumaru? response:	That's the katana the samurai had?
context: Surely not. I've never heard of them training.\I'm sorry... It's acting strangely again.\Sansa!\My lord!\My lord!\My lord?\The Graupel Sword Byakumaru?\That's the katana the samurai had? response:	I knew it on sight.
context: I'm sorry... It's acting strangely again.\Sansa!\My lord!\My lord!\My lord?\The Graupel Sword Byakumaru?\That's the katana the samurai had?\I knew it on sight. response:	I saw it many times at Amenoma.
context: Sansa!\My lord!\My lord!\My lord?\The Graupel Sword Byakumaru?\That's the katana the samurai had?\I knew it on sight.\I saw it many times at Amenoma. response:	Marie, is something wrong?
context: My lord!\My lord!\My lord?\The Graupel Sword Byakumaru?\That's the katana the samurai had?\I knew it on sight.\I saw it many times at Amenoma.\Marie, is something wrong? response:	W-Well, just...
context: My lord!\My lord?\The Graupel Sword Byakumaru?\That's the katana the samurai had?\I knew it on sight.\I saw it many times at Amenoma.\Marie, is something wrong?\W-Well, just... response:	It's about time, and I haven't gotten a call.
context: My lord?\The Graupel Sword Byakumaru?\That's the katana the samurai had?\I knew it on sight.\I saw it many times at Amenoma.\Marie, is something wrong?\W-Well, just...\It's about time, and I haven't gotten a call. response:	Shiroe and Naotsugu aren't playing around.
context: The Graupel Sword Byakumaru?\That's the katana the samurai had?\I knew it on sight.\I saw it many times at Amenoma.\Marie, is something wrong?\W-Well, just...\It's about time, and I haven't gotten a call.\Shiroe and Naotsugu aren't playing around. response:	They won't always have time.
context: That's the katana the samurai had?\I knew it on sight.\I saw it many times at Amenoma.\Marie, is something wrong?\W-Well, just...\It's about time, and I haven't gotten a call.\Shiroe and Naotsugu aren't playing around.\They won't always have time. response:	Yeah, I know, but...
context: I knew it on sight.\I saw it many times at Amenoma.\Marie, is something wrong?\W-Well, just...\It's about time, and I haven't gotten a call.\Shiroe and Naotsugu aren't playing around.\They won't always have time.\Yeah, I know, but... response:	Today, something just doesn't feel right.
context: I saw it many times at Amenoma.\Marie, is something wrong?\W-Well, just...\It's about time, and I haven't gotten a call.\Shiroe and Naotsugu aren't playing around.\They won't always have time.\Yeah, I know, but...\Today, something just doesn't feel right. response:	Did you notice anything else about the murderer?
context: Marie, is something wrong?\W-Well, just...\It's about time, and I haven't gotten a call.\Shiroe and Naotsugu aren't playing around.\They won't always have time.\Yeah, I know, but...\Today, something just doesn't feel right.\Did you notice anything else about the murderer? response:	One second.
context: W-Well, just...\It's about time, and I haven't gotten a call.\Shiroe and Naotsugu aren't playing around.\They won't always have time.\Yeah, I know, but...\Today, something just doesn't feel right.\Did you notice anything else about the murderer?\One second. response:	Yes?
context: It's about time, and I haven't gotten a call.\Shiroe and Naotsugu aren't playing around.\They won't always have time.\Yeah, I know, but...\Today, something just doesn't feel right.\Did you notice anything else about the murderer?\One second.\Yes? response:	Yes.
context: Shiroe and Naotsugu aren't playing around.\They won't always have time.\Yeah, I know, but...\Today, something just doesn't feel right.\Did you notice anything else about the murderer?\One second.\Yes?\Yes. response:	What?
context: They won't always have time.\Yeah, I know, but...\Today, something just doesn't feel right.\Did you notice anything else about the murderer?\One second.\Yes?\Yes.\What? response:	That can't be...
context: Yeah, I know, but...\Today, something just doesn't feel right.\Did you notice anything else about the murderer?\One second.\Yes?\Yes.\What?\That can't be... response:	The murderer's mind is taken from him as he becomes a true monster.
context: Today, something just doesn't feel right.\Did you notice anything else about the murderer?\One second.\Yes?\Yes.\What?\That can't be...\The murderer's mind is taken from him as he becomes a true monster. response:	Is he remembering a legendary hero?
context: Did you notice anything else about the murderer?\One second.\Yes?\Yes.\What?\That can't be...\The murderer's mind is taken from him as he becomes a true monster.\Is he remembering a legendary hero? response:	Rieze and Henrietta begin preparations for a raid.
context: One second.\Yes?\Yes.\What?\That can't be...\The murderer's mind is taken from him as he becomes a true monster.\Is he remembering a legendary hero?\Rieze and Henrietta begin preparations for a raid. response:	Akatsuki attempts to master the Teachings.
context: Yes?\Yes.\What?\That can't be...\The murderer's mind is taken from him as he becomes a true monster.\Is he remembering a legendary hero?\Rieze and Henrietta begin preparations for a raid.\Akatsuki attempts to master the Teachings. response:	At some point, they find themselves with many friends.
context: Yes.\What?\That can't be...\The murderer's mind is taken from him as he becomes a true monster.\Is he remembering a legendary hero?\Rieze and Henrietta begin preparations for a raid.\Akatsuki attempts to master the Teachings.\At some point, they find themselves with many friends. response:	Twenty-six, in all.
context: What?\That can't be...\The murderer's mind is taken from him as he becomes a true monster.\Is he remembering a legendary hero?\Rieze and Henrietta begin preparations for a raid.\Akatsuki attempts to master the Teachings.\At some point, they find themselves with many friends.\Twenty-six, in all. response:	Next time: The Maidens of Watermaple.
context: That can't be...\The murderer's mind is taken from him as he becomes a true monster.\Is he remembering a legendary hero?\Rieze and Henrietta begin preparations for a raid.\Akatsuki attempts to master the Teachings.\At some point, they find themselves with many friends.\Twenty-six, in all.\Next time: The Maidens of Watermaple. response:	The Maidens of Watermaple
context: The murderer's mind is taken from him as he becomes a true monster.\Is he remembering a legendary hero?\Rieze and Henrietta begin preparations for a raid.\Akatsuki attempts to master the Teachings.\At some point, they find themselves with many friends.\Twenty-six, in all.\Next time: The Maidens of Watermaple.\The Maidens of Watermaple response:	Rise up once more.
