context: Even before the qualifier, there was something between us and Sabertooth, response:	but Natsu had to make it worse by slugging it out with them at their inn.
context: Why didn't you let Wendy-tan do this one?!\It's not too late! Switch her in!\Thank you very much.\Shut up!\Juiva is going to knock you all out at once!\Nobody can win against Juvia in the water!\Juvia learned this move when Second Origin was released...\This new special technique! response:	Go forth, wings of love!
context: It's not too late! Switch her in!\Thank you very much.\Shut up!\Juiva is going to knock you all out at once!\Nobody can win against Juvia in the water!\Juvia learned this move when Second Origin was released...\This new special technique!\Go forth, wings of love! response:	Gray-sama, love!
context: Thank you very much.\Shut up!\Juiva is going to knock you all out at once!\Nobody can win against Juvia in the water!\Juvia learned this move when Second Origin was released...\This new special technique!\Go forth, wings of love!\Gray-sama, love! response:	Knock it off!
context: Shut up!\Juiva is going to knock you all out at once!\Nobody can win against Juvia in the water!\Juvia learned this move when Second Origin was released...\This new special technique!\Go forth, wings of love!\Gray-sama, love!\Knock it off! response:	Fluffy guard at full throttle!
context: Juiva is going to knock you all out at once!\Nobody can win against Juvia in the water!\Juvia learned this move when Second Origin was released...\This new special technique!\Go forth, wings of love!\Gray-sama, love!\Knock it off!\Fluffy guard at full throttle! response:	Princess, hang on!
context: Nobody can win against Juvia in the water!\Juvia learned this move when Second Origin was released...\This new special technique!\Go forth, wings of love!\Gray-sama, love!\Knock it off!\Fluffy guard at full throttle!\Princess, hang on! response:	Would you believe it?! Juvia has knocked out three at once!
context: Juvia learned this move when Second Origin was released...\This new special technique!\Go forth, wings of love!\Gray-sama, love!\Knock it off!\Fluffy guard at full throttle!\Princess, hang on!\Would you believe it?! Juvia has knocked out three at once! response:	In a water battle, Juvia is unbeatable!
context: This new special technique!\Go forth, wings of love!\Gray-sama, love!\Knock it off!\Fluffy guard at full throttle!\Princess, hang on!\Would you believe it?! Juvia has knocked out three at once!\In a water battle, Juvia is unbeatable! response:	I wasn't able to muster as much power as I thought in the water...
context: Go forth, wings of love!\Gray-sama, love!\Knock it off!\Fluffy guard at full throttle!\Princess, hang on!\Would you believe it?! Juvia has knocked out three at once!\In a water battle, Juvia is unbeatable!\I wasn't able to muster as much power as I thought in the water... response:	You gave it your all, Cheria!
context: Gray-sama, love!\Knock it off!\Fluffy guard at full throttle!\Princess, hang on!\Would you believe it?! Juvia has knocked out three at once!\In a water battle, Juvia is unbeatable!\I wasn't able to muster as much power as I thought in the water...\You gave it your all, Cheria! response:	Did you feel something while watching Juvia, Gray-sama?
context: Knock it off!\Fluffy guard at full throttle!\Princess, hang on!\Would you believe it?! Juvia has knocked out three at once!\In a water battle, Juvia is unbeatable!\I wasn't able to muster as much power as I thought in the water...\You gave it your all, Cheria!\Did you feel something while watching Juvia, Gray-sama? response:	He's totally turned off!
context: Fluffy guard at full throttle!\Princess, hang on!\Would you believe it?! Juvia has knocked out three at once!\In a water battle, Juvia is unbeatable!\I wasn't able to muster as much power as I thought in the water...\You gave it your all, Cheria!\Did you feel something while watching Juvia, Gray-sama?\He's totally turned off! response:	Juvia!
context: Princess, hang on!\Would you believe it?! Juvia has knocked out three at once!\In a water battle, Juvia is unbeatable!\I wasn't able to muster as much power as I thought in the water...\You gave it your all, Cheria!\Did you feel something while watching Juvia, Gray-sama?\He's totally turned off!\Juvia! response:	She was outstanding, but unfortunately, she's out!
context: Would you believe it?! Juvia has knocked out three at once!\In a water battle, Juvia is unbeatable!\I wasn't able to muster as much power as I thought in the water...\You gave it your all, Cheria!\Did you feel something while watching Juvia, Gray-sama?\He's totally turned off!\Juvia!\She was outstanding, but unfortunately, she's out! response:	But even so, for third place,
context: In a water battle, Juvia is unbeatable!\I wasn't able to muster as much power as I thought in the water...\You gave it your all, Cheria!\Did you feel something while watching Juvia, Gray-sama?\He's totally turned off!\Juvia!\She was outstanding, but unfortunately, she's out!\But even so, for third place, response:	her team gets six points!
context: I wasn't able to muster as much power as I thought in the water...\You gave it your all, Cheria!\Did you feel something while watching Juvia, Gray-sama?\He's totally turned off!\Juvia!\She was outstanding, but unfortunately, she's out!\But even so, for third place,\her team gets six points! response:	That idiot...
context: You gave it your all, Cheria!\Did you feel something while watching Juvia, Gray-sama?\He's totally turned off!\Juvia!\She was outstanding, but unfortunately, she's out!\But even so, for third place,\her team gets six points!\That idiot... response:	She went out of the sphere.
context: Did you feel something while watching Juvia, Gray-sama?\He's totally turned off!\Juvia!\She was outstanding, but unfortunately, she's out!\But even so, for third place,\her team gets six points!\That idiot...\She went out of the sphere. response:	Why? Was she not paying attention?
context: He's totally turned off!\Juvia!\She was outstanding, but unfortunately, she's out!\But even so, for third place,\her team gets six points!\That idiot...\She went out of the sphere.\Why? Was she not paying attention? response:	Our lady is a mischievous one.
context: Juvia!\She was outstanding, but unfortunately, she's out!\But even so, for third place,\her team gets six points!\That idiot...\She went out of the sphere.\Why? Was she not paying attention?\Our lady is a mischievous one. response:	With her magic, she should've been able to get them all out of the sphere in an instant.
context: She was outstanding, but unfortunately, she's out!\But even so, for third place,\her team gets six points!\That idiot...\She went out of the sphere.\Why? Was she not paying attention?\Our lady is a mischievous one.\With her magic, she should've been able to get them all out of the sphere in an instant. response:	She's already won this.
context: But even so, for third place,\her team gets six points!\That idiot...\She went out of the sphere.\Why? Was she not paying attention?\Our lady is a mischievous one.\With her magic, she should've been able to get them all out of the sphere in an instant.\She's already won this. response:	Only Minerva and Lucy are left.
context: her team gets six points!\That idiot...\She went out of the sphere.\Why? Was she not paying attention?\Our lady is a mischievous one.\With her magic, she should've been able to get them all out of the sphere in an instant.\She's already won this.\Only Minerva and Lucy are left. response:	Lucy's Celestial Spirits have gone home for now.
context: That idiot...\She went out of the sphere.\Why? Was she not paying attention?\Our lady is a mischievous one.\With her magic, she should've been able to get them all out of the sphere in an instant.\She's already won this.\Only Minerva and Lucy are left.\Lucy's Celestial Spirits have gone home for now. response:	To avoid depleting her magic and physical strength, most likely.
context: She went out of the sphere.\Why? Was she not paying attention?\Our lady is a mischievous one.\With her magic, she should've been able to get them all out of the sphere in an instant.\She's already won this.\Only Minerva and Lucy are left.\Lucy's Celestial Spirits have gone home for now.\To avoid depleting her magic and physical strength, most likely. response:	Alright! Who's gonna win this, Sabertooth or Fairy Tail?!
context: Why? Was she not paying attention?\Our lady is a mischievous one.\With her magic, she should've been able to get them all out of the sphere in an instant.\She's already won this.\Only Minerva and Lucy are left.\Lucy's Celestial Spirits have gone home for now.\To avoid depleting her magic and physical strength, most likely.\Alright! Who's gonna win this, Sabertooth or Fairy Tail?! response:	The five-minute rule comes into play now!
context: Our lady is a mischievous one.\With her magic, she should've been able to get them all out of the sphere in an instant.\She's already won this.\Only Minerva and Lucy are left.\Lucy's Celestial Spirits have gone home for now.\To avoid depleting her magic and physical strength, most likely.\Alright! Who's gonna win this, Sabertooth or Fairy Tail?!\The five-minute rule comes into play now! response:	The person who leaves the sphere in the next five minutes will be in last place!
context: With her magic, she should've been able to get them all out of the sphere in an instant.\She's already won this.\Only Minerva and Lucy are left.\Lucy's Celestial Spirits have gone home for now.\To avoid depleting her magic and physical strength, most likely.\Alright! Who's gonna win this, Sabertooth or Fairy Tail?!\The five-minute rule comes into play now!\The person who leaves the sphere in the next five minutes will be in last place! response:	I wonder what this rule is for...
context: She's already won this.\Only Minerva and Lucy are left.\Lucy's Celestial Spirits have gone home for now.\To avoid depleting her magic and physical strength, most likely.\Alright! Who's gonna win this, Sabertooth or Fairy Tail?!\The five-minute rule comes into play now!\The person who leaves the sphere in the next five minutes will be in last place!\I wonder what this rule is for... response:	It's to keep the tension high to the very end.
context: Only Minerva and Lucy are left.\Lucy's Celestial Spirits have gone home for now.\To avoid depleting her magic and physical strength, most likely.\Alright! Who's gonna win this, Sabertooth or Fairy Tail?!\The five-minute rule comes into play now!\The person who leaves the sphere in the next five minutes will be in last place!\I wonder what this rule is for...\It's to keep the tension high to the very end. response:	Thank you very much.
context: Lucy's Celestial Spirits have gone home for now.\To avoid depleting her magic and physical strength, most likely.\Alright! Who's gonna win this, Sabertooth or Fairy Tail?!\The five-minute rule comes into play now!\The person who leaves the sphere in the next five minutes will be in last place!\I wonder what this rule is for...\It's to keep the tension high to the very end.\Thank you very much. response:	With my magic, I could have you outside of here in a flash,
context: To avoid depleting her magic and physical strength, most likely.\Alright! Who's gonna win this, Sabertooth or Fairy Tail?!\The five-minute rule comes into play now!\The person who leaves the sphere in the next five minutes will be in last place!\I wonder what this rule is for...\It's to keep the tension high to the very end.\Thank you very much.\With my magic, I could have you outside of here in a flash, response:	but that would spoil the fun.
context: Alright! Who's gonna win this, Sabertooth or Fairy Tail?!\The five-minute rule comes into play now!\The person who leaves the sphere in the next five minutes will be in last place!\I wonder what this rule is for...\It's to keep the tension high to the very end.\Thank you very much.\With my magic, I could have you outside of here in a flash,\but that would spoil the fun. response:	Try to withstand this, Fairy Tail.
context: The five-minute rule comes into play now!\The person who leaves the sphere in the next five minutes will be in last place!\I wonder what this rule is for...\It's to keep the tension high to the very end.\Thank you very much.\With my magic, I could have you outside of here in a flash,\but that would spoil the fun.\Try to withstand this, Fairy Tail. response:	What is that?!
context: The person who leaves the sphere in the next five minutes will be in last place!\I wonder what this rule is for...\It's to keep the tension high to the very end.\Thank you very much.\With my magic, I could have you outside of here in a flash,\but that would spoil the fun.\Try to withstand this, Fairy Tail.\What is that?! response:	Heat?
context: I wonder what this rule is for...\It's to keep the tension high to the very end.\Thank you very much.\With my magic, I could have you outside of here in a flash,\but that would spoil the fun.\Try to withstand this, Fairy Tail.\What is that?!\Heat? response:	In the water?!
context: It's to keep the tension high to the very end.\Thank you very much.\With my magic, I could have you outside of here in a flash,\but that would spoil the fun.\Try to withstand this, Fairy Tail.\What is that?!\Heat?\In the water?! response:	Lucy!
context: Thank you very much.\With my magic, I could have you outside of here in a flash,\but that would spoil the fun.\Try to withstand this, Fairy Tail.\What is that?!\Heat?\In the water?!\Lucy! response:	What the hell kind of magic is that?!
context: With my magic, I could have you outside of here in a flash,\but that would spoil the fun.\Try to withstand this, Fairy Tail.\What is that?!\Heat?\In the water?!\Lucy!\What the hell kind of magic is that?! response:	Th-That time it was heavy...
context: but that would spoil the fun.\Try to withstand this, Fairy Tail.\What is that?!\Heat?\In the water?!\Lucy!\What the hell kind of magic is that?!\Th-That time it was heavy... response:	Felt like lead...
context: Try to withstand this, Fairy Tail.\What is that?!\Heat?\In the water?!\Lucy!\What the hell kind of magic is that?!\Th-That time it was heavy...\Felt like lead... response:	If I don't get a Celestial Spirit out here...
context: What is that?!\Heat?\In the water?!\Lucy!\What the hell kind of magic is that?!\Th-That time it was heavy...\Felt like lead...\If I don't get a Celestial Spirit out here... response:	Huh? Where are my keys?!
context: Heat?\In the water?!\Lucy!\What the hell kind of magic is that?!\Th-That time it was heavy...\Felt like lead...\If I don't get a Celestial Spirit out here...\Huh? Where are my keys?! response:	When did she...?!
context: In the water?!\Lucy!\What the hell kind of magic is that?!\Th-That time it was heavy...\Felt like lead...\If I don't get a Celestial Spirit out here...\Huh? Where are my keys?!\When did she...?! response:	If Lucy exits the sphere now, she'll be in last place!
context: Lucy!\What the hell kind of magic is that?!\Th-That time it was heavy...\Felt like lead...\If I don't get a Celestial Spirit out here...\Huh? Where are my keys?!\When did she...?!\If Lucy exits the sphere now, she'll be in last place! response:	Oh?
context: What the hell kind of magic is that?!\Th-That time it was heavy...\Felt like lead...\If I don't get a Celestial Spirit out here...\Huh? Where are my keys?!\When did she...?!\If Lucy exits the sphere now, she'll be in last place!\Oh? response:	It's hot again!
context: Th-That time it was heavy...\Felt like lead...\If I don't get a Celestial Spirit out here...\Huh? Where are my keys?!\When did she...?!\If Lucy exits the sphere now, she'll be in last place!\Oh?\It's hot again! response:	Feels like I'll get burned!
context: Felt like lead...\If I don't get a Celestial Spirit out here...\Huh? Where are my keys?!\When did she...?!\If Lucy exits the sphere now, she'll be in last place!\Oh?\It's hot again!\Feels like I'll get burned! response:	Lucy!
context: If I don't get a Celestial Spirit out here...\Huh? Where are my keys?!\When did she...?!\If Lucy exits the sphere now, she'll be in last place!\Oh?\It's hot again!\Feels like I'll get burned!\Lucy! response:	She can't use any magic with her keys stolen!
context: Huh? Where are my keys?!\When did she...?!\If Lucy exits the sphere now, she'll be in last place!\Oh?\It's hot again!\Feels like I'll get burned!\Lucy!\She can't use any magic with her keys stolen! response:	No matter what...
context: When did she...?!\If Lucy exits the sphere now, she'll be in last place!\Oh?\It's hot again!\Feels like I'll get burned!\Lucy!\She can't use any magic with her keys stolen!\No matter what... response:	Maybe it's about time for me to put you outside?
context: If Lucy exits the sphere now, she'll be in last place!\Oh?\It's hot again!\Feels like I'll get burned!\Lucy!\She can't use any magic with her keys stolen!\No matter what...\Maybe it's about time for me to put you outside? response:	If I lose now...
context: Oh?\It's hot again!\Feels like I'll get burned!\Lucy!\She can't use any magic with her keys stolen!\No matter what...\Maybe it's about time for me to put you outside?\If I lose now... response:	I can't betray everyone's feelings!
context: It's hot again!\Feels like I'll get burned!\Lucy!\She can't use any magic with her keys stolen!\No matter what...\Maybe it's about time for me to put you outside?\If I lose now...\I can't betray everyone's feelings! response:	That's why...
context: Feels like I'll get burned!\Lucy!\She can't use any magic with her keys stolen!\No matter what...\Maybe it's about time for me to put you outside?\If I lose now...\I can't betray everyone's feelings!\That's why... response:	W-What's going on here?!
context: Lucy!\She can't use any magic with her keys stolen!\No matter what...\Maybe it's about time for me to put you outside?\If I lose now...\I can't betray everyone's feelings!\That's why...\W-What's going on here?! response:	Minerva's attacks have stopped!
context: She can't use any magic with her keys stolen!\No matter what...\Maybe it's about time for me to put you outside?\If I lose now...\I can't betray everyone's feelings!\That's why...\W-What's going on here?!\Minerva's attacks have stopped! response:	And just like that...
context: No matter what...\Maybe it's about time for me to put you outside?\If I lose now...\I can't betray everyone's feelings!\That's why...\W-What's going on here?!\Minerva's attacks have stopped!\And just like that... response:	Yes!
context: Maybe it's about time for me to put you outside?\If I lose now...\I can't betray everyone's feelings!\That's why...\W-What's going on here?!\Minerva's attacks have stopped!\And just like that...\Yes! response:	All that's left is ranking them!
context: If I lose now...\I can't betray everyone's feelings!\That's why...\W-What's going on here?!\Minerva's attacks have stopped!\And just like that...\Yes!\All that's left is ranking them! response:	Lucy!
context: I can't betray everyone's feelings!\That's why...\W-What's going on here?!\Minerva's attacks have stopped!\And just like that...\Yes!\All that's left is ranking them!\Lucy! response:	You're arrogant, Fairy Tail!
context: That's why...\W-What's going on here?!\Minerva's attacks have stopped!\And just like that...\Yes!\All that's left is ranking them!\Lucy!\You're arrogant, Fairy Tail! response:	What do you know of us?!
context: W-What's going on here?!\Minerva's attacks have stopped!\And just like that...\Yes!\All that's left is ranking them!\Lucy!\You're arrogant, Fairy Tail!\What do you know of us?! response:	We are this world's number one guild!
context: Minerva's attacks have stopped!\And just like that...\Yes!\All that's left is ranking them!\Lucy!\You're arrogant, Fairy Tail!\What do you know of us?!\We are this world's number one guild! response:	We're Sabertooth!
context: And just like that...\Yes!\All that's left is ranking them!\Lucy!\You're arrogant, Fairy Tail!\What do you know of us?!\We are this world's number one guild!\We're Sabertooth! response:	This time for sure she's going out...
context: Yes!\All that's left is ranking them!\Lucy!\You're arrogant, Fairy Tail!\What do you know of us?!\We are this world's number one guild!\We're Sabertooth!\This time for sure she's going out... response:	She vanished?!
context: All that's left is ranking them!\Lucy!\You're arrogant, Fairy Tail!\What do you know of us?!\We are this world's number one guild!\We're Sabertooth!\This time for sure she's going out...\She vanished?! response:	Lucy was going to be knocked out of the sphere...
context: Lucy!\You're arrogant, Fairy Tail!\What do you know of us?!\We are this world's number one guild!\We're Sabertooth!\This time for sure she's going out...\She vanished?!\Lucy was going to be knocked out of the sphere... response:	Is it that woman's magic?!
context: You're arrogant, Fairy Tail!\What do you know of us?!\We are this world's number one guild!\We're Sabertooth!\This time for sure she's going out...\She vanished?!\Lucy was going to be knocked out of the sphere...\Is it that woman's magic?! response:	Why would she bother bringing her back?
context: What do you know of us?!\We are this world's number one guild!\We're Sabertooth!\This time for sure she's going out...\She vanished?!\Lucy was going to be knocked out of the sphere...\Is it that woman's magic?!\Why would she bother bringing her back? response:	Does she intend to rough Lucy up?!
context: We are this world's number one guild!\We're Sabertooth!\This time for sure she's going out...\She vanished?!\Lucy was going to be knocked out of the sphere...\Is it that woman's magic?!\Why would she bother bringing her back?\Does she intend to rough Lucy up?! response:	The match is already over!
context: We're Sabertooth!\This time for sure she's going out...\She vanished?!\Lucy was going to be knocked out of the sphere...\Is it that woman's magic?!\Why would she bother bringing her back?\Does she intend to rough Lucy up?!\The match is already over! response:	And now a body blow!
context: This time for sure she's going out...\She vanished?!\Lucy was going to be knocked out of the sphere...\Is it that woman's magic?!\Why would she bother bringing her back?\Does she intend to rough Lucy up?!\The match is already over!\And now a body blow! response:	Even without using magic, Minerva has incredible power!
context: She vanished?!\Lucy was going to be knocked out of the sphere...\Is it that woman's magic?!\Why would she bother bringing her back?\Does she intend to rough Lucy up?!\The match is already over!\And now a body blow!\Even without using magic, Minerva has incredible power! response:	Please stop. Now you're just being cruel.
context: Lucy was going to be knocked out of the sphere...\Is it that woman's magic?!\Why would she bother bringing her back?\Does she intend to rough Lucy up?!\The match is already over!\And now a body blow!\Even without using magic, Minerva has incredible power!\Please stop. Now you're just being cruel. response:	Thank you very much!
context: Is it that woman's magic?!\Why would she bother bringing her back?\Does she intend to rough Lucy up?!\The match is already over!\And now a body blow!\Even without using magic, Minerva has incredible power!\Please stop. Now you're just being cruel.\Thank you very much! response:	She's still in the water, so she's not down!
context: Why would she bother bringing her back?\Does she intend to rough Lucy up?!\The match is already over!\And now a body blow!\Even without using magic, Minerva has incredible power!\Please stop. Now you're just being cruel.\Thank you very much!\She's still in the water, so she's not down! response:	She's just taking a beating!
context: Does she intend to rough Lucy up?!\The match is already over!\And now a body blow!\Even without using magic, Minerva has incredible power!\Please stop. Now you're just being cruel.\Thank you very much!\She's still in the water, so she's not down!\She's just taking a beating! response:	Stop!!
context: The match is already over!\And now a body blow!\Even without using magic, Minerva has incredible power!\Please stop. Now you're just being cruel.\Thank you very much!\She's still in the water, so she's not down!\She's just taking a beating!\Stop!! response:	Sabertooth!
context: And now a body blow!\Even without using magic, Minerva has incredible power!\Please stop. Now you're just being cruel.\Thank you very much!\She's still in the water, so she's not down!\She's just taking a beating!\Stop!!\Sabertooth! response:	Do you know what it means to dis Sabertooth?
context: Even without using magic, Minerva has incredible power!\Please stop. Now you're just being cruel.\Thank you very much!\She's still in the water, so she's not down!\She's just taking a beating!\Stop!!\Sabertooth!\Do you know what it means to dis Sabertooth? response:	I'm going to teach you with her body!
context: Please stop. Now you're just being cruel.\Thank you very much!\She's still in the water, so she's not down!\She's just taking a beating!\Stop!!\Sabertooth!\Do you know what it means to dis Sabertooth?\I'm going to teach you with her body! response:	Stop this! She'll destroy the Celestial Spirit wizard!
context: Thank you very much!\She's still in the water, so she's not down!\She's just taking a beating!\Stop!!\Sabertooth!\Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this! She'll destroy the Celestial Spirit wizard! response:	Stop the competition!
context: She's still in the water, so she's not down!\She's just taking a beating!\Stop!!\Sabertooth!\Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this! She'll destroy the Celestial Spirit wizard!\Stop the competition! response:	The referee has stopped it!
context: She's just taking a beating!\Stop!!\Sabertooth!\Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this! She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it! response:	The competition is over!
context: Stop!!\Sabertooth!\Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this! She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over! response:	The winner is Minerva!
context: Sabertooth!\Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this! She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva! response:	Sabertooth really is strong!
context: Do you know what it means to dis Sabertooth?\I'm going to teach you with her body!\Stop this! She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong! response:	Lucy hasn't moved for a while, but is she okay?!
context: I'm going to teach you with her body!\Stop this! She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?! response:	Lucy!
context: Stop this! She'll destroy the Celestial Spirit wizard!\Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy! response:	Lucy!!
context: Stop the competition!\The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Lucy!! response:	At last!
context: The referee has stopped it!\The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Lucy!!\At last! response:	The identity of that weird rabbit is...
context: The competition is over!\The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Lucy!!\At last!\The identity of that weird rabbit is... response:	That person?!
context: The winner is Minerva!\Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Lucy!!\At last!\The identity of that weird rabbit is...\That person?! response:	Hey, Natsu, when is it you say the words I feel sick?
context: Sabertooth really is strong!\Lucy hasn't moved for a while, but is she okay?!\Lucy!\Lucy!!\At last!\The identity of that weird rabbit is...\That person?!\Hey, Natsu, when is it you say the words I feel sick? response:	Where's that question coming from?
context: Lucy hasn't moved for a while, but is she okay?!\Lucy!\Lucy!!\At last!\The identity of that weird rabbit is...\That person?!\Hey, Natsu, when is it you say the words I feel sick?\Where's that question coming from? response:	Anyway, I guess I say it when I have motion sickness.
context: Lucy!\Lucy!!\At last!\The identity of that weird rabbit is...\That person?!\Hey, Natsu, when is it you say the words I feel sick?\Where's that question coming from?\Anyway, I guess I say it when I have motion sickness. response:	What other situation?
context: Lucy!!\At last!\The identity of that weird rabbit is...\That person?!\Hey, Natsu, when is it you say the words I feel sick?\Where's that question coming from?\Anyway, I guess I say it when I have motion sickness.\What other situation? response:	Like when I eat too much?
context: At last!\The identity of that weird rabbit is...\That person?!\Hey, Natsu, when is it you say the words I feel sick?\Where's that question coming from?\Anyway, I guess I say it when I have motion sickness.\What other situation?\Like when I eat too much? response:	Next time: The Perfume I Dedicate to You!
context: The identity of that weird rabbit is...\That person?!\Hey, Natsu, when is it you say the words I feel sick?\Where's that question coming from?\Anyway, I guess I say it when I have motion sickness.\What other situation?\Like when I eat too much?\Next time: The Perfume I Dedicate to You! response:	You don't use it with people?
context: That person?!\Hey, Natsu, when is it you say the words I feel sick?\Where's that question coming from?\Anyway, I guess I say it when I have motion sickness.\What other situation?\Like when I eat too much?\Next time: The Perfume I Dedicate to You!\You don't use it with people? response:	Uh-uh.
context: Hey, Natsu, when is it you say the words I feel sick?\Where's that question coming from?\Anyway, I guess I say it when I have motion sickness.\What other situation?\Like when I eat too much?\Next time: The Perfume I Dedicate to You!\You don't use it with people?\Uh-uh. response:	I see... Then I've got a feeling I can't put into words...
