context: Ladies and gentlemen, good evening. response:	My friend invited three families to his villa, where a forbidden past lay dormant.
context: He might be able to do something for her.\Hey, Albert!\Albert...\I'll be at your side wherever you go, Gankutsuou.\I'm sorry, but His Excellency is away on a business trip at the moment.\You're kidding! When will he be back?\That is entirely up to His Excellency. I'm sorry I cannot be of more help.\I see that you're helpless by yourself, same as always. response:	You!
context: Hey, Albert!\Albert...\I'll be at your side wherever you go, Gankutsuou.\I'm sorry, but His Excellency is away on a business trip at the moment.\You're kidding! When will he be back?\That is entirely up to His Excellency. I'm sorry I cannot be of more help.\I see that you're helpless by yourself, same as always.\You! response:	I'm looking forward to seeing how this turns out.
context: Albert...\I'll be at your side wherever you go, Gankutsuou.\I'm sorry, but His Excellency is away on a business trip at the moment.\You're kidding! When will he be back?\That is entirely up to His Excellency. I'm sorry I cannot be of more help.\I see that you're helpless by yourself, same as always.\You!\I'm looking forward to seeing how this turns out. response:	What's that supposed to mean?
context: I'll be at your side wherever you go, Gankutsuou.\I'm sorry, but His Excellency is away on a business trip at the moment.\You're kidding! When will he be back?\That is entirely up to His Excellency. I'm sorry I cannot be of more help.\I see that you're helpless by yourself, same as always.\You!\I'm looking forward to seeing how this turns out.\What's that supposed to mean? response:	Do you have the courage to learn what the future holds?
context: I'm sorry, but His Excellency is away on a business trip at the moment.\You're kidding! When will he be back?\That is entirely up to His Excellency. I'm sorry I cannot be of more help.\I see that you're helpless by yourself, same as always.\You!\I'm looking forward to seeing how this turns out.\What's that supposed to mean?\Do you have the courage to learn what the future holds? response:	Who the hell you?
context: You're kidding! When will he be back?\That is entirely up to His Excellency. I'm sorry I cannot be of more help.\I see that you're helpless by yourself, same as always.\You!\I'm looking forward to seeing how this turns out.\What's that supposed to mean?\Do you have the courage to learn what the future holds?\Who the hell you? response:	Damn it! What am I gonna do?
context: That is entirely up to His Excellency. I'm sorry I cannot be of more help.\I see that you're helpless by yourself, same as always.\You!\I'm looking forward to seeing how this turns out.\What's that supposed to mean?\Do you have the courage to learn what the future holds?\Who the hell you?\Damn it! What am I gonna do? response:	Don't die, Valentine!
context: I see that you're helpless by yourself, same as always.\You!\I'm looking forward to seeing how this turns out.\What's that supposed to mean?\Do you have the courage to learn what the future holds?\Who the hell you?\Damn it! What am I gonna do?\Don't die, Valentine! response:	You child of illicit love who has awoken from a dark dream...
context: You!\I'm looking forward to seeing how this turns out.\What's that supposed to mean?\Do you have the courage to learn what the future holds?\Who the hell you?\Damn it! What am I gonna do?\Don't die, Valentine!\You child of illicit love who has awoken from a dark dream... response:	You beautiful child who knows nothing of love, nor of being loved.
context: I'm looking forward to seeing how this turns out.\What's that supposed to mean?\Do you have the courage to learn what the future holds?\Who the hell you?\Damn it! What am I gonna do?\Don't die, Valentine!\You child of illicit love who has awoken from a dark dream...\You beautiful child who knows nothing of love, nor of being loved. response:	Thou art anathema.
context: What's that supposed to mean?\Do you have the courage to learn what the future holds?\Who the hell you?\Damn it! What am I gonna do?\Don't die, Valentine!\You child of illicit love who has awoken from a dark dream...\You beautiful child who knows nothing of love, nor of being loved.\Thou art anathema. response:	Thou art anathema!
context: Do you have the courage to learn what the future holds?\Who the hell you?\Damn it! What am I gonna do?\Don't die, Valentine!\You child of illicit love who has awoken from a dark dream...\You beautiful child who knows nothing of love, nor of being loved.\Thou art anathema.\Thou art anathema! response:	A dark cloud spreads out like a stain to cover our lives.
context: Who the hell you?\Damn it! What am I gonna do?\Don't die, Valentine!\You child of illicit love who has awoken from a dark dream...\You beautiful child who knows nothing of love, nor of being loved.\Thou art anathema.\Thou art anathema!\A dark cloud spreads out like a stain to cover our lives. response:	And a letter arrives from an old friend who was thought to be dead.
context: Damn it! What am I gonna do?\Don't die, Valentine!\You child of illicit love who has awoken from a dark dream...\You beautiful child who knows nothing of love, nor of being loved.\Thou art anathema.\Thou art anathema!\A dark cloud spreads out like a stain to cover our lives.\And a letter arrives from an old friend who was thought to be dead. response:	Act 10: The Letter From Edmond
context: Don't die, Valentine!\You child of illicit love who has awoken from a dark dream...\You beautiful child who knows nothing of love, nor of being loved.\Thou art anathema.\Thou art anathema!\A dark cloud spreads out like a stain to cover our lives.\And a letter arrives from an old friend who was thought to be dead.\Act 10: The Letter From Edmond response:	Bide your time, and hold out hope!
