context: I-I'm sorry! response:	There are all sorts of mysteries in this world,
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself, response:	donna yume mo tateru ki ga surunda
context: Even in the face of the oncoming grief\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda response:	Enough to end any dream we have
context: hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have response:	takaku tobe takaku sora he
context: It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku kere takaku koe wo age
context: But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	itsuka kujiketa sono hi no mukou made
context: I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	kimi no koe wasurenai namida mo wasurenai
context: Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kore kara hajimaru kibou to iu na no mirai wo
context: Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	sono ashi wa arukidasu
context: Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	yagate kuru kakoku mo
context: Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	akaneiro no kumo
context: I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\akaneiro no kumo response:	The clouds, lit bright orange,
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\akaneiro no kumo\The clouds, lit bright orange, response:	omoide mo futatsu
context: The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu response:	And two of our memories
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories response:	tooku nagareteyuku yo
context: Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo response:	Floating far into the distance
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance response:	hibiku kane no oto
context: Even in the face of the oncoming grief\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto response:	The sound of the bell echoing,
context: akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing, response:	kakera kimi to hitotsuzutsu
context: The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu response:	Those pieces we shared, one each
context: omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each response:	ashita wa tenki ni nare
context: And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare response:	I hope tomorrow will be sunny
context: tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny response:	hoshi no mukou ikeru kana
context: Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana response:	Can we go beyond the stars?
context: hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars? response:	sora mitsumete aruku hitohikari
context: The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari response:	Walking, looking at the sky, a single light
context: kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light response:	tsuki no ue hitori demo
context: Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo response:	Even alone, on the face of the moon,
context: ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon, response:	rasen no hate he kaketeyuku yo
context: I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo response:	Run right past the end of the circle
context: hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle response:	kimi wa naita ato waraeru
context: Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru response:	You'll be able to smile after you cry,
context: sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry, response:	hazu dakara tte ittan da
context: Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da response:	I said that because I know you can
context: tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can response:	bokura no tabi wasuretari shinai yo
context: Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo response:	You'll never forget our journey, even for a moment
context: rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment response:	nakusanai you ni mahou kakete
context: Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete response:	I'll cast a little magic so you never lose it,
context: kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it, response:	sayonara wo tsutaenai
context: You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai response:	And I won't say good-bye
context: hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye response:	arukidasu yo mata itsuka
context: I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka response:	You'll start walking again one day
context: bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day response:	akaneiro no kumo
context: You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\akaneiro no kumo response:	The clouds, lit bright orange,
context: nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\akaneiro no kumo\The clouds, lit bright orange, response:	omoide mo futatsu
context: I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu response:	And two of our memories
context: sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories response:	tooku nagareteyuku yo
context: And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo response:	Floating far into the distance
context: arukidasu yo mata itsuka\You'll start walking again one day\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance response:	hibiku kane no oto
context: You'll start walking again one day\akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto response:	The sound of the bell echoing,
context: akaneiro no kumo\The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing, response:	kakera kimi to hitotsuzutsu
context: The clouds, lit bright orange,\omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu response:	Those pieces we shared, one each
context: omoide mo futatsu\And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each response:	ashita wa tenki ni nare
context: And two of our memories\tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare response:	I hope tomorrow will be sunny
context: tooku nagareteyuku yo\Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny response:	hoshi no mukou ikeru kana
context: Floating far into the distance\hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana response:	Can we go beyond the stars?
context: hibiku kane no oto\The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars? response:	sora mitsumete aruku hitohikari
context: The sound of the bell echoing,\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari response:	Walking, looking at the sky, a single light
context: kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light response:	tsuki no ue hitori demo
context: Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo response:	Even alone, on the face of the moon,
context: ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon, response:	rasen no hate he kaketeyuku yo
context: I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo response:	Run right past the end of the circle
context: hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle response:	kimi wa naita ato waraeru
context: Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru response:	You'll be able to smile after you cry,
context: sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry, response:	hazu dakara tte ittan da
context: Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da response:	I said that because I know you can
context: tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can response:	bokura no tabi wasuretari shinai yo
context: Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo response:	You'll never forget our journey, even for a moment
context: rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment response:	nakusanai you ni mahou kakete
context: Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete response:	I'll cast a little magic so you never lose it,
context: kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it, response:	sayonara wo tsutaenai
context: You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai response:	And I won't say good-bye
context: hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye response:	arukidasu yo mata itsuka
context: I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka response:	You'll start walking again one day
context: bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day response:	Have to make sure emdashes work proper
context: You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\Have to make sure emdashes work proper response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\Have to make sure emdashes work proper\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\Have to make sure emdashes work proper\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\Have to make sure emdashes work proper\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\Have to make sure emdashes work proper\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: arukidasu yo mata itsuka\You'll start walking again one day\Have to make sure emdashes work proper\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: You'll start walking again one day\Have to make sure emdashes work proper\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: Have to make sure emdashes work proper\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
context: Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere\Masato has earned the title The Man Who Lost His Brain Somewhere response:	Masato has earned the title The Man Who Lost His Brain Somewhere
