context: Inspector Tsunemori, take Masaoka and go look for Kougami. response:	Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.
context: You know, you should really do a better job of trying to draw me into the conversation.\That way you can buy some time until your reinforcements arrive.\I'm sure an experienced detective would do just that.\When you said multiple crimes, which were you referring to?\Mido Masatake's? Or perhaps Ouryou Rikako's?\I knew it...\I think the only time people really have value is when they act according to their own will.\So I've asked many people about their true, repressed desires and observed their actions all this time. response:	Don't be so full of yourself!
context: That way you can buy some time until your reinforcements arrive.\I'm sure an experienced detective would do just that.\When you said multiple crimes, which were you referring to?\Mido Masatake's? Or perhaps Ouryou Rikako's?\I knew it...\I think the only time people really have value is when they act according to their own will.\So I've asked many people about their true, repressed desires and observed their actions all this time.\Don't be so full of yourself! response:	You're just a criminal!
context: I'm sure an experienced detective would do just that.\When you said multiple crimes, which were you referring to?\Mido Masatake's? Or perhaps Ouryou Rikako's?\I knew it...\I think the only time people really have value is when they act according to their own will.\So I've asked many people about their true, repressed desires and observed their actions all this time.\Don't be so full of yourself!\You're just a criminal! response:	And how do you define crime to start with?
context: When you said multiple crimes, which were you referring to?\Mido Masatake's? Or perhaps Ouryou Rikako's?\I knew it...\I think the only time people really have value is when they act according to their own will.\So I've asked many people about their true, repressed desires and observed their actions all this time.\Don't be so full of yourself!\You're just a criminal!\And how do you define crime to start with? response:	With the Dominator you're holding?
context: Mido Masatake's? Or perhaps Ouryou Rikako's?\I knew it...\I think the only time people really have value is when they act according to their own will.\So I've asked many people about their true, repressed desires and observed their actions all this time.\Don't be so full of yourself!\You're just a criminal!\And how do you define crime to start with?\With the Dominator you're holding? response:	Does the Sibyl System that governs that gun decide it?
context: I knew it...\I think the only time people really have value is when they act according to their own will.\So I've asked many people about their true, repressed desires and observed their actions all this time.\Don't be so full of yourself!\You're just a criminal!\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it? response:	Crime Coefficient is under 50. Not a target for enforcement action.
context: I think the only time people really have value is when they act according to their own will.\So I've asked many people about their true, repressed desires and observed their actions all this time.\Don't be so full of yourself!\You're just a criminal!\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is under 50. Not a target for enforcement action. response:	The trigger will be locked.
context: So I've asked many people about their true, repressed desires and observed their actions all this time.\Don't be so full of yourself!\You're just a criminal!\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is under 50. Not a target for enforcement action.\The trigger will be locked. response:	By analyzing a bio-organism's force field read by a cymatic scan,
context: Don't be so full of yourself!\You're just a criminal!\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is under 50. Not a target for enforcement action.\The trigger will be locked.\By analyzing a bio-organism's force field read by a cymatic scan, response:	they figure out how a person's mind works.
context: You're just a criminal!\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is under 50. Not a target for enforcement action.\The trigger will be locked.\By analyzing a bio-organism's force field read by a cymatic scan,\they figure out how a person's mind works. response:	Science finally discovered the secret behind the human soul,
context: And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is under 50. Not a target for enforcement action.\The trigger will be locked.\By analyzing a bio-organism's force field read by a cymatic scan,\they figure out how a person's mind works.\Science finally discovered the secret behind the human soul, response:	and this society changed drastically as a result.
context: With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is under 50. Not a target for enforcement action.\The trigger will be locked.\By analyzing a bio-organism's force field read by a cymatic scan,\they figure out how a person's mind works.\Science finally discovered the secret behind the human soul,\and this society changed drastically as a result. response:	However, people's wills are not part of that assessment.
context: Does the Sibyl System that governs that gun decide it?\Crime Coefficient is under 50. Not a target for enforcement action.\The trigger will be locked.\By analyzing a bio-organism's force field read by a cymatic scan,\they figure out how a person's mind works.\Science finally discovered the secret behind the human soul,\and this society changed drastically as a result.\However, people's wills are not part of that assessment. response:	I wonder just what sort of criteria you use to divide people into good and evil.
context: Crime Coefficient is under 50. Not a target for enforcement action.\The trigger will be locked.\By analyzing a bio-organism's force field read by a cymatic scan,\they figure out how a person's mind works.\Science finally discovered the secret behind the human soul,\and this society changed drastically as a result.\However, people's wills are not part of that assessment.\I wonder just what sort of criteria you use to divide people into good and evil. response:	What on Earth are you...
context: The trigger will be locked.\By analyzing a bio-organism's force field read by a cymatic scan,\they figure out how a person's mind works.\Science finally discovered the secret behind the human soul,\and this society changed drastically as a result.\However, people's wills are not part of that assessment.\I wonder just what sort of criteria you use to divide people into good and evil.\What on Earth are you... response:	I want to bear witness to the splendor of man's soul.
context: By analyzing a bio-organism's force field read by a cymatic scan,\they figure out how a person's mind works.\Science finally discovered the secret behind the human soul,\and this society changed drastically as a result.\However, people's wills are not part of that assessment.\I wonder just what sort of criteria you use to divide people into good and evil.\What on Earth are you...\I want to bear witness to the splendor of man's soul. response:	I want to find out once and for all whether it is truly something worth admiring.
context: they figure out how a person's mind works.\Science finally discovered the secret behind the human soul,\and this society changed drastically as a result.\However, people's wills are not part of that assessment.\I wonder just what sort of criteria you use to divide people into good and evil.\What on Earth are you...\I want to bear witness to the splendor of man's soul.\I want to find out once and for all whether it is truly something worth admiring. response:	However, when humans base their lives around Sybil's Oracle,
context: Science finally discovered the secret behind the human soul,\and this society changed drastically as a result.\However, people's wills are not part of that assessment.\I wonder just what sort of criteria you use to divide people into good and evil.\What on Earth are you...\I want to bear witness to the splendor of man's soul.\I want to find out once and for all whether it is truly something worth admiring.\However, when humans base their lives around Sybil's Oracle, response:	without ever considering what they really want, do they really hold any value?
context: and this society changed drastically as a result.\However, people's wills are not part of that assessment.\I wonder just what sort of criteria you use to divide people into good and evil.\What on Earth are you...\I want to bear witness to the splendor of man's soul.\I want to find out once and for all whether it is truly something worth admiring.\However, when humans base their lives around Sybil's Oracle,\without ever considering what they really want, do they really hold any value? response:	Well, while I'm here,
context: However, people's wills are not part of that assessment.\I wonder just what sort of criteria you use to divide people into good and evil.\What on Earth are you...\I want to bear witness to the splendor of man's soul.\I want to find out once and for all whether it is truly something worth admiring.\However, when humans base their lives around Sybil's Oracle,\without ever considering what they really want, do they really hold any value?\Well, while I'm here, response:	I guess I'll try testing you too.
context: I wonder just what sort of criteria you use to divide people into good and evil.\What on Earth are you...\I want to bear witness to the splendor of man's soul.\I want to find out once and for all whether it is truly something worth admiring.\However, when humans base their lives around Sybil's Oracle,\without ever considering what they really want, do they really hold any value?\Well, while I'm here,\I guess I'll try testing you too. response:	I want to assess your judgment and actions as a detective.
context: What on Earth are you...\I want to bear witness to the splendor of man's soul.\I want to find out once and for all whether it is truly something worth admiring.\However, when humans base their lives around Sybil's Oracle,\without ever considering what they really want, do they really hold any value?\Well, while I'm here,\I guess I'll try testing you too.\I want to assess your judgment and actions as a detective. response:	Wh-What are you going to do?!
context: I want to bear witness to the splendor of man's soul.\I want to find out once and for all whether it is truly something worth admiring.\However, when humans base their lives around Sybil's Oracle,\without ever considering what they really want, do they really hold any value?\Well, while I'm here,\I guess I'll try testing you too.\I want to assess your judgment and actions as a detective.\Wh-What are you going to do?! response:	I'm goin to kill this woman, Funahara Yuki...
context: I want to find out once and for all whether it is truly something worth admiring.\However, when humans base their lives around Sybil's Oracle,\without ever considering what they really want, do they really hold any value?\Well, while I'm here,\I guess I'll try testing you too.\I want to assess your judgment and actions as a detective.\Wh-What are you going to do?!\I'm goin to kill this woman, Funahara Yuki... response:	right before your eyes.
context: However, when humans base their lives around Sybil's Oracle,\without ever considering what they really want, do they really hold any value?\Well, while I'm here,\I guess I'll try testing you too.\I want to assess your judgment and actions as a detective.\Wh-What are you going to do?!\I'm goin to kill this woman, Funahara Yuki...\right before your eyes. response:	Crime Coefficient is 48. Not a target for enforcement action.
context: without ever considering what they really want, do they really hold any value?\Well, while I'm here,\I guess I'll try testing you too.\I want to assess your judgment and actions as a detective.\Wh-What are you going to do?!\I'm goin to kill this woman, Funahara Yuki...\right before your eyes.\Crime Coefficient is 48. Not a target for enforcement action. response:	The trigger will be locked.
context: Well, while I'm here,\I guess I'll try testing you too.\I want to assess your judgment and actions as a detective.\Wh-What are you going to do?!\I'm goin to kill this woman, Funahara Yuki...\right before your eyes.\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked. response:	If you want to stop me, throw that useless piece of scrap iron aside,
context: I guess I'll try testing you too.\I want to assess your judgment and actions as a detective.\Wh-What are you going to do?!\I'm goin to kill this woman, Funahara Yuki...\right before your eyes.\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\If you want to stop me, throw that useless piece of scrap iron aside, response:	pick up the gun I just gave you, and use it.
context: I want to assess your judgment and actions as a detective.\Wh-What are you going to do?!\I'm goin to kill this woman, Funahara Yuki...\right before your eyes.\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\If you want to stop me, throw that useless piece of scrap iron aside,\pick up the gun I just gave you, and use it. response:	If you pull the trigger, a bullet will come out.
context: Wh-What are you going to do?!\I'm goin to kill this woman, Funahara Yuki...\right before your eyes.\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\If you want to stop me, throw that useless piece of scrap iron aside,\pick up the gun I just gave you, and use it.\If you pull the trigger, a bullet will come out. response:	Th-There's no way I can do that, because you're...
context: I'm goin to kill this woman, Funahara Yuki...\right before your eyes.\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\If you want to stop me, throw that useless piece of scrap iron aside,\pick up the gun I just gave you, and use it.\If you pull the trigger, a bullet will come out.\Th-There's no way I can do that, because you're... response:	An upstanding citizen?
context: right before your eyes.\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\If you want to stop me, throw that useless piece of scrap iron aside,\pick up the gun I just gave you, and use it.\If you pull the trigger, a bullet will come out.\Th-There's no way I can do that, because you're...\An upstanding citizen? response:	Because Sibyl decided so?
context: Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\If you want to stop me, throw that useless piece of scrap iron aside,\pick up the gun I just gave you, and use it.\If you pull the trigger, a bullet will come out.\Th-There's no way I can do that, because you're...\An upstanding citizen?\Because Sibyl decided so? response:	Crime Coefficient is 32. Not a target for enforcement action.
context: The trigger will be locked.\If you want to stop me, throw that useless piece of scrap iron aside,\pick up the gun I just gave you, and use it.\If you pull the trigger, a bullet will come out.\Th-There's no way I can do that, because you're...\An upstanding citizen?\Because Sibyl decided so?\Crime Coefficient is 32. Not a target for enforcement action. response:	The trigger will be locked.
context: If you want to stop me, throw that useless piece of scrap iron aside,\pick up the gun I just gave you, and use it.\If you pull the trigger, a bullet will come out.\Th-There's no way I can do that, because you're...\An upstanding citizen?\Because Sibyl decided so?\Crime Coefficient is 32. Not a target for enforcement action.\The trigger will be locked. response:	Wh-Why?!
context: pick up the gun I just gave you, and use it.\If you pull the trigger, a bullet will come out.\Th-There's no way I can do that, because you're...\An upstanding citizen?\Because Sibyl decided so?\Crime Coefficient is 32. Not a target for enforcement action.\The trigger will be locked.\Wh-Why?! response:	I don't know why, either.
context: If you pull the trigger, a bullet will come out.\Th-There's no way I can do that, because you're...\An upstanding citizen?\Because Sibyl decided so?\Crime Coefficient is 32. Not a target for enforcement action.\The trigger will be locked.\Wh-Why?!\I don't know why, either. response:	It's something I've wondered about ever since my childhood.
context: Th-There's no way I can do that, because you're...\An upstanding citizen?\Because Sibyl decided so?\Crime Coefficient is 32. Not a target for enforcement action.\The trigger will be locked.\Wh-Why?!\I don't know why, either.\It's something I've wondered about ever since my childhood. response:	My Psycho-Pass has always been pure white.
context: An upstanding citizen?\Because Sibyl decided so?\Crime Coefficient is 32. Not a target for enforcement action.\The trigger will be locked.\Wh-Why?!\I don't know why, either.\It's something I've wondered about ever since my childhood.\My Psycho-Pass has always been pure white. response:	It never got clouded in the slightest, not even once.
context: Because Sibyl decided so?\Crime Coefficient is 32. Not a target for enforcement action.\The trigger will be locked.\Wh-Why?!\I don't know why, either.\It's something I've wondered about ever since my childhood.\My Psycho-Pass has always been pure white.\It never got clouded in the slightest, not even once. response:	All sorts of vital reactions in my body must be affirming me...
context: Crime Coefficient is 32. Not a target for enforcement action.\The trigger will be locked.\Wh-Why?!\I don't know why, either.\It's something I've wondered about ever since my childhood.\My Psycho-Pass has always been pure white.\It never got clouded in the slightest, not even once.\All sorts of vital reactions in my body must be affirming me... response:	thinking that my actions are those of one who is sound and good.
context: The trigger will be locked.\Wh-Why?!\I don't know why, either.\It's something I've wondered about ever since my childhood.\My Psycho-Pass has always been pure white.\It never got clouded in the slightest, not even once.\All sorts of vital reactions in my body must be affirming me...\thinking that my actions are those of one who is sound and good. response:	Stop it!
context: Wh-Why?!\I don't know why, either.\It's something I've wondered about ever since my childhood.\My Psycho-Pass has always been pure white.\It never got clouded in the slightest, not even once.\All sorts of vital reactions in my body must be affirming me...\thinking that my actions are those of one who is sound and good.\Stop it! response:	Help! Akane!
context: I don't know why, either.\It's something I've wondered about ever since my childhood.\My Psycho-Pass has always been pure white.\It never got clouded in the slightest, not even once.\All sorts of vital reactions in my body must be affirming me...\thinking that my actions are those of one who is sound and good.\Stop it!\Help! Akane! response:	Yuki!
context: It's something I've wondered about ever since my childhood.\My Psycho-Pass has always been pure white.\It never got clouded in the slightest, not even once.\All sorts of vital reactions in my body must be affirming me...\thinking that my actions are those of one who is sound and good.\Stop it!\Help! Akane!\Yuki! response:	You people can't measure my sins.
context: My Psycho-Pass has always been pure white.\It never got clouded in the slightest, not even once.\All sorts of vital reactions in my body must be affirming me...\thinking that my actions are those of one who is sound and good.\Stop it!\Help! Akane!\Yuki!\You people can't measure my sins. response:	If anyone, the only people who'd be able to judge me are those...
context: It never got clouded in the slightest, not even once.\All sorts of vital reactions in my body must be affirming me...\thinking that my actions are those of one who is sound and good.\Stop it!\Help! Akane!\Yuki!\You people can't measure my sins.\If anyone, the only people who'd be able to judge me are those... response:	who are capable of killing based on their own will.
context: All sorts of vital reactions in my body must be affirming me...\thinking that my actions are those of one who is sound and good.\Stop it!\Help! Akane!\Yuki!\You people can't measure my sins.\If anyone, the only people who'd be able to judge me are those...\who are capable of killing based on their own will. response:	Let Yuki go now!
context: thinking that my actions are those of one who is sound and good.\Stop it!\Help! Akane!\Yuki!\You people can't measure my sins.\If anyone, the only people who'd be able to judge me are those...\who are capable of killing based on their own will.\Let Yuki go now! response:	Or...
context: Stop it!\Help! Akane!\Yuki!\You people can't measure my sins.\If anyone, the only people who'd be able to judge me are those...\who are capable of killing based on their own will.\Let Yuki go now!\Or... response:	Or I'll be killed, not by a machine, but by your own intent.
context: Help! Akane!\Yuki!\You people can't measure my sins.\If anyone, the only people who'd be able to judge me are those...\who are capable of killing based on their own will.\Let Yuki go now!\Or...\Or I'll be killed, not by a machine, but by your own intent. response:	That'd be an admirable resolution in its own way.
context: Yuki!\You people can't measure my sins.\If anyone, the only people who'd be able to judge me are those...\who are capable of killing based on their own will.\Let Yuki go now!\Or...\Or I'll be killed, not by a machine, but by your own intent.\That'd be an admirable resolution in its own way. response:	Now, you feel the importance of life in your index finger, don't you?
context: You people can't measure my sins.\If anyone, the only people who'd be able to judge me are those...\who are capable of killing based on their own will.\Let Yuki go now!\Or...\Or I'll be killed, not by a machine, but by your own intent.\That'd be an admirable resolution in its own way.\Now, you feel the importance of life in your index finger, don't you? response:	That's something you can never experience as one of Sibyl's puppets.
context: If anyone, the only people who'd be able to judge me are those...\who are capable of killing based on their own will.\Let Yuki go now!\Or...\Or I'll be killed, not by a machine, but by your own intent.\That'd be an admirable resolution in its own way.\Now, you feel the importance of life in your index finger, don't you?\That's something you can never experience as one of Sibyl's puppets. response:	It's the weight of deciding something by your own free will.
context: who are capable of killing based on their own will.\Let Yuki go now!\Or...\Or I'll be killed, not by a machine, but by your own intent.\That'd be an admirable resolution in its own way.\Now, you feel the importance of life in your index finger, don't you?\That's something you can never experience as one of Sibyl's puppets.\It's the weight of deciding something by your own free will. response:	Crime Coefficient is under 20. Not a target for enforcement action.
context: Let Yuki go now!\Or...\Or I'll be killed, not by a machine, but by your own intent.\That'd be an admirable resolution in its own way.\Now, you feel the importance of life in your index finger, don't you?\That's something you can never experience as one of Sibyl's puppets.\It's the weight of deciding something by your own free will.\Crime Coefficient is under 20. Not a target for enforcement action. response:	The trigger will be locked.
context: Or...\Or I'll be killed, not by a machine, but by your own intent.\That'd be an admirable resolution in its own way.\Now, you feel the importance of life in your index finger, don't you?\That's something you can never experience as one of Sibyl's puppets.\It's the weight of deciding something by your own free will.\Crime Coefficient is under 20. Not a target for enforcement action.\The trigger will be locked. response:	Descartes said that those who are unable to make a decision
context: Or I'll be killed, not by a machine, but by your own intent.\That'd be an admirable resolution in its own way.\Now, you feel the importance of life in your index finger, don't you?\That's something you can never experience as one of Sibyl's puppets.\It's the weight of deciding something by your own free will.\Crime Coefficient is under 20. Not a target for enforcement action.\The trigger will be locked.\Descartes said that those who are unable to make a decision response:	can't do so because either their desires are too great, or because they lack intellect.
context: That'd be an admirable resolution in its own way.\Now, you feel the importance of life in your index finger, don't you?\That's something you can never experience as one of Sibyl's puppets.\It's the weight of deciding something by your own free will.\Crime Coefficient is under 20. Not a target for enforcement action.\The trigger will be locked.\Descartes said that those who are unable to make a decision\can't do so because either their desires are too great, or because they lack intellect. response:	What's wrong? If you don't hold the gun steady, you'll miss me.
context: Now, you feel the importance of life in your index finger, don't you?\That's something you can never experience as one of Sibyl's puppets.\It's the weight of deciding something by your own free will.\Crime Coefficient is under 20. Not a target for enforcement action.\The trigger will be locked.\Descartes said that those who are unable to make a decision\can't do so because either their desires are too great, or because they lack intellect.\What's wrong? If you don't hold the gun steady, you'll miss me. response:	Now, aim at me with killing intent.
context: That's something you can never experience as one of Sibyl's puppets.\It's the weight of deciding something by your own free will.\Crime Coefficient is under 20. Not a target for enforcement action.\The trigger will be locked.\Descartes said that those who are unable to make a decision\can't do so because either their desires are too great, or because they lack intellect.\What's wrong? If you don't hold the gun steady, you'll miss me.\Now, aim at me with killing intent. response:	Akane...
context: It's the weight of deciding something by your own free will.\Crime Coefficient is under 20. Not a target for enforcement action.\The trigger will be locked.\Descartes said that those who are unable to make a decision\can't do so because either their desires are too great, or because they lack intellect.\What's wrong? If you don't hold the gun steady, you'll miss me.\Now, aim at me with killing intent.\Akane... response:	How regrettable.
context: Crime Coefficient is under 20. Not a target for enforcement action.\The trigger will be locked.\Descartes said that those who are unable to make a decision\can't do so because either their desires are too great, or because they lack intellect.\What's wrong? If you don't hold the gun steady, you'll miss me.\Now, aim at me with killing intent.\Akane...\How regrettable. response:	How very regrettable, Inspector Tsunemori Akane.
context: The trigger will be locked.\Descartes said that those who are unable to make a decision\can't do so because either their desires are too great, or because they lack intellect.\What's wrong? If you don't hold the gun steady, you'll miss me.\Now, aim at me with killing intent.\Akane...\How regrettable.\How very regrettable, Inspector Tsunemori Akane. response:	No!
context: Descartes said that those who are unable to make a decision\can't do so because either their desires are too great, or because they lack intellect.\What's wrong? If you don't hold the gun steady, you'll miss me.\Now, aim at me with killing intent.\Akane...\How regrettable.\How very regrettable, Inspector Tsunemori Akane.\No! response:	Help!
context: can't do so because either their desires are too great, or because they lack intellect.\What's wrong? If you don't hold the gun steady, you'll miss me.\Now, aim at me with killing intent.\Akane...\How regrettable.\How very regrettable, Inspector Tsunemori Akane.\No!\Help! response:	Akane!
context: What's wrong? If you don't hold the gun steady, you'll miss me.\Now, aim at me with killing intent.\Akane...\How regrettable.\How very regrettable, Inspector Tsunemori Akane.\No!\Help!\Akane! response:	You've disappointed me.
context: Now, aim at me with killing intent.\Akane...\How regrettable.\How very regrettable, Inspector Tsunemori Akane.\No!\Help!\Akane!\You've disappointed me. response:	So I'll have to punish you.
context: Akane...\How regrettable.\How very regrettable, Inspector Tsunemori Akane.\No!\Help!\Akane!\You've disappointed me.\So I'll have to punish you. response:	Don't...
context: How regrettable.\How very regrettable, Inspector Tsunemori Akane.\No!\Help!\Akane!\You've disappointed me.\So I'll have to punish you.\Don't... response:	Please!
context: How very regrettable, Inspector Tsunemori Akane.\No!\Help!\Akane!\You've disappointed me.\So I'll have to punish you.\Don't...\Please! response:	Regret your helplessness, and despair.
context: No!\Help!\Akane!\You've disappointed me.\So I'll have to punish you.\Don't...\Please!\Regret your helplessness, and despair. response:	Crime Coefficient is 0. Not a target for enforcement action.
context: Help!\Akane!\You've disappointed me.\So I'll have to punish you.\Don't...\Please!\Regret your helplessness, and despair.\Crime Coefficient is 0. Not a target for enforcement action. response:	The trigger will be locked.
context: Akane!\You've disappointed me.\So I'll have to punish you.\Don't...\Please!\Regret your helplessness, and despair.\Crime Coefficient is 0. Not a target for enforcement action.\The trigger will be locked. response:	Stop it!
context: You've disappointed me.\So I'll have to punish you.\Don't...\Please!\Regret your helplessness, and despair.\Crime Coefficient is 0. Not a target for enforcement action.\The trigger will be locked.\Stop it! response:	Missy?!
context: So I'll have to punish you.\Don't...\Please!\Regret your helplessness, and despair.\Crime Coefficient is 0. Not a target for enforcement action.\The trigger will be locked.\Stop it!\Missy?! response:	You've come to?
context: Don't...\Please!\Regret your helplessness, and despair.\Crime Coefficient is 0. Not a target for enforcement action.\The trigger will be locked.\Stop it!\Missy?!\You've come to? response:	Where's Inspector Tsunemori?
context: Please!\Regret your helplessness, and despair.\Crime Coefficient is 0. Not a target for enforcement action.\The trigger will be locked.\Stop it!\Missy?!\You've come to?\Where's Inspector Tsunemori? response:	I just stood there and let Yuki die...
context: Regret your helplessness, and despair.\Crime Coefficient is 0. Not a target for enforcement action.\The trigger will be locked.\Stop it!\Missy?!\You've come to?\Where's Inspector Tsunemori?\I just stood there and let Yuki die... response:	I just stood there and let Yuki die...
context: Crime Coefficient is 0. Not a target for enforcement action.\The trigger will be locked.\Stop it!\Missy?!\You've come to?\Where's Inspector Tsunemori?\I just stood there and let Yuki die...\I just stood there and let Yuki die... response:	What happened?
context: The trigger will be locked.\Stop it!\Missy?!\You've come to?\Where's Inspector Tsunemori?\I just stood there and let Yuki die...\I just stood there and let Yuki die...\What happened? response:	I met...
context: Stop it!\Missy?!\You've come to?\Where's Inspector Tsunemori?\I just stood there and let Yuki die...\I just stood there and let Yuki die...\What happened?\I met... response:	that man.
context: Missy?!\You've come to?\Where's Inspector Tsunemori?\I just stood there and let Yuki die...\I just stood there and let Yuki die...\What happened?\I met...\that man. response:	That man?
context: You've come to?\Where's Inspector Tsunemori?\I just stood there and let Yuki die...\I just stood there and let Yuki die...\What happened?\I met...\that man.\That man? response:	Makishima Shougo.
context: Where's Inspector Tsunemori?\I just stood there and let Yuki die...\I just stood there and let Yuki die...\What happened?\I met...\that man.\That man?\Makishima Shougo. response:	The Dominators...
context: I just stood there and let Yuki die...\I just stood there and let Yuki die...\What happened?\I met...\that man.\That man?\Makishima Shougo.\The Dominators... response:	can't judge him!
context: I just stood there and let Yuki die...\What happened?\I met...\that man.\That man?\Makishima Shougo.\The Dominators...\can't judge him! response:	It seems all fairy tales are dead
context: What happened?\I met...\that man.\That man?\Makishima Shougo.\The Dominators...\can't judge him!\It seems all fairy tales are dead response:	It seems all fairy tales are dead
context: I met...\that man.\That man?\Makishima Shougo.\The Dominators...\can't judge him!\It seems all fairy tales are dead\It seems all fairy tales are dead response:	In a hospital ward of brick stones
context: that man.\That man?\Makishima Shougo.\The Dominators...\can't judge him!\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones response:	my voice is too coarse to sing
context: That man?\Makishima Shougo.\The Dominators...\can't judge him!\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing response:	Outside in the foggy haze
context: Makishima Shougo.\The Dominators...\can't judge him!\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze response:	a red moon glows
context: The Dominators...\can't judge him!\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows response:	Look at me
context: can't judge him!\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me response:	Do not avert your gaze
context: It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze response:	Behind black bars
context: It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars response:	I was born
context: In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born response:	I wish there were a punishment for evil
context: my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil response:	Always I need you
context: Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you response:	Now, grant us justice
context: a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice response:	before chaos takes us all
context: Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all response:	Pay the price of fate and be rewarded, nameless beast
context: Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast response:	Black rain falls from the sky
context: Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky response:	and I remain forever unwanted
context: I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted response:	My crazed neurosis
context: I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted\My crazed neurosis response:	pulls me towards the sinful hellfire
context: Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted\My crazed neurosis\pulls me towards the sinful hellfire response:	Now, mete out justice
context: Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted\My crazed neurosis\pulls me towards the sinful hellfire\Now, mete out justice response:	Even my ever-bleeding wounds shall be my friend
context: before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted\My crazed neurosis\pulls me towards the sinful hellfire\Now, mete out justice\Even my ever-bleeding wounds shall be my friend response:	Let's accept who we are and walk together
context: Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted\My crazed neurosis\pulls me towards the sinful hellfire\Now, mete out justice\Even my ever-bleeding wounds shall be my friend\Let's accept who we are and walk together response:	We, who are nameless beasts
context: Black rain falls from the sky\and I remain forever unwanted\My crazed neurosis\pulls me towards the sinful hellfire\Now, mete out justice\Even my ever-bleeding wounds shall be my friend\Let's accept who we are and walk together\We, who are nameless beasts response:	This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.
