context: But you don't have to be scared. response:	Only Xin Nu and I know about this.
context: When did you enter the palace?\When I was 17 years old.\When I was in my resting quarters, I was trying to recall how we first met\but I couldn't remember anything.\Even though you're already an honored lady\and you have already slept with me\I can't remember the night when you first became my wife.\Do you hate me for it? response:	I wouldn't dare.
context: When I was 17 years old.\When I was in my resting quarters, I was trying to recall how we first met\but I couldn't remember anything.\Even though you're already an honored lady\and you have already slept with me\I can't remember the night when you first became my wife.\Do you hate me for it?\I wouldn't dare. response:	You have many things to deal with.
context: When I was in my resting quarters, I was trying to recall how we first met\but I couldn't remember anything.\Even though you're already an honored lady\and you have already slept with me\I can't remember the night when you first became my wife.\Do you hate me for it?\I wouldn't dare.\You have many things to deal with. response:	I wouldn't dare.
context: but I couldn't remember anything.\Even though you're already an honored lady\and you have already slept with me\I can't remember the night when you first became my wife.\Do you hate me for it?\I wouldn't dare.\You have many things to deal with.\I wouldn't dare. response:	What is Your Majesty looking at?
context: Even though you're already an honored lady\and you have already slept with me\I can't remember the night when you first became my wife.\Do you hate me for it?\I wouldn't dare.\You have many things to deal with.\I wouldn't dare.\What is Your Majesty looking at? response:	I heard from the empress that
context: and you have already slept with me\I can't remember the night when you first became my wife.\Do you hate me for it?\I wouldn't dare.\You have many things to deal with.\I wouldn't dare.\What is Your Majesty looking at?\I heard from the empress that response:	I doted on you back then because you were excellent at go.
context: I can't remember the night when you first became my wife.\Do you hate me for it?\I wouldn't dare.\You have many things to deal with.\I wouldn't dare.\What is Your Majesty looking at?\I heard from the empress that\I doted on you back then because you were excellent at go. response:	What?
context: Do you hate me for it?\I wouldn't dare.\You have many things to deal with.\I wouldn't dare.\What is Your Majesty looking at?\I heard from the empress that\I doted on you back then because you were excellent at go.\What? response:	After falling into the water, you forgot how to play go?
context: I wouldn't dare.\You have many things to deal with.\I wouldn't dare.\What is Your Majesty looking at?\I heard from the empress that\I doted on you back then because you were excellent at go.\What?\After falling into the water, you forgot how to play go? response:	Maybe Her Highness was mistaken.
context: You have many things to deal with.\I wouldn't dare.\What is Your Majesty looking at?\I heard from the empress that\I doted on you back then because you were excellent at go.\What?\After falling into the water, you forgot how to play go?\Maybe Her Highness was mistaken. response:	My expertise is in cooking, not games.
context: I wouldn't dare.\What is Your Majesty looking at?\I heard from the empress that\I doted on you back then because you were excellent at go.\What?\After falling into the water, you forgot how to play go?\Maybe Her Highness was mistaken.\My expertise is in cooking, not games. response:	Oh?
context: What is Your Majesty looking at?\I heard from the empress that\I doted on you back then because you were excellent at go.\What?\After falling into the water, you forgot how to play go?\Maybe Her Highness was mistaken.\My expertise is in cooking, not games.\Oh? response:	Then when I wake up tomorrow, will I be able to eat a meal that you've cooked?
context: I heard from the empress that\I doted on you back then because you were excellent at go.\What?\After falling into the water, you forgot how to play go?\Maybe Her Highness was mistaken.\My expertise is in cooking, not games.\Oh?\Then when I wake up tomorrow, will I be able to eat a meal that you've cooked? response:	Your Majesty, you're really going to spend the night here?
context: I doted on you back then because you were excellent at go.\What?\After falling into the water, you forgot how to play go?\Maybe Her Highness was mistaken.\My expertise is in cooking, not games.\Oh?\Then when I wake up tomorrow, will I be able to eat a meal that you've cooked?\Your Majesty, you're really going to spend the night here? response:	Is something inappropriate about that?
context: What?\After falling into the water, you forgot how to play go?\Maybe Her Highness was mistaken.\My expertise is in cooking, not games.\Oh?\Then when I wake up tomorrow, will I be able to eat a meal that you've cooked?\Your Majesty, you're really going to spend the night here?\Is something inappropriate about that? response:	No.
context: After falling into the water, you forgot how to play go?\Maybe Her Highness was mistaken.\My expertise is in cooking, not games.\Oh?\Then when I wake up tomorrow, will I be able to eat a meal that you've cooked?\Your Majesty, you're really going to spend the night here?\Is something inappropriate about that?\No. response:	Do you blame me for giving you the cold shoulder back then?
context: Maybe Her Highness was mistaken.\My expertise is in cooking, not games.\Oh?\Then when I wake up tomorrow, will I be able to eat a meal that you've cooked?\Your Majesty, you're really going to spend the night here?\Is something inappropriate about that?\No.\Do you blame me for giving you the cold shoulder back then? response:	You have many things to deal with.
context: My expertise is in cooking, not games.\Oh?\Then when I wake up tomorrow, will I be able to eat a meal that you've cooked?\Your Majesty, you're really going to spend the night here?\Is something inappropriate about that?\No.\Do you blame me for giving you the cold shoulder back then?\You have many things to deal with. response:	How could I dare to-
context: Oh?\Then when I wake up tomorrow, will I be able to eat a meal that you've cooked?\Your Majesty, you're really going to spend the night here?\Is something inappropriate about that?\No.\Do you blame me for giving you the cold shoulder back then?\You have many things to deal with.\How could I dare to- response:	Is that all you know how to say?
context: Then when I wake up tomorrow, will I be able to eat a meal that you've cooked?\Your Majesty, you're really going to spend the night here?\Is something inappropriate about that?\No.\Do you blame me for giving you the cold shoulder back then?\You have many things to deal with.\How could I dare to-\Is that all you know how to say? response:	What should I do?
context: Your Majesty, you're really going to spend the night here?\Is something inappropriate about that?\No.\Do you blame me for giving you the cold shoulder back then?\You have many things to deal with.\How could I dare to-\Is that all you know how to say?\What should I do? response:	The people of Qing Qiu have always been simple and honest
context: Is something inappropriate about that?\No.\Do you blame me for giving you the cold shoulder back then?\You have many things to deal with.\How could I dare to-\Is that all you know how to say?\What should I do?\The people of Qing Qiu have always been simple and honest response:	and only come together through mutual consent
context: No.\Do you blame me for giving you the cold shoulder back then?\You have many things to deal with.\How could I dare to-\Is that all you know how to say?\What should I do?\The people of Qing Qiu have always been simple and honest\and only come together through mutual consent response:	if Father finds out that Dijun and I...
context: Do you blame me for giving you the cold shoulder back then?\You have many things to deal with.\How could I dare to-\Is that all you know how to say?\What should I do?\The people of Qing Qiu have always been simple and honest\and only come together through mutual consent\if Father finds out that Dijun and I... response:	I'll give you a wedding ceremony.
context: You have many things to deal with.\How could I dare to-\Is that all you know how to say?\What should I do?\The people of Qing Qiu have always been simple and honest\and only come together through mutual consent\if Father finds out that Dijun and I...\I'll give you a wedding ceremony. response:	I'll marry you again in a ceremony according to commoner traditions.
context: How could I dare to-\Is that all you know how to say?\What should I do?\The people of Qing Qiu have always been simple and honest\and only come together through mutual consent\if Father finds out that Dijun and I...\I'll give you a wedding ceremony.\I'll marry you again in a ceremony according to commoner traditions. response:	Your Majesty, to do this without conforming to palace rules...
context: Is that all you know how to say?\What should I do?\The people of Qing Qiu have always been simple and honest\and only come together through mutual consent\if Father finds out that Dijun and I...\I'll give you a wedding ceremony.\I'll marry you again in a ceremony according to commoner traditions.\Your Majesty, to do this without conforming to palace rules... response:	If Her Highness finds out, I'm afraid she'll blame me.
context: What should I do?\The people of Qing Qiu have always been simple and honest\and only come together through mutual consent\if Father finds out that Dijun and I...\I'll give you a wedding ceremony.\I'll marry you again in a ceremony according to commoner traditions.\Your Majesty, to do this without conforming to palace rules...\If Her Highness finds out, I'm afraid she'll blame me. response:	No one in this palace will ever dare to make things hard for you again.
context: The people of Qing Qiu have always been simple and honest\and only come together through mutual consent\if Father finds out that Dijun and I...\I'll give you a wedding ceremony.\I'll marry you again in a ceremony according to commoner traditions.\Your Majesty, to do this without conforming to palace rules...\If Her Highness finds out, I'm afraid she'll blame me.\No one in this palace will ever dare to make things hard for you again. response:	Crown Prince. Third Prince...
context: and only come together through mutual consent\if Father finds out that Dijun and I...\I'll give you a wedding ceremony.\I'll marry you again in a ceremony according to commoner traditions.\Your Majesty, to do this without conforming to palace rules...\If Her Highness finds out, I'm afraid she'll blame me.\No one in this palace will ever dare to make things hard for you again.\Crown Prince. Third Prince... response:	The message you gave Bai Feng Jiu was full of mistakes.
context: if Father finds out that Dijun and I...\I'll give you a wedding ceremony.\I'll marry you again in a ceremony according to commoner traditions.\Your Majesty, to do this without conforming to palace rules...\If Her Highness finds out, I'm afraid she'll blame me.\No one in this palace will ever dare to make things hard for you again.\Crown Prince. Third Prince...\The message you gave Bai Feng Jiu was full of mistakes. response:	Are you hiding something from me?
context: I'll give you a wedding ceremony.\I'll marry you again in a ceremony according to commoner traditions.\Your Majesty, to do this without conforming to palace rules...\If Her Highness finds out, I'm afraid she'll blame me.\No one in this palace will ever dare to make things hard for you again.\Crown Prince. Third Prince...\The message you gave Bai Feng Jiu was full of mistakes.\Are you hiding something from me? response:	Since you've seen through me, I'll just tell you.
context: I'll marry you again in a ceremony according to commoner traditions.\Your Majesty, to do this without conforming to palace rules...\If Her Highness finds out, I'm afraid she'll blame me.\No one in this palace will ever dare to make things hard for you again.\Crown Prince. Third Prince...\The message you gave Bai Feng Jiu was full of mistakes.\Are you hiding something from me?\Since you've seen through me, I'll just tell you. response:	Dong Hua Dijun went to the mortal realm to repay her debt of love.
context: Your Majesty, to do this without conforming to palace rules...\If Her Highness finds out, I'm afraid she'll blame me.\No one in this palace will ever dare to make things hard for you again.\Crown Prince. Third Prince...\The message you gave Bai Feng Jiu was full of mistakes.\Are you hiding something from me?\Since you've seen through me, I'll just tell you.\Dong Hua Dijun went to the mortal realm to repay her debt of love. response:	Debt of love?
context: If Her Highness finds out, I'm afraid she'll blame me.\No one in this palace will ever dare to make things hard for you again.\Crown Prince. Third Prince...\The message you gave Bai Feng Jiu was full of mistakes.\Are you hiding something from me?\Since you've seen through me, I'll just tell you.\Dong Hua Dijun went to the mortal realm to repay her debt of love.\Debt of love? response:	When Bai Feng Jiu was at Taichen Palace, she was deeply in love.
context: No one in this palace will ever dare to make things hard for you again.\Crown Prince. Third Prince...\The message you gave Bai Feng Jiu was full of mistakes.\Are you hiding something from me?\Since you've seen through me, I'll just tell you.\Dong Hua Dijun went to the mortal realm to repay her debt of love.\Debt of love?\When Bai Feng Jiu was at Taichen Palace, she was deeply in love. response:	But Dijun and Bai Feng Jiu aren't fated to be.
context: Crown Prince. Third Prince...\The message you gave Bai Feng Jiu was full of mistakes.\Are you hiding something from me?\Since you've seen through me, I'll just tell you.\Dong Hua Dijun went to the mortal realm to repay her debt of love.\Debt of love?\When Bai Feng Jiu was at Taichen Palace, she was deeply in love.\But Dijun and Bai Feng Jiu aren't fated to be. response:	So Dijun went to the mortal realm to give her a mortal love.
context: The message you gave Bai Feng Jiu was full of mistakes.\Are you hiding something from me?\Since you've seen through me, I'll just tell you.\Dong Hua Dijun went to the mortal realm to repay her debt of love.\Debt of love?\When Bai Feng Jiu was at Taichen Palace, she was deeply in love.\But Dijun and Bai Feng Jiu aren't fated to be.\So Dijun went to the mortal realm to give her a mortal love. response:	But this fate will only last a mortal's lifetime.
context: Are you hiding something from me?\Since you've seen through me, I'll just tell you.\Dong Hua Dijun went to the mortal realm to repay her debt of love.\Debt of love?\When Bai Feng Jiu was at Taichen Palace, she was deeply in love.\But Dijun and Bai Feng Jiu aren't fated to be.\So Dijun went to the mortal realm to give her a mortal love.\But this fate will only last a mortal's lifetime. response:	Nothing will come out of it.
context: Since you've seen through me, I'll just tell you.\Dong Hua Dijun went to the mortal realm to repay her debt of love.\Debt of love?\When Bai Feng Jiu was at Taichen Palace, she was deeply in love.\But Dijun and Bai Feng Jiu aren't fated to be.\So Dijun went to the mortal realm to give her a mortal love.\But this fate will only last a mortal's lifetime.\Nothing will come out of it. response:	So this time, you fulfilled Qian Qian's wish to help Yuan Zhen
context: Dong Hua Dijun went to the mortal realm to repay her debt of love.\Debt of love?\When Bai Feng Jiu was at Taichen Palace, she was deeply in love.\But Dijun and Bai Feng Jiu aren't fated to be.\So Dijun went to the mortal realm to give her a mortal love.\But this fate will only last a mortal's lifetime.\Nothing will come out of it.\So this time, you fulfilled Qian Qian's wish to help Yuan Zhen response:	and the wish of making Dong Hua Dijun and Bai Feng Jiu fated to be.
context: Debt of love?\When Bai Feng Jiu was at Taichen Palace, she was deeply in love.\But Dijun and Bai Feng Jiu aren't fated to be.\So Dijun went to the mortal realm to give her a mortal love.\But this fate will only last a mortal's lifetime.\Nothing will come out of it.\So this time, you fulfilled Qian Qian's wish to help Yuan Zhen\and the wish of making Dong Hua Dijun and Bai Feng Jiu fated to be. response:	Fortunately Bai Qian came up with this.
context: When Bai Feng Jiu was at Taichen Palace, she was deeply in love.\But Dijun and Bai Feng Jiu aren't fated to be.\So Dijun went to the mortal realm to give her a mortal love.\But this fate will only last a mortal's lifetime.\Nothing will come out of it.\So this time, you fulfilled Qian Qian's wish to help Yuan Zhen\and the wish of making Dong Hua Dijun and Bai Feng Jiu fated to be.\Fortunately Bai Qian came up with this. response:	Otherwise, I'd have to think of
context: But Dijun and Bai Feng Jiu aren't fated to be.\So Dijun went to the mortal realm to give her a mortal love.\But this fate will only last a mortal's lifetime.\Nothing will come out of it.\So this time, you fulfilled Qian Qian's wish to help Yuan Zhen\and the wish of making Dong Hua Dijun and Bai Feng Jiu fated to be.\Fortunately Bai Qian came up with this.\Otherwise, I'd have to think of response:	another way to make the mortal Dijun fall for Bai Feng Jiu.
context: So Dijun went to the mortal realm to give her a mortal love.\But this fate will only last a mortal's lifetime.\Nothing will come out of it.\So this time, you fulfilled Qian Qian's wish to help Yuan Zhen\and the wish of making Dong Hua Dijun and Bai Feng Jiu fated to be.\Fortunately Bai Qian came up with this.\Otherwise, I'd have to think of\another way to make the mortal Dijun fall for Bai Feng Jiu. response:	Your Highness.
context: But this fate will only last a mortal's lifetime.\Nothing will come out of it.\So this time, you fulfilled Qian Qian's wish to help Yuan Zhen\and the wish of making Dong Hua Dijun and Bai Feng Jiu fated to be.\Fortunately Bai Qian came up with this.\Otherwise, I'd have to think of\another way to make the mortal Dijun fall for Bai Feng Jiu.\Your Highness. response:	Your Highness.
context: Nothing will come out of it.\So this time, you fulfilled Qian Qian's wish to help Yuan Zhen\and the wish of making Dong Hua Dijun and Bai Feng Jiu fated to be.\Fortunately Bai Qian came up with this.\Otherwise, I'd have to think of\another way to make the mortal Dijun fall for Bai Feng Jiu.\Your Highness.\Your Highness. response:	I have results for what you had me investigate.
context: So this time, you fulfilled Qian Qian's wish to help Yuan Zhen\and the wish of making Dong Hua Dijun and Bai Feng Jiu fated to be.\Fortunately Bai Qian came up with this.\Otherwise, I'd have to think of\another way to make the mortal Dijun fall for Bai Feng Jiu.\Your Highness.\Your Highness.\I have results for what you had me investigate. response:	Tell me.
context: and the wish of making Dong Hua Dijun and Bai Feng Jiu fated to be.\Fortunately Bai Qian came up with this.\Otherwise, I'd have to think of\another way to make the mortal Dijun fall for Bai Feng Jiu.\Your Highness.\Your Highness.\I have results for what you had me investigate.\Tell me. response:	Those ambushed immortals don't have much in common except...
context: Fortunately Bai Qian came up with this.\Otherwise, I'd have to think of\another way to make the mortal Dijun fall for Bai Feng Jiu.\Your Highness.\Your Highness.\I have results for what you had me investigate.\Tell me.\Those ambushed immortals don't have much in common except... response:	they're all of high immortal rank.
context: Otherwise, I'd have to think of\another way to make the mortal Dijun fall for Bai Feng Jiu.\Your Highness.\Your Highness.\I have results for what you had me investigate.\Tell me.\Those ambushed immortals don't have much in common except...\they're all of high immortal rank. response:	High immortal rank?
context: another way to make the mortal Dijun fall for Bai Feng Jiu.\Your Highness.\Your Highness.\I have results for what you had me investigate.\Tell me.\Those ambushed immortals don't have much in common except...\they're all of high immortal rank.\High immortal rank? response:	Aunt, you're back.
context: Your Highness.\Your Highness.\I have results for what you had me investigate.\Tell me.\Those ambushed immortals don't have much in common except...\they're all of high immortal rank.\High immortal rank?\Aunt, you're back. response:	Mi Gu, without me sending you on errands these days
context: Your Highness.\I have results for what you had me investigate.\Tell me.\Those ambushed immortals don't have much in common except...\they're all of high immortal rank.\High immortal rank?\Aunt, you're back.\Mi Gu, without me sending you on errands these days response:	you've been living quite freely.
context: I have results for what you had me investigate.\Tell me.\Those ambushed immortals don't have much in common except...\they're all of high immortal rank.\High immortal rank?\Aunt, you're back.\Mi Gu, without me sending you on errands these days\you've been living quite freely. response:	Aunt, you came back yesterday and took care of something big.
context: Tell me.\Those ambushed immortals don't have much in common except...\they're all of high immortal rank.\High immortal rank?\Aunt, you're back.\Mi Gu, without me sending you on errands these days\you've been living quite freely.\Aunt, you came back yesterday and took care of something big. response:	Why are you saying it like you just came back?
context: Those ambushed immortals don't have much in common except...\they're all of high immortal rank.\High immortal rank?\Aunt, you're back.\Mi Gu, without me sending you on errands these days\you've been living quite freely.\Aunt, you came back yesterday and took care of something big.\Why are you saying it like you just came back? response:	I was still in the mortal realm yesterday. When did I come back?
context: they're all of high immortal rank.\High immortal rank?\Aunt, you're back.\Mi Gu, without me sending you on errands these days\you've been living quite freely.\Aunt, you came back yesterday and took care of something big.\Why are you saying it like you just came back?\I was still in the mortal realm yesterday. When did I come back? response:	That's not right. You came back...
context: High immortal rank?\Aunt, you're back.\Mi Gu, without me sending you on errands these days\you've been living quite freely.\Aunt, you came back yesterday and took care of something big.\Why are you saying it like you just came back?\I was still in the mortal realm yesterday. When did I come back?\That's not right. You came back... response:	I think you told me to stay at Fox Den and not go anywhere else.
context: Aunt, you're back.\Mi Gu, without me sending you on errands these days\you've been living quite freely.\Aunt, you came back yesterday and took care of something big.\Why are you saying it like you just came back?\I was still in the mortal realm yesterday. When did I come back?\That's not right. You came back...\I think you told me to stay at Fox Den and not go anywhere else. response:	Who put an enchanting spell on you?
context: Mi Gu, without me sending you on errands these days\you've been living quite freely.\Aunt, you came back yesterday and took care of something big.\Why are you saying it like you just came back?\I was still in the mortal realm yesterday. When did I come back?\That's not right. You came back...\I think you told me to stay at Fox Den and not go anywhere else.\Who put an enchanting spell on you? response:	Enchanting spell? There's no enchanting spell.
context: you've been living quite freely.\Aunt, you came back yesterday and took care of something big.\Why are you saying it like you just came back?\I was still in the mortal realm yesterday. When did I come back?\That's not right. You came back...\I think you told me to stay at Fox Den and not go anywhere else.\Who put an enchanting spell on you?\Enchanting spell? There's no enchanting spell. response:	What happened?
context: Aunt, you came back yesterday and took care of something big.\Why are you saying it like you just came back?\I was still in the mortal realm yesterday. When did I come back?\That's not right. You came back...\I think you told me to stay at Fox Den and not go anywhere else.\Who put an enchanting spell on you?\Enchanting spell? There's no enchanting spell.\What happened? response:	Aunt, you're finally back! Something horrible happened.
context: Why are you saying it like you just came back?\I was still in the mortal realm yesterday. When did I come back?\That's not right. You came back...\I think you told me to stay at Fox Den and not go anywhere else.\Who put an enchanting spell on you?\Enchanting spell? There's no enchanting spell.\What happened?\Aunt, you're finally back! Something horrible happened. response:	Xuan Nu took on your appearance and took away Mo Yuan's body
context: I was still in the mortal realm yesterday. When did I come back?\That's not right. You came back...\I think you told me to stay at Fox Den and not go anywhere else.\Who put an enchanting spell on you?\Enchanting spell? There's no enchanting spell.\What happened?\Aunt, you're finally back! Something horrible happened.\Xuan Nu took on your appearance and took away Mo Yuan's body response:	and Imperial great-grandson!
context: That's not right. You came back...\I think you told me to stay at Fox Den and not go anywhere else.\Who put an enchanting spell on you?\Enchanting spell? There's no enchanting spell.\What happened?\Aunt, you're finally back! Something horrible happened.\Xuan Nu took on your appearance and took away Mo Yuan's body\and Imperial great-grandson! response:	Fan, I'm afraid you'll get a taste of blood again today.
context: I think you told me to stay at Fox Den and not go anywhere else.\Who put an enchanting spell on you?\Enchanting spell? There's no enchanting spell.\What happened?\Aunt, you're finally back! Something horrible happened.\Xuan Nu took on your appearance and took away Mo Yuan's body\and Imperial great-grandson!\Fan, I'm afraid you'll get a taste of blood again today. response:	Aunt!
context: Who put an enchanting spell on you?\Enchanting spell? There's no enchanting spell.\What happened?\Aunt, you're finally back! Something horrible happened.\Xuan Nu took on your appearance and took away Mo Yuan's body\and Imperial great-grandson!\Fan, I'm afraid you'll get a taste of blood again today.\Aunt! response:	Why am I so inept? How could I let her go alone?
context: Enchanting spell? There's no enchanting spell.\What happened?\Aunt, you're finally back! Something horrible happened.\Xuan Nu took on your appearance and took away Mo Yuan's body\and Imperial great-grandson!\Fan, I'm afraid you'll get a taste of blood again today.\Aunt!\Why am I so inept? How could I let her go alone? response:	What should I do?
context: What happened?\Aunt, you're finally back! Something horrible happened.\Xuan Nu took on your appearance and took away Mo Yuan's body\and Imperial great-grandson!\Fan, I'm afraid you'll get a taste of blood again today.\Aunt!\Why am I so inept? How could I let her go alone?\What should I do? response:	Crown Prince. Yes, Crown Prince!
context: Aunt, you're finally back! Something horrible happened.\Xuan Nu took on your appearance and took away Mo Yuan's body\and Imperial great-grandson!\Fan, I'm afraid you'll get a taste of blood again today.\Aunt!\Why am I so inept? How could I let her go alone?\What should I do?\Crown Prince. Yes, Crown Prince! response:	Celestial high immortals keep getting killed.
context: Xuan Nu took on your appearance and took away Mo Yuan's body\and Imperial great-grandson!\Fan, I'm afraid you'll get a taste of blood again today.\Aunt!\Why am I so inept? How could I let her go alone?\What should I do?\Crown Prince. Yes, Crown Prince!\Celestial high immortals keep getting killed. response:	It must be because of that sick child born to the ghost queen.
context: and Imperial great-grandson!\Fan, I'm afraid you'll get a taste of blood again today.\Aunt!\Why am I so inept? How could I let her go alone?\What should I do?\Crown Prince. Yes, Crown Prince!\Celestial high immortals keep getting killed.\It must be because of that sick child born to the ghost queen. response:	What?
context: Fan, I'm afraid you'll get a taste of blood again today.\Aunt!\Why am I so inept? How could I let her go alone?\What should I do?\Crown Prince. Yes, Crown Prince!\Celestial high immortals keep getting killed.\It must be because of that sick child born to the ghost queen.\What? response:	It's a sinister kind of magic.
context: Aunt!\Why am I so inept? How could I let her go alone?\What should I do?\Crown Prince. Yes, Crown Prince!\Celestial high immortals keep getting killed.\It must be because of that sick child born to the ghost queen.\What?\It's a sinister kind of magic. response:	In the ancient times, there was a woman named Jie Yu.
context: Why am I so inept? How could I let her go alone?\What should I do?\Crown Prince. Yes, Crown Prince!\Celestial high immortals keep getting killed.\It must be because of that sick child born to the ghost queen.\What?\It's a sinister kind of magic.\In the ancient times, there was a woman named Jie Yu. response:	Because her murder aura was too strong all the children she birthed were ill.
context: What should I do?\Crown Prince. Yes, Crown Prince!\Celestial high immortals keep getting killed.\It must be because of that sick child born to the ghost queen.\What?\It's a sinister kind of magic.\In the ancient times, there was a woman named Jie Yu.\Because her murder aura was too strong all the children she birthed were ill. response:	So she came up with an idea.
context: Crown Prince. Yes, Crown Prince!\Celestial high immortals keep getting killed.\It must be because of that sick child born to the ghost queen.\What?\It's a sinister kind of magic.\In the ancient times, there was a woman named Jie Yu.\Because her murder aura was too strong all the children she birthed were ill.\So she came up with an idea. response:	She murdered high immortals
context: Celestial high immortals keep getting killed.\It must be because of that sick child born to the ghost queen.\What?\It's a sinister kind of magic.\In the ancient times, there was a woman named Jie Yu.\Because her murder aura was too strong all the children she birthed were ill.\So she came up with an idea.\She murdered high immortals response:	and turned their bodies into an elixir for her sick children to take.
context: It must be because of that sick child born to the ghost queen.\What?\It's a sinister kind of magic.\In the ancient times, there was a woman named Jie Yu.\Because her murder aura was too strong all the children she birthed were ill.\So she came up with an idea.\She murdered high immortals\and turned their bodies into an elixir for her sick children to take. response:	Her children were able to recover.
context: What?\It's a sinister kind of magic.\In the ancient times, there was a woman named Jie Yu.\Because her murder aura was too strong all the children she birthed were ill.\So she came up with an idea.\She murdered high immortals\and turned their bodies into an elixir for her sick children to take.\Her children were able to recover. response:	How could such vicious magic exist?
context: It's a sinister kind of magic.\In the ancient times, there was a woman named Jie Yu.\Because her murder aura was too strong all the children she birthed were ill.\So she came up with an idea.\She murdered high immortals\and turned their bodies into an elixir for her sick children to take.\Her children were able to recover.\How could such vicious magic exist? response:	To be able to control so many puppets
context: In the ancient times, there was a woman named Jie Yu.\Because her murder aura was too strong all the children she birthed were ill.\So she came up with an idea.\She murdered high immortals\and turned their bodies into an elixir for her sick children to take.\Her children were able to recover.\How could such vicious magic exist?\To be able to control so many puppets response:	and to have the audacity to kill high immortals...
context: Because her murder aura was too strong all the children she birthed were ill.\So she came up with an idea.\She murdered high immortals\and turned their bodies into an elixir for her sick children to take.\Her children were able to recover.\How could such vicious magic exist?\To be able to control so many puppets\and to have the audacity to kill high immortals... response:	I don't think it's Ghost Lord Li Jing.
context: So she came up with an idea.\She murdered high immortals\and turned their bodies into an elixir for her sick children to take.\Her children were able to recover.\How could such vicious magic exist?\To be able to control so many puppets\and to have the audacity to kill high immortals...\I don't think it's Ghost Lord Li Jing. response:	Rather, it must be the Ghost Queen Xuan Nu
context: She murdered high immortals\and turned their bodies into an elixir for her sick children to take.\Her children were able to recover.\How could such vicious magic exist?\To be able to control so many puppets\and to have the audacity to kill high immortals...\I don't think it's Ghost Lord Li Jing.\Rather, it must be the Ghost Queen Xuan Nu response:	who betrayed Kunlun Mountain and the Celestial Tribe 70,000 years ago.
context: and turned their bodies into an elixir for her sick children to take.\Her children were able to recover.\How could such vicious magic exist?\To be able to control so many puppets\and to have the audacity to kill high immortals...\I don't think it's Ghost Lord Li Jing.\Rather, it must be the Ghost Queen Xuan Nu\who betrayed Kunlun Mountain and the Celestial Tribe 70,000 years ago. response:	If it's Xuan Nu's doing, Li Jing must be somewhat responsible as well.
context: Her children were able to recover.\How could such vicious magic exist?\To be able to control so many puppets\and to have the audacity to kill high immortals...\I don't think it's Ghost Lord Li Jing.\Rather, it must be the Ghost Queen Xuan Nu\who betrayed Kunlun Mountain and the Celestial Tribe 70,000 years ago.\If it's Xuan Nu's doing, Li Jing must be somewhat responsible as well. response:	I'll go and report this to Father right now.
context: How could such vicious magic exist?\To be able to control so many puppets\and to have the audacity to kill high immortals...\I don't think it's Ghost Lord Li Jing.\Rather, it must be the Ghost Queen Xuan Nu\who betrayed Kunlun Mountain and the Celestial Tribe 70,000 years ago.\If it's Xuan Nu's doing, Li Jing must be somewhat responsible as well.\I'll go and report this to Father right now. response:	Third Uncle, wait.
context: To be able to control so many puppets\and to have the audacity to kill high immortals...\I don't think it's Ghost Lord Li Jing.\Rather, it must be the Ghost Queen Xuan Nu\who betrayed Kunlun Mountain and the Celestial Tribe 70,000 years ago.\If it's Xuan Nu's doing, Li Jing must be somewhat responsible as well.\I'll go and report this to Father right now.\Third Uncle, wait. response:	This is a huge matter between two tribes.
context: and to have the audacity to kill high immortals...\I don't think it's Ghost Lord Li Jing.\Rather, it must be the Ghost Queen Xuan Nu\who betrayed Kunlun Mountain and the Celestial Tribe 70,000 years ago.\If it's Xuan Nu's doing, Li Jing must be somewhat responsible as well.\I'll go and report this to Father right now.\Third Uncle, wait.\This is a huge matter between two tribes. response:	We can't come to a conclusion solely from my speculation.
context: I don't think it's Ghost Lord Li Jing.\Rather, it must be the Ghost Queen Xuan Nu\who betrayed Kunlun Mountain and the Celestial Tribe 70,000 years ago.\If it's Xuan Nu's doing, Li Jing must be somewhat responsible as well.\I'll go and report this to Father right now.\Third Uncle, wait.\This is a huge matter between two tribes.\We can't come to a conclusion solely from my speculation. response:	Wait until I go to Grand Ziming Palace to investigate.
context: Rather, it must be the Ghost Queen Xuan Nu\who betrayed Kunlun Mountain and the Celestial Tribe 70,000 years ago.\If it's Xuan Nu's doing, Li Jing must be somewhat responsible as well.\I'll go and report this to Father right now.\Third Uncle, wait.\This is a huge matter between two tribes.\We can't come to a conclusion solely from my speculation.\Wait until I go to Grand Ziming Palace to investigate. response:	Okay. Then let's go together after the Feast of Peaches.
context: who betrayed Kunlun Mountain and the Celestial Tribe 70,000 years ago.\If it's Xuan Nu's doing, Li Jing must be somewhat responsible as well.\I'll go and report this to Father right now.\Third Uncle, wait.\This is a huge matter between two tribes.\We can't come to a conclusion solely from my speculation.\Wait until I go to Grand Ziming Palace to investigate.\Okay. Then let's go together after the Feast of Peaches. response:	This entrance to the palace was heavily guarded 70,000 years ago.
context: If it's Xuan Nu's doing, Li Jing must be somewhat responsible as well.\I'll go and report this to Father right now.\Third Uncle, wait.\This is a huge matter between two tribes.\We can't come to a conclusion solely from my speculation.\Wait until I go to Grand Ziming Palace to investigate.\Okay. Then let's go together after the Feast of Peaches.\This entrance to the palace was heavily guarded 70,000 years ago. response:	But today, no one is here to guard it?
