context: A tall, tall wall looms in front of me. response:	What's the view on the other side?
context: Stop it. We're in a game.\Scary.\Kita-Ichi's setter is good,\but it's like he's playing out there all by himself.\All right.\Service ace again.\Not yet.\He won't get that. response:	It hasn't dropped yet.
context: Scary.\Kita-Ichi's setter is good,\but it's like he's playing out there all by himself.\All right.\Service ace again.\Not yet.\He won't get that.\It hasn't dropped yet. response:	Not yet.
context: Kita-Ichi's setter is good,\but it's like he's playing out there all by himself.\All right.\Service ace again.\Not yet.\He won't get that.\It hasn't dropped yet.\Not yet. response:	Sho-chan!
context: but it's like he's playing out there all by himself.\All right.\Service ace again.\Not yet.\He won't get that.\It hasn't dropped yet.\Not yet.\Sho-chan! response:	Wow. Looks painful.
context: All right.\Service ace again.\Not yet.\He won't get that.\It hasn't dropped yet.\Not yet.\Sho-chan!\Wow. Looks painful. response:	He's trying hard.
context: Service ace again.\Not yet.\He won't get that.\It hasn't dropped yet.\Not yet.\Sho-chan!\Wow. Looks painful.\He's trying hard. response:	One more point and it's curtains for Yukigaoka.
context: Not yet.\He won't get that.\It hasn't dropped yet.\Not yet.\Sho-chan!\Wow. Looks painful.\He's trying hard.\One more point and it's curtains for Yukigaoka. response:	Yeah.
context: He won't get that.\It hasn't dropped yet.\Not yet.\Sho-chan!\Wow. Looks painful.\He's trying hard.\One more point and it's curtains for Yukigaoka.\Yeah. response:	Damn it...
context: It hasn't dropped yet.\Not yet.\Sho-chan!\Wow. Looks painful.\He's trying hard.\One more point and it's curtains for Yukigaoka.\Yeah.\Damn it... response:	Excuse me, um... I...
context: Not yet.\Sho-chan!\Wow. Looks painful.\He's trying hard.\One more point and it's curtains for Yukigaoka.\Yeah.\Damn it...\Excuse me, um... I... response:	Sorry. I'll get the next one.
context: Sho-chan!\Wow. Looks painful.\He's trying hard.\One more point and it's curtains for Yukigaoka.\Yeah.\Damn it...\Excuse me, um... I...\Sorry. I'll get the next one. response:	Um!
context: Wow. Looks painful.\He's trying hard.\One more point and it's curtains for Yukigaoka.\Yeah.\Damn it...\Excuse me, um... I...\Sorry. I'll get the next one.\Um! response:	We don't want to get injured.
context: He's trying hard.\One more point and it's curtains for Yukigaoka.\Yeah.\Damn it...\Excuse me, um... I...\Sorry. I'll get the next one.\Um!\We don't want to get injured. response:	We're out of their league to begin with...
context: One more point and it's curtains for Yukigaoka.\Yeah.\Damn it...\Excuse me, um... I...\Sorry. I'll get the next one.\Um!\We don't want to get injured.\We're out of their league to begin with... response:	One more, same way.
context: Yeah.\Damn it...\Excuse me, um... I...\Sorry. I'll get the next one.\Um!\We don't want to get injured.\We're out of their league to begin with...\One more, same way. response:	Why must you do this?
context: Damn it...\Excuse me, um... I...\Sorry. I'll get the next one.\Um!\We don't want to get injured.\We're out of their league to begin with...\One more, same way.\Why must you do this? response:	Um... what?
context: Excuse me, um... I...\Sorry. I'll get the next one.\Um!\We don't want to get injured.\We're out of their league to begin with...\One more, same way.\Why must you do this?\Um... what? response:	Huh?
context: Sorry. I'll get the next one.\Um!\We don't want to get injured.\We're out of their league to begin with...\One more, same way.\Why must you do this?\Um... what?\Huh? response:	I don't know what you mean.
context: Um!\We don't want to get injured.\We're out of their league to begin with...\One more, same way.\Why must you do this?\Um... what?\Huh?\I don't know what you mean. response:	But...
context: We don't want to get injured.\We're out of their league to begin with...\One more, same way.\Why must you do this?\Um... what?\Huh?\I don't know what you mean.\But... response:	we haven't lost yet.
context: We're out of their league to begin with...\One more, same way.\Why must you do this?\Um... what?\Huh?\I don't know what you mean.\But...\we haven't lost yet. response:	That's right. It's simple.
context: One more, same way.\Why must you do this?\Um... what?\Huh?\I don't know what you mean.\But...\we haven't lost yet.\That's right. It's simple. response:	No matter how challenging the volley,
context: Why must you do this?\Um... what?\Huh?\I don't know what you mean.\But...\we haven't lost yet.\That's right. It's simple.\No matter how challenging the volley, response:	there's only one reason we chase the ball.
context: Um... what?\Huh?\I don't know what you mean.\But...\we haven't lost yet.\That's right. It's simple.\No matter how challenging the volley,\there's only one reason we chase the ball. response:	Koji.
context: Huh?\I don't know what you mean.\But...\we haven't lost yet.\That's right. It's simple.\No matter how challenging the volley,\there's only one reason we chase the ball.\Koji. response:	The ball hasn't hit the court yet.
context: I don't know what you mean.\But...\we haven't lost yet.\That's right. It's simple.\No matter how challenging the volley,\there's only one reason we chase the ball.\Koji.\The ball hasn't hit the court yet. response:	Sho-chan.
context: But...\we haven't lost yet.\That's right. It's simple.\No matter how challenging the volley,\there's only one reason we chase the ball.\Koji.\The ball hasn't hit the court yet.\Sho-chan. response:	There's only one reason we continue fighting.
context: we haven't lost yet.\That's right. It's simple.\No matter how challenging the volley,\there's only one reason we chase the ball.\Koji.\The ball hasn't hit the court yet.\Sho-chan.\There's only one reason we continue fighting. response:	Because we haven't lost yet.
context: That's right. It's simple.\No matter how challenging the volley,\there's only one reason we chase the ball.\Koji.\The ball hasn't hit the court yet.\Sho-chan.\There's only one reason we continue fighting.\Because we haven't lost yet. response:	One touch!
context: No matter how challenging the volley,\there's only one reason we chase the ball.\Koji.\The ball hasn't hit the court yet.\Sho-chan.\There's only one reason we continue fighting.\Because we haven't lost yet.\One touch! response:	You touched it!
context: there's only one reason we chase the ball.\Koji.\The ball hasn't hit the court yet.\Sho-chan.\There's only one reason we continue fighting.\Because we haven't lost yet.\One touch!\You touched it! response:	Cover it!
context: Koji.\The ball hasn't hit the court yet.\Sho-chan.\There's only one reason we continue fighting.\Because we haven't lost yet.\One touch!\You touched it!\Cover it! response:	I can't do this...
context: The ball hasn't hit the court yet.\Sho-chan.\There's only one reason we continue fighting.\Because we haven't lost yet.\One touch!\You touched it!\Cover it!\I can't do this... response:	Score.
context: Sho-chan.\There's only one reason we continue fighting.\Because we haven't lost yet.\One touch!\You touched it!\Cover it!\I can't do this...\Score. response:	- Yukigaoka Kitagawa Daiichi
context: There's only one reason we continue fighting.\Because we haven't lost yet.\One touch!\You touched it!\Cover it!\I can't do this...\Score.\- Yukigaoka Kitagawa Daiichi response:	Don't give up on the ball!
context: Because we haven't lost yet.\One touch!\You touched it!\Cover it!\I can't do this...\Score.\- Yukigaoka Kitagawa Daiichi\Don't give up on the ball! response:	M-My bad.
context: One touch!\You touched it!\Cover it!\I can't do this...\Score.\- Yukigaoka Kitagawa Daiichi\Don't give up on the ball!\M-My bad. response:	We haven't won yet. You can't let down your guard.
context: You touched it!\Cover it!\I can't do this...\Score.\- Yukigaoka Kitagawa Daiichi\Don't give up on the ball!\M-My bad.\We haven't won yet. You can't let down your guard. response:	I know, but look at the points.
context: Cover it!\I can't do this...\Score.\- Yukigaoka Kitagawa Daiichi\Don't give up on the ball!\M-My bad.\We haven't won yet. You can't let down your guard.\I know, but look at the points. response:	Not unless a miracle happens...
context: I can't do this...\Score.\- Yukigaoka Kitagawa Daiichi\Don't give up on the ball!\M-My bad.\We haven't won yet. You can't let down your guard.\I know, but look at the points.\Not unless a miracle happens... response:	That last point was no miracle.
context: Score.\- Yukigaoka Kitagawa Daiichi\Don't give up on the ball!\M-My bad.\We haven't won yet. You can't let down your guard.\I know, but look at the points.\Not unless a miracle happens...\That last point was no miracle. response:	He scored a genuine point.
context: - Yukigaoka Kitagawa Daiichi\Don't give up on the ball!\M-My bad.\We haven't won yet. You can't let down your guard.\I know, but look at the points.\Not unless a miracle happens...\That last point was no miracle.\He scored a genuine point. response:	That guy. He scored a genuine point.
context: Don't give up on the ball!\M-My bad.\We haven't won yet. You can't let down your guard.\I know, but look at the points.\Not unless a miracle happens...\That last point was no miracle.\He scored a genuine point.\That guy. He scored a genuine point. response:	Well, sure, but...
context: M-My bad.\We haven't won yet. You can't let down your guard.\I know, but look at the points.\Not unless a miracle happens...\That last point was no miracle.\He scored a genuine point.\That guy. He scored a genuine point.\Well, sure, but... response:	As long as we don't give up...
context: We haven't won yet. You can't let down your guard.\I know, but look at the points.\Not unless a miracle happens...\That last point was no miracle.\He scored a genuine point.\That guy. He scored a genuine point.\Well, sure, but...\As long as we don't give up... response:	It's in the net!
context: I know, but look at the points.\Not unless a miracle happens...\That last point was no miracle.\He scored a genuine point.\That guy. He scored a genuine point.\Well, sure, but...\As long as we don't give up...\It's in the net! response:	It's dropping, forward, forward!
context: Not unless a miracle happens...\That last point was no miracle.\He scored a genuine point.\That guy. He scored a genuine point.\Well, sure, but...\As long as we don't give up...\It's in the net!\It's dropping, forward, forward! response:	All right, Sho-chan, we're counting on you.
context: That last point was no miracle.\He scored a genuine point.\That guy. He scored a genuine point.\Well, sure, but...\As long as we don't give up...\It's in the net!\It's dropping, forward, forward!\All right, Sho-chan, we're counting on you. response:	Toss miss?
context: He scored a genuine point.\That guy. He scored a genuine point.\Well, sure, but...\As long as we don't give up...\It's in the net!\It's dropping, forward, forward!\All right, Sho-chan, we're counting on you.\Toss miss? response:	There was no double hit.
context: That guy. He scored a genuine point.\Well, sure, but...\As long as we don't give up...\It's in the net!\It's dropping, forward, forward!\All right, Sho-chan, we're counting on you.\Toss miss?\There was no double hit. response:	But there was no one there...
context: Well, sure, but...\As long as we don't give up...\It's in the net!\It's dropping, forward, forward!\All right, Sho-chan, we're counting on you.\Toss miss?\There was no double hit.\But there was no one there... response:	We should've been on the left.
context: As long as we don't give up...\It's in the net!\It's dropping, forward, forward!\All right, Sho-chan, we're counting on you.\Toss miss?\There was no double hit.\But there was no one there...\We should've been on the left. response:	We had it marked.
context: It's in the net!\It's dropping, forward, forward!\All right, Sho-chan, we're counting on you.\Toss miss?\There was no double hit.\But there was no one there...\We should've been on the left.\We had it marked. response:	So why...
context: It's dropping, forward, forward!\All right, Sho-chan, we're counting on you.\Toss miss?\There was no double hit.\But there was no one there...\We should've been on the left.\We had it marked.\So why... response:	why is he here?
context: All right, Sho-chan, we're counting on you.\Toss miss?\There was no double hit.\But there was no one there...\We should've been on the left.\We had it marked.\So why...\why is he here? response:	Sho-chan!
context: Toss miss?\There was no double hit.\But there was no one there...\We should've been on the left.\We had it marked.\So why...\why is he here?\Sho-chan! response:	You there, are you all right?
context: There was no double hit.\But there was no one there...\We should've been on the left.\We had it marked.\So why...\why is he here?\Sho-chan!\You there, are you all right? response:	O-Out?
context: But there was no one there...\We should've been on the left.\We had it marked.\So why...\why is he here?\Sho-chan!\You there, are you all right?\O-Out? response:	Sho-chan, are you hurt?
context: We should've been on the left.\We had it marked.\So why...\why is he here?\Sho-chan!\You there, are you all right?\O-Out?\Sho-chan, are you hurt? response:	This guy overwhelms me.
context: We had it marked.\So why...\why is he here?\Sho-chan!\You there, are you all right?\O-Out?\Sho-chan, are you hurt?\This guy overwhelms me. response:	We scored only because their setter missed.
context: So why...\why is he here?\Sho-chan!\You there, are you all right?\O-Out?\Sho-chan, are you hurt?\This guy overwhelms me.\We scored only because their setter missed. response:	He knew there was no back set,
context: why is he here?\Sho-chan!\You there, are you all right?\O-Out?\Sho-chan, are you hurt?\This guy overwhelms me.\We scored only because their setter missed.\He knew there was no back set, response:	yet he still hit the ball?
context: Sho-chan!\You there, are you all right?\O-Out?\Sho-chan, are you hurt?\This guy overwhelms me.\We scored only because their setter missed.\He knew there was no back set,\yet he still hit the ball? response:	He was able to handle that toss?
context: You there, are you all right?\O-Out?\Sho-chan, are you hurt?\This guy overwhelms me.\We scored only because their setter missed.\He knew there was no back set,\yet he still hit the ball?\He was able to handle that toss? response:	Sho-chan. We have to line up.
context: O-Out?\Sho-chan, are you hurt?\This guy overwhelms me.\We scored only because their setter missed.\He knew there was no back set,\yet he still hit the ball?\He was able to handle that toss?\Sho-chan. We have to line up. response:	High level of physical agility and reflexes.
context: Sho-chan, are you hurt?\This guy overwhelms me.\We scored only because their setter missed.\He knew there was no back set,\yet he still hit the ball?\He was able to handle that toss?\Sho-chan. We have to line up.\High level of physical agility and reflexes. response:	Hey, Kageyama.
context: This guy overwhelms me.\We scored only because their setter missed.\He knew there was no back set,\yet he still hit the ball?\He was able to handle that toss?\Sho-chan. We have to line up.\High level of physical agility and reflexes.\Hey, Kageyama. response:	What are you doing? Get in line!
context: We scored only because their setter missed.\He knew there was no back set,\yet he still hit the ball?\He was able to handle that toss?\Sho-chan. We have to line up.\High level of physical agility and reflexes.\Hey, Kageyama.\What are you doing? Get in line! response:	Finely tuned bodily control
context: He knew there was no back set,\yet he still hit the ball?\He was able to handle that toss?\Sho-chan. We have to line up.\High level of physical agility and reflexes.\Hey, Kageyama.\What are you doing? Get in line!\Finely tuned bodily control response:	and his obsession with victory.
context: yet he still hit the ball?\He was able to handle that toss?\Sho-chan. We have to line up.\High level of physical agility and reflexes.\Hey, Kageyama.\What are you doing? Get in line!\Finely tuned bodily control\and his obsession with victory. response:	He's got it all.
context: He was able to handle that toss?\Sho-chan. We have to line up.\High level of physical agility and reflexes.\Hey, Kageyama.\What are you doing? Get in line!\Finely tuned bodily control\and his obsession with victory.\He's got it all. response:	What were you doing for the last three years?
context: Sho-chan. We have to line up.\High level of physical agility and reflexes.\Hey, Kageyama.\What are you doing? Get in line!\Finely tuned bodily control\and his obsession with victory.\He's got it all.\What were you doing for the last three years? response:	What did he say?
context: High level of physical agility and reflexes.\Hey, Kageyama.\What are you doing? Get in line!\Finely tuned bodily control\and his obsession with victory.\He's got it all.\What were you doing for the last three years?\What did he say? response:	Stay out of it.
context: Hey, Kageyama.\What are you doing? Get in line!\Finely tuned bodily control\and his obsession with victory.\He's got it all.\What were you doing for the last three years?\What did he say?\Stay out of it. response:	What do you know about what he did the last three years?
context: What are you doing? Get in line!\Finely tuned bodily control\and his obsession with victory.\He's got it all.\What were you doing for the last three years?\What did he say?\Stay out of it.\What do you know about what he did the last three years? response:	What's the point of telling him about that?
context: Finely tuned bodily control\and his obsession with victory.\He's got it all.\What were you doing for the last three years?\What did he say?\Stay out of it.\What do you know about what he did the last three years?\What's the point of telling him about that? response:	Yeah, but...
context: and his obsession with victory.\He's got it all.\What were you doing for the last three years?\What did he say?\Stay out of it.\What do you know about what he did the last three years?\What's the point of telling him about that?\Yeah, but... response:	My first and last official match of junior high...
context: He's got it all.\What were you doing for the last three years?\What did he say?\Stay out of it.\What do you know about what he did the last three years?\What's the point of telling him about that?\Yeah, but...\My first and last official match of junior high... response:	Boys, hurry up and get in line.
context: What were you doing for the last three years?\What did he say?\Stay out of it.\What do you know about what he did the last three years?\What's the point of telling him about that?\Yeah, but...\My first and last official match of junior high...\Boys, hurry up and get in line. response:	Sho-chan, let's line up.
context: What did he say?\Stay out of it.\What do you know about what he did the last three years?\What's the point of telling him about that?\Yeah, but...\My first and last official match of junior high...\Boys, hurry up and get in line.\Sho-chan, let's line up. response:	Our sets: zero.
context: Stay out of it.\What do you know about what he did the last three years?\What's the point of telling him about that?\Yeah, but...\My first and last official match of junior high...\Boys, hurry up and get in line.\Sho-chan, let's line up.\Our sets: zero. response:	Total game time: only 31 minutes.
context: What do you know about what he did the last three years?\What's the point of telling him about that?\Yeah, but...\My first and last official match of junior high...\Boys, hurry up and get in line.\Sho-chan, let's line up.\Our sets: zero.\Total game time: only 31 minutes. response:	King of the Court, huh...
context: What's the point of telling him about that?\Yeah, but...\My first and last official match of junior high...\Boys, hurry up and get in line.\Sho-chan, let's line up.\Our sets: zero.\Total game time: only 31 minutes.\King of the Court, huh... response:	He's going to be a difficult opponent when he starts high school.
context: Yeah, but...\My first and last official match of junior high...\Boys, hurry up and get in line.\Sho-chan, let's line up.\Our sets: zero.\Total game time: only 31 minutes.\King of the Court, huh...\He's going to be a difficult opponent when he starts high school. response:	My money's on that little guy.
context: My first and last official match of junior high...\Boys, hurry up and get in line.\Sho-chan, let's line up.\Our sets: zero.\Total game time: only 31 minutes.\King of the Court, huh...\He's going to be a difficult opponent when he starts high school.\My money's on that little guy. response:	Karasuno High Volleyball Club
context: Boys, hurry up and get in line.\Sho-chan, let's line up.\Our sets: zero.\Total game time: only 31 minutes.\King of the Court, huh...\He's going to be a difficult opponent when he starts high school.\My money's on that little guy.\Karasuno High Volleyball Club response:	What did you expect?
context: Sho-chan, let's line up.\Our sets: zero.\Total game time: only 31 minutes.\King of the Court, huh...\He's going to be a difficult opponent when he starts high school.\My money's on that little guy.\Karasuno High Volleyball Club\What did you expect? response:	They're candidates for the nationals.
context: Our sets: zero.\Total game time: only 31 minutes.\King of the Court, huh...\He's going to be a difficult opponent when he starts high school.\My money's on that little guy.\Karasuno High Volleyball Club\What did you expect?\They're candidates for the nationals. response:	Man, I'm hungry.
context: Total game time: only 31 minutes.\King of the Court, huh...\He's going to be a difficult opponent when he starts high school.\My money's on that little guy.\Karasuno High Volleyball Club\What did you expect?\They're candidates for the nationals.\Man, I'm hungry. response:	You're always hungry.
context: King of the Court, huh...\He's going to be a difficult opponent when he starts high school.\My money's on that little guy.\Karasuno High Volleyball Club\What did you expect?\They're candidates for the nationals.\Man, I'm hungry.\You're always hungry. response:	It doesn't matter if they're strong or weak,
context: He's going to be a difficult opponent when he starts high school.\My money's on that little guy.\Karasuno High Volleyball Club\What did you expect?\They're candidates for the nationals.\Man, I'm hungry.\You're always hungry.\It doesn't matter if they're strong or weak, response:	the bottom line is whether we win or lose,
context: My money's on that little guy.\Karasuno High Volleyball Club\What did you expect?\They're candidates for the nationals.\Man, I'm hungry.\You're always hungry.\It doesn't matter if they're strong or weak,\the bottom line is whether we win or lose, response:	and if we lose, we're off the court for good.
context: Karasuno High Volleyball Club\What did you expect?\They're candidates for the nationals.\Man, I'm hungry.\You're always hungry.\It doesn't matter if they're strong or weak,\the bottom line is whether we win or lose,\and if we lose, we're off the court for good. response:	Sho-chan.
context: What did you expect?\They're candidates for the nationals.\Man, I'm hungry.\You're always hungry.\It doesn't matter if they're strong or weak,\the bottom line is whether we win or lose,\and if we lose, we're off the court for good.\Sho-chan. response:	Shoyo?
context: They're candidates for the nationals.\Man, I'm hungry.\You're always hungry.\It doesn't matter if they're strong or weak,\the bottom line is whether we win or lose,\and if we lose, we're off the court for good.\Sho-chan.\Shoyo? response:	You...
context: Man, I'm hungry.\You're always hungry.\It doesn't matter if they're strong or weak,\the bottom line is whether we win or lose,\and if we lose, we're off the court for good.\Sho-chan.\Shoyo?\You... response:	If you're the king that rules the court,
context: You're always hungry.\It doesn't matter if they're strong or weak,\the bottom line is whether we win or lose,\and if we lose, we're off the court for good.\Sho-chan.\Shoyo?\You...\If you're the king that rules the court, response:	I'll have to defeat you,
context: It doesn't matter if they're strong or weak,\the bottom line is whether we win or lose,\and if we lose, we're off the court for good.\Sho-chan.\Shoyo?\You...\If you're the king that rules the court,\I'll have to defeat you, response:	and I'll be the last one standing!
context: the bottom line is whether we win or lose,\and if we lose, we're off the court for good.\Sho-chan.\Shoyo?\You...\If you're the king that rules the court,\I'll have to defeat you,\and I'll be the last one standing! response:	The last ones standing are the victors.
context: and if we lose, we're off the court for good.\Sho-chan.\Shoyo?\You...\If you're the king that rules the court,\I'll have to defeat you,\and I'll be the last one standing!\The last ones standing are the victors. response:	Only the strongest.
context: Sho-chan.\Shoyo?\You...\If you're the king that rules the court,\I'll have to defeat you,\and I'll be the last one standing!\The last ones standing are the victors.\Only the strongest. response:	If you want to be the last one standing, become strong.
context: Shoyo?\You...\If you're the king that rules the court,\I'll have to defeat you,\and I'll be the last one standing!\The last ones standing are the victors.\Only the strongest.\If you want to be the last one standing, become strong. response:	What I'm lacking...
context: You...\If you're the king that rules the court,\I'll have to defeat you,\and I'll be the last one standing!\The last ones standing are the victors.\Only the strongest.\If you want to be the last one standing, become strong.\What I'm lacking... response:	Thank you for today.
context: If you're the king that rules the court,\I'll have to defeat you,\and I'll be the last one standing!\The last ones standing are the victors.\Only the strongest.\If you want to be the last one standing, become strong.\What I'm lacking...\Thank you for today. response:	D-Dumbass.
context: I'll have to defeat you,\and I'll be the last one standing!\The last ones standing are the victors.\Only the strongest.\If you want to be the last one standing, become strong.\What I'm lacking...\Thank you for today.\D-Dumbass. response:	You don't have to thank us.
context: and I'll be the last one standing!\The last ones standing are the victors.\Only the strongest.\If you want to be the last one standing, become strong.\What I'm lacking...\Thank you for today.\D-Dumbass.\You don't have to thank us. response:	Huh? Why are you crying Koji?
context: The last ones standing are the victors.\Only the strongest.\If you want to be the last one standing, become strong.\What I'm lacking...\Thank you for today.\D-Dumbass.\You don't have to thank us.\Huh? Why are you crying Koji? response:	I'm not crying.
context: Only the strongest.\If you want to be the last one standing, become strong.\What I'm lacking...\Thank you for today.\D-Dumbass.\You don't have to thank us.\Huh? Why are you crying Koji?\I'm not crying. response:	Men's Volleyball Prefectural Tournament Kitagawa Daiichi Bitterly Defeated
context: If you want to be the last one standing, become strong.\What I'm lacking...\Thank you for today.\D-Dumbass.\You don't have to thank us.\Huh? Why are you crying Koji?\I'm not crying.\Men's Volleyball Prefectural Tournament Kitagawa Daiichi Bitterly Defeated response:	See ya, Shoyo.
context: What I'm lacking...\Thank you for today.\D-Dumbass.\You don't have to thank us.\Huh? Why are you crying Koji?\I'm not crying.\Men's Volleyball Prefectural Tournament Kitagawa Daiichi Bitterly Defeated\See ya, Shoyo. response:	Take care, Sho-chan.
context: Thank you for today.\D-Dumbass.\You don't have to thank us.\Huh? Why are you crying Koji?\I'm not crying.\Men's Volleyball Prefectural Tournament Kitagawa Daiichi Bitterly Defeated\See ya, Shoyo.\Take care, Sho-chan. response:	30-minute bike ride over the mountain.
context: D-Dumbass.\You don't have to thank us.\Huh? Why are you crying Koji?\I'm not crying.\Men's Volleyball Prefectural Tournament Kitagawa Daiichi Bitterly Defeated\See ya, Shoyo.\Take care, Sho-chan.\30-minute bike ride over the mountain. response:	Starting today, Miyagi Prefectural Karasuno High School.
context: You don't have to thank us.\Huh? Why are you crying Koji?\I'm not crying.\Men's Volleyball Prefectural Tournament Kitagawa Daiichi Bitterly Defeated\See ya, Shoyo.\Take care, Sho-chan.\30-minute bike ride over the mountain.\Starting today, Miyagi Prefectural Karasuno High School. response:	Wanna join the soccer club?
context: Huh? Why are you crying Koji?\I'm not crying.\Men's Volleyball Prefectural Tournament Kitagawa Daiichi Bitterly Defeated\See ya, Shoyo.\Take care, Sho-chan.\30-minute bike ride over the mountain.\Starting today, Miyagi Prefectural Karasuno High School.\Wanna join the soccer club? response:	Wanna get managed by the baseball club?
context: I'm not crying.\Men's Volleyball Prefectural Tournament Kitagawa Daiichi Bitterly Defeated\See ya, Shoyo.\Take care, Sho-chan.\30-minute bike ride over the mountain.\Starting today, Miyagi Prefectural Karasuno High School.\Wanna join the soccer club?\Wanna get managed by the baseball club? response:	Here, the club applicants list.
context: Men's Volleyball Prefectural Tournament Kitagawa Daiichi Bitterly Defeated\See ya, Shoyo.\Take care, Sho-chan.\30-minute bike ride over the mountain.\Starting today, Miyagi Prefectural Karasuno High School.\Wanna join the soccer club?\Wanna get managed by the baseball club?\Here, the club applicants list. response:	Thank you.
context: See ya, Shoyo.\Take care, Sho-chan.\30-minute bike ride over the mountain.\Starting today, Miyagi Prefectural Karasuno High School.\Wanna join the soccer club?\Wanna get managed by the baseball club?\Here, the club applicants list.\Thank you. response:	So few... we used to have a lot more.
context: Take care, Sho-chan.\30-minute bike ride over the mountain.\Starting today, Miyagi Prefectural Karasuno High School.\Wanna join the soccer club?\Wanna get managed by the baseball club?\Here, the club applicants list.\Thank you.\So few... we used to have a lot more. response:	It'll grow, Daichi.
context: 30-minute bike ride over the mountain.\Starting today, Miyagi Prefectural Karasuno High School.\Wanna join the soccer club?\Wanna get managed by the baseball club?\Here, the club applicants list.\Thank you.\So few... we used to have a lot more.\It'll grow, Daichi. response:	Kiyoko-san, looking pretty today as usual.
context: Starting today, Miyagi Prefectural Karasuno High School.\Wanna join the soccer club?\Wanna get managed by the baseball club?\Here, the club applicants list.\Thank you.\So few... we used to have a lot more.\It'll grow, Daichi.\Kiyoko-san, looking pretty today as usual. response:	She turns me on when she ignores me.
context: Wanna join the soccer club?\Wanna get managed by the baseball club?\Here, the club applicants list.\Thank you.\So few... we used to have a lot more.\It'll grow, Daichi.\Kiyoko-san, looking pretty today as usual.\She turns me on when she ignores me. response:	I'm here. I'm here at Karasuno.
context: Wanna get managed by the baseball club?\Here, the club applicants list.\Thank you.\So few... we used to have a lot more.\It'll grow, Daichi.\Kiyoko-san, looking pretty today as usual.\She turns me on when she ignores me.\I'm here. I'm here at Karasuno. response:	I'm going to train a lot.
context: Here, the club applicants list.\Thank you.\So few... we used to have a lot more.\It'll grow, Daichi.\Kiyoko-san, looking pretty today as usual.\She turns me on when she ignores me.\I'm here. I'm here at Karasuno.\I'm going to train a lot. response:	And then, against that king...
context: Thank you.\So few... we used to have a lot more.\It'll grow, Daichi.\Kiyoko-san, looking pretty today as usual.\She turns me on when she ignores me.\I'm here. I'm here at Karasuno.\I'm going to train a lot.\And then, against that king... response:	I'll get my revenge!
context: So few... we used to have a lot more.\It'll grow, Daichi.\Kiyoko-san, looking pretty today as usual.\She turns me on when she ignores me.\I'm here. I'm here at Karasuno.\I'm going to train a lot.\And then, against that king...\I'll get my revenge! response:	Wh-Why are you here?!
context: It'll grow, Daichi.\Kiyoko-san, looking pretty today as usual.\She turns me on when she ignores me.\I'm here. I'm here at Karasuno.\I'm going to train a lot.\And then, against that king...\I'll get my revenge!\Wh-Why are you here?! response:	Ow.
context: Kiyoko-san, looking pretty today as usual.\She turns me on when she ignores me.\I'm here. I'm here at Karasuno.\I'm going to train a lot.\And then, against that king...\I'll get my revenge!\Wh-Why are you here?!\Ow. response:	Next Episode Preview
context: She turns me on when she ignores me.\I'm here. I'm here at Karasuno.\I'm going to train a lot.\And then, against that king...\I'll get my revenge!\Wh-Why are you here?!\Ow.\Next Episode Preview response:	What is the King of the Court doing here?
context: I'm here. I'm here at Karasuno.\I'm going to train a lot.\And then, against that king...\I'll get my revenge!\Wh-Why are you here?!\Ow.\Next Episode Preview\What is the King of the Court doing here? response:	Or was that somebody else?
context: I'm going to train a lot.\And then, against that king...\I'll get my revenge!\Wh-Why are you here?!\Ow.\Next Episode Preview\What is the King of the Court doing here?\Or was that somebody else? response:	Just a doppelganger?
context: And then, against that king...\I'll get my revenge!\Wh-Why are you here?!\Ow.\Next Episode Preview\What is the King of the Court doing here?\Or was that somebody else?\Just a doppelganger? response:	Was there a guy who looks just like him,
context: I'll get my revenge!\Wh-Why are you here?!\Ow.\Next Episode Preview\What is the King of the Court doing here?\Or was that somebody else?\Just a doppelganger?\Was there a guy who looks just like him, response:	who happened to be in the gym, hitting a serve?
context: Wh-Why are you here?!\Ow.\Next Episode Preview\What is the King of the Court doing here?\Or was that somebody else?\Just a doppelganger?\Was there a guy who looks just like him,\who happened to be in the gym, hitting a serve? response:	Of course not!
context: Ow.\Next Episode Preview\What is the King of the Court doing here?\Or was that somebody else?\Just a doppelganger?\Was there a guy who looks just like him,\who happened to be in the gym, hitting a serve?\Of course not! response:	Episode 2: Karasuno High School Volleyball Club
context: Next Episode Preview\What is the King of the Court doing here?\Or was that somebody else?\Just a doppelganger?\Was there a guy who looks just like him,\who happened to be in the gym, hitting a serve?\Of course not!\Episode 2: Karasuno High School Volleyball Club response:	Next episode of Haikyu!!
context: What is the King of the Court doing here?\Or was that somebody else?\Just a doppelganger?\Was there a guy who looks just like him,\who happened to be in the gym, hitting a serve?\Of course not!\Episode 2: Karasuno High School Volleyball Club\Next episode of Haikyu!! response:	Karasuno High School Volleyball Club
