context: Everything... response:	I'll forgive you for everything.
context: Moto?\Yeah, Moto. Could you give this back to him and say thanks from me?\Huh? We didn't give this much.\Huh?\There's 220 yen here. That's 80 yen more than what we gave you.\On, it's fine. It's just 80 yen.\It's small change.\It's not fine. Whether it's 80 or 800,000 yen, money is still money. response:	Let's even things out.
context: Yeah, Moto. Could you give this back to him and say thanks from me?\Huh? We didn't give this much.\Huh?\There's 220 yen here. That's 80 yen more than what we gave you.\On, it's fine. It's just 80 yen.\It's small change.\It's not fine. Whether it's 80 or 800,000 yen, money is still money.\Let's even things out. response:	Ah, shoot... nothing but junk.
context: Huh? We didn't give this much.\Huh?\There's 220 yen here. That's 80 yen more than what we gave you.\On, it's fine. It's just 80 yen.\It's small change.\It's not fine. Whether it's 80 or 800,000 yen, money is still money.\Let's even things out.\Ah, shoot... nothing but junk. response:	What's that key for?
context: Huh?\There's 220 yen here. That's 80 yen more than what we gave you.\On, it's fine. It's just 80 yen.\It's small change.\It's not fine. Whether it's 80 or 800,000 yen, money is still money.\Let's even things out.\Ah, shoot... nothing but junk.\What's that key for? response:	It's my bike key.
context: There's 220 yen here. That's 80 yen more than what we gave you.\On, it's fine. It's just 80 yen.\It's small change.\It's not fine. Whether it's 80 or 800,000 yen, money is still money.\Let's even things out.\Ah, shoot... nothing but junk.\What's that key for?\It's my bike key. response:	50... 60... oh, I'm 20 yen short.
context: On, it's fine. It's just 80 yen.\It's small change.\It's not fine. Whether it's 80 or 800,000 yen, money is still money.\Let's even things out.\Ah, shoot... nothing but junk.\What's that key for?\It's my bike key.\50... 60... oh, I'm 20 yen short. response:	This caramel should be fine.
context: It's small change.\It's not fine. Whether it's 80 or 800,000 yen, money is still money.\Let's even things out.\Ah, shoot... nothing but junk.\What's that key for?\It's my bike key.\50... 60... oh, I'm 20 yen short.\This caramel should be fine. response:	What? It's morning already?
context: It's not fine. Whether it's 80 or 800,000 yen, money is still money.\Let's even things out.\Ah, shoot... nothing but junk.\What's that key for?\It's my bike key.\50... 60... oh, I'm 20 yen short.\This caramel should be fine.\What? It's morning already? response:	What the heck? I can see my breath here in my room.
context: Let's even things out.\Ah, shoot... nothing but junk.\What's that key for?\It's my bike key.\50... 60... oh, I'm 20 yen short.\This caramel should be fine.\What? It's morning already?\What the heck? I can see my breath here in my room. response:	Come to think of it, how did he get in last night?
context: Ah, shoot... nothing but junk.\What's that key for?\It's my bike key.\50... 60... oh, I'm 20 yen short.\This caramel should be fine.\What? It's morning already?\What the heck? I can see my breath here in my room.\Come to think of it, how did he get in last night? response:	From now on, I won't forget to lock it.
context: What's that key for?\It's my bike key.\50... 60... oh, I'm 20 yen short.\This caramel should be fine.\What? It's morning already?\What the heck? I can see my breath here in my room.\Come to think of it, how did he get in last night?\From now on, I won't forget to lock it. response:	I'll actually get some sleep.
context: It's my bike key.\50... 60... oh, I'm 20 yen short.\This caramel should be fine.\What? It's morning already?\What the heck? I can see my breath here in my room.\Come to think of it, how did he get in last night?\From now on, I won't forget to lock it.\I'll actually get some sleep. response:	He was in the middle of writing a message?
context: 50... 60... oh, I'm 20 yen short.\This caramel should be fine.\What? It's morning already?\What the heck? I can see my breath here in my room.\Come to think of it, how did he get in last night?\From now on, I won't forget to lock it.\I'll actually get some sleep.\He was in the middle of writing a message? response:	Takahashi, I never thought of you as a replacement for her. None of my feelings have been false.
context: This caramel should be fine.\What? It's morning already?\What the heck? I can see my breath here in my room.\Come to think of it, how did he get in last night?\From now on, I won't forget to lock it.\I'll actually get some sleep.\He was in the middle of writing a message?\Takahashi, I never thought of you as a replacement for her. None of my feelings have been false. response:	Takahashi, I never thought of you as a replacement for her.
context: What? It's morning already?\What the heck? I can see my breath here in my room.\Come to think of it, how did he get in last night?\From now on, I won't forget to lock it.\I'll actually get some sleep.\He was in the middle of writing a message?\Takahashi, I never thought of you as a replacement for her. None of my feelings have been false.\Takahashi, I never thought of you as a replacement for her. response:	None of my feelings have been false.
context: What the heck? I can see my breath here in my room.\Come to think of it, how did he get in last night?\From now on, I won't forget to lock it.\I'll actually get some sleep.\He was in the middle of writing a message?\Takahashi, I never thought of you as a replacement for her. None of my feelings have been false.\Takahashi, I never thought of you as a replacement for her.\None of my feelings have been false. response:	I regret what I did so much that I want to die.
context: Come to think of it, how did he get in last night?\From now on, I won't forget to lock it.\I'll actually get some sleep.\He was in the middle of writing a message?\Takahashi, I never thought of you as a replacement for her. None of my feelings have been false.\Takahashi, I never thought of you as a replacement for her.\None of my feelings have been false.\I regret what I did so much that I want to die. response:	Back then... back at that place... those actions I took...
context: From now on, I won't forget to lock it.\I'll actually get some sleep.\He was in the middle of writing a message?\Takahashi, I never thought of you as a replacement for her. None of my feelings have been false.\Takahashi, I never thought of you as a replacement for her.\None of my feelings have been false.\I regret what I did so much that I want to die.\Back then... back at that place... those actions I took... response:	Everything I choose to say is always wrong.
context: I'll actually get some sleep.\He was in the middle of writing a message?\Takahashi, I never thought of you as a replacement for her. None of my feelings have been false.\Takahashi, I never thought of you as a replacement for her.\None of my feelings have been false.\I regret what I did so much that I want to die.\Back then... back at that place... those actions I took...\Everything I choose to say is always wrong. response:	But I want you to listen to me.
context: He was in the middle of writing a message?\Takahashi, I never thought of you as a replacement for her. None of my feelings have been false.\Takahashi, I never thought of you as a replacement for her.\None of my feelings have been false.\I regret what I did so much that I want to die.\Back then... back at that place... those actions I took...\Everything I choose to say is always wrong.\But I want you to listen to me. response:	Takahashi.
context: Takahashi, I never thought of you as a replacement for her. None of my feelings have been false.\Takahashi, I never thought of you as a replacement for her.\None of my feelings have been false.\I regret what I did so much that I want to die.\Back then... back at that place... those actions I took...\Everything I choose to say is always wrong.\But I want you to listen to me.\Takahashi. response:	is always wrong. But I want you to listen to me. Takahashi, I
context: Takahashi, I never thought of you as a replacement for her.\None of my feelings have been false.\I regret what I did so much that I want to die.\Back then... back at that place... those actions I took...\Everything I choose to say is always wrong.\But I want you to listen to me.\Takahashi.\is always wrong. But I want you to listen to me. Takahashi, I response:	Before High School
context: None of my feelings have been false.\I regret what I did so much that I want to die.\Back then... back at that place... those actions I took...\Everything I choose to say is always wrong.\But I want you to listen to me.\Takahashi.\is always wrong. But I want you to listen to me. Takahashi, I\Before High School response:	Because you took my futon, I caught a cold!
context: I regret what I did so much that I want to die.\Back then... back at that place... those actions I took...\Everything I choose to say is always wrong.\But I want you to listen to me.\Takahashi.\is always wrong. But I want you to listen to me. Takahashi, I\Before High School\Because you took my futon, I caught a cold! response:	Shut up!
context: Back then... back at that place... those actions I took...\Everything I choose to say is always wrong.\But I want you to listen to me.\Takahashi.\is always wrong. But I want you to listen to me. Takahashi, I\Before High School\Because you took my futon, I caught a cold!\Shut up! response:	If you have time to worry like this, you should hurry up and say what needs to be said already.
context: Everything I choose to say is always wrong.\But I want you to listen to me.\Takahashi.\is always wrong. But I want you to listen to me. Takahashi, I\Before High School\Because you took my futon, I caught a cold!\Shut up!\If you have time to worry like this, you should hurry up and say what needs to be said already. response:	Don't you dare touch Takahashi.
context: But I want you to listen to me.\Takahashi.\is always wrong. But I want you to listen to me. Takahashi, I\Before High School\Because you took my futon, I caught a cold!\Shut up!\If you have time to worry like this, you should hurry up and say what needs to be said already.\Don't you dare touch Takahashi. response:	That's not what I meant...
context: Takahashi.\is always wrong. But I want you to listen to me. Takahashi, I\Before High School\Because you took my futon, I caught a cold!\Shut up!\If you have time to worry like this, you should hurry up and say what needs to be said already.\Don't you dare touch Takahashi.\That's not what I meant... response:	Hurry and tell Takahashi that.
context: is always wrong. But I want you to listen to me. Takahashi, I\Before High School\Because you took my futon, I caught a cold!\Shut up!\If you have time to worry like this, you should hurry up and say what needs to be said already.\Don't you dare touch Takahashi.\That's not what I meant...\Hurry and tell Takahashi that. response:	Otherwise, you'll be too late.
context: Before High School\Because you took my futon, I caught a cold!\Shut up!\If you have time to worry like this, you should hurry up and say what needs to be said already.\Don't you dare touch Takahashi.\That's not what I meant...\Hurry and tell Takahashi that.\Otherwise, you'll be too late. response:	Takeuchi-kun, can I come to see the puppies again today?
context: Because you took my futon, I caught a cold!\Shut up!\If you have time to worry like this, you should hurry up and say what needs to be said already.\Don't you dare touch Takahashi.\That's not what I meant...\Hurry and tell Takahashi that.\Otherwise, you'll be too late.\Takeuchi-kun, can I come to see the puppies again today? response:	I brought something for them.
context: Shut up!\If you have time to worry like this, you should hurry up and say what needs to be said already.\Don't you dare touch Takahashi.\That's not what I meant...\Hurry and tell Takahashi that.\Otherwise, you'll be too late.\Takeuchi-kun, can I come to see the puppies again today?\I brought something for them. response:	Umm, umm...
context: If you have time to worry like this, you should hurry up and say what needs to be said already.\Don't you dare touch Takahashi.\That's not what I meant...\Hurry and tell Takahashi that.\Otherwise, you'll be too late.\Takeuchi-kun, can I come to see the puppies again today?\I brought something for them.\Umm, umm... response:	Don't you think this is cute?
context: Don't you dare touch Takahashi.\That's not what I meant...\Hurry and tell Takahashi that.\Otherwise, you'll be too late.\Takeuchi-kun, can I come to see the puppies again today?\I brought something for them.\Umm, umm...\Don't you think this is cute? response:	I heard puppies like plush toys, so I brought some from my house.
context: That's not what I meant...\Hurry and tell Takahashi that.\Otherwise, you'll be too late.\Takeuchi-kun, can I come to see the puppies again today?\I brought something for them.\Umm, umm...\Don't you think this is cute?\I heard puppies like plush toys, so I brought some from my house. response:	Umm...
context: Hurry and tell Takahashi that.\Otherwise, you'll be too late.\Takeuchi-kun, can I come to see the puppies again today?\I brought something for them.\Umm, umm...\Don't you think this is cute?\I heard puppies like plush toys, so I brought some from my house.\Umm... response:	I'm sorry, but I have other plans today...
context: Otherwise, you'll be too late.\Takeuchi-kun, can I come to see the puppies again today?\I brought something for them.\Umm, umm...\Don't you think this is cute?\I heard puppies like plush toys, so I brought some from my house.\Umm...\I'm sorry, but I have other plans today... response:	I'm sorry.
context: Takeuchi-kun, can I come to see the puppies again today?\I brought something for them.\Umm, umm...\Don't you think this is cute?\I heard puppies like plush toys, so I brought some from my house.\Umm...\I'm sorry, but I have other plans today...\I'm sorry. response:	I see... I must be an annoyance.
context: I brought something for them.\Umm, umm...\Don't you think this is cute?\I heard puppies like plush toys, so I brought some from my house.\Umm...\I'm sorry, but I have other plans today...\I'm sorry.\I see... I must be an annoyance. response:	Umm... but you can go see them even if I'm not there.
context: Umm, umm...\Don't you think this is cute?\I heard puppies like plush toys, so I brought some from my house.\Umm...\I'm sorry, but I have other plans today...\I'm sorry.\I see... I must be an annoyance.\Umm... but you can go see them even if I'm not there. response:	I see...
context: Don't you think this is cute?\I heard puppies like plush toys, so I brought some from my house.\Umm...\I'm sorry, but I have other plans today...\I'm sorry.\I see... I must be an annoyance.\Umm... but you can go see them even if I'm not there.\I see... response:	Yeah... maybe some other time.
context: I heard puppies like plush toys, so I brought some from my house.\Umm...\I'm sorry, but I have other plans today...\I'm sorry.\I see... I must be an annoyance.\Umm... but you can go see them even if I'm not there.\I see...\Yeah... maybe some other time. response:	Sorry.
context: Umm...\I'm sorry, but I have other plans today...\I'm sorry.\I see... I must be an annoyance.\Umm... but you can go see them even if I'm not there.\I see...\Yeah... maybe some other time.\Sorry. response:	Even though I'm just the ex of one of his friends...
context: I'm sorry, but I have other plans today...\I'm sorry.\I see... I must be an annoyance.\Umm... but you can go see them even if I'm not there.\I see...\Yeah... maybe some other time.\Sorry.\Even though I'm just the ex of one of his friends... response:	Doko ni itemo donna toki mo
context: I'm sorry.\I see... I must be an annoyance.\Umm... but you can go see them even if I'm not there.\I see...\Yeah... maybe some other time.\Sorry.\Even though I'm just the ex of one of his friends...\Doko ni itemo donna toki mo response:	Kimi ga kieta hi kara
context: I see... I must be an annoyance.\Umm... but you can go see them even if I'm not there.\I see...\Yeah... maybe some other time.\Sorry.\Even though I'm just the ex of one of his friends...\Doko ni itemo donna toki mo\Kimi ga kieta hi kara response:	Kesenai omoide nokoshite
context: Umm... but you can go see them even if I'm not there.\I see...\Yeah... maybe some other time.\Sorry.\Even though I'm just the ex of one of his friends...\Doko ni itemo donna toki mo\Kimi ga kieta hi kara\Kesenai omoide nokoshite response:	Uketomeyou
context: I see...\Yeah... maybe some other time.\Sorry.\Even though I'm just the ex of one of his friends...\Doko ni itemo donna toki mo\Kimi ga kieta hi kara\Kesenai omoide nokoshite\Uketomeyou response:	Tomadoi wa itsuka fukai umi de
context: Yeah... maybe some other time.\Sorry.\Even though I'm just the ex of one of his friends...\Doko ni itemo donna toki mo\Kimi ga kieta hi kara\Kesenai omoide nokoshite\Uketomeyou\Tomadoi wa itsuka fukai umi de response:	Aoi suna ni natte
context: Sorry.\Even though I'm just the ex of one of his friends...\Doko ni itemo donna toki mo\Kimi ga kieta hi kara\Kesenai omoide nokoshite\Uketomeyou\Tomadoi wa itsuka fukai umi de\Aoi suna ni natte response:	Samenai omoi issho ni
context: Even though I'm just the ex of one of his friends...\Doko ni itemo donna toki mo\Kimi ga kieta hi kara\Kesenai omoide nokoshite\Uketomeyou\Tomadoi wa itsuka fukai umi de\Aoi suna ni natte\Samenai omoi issho ni response:	Kono you na no darou
context: Doko ni itemo donna toki mo\Kimi ga kieta hi kara\Kesenai omoide nokoshite\Uketomeyou\Tomadoi wa itsuka fukai umi de\Aoi suna ni natte\Samenai omoi issho ni\Kono you na no darou response:	Kimi ga inai kono beddo de
context: Kimi ga kieta hi kara\Kesenai omoide nokoshite\Uketomeyou\Tomadoi wa itsuka fukai umi de\Aoi suna ni natte\Samenai omoi issho ni\Kono you na no darou\Kimi ga inai kono beddo de response:	Hitori yureteiru
context: Kesenai omoide nokoshite\Uketomeyou\Tomadoi wa itsuka fukai umi de\Aoi suna ni natte\Samenai omoi issho ni\Kono you na no darou\Kimi ga inai kono beddo de\Hitori yureteiru response:	Negaeri wo uttara aozora ga mieta
context: Uketomeyou\Tomadoi wa itsuka fukai umi de\Aoi suna ni natte\Samenai omoi issho ni\Kono you na no darou\Kimi ga inai kono beddo de\Hitori yureteiru\Negaeri wo uttara aozora ga mieta response:	Anywhere, anytime,
context: Tomadoi wa itsuka fukai umi de\Aoi suna ni natte\Samenai omoi issho ni\Kono you na no darou\Kimi ga inai kono beddo de\Hitori yureteiru\Negaeri wo uttara aozora ga mieta\Anywhere, anytime, response:	I'll accept the unreasonable memories
context: Aoi suna ni natte\Samenai omoi issho ni\Kono you na no darou\Kimi ga inai kono beddo de\Hitori yureteiru\Negaeri wo uttara aozora ga mieta\Anywhere, anytime,\I'll accept the unreasonable memories response:	left behind since the day
context: Samenai omoi issho ni\Kono you na no darou\Kimi ga inai kono beddo de\Hitori yureteiru\Negaeri wo uttara aozora ga mieta\Anywhere, anytime,\I'll accept the unreasonable memories\left behind since the day response:	you left.
context: Kono you na no darou\Kimi ga inai kono beddo de\Hitori yureteiru\Negaeri wo uttara aozora ga mieta\Anywhere, anytime,\I'll accept the unreasonable memories\left behind since the day\you left. response:	This bewilderment will become blue sand
context: Kimi ga inai kono beddo de\Hitori yureteiru\Negaeri wo uttara aozora ga mieta\Anywhere, anytime,\I'll accept the unreasonable memories\left behind since the day\you left.\This bewilderment will become blue sand response:	deep in the ocean.
context: Hitori yureteiru\Negaeri wo uttara aozora ga mieta\Anywhere, anytime,\I'll accept the unreasonable memories\left behind since the day\you left.\This bewilderment will become blue sand\deep in the ocean. response:	I wonder if these unrelenting feelings
context: Negaeri wo uttara aozora ga mieta\Anywhere, anytime,\I'll accept the unreasonable memories\left behind since the day\you left.\This bewilderment will become blue sand\deep in the ocean.\I wonder if these unrelenting feelings response:	will be just like that, too?
context: Anywhere, anytime,\I'll accept the unreasonable memories\left behind since the day\you left.\This bewilderment will become blue sand\deep in the ocean.\I wonder if these unrelenting feelings\will be just like that, too? response:	I'm quivering alone
context: I'll accept the unreasonable memories\left behind since the day\you left.\This bewilderment will become blue sand\deep in the ocean.\I wonder if these unrelenting feelings\will be just like that, too?\I'm quivering alone response:	in this bed without you.
context: left behind since the day\you left.\This bewilderment will become blue sand\deep in the ocean.\I wonder if these unrelenting feelings\will be just like that, too?\I'm quivering alone\in this bed without you. response:	But when I rolled over, I couldn't see the blue sky.
context: you left.\This bewilderment will become blue sand\deep in the ocean.\I wonder if these unrelenting feelings\will be just like that, too?\I'm quivering alone\in this bed without you.\But when I rolled over, I couldn't see the blue sky. response:	When I suddenly have all this time to myself again...
context: This bewilderment will become blue sand\deep in the ocean.\I wonder if these unrelenting feelings\will be just like that, too?\I'm quivering alone\in this bed without you.\But when I rolled over, I couldn't see the blue sky.\When I suddenly have all this time to myself again... response:	The memories of Yano...
context: deep in the ocean.\I wonder if these unrelenting feelings\will be just like that, too?\I'm quivering alone\in this bed without you.\But when I rolled over, I couldn't see the blue sky.\When I suddenly have all this time to myself again...\The memories of Yano... response:	Cute Yano...
context: I wonder if these unrelenting feelings\will be just like that, too?\I'm quivering alone\in this bed without you.\But when I rolled over, I couldn't see the blue sky.\When I suddenly have all this time to myself again...\The memories of Yano...\Cute Yano... response:	Hateful Yano...
context: will be just like that, too?\I'm quivering alone\in this bed without you.\But when I rolled over, I couldn't see the blue sky.\When I suddenly have all this time to myself again...\The memories of Yano...\Cute Yano...\Hateful Yano... response:	Childish Yano...
context: I'm quivering alone\in this bed without you.\But when I rolled over, I couldn't see the blue sky.\When I suddenly have all this time to myself again...\The memories of Yano...\Cute Yano...\Hateful Yano...\Childish Yano... response:	Teasing Yano...
context: in this bed without you.\But when I rolled over, I couldn't see the blue sky.\When I suddenly have all this time to myself again...\The memories of Yano...\Cute Yano...\Hateful Yano...\Childish Yano...\Teasing Yano... response:	Sweet Yano...
context: But when I rolled over, I couldn't see the blue sky.\When I suddenly have all this time to myself again...\The memories of Yano...\Cute Yano...\Hateful Yano...\Childish Yano...\Teasing Yano...\Sweet Yano... response:	Everything Yano left behind...
context: When I suddenly have all this time to myself again...\The memories of Yano...\Cute Yano...\Hateful Yano...\Childish Yano...\Teasing Yano...\Sweet Yano...\Everything Yano left behind... response:	I need to not rely on people so much...
context: The memories of Yano...\Cute Yano...\Hateful Yano...\Childish Yano...\Teasing Yano...\Sweet Yano...\Everything Yano left behind...\I need to not rely on people so much... response:	This year, Class 2-7
context: Cute Yano...\Hateful Yano...\Childish Yano...\Teasing Yano...\Sweet Yano...\Everything Yano left behind...\I need to not rely on people so much...\This year, Class 2-7 response:	This year, Class 2-7
context: Hateful Yano...\Childish Yano...\Teasing Yano...\Sweet Yano...\Everything Yano left behind...\I need to not rely on people so much...\This year, Class 2-7\This year, Class 2-7 response:	Float Candidates
context: Childish Yano...\Teasing Yano...\Sweet Yano...\Everything Yano left behind...\I need to not rely on people so much...\This year, Class 2-7\This year, Class 2-7\Float Candidates response:	Float Candidates
context: Teasing Yano...\Sweet Yano...\Everything Yano left behind...\I need to not rely on people so much...\This year, Class 2-7\This year, Class 2-7\Float Candidates\Float Candidates response:	So... I'd like to start discussing what sort of float we'll have in the Culture Festival this year.
context: Sweet Yano...\Everything Yano left behind...\I need to not rely on people so much...\This year, Class 2-7\This year, Class 2-7\Float Candidates\Float Candidates\So... I'd like to start discussing what sort of float we'll have in the Culture Festival this year. response:	Our class didn't win anything last year, so we have to win this year, no matter what!
context: Everything Yano left behind...\I need to not rely on people so much...\This year, Class 2-7\This year, Class 2-7\Float Candidates\Float Candidates\So... I'd like to start discussing what sort of float we'll have in the Culture Festival this year.\Our class didn't win anything last year, so we have to win this year, no matter what! response:	So, going by what won last year...
context: I need to not rely on people so much...\This year, Class 2-7\This year, Class 2-7\Float Candidates\Float Candidates\So... I'd like to start discussing what sort of float we'll have in the Culture Festival this year.\Our class didn't win anything last year, so we have to win this year, no matter what!\So, going by what won last year... response:	This years, Class 2-7
context: This year, Class 2-7\This year, Class 2-7\Float Candidates\Float Candidates\So... I'd like to start discussing what sort of float we'll have in the Culture Festival this year.\Our class didn't win anything last year, so we have to win this year, no matter what!\So, going by what won last year...\This years, Class 2-7 response:	float
context: This year, Class 2-7\Float Candidates\Float Candidates\So... I'd like to start discussing what sort of float we'll have in the Culture Festival this year.\Our class didn't win anything last year, so we have to win this year, no matter what!\So, going by what won last year...\This years, Class 2-7\float response:	Candidates
context: Float Candidates\Float Candidates\So... I'd like to start discussing what sort of float we'll have in the Culture Festival this year.\Our class didn't win anything last year, so we have to win this year, no matter what!\So, going by what won last year...\This years, Class 2-7\float\Candidates response:	Elephant
context: Float Candidates\So... I'd like to start discussing what sort of float we'll have in the Culture Festival this year.\Our class didn't win anything last year, so we have to win this year, no matter what!\So, going by what won last year...\This years, Class 2-7\float\Candidates\Elephant response:	Pyramid
context: So... I'd like to start discussing what sort of float we'll have in the Culture Festival this year.\Our class didn't win anything last year, so we have to win this year, no matter what!\So, going by what won last year...\This years, Class 2-7\float\Candidates\Elephant\Pyramid response:	NORA Rabbit
context: Our class didn't win anything last year, so we have to win this year, no matter what!\So, going by what won last year...\This years, Class 2-7\float\Candidates\Elephant\Pyramid\NORA Rabbit response:	None of these are any good!
context: So, going by what won last year...\This years, Class 2-7\float\Candidates\Elephant\Pyramid\NORA Rabbit\None of these are any good! response:	Can't you guys do anything but cut corners with circles, triangles and white things?
context: This years, Class 2-7\float\Candidates\Elephant\Pyramid\NORA Rabbit\None of these are any good!\Can't you guys do anything but cut corners with circles, triangles and white things? response:	Don't you want to at least clear our sucky name from not even making 3rd place last year?!
context: float\Candidates\Elephant\Pyramid\NORA Rabbit\None of these are any good!\Can't you guys do anything but cut corners with circles, triangles and white things?\Don't you want to at least clear our sucky name from not even making 3rd place last year?! response:	But isn't there more meaning in just being able to participate...?
context: Candidates\Elephant\Pyramid\NORA Rabbit\None of these are any good!\Can't you guys do anything but cut corners with circles, triangles and white things?\Don't you want to at least clear our sucky name from not even making 3rd place last year?!\But isn't there more meaning in just being able to participate...? response:	Forget that half-assed crap! We're gonna win this year, no matter what! Got it?!
context: Elephant\Pyramid\NORA Rabbit\None of these are any good!\Can't you guys do anything but cut corners with circles, triangles and white things?\Don't you want to at least clear our sucky name from not even making 3rd place last year?!\But isn't there more meaning in just being able to participate...?\Forget that half-assed crap! We're gonna win this year, no matter what! Got it?! response:	Does anyone have any ideas for a style filled with our dreams...
context: Pyramid\NORA Rabbit\None of these are any good!\Can't you guys do anything but cut corners with circles, triangles and white things?\Don't you want to at least clear our sucky name from not even making 3rd place last year?!\But isn't there more meaning in just being able to participate...?\Forget that half-assed crap! We're gonna win this year, no matter what! Got it?!\Does anyone have any ideas for a style filled with our dreams... response:	What's up with that?
context: NORA Rabbit\None of these are any good!\Can't you guys do anything but cut corners with circles, triangles and white things?\Don't you want to at least clear our sucky name from not even making 3rd place last year?!\But isn't there more meaning in just being able to participate...?\Forget that half-assed crap! We're gonna win this year, no matter what! Got it?!\Does anyone have any ideas for a style filled with our dreams...\What's up with that? response:	Sounds like a pain in the ass...
context: None of these are any good!\Can't you guys do anything but cut corners with circles, triangles and white things?\Don't you want to at least clear our sucky name from not even making 3rd place last year?!\But isn't there more meaning in just being able to participate...?\Forget that half-assed crap! We're gonna win this year, no matter what! Got it?!\Does anyone have any ideas for a style filled with our dreams...\What's up with that?\Sounds like a pain in the ass... response:	What does she mean, filled with our dreams?
context: Can't you guys do anything but cut corners with circles, triangles and white things?\Don't you want to at least clear our sucky name from not even making 3rd place last year?!\But isn't there more meaning in just being able to participate...?\Forget that half-assed crap! We're gonna win this year, no matter what! Got it?!\Does anyone have any ideas for a style filled with our dreams...\What's up with that?\Sounds like a pain in the ass...\What does she mean, filled with our dreams? response:	Vivid...?
context: Don't you want to at least clear our sucky name from not even making 3rd place last year?!\But isn't there more meaning in just being able to participate...?\Forget that half-assed crap! We're gonna win this year, no matter what! Got it?!\Does anyone have any ideas for a style filled with our dreams...\What's up with that?\Sounds like a pain in the ass...\What does she mean, filled with our dreams?\Vivid...? response:	What does she want?
context: But isn't there more meaning in just being able to participate...?\Forget that half-assed crap! We're gonna win this year, no matter what! Got it?!\Does anyone have any ideas for a style filled with our dreams...\What's up with that?\Sounds like a pain in the ass...\What does she mean, filled with our dreams?\Vivid...?\What does she want? response:	Can you give us an example?
context: Forget that half-assed crap! We're gonna win this year, no matter what! Got it?!\Does anyone have any ideas for a style filled with our dreams...\What's up with that?\Sounds like a pain in the ass...\What does she mean, filled with our dreams?\Vivid...?\What does she want?\Can you give us an example? response:	Huh? An example? Umm, umm...
context: Does anyone have any ideas for a style filled with our dreams...\What's up with that?\Sounds like a pain in the ass...\What does she mean, filled with our dreams?\Vivid...?\What does she want?\Can you give us an example?\Huh? An example? Umm, umm... response:	Plenty of color...
context: What's up with that?\Sounds like a pain in the ass...\What does she mean, filled with our dreams?\Vivid...?\What does she want?\Can you give us an example?\Huh? An example? Umm, umm...\Plenty of color... response:	Filled with our dreams...
context: Sounds like a pain in the ass...\What does she mean, filled with our dreams?\Vivid...?\What does she want?\Can you give us an example?\Huh? An example? Umm, umm...\Plenty of color...\Filled with our dreams... response:	Vivid...
context: What does she mean, filled with our dreams?\Vivid...?\What does she want?\Can you give us an example?\Huh? An example? Umm, umm...\Plenty of color...\Filled with our dreams...\Vivid... response:	Plenty of color...
context: Vivid...?\What does she want?\Can you give us an example?\Huh? An example? Umm, umm...\Plenty of color...\Filled with our dreams...\Vivid...\Plenty of color... response:	L-Like a peacock?
context: What does she want?\Can you give us an example?\Huh? An example? Umm, umm...\Plenty of color...\Filled with our dreams...\Vivid...\Plenty of color...\L-Like a peacock? response:	Filled with our dreams...
context: Can you give us an example?\Huh? An example? Umm, umm...\Plenty of color...\Filled with our dreams...\Vivid...\Plenty of color...\L-Like a peacock?\Filled with our dreams... response:	A-A rainbow? Huh?
context: Huh? An example? Umm, umm...\Plenty of color...\Filled with our dreams...\Vivid...\Plenty of color...\L-Like a peacock?\Filled with our dreams...\A-A rainbow? Huh? response:	Vivid...
context: Plenty of color...\Filled with our dreams...\Vivid...\Plenty of color...\L-Like a peacock?\Filled with our dreams...\A-A rainbow? Huh?\Vivid... response:	Umm... it's pretty difficult to come up with.
context: Filled with our dreams...\Vivid...\Plenty of color...\L-Like a peacock?\Filled with our dreams...\A-A rainbow? Huh?\Vivid...\Umm... it's pretty difficult to come up with. response:	A peacock?
context: Vivid...\Plenty of color...\L-Like a peacock?\Filled with our dreams...\A-A rainbow? Huh?\Vivid...\Umm... it's pretty difficult to come up with.\A peacock? response:	She said a rainbow?
context: Plenty of color...\L-Like a peacock?\Filled with our dreams...\A-A rainbow? Huh?\Vivid...\Umm... it's pretty difficult to come up with.\A peacock?\She said a rainbow? response:	D-Does anyone have any ideas?
context: L-Like a peacock?\Filled with our dreams...\A-A rainbow? Huh?\Vivid...\Umm... it's pretty difficult to come up with.\A peacock?\She said a rainbow?\D-Does anyone have any ideas? response:	Ah, yes?
context: Filled with our dreams...\A-A rainbow? Huh?\Vivid...\Umm... it's pretty difficult to come up with.\A peacock?\She said a rainbow?\D-Does anyone have any ideas?\Ah, yes? response:	Oh, great! Who's going to suggest something?
context: A-A rainbow? Huh?\Vivid...\Umm... it's pretty difficult to come up with.\A peacock?\She said a rainbow?\D-Does anyone have any ideas?\Ah, yes?\Oh, great! Who's going to suggest something? response:	A-Ah... Ya-Yano-kun. Please.
context: Vivid...\Umm... it's pretty difficult to come up with.\A peacock?\She said a rainbow?\D-Does anyone have any ideas?\Ah, yes?\Oh, great! Who's going to suggest something?\A-Ah... Ya-Yano-kun. Please. response:	What about Disneyland?
context: Umm... it's pretty difficult to come up with.\A peacock?\She said a rainbow?\D-Does anyone have any ideas?\Ah, yes?\Oh, great! Who's going to suggest something?\A-Ah... Ya-Yano-kun. Please.\What about Disneyland? response:	We could build the castle, use that mouse character, and light it up with decorative bulbs and stuff.
