context: So that happened, huh? response:	To think that that's how I'd reunite with Kazuhiko.
context: There...\I'm fine.\It isn't as far as I thought.\Shall we ask the people around here if they need any of the stuff we don't?\It might be better than throwing it away...\It's strange.\I thought they would protect us.\But they were useless. response:	Some heroes...
context: I'm fine.\It isn't as far as I thought.\Shall we ask the people around here if they need any of the stuff we don't?\It might be better than throwing it away...\It's strange.\I thought they would protect us.\But they were useless.\Some heroes... response:	In the end, they're just adventurers.
context: It isn't as far as I thought.\Shall we ask the people around here if they need any of the stuff we don't?\It might be better than throwing it away...\It's strange.\I thought they would protect us.\But they were useless.\Some heroes...\In the end, they're just adventurers. response:	They don't care about us.
context: Shall we ask the people around here if they need any of the stuff we don't?\It might be better than throwing it away...\It's strange.\I thought they would protect us.\But they were useless.\Some heroes...\In the end, they're just adventurers.\They don't care about us. response:	No, Isuzu!
context: It might be better than throwing it away...\It's strange.\I thought they would protect us.\But they were useless.\Some heroes...\In the end, they're just adventurers.\They don't care about us.\No, Isuzu! response:	They aren't talking about you!
context: It's strange.\I thought they would protect us.\But they were useless.\Some heroes...\In the end, they're just adventurers.\They don't care about us.\No, Isuzu!\They aren't talking about you! response:	Yeah.
context: I thought they would protect us.\But they were useless.\Some heroes...\In the end, they're just adventurers.\They don't care about us.\No, Isuzu!\They aren't talking about you!\Yeah. response:	They're talking about those knights, aren't they?
context: But they were useless.\Some heroes...\In the end, they're just adventurers.\They don't care about us.\No, Isuzu!\They aren't talking about you!\Yeah.\They're talking about those knights, aren't they? response:	But...
context: Some heroes...\In the end, they're just adventurers.\They don't care about us.\No, Isuzu!\They aren't talking about you!\Yeah.\They're talking about those knights, aren't they?\But... response:	I understand why you wanted to get us out of here as soon as possible.
context: In the end, they're just adventurers.\They don't care about us.\No, Isuzu!\They aren't talking about you!\Yeah.\They're talking about those knights, aren't they?\But...\I understand why you wanted to get us out of here as soon as possible. response:	I think a lot of people's lives were saved because the knights were here.
context: They don't care about us.\No, Isuzu!\They aren't talking about you!\Yeah.\They're talking about those knights, aren't they?\But...\I understand why you wanted to get us out of here as soon as possible.\I think a lot of people's lives were saved because the knights were here. response:	But there are some people who feel betrayed because they got their hopes up.
context: No, Isuzu!\They aren't talking about you!\Yeah.\They're talking about those knights, aren't they?\But...\I understand why you wanted to get us out of here as soon as possible.\I think a lot of people's lives were saved because the knights were here.\But there are some people who feel betrayed because they got their hopes up. response:	Yeah, we're also adventurers.
context: They aren't talking about you!\Yeah.\They're talking about those knights, aren't they?\But...\I understand why you wanted to get us out of here as soon as possible.\I think a lot of people's lives were saved because the knights were here.\But there are some people who feel betrayed because they got their hopes up.\Yeah, we're also adventurers. response:	We might be blamed for that.
context: Yeah.\They're talking about those knights, aren't they?\But...\I understand why you wanted to get us out of here as soon as possible.\I think a lot of people's lives were saved because the knights were here.\But there are some people who feel betrayed because they got their hopes up.\Yeah, we're also adventurers.\We might be blamed for that. response:	I'm sorry.
context: They're talking about those knights, aren't they?\But...\I understand why you wanted to get us out of here as soon as possible.\I think a lot of people's lives were saved because the knights were here.\But there are some people who feel betrayed because they got their hopes up.\Yeah, we're also adventurers.\We might be blamed for that.\I'm sorry. response:	It's not something you need to apologize for.
context: But...\I understand why you wanted to get us out of here as soon as possible.\I think a lot of people's lives were saved because the knights were here.\But there are some people who feel betrayed because they got their hopes up.\Yeah, we're also adventurers.\We might be blamed for that.\I'm sorry.\It's not something you need to apologize for. response:	And I'm really glad we came here.
context: I understand why you wanted to get us out of here as soon as possible.\I think a lot of people's lives were saved because the knights were here.\But there are some people who feel betrayed because they got their hopes up.\Yeah, we're also adventurers.\We might be blamed for that.\I'm sorry.\It's not something you need to apologize for.\And I'm really glad we came here. response:	All the things that were bothering me seem so small now.
context: I think a lot of people's lives were saved because the knights were here.\But there are some people who feel betrayed because they got their hopes up.\Yeah, we're also adventurers.\We might be blamed for that.\I'm sorry.\It's not something you need to apologize for.\And I'm really glad we came here.\All the things that were bothering me seem so small now. response:	So I wanted to do something for this town.
context: But there are some people who feel betrayed because they got their hopes up.\Yeah, we're also adventurers.\We might be blamed for that.\I'm sorry.\It's not something you need to apologize for.\And I'm really glad we came here.\All the things that were bothering me seem so small now.\So I wanted to do something for this town. response:	I wanted to leave something for them.
context: Yeah, we're also adventurers.\We might be blamed for that.\I'm sorry.\It's not something you need to apologize for.\And I'm really glad we came here.\All the things that were bothering me seem so small now.\So I wanted to do something for this town.\I wanted to leave something for them. response:	You gave them a forty-three..
context: We might be blamed for that.\I'm sorry.\It's not something you need to apologize for.\And I'm really glad we came here.\All the things that were bothering me seem so small now.\So I wanted to do something for this town.\I wanted to leave something for them.\You gave them a forty-three.. response:	A new song that never existed in this world.
context: I'm sorry.\It's not something you need to apologize for.\And I'm really glad we came here.\All the things that were bothering me seem so small now.\So I wanted to do something for this town.\I wanted to leave something for them.\You gave them a forty-three..\A new song that never existed in this world. response:	That song... It's hope! Hope!
context: It's not something you need to apologize for.\And I'm really glad we came here.\All the things that were bothering me seem so small now.\So I wanted to do something for this town.\I wanted to leave something for them.\You gave them a forty-three..\A new song that never existed in this world.\That song... It's hope! Hope! response:	Thank you, Rudy.
context: And I'm really glad we came here.\All the things that were bothering me seem so small now.\So I wanted to do something for this town.\I wanted to leave something for them.\You gave them a forty-three..\A new song that never existed in this world.\That song... It's hope! Hope!\Thank you, Rudy. response:	But if it doesn't remain here, then...
context: All the things that were bothering me seem so small now.\So I wanted to do something for this town.\I wanted to leave something for them.\You gave them a forty-three..\A new song that never existed in this world.\That song... It's hope! Hope!\Thank you, Rudy.\But if it doesn't remain here, then... response:	Our journey's over, isn't it?
context: So I wanted to do something for this town.\I wanted to leave something for them.\You gave them a forty-three..\A new song that never existed in this world.\That song... It's hope! Hope!\Thank you, Rudy.\But if it doesn't remain here, then...\Our journey's over, isn't it? response:	Yeah.
context: I wanted to leave something for them.\You gave them a forty-three..\A new song that never existed in this world.\That song... It's hope! Hope!\Thank you, Rudy.\But if it doesn't remain here, then...\Our journey's over, isn't it?\Yeah. response:	Is something wrong?
context: You gave them a forty-three..\A new song that never existed in this world.\That song... It's hope! Hope!\Thank you, Rudy.\But if it doesn't remain here, then...\Our journey's over, isn't it?\Yeah.\Is something wrong? response:	A song?
context: A new song that never existed in this world.\That song... It's hope! Hope!\Thank you, Rudy.\But if it doesn't remain here, then...\Our journey's over, isn't it?\Yeah.\Is something wrong?\A song? response:	A song?
context: That song... It's hope! Hope!\Thank you, Rudy.\But if it doesn't remain here, then...\Our journey's over, isn't it?\Yeah.\Is something wrong?\A song?\A song? response:	You're right! That song!
context: Thank you, Rudy.\But if it doesn't remain here, then...\Our journey's over, isn't it?\Yeah.\Is something wrong?\A song?\A song?\You're right! That song! response:	Those kids...
context: But if it doesn't remain here, then...\Our journey's over, isn't it?\Yeah.\Is something wrong?\A song?\A song?\You're right! That song!\Those kids... response:	It's still here.
context: Our journey's over, isn't it?\Yeah.\Is something wrong?\A song?\A song?\You're right! That song!\Those kids...\It's still here. response:	You made a new song.
context: Yeah.\Is something wrong?\A song?\A song?\You're right! That song!\Those kids...\It's still here.\You made a new song. response:	And now, that song will become a new hope for those kids.
context: Is something wrong?\A song?\A song?\You're right! That song!\Those kids...\It's still here.\You made a new song.\And now, that song will become a new hope for those kids. response:	They're singing Isuzu's song over there, too!
context: A song?\A song?\You're right! That song!\Those kids...\It's still here.\You made a new song.\And now, that song will become a new hope for those kids.\They're singing Isuzu's song over there, too! response:	This is as far as we were able to come, but...
context: A song?\You're right! That song!\Those kids...\It's still here.\You made a new song.\And now, that song will become a new hope for those kids.\They're singing Isuzu's song over there, too!\This is as far as we were able to come, but... response:	Yes, but this song...
context: You're right! That song!\Those kids...\It's still here.\You made a new song.\And now, that song will become a new hope for those kids.\They're singing Isuzu's song over there, too!\This is as far as we were able to come, but...\Yes, but this song... response:	It'll go farther west.
context: Those kids...\It's still here.\You made a new song.\And now, that song will become a new hope for those kids.\They're singing Isuzu's song over there, too!\This is as far as we were able to come, but...\Yes, but this song...\It'll go farther west. response:	It will spread out around the whole world!
context: It's still here.\You made a new song.\And now, that song will become a new hope for those kids.\They're singing Isuzu's song over there, too!\This is as far as we were able to come, but...\Yes, but this song...\It'll go farther west.\It will spread out around the whole world! response:	And it'll give everyone the most important thing: hope.
context: You made a new song.\And now, that song will become a new hope for those kids.\They're singing Isuzu's song over there, too!\This is as far as we were able to come, but...\Yes, but this song...\It'll go farther west.\It will spread out around the whole world!\And it'll give everyone the most important thing: hope. response:	A griffon?
context: And now, that song will become a new hope for those kids.\They're singing Isuzu's song over there, too!\This is as far as we were able to come, but...\Yes, but this song...\It'll go farther west.\It will spread out around the whole world!\And it'll give everyone the most important thing: hope.\A griffon? response:	Meow.
context: They're singing Isuzu's song over there, too!\This is as far as we were able to come, but...\Yes, but this song...\It'll go farther west.\It will spread out around the whole world!\And it'll give everyone the most important thing: hope.\A griffon?\Meow. response:	Nyanta!
context: This is as far as we were able to come, but...\Yes, but this song...\It'll go farther west.\It will spread out around the whole world!\And it'll give everyone the most important thing: hope.\A griffon?\Meow.\Nyanta! response:	Chief!
context: Yes, but this song...\It'll go farther west.\It will spread out around the whole world!\And it'll give everyone the most important thing: hope.\A griffon?\Meow.\Nyanta!\Chief! response:	Nyanta!
context: It'll go farther west.\It will spread out around the whole world!\And it'll give everyone the most important thing: hope.\A griffon?\Meow.\Nyanta!\Chief!\Nyanta! response:	It'd been so long since we'd seen Akihabara.
context: It will spread out around the whole world!\And it'll give everyone the most important thing: hope.\A griffon?\Meow.\Nyanta!\Chief!\Nyanta!\It'd been so long since we'd seen Akihabara. response:	And the city and everyone's smiles seemed so bright, so hopeful.
context: And it'll give everyone the most important thing: hope.\A griffon?\Meow.\Nyanta!\Chief!\Nyanta!\It'd been so long since we'd seen Akihabara.\And the city and everyone's smiles seemed so bright, so hopeful. response:	I felt my whole body relaxing.
context: A griffon?\Meow.\Nyanta!\Chief!\Nyanta!\It'd been so long since we'd seen Akihabara.\And the city and everyone's smiles seemed so bright, so hopeful.\I felt my whole body relaxing. response:	All the tension just disappeared...
context: Meow.\Nyanta!\Chief!\Nyanta!\It'd been so long since we'd seen Akihabara.\And the city and everyone's smiles seemed so bright, so hopeful.\I felt my whole body relaxing.\All the tension just disappeared... response:	Cheers!
context: Nyanta!\Chief!\Nyanta!\It'd been so long since we'd seen Akihabara.\And the city and everyone's smiles seemed so bright, so hopeful.\I felt my whole body relaxing.\All the tension just disappeared...\Cheers! response:	Yes... We've always been protected here, by these people.
context: Chief!\Nyanta!\It'd been so long since we'd seen Akihabara.\And the city and everyone's smiles seemed so bright, so hopeful.\I felt my whole body relaxing.\All the tension just disappeared...\Cheers!\Yes... We've always been protected here, by these people. response:	I remembered that again.
context: Nyanta!\It'd been so long since we'd seen Akihabara.\And the city and everyone's smiles seemed so bright, so hopeful.\I felt my whole body relaxing.\All the tension just disappeared...\Cheers!\Yes... We've always been protected here, by these people.\I remembered that again. response:	Afterward, everyone else and I fell asleep, though we don't remember when.
context: It'd been so long since we'd seen Akihabara.\And the city and everyone's smiles seemed so bright, so hopeful.\I felt my whole body relaxing.\All the tension just disappeared...\Cheers!\Yes... We've always been protected here, by these people.\I remembered that again.\Afterward, everyone else and I fell asleep, though we don't remember when. response:	But I remember Roe 2 appeared in my dreams.
context: And the city and everyone's smiles seemed so bright, so hopeful.\I felt my whole body relaxing.\All the tension just disappeared...\Cheers!\Yes... We've always been protected here, by these people.\I remembered that again.\Afterward, everyone else and I fell asleep, though we don't remember when.\But I remember Roe 2 appeared in my dreams. response:	Even in my dream, she was a mystery.
context: I felt my whole body relaxing.\All the tension just disappeared...\Cheers!\Yes... We've always been protected here, by these people.\I remembered that again.\Afterward, everyone else and I fell asleep, though we don't remember when.\But I remember Roe 2 appeared in my dreams.\Even in my dream, she was a mystery. response:	Unknown monsters, the Geniuses, sneak into Akihabara to cause chaos.
context: All the tension just disappeared...\Cheers!\Yes... We've always been protected here, by these people.\I remembered that again.\Afterward, everyone else and I fell asleep, though we don't remember when.\But I remember Roe 2 appeared in my dreams.\Even in my dream, she was a mystery.\Unknown monsters, the Geniuses, sneak into Akihabara to cause chaos. response:	Who are they?
context: Cheers!\Yes... We've always been protected here, by these people.\I remembered that again.\Afterward, everyone else and I fell asleep, though we don't remember when.\But I remember Roe 2 appeared in my dreams.\Even in my dream, she was a mystery.\Unknown monsters, the Geniuses, sneak into Akihabara to cause chaos.\Who are they? response:	The letter from Roe 2 holds the key to that mystery.
context: Yes... We've always been protected here, by these people.\I remembered that again.\Afterward, everyone else and I fell asleep, though we don't remember when.\But I remember Roe 2 appeared in my dreams.\Even in my dream, she was a mystery.\Unknown monsters, the Geniuses, sneak into Akihabara to cause chaos.\Who are they?\The letter from Roe 2 holds the key to that mystery. response:	There is still something in this world that Shiroe and the others know nothing of.
context: I remembered that again.\Afterward, everyone else and I fell asleep, though we don't remember when.\But I remember Roe 2 appeared in my dreams.\Even in my dream, she was a mystery.\Unknown monsters, the Geniuses, sneak into Akihabara to cause chaos.\Who are they?\The letter from Roe 2 holds the key to that mystery.\There is still something in this world that Shiroe and the others know nothing of. response:	The People of the Land, the adventurers, and...
context: Afterward, everyone else and I fell asleep, though we don't remember when.\But I remember Roe 2 appeared in my dreams.\Even in my dream, she was a mystery.\Unknown monsters, the Geniuses, sneak into Akihabara to cause chaos.\Who are they?\The letter from Roe 2 holds the key to that mystery.\There is still something in this world that Shiroe and the others know nothing of.\The People of the Land, the adventurers, and... response:	Next time: Stranger.
context: But I remember Roe 2 appeared in my dreams.\Even in my dream, she was a mystery.\Unknown monsters, the Geniuses, sneak into Akihabara to cause chaos.\Who are they?\The letter from Roe 2 holds the key to that mystery.\There is still something in this world that Shiroe and the others know nothing of.\The People of the Land, the adventurers, and...\Next time: Stranger. response:	Stranger
context: Even in my dream, she was a mystery.\Unknown monsters, the Geniuses, sneak into Akihabara to cause chaos.\Who are they?\The letter from Roe 2 holds the key to that mystery.\There is still something in this world that Shiroe and the others know nothing of.\The People of the Land, the adventurers, and...\Next time: Stranger.\Stranger response:	I have friends to run with me.
