context: Princess? response:	What is the matter? You're here alone, and so late at night...
context: Even about a peasant familiar like him?\That's why I've grown an interest in you.\I had thought I would like to ask you for a practice match.\The ship leaves tomorrow night.\It's boring to just spend idle time, right?\Lord Wardes!\Of course, I won't force you to do so.\I don't mind. response:	Saito, stop it!
context: That's why I've grown an interest in you.\I had thought I would like to ask you for a practice match.\The ship leaves tomorrow night.\It's boring to just spend idle time, right?\Lord Wardes!\Of course, I won't force you to do so.\I don't mind.\Saito, stop it! response:	Lord Wardes, this is no time to be doing such a...
context: I had thought I would like to ask you for a practice match.\The ship leaves tomorrow night.\It's boring to just spend idle time, right?\Lord Wardes!\Of course, I won't force you to do so.\I don't mind.\Saito, stop it!\Lord Wardes, this is no time to be doing such a... response:	It's okay. I'll go easy on him, of course.
context: The ship leaves tomorrow night.\It's boring to just spend idle time, right?\Lord Wardes!\Of course, I won't force you to do so.\I don't mind.\Saito, stop it!\Lord Wardes, this is no time to be doing such a...\It's okay. I'll go easy on him, of course. response:	Now, let's get to our rooms soon.
context: It's boring to just spend idle time, right?\Lord Wardes!\Of course, I won't force you to do so.\I don't mind.\Saito, stop it!\Lord Wardes, this is no time to be doing such a...\It's okay. I'll go easy on him, of course.\Now, let's get to our rooms soon. response:	Come, Louise.
context: Lord Wardes!\Of course, I won't force you to do so.\I don't mind.\Saito, stop it!\Lord Wardes, this is no time to be doing such a...\It's okay. I'll go easy on him, of course.\Now, let's get to our rooms soon.\Come, Louise. response:	Room?
context: Of course, I won't force you to do so.\I don't mind.\Saito, stop it!\Lord Wardes, this is no time to be doing such a...\It's okay. I'll go easy on him, of course.\Now, let's get to our rooms soon.\Come, Louise.\Room? response:	No, I can't. We're not married yet.
context: I don't mind.\Saito, stop it!\Lord Wardes, this is no time to be doing such a...\It's okay. I'll go easy on him, of course.\Now, let's get to our rooms soon.\Come, Louise.\Room?\No, I can't. We're not married yet. response:	It's all right. We're engaged.
context: Saito, stop it!\Lord Wardes, this is no time to be doing such a...\It's okay. I'll go easy on him, of course.\Now, let's get to our rooms soon.\Come, Louise.\Room?\No, I can't. We're not married yet.\It's all right. We're engaged. response:	But...
context: Lord Wardes, this is no time to be doing such a...\It's okay. I'll go easy on him, of course.\Now, let's get to our rooms soon.\Come, Louise.\Room?\No, I can't. We're not married yet.\It's all right. We're engaged.\But... response:	I have something important to tell you.
context: It's okay. I'll go easy on him, of course.\Now, let's get to our rooms soon.\Come, Louise.\Room?\No, I can't. We're not married yet.\It's all right. We're engaged.\But...\I have something important to tell you. response:	A romantic evening.
context: Now, let's get to our rooms soon.\Come, Louise.\Room?\No, I can't. We're not married yet.\It's all right. We're engaged.\But...\I have something important to tell you.\A romantic evening. response:	Not really.
context: Come, Louise.\Room?\No, I can't. We're not married yet.\It's all right. We're engaged.\But...\I have something important to tell you.\A romantic evening.\Not really. response:	It's pitiful that you're the one I'm sharing it with.
context: Room?\No, I can't. We're not married yet.\It's all right. We're engaged.\But...\I have something important to tell you.\A romantic evening.\Not really.\It's pitiful that you're the one I'm sharing it with. response:	Same here.
context: No, I can't. We're not married yet.\It's all right. We're engaged.\But...\I have something important to tell you.\A romantic evening.\Not really.\It's pitiful that you're the one I'm sharing it with.\Same here. response:	Oh, that's right! I remember now, I have to do something!
context: It's all right. We're engaged.\But...\I have something important to tell you.\A romantic evening.\Not really.\It's pitiful that you're the one I'm sharing it with.\Same here.\Oh, that's right! I remember now, I have to do something! response:	Do something?
context: But...\I have something important to tell you.\A romantic evening.\Not really.\It's pitiful that you're the one I'm sharing it with.\Same here.\Oh, that's right! I remember now, I have to do something!\Do something? response:	I just remembered that when we were eating,
context: I have something important to tell you.\A romantic evening.\Not really.\It's pitiful that you're the one I'm sharing it with.\Same here.\Oh, that's right! I remember now, I have to do something!\Do something?\I just remembered that when we were eating, response:	there was a young lady!
context: A romantic evening.\Not really.\It's pitiful that you're the one I'm sharing it with.\Same here.\Oh, that's right! I remember now, I have to do something!\Do something?\I just remembered that when we were eating,\there was a young lady! response:	I have to speak with her. Otherwise I'd be rude, yes?
context: Not really.\It's pitiful that you're the one I'm sharing it with.\Same here.\Oh, that's right! I remember now, I have to do something!\Do something?\I just remembered that when we were eating,\there was a young lady!\I have to speak with her. Otherwise I'd be rude, yes? response:	What's with that logic?
context: It's pitiful that you're the one I'm sharing it with.\Same here.\Oh, that's right! I remember now, I have to do something!\Do something?\I just remembered that when we were eating,\there was a young lady!\I have to speak with her. Otherwise I'd be rude, yes?\What's with that logic? response:	Hey, Derf.
context: Same here.\Oh, that's right! I remember now, I have to do something!\Do something?\I just remembered that when we were eating,\there was a young lady!\I have to speak with her. Otherwise I'd be rude, yes?\What's with that logic?\Hey, Derf. response:	What is it, partner?
context: Oh, that's right! I remember now, I have to do something!\Do something?\I just remembered that when we were eating,\there was a young lady!\I have to speak with her. Otherwise I'd be rude, yes?\What's with that logic?\Hey, Derf.\What is it, partner? response:	Do you know about Gundolf?
context: Do something?\I just remembered that when we were eating,\there was a young lady!\I have to speak with her. Otherwise I'd be rude, yes?\What's with that logic?\Hey, Derf.\What is it, partner?\Do you know about Gundolf? response:	What are you talking about, this late in the game?
context: I just remembered that when we were eating,\there was a young lady!\I have to speak with her. Otherwise I'd be rude, yes?\What's with that logic?\Hey, Derf.\What is it, partner?\Do you know about Gundolf?\What are you talking about, this late in the game? response:	What are you, if you're not Gundolf?
context: there was a young lady!\I have to speak with her. Otherwise I'd be rude, yes?\What's with that logic?\Hey, Derf.\What is it, partner?\Do you know about Gundolf?\What are you talking about, this late in the game?\What are you, if you're not Gundolf? response:	My partner has always been Gundolf, 6000 years ago to the present.
context: I have to speak with her. Otherwise I'd be rude, yes?\What's with that logic?\Hey, Derf.\What is it, partner?\Do you know about Gundolf?\What are you talking about, this late in the game?\What are you, if you're not Gundolf?\My partner has always been Gundolf, 6000 years ago to the present. response:	Are you crying, mi lady?
context: What's with that logic?\Hey, Derf.\What is it, partner?\Do you know about Gundolf?\What are you talking about, this late in the game?\What are you, if you're not Gundolf?\My partner has always been Gundolf, 6000 years ago to the present.\Are you crying, mi lady? response:	Viscount, you were here?
context: Hey, Derf.\What is it, partner?\Do you know about Gundolf?\What are you talking about, this late in the game?\What are you, if you're not Gundolf?\My partner has always been Gundolf, 6000 years ago to the present.\Are you crying, mi lady?\Viscount, you were here? response:	You were scolded again by your father?
context: What is it, partner?\Do you know about Gundolf?\What are you talking about, this late in the game?\What are you, if you're not Gundolf?\My partner has always been Gundolf, 6000 years ago to the present.\Are you crying, mi lady?\Viscount, you were here?\You were scolded again by your father? response:	Now, come. I will speak well to your father.
context: Do you know about Gundolf?\What are you talking about, this late in the game?\What are you, if you're not Gundolf?\My partner has always been Gundolf, 6000 years ago to the present.\Are you crying, mi lady?\Viscount, you were here?\You were scolded again by your father?\Now, come. I will speak well to your father. response:	It's all right. I am at your side.
context: What are you talking about, this late in the game?\What are you, if you're not Gundolf?\My partner has always been Gundolf, 6000 years ago to the present.\Are you crying, mi lady?\Viscount, you were here?\You were scolded again by your father?\Now, come. I will speak well to your father.\It's all right. I am at your side. response:	Your magical powers were always compared with your older sisters,
context: What are you, if you're not Gundolf?\My partner has always been Gundolf, 6000 years ago to the present.\Are you crying, mi lady?\Viscount, you were here?\You were scolded again by your father?\Now, come. I will speak well to your father.\It's all right. I am at your side.\Your magical powers were always compared with your older sisters, response:	and you always pouted in that small boat.
context: My partner has always been Gundolf, 6000 years ago to the present.\Are you crying, mi lady?\Viscount, you were here?\You were scolded again by your father?\Now, come. I will speak well to your father.\It's all right. I am at your side.\Your magical powers were always compared with your older sisters,\and you always pouted in that small boat. response:	Geez, Lord Wardes!
context: Are you crying, mi lady?\Viscount, you were here?\You were scolded again by your father?\Now, come. I will speak well to your father.\It's all right. I am at your side.\Your magical powers were always compared with your older sisters,\and you always pouted in that small boat.\Geez, Lord Wardes! response:	But I always felt an aura from you unlike any other, even back then.
context: Viscount, you were here?\You were scolded again by your father?\Now, come. I will speak well to your father.\It's all right. I am at your side.\Your magical powers were always compared with your older sisters,\and you always pouted in that small boat.\Geez, Lord Wardes!\But I always felt an aura from you unlike any other, even back then. response:	An aura unlike any other?
context: You were scolded again by your father?\Now, come. I will speak well to your father.\It's all right. I am at your side.\Your magical powers were always compared with your older sisters,\and you always pouted in that small boat.\Geez, Lord Wardes!\But I always felt an aura from you unlike any other, even back then.\An aura unlike any other? response:	There is a special power that only you have.
context: Now, come. I will speak well to your father.\It's all right. I am at your side.\Your magical powers were always compared with your older sisters,\and you always pouted in that small boat.\Geez, Lord Wardes!\But I always felt an aura from you unlike any other, even back then.\An aura unlike any other?\There is a special power that only you have. response:	That's not true.
context: It's all right. I am at your side.\Your magical powers were always compared with your older sisters,\and you always pouted in that small boat.\Geez, Lord Wardes!\But I always felt an aura from you unlike any other, even back then.\An aura unlike any other?\There is a special power that only you have.\That's not true. response:	I've had only failures in magic so far.
context: Your magical powers were always compared with your older sisters,\and you always pouted in that small boat.\Geez, Lord Wardes!\But I always felt an aura from you unlike any other, even back then.\An aura unlike any other?\There is a special power that only you have.\That's not true.\I've had only failures in magic so far. response:	Let's get married when this mission is over, Louise.
context: and you always pouted in that small boat.\Geez, Lord Wardes!\But I always felt an aura from you unlike any other, even back then.\An aura unlike any other?\There is a special power that only you have.\That's not true.\I've had only failures in magic so far.\Let's get married when this mission is over, Louise. response:	We just happened to buy something
context: Geez, Lord Wardes!\But I always felt an aura from you unlike any other, even back then.\An aura unlike any other?\There is a special power that only you have.\That's not true.\I've had only failures in magic so far.\Let's get married when this mission is over, Louise.\We just happened to buy something response:	from the bargain rack in the armory, you know?
context: But I always felt an aura from you unlike any other, even back then.\An aura unlike any other?\There is a special power that only you have.\That's not true.\I've had only failures in magic so far.\Let's get married when this mission is over, Louise.\We just happened to buy something\from the bargain rack in the armory, you know? response:	Even if it was coincidence...
context: An aura unlike any other?\There is a special power that only you have.\That's not true.\I've had only failures in magic so far.\Let's get married when this mission is over, Louise.\We just happened to buy something\from the bargain rack in the armory, you know?\Even if it was coincidence... response:	There is no coincidence in this world.
context: There is a special power that only you have.\That's not true.\I've had only failures in magic so far.\Let's get married when this mission is over, Louise.\We just happened to buy something\from the bargain rack in the armory, you know?\Even if it was coincidence...\There is no coincidence in this world. response:	You are my partner, and that's why I'm here.
context: That's not true.\I've had only failures in magic so far.\Let's get married when this mission is over, Louise.\We just happened to buy something\from the bargain rack in the armory, you know?\Even if it was coincidence...\There is no coincidence in this world.\You are my partner, and that's why I'm here. response:	Isn't that common sense?
context: I've had only failures in magic so far.\Let's get married when this mission is over, Louise.\We just happened to buy something\from the bargain rack in the armory, you know?\Even if it was coincidence...\There is no coincidence in this world.\You are my partner, and that's why I'm here.\Isn't that common sense? response:	Then why didn't you tell me until now?
context: Let's get married when this mission is over, Louise.\We just happened to buy something\from the bargain rack in the armory, you know?\Even if it was coincidence...\There is no coincidence in this world.\You are my partner, and that's why I'm here.\Isn't that common sense?\Then why didn't you tell me until now? response:	Because you didn't ask.
context: We just happened to buy something\from the bargain rack in the armory, you know?\Even if it was coincidence...\There is no coincidence in this world.\You are my partner, and that's why I'm here.\Isn't that common sense?\Then why didn't you tell me until now?\Because you didn't ask. response:	Well, you have a point.
context: from the bargain rack in the armory, you know?\Even if it was coincidence...\There is no coincidence in this world.\You are my partner, and that's why I'm here.\Isn't that common sense?\Then why didn't you tell me until now?\Because you didn't ask.\Well, you have a point. response:	The power to freely wield weapons, huh?
context: Even if it was coincidence...\There is no coincidence in this world.\You are my partner, and that's why I'm here.\Isn't that common sense?\Then why didn't you tell me until now?\Because you didn't ask.\Well, you have a point.\The power to freely wield weapons, huh? response:	I'll tell you this,
context: There is no coincidence in this world.\You are my partner, and that's why I'm here.\Isn't that common sense?\Then why didn't you tell me until now?\Because you didn't ask.\Well, you have a point.\The power to freely wield weapons, huh?\I'll tell you this, response:	it only applies to things made to be weapons.
context: You are my partner, and that's why I'm here.\Isn't that common sense?\Then why didn't you tell me until now?\Because you didn't ask.\Well, you have a point.\The power to freely wield weapons, huh?\I'll tell you this,\it only applies to things made to be weapons. response:	It doesn't work at all for things made to be ornaments,
context: Isn't that common sense?\Then why didn't you tell me until now?\Because you didn't ask.\Well, you have a point.\The power to freely wield weapons, huh?\I'll tell you this,\it only applies to things made to be weapons.\It doesn't work at all for things made to be ornaments, response:	like that shiny sword from the other day.
context: Then why didn't you tell me until now?\Because you didn't ask.\Well, you have a point.\The power to freely wield weapons, huh?\I'll tell you this,\it only applies to things made to be weapons.\It doesn't work at all for things made to be ornaments,\like that shiny sword from the other day. response:	Then if I wielded you, would I win?
context: Because you didn't ask.\Well, you have a point.\The power to freely wield weapons, huh?\I'll tell you this,\it only applies to things made to be weapons.\It doesn't work at all for things made to be ornaments,\like that shiny sword from the other day.\Then if I wielded you, would I win? response:	Even against that Wardes guy?
context: Well, you have a point.\The power to freely wield weapons, huh?\I'll tell you this,\it only applies to things made to be weapons.\It doesn't work at all for things made to be ornaments,\like that shiny sword from the other day.\Then if I wielded you, would I win?\Even against that Wardes guy? response:	Are you stupid? That's all up to you. I'm only being used.
context: The power to freely wield weapons, huh?\I'll tell you this,\it only applies to things made to be weapons.\It doesn't work at all for things made to be ornaments,\like that shiny sword from the other day.\Then if I wielded you, would I win?\Even against that Wardes guy?\Are you stupid? That's all up to you. I'm only being used. response:	I don't intend to end as just the leader of the Magic Guards!
context: I'll tell you this,\it only applies to things made to be weapons.\It doesn't work at all for things made to be ornaments,\like that shiny sword from the other day.\Then if I wielded you, would I win?\Even against that Wardes guy?\Are you stupid? That's all up to you. I'm only being used.\I don't intend to end as just the leader of the Magic Guards! response:	Someday, I would like to rule a country...
context: it only applies to things made to be weapons.\It doesn't work at all for things made to be ornaments,\like that shiny sword from the other day.\Then if I wielded you, would I win?\Even against that Wardes guy?\Are you stupid? That's all up to you. I'm only being used.\I don't intend to end as just the leader of the Magic Guards!\Someday, I would like to rule a country... response:	No, I want to be a noble that moves the entire world of Harkeginia!
context: It doesn't work at all for things made to be ornaments,\like that shiny sword from the other day.\Then if I wielded you, would I win?\Even against that Wardes guy?\Are you stupid? That's all up to you. I'm only being used.\I don't intend to end as just the leader of the Magic Guards!\Someday, I would like to rule a country...\No, I want to be a noble that moves the entire world of Harkeginia! response:	But, such a sudden marriage?
context: like that shiny sword from the other day.\Then if I wielded you, would I win?\Even against that Wardes guy?\Are you stupid? That's all up to you. I'm only being used.\I don't intend to end as just the leader of the Magic Guards!\Someday, I would like to rule a country...\No, I want to be a noble that moves the entire world of Harkeginia!\But, such a sudden marriage? response:	I need you, Louise.
context: Then if I wielded you, would I win?\Even against that Wardes guy?\Are you stupid? That's all up to you. I'm only being used.\I don't intend to end as just the leader of the Magic Guards!\Someday, I would like to rule a country...\No, I want to be a noble that moves the entire world of Harkeginia!\But, such a sudden marriage?\I need you, Louise. response:	But it's so sudden!
context: Even against that Wardes guy?\Are you stupid? That's all up to you. I'm only being used.\I don't intend to end as just the leader of the Magic Guards!\Someday, I would like to rule a country...\No, I want to be a noble that moves the entire world of Harkeginia!\But, such a sudden marriage?\I need you, Louise.\But it's so sudden! response:	Louise...
context: Are you stupid? That's all up to you. I'm only being used.\I don't intend to end as just the leader of the Magic Guards!\Someday, I would like to rule a country...\No, I want to be a noble that moves the entire world of Harkeginia!\But, such a sudden marriage?\I need you, Louise.\But it's so sudden!\Louise... response:	I will protect you.
context: I don't intend to end as just the leader of the Magic Guards!\Someday, I would like to rule a country...\No, I want to be a noble that moves the entire world of Harkeginia!\But, such a sudden marriage?\I need you, Louise.\But it's so sudden!\Louise...\I will protect you. response:	If something happens, I'll protect you.
context: Someday, I would like to rule a country...\No, I want to be a noble that moves the entire world of Harkeginia!\But, such a sudden marriage?\I need you, Louise.\But it's so sudden!\Louise...\I will protect you.\If something happens, I'll protect you. response:	Saito...
context: No, I want to be a noble that moves the entire world of Harkeginia!\But, such a sudden marriage?\I need you, Louise.\But it's so sudden!\Louise...\I will protect you.\If something happens, I'll protect you.\Saito... response:	No, that's not it.
context: But, such a sudden marriage?\I need you, Louise.\But it's so sudden!\Louise...\I will protect you.\If something happens, I'll protect you.\Saito...\No, that's not it. response:	Saito came here from another world, not knowing anything,
context: I need you, Louise.\But it's so sudden!\Louise...\I will protect you.\If something happens, I'll protect you.\Saito...\No, that's not it.\Saito came here from another world, not knowing anything, response:	and I was the one that summoned him. I'm responsible...
context: But it's so sudden!\Louise...\I will protect you.\If something happens, I'll protect you.\Saito...\No, that's not it.\Saito came here from another world, not knowing anything,\and I was the one that summoned him. I'm responsible... response:	It looks like someone is starting to live inside your heart.
context: Louise...\I will protect you.\If something happens, I'll protect you.\Saito...\No, that's not it.\Saito came here from another world, not knowing anything,\and I was the one that summoned him. I'm responsible...\It looks like someone is starting to live inside your heart. response:	It's not like that! That can't be true!
context: I will protect you.\If something happens, I'll protect you.\Saito...\No, that's not it.\Saito came here from another world, not knowing anything,\and I was the one that summoned him. I'm responsible...\It looks like someone is starting to live inside your heart.\It's not like that! That can't be true! response:	It's all right. I won't ask you to give me an answer right now.
context: If something happens, I'll protect you.\Saito...\No, that's not it.\Saito came here from another world, not knowing anything,\and I was the one that summoned him. I'm responsible...\It looks like someone is starting to live inside your heart.\It's not like that! That can't be true!\It's all right. I won't ask you to give me an answer right now. response:	Listen to me, Lord Wardes!
context: Saito...\No, that's not it.\Saito came here from another world, not knowing anything,\and I was the one that summoned him. I'm responsible...\It looks like someone is starting to live inside your heart.\It's not like that! That can't be true!\It's all right. I won't ask you to give me an answer right now.\Listen to me, Lord Wardes! response:	By the end of this journey, your heart shall be completely mine.
context: No, that's not it.\Saito came here from another world, not knowing anything,\and I was the one that summoned him. I'm responsible...\It looks like someone is starting to live inside your heart.\It's not like that! That can't be true!\It's all right. I won't ask you to give me an answer right now.\Listen to me, Lord Wardes!\By the end of this journey, your heart shall be completely mine. response:	Let us rent one more room for now.
context: Saito came here from another world, not knowing anything,\and I was the one that summoned him. I'm responsible...\It looks like someone is starting to live inside your heart.\It's not like that! That can't be true!\It's all right. I won't ask you to give me an answer right now.\Listen to me, Lord Wardes!\By the end of this journey, your heart shall be completely mine.\Let us rent one more room for now. response:	Lord Wardes...
context: and I was the one that summoned him. I'm responsible...\It looks like someone is starting to live inside your heart.\It's not like that! That can't be true!\It's all right. I won't ask you to give me an answer right now.\Listen to me, Lord Wardes!\By the end of this journey, your heart shall be completely mine.\Let us rent one more room for now.\Lord Wardes... response:	Good night, Louise.
context: It looks like someone is starting to live inside your heart.\It's not like that! That can't be true!\It's all right. I won't ask you to give me an answer right now.\Listen to me, Lord Wardes!\By the end of this journey, your heart shall be completely mine.\Let us rent one more room for now.\Lord Wardes...\Good night, Louise. response:	Good night.
context: It's not like that! That can't be true!\It's all right. I won't ask you to give me an answer right now.\Listen to me, Lord Wardes!\By the end of this journey, your heart shall be completely mine.\Let us rent one more room for now.\Lord Wardes...\Good night, Louise.\Good night. response:	Oh, wait!
context: It's all right. I won't ask you to give me an answer right now.\Listen to me, Lord Wardes!\By the end of this journey, your heart shall be completely mine.\Let us rent one more room for now.\Lord Wardes...\Good night, Louise.\Good night.\Oh, wait! response:	Sheesh, I was only trying for a kiss.
context: Listen to me, Lord Wardes!\By the end of this journey, your heart shall be completely mine.\Let us rent one more room for now.\Lord Wardes...\Good night, Louise.\Good night.\Oh, wait!\Sheesh, I was only trying for a kiss. response:	These mountain girls are all so innocent.
context: By the end of this journey, your heart shall be completely mine.\Let us rent one more room for now.\Lord Wardes...\Good night, Louise.\Good night.\Oh, wait!\Sheesh, I was only trying for a kiss.\These mountain girls are all so innocent. response:	Then shall we begin, Saito?
context: Let us rent one more room for now.\Lord Wardes...\Good night, Louise.\Good night.\Oh, wait!\Sheesh, I was only trying for a kiss.\These mountain girls are all so innocent.\Then shall we begin, Saito? response:	Sure.
context: Lord Wardes...\Good night, Louise.\Good night.\Oh, wait!\Sheesh, I was only trying for a kiss.\These mountain girls are all so innocent.\Then shall we begin, Saito?\Sure. response:	Stop this foolishness! Sure.
context: Good night, Louise.\Good night.\Oh, wait!\Sheesh, I was only trying for a kiss.\These mountain girls are all so innocent.\Then shall we begin, Saito?\Sure.\Stop this foolishness! Sure. response:	Stop this foolishness!
context: Good night.\Oh, wait!\Sheesh, I was only trying for a kiss.\These mountain girls are all so innocent.\Then shall we begin, Saito?\Sure.\Stop this foolishness! Sure.\Stop this foolishness! response:	Nobles are troublesome folk.
context: Oh, wait!\Sheesh, I was only trying for a kiss.\These mountain girls are all so innocent.\Then shall we begin, Saito?\Sure.\Stop this foolishness! Sure.\Stop this foolishness!\Nobles are troublesome folk. response:	Am I strong or weak?
context: Sheesh, I was only trying for a kiss.\These mountain girls are all so innocent.\Then shall we begin, Saito?\Sure.\Stop this foolishness! Sure.\Stop this foolishness!\Nobles are troublesome folk.\Am I strong or weak? response:	It gets on your mind and you can't help but to move.
context: These mountain girls are all so innocent.\Then shall we begin, Saito?\Sure.\Stop this foolishness! Sure.\Stop this foolishness!\Nobles are troublesome folk.\Am I strong or weak?\It gets on your mind and you can't help but to move. response:	Saito, this is an order! Stop it!
context: Then shall we begin, Saito?\Sure.\Stop this foolishness! Sure.\Stop this foolishness!\Nobles are troublesome folk.\Am I strong or weak?\It gets on your mind and you can't help but to move.\Saito, this is an order! Stop it! response:	I can't hold anything back, okay?
context: Sure.\Stop this foolishness! Sure.\Stop this foolishness!\Nobles are troublesome folk.\Am I strong or weak?\It gets on your mind and you can't help but to move.\Saito, this is an order! Stop it!\I can't hold anything back, okay? response:	No need to hold back. Come at full strength.
context: Stop this foolishness! Sure.\Stop this foolishness!\Nobles are troublesome folk.\Am I strong or weak?\It gets on your mind and you can't help but to move.\Saito, this is an order! Stop it!\I can't hold anything back, okay?\No need to hold back. Come at full strength. response:	So agile... as I expected.
context: Stop this foolishness!\Nobles are troublesome folk.\Am I strong or weak?\It gets on your mind and you can't help but to move.\Saito, this is an order! Stop it!\I can't hold anything back, okay?\No need to hold back. Come at full strength.\So agile... as I expected. response:	But you are still a novice, with many openings.
context: Nobles are troublesome folk.\Am I strong or weak?\It gets on your mind and you can't help but to move.\Saito, this is an order! Stop it!\I can't hold anything back, okay?\No need to hold back. Come at full strength.\So agile... as I expected.\But you are still a novice, with many openings. response:	Del Wil Sol La Winde.
context: Am I strong or weak?\It gets on your mind and you can't help but to move.\Saito, this is an order! Stop it!\I can't hold anything back, okay?\No need to hold back. Come at full strength.\So agile... as I expected.\But you are still a novice, with many openings.\Del Wil Sol La Winde. response:	Look out, partner!
context: It gets on your mind and you can't help but to move.\Saito, this is an order! Stop it!\I can't hold anything back, okay?\No need to hold back. Come at full strength.\So agile... as I expected.\But you are still a novice, with many openings.\Del Wil Sol La Winde.\Look out, partner! response:	Are you all right, Saito?
context: Saito, this is an order! Stop it!\I can't hold anything back, okay?\No need to hold back. Come at full strength.\So agile... as I expected.\But you are still a novice, with many openings.\Del Wil Sol La Winde.\Look out, partner!\Are you all right, Saito? response:	You can't win against a real mage with your skills.
context: I can't hold anything back, okay?\No need to hold back. Come at full strength.\So agile... as I expected.\But you are still a novice, with many openings.\Del Wil Sol La Winde.\Look out, partner!\Are you all right, Saito?\You can't win against a real mage with your skills. response:	In other words, you can't protect Louise.
context: No need to hold back. Come at full strength.\So agile... as I expected.\But you are still a novice, with many openings.\Del Wil Sol La Winde.\Look out, partner!\Are you all right, Saito?\You can't win against a real mage with your skills.\In other words, you can't protect Louise. response:	As if I were under a real magic spell
context: So agile... as I expected.\But you are still a novice, with many openings.\Del Wil Sol La Winde.\Look out, partner!\Are you all right, Saito?\You can't win against a real mage with your skills.\In other words, you can't protect Louise.\As if I were under a real magic spell response:	A bright smile is burnt onto my heart
context: But you are still a novice, with many openings.\Del Wil Sol La Winde.\Look out, partner!\Are you all right, Saito?\You can't win against a real mage with your skills.\In other words, you can't protect Louise.\As if I were under a real magic spell\A bright smile is burnt onto my heart response:	But each time I see you, I give you a pointy, cold shoulder
context: Del Wil Sol La Winde.\Look out, partner!\Are you all right, Saito?\You can't win against a real mage with your skills.\In other words, you can't protect Louise.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder response:	Why do I act mean towards the one that I think about the most?
context: Look out, partner!\Are you all right, Saito?\You can't win against a real mage with your skills.\In other words, you can't protect Louise.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most? response:	My true feelings, the shards of loneliness
context: Are you all right, Saito?\You can't win against a real mage with your skills.\In other words, you can't protect Louise.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness response:	In the deepest part of my heart, I'm calling for you
context: You can't win against a real mage with your skills.\In other words, you can't protect Louise.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you response:	For the day to start from zero
context: In other words, you can't protect Louise.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero response:	Marriage? It's too sudden for such a thing.
context: As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\Marriage? It's too sudden for such a thing. response:	It's true that, Wardes, my feelings for you...
context: A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\Marriage? It's too sudden for such a thing.\It's true that, Wardes, my feelings for you... response:	But, but, what should I... Saito...
