context: Now, why don't you come with me, tiger boy? response:	Now, why don't you come with me, tiger boy?
context: Or you'll get shredded up by the madmen on the ground.\You know those are your only options, and you're still going to do it.\There was an old book at the orphanage.\It said, I've never regretted anything I've done.\I've only ever regretted the things that I didn't do.\What was the name of the author?\It's a parachute.\I kept one hidden in case I needed to escape. response:	I connected the white door to Moby Dick's plating.
context: You know those are your only options, and you're still going to do it.\There was an old book at the orphanage.\It said, I've never regretted anything I've done.\I've only ever regretted the things that I didn't do.\What was the name of the author?\It's a parachute.\I kept one hidden in case I needed to escape.\I connected the white door to Moby Dick's plating. response:	Really?
context: There was an old book at the orphanage.\It said, I've never regretted anything I've done.\I've only ever regretted the things that I didn't do.\What was the name of the author?\It's a parachute.\I kept one hidden in case I needed to escape.\I connected the white door to Moby Dick's plating.\Really? response:	The Guild won't let you off for letting me go.
context: It said, I've never regretted anything I've done.\I've only ever regretted the things that I didn't do.\What was the name of the author?\It's a parachute.\I kept one hidden in case I needed to escape.\I connected the white door to Moby Dick's plating.\Really?\The Guild won't let you off for letting me go. response:	I've always been lonely.
context: I've only ever regretted the things that I didn't do.\What was the name of the author?\It's a parachute.\I kept one hidden in case I needed to escape.\I connected the white door to Moby Dick's plating.\Really?\The Guild won't let you off for letting me go.\I've always been lonely. response:	Besides, as long as I'm in this room, I'm safe.
context: What was the name of the author?\It's a parachute.\I kept one hidden in case I needed to escape.\I connected the white door to Moby Dick's plating.\Really?\The Guild won't let you off for letting me go.\I've always been lonely.\Besides, as long as I'm in this room, I'm safe. response:	Hey, are you really going to be safe?
context: It's a parachute.\I kept one hidden in case I needed to escape.\I connected the white door to Moby Dick's plating.\Really?\The Guild won't let you off for letting me go.\I've always been lonely.\Besides, as long as I'm in this room, I'm safe.\Hey, are you really going to be safe? response:	I know you're invulnerable in this room.
context: I kept one hidden in case I needed to escape.\I connected the white door to Moby Dick's plating.\Really?\The Guild won't let you off for letting me go.\I've always been lonely.\Besides, as long as I'm in this room, I'm safe.\Hey, are you really going to be safe?\I know you're invulnerable in this room. response:	But doesn't that mean you can never leave this room?
context: I connected the white door to Moby Dick's plating.\Really?\The Guild won't let you off for letting me go.\I've always been lonely.\Besides, as long as I'm in this room, I'm safe.\Hey, are you really going to be safe?\I know you're invulnerable in this room.\But doesn't that mean you can never leave this room? response:	You're so dense.
context: Really?\The Guild won't let you off for letting me go.\I've always been lonely.\Besides, as long as I'm in this room, I'm safe.\Hey, are you really going to be safe?\I know you're invulnerable in this room.\But doesn't that mean you can never leave this room?\You're so dense. response:	It's just an excuse.
context: The Guild won't let you off for letting me go.\I've always been lonely.\Besides, as long as I'm in this room, I'm safe.\Hey, are you really going to be safe?\I know you're invulnerable in this room.\But doesn't that mean you can never leave this room?\You're so dense.\It's just an excuse. response:	Live.
context: I've always been lonely.\Besides, as long as I'm in this room, I'm safe.\Hey, are you really going to be safe?\I know you're invulnerable in this room.\But doesn't that mean you can never leave this room?\You're so dense.\It's just an excuse.\Live. response:	And save me from this place someday.
context: Besides, as long as I'm in this room, I'm safe.\Hey, are you really going to be safe?\I know you're invulnerable in this room.\But doesn't that mean you can never leave this room?\You're so dense.\It's just an excuse.\Live.\And save me from this place someday. response:	I'll be waiting.
context: Hey, are you really going to be safe?\I know you're invulnerable in this room.\But doesn't that mean you can never leave this room?\You're so dense.\It's just an excuse.\Live.\And save me from this place someday.\I'll be waiting. response:	All right.
context: I know you're invulnerable in this room.\But doesn't that mean you can never leave this room?\You're so dense.\It's just an excuse.\Live.\And save me from this place someday.\I'll be waiting.\All right. response:	The tiger has escaped.
context: But doesn't that mean you can never leave this room?\You're so dense.\It's just an excuse.\Live.\And save me from this place someday.\I'll be waiting.\All right.\The tiger has escaped. response:	To your stations!
context: You're so dense.\It's just an excuse.\Live.\And save me from this place someday.\I'll be waiting.\All right.\The tiger has escaped.\To your stations! response:	I repeat.
context: It's just an excuse.\Live.\And save me from this place someday.\I'll be waiting.\All right.\The tiger has escaped.\To your stations!\I repeat. response:	The tiger has escaped.
context: Live.\And save me from this place someday.\I'll be waiting.\All right.\The tiger has escaped.\To your stations!\I repeat.\The tiger has escaped. response:	Prepare anti-air cannons.
context: And save me from this place someday.\I'll be waiting.\All right.\The tiger has escaped.\To your stations!\I repeat.\The tiger has escaped.\Prepare anti-air cannons. response:	It's...
context: I'll be waiting.\All right.\The tiger has escaped.\To your stations!\I repeat.\The tiger has escaped.\Prepare anti-air cannons.\It's... response:	Control the traffic!
context: All right.\The tiger has escaped.\To your stations!\I repeat.\The tiger has escaped.\Prepare anti-air cannons.\It's...\Control the traffic! response:	We won't have anywhere left to do business.
context: The tiger has escaped.\To your stations!\I repeat.\The tiger has escaped.\Prepare anti-air cannons.\It's...\Control the traffic!\We won't have anywhere left to do business. response:	Protect it with your life!
context: To your stations!\I repeat.\The tiger has escaped.\Prepare anti-air cannons.\It's...\Control the traffic!\We won't have anywhere left to do business.\Protect it with your life! response:	I see.
context: I repeat.\The tiger has escaped.\Prepare anti-air cannons.\It's...\Control the traffic!\We won't have anywhere left to do business.\Protect it with your life!\I see. response:	So that's what's happening.
context: The tiger has escaped.\Prepare anti-air cannons.\It's...\Control the traffic!\We won't have anywhere left to do business.\Protect it with your life!\I see.\So that's what's happening. response:	Now, then.
context: Prepare anti-air cannons.\It's...\Control the traffic!\We won't have anywhere left to do business.\Protect it with your life!\I see.\So that's what's happening.\Now, then. response:	Mark here can hit a falling target, no problem.
context: It's...\Control the traffic!\We won't have anywhere left to do business.\Protect it with your life!\I see.\So that's what's happening.\Now, then.\Mark here can hit a falling target, no problem. response:	Peek-a-boo.
context: Control the traffic!\We won't have anywhere left to do business.\Protect it with your life!\I see.\So that's what's happening.\Now, then.\Mark here can hit a falling target, no problem.\Peek-a-boo. response:	What the...
context: We won't have anywhere left to do business.\Protect it with your life!\I see.\So that's what's happening.\Now, then.\Mark here can hit a falling target, no problem.\Peek-a-boo.\What the... response:	Tom has captured the target.
context: Protect it with your life!\I see.\So that's what's happening.\Now, then.\Mark here can hit a falling target, no problem.\Peek-a-boo.\What the...\Tom has captured the target. response:	Good boy, Tom!
context: I see.\So that's what's happening.\Now, then.\Mark here can hit a falling target, no problem.\Peek-a-boo.\What the...\Tom has captured the target.\Good boy, Tom! response:	All right, Huck, load the second shell.
context: So that's what's happening.\Now, then.\Mark here can hit a falling target, no problem.\Peek-a-boo.\What the...\Tom has captured the target.\Good boy, Tom!\All right, Huck, load the second shell. response:	Yes, sir.
context: Now, then.\Mark here can hit a falling target, no problem.\Peek-a-boo.\What the...\Tom has captured the target.\Good boy, Tom!\All right, Huck, load the second shell.\Yes, sir. response:	Trajectory and firing velocity, check.
context: Mark here can hit a falling target, no problem.\Peek-a-boo.\What the...\Tom has captured the target.\Good boy, Tom!\All right, Huck, load the second shell.\Yes, sir.\Trajectory and firing velocity, check. response:	Compensating for relative velocity with target body, check.
context: Peek-a-boo.\What the...\Tom has captured the target.\Good boy, Tom!\All right, Huck, load the second shell.\Yes, sir.\Trajectory and firing velocity, check.\Compensating for relative velocity with target body, check. response:	Huck's shot ripped through the parachute.
context: What the...\Tom has captured the target.\Good boy, Tom!\All right, Huck, load the second shell.\Yes, sir.\Trajectory and firing velocity, check.\Compensating for relative velocity with target body, check.\Huck's shot ripped through the parachute. response:	Yeah!
context: Tom has captured the target.\Good boy, Tom!\All right, Huck, load the second shell.\Yes, sir.\Trajectory and firing velocity, check.\Compensating for relative velocity with target body, check.\Huck's shot ripped through the parachute.\Yeah! response:	So, how's the tiger boy?
context: Good boy, Tom!\All right, Huck, load the second shell.\Yes, sir.\Trajectory and firing velocity, check.\Compensating for relative velocity with target body, check.\Huck's shot ripped through the parachute.\Yeah!\So, how's the tiger boy? response:	Passed out from the blast.
context: All right, Huck, load the second shell.\Yes, sir.\Trajectory and firing velocity, check.\Compensating for relative velocity with target body, check.\Huck's shot ripped through the parachute.\Yeah!\So, how's the tiger boy?\Passed out from the blast. response:	It looks like he's going to hit the ground and be smashed to bits.
context: Yes, sir.\Trajectory and firing velocity, check.\Compensating for relative velocity with target body, check.\Huck's shot ripped through the parachute.\Yeah!\So, how's the tiger boy?\Passed out from the blast.\It looks like he's going to hit the ground and be smashed to bits. response:	What happened to your order not to kill him?
context: Trajectory and firing velocity, check.\Compensating for relative velocity with target body, check.\Huck's shot ripped through the parachute.\Yeah!\So, how's the tiger boy?\Passed out from the blast.\It looks like he's going to hit the ground and be smashed to bits.\What happened to your order not to kill him? response:	I'm sure his own country's gifteds will figure it out, as long as his body's still there.
context: Compensating for relative velocity with target body, check.\Huck's shot ripped through the parachute.\Yeah!\So, how's the tiger boy?\Passed out from the blast.\It looks like he's going to hit the ground and be smashed to bits.\What happened to your order not to kill him?\I'm sure his own country's gifteds will figure it out, as long as his body's still there. response:	So I really am no use.
context: Huck's shot ripped through the parachute.\Yeah!\So, how's the tiger boy?\Passed out from the blast.\It looks like he's going to hit the ground and be smashed to bits.\What happened to your order not to kill him?\I'm sure his own country's gifteds will figure it out, as long as his body's still there.\So I really am no use. response:	There's nothing I can do.
context: Yeah!\So, how's the tiger boy?\Passed out from the blast.\It looks like he's going to hit the ground and be smashed to bits.\What happened to your order not to kill him?\I'm sure his own country's gifteds will figure it out, as long as his body's still there.\So I really am no use.\There's nothing I can do. response:	It's you.
context: So, how's the tiger boy?\Passed out from the blast.\It looks like he's going to hit the ground and be smashed to bits.\What happened to your order not to kill him?\I'm sure his own country's gifteds will figure it out, as long as his body's still there.\So I really am no use.\There's nothing I can do.\It's you. response:	Of course.
context: Passed out from the blast.\It looks like he's going to hit the ground and be smashed to bits.\What happened to your order not to kill him?\I'm sure his own country's gifteds will figure it out, as long as his body's still there.\So I really am no use.\There's nothing I can do.\It's you.\Of course. response:	You despise me, don't you?
context: It looks like he's going to hit the ground and be smashed to bits.\What happened to your order not to kill him?\I'm sure his own country's gifteds will figure it out, as long as his body's still there.\So I really am no use.\There's nothing I can do.\It's you.\Of course.\You despise me, don't you? response:	I hate me, too.
context: What happened to your order not to kill him?\I'm sure his own country's gifteds will figure it out, as long as his body's still there.\So I really am no use.\There's nothing I can do.\It's you.\Of course.\You despise me, don't you?\I hate me, too. response:	Thanks for everything.
context: I'm sure his own country's gifteds will figure it out, as long as his body's still there.\So I really am no use.\There's nothing I can do.\It's you.\Of course.\You despise me, don't you?\I hate me, too.\Thanks for everything. response:	I'm alive.
context: So I really am no use.\There's nothing I can do.\It's you.\Of course.\You despise me, don't you?\I hate me, too.\Thanks for everything.\I'm alive. response:	I have to deliver it!
context: There's nothing I can do.\It's you.\Of course.\You despise me, don't you?\I hate me, too.\Thanks for everything.\I'm alive.\I have to deliver it! response:	I need to stop it immediately.
context: It's you.\Of course.\You despise me, don't you?\I hate me, too.\Thanks for everything.\I'm alive.\I have to deliver it!\I need to stop it immediately. response:	Amazing.
context: Of course.\You despise me, don't you?\I hate me, too.\Thanks for everything.\I'm alive.\I have to deliver it!\I need to stop it immediately.\Amazing. response:	He survived a huge fall, and my rain of bullets won't so much as scratch him.
context: You despise me, don't you?\I hate me, too.\Thanks for everything.\I'm alive.\I have to deliver it!\I need to stop it immediately.\Amazing.\He survived a huge fall, and my rain of bullets won't so much as scratch him. response:	I guess he's that desperate to deliver that gross doll.
context: I hate me, too.\Thanks for everything.\I'm alive.\I have to deliver it!\I need to stop it immediately.\Amazing.\He survived a huge fall, and my rain of bullets won't so much as scratch him.\I guess he's that desperate to deliver that gross doll. response:	This isn't a hunt, then.
context: Thanks for everything.\I'm alive.\I have to deliver it!\I need to stop it immediately.\Amazing.\He survived a huge fall, and my rain of bullets won't so much as scratch him.\I guess he's that desperate to deliver that gross doll.\This isn't a hunt, then. response:	This is a duel between two men.
context: I'm alive.\I have to deliver it!\I need to stop it immediately.\Amazing.\He survived a huge fall, and my rain of bullets won't so much as scratch him.\I guess he's that desperate to deliver that gross doll.\This isn't a hunt, then.\This is a duel between two men. response:	What?
context: I have to deliver it!\I need to stop it immediately.\Amazing.\He survived a huge fall, and my rain of bullets won't so much as scratch him.\I guess he's that desperate to deliver that gross doll.\This isn't a hunt, then.\This is a duel between two men.\What? response:	Has that thing always been here?
context: I need to stop it immediately.\Amazing.\He survived a huge fall, and my rain of bullets won't so much as scratch him.\I guess he's that desperate to deliver that gross doll.\This isn't a hunt, then.\This is a duel between two men.\What?\Has that thing always been here? response:	I don't recommend losing your focus, tiger boy.
context: Amazing.\He survived a huge fall, and my rain of bullets won't so much as scratch him.\I guess he's that desperate to deliver that gross doll.\This isn't a hunt, then.\This is a duel between two men.\What?\Has that thing always been here?\I don't recommend losing your focus, tiger boy. response:	There's no telling from which way trouble will come.
context: He survived a huge fall, and my rain of bullets won't so much as scratch him.\I guess he's that desperate to deliver that gross doll.\This isn't a hunt, then.\This is a duel between two men.\What?\Has that thing always been here?\I don't recommend losing your focus, tiger boy.\There's no telling from which way trouble will come. response:	An oil truck!
context: I guess he's that desperate to deliver that gross doll.\This isn't a hunt, then.\This is a duel between two men.\What?\Has that thing always been here?\I don't recommend losing your focus, tiger boy.\There's no telling from which way trouble will come.\An oil truck! response:	It's over.
context: This isn't a hunt, then.\This is a duel between two men.\What?\Has that thing always been here?\I don't recommend losing your focus, tiger boy.\There's no telling from which way trouble will come.\An oil truck!\It's over. response:	Stop resisting.
context: This is a duel between two men.\What?\Has that thing always been here?\I don't recommend losing your focus, tiger boy.\There's no telling from which way trouble will come.\An oil truck!\It's over.\Stop resisting. response:	You've reached your limit.
context: What?\Has that thing always been here?\I don't recommend losing your focus, tiger boy.\There's no telling from which way trouble will come.\An oil truck!\It's over.\Stop resisting.\You've reached your limit. response:	Shut up.
context: Has that thing always been here?\I don't recommend losing your focus, tiger boy.\There's no telling from which way trouble will come.\An oil truck!\It's over.\Stop resisting.\You've reached your limit.\Shut up. response:	You win, Atsushi-kun.
context: I don't recommend losing your focus, tiger boy.\There's no telling from which way trouble will come.\An oil truck!\It's over.\Stop resisting.\You've reached your limit.\Shut up.\You win, Atsushi-kun. response:	Dazai-san...
context: There's no telling from which way trouble will come.\An oil truck!\It's over.\Stop resisting.\You've reached your limit.\Shut up.\You win, Atsushi-kun.\Dazai-san... response:	It's dangerous here.
context: An oil truck!\It's over.\Stop resisting.\You've reached your limit.\Shut up.\You win, Atsushi-kun.\Dazai-san...\It's dangerous here. response:	They'll shoot you from above.
context: It's over.\Stop resisting.\You've reached your limit.\Shut up.\You win, Atsushi-kun.\Dazai-san...\It's dangerous here.\They'll shoot you from above. response:	I wonder about that.
context: Stop resisting.\You've reached your limit.\Shut up.\You win, Atsushi-kun.\Dazai-san...\It's dangerous here.\They'll shoot you from above.\I wonder about that. response:	Smoke?
context: You've reached your limit.\Shut up.\You win, Atsushi-kun.\Dazai-san...\It's dangerous here.\They'll shoot you from above.\I wonder about that.\Smoke? response:	That's not all.
context: Shut up.\You win, Atsushi-kun.\Dazai-san...\It's dangerous here.\They'll shoot you from above.\I wonder about that.\Smoke?\That's not all. response:	Heat sensors and radars disabled.
context: You win, Atsushi-kun.\Dazai-san...\It's dangerous here.\They'll shoot you from above.\I wonder about that.\Smoke?\That's not all.\Heat sensors and radars disabled. response:	It's a sensor jammer.
context: Dazai-san...\It's dangerous here.\They'll shoot you from above.\I wonder about that.\Smoke?\That's not all.\Heat sensors and radars disabled.\It's a sensor jammer. response:	He's been setting them up all over town believing he'd be coming with the doll?
context: It's dangerous here.\They'll shoot you from above.\I wonder about that.\Smoke?\That's not all.\Heat sensors and radars disabled.\It's a sensor jammer.\He's been setting them up all over town believing he'd be coming with the doll? response:	You got me.
context: They'll shoot you from above.\I wonder about that.\Smoke?\That's not all.\Heat sensors and radars disabled.\It's a sensor jammer.\He's been setting them up all over town believing he'd be coming with the doll?\You got me. response:	Good job, Atsushi-kun.
context: I wonder about that.\Smoke?\That's not all.\Heat sensors and radars disabled.\It's a sensor jammer.\He's been setting them up all over town believing he'd be coming with the doll?\You got me.\Good job, Atsushi-kun. response:	Yokohama is saved.
context: Smoke?\That's not all.\Heat sensors and radars disabled.\It's a sensor jammer.\He's been setting them up all over town believing he'd be coming with the doll?\You got me.\Good job, Atsushi-kun.\Yokohama is saved. response:	Or so I wish.
context: That's not all.\Heat sensors and radars disabled.\It's a sensor jammer.\He's been setting them up all over town believing he'd be coming with the doll?\You got me.\Good job, Atsushi-kun.\Yokohama is saved.\Or so I wish. response:	But as long as the enemy have Q,
context: Heat sensors and radars disabled.\It's a sensor jammer.\He's been setting them up all over town believing he'd be coming with the doll?\You got me.\Good job, Atsushi-kun.\Yokohama is saved.\Or so I wish.\But as long as the enemy have Q, response:	they'll repeat this carnage as many times as they need.
context: It's a sensor jammer.\He's been setting them up all over town believing he'd be coming with the doll?\You got me.\Good job, Atsushi-kun.\Yokohama is saved.\Or so I wish.\But as long as the enemy have Q,\they'll repeat this carnage as many times as they need. response:	Now, what do we do?
context: He's been setting them up all over town believing he'd be coming with the doll?\You got me.\Good job, Atsushi-kun.\Yokohama is saved.\Or so I wish.\But as long as the enemy have Q,\they'll repeat this carnage as many times as they need.\Now, what do we do? response:	Dazai-san, I'm reminded of a line from a book I read a long time ago.
context: You got me.\Good job, Atsushi-kun.\Yokohama is saved.\Or so I wish.\But as long as the enemy have Q,\they'll repeat this carnage as many times as they need.\Now, what do we do?\Dazai-san, I'm reminded of a line from a book I read a long time ago. response:	The head may err, but never the blood.
context: Good job, Atsushi-kun.\Yokohama is saved.\Or so I wish.\But as long as the enemy have Q,\they'll repeat this carnage as many times as they need.\Now, what do we do?\Dazai-san, I'm reminded of a line from a book I read a long time ago.\The head may err, but never the blood. response:	I have an idea.
context: Yokohama is saved.\Or so I wish.\But as long as the enemy have Q,\they'll repeat this carnage as many times as they need.\Now, what do we do?\Dazai-san, I'm reminded of a line from a book I read a long time ago.\The head may err, but never the blood.\I have an idea. response:	It may seem out of the question to everyone else.
context: Or so I wish.\But as long as the enemy have Q,\they'll repeat this carnage as many times as they need.\Now, what do we do?\Dazai-san, I'm reminded of a line from a book I read a long time ago.\The head may err, but never the blood.\I have an idea.\It may seem out of the question to everyone else. response:	Yet to me, to my blood and soul, it seems like the only correct answer.
context: But as long as the enemy have Q,\they'll repeat this carnage as many times as they need.\Now, what do we do?\Dazai-san, I'm reminded of a line from a book I read a long time ago.\The head may err, but never the blood.\I have an idea.\It may seem out of the question to everyone else.\Yet to me, to my blood and soul, it seems like the only correct answer. response:	What's the idea?
context: they'll repeat this carnage as many times as they need.\Now, what do we do?\Dazai-san, I'm reminded of a line from a book I read a long time ago.\The head may err, but never the blood.\I have an idea.\It may seem out of the question to everyone else.\Yet to me, to my blood and soul, it seems like the only correct answer.\What's the idea? response:	An alliance.
context: Now, what do we do?\Dazai-san, I'm reminded of a line from a book I read a long time ago.\The head may err, but never the blood.\I have an idea.\It may seem out of the question to everyone else.\Yet to me, to my blood and soul, it seems like the only correct answer.\What's the idea?\An alliance. response:	They're the most powerful in Yokohama, and they're trying to defend this city.
context: Dazai-san, I'm reminded of a line from a book I read a long time ago.\The head may err, but never the blood.\I have an idea.\It may seem out of the question to everyone else.\Yet to me, to my blood and soul, it seems like the only correct answer.\What's the idea?\An alliance.\They're the most powerful in Yokohama, and they're trying to defend this city. response:	There's no better organization to help us in our fight against the Guild.
context: The head may err, but never the blood.\I have an idea.\It may seem out of the question to everyone else.\Yet to me, to my blood and soul, it seems like the only correct answer.\What's the idea?\An alliance.\They're the most powerful in Yokohama, and they're trying to defend this city.\There's no better organization to help us in our fight against the Guild. response:	And which organization is that?
context: I have an idea.\It may seem out of the question to everyone else.\Yet to me, to my blood and soul, it seems like the only correct answer.\What's the idea?\An alliance.\They're the most powerful in Yokohama, and they're trying to defend this city.\There's no better organization to help us in our fight against the Guild.\And which organization is that? response:	Episode Twenty-One Double Black
context: It may seem out of the question to everyone else.\Yet to me, to my blood and soul, it seems like the only correct answer.\What's the idea?\An alliance.\They're the most powerful in Yokohama, and they're trying to defend this city.\There's no better organization to help us in our fight against the Guild.\And which organization is that?\Episode Twenty-One Double Black response:	The Port Mafia.
context: Yet to me, to my blood and soul, it seems like the only correct answer.\What's the idea?\An alliance.\They're the most powerful in Yokohama, and they're trying to defend this city.\There's no better organization to help us in our fight against the Guild.\And which organization is that?\Episode Twenty-One Double Black\The Port Mafia. response:	The head may err, but never the blood. - Nakajima Atsushi, in Light, Wind and Dreams
