context: Teppei! response:	The Earth Engine Impacter...
context: I'll show you my boomerang.\Boomerang?\I just wanted to show them my boomerang.\Your boomerang?\Long ago, I promised her.\Promised...\Then he's just an idiot?\Why were they suddenly in so much pain yesterday? response:	They are under our protection and observation.
context: Boomerang?\I just wanted to show them my boomerang.\Your boomerang?\Long ago, I promised her.\Promised...\Then he's just an idiot?\Why were they suddenly in so much pain yesterday?\They are under our protection and observation. response:	As a necessary safety precaution, they wear lead gears on their heads.
context: I just wanted to show them my boomerang.\Your boomerang?\Long ago, I promised her.\Promised...\Then he's just an idiot?\Why were they suddenly in so much pain yesterday?\They are under our protection and observation.\As a necessary safety precaution, they wear lead gears on their heads. response:	If they try to leave the base's quarantine zone,
context: Your boomerang?\Long ago, I promised her.\Promised...\Then he's just an idiot?\Why were they suddenly in so much pain yesterday?\They are under our protection and observation.\As a necessary safety precaution, they wear lead gears on their heads.\If they try to leave the base's quarantine zone, response:	that sensor tower will detect it and inflict a minor degree of pain.
context: Long ago, I promised her.\Promised...\Then he's just an idiot?\Why were they suddenly in so much pain yesterday?\They are under our protection and observation.\As a necessary safety precaution, they wear lead gears on their heads.\If they try to leave the base's quarantine zone,\that sensor tower will detect it and inflict a minor degree of pain. response:	Did they do something wrong?
context: Promised...\Then he's just an idiot?\Why were they suddenly in so much pain yesterday?\They are under our protection and observation.\As a necessary safety precaution, they wear lead gears on their heads.\If they try to leave the base's quarantine zone,\that sensor tower will detect it and inflict a minor degree of pain.\Did they do something wrong? response:	That isn't it, but they're dangerous.
context: Then he's just an idiot?\Why were they suddenly in so much pain yesterday?\They are under our protection and observation.\As a necessary safety precaution, they wear lead gears on their heads.\If they try to leave the base's quarantine zone,\that sensor tower will detect it and inflict a minor degree of pain.\Did they do something wrong?\That isn't it, but they're dangerous. response:	They have a special power...
context: Why were they suddenly in so much pain yesterday?\They are under our protection and observation.\As a necessary safety precaution, they wear lead gears on their heads.\If they try to leave the base's quarantine zone,\that sensor tower will detect it and inflict a minor degree of pain.\Did they do something wrong?\That isn't it, but they're dangerous.\They have a special power... response:	And that means you'll be wearing one starting today, as well.
context: They are under our protection and observation.\As a necessary safety precaution, they wear lead gears on their heads.\If they try to leave the base's quarantine zone,\that sensor tower will detect it and inflict a minor degree of pain.\Did they do something wrong?\That isn't it, but they're dangerous.\They have a special power...\And that means you'll be wearing one starting today, as well. response:	I've sent a request to HQ for permission.
context: As a necessary safety precaution, they wear lead gears on their heads.\If they try to leave the base's quarantine zone,\that sensor tower will detect it and inflict a minor degree of pain.\Did they do something wrong?\That isn't it, but they're dangerous.\They have a special power...\And that means you'll be wearing one starting today, as well.\I've sent a request to HQ for permission. response:	We're going to investigate why you were able to fire the Livlaster.
context: If they try to leave the base's quarantine zone,\that sensor tower will detect it and inflict a minor degree of pain.\Did they do something wrong?\That isn't it, but they're dangerous.\They have a special power...\And that means you'll be wearing one starting today, as well.\I've sent a request to HQ for permission.\We're going to investigate why you were able to fire the Livlaster. response:	Just be grateful you survived firing that gun's first shot.
context: that sensor tower will detect it and inflict a minor degree of pain.\Did they do something wrong?\That isn't it, but they're dangerous.\They have a special power...\And that means you'll be wearing one starting today, as well.\I've sent a request to HQ for permission.\We're going to investigate why you were able to fire the Livlaster.\Just be grateful you survived firing that gun's first shot. response:	It didn't feel like that kind of thing...
context: Did they do something wrong?\That isn't it, but they're dangerous.\They have a special power...\And that means you'll be wearing one starting today, as well.\I've sent a request to HQ for permission.\We're going to investigate why you were able to fire the Livlaster.\Just be grateful you survived firing that gun's first shot.\It didn't feel like that kind of thing... response:	Hey, where is my Livlaster?
context: That isn't it, but they're dangerous.\They have a special power...\And that means you'll be wearing one starting today, as well.\I've sent a request to HQ for permission.\We're going to investigate why you were able to fire the Livlaster.\Just be grateful you survived firing that gun's first shot.\It didn't feel like that kind of thing...\Hey, where is my Livlaster? response:	You seem to have the wrong idea.
context: They have a special power...\And that means you'll be wearing one starting today, as well.\I've sent a request to HQ for permission.\We're going to investigate why you were able to fire the Livlaster.\Just be grateful you survived firing that gun's first shot.\It didn't feel like that kind of thing...\Hey, where is my Livlaster?\You seem to have the wrong idea. response:	There is no such thing as your Livlaster.
context: And that means you'll be wearing one starting today, as well.\I've sent a request to HQ for permission.\We're going to investigate why you were able to fire the Livlaster.\Just be grateful you survived firing that gun's first shot.\It didn't feel like that kind of thing...\Hey, where is my Livlaster?\You seem to have the wrong idea.\There is no such thing as your Livlaster. response:	We're done here!
context: I've sent a request to HQ for permission.\We're going to investigate why you were able to fire the Livlaster.\Just be grateful you survived firing that gun's first shot.\It didn't feel like that kind of thing...\Hey, where is my Livlaster?\You seem to have the wrong idea.\There is no such thing as your Livlaster.\We're done here! response:	Teppei... Hana.
context: We're going to investigate why you were able to fire the Livlaster.\Just be grateful you survived firing that gun's first shot.\It didn't feel like that kind of thing...\Hey, where is my Livlaster?\You seem to have the wrong idea.\There is no such thing as your Livlaster.\We're done here!\Teppei... Hana. response:	I'll wait at the coast.
context: Just be grateful you survived firing that gun's first shot.\It didn't feel like that kind of thing...\Hey, where is my Livlaster?\You seem to have the wrong idea.\There is no such thing as your Livlaster.\We're done here!\Teppei... Hana.\I'll wait at the coast. response:	Daichi Manatsu is Taiyou Manatsu's son.
context: It didn't feel like that kind of thing...\Hey, where is my Livlaster?\You seem to have the wrong idea.\There is no such thing as your Livlaster.\We're done here!\Teppei... Hana.\I'll wait at the coast.\Daichi Manatsu is Taiyou Manatsu's son. response:	His father came up with the name Earth Engine.
context: Hey, where is my Livlaster?\You seem to have the wrong idea.\There is no such thing as your Livlaster.\We're done here!\Teppei... Hana.\I'll wait at the coast.\Daichi Manatsu is Taiyou Manatsu's son.\His father came up with the name Earth Engine. response:	The power of a captain...
context: You seem to have the wrong idea.\There is no such thing as your Livlaster.\We're done here!\Teppei... Hana.\I'll wait at the coast.\Daichi Manatsu is Taiyou Manatsu's son.\His father came up with the name Earth Engine.\The power of a captain... response:	Somehow, it feels like fate that he boarded the Earth Engine.
context: There is no such thing as your Livlaster.\We're done here!\Teppei... Hana.\I'll wait at the coast.\Daichi Manatsu is Taiyou Manatsu's son.\His father came up with the name Earth Engine.\The power of a captain...\Somehow, it feels like fate that he boarded the Earth Engine. response:	Is it out of character for me to speak of fate?
context: We're done here!\Teppei... Hana.\I'll wait at the coast.\Daichi Manatsu is Taiyou Manatsu's son.\His father came up with the name Earth Engine.\The power of a captain...\Somehow, it feels like fate that he boarded the Earth Engine.\Is it out of character for me to speak of fate? response:	What's wrong?
context: Teppei... Hana.\I'll wait at the coast.\Daichi Manatsu is Taiyou Manatsu's son.\His father came up with the name Earth Engine.\The power of a captain...\Somehow, it feels like fate that he boarded the Earth Engine.\Is it out of character for me to speak of fate?\What's wrong? response:	Daichi Manatsu's lead gear has gone into warning mode.
context: I'll wait at the coast.\Daichi Manatsu is Taiyou Manatsu's son.\His father came up with the name Earth Engine.\The power of a captain...\Somehow, it feels like fate that he boarded the Earth Engine.\Is it out of character for me to speak of fate?\What's wrong?\Daichi Manatsu's lead gear has gone into warning mode. response:	This is rough...
context: Daichi Manatsu is Taiyou Manatsu's son.\His father came up with the name Earth Engine.\The power of a captain...\Somehow, it feels like fate that he boarded the Earth Engine.\Is it out of character for me to speak of fate?\What's wrong?\Daichi Manatsu's lead gear has gone into warning mode.\This is rough... response:	There's a strong Orgone signal from the Livlaster in storage!
context: His father came up with the name Earth Engine.\The power of a captain...\Somehow, it feels like fate that he boarded the Earth Engine.\Is it out of character for me to speak of fate?\What's wrong?\Daichi Manatsu's lead gear has gone into warning mode.\This is rough...\There's a strong Orgone signal from the Livlaster in storage! response:	What's happening?
context: The power of a captain...\Somehow, it feels like fate that he boarded the Earth Engine.\Is it out of character for me to speak of fate?\What's wrong?\Daichi Manatsu's lead gear has gone into warning mode.\This is rough...\There's a strong Orgone signal from the Livlaster in storage!\What's happening? response:	We're losing it!
context: Somehow, it feels like fate that he boarded the Earth Engine.\Is it out of character for me to speak of fate?\What's wrong?\Daichi Manatsu's lead gear has gone into warning mode.\This is rough...\There's a strong Orgone signal from the Livlaster in storage!\What's happening?\We're losing it! response:	What?
context: Is it out of character for me to speak of fate?\What's wrong?\Daichi Manatsu's lead gear has gone into warning mode.\This is rough...\There's a strong Orgone signal from the Livlaster in storage!\What's happening?\We're losing it!\What? response:	Hana?
context: What's wrong?\Daichi Manatsu's lead gear has gone into warning mode.\This is rough...\There's a strong Orgone signal from the Livlaster in storage!\What's happening?\We're losing it!\What?\Hana? response:	Come here, Pitz.
context: Daichi Manatsu's lead gear has gone into warning mode.\This is rough...\There's a strong Orgone signal from the Livlaster in storage!\What's happening?\We're losing it!\What?\Hana?\Come here, Pitz. response:	You think you're going outside, Hana?
context: This is rough...\There's a strong Orgone signal from the Livlaster in storage!\What's happening?\We're losing it!\What?\Hana?\Come here, Pitz.\You think you're going outside, Hana? response:	But...
context: There's a strong Orgone signal from the Livlaster in storage!\What's happening?\We're losing it!\What?\Hana?\Come here, Pitz.\You think you're going outside, Hana?\But... response:	But I want to see the boomerang!
context: What's happening?\We're losing it!\What?\Hana?\Come here, Pitz.\You think you're going outside, Hana?\But...\But I want to see the boomerang! response:	The boomerang?
context: We're losing it!\What?\Hana?\Come here, Pitz.\You think you're going outside, Hana?\But...\But I want to see the boomerang!\The boomerang? response:	Let's go!
context: What?\Hana?\Come here, Pitz.\You think you're going outside, Hana?\But...\But I want to see the boomerang!\The boomerang?\Let's go! response:	Got it...
context: Hana?\Come here, Pitz.\You think you're going outside, Hana?\But...\But I want to see the boomerang!\The boomerang?\Let's go!\Got it... response:	Hey, why did you come back to this island, Daichi?
context: Come here, Pitz.\You think you're going outside, Hana?\But...\But I want to see the boomerang!\The boomerang?\Let's go!\Got it...\Hey, why did you come back to this island, Daichi? response:	I told you.
context: You think you're going outside, Hana?\But...\But I want to see the boomerang!\The boomerang?\Let's go!\Got it...\Hey, why did you come back to this island, Daichi?\I told you. response:	I came to fulfill my promise.
context: But...\But I want to see the boomerang!\The boomerang?\Let's go!\Got it...\Hey, why did you come back to this island, Daichi?\I told you.\I came to fulfill my promise. response:	Also, I remembered...
context: But I want to see the boomerang!\The boomerang?\Let's go!\Got it...\Hey, why did you come back to this island, Daichi?\I told you.\I came to fulfill my promise.\Also, I remembered... response:	How good the wind on this island feels...
context: The boomerang?\Let's go!\Got it...\Hey, why did you come back to this island, Daichi?\I told you.\I came to fulfill my promise.\Also, I remembered...\How good the wind on this island feels... response:	I'll be living with Uncle Nishikubo...
context: Let's go!\Got it...\Hey, why did you come back to this island, Daichi?\I told you.\I came to fulfill my promise.\Also, I remembered...\How good the wind on this island feels...\I'll be living with Uncle Nishikubo... response:	I mean, the commander.
context: Got it...\Hey, why did you come back to this island, Daichi?\I told you.\I came to fulfill my promise.\Also, I remembered...\How good the wind on this island feels...\I'll be living with Uncle Nishikubo...\I mean, the commander. response:	It'll be Teppei and me, and Hana and Akari.
context: Hey, why did you come back to this island, Daichi?\I told you.\I came to fulfill my promise.\Also, I remembered...\How good the wind on this island feels...\I'll be living with Uncle Nishikubo...\I mean, the commander.\It'll be Teppei and me, and Hana and Akari. response:	But the Kiltgang attacks again!
context: I told you.\I came to fulfill my promise.\Also, I remembered...\How good the wind on this island feels...\I'll be living with Uncle Nishikubo...\I mean, the commander.\It'll be Teppei and me, and Hana and Akari.\But the Kiltgang attacks again! response:	And because of Salty Dog's plot,
context: I came to fulfill my promise.\Also, I remembered...\How good the wind on this island feels...\I'll be living with Uncle Nishikubo...\I mean, the commander.\It'll be Teppei and me, and Hana and Akari.\But the Kiltgang attacks again!\And because of Salty Dog's plot, response:	I launch in a malfunctioning Earth Engine.
context: Also, I remembered...\How good the wind on this island feels...\I'll be living with Uncle Nishikubo...\I mean, the commander.\It'll be Teppei and me, and Hana and Akari.\But the Kiltgang attacks again!\And because of Salty Dog's plot,\I launch in a malfunctioning Earth Engine. response:	The Rainbow of Albion.
context: How good the wind on this island feels...\I'll be living with Uncle Nishikubo...\I mean, the commander.\It'll be Teppei and me, and Hana and Akari.\But the Kiltgang attacks again!\And because of Salty Dog's plot,\I launch in a malfunctioning Earth Engine.\The Rainbow of Albion. response:	The Rainbow of Albion
context: I'll be living with Uncle Nishikubo...\I mean, the commander.\It'll be Teppei and me, and Hana and Akari.\But the Kiltgang attacks again!\And because of Salty Dog's plot,\I launch in a malfunctioning Earth Engine.\The Rainbow of Albion.\The Rainbow of Albion response:	Earth Engine, expand!
