context: It's the last painting Mashiro did before she came to Japan. response:	Has this helped you understand...
context: had high expectations, and you failed to meet them.\But you don't seem to have explained what you want.\Why are you taking such enjoyment from analyzing people?\You're a jerk!\Rita!\Rita-san!\Akasaka, let's go after her!\You go after her. response:	It'll be more effective.
context: But you don't seem to have explained what you want.\Why are you taking such enjoyment from analyzing people?\You're a jerk!\Rita!\Rita-san!\Akasaka, let's go after her!\You go after her.\It'll be more effective. response:	You really shouldn't do that.
context: Why are you taking such enjoyment from analyzing people?\You're a jerk!\Rita!\Rita-san!\Akasaka, let's go after her!\You go after her.\It'll be more effective.\You really shouldn't do that. response:	I'm sure I don't know what you mean.
context: You're a jerk!\Rita!\Rita-san!\Akasaka, let's go after her!\You go after her.\It'll be more effective.\You really shouldn't do that.\I'm sure I don't know what you mean. response:	Spouting your mouth off...
context: Rita!\Rita-san!\Akasaka, let's go after her!\You go after her.\It'll be more effective.\You really shouldn't do that.\I'm sure I don't know what you mean.\Spouting your mouth off... response:	when you don't actually care...
context: Rita-san!\Akasaka, let's go after her!\You go after her.\It'll be more effective.\You really shouldn't do that.\I'm sure I don't know what you mean.\Spouting your mouth off...\when you don't actually care... response:	what happens to other people!
context: Akasaka, let's go after her!\You go after her.\It'll be more effective.\You really shouldn't do that.\I'm sure I don't know what you mean.\Spouting your mouth off...\when you don't actually care...\what happens to other people! response:	Where did she go?
context: You go after her.\It'll be more effective.\You really shouldn't do that.\I'm sure I don't know what you mean.\Spouting your mouth off...\when you don't actually care...\what happens to other people!\Where did she go? response:	I don't know. We just have to look...
context: It'll be more effective.\You really shouldn't do that.\I'm sure I don't know what you mean.\Spouting your mouth off...\when you don't actually care...\what happens to other people!\Where did she go?\I don't know. We just have to look... response:	Rita hates me.
context: You really shouldn't do that.\I'm sure I don't know what you mean.\Spouting your mouth off...\when you don't actually care...\what happens to other people!\Where did she go?\I don't know. We just have to look...\Rita hates me. response:	Shiina?
context: I'm sure I don't know what you mean.\Spouting your mouth off...\when you don't actually care...\what happens to other people!\Where did she go?\I don't know. We just have to look...\Rita hates me.\Shiina? response:	I didn't understand anything she said.
context: Spouting your mouth off...\when you don't actually care...\what happens to other people!\Where did she go?\I don't know. We just have to look...\Rita hates me.\Shiina?\I didn't understand anything she said. response:	Sorata, do you understand?
context: when you don't actually care...\what happens to other people!\Where did she go?\I don't know. We just have to look...\Rita hates me.\Shiina?\I didn't understand anything she said.\Sorata, do you understand? response:	Shiina, have you ever envied anyone?
context: what happens to other people!\Where did she go?\I don't know. We just have to look...\Rita hates me.\Shiina?\I didn't understand anything she said.\Sorata, do you understand?\Shiina, have you ever envied anyone? response:	Envied?
context: Where did she go?\I don't know. We just have to look...\Rita hates me.\Shiina?\I didn't understand anything she said.\Sorata, do you understand?\Shiina, have you ever envied anyone?\Envied? response:	Have you ever thought someone was great,
context: I don't know. We just have to look...\Rita hates me.\Shiina?\I didn't understand anything she said.\Sorata, do you understand?\Shiina, have you ever envied anyone?\Envied?\Have you ever thought someone was great, response:	or someone was amazing,
context: Rita hates me.\Shiina?\I didn't understand anything she said.\Sorata, do you understand?\Shiina, have you ever envied anyone?\Envied?\Have you ever thought someone was great,\or someone was amazing, response:	or looked up to someone?
context: Shiina?\I didn't understand anything she said.\Sorata, do you understand?\Shiina, have you ever envied anyone?\Envied?\Have you ever thought someone was great,\or someone was amazing,\or looked up to someone? response:	I don't know.
context: I didn't understand anything she said.\Sorata, do you understand?\Shiina, have you ever envied anyone?\Envied?\Have you ever thought someone was great,\or someone was amazing,\or looked up to someone?\I don't know. response:	I see.
context: Sorata, do you understand?\Shiina, have you ever envied anyone?\Envied?\Have you ever thought someone was great,\or someone was amazing,\or looked up to someone?\I don't know.\I see. response:	Kanda-kun!
context: Shiina, have you ever envied anyone?\Envied?\Have you ever thought someone was great,\or someone was amazing,\or looked up to someone?\I don't know.\I see.\Kanda-kun! response:	had a vague feeling that Shiina was alone.
context: Envied?\Have you ever thought someone was great,\or someone was amazing,\or looked up to someone?\I don't know.\I see.\Kanda-kun!\had a vague feeling that Shiina was alone. response:	That no one could enter her world.
context: Have you ever thought someone was great,\or someone was amazing,\or looked up to someone?\I don't know.\I see.\Kanda-kun!\had a vague feeling that Shiina was alone.\That no one could enter her world. response:	The other art students are all curious about her,
context: or someone was amazing,\or looked up to someone?\I don't know.\I see.\Kanda-kun!\had a vague feeling that Shiina was alone.\That no one could enter her world.\The other art students are all curious about her, response:	but they keep their distance.
context: or looked up to someone?\I don't know.\I see.\Kanda-kun!\had a vague feeling that Shiina was alone.\That no one could enter her world.\The other art students are all curious about her,\but they keep their distance. response:	Shiina probably doesn't have any close friends.
context: I don't know.\I see.\Kanda-kun!\had a vague feeling that Shiina was alone.\That no one could enter her world.\The other art students are all curious about her,\but they keep their distance.\Shiina probably doesn't have any close friends. response:	But you're different.
context: I see.\Kanda-kun!\had a vague feeling that Shiina was alone.\That no one could enter her world.\The other art students are all curious about her,\but they keep their distance.\Shiina probably doesn't have any close friends.\But you're different. response:	You reach Shiina.
context: Kanda-kun!\had a vague feeling that Shiina was alone.\That no one could enter her world.\The other art students are all curious about her,\but they keep their distance.\Shiina probably doesn't have any close friends.\But you're different.\You reach Shiina. response:	Your words, your heart, your very existence.
context: had a vague feeling that Shiina was alone.\That no one could enter her world.\The other art students are all curious about her,\but they keep their distance.\Shiina probably doesn't have any close friends.\But you're different.\You reach Shiina.\Your words, your heart, your very existence. response:	There's a lot she doesn't understand,
context: That no one could enter her world.\The other art students are all curious about her,\but they keep their distance.\Shiina probably doesn't have any close friends.\But you're different.\You reach Shiina.\Your words, your heart, your very existence.\There's a lot she doesn't understand, response:	but I'm certain that you're very important to her.
context: The other art students are all curious about her,\but they keep their distance.\Shiina probably doesn't have any close friends.\But you're different.\You reach Shiina.\Your words, your heart, your very existence.\There's a lot she doesn't understand,\but I'm certain that you're very important to her. response:	You really think so?
context: but they keep their distance.\Shiina probably doesn't have any close friends.\But you're different.\You reach Shiina.\Your words, your heart, your very existence.\There's a lot she doesn't understand,\but I'm certain that you're very important to her.\You really think so? response:	I think it's amazing you were with her for ten years.
context: Shiina probably doesn't have any close friends.\But you're different.\You reach Shiina.\Your words, your heart, your very existence.\There's a lot she doesn't understand,\but I'm certain that you're very important to her.\You really think so?\I think it's amazing you were with her for ten years. response:	Any normal person would have run away.
context: But you're different.\You reach Shiina.\Your words, your heart, your very existence.\There's a lot she doesn't understand,\but I'm certain that you're very important to her.\You really think so?\I think it's amazing you were with her for ten years.\Any normal person would have run away. response:	A normal person looks away from what they don't want to see.
context: You reach Shiina.\Your words, your heart, your very existence.\There's a lot she doesn't understand,\but I'm certain that you're very important to her.\You really think so?\I think it's amazing you were with her for ten years.\Any normal person would have run away.\A normal person looks away from what they don't want to see. response:	Even if they know there are things...
context: Your words, your heart, your very existence.\There's a lot she doesn't understand,\but I'm certain that you're very important to her.\You really think so?\I think it's amazing you were with her for ten years.\Any normal person would have run away.\A normal person looks away from what they don't want to see.\Even if they know there are things... response:	they can only acquire if they face the things they hate.
context: There's a lot she doesn't understand,\but I'm certain that you're very important to her.\You really think so?\I think it's amazing you were with her for ten years.\Any normal person would have run away.\A normal person looks away from what they don't want to see.\Even if they know there are things...\they can only acquire if they face the things they hate. response:	I want to become someone who can do that.
context: but I'm certain that you're very important to her.\You really think so?\I think it's amazing you were with her for ten years.\Any normal person would have run away.\A normal person looks away from what they don't want to see.\Even if they know there are things...\they can only acquire if they face the things they hate.\I want to become someone who can do that. response:	Someone like you.
context: You really think so?\I think it's amazing you were with her for ten years.\Any normal person would have run away.\A normal person looks away from what they don't want to see.\Even if they know there are things...\they can only acquire if they face the things they hate.\I want to become someone who can do that.\Someone like you. response:	Did you come to console me?
context: I think it's amazing you were with her for ten years.\Any normal person would have run away.\A normal person looks away from what they don't want to see.\Even if they know there are things...\they can only acquire if they face the things they hate.\I want to become someone who can do that.\Someone like you.\Did you come to console me? response:	At first, that was my intent, but...
context: Any normal person would have run away.\A normal person looks away from what they don't want to see.\Even if they know there are things...\they can only acquire if they face the things they hate.\I want to become someone who can do that.\Someone like you.\Did you come to console me?\At first, that was my intent, but... response:	What type of smile is that?
context: A normal person looks away from what they don't want to see.\Even if they know there are things...\they can only acquire if they face the things they hate.\I want to become someone who can do that.\Someone like you.\Did you come to console me?\At first, that was my intent, but...\What type of smile is that? response:	Probably still a fake one.
context: Even if they know there are things...\they can only acquire if they face the things they hate.\I want to become someone who can do that.\Someone like you.\Did you come to console me?\At first, that was my intent, but...\What type of smile is that?\Probably still a fake one. response:	It looks like that boy knew from the very beginning.
context: they can only acquire if they face the things they hate.\I want to become someone who can do that.\Someone like you.\Did you come to console me?\At first, that was my intent, but...\What type of smile is that?\Probably still a fake one.\It looks like that boy knew from the very beginning. response:	He's right, you know. I've forgotten what I want to do.
context: I want to become someone who can do that.\Someone like you.\Did you come to console me?\At first, that was my intent, but...\What type of smile is that?\Probably still a fake one.\It looks like that boy knew from the very beginning.\He's right, you know. I've forgotten what I want to do. response:	I see.
context: Someone like you.\Did you come to console me?\At first, that was my intent, but...\What type of smile is that?\Probably still a fake one.\It looks like that boy knew from the very beginning.\He's right, you know. I've forgotten what I want to do.\I see. response:	I still think his personality stinks, though.
context: Did you come to console me?\At first, that was my intent, but...\What type of smile is that?\Probably still a fake one.\It looks like that boy knew from the very beginning.\He's right, you know. I've forgotten what I want to do.\I see.\I still think his personality stinks, though. response:	Making something with talented people...
context: At first, that was my intent, but...\What type of smile is that?\Probably still a fake one.\It looks like that boy knew from the very beginning.\He's right, you know. I've forgotten what I want to do.\I see.\I still think his personality stinks, though.\Making something with talented people... response:	like Shiina and Misaki-senpai is difficult.
context: What type of smile is that?\Probably still a fake one.\It looks like that boy knew from the very beginning.\He's right, you know. I've forgotten what I want to do.\I see.\I still think his personality stinks, though.\Making something with talented people...\like Shiina and Misaki-senpai is difficult. response:	It's difficult, but it's also really exciting.
context: Probably still a fake one.\It looks like that boy knew from the very beginning.\He's right, you know. I've forgotten what I want to do.\I see.\I still think his personality stinks, though.\Making something with talented people...\like Shiina and Misaki-senpai is difficult.\It's difficult, but it's also really exciting. response:	I learn things just watching them,
context: It looks like that boy knew from the very beginning.\He's right, you know. I've forgotten what I want to do.\I see.\I still think his personality stinks, though.\Making something with talented people...\like Shiina and Misaki-senpai is difficult.\It's difficult, but it's also really exciting.\I learn things just watching them, response:	and watching an amazing product take shape...
context: He's right, you know. I've forgotten what I want to do.\I see.\I still think his personality stinks, though.\Making something with talented people...\like Shiina and Misaki-senpai is difficult.\It's difficult, but it's also really exciting.\I learn things just watching them,\and watching an amazing product take shape... response:	before my eyes is an astonishing experience.
context: I see.\I still think his personality stinks, though.\Making something with talented people...\like Shiina and Misaki-senpai is difficult.\It's difficult, but it's also really exciting.\I learn things just watching them,\and watching an amazing product take shape...\before my eyes is an astonishing experience. response:	That's how you see things?
context: I still think his personality stinks, though.\Making something with talented people...\like Shiina and Misaki-senpai is difficult.\It's difficult, but it's also really exciting.\I learn things just watching them,\and watching an amazing product take shape...\before my eyes is an astonishing experience.\That's how you see things? response:	Don't you?
context: Making something with talented people...\like Shiina and Misaki-senpai is difficult.\It's difficult, but it's also really exciting.\I learn things just watching them,\and watching an amazing product take shape...\before my eyes is an astonishing experience.\That's how you see things?\Don't you? response:	I didn't know.
context: like Shiina and Misaki-senpai is difficult.\It's difficult, but it's also really exciting.\I learn things just watching them,\and watching an amazing product take shape...\before my eyes is an astonishing experience.\That's how you see things?\Don't you?\I didn't know. response:	You didn't know what?
context: It's difficult, but it's also really exciting.\I learn things just watching them,\and watching an amazing product take shape...\before my eyes is an astonishing experience.\That's how you see things?\Don't you?\I didn't know.\You didn't know what? response:	I didn't know what you were thinking.
context: I learn things just watching them,\and watching an amazing product take shape...\before my eyes is an astonishing experience.\That's how you see things?\Don't you?\I didn't know.\You didn't know what?\I didn't know what you were thinking. response:	How about now?
context: and watching an amazing product take shape...\before my eyes is an astonishing experience.\That's how you see things?\Don't you?\I didn't know.\You didn't know what?\I didn't know what you were thinking.\How about now? response:	I don't know.
context: before my eyes is an astonishing experience.\That's how you see things?\Don't you?\I didn't know.\You didn't know what?\I didn't know what you were thinking.\How about now?\I don't know. response:	I expected that. That's just who you are.
context: That's how you see things?\Don't you?\I didn't know.\You didn't know what?\I didn't know what you were thinking.\How about now?\I don't know.\I expected that. That's just who you are. response:	I didn't notice at all.
context: Don't you?\I didn't know.\You didn't know what?\I didn't know what you were thinking.\How about now?\I don't know.\I expected that. That's just who you are.\I didn't notice at all. response:	That's what I don't like about you.
context: I didn't know.\You didn't know what?\I didn't know what you were thinking.\How about now?\I don't know.\I expected that. That's just who you are.\I didn't notice at all.\That's what I don't like about you. response:	Because I had so much fun...
context: You didn't know what?\I didn't know what you were thinking.\How about now?\I don't know.\I expected that. That's just who you are.\I didn't notice at all.\That's what I don't like about you.\Because I had so much fun... response:	drawing next to you.
context: I didn't know what you were thinking.\How about now?\I don't know.\I expected that. That's just who you are.\I didn't notice at all.\That's what I don't like about you.\Because I had so much fun...\drawing next to you. response:	I felt like I wasn't alone when I was with you.
context: How about now?\I don't know.\I expected that. That's just who you are.\I didn't notice at all.\That's what I don't like about you.\Because I had so much fun...\drawing next to you.\I felt like I wasn't alone when I was with you. response:	I only needed you.
context: I don't know.\I expected that. That's just who you are.\I didn't notice at all.\That's what I don't like about you.\Because I had so much fun...\drawing next to you.\I felt like I wasn't alone when I was with you.\I only needed you. response:	But I was the only one having fun...
context: I expected that. That's just who you are.\I didn't notice at all.\That's what I don't like about you.\Because I had so much fun...\drawing next to you.\I felt like I wasn't alone when I was with you.\I only needed you.\But I was the only one having fun... response:	That's... That's not true!
context: I didn't notice at all.\That's what I don't like about you.\Because I had so much fun...\drawing next to you.\I felt like I wasn't alone when I was with you.\I only needed you.\But I was the only one having fun...\That's... That's not true! response:	I had fun, as well!
context: That's what I don't like about you.\Because I had so much fun...\drawing next to you.\I felt like I wasn't alone when I was with you.\I only needed you.\But I was the only one having fun...\That's... That's not true!\I had fun, as well! response:	Rita?
context: Because I had so much fun...\drawing next to you.\I felt like I wasn't alone when I was with you.\I only needed you.\But I was the only one having fun...\That's... That's not true!\I had fun, as well!\Rita? response:	It wasn't just you. I had fun.
context: drawing next to you.\I felt like I wasn't alone when I was with you.\I only needed you.\But I was the only one having fun...\That's... That's not true!\I had fun, as well!\Rita?\It wasn't just you. I had fun. response:	I kept creating art to this very day...
context: I felt like I wasn't alone when I was with you.\I only needed you.\But I was the only one having fun...\That's... That's not true!\I had fun, as well!\Rita?\It wasn't just you. I had fun.\I kept creating art to this very day... response:	because I really enjoyed painting with you.
context: I only needed you.\But I was the only one having fun...\That's... That's not true!\I had fun, as well!\Rita?\It wasn't just you. I had fun.\I kept creating art to this very day...\because I really enjoyed painting with you. response:	Really?
context: But I was the only one having fun...\That's... That's not true!\I had fun, as well!\Rita?\It wasn't just you. I had fun.\I kept creating art to this very day...\because I really enjoyed painting with you.\Really? response:	It's true.
context: That's... That's not true!\I had fun, as well!\Rita?\It wasn't just you. I had fun.\I kept creating art to this very day...\because I really enjoyed painting with you.\Really?\It's true. response:	I wanted to keep creating art with you forever.
context: I had fun, as well!\Rita?\It wasn't just you. I had fun.\I kept creating art to this very day...\because I really enjoyed painting with you.\Really?\It's true.\I wanted to keep creating art with you forever. response:	But I always thought you didn't even notice me.
context: Rita?\It wasn't just you. I had fun.\I kept creating art to this very day...\because I really enjoyed painting with you.\Really?\It's true.\I wanted to keep creating art with you forever.\But I always thought you didn't even notice me. response:	When it crossed my mind that it was only me...
context: It wasn't just you. I had fun.\I kept creating art to this very day...\because I really enjoyed painting with you.\Really?\It's true.\I wanted to keep creating art with you forever.\But I always thought you didn't even notice me.\When it crossed my mind that it was only me... response:	who considered us friends, I was afraid...
context: I kept creating art to this very day...\because I really enjoyed painting with you.\Really?\It's true.\I wanted to keep creating art with you forever.\But I always thought you didn't even notice me.\When it crossed my mind that it was only me...\who considered us friends, I was afraid... response:	I couldn't help it!
context: because I really enjoyed painting with you.\Really?\It's true.\I wanted to keep creating art with you forever.\But I always thought you didn't even notice me.\When it crossed my mind that it was only me...\who considered us friends, I was afraid...\I couldn't help it! response:	Rita, thank you.
context: Really?\It's true.\I wanted to keep creating art with you forever.\But I always thought you didn't even notice me.\When it crossed my mind that it was only me...\who considered us friends, I was afraid...\I couldn't help it!\Rita, thank you. response:	Mashiro... Mashiro...
context: It's true.\I wanted to keep creating art with you forever.\But I always thought you didn't even notice me.\When it crossed my mind that it was only me...\who considered us friends, I was afraid...\I couldn't help it!\Rita, thank you.\Mashiro... Mashiro... response:	Thank you for everything.
context: I wanted to keep creating art with you forever.\But I always thought you didn't even notice me.\When it crossed my mind that it was only me...\who considered us friends, I was afraid...\I couldn't help it!\Rita, thank you.\Mashiro... Mashiro...\Thank you for everything. response:	I want to keep creating art.
context: But I always thought you didn't even notice me.\When it crossed my mind that it was only me...\who considered us friends, I was afraid...\I couldn't help it!\Rita, thank you.\Mashiro... Mashiro...\Thank you for everything.\I want to keep creating art. response:	I want to take everything...
context: When it crossed my mind that it was only me...\who considered us friends, I was afraid...\I couldn't help it!\Rita, thank you.\Mashiro... Mashiro...\Thank you for everything.\I want to keep creating art.\I want to take everything... response:	I did with you and make art.
context: who considered us friends, I was afraid...\I couldn't help it!\Rita, thank you.\Mashiro... Mashiro...\Thank you for everything.\I want to keep creating art.\I want to take everything...\I did with you and make art. response:	The moments I spent with you...
context: I couldn't help it!\Rita, thank you.\Mashiro... Mashiro...\Thank you for everything.\I want to keep creating art.\I want to take everything...\I did with you and make art.\The moments I spent with you... response:	are my most treasured.
context: Rita, thank you.\Mashiro... Mashiro...\Thank you for everything.\I want to keep creating art.\I want to take everything...\I did with you and make art.\The moments I spent with you...\are my most treasured. response:	Yes, I understand.
context: Mashiro... Mashiro...\Thank you for everything.\I want to keep creating art.\I want to take everything...\I did with you and make art.\The moments I spent with you...\are my most treasured.\Yes, I understand. response:	Mashiro, I'm sorry.
context: Thank you for everything.\I want to keep creating art.\I want to take everything...\I did with you and make art.\The moments I spent with you...\are my most treasured.\Yes, I understand.\Mashiro, I'm sorry. response:	Rita, you should make your own art.
context: I want to keep creating art.\I want to take everything...\I did with you and make art.\The moments I spent with you...\are my most treasured.\Yes, I understand.\Mashiro, I'm sorry.\Rita, you should make your own art. response:	That's right.
context: I want to take everything...\I did with you and make art.\The moments I spent with you...\are my most treasured.\Yes, I understand.\Mashiro, I'm sorry.\Rita, you should make your own art.\That's right. response:	Making something with someone else is fun.
context: I did with you and make art.\The moments I spent with you...\are my most treasured.\Yes, I understand.\Mashiro, I'm sorry.\Rita, you should make your own art.\That's right.\Making something with someone else is fun. response:	Sometimes it'll bring you down, but that's only natural.
context: The moments I spent with you...\are my most treasured.\Yes, I understand.\Mashiro, I'm sorry.\Rita, you should make your own art.\That's right.\Making something with someone else is fun.\Sometimes it'll bring you down, but that's only natural. response:	After all, I don't have any skills or experience.
context: are my most treasured.\Yes, I understand.\Mashiro, I'm sorry.\Rita, you should make your own art.\That's right.\Making something with someone else is fun.\Sometimes it'll bring you down, but that's only natural.\After all, I don't have any skills or experience. response:	Rita and Shiina spent ten years together.
context: Yes, I understand.\Mashiro, I'm sorry.\Rita, you should make your own art.\That's right.\Making something with someone else is fun.\Sometimes it'll bring you down, but that's only natural.\After all, I don't have any skills or experience.\Rita and Shiina spent ten years together. response:	She was overwhelmed by Shiina's talent,
context: Mashiro, I'm sorry.\Rita, you should make your own art.\That's right.\Making something with someone else is fun.\Sometimes it'll bring you down, but that's only natural.\After all, I don't have any skills or experience.\Rita and Shiina spent ten years together.\She was overwhelmed by Shiina's talent, response:	but she kept trying hard.
context: Rita, you should make your own art.\That's right.\Making something with someone else is fun.\Sometimes it'll bring you down, but that's only natural.\After all, I don't have any skills or experience.\Rita and Shiina spent ten years together.\She was overwhelmed by Shiina's talent,\but she kept trying hard. response:	Compared to her,
context: That's right.\Making something with someone else is fun.\Sometimes it'll bring you down, but that's only natural.\After all, I don't have any skills or experience.\Rita and Shiina spent ten years together.\She was overwhelmed by Shiina's talent,\but she kept trying hard.\Compared to her, response:	I've only known Shiina for half a year.
context: Making something with someone else is fun.\Sometimes it'll bring you down, but that's only natural.\After all, I don't have any skills or experience.\Rita and Shiina spent ten years together.\She was overwhelmed by Shiina's talent,\but she kept trying hard.\Compared to her,\I've only known Shiina for half a year. response:	Getting depressed and losing my confidence...
context: Sometimes it'll bring you down, but that's only natural.\After all, I don't have any skills or experience.\Rita and Shiina spent ten years together.\She was overwhelmed by Shiina's talent,\but she kept trying hard.\Compared to her,\I've only known Shiina for half a year.\Getting depressed and losing my confidence... response:	when nothing has happened would be shameful of me.
context: After all, I don't have any skills or experience.\Rita and Shiina spent ten years together.\She was overwhelmed by Shiina's talent,\but she kept trying hard.\Compared to her,\I've only known Shiina for half a year.\Getting depressed and losing my confidence...\when nothing has happened would be shameful of me. response:	It's okay. We can do it.
context: Rita and Shiina spent ten years together.\She was overwhelmed by Shiina's talent,\but she kept trying hard.\Compared to her,\I've only known Shiina for half a year.\Getting depressed and losing my confidence...\when nothing has happened would be shameful of me.\It's okay. We can do it. response:	If the residents of Sakura Hall work together,
context: She was overwhelmed by Shiina's talent,\but she kept trying hard.\Compared to her,\I've only known Shiina for half a year.\Getting depressed and losing my confidence...\when nothing has happened would be shameful of me.\It's okay. We can do it.\If the residents of Sakura Hall work together, response:	we can create something amazing.
context: but she kept trying hard.\Compared to her,\I've only known Shiina for half a year.\Getting depressed and losing my confidence...\when nothing has happened would be shameful of me.\It's okay. We can do it.\If the residents of Sakura Hall work together,\we can create something amazing. response:	Shiina's not alone anymore.
context: Compared to her,\I've only known Shiina for half a year.\Getting depressed and losing my confidence...\when nothing has happened would be shameful of me.\It's okay. We can do it.\If the residents of Sakura Hall work together,\we can create something amazing.\Shiina's not alone anymore. response:	We're all friends working towards a common goal.
context: I've only known Shiina for half a year.\Getting depressed and losing my confidence...\when nothing has happened would be shameful of me.\It's okay. We can do it.\If the residents of Sakura Hall work together,\we can create something amazing.\Shiina's not alone anymore.\We're all friends working towards a common goal. response:	I'll do everything I possibly can.
context: Getting depressed and losing my confidence...\when nothing has happened would be shameful of me.\It's okay. We can do it.\If the residents of Sakura Hall work together,\we can create something amazing.\Shiina's not alone anymore.\We're all friends working towards a common goal.\I'll do everything I possibly can. response:	So I can get just a little closer to reaching Shiina...
context: when nothing has happened would be shameful of me.\It's okay. We can do it.\If the residents of Sakura Hall work together,\we can create something amazing.\Shiina's not alone anymore.\We're all friends working towards a common goal.\I'll do everything I possibly can.\So I can get just a little closer to reaching Shiina... response:	Welcoming Rittan and Presenting Nyapollon at the Culture Festival Celebration
context: It's okay. We can do it.\If the residents of Sakura Hall work together,\we can create something amazing.\Shiina's not alone anymore.\We're all friends working towards a common goal.\I'll do everything I possibly can.\So I can get just a little closer to reaching Shiina...\Welcoming Rittan and Presenting Nyapollon at the Culture Festival Celebration response:	After some minor delays, let the Welcoming Rittan...
context: If the residents of Sakura Hall work together,\we can create something amazing.\Shiina's not alone anymore.\We're all friends working towards a common goal.\I'll do everything I possibly can.\So I can get just a little closer to reaching Shiina...\Welcoming Rittan and Presenting Nyapollon at the Culture Festival Celebration\After some minor delays, let the Welcoming Rittan... response:	and Presenting Nyapollon at the...
context: we can create something amazing.\Shiina's not alone anymore.\We're all friends working towards a common goal.\I'll do everything I possibly can.\So I can get just a little closer to reaching Shiina...\Welcoming Rittan and Presenting Nyapollon at the Culture Festival Celebration\After some minor delays, let the Welcoming Rittan...\and Presenting Nyapollon at the... response:	Culture Festival Celebration begin!
context: Shiina's not alone anymore.\We're all friends working towards a common goal.\I'll do everything I possibly can.\So I can get just a little closer to reaching Shiina...\Welcoming Rittan and Presenting Nyapollon at the Culture Festival Celebration\After some minor delays, let the Welcoming Rittan...\and Presenting Nyapollon at the...\Culture Festival Celebration begin! response:	Yeah! We did it, Rittan!
context: We're all friends working towards a common goal.\I'll do everything I possibly can.\So I can get just a little closer to reaching Shiina...\Welcoming Rittan and Presenting Nyapollon at the Culture Festival Celebration\After some minor delays, let the Welcoming Rittan...\and Presenting Nyapollon at the...\Culture Festival Celebration begin!\Yeah! We did it, Rittan! response:	Thank you very much.
context: I'll do everything I possibly can.\So I can get just a little closer to reaching Shiina...\Welcoming Rittan and Presenting Nyapollon at the Culture Festival Celebration\After some minor delays, let the Welcoming Rittan...\and Presenting Nyapollon at the...\Culture Festival Celebration begin!\Yeah! We did it, Rittan!\Thank you very much. response:	We did it, Nyapollon!
context: So I can get just a little closer to reaching Shiina...\Welcoming Rittan and Presenting Nyapollon at the Culture Festival Celebration\After some minor delays, let the Welcoming Rittan...\and Presenting Nyapollon at the...\Culture Festival Celebration begin!\Yeah! We did it, Rittan!\Thank you very much.\We did it, Nyapollon! response:	We should be thanking you.
context: Welcoming Rittan and Presenting Nyapollon at the Culture Festival Celebration\After some minor delays, let the Welcoming Rittan...\and Presenting Nyapollon at the...\Culture Festival Celebration begin!\Yeah! We did it, Rittan!\Thank you very much.\We did it, Nyapollon!\We should be thanking you. response:	With your help, we won't have any reason...
context: After some minor delays, let the Welcoming Rittan...\and Presenting Nyapollon at the...\Culture Festival Celebration begin!\Yeah! We did it, Rittan!\Thank you very much.\We did it, Nyapollon!\We should be thanking you.\With your help, we won't have any reason... response:	to worry about our schedule.
context: and Presenting Nyapollon at the...\Culture Festival Celebration begin!\Yeah! We did it, Rittan!\Thank you very much.\We did it, Nyapollon!\We should be thanking you.\With your help, we won't have any reason...\to worry about our schedule. response:	I can't wait to see the final product.
context: Culture Festival Celebration begin!\Yeah! We did it, Rittan!\Thank you very much.\We did it, Nyapollon!\We should be thanking you.\With your help, we won't have any reason...\to worry about our schedule.\I can't wait to see the final product. response:	I'll work hard on learning my lines.
context: Yeah! We did it, Rittan!\Thank you very much.\We did it, Nyapollon!\We should be thanking you.\With your help, we won't have any reason...\to worry about our schedule.\I can't wait to see the final product.\I'll work hard on learning my lines. response:	Sorata, good job.
context: Thank you very much.\We did it, Nyapollon!\We should be thanking you.\With your help, we won't have any reason...\to worry about our schedule.\I can't wait to see the final product.\I'll work hard on learning my lines.\Sorata, good job. response:	Look forward to it, Nanamin!
context: We did it, Nyapollon!\We should be thanking you.\With your help, we won't have any reason...\to worry about our schedule.\I can't wait to see the final product.\I'll work hard on learning my lines.\Sorata, good job.\Look forward to it, Nanamin! response:	Th-Thanks. Why the mushroom?
context: We should be thanking you.\With your help, we won't have any reason...\to worry about our schedule.\I can't wait to see the final product.\I'll work hard on learning my lines.\Sorata, good job.\Look forward to it, Nanamin!\Th-Thanks. Why the mushroom? response:	I've prepared an ultra-cute cat suit!
context: With your help, we won't have any reason...\to worry about our schedule.\I can't wait to see the final product.\I'll work hard on learning my lines.\Sorata, good job.\Look forward to it, Nanamin!\Th-Thanks. Why the mushroom?\I've prepared an ultra-cute cat suit! response:	A cat suit?
context: to worry about our schedule.\I can't wait to see the final product.\I'll work hard on learning my lines.\Sorata, good job.\Look forward to it, Nanamin!\Th-Thanks. Why the mushroom?\I've prepared an ultra-cute cat suit!\A cat suit? response:	It's a gift.
context: I can't wait to see the final product.\I'll work hard on learning my lines.\Sorata, good job.\Look forward to it, Nanamin!\Th-Thanks. Why the mushroom?\I've prepared an ultra-cute cat suit!\A cat suit?\It's a gift. response:	You just didn't want it, did you?
context: I'll work hard on learning my lines.\Sorata, good job.\Look forward to it, Nanamin!\Th-Thanks. Why the mushroom?\I've prepared an ultra-cute cat suit!\A cat suit?\It's a gift.\You just didn't want it, did you? response:	I don't think I really need to be here...
