context: Raise your arms and face this way. response:	Raise your arms and face this way
context: they ought to fulfill that responsibility.\Fulfill your responsibility as someone who has an ability. Please.\That's great.\You two sure are interesting.\He's the one with the strongest power,\and he acts like a sheep in the eyes of wolves.\It seems that leading an organization\is a lot harder than you'd imagine. response:	You...
context: Fulfill your responsibility as someone who has an ability. Please.\That's great.\You two sure are interesting.\He's the one with the strongest power,\and he acts like a sheep in the eyes of wolves.\It seems that leading an organization\is a lot harder than you'd imagine.\You... response:	You can't take him with you, though.
context: That's great.\You two sure are interesting.\He's the one with the strongest power,\and he acts like a sheep in the eyes of wolves.\It seems that leading an organization\is a lot harder than you'd imagine.\You...\You can't take him with you, though. response:	He's busy carrying out the Port Mafia's orders right now.
context: You two sure are interesting.\He's the one with the strongest power,\and he acts like a sheep in the eyes of wolves.\It seems that leading an organization\is a lot harder than you'd imagine.\You...\You can't take him with you, though.\He's busy carrying out the Port Mafia's orders right now. response:	Hey!
context: He's the one with the strongest power,\and he acts like a sheep in the eyes of wolves.\It seems that leading an organization\is a lot harder than you'd imagine.\You...\You can't take him with you, though.\He's busy carrying out the Port Mafia's orders right now.\Hey! response:	That's impossible!
context: and he acts like a sheep in the eyes of wolves.\It seems that leading an organization\is a lot harder than you'd imagine.\You...\You can't take him with you, though.\He's busy carrying out the Port Mafia's orders right now.\Hey!\That's impossible! response:	Right, Chuuya?
context: It seems that leading an organization\is a lot harder than you'd imagine.\You...\You can't take him with you, though.\He's busy carrying out the Port Mafia's orders right now.\Hey!\That's impossible!\Right, Chuuya? response:	You're with the Port Mafia?!
context: is a lot harder than you'd imagine.\You...\You can't take him with you, though.\He's busy carrying out the Port Mafia's orders right now.\Hey!\That's impossible!\Right, Chuuya?\You're with the Port Mafia?! response:	Oh, my, I'm scared.
context: You...\You can't take him with you, though.\He's busy carrying out the Port Mafia's orders right now.\Hey!\That's impossible!\Right, Chuuya?\You're with the Port Mafia?!\Oh, my, I'm scared. response:	You got me.
context: You can't take him with you, though.\He's busy carrying out the Port Mafia's orders right now.\Hey!\That's impossible!\Right, Chuuya?\You're with the Port Mafia?!\Oh, my, I'm scared.\You got me. response:	I'll do anything. Just don't kill me.
context: He's busy carrying out the Port Mafia's orders right now.\Hey!\That's impossible!\Right, Chuuya?\You're with the Port Mafia?!\Oh, my, I'm scared.\You got me.\I'll do anything. Just don't kill me. response:	Oh, I know.
context: Hey!\That's impossible!\Right, Chuuya?\You're with the Port Mafia?!\Oh, my, I'm scared.\You got me.\I'll do anything. Just don't kill me.\Oh, I know. response:	I'll ask Mori-san to release the hostages, so spare me.
context: That's impossible!\Right, Chuuya?\You're with the Port Mafia?!\Oh, my, I'm scared.\You got me.\I'll do anything. Just don't kill me.\Oh, I know.\I'll ask Mori-san to release the hostages, so spare me. response:	Who told you to contact him? Dammit!
context: Right, Chuuya?\You're with the Port Mafia?!\Oh, my, I'm scared.\You got me.\I'll do anything. Just don't kill me.\Oh, I know.\I'll ask Mori-san to release the hostages, so spare me.\Who told you to contact him? Dammit! response:	Are you listening to me?
context: You're with the Port Mafia?!\Oh, my, I'm scared.\You got me.\I'll do anything. Just don't kill me.\Oh, I know.\I'll ask Mori-san to release the hostages, so spare me.\Who told you to contact him? Dammit!\Are you listening to me? response:	Hey!
context: Oh, my, I'm scared.\You got me.\I'll do anything. Just don't kill me.\Oh, I know.\I'll ask Mori-san to release the hostages, so spare me.\Who told you to contact him? Dammit!\Are you listening to me?\Hey! response:	Hey, Mori-san?
context: You got me.\I'll do anything. Just don't kill me.\Oh, I know.\I'll ask Mori-san to release the hostages, so spare me.\Who told you to contact him? Dammit!\Are you listening to me?\Hey!\Hey, Mori-san? response:	Yeah.
context: I'll do anything. Just don't kill me.\Oh, I know.\I'll ask Mori-san to release the hostages, so spare me.\Who told you to contact him? Dammit!\Are you listening to me?\Hey!\Hey, Mori-san?\Yeah. response:	We're making good progress on the work you ordered.
context: Oh, I know.\I'll ask Mori-san to release the hostages, so spare me.\Who told you to contact him? Dammit!\Are you listening to me?\Hey!\Hey, Mori-san?\Yeah.\We're making good progress on the work you ordered. response:	We're almost done.
context: I'll ask Mori-san to release the hostages, so spare me.\Who told you to contact him? Dammit!\Are you listening to me?\Hey!\Hey, Mori-san?\Yeah.\We're making good progress on the work you ordered.\We're almost done. response:	Regarding that, I want to ask for a favor.
context: Who told you to contact him? Dammit!\Are you listening to me?\Hey!\Hey, Mori-san?\Yeah.\We're making good progress on the work you ordered.\We're almost done.\Regarding that, I want to ask for a favor. response:	Could you release the Sheep hostages?
context: Are you listening to me?\Hey!\Hey, Mori-san?\Yeah.\We're making good progress on the work you ordered.\We're almost done.\Regarding that, I want to ask for a favor.\Could you release the Sheep hostages? response:	Yup, that's right.
context: Hey!\Hey, Mori-san?\Yeah.\We're making good progress on the work you ordered.\We're almost done.\Regarding that, I want to ask for a favor.\Could you release the Sheep hostages?\Yup, that's right. response:	Immediately. Unharmed.
context: Hey, Mori-san?\Yeah.\We're making good progress on the work you ordered.\We're almost done.\Regarding that, I want to ask for a favor.\Could you release the Sheep hostages?\Yup, that's right.\Immediately. Unharmed. response:	Sure. Bye.
context: Yeah.\We're making good progress on the work you ordered.\We're almost done.\Regarding that, I want to ask for a favor.\Could you release the Sheep hostages?\Yup, that's right.\Immediately. Unharmed.\Sure. Bye. response:	The guards are contacting me.
context: We're making good progress on the work you ordered.\We're almost done.\Regarding that, I want to ask for a favor.\Could you release the Sheep hostages?\Yup, that's right.\Immediately. Unharmed.\Sure. Bye.\The guards are contacting me. response:	They've all been released?
context: We're almost done.\Regarding that, I want to ask for a favor.\Could you release the Sheep hostages?\Yup, that's right.\Immediately. Unharmed.\Sure. Bye.\The guards are contacting me.\They've all been released? response:	What are you playing at?
context: Regarding that, I want to ask for a favor.\Could you release the Sheep hostages?\Yup, that's right.\Immediately. Unharmed.\Sure. Bye.\The guards are contacting me.\They've all been released?\What are you playing at? response:	Are we done here?
context: Could you release the Sheep hostages?\Yup, that's right.\Immediately. Unharmed.\Sure. Bye.\The guards are contacting me.\They've all been released?\What are you playing at?\Are we done here? response:	Let's go.
context: Yup, that's right.\Immediately. Unharmed.\Sure. Bye.\The guards are contacting me.\They've all been released?\What are you playing at?\Are we done here?\Let's go. response:	We have work to finish.
context: Immediately. Unharmed.\Sure. Bye.\The guards are contacting me.\They've all been released?\What are you playing at?\Are we done here?\Let's go.\We have work to finish. response:	Work?
context: Sure. Bye.\The guards are contacting me.\They've all been released?\What are you playing at?\Are we done here?\Let's go.\We have work to finish.\Work? response:	Chuuya doesn't do work for the Port Mafia.
context: The guards are contacting me.\They've all been released?\What are you playing at?\Are we done here?\Let's go.\We have work to finish.\Work?\Chuuya doesn't do work for the Port Mafia. response:	Yeah.
context: They've all been released?\What are you playing at?\Are we done here?\Let's go.\We have work to finish.\Work?\Chuuya doesn't do work for the Port Mafia.\Yeah. response:	You have no more hostages.
context: What are you playing at?\Are we done here?\Let's go.\We have work to finish.\Work?\Chuuya doesn't do work for the Port Mafia.\Yeah.\You have no more hostages. response:	Let's go, Chuuya.
context: Are we done here?\Let's go.\We have work to finish.\Work?\Chuuya doesn't do work for the Port Mafia.\Yeah.\You have no more hostages.\Let's go, Chuuya. response:	Chuuya?
context: Let's go.\We have work to finish.\Work?\Chuuya doesn't do work for the Port Mafia.\Yeah.\You have no more hostages.\Let's go, Chuuya.\Chuuya? response:	Sorry. You guys go without me.
context: We have work to finish.\Work?\Chuuya doesn't do work for the Port Mafia.\Yeah.\You have no more hostages.\Let's go, Chuuya.\Chuuya?\Sorry. You guys go without me. response:	What are you talking about?
context: Work?\Chuuya doesn't do work for the Port Mafia.\Yeah.\You have no more hostages.\Let's go, Chuuya.\Chuuya?\Sorry. You guys go without me.\What are you talking about? response:	Arahabaki comes first.
context: Chuuya doesn't do work for the Port Mafia.\Yeah.\You have no more hostages.\Let's go, Chuuya.\Chuuya?\Sorry. You guys go without me.\What are you talking about?\Arahabaki comes first. response:	I made a bet with him that I'd find it first.
context: Yeah.\You have no more hostages.\Let's go, Chuuya.\Chuuya?\Sorry. You guys go without me.\What are you talking about?\Arahabaki comes first.\I made a bet with him that I'd find it first. response:	Everyone's waiting for you to beat down the enemy!
context: You have no more hostages.\Let's go, Chuuya.\Chuuya?\Sorry. You guys go without me.\What are you talking about?\Arahabaki comes first.\I made a bet with him that I'd find it first.\Everyone's waiting for you to beat down the enemy! response:	Lay off him already.
context: Let's go, Chuuya.\Chuuya?\Sorry. You guys go without me.\What are you talking about?\Arahabaki comes first.\I made a bet with him that I'd find it first.\Everyone's waiting for you to beat down the enemy!\Lay off him already. response:	He has the ability to choose for himself how to use his power.
context: Chuuya?\Sorry. You guys go without me.\What are you talking about?\Arahabaki comes first.\I made a bet with him that I'd find it first.\Everyone's waiting for you to beat down the enemy!\Lay off him already.\He has the ability to choose for himself how to use his power. response:	Even a kid could figure out that much.
context: Sorry. You guys go without me.\What are you talking about?\Arahabaki comes first.\I made a bet with him that I'd find it first.\Everyone's waiting for you to beat down the enemy!\Lay off him already.\He has the ability to choose for himself how to use his power.\Even a kid could figure out that much. response:	There's nothing to discuss here.
context: What are you talking about?\Arahabaki comes first.\I made a bet with him that I'd find it first.\Everyone's waiting for you to beat down the enemy!\Lay off him already.\He has the ability to choose for himself how to use his power.\Even a kid could figure out that much.\There's nothing to discuss here. response:	Are the rumors actually true?
context: Arahabaki comes first.\I made a bet with him that I'd find it first.\Everyone's waiting for you to beat down the enemy!\Lay off him already.\He has the ability to choose for himself how to use his power.\Even a kid could figure out that much.\There's nothing to discuss here.\Are the rumors actually true? response:	That you betrayed the Sheep and joined the Port Mafia?
context: I made a bet with him that I'd find it first.\Everyone's waiting for you to beat down the enemy!\Lay off him already.\He has the ability to choose for himself how to use his power.\Even a kid could figure out that much.\There's nothing to discuss here.\Are the rumors actually true?\That you betrayed the Sheep and joined the Port Mafia? response:	The Port Mafia has nothing to do with this.
context: Everyone's waiting for you to beat down the enemy!\Lay off him already.\He has the ability to choose for himself how to use his power.\Even a kid could figure out that much.\There's nothing to discuss here.\Are the rumors actually true?\That you betrayed the Sheep and joined the Port Mafia?\The Port Mafia has nothing to do with this. response:	This is my own problem.
context: Lay off him already.\He has the ability to choose for himself how to use his power.\Even a kid could figure out that much.\There's nothing to discuss here.\Are the rumors actually true?\That you betrayed the Sheep and joined the Port Mafia?\The Port Mafia has nothing to do with this.\This is my own problem. response:	Don't you dare forget, Chuuya!
context: He has the ability to choose for himself how to use his power.\Even a kid could figure out that much.\There's nothing to discuss here.\Are the rumors actually true?\That you betrayed the Sheep and joined the Port Mafia?\The Port Mafia has nothing to do with this.\This is my own problem.\Don't you dare forget, Chuuya! response:	You had no family or relatives when the Sheep accepted you!
context: Even a kid could figure out that much.\There's nothing to discuss here.\Are the rumors actually true?\That you betrayed the Sheep and joined the Port Mafia?\The Port Mafia has nothing to do with this.\This is my own problem.\Don't you dare forget, Chuuya!\You had no family or relatives when the Sheep accepted you! response:	Shit!
context: There's nothing to discuss here.\Are the rumors actually true?\That you betrayed the Sheep and joined the Port Mafia?\The Port Mafia has nothing to do with this.\This is my own problem.\Don't you dare forget, Chuuya!\You had no family or relatives when the Sheep accepted you!\Shit! response:	That should do it.
context: Are the rumors actually true?\That you betrayed the Sheep and joined the Port Mafia?\The Port Mafia has nothing to do with this.\This is my own problem.\Don't you dare forget, Chuuya!\You had no family or relatives when the Sheep accepted you!\Shit!\That should do it. response:	I can't wait.
context: That you betrayed the Sheep and joined the Port Mafia?\The Port Mafia has nothing to do with this.\This is my own problem.\Don't you dare forget, Chuuya!\You had no family or relatives when the Sheep accepted you!\Shit!\That should do it.\I can't wait. response:	Imagine how happy that brat's going to be when he finds out
context: The Port Mafia has nothing to do with this.\This is my own problem.\Don't you dare forget, Chuuya!\You had no family or relatives when the Sheep accepted you!\Shit!\That should do it.\I can't wait.\Imagine how happy that brat's going to be when he finds out response:	he's getting such a grand party in honor of his new-found freedom.
context: This is my own problem.\Don't you dare forget, Chuuya!\You had no family or relatives when the Sheep accepted you!\Shit!\That should do it.\I can't wait.\Imagine how happy that brat's going to be when he finds out\he's getting such a grand party in honor of his new-found freedom. response:	Dazai-kun,
context: Don't you dare forget, Chuuya!\You had no family or relatives when the Sheep accepted you!\Shit!\That should do it.\I can't wait.\Imagine how happy that brat's going to be when he finds out\he's getting such a grand party in honor of his new-found freedom.\Dazai-kun, response:	you said you found out who's behind Arahabaki.
context: You had no family or relatives when the Sheep accepted you!\Shit!\That should do it.\I can't wait.\Imagine how happy that brat's going to be when he finds out\he's getting such a grand party in honor of his new-found freedom.\Dazai-kun,\you said you found out who's behind Arahabaki. response:	Is that true?
context: Shit!\That should do it.\I can't wait.\Imagine how happy that brat's going to be when he finds out\he's getting such a grand party in honor of his new-found freedom.\Dazai-kun,\you said you found out who's behind Arahabaki.\Is that true? response:	Or did you lie to torment Chuuya-kun?
context: That should do it.\I can't wait.\Imagine how happy that brat's going to be when he finds out\he's getting such a grand party in honor of his new-found freedom.\Dazai-kun,\you said you found out who's behind Arahabaki.\Is that true?\Or did you lie to torment Chuuya-kun? response:	Both, of course.
context: I can't wait.\Imagine how happy that brat's going to be when he finds out\he's getting such a grand party in honor of his new-found freedom.\Dazai-kun,\you said you found out who's behind Arahabaki.\Is that true?\Or did you lie to torment Chuuya-kun?\Both, of course. response:	I said what I did in front of him so he'd take on the bet,
context: Imagine how happy that brat's going to be when he finds out\he's getting such a grand party in honor of his new-found freedom.\Dazai-kun,\you said you found out who's behind Arahabaki.\Is that true?\Or did you lie to torment Chuuya-kun?\Both, of course.\I said what I did in front of him so he'd take on the bet, response:	but it's also true that I know who's behind it.
context: he's getting such a grand party in honor of his new-found freedom.\Dazai-kun,\you said you found out who's behind Arahabaki.\Is that true?\Or did you lie to torment Chuuya-kun?\Both, of course.\I said what I did in front of him so he'd take on the bet,\but it's also true that I know who's behind it. response:	Oh?
context: Dazai-kun,\you said you found out who's behind Arahabaki.\Is that true?\Or did you lie to torment Chuuya-kun?\Both, of course.\I said what I did in front of him so he'd take on the bet,\but it's also true that I know who's behind it.\Oh? response:	Who is it?
context: you said you found out who's behind Arahabaki.\Is that true?\Or did you lie to torment Chuuya-kun?\Both, of course.\I said what I did in front of him so he'd take on the bet,\but it's also true that I know who's behind it.\Oh?\Who is it? response:	You, Randou-san.
context: Is that true?\Or did you lie to torment Chuuya-kun?\Both, of course.\I said what I did in front of him so he'd take on the bet,\but it's also true that I know who's behind it.\Oh?\Who is it?\You, Randou-san. response:	You impersonated the former boss and spread rumors about Arahabaki.
context: Or did you lie to torment Chuuya-kun?\Both, of course.\I said what I did in front of him so he'd take on the bet,\but it's also true that I know who's behind it.\Oh?\Who is it?\You, Randou-san.\You impersonated the former boss and spread rumors about Arahabaki. response:	Do you have anything to say?
context: Both, of course.\I said what I did in front of him so he'd take on the bet,\but it's also true that I know who's behind it.\Oh?\Who is it?\You, Randou-san.\You impersonated the former boss and spread rumors about Arahabaki.\Do you have anything to say? response:	What's your reasoning?
context: I said what I did in front of him so he'd take on the bet,\but it's also true that I know who's behind it.\Oh?\Who is it?\You, Randou-san.\You impersonated the former boss and spread rumors about Arahabaki.\Do you have anything to say?\What's your reasoning? response:	You've made a mistake.
context: but it's also true that I know who's behind it.\Oh?\Who is it?\You, Randou-san.\You impersonated the former boss and spread rumors about Arahabaki.\Do you have anything to say?\What's your reasoning?\You've made a mistake. response:	A very basic mistake.
context: Oh?\Who is it?\You, Randou-san.\You impersonated the former boss and spread rumors about Arahabaki.\Do you have anything to say?\What's your reasoning?\You've made a mistake.\A very basic mistake. response:	And what mistake is that?
context: Who is it?\You, Randou-san.\You impersonated the former boss and spread rumors about Arahabaki.\Do you have anything to say?\What's your reasoning?\You've made a mistake.\A very basic mistake.\And what mistake is that? response:	The sea.
context: You, Randou-san.\You impersonated the former boss and spread rumors about Arahabaki.\Do you have anything to say?\What's your reasoning?\You've made a mistake.\A very basic mistake.\And what mistake is that?\The sea. response:	When you saw Arahabaki and the black flames...
context: You impersonated the former boss and spread rumors about Arahabaki.\Do you have anything to say?\What's your reasoning?\You've made a mistake.\A very basic mistake.\And what mistake is that?\The sea.\When you saw Arahabaki and the black flames... response:	Just the sea, in the distance,
context: Do you have anything to say?\What's your reasoning?\You've made a mistake.\A very basic mistake.\And what mistake is that?\The sea.\When you saw Arahabaki and the black flames...\Just the sea, in the distance, response:	basking gently in the moonlight.
context: What's your reasoning?\You've made a mistake.\A very basic mistake.\And what mistake is that?\The sea.\When you saw Arahabaki and the black flames...\Just the sea, in the distance,\basking gently in the moonlight. response:	That alone is vivid in my memory.
context: You've made a mistake.\A very basic mistake.\And what mistake is that?\The sea.\When you saw Arahabaki and the black flames...\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory. response:	I did say that.
context: A very basic mistake.\And what mistake is that?\The sea.\When you saw Arahabaki and the black flames...\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\I did say that. response:	Because that's what I saw.
context: And what mistake is that?\The sea.\When you saw Arahabaki and the black flames...\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\I did say that.\Because that's what I saw. response:	What about it?
context: The sea.\When you saw Arahabaki and the black flames...\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\I did say that.\Because that's what I saw.\What about it? response:	Are you sure you want me to spoil it for you?
context: When you saw Arahabaki and the black flames...\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\I did say that.\Because that's what I saw.\What about it?\Are you sure you want me to spoil it for you? response:	Tell me.
context: Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\I did say that.\Because that's what I saw.\What about it?\Are you sure you want me to spoil it for you?\Tell me. response:	It happened close to the center of Suribachi City,
context: basking gently in the moonlight.\That alone is vivid in my memory.\I did say that.\Because that's what I saw.\What about it?\Are you sure you want me to spoil it for you?\Tell me.\It happened close to the center of Suribachi City, response:	and Suribachi City is a hemispherical basin valley
context: That alone is vivid in my memory.\I did say that.\Because that's what I saw.\What about it?\Are you sure you want me to spoil it for you?\Tell me.\It happened close to the center of Suribachi City,\and Suribachi City is a hemispherical basin valley response:	that was carved out by the explosion.
context: I did say that.\Because that's what I saw.\What about it?\Are you sure you want me to spoil it for you?\Tell me.\It happened close to the center of Suribachi City,\and Suribachi City is a hemispherical basin valley\that was carved out by the explosion. response:	I see!
context: Because that's what I saw.\What about it?\Are you sure you want me to spoil it for you?\Tell me.\It happened close to the center of Suribachi City,\and Suribachi City is a hemispherical basin valley\that was carved out by the explosion.\I see! response:	Exactly.
context: What about it?\Are you sure you want me to spoil it for you?\Tell me.\It happened close to the center of Suribachi City,\and Suribachi City is a hemispherical basin valley\that was carved out by the explosion.\I see!\Exactly. response:	There's no way you would have seen the sea.
context: Are you sure you want me to spoil it for you?\Tell me.\It happened close to the center of Suribachi City,\and Suribachi City is a hemispherical basin valley\that was carved out by the explosion.\I see!\Exactly.\There's no way you would have seen the sea. response:	If you were inside a giant depression roughly two kilometers wide,
context: Tell me.\It happened close to the center of Suribachi City,\and Suribachi City is a hemispherical basin valley\that was carved out by the explosion.\I see!\Exactly.\There's no way you would have seen the sea.\If you were inside a giant depression roughly two kilometers wide, response:	the sea would never be within sight, no matter how tall you stood.
context: It happened close to the center of Suribachi City,\and Suribachi City is a hemispherical basin valley\that was carved out by the explosion.\I see!\Exactly.\There's no way you would have seen the sea.\If you were inside a giant depression roughly two kilometers wide,\the sea would never be within sight, no matter how tall you stood. response:	Why, then, did you say you saw the sea?
context: and Suribachi City is a hemispherical basin valley\that was carved out by the explosion.\I see!\Exactly.\There's no way you would have seen the sea.\If you were inside a giant depression roughly two kilometers wide,\the sea would never be within sight, no matter how tall you stood.\Why, then, did you say you saw the sea? response:	You described Arahabaki with persuasiveness that was almost truthful.
context: that was carved out by the explosion.\I see!\Exactly.\There's no way you would have seen the sea.\If you were inside a giant depression roughly two kilometers wide,\the sea would never be within sight, no matter how tall you stood.\Why, then, did you say you saw the sea?\You described Arahabaki with persuasiveness that was almost truthful. response:	So how?
context: I see!\Exactly.\There's no way you would have seen the sea.\If you were inside a giant depression roughly two kilometers wide,\the sea would never be within sight, no matter how tall you stood.\Why, then, did you say you saw the sea?\You described Arahabaki with persuasiveness that was almost truthful.\So how? response:	It's because you did indeed see the sea.
context: Exactly.\There's no way you would have seen the sea.\If you were inside a giant depression roughly two kilometers wide,\the sea would never be within sight, no matter how tall you stood.\Why, then, did you say you saw the sea?\You described Arahabaki with persuasiveness that was almost truthful.\So how?\It's because you did indeed see the sea. response:	That's why you made that mistake.
context: There's no way you would have seen the sea.\If you were inside a giant depression roughly two kilometers wide,\the sea would never be within sight, no matter how tall you stood.\Why, then, did you say you saw the sea?\You described Arahabaki with persuasiveness that was almost truthful.\So how?\It's because you did indeed see the sea.\That's why you made that mistake. response:	You could only have seen the sea from Suribachi City before it was made.
context: If you were inside a giant depression roughly two kilometers wide,\the sea would never be within sight, no matter how tall you stood.\Why, then, did you say you saw the sea?\You described Arahabaki with persuasiveness that was almost truthful.\So how?\It's because you did indeed see the sea.\That's why you made that mistake.\You could only have seen the sea from Suribachi City before it was made. response:	Before the giant explosion eight years ago, at the end of the conflict.
context: the sea would never be within sight, no matter how tall you stood.\Why, then, did you say you saw the sea?\You described Arahabaki with persuasiveness that was almost truthful.\So how?\It's because you did indeed see the sea.\That's why you made that mistake.\You could only have seen the sea from Suribachi City before it was made.\Before the giant explosion eight years ago, at the end of the conflict. response:	You had a bet with Chuuya-kun, didn't you?
context: Why, then, did you say you saw the sea?\You described Arahabaki with persuasiveness that was almost truthful.\So how?\It's because you did indeed see the sea.\That's why you made that mistake.\You could only have seen the sea from Suribachi City before it was made.\Before the giant explosion eight years ago, at the end of the conflict.\You had a bet with Chuuya-kun, didn't you? response:	Have you won that bet, then?
context: You described Arahabaki with persuasiveness that was almost truthful.\So how?\It's because you did indeed see the sea.\That's why you made that mistake.\You could only have seen the sea from Suribachi City before it was made.\Before the giant explosion eight years ago, at the end of the conflict.\You had a bet with Chuuya-kun, didn't you?\Have you won that bet, then? response:	You've beat him to the man behind it all.
context: So how?\It's because you did indeed see the sea.\That's why you made that mistake.\You could only have seen the sea from Suribachi City before it was made.\Before the giant explosion eight years ago, at the end of the conflict.\You had a bet with Chuuya-kun, didn't you?\Have you won that bet, then?\You've beat him to the man behind it all. response:	And now I've won the bet with the suicidal maniac.
context: It's because you did indeed see the sea.\That's why you made that mistake.\You could only have seen the sea from Suribachi City before it was made.\Before the giant explosion eight years ago, at the end of the conflict.\You had a bet with Chuuya-kun, didn't you?\Have you won that bet, then?\You've beat him to the man behind it all.\And now I've won the bet with the suicidal maniac. response:	It was your doing, Randou.
context: That's why you made that mistake.\You could only have seen the sea from Suribachi City before it was made.\Before the giant explosion eight years ago, at the end of the conflict.\You had a bet with Chuuya-kun, didn't you?\Have you won that bet, then?\You've beat him to the man behind it all.\And now I've won the bet with the suicidal maniac.\It was your doing, Randou. response:	You aren't fooling me.
context: You could only have seen the sea from Suribachi City before it was made.\Before the giant explosion eight years ago, at the end of the conflict.\You had a bet with Chuuya-kun, didn't you?\Have you won that bet, then?\You've beat him to the man behind it all.\And now I've won the bet with the suicidal maniac.\It was your doing, Randou.\You aren't fooling me. response:	I knew all along that you were lying.
context: Before the giant explosion eight years ago, at the end of the conflict.\You had a bet with Chuuya-kun, didn't you?\Have you won that bet, then?\You've beat him to the man behind it all.\And now I've won the bet with the suicidal maniac.\It was your doing, Randou.\You aren't fooling me.\I knew all along that you were lying. response:	Okay, stop!
context: You had a bet with Chuuya-kun, didn't you?\Have you won that bet, then?\You've beat him to the man behind it all.\And now I've won the bet with the suicidal maniac.\It was your doing, Randou.\You aren't fooling me.\I knew all along that you were lying.\Okay, stop! response:	You!
context: Have you won that bet, then?\You've beat him to the man behind it all.\And now I've won the bet with the suicidal maniac.\It was your doing, Randou.\You aren't fooling me.\I knew all along that you were lying.\Okay, stop!\You! response:	Why are you here?
context: You've beat him to the man behind it all.\And now I've won the bet with the suicidal maniac.\It was your doing, Randou.\You aren't fooling me.\I knew all along that you were lying.\Okay, stop!\You!\Why are you here? response:	Just so you know, I made the announcement first.
context: And now I've won the bet with the suicidal maniac.\It was your doing, Randou.\You aren't fooling me.\I knew all along that you were lying.\Okay, stop!\You!\Why are you here?\Just so you know, I made the announcement first. response:	I was just in the middle of explaining the method behind the crime.
context: It was your doing, Randou.\You aren't fooling me.\I knew all along that you were lying.\Okay, stop!\You!\Why are you here?\Just so you know, I made the announcement first.\I was just in the middle of explaining the method behind the crime. response:	In the middle of? So you weren't done?
context: You aren't fooling me.\I knew all along that you were lying.\Okay, stop!\You!\Why are you here?\Just so you know, I made the announcement first.\I was just in the middle of explaining the method behind the crime.\In the middle of? So you weren't done? response:	Then I win.
context: I knew all along that you were lying.\Okay, stop!\You!\Why are you here?\Just so you know, I made the announcement first.\I was just in the middle of explaining the method behind the crime.\In the middle of? So you weren't done?\Then I win. response:	There's no way you've won, but I'll let you explain how you deduced it.
context: Okay, stop!\You!\Why are you here?\Just so you know, I made the announcement first.\I was just in the middle of explaining the method behind the crime.\In the middle of? So you weren't done?\Then I win.\There's no way you've won, but I'll let you explain how you deduced it. response:	How did you deduce that Randou-san was behind it?
context: You!\Why are you here?\Just so you know, I made the announcement first.\I was just in the middle of explaining the method behind the crime.\In the middle of? So you weren't done?\Then I win.\There's no way you've won, but I'll let you explain how you deduced it.\How did you deduce that Randou-san was behind it? response:	What is there to deduce?
context: Why are you here?\Just so you know, I made the announcement first.\I was just in the middle of explaining the method behind the crime.\In the middle of? So you weren't done?\Then I win.\There's no way you've won, but I'll let you explain how you deduced it.\How did you deduce that Randou-san was behind it?\What is there to deduce? response:	Anyone could have figured it out from what he said.
context: Just so you know, I made the announcement first.\I was just in the middle of explaining the method behind the crime.\In the middle of? So you weren't done?\Then I win.\There's no way you've won, but I'll let you explain how you deduced it.\How did you deduce that Randou-san was behind it?\What is there to deduce?\Anyone could have figured it out from what he said. response:	Every eyewitness so far has said they saw the former boss,
context: I was just in the middle of explaining the method behind the crime.\In the middle of? So you weren't done?\Then I win.\There's no way you've won, but I'll let you explain how you deduced it.\How did you deduce that Randou-san was behind it?\What is there to deduce?\Anyone could have figured it out from what he said.\Every eyewitness so far has said they saw the former boss, response:	but this guy said he saw Arahabaki itself.
context: In the middle of? So you weren't done?\Then I win.\There's no way you've won, but I'll let you explain how you deduced it.\How did you deduce that Randou-san was behind it?\What is there to deduce?\Anyone could have figured it out from what he said.\Every eyewitness so far has said they saw the former boss,\but this guy said he saw Arahabaki itself. response:	There is no such thing as gods, so you decided I did it.
context: Then I win.\There's no way you've won, but I'll let you explain how you deduced it.\How did you deduce that Randou-san was behind it?\What is there to deduce?\Anyone could have figured it out from what he said.\Every eyewitness so far has said they saw the former boss,\but this guy said he saw Arahabaki itself.\There is no such thing as gods, so you decided I did it. response:	Is that right?
context: There's no way you've won, but I'll let you explain how you deduced it.\How did you deduce that Randou-san was behind it?\What is there to deduce?\Anyone could have figured it out from what he said.\Every eyewitness so far has said they saw the former boss,\but this guy said he saw Arahabaki itself.\There is no such thing as gods, so you decided I did it.\Is that right? response:	No.
context: How did you deduce that Randou-san was behind it?\What is there to deduce?\Anyone could have figured it out from what he said.\Every eyewitness so far has said they saw the former boss,\but this guy said he saw Arahabaki itself.\There is no such thing as gods, so you decided I did it.\Is that right?\No. response:	The opposite.
context: What is there to deduce?\Anyone could have figured it out from what he said.\Every eyewitness so far has said they saw the former boss,\but this guy said he saw Arahabaki itself.\There is no such thing as gods, so you decided I did it.\Is that right?\No.\The opposite. response:	It's because gods do exist.
