context: I will make it such that those who drank cannot use false names. response:	You can only converse with fellow immortals by using your real names.
context: Very smart, Chane.\I gave up my voice in order to protect the knowledge I got from you.\I'm not scared anymore.\I'm not afraid of those who are trying to take you from me.\Are you saying you will protect me, Chane?\You are immortal. You do not age.\In time, I will grow older than you,\and in time, I will die, before you. response:	But you are the only person who loves me.
context: I gave up my voice in order to protect the knowledge I got from you.\I'm not scared anymore.\I'm not afraid of those who are trying to take you from me.\Are you saying you will protect me, Chane?\You are immortal. You do not age.\In time, I will grow older than you,\and in time, I will die, before you.\But you are the only person who loves me. response:	You are my only family.
context: I'm not scared anymore.\I'm not afraid of those who are trying to take you from me.\Are you saying you will protect me, Chane?\You are immortal. You do not age.\In time, I will grow older than you,\and in time, I will die, before you.\But you are the only person who loves me.\You are my only family. response:	So I cannot afford for you to be taken from me.
context: I'm not afraid of those who are trying to take you from me.\Are you saying you will protect me, Chane?\You are immortal. You do not age.\In time, I will grow older than you,\and in time, I will die, before you.\But you are the only person who loves me.\You are my only family.\So I cannot afford for you to be taken from me. response:	I cannot afford to give you up to anyone.
context: Are you saying you will protect me, Chane?\You are immortal. You do not age.\In time, I will grow older than you,\and in time, I will die, before you.\But you are the only person who loves me.\You are my only family.\So I cannot afford for you to be taken from me.\I cannot afford to give you up to anyone. response:	That girl is amazing!
context: You are immortal. You do not age.\In time, I will grow older than you,\and in time, I will die, before you.\But you are the only person who loves me.\You are my only family.\So I cannot afford for you to be taken from me.\I cannot afford to give you up to anyone.\That girl is amazing! response:	Yo! Aren't you cold, wearing a dress like that,
context: In time, I will grow older than you,\and in time, I will die, before you.\But you are the only person who loves me.\You are my only family.\So I cannot afford for you to be taken from me.\I cannot afford to give you up to anyone.\That girl is amazing!\Yo! Aren't you cold, wearing a dress like that, response:	with all this cold, wintry air whipping around?
context: and in time, I will die, before you.\But you are the only person who loves me.\You are my only family.\So I cannot afford for you to be taken from me.\I cannot afford to give you up to anyone.\That girl is amazing!\Yo! Aren't you cold, wearing a dress like that,\with all this cold, wintry air whipping around? response:	You guys are all dressed up as an orchestra
context: But you are the only person who loves me.\You are my only family.\So I cannot afford for you to be taken from me.\I cannot afford to give you up to anyone.\That girl is amazing!\Yo! Aren't you cold, wearing a dress like that,\with all this cold, wintry air whipping around?\You guys are all dressed up as an orchestra response:	to put on a performance for me to listen to, right?!
context: You are my only family.\So I cannot afford for you to be taken from me.\I cannot afford to give you up to anyone.\That girl is amazing!\Yo! Aren't you cold, wearing a dress like that,\with all this cold, wintry air whipping around?\You guys are all dressed up as an orchestra\to put on a performance for me to listen to, right?! response:	For me, and for me alone!
context: So I cannot afford for you to be taken from me.\I cannot afford to give you up to anyone.\That girl is amazing!\Yo! Aren't you cold, wearing a dress like that,\with all this cold, wintry air whipping around?\You guys are all dressed up as an orchestra\to put on a performance for me to listen to, right?!\For me, and for me alone! response:	For you to climb up onto the roof like this for me...
context: I cannot afford to give you up to anyone.\That girl is amazing!\Yo! Aren't you cold, wearing a dress like that,\with all this cold, wintry air whipping around?\You guys are all dressed up as an orchestra\to put on a performance for me to listen to, right?!\For me, and for me alone!\For you to climb up onto the roof like this for me... response:	It must be love!
context: That girl is amazing!\Yo! Aren't you cold, wearing a dress like that,\with all this cold, wintry air whipping around?\You guys are all dressed up as an orchestra\to put on a performance for me to listen to, right?!\For me, and for me alone!\For you to climb up onto the roof like this for me...\It must be love! response:	I accept this tremendous love of yours.
context: Yo! Aren't you cold, wearing a dress like that,\with all this cold, wintry air whipping around?\You guys are all dressed up as an orchestra\to put on a performance for me to listen to, right?!\For me, and for me alone!\For you to climb up onto the roof like this for me...\It must be love!\I accept this tremendous love of yours. response:	Now, for you to accept my love.
context: with all this cold, wintry air whipping around?\You guys are all dressed up as an orchestra\to put on a performance for me to listen to, right?!\For me, and for me alone!\For you to climb up onto the roof like this for me...\It must be love!\I accept this tremendous love of yours.\Now, for you to accept my love. response:	I love you!
context: You guys are all dressed up as an orchestra\to put on a performance for me to listen to, right?!\For me, and for me alone!\For you to climb up onto the roof like this for me...\It must be love!\I accept this tremendous love of yours.\Now, for you to accept my love.\I love you! response:	So die!
context: to put on a performance for me to listen to, right?!\For me, and for me alone!\For you to climb up onto the roof like this for me...\It must be love!\I accept this tremendous love of yours.\Now, for you to accept my love.\I love you!\So die! response:	For real?
context: For me, and for me alone!\For you to climb up onto the roof like this for me...\It must be love!\I accept this tremendous love of yours.\Now, for you to accept my love.\I love you!\So die!\For real? response:	Hey, was that for real? That's impossible!
context: For you to climb up onto the roof like this for me...\It must be love!\I accept this tremendous love of yours.\Now, for you to accept my love.\I love you!\So die!\For real?\Hey, was that for real? That's impossible! response:	Right back at you. Right back at you! Right back at you, you dumb ass!
context: It must be love!\I accept this tremendous love of yours.\Now, for you to accept my love.\I love you!\So die!\For real?\Hey, was that for real? That's impossible!\Right back at you. Right back at you! Right back at you, you dumb ass! response:	Is it humiliating? Could you just die?
context: I accept this tremendous love of yours.\Now, for you to accept my love.\I love you!\So die!\For real?\Hey, was that for real? That's impossible!\Right back at you. Right back at you! Right back at you, you dumb ass!\Is it humiliating? Could you just die? response:	I'm going to kill you, whether you want to die or not!
context: Now, for you to accept my love.\I love you!\So die!\For real?\Hey, was that for real? That's impossible!\Right back at you. Right back at you! Right back at you, you dumb ass!\Is it humiliating? Could you just die?\I'm going to kill you, whether you want to die or not! response:	Hey, are you for real?! Are you for real?!
context: I love you!\So die!\For real?\Hey, was that for real? That's impossible!\Right back at you. Right back at you! Right back at you, you dumb ass!\Is it humiliating? Could you just die?\I'm going to kill you, whether you want to die or not!\Hey, are you for real?! Are you for real?! response:	For real?
context: So die!\For real?\Hey, was that for real? That's impossible!\Right back at you. Right back at you! Right back at you, you dumb ass!\Is it humiliating? Could you just die?\I'm going to kill you, whether you want to die or not!\Hey, are you for real?! Are you for real?!\For real? response:	Impossible, I say. Impossible, I say!
context: For real?\Hey, was that for real? That's impossible!\Right back at you. Right back at you! Right back at you, you dumb ass!\Is it humiliating? Could you just die?\I'm going to kill you, whether you want to die or not!\Hey, are you for real?! Are you for real?!\For real?\Impossible, I say. Impossible, I say! response:	Those guys are freaks.
context: Hey, was that for real? That's impossible!\Right back at you. Right back at you! Right back at you, you dumb ass!\Is it humiliating? Could you just die?\I'm going to kill you, whether you want to die or not!\Hey, are you for real?! Are you for real?!\For real?\Impossible, I say. Impossible, I say!\Those guys are freaks. response:	Yo! You've been sneaking around on all fours for a while, huh?
context: Right back at you. Right back at you! Right back at you, you dumb ass!\Is it humiliating? Could you just die?\I'm going to kill you, whether you want to die or not!\Hey, are you for real?! Are you for real?!\For real?\Impossible, I say. Impossible, I say!\Those guys are freaks.\Yo! You've been sneaking around on all fours for a while, huh? response:	Why don't you put your hands up, and come down from there?
context: Is it humiliating? Could you just die?\I'm going to kill you, whether you want to die or not!\Hey, are you for real?! Are you for real?!\For real?\Impossible, I say. Impossible, I say!\Those guys are freaks.\Yo! You've been sneaking around on all fours for a while, huh?\Why don't you put your hands up, and come down from there? response:	Luck Gandor?!
context: I'm going to kill you, whether you want to die or not!\Hey, are you for real?! Are you for real?!\For real?\Impossible, I say. Impossible, I say!\Those guys are freaks.\Yo! You've been sneaking around on all fours for a while, huh?\Why don't you put your hands up, and come down from there?\Luck Gandor?! response:	My, my, this is quite a racket.
context: Hey, are you for real?! Are you for real?!\For real?\Impossible, I say. Impossible, I say!\Those guys are freaks.\Yo! You've been sneaking around on all fours for a while, huh?\Why don't you put your hands up, and come down from there?\Luck Gandor?!\My, my, this is quite a racket. response:	You're supposed to be dead!
context: For real?\Impossible, I say. Impossible, I say!\Those guys are freaks.\Yo! You've been sneaking around on all fours for a while, huh?\Why don't you put your hands up, and come down from there?\Luck Gandor?!\My, my, this is quite a racket.\You're supposed to be dead! response:	Come now, that's no big deal, is it?
context: Impossible, I say. Impossible, I say!\Those guys are freaks.\Yo! You've been sneaking around on all fours for a while, huh?\Why don't you put your hands up, and come down from there?\Luck Gandor?!\My, my, this is quite a racket.\You're supposed to be dead!\Come now, that's no big deal, is it? response:	N-No big deal?
context: Those guys are freaks.\Yo! You've been sneaking around on all fours for a while, huh?\Why don't you put your hands up, and come down from there?\Luck Gandor?!\My, my, this is quite a racket.\You're supposed to be dead!\Come now, that's no big deal, is it?\N-No big deal? response:	I get it.
context: Yo! You've been sneaking around on all fours for a while, huh?\Why don't you put your hands up, and come down from there?\Luck Gandor?!\My, my, this is quite a racket.\You're supposed to be dead!\Come now, that's no big deal, is it?\N-No big deal?\I get it. response:	You must have used a body double, huh?
context: Why don't you put your hands up, and come down from there?\Luck Gandor?!\My, my, this is quite a racket.\You're supposed to be dead!\Come now, that's no big deal, is it?\N-No big deal?\I get it.\You must have used a body double, huh? response:	There's no end to the dirty tricks you'll pull!
context: Luck Gandor?!\My, my, this is quite a racket.\You're supposed to be dead!\Come now, that's no big deal, is it?\N-No big deal?\I get it.\You must have used a body double, huh?\There's no end to the dirty tricks you'll pull! response:	Dirty tricks?
context: My, my, this is quite a racket.\You're supposed to be dead!\Come now, that's no big deal, is it?\N-No big deal?\I get it.\You must have used a body double, huh?\There's no end to the dirty tricks you'll pull!\Dirty tricks? response:	You're the one who took Eve Genoard, aren't you?!
context: You're supposed to be dead!\Come now, that's no big deal, is it?\N-No big deal?\I get it.\You must have used a body double, huh?\There's no end to the dirty tricks you'll pull!\Dirty tricks?\You're the one who took Eve Genoard, aren't you?! response:	Gee, I don't recall anything like that.
context: Come now, that's no big deal, is it?\N-No big deal?\I get it.\You must have used a body double, huh?\There's no end to the dirty tricks you'll pull!\Dirty tricks?\You're the one who took Eve Genoard, aren't you?!\Gee, I don't recall anything like that. response:	Don't jerk me around! I've got proof!
context: N-No big deal?\I get it.\You must have used a body double, huh?\There's no end to the dirty tricks you'll pull!\Dirty tricks?\You're the one who took Eve Genoard, aren't you?!\Gee, I don't recall anything like that.\Don't jerk me around! I've got proof! response:	You've teamed up with that brat Dallas!
context: I get it.\You must have used a body double, huh?\There's no end to the dirty tricks you'll pull!\Dirty tricks?\You're the one who took Eve Genoard, aren't you?!\Gee, I don't recall anything like that.\Don't jerk me around! I've got proof!\You've teamed up with that brat Dallas! response:	That's not true!
context: You must have used a body double, huh?\There's no end to the dirty tricks you'll pull!\Dirty tricks?\You're the one who took Eve Genoard, aren't you?!\Gee, I don't recall anything like that.\Don't jerk me around! I've got proof!\You've teamed up with that brat Dallas!\That's not true! response:	E-Eve- chan!
context: There's no end to the dirty tricks you'll pull!\Dirty tricks?\You're the one who took Eve Genoard, aren't you?!\Gee, I don't recall anything like that.\Don't jerk me around! I've got proof!\You've teamed up with that brat Dallas!\That's not true!\E-Eve- chan! response:	Heh, and there's more proof than anything.
context: Dirty tricks?\You're the one who took Eve Genoard, aren't you?!\Gee, I don't recall anything like that.\Don't jerk me around! I've got proof!\You've teamed up with that brat Dallas!\That's not true!\E-Eve- chan!\Heh, and there's more proof than anything. response:	Pretty arbitrary, huh?
context: You're the one who took Eve Genoard, aren't you?!\Gee, I don't recall anything like that.\Don't jerk me around! I've got proof!\You've teamed up with that brat Dallas!\That's not true!\E-Eve- chan!\Heh, and there's more proof than anything.\Pretty arbitrary, huh? response:	Yeah, arbitrary.
context: Gee, I don't recall anything like that.\Don't jerk me around! I've got proof!\You've teamed up with that brat Dallas!\That's not true!\E-Eve- chan!\Heh, and there's more proof than anything.\Pretty arbitrary, huh?\Yeah, arbitrary. response:	Do you get it now?!
context: Don't jerk me around! I've got proof!\You've teamed up with that brat Dallas!\That's not true!\E-Eve- chan!\Heh, and there's more proof than anything.\Pretty arbitrary, huh?\Yeah, arbitrary.\Do you get it now?! response:	Say what you will, those with the power prevail.
context: You've teamed up with that brat Dallas!\That's not true!\E-Eve- chan!\Heh, and there's more proof than anything.\Pretty arbitrary, huh?\Yeah, arbitrary.\Do you get it now?!\Say what you will, those with the power prevail. response:	Such is the law of this world.
context: That's not true!\E-Eve- chan!\Heh, and there's more proof than anything.\Pretty arbitrary, huh?\Yeah, arbitrary.\Do you get it now?!\Say what you will, those with the power prevail.\Such is the law of this world. response:	W-What's going on here?
context: E-Eve- chan!\Heh, and there's more proof than anything.\Pretty arbitrary, huh?\Yeah, arbitrary.\Do you get it now?!\Say what you will, those with the power prevail.\Such is the law of this world.\W-What's going on here? response:	You see, there are powers and laws such as this in this world.
context: Heh, and there's more proof than anything.\Pretty arbitrary, huh?\Yeah, arbitrary.\Do you get it now?!\Say what you will, those with the power prevail.\Such is the law of this world.\W-What's going on here?\You see, there are powers and laws such as this in this world. response:	That didn't work...
context: Pretty arbitrary, huh?\Yeah, arbitrary.\Do you get it now?!\Say what you will, those with the power prevail.\Such is the law of this world.\W-What's going on here?\You see, there are powers and laws such as this in this world.\That didn't work... response:	Who'd have thought it was liquor?
context: Yeah, arbitrary.\Do you get it now?!\Say what you will, those with the power prevail.\Such is the law of this world.\W-What's going on here?\You see, there are powers and laws such as this in this world.\That didn't work...\Who'd have thought it was liquor? response:	-Well, when faced with this... -Well, when faced with this...
context: Do you get it now?!\Say what you will, those with the power prevail.\Such is the law of this world.\W-What's going on here?\You see, there are powers and laws such as this in this world.\That didn't work...\Who'd have thought it was liquor?\-Well, when faced with this... -Well, when faced with this... response:	We'll swipe money from them, instead!
context: Say what you will, those with the power prevail.\Such is the law of this world.\W-What's going on here?\You see, there are powers and laws such as this in this world.\That didn't work...\Who'd have thought it was liquor?\-Well, when faced with this... -Well, when faced with this...\We'll swipe money from them, instead! response:	This time, we'll case the Martillo Family's place!
context: Such is the law of this world.\W-What's going on here?\You see, there are powers and laws such as this in this world.\That didn't work...\Who'd have thought it was liquor?\-Well, when faced with this... -Well, when faced with this...\We'll swipe money from them, instead!\This time, we'll case the Martillo Family's place! response:	-Martillo! Martillo! Martillo! Martillo! -Martillo! Martillo! Martillo! Martillo!
context: W-What's going on here?\You see, there are powers and laws such as this in this world.\That didn't work...\Who'd have thought it was liquor?\-Well, when faced with this... -Well, when faced with this...\We'll swipe money from them, instead!\This time, we'll case the Martillo Family's place!\-Martillo! Martillo! Martillo! Martillo! -Martillo! Martillo! Martillo! Martillo! response:	Remember, Miria,
context: You see, there are powers and laws such as this in this world.\That didn't work...\Who'd have thought it was liquor?\-Well, when faced with this... -Well, when faced with this...\We'll swipe money from them, instead!\This time, we'll case the Martillo Family's place!\-Martillo! Martillo! Martillo! Martillo! -Martillo! Martillo! Martillo! Martillo!\Remember, Miria, response:	act naturally, like a customer.
context: That didn't work...\Who'd have thought it was liquor?\-Well, when faced with this... -Well, when faced with this...\We'll swipe money from them, instead!\This time, we'll case the Martillo Family's place!\-Martillo! Martillo! Martillo! Martillo! -Martillo! Martillo! Martillo! Martillo!\Remember, Miria,\act naturally, like a customer. response:	Naturally, okay?
context: Who'd have thought it was liquor?\-Well, when faced with this... -Well, when faced with this...\We'll swipe money from them, instead!\This time, we'll case the Martillo Family's place!\-Martillo! Martillo! Martillo! Martillo! -Martillo! Martillo! Martillo! Martillo!\Remember, Miria,\act naturally, like a customer.\Naturally, okay? response:	Mm-hmm, naturally!
context: -Well, when faced with this... -Well, when faced with this...\We'll swipe money from them, instead!\This time, we'll case the Martillo Family's place!\-Martillo! Martillo! Martillo! Martillo! -Martillo! Martillo! Martillo! Martillo!\Remember, Miria,\act naturally, like a customer.\Naturally, okay?\Mm-hmm, naturally! response:	-God's will be done! -God's will be done!
context: We'll swipe money from them, instead!\This time, we'll case the Martillo Family's place!\-Martillo! Martillo! Martillo! Martillo! -Martillo! Martillo! Martillo! Martillo!\Remember, Miria,\act naturally, like a customer.\Naturally, okay?\Mm-hmm, naturally!\-God's will be done! -God's will be done! response:	Haven't seen you before...
context: This time, we'll case the Martillo Family's place!\-Martillo! Martillo! Martillo! Martillo! -Martillo! Martillo! Martillo! Martillo!\Remember, Miria,\act naturally, like a customer.\Naturally, okay?\Mm-hmm, naturally!\-God's will be done! -God's will be done!\Haven't seen you before... response:	Don't worry about it!
context: -Martillo! Martillo! Martillo! Martillo! -Martillo! Martillo! Martillo! Martillo!\Remember, Miria,\act naturally, like a customer.\Naturally, okay?\Mm-hmm, naturally!\-God's will be done! -God's will be done!\Haven't seen you before...\Don't worry about it! response:	Don't worry!
context: Remember, Miria,\act naturally, like a customer.\Naturally, okay?\Mm-hmm, naturally!\-God's will be done! -God's will be done!\Haven't seen you before...\Don't worry about it!\Don't worry! response:	Come on.
context: act naturally, like a customer.\Naturally, okay?\Mm-hmm, naturally!\-God's will be done! -God's will be done!\Haven't seen you before...\Don't worry about it!\Don't worry!\Come on. response:	-God's will be done! -God's will be done!
context: Naturally, okay?\Mm-hmm, naturally!\-God's will be done! -God's will be done!\Haven't seen you before...\Don't worry about it!\Don't worry!\Come on.\-God's will be done! -God's will be done! response:	Listen, there's supposed to be some sort of office here, somewhere.
context: Mm-hmm, naturally!\-God's will be done! -God's will be done!\Haven't seen you before...\Don't worry about it!\Don't worry!\Come on.\-God's will be done! -God's will be done!\Listen, there's supposed to be some sort of office here, somewhere. response:	Once we're there, there should also be a safe.
context: -God's will be done! -God's will be done!\Haven't seen you before...\Don't worry about it!\Don't worry!\Come on.\-God's will be done! -God's will be done!\Listen, there's supposed to be some sort of office here, somewhere.\Once we're there, there should also be a safe. response:	Gotcha.
context: Haven't seen you before...\Don't worry about it!\Don't worry!\Come on.\-God's will be done! -God's will be done!\Listen, there's supposed to be some sort of office here, somewhere.\Once we're there, there should also be a safe.\Gotcha. response:	Also, act naturally, like a customer. Naturally, okay?
context: Don't worry about it!\Don't worry!\Come on.\-God's will be done! -God's will be done!\Listen, there's supposed to be some sort of office here, somewhere.\Once we're there, there should also be a safe.\Gotcha.\Also, act naturally, like a customer. Naturally, okay? response:	Mm-hmm, naturally.
context: Don't worry!\Come on.\-God's will be done! -God's will be done!\Listen, there's supposed to be some sort of office here, somewhere.\Once we're there, there should also be a safe.\Gotcha.\Also, act naturally, like a customer. Naturally, okay?\Mm-hmm, naturally. response:	Sure enough, there's a basement office!
context: Come on.\-God's will be done! -God's will be done!\Listen, there's supposed to be some sort of office here, somewhere.\Once we're there, there should also be a safe.\Gotcha.\Also, act naturally, like a customer. Naturally, okay?\Mm-hmm, naturally.\Sure enough, there's a basement office! response:	Ah! Sir, you shouldn't be there!
context: -God's will be done! -God's will be done!\Listen, there's supposed to be some sort of office here, somewhere.\Once we're there, there should also be a safe.\Gotcha.\Also, act naturally, like a customer. Naturally, okay?\Mm-hmm, naturally.\Sure enough, there's a basement office!\Ah! Sir, you shouldn't be there! response:	It's dangerous there! Move away, quickly!
context: Listen, there's supposed to be some sort of office here, somewhere.\Once we're there, there should also be a safe.\Gotcha.\Also, act naturally, like a customer. Naturally, okay?\Mm-hmm, naturally.\Sure enough, there's a basement office!\Ah! Sir, you shouldn't be there!\It's dangerous there! Move away, quickly! response:	God's will...
context: Once we're there, there should also be a safe.\Gotcha.\Also, act naturally, like a customer. Naturally, okay?\Mm-hmm, naturally.\Sure enough, there's a basement office!\Ah! Sir, you shouldn't be there!\It's dangerous there! Move away, quickly!\God's will... response:	To celebrate the birth of a new capo, I will fire the ceremonial gun.
context: Gotcha.\Also, act naturally, like a customer. Naturally, okay?\Mm-hmm, naturally.\Sure enough, there's a basement office!\Ah! Sir, you shouldn't be there!\It's dangerous there! Move away, quickly!\God's will...\To celebrate the birth of a new capo, I will fire the ceremonial gun. response:	Isaac has been killed!
context: Also, act naturally, like a customer. Naturally, okay?\Mm-hmm, naturally.\Sure enough, there's a basement office!\Ah! Sir, you shouldn't be there!\It's dangerous there! Move away, quickly!\God's will...\To celebrate the birth of a new capo, I will fire the ceremonial gun.\Isaac has been killed! response:	There's a bit of a problem with one of the customers!
context: Mm-hmm, naturally.\Sure enough, there's a basement office!\Ah! Sir, you shouldn't be there!\It's dangerous there! Move away, quickly!\God's will...\To celebrate the birth of a new capo, I will fire the ceremonial gun.\Isaac has been killed!\There's a bit of a problem with one of the customers! response:	Isaac!
context: Sure enough, there's a basement office!\Ah! Sir, you shouldn't be there!\It's dangerous there! Move away, quickly!\God's will...\To celebrate the birth of a new capo, I will fire the ceremonial gun.\Isaac has been killed!\There's a bit of a problem with one of the customers!\Isaac! response:	Don't cry, Miria. I'm still alive.
context: Ah! Sir, you shouldn't be there!\It's dangerous there! Move away, quickly!\God's will...\To celebrate the birth of a new capo, I will fire the ceremonial gun.\Isaac has been killed!\There's a bit of a problem with one of the customers!\Isaac!\Don't cry, Miria. I'm still alive. response:	But, but, but, you're gonna die!
context: It's dangerous there! Move away, quickly!\God's will...\To celebrate the birth of a new capo, I will fire the ceremonial gun.\Isaac has been killed!\There's a bit of a problem with one of the customers!\Isaac!\Don't cry, Miria. I'm still alive.\But, but, but, you're gonna die! response:	Well, one day...
context: God's will...\To celebrate the birth of a new capo, I will fire the ceremonial gun.\Isaac has been killed!\There's a bit of a problem with one of the customers!\Isaac!\Don't cry, Miria. I'm still alive.\But, but, but, you're gonna die!\Well, one day... response:	Isaac!
context: To celebrate the birth of a new capo, I will fire the ceremonial gun.\Isaac has been killed!\There's a bit of a problem with one of the customers!\Isaac!\Don't cry, Miria. I'm still alive.\But, but, but, you're gonna die!\Well, one day...\Isaac! response:	Miria!
context: Isaac has been killed!\There's a bit of a problem with one of the customers!\Isaac!\Don't cry, Miria. I'm still alive.\But, but, but, you're gonna die!\Well, one day...\Isaac!\Miria! response:	You're the ones who were at the hat shop this afternoon.
context: There's a bit of a problem with one of the customers!\Isaac!\Don't cry, Miria. I'm still alive.\But, but, but, you're gonna die!\Well, one day...\Isaac!\Miria!\You're the ones who were at the hat shop this afternoon. response:	Oh, it's those guys.
context: Isaac!\Don't cry, Miria. I'm still alive.\But, but, but, you're gonna die!\Well, one day...\Isaac!\Miria!\You're the ones who were at the hat shop this afternoon.\Oh, it's those guys. response:	The ones we passed earlier.
context: Don't cry, Miria. I'm still alive.\But, but, but, you're gonna die!\Well, one day...\Isaac!\Miria!\You're the ones who were at the hat shop this afternoon.\Oh, it's those guys.\The ones we passed earlier. response:	You two...
context: But, but, but, you're gonna die!\Well, one day...\Isaac!\Miria!\You're the ones who were at the hat shop this afternoon.\Oh, it's those guys.\The ones we passed earlier.\You two... response:	Looking up at the starry sky that goes on forever, we sing
context: Well, one day...\Isaac!\Miria!\You're the ones who were at the hat shop this afternoon.\Oh, it's those guys.\The ones we passed earlier.\You two...\Looking up at the starry sky that goes on forever, we sing response:	a melody of a dream we have of our limited eternity
context: Isaac!\Miria!\You're the ones who were at the hat shop this afternoon.\Oh, it's those guys.\The ones we passed earlier.\You two...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity response:	The water of adoration, overflowing in our hearts
context: Miria!\You're the ones who were at the hat shop this afternoon.\Oh, it's those guys.\The ones we passed earlier.\You two...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts response:	will reach someone in the distant future
context: You're the ones who were at the hat shop this afternoon.\Oh, it's those guys.\The ones we passed earlier.\You two...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future response:	I believe so
context: Oh, it's those guys.\The ones we passed earlier.\You two...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so response:	Running through time prolonged,
context: The ones we passed earlier.\You two...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged, response:	our voices calling out will someday become a great song
context: You two...\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song response:	We can go on spinning our love
context: Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love response:	though it may still be such a tiny light now
context: a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now response:	Hey, Miria, I think those two mysterious people are us.
context: The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Miria, I think those two mysterious people are us. response:	We made her silent, huh?
context: will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Miria, I think those two mysterious people are us.\We made her silent, huh? response:	We did something inexcusable, right out of the blue.
context: I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Miria, I think those two mysterious people are us.\We made her silent, huh?\We did something inexcusable, right out of the blue. response:	You're right.
context: Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Miria, I think those two mysterious people are us.\We made her silent, huh?\We did something inexcusable, right out of the blue.\You're right. response:	And we don't even know who Chane-san is.
context: our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Hey, Miria, I think those two mysterious people are us.\We made her silent, huh?\We did something inexcusable, right out of the blue.\You're right.\And we don't even know who Chane-san is. response:	We've never even met her.
