context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA response:	Muginami! That's dangerous!
context: Set up a defense strategy immediately\centered on Vox Lympha and Ignis.\But...!\This is the decision reached by the Novumundus High Council.\It will not be changed.\Things won't go perfect this time around.\What will you do, Madoka?\Cap, it's Kyono. response:	Oh, you're here.
context: centered on Vox Lympha and Ignis.\But...!\This is the decision reached by the Novumundus High Council.\It will not be changed.\Things won't go perfect this time around.\What will you do, Madoka?\Cap, it's Kyono.\Oh, you're here. response:	Mr. Tadokoro, what's this all about?
context: But...!\This is the decision reached by the Novumundus High Council.\It will not be changed.\Things won't go perfect this time around.\What will you do, Madoka?\Cap, it's Kyono.\Oh, you're here.\Mr. Tadokoro, what's this all about? response:	Laffinty and Muginami are responsible.
context: This is the decision reached by the Novumundus High Council.\It will not be changed.\Things won't go perfect this time around.\What will you do, Madoka?\Cap, it's Kyono.\Oh, you're here.\Mr. Tadokoro, what's this all about?\Laffinty and Muginami are responsible. response:	What?
context: It will not be changed.\Things won't go perfect this time around.\What will you do, Madoka?\Cap, it's Kyono.\Oh, you're here.\Mr. Tadokoro, what's this all about?\Laffinty and Muginami are responsible.\What? response:	They've locked themselves up in there and won't open the door
context: Things won't go perfect this time around.\What will you do, Madoka?\Cap, it's Kyono.\Oh, you're here.\Mr. Tadokoro, what's this all about?\Laffinty and Muginami are responsible.\What?\They've locked themselves up in there and won't open the door response:	until we rescind the orders to shut down Aura.
context: What will you do, Madoka?\Cap, it's Kyono.\Oh, you're here.\Mr. Tadokoro, what's this all about?\Laffinty and Muginami are responsible.\What?\They've locked themselves up in there and won't open the door\until we rescind the orders to shut down Aura. response:	What?
context: Cap, it's Kyono.\Oh, you're here.\Mr. Tadokoro, what's this all about?\Laffinty and Muginami are responsible.\What?\They've locked themselves up in there and won't open the door\until we rescind the orders to shut down Aura.\What? response:	Why are those two doing this?
context: Oh, you're here.\Mr. Tadokoro, what's this all about?\Laffinty and Muginami are responsible.\What?\They've locked themselves up in there and won't open the door\until we rescind the orders to shut down Aura.\What?\Why are those two doing this? response:	Didn't you put them up to it?
context: Mr. Tadokoro, what's this all about?\Laffinty and Muginami are responsible.\What?\They've locked themselves up in there and won't open the door\until we rescind the orders to shut down Aura.\What?\Why are those two doing this?\Didn't you put them up to it? response:	I didn't think so.
context: Laffinty and Muginami are responsible.\What?\They've locked themselves up in there and won't open the door\until we rescind the orders to shut down Aura.\What?\Why are those two doing this?\Didn't you put them up to it?\I didn't think so. response:	Well, those two are going the extra mile for you.
context: What?\They've locked themselves up in there and won't open the door\until we rescind the orders to shut down Aura.\What?\Why are those two doing this?\Didn't you put them up to it?\I didn't think so.\Well, those two are going the extra mile for you. response:	Lan...
context: They've locked themselves up in there and won't open the door\until we rescind the orders to shut down Aura.\What?\Why are those two doing this?\Didn't you put them up to it?\I didn't think so.\Well, those two are going the extra mile for you.\Lan... response:	Muginami...
context: until we rescind the orders to shut down Aura.\What?\Why are those two doing this?\Didn't you put them up to it?\I didn't think so.\Well, those two are going the extra mile for you.\Lan...\Muginami... response:	Just what is all this nonsense?
context: What?\Why are those two doing this?\Didn't you put them up to it?\I didn't think so.\Well, those two are going the extra mile for you.\Lan...\Muginami...\Just what is all this nonsense? response:	As you can see...
context: Why are those two doing this?\Didn't you put them up to it?\I didn't think so.\Well, those two are going the extra mile for you.\Lan...\Muginami...\Just what is all this nonsense?\As you can see... response:	They're just like children whose toys were confiscated.
context: Didn't you put them up to it?\I didn't think so.\Well, those two are going the extra mile for you.\Lan...\Muginami...\Just what is all this nonsense?\As you can see...\They're just like children whose toys were confiscated. response:	It's no use, Cap.
context: I didn't think so.\Well, those two are going the extra mile for you.\Lan...\Muginami...\Just what is all this nonsense?\As you can see...\They're just like children whose toys were confiscated.\It's no use, Cap. response:	All entries have been locked from the inside and we can't access them.
context: Well, those two are going the extra mile for you.\Lan...\Muginami...\Just what is all this nonsense?\As you can see...\They're just like children whose toys were confiscated.\It's no use, Cap.\All entries have been locked from the inside and we can't access them. response:	I'll go in and talk to them.
context: Lan...\Muginami...\Just what is all this nonsense?\As you can see...\They're just like children whose toys were confiscated.\It's no use, Cap.\All entries have been locked from the inside and we can't access them.\I'll go in and talk to them. response:	What?
context: Muginami...\Just what is all this nonsense?\As you can see...\They're just like children whose toys were confiscated.\It's no use, Cap.\All entries have been locked from the inside and we can't access them.\I'll go in and talk to them.\What? response:	We can't let this go on, can we?
context: Just what is all this nonsense?\As you can see...\They're just like children whose toys were confiscated.\It's no use, Cap.\All entries have been locked from the inside and we can't access them.\I'll go in and talk to them.\What?\We can't let this go on, can we? response:	How do you intend to get in?
context: As you can see...\They're just like children whose toys were confiscated.\It's no use, Cap.\All entries have been locked from the inside and we can't access them.\I'll go in and talk to them.\What?\We can't let this go on, can we?\How do you intend to get in? response:	From there!
context: They're just like children whose toys were confiscated.\It's no use, Cap.\All entries have been locked from the inside and we can't access them.\I'll go in and talk to them.\What?\We can't let this go on, can we?\How do you intend to get in?\From there! response:	I'm amazed that you thought of this.
context: It's no use, Cap.\All entries have been locked from the inside and we can't access them.\I'll go in and talk to them.\What?\We can't let this go on, can we?\How do you intend to get in?\From there!\I'm amazed that you thought of this. response:	You didn't have to come along.
context: All entries have been locked from the inside and we can't access them.\I'll go in and talk to them.\What?\We can't let this go on, can we?\How do you intend to get in?\From there!\I'm amazed that you thought of this.\You didn't have to come along. response:	Don't mind me.
context: I'll go in and talk to them.\What?\We can't let this go on, can we?\How do you intend to get in?\From there!\I'm amazed that you thought of this.\You didn't have to come along.\Don't mind me. response:	It's the parent's job to spank children who don't listen!
context: What?\We can't let this go on, can we?\How do you intend to get in?\From there!\I'm amazed that you thought of this.\You didn't have to come along.\Don't mind me.\It's the parent's job to spank children who don't listen! response:	Oww!
context: We can't let this go on, can we?\How do you intend to get in?\From there!\I'm amazed that you thought of this.\You didn't have to come along.\Don't mind me.\It's the parent's job to spank children who don't listen!\Oww! response:	Why did you do that?
context: How do you intend to get in?\From there!\I'm amazed that you thought of this.\You didn't have to come along.\Don't mind me.\It's the parent's job to spank children who don't listen!\Oww!\Why did you do that? response:	Why didn't you go along with them?
context: From there!\I'm amazed that you thought of this.\You didn't have to come along.\Don't mind me.\It's the parent's job to spank children who don't listen!\Oww!\Why did you do that?\Why didn't you go along with them? response:	Huh?
context: I'm amazed that you thought of this.\You didn't have to come along.\Don't mind me.\It's the parent's job to spank children who don't listen!\Oww!\Why did you do that?\Why didn't you go along with them?\Huh? response:	I was quite sure that
context: You didn't have to come along.\Don't mind me.\It's the parent's job to spank children who don't listen!\Oww!\Why did you do that?\Why didn't you go along with them?\Huh?\I was quite sure that response:	if anyone tried to do something, it would be you.
context: Don't mind me.\It's the parent's job to spank children who don't listen!\Oww!\Why did you do that?\Why didn't you go along with them?\Huh?\I was quite sure that\if anyone tried to do something, it would be you. response:	I'm in too much pain to think of an answer.
context: It's the parent's job to spank children who don't listen!\Oww!\Why did you do that?\Why didn't you go along with them?\Huh?\I was quite sure that\if anyone tried to do something, it would be you.\I'm in too much pain to think of an answer. response:	We Oppose The Shutdown Of Aura
context: Oww!\Why did you do that?\Why didn't you go along with them?\Huh?\I was quite sure that\if anyone tried to do something, it would be you.\I'm in too much pain to think of an answer.\We Oppose The Shutdown Of Aura response:	Hurry up and go!
context: Why did you do that?\Why didn't you go along with them?\Huh?\I was quite sure that\if anyone tried to do something, it would be you.\I'm in too much pain to think of an answer.\We Oppose The Shutdown Of Aura\Hurry up and go! response:	Hey, wait! Don't push!
context: Why didn't you go along with them?\Huh?\I was quite sure that\if anyone tried to do something, it would be you.\I'm in too much pain to think of an answer.\We Oppose The Shutdown Of Aura\Hurry up and go!\Hey, wait! Don't push! response:	Madoka?
context: Huh?\I was quite sure that\if anyone tried to do something, it would be you.\I'm in too much pain to think of an answer.\We Oppose The Shutdown Of Aura\Hurry up and go!\Hey, wait! Don't push!\Madoka? response:	Ouch...
context: I was quite sure that\if anyone tried to do something, it would be you.\I'm in too much pain to think of an answer.\We Oppose The Shutdown Of Aura\Hurry up and go!\Hey, wait! Don't push!\Madoka?\Ouch... response:	Hey Lan... Muginami...
context: if anyone tried to do something, it would be you.\I'm in too much pain to think of an answer.\We Oppose The Shutdown Of Aura\Hurry up and go!\Hey, wait! Don't push!\Madoka?\Ouch...\Hey Lan... Muginami... response:	That was quite an unusual experience.
context: I'm in too much pain to think of an answer.\We Oppose The Shutdown Of Aura\Hurry up and go!\Hey, wait! Don't push!\Madoka?\Ouch...\Hey Lan... Muginami...\That was quite an unusual experience. response:	Can't we ask you to reconsider?
context: We Oppose The Shutdown Of Aura\Hurry up and go!\Hey, wait! Don't push!\Madoka?\Ouch...\Hey Lan... Muginami...\That was quite an unusual experience.\Can't we ask you to reconsider? response:	Madoka and Aura are both essential to our team.
context: Hurry up and go!\Hey, wait! Don't push!\Madoka?\Ouch...\Hey Lan... Muginami...\That was quite an unusual experience.\Can't we ask you to reconsider?\Madoka and Aura are both essential to our team. response:	I'd be uneasy if it's just Lan and me.
context: Hey, wait! Don't push!\Madoka?\Ouch...\Hey Lan... Muginami...\That was quite an unusual experience.\Can't we ask you to reconsider?\Madoka and Aura are both essential to our team.\I'd be uneasy if it's just Lan and me. response:	What's that supposed to mean?
context: Madoka?\Ouch...\Hey Lan... Muginami...\That was quite an unusual experience.\Can't we ask you to reconsider?\Madoka and Aura are both essential to our team.\I'd be uneasy if it's just Lan and me.\What's that supposed to mean? response:	Well, you know...
context: Ouch...\Hey Lan... Muginami...\That was quite an unusual experience.\Can't we ask you to reconsider?\Madoka and Aura are both essential to our team.\I'd be uneasy if it's just Lan and me.\What's that supposed to mean?\Well, you know... response:	Listen, you two.
context: Hey Lan... Muginami...\That was quite an unusual experience.\Can't we ask you to reconsider?\Madoka and Aura are both essential to our team.\I'd be uneasy if it's just Lan and me.\What's that supposed to mean?\Well, you know...\Listen, you two. response:	Let's stop this.
context: That was quite an unusual experience.\Can't we ask you to reconsider?\Madoka and Aura are both essential to our team.\I'd be uneasy if it's just Lan and me.\What's that supposed to mean?\Well, you know...\Listen, you two.\Let's stop this. response:	Madoka?
context: Can't we ask you to reconsider?\Madoka and Aura are both essential to our team.\I'd be uneasy if it's just Lan and me.\What's that supposed to mean?\Well, you know...\Listen, you two.\Let's stop this.\Madoka? response:	I really appreciate what you're doing, but this isn't the way.
context: Madoka and Aura are both essential to our team.\I'd be uneasy if it's just Lan and me.\What's that supposed to mean?\Well, you know...\Listen, you two.\Let's stop this.\Madoka?\I really appreciate what you're doing, but this isn't the way. response:	But that means we won't be able to fly together anymore.
context: I'd be uneasy if it's just Lan and me.\What's that supposed to mean?\Well, you know...\Listen, you two.\Let's stop this.\Madoka?\I really appreciate what you're doing, but this isn't the way.\But that means we won't be able to fly together anymore. response:	It would be terrible if what happened last time repeats itself.
context: What's that supposed to mean?\Well, you know...\Listen, you two.\Let's stop this.\Madoka?\I really appreciate what you're doing, but this isn't the way.\But that means we won't be able to fly together anymore.\It would be terrible if what happened last time repeats itself. response:	If it does, I'll stop it.
context: Well, you know...\Listen, you two.\Let's stop this.\Madoka?\I really appreciate what you're doing, but this isn't the way.\But that means we won't be able to fly together anymore.\It would be terrible if what happened last time repeats itself.\If it does, I'll stop it. response:	What if it doesn't stop?
context: Listen, you two.\Let's stop this.\Madoka?\I really appreciate what you're doing, but this isn't the way.\But that means we won't be able to fly together anymore.\It would be terrible if what happened last time repeats itself.\If it does, I'll stop it.\What if it doesn't stop? response:	Even if it doesn't stop, I'll make it!
context: Let's stop this.\Madoka?\I really appreciate what you're doing, but this isn't the way.\But that means we won't be able to fly together anymore.\It would be terrible if what happened last time repeats itself.\If it does, I'll stop it.\What if it doesn't stop?\Even if it doesn't stop, I'll make it! response:	That's what Madoka of the Sweats Club would say.
context: Madoka?\I really appreciate what you're doing, but this isn't the way.\But that means we won't be able to fly together anymore.\It would be terrible if what happened last time repeats itself.\If it does, I'll stop it.\What if it doesn't stop?\Even if it doesn't stop, I'll make it!\That's what Madoka of the Sweats Club would say. response:	Yeah, yeah!
context: I really appreciate what you're doing, but this isn't the way.\But that means we won't be able to fly together anymore.\It would be terrible if what happened last time repeats itself.\If it does, I'll stop it.\What if it doesn't stop?\Even if it doesn't stop, I'll make it!\That's what Madoka of the Sweats Club would say.\Yeah, yeah! response:	Maybe, but no.
context: But that means we won't be able to fly together anymore.\It would be terrible if what happened last time repeats itself.\If it does, I'll stop it.\What if it doesn't stop?\Even if it doesn't stop, I'll make it!\That's what Madoka of the Sweats Club would say.\Yeah, yeah!\Maybe, but no. response:	The thought of you two getting hurt because of me is even worse.
context: It would be terrible if what happened last time repeats itself.\If it does, I'll stop it.\What if it doesn't stop?\Even if it doesn't stop, I'll make it!\That's what Madoka of the Sweats Club would say.\Yeah, yeah!\Maybe, but no.\The thought of you two getting hurt because of me is even worse. response:	I don't have the confidence to promise that it won't lose control again.
context: If it does, I'll stop it.\What if it doesn't stop?\Even if it doesn't stop, I'll make it!\That's what Madoka of the Sweats Club would say.\Yeah, yeah!\Maybe, but no.\The thought of you two getting hurt because of me is even worse.\I don't have the confidence to promise that it won't lose control again. response:	I'm just not that strong.
context: What if it doesn't stop?\Even if it doesn't stop, I'll make it!\That's what Madoka of the Sweats Club would say.\Yeah, yeah!\Maybe, but no.\The thought of you two getting hurt because of me is even worse.\I don't have the confidence to promise that it won't lose control again.\I'm just not that strong. response:	Besides, even if I can't pilot Midori,
context: Even if it doesn't stop, I'll make it!\That's what Madoka of the Sweats Club would say.\Yeah, yeah!\Maybe, but no.\The thought of you two getting hurt because of me is even worse.\I don't have the confidence to promise that it won't lose control again.\I'm just not that strong.\Besides, even if I can't pilot Midori, response:	it's not like you and Lan are going away.
context: That's what Madoka of the Sweats Club would say.\Yeah, yeah!\Maybe, but no.\The thought of you two getting hurt because of me is even worse.\I don't have the confidence to promise that it won't lose control again.\I'm just not that strong.\Besides, even if I can't pilot Midori,\it's not like you and Lan are going away. response:	Right, Ms. Chairman?
context: Yeah, yeah!\Maybe, but no.\The thought of you two getting hurt because of me is even worse.\I don't have the confidence to promise that it won't lose control again.\I'm just not that strong.\Besides, even if I can't pilot Midori,\it's not like you and Lan are going away.\Right, Ms. Chairman? response:	Is that the answer to my earlier question?
context: Maybe, but no.\The thought of you two getting hurt because of me is even worse.\I don't have the confidence to promise that it won't lose control again.\I'm just not that strong.\Besides, even if I can't pilot Midori,\it's not like you and Lan are going away.\Right, Ms. Chairman?\Is that the answer to my earlier question? response:	Maybe it is.
context: The thought of you two getting hurt because of me is even worse.\I don't have the confidence to promise that it won't lose control again.\I'm just not that strong.\Besides, even if I can't pilot Midori,\it's not like you and Lan are going away.\Right, Ms. Chairman?\Is that the answer to my earlier question?\Maybe it is. response:	I only ordered Aura to be grounded.
context: I don't have the confidence to promise that it won't lose control again.\I'm just not that strong.\Besides, even if I can't pilot Midori,\it's not like you and Lan are going away.\Right, Ms. Chairman?\Is that the answer to my earlier question?\Maybe it is.\I only ordered Aura to be grounded. response:	Then I'll accept it.
context: I'm just not that strong.\Besides, even if I can't pilot Midori,\it's not like you and Lan are going away.\Right, Ms. Chairman?\Is that the answer to my earlier question?\Maybe it is.\I only ordered Aura to be grounded.\Then I'll accept it. response:	Even if I can't pilot Midori,
context: Besides, even if I can't pilot Midori,\it's not like you and Lan are going away.\Right, Ms. Chairman?\Is that the answer to my earlier question?\Maybe it is.\I only ordered Aura to be grounded.\Then I'll accept it.\Even if I can't pilot Midori, response:	nothing will change between us.
context: it's not like you and Lan are going away.\Right, Ms. Chairman?\Is that the answer to my earlier question?\Maybe it is.\I only ordered Aura to be grounded.\Then I'll accept it.\Even if I can't pilot Midori,\nothing will change between us. response:	Thank you.
context: Right, Ms. Chairman?\Is that the answer to my earlier question?\Maybe it is.\I only ordered Aura to be grounded.\Then I'll accept it.\Even if I can't pilot Midori,\nothing will change between us.\Thank you. response:	I'll be okay.
context: Is that the answer to my earlier question?\Maybe it is.\I only ordered Aura to be grounded.\Then I'll accept it.\Even if I can't pilot Midori,\nothing will change between us.\Thank you.\I'll be okay. response:	We will always be the Kamo Girls' Sweats Club.
context: Maybe it is.\I only ordered Aura to be grounded.\Then I'll accept it.\Even if I can't pilot Midori,\nothing will change between us.\Thank you.\I'll be okay.\We will always be the Kamo Girls' Sweats Club. response:	Madoka...
context: I only ordered Aura to be grounded.\Then I'll accept it.\Even if I can't pilot Midori,\nothing will change between us.\Thank you.\I'll be okay.\We will always be the Kamo Girls' Sweats Club.\Madoka... response:	Madoka!
context: Then I'll accept it.\Even if I can't pilot Midori,\nothing will change between us.\Thank you.\I'll be okay.\We will always be the Kamo Girls' Sweats Club.\Madoka...\Madoka! response:	Now I feel so stupid for doing this.
context: Even if I can't pilot Midori,\nothing will change between us.\Thank you.\I'll be okay.\We will always be the Kamo Girls' Sweats Club.\Madoka...\Madoka!\Now I feel so stupid for doing this. response:	Don't be.
context: nothing will change between us.\Thank you.\I'll be okay.\We will always be the Kamo Girls' Sweats Club.\Madoka...\Madoka!\Now I feel so stupid for doing this.\Don't be. response:	It made me really happy.
context: Thank you.\I'll be okay.\We will always be the Kamo Girls' Sweats Club.\Madoka...\Madoka!\Now I feel so stupid for doing this.\Don't be.\It made me really happy. response:	Disregard it?
context: I'll be okay.\We will always be the Kamo Girls' Sweats Club.\Madoka...\Madoka!\Now I feel so stupid for doing this.\Don't be.\It made me really happy.\Disregard it? response:	Are you saying you'll overlook everything regarding this incident?
context: We will always be the Kamo Girls' Sweats Club.\Madoka...\Madoka!\Now I feel so stupid for doing this.\Don't be.\It made me really happy.\Disregard it?\Are you saying you'll overlook everything regarding this incident? response:	Yes.
context: Madoka...\Madoka!\Now I feel so stupid for doing this.\Don't be.\It made me really happy.\Disregard it?\Are you saying you'll overlook everything regarding this incident?\Yes. response:	But it was a serious violation of service regulations.
context: Madoka!\Now I feel so stupid for doing this.\Don't be.\It made me really happy.\Disregard it?\Are you saying you'll overlook everything regarding this incident?\Yes.\But it was a serious violation of service regulations. response:	This is my decision as the representative of the Novumundus High Council.
context: Now I feel so stupid for doing this.\Don't be.\It made me really happy.\Disregard it?\Are you saying you'll overlook everything regarding this incident?\Yes.\But it was a serious violation of service regulations.\This is my decision as the representative of the Novumundus High Council. response:	By the way,
context: Don't be.\It made me really happy.\Disregard it?\Are you saying you'll overlook everything regarding this incident?\Yes.\But it was a serious violation of service regulations.\This is my decision as the representative of the Novumundus High Council.\By the way, response:	how are the preparations to equip Lympha and Ignis proceeding?
context: It made me really happy.\Disregard it?\Are you saying you'll overlook everything regarding this incident?\Yes.\But it was a serious violation of service regulations.\This is my decision as the representative of the Novumundus High Council.\By the way,\how are the preparations to equip Lympha and Ignis proceeding? response:	Equip?
context: Disregard it?\Are you saying you'll overlook everything regarding this incident?\Yes.\But it was a serious violation of service regulations.\This is my decision as the representative of the Novumundus High Council.\By the way,\how are the preparations to equip Lympha and Ignis proceeding?\Equip? response:	Check it out immediately and get it done.
context: Are you saying you'll overlook everything regarding this incident?\Yes.\But it was a serious violation of service regulations.\This is my decision as the representative of the Novumundus High Council.\By the way,\how are the preparations to equip Lympha and Ignis proceeding?\Equip?\Check it out immediately and get it done. response:	Yes, I will.
context: Yes.\But it was a serious violation of service regulations.\This is my decision as the representative of the Novumundus High Council.\By the way,\how are the preparations to equip Lympha and Ignis proceeding?\Equip?\Check it out immediately and get it done.\Yes, I will. response:	I'm going out.
context: But it was a serious violation of service regulations.\This is my decision as the representative of the Novumundus High Council.\By the way,\how are the preparations to equip Lympha and Ignis proceeding?\Equip?\Check it out immediately and get it done.\Yes, I will.\I'm going out. response:	Get the ship ready.
context: This is my decision as the representative of the Novumundus High Council.\By the way,\how are the preparations to equip Lympha and Ignis proceeding?\Equip?\Check it out immediately and get it done.\Yes, I will.\I'm going out.\Get the ship ready. response:	Ship?
context: By the way,\how are the preparations to equip Lympha and Ignis proceeding?\Equip?\Check it out immediately and get it done.\Yes, I will.\I'm going out.\Get the ship ready.\Ship? response:	You're coming too.
context: how are the preparations to equip Lympha and Ignis proceeding?\Equip?\Check it out immediately and get it done.\Yes, I will.\I'm going out.\Get the ship ready.\Ship?\You're coming too. response:	Huh?
context: Equip?\Check it out immediately and get it done.\Yes, I will.\I'm going out.\Get the ship ready.\Ship?\You're coming too.\Huh? response:	Yes, Your Highness.
context: Check it out immediately and get it done.\Yes, I will.\I'm going out.\Get the ship ready.\Ship?\You're coming too.\Huh?\Yes, Your Highness. response:	We must be even more wary of the actions of those who oppose
context: Yes, I will.\I'm going out.\Get the ship ready.\Ship?\You're coming too.\Huh?\Yes, Your Highness.\We must be even more wary of the actions of those who oppose response:	the blossoming of the Circle of Rin-ne.
context: I'm going out.\Get the ship ready.\Ship?\You're coming too.\Huh?\Yes, Your Highness.\We must be even more wary of the actions of those who oppose\the blossoming of the Circle of Rin-ne. response:	In fact, since Villagiulio is openly taking action,
context: Get the ship ready.\Ship?\You're coming too.\Huh?\Yes, Your Highness.\We must be even more wary of the actions of those who oppose\the blossoming of the Circle of Rin-ne.\In fact, since Villagiulio is openly taking action, response:	we cannot waste any time whatsoever.
context: Ship?\You're coming too.\Huh?\Yes, Your Highness.\We must be even more wary of the actions of those who oppose\the blossoming of the Circle of Rin-ne.\In fact, since Villagiulio is openly taking action,\we cannot waste any time whatsoever. response:	Very well.
context: You're coming too.\Huh?\Yes, Your Highness.\We must be even more wary of the actions of those who oppose\the blossoming of the Circle of Rin-ne.\In fact, since Villagiulio is openly taking action,\we cannot waste any time whatsoever.\Very well. response:	Then speed up the retrieval schedule for the Vox units as much as you can.
context: Huh?\Yes, Your Highness.\We must be even more wary of the actions of those who oppose\the blossoming of the Circle of Rin-ne.\In fact, since Villagiulio is openly taking action,\we cannot waste any time whatsoever.\Very well.\Then speed up the retrieval schedule for the Vox units as much as you can. response:	As you wish, sir.
context: Yes, Your Highness.\We must be even more wary of the actions of those who oppose\the blossoming of the Circle of Rin-ne.\In fact, since Villagiulio is openly taking action,\we cannot waste any time whatsoever.\Very well.\Then speed up the retrieval schedule for the Vox units as much as you can.\As you wish, sir. response:	Isn't it ironic, Moid?
context: We must be even more wary of the actions of those who oppose\the blossoming of the Circle of Rin-ne.\In fact, since Villagiulio is openly taking action,\we cannot waste any time whatsoever.\Very well.\Then speed up the retrieval schedule for the Vox units as much as you can.\As you wish, sir.\Isn't it ironic, Moid? response:	Sir?
context: the blossoming of the Circle of Rin-ne.\In fact, since Villagiulio is openly taking action,\we cannot waste any time whatsoever.\Very well.\Then speed up the retrieval schedule for the Vox units as much as you can.\As you wish, sir.\Isn't it ironic, Moid?\Sir? response:	The light moves so slowly,
context: In fact, since Villagiulio is openly taking action,\we cannot waste any time whatsoever.\Very well.\Then speed up the retrieval schedule for the Vox units as much as you can.\As you wish, sir.\Isn't it ironic, Moid?\Sir?\The light moves so slowly, response:	but time cruelly pushes us forward.
context: we cannot waste any time whatsoever.\Very well.\Then speed up the retrieval schedule for the Vox units as much as you can.\As you wish, sir.\Isn't it ironic, Moid?\Sir?\The light moves so slowly,\but time cruelly pushes us forward. response:	Array...
context: Very well.\Then speed up the retrieval schedule for the Vox units as much as you can.\As you wish, sir.\Isn't it ironic, Moid?\Sir?\The light moves so slowly,\but time cruelly pushes us forward.\Array... response:	What the!
context: Then speed up the retrieval schedule for the Vox units as much as you can.\As you wish, sir.\Isn't it ironic, Moid?\Sir?\The light moves so slowly,\but time cruelly pushes us forward.\Array...\What the! response:	Don't look at me like that.
context: As you wish, sir.\Isn't it ironic, Moid?\Sir?\The light moves so slowly,\but time cruelly pushes us forward.\Array...\What the!\Don't look at me like that. response:	I mean, just don't look, damn it!
context: Isn't it ironic, Moid?\Sir?\The light moves so slowly,\but time cruelly pushes us forward.\Array...\What the!\Don't look at me like that.\I mean, just don't look, damn it! response:	Didn't I tell you?
context: Sir?\The light moves so slowly,\but time cruelly pushes us forward.\Array...\What the!\Don't look at me like that.\I mean, just don't look, damn it!\Didn't I tell you? response:	He's the personal maid for the Chairman of Novumundus.
context: The light moves so slowly,\but time cruelly pushes us forward.\Array...\What the!\Don't look at me like that.\I mean, just don't look, damn it!\Didn't I tell you?\He's the personal maid for the Chairman of Novumundus. response:	Maid?
context: but time cruelly pushes us forward.\Array...\What the!\Don't look at me like that.\I mean, just don't look, damn it!\Didn't I tell you?\He's the personal maid for the Chairman of Novumundus.\Maid? response:	But he's a guy...
context: Array...\What the!\Don't look at me like that.\I mean, just don't look, damn it!\Didn't I tell you?\He's the personal maid for the Chairman of Novumundus.\Maid?\But he's a guy... response:	A lot of things happened.
context: What the!\Don't look at me like that.\I mean, just don't look, damn it!\Didn't I tell you?\He's the personal maid for the Chairman of Novumundus.\Maid?\But he's a guy...\A lot of things happened. response:	So what is your answer?
context: Don't look at me like that.\I mean, just don't look, damn it!\Didn't I tell you?\He's the personal maid for the Chairman of Novumundus.\Maid?\But he's a guy...\A lot of things happened.\So what is your answer? response:	The answer is no.
context: I mean, just don't look, damn it!\Didn't I tell you?\He's the personal maid for the Chairman of Novumundus.\Maid?\But he's a guy...\A lot of things happened.\So what is your answer?\The answer is no. response:	We will not hand over the Vox to you.
context: Didn't I tell you?\He's the personal maid for the Chairman of Novumundus.\Maid?\But he's a guy...\A lot of things happened.\So what is your answer?\The answer is no.\We will not hand over the Vox to you. response:	What?
context: He's the personal maid for the Chairman of Novumundus.\Maid?\But he's a guy...\A lot of things happened.\So what is your answer?\The answer is no.\We will not hand over the Vox to you.\What? response:	Are you sure?
context: Maid?\But he's a guy...\A lot of things happened.\So what is your answer?\The answer is no.\We will not hand over the Vox to you.\What?\Are you sure? response:	You'll live to regret it.
context: But he's a guy...\A lot of things happened.\So what is your answer?\The answer is no.\We will not hand over the Vox to you.\What?\Are you sure?\You'll live to regret it. response:	The Flower of Lagrange
context: A lot of things happened.\So what is your answer?\The answer is no.\We will not hand over the Vox to you.\What?\Are you sure?\You'll live to regret it.\The Flower of Lagrange response:	must never be allowed to blossom again.
context: So what is your answer?\The answer is no.\We will not hand over the Vox to you.\What?\Are you sure?\You'll live to regret it.\The Flower of Lagrange\must never be allowed to blossom again. response:	I'm Michi.
context: The answer is no.\We will not hand over the Vox to you.\What?\Are you sure?\You'll live to regret it.\The Flower of Lagrange\must never be allowed to blossom again.\I'm Michi. response:	I'm Sachi.
context: We will not hand over the Vox to you.\What?\Are you sure?\You'll live to regret it.\The Flower of Lagrange\must never be allowed to blossom again.\I'm Michi.\I'm Sachi. response:	And I'm Kojiro!
context: What?\Are you sure?\You'll live to regret it.\The Flower of Lagrange\must never be allowed to blossom again.\I'm Michi.\I'm Sachi.\And I'm Kojiro! response:	Dad...
context: Are you sure?\You'll live to regret it.\The Flower of Lagrange\must never be allowed to blossom again.\I'm Michi.\I'm Sachi.\And I'm Kojiro!\Dad... response:	It's the preview,
context: You'll live to regret it.\The Flower of Lagrange\must never be allowed to blossom again.\I'm Michi.\I'm Sachi.\And I'm Kojiro!\Dad...\It's the preview, response:	so can't you sound a little more optimistic?
context: The Flower of Lagrange\must never be allowed to blossom again.\I'm Michi.\I'm Sachi.\And I'm Kojiro!\Dad...\It's the preview,\so can't you sound a little more optimistic? response:	No one's going to watch the next episode if you sound like that.
context: must never be allowed to blossom again.\I'm Michi.\I'm Sachi.\And I'm Kojiro!\Dad...\It's the preview,\so can't you sound a little more optimistic?\No one's going to watch the next episode if you sound like that. response:	I'm Kojiro!
context: I'm Michi.\I'm Sachi.\And I'm Kojiro!\Dad...\It's the preview,\so can't you sound a little more optimistic?\No one's going to watch the next episode if you sound like that.\I'm Kojiro! response:	You still sound tense.
