context: Crap, that's the second bell. response:	We're not going to make it!
context: I do. Sorry, Kuu-chan...\That's okay.\What about you, Rin?\You don't have a roommate, right?\Really?\Rin, how about it?\Sorry!\When is she going to get over her shyness? response:	She doesn't like me...
context: That's okay.\What about you, Rin?\You don't have a roommate, right?\Really?\Rin, how about it?\Sorry!\When is she going to get over her shyness?\She doesn't like me... response:	No, Kuu-chan!
context: What about you, Rin?\You don't have a roommate, right?\Really?\Rin, how about it?\Sorry!\When is she going to get over her shyness?\She doesn't like me...\No, Kuu-chan! response:	It's not you, Kud.
context: You don't have a roommate, right?\Really?\Rin, how about it?\Sorry!\When is she going to get over her shyness?\She doesn't like me...\No, Kuu-chan!\It's not you, Kud. response:	Rin's like that with everyone.
context: Really?\Rin, how about it?\Sorry!\When is she going to get over her shyness?\She doesn't like me...\No, Kuu-chan!\It's not you, Kud.\Rin's like that with everyone. response:	Oh, that's right!
context: Rin, how about it?\Sorry!\When is she going to get over her shyness?\She doesn't like me...\No, Kuu-chan!\It's not you, Kud.\Rin's like that with everyone.\Oh, that's right! response:	We have another girl without a roommate!
context: Sorry!\When is she going to get over her shyness?\She doesn't like me...\No, Kuu-chan!\It's not you, Kud.\Rin's like that with everyone.\Oh, that's right!\We have another girl without a roommate! response:	Oh, right! Kurugaya-san!
context: When is she going to get over her shyness?\She doesn't like me...\No, Kuu-chan!\It's not you, Kud.\Rin's like that with everyone.\Oh, that's right!\We have another girl without a roommate!\Oh, right! Kurugaya-san! response:	It looks like she's skipping class today too.
context: She doesn't like me...\No, Kuu-chan!\It's not you, Kud.\Rin's like that with everyone.\Oh, that's right!\We have another girl without a roommate!\Oh, right! Kurugaya-san!\It looks like she's skipping class today too. response:	Oh?
context: No, Kuu-chan!\It's not you, Kud.\Rin's like that with everyone.\Oh, that's right!\We have another girl without a roommate!\Oh, right! Kurugaya-san!\It looks like she's skipping class today too.\Oh? response:	You want to be my roommate, Kudryavka-kun?
context: It's not you, Kud.\Rin's like that with everyone.\Oh, that's right!\We have another girl without a roommate!\Oh, right! Kurugaya-san!\It looks like she's skipping class today too.\Oh?\You want to be my roommate, Kudryavka-kun? response:	We heard that there were a lot of people who wanted to be your roommate,
context: Rin's like that with everyone.\Oh, that's right!\We have another girl without a roommate!\Oh, right! Kurugaya-san!\It looks like she's skipping class today too.\Oh?\You want to be my roommate, Kudryavka-kun?\We heard that there were a lot of people who wanted to be your roommate, response:	but you turned them all down.
context: Oh, that's right!\We have another girl without a roommate!\Oh, right! Kurugaya-san!\It looks like she's skipping class today too.\Oh?\You want to be my roommate, Kudryavka-kun?\We heard that there were a lot of people who wanted to be your roommate,\but you turned them all down. response:	Being alone is easier for me.
context: We have another girl without a roommate!\Oh, right! Kurugaya-san!\It looks like she's skipping class today too.\Oh?\You want to be my roommate, Kudryavka-kun?\We heard that there were a lot of people who wanted to be your roommate,\but you turned them all down.\Being alone is easier for me. response:	But Kud shouldn't bother you.
context: Oh, right! Kurugaya-san!\It looks like she's skipping class today too.\Oh?\You want to be my roommate, Kudryavka-kun?\We heard that there were a lot of people who wanted to be your roommate,\but you turned them all down.\Being alone is easier for me.\But Kud shouldn't bother you. response:	Oh, do you feel lonely, little girl?
context: It looks like she's skipping class today too.\Oh?\You want to be my roommate, Kudryavka-kun?\We heard that there were a lot of people who wanted to be your roommate,\but you turned them all down.\Being alone is easier for me.\But Kud shouldn't bother you.\Oh, do you feel lonely, little girl? response:	Ah, so cute.
context: Oh?\You want to be my roommate, Kudryavka-kun?\We heard that there were a lot of people who wanted to be your roommate,\but you turned them all down.\Being alone is easier for me.\But Kud shouldn't bother you.\Oh, do you feel lonely, little girl?\Ah, so cute. response:	Kurugaya-san, I think Kud's suffocating.
context: You want to be my roommate, Kudryavka-kun?\We heard that there were a lot of people who wanted to be your roommate,\but you turned them all down.\Being alone is easier for me.\But Kud shouldn't bother you.\Oh, do you feel lonely, little girl?\Ah, so cute.\Kurugaya-san, I think Kud's suffocating. response:	Oh dear. It seems I've gone too far.
context: We heard that there were a lot of people who wanted to be your roommate,\but you turned them all down.\Being alone is easier for me.\But Kud shouldn't bother you.\Oh, do you feel lonely, little girl?\Ah, so cute.\Kurugaya-san, I think Kud's suffocating.\Oh dear. It seems I've gone too far. response:	Ah, hugging Kudryavka-kun at a 45-degree angle feels best.
context: but you turned them all down.\Being alone is easier for me.\But Kud shouldn't bother you.\Oh, do you feel lonely, little girl?\Ah, so cute.\Kurugaya-san, I think Kud's suffocating.\Oh dear. It seems I've gone too far.\Ah, hugging Kudryavka-kun at a 45-degree angle feels best. response:	Are you okay with that, Little Miss Noumi?
context: Being alone is easier for me.\But Kud shouldn't bother you.\Oh, do you feel lonely, little girl?\Ah, so cute.\Kurugaya-san, I think Kud's suffocating.\Oh dear. It seems I've gone too far.\Ah, hugging Kudryavka-kun at a 45-degree angle feels best.\Are you okay with that, Little Miss Noumi? response:	Wafu...
context: But Kud shouldn't bother you.\Oh, do you feel lonely, little girl?\Ah, so cute.\Kurugaya-san, I think Kud's suffocating.\Oh dear. It seems I've gone too far.\Ah, hugging Kudryavka-kun at a 45-degree angle feels best.\Are you okay with that, Little Miss Noumi?\Wafu... response:	Come with me.
context: Oh, do you feel lonely, little girl?\Ah, so cute.\Kurugaya-san, I think Kud's suffocating.\Oh dear. It seems I've gone too far.\Ah, hugging Kudryavka-kun at a 45-degree angle feels best.\Are you okay with that, Little Miss Noumi?\Wafu...\Come with me. response:	Are you trying to kill me painfully, boy?
context: Ah, so cute.\Kurugaya-san, I think Kud's suffocating.\Oh dear. It seems I've gone too far.\Ah, hugging Kudryavka-kun at a 45-degree angle feels best.\Are you okay with that, Little Miss Noumi?\Wafu...\Come with me.\Are you trying to kill me painfully, boy? response:	Being roommates means that she'd be sleeping right next to me at night.
context: Kurugaya-san, I think Kud's suffocating.\Oh dear. It seems I've gone too far.\Ah, hugging Kudryavka-kun at a 45-degree angle feels best.\Are you okay with that, Little Miss Noumi?\Wafu...\Come with me.\Are you trying to kill me painfully, boy?\Being roommates means that she'd be sleeping right next to me at night. response:	What am I supposed to do?
context: Oh dear. It seems I've gone too far.\Ah, hugging Kudryavka-kun at a 45-degree angle feels best.\Are you okay with that, Little Miss Noumi?\Wafu...\Come with me.\Are you trying to kill me painfully, boy?\Being roommates means that she'd be sleeping right next to me at night.\What am I supposed to do? response:	Wh-What do you mean
context: Ah, hugging Kudryavka-kun at a 45-degree angle feels best.\Are you okay with that, Little Miss Noumi?\Wafu...\Come with me.\Are you trying to kill me painfully, boy?\Being roommates means that she'd be sleeping right next to me at night.\What am I supposed to do?\Wh-What do you mean response:	Just imagine her sitting on her bed in her pajamas after a shower.
context: Are you okay with that, Little Miss Noumi?\Wafu...\Come with me.\Are you trying to kill me painfully, boy?\Being roommates means that she'd be sleeping right next to me at night.\What am I supposed to do?\Wh-What do you mean\Just imagine her sitting on her bed in her pajamas after a shower. response:	I'd get on top of her without a second thought.
context: Wafu...\Come with me.\Are you trying to kill me painfully, boy?\Being roommates means that she'd be sleeping right next to me at night.\What am I supposed to do?\Wh-What do you mean\Just imagine her sitting on her bed in her pajamas after a shower.\I'd get on top of her without a second thought. response:	You can't do that!
context: Come with me.\Are you trying to kill me painfully, boy?\Being roommates means that she'd be sleeping right next to me at night.\What am I supposed to do?\Wh-What do you mean\Just imagine her sitting on her bed in her pajamas after a shower.\I'd get on top of her without a second thought.\You can't do that! response:	It's too dangerous.
context: Are you trying to kill me painfully, boy?\Being roommates means that she'd be sleeping right next to me at night.\What am I supposed to do?\Wh-What do you mean\Just imagine her sitting on her bed in her pajamas after a shower.\I'd get on top of her without a second thought.\You can't do that!\It's too dangerous. response:	She's too dangerous to be Kud's roommate!
context: Being roommates means that she'd be sleeping right next to me at night.\What am I supposed to do?\Wh-What do you mean\Just imagine her sitting on her bed in her pajamas after a shower.\I'd get on top of her without a second thought.\You can't do that!\It's too dangerous.\She's too dangerous to be Kud's roommate! response:	Sorry, let's ask someone else.
context: What am I supposed to do?\Wh-What do you mean\Just imagine her sitting on her bed in her pajamas after a shower.\I'd get on top of her without a second thought.\You can't do that!\It's too dangerous.\She's too dangerous to be Kud's roommate!\Sorry, let's ask someone else. response:	Yes. Please do so.
context: Wh-What do you mean\Just imagine her sitting on her bed in her pajamas after a shower.\I'd get on top of her without a second thought.\You can't do that!\It's too dangerous.\She's too dangerous to be Kud's roommate!\Sorry, let's ask someone else.\Yes. Please do so. response:	Um...
context: Just imagine her sitting on her bed in her pajamas after a shower.\I'd get on top of her without a second thought.\You can't do that!\It's too dangerous.\She's too dangerous to be Kud's roommate!\Sorry, let's ask someone else.\Yes. Please do so.\Um... response:	Why?
context: I'd get on top of her without a second thought.\You can't do that!\It's too dangerous.\She's too dangerous to be Kud's roommate!\Sorry, let's ask someone else.\Yes. Please do so.\Um...\Why? response:	I guess I'd just bother Kurugaya-san if we were roommates.
context: You can't do that!\It's too dangerous.\She's too dangerous to be Kud's roommate!\Sorry, let's ask someone else.\Yes. Please do so.\Um...\Why?\I guess I'd just bother Kurugaya-san if we were roommates. response:	No, that's not it...
context: It's too dangerous.\She's too dangerous to be Kud's roommate!\Sorry, let's ask someone else.\Yes. Please do so.\Um...\Why?\I guess I'd just bother Kurugaya-san if we were roommates.\No, that's not it... response:	Kurugaya-san is so well-proportioned, tall, smart, good at English,
context: She's too dangerous to be Kud's roommate!\Sorry, let's ask someone else.\Yes. Please do so.\Um...\Why?\I guess I'd just bother Kurugaya-san if we were roommates.\No, that's not it...\Kurugaya-san is so well-proportioned, tall, smart, good at English, response:	has such big breasts, and acts so grown-up.
context: Sorry, let's ask someone else.\Yes. Please do so.\Um...\Why?\I guess I'd just bother Kurugaya-san if we were roommates.\No, that's not it...\Kurugaya-san is so well-proportioned, tall, smart, good at English,\has such big breasts, and acts so grown-up. response:	Meanwhile, I'm poorly proportioned, short, stupid, bad at English,
context: Yes. Please do so.\Um...\Why?\I guess I'd just bother Kurugaya-san if we were roommates.\No, that's not it...\Kurugaya-san is so well-proportioned, tall, smart, good at English,\has such big breasts, and acts so grown-up.\Meanwhile, I'm poorly proportioned, short, stupid, bad at English, response:	don't have any breasts, and act like such a kid.
context: Um...\Why?\I guess I'd just bother Kurugaya-san if we were roommates.\No, that's not it...\Kurugaya-san is so well-proportioned, tall, smart, good at English,\has such big breasts, and acts so grown-up.\Meanwhile, I'm poorly proportioned, short, stupid, bad at English,\don't have any breasts, and act like such a kid. response:	We're just too different.
context: Why?\I guess I'd just bother Kurugaya-san if we were roommates.\No, that's not it...\Kurugaya-san is so well-proportioned, tall, smart, good at English,\has such big breasts, and acts so grown-up.\Meanwhile, I'm poorly proportioned, short, stupid, bad at English,\don't have any breasts, and act like such a kid.\We're just too different. response:	Now I feel really sad after saying that.
context: I guess I'd just bother Kurugaya-san if we were roommates.\No, that's not it...\Kurugaya-san is so well-proportioned, tall, smart, good at English,\has such big breasts, and acts so grown-up.\Meanwhile, I'm poorly proportioned, short, stupid, bad at English,\don't have any breasts, and act like such a kid.\We're just too different.\Now I feel really sad after saying that. response:	Th-That's not true, Kud!
context: No, that's not it...\Kurugaya-san is so well-proportioned, tall, smart, good at English,\has such big breasts, and acts so grown-up.\Meanwhile, I'm poorly proportioned, short, stupid, bad at English,\don't have any breasts, and act like such a kid.\We're just too different.\Now I feel really sad after saying that.\Th-That's not true, Kud! response:	Um, er... Well...
context: Kurugaya-san is so well-proportioned, tall, smart, good at English,\has such big breasts, and acts so grown-up.\Meanwhile, I'm poorly proportioned, short, stupid, bad at English,\don't have any breasts, and act like such a kid.\We're just too different.\Now I feel really sad after saying that.\Th-That's not true, Kud!\Um, er... Well... response:	Oh, it's Nishizono-san.
context: has such big breasts, and acts so grown-up.\Meanwhile, I'm poorly proportioned, short, stupid, bad at English,\don't have any breasts, and act like such a kid.\We're just too different.\Now I feel really sad after saying that.\Th-That's not true, Kud!\Um, er... Well...\Oh, it's Nishizono-san. response:	Nishizono-san?
context: Meanwhile, I'm poorly proportioned, short, stupid, bad at English,\don't have any breasts, and act like such a kid.\We're just too different.\Now I feel really sad after saying that.\Th-That's not true, Kud!\Um, er... Well...\Oh, it's Nishizono-san.\Nishizono-san? response:	She's in our class.
context: don't have any breasts, and act like such a kid.\We're just too different.\Now I feel really sad after saying that.\Th-That's not true, Kud!\Um, er... Well...\Oh, it's Nishizono-san.\Nishizono-san?\She's in our class. response:	You don't know her yet?
context: We're just too different.\Now I feel really sad after saying that.\Th-That's not true, Kud!\Um, er... Well...\Oh, it's Nishizono-san.\Nishizono-san?\She's in our class.\You don't know her yet? response:	Um...
context: Now I feel really sad after saying that.\Th-That's not true, Kud!\Um, er... Well...\Oh, it's Nishizono-san.\Nishizono-san?\She's in our class.\You don't know her yet?\Um... response:	Well, I guess she doesn't have much of a presence.
context: Th-That's not true, Kud!\Um, er... Well...\Oh, it's Nishizono-san.\Nishizono-san?\She's in our class.\You don't know her yet?\Um...\Well, I guess she doesn't have much of a presence. response:	I've never seen her talk with anyone.
context: Um, er... Well...\Oh, it's Nishizono-san.\Nishizono-san?\She's in our class.\You don't know her yet?\Um...\Well, I guess she doesn't have much of a presence.\I've never seen her talk with anyone. response:	She might not have a roommate either.
context: Oh, it's Nishizono-san.\Nishizono-san?\She's in our class.\You don't know her yet?\Um...\Well, I guess she doesn't have much of a presence.\I've never seen her talk with anyone.\She might not have a roommate either. response:	Why don't you try asking her? Just take a chance.
context: Nishizono-san?\She's in our class.\You don't know her yet?\Um...\Well, I guess she doesn't have much of a presence.\I've never seen her talk with anyone.\She might not have a roommate either.\Why don't you try asking her? Just take a chance. response:	But...
context: She's in our class.\You don't know her yet?\Um...\Well, I guess she doesn't have much of a presence.\I've never seen her talk with anyone.\She might not have a roommate either.\Why don't you try asking her? Just take a chance.\But... response:	It's kind of hard to approach her.
context: You don't know her yet?\Um...\Well, I guess she doesn't have much of a presence.\I've never seen her talk with anyone.\She might not have a roommate either.\Why don't you try asking her? Just take a chance.\But...\It's kind of hard to approach her. response:	Did you need something?
context: Um...\Well, I guess she doesn't have much of a presence.\I've never seen her talk with anyone.\She might not have a roommate either.\Why don't you try asking her? Just take a chance.\But...\It's kind of hard to approach her.\Did you need something? response:	Um...
context: Well, I guess she doesn't have much of a presence.\I've never seen her talk with anyone.\She might not have a roommate either.\Why don't you try asking her? Just take a chance.\But...\It's kind of hard to approach her.\Did you need something?\Um... response:	If you don't mind us asking, do you have a roommate?
context: I've never seen her talk with anyone.\She might not have a roommate either.\Why don't you try asking her? Just take a chance.\But...\It's kind of hard to approach her.\Did you need something?\Um...\If you don't mind us asking, do you have a roommate? response:	No, I don't.
context: She might not have a roommate either.\Why don't you try asking her? Just take a chance.\But...\It's kind of hard to approach her.\Did you need something?\Um...\If you don't mind us asking, do you have a roommate?\No, I don't. response:	I'm looking for a roommate.
context: Why don't you try asking her? Just take a chance.\But...\It's kind of hard to approach her.\Did you need something?\Um...\If you don't mind us asking, do you have a roommate?\No, I don't.\I'm looking for a roommate. response:	If you wouldn't mind...
context: But...\It's kind of hard to approach her.\Did you need something?\Um...\If you don't mind us asking, do you have a roommate?\No, I don't.\I'm looking for a roommate.\If you wouldn't mind... response:	I have a lot of things.
context: It's kind of hard to approach her.\Did you need something?\Um...\If you don't mind us asking, do you have a roommate?\No, I don't.\I'm looking for a roommate.\If you wouldn't mind...\I have a lot of things. response:	Mostly books.
context: Did you need something?\Um...\If you don't mind us asking, do you have a roommate?\No, I don't.\I'm looking for a roommate.\If you wouldn't mind...\I have a lot of things.\Mostly books. response:	What kind of books?
context: Um...\If you don't mind us asking, do you have a roommate?\No, I don't.\I'm looking for a roommate.\If you wouldn't mind...\I have a lot of things.\Mostly books.\What kind of books? response:	I read anything, so it's a chaotic mix,
context: If you don't mind us asking, do you have a roommate?\No, I don't.\I'm looking for a roommate.\If you wouldn't mind...\I have a lot of things.\Mostly books.\What kind of books?\I read anything, so it's a chaotic mix, response:	but I recently finished a book on Fermat's Last Theorem.
context: No, I don't.\I'm looking for a roommate.\If you wouldn't mind...\I have a lot of things.\Mostly books.\What kind of books?\I read anything, so it's a chaotic mix,\but I recently finished a book on Fermat's Last Theorem. response:	It was very interesting.
context: I'm looking for a roommate.\If you wouldn't mind...\I have a lot of things.\Mostly books.\What kind of books?\I read anything, so it's a chaotic mix,\but I recently finished a book on Fermat's Last Theorem.\It was very interesting. response:	But maybe it wasn't interesting.
context: If you wouldn't mind...\I have a lot of things.\Mostly books.\What kind of books?\I read anything, so it's a chaotic mix,\but I recently finished a book on Fermat's Last Theorem.\It was very interesting.\But maybe it wasn't interesting. response:	Which direction does your room face?
context: I have a lot of things.\Mostly books.\What kind of books?\I read anything, so it's a chaotic mix,\but I recently finished a book on Fermat's Last Theorem.\It was very interesting.\But maybe it wasn't interesting.\Which direction does your room face? response:	Um...
context: Mostly books.\What kind of books?\I read anything, so it's a chaotic mix,\but I recently finished a book on Fermat's Last Theorem.\It was very interesting.\But maybe it wasn't interesting.\Which direction does your room face?\Um... response:	It faces south.
context: What kind of books?\I read anything, so it's a chaotic mix,\but I recently finished a book on Fermat's Last Theorem.\It was very interesting.\But maybe it wasn't interesting.\Which direction does your room face?\Um...\It faces south. response:	I had an avalanche recently.
context: I read anything, so it's a chaotic mix,\but I recently finished a book on Fermat's Last Theorem.\It was very interesting.\But maybe it wasn't interesting.\Which direction does your room face?\Um...\It faces south.\I had an avalanche recently. response:	An avalanche?
context: but I recently finished a book on Fermat's Last Theorem.\It was very interesting.\But maybe it wasn't interesting.\Which direction does your room face?\Um...\It faces south.\I had an avalanche recently.\An avalanche? response:	My books fell, all at once.
context: It was very interesting.\But maybe it wasn't interesting.\Which direction does your room face?\Um...\It faces south.\I had an avalanche recently.\An avalanche?\My books fell, all at once. response:	You wouldn't have been able to escape.
context: But maybe it wasn't interesting.\Which direction does your room face?\Um...\It faces south.\I had an avalanche recently.\An avalanche?\My books fell, all at once.\You wouldn't have been able to escape. response:	You would have been stranded in the dorm.
context: Which direction does your room face?\Um...\It faces south.\I had an avalanche recently.\An avalanche?\My books fell, all at once.\You wouldn't have been able to escape.\You would have been stranded in the dorm. response:	W-Wafu...
context: Um...\It faces south.\I had an avalanche recently.\An avalanche?\My books fell, all at once.\You wouldn't have been able to escape.\You would have been stranded in the dorm.\W-Wafu... response:	That's a lot of books...
context: It faces south.\I had an avalanche recently.\An avalanche?\My books fell, all at once.\You wouldn't have been able to escape.\You would have been stranded in the dorm.\W-Wafu...\That's a lot of books... response:	I think I would just be a bother after all.
context: I had an avalanche recently.\An avalanche?\My books fell, all at once.\You wouldn't have been able to escape.\You would have been stranded in the dorm.\W-Wafu...\That's a lot of books...\I think I would just be a bother after all. response:	I'm sorry, but I must respectfully decline.
context: An avalanche?\My books fell, all at once.\You wouldn't have been able to escape.\You would have been stranded in the dorm.\W-Wafu...\That's a lot of books...\I think I would just be a bother after all.\I'm sorry, but I must respectfully decline. response:	I thought so...
context: My books fell, all at once.\You wouldn't have been able to escape.\You would have been stranded in the dorm.\W-Wafu...\That's a lot of books...\I think I would just be a bother after all.\I'm sorry, but I must respectfully decline.\I thought so... response:	I see.
context: You wouldn't have been able to escape.\You would have been stranded in the dorm.\W-Wafu...\That's a lot of books...\I think I would just be a bother after all.\I'm sorry, but I must respectfully decline.\I thought so...\I see. response:	So you couldn't find a roommate for Noumi.
context: You would have been stranded in the dorm.\W-Wafu...\That's a lot of books...\I think I would just be a bother after all.\I'm sorry, but I must respectfully decline.\I thought so...\I see.\So you couldn't find a roommate for Noumi. response:	Today's the deadline for it too...
context: W-Wafu...\That's a lot of books...\I think I would just be a bother after all.\I'm sorry, but I must respectfully decline.\I thought so...\I see.\So you couldn't find a roommate for Noumi.\Today's the deadline for it too... response:	The RA came by to tell me a minute ago.
context: That's a lot of books...\I think I would just be a bother after all.\I'm sorry, but I must respectfully decline.\I thought so...\I see.\So you couldn't find a roommate for Noumi.\Today's the deadline for it too...\The RA came by to tell me a minute ago. response:	Apparently, no one asked about being my roommate.
context: I think I would just be a bother after all.\I'm sorry, but I must respectfully decline.\I thought so...\I see.\So you couldn't find a roommate for Noumi.\Today's the deadline for it too...\The RA came by to tell me a minute ago.\Apparently, no one asked about being my roommate. response:	Cheer up, Kud.
context: I'm sorry, but I must respectfully decline.\I thought so...\I see.\So you couldn't find a roommate for Noumi.\Today's the deadline for it too...\The RA came by to tell me a minute ago.\Apparently, no one asked about being my roommate.\Cheer up, Kud. response:	Yeah! It might be nice being alone!
context: I thought so...\I see.\So you couldn't find a roommate for Noumi.\Today's the deadline for it too...\The RA came by to tell me a minute ago.\Apparently, no one asked about being my roommate.\Cheer up, Kud.\Yeah! It might be nice being alone! response:	Yes...
context: I see.\So you couldn't find a roommate for Noumi.\Today's the deadline for it too...\The RA came by to tell me a minute ago.\Apparently, no one asked about being my roommate.\Cheer up, Kud.\Yeah! It might be nice being alone!\Yes... response:	I'm already unbelievably happy to be part of the Little Busters.
context: So you couldn't find a roommate for Noumi.\Today's the deadline for it too...\The RA came by to tell me a minute ago.\Apparently, no one asked about being my roommate.\Cheer up, Kud.\Yeah! It might be nice being alone!\Yes...\I'm already unbelievably happy to be part of the Little Busters. response:	A roommate would be asking for too much.
context: Today's the deadline for it too...\The RA came by to tell me a minute ago.\Apparently, no one asked about being my roommate.\Cheer up, Kud.\Yeah! It might be nice being alone!\Yes...\I'm already unbelievably happy to be part of the Little Busters.\A roommate would be asking for too much. response:	It might be better this way.
context: The RA came by to tell me a minute ago.\Apparently, no one asked about being my roommate.\Cheer up, Kud.\Yeah! It might be nice being alone!\Yes...\I'm already unbelievably happy to be part of the Little Busters.\A roommate would be asking for too much.\It might be better this way. response:	So no one volunteered to be Kud's roommate?
context: Apparently, no one asked about being my roommate.\Cheer up, Kud.\Yeah! It might be nice being alone!\Yes...\I'm already unbelievably happy to be part of the Little Busters.\A roommate would be asking for too much.\It might be better this way.\So no one volunteered to be Kud's roommate? response:	No surprise there. Her room's all weird.
context: Cheer up, Kud.\Yeah! It might be nice being alone!\Yes...\I'm already unbelievably happy to be part of the Little Busters.\A roommate would be asking for too much.\It might be better this way.\So no one volunteered to be Kud's roommate?\No surprise there. Her room's all weird. response:	She's a funny little foreigner, after all.
context: Yeah! It might be nice being alone!\Yes...\I'm already unbelievably happy to be part of the Little Busters.\A roommate would be asking for too much.\It might be better this way.\So no one volunteered to be Kud's roommate?\No surprise there. Her room's all weird.\She's a funny little foreigner, after all. response:	Just gotta laugh.
context: Yes...\I'm already unbelievably happy to be part of the Little Busters.\A roommate would be asking for too much.\It might be better this way.\So no one volunteered to be Kud's roommate?\No surprise there. Her room's all weird.\She's a funny little foreigner, after all.\Just gotta laugh. response:	Why I oughta...
context: I'm already unbelievably happy to be part of the Little Busters.\A roommate would be asking for too much.\It might be better this way.\So no one volunteered to be Kud's roommate?\No surprise there. Her room's all weird.\She's a funny little foreigner, after all.\Just gotta laugh.\Why I oughta... response:	You there.
context: A roommate would be asking for too much.\It might be better this way.\So no one volunteered to be Kud's roommate?\No surprise there. Her room's all weird.\She's a funny little foreigner, after all.\Just gotta laugh.\Why I oughta...\You there. response:	You're not allowed to take that magazine from the library.
context: It might be better this way.\So no one volunteered to be Kud's roommate?\No surprise there. Her room's all weird.\She's a funny little foreigner, after all.\Just gotta laugh.\Why I oughta...\You there.\You're not allowed to take that magazine from the library. response:	Go return it immediately.
context: So no one volunteered to be Kud's roommate?\No surprise there. Her room's all weird.\She's a funny little foreigner, after all.\Just gotta laugh.\Why I oughta...\You there.\You're not allowed to take that magazine from the library.\Go return it immediately. response:	Yes, ma'am! We're sorry!
context: No surprise there. Her room's all weird.\She's a funny little foreigner, after all.\Just gotta laugh.\Why I oughta...\You there.\You're not allowed to take that magazine from the library.\Go return it immediately.\Yes, ma'am! We're sorry! response:	And you, Noumi-san.
context: She's a funny little foreigner, after all.\Just gotta laugh.\Why I oughta...\You there.\You're not allowed to take that magazine from the library.\Go return it immediately.\Yes, ma'am! We're sorry!\And you, Noumi-san. response:	Y-Yes?
context: Just gotta laugh.\Why I oughta...\You there.\You're not allowed to take that magazine from the library.\Go return it immediately.\Yes, ma'am! We're sorry!\And you, Noumi-san.\Y-Yes? response:	It seems you haven't found a roommate yet.
context: Why I oughta...\You there.\You're not allowed to take that magazine from the library.\Go return it immediately.\Yes, ma'am! We're sorry!\And you, Noumi-san.\Y-Yes?\It seems you haven't found a roommate yet. response:	Y-Yes...
context: You there.\You're not allowed to take that magazine from the library.\Go return it immediately.\Yes, ma'am! We're sorry!\And you, Noumi-san.\Y-Yes?\It seems you haven't found a roommate yet.\Y-Yes... response:	I'll put a request in to the RA later today.
context: You're not allowed to take that magazine from the library.\Go return it immediately.\Yes, ma'am! We're sorry!\And you, Noumi-san.\Y-Yes?\It seems you haven't found a roommate yet.\Y-Yes...\I'll put a request in to the RA later today. response:	I don't have a roommate either.
context: Go return it immediately.\Yes, ma'am! We're sorry!\And you, Noumi-san.\Y-Yes?\It seems you haven't found a roommate yet.\Y-Yes...\I'll put a request in to the RA later today.\I don't have a roommate either. response:	My room is too big, so there's some space.
context: Yes, ma'am! We're sorry!\And you, Noumi-san.\Y-Yes?\It seems you haven't found a roommate yet.\Y-Yes...\I'll put a request in to the RA later today.\I don't have a roommate either.\My room is too big, so there's some space. response:	You can move into my room.
context: And you, Noumi-san.\Y-Yes?\It seems you haven't found a roommate yet.\Y-Yes...\I'll put a request in to the RA later today.\I don't have a roommate either.\My room is too big, so there's some space.\You can move into my room. response:	You'll...
context: Y-Yes?\It seems you haven't found a roommate yet.\Y-Yes...\I'll put a request in to the RA later today.\I don't have a roommate either.\My room is too big, so there's some space.\You can move into my room.\You'll... response:	be my roommate?
context: It seems you haven't found a roommate yet.\Y-Yes...\I'll put a request in to the RA later today.\I don't have a roommate either.\My room is too big, so there's some space.\You can move into my room.\You'll...\be my roommate? response:	It's not like you have anyone else.
context: Y-Yes...\I'll put a request in to the RA later today.\I don't have a roommate either.\My room is too big, so there's some space.\You can move into my room.\You'll...\be my roommate?\It's not like you have anyone else. response:	You move tomorrow. Be quick about it.
context: I'll put a request in to the RA later today.\I don't have a roommate either.\My room is too big, so there's some space.\You can move into my room.\You'll...\be my roommate?\It's not like you have anyone else.\You move tomorrow. Be quick about it. response:	Okay?
context: I don't have a roommate either.\My room is too big, so there's some space.\You can move into my room.\You'll...\be my roommate?\It's not like you have anyone else.\You move tomorrow. Be quick about it.\Okay? response:	Now then.
context: My room is too big, so there's some space.\You can move into my room.\You'll...\be my roommate?\It's not like you have anyone else.\You move tomorrow. Be quick about it.\Okay?\Now then. response:	Strelka, Belka, we're going on our evening patrol.
context: You can move into my room.\You'll...\be my roommate?\It's not like you have anyone else.\You move tomorrow. Be quick about it.\Okay?\Now then.\Strelka, Belka, we're going on our evening patrol. response:	Go on, go on.
context: You'll...\be my roommate?\It's not like you have anyone else.\You move tomorrow. Be quick about it.\Okay?\Now then.\Strelka, Belka, we're going on our evening patrol.\Go on, go on. response:	Hey, what's this?
context: be my roommate?\It's not like you have anyone else.\You move tomorrow. Be quick about it.\Okay?\Now then.\Strelka, Belka, we're going on our evening patrol.\Go on, go on.\Hey, what's this? response:	Why the head of the Disciplinary Committee of all people?
context: It's not like you have anyone else.\You move tomorrow. Be quick about it.\Okay?\Now then.\Strelka, Belka, we're going on our evening patrol.\Go on, go on.\Hey, what's this?\Why the head of the Disciplinary Committee of all people? response:	Kud, if you don't want her, you can turn her down.
context: You move tomorrow. Be quick about it.\Okay?\Now then.\Strelka, Belka, we're going on our evening patrol.\Go on, go on.\Hey, what's this?\Why the head of the Disciplinary Committee of all people?\Kud, if you don't want her, you can turn her down. response:	No...
