context: Inari... response:	You shut Uka up in the Ama-no-Iwato?
context: Inari!\There's no use broodin' about it.\Maru doesn't deserve to be caught up in this with me.\Kangetsu!\Why are you ignorin' us? Why be so mean?\If it's my fault, I apologize, but leave my friends\Who's the mean one here, huh?\Minami trusted you with that letter, response:	but instead of giving it to Tanbabashi, you threw it away!
context: There's no use broodin' about it.\Maru doesn't deserve to be caught up in this with me.\Kangetsu!\Why are you ignorin' us? Why be so mean?\If it's my fault, I apologize, but leave my friends\Who's the mean one here, huh?\Minami trusted you with that letter,\but instead of giving it to Tanbabashi, you threw it away! response:	That letter...
context: Maru doesn't deserve to be caught up in this with me.\Kangetsu!\Why are you ignorin' us? Why be so mean?\If it's my fault, I apologize, but leave my friends\Who's the mean one here, huh?\Minami trusted you with that letter,\but instead of giving it to Tanbabashi, you threw it away!\That letter... response:	To Tanbabashi
context: Kangetsu!\Why are you ignorin' us? Why be so mean?\If it's my fault, I apologize, but leave my friends\Who's the mean one here, huh?\Minami trusted you with that letter,\but instead of giving it to Tanbabashi, you threw it away!\That letter...\To Tanbabashi response:	To Tanbabashi
context: Why are you ignorin' us? Why be so mean?\If it's my fault, I apologize, but leave my friends\Who's the mean one here, huh?\Minami trusted you with that letter,\but instead of giving it to Tanbabashi, you threw it away!\That letter...\To Tanbabashi\To Tanbabashi response:	Could you... give it to Tanbabashi for me?
context: If it's my fault, I apologize, but leave my friends\Who's the mean one here, huh?\Minami trusted you with that letter,\but instead of giving it to Tanbabashi, you threw it away!\That letter...\To Tanbabashi\To Tanbabashi\Could you... give it to Tanbabashi for me? response:	C'mon, help a girl out! For love!
context: Who's the mean one here, huh?\Minami trusted you with that letter,\but instead of giving it to Tanbabashi, you threw it away!\That letter...\To Tanbabashi\To Tanbabashi\Could you... give it to Tanbabashi for me?\C'mon, help a girl out! For love! response:	You pretended to be on her side,
context: Minami trusted you with that letter,\but instead of giving it to Tanbabashi, you threw it away!\That letter...\To Tanbabashi\To Tanbabashi\Could you... give it to Tanbabashi for me?\C'mon, help a girl out! For love!\You pretended to be on her side, response:	then you tossed the letter and cozied up to Tanbabashi yourself!
context: but instead of giving it to Tanbabashi, you threw it away!\That letter...\To Tanbabashi\To Tanbabashi\Could you... give it to Tanbabashi for me?\C'mon, help a girl out! For love!\You pretended to be on her side,\then you tossed the letter and cozied up to Tanbabashi yourself! response:	How could you?
context: That letter...\To Tanbabashi\To Tanbabashi\Could you... give it to Tanbabashi for me?\C'mon, help a girl out! For love!\You pretended to be on her side,\then you tossed the letter and cozied up to Tanbabashi yourself!\How could you? response:	You're despicable!
context: To Tanbabashi\To Tanbabashi\Could you... give it to Tanbabashi for me?\C'mon, help a girl out! For love!\You pretended to be on her side,\then you tossed the letter and cozied up to Tanbabashi yourself!\How could you?\You're despicable! response:	The letter... got caught up in a gust of wind...
context: To Tanbabashi\Could you... give it to Tanbabashi for me?\C'mon, help a girl out! For love!\You pretended to be on her side,\then you tossed the letter and cozied up to Tanbabashi yourself!\How could you?\You're despicable!\The letter... got caught up in a gust of wind... response:	Don't even!
context: Could you... give it to Tanbabashi for me?\C'mon, help a girl out! For love!\You pretended to be on her side,\then you tossed the letter and cozied up to Tanbabashi yourself!\How could you?\You're despicable!\The letter... got caught up in a gust of wind...\Don't even! response:	Same difference.
context: C'mon, help a girl out! For love!\You pretended to be on her side,\then you tossed the letter and cozied up to Tanbabashi yourself!\How could you?\You're despicable!\The letter... got caught up in a gust of wind...\Don't even!\Same difference. response:	I didn't give it to him, so I might as well have thrown it away.
context: You pretended to be on her side,\then you tossed the letter and cozied up to Tanbabashi yourself!\How could you?\You're despicable!\The letter... got caught up in a gust of wind...\Don't even!\Same difference.\I didn't give it to him, so I might as well have thrown it away. response:	I've always liked you.
context: then you tossed the letter and cozied up to Tanbabashi yourself!\How could you?\You're despicable!\The letter... got caught up in a gust of wind...\Don't even!\Same difference.\I didn't give it to him, so I might as well have thrown it away.\I've always liked you. response:	I changed into Momoyama and told him in person instead of by letter.
context: How could you?\You're despicable!\The letter... got caught up in a gust of wind...\Don't even!\Same difference.\I didn't give it to him, so I might as well have thrown it away.\I've always liked you.\I changed into Momoyama and told him in person instead of by letter. response:	I thought it was taken care of,
context: You're despicable!\The letter... got caught up in a gust of wind...\Don't even!\Same difference.\I didn't give it to him, so I might as well have thrown it away.\I've always liked you.\I changed into Momoyama and told him in person instead of by letter.\I thought it was taken care of, response:	but I left her hanging.
context: The letter... got caught up in a gust of wind...\Don't even!\Same difference.\I didn't give it to him, so I might as well have thrown it away.\I've always liked you.\I changed into Momoyama and told him in person instead of by letter.\I thought it was taken care of,\but I left her hanging. response:	See? You hurt my friend first!
context: Don't even!\Same difference.\I didn't give it to him, so I might as well have thrown it away.\I've always liked you.\I changed into Momoyama and told him in person instead of by letter.\I thought it was taken care of,\but I left her hanging.\See? You hurt my friend first! response:	But I didn't mean to...
context: Same difference.\I didn't give it to him, so I might as well have thrown it away.\I've always liked you.\I changed into Momoyama and told him in person instead of by letter.\I thought it was taken care of,\but I left her hanging.\See? You hurt my friend first!\But I didn't mean to... response:	I didn't... but now the people who care about Momoyama are angry.
context: I didn't give it to him, so I might as well have thrown it away.\I've always liked you.\I changed into Momoyama and told him in person instead of by letter.\I thought it was taken care of,\but I left her hanging.\See? You hurt my friend first!\But I didn't mean to...\I didn't... but now the people who care about Momoyama are angry. response:	All because I used my divine power without thinkin'.
context: I've always liked you.\I changed into Momoyama and told him in person instead of by letter.\I thought it was taken care of,\but I left her hanging.\See? You hurt my friend first!\But I didn't mean to...\I didn't... but now the people who care about Momoyama are angry.\All because I used my divine power without thinkin'. response:	Inari?
context: I changed into Momoyama and told him in person instead of by letter.\I thought it was taken care of,\but I left her hanging.\See? You hurt my friend first!\But I didn't mean to...\I didn't... but now the people who care about Momoyama are angry.\All because I used my divine power without thinkin'.\Inari? response:	She probably only became friends with Sumizome to get closer to Tanbabashi.
context: I thought it was taken care of,\but I left her hanging.\See? You hurt my friend first!\But I didn't mean to...\I didn't... but now the people who care about Momoyama are angry.\All because I used my divine power without thinkin'.\Inari?\She probably only became friends with Sumizome to get closer to Tanbabashi. response:	Wow, sucking up to popular girls just to use them? How low can you get?
context: but I left her hanging.\See? You hurt my friend first!\But I didn't mean to...\I didn't... but now the people who care about Momoyama are angry.\All because I used my divine power without thinkin'.\Inari?\She probably only became friends with Sumizome to get closer to Tanbabashi.\Wow, sucking up to popular girls just to use them? How low can you get? response:	But Sumizome's been pretending to hang with the basketball team, hasn't she?
context: See? You hurt my friend first!\But I didn't mean to...\I didn't... but now the people who care about Momoyama are angry.\All because I used my divine power without thinkin'.\Inari?\She probably only became friends with Sumizome to get closer to Tanbabashi.\Wow, sucking up to popular girls just to use them? How low can you get?\But Sumizome's been pretending to hang with the basketball team, hasn't she? response:	Yeah! They're birds of a feather, all right!
context: But I didn't mean to...\I didn't... but now the people who care about Momoyama are angry.\All because I used my divine power without thinkin'.\Inari?\She probably only became friends with Sumizome to get closer to Tanbabashi.\Wow, sucking up to popular girls just to use them? How low can you get?\But Sumizome's been pretending to hang with the basketball team, hasn't she?\Yeah! They're birds of a feather, all right! response:	But
context: I didn't... but now the people who care about Momoyama are angry.\All because I used my divine power without thinkin'.\Inari?\She probably only became friends with Sumizome to get closer to Tanbabashi.\Wow, sucking up to popular girls just to use them? How low can you get?\But Sumizome's been pretending to hang with the basketball team, hasn't she?\Yeah! They're birds of a feather, all right!\But response:	You are way wrong!
context: All because I used my divine power without thinkin'.\Inari?\She probably only became friends with Sumizome to get closer to Tanbabashi.\Wow, sucking up to popular girls just to use them? How low can you get?\But Sumizome's been pretending to hang with the basketball team, hasn't she?\Yeah! They're birds of a feather, all right!\But\You are way wrong! response:	You don't know the first thing about Inari or Sumizome!
context: Inari?\She probably only became friends with Sumizome to get closer to Tanbabashi.\Wow, sucking up to popular girls just to use them? How low can you get?\But Sumizome's been pretending to hang with the basketball team, hasn't she?\Yeah! They're birds of a feather, all right!\But\You are way wrong!\You don't know the first thing about Inari or Sumizome! response:	You watch your mouth!
context: She probably only became friends with Sumizome to get closer to Tanbabashi.\Wow, sucking up to popular girls just to use them? How low can you get?\But Sumizome's been pretending to hang with the basketball team, hasn't she?\Yeah! They're birds of a feather, all right!\But\You are way wrong!\You don't know the first thing about Inari or Sumizome!\You watch your mouth! response:	Get your hands off me!
context: Wow, sucking up to popular girls just to use them? How low can you get?\But Sumizome's been pretending to hang with the basketball team, hasn't she?\Yeah! They're birds of a feather, all right!\But\You are way wrong!\You don't know the first thing about Inari or Sumizome!\You watch your mouth!\Get your hands off me! response:	I don't wanna catch your nerd germs!
context: But Sumizome's been pretending to hang with the basketball team, hasn't she?\Yeah! They're birds of a feather, all right!\But\You are way wrong!\You don't know the first thing about Inari or Sumizome!\You watch your mouth!\Get your hands off me!\I don't wanna catch your nerd germs! response:	Maru!
context: Yeah! They're birds of a feather, all right!\But\You are way wrong!\You don't know the first thing about Inari or Sumizome!\You watch your mouth!\Get your hands off me!\I don't wanna catch your nerd germs!\Maru! response:	What...
context: But\You are way wrong!\You don't know the first thing about Inari or Sumizome!\You watch your mouth!\Get your hands off me!\I don't wanna catch your nerd germs!\Maru!\What... response:	Miss Inari!
context: You are way wrong!\You don't know the first thing about Inari or Sumizome!\You watch your mouth!\Get your hands off me!\I don't wanna catch your nerd germs!\Maru!\What...\Miss Inari! response:	Inari!
context: You don't know the first thing about Inari or Sumizome!\You watch your mouth!\Get your hands off me!\I don't wanna catch your nerd germs!\Maru!\What...\Miss Inari!\Inari! response:	Inari, Konkon, Koi Iroha
context: You watch your mouth!\Get your hands off me!\I don't wanna catch your nerd germs!\Maru!\What...\Miss Inari!\Inari!\Inari, Konkon, Koi Iroha response:	Inari, Konkon, Koi Iroha
context: Get your hands off me!\I don't wanna catch your nerd germs!\Maru!\What...\Miss Inari!\Inari!\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha response:	Inari, Konkon, Koi Iroha
context: I don't wanna catch your nerd germs!\Maru!\What...\Miss Inari!\Inari!\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha response:	Inari, Konkon, Koi Iroha
context: Maru!\What...\Miss Inari!\Inari!\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha response:	Inari, Konkon, Koi Iroha
context: What...\Miss Inari!\Inari!\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha response:	Inari, Konkon, Koi Iroha
context: Miss Inari!\Inari!\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha response:	Inari, Konkon, Koi Iroha
context: Inari!\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha response:	Inari, Konkon, Koi Iroha
context: Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha response:	Inari, Konkon, Koi Iroha
context: Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha response:	Inari...
context: Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari... response:	What's goin' on?
context: Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari...\What's goin' on? response:	Kouji!
context: Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari...\What's goin' on?\Kouji! response:	What is all this?
context: Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari...\What's goin' on?\Kouji!\What is all this? response:	Huh?
context: Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari...\What's goin' on?\Kouji!\What is all this?\Huh? response:	I think... These girls... I...
context: Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\Inari...\What's goin' on?\Kouji!\What is all this?\Huh?\I think... These girls... I... response:	I hate them.
context: Inari, Konkon, Koi Iroha\Inari...\What's goin' on?\Kouji!\What is all this?\Huh?\I think... These girls... I...\I hate them. response:	Inari!
context: Inari...\What's goin' on?\Kouji!\What is all this?\Huh?\I think... These girls... I...\I hate them.\Inari! response:	Everybody hit the ground and don't move!
context: What's goin' on?\Kouji!\What is all this?\Huh?\I think... These girls... I...\I hate them.\Inari!\Everybody hit the ground and don't move! response:	Miss Inari!
context: Kouji!\What is all this?\Huh?\I think... These girls... I...\I hate them.\Inari!\Everybody hit the ground and don't move!\Miss Inari! response:	You mustn't! Inari!
context: What is all this?\Huh?\I think... These girls... I...\I hate them.\Inari!\Everybody hit the ground and don't move!\Miss Inari!\You mustn't! Inari! response:	Inari...
context: Huh?\I think... These girls... I...\I hate them.\Inari!\Everybody hit the ground and don't move!\Miss Inari!\You mustn't! Inari!\Inari... response:	Inari!
context: I think... These girls... I...\I hate them.\Inari!\Everybody hit the ground and don't move!\Miss Inari!\You mustn't! Inari!\Inari...\Inari! response:	Did she just...
context: I hate them.\Inari!\Everybody hit the ground and don't move!\Miss Inari!\You mustn't! Inari!\Inari...\Inari!\Did she just... response:	Lady Uka!
context: Inari!\Everybody hit the ground and don't move!\Miss Inari!\You mustn't! Inari!\Inari...\Inari!\Did she just...\Lady Uka! response:	Inari. Inari...
context: Everybody hit the ground and don't move!\Miss Inari!\You mustn't! Inari!\Inari...\Inari!\Did she just...\Lady Uka!\Inari. Inari... response:	Lady Uka...
context: Miss Inari!\You mustn't! Inari!\Inari...\Inari!\Did she just...\Lady Uka!\Inari. Inari...\Lady Uka... response:	I've done it again!
context: You mustn't! Inari!\Inari...\Inari!\Did she just...\Lady Uka!\Inari. Inari...\Lady Uka...\I've done it again! response:	It's all right. I'll protect you.
context: Inari...\Inari!\Did she just...\Lady Uka!\Inari. Inari...\Lady Uka...\I've done it again!\It's all right. I'll protect you. response:	Lady Uka...
context: Inari!\Did she just...\Lady Uka!\Inari. Inari...\Lady Uka...\I've done it again!\It's all right. I'll protect you.\Lady Uka... response:	Let's climb down now, while we have the chance!
context: Did she just...\Lady Uka!\Inari. Inari...\Lady Uka...\I've done it again!\It's all right. I'll protect you.\Lady Uka...\Let's climb down now, while we have the chance! response:	Hey!
context: Lady Uka!\Inari. Inari...\Lady Uka...\I've done it again!\It's all right. I'll protect you.\Lady Uka...\Let's climb down now, while we have the chance!\Hey! response:	We're doing roll call! Hurry up!
context: Inari. Inari...\Lady Uka...\I've done it again!\It's all right. I'll protect you.\Lady Uka...\Let's climb down now, while we have the chance!\Hey!\We're doing roll call! Hurry up! response:	We'll talk later. Go, quickly.
context: Lady Uka...\I've done it again!\It's all right. I'll protect you.\Lady Uka...\Let's climb down now, while we have the chance!\Hey!\We're doing roll call! Hurry up!\We'll talk later. Go, quickly. response:	Thank you!
context: I've done it again!\It's all right. I'll protect you.\Lady Uka...\Let's climb down now, while we have the chance!\Hey!\We're doing roll call! Hurry up!\We'll talk later. Go, quickly.\Thank you! response:	Come on. Let's head back down.
context: It's all right. I'll protect you.\Lady Uka...\Let's climb down now, while we have the chance!\Hey!\We're doing roll call! Hurry up!\We'll talk later. Go, quickly.\Thank you!\Come on. Let's head back down. response:	It's under control.
context: Lady Uka...\Let's climb down now, while we have the chance!\Hey!\We're doing roll call! Hurry up!\We'll talk later. Go, quickly.\Thank you!\Come on. Let's head back down.\It's under control. response:	Thank goodness, Inari.
context: Let's climb down now, while we have the chance!\Hey!\We're doing roll call! Hurry up!\We'll talk later. Go, quickly.\Thank you!\Come on. Let's head back down.\It's under control.\Thank goodness, Inari. response:	It's calmed down.
context: Hey!\We're doing roll call! Hurry up!\We'll talk later. Go, quickly.\Thank you!\Come on. Let's head back down.\It's under control.\Thank goodness, Inari.\It's calmed down. response:	Good thing, too.
context: We're doing roll call! Hurry up!\We'll talk later. Go, quickly.\Thank you!\Come on. Let's head back down.\It's under control.\Thank goodness, Inari.\It's calmed down.\Good thing, too. response:	Inari! Maru!
context: We'll talk later. Go, quickly.\Thank you!\Come on. Let's head back down.\It's under control.\Thank goodness, Inari.\It's calmed down.\Good thing, too.\Inari! Maru! response:	You're all right!
context: Thank you!\Come on. Let's head back down.\It's under control.\Thank goodness, Inari.\It's calmed down.\Good thing, too.\Inari! Maru!\You're all right! response:	Momoyama, could you explain?
context: Come on. Let's head back down.\It's under control.\Thank goodness, Inari.\It's calmed down.\Good thing, too.\Inari! Maru!\You're all right!\Momoyama, could you explain? response:	What's going on, Kyouko?
context: It's under control.\Thank goodness, Inari.\It's calmed down.\Good thing, too.\Inari! Maru!\You're all right!\Momoyama, could you explain?\What's going on, Kyouko? response:	Is it true you've been telling people to ignore Fushimi?
context: Thank goodness, Inari.\It's calmed down.\Good thing, too.\Inari! Maru!\You're all right!\Momoyama, could you explain?\What's going on, Kyouko?\Is it true you've been telling people to ignore Fushimi? response:	B-But she did such a rotten thing to you, and... I got angry.
context: It's calmed down.\Good thing, too.\Inari! Maru!\You're all right!\Momoyama, could you explain?\What's going on, Kyouko?\Is it true you've been telling people to ignore Fushimi?\B-But she did such a rotten thing to you, and... I got angry. response:	I never told you to do any such thing!
context: Good thing, too.\Inari! Maru!\You're all right!\Momoyama, could you explain?\What's going on, Kyouko?\Is it true you've been telling people to ignore Fushimi?\B-But she did such a rotten thing to you, and... I got angry.\I never told you to do any such thing! response:	What?! But you were so depressed!
context: Inari! Maru!\You're all right!\Momoyama, could you explain?\What's going on, Kyouko?\Is it true you've been telling people to ignore Fushimi?\B-But she did such a rotten thing to you, and... I got angry.\I never told you to do any such thing!\What?! But you were so depressed! response:	W-Well...
context: You're all right!\Momoyama, could you explain?\What's going on, Kyouko?\Is it true you've been telling people to ignore Fushimi?\B-But she did such a rotten thing to you, and... I got angry.\I never told you to do any such thing!\What?! But you were so depressed!\W-Well... response:	Did she do anythin' to you?
context: Momoyama, could you explain?\What's going on, Kyouko?\Is it true you've been telling people to ignore Fushimi?\B-But she did such a rotten thing to you, and... I got angry.\I never told you to do any such thing!\What?! But you were so depressed!\W-Well...\Did she do anythin' to you? response:	No, that's not it.
context: What's going on, Kyouko?\Is it true you've been telling people to ignore Fushimi?\B-But she did such a rotten thing to you, and... I got angry.\I never told you to do any such thing!\What?! But you were so depressed!\W-Well...\Did she do anythin' to you?\No, that's not it. response:	I'm so sorry!
context: Is it true you've been telling people to ignore Fushimi?\B-But she did such a rotten thing to you, and... I got angry.\I never told you to do any such thing!\What?! But you were so depressed!\W-Well...\Did she do anythin' to you?\No, that's not it.\I'm so sorry! response:	The mean part of me that didn't want to hand over that letter
context: B-But she did such a rotten thing to you, and... I got angry.\I never told you to do any such thing!\What?! But you were so depressed!\W-Well...\Did she do anythin' to you?\No, that's not it.\I'm so sorry!\The mean part of me that didn't want to hand over that letter response:	took control of that divine power.
context: I never told you to do any such thing!\What?! But you were so depressed!\W-Well...\Did she do anythin' to you?\No, that's not it.\I'm so sorry!\The mean part of me that didn't want to hand over that letter\took control of that divine power. response:	You poured your heart into that letter, and I threw it away.
context: What?! But you were so depressed!\W-Well...\Did she do anythin' to you?\No, that's not it.\I'm so sorry!\The mean part of me that didn't want to hand over that letter\took control of that divine power.\You poured your heart into that letter, and I threw it away. response:	Please... Please forgive me!
context: W-Well...\Did she do anythin' to you?\No, that's not it.\I'm so sorry!\The mean part of me that didn't want to hand over that letter\took control of that divine power.\You poured your heart into that letter, and I threw it away.\Please... Please forgive me! response:	Fushimi...
context: Did she do anythin' to you?\No, that's not it.\I'm so sorry!\The mean part of me that didn't want to hand over that letter\took control of that divine power.\You poured your heart into that letter, and I threw it away.\Please... Please forgive me!\Fushimi... response:	By any chance... do you like Tanbabashi?
context: No, that's not it.\I'm so sorry!\The mean part of me that didn't want to hand over that letter\took control of that divine power.\You poured your heart into that letter, and I threw it away.\Please... Please forgive me!\Fushimi...\By any chance... do you like Tanbabashi? response:	Uh-huh. I'm so sorry.
context: I'm so sorry!\The mean part of me that didn't want to hand over that letter\took control of that divine power.\You poured your heart into that letter, and I threw it away.\Please... Please forgive me!\Fushimi...\By any chance... do you like Tanbabashi?\Uh-huh. I'm so sorry. response:	But you told him how I feel, right?
context: The mean part of me that didn't want to hand over that letter\took control of that divine power.\You poured your heart into that letter, and I threw it away.\Please... Please forgive me!\Fushimi...\By any chance... do you like Tanbabashi?\Uh-huh. I'm so sorry.\But you told him how I feel, right? response:	When he heard about the letter, he said he was still flattered.
context: took control of that divine power.\You poured your heart into that letter, and I threw it away.\Please... Please forgive me!\Fushimi...\By any chance... do you like Tanbabashi?\Uh-huh. I'm so sorry.\But you told him how I feel, right?\When he heard about the letter, he said he was still flattered. response:	So I think I can forgive you.
context: You poured your heart into that letter, and I threw it away.\Please... Please forgive me!\Fushimi...\By any chance... do you like Tanbabashi?\Uh-huh. I'm so sorry.\But you told him how I feel, right?\When he heard about the letter, he said he was still flattered.\So I think I can forgive you. response:	Momoyama...
context: Please... Please forgive me!\Fushimi...\By any chance... do you like Tanbabashi?\Uh-huh. I'm so sorry.\But you told him how I feel, right?\When he heard about the letter, he said he was still flattered.\So I think I can forgive you.\Momoyama... response:	I mean, I don't think most people could tell someone they like
context: Fushimi...\By any chance... do you like Tanbabashi?\Uh-huh. I'm so sorry.\But you told him how I feel, right?\When he heard about the letter, he said he was still flattered.\So I think I can forgive you.\Momoyama...\I mean, I don't think most people could tell someone they like response:	that another person has feelings for them.
context: By any chance... do you like Tanbabashi?\Uh-huh. I'm so sorry.\But you told him how I feel, right?\When he heard about the letter, he said he was still flattered.\So I think I can forgive you.\Momoyama...\I mean, I don't think most people could tell someone they like\that another person has feelings for them. response:	All I did was use the power of the gods to change into someone else
context: Uh-huh. I'm so sorry.\But you told him how I feel, right?\When he heard about the letter, he said he was still flattered.\So I think I can forgive you.\Momoyama...\I mean, I don't think most people could tell someone they like\that another person has feelings for them.\All I did was use the power of the gods to change into someone else response:	and say what I could never say myself.
context: But you told him how I feel, right?\When he heard about the letter, he said he was still flattered.\So I think I can forgive you.\Momoyama...\I mean, I don't think most people could tell someone they like\that another person has feelings for them.\All I did was use the power of the gods to change into someone else\and say what I could never say myself. response:	I don't deserve your forgiveness.
context: When he heard about the letter, he said he was still flattered.\So I think I can forgive you.\Momoyama...\I mean, I don't think most people could tell someone they like\that another person has feelings for them.\All I did was use the power of the gods to change into someone else\and say what I could never say myself.\I don't deserve your forgiveness. response:	Hey, aren't you forgettin' something?
context: So I think I can forgive you.\Momoyama...\I mean, I don't think most people could tell someone they like\that another person has feelings for them.\All I did was use the power of the gods to change into someone else\and say what I could never say myself.\I don't deserve your forgiveness.\Hey, aren't you forgettin' something? response:	Say you're sorry!
context: Momoyama...\I mean, I don't think most people could tell someone they like\that another person has feelings for them.\All I did was use the power of the gods to change into someone else\and say what I could never say myself.\I don't deserve your forgiveness.\Hey, aren't you forgettin' something?\Say you're sorry! response:	We're sorry.
context: I mean, I don't think most people could tell someone they like\that another person has feelings for them.\All I did was use the power of the gods to change into someone else\and say what I could never say myself.\I don't deserve your forgiveness.\Hey, aren't you forgettin' something?\Say you're sorry!\We're sorry. response:	I...
context: that another person has feelings for them.\All I did was use the power of the gods to change into someone else\and say what I could never say myself.\I don't deserve your forgiveness.\Hey, aren't you forgettin' something?\Say you're sorry!\We're sorry.\I... response:	Inari!
context: All I did was use the power of the gods to change into someone else\and say what I could never say myself.\I don't deserve your forgiveness.\Hey, aren't you forgettin' something?\Say you're sorry!\We're sorry.\I...\Inari! response:	Touka?
context: and say what I could never say myself.\I don't deserve your forgiveness.\Hey, aren't you forgettin' something?\Say you're sorry!\We're sorry.\I...\Inari!\Touka? response:	Come with me.
context: I don't deserve your forgiveness.\Hey, aren't you forgettin' something?\Say you're sorry!\We're sorry.\I...\Inari!\Touka?\Come with me. response:	What was with that earthquake?
context: Hey, aren't you forgettin' something?\Say you're sorry!\We're sorry.\I...\Inari!\Touka?\Come with me.\What was with that earthquake? response:	Tell me that wasn't your divine power!
context: Say you're sorry!\We're sorry.\I...\Inari!\Touka?\Come with me.\What was with that earthquake?\Tell me that wasn't your divine power! response:	Oh, right! Lady Uka!
context: We're sorry.\I...\Inari!\Touka?\Come with me.\What was with that earthquake?\Tell me that wasn't your divine power!\Oh, right! Lady Uka! response:	What about her?!
context: I...\Inari!\Touka?\Come with me.\What was with that earthquake?\Tell me that wasn't your divine power!\Oh, right! Lady Uka!\What about her?! response:	The divine power surged out of me, but Lady Uka rescued me...
context: Inari!\Touka?\Come with me.\What was with that earthquake?\Tell me that wasn't your divine power!\Oh, right! Lady Uka!\What about her?!\The divine power surged out of me, but Lady Uka rescued me... response:	Miss Inari!
context: Touka?\Come with me.\What was with that earthquake?\Tell me that wasn't your divine power!\Oh, right! Lady Uka!\What about her?!\The divine power surged out of me, but Lady Uka rescued me...\Miss Inari! response:	Miya!
context: Come with me.\What was with that earthquake?\Tell me that wasn't your divine power!\Oh, right! Lady Uka!\What about her?!\The divine power surged out of me, but Lady Uka rescued me...\Miss Inari!\Miya! response:	Please hurry! It's Lady Uka!
context: What was with that earthquake?\Tell me that wasn't your divine power!\Oh, right! Lady Uka!\What about her?!\The divine power surged out of me, but Lady Uka rescued me...\Miss Inari!\Miya!\Please hurry! It's Lady Uka! response:	Wait, what? You're sneaking out, and we have to cover for you?
context: Tell me that wasn't your divine power!\Oh, right! Lady Uka!\What about her?!\The divine power surged out of me, but Lady Uka rescued me...\Miss Inari!\Miya!\Please hurry! It's Lady Uka!\Wait, what? You're sneaking out, and we have to cover for you? response:	I think we can manage.
context: Oh, right! Lady Uka!\What about her?!\The divine power surged out of me, but Lady Uka rescued me...\Miss Inari!\Miya!\Please hurry! It's Lady Uka!\Wait, what? You're sneaking out, and we have to cover for you?\I think we can manage. response:	Right?
context: What about her?!\The divine power surged out of me, but Lady Uka rescued me...\Miss Inari!\Miya!\Please hurry! It's Lady Uka!\Wait, what? You're sneaking out, and we have to cover for you?\I think we can manage.\Right? response:	Yep.
context: The divine power surged out of me, but Lady Uka rescued me...\Miss Inari!\Miya!\Please hurry! It's Lady Uka!\Wait, what? You're sneaking out, and we have to cover for you?\I think we can manage.\Right?\Yep. response:	Thank you!
context: Miss Inari!\Miya!\Please hurry! It's Lady Uka!\Wait, what? You're sneaking out, and we have to cover for you?\I think we can manage.\Right?\Yep.\Thank you! response:	Lady Uka is fading away?
context: Miya!\Please hurry! It's Lady Uka!\Wait, what? You're sneaking out, and we have to cover for you?\I think we can manage.\Right?\Yep.\Thank you!\Lady Uka is fading away? response:	What do you mean?
