context: You've lost contact with Metal Bat? response:	Yes. I've already contacted every hero higher than Class A for backup.
context: Why am I getting booed already?\Isn't that the Class S hero Genos?\Guess he likes martial arts, too.\And now for the strongest man in Super Fight history,\our returning two-time champion!\His fights are always one-sided.\But according to him, he hasn't even shown us all his strength yet.\Bakuzan from Art of the Darkness Hellkill! response:	There will finally be meaning in my victory today.
context: Isn't that the Class S hero Genos?\Guess he likes martial arts, too.\And now for the strongest man in Super Fight history,\our returning two-time champion!\His fights are always one-sided.\But according to him, he hasn't even shown us all his strength yet.\Bakuzan from Art of the Darkness Hellkill!\There will finally be meaning in my victory today. response:	And we have another unrivaled contender!
context: Guess he likes martial arts, too.\And now for the strongest man in Super Fight history,\our returning two-time champion!\His fights are always one-sided.\But according to him, he hasn't even shown us all his strength yet.\Bakuzan from Art of the Darkness Hellkill!\There will finally be meaning in my victory today.\And we have another unrivaled contender! response:	He's returning for the first time in seven tournaments!
context: And now for the strongest man in Super Fight history,\our returning two-time champion!\His fights are always one-sided.\But according to him, he hasn't even shown us all his strength yet.\Bakuzan from Art of the Darkness Hellkill!\There will finally be meaning in my victory today.\And we have another unrivaled contender!\He's returning for the first time in seven tournaments! response:	The young legend who managed to win four times in a row!
context: our returning two-time champion!\His fights are always one-sided.\But according to him, he hasn't even shown us all his strength yet.\Bakuzan from Art of the Darkness Hellkill!\There will finally be meaning in my victory today.\And we have another unrivaled contender!\He's returning for the first time in seven tournaments!\The young legend who managed to win four times in a row! response:	Suiryu from the Dark Body Art!
context: His fights are always one-sided.\But according to him, he hasn't even shown us all his strength yet.\Bakuzan from Art of the Darkness Hellkill!\There will finally be meaning in my victory today.\And we have another unrivaled contender!\He's returning for the first time in seven tournaments!\The young legend who managed to win four times in a row!\Suiryu from the Dark Body Art! response:	Yeah!
context: But according to him, he hasn't even shown us all his strength yet.\Bakuzan from Art of the Darkness Hellkill!\There will finally be meaning in my victory today.\And we have another unrivaled contender!\He's returning for the first time in seven tournaments!\The young legend who managed to win four times in a row!\Suiryu from the Dark Body Art!\Yeah! response:	He spent the three years since he disappeared goofing off,
context: Bakuzan from Art of the Darkness Hellkill!\There will finally be meaning in my victory today.\And we have another unrivaled contender!\He's returning for the first time in seven tournaments!\The young legend who managed to win four times in a row!\Suiryu from the Dark Body Art!\Yeah!\He spent the three years since he disappeared goofing off, response:	and apparently he's only after the prize money this time.
context: There will finally be meaning in my victory today.\And we have another unrivaled contender!\He's returning for the first time in seven tournaments!\The young legend who managed to win four times in a row!\Suiryu from the Dark Body Art!\Yeah!\He spent the three years since he disappeared goofing off,\and apparently he's only after the prize money this time. response:	Is he so powerful because he doesn't crave fame or notoriety?
context: And we have another unrivaled contender!\He's returning for the first time in seven tournaments!\The young legend who managed to win four times in a row!\Suiryu from the Dark Body Art!\Yeah!\He spent the three years since he disappeared goofing off,\and apparently he's only after the prize money this time.\Is he so powerful because he doesn't crave fame or notoriety? response:	However, Bakuzan is also in this tournament.
context: He's returning for the first time in seven tournaments!\The young legend who managed to win four times in a row!\Suiryu from the Dark Body Art!\Yeah!\He spent the three years since he disappeared goofing off,\and apparently he's only after the prize money this time.\Is he so powerful because he doesn't crave fame or notoriety?\However, Bakuzan is also in this tournament. response:	So that's Suiryu...
context: The young legend who managed to win four times in a row!\Suiryu from the Dark Body Art!\Yeah!\He spent the three years since he disappeared goofing off,\and apparently he's only after the prize money this time.\Is he so powerful because he doesn't crave fame or notoriety?\However, Bakuzan is also in this tournament.\So that's Suiryu... response:	If I can kill him, I'll be the strongest man in the history of this tournament.
context: Suiryu from the Dark Body Art!\Yeah!\He spent the three years since he disappeared goofing off,\and apparently he's only after the prize money this time.\Is he so powerful because he doesn't crave fame or notoriety?\However, Bakuzan is also in this tournament.\So that's Suiryu...\If I can kill him, I'll be the strongest man in the history of this tournament. response:	I can practically feel his boodlust piercing my back.
context: Yeah!\He spent the three years since he disappeared goofing off,\and apparently he's only after the prize money this time.\Is he so powerful because he doesn't crave fame or notoriety?\However, Bakuzan is also in this tournament.\So that's Suiryu...\If I can kill him, I'll be the strongest man in the history of this tournament.\I can practically feel his boodlust piercing my back. response:	I actually wanted to fight the guy who won last year's tournament, though.
context: He spent the three years since he disappeared goofing off,\and apparently he's only after the prize money this time.\Is he so powerful because he doesn't crave fame or notoriety?\However, Bakuzan is also in this tournament.\So that's Suiryu...\If I can kill him, I'll be the strongest man in the history of this tournament.\I can practically feel his boodlust piercing my back.\I actually wanted to fight the guy who won last year's tournament, though. response:	Now entering City Q
context: and apparently he's only after the prize money this time.\Is he so powerful because he doesn't crave fame or notoriety?\However, Bakuzan is also in this tournament.\So that's Suiryu...\If I can kill him, I'll be the strongest man in the history of this tournament.\I can practically feel his boodlust piercing my back.\I actually wanted to fight the guy who won last year's tournament, though.\Now entering City Q response:	I wanted to play with someone stronger if I could.
context: Is he so powerful because he doesn't crave fame or notoriety?\However, Bakuzan is also in this tournament.\So that's Suiryu...\If I can kill him, I'll be the strongest man in the history of this tournament.\I can practically feel his boodlust piercing my back.\I actually wanted to fight the guy who won last year's tournament, though.\Now entering City Q\I wanted to play with someone stronger if I could. response:	Now that we've introduced our 18 entrants, let the 22nd Super Fight
context: However, Bakuzan is also in this tournament.\So that's Suiryu...\If I can kill him, I'll be the strongest man in the history of this tournament.\I can practically feel his boodlust piercing my back.\I actually wanted to fight the guy who won last year's tournament, though.\Now entering City Q\I wanted to play with someone stronger if I could.\Now that we've introduced our 18 entrants, let the 22nd Super Fight response:	begin!
context: So that's Suiryu...\If I can kill him, I'll be the strongest man in the history of this tournament.\I can practically feel his boodlust piercing my back.\I actually wanted to fight the guy who won last year's tournament, though.\Now entering City Q\I wanted to play with someone stronger if I could.\Now that we've introduced our 18 entrants, let the 22nd Super Fight\begin! response:	Deep breaths, deep breaths...
context: If I can kill him, I'll be the strongest man in the history of this tournament.\I can practically feel his boodlust piercing my back.\I actually wanted to fight the guy who won last year's tournament, though.\Now entering City Q\I wanted to play with someone stronger if I could.\Now that we've introduced our 18 entrants, let the 22nd Super Fight\begin!\Deep breaths, deep breaths... response:	I'll be fine. I'll be fine. I'll be fine.
context: I can practically feel his boodlust piercing my back.\I actually wanted to fight the guy who won last year's tournament, though.\Now entering City Q\I wanted to play with someone stronger if I could.\Now that we've introduced our 18 entrants, let the 22nd Super Fight\begin!\Deep breaths, deep breaths...\I'll be fine. I'll be fine. I'll be fine. response:	Hey, old guy, are you nervous?
context: I actually wanted to fight the guy who won last year's tournament, though.\Now entering City Q\I wanted to play with someone stronger if I could.\Now that we've introduced our 18 entrants, let the 22nd Super Fight\begin!\Deep breaths, deep breaths...\I'll be fine. I'll be fine. I'll be fine.\Hey, old guy, are you nervous? response:	Don't call me old guy!
context: Now entering City Q\I wanted to play with someone stronger if I could.\Now that we've introduced our 18 entrants, let the 22nd Super Fight\begin!\Deep breaths, deep breaths...\I'll be fine. I'll be fine. I'll be fine.\Hey, old guy, are you nervous?\Don't call me old guy! response:	I may be your senior, but I'm twenty, just like you!
context: I wanted to play with someone stronger if I could.\Now that we've introduced our 18 entrants, let the 22nd Super Fight\begin!\Deep breaths, deep breaths...\I'll be fine. I'll be fine. I'll be fine.\Hey, old guy, are you nervous?\Don't call me old guy!\I may be your senior, but I'm twenty, just like you! response:	Wait, he's younger than me?
context: Now that we've introduced our 18 entrants, let the 22nd Super Fight\begin!\Deep breaths, deep breaths...\I'll be fine. I'll be fine. I'll be fine.\Hey, old guy, are you nervous?\Don't call me old guy!\I may be your senior, but I'm twenty, just like you!\Wait, he's younger than me? response:	Hey, you.
context: begin!\Deep breaths, deep breaths...\I'll be fine. I'll be fine. I'll be fine.\Hey, old guy, are you nervous?\Don't call me old guy!\I may be your senior, but I'm twenty, just like you!\Wait, he's younger than me?\Hey, you. response:	You entered under a style I'd never heard of.
context: Deep breaths, deep breaths...\I'll be fine. I'll be fine. I'll be fine.\Hey, old guy, are you nervous?\Don't call me old guy!\I may be your senior, but I'm twenty, just like you!\Wait, he's younger than me?\Hey, you.\You entered under a style I'd never heard of. response:	You must be an amateur.
context: I'll be fine. I'll be fine. I'll be fine.\Hey, old guy, are you nervous?\Don't call me old guy!\I may be your senior, but I'm twenty, just like you!\Wait, he's younger than me?\Hey, you.\You entered under a style I'd never heard of.\You must be an amateur. response:	Don't take martial arts lightly.
context: Hey, old guy, are you nervous?\Don't call me old guy!\I may be your senior, but I'm twenty, just like you!\Wait, he's younger than me?\Hey, you.\You entered under a style I'd never heard of.\You must be an amateur.\Don't take martial arts lightly. response:	Forfeit now,
context: Don't call me old guy!\I may be your senior, but I'm twenty, just like you!\Wait, he's younger than me?\Hey, you.\You entered under a style I'd never heard of.\You must be an amateur.\Don't take martial arts lightly.\Forfeit now, response:	or I'll make you regret it.
context: I may be your senior, but I'm twenty, just like you!\Wait, he's younger than me?\Hey, you.\You entered under a style I'd never heard of.\You must be an amateur.\Don't take martial arts lightly.\Forfeit now,\or I'll make you regret it. response:	Well, you heard him.
context: Wait, he's younger than me?\Hey, you.\You entered under a style I'd never heard of.\You must be an amateur.\Don't take martial arts lightly.\Forfeit now,\or I'll make you regret it.\Well, you heard him. response:	He's talking to you!
context: Hey, you.\You entered under a style I'd never heard of.\You must be an amateur.\Don't take martial arts lightly.\Forfeit now,\or I'll make you regret it.\Well, you heard him.\He's talking to you! response:	You can't even tie your obi right.
context: You entered under a style I'd never heard of.\You must be an amateur.\Don't take martial arts lightly.\Forfeit now,\or I'll make you regret it.\Well, you heard him.\He's talking to you!\You can't even tie your obi right. response:	You still can't tie it correctly. Here.
context: You must be an amateur.\Don't take martial arts lightly.\Forfeit now,\or I'll make you regret it.\Well, you heard him.\He's talking to you!\You can't even tie your obi right.\You still can't tie it correctly. Here. response:	Super Fight is a premier martial arts tournament. It's no place for amateurs.
context: Don't take martial arts lightly.\Forfeit now,\or I'll make you regret it.\Well, you heard him.\He's talking to you!\You can't even tie your obi right.\You still can't tie it correctly. Here.\Super Fight is a premier martial arts tournament. It's no place for amateurs. response:	This guy's also a student of the Fist of Flowing Water, Crushing Rock.
context: Forfeit now,\or I'll make you regret it.\Well, you heard him.\He's talking to you!\You can't even tie your obi right.\You still can't tie it correctly. Here.\Super Fight is a premier martial arts tournament. It's no place for amateurs.\This guy's also a student of the Fist of Flowing Water, Crushing Rock. response:	What? Him? I see... Seems they'll accept just about anyone these days.
context: or I'll make you regret it.\Well, you heard him.\He's talking to you!\You can't even tie your obi right.\You still can't tie it correctly. Here.\Super Fight is a premier martial arts tournament. It's no place for amateurs.\This guy's also a student of the Fist of Flowing Water, Crushing Rock.\What? Him? I see... Seems they'll accept just about anyone these days. response:	What?
context: Well, you heard him.\He's talking to you!\You can't even tie your obi right.\You still can't tie it correctly. Here.\Super Fight is a premier martial arts tournament. It's no place for amateurs.\This guy's also a student of the Fist of Flowing Water, Crushing Rock.\What? Him? I see... Seems they'll accept just about anyone these days.\What? response:	Bang was supposed to be one of the judges at this tournament,
context: He's talking to you!\You can't even tie your obi right.\You still can't tie it correctly. Here.\Super Fight is a premier martial arts tournament. It's no place for amateurs.\This guy's also a student of the Fist of Flowing Water, Crushing Rock.\What? Him? I see... Seems they'll accept just about anyone these days.\What?\Bang was supposed to be one of the judges at this tournament, response:	but he caused a ruckus by canceling his appearance abruptly.
context: You can't even tie your obi right.\You still can't tie it correctly. Here.\Super Fight is a premier martial arts tournament. It's no place for amateurs.\This guy's also a student of the Fist of Flowing Water, Crushing Rock.\What? Him? I see... Seems they'll accept just about anyone these days.\What?\Bang was supposed to be one of the judges at this tournament,\but he caused a ruckus by canceling his appearance abruptly. response:	Master Bang?
context: You still can't tie it correctly. Here.\Super Fight is a premier martial arts tournament. It's no place for amateurs.\This guy's also a student of the Fist of Flowing Water, Crushing Rock.\What? Him? I see... Seems they'll accept just about anyone these days.\What?\Bang was supposed to be one of the judges at this tournament,\but he caused a ruckus by canceling his appearance abruptly.\Master Bang? response:	The man called the strongest man in martial arts got wrapped up in being a hero.
context: Super Fight is a premier martial arts tournament. It's no place for amateurs.\This guy's also a student of the Fist of Flowing Water, Crushing Rock.\What? Him? I see... Seems they'll accept just about anyone these days.\What?\Bang was supposed to be one of the judges at this tournament,\but he caused a ruckus by canceling his appearance abruptly.\Master Bang?\The man called the strongest man in martial arts got wrapped up in being a hero. response:	That's enough out of you!
context: This guy's also a student of the Fist of Flowing Water, Crushing Rock.\What? Him? I see... Seems they'll accept just about anyone these days.\What?\Bang was supposed to be one of the judges at this tournament,\but he caused a ruckus by canceling his appearance abruptly.\Master Bang?\The man called the strongest man in martial arts got wrapped up in being a hero.\That's enough out of you! response:	And wait, why aren't you the one who's mad?!
context: What? Him? I see... Seems they'll accept just about anyone these days.\What?\Bang was supposed to be one of the judges at this tournament,\but he caused a ruckus by canceling his appearance abruptly.\Master Bang?\The man called the strongest man in martial arts got wrapped up in being a hero.\That's enough out of you!\And wait, why aren't you the one who's mad?! response:	Huh?
context: What?\Bang was supposed to be one of the judges at this tournament,\but he caused a ruckus by canceling his appearance abruptly.\Master Bang?\The man called the strongest man in martial arts got wrapped up in being a hero.\That's enough out of you!\And wait, why aren't you the one who's mad?!\Huh? response:	I already left the dojo, but you're the only student who stayed behind!
context: Bang was supposed to be one of the judges at this tournament,\but he caused a ruckus by canceling his appearance abruptly.\Master Bang?\The man called the strongest man in martial arts got wrapped up in being a hero.\That's enough out of you!\And wait, why aren't you the one who's mad?!\Huh?\I already left the dojo, but you're the only student who stayed behind! response:	Oh, right. I mean, just let him say whatever.
context: but he caused a ruckus by canceling his appearance abruptly.\Master Bang?\The man called the strongest man in martial arts got wrapped up in being a hero.\That's enough out of you!\And wait, why aren't you the one who's mad?!\Huh?\I already left the dojo, but you're the only student who stayed behind!\Oh, right. I mean, just let him say whatever. response:	What?!
context: Master Bang?\The man called the strongest man in martial arts got wrapped up in being a hero.\That's enough out of you!\And wait, why aren't you the one who's mad?!\Huh?\I already left the dojo, but you're the only student who stayed behind!\Oh, right. I mean, just let him say whatever.\What?! response:	I didn't come here to argue.
context: The man called the strongest man in martial arts got wrapped up in being a hero.\That's enough out of you!\And wait, why aren't you the one who's mad?!\Huh?\I already left the dojo, but you're the only student who stayed behind!\Oh, right. I mean, just let him say whatever.\What?!\I didn't come here to argue. response:	If you're threatening to crush me, I'll look forward to it.
context: That's enough out of you!\And wait, why aren't you the one who's mad?!\Huh?\I already left the dojo, but you're the only student who stayed behind!\Oh, right. I mean, just let him say whatever.\What?!\I didn't come here to argue.\If you're threatening to crush me, I'll look forward to it. response:	You don't look very strong, though.
context: And wait, why aren't you the one who's mad?!\Huh?\I already left the dojo, but you're the only student who stayed behind!\Oh, right. I mean, just let him say whatever.\What?!\I didn't come here to argue.\If you're threatening to crush me, I'll look forward to it.\You don't look very strong, though. response:	Wow, way to put him in his place, Charanko.
context: Huh?\I already left the dojo, but you're the only student who stayed behind!\Oh, right. I mean, just let him say whatever.\What?!\I didn't come here to argue.\If you're threatening to crush me, I'll look forward to it.\You don't look very strong, though.\Wow, way to put him in his place, Charanko. response:	I'll beat you to a pulp.
context: I already left the dojo, but you're the only student who stayed behind!\Oh, right. I mean, just let him say whatever.\What?!\I didn't come here to argue.\If you're threatening to crush me, I'll look forward to it.\You don't look very strong, though.\Wow, way to put him in his place, Charanko.\I'll beat you to a pulp. response:	I'm fine with tracking down Garo, but is he really going to show?
context: Oh, right. I mean, just let him say whatever.\What?!\I didn't come here to argue.\If you're threatening to crush me, I'll look forward to it.\You don't look very strong, though.\Wow, way to put him in his place, Charanko.\I'll beat you to a pulp.\I'm fine with tracking down Garo, but is he really going to show? response:	Wow, you're definitely annoyed.
context: What?!\I didn't come here to argue.\If you're threatening to crush me, I'll look forward to it.\You don't look very strong, though.\Wow, way to put him in his place, Charanko.\I'll beat you to a pulp.\I'm fine with tracking down Garo, but is he really going to show?\Wow, you're definitely annoyed. response:	The Class A hero we were tracking is being attacked by someone.
context: I didn't come here to argue.\If you're threatening to crush me, I'll look forward to it.\You don't look very strong, though.\Wow, way to put him in his place, Charanko.\I'll beat you to a pulp.\I'm fine with tracking down Garo, but is he really going to show?\Wow, you're definitely annoyed.\The Class A hero we were tracking is being attacked by someone. response:	What? Let's go!
context: If you're threatening to crush me, I'll look forward to it.\You don't look very strong, though.\Wow, way to put him in his place, Charanko.\I'll beat you to a pulp.\I'm fine with tracking down Garo, but is he really going to show?\Wow, you're definitely annoyed.\The Class A hero we were tracking is being attacked by someone.\What? Let's go! response:	Boxing
context: You don't look very strong, though.\Wow, way to put him in his place, Charanko.\I'll beat you to a pulp.\I'm fine with tracking down Garo, but is he really going to show?\Wow, you're definitely annoyed.\The Class A hero we were tracking is being attacked by someone.\What? Let's go!\Boxing response:	I, the Boxing Demon, shall destroy this city!
context: Wow, way to put him in his place, Charanko.\I'll beat you to a pulp.\I'm fine with tracking down Garo, but is he really going to show?\Wow, you're definitely annoyed.\The Class A hero we were tracking is being attacked by someone.\What? Let's go!\Boxing\I, the Boxing Demon, shall destroy this city! response:	Guess it wasn't Garo.
context: I'll beat you to a pulp.\I'm fine with tracking down Garo, but is he really going to show?\Wow, you're definitely annoyed.\The Class A hero we were tracking is being attacked by someone.\What? Let's go!\Boxing\I, the Boxing Demon, shall destroy this city!\Guess it wasn't Garo. response:	Stand back, Bomb.
context: I'm fine with tracking down Garo, but is he really going to show?\Wow, you're definitely annoyed.\The Class A hero we were tracking is being attacked by someone.\What? Let's go!\Boxing\I, the Boxing Demon, shall destroy this city!\Guess it wasn't Garo.\Stand back, Bomb. response:	Silverfang? Perfect timing!
context: Wow, you're definitely annoyed.\The Class A hero we were tracking is being attacked by someone.\What? Let's go!\Boxing\I, the Boxing Demon, shall destroy this city!\Guess it wasn't Garo.\Stand back, Bomb.\Silverfang? Perfect timing! response:	We should team Huh? Um...
context: The Class A hero we were tracking is being attacked by someone.\What? Let's go!\Boxing\I, the Boxing Demon, shall destroy this city!\Guess it wasn't Garo.\Stand back, Bomb.\Silverfang? Perfect timing!\We should team Huh? Um... response:	You must be a Class S hero!
context: What? Let's go!\Boxing\I, the Boxing Demon, shall destroy this city!\Guess it wasn't Garo.\Stand back, Bomb.\Silverfang? Perfect timing!\We should team Huh? Um...\You must be a Class S hero! response:	I know you! You're a famous martial artist!
context: Boxing\I, the Boxing Demon, shall destroy this city!\Guess it wasn't Garo.\Stand back, Bomb.\Silverfang? Perfect timing!\We should team Huh? Um...\You must be a Class S hero!\I know you! You're a famous martial artist! response:	When I was human, I also learned martial arts...
context: I, the Boxing Demon, shall destroy this city!\Guess it wasn't Garo.\Stand back, Bomb.\Silverfang? Perfect timing!\We should team Huh? Um...\You must be a Class S hero!\I know you! You're a famous martial artist!\When I was human, I also learned martial arts... response:	but fighting in competitions just wasn't enough!
context: Guess it wasn't Garo.\Stand back, Bomb.\Silverfang? Perfect timing!\We should team Huh? Um...\You must be a Class S hero!\I know you! You're a famous martial artist!\When I was human, I also learned martial arts...\but fighting in competitions just wasn't enough! response:	That's right! I wanted to let loose with all the strength I have, so I turned into a mon
context: Stand back, Bomb.\Silverfang? Perfect timing!\We should team Huh? Um...\You must be a Class S hero!\I know you! You're a famous martial artist!\When I was human, I also learned martial arts...\but fighting in competitions just wasn't enough!\That's right! I wanted to let loose with all the strength I have, so I turned into a mon response:	D-Damn, he's strong...
context: Silverfang? Perfect timing!\We should team Huh? Um...\You must be a Class S hero!\I know you! You're a famous martial artist!\When I was human, I also learned martial arts...\but fighting in competitions just wasn't enough!\That's right! I wanted to let loose with all the strength I have, so I turned into a mon\D-Damn, he's strong... response:	Let's hurry, before he ends up like this.
context: We should team Huh? Um...\You must be a Class S hero!\I know you! You're a famous martial artist!\When I was human, I also learned martial arts...\but fighting in competitions just wasn't enough!\That's right! I wanted to let loose with all the strength I have, so I turned into a mon\D-Damn, he's strong...\Let's hurry, before he ends up like this. response:	And now, let us begin round one!
context: You must be a Class S hero!\I know you! You're a famous martial artist!\When I was human, I also learned martial arts...\but fighting in competitions just wasn't enough!\That's right! I wanted to let loose with all the strength I have, so I turned into a mon\D-Damn, he's strong...\Let's hurry, before he ends up like this.\And now, let us begin round one! response:	Round 1 Max vs Ring-Ring
context: I know you! You're a famous martial artist!\When I was human, I also learned martial arts...\but fighting in competitions just wasn't enough!\That's right! I wanted to let loose with all the strength I have, so I turned into a mon\D-Damn, he's strong...\Let's hurry, before he ends up like this.\And now, let us begin round one!\Round 1 Max vs Ring-Ring response:	Max versus Ring-Ring!
context: When I was human, I also learned martial arts...\but fighting in competitions just wasn't enough!\That's right! I wanted to let loose with all the strength I have, so I turned into a mon\D-Damn, he's strong...\Let's hurry, before he ends up like this.\And now, let us begin round one!\Round 1 Max vs Ring-Ring\Max versus Ring-Ring! response:	Fight!
context: but fighting in competitions just wasn't enough!\That's right! I wanted to let loose with all the strength I have, so I turned into a mon\D-Damn, he's strong...\Let's hurry, before he ends up like this.\And now, let us begin round one!\Round 1 Max vs Ring-Ring\Max versus Ring-Ring!\Fight! response:	Ring-Ring makes the first move!
context: That's right! I wanted to let loose with all the strength I have, so I turned into a mon\D-Damn, he's strong...\Let's hurry, before he ends up like this.\And now, let us begin round one!\Round 1 Max vs Ring-Ring\Max versus Ring-Ring!\Fight!\Ring-Ring makes the first move! response:	Heart Hard Hit!
context: D-Damn, he's strong...\Let's hurry, before he ends up like this.\And now, let us begin round one!\Round 1 Max vs Ring-Ring\Max versus Ring-Ring!\Fight!\Ring-Ring makes the first move!\Heart Hard Hit! response:	She did all that with one stroke of her whip?
context: Let's hurry, before he ends up like this.\And now, let us begin round one!\Round 1 Max vs Ring-Ring\Max versus Ring-Ring!\Fight!\Ring-Ring makes the first move!\Heart Hard Hit!\She did all that with one stroke of her whip? response:	You're a fool for thinking you could actually take me, Super S, on!
context: And now, let us begin round one!\Round 1 Max vs Ring-Ring\Max versus Ring-Ring!\Fight!\Ring-Ring makes the first move!\Heart Hard Hit!\She did all that with one stroke of her whip?\You're a fool for thinking you could actually take me, Super S, on! response:	You pitiful, foolish hero brats!
context: Round 1 Max vs Ring-Ring\Max versus Ring-Ring!\Fight!\Ring-Ring makes the first move!\Heart Hard Hit!\She did all that with one stroke of her whip?\You're a fool for thinking you could actually take me, Super S, on!\You pitiful, foolish hero brats! response:	H-Heavy Kong has been...
context: Max versus Ring-Ring!\Fight!\Ring-Ring makes the first move!\Heart Hard Hit!\She did all that with one stroke of her whip?\You're a fool for thinking you could actually take me, Super S, on!\You pitiful, foolish hero brats!\H-Heavy Kong has been... response:	So this is what a Class A is like? That was uneventful.
context: Fight!\Ring-Ring makes the first move!\Heart Hard Hit!\She did all that with one stroke of her whip?\You're a fool for thinking you could actually take me, Super S, on!\You pitiful, foolish hero brats!\H-Heavy Kong has been...\So this is what a Class A is like? That was uneventful. response:	More importantly, make sure you spread the news
context: Ring-Ring makes the first move!\Heart Hard Hit!\She did all that with one stroke of her whip?\You're a fool for thinking you could actually take me, Super S, on!\You pitiful, foolish hero brats!\H-Heavy Kong has been...\So this is what a Class A is like? That was uneventful.\More importantly, make sure you spread the news response:	that the one who took down Heavy Kong was me, Martial Gorilla.
context: Heart Hard Hit!\She did all that with one stroke of her whip?\You're a fool for thinking you could actually take me, Super S, on!\You pitiful, foolish hero brats!\H-Heavy Kong has been...\So this is what a Class A is like? That was uneventful.\More importantly, make sure you spread the news\that the one who took down Heavy Kong was me, Martial Gorilla. response:	There's no end to this!
context: She did all that with one stroke of her whip?\You're a fool for thinking you could actually take me, Super S, on!\You pitiful, foolish hero brats!\H-Heavy Kong has been...\So this is what a Class A is like? That was uneventful.\More importantly, make sure you spread the news\that the one who took down Heavy Kong was me, Martial Gorilla.\There's no end to this! response:	You're not getting away!
context: You're a fool for thinking you could actually take me, Super S, on!\You pitiful, foolish hero brats!\H-Heavy Kong has been...\So this is what a Class A is like? That was uneventful.\More importantly, make sure you spread the news\that the one who took down Heavy Kong was me, Martial Gorilla.\There's no end to this!\You're not getting away! response:	Th-They're the worst possible enemies I could've faced...
context: You pitiful, foolish hero brats!\H-Heavy Kong has been...\So this is what a Class A is like? That was uneventful.\More importantly, make sure you spread the news\that the one who took down Heavy Kong was me, Martial Gorilla.\There's no end to this!\You're not getting away!\Th-They're the worst possible enemies I could've faced... response:	I see. Despite the fact that we're only threat level Tiger,
context: H-Heavy Kong has been...\So this is what a Class A is like? That was uneventful.\More importantly, make sure you spread the news\that the one who took down Heavy Kong was me, Martial Gorilla.\There's no end to this!\You're not getting away!\Th-They're the worst possible enemies I could've faced...\I see. Despite the fact that we're only threat level Tiger, response:	we can defeat a Class A hero based on his attributes.
context: So this is what a Class A is like? That was uneventful.\More importantly, make sure you spread the news\that the one who took down Heavy Kong was me, Martial Gorilla.\There's no end to this!\You're not getting away!\Th-They're the worst possible enemies I could've faced...\I see. Despite the fact that we're only threat level Tiger,\we can defeat a Class A hero based on his attributes. response:	I guess we didn't need to go sneaking around after all.
context: More importantly, make sure you spread the news\that the one who took down Heavy Kong was me, Martial Gorilla.\There's no end to this!\You're not getting away!\Th-They're the worst possible enemies I could've faced...\I see. Despite the fact that we're only threat level Tiger,\we can defeat a Class A hero based on his attributes.\I guess we didn't need to go sneaking around after all. response:	We got word that Heavy Kong was defeated in City W.
context: that the one who took down Heavy Kong was me, Martial Gorilla.\There's no end to this!\You're not getting away!\Th-They're the worst possible enemies I could've faced...\I see. Despite the fact that we're only threat level Tiger,\we can defeat a Class A hero based on his attributes.\I guess we didn't need to go sneaking around after all.\We got word that Heavy Kong was defeated in City W. response:	And we still haven't been able to get a hold of Metal Bat or Metal Knight.
context: There's no end to this!\You're not getting away!\Th-They're the worst possible enemies I could've faced...\I see. Despite the fact that we're only threat level Tiger,\we can defeat a Class A hero based on his attributes.\I guess we didn't need to go sneaking around after all.\We got word that Heavy Kong was defeated in City W.\And we still haven't been able to get a hold of Metal Bat or Metal Knight. response:	The giant organism that appeared in City I
context: You're not getting away!\Th-They're the worst possible enemies I could've faced...\I see. Despite the fact that we're only threat level Tiger,\we can defeat a Class A hero based on his attributes.\I guess we didn't need to go sneaking around after all.\We got word that Heavy Kong was defeated in City W.\And we still haven't been able to get a hold of Metal Bat or Metal Knight.\The giant organism that appeared in City I response:	has grown even bigger and harder after consuming a large building.
context: Th-They're the worst possible enemies I could've faced...\I see. Despite the fact that we're only threat level Tiger,\we can defeat a Class A hero based on his attributes.\I guess we didn't need to go sneaking around after all.\We got word that Heavy Kong was defeated in City W.\And we still haven't been able to get a hold of Metal Bat or Metal Knight.\The giant organism that appeared in City I\has grown even bigger and harder after consuming a large building. response:	We can't let it run loose any longer!
context: I see. Despite the fact that we're only threat level Tiger,\we can defeat a Class A hero based on his attributes.\I guess we didn't need to go sneaking around after all.\We got word that Heavy Kong was defeated in City W.\And we still haven't been able to get a hold of Metal Bat or Metal Knight.\The giant organism that appeared in City I\has grown even bigger and harder after consuming a large building.\We can't let it run loose any longer! response:	Poison! The monster that appeared in City Y is using some kind of paralysis poison
context: we can defeat a Class A hero based on his attributes.\I guess we didn't need to go sneaking around after all.\We got word that Heavy Kong was defeated in City W.\And we still haven't been able to get a hold of Metal Bat or Metal Knight.\The giant organism that appeared in City I\has grown even bigger and harder after consuming a large building.\We can't let it run loose any longer!\Poison! The monster that appeared in City Y is using some kind of paralysis poison response:	to render the heroes there immobile!
context: I guess we didn't need to go sneaking around after all.\We got word that Heavy Kong was defeated in City W.\And we still haven't been able to get a hold of Metal Bat or Metal Knight.\The giant organism that appeared in City I\has grown even bigger and harder after consuming a large building.\We can't let it run loose any longer!\Poison! The monster that appeared in City Y is using some kind of paralysis poison\to render the heroes there immobile! response:	It's no use. There are just too many of them.
