context: If only we could be together for ever and ever. response:	But, in reality...
context: I'll even give up on Arima if my argument is wrong.\Touche.\Miyazawa?\It's always been in the back of my mind so I can't refute it.\What did you say to Miyazawa?\I know you're trying to use me.\Not to be conceited,\but many people have tried to use me in the past. response:	But I won't permit you to hurt her.
context: Touche.\Miyazawa?\It's always been in the back of my mind so I can't refute it.\What did you say to Miyazawa?\I know you're trying to use me.\Not to be conceited,\but many people have tried to use me in the past.\But I won't permit you to hurt her. response:	You seem to be pretty soft on her.
context: Miyazawa?\It's always been in the back of my mind so I can't refute it.\What did you say to Miyazawa?\I know you're trying to use me.\Not to be conceited,\but many people have tried to use me in the past.\But I won't permit you to hurt her.\You seem to be pretty soft on her. response:	Tell me, what's so good about her?
context: It's always been in the back of my mind so I can't refute it.\What did you say to Miyazawa?\I know you're trying to use me.\Not to be conceited,\but many people have tried to use me in the past.\But I won't permit you to hurt her.\You seem to be pretty soft on her.\Tell me, what's so good about her? response:	Don't you get it?
context: What did you say to Miyazawa?\I know you're trying to use me.\Not to be conceited,\but many people have tried to use me in the past.\But I won't permit you to hurt her.\You seem to be pretty soft on her.\Tell me, what's so good about her?\Don't you get it? response:	She stays because she wants to.
context: I know you're trying to use me.\Not to be conceited,\but many people have tried to use me in the past.\But I won't permit you to hurt her.\You seem to be pretty soft on her.\Tell me, what's so good about her?\Don't you get it?\She stays because she wants to. response:	I got here early. Gotta cheer up.
context: Not to be conceited,\but many people have tried to use me in the past.\But I won't permit you to hurt her.\You seem to be pretty soft on her.\Tell me, what's so good about her?\Don't you get it?\She stays because she wants to.\I got here early. Gotta cheer up. response:	I can't stop being his girlfriend just cause of what his friend said.
context: but many people have tried to use me in the past.\But I won't permit you to hurt her.\You seem to be pretty soft on her.\Tell me, what's so good about her?\Don't you get it?\She stays because she wants to.\I got here early. Gotta cheer up.\I can't stop being his girlfriend just cause of what his friend said. response:	Here I am.
context: But I won't permit you to hurt her.\You seem to be pretty soft on her.\Tell me, what's so good about her?\Don't you get it?\She stays because she wants to.\I got here early. Gotta cheer up.\I can't stop being his girlfriend just cause of what his friend said.\Here I am. response:	Which one are we seeing again?
context: You seem to be pretty soft on her.\Tell me, what's so good about her?\Don't you get it?\She stays because she wants to.\I got here early. Gotta cheer up.\I can't stop being his girlfriend just cause of what his friend said.\Here I am.\Which one are we seeing again? response:	Can we still make it?
context: Tell me, what's so good about her?\Don't you get it?\She stays because she wants to.\I got here early. Gotta cheer up.\I can't stop being his girlfriend just cause of what his friend said.\Here I am.\Which one are we seeing again?\Can we still make it? response:	No problem, no problem.
context: Don't you get it?\She stays because she wants to.\I got here early. Gotta cheer up.\I can't stop being his girlfriend just cause of what his friend said.\Here I am.\Which one are we seeing again?\Can we still make it?\No problem, no problem. response:	Sorry for making you wait!
context: She stays because she wants to.\I got here early. Gotta cheer up.\I can't stop being his girlfriend just cause of what his friend said.\Here I am.\Which one are we seeing again?\Can we still make it?\No problem, no problem.\Sorry for making you wait! response:	He's not there. I've got the time and place right.
context: I got here early. Gotta cheer up.\I can't stop being his girlfriend just cause of what his friend said.\Here I am.\Which one are we seeing again?\Can we still make it?\No problem, no problem.\Sorry for making you wait!\He's not there. I've got the time and place right. response:	Tomorrow, at one o'clock...
context: I can't stop being his girlfriend just cause of what his friend said.\Here I am.\Which one are we seeing again?\Can we still make it?\No problem, no problem.\Sorry for making you wait!\He's not there. I've got the time and place right.\Tomorrow, at one o'clock... response:	I wonder if something happened.
context: Here I am.\Which one are we seeing again?\Can we still make it?\No problem, no problem.\Sorry for making you wait!\He's not there. I've got the time and place right.\Tomorrow, at one o'clock...\I wonder if something happened. response:	That was great.
context: Which one are we seeing again?\Can we still make it?\No problem, no problem.\Sorry for making you wait!\He's not there. I've got the time and place right.\Tomorrow, at one o'clock...\I wonder if something happened.\That was great. response:	Thanks for the meal.
context: Can we still make it?\No problem, no problem.\Sorry for making you wait!\He's not there. I've got the time and place right.\Tomorrow, at one o'clock...\I wonder if something happened.\That was great.\Thanks for the meal. response:	See you later.
context: No problem, no problem.\Sorry for making you wait!\He's not there. I've got the time and place right.\Tomorrow, at one o'clock...\I wonder if something happened.\That was great.\Thanks for the meal.\See you later. response:	I was really looking forward to this.
context: Sorry for making you wait!\He's not there. I've got the time and place right.\Tomorrow, at one o'clock...\I wonder if something happened.\That was great.\Thanks for the meal.\See you later.\I was really looking forward to this. response:	Yo. What're you doing here?
context: He's not there. I've got the time and place right.\Tomorrow, at one o'clock...\I wonder if something happened.\That was great.\Thanks for the meal.\See you later.\I was really looking forward to this.\Yo. What're you doing here? response:	Oh, a date with Arima?
context: Tomorrow, at one o'clock...\I wonder if something happened.\That was great.\Thanks for the meal.\See you later.\I was really looking forward to this.\Yo. What're you doing here?\Oh, a date with Arima? response:	What? Looks like it's starting already.
context: I wonder if something happened.\That was great.\Thanks for the meal.\See you later.\I was really looking forward to this.\Yo. What're you doing here?\Oh, a date with Arima?\What? Looks like it's starting already. response:	You got stood up, didn't you.
context: That was great.\Thanks for the meal.\See you later.\I was really looking forward to this.\Yo. What're you doing here?\Oh, a date with Arima?\What? Looks like it's starting already.\You got stood up, didn't you. response:	Shut up!
context: Thanks for the meal.\See you later.\I was really looking forward to this.\Yo. What're you doing here?\Oh, a date with Arima?\What? Looks like it's starting already.\You got stood up, didn't you.\Shut up! response:	I can't believe you're making fun of me at a time like this!
context: See you later.\I was really looking forward to this.\Yo. What're you doing here?\Oh, a date with Arima?\What? Looks like it's starting already.\You got stood up, didn't you.\Shut up!\I can't believe you're making fun of me at a time like this! response:	*Hey, he's making that girl cry!*
context: I was really looking forward to this.\Yo. What're you doing here?\Oh, a date with Arima?\What? Looks like it's starting already.\You got stood up, didn't you.\Shut up!\I can't believe you're making fun of me at a time like this!\*Hey, he's making that girl cry!* response:	So I've been stood up!
context: Yo. What're you doing here?\Oh, a date with Arima?\What? Looks like it's starting already.\You got stood up, didn't you.\Shut up!\I can't believe you're making fun of me at a time like this!\*Hey, he's making that girl cry!*\So I've been stood up! response:	Who cares! I chose to wait!
context: Oh, a date with Arima?\What? Looks like it's starting already.\You got stood up, didn't you.\Shut up!\I can't believe you're making fun of me at a time like this!\*Hey, he's making that girl cry!*\So I've been stood up!\Who cares! I chose to wait! response:	Just leave me alone!
context: What? Looks like it's starting already.\You got stood up, didn't you.\Shut up!\I can't believe you're making fun of me at a time like this!\*Hey, he's making that girl cry!*\So I've been stood up!\Who cares! I chose to wait!\Just leave me alone! response:	Sorry, I didn't think you were actually stood up.
context: You got stood up, didn't you.\Shut up!\I can't believe you're making fun of me at a time like this!\*Hey, he's making that girl cry!*\So I've been stood up!\Who cares! I chose to wait!\Just leave me alone!\Sorry, I didn't think you were actually stood up. response:	And I'm sorry about the stuff I said before.
context: Shut up!\I can't believe you're making fun of me at a time like this!\*Hey, he's making that girl cry!*\So I've been stood up!\Who cares! I chose to wait!\Just leave me alone!\Sorry, I didn't think you were actually stood up.\And I'm sorry about the stuff I said before. response:	Is this a trap?
context: I can't believe you're making fun of me at a time like this!\*Hey, he's making that girl cry!*\So I've been stood up!\Who cares! I chose to wait!\Just leave me alone!\Sorry, I didn't think you were actually stood up.\And I'm sorry about the stuff I said before.\Is this a trap? response:	No, believe me...
context: *Hey, he's making that girl cry!*\So I've been stood up!\Who cares! I chose to wait!\Just leave me alone!\Sorry, I didn't think you were actually stood up.\And I'm sorry about the stuff I said before.\Is this a trap?\No, believe me... response:	I was wrong!
context: So I've been stood up!\Who cares! I chose to wait!\Just leave me alone!\Sorry, I didn't think you were actually stood up.\And I'm sorry about the stuff I said before.\Is this a trap?\No, believe me...\I was wrong! response:	That's some change of heart.
context: Who cares! I chose to wait!\Just leave me alone!\Sorry, I didn't think you were actually stood up.\And I'm sorry about the stuff I said before.\Is this a trap?\No, believe me...\I was wrong!\That's some change of heart. response:	Well, things happened...
context: Just leave me alone!\Sorry, I didn't think you were actually stood up.\And I'm sorry about the stuff I said before.\Is this a trap?\No, believe me...\I was wrong!\That's some change of heart.\Well, things happened... response:	I guess it means I don't fight fights I can't win.
context: Sorry, I didn't think you were actually stood up.\And I'm sorry about the stuff I said before.\Is this a trap?\No, believe me...\I was wrong!\That's some change of heart.\Well, things happened...\I guess it means I don't fight fights I can't win. response:	Hmmm? What about the Mary-Land Project?
context: And I'm sorry about the stuff I said before.\Is this a trap?\No, believe me...\I was wrong!\That's some change of heart.\Well, things happened...\I guess it means I don't fight fights I can't win.\Hmmm? What about the Mary-Land Project? response:	Oh, that's history, too.
context: Is this a trap?\No, believe me...\I was wrong!\That's some change of heart.\Well, things happened...\I guess it means I don't fight fights I can't win.\Hmmm? What about the Mary-Land Project?\Oh, that's history, too. response:	It came to feel kind of empty...
context: No, believe me...\I was wrong!\That's some change of heart.\Well, things happened...\I guess it means I don't fight fights I can't win.\Hmmm? What about the Mary-Land Project?\Oh, that's history, too.\It came to feel kind of empty... response:	And, I just realized...
context: I was wrong!\That's some change of heart.\Well, things happened...\I guess it means I don't fight fights I can't win.\Hmmm? What about the Mary-Land Project?\Oh, that's history, too.\It came to feel kind of empty...\And, I just realized... response:	I don't actually hate you.
context: That's some change of heart.\Well, things happened...\I guess it means I don't fight fights I can't win.\Hmmm? What about the Mary-Land Project?\Oh, that's history, too.\It came to feel kind of empty...\And, I just realized...\I don't actually hate you. response:	I guess I had fun being with you.
context: Well, things happened...\I guess it means I don't fight fights I can't win.\Hmmm? What about the Mary-Land Project?\Oh, that's history, too.\It came to feel kind of empty...\And, I just realized...\I don't actually hate you.\I guess I had fun being with you. response:	I'm sorry! Just as I was leaving, my mom collapsed from anemia,
context: I guess it means I don't fight fights I can't win.\Hmmm? What about the Mary-Land Project?\Oh, that's history, too.\It came to feel kind of empty...\And, I just realized...\I don't actually hate you.\I guess I had fun being with you.\I'm sorry! Just as I was leaving, my mom collapsed from anemia, response:	and my father was out...
context: Hmmm? What about the Mary-Land Project?\Oh, that's history, too.\It came to feel kind of empty...\And, I just realized...\I don't actually hate you.\I guess I had fun being with you.\I'm sorry! Just as I was leaving, my mom collapsed from anemia,\and my father was out... response:	Apologize! You're a disgrace to all men, making a girl wait!
context: Oh, that's history, too.\It came to feel kind of empty...\And, I just realized...\I don't actually hate you.\I guess I had fun being with you.\I'm sorry! Just as I was leaving, my mom collapsed from anemia,\and my father was out...\Apologize! You're a disgrace to all men, making a girl wait! response:	Never make a girl wait, even if it means abandoning your parents!
context: It came to feel kind of empty...\And, I just realized...\I don't actually hate you.\I guess I had fun being with you.\I'm sorry! Just as I was leaving, my mom collapsed from anemia,\and my father was out...\Apologize! You're a disgrace to all men, making a girl wait!\Never make a girl wait, even if it means abandoning your parents! response:	Die! Die as your apology to her!
context: And, I just realized...\I don't actually hate you.\I guess I had fun being with you.\I'm sorry! Just as I was leaving, my mom collapsed from anemia,\and my father was out...\Apologize! You're a disgrace to all men, making a girl wait!\Never make a girl wait, even if it means abandoning your parents!\Die! Die as your apology to her! response:	It's okay!
context: I don't actually hate you.\I guess I had fun being with you.\I'm sorry! Just as I was leaving, my mom collapsed from anemia,\and my father was out...\Apologize! You're a disgrace to all men, making a girl wait!\Never make a girl wait, even if it means abandoning your parents!\Die! Die as your apology to her!\It's okay! response:	Don't worry about it anymore!
context: I guess I had fun being with you.\I'm sorry! Just as I was leaving, my mom collapsed from anemia,\and my father was out...\Apologize! You're a disgrace to all men, making a girl wait!\Never make a girl wait, even if it means abandoning your parents!\Die! Die as your apology to her!\It's okay!\Don't worry about it anymore! response:	So she says.
context: I'm sorry! Just as I was leaving, my mom collapsed from anemia,\and my father was out...\Apologize! You're a disgrace to all men, making a girl wait!\Never make a girl wait, even if it means abandoning your parents!\Die! Die as your apology to her!\It's okay!\Don't worry about it anymore!\So she says. response:	He did that on purpose.
context: and my father was out...\Apologize! You're a disgrace to all men, making a girl wait!\Never make a girl wait, even if it means abandoning your parents!\Die! Die as your apology to her!\It's okay!\Don't worry about it anymore!\So she says.\He did that on purpose. response:	He put on that performance so there wouldn't be any hard feelings left over between us.
context: Apologize! You're a disgrace to all men, making a girl wait!\Never make a girl wait, even if it means abandoning your parents!\Die! Die as your apology to her!\It's okay!\Don't worry about it anymore!\So she says.\He did that on purpose.\He put on that performance so there wouldn't be any hard feelings left over between us. response:	Still, that was dangerous.
context: Never make a girl wait, even if it means abandoning your parents!\Die! Die as your apology to her!\It's okay!\Don't worry about it anymore!\So she says.\He did that on purpose.\He put on that performance so there wouldn't be any hard feelings left over between us.\Still, that was dangerous. response:	I thought he was a jerk at first...
context: Die! Die as your apology to her!\It's okay!\Don't worry about it anymore!\So she says.\He did that on purpose.\He put on that performance so there wouldn't be any hard feelings left over between us.\Still, that was dangerous.\I thought he was a jerk at first... response:	Why the heck are you here?
context: It's okay!\Don't worry about it anymore!\So she says.\He did that on purpose.\He put on that performance so there wouldn't be any hard feelings left over between us.\Still, that was dangerous.\I thought he was a jerk at first...\Why the heck are you here? response:	I slept over at Arima's place last night.
context: Don't worry about it anymore!\So she says.\He did that on purpose.\He put on that performance so there wouldn't be any hard feelings left over between us.\Still, that was dangerous.\I thought he was a jerk at first...\Why the heck are you here?\I slept over at Arima's place last night. response:	You're even going over to his house?
context: So she says.\He did that on purpose.\He put on that performance so there wouldn't be any hard feelings left over between us.\Still, that was dangerous.\I thought he was a jerk at first...\Why the heck are you here?\I slept over at Arima's place last night.\You're even going over to his house? response:	Right before we went to sleep, Arima told me all about what you did that day...
context: He did that on purpose.\He put on that performance so there wouldn't be any hard feelings left over between us.\Still, that was dangerous.\I thought he was a jerk at first...\Why the heck are you here?\I slept over at Arima's place last night.\You're even going over to his house?\Right before we went to sleep, Arima told me all about what you did that day... response:	He's so cute!
context: He put on that performance so there wouldn't be any hard feelings left over between us.\Still, that was dangerous.\I thought he was a jerk at first...\Why the heck are you here?\I slept over at Arima's place last night.\You're even going over to his house?\Right before we went to sleep, Arima told me all about what you did that day...\He's so cute! response:	He's so innocent...
context: Still, that was dangerous.\I thought he was a jerk at first...\Why the heck are you here?\I slept over at Arima's place last night.\You're even going over to his house?\Right before we went to sleep, Arima told me all about what you did that day...\He's so cute!\He's so innocent... response:	SHUT UP! Shut up, shut up, shut the hell up!
context: I thought he was a jerk at first...\Why the heck are you here?\I slept over at Arima's place last night.\You're even going over to his house?\Right before we went to sleep, Arima told me all about what you did that day...\He's so cute!\He's so innocent...\SHUT UP! Shut up, shut up, shut the hell up! response:	Anyway, I made a new friend.
context: Why the heck are you here?\I slept over at Arima's place last night.\You're even going over to his house?\Right before we went to sleep, Arima told me all about what you did that day...\He's so cute!\He's so innocent...\SHUT UP! Shut up, shut up, shut the hell up!\Anyway, I made a new friend. response:	What'll happen next!
context: I slept over at Arima's place last night.\You're even going over to his house?\Right before we went to sleep, Arima told me all about what you did that day...\He's so cute!\He's so innocent...\SHUT UP! Shut up, shut up, shut the hell up!\Anyway, I made a new friend.\What'll happen next! response:	Sis has made a new friend and
context: You're even going over to his house?\Right before we went to sleep, Arima told me all about what you did that day...\He's so cute!\He's so innocent...\SHUT UP! Shut up, shut up, shut the hell up!\Anyway, I made a new friend.\What'll happen next!\Sis has made a new friend and response:	has finally obtained happiness.
context: Right before we went to sleep, Arima told me all about what you did that day...\He's so cute!\He's so innocent...\SHUT UP! Shut up, shut up, shut the hell up!\Anyway, I made a new friend.\What'll happen next!\Sis has made a new friend and\has finally obtained happiness. response:	She and Arima make up for
context: He's so cute!\He's so innocent...\SHUT UP! Shut up, shut up, shut the hell up!\Anyway, I made a new friend.\What'll happen next!\Sis has made a new friend and\has finally obtained happiness.\She and Arima make up for response:	their failed first date!
context: He's so innocent...\SHUT UP! Shut up, shut up, shut the hell up!\Anyway, I made a new friend.\What'll happen next!\Sis has made a new friend and\has finally obtained happiness.\She and Arima make up for\their failed first date! response:	And has the time of fate finally arrived?!
context: SHUT UP! Shut up, shut up, shut the hell up!\Anyway, I made a new friend.\What'll happen next!\Sis has made a new friend and\has finally obtained happiness.\She and Arima make up for\their failed first date!\And has the time of fate finally arrived?! response:	Next time on KareKano: Your Voice That Changes Me.
context: Anyway, I made a new friend.\What'll happen next!\Sis has made a new friend and\has finally obtained happiness.\She and Arima make up for\their failed first date!\And has the time of fate finally arrived?!\Next time on KareKano: Your Voice That Changes Me. response:	It's so embarassing!
