context: I don't see you up this early very often, Ichika. response:	Although I'm still the last one of the five of us.
context: You too, Nino.\Wh-Why me?\Let's give it everything we've got.\Let's do this!\Yeah!\Yeah...\Social Studies\So many difficult questions. response:	Ashikaga hTakauji
context: Wh-Why me?\Let's give it everything we've got.\Let's do this!\Yeah!\Yeah...\Social Studies\So many difficult questions.\Ashikaga hTakauji response:	Emperor hGo-Komatsu
context: Let's give it everything we've got.\Let's do this!\Yeah!\Yeah...\Social Studies\So many difficult questions.\Ashikaga hTakauji\Emperor hGo-Komatsu response:	Ashikaga hYoshimasa
context: Let's do this!\Yeah!\Yeah...\Social Studies\So many difficult questions.\Ashikaga hTakauji\Emperor hGo-Komatsu\Ashikaga hYoshimasa response:	Hosokawa
context: Yeah!\Yeah...\Social Studies\So many difficult questions.\Ashikaga hTakauji\Emperor hGo-Komatsu\Ashikaga hYoshimasa\Hosokawa response:	I can do history, though.
context: Yeah...\Social Studies\So many difficult questions.\Ashikaga hTakauji\Emperor hGo-Komatsu\Ashikaga hYoshimasa\Hosokawa\I can do history, though. response:	I wonder what Futaro would say if I got a better grade than him.
context: Social Studies\So many difficult questions.\Ashikaga hTakauji\Emperor hGo-Komatsu\Ashikaga hYoshimasa\Hosokawa\I can do history, though.\I wonder what Futaro would say if I got a better grade than him. response:	Japanese
context: So many difficult questions.\Ashikaga hTakauji\Emperor hGo-Komatsu\Ashikaga hYoshimasa\Hosokawa\I can do history, though.\I wonder what Futaro would say if I got a better grade than him.\Japanese response:	I remember!
context: Ashikaga hTakauji\Emperor hGo-Komatsu\Ashikaga hYoshimasa\Hosokawa\I can do history, though.\I wonder what Futaro would say if I got a better grade than him.\Japanese\I remember! response:	For multiple choice questions with five answers, the fourth one's often right.
context: Emperor hGo-Komatsu\Ashikaga hYoshimasa\Hosokawa\I can do history, though.\I wonder what Futaro would say if I got a better grade than him.\Japanese\I remember!\For multiple choice questions with five answers, the fourth one's often right. response:	English
context: Ashikaga hYoshimasa\Hosokawa\I can do history, though.\I wonder what Futaro would say if I got a better grade than him.\Japanese\I remember!\For multiple choice questions with five answers, the fourth one's often right.\English response:	Synonym for argument...
context: Hosokawa\I can do history, though.\I wonder what Futaro would say if I got a better grade than him.\Japanese\I remember!\For multiple choice questions with five answers, the fourth one's often right.\English\Synonym for argument... response:	I don't know. Next.
context: I can do history, though.\I wonder what Futaro would say if I got a better grade than him.\Japanese\I remember!\For multiple choice questions with five answers, the fourth one's often right.\English\Synonym for argument...\I don't know. Next. response:	Remember it as de-ba-te.
context: I wonder what Futaro would say if I got a better grade than him.\Japanese\I remember!\For multiple choice questions with five answers, the fourth one's often right.\English\Synonym for argument...\I don't know. Next.\Remember it as de-ba-te. response:	I never asked you to teach me.
context: Japanese\I remember!\For multiple choice questions with five answers, the fourth one's often right.\English\Synonym for argument...\I don't know. Next.\Remember it as de-ba-te.\I never asked you to teach me. response:	Math
context: I remember!\For multiple choice questions with five answers, the fourth one's often right.\English\Synonym for argument...\I don't know. Next.\Remember it as de-ba-te.\I never asked you to teach me.\Math response:	Done.
context: For multiple choice questions with five answers, the fourth one's often right.\English\Synonym for argument...\I don't know. Next.\Remember it as de-ba-te.\I never asked you to teach me.\Math\Done. response:	I think that about does it.
context: English\Synonym for argument...\I don't know. Next.\Remember it as de-ba-te.\I never asked you to teach me.\Math\Done.\I think that about does it. response:	Good night.
context: Synonym for argument...\I don't know. Next.\Remember it as de-ba-te.\I never asked you to teach me.\Math\Done.\I think that about does it.\Good night. response:	I guess I can check over my equations.
context: I don't know. Next.\Remember it as de-ba-te.\I never asked you to teach me.\Math\Done.\I think that about does it.\Good night.\I guess I can check over my equations. response:	Science
context: Remember it as de-ba-te.\I never asked you to teach me.\Math\Done.\I think that about does it.\Good night.\I guess I can check over my equations.\Science response:	I won't let you quit.
context: I never asked you to teach me.\Math\Done.\I think that about does it.\Good night.\I guess I can check over my equations.\Science\I won't let you quit. response:	What do you mean?
context: Math\Done.\I think that about does it.\Good night.\I guess I can check over my equations.\Science\I won't let you quit.\What do you mean? response:	I told him earlier that if any of you fail the exams,
context: Done.\I think that about does it.\Good night.\I guess I can check over my equations.\Science\I won't let you quit.\What do you mean?\I told him earlier that if any of you fail the exams, response:	I'll have him step down.
context: I think that about does it.\Good night.\I guess I can check over my equations.\Science\I won't let you quit.\What do you mean?\I told him earlier that if any of you fail the exams,\I'll have him step down. response:	This is for Raiha-chan's sake.
context: Good night.\I guess I can check over my equations.\Science\I won't let you quit.\What do you mean?\I told him earlier that if any of you fail the exams,\I'll have him step down.\This is for Raiha-chan's sake. response:	Just to be clear.
context: I guess I can check over my equations.\Science\I won't let you quit.\What do you mean?\I told him earlier that if any of you fail the exams,\I'll have him step down.\This is for Raiha-chan's sake.\Just to be clear. response:	I'm counting on you, guys.
context: Science\I won't let you quit.\What do you mean?\I told him earlier that if any of you fail the exams,\I'll have him step down.\This is for Raiha-chan's sake.\Just to be clear.\I'm counting on you, guys. response:	Midterms
context: I won't let you quit.\What do you mean?\I told him earlier that if any of you fail the exams,\I'll have him step down.\This is for Raiha-chan's sake.\Just to be clear.\I'm counting on you, guys.\Midterms response:	Midterm exam results!
context: What do you mean?\I told him earlier that if any of you fail the exams,\I'll have him step down.\This is for Raiha-chan's sake.\Just to be clear.\I'm counting on you, guys.\Midterms\Midterm exam results! response:	Curry Day
context: I told him earlier that if any of you fail the exams,\I'll have him step down.\This is for Raiha-chan's sake.\Just to be clear.\I'm counting on you, guys.\Midterms\Midterm exam results!\Curry Day response:	Library
context: I'll have him step down.\This is for Raiha-chan's sake.\Just to be clear.\I'm counting on you, guys.\Midterms\Midterm exam results!\Curry Day\Library response:	Hey.
context: This is for Raiha-chan's sake.\Just to be clear.\I'm counting on you, guys.\Midterms\Midterm exam results!\Curry Day\Library\Hey. response:	Thanks for gathering here.
context: Just to be clear.\I'm counting on you, guys.\Midterms\Midterm exam results!\Curry Day\Library\Hey.\Thanks for gathering here. response:	What's wrong?
context: I'm counting on you, guys.\Midterms\Midterm exam results!\Curry Day\Library\Hey.\Thanks for gathering here.\What's wrong? response:	Why so formal?
context: Midterms\Midterm exam results!\Curry Day\Library\Hey.\Thanks for gathering here.\What's wrong?\Why so formal? response:	The midterm results...
context: Midterm exam results!\Curry Day\Library\Hey.\Thanks for gathering here.\What's wrong?\Why so formal?\The midterm results... response:	Can you teach us the parts we got wrong?
context: Curry Day\Library\Hey.\Thanks for gathering here.\What's wrong?\Why so formal?\The midterm results...\Can you teach us the parts we got wrong? response:	Yeah.
context: Library\Hey.\Thanks for gathering here.\What's wrong?\Why so formal?\The midterm results...\Can you teach us the parts we got wrong?\Yeah. response:	But first, can you show me your results?
context: Hey.\Thanks for gathering here.\What's wrong?\Why so formal?\The midterm results...\Can you teach us the parts we got wrong?\Yeah.\But first, can you show me your results? response:	Sure thing.
context: Thanks for gathering here.\What's wrong?\Why so formal?\The midterm results...\Can you teach us the parts we got wrong?\Yeah.\But first, can you show me your results?\Sure thing. response:	I would prefer not to.
context: What's wrong?\Why so formal?\The midterm results...\Can you teach us the parts we got wrong?\Yeah.\But first, can you show me your results?\Sure thing.\I would prefer not to. response:	It's personal information.
context: Why so formal?\The midterm results...\Can you teach us the parts we got wrong?\Yeah.\But first, can you show me your results?\Sure thing.\I would prefer not to.\It's personal information. response:	I absolutely refuse.
context: The midterm results...\Can you teach us the parts we got wrong?\Yeah.\But first, can you show me your results?\Sure thing.\I would prefer not to.\It's personal information.\I absolutely refuse. response:	Itsuki-chan?
context: Can you teach us the parts we got wrong?\Yeah.\But first, can you show me your results?\Sure thing.\I would prefer not to.\It's personal information.\I absolutely refuse.\Itsuki-chan? response:	Thanks.
context: Yeah.\But first, can you show me your results?\Sure thing.\I would prefer not to.\It's personal information.\I absolutely refuse.\Itsuki-chan?\Thanks. response:	I'm prepared, though.
context: But first, can you show me your results?\Sure thing.\I would prefer not to.\It's personal information.\I absolutely refuse.\Itsuki-chan?\Thanks.\I'm prepared, though. response:	Tell me how it went.
context: Sure thing.\I would prefer not to.\It's personal information.\I absolutely refuse.\Itsuki-chan?\Thanks.\I'm prepared, though.\Tell me how it went. response:	Nakano Yotsuba Japanese Math Science Social Studies English Total hhhhhh30 hhhhhhhhh09hhhhhhhh18hhhhhhhhhhhhhhhh22hhhhhhhhhhhhhhhh16 hhhhhhh95
context: I would prefer not to.\It's personal information.\I absolutely refuse.\Itsuki-chan?\Thanks.\I'm prepared, though.\Tell me how it went.\Nakano Yotsuba Japanese Math Science Social Studies English Total hhhhhh30 hhhhhhhhh09hhhhhhhh18hhhhhhhhhhhhhhhh22hhhhhhhhhhhhhhhh16 hhhhhhh95 response:	Ta-da.
context: It's personal information.\I absolutely refuse.\Itsuki-chan?\Thanks.\I'm prepared, though.\Tell me how it went.\Nakano Yotsuba Japanese Math Science Social Studies English Total hhhhhh30 hhhhhhhhh09hhhhhhhh18hhhhhhhhhhhhhhhh22hhhhhhhhhhhhhhhh16 hhhhhhh95\Ta-da. response:	I guessed right on Japanese and scored a 30.
context: I absolutely refuse.\Itsuki-chan?\Thanks.\I'm prepared, though.\Tell me how it went.\Nakano Yotsuba Japanese Math Science Social Studies English Total hhhhhh30 hhhhhhhhh09hhhhhhhh18hhhhhhhhhhhhhhhh22hhhhhhhhhhhhhhhh16 hhhhhhh95\Ta-da.\I guessed right on Japanese and scored a 30. response:	I've never gotten such grades before!
context: Itsuki-chan?\Thanks.\I'm prepared, though.\Tell me how it went.\Nakano Yotsuba Japanese Math Science Social Studies English Total hhhhhh30 hhhhhhhhh09hhhhhhhh18hhhhhhhhhhhhhhhh22hhhhhhhhhhhhhhhh16 hhhhhhh95\Ta-da.\I guessed right on Japanese and scored a 30.\I've never gotten such grades before! response:	Nakano Miku Japanese Math Science Social Studies English Total hhhhhh25 hhhhhhhhhh29hhhhhhh27hhhhhhhhhhhhhhhh 68hhhhhhhhhhhhhhhh 13 hhhhhh162
context: Thanks.\I'm prepared, though.\Tell me how it went.\Nakano Yotsuba Japanese Math Science Social Studies English Total hhhhhh30 hhhhhhhhh09hhhhhhhh18hhhhhhhhhhhhhhhh22hhhhhhhhhhhhhhhh16 hhhhhhh95\Ta-da.\I guessed right on Japanese and scored a 30.\I've never gotten such grades before!\Nakano Miku Japanese Math Science Social Studies English Total hhhhhh25 hhhhhhhhhh29hhhhhhh27hhhhhhhhhhhhhhhh 68hhhhhhhhhhhhhhhh 13 hhhhhh162 response:	I got 68 in social studies.
context: I'm prepared, though.\Tell me how it went.\Nakano Yotsuba Japanese Math Science Social Studies English Total hhhhhh30 hhhhhhhhh09hhhhhhhh18hhhhhhhhhhhhhhhh22hhhhhhhhhhhhhhhh16 hhhhhhh95\Ta-da.\I guessed right on Japanese and scored a 30.\I've never gotten such grades before!\Nakano Miku Japanese Math Science Social Studies English Total hhhhhh25 hhhhhhhhhh29hhhhhhh27hhhhhhhhhhhhhhhh 68hhhhhhhhhhhhhhhh 13 hhhhhh162\I got 68 in social studies. response:	I just barely failed the rest.
context: Tell me how it went.\Nakano Yotsuba Japanese Math Science Social Studies English Total hhhhhh30 hhhhhhhhh09hhhhhhhh18hhhhhhhhhhhhhhhh22hhhhhhhhhhhhhhhh16 hhhhhhh95\Ta-da.\I guessed right on Japanese and scored a 30.\I've never gotten such grades before!\Nakano Miku Japanese Math Science Social Studies English Total hhhhhh25 hhhhhhhhhh29hhhhhhh27hhhhhhhhhhhhhhhh 68hhhhhhhhhhhhhhhh 13 hhhhhh162\I got 68 in social studies.\I just barely failed the rest. response:	Sucks.
context: Nakano Yotsuba Japanese Math Science Social Studies English Total hhhhhh30 hhhhhhhhh09hhhhhhhh18hhhhhhhhhhhhhhhh22hhhhhhhhhhhhhhhh16 hhhhhhh95\Ta-da.\I guessed right on Japanese and scored a 30.\I've never gotten such grades before!\Nakano Miku Japanese Math Science Social Studies English Total hhhhhh25 hhhhhhhhhh29hhhhhhh27hhhhhhhhhhhhhhhh 68hhhhhhhhhhhhhhhh 13 hhhhhh162\I got 68 in social studies.\I just barely failed the rest.\Sucks. response:	Nakano Ichika Japanese Math Science Social Studies English Total hhhhhh19 hhhhhhhhhh39hhhhhhhh 26hhhhhhhhhhhhhhh15hhhhhhhhhhhhhhhhh28hhhhhh 127
context: Ta-da.\I guessed right on Japanese and scored a 30.\I've never gotten such grades before!\Nakano Miku Japanese Math Science Social Studies English Total hhhhhh25 hhhhhhhhhh29hhhhhhh27hhhhhhhhhhhhhhhh 68hhhhhhhhhhhhhhhh 13 hhhhhh162\I got 68 in social studies.\I just barely failed the rest.\Sucks.\Nakano Ichika Japanese Math Science Social Studies English Total hhhhhh19 hhhhhhhhhh39hhhhhhhh 26hhhhhhhhhhhhhhh15hhhhhhhhhhhhhhhhh28hhhhhh 127 response:	I think that's the best I can do for now.
context: I guessed right on Japanese and scored a 30.\I've never gotten such grades before!\Nakano Miku Japanese Math Science Social Studies English Total hhhhhh25 hhhhhhhhhh29hhhhhhh27hhhhhhhhhhhhhhhh 68hhhhhhhhhhhhhhhh 13 hhhhhh162\I got 68 in social studies.\I just barely failed the rest.\Sucks.\Nakano Ichika Japanese Math Science Social Studies English Total hhhhhh19 hhhhhhhhhh39hhhhhhhh 26hhhhhhhhhhhhhhh15hhhhhhhhhhhhhhhhh28hhhhhh 127\I think that's the best I can do for now. response:	Nakano Nino Japanese Math Science Social Studies English Total hhhhhh15hhhhhhhhh19hhhhhhhh28hhhhhhhhhhhhhhhh14hhhhhhhhhhhhhhhh 43hhhhhhh119
context: I've never gotten such grades before!\Nakano Miku Japanese Math Science Social Studies English Total hhhhhh25 hhhhhhhhhh29hhhhhhh27hhhhhhhhhhhhhhhh 68hhhhhhhhhhhhhhhh 13 hhhhhh162\I got 68 in social studies.\I just barely failed the rest.\Sucks.\Nakano Ichika Japanese Math Science Social Studies English Total hhhhhh19 hhhhhhhhhh39hhhhhhhh 26hhhhhhhhhhhhhhh15hhhhhhhhhhhhhhhhh28hhhhhh 127\I think that's the best I can do for now.\Nakano Nino Japanese Math Science Social Studies English Total hhhhhh15hhhhhhhhh19hhhhhhhh28hhhhhhhhhhhhhhhh14hhhhhhhhhhhhhhhh 43hhhhhhh119 response:	I failed Japanese, math, science, and social studies.
context: Nakano Miku Japanese Math Science Social Studies English Total hhhhhh25 hhhhhhhhhh29hhhhhhh27hhhhhhhhhhhhhhhh 68hhhhhhhhhhhhhhhh 13 hhhhhh162\I got 68 in social studies.\I just barely failed the rest.\Sucks.\Nakano Ichika Japanese Math Science Social Studies English Total hhhhhh19 hhhhhhhhhh39hhhhhhhh 26hhhhhhhhhhhhhhh15hhhhhhhhhhhhhhhhh28hhhhhh 127\I think that's the best I can do for now.\Nakano Nino Japanese Math Science Social Studies English Total hhhhhh15hhhhhhhhh19hhhhhhhh28hhhhhhhhhhhhhhhh14hhhhhhhhhhhhhhhh 43hhhhhhh119\I failed Japanese, math, science, and social studies. response:	Just so you know, I was trying my best.
context: I got 68 in social studies.\I just barely failed the rest.\Sucks.\Nakano Ichika Japanese Math Science Social Studies English Total hhhhhh19 hhhhhhhhhh39hhhhhhhh 26hhhhhhhhhhhhhhh15hhhhhhhhhhhhhhhhh28hhhhhh 127\I think that's the best I can do for now.\Nakano Nino Japanese Math Science Social Studies English Total hhhhhh15hhhhhhhhh19hhhhhhhh28hhhhhhhhhhhhhhhh14hhhhhhhhhhhhhhhh 43hhhhhhh119\I failed Japanese, math, science, and social studies.\Just so you know, I was trying my best. response:	Nakano Itsuki Japanese Math Science Social Studies English Total hhhhhh27hhhhhhhhhh22hhhhhhh 56hhhhhhhhhhhhhhhh 20hhhhhhhhhhhhhhhhh23hhhhhh 148
context: I just barely failed the rest.\Sucks.\Nakano Ichika Japanese Math Science Social Studies English Total hhhhhh19 hhhhhhhhhh39hhhhhhhh 26hhhhhhhhhhhhhhh15hhhhhhhhhhhhhhhhh28hhhhhh 127\I think that's the best I can do for now.\Nakano Nino Japanese Math Science Social Studies English Total hhhhhh15hhhhhhhhh19hhhhhhhh28hhhhhhhhhhhhhhhh14hhhhhhhhhhhhhhhh 43hhhhhhh119\I failed Japanese, math, science, and social studies.\Just so you know, I was trying my best.\Nakano Itsuki Japanese Math Science Social Studies English Total hhhhhh27hhhhhhhhhh22hhhhhhh 56hhhhhhhhhhhhhhhh 20hhhhhhhhhhhhhhhhh23hhhhhh 148 response:	Unfortunately, the science exam was the only one I passed, with 56.
context: Sucks.\Nakano Ichika Japanese Math Science Social Studies English Total hhhhhh19 hhhhhhhhhh39hhhhhhhh 26hhhhhhhhhhhhhhh15hhhhhhhhhhhhhhhhh28hhhhhh 127\I think that's the best I can do for now.\Nakano Nino Japanese Math Science Social Studies English Total hhhhhh15hhhhhhhhh19hhhhhhhh28hhhhhhhhhhhhhhhh14hhhhhhhhhhhhhhhh 43hhhhhhh119\I failed Japanese, math, science, and social studies.\Just so you know, I was trying my best.\Nakano Itsuki Japanese Math Science Social Studies English Total hhhhhh27hhhhhhhhhh22hhhhhhh 56hhhhhhhhhhhhhhhh 20hhhhhhhhhhhhhhhhh23hhhhhh 148\Unfortunately, the science exam was the only one I passed, with 56. response:	Yay!
context: Nakano Ichika Japanese Math Science Social Studies English Total hhhhhh19 hhhhhhhhhh39hhhhhhhh 26hhhhhhhhhhhhhhh15hhhhhhhhhhhhhhhhh28hhhhhh 127\I think that's the best I can do for now.\Nakano Nino Japanese Math Science Social Studies English Total hhhhhh15hhhhhhhhh19hhhhhhhh28hhhhhhhhhhhhhhhh14hhhhhhhhhhhhhhhh 43hhhhhhh119\I failed Japanese, math, science, and social studies.\Just so you know, I was trying my best.\Nakano Itsuki Japanese Math Science Social Studies English Total hhhhhh27hhhhhhhhhh22hhhhhhh 56hhhhhhhhhhhhhhhh 20hhhhhhhhhhhhhhhhh23hhhhhh 148\Unfortunately, the science exam was the only one I passed, with 56.\Yay! response:	Damn it...
context: I think that's the best I can do for now.\Nakano Nino Japanese Math Science Social Studies English Total hhhhhh15hhhhhhhhh19hhhhhhhh28hhhhhhhhhhhhhhhh14hhhhhhhhhhhhhhhh 43hhhhhhh119\I failed Japanese, math, science, and social studies.\Just so you know, I was trying my best.\Nakano Itsuki Japanese Math Science Social Studies English Total hhhhhh27hhhhhhhhhh22hhhhhhh 56hhhhhhhhhhhhhhhh 20hhhhhhhhhhhhhhhhh23hhhhhh 148\Unfortunately, the science exam was the only one I passed, with 56.\Yay!\Damn it... response:	It's depressing being reminded of how stupid you all are.
context: Nakano Nino Japanese Math Science Social Studies English Total hhhhhh15hhhhhhhhh19hhhhhhhh28hhhhhhhhhhhhhhhh14hhhhhhhhhhhhhhhh 43hhhhhhh119\I failed Japanese, math, science, and social studies.\Just so you know, I was trying my best.\Nakano Itsuki Japanese Math Science Social Studies English Total hhhhhh27hhhhhhhhhh22hhhhhhh 56hhhhhhhhhhhhhhhh 20hhhhhhhhhhhhhhhhh23hhhhhh 148\Unfortunately, the science exam was the only one I passed, with 56.\Yay!\Damn it...\It's depressing being reminded of how stupid you all are. response:	Shut up.
context: I failed Japanese, math, science, and social studies.\Just so you know, I was trying my best.\Nakano Itsuki Japanese Math Science Social Studies English Total hhhhhh27hhhhhhhhhh22hhhhhhh 56hhhhhhhhhhhhhhhh 20hhhhhhhhhhhhhhhhh23hhhhhh 148\Unfortunately, the science exam was the only one I passed, with 56.\Yay!\Damn it...\It's depressing being reminded of how stupid you all are.\Shut up. response:	But well, it's so like us to each pass a different subject.
context: Just so you know, I was trying my best.\Nakano Itsuki Japanese Math Science Social Studies English Total hhhhhh27hhhhhhhhhh22hhhhhhh 56hhhhhhhhhhhhhhhh 20hhhhhhhhhhhhhhhhh23hhhhhh 148\Unfortunately, the science exam was the only one I passed, with 56.\Yay!\Damn it...\It's depressing being reminded of how stupid you all are.\Shut up.\But well, it's so like us to each pass a different subject. response:	That's true.
context: Nakano Itsuki Japanese Math Science Social Studies English Total hhhhhh27hhhhhhhhhh22hhhhhhh 56hhhhhhhhhhhhhhhh 20hhhhhhhhhhhhhhhhh23hhhhhh 148\Unfortunately, the science exam was the only one I passed, with 56.\Yay!\Damn it...\It's depressing being reminded of how stupid you all are.\Shut up.\But well, it's so like us to each pass a different subject.\That's true. response:	And compared to when we scored a hundred combined...
context: Unfortunately, the science exam was the only one I passed, with 56.\Yay!\Damn it...\It's depressing being reminded of how stupid you all are.\Shut up.\But well, it's so like us to each pass a different subject.\That's true.\And compared to when we scored a hundred combined... response:	Yeah.
context: Yay!\Damn it...\It's depressing being reminded of how stupid you all are.\Shut up.\But well, it's so like us to each pass a different subject.\That's true.\And compared to when we scored a hundred combined...\Yeah. response:	You've certainly made progress.
context: Damn it...\It's depressing being reminded of how stupid you all are.\Shut up.\But well, it's so like us to each pass a different subject.\That's true.\And compared to when we scored a hundred combined...\Yeah.\You've certainly made progress. response:	Miku.
context: It's depressing being reminded of how stupid you all are.\Shut up.\But well, it's so like us to each pass a different subject.\That's true.\And compared to when we scored a hundred combined...\Yeah.\You've certainly made progress.\Miku. response:	Getting a 68 on an exam as hard as this one is impressive,
context: Shut up.\But well, it's so like us to each pass a different subject.\That's true.\And compared to when we scored a hundred combined...\Yeah.\You've certainly made progress.\Miku.\Getting a 68 on an exam as hard as this one is impressive, response:	even your scores are lopsided.
context: But well, it's so like us to each pass a different subject.\That's true.\And compared to when we scored a hundred combined...\Yeah.\You've certainly made progress.\Miku.\Getting a 68 on an exam as hard as this one is impressive,\even your scores are lopsided. response:	You can be confident in teaching your sisters what you know.
context: That's true.\And compared to when we scored a hundred combined...\Yeah.\You've certainly made progress.\Miku.\Getting a 68 on an exam as hard as this one is impressive,\even your scores are lopsided.\You can be confident in teaching your sisters what you know. response:	Yotsuba, you make a lot of careless mistakes.
context: And compared to when we scored a hundred combined...\Yeah.\You've certainly made progress.\Miku.\Getting a 68 on an exam as hard as this one is impressive,\even your scores are lopsided.\You can be confident in teaching your sisters what you know.\Yotsuba, you make a lot of careless mistakes. response:	What a waste.
context: Yeah.\You've certainly made progress.\Miku.\Getting a 68 on an exam as hard as this one is impressive,\even your scores are lopsided.\You can be confident in teaching your sisters what you know.\Yotsuba, you make a lot of careless mistakes.\What a waste. response:	Stay calm and don't rush things.
context: You've certainly made progress.\Miku.\Getting a 68 on an exam as hard as this one is impressive,\even your scores are lopsided.\You can be confident in teaching your sisters what you know.\Yotsuba, you make a lot of careless mistakes.\What a waste.\Stay calm and don't rush things. response:	Yes, sir.
context: Miku.\Getting a 68 on an exam as hard as this one is impressive,\even your scores are lopsided.\You can be confident in teaching your sisters what you know.\Yotsuba, you make a lot of careless mistakes.\What a waste.\Stay calm and don't rush things.\Yes, sir. response:	Ichika.
context: Getting a 68 on an exam as hard as this one is impressive,\even your scores are lopsided.\You can be confident in teaching your sisters what you know.\Yotsuba, you make a lot of careless mistakes.\What a waste.\Stay calm and don't rush things.\Yes, sir.\Ichika. response:	You need to spend more time on each problem.
context: even your scores are lopsided.\You can be confident in teaching your sisters what you know.\Yotsuba, you make a lot of careless mistakes.\What a waste.\Stay calm and don't rush things.\Yes, sir.\Ichika.\You need to spend more time on each problem. response:	Don't give up until the end.
context: You can be confident in teaching your sisters what you know.\Yotsuba, you make a lot of careless mistakes.\What a waste.\Stay calm and don't rush things.\Yes, sir.\Ichika.\You need to spend more time on each problem.\Don't give up until the end. response:	Fine.
context: Yotsuba, you make a lot of careless mistakes.\What a waste.\Stay calm and don't rush things.\Yes, sir.\Ichika.\You need to spend more time on each problem.\Don't give up until the end.\Fine. response:	Nino.
context: What a waste.\Stay calm and don't rush things.\Yes, sir.\Ichika.\You need to spend more time on each problem.\Don't give up until the end.\Fine.\Nino. response:	You never listened to me till the very end.
context: Stay calm and don't rush things.\Yes, sir.\Ichika.\You need to spend more time on each problem.\Don't give up until the end.\Fine.\Nino.\You never listened to me till the very end. response:	Don't slack off just because I won't be coming anymore.
context: Yes, sir.\Ichika.\You need to spend more time on each problem.\Don't give up until the end.\Fine.\Nino.\You never listened to me till the very end.\Don't slack off just because I won't be coming anymore. response:	Futaro, what do you mean, you won't be coming anymore?
context: Ichika.\You need to spend more time on each problem.\Don't give up until the end.\Fine.\Nino.\You never listened to me till the very end.\Don't slack off just because I won't be coming anymore.\Futaro, what do you mean, you won't be coming anymore? response:	Miku, let's hear him out.
context: You need to spend more time on each problem.\Don't give up until the end.\Fine.\Nino.\You never listened to me till the very end.\Don't slack off just because I won't be coming anymore.\Futaro, what do you mean, you won't be coming anymore?\Miku, let's hear him out. response:	Itsuki...
context: Don't give up until the end.\Fine.\Nino.\You never listened to me till the very end.\Don't slack off just because I won't be coming anymore.\Futaro, what do you mean, you won't be coming anymore?\Miku, let's hear him out.\Itsuki... response:	You're so...
context: Fine.\Nino.\You never listened to me till the very end.\Don't slack off just because I won't be coming anymore.\Futaro, what do you mean, you won't be coming anymore?\Miku, let's hear him out.\Itsuki...\You're so... response:	stupidly awkward!
context: Nino.\You never listened to me till the very end.\Don't slack off just because I won't be coming anymore.\Futaro, what do you mean, you won't be coming anymore?\Miku, let's hear him out.\Itsuki...\You're so...\stupidly awkward! response:	What?!
context: You never listened to me till the very end.\Don't slack off just because I won't be coming anymore.\Futaro, what do you mean, you won't be coming anymore?\Miku, let's hear him out.\Itsuki...\You're so...\stupidly awkward!\What?! response:	You obsessed over each question so much, you didn't even answer all of them.
context: Don't slack off just because I won't be coming anymore.\Futaro, what do you mean, you won't be coming anymore?\Miku, let's hear him out.\Itsuki...\You're so...\stupidly awkward!\What?!\You obsessed over each question so much, you didn't even answer all of them. response:	That's something I'm working on.
context: Futaro, what do you mean, you won't be coming anymore?\Miku, let's hear him out.\Itsuki...\You're so...\stupidly awkward!\What?!\You obsessed over each question so much, you didn't even answer all of them.\That's something I'm working on. response:	Just so long as you're aware.
context: Miku, let's hear him out.\Itsuki...\You're so...\stupidly awkward!\What?!\You obsessed over each question so much, you didn't even answer all of them.\That's something I'm working on.\Just so long as you're aware. response:	Be careful from now on.
context: Itsuki...\You're so...\stupidly awkward!\What?!\You obsessed over each question so much, you didn't even answer all of them.\That's something I'm working on.\Just so long as you're aware.\Be careful from now on. response:	Dad
context: You're so...\stupidly awkward!\What?!\You obsessed over each question so much, you didn't even answer all of them.\That's something I'm working on.\Just so long as you're aware.\Be careful from now on.\Dad response:	Incoming call
context: stupidly awkward!\What?!\You obsessed over each question so much, you didn't even answer all of them.\That's something I'm working on.\Just so long as you're aware.\Be careful from now on.\Dad\Incoming call response:	It's our father.
context: What?!\You obsessed over each question so much, you didn't even answer all of them.\That's something I'm working on.\Just so long as you're aware.\Be careful from now on.\Dad\Incoming call\It's our father. response:	Hello? Uesugi here.
context: You obsessed over each question so much, you didn't even answer all of them.\That's something I'm working on.\Just so long as you're aware.\Be careful from now on.\Dad\Incoming call\It's our father.\Hello? Uesugi here. response:	You were with Itsuki-kun, huh?
context: That's something I'm working on.\Just so long as you're aware.\Be careful from now on.\Dad\Incoming call\It's our father.\Hello? Uesugi here.\You were with Itsuki-kun, huh? response:	I thought I'd ask them each individually, but let's hear it from you.
context: Just so long as you're aware.\Be careful from now on.\Dad\Incoming call\It's our father.\Hello? Uesugi here.\You were with Itsuki-kun, huh?\I thought I'd ask them each individually, but let's hear it from you. response:	All right.
context: Be careful from now on.\Dad\Incoming call\It's our father.\Hello? Uesugi here.\You were with Itsuki-kun, huh?\I thought I'd ask them each individually, but let's hear it from you.\All right. response:	I'll know if you lie.
context: Dad\Incoming call\It's our father.\Hello? Uesugi here.\You were with Itsuki-kun, huh?\I thought I'd ask them each individually, but let's hear it from you.\All right.\I'll know if you lie. response:	I won't lie.
