context: Hot Summer Day response:	Spirits of the Dead
context: Souta.\I'm not going to help you anymore.\You have feelings for Inori after all, don't you?\If you feel that way, then tell me from the start!\I never know what you're thinking!\You're no better!\You're pushy, you have no tact, and you're oblivious to everyone around you!\That really bothers me about you. response:	I have a hard time dealing with you, Souta.
context: I'm not going to help you anymore.\You have feelings for Inori after all, don't you?\If you feel that way, then tell me from the start!\I never know what you're thinking!\You're no better!\You're pushy, you have no tact, and you're oblivious to everyone around you!\That really bothers me about you.\I have a hard time dealing with you, Souta. response:	He must hate me now. But that's fine.
context: You have feelings for Inori after all, don't you?\If you feel that way, then tell me from the start!\I never know what you're thinking!\You're no better!\You're pushy, you have no tact, and you're oblivious to everyone around you!\That really bothers me about you.\I have a hard time dealing with you, Souta.\He must hate me now. But that's fine. response:	I should've been honest from the start.
context: If you feel that way, then tell me from the start!\I never know what you're thinking!\You're no better!\You're pushy, you have no tact, and you're oblivious to everyone around you!\That really bothers me about you.\I have a hard time dealing with you, Souta.\He must hate me now. But that's fine.\I should've been honest from the start. response:	If he was my friend, anyway...
context: I never know what you're thinking!\You're no better!\You're pushy, you have no tact, and you're oblivious to everyone around you!\That really bothers me about you.\I have a hard time dealing with you, Souta.\He must hate me now. But that's fine.\I should've been honest from the start.\If he was my friend, anyway... response:	I figured as much.
context: You're no better!\You're pushy, you have no tact, and you're oblivious to everyone around you!\That really bothers me about you.\I have a hard time dealing with you, Souta.\He must hate me now. But that's fine.\I should've been honest from the start.\If he was my friend, anyway...\I figured as much. response:	Souta?
context: You're pushy, you have no tact, and you're oblivious to everyone around you!\That really bothers me about you.\I have a hard time dealing with you, Souta.\He must hate me now. But that's fine.\I should've been honest from the start.\If he was my friend, anyway...\I figured as much.\Souta? response:	I'm glad you gave it to me straight.
context: That really bothers me about you.\I have a hard time dealing with you, Souta.\He must hate me now. But that's fine.\I should've been honest from the start.\If he was my friend, anyway...\I figured as much.\Souta?\I'm glad you gave it to me straight. response:	I mean, you're always kind of distant, you know?
context: I have a hard time dealing with you, Souta.\He must hate me now. But that's fine.\I should've been honest from the start.\If he was my friend, anyway...\I figured as much.\Souta?\I'm glad you gave it to me straight.\I mean, you're always kind of distant, you know? response:	So...
context: He must hate me now. But that's fine.\I should've been honest from the start.\If he was my friend, anyway...\I figured as much.\Souta?\I'm glad you gave it to me straight.\I mean, you're always kind of distant, you know?\So... response:	The truth is, it was a little hard for me to deal with you, too.
context: I should've been honest from the start.\If he was my friend, anyway...\I figured as much.\Souta?\I'm glad you gave it to me straight.\I mean, you're always kind of distant, you know?\So...\The truth is, it was a little hard for me to deal with you, too. response:	So I'm glad that you were honest.
context: If he was my friend, anyway...\I figured as much.\Souta?\I'm glad you gave it to me straight.\I mean, you're always kind of distant, you know?\So...\The truth is, it was a little hard for me to deal with you, too.\So I'm glad that you were honest. response:	That means you've opened up to me, right?
context: I figured as much.\Souta?\I'm glad you gave it to me straight.\I mean, you're always kind of distant, you know?\So...\The truth is, it was a little hard for me to deal with you, too.\So I'm glad that you were honest.\That means you've opened up to me, right? response:	I know it's a little late to ask this, but... what are Voids?
context: Souta?\I'm glad you gave it to me straight.\I mean, you're always kind of distant, you know?\So...\The truth is, it was a little hard for me to deal with you, too.\So I'm glad that you were honest.\That means you've opened up to me, right?\I know it's a little late to ask this, but... what are Voids? response:	I don't really understand them yet, but I get the feeling I have to.
context: I'm glad you gave it to me straight.\I mean, you're always kind of distant, you know?\So...\The truth is, it was a little hard for me to deal with you, too.\So I'm glad that you were honest.\That means you've opened up to me, right?\I know it's a little late to ask this, but... what are Voids?\I don't really understand them yet, but I get the feeling I have to. response:	I mean, after all, my right hand is touching people's hearts.
context: I mean, you're always kind of distant, you know?\So...\The truth is, it was a little hard for me to deal with you, too.\So I'm glad that you were honest.\That means you've opened up to me, right?\I know it's a little late to ask this, but... what are Voids?\I don't really understand them yet, but I get the feeling I have to.\I mean, after all, my right hand is touching people's hearts. response:	Gai told me that Voids change along with the states of people's hearts.
context: So...\The truth is, it was a little hard for me to deal with you, too.\So I'm glad that you were honest.\That means you've opened up to me, right?\I know it's a little late to ask this, but... what are Voids?\I don't really understand them yet, but I get the feeling I have to.\I mean, after all, my right hand is touching people's hearts.\Gai told me that Voids change along with the states of people's hearts. response:	They do?
context: The truth is, it was a little hard for me to deal with you, too.\So I'm glad that you were honest.\That means you've opened up to me, right?\I know it's a little late to ask this, but... what are Voids?\I don't really understand them yet, but I get the feeling I have to.\I mean, after all, my right hand is touching people's hearts.\Gai told me that Voids change along with the states of people's hearts.\They do? response:	Oh...
context: So I'm glad that you were honest.\That means you've opened up to me, right?\I know it's a little late to ask this, but... what are Voids?\I don't really understand them yet, but I get the feeling I have to.\I mean, after all, my right hand is touching people's hearts.\Gai told me that Voids change along with the states of people's hearts.\They do?\Oh... response:	So does that mean if I form a bond with someone, my power changes too?
context: That means you've opened up to me, right?\I know it's a little late to ask this, but... what are Voids?\I don't really understand them yet, but I get the feeling I have to.\I mean, after all, my right hand is touching people's hearts.\Gai told me that Voids change along with the states of people's hearts.\They do?\Oh...\So does that mean if I form a bond with someone, my power changes too? response:	I'm yours
context: I know it's a little late to ask this, but... what are Voids?\I don't really understand them yet, but I get the feeling I have to.\I mean, after all, my right hand is touching people's hearts.\Gai told me that Voids change along with the states of people's hearts.\They do?\Oh...\So does that mean if I form a bond with someone, my power changes too?\I'm yours response:	I'm yours
context: I don't really understand them yet, but I get the feeling I have to.\I mean, after all, my right hand is touching people's hearts.\Gai told me that Voids change along with the states of people's hearts.\They do?\Oh...\So does that mean if I form a bond with someone, my power changes too?\I'm yours\I'm yours response:	I'm yours
context: I mean, after all, my right hand is touching people's hearts.\Gai told me that Voids change along with the states of people's hearts.\They do?\Oh...\So does that mean if I form a bond with someone, my power changes too?\I'm yours\I'm yours\I'm yours response:	and tries to hurt you with cruel words,
context: Gai told me that Voids change along with the states of people's hearts.\They do?\Oh...\So does that mean if I form a bond with someone, my power changes too?\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words, response:	even if the world does not try to believe you
context: They do?\Oh...\So does that mean if I form a bond with someone, my power changes too?\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you response:	and places a crown of thorns upon your head,
context: Oh...\So does that mean if I form a bond with someone, my power changes too?\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head, response:	I can take your side, and yours alone
context: So does that mean if I form a bond with someone, my power changes too?\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone response:	I know your pain and loneliness
context: I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness response:	So everything that makes me whole
context: I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole response:	I'll give that to you now
context: I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now response:	These days you love me no more
context: and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\These days you love me no more response:	nor am I still treasured by you
context: even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\These days you love me no more\nor am I still treasured by you response:	Now I am all alone
context: and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\These days you love me no more\nor am I still treasured by you\Now I am all alone response:	What did you tell me when we parted?
context: I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted? response:	The words hung in midair and never reached me
context: I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me response:	I know my dreams and wishes are illusory
context: So everything that makes me whole\I'll give that to you now\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: I'll give that to you now\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
context: What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender response:	These days you love me no more
context: The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more response:	nor am I still treasured by you
context: I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you response:	Now I am all alone
context: and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone response:	What did you tell me when we parted?
context: You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted? response:	The words hung in midair and never reached me
context: and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me response:	I know my dreams and wishes are illusory
context: Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
