context: You just can't stand to be on your own! response:	Who isn't alone in this society?
context: Yes.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Shimotsuki Mika. I've been assigned to the CID as of today.\Pleased to meet you!\Sorry, but the CID is very short on manpower.\I'll do what I can to help, but you'll have to hit the ground running.\I'm aware of that.\I'm looking forward to the work. response:	That's what I like to hear.
context: You've got rotten luck, having to deal with an incident right after getting posted.\I'm Shimotsuki Mika. I've been assigned to the CID as of today.\Pleased to meet you!\Sorry, but the CID is very short on manpower.\I'll do what I can to help, but you'll have to hit the ground running.\I'm aware of that.\I'm looking forward to the work.\That's what I like to hear. response:	That's...
context: I'm Shimotsuki Mika. I've been assigned to the CID as of today.\Pleased to meet you!\Sorry, but the CID is very short on manpower.\I'll do what I can to help, but you'll have to hit the ground running.\I'm aware of that.\I'm looking forward to the work.\That's what I like to hear.\That's... response:	The guys you're about to meet are humans just like us,
context: Pleased to meet you!\Sorry, but the CID is very short on manpower.\I'll do what I can to help, but you'll have to hit the ground running.\I'm aware of that.\I'm looking forward to the work.\That's what I like to hear.\That's...\The guys you're about to meet are humans just like us, response:	but they'll deal with crimes using criteria for judgment different from yours.
context: Sorry, but the CID is very short on manpower.\I'll do what I can to help, but you'll have to hit the ground running.\I'm aware of that.\I'm looking forward to the work.\That's what I like to hear.\That's...\The guys you're about to meet are humans just like us,\but they'll deal with crimes using criteria for judgment different from yours. response:	Their actions sometimes may be beyond your comprehension.
context: I'll do what I can to help, but you'll have to hit the ground running.\I'm aware of that.\I'm looking forward to the work.\That's what I like to hear.\That's...\The guys you're about to meet are humans just like us,\but they'll deal with crimes using criteria for judgment different from yours.\Their actions sometimes may be beyond your comprehension. response:	Trust them, but at the same time, be cautious of them.
context: I'm aware of that.\I'm looking forward to the work.\That's what I like to hear.\That's...\The guys you're about to meet are humans just like us,\but they'll deal with crimes using criteria for judgment different from yours.\Their actions sometimes may be beyond your comprehension.\Trust them, but at the same time, be cautious of them. response:	If you underestimate them, you'll get seriously hurt.
context: I'm looking forward to the work.\That's what I like to hear.\That's...\The guys you're about to meet are humans just like us,\but they'll deal with crimes using criteria for judgment different from yours.\Their actions sometimes may be beyond your comprehension.\Trust them, but at the same time, be cautious of them.\If you underestimate them, you'll get seriously hurt. response:	They're what we call Enforcers.
context: That's what I like to hear.\That's...\The guys you're about to meet are humans just like us,\but they'll deal with crimes using criteria for judgment different from yours.\Their actions sometimes may be beyond your comprehension.\Trust them, but at the same time, be cautious of them.\If you underestimate them, you'll get seriously hurt.\They're what we call Enforcers. response:	They'll be your subordinates.
context: That's...\The guys you're about to meet are humans just like us,\but they'll deal with crimes using criteria for judgment different from yours.\Their actions sometimes may be beyond your comprehension.\Trust them, but at the same time, be cautious of them.\If you underestimate them, you'll get seriously hurt.\They're what we call Enforcers.\They'll be your subordinates. response:	Dominator Portable Psychological Diagnosis and Suppression System
context: The guys you're about to meet are humans just like us,\but they'll deal with crimes using criteria for judgment different from yours.\Their actions sometimes may be beyond your comprehension.\Trust them, but at the same time, be cautious of them.\If you underestimate them, you'll get seriously hurt.\They're what we call Enforcers.\They'll be your subordinates.\Dominator Portable Psychological Diagnosis and Suppression System response:	has been activated.
context: but they'll deal with crimes using criteria for judgment different from yours.\Their actions sometimes may be beyond your comprehension.\Trust them, but at the same time, be cautious of them.\If you underestimate them, you'll get seriously hurt.\They're what we call Enforcers.\They'll be your subordinates.\Dominator Portable Psychological Diagnosis and Suppression System\has been activated. response:	There's no way I could love anyone,
context: Their actions sometimes may be beyond your comprehension.\Trust them, but at the same time, be cautious of them.\If you underestimate them, you'll get seriously hurt.\They're what we call Enforcers.\They'll be your subordinates.\Dominator Portable Psychological Diagnosis and Suppression System\has been activated.\There's no way I could love anyone, response:	There's no way I could love anyone,
context: Trust them, but at the same time, be cautious of them.\If you underestimate them, you'll get seriously hurt.\They're what we call Enforcers.\They'll be your subordinates.\Dominator Portable Psychological Diagnosis and Suppression System\has been activated.\There's no way I could love anyone,\There's no way I could love anyone, response:	but I wish to be loved by someone in turn
context: If you underestimate them, you'll get seriously hurt.\They're what we call Enforcers.\They'll be your subordinates.\Dominator Portable Psychological Diagnosis and Suppression System\has been activated.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn response:	but I wish to be loved by someone in turn
context: They're what we call Enforcers.\They'll be your subordinates.\Dominator Portable Psychological Diagnosis and Suppression System\has been activated.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn response:	The world may not have
context: They'll be your subordinates.\Dominator Portable Psychological Diagnosis and Suppression System\has been activated.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have response:	The world may not have
context: Dominator Portable Psychological Diagnosis and Suppression System\has been activated.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have response:	ended yesterday after all,
context: has been activated.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all, response:	ended yesterday after all,
context: There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all, response:	but we will not budge
context: There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge response:	but we will not budge
context: but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge response:	from where we are
context: but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are response:	from where we are
context: The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are response:	God, in favor of which parts have you left us?
context: The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us? response:	God, in favor of which parts have you left us?
context: ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us? response:	I receive no reply
context: ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply response:	I receive no reply
context: but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply response:	I never do
context: but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do response:	I never do
context: from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do response:	Are you still here?
context: from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here? response:	Are you still here?
context: God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here? response:	You'll never walk alone
context: God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone response:	You'll never walk alone
context: I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone response:	I walk with you
context: I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you response:	I walk with you
context: I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you response:	I will share all your sins
context: I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins response:	I will share all your sins
context: Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins response:	Together with you
context: Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you response:	Together with you
context: You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you response:	I walk
context: You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you\I walk response:	I walk
context: I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you\I walk\I walk response:	a trackless path
context: I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you\I walk\I walk\a trackless path response:	a trackless path
context: I will share all your sins\I will share all your sins\Together with you\Together with you\I walk\I walk\a trackless path\a trackless path response:	Swann's Way
context: I will share all your sins\Together with you\Together with you\I walk\I walk\a trackless path\a trackless path\Swann's Way response:	Swann's Way
context: Together with you\Together with you\I walk\I walk\a trackless path\a trackless path\Swann's Way\Swann's Way response:	Swann's Way
context: Together with you\I walk\I walk\a trackless path\a trackless path\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: I walk\I walk\a trackless path\a trackless path\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: I walk\a trackless path\a trackless path\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: a trackless path\a trackless path\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: a trackless path\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	Swann's Way
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way response:	The chain of justice the system never ends...
context: Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\Swann's Way\The chain of justice the system never ends... response:	The chain of justice the system never ends...
