context: Never before in all the world had such a mysterious phantom manifested... response:	And whenever that strange figure appeared before people,
context: She's a girl, so we should make her cuter!\She needs sparkling eyes!\Or better yet, how about black hair?\It may look good on her!\I'd rather try out a different hairstyle.\Like very short or with dreads...\She'd look good with an afro, too, don't you think?\Then we have to paint her face, too! response:	My face isn't a toy!
context: She needs sparkling eyes!\Or better yet, how about black hair?\It may look good on her!\I'd rather try out a different hairstyle.\Like very short or with dreads...\She'd look good with an afro, too, don't you think?\Then we have to paint her face, too!\My face isn't a toy! response:	Oh, she's a Man!
context: Or better yet, how about black hair?\It may look good on her!\I'd rather try out a different hairstyle.\Like very short or with dreads...\She'd look good with an afro, too, don't you think?\Then we have to paint her face, too!\My face isn't a toy!\Oh, she's a Man! response:	Why'd you make me like this?!
context: It may look good on her!\I'd rather try out a different hairstyle.\Like very short or with dreads...\She'd look good with an afro, too, don't you think?\Then we have to paint her face, too!\My face isn't a toy!\Oh, she's a Man!\Why'd you make me like this?! response:	This is a pain! Leave everything to me!
context: I'd rather try out a different hairstyle.\Like very short or with dreads...\She'd look good with an afro, too, don't you think?\Then we have to paint her face, too!\My face isn't a toy!\Oh, she's a Man!\Why'd you make me like this?!\This is a pain! Leave everything to me! response:	Wow, that looks just like her!
context: Like very short or with dreads...\She'd look good with an afro, too, don't you think?\Then we have to paint her face, too!\My face isn't a toy!\Oh, she's a Man!\Why'd you make me like this?!\This is a pain! Leave everything to me!\Wow, that looks just like her! response:	I'm sure you have no complaints about this, right?!
context: She'd look good with an afro, too, don't you think?\Then we have to paint her face, too!\My face isn't a toy!\Oh, she's a Man!\Why'd you make me like this?!\This is a pain! Leave everything to me!\Wow, that looks just like her!\I'm sure you have no complaints about this, right?! response:	Creepy!
context: Then we have to paint her face, too!\My face isn't a toy!\Oh, she's a Man!\Why'd you make me like this?!\This is a pain! Leave everything to me!\Wow, that looks just like her!\I'm sure you have no complaints about this, right?!\Creepy! response:	Don't be rude!
context: My face isn't a toy!\Oh, she's a Man!\Why'd you make me like this?!\This is a pain! Leave everything to me!\Wow, that looks just like her!\I'm sure you have no complaints about this, right?!\Creepy!\Don't be rude! response:	Hey... What's this?
context: Oh, she's a Man!\Why'd you make me like this?!\This is a pain! Leave everything to me!\Wow, that looks just like her!\I'm sure you have no complaints about this, right?!\Creepy!\Don't be rude!\Hey... What's this? response:	A photo from when they did an article on us that time...
context: Why'd you make me like this?!\This is a pain! Leave everything to me!\Wow, that looks just like her!\I'm sure you have no complaints about this, right?!\Creepy!\Don't be rude!\Hey... What's this?\A photo from when they did an article on us that time... response:	For now, make do with that, okay?
context: This is a pain! Leave everything to me!\Wow, that looks just like her!\I'm sure you have no complaints about this, right?!\Creepy!\Don't be rude!\Hey... What's this?\A photo from when they did an article on us that time...\For now, make do with that, okay? response:	Well, this is better than before, but...
context: Wow, that looks just like her!\I'm sure you have no complaints about this, right?!\Creepy!\Don't be rude!\Hey... What's this?\A photo from when they did an article on us that time...\For now, make do with that, okay?\Well, this is better than before, but... response:	Y-You think so...?
context: I'm sure you have no complaints about this, right?!\Creepy!\Don't be rude!\Hey... What's this?\A photo from when they did an article on us that time...\For now, make do with that, okay?\Well, this is better than before, but...\Y-You think so...? response:	I'm back!
context: Creepy!\Don't be rude!\Hey... What's this?\A photo from when they did an article on us that time...\For now, make do with that, okay?\Well, this is better than before, but...\Y-You think so...?\I'm back! response:	Where did you two go?
context: Don't be rude!\Hey... What's this?\A photo from when they did an article on us that time...\For now, make do with that, okay?\Well, this is better than before, but...\Y-You think so...?\I'm back!\Where did you two go? response:	Lucy's room.
context: Hey... What's this?\A photo from when they did an article on us that time...\For now, make do with that, okay?\Well, this is better than before, but...\Y-You think so...?\I'm back!\Where did you two go?\Lucy's room. response:	We picked up the bottle of ointment and her Celestial Keys.
context: A photo from when they did an article on us that time...\For now, make do with that, okay?\Well, this is better than before, but...\Y-You think so...?\I'm back!\Where did you two go?\Lucy's room.\We picked up the bottle of ointment and her Celestial Keys. response:	I see! I can ask my Celestial Spirits for help!
context: For now, make do with that, okay?\Well, this is better than before, but...\Y-You think so...?\I'm back!\Where did you two go?\Lucy's room.\We picked up the bottle of ointment and her Celestial Keys.\I see! I can ask my Celestial Spirits for help! response:	Thank you, Wendy and Carla!
context: Well, this is better than before, but...\Y-You think so...?\I'm back!\Where did you two go?\Lucy's room.\We picked up the bottle of ointment and her Celestial Keys.\I see! I can ask my Celestial Spirits for help!\Thank you, Wendy and Carla! response:	But which Spirit should I summon?
context: Y-You think so...?\I'm back!\Where did you two go?\Lucy's room.\We picked up the bottle of ointment and her Celestial Keys.\I see! I can ask my Celestial Spirits for help!\Thank you, Wendy and Carla!\But which Spirit should I summon? response:	I don't think I could count on Loke or Aquarius at a time like this...
context: I'm back!\Where did you two go?\Lucy's room.\We picked up the bottle of ointment and her Celestial Keys.\I see! I can ask my Celestial Spirits for help!\Thank you, Wendy and Carla!\But which Spirit should I summon?\I don't think I could count on Loke or Aquarius at a time like this... response:	Lucy, call out Gemini.
context: Where did you two go?\Lucy's room.\We picked up the bottle of ointment and her Celestial Keys.\I see! I can ask my Celestial Spirits for help!\Thank you, Wendy and Carla!\But which Spirit should I summon?\I don't think I could count on Loke or Aquarius at a time like this...\Lucy, call out Gemini. response:	Gemini? Why?
context: Lucy's room.\We picked up the bottle of ointment and her Celestial Keys.\I see! I can ask my Celestial Spirits for help!\Thank you, Wendy and Carla!\But which Spirit should I summon?\I don't think I could count on Loke or Aquarius at a time like this...\Lucy, call out Gemini.\Gemini? Why? response:	They can transform into you. Just try it!
context: We picked up the bottle of ointment and her Celestial Keys.\I see! I can ask my Celestial Spirits for help!\Thank you, Wendy and Carla!\But which Spirit should I summon?\I don't think I could count on Loke or Aquarius at a time like this...\Lucy, call out Gemini.\Gemini? Why?\They can transform into you. Just try it! response:	O-Okay. Gate of the Twins, I open thee! Gemini!
context: I see! I can ask my Celestial Spirits for help!\Thank you, Wendy and Carla!\But which Spirit should I summon?\I don't think I could count on Loke or Aquarius at a time like this...\Lucy, call out Gemini.\Gemini? Why?\They can transform into you. Just try it!\O-Okay. Gate of the Twins, I open thee! Gemini! response:	Long time no see! Gemini here!
context: Thank you, Wendy and Carla!\But which Spirit should I summon?\I don't think I could count on Loke or Aquarius at a time like this...\Lucy, call out Gemini.\Gemini? Why?\They can transform into you. Just try it!\O-Okay. Gate of the Twins, I open thee! Gemini!\Long time no see! Gemini here! response:	Oh, it's Lucy!
context: But which Spirit should I summon?\I don't think I could count on Loke or Aquarius at a time like this...\Lucy, call out Gemini.\Gemini? Why?\They can transform into you. Just try it!\O-Okay. Gate of the Twins, I open thee! Gemini!\Long time no see! Gemini here!\Oh, it's Lucy! response:	Looks exactly like Lucy!
context: I don't think I could count on Loke or Aquarius at a time like this...\Lucy, call out Gemini.\Gemini? Why?\They can transform into you. Just try it!\O-Okay. Gate of the Twins, I open thee! Gemini!\Long time no see! Gemini here!\Oh, it's Lucy!\Looks exactly like Lucy! response:	That's Gemini for you!
context: Lucy, call out Gemini.\Gemini? Why?\They can transform into you. Just try it!\O-Okay. Gate of the Twins, I open thee! Gemini!\Long time no see! Gemini here!\Oh, it's Lucy!\Looks exactly like Lucy!\That's Gemini for you! response:	So... let's do this!
context: Gemini? Why?\They can transform into you. Just try it!\O-Okay. Gate of the Twins, I open thee! Gemini!\Long time no see! Gemini here!\Oh, it's Lucy!\Looks exactly like Lucy!\That's Gemini for you!\So... let's do this! response:	I'm Lucy! Everyone, please be my friend!
context: They can transform into you. Just try it!\O-Okay. Gate of the Twins, I open thee! Gemini!\Long time no see! Gemini here!\Oh, it's Lucy!\Looks exactly like Lucy!\That's Gemini for you!\So... let's do this!\I'm Lucy! Everyone, please be my friend! response:	We can keep this up forever!
context: O-Okay. Gate of the Twins, I open thee! Gemini!\Long time no see! Gemini here!\Oh, it's Lucy!\Looks exactly like Lucy!\That's Gemini for you!\So... let's do this!\I'm Lucy! Everyone, please be my friend!\We can keep this up forever! response:	I get it! Nice idea!
context: Long time no see! Gemini here!\Oh, it's Lucy!\Looks exactly like Lucy!\That's Gemini for you!\So... let's do this!\I'm Lucy! Everyone, please be my friend!\We can keep this up forever!\I get it! Nice idea! response:	This doesn't solve anything!
context: Oh, it's Lucy!\Looks exactly like Lucy!\That's Gemini for you!\So... let's do this!\I'm Lucy! Everyone, please be my friend!\We can keep this up forever!\I get it! Nice idea!\This doesn't solve anything! response:	Still, that's the spitting image of her...
context: Looks exactly like Lucy!\That's Gemini for you!\So... let's do this!\I'm Lucy! Everyone, please be my friend!\We can keep this up forever!\I get it! Nice idea!\This doesn't solve anything!\Still, that's the spitting image of her... response:	Uh-huh! I transform into an exact duplicate.
context: That's Gemini for you!\So... let's do this!\I'm Lucy! Everyone, please be my friend!\We can keep this up forever!\I get it! Nice idea!\This doesn't solve anything!\Still, that's the spitting image of her...\Uh-huh! I transform into an exact duplicate. response:	I can even copy memories and abilities!
context: So... let's do this!\I'm Lucy! Everyone, please be my friend!\We can keep this up forever!\I get it! Nice idea!\This doesn't solve anything!\Still, that's the spitting image of her...\Uh-huh! I transform into an exact duplicate.\I can even copy memories and abilities! response:	In that case, why don't we just say this is the real thing from now on?
context: I'm Lucy! Everyone, please be my friend!\We can keep this up forever!\I get it! Nice idea!\This doesn't solve anything!\Still, that's the spitting image of her...\Uh-huh! I transform into an exact duplicate.\I can even copy memories and abilities!\In that case, why don't we just say this is the real thing from now on? response:	Yeah. After all, the looks and powers are the same...
context: We can keep this up forever!\I get it! Nice idea!\This doesn't solve anything!\Still, that's the spitting image of her...\Uh-huh! I transform into an exact duplicate.\I can even copy memories and abilities!\In that case, why don't we just say this is the real thing from now on?\Yeah. After all, the looks and powers are the same... response:	If anything, this one seems more mild-mannered and easier to get along with...
context: I get it! Nice idea!\This doesn't solve anything!\Still, that's the spitting image of her...\Uh-huh! I transform into an exact duplicate.\I can even copy memories and abilities!\In that case, why don't we just say this is the real thing from now on?\Yeah. After all, the looks and powers are the same...\If anything, this one seems more mild-mannered and easier to get along with... response:	Enough!
context: This doesn't solve anything!\Still, that's the spitting image of her...\Uh-huh! I transform into an exact duplicate.\I can even copy memories and abilities!\In that case, why don't we just say this is the real thing from now on?\Yeah. After all, the looks and powers are the same...\If anything, this one seems more mild-mannered and easier to get along with...\Enough! response:	Kidding! Only kidding!
context: Still, that's the spitting image of her...\Uh-huh! I transform into an exact duplicate.\I can even copy memories and abilities!\In that case, why don't we just say this is the real thing from now on?\Yeah. After all, the looks and powers are the same...\If anything, this one seems more mild-mannered and easier to get along with...\Enough!\Kidding! Only kidding! response:	Fried and Levy, what are you doing?
context: Uh-huh! I transform into an exact duplicate.\I can even copy memories and abilities!\In that case, why don't we just say this is the real thing from now on?\Yeah. After all, the looks and powers are the same...\If anything, this one seems more mild-mannered and easier to get along with...\Enough!\Kidding! Only kidding!\Fried and Levy, what are you doing? response:	Analyzing the formulation of the recipe...
context: I can even copy memories and abilities!\In that case, why don't we just say this is the real thing from now on?\Yeah. After all, the looks and powers are the same...\If anything, this one seems more mild-mannered and easier to get along with...\Enough!\Kidding! Only kidding!\Fried and Levy, what are you doing?\Analyzing the formulation of the recipe... response:	If we find out the makeup of the magic,
context: In that case, why don't we just say this is the real thing from now on?\Yeah. After all, the looks and powers are the same...\If anything, this one seems more mild-mannered and easier to get along with...\Enough!\Kidding! Only kidding!\Fried and Levy, what are you doing?\Analyzing the formulation of the recipe...\If we find out the makeup of the magic, response:	there may be Runes that can cancel it out.
context: Yeah. After all, the looks and powers are the same...\If anything, this one seems more mild-mannered and easier to get along with...\Enough!\Kidding! Only kidding!\Fried and Levy, what are you doing?\Analyzing the formulation of the recipe...\If we find out the makeup of the magic,\there may be Runes that can cancel it out. response:	I've got it analyzed.
context: If anything, this one seems more mild-mannered and easier to get along with...\Enough!\Kidding! Only kidding!\Fried and Levy, what are you doing?\Analyzing the formulation of the recipe...\If we find out the makeup of the magic,\there may be Runes that can cancel it out.\I've got it analyzed. response:	Fried, these are the ointment's ingredients.
context: Enough!\Kidding! Only kidding!\Fried and Levy, what are you doing?\Analyzing the formulation of the recipe...\If we find out the makeup of the magic,\there may be Runes that can cancel it out.\I've got it analyzed.\Fried, these are the ointment's ingredients. response:	Leave the rest to me!
context: Kidding! Only kidding!\Fried and Levy, what are you doing?\Analyzing the formulation of the recipe...\If we find out the makeup of the magic,\there may be Runes that can cancel it out.\I've got it analyzed.\Fried, these are the ointment's ingredients.\Leave the rest to me! response:	The effects of a magical ointment will be dispelled...
context: Fried and Levy, what are you doing?\Analyzing the formulation of the recipe...\If we find out the makeup of the magic,\there may be Runes that can cancel it out.\I've got it analyzed.\Fried, these are the ointment's ingredients.\Leave the rest to me!\The effects of a magical ointment will be dispelled... response:	H-Hey, can you see anything?
context: Analyzing the formulation of the recipe...\If we find out the makeup of the magic,\there may be Runes that can cancel it out.\I've got it analyzed.\Fried, these are the ointment's ingredients.\Leave the rest to me!\The effects of a magical ointment will be dispelled...\H-Hey, can you see anything? response:	N-No...
context: If we find out the makeup of the magic,\there may be Runes that can cancel it out.\I've got it analyzed.\Fried, these are the ointment's ingredients.\Leave the rest to me!\The effects of a magical ointment will be dispelled...\H-Hey, can you see anything?\N-No... response:	Does that really work?!
context: there may be Runes that can cancel it out.\I've got it analyzed.\Fried, these are the ointment's ingredients.\Leave the rest to me!\The effects of a magical ointment will be dispelled...\H-Hey, can you see anything?\N-No...\Does that really work?! response:	It does.
context: I've got it analyzed.\Fried, these are the ointment's ingredients.\Leave the rest to me!\The effects of a magical ointment will be dispelled...\H-Hey, can you see anything?\N-No...\Does that really work?!\It does. response:	However, the ointment was sitting for seven years...
context: Fried, these are the ointment's ingredients.\Leave the rest to me!\The effects of a magical ointment will be dispelled...\H-Hey, can you see anything?\N-No...\Does that really work?!\It does.\However, the ointment was sitting for seven years... response:	So it'll take seven years to be dispelled.
context: Leave the rest to me!\The effects of a magical ointment will be dispelled...\H-Hey, can you see anything?\N-No...\Does that really work?!\It does.\However, the ointment was sitting for seven years...\So it'll take seven years to be dispelled. response:	I can't wait that long!
context: The effects of a magical ointment will be dispelled...\H-Hey, can you see anything?\N-No...\Does that really work?!\It does.\However, the ointment was sitting for seven years...\So it'll take seven years to be dispelled.\I can't wait that long! response:	I-I'm sorry, Lu-chan...
context: H-Hey, can you see anything?\N-No...\Does that really work?!\It does.\However, the ointment was sitting for seven years...\So it'll take seven years to be dispelled.\I can't wait that long!\I-I'm sorry, Lu-chan... response:	What's so funny, Lucy?
context: N-No...\Does that really work?!\It does.\However, the ointment was sitting for seven years...\So it'll take seven years to be dispelled.\I can't wait that long!\I-I'm sorry, Lu-chan...\What's so funny, Lucy? response:	I'm crying! Because this is hopeless!
context: Does that really work?!\It does.\However, the ointment was sitting for seven years...\So it'll take seven years to be dispelled.\I can't wait that long!\I-I'm sorry, Lu-chan...\What's so funny, Lucy?\I'm crying! Because this is hopeless! response:	What's this? Not only my body, but now the clothes are becoming invisible?
context: It does.\However, the ointment was sitting for seven years...\So it'll take seven years to be dispelled.\I can't wait that long!\I-I'm sorry, Lu-chan...\What's so funny, Lucy?\I'm crying! Because this is hopeless!\What's this? Not only my body, but now the clothes are becoming invisible? response:	Your whole existence is starting to disappear!
context: However, the ointment was sitting for seven years...\So it'll take seven years to be dispelled.\I can't wait that long!\I-I'm sorry, Lu-chan...\What's so funny, Lucy?\I'm crying! Because this is hopeless!\What's this? Not only my body, but now the clothes are becoming invisible?\Your whole existence is starting to disappear! response:	What does that mean, Levy?!
context: So it'll take seven years to be dispelled.\I can't wait that long!\I-I'm sorry, Lu-chan...\What's so funny, Lucy?\I'm crying! Because this is hopeless!\What's this? Not only my body, but now the clothes are becoming invisible?\Your whole existence is starting to disappear!\What does that mean, Levy?! response:	It's not just Lu-chan becoming invisible,
context: I can't wait that long!\I-I'm sorry, Lu-chan...\What's so funny, Lucy?\I'm crying! Because this is hopeless!\What's this? Not only my body, but now the clothes are becoming invisible?\Your whole existence is starting to disappear!\What does that mean, Levy?!\It's not just Lu-chan becoming invisible, response:	but she's actually starting to vanish!
context: I-I'm sorry, Lu-chan...\What's so funny, Lucy?\I'm crying! Because this is hopeless!\What's this? Not only my body, but now the clothes are becoming invisible?\Your whole existence is starting to disappear!\What does that mean, Levy?!\It's not just Lu-chan becoming invisible,\but she's actually starting to vanish! response:	On top of that, it will be as if she never existed.
context: What's so funny, Lucy?\I'm crying! Because this is hopeless!\What's this? Not only my body, but now the clothes are becoming invisible?\Your whole existence is starting to disappear!\What does that mean, Levy?!\It's not just Lu-chan becoming invisible,\but she's actually starting to vanish!\On top of that, it will be as if she never existed. response:	The bottle disappeared?!
context: I'm crying! Because this is hopeless!\What's this? Not only my body, but now the clothes are becoming invisible?\Your whole existence is starting to disappear!\What does that mean, Levy?!\It's not just Lu-chan becoming invisible,\but she's actually starting to vanish!\On top of that, it will be as if she never existed.\The bottle disappeared?! response:	Since it'll be as if Lucy never existed, then her things will vanish, too!
context: What's this? Not only my body, but now the clothes are becoming invisible?\Your whole existence is starting to disappear!\What does that mean, Levy?!\It's not just Lu-chan becoming invisible,\but she's actually starting to vanish!\On top of that, it will be as if she never existed.\The bottle disappeared?!\Since it'll be as if Lucy never existed, then her things will vanish, too! response:	I bet her room is empty by now!
context: Your whole existence is starting to disappear!\What does that mean, Levy?!\It's not just Lu-chan becoming invisible,\but she's actually starting to vanish!\On top of that, it will be as if she never existed.\The bottle disappeared?!\Since it'll be as if Lucy never existed, then her things will vanish, too!\I bet her room is empty by now! response:	I-I don't want this to happen! I don't want it so I never existed!
context: What does that mean, Levy?!\It's not just Lu-chan becoming invisible,\but she's actually starting to vanish!\On top of that, it will be as if she never existed.\The bottle disappeared?!\Since it'll be as if Lucy never existed, then her things will vanish, too!\I bet her room is empty by now!\I-I don't want this to happen! I don't want it so I never existed! response:	I'm right here!
context: It's not just Lu-chan becoming invisible,\but she's actually starting to vanish!\On top of that, it will be as if she never existed.\The bottle disappeared?!\Since it'll be as if Lucy never existed, then her things will vanish, too!\I bet her room is empty by now!\I-I don't want this to happen! I don't want it so I never existed!\I'm right here! response:	If I do this...
context: but she's actually starting to vanish!\On top of that, it will be as if she never existed.\The bottle disappeared?!\Since it'll be as if Lucy never existed, then her things will vanish, too!\I bet her room is empty by now!\I-I don't want this to happen! I don't want it so I never existed!\I'm right here!\If I do this... response:	What was I just saying...?
context: On top of that, it will be as if she never existed.\The bottle disappeared?!\Since it'll be as if Lucy never existed, then her things will vanish, too!\I bet her room is empty by now!\I-I don't want this to happen! I don't want it so I never existed!\I'm right here!\If I do this...\What was I just saying...? response:	I don't know... Probably about work...
context: The bottle disappeared?!\Since it'll be as if Lucy never existed, then her things will vanish, too!\I bet her room is empty by now!\I-I don't want this to happen! I don't want it so I never existed!\I'm right here!\If I do this...\What was I just saying...?\I don't know... Probably about work... response:	I think I was painting something... but what was it?
context: Since it'll be as if Lucy never existed, then her things will vanish, too!\I bet her room is empty by now!\I-I don't want this to happen! I don't want it so I never existed!\I'm right here!\If I do this...\What was I just saying...?\I don't know... Probably about work...\I think I was painting something... but what was it? response:	I feel like someone was standing right here just a second ago...
context: I bet her room is empty by now!\I-I don't want this to happen! I don't want it so I never existed!\I'm right here!\If I do this...\What was I just saying...?\I don't know... Probably about work...\I think I was painting something... but what was it?\I feel like someone was standing right here just a second ago... response:	I have the same feeling. Strange, isn't it?
context: I-I don't want this to happen! I don't want it so I never existed!\I'm right here!\If I do this...\What was I just saying...?\I don't know... Probably about work...\I think I was painting something... but what was it?\I feel like someone was standing right here just a second ago...\I have the same feeling. Strange, isn't it? response:	I feel weird, like something is missing...
context: I'm right here!\If I do this...\What was I just saying...?\I don't know... Probably about work...\I think I was painting something... but what was it?\I feel like someone was standing right here just a second ago...\I have the same feeling. Strange, isn't it?\I feel weird, like something is missing... response:	Me too... Is it just our imaginations?
context: If I do this...\What was I just saying...?\I don't know... Probably about work...\I think I was painting something... but what was it?\I feel like someone was standing right here just a second ago...\I have the same feeling. Strange, isn't it?\I feel weird, like something is missing...\Me too... Is it just our imaginations? response:	Do you feel like that too, Natsu?
context: What was I just saying...?\I don't know... Probably about work...\I think I was painting something... but what was it?\I feel like someone was standing right here just a second ago...\I have the same feeling. Strange, isn't it?\I feel weird, like something is missing...\Me too... Is it just our imaginations?\Do you feel like that too, Natsu? response:	Mmm...
context: I don't know... Probably about work...\I think I was painting something... but what was it?\I feel like someone was standing right here just a second ago...\I have the same feeling. Strange, isn't it?\I feel weird, like something is missing...\Me too... Is it just our imaginations?\Do you feel like that too, Natsu?\Mmm... response:	I dunno!
context: I think I was painting something... but what was it?\I feel like someone was standing right here just a second ago...\I have the same feeling. Strange, isn't it?\I feel weird, like something is missing...\Me too... Is it just our imaginations?\Do you feel like that too, Natsu?\Mmm...\I dunno! response:	I'm right here!
context: I feel like someone was standing right here just a second ago...\I have the same feeling. Strange, isn't it?\I feel weird, like something is missing...\Me too... Is it just our imaginations?\Do you feel like that too, Natsu?\Mmm...\I dunno!\I'm right here! response:	Everyone, have you forgotten about me?!
context: I have the same feeling. Strange, isn't it?\I feel weird, like something is missing...\Me too... Is it just our imaginations?\Do you feel like that too, Natsu?\Mmm...\I dunno!\I'm right here!\Everyone, have you forgotten about me?! response:	Ah, well. Let's get to work.
context: I feel weird, like something is missing...\Me too... Is it just our imaginations?\Do you feel like that too, Natsu?\Mmm...\I dunno!\I'm right here!\Everyone, have you forgotten about me?!\Ah, well. Let's get to work. response:	Fried, sit down. I'm not done painting you.
context: Me too... Is it just our imaginations?\Do you feel like that too, Natsu?\Mmm...\I dunno!\I'm right here!\Everyone, have you forgotten about me?!\Ah, well. Let's get to work.\Fried, sit down. I'm not done painting you. response:	Um... What kind of job would I be able to do?
context: Do you feel like that too, Natsu?\Mmm...\I dunno!\I'm right here!\Everyone, have you forgotten about me?!\Ah, well. Let's get to work.\Fried, sit down. I'm not done painting you.\Um... What kind of job would I be able to do? response:	Fine.
context: Mmm...\I dunno!\I'm right here!\Everyone, have you forgotten about me?!\Ah, well. Let's get to work.\Fried, sit down. I'm not done painting you.\Um... What kind of job would I be able to do?\Fine. response:	Natsu! I'm here!
context: I dunno!\I'm right here!\Everyone, have you forgotten about me?!\Ah, well. Let's get to work.\Fried, sit down. I'm not done painting you.\Um... What kind of job would I be able to do?\Fine.\Natsu! I'm here! response:	Gray! Can't you hear me?!
context: I'm right here!\Everyone, have you forgotten about me?!\Ah, well. Let's get to work.\Fried, sit down. I'm not done painting you.\Um... What kind of job would I be able to do?\Fine.\Natsu! I'm here!\Gray! Can't you hear me?! response:	Erza! Happy! Wendy! Carla!
context: Everyone, have you forgotten about me?!\Ah, well. Let's get to work.\Fried, sit down. I'm not done painting you.\Um... What kind of job would I be able to do?\Fine.\Natsu! I'm here!\Gray! Can't you hear me?!\Erza! Happy! Wendy! Carla! response:	Everyone!
context: Ah, well. Let's get to work.\Fried, sit down. I'm not done painting you.\Um... What kind of job would I be able to do?\Fine.\Natsu! I'm here!\Gray! Can't you hear me?!\Erza! Happy! Wendy! Carla!\Everyone! response:	It's no use. None of them can hear me...
context: Fried, sit down. I'm not done painting you.\Um... What kind of job would I be able to do?\Fine.\Natsu! I'm here!\Gray! Can't you hear me?!\Erza! Happy! Wendy! Carla!\Everyone!\It's no use. None of them can hear me... response:	Everyone's forgotten me...
context: Um... What kind of job would I be able to do?\Fine.\Natsu! I'm here!\Gray! Can't you hear me?!\Erza! Happy! Wendy! Carla!\Everyone!\It's no use. None of them can hear me...\Everyone's forgotten me... response:	Because I never existed...
context: Fine.\Natsu! I'm here!\Gray! Can't you hear me?!\Erza! Happy! Wendy! Carla!\Everyone!\It's no use. None of them can hear me...\Everyone's forgotten me...\Because I never existed... response:	Then it's just like I'm a ghost!
context: Natsu! I'm here!\Gray! Can't you hear me?!\Erza! Happy! Wendy! Carla!\Everyone!\It's no use. None of them can hear me...\Everyone's forgotten me...\Because I never existed...\Then it's just like I'm a ghost! response:	I don't wanna be a ghost!
context: Gray! Can't you hear me?!\Erza! Happy! Wendy! Carla!\Everyone!\It's no use. None of them can hear me...\Everyone's forgotten me...\Because I never existed...\Then it's just like I'm a ghost!\I don't wanna be a ghost! response:	Alright! What do you say we go to work?!
context: Erza! Happy! Wendy! Carla!\Everyone!\It's no use. None of them can hear me...\Everyone's forgotten me...\Because I never existed...\Then it's just like I'm a ghost!\I don't wanna be a ghost!\Alright! What do you say we go to work?! response:	Happy! Lucy! Let's go!
context: Everyone!\It's no use. None of them can hear me...\Everyone's forgotten me...\Because I never existed...\Then it's just like I'm a ghost!\I don't wanna be a ghost!\Alright! What do you say we go to work?!\Happy! Lucy! Let's go! response:	Aye, sir!
context: It's no use. None of them can hear me...\Everyone's forgotten me...\Because I never existed...\Then it's just like I'm a ghost!\I don't wanna be a ghost!\Alright! What do you say we go to work?!\Happy! Lucy! Let's go!\Aye, sir! response:	Lucy...?
context: Everyone's forgotten me...\Because I never existed...\Then it's just like I'm a ghost!\I don't wanna be a ghost!\Alright! What do you say we go to work?!\Happy! Lucy! Let's go!\Aye, sir!\Lucy...? response:	Lucy...
context: Because I never existed...\Then it's just like I'm a ghost!\I don't wanna be a ghost!\Alright! What do you say we go to work?!\Happy! Lucy! Let's go!\Aye, sir!\Lucy...?\Lucy... response:	That's right! Lucy!
context: Then it's just like I'm a ghost!\I don't wanna be a ghost!\Alright! What do you say we go to work?!\Happy! Lucy! Let's go!\Aye, sir!\Lucy...?\Lucy...\That's right! Lucy! response:	Our friend! Our teammate!
context: I don't wanna be a ghost!\Alright! What do you say we go to work?!\Happy! Lucy! Let's go!\Aye, sir!\Lucy...?\Lucy...\That's right! Lucy!\Our friend! Our teammate! response:	That's right, Lucy!
context: Alright! What do you say we go to work?!\Happy! Lucy! Let's go!\Aye, sir!\Lucy...?\Lucy...\That's right! Lucy!\Our friend! Our teammate!\That's right, Lucy! response:	Lucy was here!
context: Happy! Lucy! Let's go!\Aye, sir!\Lucy...?\Lucy...\That's right! Lucy!\Our friend! Our teammate!\That's right, Lucy!\Lucy was here! response:	I remember!
context: Aye, sir!\Lucy...?\Lucy...\That's right! Lucy!\Our friend! Our teammate!\That's right, Lucy!\Lucy was here!\I remember! response:	Lucy-san!
context: Lucy...?\Lucy...\That's right! Lucy!\Our friend! Our teammate!\That's right, Lucy!\Lucy was here!\I remember!\Lucy-san! response:	Natsu... Everyone!
context: Lucy...\That's right! Lucy!\Our friend! Our teammate!\That's right, Lucy!\Lucy was here!\I remember!\Lucy-san!\Natsu... Everyone! response:	The magic was dispelled!
context: That's right! Lucy!\Our friend! Our teammate!\That's right, Lucy!\Lucy was here!\I remember!\Lucy-san!\Natsu... Everyone!\The magic was dispelled! response:	Maybe the effect of the ointment was nullified when Natsu remembered her!
context: Our friend! Our teammate!\That's right, Lucy!\Lucy was here!\I remember!\Lucy-san!\Natsu... Everyone!\The magic was dispelled!\Maybe the effect of the ointment was nullified when Natsu remembered her! response:	Yeah, could be.
context: That's right, Lucy!\Lucy was here!\I remember!\Lucy-san!\Natsu... Everyone!\The magic was dispelled!\Maybe the effect of the ointment was nullified when Natsu remembered her!\Yeah, could be. response:	Well, like they say, magic takes heart.
context: Lucy was here!\I remember!\Lucy-san!\Natsu... Everyone!\The magic was dispelled!\Maybe the effect of the ointment was nullified when Natsu remembered her!\Yeah, could be.\Well, like they say, magic takes heart. response:	And whether it's a little magic or a lot,
context: I remember!\Lucy-san!\Natsu... Everyone!\The magic was dispelled!\Maybe the effect of the ointment was nullified when Natsu remembered her!\Yeah, could be.\Well, like they say, magic takes heart.\And whether it's a little magic or a lot, response:	nothin' can break the bond of the guild!
