context: Milika here! response:	In this video, I try walking in on three of my classmates in a relationship.
context: and making them both happy, isn't going to be easy.\I need to really think about it more.\What can I do?\Naoya.\Saki-chan, Minase-san...\What's wrong?\It's about Milika.\We decided we have to do something. response:	I feel that way, too.
context: I need to really think about it more.\What can I do?\Naoya.\Saki-chan, Minase-san...\What's wrong?\It's about Milika.\We decided we have to do something.\I feel that way, too. response:	So...
context: What can I do?\Naoya.\Saki-chan, Minase-san...\What's wrong?\It's about Milika.\We decided we have to do something.\I feel that way, too.\So... response:	How about this?
context: Naoya.\Saki-chan, Minase-san...\What's wrong?\It's about Milika.\We decided we have to do something.\I feel that way, too.\So...\How about this? response:	Th-This is embarrassing.
context: Saki-chan, Minase-san...\What's wrong?\It's about Milika.\We decided we have to do something.\I feel that way, too.\So...\How about this?\Th-This is embarrassing. response:	We need to hang in there for our goal!
context: What's wrong?\It's about Milika.\We decided we have to do something.\I feel that way, too.\So...\How about this?\Th-This is embarrassing.\We need to hang in there for our goal! response:	Sorry, I might not have been feeling the same way.
context: It's about Milika.\We decided we have to do something.\I feel that way, too.\So...\How about this?\Th-This is embarrassing.\We need to hang in there for our goal!\Sorry, I might not have been feeling the same way. response:	Why are you in your swimsuits?
context: We decided we have to do something.\I feel that way, too.\So...\How about this?\Th-This is embarrassing.\We need to hang in there for our goal!\Sorry, I might not have been feeling the same way.\Why are you in your swimsuits? response:	Huh?
context: I feel that way, too.\So...\How about this?\Th-This is embarrassing.\We need to hang in there for our goal!\Sorry, I might not have been feeling the same way.\Why are you in your swimsuits?\Huh? response:	O-Obviously...
context: So...\How about this?\Th-This is embarrassing.\We need to hang in there for our goal!\Sorry, I might not have been feeling the same way.\Why are you in your swimsuits?\Huh?\O-Obviously... response:	Because if we make you happy and get closer to you,
context: How about this?\Th-This is embarrassing.\We need to hang in there for our goal!\Sorry, I might not have been feeling the same way.\Why are you in your swimsuits?\Huh?\O-Obviously...\Because if we make you happy and get closer to you, response:	it won't matter anymore if Milika messes with you.
context: Th-This is embarrassing.\We need to hang in there for our goal!\Sorry, I might not have been feeling the same way.\Why are you in your swimsuits?\Huh?\O-Obviously...\Because if we make you happy and get closer to you,\it won't matter anymore if Milika messes with you. response:	I will be your third girlfriend.
context: We need to hang in there for our goal!\Sorry, I might not have been feeling the same way.\Why are you in your swimsuits?\Huh?\O-Obviously...\Because if we make you happy and get closer to you,\it won't matter anymore if Milika messes with you.\I will be your third girlfriend. response:	I'm going to make you fall for me!
context: Sorry, I might not have been feeling the same way.\Why are you in your swimsuits?\Huh?\O-Obviously...\Because if we make you happy and get closer to you,\it won't matter anymore if Milika messes with you.\I will be your third girlfriend.\I'm going to make you fall for me! response:	You want to see us in swimsuits, don't you?
context: Why are you in your swimsuits?\Huh?\O-Obviously...\Because if we make you happy and get closer to you,\it won't matter anymore if Milika messes with you.\I will be your third girlfriend.\I'm going to make you fall for me!\You want to see us in swimsuits, don't you? response:	You pervert.
context: Huh?\O-Obviously...\Because if we make you happy and get closer to you,\it won't matter anymore if Milika messes with you.\I will be your third girlfriend.\I'm going to make you fall for me!\You want to see us in swimsuits, don't you?\You pervert. response:	Isn't that too on-the-nose?!
context: O-Obviously...\Because if we make you happy and get closer to you,\it won't matter anymore if Milika messes with you.\I will be your third girlfriend.\I'm going to make you fall for me!\You want to see us in swimsuits, don't you?\You pervert.\Isn't that too on-the-nose?! response:	What?!
context: Because if we make you happy and get closer to you,\it won't matter anymore if Milika messes with you.\I will be your third girlfriend.\I'm going to make you fall for me!\You want to see us in swimsuits, don't you?\You pervert.\Isn't that too on-the-nose?!\What?! response:	What, then?
context: it won't matter anymore if Milika messes with you.\I will be your third girlfriend.\I'm going to make you fall for me!\You want to see us in swimsuits, don't you?\You pervert.\Isn't that too on-the-nose?!\What?!\What, then? response:	Ow!
context: I will be your third girlfriend.\I'm going to make you fall for me!\You want to see us in swimsuits, don't you?\You pervert.\Isn't that too on-the-nose?!\What?!\What, then?\Ow! response:	Are you disappointed or something?
context: I'm going to make you fall for me!\You want to see us in swimsuits, don't you?\You pervert.\Isn't that too on-the-nose?!\What?!\What, then?\Ow!\Are you disappointed or something? response:	O-Of course not, but...
context: You want to see us in swimsuits, don't you?\You pervert.\Isn't that too on-the-nose?!\What?!\What, then?\Ow!\Are you disappointed or something?\O-Of course not, but... response:	But?
context: You pervert.\Isn't that too on-the-nose?!\What?!\What, then?\Ow!\Are you disappointed or something?\O-Of course not, but...\But? response:	Wait, Saki-san!
context: Isn't that too on-the-nose?!\What?!\What, then?\Ow!\Are you disappointed or something?\O-Of course not, but...\But?\Wait, Saki-san! response:	S-Sorry!
context: What?!\What, then?\Ow!\Are you disappointed or something?\O-Of course not, but...\But?\Wait, Saki-san!\S-Sorry! response:	I-It's fine.
context: What, then?\Ow!\Are you disappointed or something?\O-Of course not, but...\But?\Wait, Saki-san!\S-Sorry!\I-It's fine. response:	B-But...
context: Ow!\Are you disappointed or something?\O-Of course not, but...\But?\Wait, Saki-san!\S-Sorry!\I-It's fine.\B-But... response:	I'd be glad if you appreciated that.
context: Are you disappointed or something?\O-Of course not, but...\But?\Wait, Saki-san!\S-Sorry!\I-It's fine.\B-But...\I'd be glad if you appreciated that. response:	You, too, Minase-san?!
context: O-Of course not, but...\But?\Wait, Saki-san!\S-Sorry!\I-It's fine.\B-But...\I'd be glad if you appreciated that.\You, too, Minase-san?! response:	Not bad, Nagisa-chan.
context: But?\Wait, Saki-san!\S-Sorry!\I-It's fine.\B-But...\I'd be glad if you appreciated that.\You, too, Minase-san?!\Not bad, Nagisa-chan. response:	That was obviously an accident!
context: Wait, Saki-san!\S-Sorry!\I-It's fine.\B-But...\I'd be glad if you appreciated that.\You, too, Minase-san?!\Not bad, Nagisa-chan.\That was obviously an accident! response:	I can't fall behind!
context: S-Sorry!\I-It's fine.\B-But...\I'd be glad if you appreciated that.\You, too, Minase-san?!\Not bad, Nagisa-chan.\That was obviously an accident!\I can't fall behind! response:	Th-They're too small! I can't hit him!
context: I-It's fine.\B-But...\I'd be glad if you appreciated that.\You, too, Minase-san?!\Not bad, Nagisa-chan.\That was obviously an accident!\I can't fall behind!\Th-They're too small! I can't hit him! response:	D-Did you see?
context: B-But...\I'd be glad if you appreciated that.\You, too, Minase-san?!\Not bad, Nagisa-chan.\That was obviously an accident!\I can't fall behind!\Th-They're too small! I can't hit him!\D-Did you see? response:	A little.
context: I'd be glad if you appreciated that.\You, too, Minase-san?!\Not bad, Nagisa-chan.\That was obviously an accident!\I can't fall behind!\Th-They're too small! I can't hit him!\D-Did you see?\A little. response:	I gave away too much!
context: You, too, Minase-san?!\Not bad, Nagisa-chan.\That was obviously an accident!\I can't fall behind!\Th-They're too small! I can't hit him!\D-Did you see?\A little.\I gave away too much! response:	No, but...
context: Not bad, Nagisa-chan.\That was obviously an accident!\I can't fall behind!\Th-They're too small! I can't hit him!\D-Did you see?\A little.\I gave away too much!\No, but... response:	Naoya's going to be obsessed with me now.
context: That was obviously an accident!\I can't fall behind!\Th-They're too small! I can't hit him!\D-Did you see?\A little.\I gave away too much!\No, but...\Naoya's going to be obsessed with me now. response:	Huh? Um...
context: I can't fall behind!\Th-They're too small! I can't hit him!\D-Did you see?\A little.\I gave away too much!\No, but...\Naoya's going to be obsessed with me now.\Huh? Um... response:	Is that all you wanted?
context: Th-They're too small! I can't hit him!\D-Did you see?\A little.\I gave away too much!\No, but...\Naoya's going to be obsessed with me now.\Huh? Um...\Is that all you wanted? response:	By that, do you mean my boobs?!
context: D-Did you see?\A little.\I gave away too much!\No, but...\Naoya's going to be obsessed with me now.\Huh? Um...\Is that all you wanted?\By that, do you mean my boobs?! response:	That's not it!
context: A little.\I gave away too much!\No, but...\Naoya's going to be obsessed with me now.\Huh? Um...\Is that all you wanted?\By that, do you mean my boobs?!\That's not it! response:	Shouldn't we be thinking about how to deal with Milika-san?!
context: I gave away too much!\No, but...\Naoya's going to be obsessed with me now.\Huh? Um...\Is that all you wanted?\By that, do you mean my boobs?!\That's not it!\Shouldn't we be thinking about how to deal with Milika-san?! response:	There's a lot we ought to be doing.
context: No, but...\Naoya's going to be obsessed with me now.\Huh? Um...\Is that all you wanted?\By that, do you mean my boobs?!\That's not it!\Shouldn't we be thinking about how to deal with Milika-san?!\There's a lot we ought to be doing. response:	W-Well...
context: Naoya's going to be obsessed with me now.\Huh? Um...\Is that all you wanted?\By that, do you mean my boobs?!\That's not it!\Shouldn't we be thinking about how to deal with Milika-san?!\There's a lot we ought to be doing.\W-Well... response:	Saki-san said we could seduce you in our swimsuits.
context: Huh? Um...\Is that all you wanted?\By that, do you mean my boobs?!\That's not it!\Shouldn't we be thinking about how to deal with Milika-san?!\There's a lot we ought to be doing.\W-Well...\Saki-san said we could seduce you in our swimsuits. response:	I did think it was a bit too blatant, but...
context: Is that all you wanted?\By that, do you mean my boobs?!\That's not it!\Shouldn't we be thinking about how to deal with Milika-san?!\There's a lot we ought to be doing.\W-Well...\Saki-san said we could seduce you in our swimsuits.\I did think it was a bit too blatant, but... response:	You did?!
context: By that, do you mean my boobs?!\That's not it!\Shouldn't we be thinking about how to deal with Milika-san?!\There's a lot we ought to be doing.\W-Well...\Saki-san said we could seduce you in our swimsuits.\I did think it was a bit too blatant, but...\You did?! response:	But...
context: That's not it!\Shouldn't we be thinking about how to deal with Milika-san?!\There's a lot we ought to be doing.\W-Well...\Saki-san said we could seduce you in our swimsuits.\I did think it was a bit too blatant, but...\You did?!\But... response:	I think it's important to spend lots of time with you and make you like us more.
context: Shouldn't we be thinking about how to deal with Milika-san?!\There's a lot we ought to be doing.\W-Well...\Saki-san said we could seduce you in our swimsuits.\I did think it was a bit too blatant, but...\You did?!\But...\I think it's important to spend lots of time with you and make you like us more. response:	I want to do that, too.
context: There's a lot we ought to be doing.\W-Well...\Saki-san said we could seduce you in our swimsuits.\I did think it was a bit too blatant, but...\You did?!\But...\I think it's important to spend lots of time with you and make you like us more.\I want to do that, too. response:	So I put on my swimsuit, even though I was embarrassed.
context: W-Well...\Saki-san said we could seduce you in our swimsuits.\I did think it was a bit too blatant, but...\You did?!\But...\I think it's important to spend lots of time with you and make you like us more.\I want to do that, too.\So I put on my swimsuit, even though I was embarrassed. response:	Nagisa-chan...
context: Saki-san said we could seduce you in our swimsuits.\I did think it was a bit too blatant, but...\You did?!\But...\I think it's important to spend lots of time with you and make you like us more.\I want to do that, too.\So I put on my swimsuit, even though I was embarrassed.\Nagisa-chan... response:	I finally got to go out with Naoya-kun.
context: I did think it was a bit too blatant, but...\You did?!\But...\I think it's important to spend lots of time with you and make you like us more.\I want to do that, too.\So I put on my swimsuit, even though I was embarrassed.\Nagisa-chan...\I finally got to go out with Naoya-kun. response:	I wanted to make it last as long as I could.
context: You did?!\But...\I think it's important to spend lots of time with you and make you like us more.\I want to do that, too.\So I put on my swimsuit, even though I was embarrassed.\Nagisa-chan...\I finally got to go out with Naoya-kun.\I wanted to make it last as long as I could. response:	It's true that we can't let our guard down when it comes to Milika-san.
context: But...\I think it's important to spend lots of time with you and make you like us more.\I want to do that, too.\So I put on my swimsuit, even though I was embarrassed.\Nagisa-chan...\I finally got to go out with Naoya-kun.\I wanted to make it last as long as I could.\It's true that we can't let our guard down when it comes to Milika-san. response:	I know there's a lot more that we need to consider.
context: I think it's important to spend lots of time with you and make you like us more.\I want to do that, too.\So I put on my swimsuit, even though I was embarrassed.\Nagisa-chan...\I finally got to go out with Naoya-kun.\I wanted to make it last as long as I could.\It's true that we can't let our guard down when it comes to Milika-san.\I know there's a lot more that we need to consider. response:	But please look at us lots, too.
context: I want to do that, too.\So I put on my swimsuit, even though I was embarrassed.\Nagisa-chan...\I finally got to go out with Naoya-kun.\I wanted to make it last as long as I could.\It's true that we can't let our guard down when it comes to Milika-san.\I know there's a lot more that we need to consider.\But please look at us lots, too. response:	Minase-san...
context: So I put on my swimsuit, even though I was embarrassed.\Nagisa-chan...\I finally got to go out with Naoya-kun.\I wanted to make it last as long as I could.\It's true that we can't let our guard down when it comes to Milika-san.\I know there's a lot more that we need to consider.\But please look at us lots, too.\Minase-san... response:	She's right.
context: Nagisa-chan...\I finally got to go out with Naoya-kun.\I wanted to make it last as long as I could.\It's true that we can't let our guard down when it comes to Milika-san.\I know there's a lot more that we need to consider.\But please look at us lots, too.\Minase-san...\She's right. response:	That's right.
context: I finally got to go out with Naoya-kun.\I wanted to make it last as long as I could.\It's true that we can't let our guard down when it comes to Milika-san.\I know there's a lot more that we need to consider.\But please look at us lots, too.\Minase-san...\She's right.\That's right. response:	There's a lot to do, but that was the most important thing.
context: I wanted to make it last as long as I could.\It's true that we can't let our guard down when it comes to Milika-san.\I know there's a lot more that we need to consider.\But please look at us lots, too.\Minase-san...\She's right.\That's right.\There's a lot to do, but that was the most important thing. response:	All right. I'll look at you lots.
context: It's true that we can't let our guard down when it comes to Milika-san.\I know there's a lot more that we need to consider.\But please look at us lots, too.\Minase-san...\She's right.\That's right.\There's a lot to do, but that was the most important thing.\All right. I'll look at you lots. response:	Thank you!
context: I know there's a lot more that we need to consider.\But please look at us lots, too.\Minase-san...\She's right.\That's right.\There's a lot to do, but that was the most important thing.\All right. I'll look at you lots.\Thank you! response:	Staaare...
context: But please look at us lots, too.\Minase-san...\She's right.\That's right.\There's a lot to do, but that was the most important thing.\All right. I'll look at you lots.\Thank you!\Staaare... response:	Staaare...
context: Minase-san...\She's right.\That's right.\There's a lot to do, but that was the most important thing.\All right. I'll look at you lots.\Thank you!\Staaare...\Staaare... response:	Staaare...
context: She's right.\That's right.\There's a lot to do, but that was the most important thing.\All right. I'll look at you lots.\Thank you!\Staaare...\Staaare...\Staaare... response:	U-Um...
context: That's right.\There's a lot to do, but that was the most important thing.\All right. I'll look at you lots.\Thank you!\Staaare...\Staaare...\Staaare...\U-Um... response:	Huh?
context: There's a lot to do, but that was the most important thing.\All right. I'll look at you lots.\Thank you!\Staaare...\Staaare...\Staaare...\U-Um...\Huh? response:	N-Naoya-kun, you pervert.
context: All right. I'll look at you lots.\Thank you!\Staaare...\Staaare...\Staaare...\U-Um...\Huh?\N-Naoya-kun, you pervert. response:	That wasn't my intention!
context: Thank you!\Staaare...\Staaare...\Staaare...\U-Um...\Huh?\N-Naoya-kun, you pervert.\That wasn't my intention! response:	Nagisa-chan's hot.
context: Staaare...\Staaare...\Staaare...\U-Um...\Huh?\N-Naoya-kun, you pervert.\That wasn't my intention!\Nagisa-chan's hot. response:	Milika here.
context: Staaare...\Staaare...\U-Um...\Huh?\N-Naoya-kun, you pervert.\That wasn't my intention!\Nagisa-chan's hot.\Milika here. response:	Today on Milika's channel...
context: Staaare...\U-Um...\Huh?\N-Naoya-kun, you pervert.\That wasn't my intention!\Nagisa-chan's hot.\Milika here.\Today on Milika's channel... response:	I'm going to make you fall for me, Naoya.
context: U-Um...\Huh?\N-Naoya-kun, you pervert.\That wasn't my intention!\Nagisa-chan's hot.\Milika here.\Today on Milika's channel...\I'm going to make you fall for me, Naoya. response:	Girlfriend, Girlfriend
context: Huh?\N-Naoya-kun, you pervert.\That wasn't my intention!\Nagisa-chan's hot.\Milika here.\Today on Milika's channel...\I'm going to make you fall for me, Naoya.\Girlfriend, Girlfriend response:	Getting Changed
context: N-Naoya-kun, you pervert.\That wasn't my intention!\Nagisa-chan's hot.\Milika here.\Today on Milika's channel...\I'm going to make you fall for me, Naoya.\Girlfriend, Girlfriend\Getting Changed response:	Nagisa-chan...
context: That wasn't my intention!\Nagisa-chan's hot.\Milika here.\Today on Milika's channel...\I'm going to make you fall for me, Naoya.\Girlfriend, Girlfriend\Getting Changed\Nagisa-chan... response:	Saki-san...
context: Nagisa-chan's hot.\Milika here.\Today on Milika's channel...\I'm going to make you fall for me, Naoya.\Girlfriend, Girlfriend\Getting Changed\Nagisa-chan...\Saki-san... response:	Why did she have her swimsuit?
context: Milika here.\Today on Milika's channel...\I'm going to make you fall for me, Naoya.\Girlfriend, Girlfriend\Getting Changed\Nagisa-chan...\Saki-san...\Why did she have her swimsuit? response:	Preview
context: Today on Milika's channel...\I'm going to make you fall for me, Naoya.\Girlfriend, Girlfriend\Getting Changed\Nagisa-chan...\Saki-san...\Why did she have her swimsuit?\Preview response:	Episode 6
context: I'm going to make you fall for me, Naoya.\Girlfriend, Girlfriend\Getting Changed\Nagisa-chan...\Saki-san...\Why did she have her swimsuit?\Preview\Episode 6 response:	Tsun Is Dere
context: Girlfriend, Girlfriend\Getting Changed\Nagisa-chan...\Saki-san...\Why did she have her swimsuit?\Preview\Episode 6\Tsun Is Dere response:	A Girlfriend's Two Choices!
context: Getting Changed\Nagisa-chan...\Saki-san...\Why did she have her swimsuit?\Preview\Episode 6\Tsun Is Dere\A Girlfriend's Two Choices! response:	Are you an outdoorsy type? Or indoorsy?
context: Nagisa-chan...\Saki-san...\Why did she have her swimsuit?\Preview\Episode 6\Tsun Is Dere\A Girlfriend's Two Choices!\Are you an outdoorsy type? Or indoorsy? response:	Camping videos are popular, so the outside isn't bad.
context: Saki-san...\Why did she have her swimsuit?\Preview\Episode 6\Tsun Is Dere\A Girlfriend's Two Choices!\Are you an outdoorsy type? Or indoorsy?\Camping videos are popular, so the outside isn't bad. response:	I'm an indoors type.
context: Why did she have her swimsuit?\Preview\Episode 6\Tsun Is Dere\A Girlfriend's Two Choices!\Are you an outdoorsy type? Or indoorsy?\Camping videos are popular, so the outside isn't bad.\I'm an indoors type. response:	I watch animeI mean, movies and stuff.
context: Preview\Episode 6\Tsun Is Dere\A Girlfriend's Two Choices!\Are you an outdoorsy type? Or indoorsy?\Camping videos are popular, so the outside isn't bad.\I'm an indoors type.\I watch animeI mean, movies and stuff. response:	Anime?
context: Episode 6\Tsun Is Dere\A Girlfriend's Two Choices!\Are you an outdoorsy type? Or indoorsy?\Camping videos are popular, so the outside isn't bad.\I'm an indoors type.\I watch animeI mean, movies and stuff.\Anime? response:	No, I only watch the first episode of every new show and buy some merch and stuff.
context: Tsun Is Dere\A Girlfriend's Two Choices!\Are you an outdoorsy type? Or indoorsy?\Camping videos are popular, so the outside isn't bad.\I'm an indoors type.\I watch animeI mean, movies and stuff.\Anime?\No, I only watch the first episode of every new show and buy some merch and stuff. response:	I'm not really an otaku!
context: A Girlfriend's Two Choices!\Are you an outdoorsy type? Or indoorsy?\Camping videos are popular, so the outside isn't bad.\I'm an indoors type.\I watch animeI mean, movies and stuff.\Anime?\No, I only watch the first episode of every new show and buy some merch and stuff.\I'm not really an otaku! response:	You totally are.
