context: Starting tomorrow, I'm going to China for high-altitude training. response:	I wanted to encourage Kiyose before leaving Japan,
context: Seriously?\You can do it, Musa.\H-Hold on! Kakeru should run that section.\Right, Kakeru? Right?\You heard him.\You can run ten kilometers in about twenty-nine minutes.\That's on par with other runners.\But more than that, response:	you've been the most considerate and encouraging towards the rest of the team.
context: You can do it, Musa.\H-Hold on! Kakeru should run that section.\Right, Kakeru? Right?\You heard him.\You can run ten kilometers in about twenty-nine minutes.\That's on par with other runners.\But more than that,\you've been the most considerate and encouraging towards the rest of the team. response:	I can't imagine anyone but you running it.
context: H-Hold on! Kakeru should run that section.\Right, Kakeru? Right?\You heard him.\You can run ten kilometers in about twenty-nine minutes.\That's on par with other runners.\But more than that,\you've been the most considerate and encouraging towards the rest of the team.\I can't imagine anyone but you running it. response:	That was my thinking, too.
context: Right, Kakeru? Right?\You heard him.\You can run ten kilometers in about twenty-nine minutes.\That's on par with other runners.\But more than that,\you've been the most considerate and encouraging towards the rest of the team.\I can't imagine anyone but you running it.\That was my thinking, too. response:	Oh, no!
context: You heard him.\You can run ten kilometers in about twenty-nine minutes.\That's on par with other runners.\But more than that,\you've been the most considerate and encouraging towards the rest of the team.\I can't imagine anyone but you running it.\That was my thinking, too.\Oh, no! response:	Section three, Jota.
context: You can run ten kilometers in about twenty-nine minutes.\That's on par with other runners.\But more than that,\you've been the most considerate and encouraging towards the rest of the team.\I can't imagine anyone but you running it.\That was my thinking, too.\Oh, no!\Section three, Jota. response:	Section four, Joji
context: That's on par with other runners.\But more than that,\you've been the most considerate and encouraging towards the rest of the team.\I can't imagine anyone but you running it.\That was my thinking, too.\Oh, no!\Section three, Jota.\Section four, Joji response:	Isn't section three by the sea? I love that course.
context: But more than that,\you've been the most considerate and encouraging towards the rest of the team.\I can't imagine anyone but you running it.\That was my thinking, too.\Oh, no!\Section three, Jota.\Section four, Joji\Isn't section three by the sea? I love that course. response:	I'll buy you guys some fish cakes from Ogawara.
context: you've been the most considerate and encouraging towards the rest of the team.\I can't imagine anyone but you running it.\That was my thinking, too.\Oh, no!\Section three, Jota.\Section four, Joji\Isn't section three by the sea? I love that course.\I'll buy you guys some fish cakes from Ogawara. response:	Their sections sound way more fun.
context: I can't imagine anyone but you running it.\That was my thinking, too.\Oh, no!\Section three, Jota.\Section four, Joji\Isn't section three by the sea? I love that course.\I'll buy you guys some fish cakes from Ogawara.\Their sections sound way more fun. response:	Accept your fate, Musa.
context: That was my thinking, too.\Oh, no!\Section three, Jota.\Section four, Joji\Isn't section three by the sea? I love that course.\I'll buy you guys some fish cakes from Ogawara.\Their sections sound way more fun.\Accept your fate, Musa. response:	Section five, Shindo.
context: Oh, no!\Section three, Jota.\Section four, Joji\Isn't section three by the sea? I love that course.\I'll buy you guys some fish cakes from Ogawara.\Their sections sound way more fun.\Accept your fate, Musa.\Section five, Shindo. response:	No objections.
context: Section three, Jota.\Section four, Joji\Isn't section three by the sea? I love that course.\I'll buy you guys some fish cakes from Ogawara.\Their sections sound way more fun.\Accept your fate, Musa.\Section five, Shindo.\No objections. response:	Section six, Yuki.
context: Section four, Joji\Isn't section three by the sea? I love that course.\I'll buy you guys some fish cakes from Ogawara.\Their sections sound way more fun.\Accept your fate, Musa.\Section five, Shindo.\No objections.\Section six, Yuki. response:	Hey, wait!
context: Isn't section three by the sea? I love that course.\I'll buy you guys some fish cakes from Ogawara.\Their sections sound way more fun.\Accept your fate, Musa.\Section five, Shindo.\No objections.\Section six, Yuki.\Hey, wait! response:	I'm section six? That's ridiculous.
context: I'll buy you guys some fish cakes from Ogawara.\Their sections sound way more fun.\Accept your fate, Musa.\Section five, Shindo.\No objections.\Section six, Yuki.\Hey, wait!\I'm section six? That's ridiculous. response:	I've watched how all of you run for the past ten months.
context: Their sections sound way more fun.\Accept your fate, Musa.\Section five, Shindo.\No objections.\Section six, Yuki.\Hey, wait!\I'm section six? That's ridiculous.\I've watched how all of you run for the past ten months. response:	Your core strength and stable center of gravity are the best, Yuki.
context: Accept your fate, Musa.\Section five, Shindo.\No objections.\Section six, Yuki.\Hey, wait!\I'm section six? That's ridiculous.\I've watched how all of you run for the past ten months.\Your core strength and stable center of gravity are the best, Yuki. response:	You're the only one who can ride down Hakone.
context: Section five, Shindo.\No objections.\Section six, Yuki.\Hey, wait!\I'm section six? That's ridiculous.\I've watched how all of you run for the past ten months.\Your core strength and stable center of gravity are the best, Yuki.\You're the only one who can ride down Hakone. response:	I'm setting you up.
context: No objections.\Section six, Yuki.\Hey, wait!\I'm section six? That's ridiculous.\I've watched how all of you run for the past ten months.\Your core strength and stable center of gravity are the best, Yuki.\You're the only one who can ride down Hakone.\I'm setting you up. response:	Want something to drink?
context: Section six, Yuki.\Hey, wait!\I'm section six? That's ridiculous.\I've watched how all of you run for the past ten months.\Your core strength and stable center of gravity are the best, Yuki.\You're the only one who can ride down Hakone.\I'm setting you up.\Want something to drink? response:	Section seven, Nico-chan Senpai.
context: Hey, wait!\I'm section six? That's ridiculous.\I've watched how all of you run for the past ten months.\Your core strength and stable center of gravity are the best, Yuki.\You're the only one who can ride down Hakone.\I'm setting you up.\Want something to drink?\Section seven, Nico-chan Senpai. response:	Section eight, King.
context: I'm section six? That's ridiculous.\I've watched how all of you run for the past ten months.\Your core strength and stable center of gravity are the best, Yuki.\You're the only one who can ride down Hakone.\I'm setting you up.\Want something to drink?\Section seven, Nico-chan Senpai.\Section eight, King. response:	Just like I expected.
context: I've watched how all of you run for the past ten months.\Your core strength and stable center of gravity are the best, Yuki.\You're the only one who can ride down Hakone.\I'm setting you up.\Want something to drink?\Section seven, Nico-chan Senpai.\Section eight, King.\Just like I expected. response:	You were wrong at Musa.
context: Your core strength and stable center of gravity are the best, Yuki.\You're the only one who can ride down Hakone.\I'm setting you up.\Want something to drink?\Section seven, Nico-chan Senpai.\Section eight, King.\Just like I expected.\You were wrong at Musa. response:	At this point, the runners will start to scatter.
context: You're the only one who can ride down Hakone.\I'm setting you up.\Want something to drink?\Section seven, Nico-chan Senpai.\Section eight, King.\Just like I expected.\You were wrong at Musa.\At this point, the runners will start to scatter. response:	You might be running alone.
context: I'm setting you up.\Want something to drink?\Section seven, Nico-chan Senpai.\Section eight, King.\Just like I expected.\You were wrong at Musa.\At this point, the runners will start to scatter.\You might be running alone. response:	The race for seeds will become intense during these two important sections.
context: Want something to drink?\Section seven, Nico-chan Senpai.\Section eight, King.\Just like I expected.\You were wrong at Musa.\At this point, the runners will start to scatter.\You might be running alone.\The race for seeds will become intense during these two important sections. response:	I know you'll be able to stay calm and maintain your pace.
context: Section seven, Nico-chan Senpai.\Section eight, King.\Just like I expected.\You were wrong at Musa.\At this point, the runners will start to scatter.\You might be running alone.\The race for seeds will become intense during these two important sections.\I know you'll be able to stay calm and maintain your pace. response:	You're trying to earn a seeded spot?
context: Section eight, King.\Just like I expected.\You were wrong at Musa.\At this point, the runners will start to scatter.\You might be running alone.\The race for seeds will become intense during these two important sections.\I know you'll be able to stay calm and maintain your pace.\You're trying to earn a seeded spot? response:	Of course. That's why those sections are important.
context: Just like I expected.\You were wrong at Musa.\At this point, the runners will start to scatter.\You might be running alone.\The race for seeds will become intense during these two important sections.\I know you'll be able to stay calm and maintain your pace.\You're trying to earn a seeded spot?\Of course. That's why those sections are important. response:	The return half's section two, section nine, Kakeru.
context: You were wrong at Musa.\At this point, the runners will start to scatter.\You might be running alone.\The race for seeds will become intense during these two important sections.\I know you'll be able to stay calm and maintain your pace.\You're trying to earn a seeded spot?\Of course. That's why those sections are important.\The return half's section two, section nine, Kakeru. response:	I don't see Fujioka.
context: At this point, the runners will start to scatter.\You might be running alone.\The race for seeds will become intense during these two important sections.\I know you'll be able to stay calm and maintain your pace.\You're trying to earn a seeded spot?\Of course. That's why those sections are important.\The return half's section two, section nine, Kakeru.\I don't see Fujioka. response:	By last-minute registration, if Rikudo's Fujioka isn't signed up for the first half,
context: You might be running alone.\The race for seeds will become intense during these two important sections.\I know you'll be able to stay calm and maintain your pace.\You're trying to earn a seeded spot?\Of course. That's why those sections are important.\The return half's section two, section nine, Kakeru.\I don't see Fujioka.\By last-minute registration, if Rikudo's Fujioka isn't signed up for the first half, response:	we'll know Rikudo's strategy is to wait out the first half
context: The race for seeds will become intense during these two important sections.\I know you'll be able to stay calm and maintain your pace.\You're trying to earn a seeded spot?\Of course. That's why those sections are important.\The return half's section two, section nine, Kakeru.\I don't see Fujioka.\By last-minute registration, if Rikudo's Fujioka isn't signed up for the first half,\we'll know Rikudo's strategy is to wait out the first half response:	and attack during the second.
context: I know you'll be able to stay calm and maintain your pace.\You're trying to earn a seeded spot?\Of course. That's why those sections are important.\The return half's section two, section nine, Kakeru.\I don't see Fujioka.\By last-minute registration, if Rikudo's Fujioka isn't signed up for the first half,\we'll know Rikudo's strategy is to wait out the first half\and attack during the second. response:	Which means...
context: You're trying to earn a seeded spot?\Of course. That's why those sections are important.\The return half's section two, section nine, Kakeru.\I don't see Fujioka.\By last-minute registration, if Rikudo's Fujioka isn't signed up for the first half,\we'll know Rikudo's strategy is to wait out the first half\and attack during the second.\Which means... response:	Bring it on.
context: Of course. That's why those sections are important.\The return half's section two, section nine, Kakeru.\I don't see Fujioka.\By last-minute registration, if Rikudo's Fujioka isn't signed up for the first half,\we'll know Rikudo's strategy is to wait out the first half\and attack during the second.\Which means...\Bring it on. response:	Finally, section ten.
context: The return half's section two, section nine, Kakeru.\I don't see Fujioka.\By last-minute registration, if Rikudo's Fujioka isn't signed up for the first half,\we'll know Rikudo's strategy is to wait out the first half\and attack during the second.\Which means...\Bring it on.\Finally, section ten. response:	I'll take responsibility by finishing the race.
context: I don't see Fujioka.\By last-minute registration, if Rikudo's Fujioka isn't signed up for the first half,\we'll know Rikudo's strategy is to wait out the first half\and attack during the second.\Which means...\Bring it on.\Finally, section ten.\I'll take responsibility by finishing the race. response:	Jota, Joji.
context: By last-minute registration, if Rikudo's Fujioka isn't signed up for the first half,\we'll know Rikudo's strategy is to wait out the first half\and attack during the second.\Which means...\Bring it on.\Finally, section ten.\I'll take responsibility by finishing the race.\Jota, Joji. response:	I'll show you the top.
context: we'll know Rikudo's strategy is to wait out the first half\and attack during the second.\Which means...\Bring it on.\Finally, section ten.\I'll take responsibility by finishing the race.\Jota, Joji.\I'll show you the top. response:	No, we'll experience it together.
context: and attack during the second.\Which means...\Bring it on.\Finally, section ten.\I'll take responsibility by finishing the race.\Jota, Joji.\I'll show you the top.\No, we'll experience it together. response:	All of us.
context: Which means...\Bring it on.\Finally, section ten.\I'll take responsibility by finishing the race.\Jota, Joji.\I'll show you the top.\No, we'll experience it together.\All of us. response:	Hakone
context: Bring it on.\Finally, section ten.\I'll take responsibility by finishing the race.\Jota, Joji.\I'll show you the top.\No, we'll experience it together.\All of us.\Hakone response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: Finally, section ten.\I'll take responsibility by finishing the race.\Jota, Joji.\I'll show you the top.\No, we'll experience it together.\All of us.\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race response:	Happy New Year.
context: I'll take responsibility by finishing the race.\Jota, Joji.\I'll show you the top.\No, we'll experience it together.\All of us.\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Happy New Year. response:	January 2nd
context: Jota, Joji.\I'll show you the top.\No, we'll experience it together.\All of us.\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Happy New Year.\January 2nd response:	The new year arrived quietly this year.
context: I'll show you the top.\No, we'll experience it together.\All of us.\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Happy New Year.\January 2nd\The new year arrived quietly this year. response:	Runners, get ready to move!
context: No, we'll experience it together.\All of us.\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Happy New Year.\January 2nd\The new year arrived quietly this year.\Runners, get ready to move! response:	Coaches, please come to the admin vehicle!
context: All of us.\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Happy New Year.\January 2nd\The new year arrived quietly this year.\Runners, get ready to move!\Coaches, please come to the admin vehicle! response:	Now I can die in peace.
context: Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Happy New Year.\January 2nd\The new year arrived quietly this year.\Runners, get ready to move!\Coaches, please come to the admin vehicle!\Now I can die in peace. response:	I'll be watching from my box seat.
context: Tokyo-Hakone Round-Trip College Ekiden Race\Happy New Year.\January 2nd\The new year arrived quietly this year.\Runners, get ready to move!\Coaches, please come to the admin vehicle!\Now I can die in peace.\I'll be watching from my box seat. response:	Hakone Ekiden
context: Happy New Year.\January 2nd\The new year arrived quietly this year.\Runners, get ready to move!\Coaches, please come to the admin vehicle!\Now I can die in peace.\I'll be watching from my box seat.\Hakone Ekiden response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: January 2nd\The new year arrived quietly this year.\Runners, get ready to move!\Coaches, please come to the admin vehicle!\Now I can die in peace.\I'll be watching from my box seat.\Hakone Ekiden\Tokyo-Hakone Round-Trip College Ekiden Race response:	Hakone Ekiden
context: The new year arrived quietly this year.\Runners, get ready to move!\Coaches, please come to the admin vehicle!\Now I can die in peace.\I'll be watching from my box seat.\Hakone Ekiden\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Ekiden response:	Race HQ Vehicle
context: Runners, get ready to move!\Coaches, please come to the admin vehicle!\Now I can die in peace.\I'll be watching from my box seat.\Hakone Ekiden\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Ekiden\Race HQ Vehicle response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: Coaches, please come to the admin vehicle!\Now I can die in peace.\I'll be watching from my box seat.\Hakone Ekiden\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Ekiden\Race HQ Vehicle\Tokyo-Hakone Round-Trip College Ekiden Race response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: Now I can die in peace.\I'll be watching from my box seat.\Hakone Ekiden\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Ekiden\Race HQ Vehicle\Tokyo-Hakone Round-Trip College Ekiden Race\Tokyo-Hakone Round-Trip College Ekiden Race response:	Kanto Student Association
context: I'll be watching from my box seat.\Hakone Ekiden\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Ekiden\Race HQ Vehicle\Tokyo-Hakone Round-Trip College Ekiden Race\Tokyo-Hakone Round-Trip College Ekiden Race\Kanto Student Association response:	Kansei University
context: Hakone Ekiden\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Ekiden\Race HQ Vehicle\Tokyo-Hakone Round-Trip College Ekiden Race\Tokyo-Hakone Round-Trip College Ekiden Race\Kanto Student Association\Kansei University response:	Thanks.
context: Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Ekiden\Race HQ Vehicle\Tokyo-Hakone Round-Trip College Ekiden Race\Tokyo-Hakone Round-Trip College Ekiden Race\Kanto Student Association\Kansei University\Thanks. response:	One minute to go!
context: Hakone Ekiden\Race HQ Vehicle\Tokyo-Hakone Round-Trip College Ekiden Race\Tokyo-Hakone Round-Trip College Ekiden Race\Kanto Student Association\Kansei University\Thanks.\One minute to go! response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: Race HQ Vehicle\Tokyo-Hakone Round-Trip College Ekiden Race\Tokyo-Hakone Round-Trip College Ekiden Race\Kanto Student Association\Kansei University\Thanks.\One minute to go!\Tokyo-Hakone Round-Trip College Ekiden Race response:	All attendants, please stand back!
context: Tokyo-Hakone Round-Trip College Ekiden Race\Tokyo-Hakone Round-Trip College Ekiden Race\Kanto Student Association\Kansei University\Thanks.\One minute to go!\Tokyo-Hakone Round-Trip College Ekiden Race\All attendants, please stand back! response:	The time is 7:59.
context: Tokyo-Hakone Round-Trip College Ekiden Race\Kanto Student Association\Kansei University\Thanks.\One minute to go!\Tokyo-Hakone Round-Trip College Ekiden Race\All attendants, please stand back!\The time is 7:59. response:	The Tokyo-Hakone Round-Trip College Ekiden Race will begin shortly.
context: Kanto Student Association\Kansei University\Thanks.\One minute to go!\Tokyo-Hakone Round-Trip College Ekiden Race\All attendants, please stand back!\The time is 7:59.\The Tokyo-Hakone Round-Trip College Ekiden Race will begin shortly. response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: Kansei University\Thanks.\One minute to go!\Tokyo-Hakone Round-Trip College Ekiden Race\All attendants, please stand back!\The time is 7:59.\The Tokyo-Hakone Round-Trip College Ekiden Race will begin shortly.\Tokyo-Hakone Round-Trip College Ekiden Race response:	Which university will write a new page in history?
context: Thanks.\One minute to go!\Tokyo-Hakone Round-Trip College Ekiden Race\All attendants, please stand back!\The time is 7:59.\The Tokyo-Hakone Round-Trip College Ekiden Race will begin shortly.\Tokyo-Hakone Round-Trip College Ekiden Race\Which university will write a new page in history? response:	Twenty-one runners wearing sashes will wrap themselves in a gust of wind
context: One minute to go!\Tokyo-Hakone Round-Trip College Ekiden Race\All attendants, please stand back!\The time is 7:59.\The Tokyo-Hakone Round-Trip College Ekiden Race will begin shortly.\Tokyo-Hakone Round-Trip College Ekiden Race\Which university will write a new page in history?\Twenty-one runners wearing sashes will wrap themselves in a gust of wind response:	as they run down Hakoneji Road.
context: Tokyo-Hakone Round-Trip College Ekiden Race\All attendants, please stand back!\The time is 7:59.\The Tokyo-Hakone Round-Trip College Ekiden Race will begin shortly.\Tokyo-Hakone Round-Trip College Ekiden Race\Which university will write a new page in history?\Twenty-one runners wearing sashes will wrap themselves in a gust of wind\as they run down Hakoneji Road. response:	Hakone
context: All attendants, please stand back!\The time is 7:59.\The Tokyo-Hakone Round-Trip College Ekiden Race will begin shortly.\Tokyo-Hakone Round-Trip College Ekiden Race\Which university will write a new page in history?\Twenty-one runners wearing sashes will wrap themselves in a gust of wind\as they run down Hakoneji Road.\Hakone response:	Will that wind be a headwind or a tailwind?
context: The time is 7:59.\The Tokyo-Hakone Round-Trip College Ekiden Race will begin shortly.\Tokyo-Hakone Round-Trip College Ekiden Race\Which university will write a new page in history?\Twenty-one runners wearing sashes will wrap themselves in a gust of wind\as they run down Hakoneji Road.\Hakone\Will that wind be a headwind or a tailwind? response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: The Tokyo-Hakone Round-Trip College Ekiden Race will begin shortly.\Tokyo-Hakone Round-Trip College Ekiden Race\Which university will write a new page in history?\Twenty-one runners wearing sashes will wrap themselves in a gust of wind\as they run down Hakoneji Road.\Hakone\Will that wind be a headwind or a tailwind?\Tokyo-Hakone Round-Trip College Ekiden Race response:	Who will be the first to return to Otemachi?
context: Tokyo-Hakone Round-Trip College Ekiden Race\Which university will write a new page in history?\Twenty-one runners wearing sashes will wrap themselves in a gust of wind\as they run down Hakoneji Road.\Hakone\Will that wind be a headwind or a tailwind?\Tokyo-Hakone Round-Trip College Ekiden Race\Who will be the first to return to Otemachi? response:	They are starting now towards honor and glory!
context: Which university will write a new page in history?\Twenty-one runners wearing sashes will wrap themselves in a gust of wind\as they run down Hakoneji Road.\Hakone\Will that wind be a headwind or a tailwind?\Tokyo-Hakone Round-Trip College Ekiden Race\Who will be the first to return to Otemachi?\They are starting now towards honor and glory! response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: Twenty-one runners wearing sashes will wrap themselves in a gust of wind\as they run down Hakoneji Road.\Hakone\Will that wind be a headwind or a tailwind?\Tokyo-Hakone Round-Trip College Ekiden Race\Who will be the first to return to Otemachi?\They are starting now towards honor and glory!\Tokyo-Hakone Round-Trip College Ekiden Race response:	Hey!
context: as they run down Hakoneji Road.\Hakone\Will that wind be a headwind or a tailwind?\Tokyo-Hakone Round-Trip College Ekiden Race\Who will be the first to return to Otemachi?\They are starting now towards honor and glory!\Tokyo-Hakone Round-Trip College Ekiden Race\Hey! response:	Next time: The Moment of Release
context: Hakone\Will that wind be a headwind or a tailwind?\Tokyo-Hakone Round-Trip College Ekiden Race\Who will be the first to return to Otemachi?\They are starting now towards honor and glory!\Tokyo-Hakone Round-Trip College Ekiden Race\Hey!\Next time: The Moment of Release response:	Next time, The Moment of Release.”
