context: Inside the human body... response:	are working hard every day.
context: Any moron who lets him escape will be sent to the spleen!\Yes, sir!\They're pretty pompous, aren't they?\They're actually related to us, White Blood Cells.\LYMPHOCYTES\They're called Lymphocytes.\Oh, never mind.\Let's get moving. response:	You're right!
context: Yes, sir!\They're pretty pompous, aren't they?\They're actually related to us, White Blood Cells.\LYMPHOCYTES\They're called Lymphocytes.\Oh, never mind.\Let's get moving.\You're right! response:	Hey!
context: They're pretty pompous, aren't they?\They're actually related to us, White Blood Cells.\LYMPHOCYTES\They're called Lymphocytes.\Oh, never mind.\Let's get moving.\You're right!\Hey! response:	What's that Red Blood Cell doing here?
context: They're actually related to us, White Blood Cells.\LYMPHOCYTES\They're called Lymphocytes.\Oh, never mind.\Let's get moving.\You're right!\Hey!\What's that Red Blood Cell doing here? response:	She's the one who saw the Pneumococcus.
context: LYMPHOCYTES\They're called Lymphocytes.\Oh, never mind.\Let's get moving.\You're right!\Hey!\What's that Red Blood Cell doing here?\She's the one who saw the Pneumococcus. response:	Well, you look pretty nonchalant.
context: They're called Lymphocytes.\Oh, never mind.\Let's get moving.\You're right!\Hey!\What's that Red Blood Cell doing here?\She's the one who saw the Pneumococcus.\Well, you look pretty nonchalant. response:	For someone about to get killed.
context: Oh, never mind.\Let's get moving.\You're right!\Hey!\What's that Red Blood Cell doing here?\She's the one who saw the Pneumococcus.\Well, you look pretty nonchalant.\For someone about to get killed. response:	No, I wouldn't say nonchalant. She probably just doesn't know.
context: Let's get moving.\You're right!\Hey!\What's that Red Blood Cell doing here?\She's the one who saw the Pneumococcus.\Well, you look pretty nonchalant.\For someone about to get killed.\No, I wouldn't say nonchalant. She probably just doesn't know. response:	Then here's your chance to learn something!
context: You're right!\Hey!\What's that Red Blood Cell doing here?\She's the one who saw the Pneumococcus.\Well, you look pretty nonchalant.\For someone about to get killed.\No, I wouldn't say nonchalant. She probably just doesn't know.\Then here's your chance to learn something! response:	Pneumococci are alpha-hemolytic cells that crave nutrients.
context: Hey!\What's that Red Blood Cell doing here?\She's the one who saw the Pneumococcus.\Well, you look pretty nonchalant.\For someone about to get killed.\No, I wouldn't say nonchalant. She probably just doesn't know.\Then here's your chance to learn something!\Pneumococci are alpha-hemolytic cells that crave nutrients. response:	In other words,
context: What's that Red Blood Cell doing here?\She's the one who saw the Pneumococcus.\Well, you look pretty nonchalant.\For someone about to get killed.\No, I wouldn't say nonchalant. She probably just doesn't know.\Then here's your chance to learn something!\Pneumococci are alpha-hemolytic cells that crave nutrients.\In other words, response:	you Red Blood Cells, who transport nutrients, will become their target!
context: She's the one who saw the Pneumococcus.\Well, you look pretty nonchalant.\For someone about to get killed.\No, I wouldn't say nonchalant. She probably just doesn't know.\Then here's your chance to learn something!\Pneumococci are alpha-hemolytic cells that crave nutrients.\In other words,\you Red Blood Cells, who transport nutrients, will become their target! response:	HEMOLYSIS
context: Well, you look pretty nonchalant.\For someone about to get killed.\No, I wouldn't say nonchalant. She probably just doesn't know.\Then here's your chance to learn something!\Pneumococci are alpha-hemolytic cells that crave nutrients.\In other words,\you Red Blood Cells, who transport nutrients, will become their target!\HEMOLYSIS response:	So better watch your back, all right?
context: For someone about to get killed.\No, I wouldn't say nonchalant. She probably just doesn't know.\Then here's your chance to learn something!\Pneumococci are alpha-hemolytic cells that crave nutrients.\In other words,\you Red Blood Cells, who transport nutrients, will become their target!\HEMOLYSIS\So better watch your back, all right? response:	They just want to scare you.
context: No, I wouldn't say nonchalant. She probably just doesn't know.\Then here's your chance to learn something!\Pneumococci are alpha-hemolytic cells that crave nutrients.\In other words,\you Red Blood Cells, who transport nutrients, will become their target!\HEMOLYSIS\So better watch your back, all right?\They just want to scare you. response:	Don't pay any attention. We're out of time, so let's get going.
context: Then here's your chance to learn something!\Pneumococci are alpha-hemolytic cells that crave nutrients.\In other words,\you Red Blood Cells, who transport nutrients, will become their target!\HEMOLYSIS\So better watch your back, all right?\They just want to scare you.\Don't pay any attention. We're out of time, so let's get going. response:	So these are the lungs?
context: Pneumococci are alpha-hemolytic cells that crave nutrients.\In other words,\you Red Blood Cells, who transport nutrients, will become their target!\HEMOLYSIS\So better watch your back, all right?\They just want to scare you.\Don't pay any attention. We're out of time, so let's get going.\So these are the lungs? response:	LUNGS
context: In other words,\you Red Blood Cells, who transport nutrients, will become their target!\HEMOLYSIS\So better watch your back, all right?\They just want to scare you.\Don't pay any attention. We're out of time, so let's get going.\So these are the lungs?\LUNGS response:	Yeah.
context: you Red Blood Cells, who transport nutrients, will become their target!\HEMOLYSIS\So better watch your back, all right?\They just want to scare you.\Don't pay any attention. We're out of time, so let's get going.\So these are the lungs?\LUNGS\Yeah. response:	I don't see anyone making a commotion.
context: HEMOLYSIS\So better watch your back, all right?\They just want to scare you.\Don't pay any attention. We're out of time, so let's get going.\So these are the lungs?\LUNGS\Yeah.\I don't see anyone making a commotion. response:	You think maybe we overtook him?
context: So better watch your back, all right?\They just want to scare you.\Don't pay any attention. We're out of time, so let's get going.\So these are the lungs?\LUNGS\Yeah.\I don't see anyone making a commotion.\You think maybe we overtook him? response:	The Pneumococcus?
context: They just want to scare you.\Don't pay any attention. We're out of time, so let's get going.\So these are the lungs?\LUNGS\Yeah.\I don't see anyone making a commotion.\You think maybe we overtook him?\The Pneumococcus? response:	All right, time to say goodbye.
context: Don't pay any attention. We're out of time, so let's get going.\So these are the lungs?\LUNGS\Yeah.\I don't see anyone making a commotion.\You think maybe we overtook him?\The Pneumococcus?\All right, time to say goodbye. response:	Good job.
context: So these are the lungs?\LUNGS\Yeah.\I don't see anyone making a commotion.\You think maybe we overtook him?\The Pneumococcus?\All right, time to say goodbye.\Good job. response:	Oh, right! Thank you for showing me the way!
context: LUNGS\Yeah.\I don't see anyone making a commotion.\You think maybe we overtook him?\The Pneumococcus?\All right, time to say goodbye.\Good job.\Oh, right! Thank you for showing me the way! response:	Right. You be careful now.
context: Yeah.\I don't see anyone making a commotion.\You think maybe we overtook him?\The Pneumococcus?\All right, time to say goodbye.\Good job.\Oh, right! Thank you for showing me the way!\Right. You be careful now. response:	DANGER! RUNNING STRICTLY FORBIDDEN
context: I don't see anyone making a commotion.\You think maybe we overtook him?\The Pneumococcus?\All right, time to say goodbye.\Good job.\Oh, right! Thank you for showing me the way!\Right. You be careful now.\DANGER! RUNNING STRICTLY FORBIDDEN response:	Please take care!
context: You think maybe we overtook him?\The Pneumococcus?\All right, time to say goodbye.\Good job.\Oh, right! Thank you for showing me the way!\Right. You be careful now.\DANGER! RUNNING STRICTLY FORBIDDEN\Please take care! response:	Sure.
context: The Pneumococcus?\All right, time to say goodbye.\Good job.\Oh, right! Thank you for showing me the way!\Right. You be careful now.\DANGER! RUNNING STRICTLY FORBIDDEN\Please take care!\Sure. response:	Thank you very much!
context: All right, time to say goodbye.\Good job.\Oh, right! Thank you for showing me the way!\Right. You be careful now.\DANGER! RUNNING STRICTLY FORBIDDEN\Please take care!\Sure.\Thank you very much! response:	Sure.
context: Good job.\Oh, right! Thank you for showing me the way!\Right. You be careful now.\DANGER! RUNNING STRICTLY FORBIDDEN\Please take care!\Sure.\Thank you very much!\Sure. response:	Thank you so much for your hard work!
context: Oh, right! Thank you for showing me the way!\Right. You be careful now.\DANGER! RUNNING STRICTLY FORBIDDEN\Please take care!\Sure.\Thank you very much!\Sure.\Thank you so much for your hard work! response:	Sure.
context: Right. You be careful now.\DANGER! RUNNING STRICTLY FORBIDDEN\Please take care!\Sure.\Thank you very much!\Sure.\Thank you so much for your hard work!\Sure. response:	Watch where you're going.
context: DANGER! RUNNING STRICTLY FORBIDDEN\Please take care!\Sure.\Thank you very much!\Sure.\Thank you so much for your hard work!\Sure.\Watch where you're going. response:	All right, what do I do now?
context: Please take care!\Sure.\Thank you very much!\Sure.\Thank you so much for your hard work!\Sure.\Watch where you're going.\All right, what do I do now? response:	Now that I can't use my receptor...
context: Sure.\Thank you very much!\Sure.\Thank you so much for your hard work!\Sure.\Watch where you're going.\All right, what do I do now?\Now that I can't use my receptor... response:	What's this?
context: Thank you very much!\Sure.\Thank you so much for your hard work!\Sure.\Watch where you're going.\All right, what do I do now?\Now that I can't use my receptor...\What's this? response:	DENDRITE
context: Sure.\Thank you so much for your hard work!\Sure.\Watch where you're going.\All right, what do I do now?\Now that I can't use my receptor...\What's this?\DENDRITE response:	Smoke him out, no matter what!
context: Thank you so much for your hard work!\Sure.\Watch where you're going.\All right, what do I do now?\Now that I can't use my receptor...\What's this?\DENDRITE\Smoke him out, no matter what! response:	Yes, sir!
context: Sure.\Watch where you're going.\All right, what do I do now?\Now that I can't use my receptor...\What's this?\DENDRITE\Smoke him out, no matter what!\Yes, sir! response:	Right.
context: Watch where you're going.\All right, what do I do now?\Now that I can't use my receptor...\What's this?\DENDRITE\Smoke him out, no matter what!\Yes, sir!\Right. response:	We'll continue our pursuit of the fleeing bacterium.
context: All right, what do I do now?\Now that I can't use my receptor...\What's this?\DENDRITE\Smoke him out, no matter what!\Yes, sir!\Right.\We'll continue our pursuit of the fleeing bacterium. response:	Where the hell did he go? That damn Pneumococcus!
context: Now that I can't use my receptor...\What's this?\DENDRITE\Smoke him out, no matter what!\Yes, sir!\Right.\We'll continue our pursuit of the fleeing bacterium.\Where the hell did he go? That damn Pneumococcus! response:	THIS IS THE LEFT LUNG ALVEOLUS 50th-120th FLOOR ELEVATOR RIGHT LUNG
context: What's this?\DENDRITE\Smoke him out, no matter what!\Yes, sir!\Right.\We'll continue our pursuit of the fleeing bacterium.\Where the hell did he go? That damn Pneumococcus!\THIS IS THE LEFT LUNG ALVEOLUS 50th-120th FLOOR ELEVATOR RIGHT LUNG response:	Right Lung? Left Lung?
context: DENDRITE\Smoke him out, no matter what!\Yes, sir!\Right.\We'll continue our pursuit of the fleeing bacterium.\Where the hell did he go? That damn Pneumococcus!\THIS IS THE LEFT LUNG ALVEOLUS 50th-120th FLOOR ELEVATOR RIGHT LUNG\Right Lung? Left Lung? response:	I'm getting on, too!
context: Smoke him out, no matter what!\Yes, sir!\Right.\We'll continue our pursuit of the fleeing bacterium.\Where the hell did he go? That damn Pneumococcus!\THIS IS THE LEFT LUNG ALVEOLUS 50th-120th FLOOR ELEVATOR RIGHT LUNG\Right Lung? Left Lung?\I'm getting on, too! response:	Let's see...
context: Yes, sir!\Right.\We'll continue our pursuit of the fleeing bacterium.\Where the hell did he go? That damn Pneumococcus!\THIS IS THE LEFT LUNG ALVEOLUS 50th-120th FLOOR ELEVATOR RIGHT LUNG\Right Lung? Left Lung?\I'm getting on, too!\Let's see... response:	I'm supposed to pass through the capillaries to get to an alveolus.
context: Right.\We'll continue our pursuit of the fleeing bacterium.\Where the hell did he go? That damn Pneumococcus!\THIS IS THE LEFT LUNG ALVEOLUS 50th-120th FLOOR ELEVATOR RIGHT LUNG\Right Lung? Left Lung?\I'm getting on, too!\Let's see...\I'm supposed to pass through the capillaries to get to an alveolus. response:	CAPILLARY 049
context: We'll continue our pursuit of the fleeing bacterium.\Where the hell did he go? That damn Pneumococcus!\THIS IS THE LEFT LUNG ALVEOLUS 50th-120th FLOOR ELEVATOR RIGHT LUNG\Right Lung? Left Lung?\I'm getting on, too!\Let's see...\I'm supposed to pass through the capillaries to get to an alveolus.\CAPILLARY 049 response:	Huh?
context: Where the hell did he go? That damn Pneumococcus!\THIS IS THE LEFT LUNG ALVEOLUS 50th-120th FLOOR ELEVATOR RIGHT LUNG\Right Lung? Left Lung?\I'm getting on, too!\Let's see...\I'm supposed to pass through the capillaries to get to an alveolus.\CAPILLARY 049\Huh? response:	Wait!
context: THIS IS THE LEFT LUNG ALVEOLUS 50th-120th FLOOR ELEVATOR RIGHT LUNG\Right Lung? Left Lung?\I'm getting on, too!\Let's see...\I'm supposed to pass through the capillaries to get to an alveolus.\CAPILLARY 049\Huh?\Wait! response:	Over here, too?
context: Right Lung? Left Lung?\I'm getting on, too!\Let's see...\I'm supposed to pass through the capillaries to get to an alveolus.\CAPILLARY 049\Huh?\Wait!\Over here, too? response:	CAPILLARY 062
context: I'm getting on, too!\Let's see...\I'm supposed to pass through the capillaries to get to an alveolus.\CAPILLARY 049\Huh?\Wait!\Over here, too?\CAPILLARY 062 response:	There, too?
context: Let's see...\I'm supposed to pass through the capillaries to get to an alveolus.\CAPILLARY 049\Huh?\Wait!\Over here, too?\CAPILLARY 062\There, too? response:	CAPILLARY 052
context: I'm supposed to pass through the capillaries to get to an alveolus.\CAPILLARY 049\Huh?\Wait!\Over here, too?\CAPILLARY 062\There, too?\CAPILLARY 052 response:	Th-There are so many capillaries!
context: CAPILLARY 049\Huh?\Wait!\Over here, too?\CAPILLARY 062\There, too?\CAPILLARY 052\Th-There are so many capillaries! response:	Hey, you there!
context: Huh?\Wait!\Over here, too?\CAPILLARY 062\There, too?\CAPILLARY 052\Th-There are so many capillaries!\Hey, you there! response:	S-Senpai!
context: Wait!\Over here, too?\CAPILLARY 062\There, too?\CAPILLARY 052\Th-There are so many capillaries!\Hey, you there!\S-Senpai! response:	What are you doing here?
context: Over here, too?\CAPILLARY 062\There, too?\CAPILLARY 052\Th-There are so many capillaries!\Hey, you there!\S-Senpai!\What are you doing here? response:	Are you getting your job done?
context: CAPILLARY 062\There, too?\CAPILLARY 052\Th-There are so many capillaries!\Hey, you there!\S-Senpai!\What are you doing here?\Are you getting your job done? response:	Please help me!
context: There, too?\CAPILLARY 052\Th-There are so many capillaries!\Hey, you there!\S-Senpai!\What are you doing here?\Are you getting your job done?\Please help me! response:	Let me see.
context: CAPILLARY 052\Th-There are so many capillaries!\Hey, you there!\S-Senpai!\What are you doing here?\Are you getting your job done?\Please help me!\Let me see. response:	All right, in these situations, look here.
context: Th-There are so many capillaries!\Hey, you there!\S-Senpai!\What are you doing here?\Are you getting your job done?\Please help me!\Let me see.\All right, in these situations, look here. response:	See those numbers?
context: Hey, you there!\S-Senpai!\What are you doing here?\Are you getting your job done?\Please help me!\Let me see.\All right, in these situations, look here.\See those numbers? response:	Yes!
context: S-Senpai!\What are you doing here?\Are you getting your job done?\Please help me!\Let me see.\All right, in these situations, look here.\See those numbers?\Yes! response:	You'll find the same numbers on every door.
context: What are you doing here?\Are you getting your job done?\Please help me!\Let me see.\All right, in these situations, look here.\See those numbers?\Yes!\You'll find the same numbers on every door. response:	CAPILLARY 053
context: Are you getting your job done?\Please help me!\Let me see.\All right, in these situations, look here.\See those numbers?\Yes!\You'll find the same numbers on every door.\CAPILLARY 053 response:	You're right! Sorry about that!
context: Please help me!\Let me see.\All right, in these situations, look here.\See those numbers?\Yes!\You'll find the same numbers on every door.\CAPILLARY 053\You're right! Sorry about that! response:	I see you're the same as ever.
context: Let me see.\All right, in these situations, look here.\See those numbers?\Yes!\You'll find the same numbers on every door.\CAPILLARY 053\You're right! Sorry about that!\I see you're the same as ever. response:	Oh, well. You just need to learn step by step.
context: All right, in these situations, look here.\See those numbers?\Yes!\You'll find the same numbers on every door.\CAPILLARY 053\You're right! Sorry about that!\I see you're the same as ever.\Oh, well. You just need to learn step by step. response:	Right!
context: See those numbers?\Yes!\You'll find the same numbers on every door.\CAPILLARY 053\You're right! Sorry about that!\I see you're the same as ever.\Oh, well. You just need to learn step by step.\Right! response:	Good luck!
context: Yes!\You'll find the same numbers on every door.\CAPILLARY 053\You're right! Sorry about that!\I see you're the same as ever.\Oh, well. You just need to learn step by step.\Right!\Good luck! response:	See ya!
context: You'll find the same numbers on every door.\CAPILLARY 053\You're right! Sorry about that!\I see you're the same as ever.\Oh, well. You just need to learn step by step.\Right!\Good luck!\See ya! response:	Thank you very much!
context: CAPILLARY 053\You're right! Sorry about that!\I see you're the same as ever.\Oh, well. You just need to learn step by step.\Right!\Good luck!\See ya!\Thank you very much! response:	95, 96...
context: You're right! Sorry about that!\I see you're the same as ever.\Oh, well. You just need to learn step by step.\Right!\Good luck!\See ya!\Thank you very much!\95, 96... response:	Dear Red Blood Cells, The capillary is cramped, so please enter one at a time. Be courteous!
context: I see you're the same as ever.\Oh, well. You just need to learn step by step.\Right!\Good luck!\See ya!\Thank you very much!\95, 96...\Dear Red Blood Cells, The capillary is cramped, so please enter one at a time. Be courteous! response:	CAPILLARY 095
context: Oh, well. You just need to learn step by step.\Right!\Good luck!\See ya!\Thank you very much!\95, 96...\Dear Red Blood Cells, The capillary is cramped, so please enter one at a time. Be courteous!\CAPILLARY 095 response:	CAPILLARIES
context: Right!\Good luck!\See ya!\Thank you very much!\95, 96...\Dear Red Blood Cells, The capillary is cramped, so please enter one at a time. Be courteous!\CAPILLARY 095\CAPILLARIES response:	Here it is!
context: Good luck!\See ya!\Thank you very much!\95, 96...\Dear Red Blood Cells, The capillary is cramped, so please enter one at a time. Be courteous!\CAPILLARY 095\CAPILLARIES\Here it is! response:	Be courteous and only one at a time, huh?
context: See ya!\Thank you very much!\95, 96...\Dear Red Blood Cells, The capillary is cramped, so please enter one at a time. Be courteous!\CAPILLARY 095\CAPILLARIES\Here it is!\Be courteous and only one at a time, huh? response:	ALVEOLI
context: Thank you very much!\95, 96...\Dear Red Blood Cells, The capillary is cramped, so please enter one at a time. Be courteous!\CAPILLARY 095\CAPILLARIES\Here it is!\Be courteous and only one at a time, huh?\ALVEOLI response:	ENTRANCE
context: 95, 96...\Dear Red Blood Cells, The capillary is cramped, so please enter one at a time. Be courteous!\CAPILLARY 095\CAPILLARIES\Here it is!\Be courteous and only one at a time, huh?\ALVEOLI\ENTRANCE response:	Is this an alveolus?
context: Dear Red Blood Cells, The capillary is cramped, so please enter one at a time. Be courteous!\CAPILLARY 095\CAPILLARIES\Here it is!\Be courteous and only one at a time, huh?\ALVEOLI\ENTRANCE\Is this an alveolus? response:	I wonder where that Pneumococcus went.
context: CAPILLARY 095\CAPILLARIES\Here it is!\Be courteous and only one at a time, huh?\ALVEOLI\ENTRANCE\Is this an alveolus?\I wonder where that Pneumococcus went. response:	I just hope I don't run into him.
context: CAPILLARIES\Here it is!\Be courteous and only one at a time, huh?\ALVEOLI\ENTRANCE\Is this an alveolus?\I wonder where that Pneumococcus went.\I just hope I don't run into him. response:	Hey!
context: Here it is!\Be courteous and only one at a time, huh?\ALVEOLI\ENTRANCE\Is this an alveolus?\I wonder where that Pneumococcus went.\I just hope I don't run into him.\Hey! response:	Thanks! For transporting me all this way!
context: Be courteous and only one at a time, huh?\ALVEOLI\ENTRANCE\Is this an alveolus?\I wonder where that Pneumococcus went.\I just hope I don't run into him.\Hey!\Thanks! For transporting me all this way! response:	He's here!
context: ALVEOLI\ENTRANCE\Is this an alveolus?\I wonder where that Pneumococcus went.\I just hope I don't run into him.\Hey!\Thanks! For transporting me all this way!\He's here! response:	EXIT
context: ENTRANCE\Is this an alveolus?\I wonder where that Pneumococcus went.\I just hope I don't run into him.\Hey!\Thanks! For transporting me all this way!\He's here!\EXIT response:	You moron! You're not getting away!
context: Is this an alveolus?\I wonder where that Pneumococcus went.\I just hope I don't run into him.\Hey!\Thanks! For transporting me all this way!\He's here!\EXIT\You moron! You're not getting away! response:	Seriously, how stupid is that?
context: I wonder where that Pneumococcus went.\I just hope I don't run into him.\Hey!\Thanks! For transporting me all this way!\He's here!\EXIT\You moron! You're not getting away!\Seriously, how stupid is that? response:	To not even realize what it was you were delivering!
context: I just hope I don't run into him.\Hey!\Thanks! For transporting me all this way!\He's here!\EXIT\You moron! You're not getting away!\Seriously, how stupid is that?\To not even realize what it was you were delivering! response:	Now that I'm here in the alveolus,
context: Hey!\Thanks! For transporting me all this way!\He's here!\EXIT\You moron! You're not getting away!\Seriously, how stupid is that?\To not even realize what it was you were delivering!\Now that I'm here in the alveolus, response:	it's the best place to lie in wait for Red Blood Cells transporting nutrients!
context: Thanks! For transporting me all this way!\He's here!\EXIT\You moron! You're not getting away!\Seriously, how stupid is that?\To not even realize what it was you were delivering!\Now that I'm here in the alveolus,\it's the best place to lie in wait for Red Blood Cells transporting nutrients! response:	For starters,
context: He's here!\EXIT\You moron! You're not getting away!\Seriously, how stupid is that?\To not even realize what it was you were delivering!\Now that I'm here in the alveolus,\it's the best place to lie in wait for Red Blood Cells transporting nutrients!\For starters, response:	I think I'll take the edge off my appetite!
context: EXIT\You moron! You're not getting away!\Seriously, how stupid is that?\To not even realize what it was you were delivering!\Now that I'm here in the alveolus,\it's the best place to lie in wait for Red Blood Cells transporting nutrients!\For starters,\I think I'll take the edge off my appetite! response:	S-Somebody...
context: You moron! You're not getting away!\Seriously, how stupid is that?\To not even realize what it was you were delivering!\Now that I'm here in the alveolus,\it's the best place to lie in wait for Red Blood Cells transporting nutrients!\For starters,\I think I'll take the edge off my appetite!\S-Somebody... response:	You sure are delivering a ton of nutrients!
context: Seriously, how stupid is that?\To not even realize what it was you were delivering!\Now that I'm here in the alveolus,\it's the best place to lie in wait for Red Blood Cells transporting nutrients!\For starters,\I think I'll take the edge off my appetite!\S-Somebody...\You sure are delivering a ton of nutrients! response:	Yes! Since I just stopped by the small intestine.
context: To not even realize what it was you were delivering!\Now that I'm here in the alveolus,\it's the best place to lie in wait for Red Blood Cells transporting nutrients!\For starters,\I think I'll take the edge off my appetite!\S-Somebody...\You sure are delivering a ton of nutrients!\Yes! Since I just stopped by the small intestine. response:	Sorry! This one's occupied!
context: Now that I'm here in the alveolus,\it's the best place to lie in wait for Red Blood Cells transporting nutrients!\For starters,\I think I'll take the edge off my appetite!\S-Somebody...\You sure are delivering a ton of nutrients!\Yes! Since I just stopped by the small intestine.\Sorry! This one's occupied! response:	ALVEOLUS OCCUPIED
context: it's the best place to lie in wait for Red Blood Cells transporting nutrients!\For starters,\I think I'll take the edge off my appetite!\S-Somebody...\You sure are delivering a ton of nutrients!\Yes! Since I just stopped by the small intestine.\Sorry! This one's occupied!\ALVEOLUS OCCUPIED response:	You idiot!
context: For starters,\I think I'll take the edge off my appetite!\S-Somebody...\You sure are delivering a ton of nutrients!\Yes! Since I just stopped by the small intestine.\Sorry! This one's occupied!\ALVEOLUS OCCUPIED\You idiot! response:	You think you just protected your friends?
context: I think I'll take the edge off my appetite!\S-Somebody...\You sure are delivering a ton of nutrients!\Yes! Since I just stopped by the small intestine.\Sorry! This one's occupied!\ALVEOLUS OCCUPIED\You idiot!\You think you just protected your friends? response:	Talk about an exercise in futility!
context: S-Somebody...\You sure are delivering a ton of nutrients!\Yes! Since I just stopped by the small intestine.\Sorry! This one's occupied!\ALVEOLUS OCCUPIED\You idiot!\You think you just protected your friends?\Talk about an exercise in futility! response:	And right before you're about to be massacred no less!
context: You sure are delivering a ton of nutrients!\Yes! Since I just stopped by the small intestine.\Sorry! This one's occupied!\ALVEOLUS OCCUPIED\You idiot!\You think you just protected your friends?\Talk about an exercise in futility!\And right before you're about to be massacred no less! response:	Go ahead and call out for help, for all I care!
context: Yes! Since I just stopped by the small intestine.\Sorry! This one's occupied!\ALVEOLUS OCCUPIED\You idiot!\You think you just protected your friends?\Talk about an exercise in futility!\And right before you're about to be massacred no less!\Go ahead and call out for help, for all I care! response:	Not that anyone will be able to come to rescue
context: Sorry! This one's occupied!\ALVEOLUS OCCUPIED\You idiot!\You think you just protected your friends?\Talk about an exercise in futility!\And right before you're about to be massacred no less!\Go ahead and call out for help, for all I care!\Not that anyone will be able to come to rescue response:	if you block the way like that!
context: ALVEOLUS OCCUPIED\You idiot!\You think you just protected your friends?\Talk about an exercise in futility!\And right before you're about to be massacred no less!\Go ahead and call out for help, for all I care!\Not that anyone will be able to come to rescue\if you block the way like that! response:	He's going to kill me!
context: You idiot!\You think you just protected your friends?\Talk about an exercise in futility!\And right before you're about to be massacred no less!\Go ahead and call out for help, for all I care!\Not that anyone will be able to come to rescue\if you block the way like that!\He's going to kill me! response:	S-Somebody!
context: You think you just protected your friends?\Talk about an exercise in futility!\And right before you're about to be massacred no less!\Go ahead and call out for help, for all I care!\Not that anyone will be able to come to rescue\if you block the way like that!\He's going to kill me!\S-Somebody! response:	I can see you haven't done your homework.
context: Talk about an exercise in futility!\And right before you're about to be massacred no less!\Go ahead and call out for help, for all I care!\Not that anyone will be able to come to rescue\if you block the way like that!\He's going to kill me!\S-Somebody!\I can see you haven't done your homework. response:	We, White Blood Cells, are transmigrating cells.
context: And right before you're about to be massacred no less!\Go ahead and call out for help, for all I care!\Not that anyone will be able to come to rescue\if you block the way like that!\He's going to kill me!\S-Somebody!\I can see you haven't done your homework.\We, White Blood Cells, are transmigrating cells. response:	MIGRATION
context: Go ahead and call out for help, for all I care!\Not that anyone will be able to come to rescue\if you block the way like that!\He's going to kill me!\S-Somebody!\I can see you haven't done your homework.\We, White Blood Cells, are transmigrating cells.\MIGRATION response:	Meaning we can slip through blood vessel walls to reach our enemies!
context: Not that anyone will be able to come to rescue\if you block the way like that!\He's going to kill me!\S-Somebody!\I can see you haven't done your homework.\We, White Blood Cells, are transmigrating cells.\MIGRATION\Meaning we can slip through blood vessel walls to reach our enemies! response:	White Blood Cell!
context: if you block the way like that!\He's going to kill me!\S-Somebody!\I can see you haven't done your homework.\We, White Blood Cells, are transmigrating cells.\MIGRATION\Meaning we can slip through blood vessel walls to reach our enemies!\White Blood Cell! response:	How did you know I was here?
context: He's going to kill me!\S-Somebody!\I can see you haven't done your homework.\We, White Blood Cells, are transmigrating cells.\MIGRATION\Meaning we can slip through blood vessel walls to reach our enemies!\White Blood Cell!\How did you know I was here? response:	The instant that Red Blood Cell left me,
context: S-Somebody!\I can see you haven't done your homework.\We, White Blood Cells, are transmigrating cells.\MIGRATION\Meaning we can slip through blood vessel walls to reach our enemies!\White Blood Cell!\How did you know I was here?\The instant that Red Blood Cell left me, response:	my receptor stopped responding, you see!
context: I can see you haven't done your homework.\We, White Blood Cells, are transmigrating cells.\MIGRATION\Meaning we can slip through blood vessel walls to reach our enemies!\White Blood Cell!\How did you know I was here?\The instant that Red Blood Cell left me,\my receptor stopped responding, you see! response:	I never would've thought you'd be hiding inside the package!
context: We, White Blood Cells, are transmigrating cells.\MIGRATION\Meaning we can slip through blood vessel walls to reach our enemies!\White Blood Cell!\How did you know I was here?\The instant that Red Blood Cell left me,\my receptor stopped responding, you see!\I never would've thought you'd be hiding inside the package! response:	No way am I gonna let myself be killed after I've come this far!
context: MIGRATION\Meaning we can slip through blood vessel walls to reach our enemies!\White Blood Cell!\How did you know I was here?\The instant that Red Blood Cell left me,\my receptor stopped responding, you see!\I never would've thought you'd be hiding inside the package!\No way am I gonna let myself be killed after I've come this far! response:	White Blood Cell,
context: Meaning we can slip through blood vessel walls to reach our enemies!\White Blood Cell!\How did you know I was here?\The instant that Red Blood Cell left me,\my receptor stopped responding, you see!\I never would've thought you'd be hiding inside the package!\No way am I gonna let myself be killed after I've come this far!\White Blood Cell, response:	he says he's going to attack any Red Blood Cell carrying nutrients!
context: White Blood Cell!\How did you know I was here?\The instant that Red Blood Cell left me,\my receptor stopped responding, you see!\I never would've thought you'd be hiding inside the package!\No way am I gonna let myself be killed after I've come this far!\White Blood Cell,\he says he's going to attack any Red Blood Cell carrying nutrients! response:	Gotcha!
context: How did you know I was here?\The instant that Red Blood Cell left me,\my receptor stopped responding, you see!\I never would've thought you'd be hiding inside the package!\No way am I gonna let myself be killed after I've come this far!\White Blood Cell,\he says he's going to attack any Red Blood Cell carrying nutrients!\Gotcha! response:	Hey, you'll do! I'm gonna obliterate you!
context: The instant that Red Blood Cell left me,\my receptor stopped responding, you see!\I never would've thought you'd be hiding inside the package!\No way am I gonna let myself be killed after I've come this far!\White Blood Cell,\he says he's going to attack any Red Blood Cell carrying nutrients!\Gotcha!\Hey, you'll do! I'm gonna obliterate you! response:	It's a germ!
