context: I'm surprised you're knockin' back the booze during an emergency like this. response:	Hey, I know this guy. He's Gryder, a notorious drunk around these parts.
context: You guess correctly.\If they're not careful,\it's likely the humans will find themselves powerless to do anything.\You say this now?!\I thought Zentopia's teachings were everything to you.\Doctrine is important too, but this is no time to be particular.\I see.\So what should we do? response:	Sorry, but as Happy only ever has fish on the mind,
context: If they're not careful,\it's likely the humans will find themselves powerless to do anything.\You say this now?!\I thought Zentopia's teachings were everything to you.\Doctrine is important too, but this is no time to be particular.\I see.\So what should we do?\Sorry, but as Happy only ever has fish on the mind, response:	and Nii-san is just a musclehead, you two wouldn't be able to comprehend it.
context: it's likely the humans will find themselves powerless to do anything.\You say this now?!\I thought Zentopia's teachings were everything to you.\Doctrine is important too, but this is no time to be particular.\I see.\So what should we do?\Sorry, but as Happy only ever has fish on the mind,\and Nii-san is just a musclehead, you two wouldn't be able to comprehend it. response:	How rude!
context: You say this now?!\I thought Zentopia's teachings were everything to you.\Doctrine is important too, but this is no time to be particular.\I see.\So what should we do?\Sorry, but as Happy only ever has fish on the mind,\and Nii-san is just a musclehead, you two wouldn't be able to comprehend it.\How rude! response:	Did you come here to start another fight?!
context: I thought Zentopia's teachings were everything to you.\Doctrine is important too, but this is no time to be particular.\I see.\So what should we do?\Sorry, but as Happy only ever has fish on the mind,\and Nii-san is just a musclehead, you two wouldn't be able to comprehend it.\How rude!\Did you come here to start another fight?! response:	Carla...
context: Doctrine is important too, but this is no time to be particular.\I see.\So what should we do?\Sorry, but as Happy only ever has fish on the mind,\and Nii-san is just a musclehead, you two wouldn't be able to comprehend it.\How rude!\Did you come here to start another fight?!\Carla... response:	Did you sense anything with your power of precognition?
context: I see.\So what should we do?\Sorry, but as Happy only ever has fish on the mind,\and Nii-san is just a musclehead, you two wouldn't be able to comprehend it.\How rude!\Did you come here to start another fight?!\Carla...\Did you sense anything with your power of precognition? response:	I saw various unclear images, but they made me feel uneasy...
context: So what should we do?\Sorry, but as Happy only ever has fish on the mind,\and Nii-san is just a musclehead, you two wouldn't be able to comprehend it.\How rude!\Did you come here to start another fight?!\Carla...\Did you sense anything with your power of precognition?\I saw various unclear images, but they made me feel uneasy... response:	Images of the Key of the Starry Heavens?
context: Sorry, but as Happy only ever has fish on the mind,\and Nii-san is just a musclehead, you two wouldn't be able to comprehend it.\How rude!\Did you come here to start another fight?!\Carla...\Did you sense anything with your power of precognition?\I saw various unclear images, but they made me feel uneasy...\Images of the Key of the Starry Heavens? response:	Yes. I think it was a warning.
context: and Nii-san is just a musclehead, you two wouldn't be able to comprehend it.\How rude!\Did you come here to start another fight?!\Carla...\Did you sense anything with your power of precognition?\I saw various unclear images, but they made me feel uneasy...\Images of the Key of the Starry Heavens?\Yes. I think it was a warning. response:	You weren't meant to collect the pieces of the clock.
context: How rude!\Did you come here to start another fight?!\Carla...\Did you sense anything with your power of precognition?\I saw various unclear images, but they made me feel uneasy...\Images of the Key of the Starry Heavens?\Yes. I think it was a warning.\You weren't meant to collect the pieces of the clock. response:	It seems the device was originally the property of Zentopia.
context: Did you come here to start another fight?!\Carla...\Did you sense anything with your power of precognition?\I saw various unclear images, but they made me feel uneasy...\Images of the Key of the Starry Heavens?\Yes. I think it was a warning.\You weren't meant to collect the pieces of the clock.\It seems the device was originally the property of Zentopia. response:	And now, we're being given an unfathomable mission.
context: Carla...\Did you sense anything with your power of precognition?\I saw various unclear images, but they made me feel uneasy...\Images of the Key of the Starry Heavens?\Yes. I think it was a warning.\You weren't meant to collect the pieces of the clock.\It seems the device was originally the property of Zentopia.\And now, we're being given an unfathomable mission. response:	Do you wanna know the future, Sammy?
context: Did you sense anything with your power of precognition?\I saw various unclear images, but they made me feel uneasy...\Images of the Key of the Starry Heavens?\Yes. I think it was a warning.\You weren't meant to collect the pieces of the clock.\It seems the device was originally the property of Zentopia.\And now, we're being given an unfathomable mission.\Do you wanna know the future, Sammy? response:	What's most ominous of all
context: I saw various unclear images, but they made me feel uneasy...\Images of the Key of the Starry Heavens?\Yes. I think it was a warning.\You weren't meant to collect the pieces of the clock.\It seems the device was originally the property of Zentopia.\And now, we're being given an unfathomable mission.\Do you wanna know the future, Sammy?\What's most ominous of all response:	is the possibility that Zentopia's doctrine is being misused.
context: Images of the Key of the Starry Heavens?\Yes. I think it was a warning.\You weren't meant to collect the pieces of the clock.\It seems the device was originally the property of Zentopia.\And now, we're being given an unfathomable mission.\Do you wanna know the future, Sammy?\What's most ominous of all\is the possibility that Zentopia's doctrine is being misused. response:	What the hell is this?
context: Yes. I think it was a warning.\You weren't meant to collect the pieces of the clock.\It seems the device was originally the property of Zentopia.\And now, we're being given an unfathomable mission.\Do you wanna know the future, Sammy?\What's most ominous of all\is the possibility that Zentopia's doctrine is being misused.\What the hell is this? response:	We didn't get here in time?
context: You weren't meant to collect the pieces of the clock.\It seems the device was originally the property of Zentopia.\And now, we're being given an unfathomable mission.\Do you wanna know the future, Sammy?\What's most ominous of all\is the possibility that Zentopia's doctrine is being misused.\What the hell is this?\We didn't get here in time? response:	Why... do we...
context: It seems the device was originally the property of Zentopia.\And now, we're being given an unfathomable mission.\Do you wanna know the future, Sammy?\What's most ominous of all\is the possibility that Zentopia's doctrine is being misused.\What the hell is this?\We didn't get here in time?\Why... do we... response:	I totally... don't get it...
context: And now, we're being given an unfathomable mission.\Do you wanna know the future, Sammy?\What's most ominous of all\is the possibility that Zentopia's doctrine is being misused.\What the hell is this?\We didn't get here in time?\Why... do we...\I totally... don't get it... response:	His Holiness gave us this mission, remember?
context: Do you wanna know the future, Sammy?\What's most ominous of all\is the possibility that Zentopia's doctrine is being misused.\What the hell is this?\We didn't get here in time?\Why... do we...\I totally... don't get it...\His Holiness gave us this mission, remember? response:	Why do you keep griping about it?
context: What's most ominous of all\is the possibility that Zentopia's doctrine is being misused.\What the hell is this?\We didn't get here in time?\Why... do we...\I totally... don't get it...\His Holiness gave us this mission, remember?\Why do you keep griping about it? response:	Telepathy?
context: is the possibility that Zentopia's doctrine is being misused.\What the hell is this?\We didn't get here in time?\Why... do we...\I totally... don't get it...\His Holiness gave us this mission, remember?\Why do you keep griping about it?\Telepathy? response:	Not Oracion Seis... Is that Legion?
context: What the hell is this?\We didn't get here in time?\Why... do we...\I totally... don't get it...\His Holiness gave us this mission, remember?\Why do you keep griping about it?\Telepathy?\Not Oracion Seis... Is that Legion? response:	Guild wizards?
context: We didn't get here in time?\Why... do we...\I totally... don't get it...\His Holiness gave us this mission, remember?\Why do you keep griping about it?\Telepathy?\Not Oracion Seis... Is that Legion?\Guild wizards? response:	Are you one of Zentopia's, asshole?
context: Why... do we...\I totally... don't get it...\His Holiness gave us this mission, remember?\Why do you keep griping about it?\Telepathy?\Not Oracion Seis... Is that Legion?\Guild wizards?\Are you one of Zentopia's, asshole? response:	A falling out?
context: I totally... don't get it...\His Holiness gave us this mission, remember?\Why do you keep griping about it?\Telepathy?\Not Oracion Seis... Is that Legion?\Guild wizards?\Are you one of Zentopia's, asshole?\A falling out? response:	Why did we... have to do that... to a priest?
context: His Holiness gave us this mission, remember?\Why do you keep griping about it?\Telepathy?\Not Oracion Seis... Is that Legion?\Guild wizards?\Are you one of Zentopia's, asshole?\A falling out?\Why did we... have to do that... to a priest? response:	His Holiness's words are the Archbishop's words. In other words, it's doctrine.
context: Why do you keep griping about it?\Telepathy?\Not Oracion Seis... Is that Legion?\Guild wizards?\Are you one of Zentopia's, asshole?\A falling out?\Why did we... have to do that... to a priest?\His Holiness's words are the Archbishop's words. In other words, it's doctrine. response:	If we're told to destroy something, it's Legion's job to destroy it!
context: Telepathy?\Not Oracion Seis... Is that Legion?\Guild wizards?\Are you one of Zentopia's, asshole?\A falling out?\Why did we... have to do that... to a priest?\His Holiness's words are the Archbishop's words. In other words, it's doctrine.\If we're told to destroy something, it's Legion's job to destroy it! response:	According to doctrine, never, ever doubt the faith!
context: Not Oracion Seis... Is that Legion?\Guild wizards?\Are you one of Zentopia's, asshole?\A falling out?\Why did we... have to do that... to a priest?\His Holiness's words are the Archbishop's words. In other words, it's doctrine.\If we're told to destroy something, it's Legion's job to destroy it!\According to doctrine, never, ever doubt the faith! response:	Bastard...
context: Guild wizards?\Are you one of Zentopia's, asshole?\A falling out?\Why did we... have to do that... to a priest?\His Holiness's words are the Archbishop's words. In other words, it's doctrine.\If we're told to destroy something, it's Legion's job to destroy it!\According to doctrine, never, ever doubt the faith!\Bastard... response:	Scatter, traitor!
context: Are you one of Zentopia's, asshole?\A falling out?\Why did we... have to do that... to a priest?\His Holiness's words are the Archbishop's words. In other words, it's doctrine.\If we're told to destroy something, it's Legion's job to destroy it!\According to doctrine, never, ever doubt the faith!\Bastard...\Scatter, traitor! response:	Don't!
context: A falling out?\Why did we... have to do that... to a priest?\His Holiness's words are the Archbishop's words. In other words, it's doctrine.\If we're told to destroy something, it's Legion's job to destroy it!\According to doctrine, never, ever doubt the faith!\Bastard...\Scatter, traitor!\Don't! response:	What the...?!
context: Why did we... have to do that... to a priest?\His Holiness's words are the Archbishop's words. In other words, it's doctrine.\If we're told to destroy something, it's Legion's job to destroy it!\According to doctrine, never, ever doubt the faith!\Bastard...\Scatter, traitor!\Don't!\What the...?! response:	An explosion... No, that's not it...
context: His Holiness's words are the Archbishop's words. In other words, it's doctrine.\If we're told to destroy something, it's Legion's job to destroy it!\According to doctrine, never, ever doubt the faith!\Bastard...\Scatter, traitor!\Don't!\What the...?!\An explosion... No, that's not it... response:	Gajeel-kun, be careful!
context: If we're told to destroy something, it's Legion's job to destroy it!\According to doctrine, never, ever doubt the faith!\Bastard...\Scatter, traitor!\Don't!\What the...?!\An explosion... No, that's not it...\Gajeel-kun, be careful! response:	I don't like you, asshole!
context: According to doctrine, never, ever doubt the faith!\Bastard...\Scatter, traitor!\Don't!\What the...?!\An explosion... No, that's not it...\Gajeel-kun, be careful!\I don't like you, asshole! response:	It seems you both have extremely high levels of magic in your bodies. How convenient.
context: Bastard...\Scatter, traitor!\Don't!\What the...?!\An explosion... No, that's not it...\Gajeel-kun, be careful!\I don't like you, asshole!\It seems you both have extremely high levels of magic in your bodies. How convenient. response:	Pretty lights! What a nice rapture!
context: Scatter, traitor!\Don't!\What the...?!\An explosion... No, that's not it...\Gajeel-kun, be careful!\I don't like you, asshole!\It seems you both have extremely high levels of magic in your bodies. How convenient.\Pretty lights! What a nice rapture! response:	What the hell is this thing?!
context: Don't!\What the...?!\An explosion... No, that's not it...\Gajeel-kun, be careful!\I don't like you, asshole!\It seems you both have extremely high levels of magic in your bodies. How convenient.\Pretty lights! What a nice rapture!\What the hell is this thing?! response:	Juvia doesn't know this magic...
context: What the...?!\An explosion... No, that's not it...\Gajeel-kun, be careful!\I don't like you, asshole!\It seems you both have extremely high levels of magic in your bodies. How convenient.\Pretty lights! What a nice rapture!\What the hell is this thing?!\Juvia doesn't know this magic... response:	It's based on explosions... Rapture Magic...
context: An explosion... No, that's not it...\Gajeel-kun, be careful!\I don't like you, asshole!\It seems you both have extremely high levels of magic in your bodies. How convenient.\Pretty lights! What a nice rapture!\What the hell is this thing?!\Juvia doesn't know this magic...\It's based on explosions... Rapture Magic... response:	He swells up the magic power in a person's body instantaneously and makes it explode.
context: Gajeel-kun, be careful!\I don't like you, asshole!\It seems you both have extremely high levels of magic in your bodies. How convenient.\Pretty lights! What a nice rapture!\What the hell is this thing?!\Juvia doesn't know this magic...\It's based on explosions... Rapture Magic...\He swells up the magic power in a person's body instantaneously and makes it explode. response:	Scatter! Scatter!
context: I don't like you, asshole!\It seems you both have extremely high levels of magic in your bodies. How convenient.\Pretty lights! What a nice rapture!\What the hell is this thing?!\Juvia doesn't know this magic...\It's based on explosions... Rapture Magic...\He swells up the magic power in a person's body instantaneously and makes it explode.\Scatter! Scatter! response:	Juvia! Don't give in!
context: It seems you both have extremely high levels of magic in your bodies. How convenient.\Pretty lights! What a nice rapture!\What the hell is this thing?!\Juvia doesn't know this magic...\It's based on explosions... Rapture Magic...\He swells up the magic power in a person's body instantaneously and makes it explode.\Scatter! Scatter!\Juvia! Don't give in! response:	I know, Gajeel-kun!
context: Pretty lights! What a nice rapture!\What the hell is this thing?!\Juvia doesn't know this magic...\It's based on explosions... Rapture Magic...\He swells up the magic power in a person's body instantaneously and makes it explode.\Scatter! Scatter!\Juvia! Don't give in!\I know, Gajeel-kun! response:	As long as you have magic power in your body,
context: What the hell is this thing?!\Juvia doesn't know this magic...\It's based on explosions... Rapture Magic...\He swells up the magic power in a person's body instantaneously and makes it explode.\Scatter! Scatter!\Juvia! Don't give in!\I know, Gajeel-kun!\As long as you have magic power in your body, response:	I can keep you two dancing to my tune.
context: Juvia doesn't know this magic...\It's based on explosions... Rapture Magic...\He swells up the magic power in a person's body instantaneously and makes it explode.\Scatter! Scatter!\Juvia! Don't give in!\I know, Gajeel-kun!\As long as you have magic power in your body,\I can keep you two dancing to my tune. response:	Does it hurt?!
context: It's based on explosions... Rapture Magic...\He swells up the magic power in a person's body instantaneously and makes it explode.\Scatter! Scatter!\Juvia! Don't give in!\I know, Gajeel-kun!\As long as you have magic power in your body,\I can keep you two dancing to my tune.\Does it hurt?! response:	Embrace the pain...
context: He swells up the magic power in a person's body instantaneously and makes it explode.\Scatter! Scatter!\Juvia! Don't give in!\I know, Gajeel-kun!\As long as you have magic power in your body,\I can keep you two dancing to my tune.\Does it hurt?!\Embrace the pain... response:	Archbishop...
context: Scatter! Scatter!\Juvia! Don't give in!\I know, Gajeel-kun!\As long as you have magic power in your body,\I can keep you two dancing to my tune.\Does it hurt?!\Embrace the pain...\Archbishop... response:	Why did you release someone like this?
context: Juvia! Don't give in!\I know, Gajeel-kun!\As long as you have magic power in your body,\I can keep you two dancing to my tune.\Does it hurt?!\Embrace the pain...\Archbishop...\Why did you release someone like this? response:	This... is what Zentopia teaches?
context: I know, Gajeel-kun!\As long as you have magic power in your body,\I can keep you two dancing to my tune.\Does it hurt?!\Embrace the pain...\Archbishop...\Why did you release someone like this?\This... is what Zentopia teaches? response:	Hey! Ain't anybody home?!
context: As long as you have magic power in your body,\I can keep you two dancing to my tune.\Does it hurt?!\Embrace the pain...\Archbishop...\Why did you release someone like this?\This... is what Zentopia teaches?\Hey! Ain't anybody home?! response:	We don't allow outsiders to enter.
context: I can keep you two dancing to my tune.\Does it hurt?!\Embrace the pain...\Archbishop...\Why did you release someone like this?\This... is what Zentopia teaches?\Hey! Ain't anybody home?!\We don't allow outsiders to enter. response:	Don't be so petty. Just open the damn door.
context: Does it hurt?!\Embrace the pain...\Archbishop...\Why did you release someone like this?\This... is what Zentopia teaches?\Hey! Ain't anybody home?!\We don't allow outsiders to enter.\Don't be so petty. Just open the damn door. response:	Hey!
context: Embrace the pain...\Archbishop...\Why did you release someone like this?\This... is what Zentopia teaches?\Hey! Ain't anybody home?!\We don't allow outsiders to enter.\Don't be so petty. Just open the damn door.\Hey! response:	That was too straight.
context: Archbishop...\Why did you release someone like this?\This... is what Zentopia teaches?\Hey! Ain't anybody home?!\We don't allow outsiders to enter.\Don't be so petty. Just open the damn door.\Hey!\That was too straight. response:	When it comes to seducing a woman, the best way is a straight pitch.
context: Why did you release someone like this?\This... is what Zentopia teaches?\Hey! Ain't anybody home?!\We don't allow outsiders to enter.\Don't be so petty. Just open the damn door.\Hey!\That was too straight.\When it comes to seducing a woman, the best way is a straight pitch. response:	What is it that you're proud of?
context: This... is what Zentopia teaches?\Hey! Ain't anybody home?!\We don't allow outsiders to enter.\Don't be so petty. Just open the damn door.\Hey!\That was too straight.\When it comes to seducing a woman, the best way is a straight pitch.\What is it that you're proud of? response:	There's only one thing to do. Laki... Come here a second.
context: Hey! Ain't anybody home?!\We don't allow outsiders to enter.\Don't be so petty. Just open the damn door.\Hey!\That was too straight.\When it comes to seducing a woman, the best way is a straight pitch.\What is it that you're proud of?\There's only one thing to do. Laki... Come here a second. response:	Wha...?!
context: We don't allow outsiders to enter.\Don't be so petty. Just open the damn door.\Hey!\That was too straight.\When it comes to seducing a woman, the best way is a straight pitch.\What is it that you're proud of?\There's only one thing to do. Laki... Come here a second.\Wha...?! response:	Listen...
context: Don't be so petty. Just open the damn door.\Hey!\That was too straight.\When it comes to seducing a woman, the best way is a straight pitch.\What is it that you're proud of?\There's only one thing to do. Laki... Come here a second.\Wha...?!\Listen... response:	If you lay a hand on me, I'll tell Cana!
context: Hey!\That was too straight.\When it comes to seducing a woman, the best way is a straight pitch.\What is it that you're proud of?\There's only one thing to do. Laki... Come here a second.\Wha...?!\Listen...\If you lay a hand on me, I'll tell Cana! response:	It'll be a mix of truth and lies, with 85 lies!
context: That was too straight.\When it comes to seducing a woman, the best way is a straight pitch.\What is it that you're proud of?\There's only one thing to do. Laki... Come here a second.\Wha...?!\Listen...\If you lay a hand on me, I'll tell Cana!\It'll be a mix of truth and lies, with 85 lies! response:	Not that. I'm being serious here...
context: When it comes to seducing a woman, the best way is a straight pitch.\What is it that you're proud of?\There's only one thing to do. Laki... Come here a second.\Wha...?!\Listen...\If you lay a hand on me, I'll tell Cana!\It'll be a mix of truth and lies, with 85 lies!\Not that. I'm being serious here... response:	Look carefully at this abbey.
context: What is it that you're proud of?\There's only one thing to do. Laki... Come here a second.\Wha...?!\Listen...\If you lay a hand on me, I'll tell Cana!\It'll be a mix of truth and lies, with 85 lies!\Not that. I'm being serious here...\Look carefully at this abbey. response:	Molding Magic certainly is convenient.
context: There's only one thing to do. Laki... Come here a second.\Wha...?!\Listen...\If you lay a hand on me, I'll tell Cana!\It'll be a mix of truth and lies, with 85 lies!\Not that. I'm being serious here...\Look carefully at this abbey.\Molding Magic certainly is convenient. response:	Hey! Don't take advantage of the situation to touch my privates!
context: Wha...?!\Listen...\If you lay a hand on me, I'll tell Cana!\It'll be a mix of truth and lies, with 85 lies!\Not that. I'm being serious here...\Look carefully at this abbey.\Molding Magic certainly is convenient.\Hey! Don't take advantage of the situation to touch my privates! response:	Don't kick me!
context: Listen...\If you lay a hand on me, I'll tell Cana!\It'll be a mix of truth and lies, with 85 lies!\Not that. I'm being serious here...\Look carefully at this abbey.\Molding Magic certainly is convenient.\Hey! Don't take advantage of the situation to touch my privates!\Don't kick me! response:	It stinks!
context: If you lay a hand on me, I'll tell Cana!\It'll be a mix of truth and lies, with 85 lies!\Not that. I'm being serious here...\Look carefully at this abbey.\Molding Magic certainly is convenient.\Hey! Don't take advantage of the situation to touch my privates!\Don't kick me!\It stinks! response:	Sorry. It slipped out...
context: It'll be a mix of truth and lies, with 85 lies!\Not that. I'm being serious here...\Look carefully at this abbey.\Molding Magic certainly is convenient.\Hey! Don't take advantage of the situation to touch my privates!\Don't kick me!\It stinks!\Sorry. It slipped out... response:	They spotted us...
context: Not that. I'm being serious here...\Look carefully at this abbey.\Molding Magic certainly is convenient.\Hey! Don't take advantage of the situation to touch my privates!\Don't kick me!\It stinks!\Sorry. It slipped out...\They spotted us... response:	Yeesh. It turned out this way after all...
context: Look carefully at this abbey.\Molding Magic certainly is convenient.\Hey! Don't take advantage of the situation to touch my privates!\Don't kick me!\It stinks!\Sorry. It slipped out...\They spotted us...\Yeesh. It turned out this way after all... response:	And whose fault is that?!
context: Molding Magic certainly is convenient.\Hey! Don't take advantage of the situation to touch my privates!\Don't kick me!\It stinks!\Sorry. It slipped out...\They spotted us...\Yeesh. It turned out this way after all...\And whose fault is that?! response:	What is this?
context: Hey! Don't take advantage of the situation to touch my privates!\Don't kick me!\It stinks!\Sorry. It slipped out...\They spotted us...\Yeesh. It turned out this way after all...\And whose fault is that?!\What is this? response:	All the hair on my body is standing on end!
context: Don't kick me!\It stinks!\Sorry. It slipped out...\They spotted us...\Yeesh. It turned out this way after all...\And whose fault is that?!\What is this?\All the hair on my body is standing on end! response:	You mean to say these people are creeping you out, right?
context: It stinks!\Sorry. It slipped out...\They spotted us...\Yeesh. It turned out this way after all...\And whose fault is that?!\What is this?\All the hair on my body is standing on end!\You mean to say these people are creeping you out, right? response:	Wood Make! Heart's Sense of Distance!
context: Sorry. It slipped out...\They spotted us...\Yeesh. It turned out this way after all...\And whose fault is that?!\What is this?\All the hair on my body is standing on end!\You mean to say these people are creeping you out, right?\Wood Make! Heart's Sense of Distance! response:	Don't try and mob us!
context: They spotted us...\Yeesh. It turned out this way after all...\And whose fault is that?!\What is this?\All the hair on my body is standing on end!\You mean to say these people are creeping you out, right?\Wood Make! Heart's Sense of Distance!\Don't try and mob us! response:	Don't! You can't hit a nun!
context: Yeesh. It turned out this way after all...\And whose fault is that?!\What is this?\All the hair on my body is standing on end!\You mean to say these people are creeping you out, right?\Wood Make! Heart's Sense of Distance!\Don't try and mob us!\Don't! You can't hit a nun! response:	What's with these people?!
context: And whose fault is that?!\What is this?\All the hair on my body is standing on end!\You mean to say these people are creeping you out, right?\Wood Make! Heart's Sense of Distance!\Don't try and mob us!\Don't! You can't hit a nun!\What's with these people?! response:	Jeez, what a pain in the ass!
context: What is this?\All the hair on my body is standing on end!\You mean to say these people are creeping you out, right?\Wood Make! Heart's Sense of Distance!\Don't try and mob us!\Don't! You can't hit a nun!\What's with these people?!\Jeez, what a pain in the ass! response:	Stay away, I said!
context: All the hair on my body is standing on end!\You mean to say these people are creeping you out, right?\Wood Make! Heart's Sense of Distance!\Don't try and mob us!\Don't! You can't hit a nun!\What's with these people?!\Jeez, what a pain in the ass!\Stay away, I said! response:	That's enough, assholes!
context: You mean to say these people are creeping you out, right?\Wood Make! Heart's Sense of Distance!\Don't try and mob us!\Don't! You can't hit a nun!\What's with these people?!\Jeez, what a pain in the ass!\Stay away, I said!\That's enough, assholes! response:	Y-You massacred them?!
context: Wood Make! Heart's Sense of Distance!\Don't try and mob us!\Don't! You can't hit a nun!\What's with these people?!\Jeez, what a pain in the ass!\Stay away, I said!\That's enough, assholes!\Y-You massacred them?! response:	No! Look closely!
context: Don't try and mob us!\Don't! You can't hit a nun!\What's with these people?!\Jeez, what a pain in the ass!\Stay away, I said!\That's enough, assholes!\Y-You massacred them?!\No! Look closely! response:	They ain't human!
context: Don't! You can't hit a nun!\What's with these people?!\Jeez, what a pain in the ass!\Stay away, I said!\That's enough, assholes!\Y-You massacred them?!\No! Look closely!\They ain't human! response:	What is this? A doll made from earth and wood?
context: What's with these people?!\Jeez, what a pain in the ass!\Stay away, I said!\That's enough, assholes!\Y-You massacred them?!\No! Look closely!\They ain't human!\What is this? A doll made from earth and wood? response:	It doesn't seem like Molding Magic...
context: Jeez, what a pain in the ass!\Stay away, I said!\That's enough, assholes!\Y-You massacred them?!\No! Look closely!\They ain't human!\What is this? A doll made from earth and wood?\It doesn't seem like Molding Magic... response:	What are those Zentopia clowns thinking?
context: Stay away, I said!\That's enough, assholes!\Y-You massacred them?!\No! Look closely!\They ain't human!\What is this? A doll made from earth and wood?\It doesn't seem like Molding Magic...\What are those Zentopia clowns thinking? response:	Or more like, what are they hiding?
context: That's enough, assholes!\Y-You massacred them?!\No! Look closely!\They ain't human!\What is this? A doll made from earth and wood?\It doesn't seem like Molding Magic...\What are those Zentopia clowns thinking?\Or more like, what are they hiding? response:	Maybe it's something even worse than the Master feared.
context: Y-You massacred them?!\No! Look closely!\They ain't human!\What is this? A doll made from earth and wood?\It doesn't seem like Molding Magic...\What are those Zentopia clowns thinking?\Or more like, what are they hiding?\Maybe it's something even worse than the Master feared. response:	Yeah...
context: No! Look closely!\They ain't human!\What is this? A doll made from earth and wood?\It doesn't seem like Molding Magic...\What are those Zentopia clowns thinking?\Or more like, what are they hiding?\Maybe it's something even worse than the Master feared.\Yeah... response:	It looks like you were right on the money, Macao.
context: They ain't human!\What is this? A doll made from earth and wood?\It doesn't seem like Molding Magic...\What are those Zentopia clowns thinking?\Or more like, what are they hiding?\Maybe it's something even worse than the Master feared.\Yeah...\It looks like you were right on the money, Macao. response:	No need to hold back. Let's move in!
context: What is this? A doll made from earth and wood?\It doesn't seem like Molding Magic...\What are those Zentopia clowns thinking?\Or more like, what are they hiding?\Maybe it's something even worse than the Master feared.\Yeah...\It looks like you were right on the money, Macao.\No need to hold back. Let's move in! response:	Hasn't Oracion Seis gotten a lot stronger than the last time we fought them?
context: It doesn't seem like Molding Magic...\What are those Zentopia clowns thinking?\Or more like, what are they hiding?\Maybe it's something even worse than the Master feared.\Yeah...\It looks like you were right on the money, Macao.\No need to hold back. Let's move in!\Hasn't Oracion Seis gotten a lot stronger than the last time we fought them? response:	Maybe it's because they can't afford to lose for some reason...
context: What are those Zentopia clowns thinking?\Or more like, what are they hiding?\Maybe it's something even worse than the Master feared.\Yeah...\It looks like you were right on the money, Macao.\No need to hold back. Let's move in!\Hasn't Oracion Seis gotten a lot stronger than the last time we fought them?\Maybe it's because they can't afford to lose for some reason... response:	Could be. But we can't afford to lose either!
context: Or more like, what are they hiding?\Maybe it's something even worse than the Master feared.\Yeah...\It looks like you were right on the money, Macao.\No need to hold back. Let's move in!\Hasn't Oracion Seis gotten a lot stronger than the last time we fought them?\Maybe it's because they can't afford to lose for some reason...\Could be. But we can't afford to lose either! response:	You said it! We're gonna wipe the floor with them
context: Maybe it's something even worse than the Master feared.\Yeah...\It looks like you were right on the money, Macao.\No need to hold back. Let's move in!\Hasn't Oracion Seis gotten a lot stronger than the last time we fought them?\Maybe it's because they can't afford to lose for some reason...\Could be. But we can't afford to lose either!\You said it! We're gonna wipe the floor with them response:	and keep that chaos whatever from happenin'!
context: Yeah...\It looks like you were right on the money, Macao.\No need to hold back. Let's move in!\Hasn't Oracion Seis gotten a lot stronger than the last time we fought them?\Maybe it's because they can't afford to lose for some reason...\Could be. But we can't afford to lose either!\You said it! We're gonna wipe the floor with them\and keep that chaos whatever from happenin'! response:	Natsu, that's a pretty important key phrase.
context: It looks like you were right on the money, Macao.\No need to hold back. Let's move in!\Hasn't Oracion Seis gotten a lot stronger than the last time we fought them?\Maybe it's because they can't afford to lose for some reason...\Could be. But we can't afford to lose either!\You said it! We're gonna wipe the floor with them\and keep that chaos whatever from happenin'!\Natsu, that's a pretty important key phrase. response:	Next time: Anti-Link!
context: No need to hold back. Let's move in!\Hasn't Oracion Seis gotten a lot stronger than the last time we fought them?\Maybe it's because they can't afford to lose for some reason...\Could be. But we can't afford to lose either!\You said it! We're gonna wipe the floor with them\and keep that chaos whatever from happenin'!\Natsu, that's a pretty important key phrase.\Next time: Anti-Link! response:	Winning is more important than words!
context: Hasn't Oracion Seis gotten a lot stronger than the last time we fought them?\Maybe it's because they can't afford to lose for some reason...\Could be. But we can't afford to lose either!\You said it! We're gonna wipe the floor with them\and keep that chaos whatever from happenin'!\Natsu, that's a pretty important key phrase.\Next time: Anti-Link!\Winning is more important than words! response:	Well, yeah, but that's a blunt conclusion.
context: Maybe it's because they can't afford to lose for some reason...\Could be. But we can't afford to lose either!\You said it! We're gonna wipe the floor with them\and keep that chaos whatever from happenin'!\Natsu, that's a pretty important key phrase.\Next time: Anti-Link!\Winning is more important than words!\Well, yeah, but that's a blunt conclusion. response:	It's better to keep it simple with stuff like this.
