context: 23rd - Summer Break 25th - Summer School Starts response:	x becomes 4. Substitute this value in the formula to calculate the value of y.
context: Yeah, that kid who stopped playing midway.\The people who run this are reckless for sure.\I think she'll actually make an impact. Can't wait.\Wonder if she'll play it right today?\She'll probably go bonkers again.\Well, I came today just to see her.\Curse\All right! There's nobody I know around here. response:	Emi?
context: The people who run this are reckless for sure.\I think she'll actually make an impact. Can't wait.\Wonder if she'll play it right today?\She'll probably go bonkers again.\Well, I came today just to see her.\Curse\All right! There's nobody I know around here.\Emi? response:	Aren't you going to take your seat?
context: I think she'll actually make an impact. Can't wait.\Wonder if she'll play it right today?\She'll probably go bonkers again.\Well, I came today just to see her.\Curse\All right! There's nobody I know around here.\Emi?\Aren't you going to take your seat? response:	Ms. Ochiai?
context: Wonder if she'll play it right today?\She'll probably go bonkers again.\Well, I came today just to see her.\Curse\All right! There's nobody I know around here.\Emi?\Aren't you going to take your seat?\Ms. Ochiai? response:	Uh... did you call me Emi?
context: She'll probably go bonkers again.\Well, I came today just to see her.\Curse\All right! There's nobody I know around here.\Emi?\Aren't you going to take your seat?\Ms. Ochiai?\Uh... did you call me Emi? response:	I'm the one who told you about Arima-kun being an accompanist today.
context: Well, I came today just to see her.\Curse\All right! There's nobody I know around here.\Emi?\Aren't you going to take your seat?\Ms. Ochiai?\Uh... did you call me Emi?\I'm the one who told you about Arima-kun being an accompanist today. response:	N-N-N-Not that I came here to see Arima... I'm just here to enjoy some violin music...
context: Curse\All right! There's nobody I know around here.\Emi?\Aren't you going to take your seat?\Ms. Ochiai?\Uh... did you call me Emi?\I'm the one who told you about Arima-kun being an accompanist today.\N-N-N-Not that I came here to see Arima... I'm just here to enjoy some violin music... response:	Here's your program.
context: All right! There's nobody I know around here.\Emi?\Aren't you going to take your seat?\Ms. Ochiai?\Uh... did you call me Emi?\I'm the one who told you about Arima-kun being an accompanist today.\N-N-N-Not that I came here to see Arima... I'm just here to enjoy some violin music...\Here's your program. response:	Let's go. It'll be starting soon.
context: Emi?\Aren't you going to take your seat?\Ms. Ochiai?\Uh... did you call me Emi?\I'm the one who told you about Arima-kun being an accompanist today.\N-N-N-Not that I came here to see Arima... I'm just here to enjoy some violin music...\Here's your program.\Let's go. It'll be starting soon. response:	You witch!
context: Aren't you going to take your seat?\Ms. Ochiai?\Uh... did you call me Emi?\I'm the one who told you about Arima-kun being an accompanist today.\N-N-N-Not that I came here to see Arima... I'm just here to enjoy some violin music...\Here's your program.\Let's go. It'll be starting soon.\You witch! response:	No judging at gala concerts, so we can just sit back and enjoy ourselves.
context: Ms. Ochiai?\Uh... did you call me Emi?\I'm the one who told you about Arima-kun being an accompanist today.\N-N-N-Not that I came here to see Arima... I'm just here to enjoy some violin music...\Here's your program.\Let's go. It'll be starting soon.\You witch!\No judging at gala concerts, so we can just sit back and enjoy ourselves. response:	With this level of talent, we can certainly afford to listen like everyone else...
context: Uh... did you call me Emi?\I'm the one who told you about Arima-kun being an accompanist today.\N-N-N-Not that I came here to see Arima... I'm just here to enjoy some violin music...\Here's your program.\Let's go. It'll be starting soon.\You witch!\No judging at gala concerts, so we can just sit back and enjoy ourselves.\With this level of talent, we can certainly afford to listen like everyone else... response:	Now then, is it almost time for my favorite?
context: I'm the one who told you about Arima-kun being an accompanist today.\N-N-N-Not that I came here to see Arima... I'm just here to enjoy some violin music...\Here's your program.\Let's go. It'll be starting soon.\You witch!\No judging at gala concerts, so we can just sit back and enjoy ourselves.\With this level of talent, we can certainly afford to listen like everyone else...\Now then, is it almost time for my favorite? response:	Kaori Miyazono Sumitani Junior Highschool
context: N-N-N-Not that I came here to see Arima... I'm just here to enjoy some violin music...\Here's your program.\Let's go. It'll be starting soon.\You witch!\No judging at gala concerts, so we can just sit back and enjoy ourselves.\With this level of talent, we can certainly afford to listen like everyone else...\Now then, is it almost time for my favorite?\Kaori Miyazono Sumitani Junior Highschool response:	What does she think she's doing?
context: Here's your program.\Let's go. It'll be starting soon.\You witch!\No judging at gala concerts, so we can just sit back and enjoy ourselves.\With this level of talent, we can certainly afford to listen like everyone else...\Now then, is it almost time for my favorite?\Kaori Miyazono Sumitani Junior Highschool\What does she think she's doing? response:	The violinist a no-show? That's just insane!
context: Let's go. It'll be starting soon.\You witch!\No judging at gala concerts, so we can just sit back and enjoy ourselves.\With this level of talent, we can certainly afford to listen like everyone else...\Now then, is it almost time for my favorite?\Kaori Miyazono Sumitani Junior Highschool\What does she think she's doing?\The violinist a no-show? That's just insane! response:	Who is she, Michelangeli? Pogoreli?
context: You witch!\No judging at gala concerts, so we can just sit back and enjoy ourselves.\With this level of talent, we can certainly afford to listen like everyone else...\Now then, is it almost time for my favorite?\Kaori Miyazono Sumitani Junior Highschool\What does she think she's doing?\The violinist a no-show? That's just insane!\Who is she, Michelangeli? Pogoreli? response:	The show's started. Kao-chan's not here yet?
context: No judging at gala concerts, so we can just sit back and enjoy ourselves.\With this level of talent, we can certainly afford to listen like everyone else...\Now then, is it almost time for my favorite?\Kaori Miyazono Sumitani Junior Highschool\What does she think she's doing?\The violinist a no-show? That's just insane!\Who is she, Michelangeli? Pogoreli?\The show's started. Kao-chan's not here yet? response:	What am I supposed to do?
context: With this level of talent, we can certainly afford to listen like everyone else...\Now then, is it almost time for my favorite?\Kaori Miyazono Sumitani Junior Highschool\What does she think she's doing?\The violinist a no-show? That's just insane!\Who is she, Michelangeli? Pogoreli?\The show's started. Kao-chan's not here yet?\What am I supposed to do? response:	Is Kaori Miyazono this unpredictable?
context: Now then, is it almost time for my favorite?\Kaori Miyazono Sumitani Junior Highschool\What does she think she's doing?\The violinist a no-show? That's just insane!\Who is she, Michelangeli? Pogoreli?\The show's started. Kao-chan's not here yet?\What am I supposed to do?\Is Kaori Miyazono this unpredictable? response:	I've been calling her cell, but she's totally not picking up.
context: Kaori Miyazono Sumitani Junior Highschool\What does she think she's doing?\The violinist a no-show? That's just insane!\Who is she, Michelangeli? Pogoreli?\The show's started. Kao-chan's not here yet?\What am I supposed to do?\Is Kaori Miyazono this unpredictable?\I've been calling her cell, but she's totally not picking up. response:	Watari-kun
context: What does she think she's doing?\The violinist a no-show? That's just insane!\Who is she, Michelangeli? Pogoreli?\The show's started. Kao-chan's not here yet?\What am I supposed to do?\Is Kaori Miyazono this unpredictable?\I've been calling her cell, but she's totally not picking up.\Watari-kun response:	This is serious. I can't...
context: The violinist a no-show? That's just insane!\Who is she, Michelangeli? Pogoreli?\The show's started. Kao-chan's not here yet?\What am I supposed to do?\Is Kaori Miyazono this unpredictable?\I've been calling her cell, but she's totally not picking up.\Watari-kun\This is serious. I can't... response:	Let's go in and get prepared.
context: Who is she, Michelangeli? Pogoreli?\The show's started. Kao-chan's not here yet?\What am I supposed to do?\Is Kaori Miyazono this unpredictable?\I've been calling her cell, but she's totally not picking up.\Watari-kun\This is serious. I can't...\Let's go in and get prepared. response:	So we'll be ready whenever Miyazono does show up.
context: The show's started. Kao-chan's not here yet?\What am I supposed to do?\Is Kaori Miyazono this unpredictable?\I've been calling her cell, but she's totally not picking up.\Watari-kun\This is serious. I can't...\Let's go in and get prepared.\So we'll be ready whenever Miyazono does show up. response:	Please, keep calling Miyazono's cell.
context: What am I supposed to do?\Is Kaori Miyazono this unpredictable?\I've been calling her cell, but she's totally not picking up.\Watari-kun\This is serious. I can't...\Let's go in and get prepared.\So we'll be ready whenever Miyazono does show up.\Please, keep calling Miyazono's cell. response:	Right! Onee-sama!
context: Is Kaori Miyazono this unpredictable?\I've been calling her cell, but she's totally not picking up.\Watari-kun\This is serious. I can't...\Let's go in and get prepared.\So we'll be ready whenever Miyazono does show up.\Please, keep calling Miyazono's cell.\Right! Onee-sama! response:	I'm counting on you.
context: I've been calling her cell, but she's totally not picking up.\Watari-kun\This is serious. I can't...\Let's go in and get prepared.\So we'll be ready whenever Miyazono does show up.\Please, keep calling Miyazono's cell.\Right! Onee-sama!\I'm counting on you. response:	Ma'am!
context: Watari-kun\This is serious. I can't...\Let's go in and get prepared.\So we'll be ready whenever Miyazono does show up.\Please, keep calling Miyazono's cell.\Right! Onee-sama!\I'm counting on you.\Ma'am! response:	Good luck!
context: This is serious. I can't...\Let's go in and get prepared.\So we'll be ready whenever Miyazono does show up.\Please, keep calling Miyazono's cell.\Right! Onee-sama!\I'm counting on you.\Ma'am!\Good luck! response:	What should we do?
context: Let's go in and get prepared.\So we'll be ready whenever Miyazono does show up.\Please, keep calling Miyazono's cell.\Right! Onee-sama!\I'm counting on you.\Ma'am!\Good luck!\What should we do? response:	I'll go ask if they'll move you guys down in the order.
context: So we'll be ready whenever Miyazono does show up.\Please, keep calling Miyazono's cell.\Right! Onee-sama!\I'm counting on you.\Ma'am!\Good luck!\What should we do?\I'll go ask if they'll move you guys down in the order. response:	Since it's a gala concert, they might be a little more flexible.
context: Please, keep calling Miyazono's cell.\Right! Onee-sama!\I'm counting on you.\Ma'am!\Good luck!\What should we do?\I'll go ask if they'll move you guys down in the order.\Since it's a gala concert, they might be a little more flexible. response:	As long as we can get the performers to agree...
context: Right! Onee-sama!\I'm counting on you.\Ma'am!\Good luck!\What should we do?\I'll go ask if they'll move you guys down in the order.\Since it's a gala concert, they might be a little more flexible.\As long as we can get the performers to agree... response:	We can wait on Miyazono till the last possible second.
context: I'm counting on you.\Ma'am!\Good luck!\What should we do?\I'll go ask if they'll move you guys down in the order.\Since it's a gala concert, they might be a little more flexible.\As long as we can get the performers to agree...\We can wait on Miyazono till the last possible second. response:	Why...
context: Ma'am!\Good luck!\What should we do?\I'll go ask if they'll move you guys down in the order.\Since it's a gala concert, they might be a little more flexible.\As long as we can get the performers to agree...\We can wait on Miyazono till the last possible second.\Why... response:	If that doesn't pan out, we'll just have to forget it.
context: Good luck!\What should we do?\I'll go ask if they'll move you guys down in the order.\Since it's a gala concert, they might be a little more flexible.\As long as we can get the performers to agree...\We can wait on Miyazono till the last possible second.\Why...\If that doesn't pan out, we'll just have to forget it. response:	Yes... you're right.
context: What should we do?\I'll go ask if they'll move you guys down in the order.\Since it's a gala concert, they might be a little more flexible.\As long as we can get the performers to agree...\We can wait on Miyazono till the last possible second.\Why...\If that doesn't pan out, we'll just have to forget it.\Yes... you're right. response:	But why?
context: I'll go ask if they'll move you guys down in the order.\Since it's a gala concert, they might be a little more flexible.\As long as we can get the performers to agree...\We can wait on Miyazono till the last possible second.\Why...\If that doesn't pan out, we'll just have to forget it.\Yes... you're right.\But why? response:	What will you do?
context: Since it's a gala concert, they might be a little more flexible.\As long as we can get the performers to agree...\We can wait on Miyazono till the last possible second.\Why...\If that doesn't pan out, we'll just have to forget it.\Yes... you're right.\But why?\What will you do? response:	This is the song I want to play!
context: As long as we can get the performers to agree...\We can wait on Miyazono till the last possible second.\Why...\If that doesn't pan out, we'll just have to forget it.\Yes... you're right.\But why?\What will you do?\This is the song I want to play! response:	Weren't you looking forward to this?
context: We can wait on Miyazono till the last possible second.\Why...\If that doesn't pan out, we'll just have to forget it.\Yes... you're right.\But why?\What will you do?\This is the song I want to play!\Weren't you looking forward to this? response:	I was an idiot for getting carried away.
context: Why...\If that doesn't pan out, we'll just have to forget it.\Yes... you're right.\But why?\What will you do?\This is the song I want to play!\Weren't you looking forward to this?\I was an idiot for getting carried away. response:	It's almost Kaori Miyazono's turn.
context: If that doesn't pan out, we'll just have to forget it.\Yes... you're right.\But why?\What will you do?\This is the song I want to play!\Weren't you looking forward to this?\I was an idiot for getting carried away.\It's almost Kaori Miyazono's turn. response:	Wonder what she's going to do this time?
context: Yes... you're right.\But why?\What will you do?\This is the song I want to play!\Weren't you looking forward to this?\I was an idiot for getting carried away.\It's almost Kaori Miyazono's turn.\Wonder what she's going to do this time? response:	It's been a while since I've felt this excited.
context: But why?\What will you do?\This is the song I want to play!\Weren't you looking forward to this?\I was an idiot for getting carried away.\It's almost Kaori Miyazono's turn.\Wonder what she's going to do this time?\It's been a while since I've felt this excited. response:	That's unacceptable.
context: What will you do?\This is the song I want to play!\Weren't you looking forward to this?\I was an idiot for getting carried away.\It's almost Kaori Miyazono's turn.\Wonder what she's going to do this time?\It's been a while since I've felt this excited.\That's unacceptable. response:	Please! She's on a bus right now, on her way here!
context: This is the song I want to play!\Weren't you looking forward to this?\I was an idiot for getting carried away.\It's almost Kaori Miyazono's turn.\Wonder what she's going to do this time?\It's been a while since I've felt this excited.\That's unacceptable.\Please! She's on a bus right now, on her way here! response:	Be that as it may, I don't have the authority to...
context: Weren't you looking forward to this?\I was an idiot for getting carried away.\It's almost Kaori Miyazono's turn.\Wonder what she's going to do this time?\It's been a while since I've felt this excited.\That's unacceptable.\Please! She's on a bus right now, on her way here!\Be that as it may, I don't have the authority to... response:	What's going on?
context: I was an idiot for getting carried away.\It's almost Kaori Miyazono's turn.\Wonder what she's going to do this time?\It's been a while since I've felt this excited.\That's unacceptable.\Please! She's on a bus right now, on her way here!\Be that as it may, I don't have the authority to...\What's going on? response:	Miike-kun?
context: It's almost Kaori Miyazono's turn.\Wonder what she's going to do this time?\It's been a while since I've felt this excited.\That's unacceptable.\Please! She's on a bus right now, on her way here!\Be that as it may, I don't have the authority to...\What's going on?\Miike-kun? response:	Miike-kun... He's the final act of the junior high division?
context: Wonder what she's going to do this time?\It's been a while since I've felt this excited.\That's unacceptable.\Please! She's on a bus right now, on her way here!\Be that as it may, I don't have the authority to...\What's going on?\Miike-kun?\Miike-kun... He's the final act of the junior high division? response:	That's right, being that he won the competition.
context: It's been a while since I've felt this excited.\That's unacceptable.\Please! She's on a bus right now, on her way here!\Be that as it may, I don't have the authority to...\What's going on?\Miike-kun?\Miike-kun... He's the final act of the junior high division?\That's right, being that he won the competition. response:	Nice timing!
context: That's unacceptable.\Please! She's on a bus right now, on her way here!\Be that as it may, I don't have the authority to...\What's going on?\Miike-kun?\Miike-kun... He's the final act of the junior high division?\That's right, being that he won the competition.\Nice timing! response:	Sorry, but could you let them play after you?
context: Please! She's on a bus right now, on her way here!\Be that as it may, I don't have the authority to...\What's going on?\Miike-kun?\Miike-kun... He's the final act of the junior high division?\That's right, being that he won the competition.\Nice timing!\Sorry, but could you let them play after you? response:	Our violinist's running late.
context: Be that as it may, I don't have the authority to...\What's going on?\Miike-kun?\Miike-kun... He's the final act of the junior high division?\That's right, being that he won the competition.\Nice timing!\Sorry, but could you let them play after you?\Our violinist's running late. response:	Running late?
context: What's going on?\Miike-kun?\Miike-kun... He's the final act of the junior high division?\That's right, being that he won the competition.\Nice timing!\Sorry, but could you let them play after you?\Our violinist's running late.\Running late? response:	Her name's Kaori Miyazono. I'm sure she'll be here soon.
context: Miike-kun?\Miike-kun... He's the final act of the junior high division?\That's right, being that he won the competition.\Nice timing!\Sorry, but could you let them play after you?\Our violinist's running late.\Running late?\Her name's Kaori Miyazono. I'm sure she'll be here soon. response:	You think you could let her play after you?
context: Miike-kun... He's the final act of the junior high division?\That's right, being that he won the competition.\Nice timing!\Sorry, but could you let them play after you?\Our violinist's running late.\Running late?\Her name's Kaori Miyazono. I'm sure she'll be here soon.\You think you could let her play after you? response:	Miyazono-san's playing, too, right?
context: That's right, being that he won the competition.\Nice timing!\Sorry, but could you let them play after you?\Our violinist's running late.\Running late?\Her name's Kaori Miyazono. I'm sure she'll be here soon.\You think you could let her play after you?\Miyazono-san's playing, too, right? response:	Can't wait!
context: Nice timing!\Sorry, but could you let them play after you?\Our violinist's running late.\Running late?\Her name's Kaori Miyazono. I'm sure she'll be here soon.\You think you could let her play after you?\Miyazono-san's playing, too, right?\Can't wait! response:	Absolutely not.
context: Sorry, but could you let them play after you?\Our violinist's running late.\Running late?\Her name's Kaori Miyazono. I'm sure she'll be here soon.\You think you could let her play after you?\Miyazono-san's playing, too, right?\Can't wait!\Absolutely not. response:	The final act of this gala concert...
context: Our violinist's running late.\Running late?\Her name's Kaori Miyazono. I'm sure she'll be here soon.\You think you could let her play after you?\Miyazono-san's playing, too, right?\Can't wait!\Absolutely not.\The final act of this gala concert... response:	The starring role... it's mine.
context: Running late?\Her name's Kaori Miyazono. I'm sure she'll be here soon.\You think you could let her play after you?\Miyazono-san's playing, too, right?\Can't wait!\Absolutely not.\The final act of this gala concert...\The starring role... it's mine. response:	Well, of course it is.
context: Her name's Kaori Miyazono. I'm sure she'll be here soon.\You think you could let her play after you?\Miyazono-san's playing, too, right?\Can't wait!\Absolutely not.\The final act of this gala concert...\The starring role... it's mine.\Well, of course it is. response:	It is your moment of triumph, after all. We only have ourselves to blame.
context: You think you could let her play after you?\Miyazono-san's playing, too, right?\Can't wait!\Absolutely not.\The final act of this gala concert...\The starring role... it's mine.\Well, of course it is.\It is your moment of triumph, after all. We only have ourselves to blame. response:	I apologize for being so presumptuous.
context: Miyazono-san's playing, too, right?\Can't wait!\Absolutely not.\The final act of this gala concert...\The starring role... it's mine.\Well, of course it is.\It is your moment of triumph, after all. We only have ourselves to blame.\I apologize for being so presumptuous. response:	Looks like we're going to have to withdraw.
context: Can't wait!\Absolutely not.\The final act of this gala concert...\The starring role... it's mine.\Well, of course it is.\It is your moment of triumph, after all. We only have ourselves to blame.\I apologize for being so presumptuous.\Looks like we're going to have to withdraw. response:	A-Anyway,
context: Absolutely not.\The final act of this gala concert...\The starring role... it's mine.\Well, of course it is.\It is your moment of triumph, after all. We only have ourselves to blame.\I apologize for being so presumptuous.\Looks like we're going to have to withdraw.\A-Anyway, response:	it's her own fault for being late on a day like this.
context: The final act of this gala concert...\The starring role... it's mine.\Well, of course it is.\It is your moment of triumph, after all. We only have ourselves to blame.\I apologize for being so presumptuous.\Looks like we're going to have to withdraw.\A-Anyway,\it's her own fault for being late on a day like this. response:	Her playing's such a mess, no wonder her lifestyle's all messed up too.
context: The starring role... it's mine.\Well, of course it is.\It is your moment of triumph, after all. We only have ourselves to blame.\I apologize for being so presumptuous.\Looks like we're going to have to withdraw.\A-Anyway,\it's her own fault for being late on a day like this.\Her playing's such a mess, no wonder her lifestyle's all messed up too. response:	She thinks she's special just because the audience kind of liked her,
context: Well, of course it is.\It is your moment of triumph, after all. We only have ourselves to blame.\I apologize for being so presumptuous.\Looks like we're going to have to withdraw.\A-Anyway,\it's her own fault for being late on a day like this.\Her playing's such a mess, no wonder her lifestyle's all messed up too.\She thinks she's special just because the audience kind of liked her, response:	so she shows up late without a second thought!
context: It is your moment of triumph, after all. We only have ourselves to blame.\I apologize for being so presumptuous.\Looks like we're going to have to withdraw.\A-Anyway,\it's her own fault for being late on a day like this.\Her playing's such a mess, no wonder her lifestyle's all messed up too.\She thinks she's special just because the audience kind of liked her,\so she shows up late without a second thought! response:	You don't have to go that far...
context: I apologize for being so presumptuous.\Looks like we're going to have to withdraw.\A-Anyway,\it's her own fault for being late on a day like this.\Her playing's such a mess, no wonder her lifestyle's all messed up too.\She thinks she's special just because the audience kind of liked her,\so she shows up late without a second thought!\You don't have to go that far... response:	But isn't that a fact?
context: Looks like we're going to have to withdraw.\A-Anyway,\it's her own fault for being late on a day like this.\Her playing's such a mess, no wonder her lifestyle's all messed up too.\She thinks she's special just because the audience kind of liked her,\so she shows up late without a second thought!\You don't have to go that far...\But isn't that a fact? response:	The music is written in the score.
context: A-Anyway,\it's her own fault for being late on a day like this.\Her playing's such a mess, no wonder her lifestyle's all messed up too.\She thinks she's special just because the audience kind of liked her,\so she shows up late without a second thought!\You don't have to go that far...\But isn't that a fact?\The music is written in the score. response:	What she produces is disastrous. It's not music or anything at all!
context: it's her own fault for being late on a day like this.\Her playing's such a mess, no wonder her lifestyle's all messed up too.\She thinks she's special just because the audience kind of liked her,\so she shows up late without a second thought!\You don't have to go that far...\But isn't that a fact?\The music is written in the score.\What she produces is disastrous. It's not music or anything at all! response:	You little brat, who are you to talk like that?
context: Her playing's such a mess, no wonder her lifestyle's all messed up too.\She thinks she's special just because the audience kind of liked her,\so she shows up late without a second thought!\You don't have to go that far...\But isn't that a fact?\The music is written in the score.\What she produces is disastrous. It's not music or anything at all!\You little brat, who are you to talk like that? response:	All right, then. Sorry for causing a disturbance before you perform.
context: She thinks she's special just because the audience kind of liked her,\so she shows up late without a second thought!\You don't have to go that far...\But isn't that a fact?\The music is written in the score.\What she produces is disastrous. It's not music or anything at all!\You little brat, who are you to talk like that?\All right, then. Sorry for causing a disturbance before you perform. response:	Come on, Kousei,
context: so she shows up late without a second thought!\You don't have to go that far...\But isn't that a fact?\The music is written in the score.\What she produces is disastrous. It's not music or anything at all!\You little brat, who are you to talk like that?\All right, then. Sorry for causing a disturbance before you perform.\Come on, Kousei, response:	aren't you pissed at all? He insulted your partner!
context: You don't have to go that far...\But isn't that a fact?\The music is written in the score.\What she produces is disastrous. It's not music or anything at all!\You little brat, who are you to talk like that?\All right, then. Sorry for causing a disturbance before you perform.\Come on, Kousei,\aren't you pissed at all? He insulted your partner! response:	Let's go by the program.
context: But isn't that a fact?\The music is written in the score.\What she produces is disastrous. It's not music or anything at all!\You little brat, who are you to talk like that?\All right, then. Sorry for causing a disturbance before you perform.\Come on, Kousei,\aren't you pissed at all? He insulted your partner!\Let's go by the program. response:	Please perform the final act of the junior high division, Miike-san.
context: The music is written in the score.\What she produces is disastrous. It's not music or anything at all!\You little brat, who are you to talk like that?\All right, then. Sorry for causing a disturbance before you perform.\Come on, Kousei,\aren't you pissed at all? He insulted your partner!\Let's go by the program.\Please perform the final act of the junior high division, Miike-san. response:	However...
context: What she produces is disastrous. It's not music or anything at all!\You little brat, who are you to talk like that?\All right, then. Sorry for causing a disturbance before you perform.\Come on, Kousei,\aren't you pissed at all? He insulted your partner!\Let's go by the program.\Please perform the final act of the junior high division, Miike-san.\However... response:	The spotlight!
context: You little brat, who are you to talk like that?\All right, then. Sorry for causing a disturbance before you perform.\Come on, Kousei,\aren't you pissed at all? He insulted your partner!\Let's go by the program.\Please perform the final act of the junior high division, Miike-san.\However...\The spotlight! response:	Today's spotlight belongs to us.
context: All right, then. Sorry for causing a disturbance before you perform.\Come on, Kousei,\aren't you pissed at all? He insulted your partner!\Let's go by the program.\Please perform the final act of the junior high division, Miike-san.\However...\The spotlight!\Today's spotlight belongs to us. response:	The promoters' choice for the junior high division, Ms. Kaori Miyazono.
context: Come on, Kousei,\aren't you pissed at all? He insulted your partner!\Let's go by the program.\Please perform the final act of the junior high division, Miike-san.\However...\The spotlight!\Today's spotlight belongs to us.\The promoters' choice for the junior high division, Ms. Kaori Miyazono. response:	Here she comes!
context: aren't you pissed at all? He insulted your partner!\Let's go by the program.\Please perform the final act of the junior high division, Miike-san.\However...\The spotlight!\Today's spotlight belongs to us.\The promoters' choice for the junior high division, Ms. Kaori Miyazono.\Here she comes! response:	At last.
context: Let's go by the program.\Please perform the final act of the junior high division, Miike-san.\However...\The spotlight!\Today's spotlight belongs to us.\The promoters' choice for the junior high division, Ms. Kaori Miyazono.\Here she comes!\At last. response:	It's Miyazono.
context: Please perform the final act of the junior high division, Miike-san.\However...\The spotlight!\Today's spotlight belongs to us.\The promoters' choice for the junior high division, Ms. Kaori Miyazono.\Here she comes!\At last.\It's Miyazono. response:	She got here in time?
context: However...\The spotlight!\Today's spotlight belongs to us.\The promoters' choice for the junior high division, Ms. Kaori Miyazono.\Here she comes!\At last.\It's Miyazono.\She got here in time? response:	It's Kaori Miyazono.
context: The spotlight!\Today's spotlight belongs to us.\The promoters' choice for the junior high division, Ms. Kaori Miyazono.\Here she comes!\At last.\It's Miyazono.\She got here in time?\It's Kaori Miyazono. response:	Isn't he the accompanist?
context: Today's spotlight belongs to us.\The promoters' choice for the junior high division, Ms. Kaori Miyazono.\Here she comes!\At last.\It's Miyazono.\She got here in time?\It's Kaori Miyazono.\Isn't he the accompanist? response:	Where's the violinist? Where's Miyazono-san?
context: The promoters' choice for the junior high division, Ms. Kaori Miyazono.\Here she comes!\At last.\It's Miyazono.\She got here in time?\It's Kaori Miyazono.\Isn't he the accompanist?\Where's the violinist? Where's Miyazono-san? response:	Arima, surely you're not playing alone...?
context: Here she comes!\At last.\It's Miyazono.\She got here in time?\It's Kaori Miyazono.\Isn't he the accompanist?\Where's the violinist? Where's Miyazono-san?\Arima, surely you're not playing alone...? response:	Unprecedented.
context: At last.\It's Miyazono.\She got here in time?\It's Kaori Miyazono.\Isn't he the accompanist?\Where's the violinist? Where's Miyazono-san?\Arima, surely you're not playing alone...?\Unprecedented. response:	Kousei...
context: It's Miyazono.\She got here in time?\It's Kaori Miyazono.\Isn't he the accompanist?\Where's the violinist? Where's Miyazono-san?\Arima, surely you're not playing alone...?\Unprecedented.\Kousei... response:	Twinkle Little Star
context: She got here in time?\It's Kaori Miyazono.\Isn't he the accompanist?\Where's the violinist? Where's Miyazono-san?\Arima, surely you're not playing alone...?\Unprecedented.\Kousei...\Twinkle Little Star response:	Episode 13 Love's Sadness
context: It's Kaori Miyazono.\Isn't he the accompanist?\Where's the violinist? Where's Miyazono-san?\Arima, surely you're not playing alone...?\Unprecedented.\Kousei...\Twinkle Little Star\Episode 13 Love's Sadness response:	Watch Again Next Week!
context: Isn't he the accompanist?\Where's the violinist? Where's Miyazono-san?\Arima, surely you're not playing alone...?\Unprecedented.\Kousei...\Twinkle Little Star\Episode 13 Love's Sadness\Watch Again Next Week! response:	Two People on a Bike is Forbidden By Law
