context: By the decree of the Heavenly Lord response:	I've come to invite High God Zhe Yan to the Nine Heavens to save a person.
context: Just a bit would do.\If you won't tell me, I'm really going to leave.\I'm really leaving.\I'm going now!\Your Highness!\Why have you left your bed?\High God Zhe Yan said that you still need to rest.\It's best that you don't leave the bed or move around. response:	Although your husband is young, he's a very prudent planner.
context: If you won't tell me, I'm really going to leave.\I'm really leaving.\I'm going now!\Your Highness!\Why have you left your bed?\High God Zhe Yan said that you still need to rest.\It's best that you don't leave the bed or move around.\Although your husband is young, he's a very prudent planner. response:	He had you keep a close eye on the Soul-gathering Lamp for three nights
context: I'm really leaving.\I'm going now!\Your Highness!\Why have you left your bed?\High God Zhe Yan said that you still need to rest.\It's best that you don't leave the bed or move around.\Although your husband is young, he's a very prudent planner.\He had you keep a close eye on the Soul-gathering Lamp for three nights response:	while he reported to the Heavenly Lord how it is against the celestial law
context: I'm going now!\Your Highness!\Why have you left your bed?\High God Zhe Yan said that you still need to rest.\It's best that you don't leave the bed or move around.\Although your husband is young, he's a very prudent planner.\He had you keep a close eye on the Soul-gathering Lamp for three nights\while he reported to the Heavenly Lord how it is against the celestial law response:	for divine fungal grass to exist in Yingzhou of the Eastern Sea.
context: Your Highness!\Why have you left your bed?\High God Zhe Yan said that you still need to rest.\It's best that you don't leave the bed or move around.\Although your husband is young, he's a very prudent planner.\He had you keep a close eye on the Soul-gathering Lamp for three nights\while he reported to the Heavenly Lord how it is against the celestial law\for divine fungal grass to exist in Yingzhou of the Eastern Sea. response:	He listed a great many reasons.
context: Why have you left your bed?\High God Zhe Yan said that you still need to rest.\It's best that you don't leave the bed or move around.\Although your husband is young, he's a very prudent planner.\He had you keep a close eye on the Soul-gathering Lamp for three nights\while he reported to the Heavenly Lord how it is against the celestial law\for divine fungal grass to exist in Yingzhou of the Eastern Sea.\He listed a great many reasons. response:	He asked the Heavenly Lord to send him to Yingzhou
context: High God Zhe Yan said that you still need to rest.\It's best that you don't leave the bed or move around.\Although your husband is young, he's a very prudent planner.\He had you keep a close eye on the Soul-gathering Lamp for three nights\while he reported to the Heavenly Lord how it is against the celestial law\for divine fungal grass to exist in Yingzhou of the Eastern Sea.\He listed a great many reasons.\He asked the Heavenly Lord to send him to Yingzhou response:	to destroy all the divine fungal grass.
context: It's best that you don't leave the bed or move around.\Although your husband is young, he's a very prudent planner.\He had you keep a close eye on the Soul-gathering Lamp for three nights\while he reported to the Heavenly Lord how it is against the celestial law\for divine fungal grass to exist in Yingzhou of the Eastern Sea.\He listed a great many reasons.\He asked the Heavenly Lord to send him to Yingzhou\to destroy all the divine fungal grass. response:	The Heavenly Lord read his report and believed his reasoning.
context: Although your husband is young, he's a very prudent planner.\He had you keep a close eye on the Soul-gathering Lamp for three nights\while he reported to the Heavenly Lord how it is against the celestial law\for divine fungal grass to exist in Yingzhou of the Eastern Sea.\He listed a great many reasons.\He asked the Heavenly Lord to send him to Yingzhou\to destroy all the divine fungal grass.\The Heavenly Lord read his report and believed his reasoning. response:	He agreed to his request.
context: He had you keep a close eye on the Soul-gathering Lamp for three nights\while he reported to the Heavenly Lord how it is against the celestial law\for divine fungal grass to exist in Yingzhou of the Eastern Sea.\He listed a great many reasons.\He asked the Heavenly Lord to send him to Yingzhou\to destroy all the divine fungal grass.\The Heavenly Lord read his report and believed his reasoning.\He agreed to his request. response:	But when Ye Hua returned severely wounded
context: while he reported to the Heavenly Lord how it is against the celestial law\for divine fungal grass to exist in Yingzhou of the Eastern Sea.\He listed a great many reasons.\He asked the Heavenly Lord to send him to Yingzhou\to destroy all the divine fungal grass.\The Heavenly Lord read his report and believed his reasoning.\He agreed to his request.\But when Ye Hua returned severely wounded response:	he thought that his grandson ended up in such a bad shape
context: for divine fungal grass to exist in Yingzhou of the Eastern Sea.\He listed a great many reasons.\He asked the Heavenly Lord to send him to Yingzhou\to destroy all the divine fungal grass.\The Heavenly Lord read his report and believed his reasoning.\He agreed to his request.\But when Ye Hua returned severely wounded\he thought that his grandson ended up in such a bad shape response:	because of those four mythical beasts guarding the divine fungal grass.
context: He listed a great many reasons.\He asked the Heavenly Lord to send him to Yingzhou\to destroy all the divine fungal grass.\The Heavenly Lord read his report and believed his reasoning.\He agreed to his request.\But when Ye Hua returned severely wounded\he thought that his grandson ended up in such a bad shape\because of those four mythical beasts guarding the divine fungal grass. response:	He regretted having overestimated his grandson's ability
context: He asked the Heavenly Lord to send him to Yingzhou\to destroy all the divine fungal grass.\The Heavenly Lord read his report and believed his reasoning.\He agreed to his request.\But when Ye Hua returned severely wounded\he thought that his grandson ended up in such a bad shape\because of those four mythical beasts guarding the divine fungal grass.\He regretted having overestimated his grandson's ability response:	and not sending more men to assist him.
context: to destroy all the divine fungal grass.\The Heavenly Lord read his report and believed his reasoning.\He agreed to his request.\But when Ye Hua returned severely wounded\he thought that his grandson ended up in such a bad shape\because of those four mythical beasts guarding the divine fungal grass.\He regretted having overestimated his grandson's ability\and not sending more men to assist him. response:	It's because of the report that the Heavenly Lord would never have thought
context: The Heavenly Lord read his report and believed his reasoning.\He agreed to his request.\But when Ye Hua returned severely wounded\he thought that his grandson ended up in such a bad shape\because of those four mythical beasts guarding the divine fungal grass.\He regretted having overestimated his grandson's ability\and not sending more men to assist him.\It's because of the report that the Heavenly Lord would never have thought response:	that Ye Hua ended up in this predicament for your sake.
context: He agreed to his request.\But when Ye Hua returned severely wounded\he thought that his grandson ended up in such a bad shape\because of those four mythical beasts guarding the divine fungal grass.\He regretted having overestimated his grandson's ability\and not sending more men to assist him.\It's because of the report that the Heavenly Lord would never have thought\that Ye Hua ended up in this predicament for your sake. response:	Tell me.
context: But when Ye Hua returned severely wounded\he thought that his grandson ended up in such a bad shape\because of those four mythical beasts guarding the divine fungal grass.\He regretted having overestimated his grandson's ability\and not sending more men to assist him.\It's because of the report that the Heavenly Lord would never have thought\that Ye Hua ended up in this predicament for your sake.\Tell me. response:	Did he not plan this all out very meticulously?
context: he thought that his grandson ended up in such a bad shape\because of those four mythical beasts guarding the divine fungal grass.\He regretted having overestimated his grandson's ability\and not sending more men to assist him.\It's because of the report that the Heavenly Lord would never have thought\that Ye Hua ended up in this predicament for your sake.\Tell me.\Did he not plan this all out very meticulously? response:	No wonder before he left for the West Sea
context: because of those four mythical beasts guarding the divine fungal grass.\He regretted having overestimated his grandson's ability\and not sending more men to assist him.\It's because of the report that the Heavenly Lord would never have thought\that Ye Hua ended up in this predicament for your sake.\Tell me.\Did he not plan this all out very meticulously?\No wonder before he left for the West Sea response:	he kept reminding me to watch over the prince
context: He regretted having overestimated his grandson's ability\and not sending more men to assist him.\It's because of the report that the Heavenly Lord would never have thought\that Ye Hua ended up in this predicament for your sake.\Tell me.\Did he not plan this all out very meticulously?\No wonder before he left for the West Sea\he kept reminding me to watch over the prince response:	for three nights without leaving his side.
context: and not sending more men to assist him.\It's because of the report that the Heavenly Lord would never have thought\that Ye Hua ended up in this predicament for your sake.\Tell me.\Did he not plan this all out very meticulously?\No wonder before he left for the West Sea\he kept reminding me to watch over the prince\for three nights without leaving his side. response:	I wondered why such a quiet man had suddenly become such a nag.
context: It's because of the report that the Heavenly Lord would never have thought\that Ye Hua ended up in this predicament for your sake.\Tell me.\Did he not plan this all out very meticulously?\No wonder before he left for the West Sea\he kept reminding me to watch over the prince\for three nights without leaving his side.\I wondered why such a quiet man had suddenly become such a nag. response:	He was actually trying to make me stay in the West Sea
context: that Ye Hua ended up in this predicament for your sake.\Tell me.\Did he not plan this all out very meticulously?\No wonder before he left for the West Sea\he kept reminding me to watch over the prince\for three nights without leaving his side.\I wondered why such a quiet man had suddenly become such a nag.\He was actually trying to make me stay in the West Sea response:	while he went to Yingzhou alone.
context: Tell me.\Did he not plan this all out very meticulously?\No wonder before he left for the West Sea\he kept reminding me to watch over the prince\for three nights without leaving his side.\I wondered why such a quiet man had suddenly become such a nag.\He was actually trying to make me stay in the West Sea\while he went to Yingzhou alone. response:	Don't worry, I've applied medication on his wounds.
context: Did he not plan this all out very meticulously?\No wonder before he left for the West Sea\he kept reminding me to watch over the prince\for three nights without leaving his side.\I wondered why such a quiet man had suddenly become such a nag.\He was actually trying to make me stay in the West Sea\while he went to Yingzhou alone.\Don't worry, I've applied medication on his wounds. response:	He only needs to recuperate well.
context: No wonder before he left for the West Sea\he kept reminding me to watch over the prince\for three nights without leaving his side.\I wondered why such a quiet man had suddenly become such a nag.\He was actually trying to make me stay in the West Sea\while he went to Yingzhou alone.\Don't worry, I've applied medication on his wounds.\He only needs to recuperate well. response:	It's just that his arm is gone.
context: he kept reminding me to watch over the prince\for three nights without leaving his side.\I wondered why such a quiet man had suddenly become such a nag.\He was actually trying to make me stay in the West Sea\while he went to Yingzhou alone.\Don't worry, I've applied medication on his wounds.\He only needs to recuperate well.\It's just that his arm is gone. response:	It's not exactly gone.
context: for three nights without leaving his side.\I wondered why such a quiet man had suddenly become such a nag.\He was actually trying to make me stay in the West Sea\while he went to Yingzhou alone.\Don't worry, I've applied medication on his wounds.\He only needs to recuperate well.\It's just that his arm is gone.\It's not exactly gone. response:	Look at that fake arm I've made him.
context: I wondered why such a quiet man had suddenly become such a nag.\He was actually trying to make me stay in the West Sea\while he went to Yingzhou alone.\Don't worry, I've applied medication on his wounds.\He only needs to recuperate well.\It's just that his arm is gone.\It's not exactly gone.\Look at that fake arm I've made him. response:	It might not be working now but after tens of thousands of years
context: He was actually trying to make me stay in the West Sea\while he went to Yingzhou alone.\Don't worry, I've applied medication on his wounds.\He only needs to recuperate well.\It's just that his arm is gone.\It's not exactly gone.\Look at that fake arm I've made him.\It might not be working now but after tens of thousands of years response:	it might be cultivated enough to become functional.
context: while he went to Yingzhou alone.\Don't worry, I've applied medication on his wounds.\He only needs to recuperate well.\It's just that his arm is gone.\It's not exactly gone.\Look at that fake arm I've made him.\It might not be working now but after tens of thousands of years\it might be cultivated enough to become functional. response:	Why is he so silly?
context: Don't worry, I've applied medication on his wounds.\He only needs to recuperate well.\It's just that his arm is gone.\It's not exactly gone.\Look at that fake arm I've made him.\It might not be working now but after tens of thousands of years\it might be cultivated enough to become functional.\Why is he so silly? response:	He regards himself as your future husband.
context: He only needs to recuperate well.\It's just that his arm is gone.\It's not exactly gone.\Look at that fake arm I've made him.\It might not be working now but after tens of thousands of years\it might be cultivated enough to become functional.\Why is he so silly?\He regards himself as your future husband. response:	Whatever kindness you owe Mo Yuan
context: It's just that his arm is gone.\It's not exactly gone.\Look at that fake arm I've made him.\It might not be working now but after tens of thousands of years\it might be cultivated enough to become functional.\Why is he so silly?\He regards himself as your future husband.\Whatever kindness you owe Mo Yuan response:	he's willing to repay him for you as much as he can.
context: It's not exactly gone.\Look at that fake arm I've made him.\It might not be working now but after tens of thousands of years\it might be cultivated enough to become functional.\Why is he so silly?\He regards himself as your future husband.\Whatever kindness you owe Mo Yuan\he's willing to repay him for you as much as he can. response:	He even told me to keep it from you because he knows you too well.
context: Look at that fake arm I've made him.\It might not be working now but after tens of thousands of years\it might be cultivated enough to become functional.\Why is he so silly?\He regards himself as your future husband.\Whatever kindness you owe Mo Yuan\he's willing to repay him for you as much as he can.\He even told me to keep it from you because he knows you too well. response:	He's afraid once you know that the elixir used up most of his cultivation
context: It might not be working now but after tens of thousands of years\it might be cultivated enough to become functional.\Why is he so silly?\He regards himself as your future husband.\Whatever kindness you owe Mo Yuan\he's willing to repay him for you as much as he can.\He even told me to keep it from you because he knows you too well.\He's afraid once you know that the elixir used up most of his cultivation response:	you surely won't use it.
context: it might be cultivated enough to become functional.\Why is he so silly?\He regards himself as your future husband.\Whatever kindness you owe Mo Yuan\he's willing to repay him for you as much as he can.\He even told me to keep it from you because he knows you too well.\He's afraid once you know that the elixir used up most of his cultivation\you surely won't use it. response:	Although he hasn't been with me for a long time, he does know me very well.
context: Why is he so silly?\He regards himself as your future husband.\Whatever kindness you owe Mo Yuan\he's willing to repay him for you as much as he can.\He even told me to keep it from you because he knows you too well.\He's afraid once you know that the elixir used up most of his cultivation\you surely won't use it.\Although he hasn't been with me for a long time, he does know me very well. response:	He does know you very well.
context: He regards himself as your future husband.\Whatever kindness you owe Mo Yuan\he's willing to repay him for you as much as he can.\He even told me to keep it from you because he knows you too well.\He's afraid once you know that the elixir used up most of his cultivation\you surely won't use it.\Although he hasn't been with me for a long time, he does know me very well.\He does know you very well. response:	Some matters can only be resolved if you understand.
context: Whatever kindness you owe Mo Yuan\he's willing to repay him for you as much as he can.\He even told me to keep it from you because he knows you too well.\He's afraid once you know that the elixir used up most of his cultivation\you surely won't use it.\Although he hasn't been with me for a long time, he does know me very well.\He does know you very well.\Some matters can only be resolved if you understand. response:	What is it that I don't understand?
context: he's willing to repay him for you as much as he can.\He even told me to keep it from you because he knows you too well.\He's afraid once you know that the elixir used up most of his cultivation\you surely won't use it.\Although he hasn't been with me for a long time, he does know me very well.\He does know you very well.\Some matters can only be resolved if you understand.\What is it that I don't understand? response:	He kept it from me.
context: He even told me to keep it from you because he knows you too well.\He's afraid once you know that the elixir used up most of his cultivation\you surely won't use it.\Although he hasn't been with me for a long time, he does know me very well.\He does know you very well.\Some matters can only be resolved if you understand.\What is it that I don't understand?\He kept it from me. response:	Exactly.
context: He's afraid once you know that the elixir used up most of his cultivation\you surely won't use it.\Although he hasn't been with me for a long time, he does know me very well.\He does know you very well.\Some matters can only be resolved if you understand.\What is it that I don't understand?\He kept it from me.\Exactly. response:	You're never that attentive.
context: you surely won't use it.\Although he hasn't been with me for a long time, he does know me very well.\He does know you very well.\Some matters can only be resolved if you understand.\What is it that I don't understand?\He kept it from me.\Exactly.\You're never that attentive. response:	Who knew that you'd find out?
context: Although he hasn't been with me for a long time, he does know me very well.\He does know you very well.\Some matters can only be resolved if you understand.\What is it that I don't understand?\He kept it from me.\Exactly.\You're never that attentive.\Who knew that you'd find out? response:	But I'm very impressed by Ye Hua's responsible attitude.
context: He does know you very well.\Some matters can only be resolved if you understand.\What is it that I don't understand?\He kept it from me.\Exactly.\You're never that attentive.\Who knew that you'd find out?\But I'm very impressed by Ye Hua's responsible attitude. response:	He has a very tough personality.
context: Some matters can only be resolved if you understand.\What is it that I don't understand?\He kept it from me.\Exactly.\You're never that attentive.\Who knew that you'd find out?\But I'm very impressed by Ye Hua's responsible attitude.\He has a very tough personality. response:	At 70,000 years old he slayed the four beasts all together.
context: What is it that I don't understand?\He kept it from me.\Exactly.\You're never that attentive.\Who knew that you'd find out?\But I'm very impressed by Ye Hua's responsible attitude.\He has a very tough personality.\At 70,000 years old he slayed the four beasts all together. response:	He has very promising future.
context: He kept it from me.\Exactly.\You're never that attentive.\Who knew that you'd find out?\But I'm very impressed by Ye Hua's responsible attitude.\He has a very tough personality.\At 70,000 years old he slayed the four beasts all together.\He has very promising future. response:	It's just that his elite cultivation is all gone.
context: Exactly.\You're never that attentive.\Who knew that you'd find out?\But I'm very impressed by Ye Hua's responsible attitude.\He has a very tough personality.\At 70,000 years old he slayed the four beasts all together.\He has very promising future.\It's just that his elite cultivation is all gone. response:	What a pity.
context: You're never that attentive.\Who knew that you'd find out?\But I'm very impressed by Ye Hua's responsible attitude.\He has a very tough personality.\At 70,000 years old he slayed the four beasts all together.\He has very promising future.\It's just that his elite cultivation is all gone.\What a pity. response:	I knew it.
context: Who knew that you'd find out?\But I'm very impressed by Ye Hua's responsible attitude.\He has a very tough personality.\At 70,000 years old he slayed the four beasts all together.\He has very promising future.\It's just that his elite cultivation is all gone.\What a pity.\I knew it. response:	Taowu is a very persistent and ferocious beast.
context: But I'm very impressed by Ye Hua's responsible attitude.\He has a very tough personality.\At 70,000 years old he slayed the four beasts all together.\He has very promising future.\It's just that his elite cultivation is all gone.\What a pity.\I knew it.\Taowu is a very persistent and ferocious beast. response:	Once it sinks its teeth into something
context: He has a very tough personality.\At 70,000 years old he slayed the four beasts all together.\He has very promising future.\It's just that his elite cultivation is all gone.\What a pity.\I knew it.\Taowu is a very persistent and ferocious beast.\Once it sinks its teeth into something response:	it won't let go until it swallows all the flesh and bones.
context: At 70,000 years old he slayed the four beasts all together.\He has very promising future.\It's just that his elite cultivation is all gone.\What a pity.\I knew it.\Taowu is a very persistent and ferocious beast.\Once it sinks its teeth into something\it won't let go until it swallows all the flesh and bones. response:	He claimed that it was just a small injury.
context: He has very promising future.\It's just that his elite cultivation is all gone.\What a pity.\I knew it.\Taowu is a very persistent and ferocious beast.\Once it sinks its teeth into something\it won't let go until it swallows all the flesh and bones.\He claimed that it was just a small injury. response:	It has already come to that. Just let him recuperate.
context: It's just that his elite cultivation is all gone.\What a pity.\I knew it.\Taowu is a very persistent and ferocious beast.\Once it sinks its teeth into something\it won't let go until it swallows all the flesh and bones.\He claimed that it was just a small injury.\It has already come to that. Just let him recuperate. response:	There's nothing you can do even if you're worried.
context: What a pity.\I knew it.\Taowu is a very persistent and ferocious beast.\Once it sinks its teeth into something\it won't let go until it swallows all the flesh and bones.\He claimed that it was just a small injury.\It has already come to that. Just let him recuperate.\There's nothing you can do even if you're worried. response:	Why don't you get some rest here?
context: I knew it.\Taowu is a very persistent and ferocious beast.\Once it sinks its teeth into something\it won't let go until it swallows all the flesh and bones.\He claimed that it was just a small injury.\It has already come to that. Just let him recuperate.\There's nothing you can do even if you're worried.\Why don't you get some rest here? response:	I should stay by his side.
context: Taowu is a very persistent and ferocious beast.\Once it sinks its teeth into something\it won't let go until it swallows all the flesh and bones.\He claimed that it was just a small injury.\It has already come to that. Just let him recuperate.\There's nothing you can do even if you're worried.\Why don't you get some rest here?\I should stay by his side. response:	What can you do for him even if you go there now?
context: Once it sinks its teeth into something\it won't let go until it swallows all the flesh and bones.\He claimed that it was just a small injury.\It has already come to that. Just let him recuperate.\There's nothing you can do even if you're worried.\Why don't you get some rest here?\I should stay by his side.\What can you do for him even if you go there now? response:	You can only stay by his side.
context: it won't let go until it swallows all the flesh and bones.\He claimed that it was just a small injury.\It has already come to that. Just let him recuperate.\There's nothing you can do even if you're worried.\Why don't you get some rest here?\I should stay by his side.\What can you do for him even if you go there now?\You can only stay by his side. response:	Even if it means nothing
context: He claimed that it was just a small injury.\It has already come to that. Just let him recuperate.\There's nothing you can do even if you're worried.\Why don't you get some rest here?\I should stay by his side.\What can you do for him even if you go there now?\You can only stay by his side.\Even if it means nothing response:	I still want go to him right away and stay by his side.
context: It has already come to that. Just let him recuperate.\There's nothing you can do even if you're worried.\Why don't you get some rest here?\I should stay by his side.\What can you do for him even if you go there now?\You can only stay by his side.\Even if it means nothing\I still want go to him right away and stay by his side. response:	He was afraid that you would react like this.
context: There's nothing you can do even if you're worried.\Why don't you get some rest here?\I should stay by his side.\What can you do for him even if you go there now?\You can only stay by his side.\Even if it means nothing\I still want go to him right away and stay by his side.\He was afraid that you would react like this. response:	Won't that mean it was a waste of effort to keep this matter from you?
context: Why don't you get some rest here?\I should stay by his side.\What can you do for him even if you go there now?\You can only stay by his side.\Even if it means nothing\I still want go to him right away and stay by his side.\He was afraid that you would react like this.\Won't that mean it was a waste of effort to keep this matter from you? response:	Don't worry.
context: I should stay by his side.\What can you do for him even if you go there now?\You can only stay by his side.\Even if it means nothing\I still want go to him right away and stay by his side.\He was afraid that you would react like this.\Won't that mean it was a waste of effort to keep this matter from you?\Don't worry. response:	If he means to keep me in the dark, I'll just act ignorant.
context: What can you do for him even if you go there now?\You can only stay by his side.\Even if it means nothing\I still want go to him right away and stay by his side.\He was afraid that you would react like this.\Won't that mean it was a waste of effort to keep this matter from you?\Don't worry.\If he means to keep me in the dark, I'll just act ignorant. response:	If so, go ahead and keep him company.
context: You can only stay by his side.\Even if it means nothing\I still want go to him right away and stay by his side.\He was afraid that you would react like this.\Won't that mean it was a waste of effort to keep this matter from you?\Don't worry.\If he means to keep me in the dark, I'll just act ignorant.\If so, go ahead and keep him company. response:	I still have some elixirs for enhancing the spirit and essence.
context: Even if it means nothing\I still want go to him right away and stay by his side.\He was afraid that you would react like this.\Won't that mean it was a waste of effort to keep this matter from you?\Don't worry.\If he means to keep me in the dark, I'll just act ignorant.\If so, go ahead and keep him company.\I still have some elixirs for enhancing the spirit and essence. response:	Take them with you.
context: I still want go to him right away and stay by his side.\He was afraid that you would react like this.\Won't that mean it was a waste of effort to keep this matter from you?\Don't worry.\If he means to keep me in the dark, I'll just act ignorant.\If so, go ahead and keep him company.\I still have some elixirs for enhancing the spirit and essence.\Take them with you. response:	Why are you staring at me like that?
context: He was afraid that you would react like this.\Won't that mean it was a waste of effort to keep this matter from you?\Don't worry.\If he means to keep me in the dark, I'll just act ignorant.\If so, go ahead and keep him company.\I still have some elixirs for enhancing the spirit and essence.\Take them with you.\Why are you staring at me like that? response:	Aren't you taking care of the eldest prince of the West Sea?
context: Won't that mean it was a waste of effort to keep this matter from you?\Don't worry.\If he means to keep me in the dark, I'll just act ignorant.\If so, go ahead and keep him company.\I still have some elixirs for enhancing the spirit and essence.\Take them with you.\Why are you staring at me like that?\Aren't you taking care of the eldest prince of the West Sea? response:	Why have you slipped out to come to see me in the middle of the night?
context: Don't worry.\If he means to keep me in the dark, I'll just act ignorant.\If so, go ahead and keep him company.\I still have some elixirs for enhancing the spirit and essence.\Take them with you.\Why are you staring at me like that?\Aren't you taking care of the eldest prince of the West Sea?\Why have you slipped out to come to see me in the middle of the night? response:	Has something bad happened to that prince?
context: If he means to keep me in the dark, I'll just act ignorant.\If so, go ahead and keep him company.\I still have some elixirs for enhancing the spirit and essence.\Take them with you.\Why are you staring at me like that?\Aren't you taking care of the eldest prince of the West Sea?\Why have you slipped out to come to see me in the middle of the night?\Has something bad happened to that prince? response:	Die Yong is fine.
context: If so, go ahead and keep him company.\I still have some elixirs for enhancing the spirit and essence.\Take them with you.\Why are you staring at me like that?\Aren't you taking care of the eldest prince of the West Sea?\Why have you slipped out to come to see me in the middle of the night?\Has something bad happened to that prince?\Die Yong is fine. response:	I've already wrapped up that matter.
context: I still have some elixirs for enhancing the spirit and essence.\Take them with you.\Why are you staring at me like that?\Aren't you taking care of the eldest prince of the West Sea?\Why have you slipped out to come to see me in the middle of the night?\Has something bad happened to that prince?\Die Yong is fine.\I've already wrapped up that matter. response:	I just thought of your injured arm.
context: Take them with you.\Why are you staring at me like that?\Aren't you taking care of the eldest prince of the West Sea?\Why have you slipped out to come to see me in the middle of the night?\Has something bad happened to that prince?\Die Yong is fine.\I've already wrapped up that matter.\I just thought of your injured arm. response:	It might not be easy for you to pour tea or hold a cup.
context: Why are you staring at me like that?\Aren't you taking care of the eldest prince of the West Sea?\Why have you slipped out to come to see me in the middle of the night?\Has something bad happened to that prince?\Die Yong is fine.\I've already wrapped up that matter.\I just thought of your injured arm.\It might not be easy for you to pour tea or hold a cup. response:	So I came to look after you.
context: Aren't you taking care of the eldest prince of the West Sea?\Why have you slipped out to come to see me in the middle of the night?\Has something bad happened to that prince?\Die Yong is fine.\I've already wrapped up that matter.\I just thought of your injured arm.\It might not be easy for you to pour tea or hold a cup.\So I came to look after you. response:	Qian Qian.
context: Why have you slipped out to come to see me in the middle of the night?\Has something bad happened to that prince?\Die Yong is fine.\I've already wrapped up that matter.\I just thought of your injured arm.\It might not be easy for you to pour tea or hold a cup.\So I came to look after you.\Qian Qian. response:	Come here.
context: Has something bad happened to that prince?\Die Yong is fine.\I've already wrapped up that matter.\I just thought of your injured arm.\It might not be easy for you to pour tea or hold a cup.\So I came to look after you.\Qian Qian.\Come here. response:	That's not a good idea.
context: Die Yong is fine.\I've already wrapped up that matter.\I just thought of your injured arm.\It might not be easy for you to pour tea or hold a cup.\So I came to look after you.\Qian Qian.\Come here.\That's not a good idea. response:	I'd better squeeze in with Riceball.
context: I've already wrapped up that matter.\I just thought of your injured arm.\It might not be easy for you to pour tea or hold a cup.\So I came to look after you.\Qian Qian.\Come here.\That's not a good idea.\I'd better squeeze in with Riceball. response:	You should get some rest tonight and I'll visit you tomorrow.
context: I just thought of your injured arm.\It might not be easy for you to pour tea or hold a cup.\So I came to look after you.\Qian Qian.\Come here.\That's not a good idea.\I'd better squeeze in with Riceball.\You should get some rest tonight and I'll visit you tomorrow. response:	Now that I have only one arm
context: It might not be easy for you to pour tea or hold a cup.\So I came to look after you.\Qian Qian.\Come here.\That's not a good idea.\I'd better squeeze in with Riceball.\You should get some rest tonight and I'll visit you tomorrow.\Now that I have only one arm response:	you can push me away if you aren't willing.
context: So I came to look after you.\Qian Qian.\Come here.\That's not a good idea.\I'd better squeeze in with Riceball.\You should get some rest tonight and I'll visit you tomorrow.\Now that I have only one arm\you can push me away if you aren't willing. response:	Can I take up half of your bed tonight?
context: Qian Qian.\Come here.\That's not a good idea.\I'd better squeeze in with Riceball.\You should get some rest tonight and I'll visit you tomorrow.\Now that I have only one arm\you can push me away if you aren't willing.\Can I take up half of your bed tonight? response:	This body of yours won't take up half of my bed.
context: Come here.\That's not a good idea.\I'd better squeeze in with Riceball.\You should get some rest tonight and I'll visit you tomorrow.\Now that I have only one arm\you can push me away if you aren't willing.\Can I take up half of your bed tonight?\This body of yours won't take up half of my bed. response:	Would you like to sleep on the edge without a blanket tonight?
context: That's not a good idea.\I'd better squeeze in with Riceball.\You should get some rest tonight and I'll visit you tomorrow.\Now that I have only one arm\you can push me away if you aren't willing.\Can I take up half of your bed tonight?\This body of yours won't take up half of my bed.\Would you like to sleep on the edge without a blanket tonight? response:	Or would you prefer to lie in my arms under the blanket?
context: I'd better squeeze in with Riceball.\You should get some rest tonight and I'll visit you tomorrow.\Now that I have only one arm\you can push me away if you aren't willing.\Can I take up half of your bed tonight?\This body of yours won't take up half of my bed.\Would you like to sleep on the edge without a blanket tonight?\Or would you prefer to lie in my arms under the blanket? response:	We can both sleep on the edge under the blanket.
context: You should get some rest tonight and I'll visit you tomorrow.\Now that I have only one arm\you can push me away if you aren't willing.\Can I take up half of your bed tonight?\This body of yours won't take up half of my bed.\Would you like to sleep on the edge without a blanket tonight?\Or would you prefer to lie in my arms under the blanket?\We can both sleep on the edge under the blanket. response:	That is a good idea.
context: Now that I have only one arm\you can push me away if you aren't willing.\Can I take up half of your bed tonight?\This body of yours won't take up half of my bed.\Would you like to sleep on the edge without a blanket tonight?\Or would you prefer to lie in my arms under the blanket?\We can both sleep on the edge under the blanket.\That is a good idea. response:	You already know about it all?
context: you can push me away if you aren't willing.\Can I take up half of your bed tonight?\This body of yours won't take up half of my bed.\Would you like to sleep on the edge without a blanket tonight?\Or would you prefer to lie in my arms under the blanket?\We can both sleep on the edge under the blanket.\That is a good idea.\You already know about it all? response:	You are as you have always been.
context: Can I take up half of your bed tonight?\This body of yours won't take up half of my bed.\Would you like to sleep on the edge without a blanket tonight?\Or would you prefer to lie in my arms under the blanket?\We can both sleep on the edge under the blanket.\That is a good idea.\You already know about it all?\You are as you have always been. response:	You don't like to owe any favors.
context: This body of yours won't take up half of my bed.\Would you like to sleep on the edge without a blanket tonight?\Or would you prefer to lie in my arms under the blanket?\We can both sleep on the edge under the blanket.\That is a good idea.\You already know about it all?\You are as you have always been.\You don't like to owe any favors. response:	I don't like to owe anyone favors.
context: Would you like to sleep on the edge without a blanket tonight?\Or would you prefer to lie in my arms under the blanket?\We can both sleep on the edge under the blanket.\That is a good idea.\You already know about it all?\You are as you have always been.\You don't like to owe any favors.\I don't like to owe anyone favors. response:	Are you asleep?
context: Or would you prefer to lie in my arms under the blanket?\We can both sleep on the edge under the blanket.\That is a good idea.\You already know about it all?\You are as you have always been.\You don't like to owe any favors.\I don't like to owe anyone favors.\Are you asleep? response:	I'm asleep.
context: We can both sleep on the edge under the blanket.\That is a good idea.\You already know about it all?\You are as you have always been.\You don't like to owe any favors.\I don't like to owe anyone favors.\Are you asleep?\I'm asleep. response:	Grand Ziming Palace is really an inauspicious place.
