context: We finally defeated the commander of Oracion Seis, Brain! response:	That dude Jura's crazy powerful!
context: I know...\I know the light within Jellal...\Erza...\You can still stand?\Live, and grab the future in front of you.\It is your words that give me the courage, that are my light.\Just as the rumors say, Erza...\I'll take great satisfaction in destroying you! response:	I will stop you and your foolish desire!
context: I know the light within Jellal...\Erza...\You can still stand?\Live, and grab the future in front of you.\It is your words that give me the courage, that are my light.\Just as the rumors say, Erza...\I'll take great satisfaction in destroying you!\I will stop you and your foolish desire! response:	Without fail.
context: Erza...\You can still stand?\Live, and grab the future in front of you.\It is your words that give me the courage, that are my light.\Just as the rumors say, Erza...\I'll take great satisfaction in destroying you!\I will stop you and your foolish desire!\Without fail. response:	We're all beat up, and it's now that the strongest enemy shows up?
context: You can still stand?\Live, and grab the future in front of you.\It is your words that give me the courage, that are my light.\Just as the rumors say, Erza...\I'll take great satisfaction in destroying you!\I will stop you and your foolish desire!\Without fail.\We're all beat up, and it's now that the strongest enemy shows up? response:	It's like they hit the reset button!
context: Live, and grab the future in front of you.\It is your words that give me the courage, that are my light.\Just as the rumors say, Erza...\I'll take great satisfaction in destroying you!\I will stop you and your foolish desire!\Without fail.\We're all beat up, and it's now that the strongest enemy shows up?\It's like they hit the reset button! response:	Our battles before weren't a waste.
context: It is your words that give me the courage, that are my light.\Just as the rumors say, Erza...\I'll take great satisfaction in destroying you!\I will stop you and your foolish desire!\Without fail.\We're all beat up, and it's now that the strongest enemy shows up?\It's like they hit the reset button!\Our battles before weren't a waste. response:	And besides, if we beat this guy, it's finally over for real!
context: Just as the rumors say, Erza...\I'll take great satisfaction in destroying you!\I will stop you and your foolish desire!\Without fail.\We're all beat up, and it's now that the strongest enemy shows up?\It's like they hit the reset button!\Our battles before weren't a waste.\And besides, if we beat this guy, it's finally over for real! response:	Always overly optimistic, huh Natsu?
context: I'll take great satisfaction in destroying you!\I will stop you and your foolish desire!\Without fail.\We're all beat up, and it's now that the strongest enemy shows up?\It's like they hit the reset button!\Our battles before weren't a waste.\And besides, if we beat this guy, it's finally over for real!\Always overly optimistic, huh Natsu? response:	Just call me a positive thinker!
context: I will stop you and your foolish desire!\Without fail.\We're all beat up, and it's now that the strongest enemy shows up?\It's like they hit the reset button!\Our battles before weren't a waste.\And besides, if we beat this guy, it's finally over for real!\Always overly optimistic, huh Natsu?\Just call me a positive thinker! response:	Next time: Zero!
context: Without fail.\We're all beat up, and it's now that the strongest enemy shows up?\It's like they hit the reset button!\Our battles before weren't a waste.\And besides, if we beat this guy, it's finally over for real!\Always overly optimistic, huh Natsu?\Just call me a positive thinker!\Next time: Zero! response:	But what you said is true, Natsu.
context: We're all beat up, and it's now that the strongest enemy shows up?\It's like they hit the reset button!\Our battles before weren't a waste.\And besides, if we beat this guy, it's finally over for real!\Always overly optimistic, huh Natsu?\Just call me a positive thinker!\Next time: Zero!\But what you said is true, Natsu. response:	See? I said something good, right?
context: It's like they hit the reset button!\Our battles before weren't a waste.\And besides, if we beat this guy, it's finally over for real!\Always overly optimistic, huh Natsu?\Just call me a positive thinker!\Next time: Zero!\But what you said is true, Natsu.\See? I said something good, right? response:	Right?
context: Our battles before weren't a waste.\And besides, if we beat this guy, it's finally over for real!\Always overly optimistic, huh Natsu?\Just call me a positive thinker!\Next time: Zero!\But what you said is true, Natsu.\See? I said something good, right?\Right? response:	And now you ruined it.
