context: A recently opened restaurant in a corner of Hargeon, 8island. response:	I would like a blue-sky with meat sauce, and a holly soda-poyo.
context: Crap! I forgot to put on clothes!\Those guys? Not a chance...\Your beauty doesn't do the rumors justice.\How do you do, Titania?\Now, come this way.\Have a hot towel.\Are you hungry?\No... response:	We have cake. How about some?
context: Those guys? Not a chance...\Your beauty doesn't do the rumors justice.\How do you do, Titania?\Now, come this way.\Have a hot towel.\Are you hungry?\No...\We have cake. How about some? response:	I'll pass.
context: Your beauty doesn't do the rumors justice.\How do you do, Titania?\Now, come this way.\Have a hot towel.\Are you hungry?\No...\We have cake. How about some?\I'll pass. response:	What's going on here?
context: How do you do, Titania?\Now, come this way.\Have a hot towel.\Are you hungry?\No...\We have cake. How about some?\I'll pass.\What's going on here? response:	You... Have a seat yourself.
context: Now, come this way.\Have a hot towel.\Are you hungry?\No...\We have cake. How about some?\I'll pass.\What's going on here?\You... Have a seat yourself. response:	And hey... You're just too damn cute.
context: Have a hot towel.\Are you hungry?\No...\We have cake. How about some?\I'll pass.\What's going on here?\You... Have a seat yourself.\And hey... You're just too damn cute. response:	What's with them?
context: Are you hungry?\No...\We have cake. How about some?\I'll pass.\What's going on here?\You... Have a seat yourself.\And hey... You're just too damn cute.\What's with them? response:	Who are they?
context: No...\We have cake. How about some?\I'll pass.\What's going on here?\You... Have a seat yourself.\And hey... You're just too damn cute.\What's with them?\Who are they? response:	Let's work together for this plan.
context: We have cake. How about some?\I'll pass.\What's going on here?\You... Have a seat yourself.\And hey... You're just too damn cute.\What's with them?\Who are they?\Let's work together for this plan. response:	We need to combine our strength and...
context: I'll pass.\What's going on here?\You... Have a seat yourself.\And hey... You're just too damn cute.\What's with them?\Who are they?\Let's work together for this plan.\We need to combine our strength and... response:	So cute...
context: What's going on here?\You... Have a seat yourself.\And hey... You're just too damn cute.\What's with them?\Who are they?\Let's work together for this plan.\We need to combine our strength and...\So cute... response:	That demeanor of yours... it's wonderful.
context: You... Have a seat yourself.\And hey... You're just too damn cute.\What's with them?\Who are they?\Let's work together for this plan.\We need to combine our strength and...\So cute...\That demeanor of yours... it's wonderful. response:	I've always looked up to you.
context: And hey... You're just too damn cute.\What's with them?\Who are they?\Let's work together for this plan.\We need to combine our strength and...\So cute...\That demeanor of yours... it's wonderful.\I've always looked up to you. response:	I-It's not like I made it specially for you, or anything...
context: What's with them?\Who are they?\Let's work together for this plan.\We need to combine our strength and...\So cute...\That demeanor of yours... it's wonderful.\I've always looked up to you.\I-It's not like I made it specially for you, or anything... response:	Now he's tsundere?!
context: Who are they?\Let's work together for this plan.\We need to combine our strength and...\So cute...\That demeanor of yours... it's wonderful.\I've always looked up to you.\I-It's not like I made it specially for you, or anything...\Now he's tsundere?! response:	Come... You must be tired from your long journey.
context: Let's work together for this plan.\We need to combine our strength and...\So cute...\That demeanor of yours... it's wonderful.\I've always looked up to you.\I-It's not like I made it specially for you, or anything...\Now he's tsundere?!\Come... You must be tired from your long journey. response:	Spend tonight with us...
context: We need to combine our strength and...\So cute...\That demeanor of yours... it's wonderful.\I've always looked up to you.\I-It's not like I made it specially for you, or anything...\Now he's tsundere?!\Come... You must be tired from your long journey.\Spend tonight with us... response:	Forever!
context: So cute...\That demeanor of yours... it's wonderful.\I've always looked up to you.\I-It's not like I made it specially for you, or anything...\Now he's tsundere?!\Come... You must be tired from your long journey.\Spend tonight with us...\Forever! response:	Guests...
context: That demeanor of yours... it's wonderful.\I've always looked up to you.\I-It's not like I made it specially for you, or anything...\Now he's tsundere?!\Come... You must be tired from your long journey.\Spend tonight with us...\Forever!\Guests... response:	Stay right where you are.
context: I've always looked up to you.\I-It's not like I made it specially for you, or anything...\Now he's tsundere?!\Come... You must be tired from your long journey.\Spend tonight with us...\Forever!\Guests...\Stay right where you are. response:	What's that silky smooth voice?
context: I-It's not like I made it specially for you, or anything...\Now he's tsundere?!\Come... You must be tired from your long journey.\Spend tonight with us...\Forever!\Guests...\Stay right where you are.\What's that silky smooth voice? response:	It's Ichiya-sama!
context: Now he's tsundere?!\Come... You must be tired from your long journey.\Spend tonight with us...\Forever!\Guests...\Stay right where you are.\What's that silky smooth voice?\It's Ichiya-sama! response:	I-Ichiya?
context: Come... You must be tired from your long journey.\Spend tonight with us...\Forever!\Guests...\Stay right where you are.\What's that silky smooth voice?\It's Ichiya-sama!\I-Ichiya? response:	It has been quite a while, Erza-san...
context: Spend tonight with us...\Forever!\Guests...\Stay right where you are.\What's that silky smooth voice?\It's Ichiya-sama!\I-Ichiya?\It has been quite a while, Erza-san... response:	I can't believe it... You're joining us?
context: Forever!\Guests...\Stay right where you are.\What's that silky smooth voice?\It's Ichiya-sama!\I-Ichiya?\It has been quite a while, Erza-san...\I can't believe it... You're joining us? response:	I've longed to see you, My Honey.
context: Guests...\Stay right where you are.\What's that silky smooth voice?\It's Ichiya-sama!\I-Ichiya?\It has been quite a while, Erza-san...\I can't believe it... You're joining us?\I've longed to see you, My Honey. response:	Ichiya is here, at your service!
context: Stay right where you are.\What's that silky smooth voice?\It's Ichiya-sama!\I-Ichiya?\It has been quite a while, Erza-san...\I can't believe it... You're joining us?\I've longed to see you, My Honey.\Ichiya is here, at your service! response:	*sparkle*
context: What's that silky smooth voice?\It's Ichiya-sama!\I-Ichiya?\It has been quite a while, Erza-san...\I can't believe it... You're joining us?\I've longed to see you, My Honey.\Ichiya is here, at your service!\*sparkle* response:	My Honey?
context: It's Ichiya-sama!\I-Ichiya?\It has been quite a while, Erza-san...\I can't believe it... You're joining us?\I've longed to see you, My Honey.\Ichiya is here, at your service!\*sparkle*\My Honey? response:	Erza is...
context: I-Ichiya?\It has been quite a while, Erza-san...\I can't believe it... You're joining us?\I've longed to see you, My Honey.\Ichiya is here, at your service!\*sparkle*\My Honey?\Erza is... response:	What an unexpected...
context: It has been quite a while, Erza-san...\I can't believe it... You're joining us?\I've longed to see you, My Honey.\Ichiya is here, at your service!\*sparkle*\My Honey?\Erza is...\What an unexpected... response:	What an unexpected...
context: I can't believe it... You're joining us?\I've longed to see you, My Honey.\Ichiya is here, at your service!\*sparkle*\My Honey?\Erza is...\What an unexpected...\What an unexpected... response:	Wasshoi!
context: I've longed to see you, My Honey.\Ichiya is here, at your service!\*sparkle*\My Honey?\Erza is...\What an unexpected...\What an unexpected...\Wasshoi! response:	Wasshoi!
context: Ichiya is here, at your service!\*sparkle*\My Honey?\Erza is...\What an unexpected...\What an unexpected...\Wasshoi!\Wasshoi! response:	Wasshoi!
context: *sparkle*\My Honey?\Erza is...\What an unexpected...\What an unexpected...\Wasshoi!\Wasshoi!\Wasshoi! response:	Wasshoi!
context: My Honey?\Erza is...\What an unexpected...\What an unexpected...\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi! response:	Wasshoi!
context: Erza is...\What an unexpected...\What an unexpected...\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi! response:	Wasshoi!
context: What an unexpected...\What an unexpected...\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi! response:	You're Ichiya-sama's girlfriend?
context: What an unexpected...\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\You're Ichiya-sama's girlfriend? response:	How rude of us!
context: Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\You're Ichiya-sama's girlfriend?\How rude of us! response:	I deny it, with all my might!
context: Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\You're Ichiya-sama's girlfriend?\How rude of us!\I deny it, with all my might! response:	Clean up!
context: Wasshoi!\Wasshoi!\Wasshoi!\Wasshoi!\You're Ichiya-sama's girlfriend?\How rude of us!\I deny it, with all my might!\Clean up! response:	We didn't come here to play around.
context: Wasshoi!\Wasshoi!\Wasshoi!\You're Ichiya-sama's girlfriend?\How rude of us!\I deny it, with all my might!\Clean up!\We didn't come here to play around. response:	Right, Boss! Right, Boss!
context: Wasshoi!\Wasshoi!\You're Ichiya-sama's girlfriend?\How rude of us!\I deny it, with all my might!\Clean up!\We didn't come here to play around.\Right, Boss! Right, Boss! response:	Weren't they calling him Ichiya-sama before?
context: Wasshoi!\You're Ichiya-sama's girlfriend?\How rude of us!\I deny it, with all my might!\Clean up!\We didn't come here to play around.\Right, Boss! Right, Boss!\Weren't they calling him Ichiya-sama before? response:	They're not consistent, are they?
context: You're Ichiya-sama's girlfriend?\How rude of us!\I deny it, with all my might!\Clean up!\We didn't come here to play around.\Right, Boss! Right, Boss!\Weren't they calling him Ichiya-sama before?\They're not consistent, are they? response:	I've heard about you.
context: How rude of us!\I deny it, with all my might!\Clean up!\We didn't come here to play around.\Right, Boss! Right, Boss!\Weren't they calling him Ichiya-sama before?\They're not consistent, are they?\I've heard about you. response:	Erza-san... Lucy-san...
context: I deny it, with all my might!\Clean up!\We didn't come here to play around.\Right, Boss! Right, Boss!\Weren't they calling him Ichiya-sama before?\They're not consistent, are they?\I've heard about you.\Erza-san... Lucy-san... response:	Excellent parfum!
context: Clean up!\We didn't come here to play around.\Right, Boss! Right, Boss!\Weren't they calling him Ichiya-sama before?\They're not consistent, are they?\I've heard about you.\Erza-san... Lucy-san...\Excellent parfum! response:	Parfum is French for perfume.
context: We didn't come here to play around.\Right, Boss! Right, Boss!\Weren't they calling him Ichiya-sama before?\They're not consistent, are they?\I've heard about you.\Erza-san... Lucy-san...\Excellent parfum!\Parfum is French for perfume. response:	You're freakin' me out, you know...
context: Right, Boss! Right, Boss!\Weren't they calling him Ichiya-sama before?\They're not consistent, are they?\I've heard about you.\Erza-san... Lucy-san...\Excellent parfum!\Parfum is French for perfume.\You're freakin' me out, you know... response:	Sorry... I can't really handle him either.
context: Weren't they calling him Ichiya-sama before?\They're not consistent, are they?\I've heard about you.\Erza-san... Lucy-san...\Excellent parfum!\Parfum is French for perfume.\You're freakin' me out, you know...\Sorry... I can't really handle him either. response:	He may be an incredible wizard, but...
context: They're not consistent, are they?\I've heard about you.\Erza-san... Lucy-san...\Excellent parfum!\Parfum is French for perfume.\You're freakin' me out, you know...\Sorry... I can't really handle him either.\He may be an incredible wizard, but... response:	Listen up, you crappy Blue Pegasus boy-toys!
context: I've heard about you.\Erza-san... Lucy-san...\Excellent parfum!\Parfum is French for perfume.\You're freakin' me out, you know...\Sorry... I can't really handle him either.\He may be an incredible wizard, but...\Listen up, you crappy Blue Pegasus boy-toys! response:	How about you stop makin' passes at our princesses, huh?
context: Erza-san... Lucy-san...\Excellent parfum!\Parfum is French for perfume.\You're freakin' me out, you know...\Sorry... I can't really handle him either.\He may be an incredible wizard, but...\Listen up, you crappy Blue Pegasus boy-toys!\How about you stop makin' passes at our princesses, huh? response:	You men can go home now.
context: Excellent parfum!\Parfum is French for perfume.\You're freakin' me out, you know...\Sorry... I can't really handle him either.\He may be an incredible wizard, but...\Listen up, you crappy Blue Pegasus boy-toys!\How about you stop makin' passes at our princesses, huh?\You men can go home now. response:	Thanks for coming!
context: Parfum is French for perfume.\You're freakin' me out, you know...\Sorry... I can't really handle him either.\He may be an incredible wizard, but...\Listen up, you crappy Blue Pegasus boy-toys!\How about you stop makin' passes at our princesses, huh?\You men can go home now.\Thanks for coming! response:	Thanks for coming!
context: You're freakin' me out, you know...\Sorry... I can't really handle him either.\He may be an incredible wizard, but...\Listen up, you crappy Blue Pegasus boy-toys!\How about you stop makin' passes at our princesses, huh?\You men can go home now.\Thanks for coming!\Thanks for coming! response:	They send posers like you on an important mission?!
context: Sorry... I can't really handle him either.\He may be an incredible wizard, but...\Listen up, you crappy Blue Pegasus boy-toys!\How about you stop makin' passes at our princesses, huh?\You men can go home now.\Thanks for coming!\Thanks for coming!\They send posers like you on an important mission?! response:	I could wipe the floor with you!
context: He may be an incredible wizard, but...\Listen up, you crappy Blue Pegasus boy-toys!\How about you stop makin' passes at our princesses, huh?\You men can go home now.\Thanks for coming!\Thanks for coming!\They send posers like you on an important mission?!\I could wipe the floor with you! response:	Try us.
context: Listen up, you crappy Blue Pegasus boy-toys!\How about you stop makin' passes at our princesses, huh?\You men can go home now.\Thanks for coming!\Thanks for coming!\They send posers like you on an important mission?!\I could wipe the floor with you!\Try us. response:	We're strong.
context: How about you stop makin' passes at our princesses, huh?\You men can go home now.\Thanks for coming!\Thanks for coming!\They send posers like you on an important mission?!\I could wipe the floor with you!\Try us.\We're strong. response:	A fight? Let me join!
context: You men can go home now.\Thanks for coming!\Thanks for coming!\They send posers like you on an important mission?!\I could wipe the floor with you!\Try us.\We're strong.\A fight? Let me join! response:	Stop it, you two!
context: Thanks for coming!\Thanks for coming!\They send posers like you on an important mission?!\I could wipe the floor with you!\Try us.\We're strong.\A fight? Let me join!\Stop it, you two! response:	Erza-san...
context: Thanks for coming!\They send posers like you on an important mission?!\I could wipe the floor with you!\Try us.\We're strong.\A fight? Let me join!\Stop it, you two!\Erza-san... response:	Your parfum is incredible, as always...
context: They send posers like you on an important mission?!\I could wipe the floor with you!\Try us.\We're strong.\A fight? Let me join!\Stop it, you two!\Erza-san...\Your parfum is incredible, as always... response:	Stay away from me!
context: I could wipe the floor with you!\Try us.\We're strong.\A fight? Let me join!\Stop it, you two!\Erza-san...\Your parfum is incredible, as always...\Stay away from me! response:	Men!
context: Try us.\We're strong.\A fight? Let me join!\Stop it, you two!\Erza-san...\Your parfum is incredible, as always...\Stay away from me!\Men! response:	She went and did it!
context: We're strong.\A fight? Let me join!\Stop it, you two!\Erza-san...\Your parfum is incredible, as always...\Stay away from me!\Men!\She went and did it! response:	Men...
context: A fight? Let me join!\Stop it, you two!\Erza-san...\Your parfum is incredible, as always...\Stay away from me!\Men!\She went and did it!\Men... response:	This is quite the greeting.
context: Stop it, you two!\Erza-san...\Your parfum is incredible, as always...\Stay away from me!\Men!\She went and did it!\Men...\This is quite the greeting. response:	You consider yourselves equal to Lamia Scale?
context: Erza-san...\Your parfum is incredible, as always...\Stay away from me!\Men!\She went and did it!\Men...\This is quite the greeting.\You consider yourselves equal to Lamia Scale? response:	This man is Lyon Bastia.
context: Your parfum is incredible, as always...\Stay away from me!\Men!\She went and did it!\Men...\This is quite the greeting.\You consider yourselves equal to Lamia Scale?\This man is Lyon Bastia. response:	He was once a disciple under the same teacher as Gray, and his elder.
context: Stay away from me!\Men!\She went and did it!\Men...\This is quite the greeting.\You consider yourselves equal to Lamia Scale?\This man is Lyon Bastia.\He was once a disciple under the same teacher as Gray, and his elder. response:	Lyon?
context: Men!\She went and did it!\Men...\This is quite the greeting.\You consider yourselves equal to Lamia Scale?\This man is Lyon Bastia.\He was once a disciple under the same teacher as Gray, and his elder.\Lyon? response:	Gray!
context: She went and did it!\Men...\This is quite the greeting.\You consider yourselves equal to Lamia Scale?\This man is Lyon Bastia.\He was once a disciple under the same teacher as Gray, and his elder.\Lyon?\Gray! response:	So you joined a guild?
context: Men...\This is quite the greeting.\You consider yourselves equal to Lamia Scale?\This man is Lyon Bastia.\He was once a disciple under the same teacher as Gray, and his elder.\Lyon?\Gray!\So you joined a guild? response:	Men!
context: This is quite the greeting.\You consider yourselves equal to Lamia Scale?\This man is Lyon Bastia.\He was once a disciple under the same teacher as Gray, and his elder.\Lyon?\Gray!\So you joined a guild?\Men! response:	Men!
context: You consider yourselves equal to Lamia Scale?\This man is Lyon Bastia.\He was once a disciple under the same teacher as Gray, and his elder.\Lyon?\Gray!\So you joined a guild?\Men!\Men! response:	Men...
context: This man is Lyon Bastia.\He was once a disciple under the same teacher as Gray, and his elder.\Lyon?\Gray!\So you joined a guild?\Men!\Men!\Men... response:	Men... Handsome men...
context: He was once a disciple under the same teacher as Gray, and his elder.\Lyon?\Gray!\So you joined a guild?\Men!\Men!\Men...\Men... Handsome men... response:	What the hell are you doing?
context: Lyon?\Gray!\So you joined a guild?\Men!\Men!\Men...\Men... Handsome men...\What the hell are you doing? response:	He started it.
context: Gray!\So you joined a guild?\Men!\Men!\Men...\Men... Handsome men...\What the hell are you doing?\He started it. response:	What do you think you're doing with our General?
context: So you joined a guild?\Men!\Men!\Men...\Men... Handsome men...\What the hell are you doing?\He started it.\What do you think you're doing with our General? response:	How awful!
context: Men!\Men!\Men...\Men... Handsome men...\What the hell are you doing?\He started it.\What do you think you're doing with our General?\How awful! response:	I think all the men should just leave.
context: Men!\Men...\Men... Handsome men...\What the hell are you doing?\He started it.\What do you think you're doing with our General?\How awful!\I think all the men should just leave. response:	Oh? But there's a woman here as well.
context: Men...\Men... Handsome men...\What the hell are you doing?\He started it.\What do you think you're doing with our General?\How awful!\I think all the men should just leave.\Oh? But there's a woman here as well. response:	Doll Attack!
context: Men... Handsome men...\What the hell are you doing?\He started it.\What do you think you're doing with our General?\How awful!\I think all the men should just leave.\Oh? But there's a woman here as well.\Doll Attack! response:	Carpet Doll!
context: What the hell are you doing?\He started it.\What do you think you're doing with our General?\How awful!\I think all the men should just leave.\Oh? But there's a woman here as well.\Doll Attack!\Carpet Doll! response:	Me?!
context: He started it.\What do you think you're doing with our General?\How awful!\I think all the men should just leave.\Oh? But there's a woman here as well.\Doll Attack!\Carpet Doll!\Me?! response:	And wait... That magic...
context: What do you think you're doing with our General?\How awful!\I think all the men should just leave.\Oh? But there's a woman here as well.\Doll Attack!\Carpet Doll!\Me?!\And wait... That magic... response:	Shelly!
context: How awful!\I think all the men should just leave.\Oh? But there's a woman here as well.\Doll Attack!\Carpet Doll!\Me?!\And wait... That magic...\Shelly! response:	You also joined Lamia Scale?
context: I think all the men should just leave.\Oh? But there's a woman here as well.\Doll Attack!\Carpet Doll!\Me?!\And wait... That magic...\Shelly!\You also joined Lamia Scale? response:	This woman is Shelly Blendi.
context: Oh? But there's a woman here as well.\Doll Attack!\Carpet Doll!\Me?!\And wait... That magic...\Shelly!\You also joined Lamia Scale?\This woman is Shelly Blendi. response:	She is an ally of Lyon, and is madly in love with him.
context: Doll Attack!\Carpet Doll!\Me?!\And wait... That magic...\Shelly!\You also joined Lamia Scale?\This woman is Shelly Blendi.\She is an ally of Lyon, and is madly in love with him. response:	I won't allow you to say you've forgotten me.
context: Carpet Doll!\Me?!\And wait... That magic...\Shelly!\You also joined Lamia Scale?\This woman is Shelly Blendi.\She is an ally of Lyon, and is madly in love with him.\I won't allow you to say you've forgotten me. response:	And please, forget who I was in the past!
context: Me?!\And wait... That magic...\Shelly!\You also joined Lamia Scale?\This woman is Shelly Blendi.\She is an ally of Lyon, and is madly in love with him.\I won't allow you to say you've forgotten me.\And please, forget who I was in the past! response:	Make up your mind!
context: And wait... That magic...\Shelly!\You also joined Lamia Scale?\This woman is Shelly Blendi.\She is an ally of Lyon, and is madly in love with him.\I won't allow you to say you've forgotten me.\And please, forget who I was in the past!\Make up your mind! response:	For Love, I have been reborn!
context: Shelly!\You also joined Lamia Scale?\This woman is Shelly Blendi.\She is an ally of Lyon, and is madly in love with him.\I won't allow you to say you've forgotten me.\And please, forget who I was in the past!\Make up your mind!\For Love, I have been reborn! response:	M-More parfum for me!
context: You also joined Lamia Scale?\This woman is Shelly Blendi.\She is an ally of Lyon, and is madly in love with him.\I won't allow you to say you've forgotten me.\And please, forget who I was in the past!\Make up your mind!\For Love, I have been reborn!\M-More parfum for me! response:	Stay back!
context: This woman is Shelly Blendi.\She is an ally of Lyon, and is madly in love with him.\I won't allow you to say you've forgotten me.\And please, forget who I was in the past!\Make up your mind!\For Love, I have been reborn!\M-More parfum for me!\Stay back! response:	I'll cut you!
context: She is an ally of Lyon, and is madly in love with him.\I won't allow you to say you've forgotten me.\And please, forget who I was in the past!\Make up your mind!\For Love, I have been reborn!\M-More parfum for me!\Stay back!\I'll cut you! response:	Lyon!
context: I won't allow you to say you've forgotten me.\And please, forget who I was in the past!\Make up your mind!\For Love, I have been reborn!\M-More parfum for me!\Stay back!\I'll cut you!\Lyon! response:	Gray!
context: And please, forget who I was in the past!\Make up your mind!\For Love, I have been reborn!\M-More parfum for me!\Stay back!\I'll cut you!\Lyon!\Gray! response:	Bring it on!
context: Make up your mind!\For Love, I have been reborn!\M-More parfum for me!\Stay back!\I'll cut you!\Lyon!\Gray!\Bring it on! response:	I cannot love you.
context: For Love, I have been reborn!\M-More parfum for me!\Stay back!\I'll cut you!\Lyon!\Gray!\Bring it on!\I cannot love you. response:	And I hate you, too!
context: M-More parfum for me!\Stay back!\I'll cut you!\Lyon!\Gray!\Bring it on!\I cannot love you.\And I hate you, too! response:	Cease this!
context: Stay back!\I'll cut you!\Lyon!\Gray!\Bring it on!\I cannot love you.\And I hate you, too!\Cease this! response:	We are making an alliance to defeat Oracion Seis!
context: I'll cut you!\Lyon!\Gray!\Bring it on!\I cannot love you.\And I hate you, too!\Cease this!\We are making an alliance to defeat Oracion Seis! response:	This is not the time to be fighting amongst ourselves!
context: Lyon!\Gray!\Bring it on!\I cannot love you.\And I hate you, too!\Cease this!\We are making an alliance to defeat Oracion Seis!\This is not the time to be fighting amongst ourselves! response:	Jura-san...
context: Gray!\Bring it on!\I cannot love you.\And I hate you, too!\Cease this!\We are making an alliance to defeat Oracion Seis!\This is not the time to be fighting amongst ourselves!\Jura-san... response:	Jura?
context: Bring it on!\I cannot love you.\And I hate you, too!\Cease this!\We are making an alliance to defeat Oracion Seis!\This is not the time to be fighting amongst ourselves!\Jura-san...\Jura? response:	He's the ace of Lamia Scale... Rockiron Jura.
context: I cannot love you.\And I hate you, too!\Cease this!\We are making an alliance to defeat Oracion Seis!\This is not the time to be fighting amongst ourselves!\Jura-san...\Jura?\He's the ace of Lamia Scale... Rockiron Jura. response:	Who?
context: And I hate you, too!\Cease this!\We are making an alliance to defeat Oracion Seis!\This is not the time to be fighting amongst ourselves!\Jura-san...\Jura?\He's the ace of Lamia Scale... Rockiron Jura.\Who? response:	He's one of the 10 Great Wizard Saints!
context: Cease this!\We are making an alliance to defeat Oracion Seis!\This is not the time to be fighting amongst ourselves!\Jura-san...\Jura?\He's the ace of Lamia Scale... Rockiron Jura.\Who?\He's one of the 10 Great Wizard Saints! response:	Even I've heard his name before...
context: We are making an alliance to defeat Oracion Seis!\This is not the time to be fighting amongst ourselves!\Jura-san...\Jura?\He's the ace of Lamia Scale... Rockiron Jura.\Who?\He's one of the 10 Great Wizard Saints!\Even I've heard his name before... response:	The Fairies and Pegasus all have four people...
context: This is not the time to be fighting amongst ourselves!\Jura-san...\Jura?\He's the ace of Lamia Scale... Rockiron Jura.\Who?\He's one of the 10 Great Wizard Saints!\Even I've heard his name before...\The Fairies and Pegasus all have four people... response:	But for us, just three is more than enough.
context: Jura-san...\Jura?\He's the ace of Lamia Scale... Rockiron Jura.\Who?\He's one of the 10 Great Wizard Saints!\Even I've heard his name before...\The Fairies and Pegasus all have four people...\But for us, just three is more than enough. response:	How cruel! Why don't I ever count?
context: Jura?\He's the ace of Lamia Scale... Rockiron Jura.\Who?\He's one of the 10 Great Wizard Saints!\Even I've heard his name before...\The Fairies and Pegasus all have four people...\But for us, just three is more than enough.\How cruel! Why don't I ever count? response:	With this, three of the guilds have gathered.
context: He's the ace of Lamia Scale... Rockiron Jura.\Who?\He's one of the 10 Great Wizard Saints!\Even I've heard his name before...\The Fairies and Pegasus all have four people...\But for us, just three is more than enough.\How cruel! Why don't I ever count?\With this, three of the guilds have gathered. response:	All that is left are the people from Caitshelter.
context: Who?\He's one of the 10 Great Wizard Saints!\Even I've heard his name before...\The Fairies and Pegasus all have four people...\But for us, just three is more than enough.\How cruel! Why don't I ever count?\With this, three of the guilds have gathered.\All that is left are the people from Caitshelter. response:	People? I have heard it is only one person.
context: He's one of the 10 Great Wizard Saints!\Even I've heard his name before...\The Fairies and Pegasus all have four people...\But for us, just three is more than enough.\How cruel! Why don't I ever count?\With this, three of the guilds have gathered.\All that is left are the people from Caitshelter.\People? I have heard it is only one person. response:	One person?
context: Even I've heard his name before...\The Fairies and Pegasus all have four people...\But for us, just three is more than enough.\How cruel! Why don't I ever count?\With this, three of the guilds have gathered.\All that is left are the people from Caitshelter.\People? I have heard it is only one person.\One person? response:	They only sent one person for a mission as dangerous as this?
context: The Fairies and Pegasus all have four people...\But for us, just three is more than enough.\How cruel! Why don't I ever count?\With this, three of the guilds have gathered.\All that is left are the people from Caitshelter.\People? I have heard it is only one person.\One person?\They only sent one person for a mission as dangerous as this? response:	Wait...
context: But for us, just three is more than enough.\How cruel! Why don't I ever count?\With this, three of the guilds have gathered.\All that is left are the people from Caitshelter.\People? I have heard it is only one person.\One person?\They only sent one person for a mission as dangerous as this?\Wait... response:	How crazy dangerous is this guy?
context: How cruel! Why don't I ever count?\With this, three of the guilds have gathered.\All that is left are the people from Caitshelter.\People? I have heard it is only one person.\One person?\They only sent one person for a mission as dangerous as this?\Wait...\How crazy dangerous is this guy? response:	Owwy...
context: With this, three of the guilds have gathered.\All that is left are the people from Caitshelter.\People? I have heard it is only one person.\One person?\They only sent one person for a mission as dangerous as this?\Wait...\How crazy dangerous is this guy?\Owwy... response:	Um...
context: All that is left are the people from Caitshelter.\People? I have heard it is only one person.\One person?\They only sent one person for a mission as dangerous as this?\Wait...\How crazy dangerous is this guy?\Owwy...\Um... response:	I'm sorry I'm late.
context: People? I have heard it is only one person.\One person?\They only sent one person for a mission as dangerous as this?\Wait...\How crazy dangerous is this guy?\Owwy...\Um...\I'm sorry I'm late. response:	I'm Wendy, from Caitshelter.
context: One person?\They only sent one person for a mission as dangerous as this?\Wait...\How crazy dangerous is this guy?\Owwy...\Um...\I'm sorry I'm late.\I'm Wendy, from Caitshelter. response:	It's nice to meet everyone!
context: They only sent one person for a mission as dangerous as this?\Wait...\How crazy dangerous is this guy?\Owwy...\Um...\I'm sorry I'm late.\I'm Wendy, from Caitshelter.\It's nice to meet everyone! response:	A kid?
context: Wait...\How crazy dangerous is this guy?\Owwy...\Um...\I'm sorry I'm late.\I'm Wendy, from Caitshelter.\It's nice to meet everyone!\A kid? response:	A girl!
context: How crazy dangerous is this guy?\Owwy...\Um...\I'm sorry I'm late.\I'm Wendy, from Caitshelter.\It's nice to meet everyone!\A kid?\A girl! response:	Wendy?
context: Owwy...\Um...\I'm sorry I'm late.\I'm Wendy, from Caitshelter.\It's nice to meet everyone!\A kid?\A girl!\Wendy? response:	We sure have a bunch of different people together.
context: Um...\I'm sorry I'm late.\I'm Wendy, from Caitshelter.\It's nice to meet everyone!\A kid?\A girl!\Wendy?\We sure have a bunch of different people together. response:	And a couple of old faces, too.
context: I'm sorry I'm late.\I'm Wendy, from Caitshelter.\It's nice to meet everyone!\A kid?\A girl!\Wendy?\We sure have a bunch of different people together.\And a couple of old faces, too. response:	Plus, one of us is a Wizard Saint!
context: I'm Wendy, from Caitshelter.\It's nice to meet everyone!\A kid?\A girl!\Wendy?\We sure have a bunch of different people together.\And a couple of old faces, too.\Plus, one of us is a Wizard Saint! response:	But we're up against people who are powerful enough to take on entire guilds themselves.
context: It's nice to meet everyone!\A kid?\A girl!\Wendy?\We sure have a bunch of different people together.\And a couple of old faces, too.\Plus, one of us is a Wizard Saint!\But we're up against people who are powerful enough to take on entire guilds themselves. response:	Seriously?!
context: A kid?\A girl!\Wendy?\We sure have a bunch of different people together.\And a couple of old faces, too.\Plus, one of us is a Wizard Saint!\But we're up against people who are powerful enough to take on entire guilds themselves.\Seriously?! response:	But if I get serious, I can handle...
context: A girl!\Wendy?\We sure have a bunch of different people together.\And a couple of old faces, too.\Plus, one of us is a Wizard Saint!\But we're up against people who are powerful enough to take on entire guilds themselves.\Seriously?!\But if I get serious, I can handle... response:	No, you can't.
context: Wendy?\We sure have a bunch of different people together.\And a couple of old faces, too.\Plus, one of us is a Wizard Saint!\But we're up against people who are powerful enough to take on entire guilds themselves.\Seriously?!\But if I get serious, I can handle...\No, you can't. response:	Next time: Oracion Seis Appears!
