context: I got a boyfriend recently. response:	Naoya is way too proper, and he can be a bit weird,
context: It's fine.\I get that you wanted to look because you were worried about me dating two girls.\Let me do this much.\Naoya-kun...\Naoya-kun!\Zzz...\Nagisa's Sleepover Gear\No, I'm not really an otaku... response:	She didn't know what to bring now that she's living with Naoya and Saki, so she panicked and brought maid clothes that she bought from D*n Quijote.
context: I get that you wanted to look because you were worried about me dating two girls.\Let me do this much.\Naoya-kun...\Naoya-kun!\Zzz...\Nagisa's Sleepover Gear\No, I'm not really an otaku...\She didn't know what to bring now that she's living with Naoya and Saki, so she panicked and brought maid clothes that she bought from D*n Quijote. response:	Girlfriend, Girlfriend
context: Let me do this much.\Naoya-kun...\Naoya-kun!\Zzz...\Nagisa's Sleepover Gear\No, I'm not really an otaku...\She didn't know what to bring now that she's living with Naoya and Saki, so she panicked and brought maid clothes that she bought from D*n Quijote.\Girlfriend, Girlfriend response:	A maid outfit...
context: Naoya-kun...\Naoya-kun!\Zzz...\Nagisa's Sleepover Gear\No, I'm not really an otaku...\She didn't know what to bring now that she's living with Naoya and Saki, so she panicked and brought maid clothes that she bought from D*n Quijote.\Girlfriend, Girlfriend\A maid outfit... response:	What was I thinking?
context: Naoya-kun!\Zzz...\Nagisa's Sleepover Gear\No, I'm not really an otaku...\She didn't know what to bring now that she's living with Naoya and Saki, so she panicked and brought maid clothes that she bought from D*n Quijote.\Girlfriend, Girlfriend\A maid outfit...\What was I thinking? response:	Weights (3kg*2)
context: Zzz...\Nagisa's Sleepover Gear\No, I'm not really an otaku...\She didn't know what to bring now that she's living with Naoya and Saki, so she panicked and brought maid clothes that she bought from D*n Quijote.\Girlfriend, Girlfriend\A maid outfit...\What was I thinking?\Weights (3kg*2) response:	Yum!
context: Nagisa's Sleepover Gear\No, I'm not really an otaku...\She didn't know what to bring now that she's living with Naoya and Saki, so she panicked and brought maid clothes that she bought from D*n Quijote.\Girlfriend, Girlfriend\A maid outfit...\What was I thinking?\Weights (3kg*2)\Yum! response:	You're such a good cook, Nagisa-chan.
context: No, I'm not really an otaku...\She didn't know what to bring now that she's living with Naoya and Saki, so she panicked and brought maid clothes that she bought from D*n Quijote.\Girlfriend, Girlfriend\A maid outfit...\What was I thinking?\Weights (3kg*2)\Yum!\You're such a good cook, Nagisa-chan. response:	She forgot after she slept
context: She didn't know what to bring now that she's living with Naoya and Saki, so she panicked and brought maid clothes that she bought from D*n Quijote.\Girlfriend, Girlfriend\A maid outfit...\What was I thinking?\Weights (3kg*2)\Yum!\You're such a good cook, Nagisa-chan.\She forgot after she slept response:	She actually forgot
context: Girlfriend, Girlfriend\A maid outfit...\What was I thinking?\Weights (3kg*2)\Yum!\You're such a good cook, Nagisa-chan.\She forgot after she slept\She actually forgot response:	By the way, which class are you in?
context: A maid outfit...\What was I thinking?\Weights (3kg*2)\Yum!\You're such a good cook, Nagisa-chan.\She forgot after she slept\She actually forgot\By the way, which class are you in? response:	You're a first-year, too, right?
context: What was I thinking?\Weights (3kg*2)\Yum!\You're such a good cook, Nagisa-chan.\She forgot after she slept\She actually forgot\By the way, which class are you in?\You're a first-year, too, right? response:	Um...
context: Weights (3kg*2)\Yum!\You're such a good cook, Nagisa-chan.\She forgot after she slept\She actually forgot\By the way, which class are you in?\You're a first-year, too, right?\Um... response:	I think I'm in Class B.
context: Yum!\You're such a good cook, Nagisa-chan.\She forgot after she slept\She actually forgot\By the way, which class are you in?\You're a first-year, too, right?\Um...\I think I'm in Class B. response:	Huh? So are we.
context: You're such a good cook, Nagisa-chan.\She forgot after she slept\She actually forgot\By the way, which class are you in?\You're a first-year, too, right?\Um...\I think I'm in Class B.\Huh? So are we. response:	Have I ever seen you in class?
context: She forgot after she slept\She actually forgot\By the way, which class are you in?\You're a first-year, too, right?\Um...\I think I'm in Class B.\Huh? So are we.\Have I ever seen you in class? response:	Um...
context: She actually forgot\By the way, which class are you in?\You're a first-year, too, right?\Um...\I think I'm in Class B.\Huh? So are we.\Have I ever seen you in class?\Um... response:	I've been away from school.
context: By the way, which class are you in?\You're a first-year, too, right?\Um...\I think I'm in Class B.\Huh? So are we.\Have I ever seen you in class?\Um...\I've been away from school. response:	Really?
context: You're a first-year, too, right?\Um...\I think I'm in Class B.\Huh? So are we.\Have I ever seen you in class?\Um...\I've been away from school.\Really? response:	Is something wrong?
context: Um...\I think I'm in Class B.\Huh? So are we.\Have I ever seen you in class?\Um...\I've been away from school.\Really?\Is something wrong? response:	I wanted Naoya to like me, so I was studying cooking and stuff...
context: I think I'm in Class B.\Huh? So are we.\Have I ever seen you in class?\Um...\I've been away from school.\Really?\Is something wrong?\I wanted Naoya to like me, so I was studying cooking and stuff... response:	And I didn't have time to go to school.
context: Huh? So are we.\Have I ever seen you in class?\Um...\I've been away from school.\Really?\Is something wrong?\I wanted Naoya to like me, so I was studying cooking and stuff...\And I didn't have time to go to school. response:	But it's all good now that I get to go out with you.
context: Have I ever seen you in class?\Um...\I've been away from school.\Really?\Is something wrong?\I wanted Naoya to like me, so I was studying cooking and stuff...\And I didn't have time to go to school.\But it's all good now that I get to go out with you. response:	Wh-What...
context: Um...\I've been away from school.\Really?\Is something wrong?\I wanted Naoya to like me, so I was studying cooking and stuff...\And I didn't have time to go to school.\But it's all good now that I get to go out with you.\Wh-What... response:	What are you doing?!
context: I've been away from school.\Really?\Is something wrong?\I wanted Naoya to like me, so I was studying cooking and stuff...\And I didn't have time to go to school.\But it's all good now that I get to go out with you.\Wh-What...\What are you doing?! response:	How could you be so insane?!
context: Really?\Is something wrong?\I wanted Naoya to like me, so I was studying cooking and stuff...\And I didn't have time to go to school.\But it's all good now that I get to go out with you.\Wh-What...\What are you doing?!\How could you be so insane?! response:	Y-You've sacrificed too much!
context: Is something wrong?\I wanted Naoya to like me, so I was studying cooking and stuff...\And I didn't have time to go to school.\But it's all good now that I get to go out with you.\Wh-What...\What are you doing?!\How could you be so insane?!\Y-You've sacrificed too much! response:	Nagisa-chan, are you actually kind of messed up?
context: I wanted Naoya to like me, so I was studying cooking and stuff...\And I didn't have time to go to school.\But it's all good now that I get to go out with you.\Wh-What...\What are you doing?!\How could you be so insane?!\Y-You've sacrificed too much!\Nagisa-chan, are you actually kind of messed up? response:	You put too much on the line! I'm worried for you!
context: And I didn't have time to go to school.\But it's all good now that I get to go out with you.\Wh-What...\What are you doing?!\How could you be so insane?!\Y-You've sacrificed too much!\Nagisa-chan, are you actually kind of messed up?\You put too much on the line! I'm worried for you! response:	I-I... uh...
context: But it's all good now that I get to go out with you.\Wh-What...\What are you doing?!\How could you be so insane?!\Y-You've sacrificed too much!\Nagisa-chan, are you actually kind of messed up?\You put too much on the line! I'm worried for you!\I-I... uh... response:	Now that he mentions it, he's right!
context: Wh-What...\What are you doing?!\How could you be so insane?!\Y-You've sacrificed too much!\Nagisa-chan, are you actually kind of messed up?\You put too much on the line! I'm worried for you!\I-I... uh...\Now that he mentions it, he's right! response:	Is that the only crazy thing you've done?
context: What are you doing?!\How could you be so insane?!\Y-You've sacrificed too much!\Nagisa-chan, are you actually kind of messed up?\You put too much on the line! I'm worried for you!\I-I... uh...\Now that he mentions it, he's right!\Is that the only crazy thing you've done? response:	I think so.
context: How could you be so insane?!\Y-You've sacrificed too much!\Nagisa-chan, are you actually kind of messed up?\You put too much on the line! I'm worried for you!\I-I... uh...\Now that he mentions it, he's right!\Is that the only crazy thing you've done?\I think so. response:	Th-This is bad.
context: Y-You've sacrificed too much!\Nagisa-chan, are you actually kind of messed up?\You put too much on the line! I'm worried for you!\I-I... uh...\Now that he mentions it, he's right!\Is that the only crazy thing you've done?\I think so.\Th-This is bad. response:	Naoya-kun's going to think less of me!
context: Nagisa-chan, are you actually kind of messed up?\You put too much on the line! I'm worried for you!\I-I... uh...\Now that he mentions it, he's right!\Is that the only crazy thing you've done?\I think so.\Th-This is bad.\Naoya-kun's going to think less of me! response:	I have to impress him and redeem myself!
context: You put too much on the line! I'm worried for you!\I-I... uh...\Now that he mentions it, he's right!\Is that the only crazy thing you've done?\I think so.\Th-This is bad.\Naoya-kun's going to think less of me!\I have to impress him and redeem myself! response:	Shall I make you some snacks?
context: I-I... uh...\Now that he mentions it, he's right!\Is that the only crazy thing you've done?\I think so.\Th-This is bad.\Naoya-kun's going to think less of me!\I have to impress him and redeem myself!\Shall I make you some snacks? response:	Really?
context: Now that he mentions it, he's right!\Is that the only crazy thing you've done?\I think so.\Th-This is bad.\Naoya-kun's going to think less of me!\I have to impress him and redeem myself!\Shall I make you some snacks?\Really? response:	This isn't the time!
context: Is that the only crazy thing you've done?\I think so.\Th-This is bad.\Naoya-kun's going to think less of me!\I have to impress him and redeem myself!\Shall I make you some snacks?\Really?\This isn't the time! response:	Minase-san...
context: I think so.\Th-This is bad.\Naoya-kun's going to think less of me!\I have to impress him and redeem myself!\Shall I make you some snacks?\Really?\This isn't the time!\Minase-san... response:	We're going to spend all day studying together.
context: Th-This is bad.\Naoya-kun's going to think less of me!\I have to impress him and redeem myself!\Shall I make you some snacks?\Really?\This isn't the time!\Minase-san...\We're going to spend all day studying together. response:	But I'm a really bad student...
context: Naoya-kun's going to think less of me!\I have to impress him and redeem myself!\Shall I make you some snacks?\Really?\This isn't the time!\Minase-san...\We're going to spend all day studying together.\But I'm a really bad student... response:	Modern Japanese Literature
context: I have to impress him and redeem myself!\Shall I make you some snacks?\Really?\This isn't the time!\Minase-san...\We're going to spend all day studying together.\But I'm a really bad student...\Modern Japanese Literature response:	Math 1
context: Shall I make you some snacks?\Really?\This isn't the time!\Minase-san...\We're going to spend all day studying together.\But I'm a really bad student...\Modern Japanese Literature\Math 1 response:	You're behind in school, aren't you?
context: Really?\This isn't the time!\Minase-san...\We're going to spend all day studying together.\But I'm a really bad student...\Modern Japanese Literature\Math 1\You're behind in school, aren't you? response:	I can't just let that be!
context: This isn't the time!\Minase-san...\We're going to spend all day studying together.\But I'm a really bad student...\Modern Japanese Literature\Math 1\You're behind in school, aren't you?\I can't just let that be! response:	W-Well...
context: Minase-san...\We're going to spend all day studying together.\But I'm a really bad student...\Modern Japanese Literature\Math 1\You're behind in school, aren't you?\I can't just let that be!\W-Well... response:	You, too, Saki-chan.
context: We're going to spend all day studying together.\But I'm a really bad student...\Modern Japanese Literature\Math 1\You're behind in school, aren't you?\I can't just let that be!\W-Well...\You, too, Saki-chan. response:	I don't want him to lose any more faith in me.
context: But I'm a really bad student...\Modern Japanese Literature\Math 1\You're behind in school, aren't you?\I can't just let that be!\W-Well...\You, too, Saki-chan.\I don't want him to lose any more faith in me. response:	I'm sure you can catch up if you try!
context: Modern Japanese Literature\Math 1\You're behind in school, aren't you?\I can't just let that be!\W-Well...\You, too, Saki-chan.\I don't want him to lose any more faith in me.\I'm sure you can catch up if you try! response:	I'll just have to give it all I've got.
context: Math 1\You're behind in school, aren't you?\I can't just let that be!\W-Well...\You, too, Saki-chan.\I don't want him to lose any more faith in me.\I'm sure you can catch up if you try!\I'll just have to give it all I've got. response:	P-Please and thank you.
context: You're behind in school, aren't you?\I can't just let that be!\W-Well...\You, too, Saki-chan.\I don't want him to lose any more faith in me.\I'm sure you can catch up if you try!\I'll just have to give it all I've got.\P-Please and thank you. response:	I'll do my best to teach you.
context: I can't just let that be!\W-Well...\You, too, Saki-chan.\I don't want him to lose any more faith in me.\I'm sure you can catch up if you try!\I'll just have to give it all I've got.\P-Please and thank you.\I'll do my best to teach you. response:	Let's start with the basics of factoring.
context: W-Well...\You, too, Saki-chan.\I don't want him to lose any more faith in me.\I'm sure you can catch up if you try!\I'll just have to give it all I've got.\P-Please and thank you.\I'll do my best to teach you.\Let's start with the basics of factoring. response:	You just have to use the formula. It's easy.
context: You, too, Saki-chan.\I don't want him to lose any more faith in me.\I'm sure you can catch up if you try!\I'll just have to give it all I've got.\P-Please and thank you.\I'll do my best to teach you.\Let's start with the basics of factoring.\You just have to use the formula. It's easy. response:	I-I'll try.
context: I don't want him to lose any more faith in me.\I'm sure you can catch up if you try!\I'll just have to give it all I've got.\P-Please and thank you.\I'll do my best to teach you.\Let's start with the basics of factoring.\You just have to use the formula. It's easy.\I-I'll try. response:	What about you, Saki-chan?
context: I'm sure you can catch up if you try!\I'll just have to give it all I've got.\P-Please and thank you.\I'll do my best to teach you.\Let's start with the basics of factoring.\You just have to use the formula. It's easy.\I-I'll try.\What about you, Saki-chan? response:	This is easy.
context: I'll just have to give it all I've got.\P-Please and thank you.\I'll do my best to teach you.\Let's start with the basics of factoring.\You just have to use the formula. It's easy.\I-I'll try.\What about you, Saki-chan?\This is easy. response:	Even though I hate studying.
context: P-Please and thank you.\I'll do my best to teach you.\Let's start with the basics of factoring.\You just have to use the formula. It's easy.\I-I'll try.\What about you, Saki-chan?\This is easy.\Even though I hate studying. response:	Thank goodness. That's correct.
context: I'll do my best to teach you.\Let's start with the basics of factoring.\You just have to use the formula. It's easy.\I-I'll try.\What about you, Saki-chan?\This is easy.\Even though I hate studying.\Thank goodness. That's correct. response:	Minase-san, did you get it?
context: Let's start with the basics of factoring.\You just have to use the formula. It's easy.\I-I'll try.\What about you, Saki-chan?\This is easy.\Even though I hate studying.\Thank goodness. That's correct.\Minase-san, did you get it? response:	U-Um...
context: You just have to use the formula. It's easy.\I-I'll try.\What about you, Saki-chan?\This is easy.\Even though I hate studying.\Thank goodness. That's correct.\Minase-san, did you get it?\U-Um... response:	Minase-san?
context: I-I'll try.\What about you, Saki-chan?\This is easy.\Even though I hate studying.\Thank goodness. That's correct.\Minase-san, did you get it?\U-Um...\Minase-san? response:	You can't do it?
context: What about you, Saki-chan?\This is easy.\Even though I hate studying.\Thank goodness. That's correct.\Minase-san, did you get it?\U-Um...\Minase-san?\You can't do it? response:	N-No, I...
context: This is easy.\Even though I hate studying.\Thank goodness. That's correct.\Minase-san, did you get it?\U-Um...\Minase-san?\You can't do it?\N-No, I... response:	I-I'm going to the bathroom.
context: Even though I hate studying.\Thank goodness. That's correct.\Minase-san, did you get it?\U-Um...\Minase-san?\You can't do it?\N-No, I...\I-I'm going to the bathroom. response:	I don't get any of it.
context: Thank goodness. That's correct.\Minase-san, did you get it?\U-Um...\Minase-san?\You can't do it?\N-No, I...\I-I'm going to the bathroom.\I don't get any of it. response:	He's going to think I'm stupid.
context: Minase-san, did you get it?\U-Um...\Minase-san?\You can't do it?\N-No, I...\I-I'm going to the bathroom.\I don't get any of it.\He's going to think I'm stupid. response:	He'll lose even more faith in me.
context: U-Um...\Minase-san?\You can't do it?\N-No, I...\I-I'm going to the bathroom.\I don't get any of it.\He's going to think I'm stupid.\He'll lose even more faith in me. response:	tap tap tap tap tap tap tap
context: Minase-san?\You can't do it?\N-No, I...\I-I'm going to the bathroom.\I don't get any of it.\He's going to think I'm stupid.\He'll lose even more faith in me.\tap tap tap tap tap tap tap response:	tap tap tap tap tap tap tap tap tap
context: You can't do it?\N-No, I...\I-I'm going to the bathroom.\I don't get any of it.\He's going to think I'm stupid.\He'll lose even more faith in me.\tap tap tap tap tap tap tap\tap tap tap tap tap tap tap tap tap response:	I-I need to use this time to find out how to solve it!
context: N-No, I...\I-I'm going to the bathroom.\I don't get any of it.\He's going to think I'm stupid.\He'll lose even more faith in me.\tap tap tap tap tap tap tap\tap tap tap tap tap tap tap tap tap\I-I need to use this time to find out how to solve it! response:	30 Minutes Later...
context: I-I'm going to the bathroom.\I don't get any of it.\He's going to think I'm stupid.\He'll lose even more faith in me.\tap tap tap tap tap tap tap\tap tap tap tap tap tap tap tap tap\I-I need to use this time to find out how to solve it!\30 Minutes Later... response:	Do you think she's sick?
context: I don't get any of it.\He's going to think I'm stupid.\He'll lose even more faith in me.\tap tap tap tap tap tap tap\tap tap tap tap tap tap tap tap tap\I-I need to use this time to find out how to solve it!\30 Minutes Later...\Do you think she's sick? response:	Um...
context: He's going to think I'm stupid.\He'll lose even more faith in me.\tap tap tap tap tap tap tap\tap tap tap tap tap tap tap tap tap\I-I need to use this time to find out how to solve it!\30 Minutes Later...\Do you think she's sick?\Um... response:	Minase-san, are you okay?
context: He'll lose even more faith in me.\tap tap tap tap tap tap tap\tap tap tap tap tap tap tap tap tap\I-I need to use this time to find out how to solve it!\30 Minutes Later...\Do you think she's sick?\Um...\Minase-san, are you okay? response:	Are you feeling sick?
context: tap tap tap tap tap tap tap\tap tap tap tap tap tap tap tap tap\I-I need to use this time to find out how to solve it!\30 Minutes Later...\Do you think she's sick?\Um...\Minase-san, are you okay?\Are you feeling sick? response:	Shoot, I've been in here for half an hour.
context: tap tap tap tap tap tap tap tap tap\I-I need to use this time to find out how to solve it!\30 Minutes Later...\Do you think she's sick?\Um...\Minase-san, are you okay?\Are you feeling sick?\Shoot, I've been in here for half an hour. response:	Y-Yeah, actually...
context: I-I need to use this time to find out how to solve it!\30 Minutes Later...\Do you think she's sick?\Um...\Minase-san, are you okay?\Are you feeling sick?\Shoot, I've been in here for half an hour.\Y-Yeah, actually... response:	I'll call the ambulance right away!
context: 30 Minutes Later...\Do you think she's sick?\Um...\Minase-san, are you okay?\Are you feeling sick?\Shoot, I've been in here for half an hour.\Y-Yeah, actually...\I'll call the ambulance right away! response:	I'm just fine!
context: Do you think she's sick?\Um...\Minase-san, are you okay?\Are you feeling sick?\Shoot, I've been in here for half an hour.\Y-Yeah, actually...\I'll call the ambulance right away!\I'm just fine! response:	Wh-Which is it?
context: Um...\Minase-san, are you okay?\Are you feeling sick?\Shoot, I've been in here for half an hour.\Y-Yeah, actually...\I'll call the ambulance right away!\I'm just fine!\Wh-Which is it? response:	You've been in there for a long time!
context: Minase-san, are you okay?\Are you feeling sick?\Shoot, I've been in here for half an hour.\Y-Yeah, actually...\I'll call the ambulance right away!\I'm just fine!\Wh-Which is it?\You've been in there for a long time! response:	H-Hey!
context: Are you feeling sick?\Shoot, I've been in here for half an hour.\Y-Yeah, actually...\I'll call the ambulance right away!\I'm just fine!\Wh-Which is it?\You've been in there for a long time!\H-Hey! response:	Don't be so insensitive!
context: Shoot, I've been in here for half an hour.\Y-Yeah, actually...\I'll call the ambulance right away!\I'm just fine!\Wh-Which is it?\You've been in there for a long time!\H-Hey!\Don't be so insensitive! response:	But...
context: Y-Yeah, actually...\I'll call the ambulance right away!\I'm just fine!\Wh-Which is it?\You've been in there for a long time!\H-Hey!\Don't be so insensitive!\But... response:	I can't keep this up!
context: I'll call the ambulance right away!\I'm just fine!\Wh-Which is it?\You've been in there for a long time!\H-Hey!\Don't be so insensitive!\But...\I can't keep this up! response:	Are you okay, though? Minase-san?
context: I'm just fine!\Wh-Which is it?\You've been in there for a long time!\H-Hey!\Don't be so insensitive!\But...\I can't keep this up!\Are you okay, though? Minase-san? response:	But I don't want Naoya-kun to think I'm stupid.
context: Wh-Which is it?\You've been in there for a long time!\H-Hey!\Don't be so insensitive!\But...\I can't keep this up!\Are you okay, though? Minase-san?\But I don't want Naoya-kun to think I'm stupid. response:	Seriously!
context: You've been in there for a long time!\H-Hey!\Don't be so insensitive!\But...\I can't keep this up!\Are you okay, though? Minase-san?\But I don't want Naoya-kun to think I'm stupid.\Seriously! response:	But...
context: H-Hey!\Don't be so insensitive!\But...\I can't keep this up!\Are you okay, though? Minase-san?\But I don't want Naoya-kun to think I'm stupid.\Seriously!\But... response:	I-I'm just really backed up!
context: Don't be so insensitive!\But...\I can't keep this up!\Are you okay, though? Minase-san?\But I don't want Naoya-kun to think I'm stupid.\Seriously!\But...\I-I'm just really backed up! response:	Naoya, you...
context: But...\I can't keep this up!\Are you okay, though? Minase-san?\But I don't want Naoya-kun to think I'm stupid.\Seriously!\But...\I-I'm just really backed up!\Naoya, you... response:	S-Sorry...
context: I can't keep this up!\Are you okay, though? Minase-san?\But I don't want Naoya-kun to think I'm stupid.\Seriously!\But...\I-I'm just really backed up!\Naoya, you...\S-Sorry... response:	I'm really sorry!
context: Are you okay, though? Minase-san?\But I don't want Naoya-kun to think I'm stupid.\Seriously!\But...\I-I'm just really backed up!\Naoya, you...\S-Sorry...\I'm really sorry! response:	N-No, it's okay.
context: But I don't want Naoya-kun to think I'm stupid.\Seriously!\But...\I-I'm just really backed up!\Naoya, you...\S-Sorry...\I'm really sorry!\N-No, it's okay. response:	I think I protected my reputation, but I feel like I've lost something else.
context: Seriously!\But...\I-I'm just really backed up!\Naoya, you...\S-Sorry...\I'm really sorry!\N-No, it's okay.\I think I protected my reputation, but I feel like I've lost something else. response:	But...
context: But...\I-I'm just really backed up!\Naoya, you...\S-Sorry...\I'm really sorry!\N-No, it's okay.\I think I protected my reputation, but I feel like I've lost something else.\But... response:	I'm going to overcome this, especially now that I have to redeem myself!
context: I-I'm just really backed up!\Naoya, you...\S-Sorry...\I'm really sorry!\N-No, it's okay.\I think I protected my reputation, but I feel like I've lost something else.\But...\I'm going to overcome this, especially now that I have to redeem myself! response:	I want to look good in Naoya-kun's eyes.
context: Naoya, you...\S-Sorry...\I'm really sorry!\N-No, it's okay.\I think I protected my reputation, but I feel like I've lost something else.\But...\I'm going to overcome this, especially now that I have to redeem myself!\I want to look good in Naoya-kun's eyes. response:	I want him to like me, even just a little more.
context: S-Sorry...\I'm really sorry!\N-No, it's okay.\I think I protected my reputation, but I feel like I've lost something else.\But...\I'm going to overcome this, especially now that I have to redeem myself!\I want to look good in Naoya-kun's eyes.\I want him to like me, even just a little more. response:	I want to stay with him, even just a little longer.
context: I'm really sorry!\N-No, it's okay.\I think I protected my reputation, but I feel like I've lost something else.\But...\I'm going to overcome this, especially now that I have to redeem myself!\I want to look good in Naoya-kun's eyes.\I want him to like me, even just a little more.\I want to stay with him, even just a little longer. response:	I got it!
context: N-No, it's okay.\I think I protected my reputation, but I feel like I've lost something else.\But...\I'm going to overcome this, especially now that I have to redeem myself!\I want to look good in Naoya-kun's eyes.\I want him to like me, even just a little more.\I want to stay with him, even just a little longer.\I got it! response:	Naoya-kun!
context: I think I protected my reputation, but I feel like I've lost something else.\But...\I'm going to overcome this, especially now that I have to redeem myself!\I want to look good in Naoya-kun's eyes.\I want him to like me, even just a little more.\I want to stay with him, even just a little longer.\I got it!\Naoya-kun! response:	Minase-san...
context: But...\I'm going to overcome this, especially now that I have to redeem myself!\I want to look good in Naoya-kun's eyes.\I want him to like me, even just a little more.\I want to stay with him, even just a little longer.\I got it!\Naoya-kun!\Minase-san... response:	I'm really sorry.
context: I'm going to overcome this, especially now that I have to redeem myself!\I want to look good in Naoya-kun's eyes.\I want him to like me, even just a little more.\I want to stay with him, even just a little longer.\I got it!\Naoya-kun!\Minase-san...\I'm really sorry. response:	D-Don't worry about it.
context: I want to look good in Naoya-kun's eyes.\I want him to like me, even just a little more.\I want to stay with him, even just a little longer.\I got it!\Naoya-kun!\Minase-san...\I'm really sorry.\D-Don't worry about it. response:	So, factoring, right?
context: I want him to like me, even just a little more.\I want to stay with him, even just a little longer.\I got it!\Naoya-kun!\Minase-san...\I'm really sorry.\D-Don't worry about it.\So, factoring, right? response:	Um...
context: I want to stay with him, even just a little longer.\I got it!\Naoya-kun!\Minase-san...\I'm really sorry.\D-Don't worry about it.\So, factoring, right?\Um... response:	It's like this, and...
context: I got it!\Naoya-kun!\Minase-san...\I'm really sorry.\D-Don't worry about it.\So, factoring, right?\Um...\It's like this, and... response:	There!
context: Naoya-kun!\Minase-san...\I'm really sorry.\D-Don't worry about it.\So, factoring, right?\Um...\It's like this, and...\There! response:	Of course I can do it.
context: Minase-san...\I'm really sorry.\D-Don't worry about it.\So, factoring, right?\Um...\It's like this, and...\There!\Of course I can do it. response:	You got it wrong.
context: I'm really sorry.\D-Don't worry about it.\So, factoring, right?\Um...\It's like this, and...\There!\Of course I can do it.\You got it wrong. response:	Huh?
context: D-Don't worry about it.\So, factoring, right?\Um...\It's like this, and...\There!\Of course I can do it.\You got it wrong.\Huh? response:	Don't worry!
context: So, factoring, right?\Um...\It's like this, and...\There!\Of course I can do it.\You got it wrong.\Huh?\Don't worry! response:	Everyone's bad at something.
context: Um...\It's like this, and...\There!\Of course I can do it.\You got it wrong.\Huh?\Don't worry!\Everyone's bad at something. response:	You don't have to worry about it.
context: It's like this, and...\There!\Of course I can do it.\You got it wrong.\Huh?\Don't worry!\Everyone's bad at something.\You don't have to worry about it. response:	I'll stick with you for as many hours as it takes.
context: There!\Of course I can do it.\You got it wrong.\Huh?\Don't worry!\Everyone's bad at something.\You don't have to worry about it.\I'll stick with you for as many hours as it takes. response:	N-Naoya-kun...
context: Of course I can do it.\You got it wrong.\Huh?\Don't worry!\Everyone's bad at something.\You don't have to worry about it.\I'll stick with you for as many hours as it takes.\N-Naoya-kun... response:	But...
context: You got it wrong.\Huh?\Don't worry!\Everyone's bad at something.\You don't have to worry about it.\I'll stick with you for as many hours as it takes.\N-Naoya-kun...\But... response:	It's not that I'm bad at it!
context: Huh?\Don't worry!\Everyone's bad at something.\You don't have to worry about it.\I'll stick with you for as many hours as it takes.\N-Naoya-kun...\But...\It's not that I'm bad at it! response:	3-Hour Bathroom Break...
context: Don't worry!\Everyone's bad at something.\You don't have to worry about it.\I'll stick with you for as many hours as it takes.\N-Naoya-kun...\But...\It's not that I'm bad at it!\3-Hour Bathroom Break... response:	I hadn't studied at all after the entrance exams
context: Everyone's bad at something.\You don't have to worry about it.\I'll stick with you for as many hours as it takes.\N-Naoya-kun...\But...\It's not that I'm bad at it!\3-Hour Bathroom Break...\I hadn't studied at all after the entrance exams response:	I thought I was screwed...
context: You don't have to worry about it.\I'll stick with you for as many hours as it takes.\N-Naoya-kun...\But...\It's not that I'm bad at it!\3-Hour Bathroom Break...\I hadn't studied at all after the entrance exams\I thought I was screwed... response:	Girlfriend, Girlfriend
context: I'll stick with you for as many hours as it takes.\N-Naoya-kun...\But...\It's not that I'm bad at it!\3-Hour Bathroom Break...\I hadn't studied at all after the entrance exams\I thought I was screwed...\Girlfriend, Girlfriend response:	Listen.
context: N-Naoya-kun...\But...\It's not that I'm bad at it!\3-Hour Bathroom Break...\I hadn't studied at all after the entrance exams\I thought I was screwed...\Girlfriend, Girlfriend\Listen. response:	You can't let anyone at school know about our relationship.
context: But...\It's not that I'm bad at it!\3-Hour Bathroom Break...\I hadn't studied at all after the entrance exams\I thought I was screwed...\Girlfriend, Girlfriend\Listen.\You can't let anyone at school know about our relationship. response:	You mean about me dating two people?
context: It's not that I'm bad at it!\3-Hour Bathroom Break...\I hadn't studied at all after the entrance exams\I thought I was screwed...\Girlfriend, Girlfriend\Listen.\You can't let anyone at school know about our relationship.\You mean about me dating two people? response:	Obviously.
context: 3-Hour Bathroom Break...\I hadn't studied at all after the entrance exams\I thought I was screwed...\Girlfriend, Girlfriend\Listen.\You can't let anyone at school know about our relationship.\You mean about me dating two people?\Obviously. response:	Then what about Minase-san and us?
context: I hadn't studied at all after the entrance exams\I thought I was screwed...\Girlfriend, Girlfriend\Listen.\You can't let anyone at school know about our relationship.\You mean about me dating two people?\Obviously.\Then what about Minase-san and us? response:	We'll be strangers.
context: I thought I was screwed...\Girlfriend, Girlfriend\Listen.\You can't let anyone at school know about our relationship.\You mean about me dating two people?\Obviously.\Then what about Minase-san and us?\We'll be strangers. response:	N-No way!
context: Girlfriend, Girlfriend\Listen.\You can't let anyone at school know about our relationship.\You mean about me dating two people?\Obviously.\Then what about Minase-san and us?\We'll be strangers.\N-No way! response:	I can't leave her to be by herself after she missed so much school!
context: Listen.\You can't let anyone at school know about our relationship.\You mean about me dating two people?\Obviously.\Then what about Minase-san and us?\We'll be strangers.\N-No way!\I can't leave her to be by herself after she missed so much school! response:	We haven't done anything wrong!
context: You can't let anyone at school know about our relationship.\You mean about me dating two people?\Obviously.\Then what about Minase-san and us?\We'll be strangers.\N-No way!\I can't leave her to be by herself after she missed so much school!\We haven't done anything wrong! response:	It's bad for our reputation!
