context: Choose some kind of bread and a drink for tomorrow's breakfast. response:	Aye-aye!
context: And I'll show them how I can jump rope, too!\Of course.\I bet my mom and dad will be surprised\to see how you've shot up since the last time.\I wonder if I'm taller than Auntie now.\I don't think you're that tall yet.\I'll have to tell Grandpa, too.\We're back! response:	Oh, Rin-chan! I've been waiting for you!
context: Of course.\I bet my mom and dad will be surprised\to see how you've shot up since the last time.\I wonder if I'm taller than Auntie now.\I don't think you're that tall yet.\I'll have to tell Grandpa, too.\We're back!\Oh, Rin-chan! I've been waiting for you! response:	I'm home.
context: I bet my mom and dad will be surprised\to see how you've shot up since the last time.\I wonder if I'm taller than Auntie now.\I don't think you're that tall yet.\I'll have to tell Grandpa, too.\We're back!\Oh, Rin-chan! I've been waiting for you!\I'm home. response:	Look at how big you've gotten!
context: to see how you've shot up since the last time.\I wonder if I'm taller than Auntie now.\I don't think you're that tall yet.\I'll have to tell Grandpa, too.\We're back!\Oh, Rin-chan! I've been waiting for you!\I'm home.\Look at how big you've gotten! response:	Are you one of the taller kids in your class?
context: I wonder if I'm taller than Auntie now.\I don't think you're that tall yet.\I'll have to tell Grandpa, too.\We're back!\Oh, Rin-chan! I've been waiting for you!\I'm home.\Look at how big you've gotten!\Are you one of the taller kids in your class? response:	Yeah!
context: I don't think you're that tall yet.\I'll have to tell Grandpa, too.\We're back!\Oh, Rin-chan! I've been waiting for you!\I'm home.\Look at how big you've gotten!\Are you one of the taller kids in your class?\Yeah! response:	If you'd called, I would've picked you up at the station!
context: I'll have to tell Grandpa, too.\We're back!\Oh, Rin-chan! I've been waiting for you!\I'm home.\Look at how big you've gotten!\Are you one of the taller kids in your class?\Yeah!\If you'd called, I would've picked you up at the station! response:	Rin can walk 10 minutes!
context: We're back!\Oh, Rin-chan! I've been waiting for you!\I'm home.\Look at how big you've gotten!\Are you one of the taller kids in your class?\Yeah!\If you'd called, I would've picked you up at the station!\Rin can walk 10 minutes! response:	Soon, you'll be taller than me!
context: Oh, Rin-chan! I've been waiting for you!\I'm home.\Look at how big you've gotten!\Are you one of the taller kids in your class?\Yeah!\If you'd called, I would've picked you up at the station!\Rin can walk 10 minutes!\Soon, you'll be taller than me! response:	Kazumi!
context: I'm home.\Look at how big you've gotten!\Are you one of the taller kids in your class?\Yeah!\If you'd called, I would've picked you up at the station!\Rin can walk 10 minutes!\Soon, you'll be taller than me!\Kazumi! response:	Yo. You're here early.
context: Look at how big you've gotten!\Are you one of the taller kids in your class?\Yeah!\If you'd called, I would've picked you up at the station!\Rin can walk 10 minutes!\Soon, you'll be taller than me!\Kazumi!\Yo. You're here early. response:	Yeah, I just got here a little while ago.
context: Are you one of the taller kids in your class?\Yeah!\If you'd called, I would've picked you up at the station!\Rin can walk 10 minutes!\Soon, you'll be taller than me!\Kazumi!\Yo. You're here early.\Yeah, I just got here a little while ago. response:	Those clothes...
context: Yeah!\If you'd called, I would've picked you up at the station!\Rin can walk 10 minutes!\Soon, you'll be taller than me!\Kazumi!\Yo. You're here early.\Yeah, I just got here a little while ago.\Those clothes... response:	You used to wear them, right?
context: If you'd called, I would've picked you up at the station!\Rin can walk 10 minutes!\Soon, you'll be taller than me!\Kazumi!\Yo. You're here early.\Yeah, I just got here a little while ago.\Those clothes...\You used to wear them, right? response:	Yeah...
context: Rin can walk 10 minutes!\Soon, you'll be taller than me!\Kazumi!\Yo. You're here early.\Yeah, I just got here a little while ago.\Those clothes...\You used to wear them, right?\Yeah... response:	Auntie sent them to me!
context: Soon, you'll be taller than me!\Kazumi!\Yo. You're here early.\Yeah, I just got here a little while ago.\Those clothes...\You used to wear them, right?\Yeah...\Auntie sent them to me! response:	Rin-chan, show me your teeth.
context: Kazumi!\Yo. You're here early.\Yeah, I just got here a little while ago.\Those clothes...\You used to wear them, right?\Yeah...\Auntie sent them to me!\Rin-chan, show me your teeth. response:	Okay!
context: Yo. You're here early.\Yeah, I just got here a little while ago.\Those clothes...\You used to wear them, right?\Yeah...\Auntie sent them to me!\Rin-chan, show me your teeth.\Okay! response:	Two of them in front are wobbly...
context: Yeah, I just got here a little while ago.\Those clothes...\You used to wear them, right?\Yeah...\Auntie sent them to me!\Rin-chan, show me your teeth.\Okay!\Two of them in front are wobbly... response:	Are you okay? It doesn't hurt?
context: Those clothes...\You used to wear them, right?\Yeah...\Auntie sent them to me!\Rin-chan, show me your teeth.\Okay!\Two of them in front are wobbly...\Are you okay? It doesn't hurt? response:	Sometimes it hurts, but I'm used to it.
context: You used to wear them, right?\Yeah...\Auntie sent them to me!\Rin-chan, show me your teeth.\Okay!\Two of them in front are wobbly...\Are you okay? It doesn't hurt?\Sometimes it hurts, but I'm used to it. response:	I'm a pro, see?
context: Yeah...\Auntie sent them to me!\Rin-chan, show me your teeth.\Okay!\Two of them in front are wobbly...\Are you okay? It doesn't hurt?\Sometimes it hurts, but I'm used to it.\I'm a pro, see? response:	Say, Daikichi!
context: Auntie sent them to me!\Rin-chan, show me your teeth.\Okay!\Two of them in front are wobbly...\Are you okay? It doesn't hurt?\Sometimes it hurts, but I'm used to it.\I'm a pro, see?\Say, Daikichi! response:	Isn't there anything you can do for her?!
context: Rin-chan, show me your teeth.\Okay!\Two of them in front are wobbly...\Are you okay? It doesn't hurt?\Sometimes it hurts, but I'm used to it.\I'm a pro, see?\Say, Daikichi!\Isn't there anything you can do for her?! response:	Her gums are turning red!
context: Okay!\Two of them in front are wobbly...\Are you okay? It doesn't hurt?\Sometimes it hurts, but I'm used to it.\I'm a pro, see?\Say, Daikichi!\Isn't there anything you can do for her?!\Her gums are turning red! response:	Just a little bit...
context: Two of them in front are wobbly...\Are you okay? It doesn't hurt?\Sometimes it hurts, but I'm used to it.\I'm a pro, see?\Say, Daikichi!\Isn't there anything you can do for her?!\Her gums are turning red!\Just a little bit... response:	And come to think of it, when I was a kid,
context: Are you okay? It doesn't hurt?\Sometimes it hurts, but I'm used to it.\I'm a pro, see?\Say, Daikichi!\Isn't there anything you can do for her?!\Her gums are turning red!\Just a little bit...\And come to think of it, when I was a kid, response:	you talked about pulling my loose teeth out with a thread!
context: Sometimes it hurts, but I'm used to it.\I'm a pro, see?\Say, Daikichi!\Isn't there anything you can do for her?!\Her gums are turning red!\Just a little bit...\And come to think of it, when I was a kid,\you talked about pulling my loose teeth out with a thread! response:	A thread?!
context: I'm a pro, see?\Say, Daikichi!\Isn't there anything you can do for her?!\Her gums are turning red!\Just a little bit...\And come to think of it, when I was a kid,\you talked about pulling my loose teeth out with a thread!\A thread?! response:	Oh, my goodness! Did I?!
context: Say, Daikichi!\Isn't there anything you can do for her?!\Her gums are turning red!\Just a little bit...\And come to think of it, when I was a kid,\you talked about pulling my loose teeth out with a thread!\A thread?!\Oh, my goodness! Did I?! response:	I tried to make everything soft.
context: Isn't there anything you can do for her?!\Her gums are turning red!\Just a little bit...\And come to think of it, when I was a kid,\you talked about pulling my loose teeth out with a thread!\A thread?!\Oh, my goodness! Did I?!\I tried to make everything soft. response:	Thank you!
context: Her gums are turning red!\Just a little bit...\And come to think of it, when I was a kid,\you talked about pulling my loose teeth out with a thread!\A thread?!\Oh, my goodness! Did I?!\I tried to make everything soft.\Thank you! response:	Wanna have some freeze-dried tofu?
context: Just a little bit...\And come to think of it, when I was a kid,\you talked about pulling my loose teeth out with a thread!\A thread?!\Oh, my goodness! Did I?!\I tried to make everything soft.\Thank you!\Wanna have some freeze-dried tofu? response:	Yeah!
context: And come to think of it, when I was a kid,\you talked about pulling my loose teeth out with a thread!\A thread?!\Oh, my goodness! Did I?!\I tried to make everything soft.\Thank you!\Wanna have some freeze-dried tofu?\Yeah! response:	I'll have boiled beans too, Auntie!
context: you talked about pulling my loose teeth out with a thread!\A thread?!\Oh, my goodness! Did I?!\I tried to make everything soft.\Thank you!\Wanna have some freeze-dried tofu?\Yeah!\I'll have boiled beans too, Auntie! response:	Sure!
context: A thread?!\Oh, my goodness! Did I?!\I tried to make everything soft.\Thank you!\Wanna have some freeze-dried tofu?\Yeah!\I'll have boiled beans too, Auntie!\Sure! response:	Eat up!
context: Oh, my goodness! Did I?!\I tried to make everything soft.\Thank you!\Wanna have some freeze-dried tofu?\Yeah!\I'll have boiled beans too, Auntie!\Sure!\Eat up! response:	I like freeze-dried tofu!
context: I tried to make everything soft.\Thank you!\Wanna have some freeze-dried tofu?\Yeah!\I'll have boiled beans too, Auntie!\Sure!\Eat up!\I like freeze-dried tofu! response:	Did one come out?
context: Thank you!\Wanna have some freeze-dried tofu?\Yeah!\I'll have boiled beans too, Auntie!\Sure!\Eat up!\I like freeze-dried tofu!\Did one come out? response:	Rin-chan?
context: Wanna have some freeze-dried tofu?\Yeah!\I'll have boiled beans too, Auntie!\Sure!\Eat up!\I like freeze-dried tofu!\Did one come out?\Rin-chan? response:	It came out!
context: Yeah!\I'll have boiled beans too, Auntie!\Sure!\Eat up!\I like freeze-dried tofu!\Did one come out?\Rin-chan?\It came out! response:	Blood! Blood!
context: I'll have boiled beans too, Auntie!\Sure!\Eat up!\I like freeze-dried tofu!\Did one come out?\Rin-chan?\It came out!\Blood! Blood! response:	Mom! Tissue! Tissue!
context: Sure!\Eat up!\I like freeze-dried tofu!\Did one come out?\Rin-chan?\It came out!\Blood! Blood!\Mom! Tissue! Tissue! response:	Hold on! Hold on!
context: Eat up!\I like freeze-dried tofu!\Did one come out?\Rin-chan?\It came out!\Blood! Blood!\Mom! Tissue! Tissue!\Hold on! Hold on! response:	I'm fine!
context: I like freeze-dried tofu!\Did one come out?\Rin-chan?\It came out!\Blood! Blood!\Mom! Tissue! Tissue!\Hold on! Hold on!\I'm fine! response:	Rin, use this for now!
context: Did one come out?\Rin-chan?\It came out!\Blood! Blood!\Mom! Tissue! Tissue!\Hold on! Hold on!\I'm fine!\Rin, use this for now! response:	That's a dust cloth!
context: Rin-chan?\It came out!\Blood! Blood!\Mom! Tissue! Tissue!\Hold on! Hold on!\I'm fine!\Rin, use this for now!\That's a dust cloth! response:	Rin-chan has changed a lot.
context: It came out!\Blood! Blood!\Mom! Tissue! Tissue!\Hold on! Hold on!\I'm fine!\Rin, use this for now!\That's a dust cloth!\Rin-chan has changed a lot. response:	I don't know...
context: Blood! Blood!\Mom! Tissue! Tissue!\Hold on! Hold on!\I'm fine!\Rin, use this for now!\That's a dust cloth!\Rin-chan has changed a lot.\I don't know... response:	This might just be the real Rin...
context: Mom! Tissue! Tissue!\Hold on! Hold on!\I'm fine!\Rin, use this for now!\That's a dust cloth!\Rin-chan has changed a lot.\I don't know...\This might just be the real Rin... response:	Huh...
context: Hold on! Hold on!\I'm fine!\Rin, use this for now!\That's a dust cloth!\Rin-chan has changed a lot.\I don't know...\This might just be the real Rin...\Huh... response:	So, you're getting married?
context: I'm fine!\Rin, use this for now!\That's a dust cloth!\Rin-chan has changed a lot.\I don't know...\This might just be the real Rin...\Huh...\So, you're getting married? response:	Mom was saying...
context: Rin, use this for now!\That's a dust cloth!\Rin-chan has changed a lot.\I don't know...\This might just be the real Rin...\Huh...\So, you're getting married?\Mom was saying... response:	Yeah.
context: That's a dust cloth!\Rin-chan has changed a lot.\I don't know...\This might just be the real Rin...\Huh...\So, you're getting married?\Mom was saying...\Yeah. response:	Good for you. She said he seemed like a nice guy.
context: Rin-chan has changed a lot.\I don't know...\This might just be the real Rin...\Huh...\So, you're getting married?\Mom was saying...\Yeah.\Good for you. She said he seemed like a nice guy. response:	Yeah, well...
context: I don't know...\This might just be the real Rin...\Huh...\So, you're getting married?\Mom was saying...\Yeah.\Good for you. She said he seemed like a nice guy.\Yeah, well... response:	The only thing I'm not on board with is he wants to have a kid right away.
context: This might just be the real Rin...\Huh...\So, you're getting married?\Mom was saying...\Yeah.\Good for you. She said he seemed like a nice guy.\Yeah, well...\The only thing I'm not on board with is he wants to have a kid right away. response:	That's a good thing, isn't it?
context: Huh...\So, you're getting married?\Mom was saying...\Yeah.\Good for you. She said he seemed like a nice guy.\Yeah, well...\The only thing I'm not on board with is he wants to have a kid right away.\That's a good thing, isn't it? response:	Are you kidding me?!
context: So, you're getting married?\Mom was saying...\Yeah.\Good for you. She said he seemed like a nice guy.\Yeah, well...\The only thing I'm not on board with is he wants to have a kid right away.\That's a good thing, isn't it?\Are you kidding me?! response:	I wouldn't be able to go out drinking or go to concerts
context: Mom was saying...\Yeah.\Good for you. She said he seemed like a nice guy.\Yeah, well...\The only thing I'm not on board with is he wants to have a kid right away.\That's a good thing, isn't it?\Are you kidding me?!\I wouldn't be able to go out drinking or go to concerts response:	or go on trips or eat delicious food...
context: Yeah.\Good for you. She said he seemed like a nice guy.\Yeah, well...\The only thing I'm not on board with is he wants to have a kid right away.\That's a good thing, isn't it?\Are you kidding me?!\I wouldn't be able to go out drinking or go to concerts\or go on trips or eat delicious food... response:	I wouldn't be able to do anything anymore!
context: Good for you. She said he seemed like a nice guy.\Yeah, well...\The only thing I'm not on board with is he wants to have a kid right away.\That's a good thing, isn't it?\Are you kidding me?!\I wouldn't be able to go out drinking or go to concerts\or go on trips or eat delicious food...\I wouldn't be able to do anything anymore! response:	Well, you gotta talk to your husband about that.
context: Yeah, well...\The only thing I'm not on board with is he wants to have a kid right away.\That's a good thing, isn't it?\Are you kidding me?!\I wouldn't be able to go out drinking or go to concerts\or go on trips or eat delicious food...\I wouldn't be able to do anything anymore!\Well, you gotta talk to your husband about that. response:	I wouldn't know...
context: The only thing I'm not on board with is he wants to have a kid right away.\That's a good thing, isn't it?\Are you kidding me?!\I wouldn't be able to go out drinking or go to concerts\or go on trips or eat delicious food...\I wouldn't be able to do anything anymore!\Well, you gotta talk to your husband about that.\I wouldn't know... response:	I'm not into kids in the first place!
context: That's a good thing, isn't it?\Are you kidding me?!\I wouldn't be able to go out drinking or go to concerts\or go on trips or eat delicious food...\I wouldn't be able to do anything anymore!\Well, you gotta talk to your husband about that.\I wouldn't know...\I'm not into kids in the first place! response:	And I don't wanna become one of those pushy moms either!
context: Are you kidding me?!\I wouldn't be able to go out drinking or go to concerts\or go on trips or eat delicious food...\I wouldn't be able to do anything anymore!\Well, you gotta talk to your husband about that.\I wouldn't know...\I'm not into kids in the first place!\And I don't wanna become one of those pushy moms either! response:	I'm not confident that I could sacrifice myself to raise a kid...
context: I wouldn't be able to go out drinking or go to concerts\or go on trips or eat delicious food...\I wouldn't be able to do anything anymore!\Well, you gotta talk to your husband about that.\I wouldn't know...\I'm not into kids in the first place!\And I don't wanna become one of those pushy moms either!\I'm not confident that I could sacrifice myself to raise a kid... response:	Ah, I think you'd manage somehow.
context: or go on trips or eat delicious food...\I wouldn't be able to do anything anymore!\Well, you gotta talk to your husband about that.\I wouldn't know...\I'm not into kids in the first place!\And I don't wanna become one of those pushy moms either!\I'm not confident that I could sacrifice myself to raise a kid...\Ah, I think you'd manage somehow. response:	If you put your mind to it...
context: I wouldn't be able to do anything anymore!\Well, you gotta talk to your husband about that.\I wouldn't know...\I'm not into kids in the first place!\And I don't wanna become one of those pushy moms either!\I'm not confident that I could sacrifice myself to raise a kid...\Ah, I think you'd manage somehow.\If you put your mind to it... response:	Sometimes you just have to manage...
context: Well, you gotta talk to your husband about that.\I wouldn't know...\I'm not into kids in the first place!\And I don't wanna become one of those pushy moms either!\I'm not confident that I could sacrifice myself to raise a kid...\Ah, I think you'd manage somehow.\If you put your mind to it...\Sometimes you just have to manage... response:	Easy for you to say, big brother...
context: I wouldn't know...\I'm not into kids in the first place!\And I don't wanna become one of those pushy moms either!\I'm not confident that I could sacrifice myself to raise a kid...\Ah, I think you'd manage somehow.\If you put your mind to it...\Sometimes you just have to manage...\Easy for you to say, big brother... response:	Yeah, maybe...
context: I'm not into kids in the first place!\And I don't wanna become one of those pushy moms either!\I'm not confident that I could sacrifice myself to raise a kid...\Ah, I think you'd manage somehow.\If you put your mind to it...\Sometimes you just have to manage...\Easy for you to say, big brother...\Yeah, maybe... response:	What's that?
context: And I don't wanna become one of those pushy moms either!\I'm not confident that I could sacrifice myself to raise a kid...\Ah, I think you'd manage somehow.\If you put your mind to it...\Sometimes you just have to manage...\Easy for you to say, big brother...\Yeah, maybe...\What's that? response:	I've never become a father or husband, let alone a mother.
context: I'm not confident that I could sacrifice myself to raise a kid...\Ah, I think you'd manage somehow.\If you put your mind to it...\Sometimes you just have to manage...\Easy for you to say, big brother...\Yeah, maybe...\What's that?\I've never become a father or husband, let alone a mother. response:	It's burning...
context: Ah, I think you'd manage somehow.\If you put your mind to it...\Sometimes you just have to manage...\Easy for you to say, big brother...\Yeah, maybe...\What's that?\I've never become a father or husband, let alone a mother.\It's burning... response:	Yeah.
context: If you put your mind to it...\Sometimes you just have to manage...\Easy for you to say, big brother...\Yeah, maybe...\What's that?\I've never become a father or husband, let alone a mother.\It's burning...\Yeah. response:	True, I don't have time to shop at my leisure,
context: Sometimes you just have to manage...\Easy for you to say, big brother...\Yeah, maybe...\What's that?\I've never become a father or husband, let alone a mother.\It's burning...\Yeah.\True, I don't have time to shop at my leisure, response:	or chat with friends over coffee...
context: Easy for you to say, big brother...\Yeah, maybe...\What's that?\I've never become a father or husband, let alone a mother.\It's burning...\Yeah.\True, I don't have time to shop at my leisure,\or chat with friends over coffee... response:	But my time at work is my own time...
context: Yeah, maybe...\What's that?\I've never become a father or husband, let alone a mother.\It's burning...\Yeah.\True, I don't have time to shop at my leisure,\or chat with friends over coffee...\But my time at work is my own time... response:	And my time with my son is also my time...
context: What's that?\I've never become a father or husband, let alone a mother.\It's burning...\Yeah.\True, I don't have time to shop at my leisure,\or chat with friends over coffee...\But my time at work is my own time...\And my time with my son is also my time... response:	Precious time...
context: I've never become a father or husband, let alone a mother.\It's burning...\Yeah.\True, I don't have time to shop at my leisure,\or chat with friends over coffee...\But my time at work is my own time...\And my time with my son is also my time...\Precious time... response:	Other parents might look like it,
context: It's burning...\Yeah.\True, I don't have time to shop at my leisure,\or chat with friends over coffee...\But my time at work is my own time...\And my time with my son is also my time...\Precious time...\Other parents might look like it, response:	but I don't think they're doing anything special.
context: Yeah.\True, I don't have time to shop at my leisure,\or chat with friends over coffee...\But my time at work is my own time...\And my time with my son is also my time...\Precious time...\Other parents might look like it,\but I don't think they're doing anything special. response:	If you look around you, you'll see mothers and fathers galore like that.
context: True, I don't have time to shop at my leisure,\or chat with friends over coffee...\But my time at work is my own time...\And my time with my son is also my time...\Precious time...\Other parents might look like it,\but I don't think they're doing anything special.\If you look around you, you'll see mothers and fathers galore like that. response:	I see...
context: or chat with friends over coffee...\But my time at work is my own time...\And my time with my son is also my time...\Precious time...\Other parents might look like it,\but I don't think they're doing anything special.\If you look around you, you'll see mothers and fathers galore like that.\I see... response:	Right...
context: But my time at work is my own time...\And my time with my son is also my time...\Precious time...\Other parents might look like it,\but I don't think they're doing anything special.\If you look around you, you'll see mothers and fathers galore like that.\I see...\Right... response:	Grandpa, you know what?
context: And my time with my son is also my time...\Precious time...\Other parents might look like it,\but I don't think they're doing anything special.\If you look around you, you'll see mothers and fathers galore like that.\I see...\Right...\Grandpa, you know what? response:	Some of my adult teeth are coming in.
context: Precious time...\Other parents might look like it,\but I don't think they're doing anything special.\If you look around you, you'll see mothers and fathers galore like that.\I see...\Right...\Grandpa, you know what?\Some of my adult teeth are coming in. response:	Hey! Rin!
context: Other parents might look like it,\but I don't think they're doing anything special.\If you look around you, you'll see mothers and fathers galore like that.\I see...\Right...\Grandpa, you know what?\Some of my adult teeth are coming in.\Hey! Rin! response:	Th-This is sweat!
context: but I don't think they're doing anything special.\If you look around you, you'll see mothers and fathers galore like that.\I see...\Right...\Grandpa, you know what?\Some of my adult teeth are coming in.\Hey! Rin!\Th-This is sweat! response:	Daikichi!
context: If you look around you, you'll see mothers and fathers galore like that.\I see...\Right...\Grandpa, you know what?\Some of my adult teeth are coming in.\Hey! Rin!\Th-This is sweat!\Daikichi! response:	Hurry up!
context: I see...\Right...\Grandpa, you know what?\Some of my adult teeth are coming in.\Hey! Rin!\Th-This is sweat!\Daikichi!\Hurry up! response:	Say cheese!
context: Right...\Grandpa, you know what?\Some of my adult teeth are coming in.\Hey! Rin!\Th-This is sweat!\Daikichi!\Hurry up!\Say cheese! response:	Tasu Elementary School Entrance Ceremony
context: Grandpa, you know what?\Some of my adult teeth are coming in.\Hey! Rin!\Th-This is sweat!\Daikichi!\Hurry up!\Say cheese!\Tasu Elementary School Entrance Ceremony response:	That jar...
context: Some of my adult teeth are coming in.\Hey! Rin!\Th-This is sweat!\Daikichi!\Hurry up!\Say cheese!\Tasu Elementary School Entrance Ceremony\That jar... response:	Masako-san had it, too...
context: Hey! Rin!\Th-This is sweat!\Daikichi!\Hurry up!\Say cheese!\Tasu Elementary School Entrance Ceremony\That jar...\Masako-san had it, too... response:	I'll be right back!
context: Th-This is sweat!\Daikichi!\Hurry up!\Say cheese!\Tasu Elementary School Entrance Ceremony\That jar...\Masako-san had it, too...\I'll be right back! response:	Daikichi!
context: Daikichi!\Hurry up!\Say cheese!\Tasu Elementary School Entrance Ceremony\That jar...\Masako-san had it, too...\I'll be right back!\Daikichi! response:	What?! The other one's coming loose?!
context: Hurry up!\Say cheese!\Tasu Elementary School Entrance Ceremony\That jar...\Masako-san had it, too...\I'll be right back!\Daikichi!\What?! The other one's coming loose?! response:	Mirror! Mirror!
context: Say cheese!\Tasu Elementary School Entrance Ceremony\That jar...\Masako-san had it, too...\I'll be right back!\Daikichi!\What?! The other one's coming loose?!\Mirror! Mirror! response:	I bet I'll still keep getting nervous and worked up
context: Tasu Elementary School Entrance Ceremony\That jar...\Masako-san had it, too...\I'll be right back!\Daikichi!\What?! The other one's coming loose?!\Mirror! Mirror!\I bet I'll still keep getting nervous and worked up response:	over minor stuff from here on out.
context: That jar...\Masako-san had it, too...\I'll be right back!\Daikichi!\What?! The other one's coming loose?!\Mirror! Mirror!\I bet I'll still keep getting nervous and worked up\over minor stuff from here on out. response:	I suppose it's the same way with those two...
context: Masako-san had it, too...\I'll be right back!\Daikichi!\What?! The other one's coming loose?!\Mirror! Mirror!\I bet I'll still keep getting nervous and worked up\over minor stuff from here on out.\I suppose it's the same way with those two... response:	Does it hurt?
context: I'll be right back!\Daikichi!\What?! The other one's coming loose?!\Mirror! Mirror!\I bet I'll still keep getting nervous and worked up\over minor stuff from here on out.\I suppose it's the same way with those two...\Does it hurt? response:	Rin!
context: Daikichi!\What?! The other one's coming loose?!\Mirror! Mirror!\I bet I'll still keep getting nervous and worked up\over minor stuff from here on out.\I suppose it's the same way with those two...\Does it hurt?\Rin! response:	Daikichi, look at this!
context: What?! The other one's coming loose?!\Mirror! Mirror!\I bet I'll still keep getting nervous and worked up\over minor stuff from here on out.\I suppose it's the same way with those two...\Does it hurt?\Rin!\Daikichi, look at this! response:	What the heck? It's like you've got a cat's face!
context: Mirror! Mirror!\I bet I'll still keep getting nervous and worked up\over minor stuff from here on out.\I suppose it's the same way with those two...\Does it hurt?\Rin!\Daikichi, look at this!\What the heck? It's like you've got a cat's face! response:	I know, right?
context: I bet I'll still keep getting nervous and worked up\over minor stuff from here on out.\I suppose it's the same way with those two...\Does it hurt?\Rin!\Daikichi, look at this!\What the heck? It's like you've got a cat's face!\I know, right? response:	Send a text to your parents' house!
context: over minor stuff from here on out.\I suppose it's the same way with those two...\Does it hurt?\Rin!\Daikichi, look at this!\What the heck? It's like you've got a cat's face!\I know, right?\Send a text to your parents' house! response:	You mean a photo?
context: I suppose it's the same way with those two...\Does it hurt?\Rin!\Daikichi, look at this!\What the heck? It's like you've got a cat's face!\I know, right?\Send a text to your parents' house!\You mean a photo? response:	Even so, it seems like that smile will be my happiness from now on...
context: Does it hurt?\Rin!\Daikichi, look at this!\What the heck? It's like you've got a cat's face!\I know, right?\Send a text to your parents' house!\You mean a photo?\Even so, it seems like that smile will be my happiness from now on... response:	Yeah!
context: Rin!\Daikichi, look at this!\What the heck? It's like you've got a cat's face!\I know, right?\Send a text to your parents' house!\You mean a photo?\Even so, it seems like that smile will be my happiness from now on...\Yeah! response:	Hurry up!
context: Daikichi, look at this!\What the heck? It's like you've got a cat's face!\I know, right?\Send a text to your parents' house!\You mean a photo?\Even so, it seems like that smile will be my happiness from now on...\Yeah!\Hurry up! response:	Okay, open your mouth.
context: What the heck? It's like you've got a cat's face!\I know, right?\Send a text to your parents' house!\You mean a photo?\Even so, it seems like that smile will be my happiness from now on...\Yeah!\Hurry up!\Okay, open your mouth. response:	And I guess I don't think there's anything wrong with that.
context: I know, right?\Send a text to your parents' house!\You mean a photo?\Even so, it seems like that smile will be my happiness from now on...\Yeah!\Hurry up!\Okay, open your mouth.\And I guess I don't think there's anything wrong with that. response:	A sunny early Sunday afternoon
context: Send a text to your parents' house!\You mean a photo?\Even so, it seems like that smile will be my happiness from now on...\Yeah!\Hurry up!\Okay, open your mouth.\And I guess I don't think there's anything wrong with that.\A sunny early Sunday afternoon response:	Let's go somewhere today
context: You mean a photo?\Even so, it seems like that smile will be my happiness from now on...\Yeah!\Hurry up!\Okay, open your mouth.\And I guess I don't think there's anything wrong with that.\A sunny early Sunday afternoon\Let's go somewhere today response:	It's the same road I'm used to traveling
context: Even so, it seems like that smile will be my happiness from now on...\Yeah!\Hurry up!\Okay, open your mouth.\And I guess I don't think there's anything wrong with that.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling response:	But I can see it sparkling so bright
context: Yeah!\Hurry up!\Okay, open your mouth.\And I guess I don't think there's anything wrong with that.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright response:	With the sun shining down its warmth
context: Hurry up!\Okay, open your mouth.\And I guess I don't think there's anything wrong with that.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth response:	And you here by my side...
context: Okay, open your mouth.\And I guess I don't think there's anything wrong with that.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side... response:	I'm already high, high, high
context: And I guess I don't think there's anything wrong with that.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high response:	I feel like dashing out
context: A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out response:	Sing, la, la, la
context: Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la response:	My voice out to forever
context: It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever response:	I'm already high, high, high
context: But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high response:	Ride the dancing wind
context: With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind response:	Sing, la, la, la
context: And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la response:	My voice springs up
context: I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up response:	Daikichi!!
