context: That's right! response:	We're here to save Kagome
context: With faithful Jaken at your heels...\Rin.\Huh?\Oh! Lord Sesshomaru!\Let us go.\C'mon.\Okay!\I will wait all alone. response:	For Lord Sesshomaru's return.
context: Rin.\Huh?\Oh! Lord Sesshomaru!\Let us go.\C'mon.\Okay!\I will wait all alone.\For Lord Sesshomaru's return. response:	What?! Sango has a proposal from a lord?
context: Huh?\Oh! Lord Sesshomaru!\Let us go.\C'mon.\Okay!\I will wait all alone.\For Lord Sesshomaru's return.\What?! Sango has a proposal from a lord? response:	Yes! She has me at her side, yet Sango is so flirtatious!
context: Oh! Lord Sesshomaru!\Let us go.\C'mon.\Okay!\I will wait all alone.\For Lord Sesshomaru's return.\What?! Sango has a proposal from a lord?\Yes! She has me at her side, yet Sango is so flirtatious! response:	What'll you do, Sango?
context: Let us go.\C'mon.\Okay!\I will wait all alone.\For Lord Sesshomaru's return.\What?! Sango has a proposal from a lord?\Yes! She has me at her side, yet Sango is so flirtatious!\What'll you do, Sango? response:	He's handsome, upright, and really loves you.
context: C'mon.\Okay!\I will wait all alone.\For Lord Sesshomaru's return.\What?! Sango has a proposal from a lord?\Yes! She has me at her side, yet Sango is so flirtatious!\What'll you do, Sango?\He's handsome, upright, and really loves you. response:	So unlike Miroku.
context: Okay!\I will wait all alone.\For Lord Sesshomaru's return.\What?! Sango has a proposal from a lord?\Yes! She has me at her side, yet Sango is so flirtatious!\What'll you do, Sango?\He's handsome, upright, and really loves you.\So unlike Miroku. response:	It's not our place to express our opinions.
context: I will wait all alone.\For Lord Sesshomaru's return.\What?! Sango has a proposal from a lord?\Yes! She has me at her side, yet Sango is so flirtatious!\What'll you do, Sango?\He's handsome, upright, and really loves you.\So unlike Miroku.\It's not our place to express our opinions. response:	Won't you make up your mind?!
context: For Lord Sesshomaru's return.\What?! Sango has a proposal from a lord?\Yes! She has me at her side, yet Sango is so flirtatious!\What'll you do, Sango?\He's handsome, upright, and really loves you.\So unlike Miroku.\It's not our place to express our opinions.\Won't you make up your mind?! response:	Well, I'll decide for you then!
context: What?! Sango has a proposal from a lord?\Yes! She has me at her side, yet Sango is so flirtatious!\What'll you do, Sango?\He's handsome, upright, and really loves you.\So unlike Miroku.\It's not our place to express our opinions.\Won't you make up your mind?!\Well, I'll decide for you then! response:	Next on Inuyasha: Only You, Sango
context: Yes! She has me at her side, yet Sango is so flirtatious!\What'll you do, Sango?\He's handsome, upright, and really loves you.\So unlike Miroku.\It's not our place to express our opinions.\Won't you make up your mind?!\Well, I'll decide for you then!\Next on Inuyasha: Only You, Sango response:	Oh, you there, miss. Will you bear my child?
context: What'll you do, Sango?\He's handsome, upright, and really loves you.\So unlike Miroku.\It's not our place to express our opinions.\Won't you make up your mind?!\Well, I'll decide for you then!\Next on Inuyasha: Only You, Sango\Oh, you there, miss. Will you bear my child? response:	I doubt it.
