context: A spider on his back... response:	Yes. According to Inuyasha...
context: She seemed awfully cold just now.\I don't think you imagined that.\This is so maddening...!\What is Inuyasha up to?!\Err... Kagome.\What is it?\Umm... Shall we go after Inuyasha?\No way! response:	Why should I?
context: I don't think you imagined that.\This is so maddening...!\What is Inuyasha up to?!\Err... Kagome.\What is it?\Umm... Shall we go after Inuyasha?\No way!\Why should I? response:	An evil wind?
context: This is so maddening...!\What is Inuyasha up to?!\Err... Kagome.\What is it?\Umm... Shall we go after Inuyasha?\No way!\Why should I?\An evil wind? response:	- That's... - Those demons!
context: What is Inuyasha up to?!\Err... Kagome.\What is it?\Umm... Shall we go after Inuyasha?\No way!\Why should I?\An evil wind?\- That's... - Those demons! response:	- Let's go after them! - Yes!
context: Err... Kagome.\What is it?\Umm... Shall we go after Inuyasha?\No way!\Why should I?\An evil wind?\- That's... - Those demons!\- Let's go after them! - Yes! response:	W-what's this?!
context: What is it?\Umm... Shall we go after Inuyasha?\No way!\Why should I?\An evil wind?\- That's... - Those demons!\- Let's go after them! - Yes!\W-what's this?! response:	It's a barrier.
context: Umm... Shall we go after Inuyasha?\No way!\Why should I?\An evil wind?\- That's... - Those demons!\- Let's go after them! - Yes!\W-what's this?!\It's a barrier. response:	- We can't pass? - No.
context: No way!\Why should I?\An evil wind?\- That's... - Those demons!\- Let's go after them! - Yes!\W-what's this?!\It's a barrier.\- We can't pass? - No. response:	Kagome? Where's Kagome?
context: Why should I?\An evil wind?\- That's... - Those demons!\- Let's go after them! - Yes!\W-what's this?!\It's a barrier.\- We can't pass? - No.\Kagome? Where's Kagome? response:	Be careful! It's slippery.
context: An evil wind?\- That's... - Those demons!\- Let's go after them! - Yes!\W-what's this?!\It's a barrier.\- We can't pass? - No.\Kagome? Where's Kagome?\Be careful! It's slippery. response:	Huh?!
context: - That's... - Those demons!\- Let's go after them! - Yes!\W-what's this?!\It's a barrier.\- We can't pass? - No.\Kagome? Where's Kagome?\Be careful! It's slippery.\Huh?! response:	No, I'm alone!
context: - Let's go after them! - Yes!\W-what's this?!\It's a barrier.\- We can't pass? - No.\Kagome? Where's Kagome?\Be careful! It's slippery.\Huh?!\No, I'm alone! response:	Ouch...
context: W-what's this?!\It's a barrier.\- We can't pass? - No.\Kagome? Where's Kagome?\Be careful! It's slippery.\Huh?!\No, I'm alone!\Ouch... response:	This... is...
context: It's a barrier.\- We can't pass? - No.\Kagome? Where's Kagome?\Be careful! It's slippery.\Huh?!\No, I'm alone!\Ouch...\This... is... response:	Kikyo!
context: - We can't pass? - No.\Kagome? Where's Kagome?\Be careful! It's slippery.\Huh?!\No, I'm alone!\Ouch...\This... is...\Kikyo! response:	Kikyo is alive!
context: Kagome? Where's Kagome?\Be careful! It's slippery.\Huh?!\No, I'm alone!\Ouch...\This... is...\Kikyo!\Kikyo is alive! response:	A demon had tried to steal her soul...
context: Be careful! It's slippery.\Huh?!\No, I'm alone!\Ouch...\This... is...\Kikyo!\Kikyo is alive!\A demon had tried to steal her soul... response:	but only ended up awakening it.
context: Huh?!\No, I'm alone!\Ouch...\This... is...\Kikyo!\Kikyo is alive!\A demon had tried to steal her soul...\but only ended up awakening it. response:	And now, her soul wanders the real world.
context: No, I'm alone!\Ouch...\This... is...\Kikyo!\Kikyo is alive!\A demon had tried to steal her soul...\but only ended up awakening it.\And now, her soul wanders the real world. response:	Her body made of clay feels no warmth.
context: Ouch...\This... is...\Kikyo!\Kikyo is alive!\A demon had tried to steal her soul...\but only ended up awakening it.\And now, her soul wanders the real world.\Her body made of clay feels no warmth. response:	Her eyes are cold and dark.
context: This... is...\Kikyo!\Kikyo is alive!\A demon had tried to steal her soul...\but only ended up awakening it.\And now, her soul wanders the real world.\Her body made of clay feels no warmth.\Her eyes are cold and dark. response:	Inuyasha, run!
context: Kikyo!\Kikyo is alive!\A demon had tried to steal her soul...\but only ended up awakening it.\And now, her soul wanders the real world.\Her body made of clay feels no warmth.\Her eyes are cold and dark.\Inuyasha, run! response:	Kikyo is trying to kill you!
context: Kikyo is alive!\A demon had tried to steal her soul...\but only ended up awakening it.\And now, her soul wanders the real world.\Her body made of clay feels no warmth.\Her eyes are cold and dark.\Inuyasha, run!\Kikyo is trying to kill you! response:	Stop, Kikyo! Your enemy is not Inuyasha!
context: A demon had tried to steal her soul...\but only ended up awakening it.\And now, her soul wanders the real world.\Her body made of clay feels no warmth.\Her eyes are cold and dark.\Inuyasha, run!\Kikyo is trying to kill you!\Stop, Kikyo! Your enemy is not Inuyasha! response:	Next on Inuyasha, Kagome's Voice and Kikyo's Kiss
context: but only ended up awakening it.\And now, her soul wanders the real world.\Her body made of clay feels no warmth.\Her eyes are cold and dark.\Inuyasha, run!\Kikyo is trying to kill you!\Stop, Kikyo! Your enemy is not Inuyasha!\Next on Inuyasha, Kagome's Voice and Kikyo's Kiss response:	Don't miss it!
