context: What's that? response:	Is this for some kind of advertising campaign?
context: Here comes spring, now the flower blooms\Tomihara West High! Victory!\Yeah!\The sight of the lonely moon in the early morning\Got it!\Nice job, E-chan!\I was able to hold onto mine.\Way to go, Sano-senpai! response:	That's the spirit!
context: Tomihara West High! Victory!\Yeah!\The sight of the lonely moon in the early morning\Got it!\Nice job, E-chan!\I was able to hold onto mine.\Way to go, Sano-senpai!\That's the spirit! response:	Keep it up, team!
context: Yeah!\The sight of the lonely moon in the early morning\Got it!\Nice job, E-chan!\I was able to hold onto mine.\Way to go, Sano-senpai!\That's the spirit!\Keep it up, team! response:	Yes!
context: The sight of the lonely moon in the early morning\Got it!\Nice job, E-chan!\I was able to hold onto mine.\Way to go, Sano-senpai!\That's the spirit!\Keep it up, team!\Yes! response:	Huh? Everyone on their team won that card?
context: Got it!\Nice job, E-chan!\I was able to hold onto mine.\Way to go, Sano-senpai!\That's the spirit!\Keep it up, team!\Yes!\Huh? Everyone on their team won that card? response:	No... Taichi and Porky took theirs,
context: Nice job, E-chan!\I was able to hold onto mine.\Way to go, Sano-senpai!\That's the spirit!\Keep it up, team!\Yes!\Huh? Everyone on their team won that card?\No... Taichi and Porky took theirs, response:	so we're actually even in score.
context: I was able to hold onto mine.\Way to go, Sano-senpai!\That's the spirit!\Keep it up, team!\Yes!\Huh? Everyone on their team won that card?\No... Taichi and Porky took theirs,\so we're actually even in score. response:	Make it two in a row!
context: Way to go, Sano-senpai!\That's the spirit!\Keep it up, team!\Yes!\Huh? Everyone on their team won that card?\No... Taichi and Porky took theirs,\so we're actually even in score.\Make it two in a row! response:	Yeah!
context: That's the spirit!\Keep it up, team!\Yes!\Huh? Everyone on their team won that card?\No... Taichi and Porky took theirs,\so we're actually even in score.\Make it two in a row!\Yeah! response:	Take the next one!
context: Keep it up, team!\Yes!\Huh? Everyone on their team won that card?\No... Taichi and Porky took theirs,\so we're actually even in score.\Make it two in a row!\Yeah!\Take the next one! response:	One at a time!
context: Yes!\Huh? Everyone on their team won that card?\No... Taichi and Porky took theirs,\so we're actually even in score.\Make it two in a row!\Yeah!\Take the next one!\One at a time! response:	Focus... Focus...
context: Huh? Everyone on their team won that card?\No... Taichi and Porky took theirs,\so we're actually even in score.\Make it two in a row!\Yeah!\Take the next one!\One at a time!\Focus... Focus... response:	Keep it up, team!
context: No... Taichi and Porky took theirs,\so we're actually even in score.\Make it two in a row!\Yeah!\Take the next one!\One at a time!\Focus... Focus...\Keep it up, team! response:	Yeah!
context: so we're actually even in score.\Make it two in a row!\Yeah!\Take the next one!\One at a time!\Focus... Focus...\Keep it up, team!\Yeah! response:	Focus!
context: Make it two in a row!\Yeah!\Take the next one!\One at a time!\Focus... Focus...\Keep it up, team!\Yeah!\Focus! response:	Anyway, we have to win and make it to the finals.
context: Yeah!\Take the next one!\One at a time!\Focus... Focus...\Keep it up, team!\Yeah!\Focus!\Anyway, we have to win and make it to the finals. response:	If we lose here...
context: Take the next one!\One at a time!\Focus... Focus...\Keep it up, team!\Yeah!\Focus!\Anyway, we have to win and make it to the finals.\If we lose here... response:	So we can play with Komano again.
context: One at a time!\Focus... Focus...\Keep it up, team!\Yeah!\Focus!\Anyway, we have to win and make it to the finals.\If we lose here...\So we can play with Komano again. response:	It will have all been for nothing.
context: Focus... Focus...\Keep it up, team!\Yeah!\Focus!\Anyway, we have to win and make it to the finals.\If we lose here...\So we can play with Komano again.\It will have all been for nothing. response:	You definitely can't lose.
context: Keep it up, team!\Yeah!\Focus!\Anyway, we have to win and make it to the finals.\If we lose here...\So we can play with Komano again.\It will have all been for nothing.\You definitely can't lose. response:	Impassionate
context: Yeah!\Focus!\Anyway, we have to win and make it to the finals.\If we lose here...\So we can play with Komano again.\It will have all been for nothing.\You definitely can't lose.\Impassionate response:	Yes!
context: Focus!\Anyway, we have to win and make it to the finals.\If we lose here...\So we can play with Komano again.\It will have all been for nothing.\You definitely can't lose.\Impassionate\Yes! response:	Can't lose this card!
context: Anyway, we have to win and make it to the finals.\If we lose here...\So we can play with Komano again.\It will have all been for nothing.\You definitely can't lose.\Impassionate\Yes!\Can't lose this card! response:	Got it!
context: If we lose here...\So we can play with Komano again.\It will have all been for nothing.\You definitely can't lose.\Impassionate\Yes!\Can't lose this card!\Got it! response:	Yes! We all-
context: So we can play with Komano again.\It will have all been for nothing.\You definitely can't lose.\Impassionate\Yes!\Can't lose this card!\Got it!\Yes! We all- response:	Held onto the Impassionate card!
context: It will have all been for nothing.\You definitely can't lose.\Impassionate\Yes!\Can't lose this card!\Got it!\Yes! We all-\Held onto the Impassionate card! response:	Nice job, Sano-senpai!
context: You definitely can't lose.\Impassionate\Yes!\Can't lose this card!\Got it!\Yes! We all-\Held onto the Impassionate card!\Nice job, Sano-senpai! response:	All right!
context: Impassionate\Yes!\Can't lose this card!\Got it!\Yes! We all-\Held onto the Impassionate card!\Nice job, Sano-senpai!\All right! response:	Ayase...
context: Yes!\Can't lose this card!\Got it!\Yes! We all-\Held onto the Impassionate card!\Nice job, Sano-senpai!\All right!\Ayase... response:	Chihaya-chan!
context: Can't lose this card!\Got it!\Yes! We all-\Held onto the Impassionate card!\Nice job, Sano-senpai!\All right!\Ayase...\Chihaya-chan! response:	the red that is the Tatsuta River
context: Got it!\Yes! We all-\Held onto the Impassionate card!\Nice job, Sano-senpai!\All right!\Ayase...\Chihaya-chan!\the red that is the Tatsuta River response:	The sound is...
context: Yes! We all-\Held onto the Impassionate card!\Nice job, Sano-senpai!\All right!\Ayase...\Chihaya-chan!\the red that is the Tatsuta River\The sound is... response:	so far away.
context: Held onto the Impassionate card!\Nice job, Sano-senpai!\All right!\Ayase...\Chihaya-chan!\the red that is the Tatsuta River\The sound is...\so far away. response:	Right! We're on a roll!
context: Nice job, Sano-senpai!\All right!\Ayase...\Chihaya-chan!\the red that is the Tatsuta River\The sound is...\so far away.\Right! We're on a roll! response:	Yes!
context: All right!\Ayase...\Chihaya-chan!\the red that is the Tatsuta River\The sound is...\so far away.\Right! We're on a roll!\Yes! response:	Tomihara West is always so loud.
context: Ayase...\Chihaya-chan!\the red that is the Tatsuta River\The sound is...\so far away.\Right! We're on a roll!\Yes!\Tomihara West is always so loud. response:	They're actually not that strong,
context: Chihaya-chan!\the red that is the Tatsuta River\The sound is...\so far away.\Right! We're on a roll!\Yes!\Tomihara West is always so loud.\They're actually not that strong, response:	but the yelling makes their movements crisper,
context: the red that is the Tatsuta River\The sound is...\so far away.\Right! We're on a roll!\Yes!\Tomihara West is always so loud.\They're actually not that strong,\but the yelling makes their movements crisper, response:	and it helps to intimidate their opponents.
context: The sound is...\so far away.\Right! We're on a roll!\Yes!\Tomihara West is always so loud.\They're actually not that strong,\but the yelling makes their movements crisper,\and it helps to intimidate their opponents. response:	There isn't a team that's stronger when they keep your mouths shut.
context: so far away.\Right! We're on a roll!\Yes!\Tomihara West is always so loud.\They're actually not that strong,\but the yelling makes their movements crisper,\and it helps to intimidate their opponents.\There isn't a team that's stronger when they keep your mouths shut. response:	1 retro, 2 retro, 3 retro, 4, 5...
context: Right! We're on a roll!\Yes!\Tomihara West is always so loud.\They're actually not that strong,\but the yelling makes their movements crisper,\and it helps to intimidate their opponents.\There isn't a team that's stronger when they keep your mouths shut.\1 retro, 2 retro, 3 retro, 4, 5... response:	Retro?
context: Yes!\Tomihara West is always so loud.\They're actually not that strong,\but the yelling makes their movements crisper,\and it helps to intimidate their opponents.\There isn't a team that's stronger when they keep your mouths shut.\1 retro, 2 retro, 3 retro, 4, 5...\Retro? response:	Retro, are you sitting out this round?
context: Tomihara West is always so loud.\They're actually not that strong,\but the yelling makes their movements crisper,\and it helps to intimidate their opponents.\There isn't a team that's stronger when they keep your mouths shut.\1 retro, 2 retro, 3 retro, 4, 5...\Retro?\Retro, are you sitting out this round? response:	Sudo-senpai.
context: They're actually not that strong,\but the yelling makes their movements crisper,\and it helps to intimidate their opponents.\There isn't a team that's stronger when they keep your mouths shut.\1 retro, 2 retro, 3 retro, 4, 5...\Retro?\Retro, are you sitting out this round?\Sudo-senpai. response:	What are you doing?
context: but the yelling makes their movements crisper,\and it helps to intimidate their opponents.\There isn't a team that's stronger when they keep your mouths shut.\1 retro, 2 retro, 3 retro, 4, 5...\Retro?\Retro, are you sitting out this round?\Sudo-senpai.\What are you doing? response:	These are like tarot cards, but they're retrot cards.
context: and it helps to intimidate their opponents.\There isn't a team that's stronger when they keep your mouths shut.\1 retro, 2 retro, 3 retro, 4, 5...\Retro?\Retro, are you sitting out this round?\Sudo-senpai.\What are you doing?\These are like tarot cards, but they're retrot cards. response:	I'm going to use these to divine our opponent's order.
context: There isn't a team that's stronger when they keep your mouths shut.\1 retro, 2 retro, 3 retro, 4, 5...\Retro?\Retro, are you sitting out this round?\Sudo-senpai.\What are you doing?\These are like tarot cards, but they're retrot cards.\I'm going to use these to divine our opponent's order. response:	What's scary is that you're right 80 of the time.
context: 1 retro, 2 retro, 3 retro, 4, 5...\Retro?\Retro, are you sitting out this round?\Sudo-senpai.\What are you doing?\These are like tarot cards, but they're retrot cards.\I'm going to use these to divine our opponent's order.\What's scary is that you're right 80 of the time. response:	It looks like we'll be facing Tomihara West in the finals,
context: Retro?\Retro, are you sitting out this round?\Sudo-senpai.\What are you doing?\These are like tarot cards, but they're retrot cards.\I'm going to use these to divine our opponent's order.\What's scary is that you're right 80 of the time.\It looks like we'll be facing Tomihara West in the finals, response:	so the order won't even matter.
context: Retro, are you sitting out this round?\Sudo-senpai.\What are you doing?\These are like tarot cards, but they're retrot cards.\I'm going to use these to divine our opponent's order.\What's scary is that you're right 80 of the time.\It looks like we'll be facing Tomihara West in the finals,\so the order won't even matter. response:	If Mizusawa wins, I want to face the girl with the long hair.
context: Sudo-senpai.\What are you doing?\These are like tarot cards, but they're retrot cards.\I'm going to use these to divine our opponent's order.\What's scary is that you're right 80 of the time.\It looks like we'll be facing Tomihara West in the finals,\so the order won't even matter.\If Mizusawa wins, I want to face the girl with the long hair. response:	Chihaya?
context: What are you doing?\These are like tarot cards, but they're retrot cards.\I'm going to use these to divine our opponent's order.\What's scary is that you're right 80 of the time.\It looks like we'll be facing Tomihara West in the finals,\so the order won't even matter.\If Mizusawa wins, I want to face the girl with the long hair.\Chihaya? response:	She has good instincts, but she's not that impressive otherwise.
context: These are like tarot cards, but they're retrot cards.\I'm going to use these to divine our opponent's order.\What's scary is that you're right 80 of the time.\It looks like we'll be facing Tomihara West in the finals,\so the order won't even matter.\If Mizusawa wins, I want to face the girl with the long hair.\Chihaya?\She has good instincts, but she's not that impressive otherwise. response:	She's no match for you.
context: I'm going to use these to divine our opponent's order.\What's scary is that you're right 80 of the time.\It looks like we'll be facing Tomihara West in the finals,\so the order won't even matter.\If Mizusawa wins, I want to face the girl with the long hair.\Chihaya?\She has good instincts, but she's not that impressive otherwise.\She's no match for you. response:	I like to toy with pretty girls.
context: What's scary is that you're right 80 of the time.\It looks like we'll be facing Tomihara West in the finals,\so the order won't even matter.\If Mizusawa wins, I want to face the girl with the long hair.\Chihaya?\She has good instincts, but she's not that impressive otherwise.\She's no match for you.\I like to toy with pretty girls. response:	The S in Sudo stands for sadist!
context: It looks like we'll be facing Tomihara West in the finals,\so the order won't even matter.\If Mizusawa wins, I want to face the girl with the long hair.\Chihaya?\She has good instincts, but she's not that impressive otherwise.\She's no match for you.\I like to toy with pretty girls.\The S in Sudo stands for sadist! response:	How are the semi-finals going?
context: so the order won't even matter.\If Mizusawa wins, I want to face the girl with the long hair.\Chihaya?\She has good instincts, but she's not that impressive otherwise.\She's no match for you.\I like to toy with pretty girls.\The S in Sudo stands for sadist!\How are the semi-finals going? response:	Mizusawa's getting dominated.
context: If Mizusawa wins, I want to face the girl with the long hair.\Chihaya?\She has good instincts, but she's not that impressive otherwise.\She's no match for you.\I like to toy with pretty girls.\The S in Sudo stands for sadist!\How are the semi-finals going?\Mizusawa's getting dominated. response:	Tomihara West is probably in the finals.
context: Chihaya?\She has good instincts, but she's not that impressive otherwise.\She's no match for you.\I like to toy with pretty girls.\The S in Sudo stands for sadist!\How are the semi-finals going?\Mizusawa's getting dominated.\Tomihara West is probably in the finals. response:	What about the cute girl from Mizusawa?
context: She has good instincts, but she's not that impressive otherwise.\She's no match for you.\I like to toy with pretty girls.\The S in Sudo stands for sadist!\How are the semi-finals going?\Mizusawa's getting dominated.\Tomihara West is probably in the finals.\What about the cute girl from Mizusawa? response:	She's not doing as well as she was in the group stage.
context: She's no match for you.\I like to toy with pretty girls.\The S in Sudo stands for sadist!\How are the semi-finals going?\Mizusawa's getting dominated.\Tomihara West is probably in the finals.\What about the cute girl from Mizusawa?\She's not doing as well as she was in the group stage. response:	Her opponent's got her number.
context: I like to toy with pretty girls.\The S in Sudo stands for sadist!\How are the semi-finals going?\Mizusawa's getting dominated.\Tomihara West is probably in the finals.\What about the cute girl from Mizusawa?\She's not doing as well as she was in the group stage.\Her opponent's got her number. response:	Something must have happened during lunch.
context: The S in Sudo stands for sadist!\How are the semi-finals going?\Mizusawa's getting dominated.\Tomihara West is probably in the finals.\What about the cute girl from Mizusawa?\She's not doing as well as she was in the group stage.\Her opponent's got her number.\Something must have happened during lunch. response:	Did their team have an argument?
context: How are the semi-finals going?\Mizusawa's getting dominated.\Tomihara West is probably in the finals.\What about the cute girl from Mizusawa?\She's not doing as well as she was in the group stage.\Her opponent's got her number.\Something must have happened during lunch.\Did their team have an argument? response:	This is their first year as a team.
context: Mizusawa's getting dominated.\Tomihara West is probably in the finals.\What about the cute girl from Mizusawa?\She's not doing as well as she was in the group stage.\Her opponent's got her number.\Something must have happened during lunch.\Did their team have an argument?\This is their first year as a team. response:	I guess they don't respect karuta.
context: Tomihara West is probably in the finals.\What about the cute girl from Mizusawa?\She's not doing as well as she was in the group stage.\Her opponent's got her number.\Something must have happened during lunch.\Did their team have an argument?\This is their first year as a team.\I guess they don't respect karuta. response:	Ayase won't lose!
context: What about the cute girl from Mizusawa?\She's not doing as well as she was in the group stage.\Her opponent's got her number.\Something must have happened during lunch.\Did their team have an argument?\This is their first year as a team.\I guess they don't respect karuta.\Ayase won't lose! response:	She's just getting started!
context: She's not doing as well as she was in the group stage.\Her opponent's got her number.\Something must have happened during lunch.\Did their team have an argument?\This is their first year as a team.\I guess they don't respect karuta.\Ayase won't lose!\She's just getting started! response:	What's with him?
context: Her opponent's got her number.\Something must have happened during lunch.\Did their team have an argument?\This is their first year as a team.\I guess they don't respect karuta.\Ayase won't lose!\She's just getting started!\What's with him? response:	Chihaya, one card at a time!
context: Something must have happened during lunch.\Did their team have an argument?\This is their first year as a team.\I guess they don't respect karuta.\Ayase won't lose!\She's just getting started!\What's with him?\Chihaya, one card at a time! response:	Pull yourself together!
context: Did their team have an argument?\This is their first year as a team.\I guess they don't respect karuta.\Ayase won't lose!\She's just getting started!\What's with him?\Chihaya, one card at a time!\Pull yourself together! response:	Uh, yeah.
context: This is their first year as a team.\I guess they don't respect karuta.\Ayase won't lose!\She's just getting started!\What's with him?\Chihaya, one card at a time!\Pull yourself together!\Uh, yeah. response:	It's no good.
context: I guess they don't respect karuta.\Ayase won't lose!\She's just getting started!\What's with him?\Chihaya, one card at a time!\Pull yourself together!\Uh, yeah.\It's no good. response:	She's not her normal self.
context: Ayase won't lose!\She's just getting started!\What's with him?\Chihaya, one card at a time!\Pull yourself together!\Uh, yeah.\It's no good.\She's not her normal self. response:	If I'm going to order people around,
context: She's just getting started!\What's with him?\Chihaya, one card at a time!\Pull yourself together!\Uh, yeah.\It's no good.\She's not her normal self.\If I'm going to order people around, response:	I need to pull myself together!
context: What's with him?\Chihaya, one card at a time!\Pull yourself together!\Uh, yeah.\It's no good.\She's not her normal self.\If I'm going to order people around,\I need to pull myself together! response:	My fear is that you will forget your promise to never forget me,
context: Chihaya, one card at a time!\Pull yourself together!\Uh, yeah.\It's no good.\She's not her normal self.\If I'm going to order people around,\I need to pull myself together!\My fear is that you will forget your promise to never forget me, response:	Right on!
context: Pull yourself together!\Uh, yeah.\It's no good.\She's not her normal self.\If I'm going to order people around,\I need to pull myself together!\My fear is that you will forget your promise to never forget me,\Right on! response:	Nice job, Sano-senpai!
context: Uh, yeah.\It's no good.\She's not her normal self.\If I'm going to order people around,\I need to pull myself together!\My fear is that you will forget your promise to never forget me,\Right on!\Nice job, Sano-senpai! response:	Six cards up!
context: It's no good.\She's not her normal self.\If I'm going to order people around,\I need to pull myself together!\My fear is that you will forget your promise to never forget me,\Right on!\Nice job, Sano-senpai!\Six cards up! response:	We can do this!
context: She's not her normal self.\If I'm going to order people around,\I need to pull myself together!\My fear is that you will forget your promise to never forget me,\Right on!\Nice job, Sano-senpai!\Six cards up!\We can do this! response:	What do I do?
context: If I'm going to order people around,\I need to pull myself together!\My fear is that you will forget your promise to never forget me,\Right on!\Nice job, Sano-senpai!\Six cards up!\We can do this!\What do I do? response:	How do I usually take cards?
context: I need to pull myself together!\My fear is that you will forget your promise to never forget me,\Right on!\Nice job, Sano-senpai!\Six cards up!\We can do this!\What do I do?\How do I usually take cards? response:	I can't remember!
context: My fear is that you will forget your promise to never forget me,\Right on!\Nice job, Sano-senpai!\Six cards up!\We can do this!\What do I do?\How do I usually take cards?\I can't remember! response:	May the scarlet kadsuras of Mount Afusaka live up to their name
context: Right on!\Nice job, Sano-senpai!\Six cards up!\We can do this!\What do I do?\How do I usually take cards?\I can't remember!\May the scarlet kadsuras of Mount Afusaka live up to their name response:	Excuse me.
context: Nice job, Sano-senpai!\Six cards up!\We can do this!\What do I do?\How do I usually take cards?\I can't remember!\May the scarlet kadsuras of Mount Afusaka live up to their name\Excuse me. response:	Nishida, win your match first.
context: Six cards up!\We can do this!\What do I do?\How do I usually take cards?\I can't remember!\May the scarlet kadsuras of Mount Afusaka live up to their name\Excuse me.\Nishida, win your match first. response:	Huh?
context: We can do this!\What do I do?\How do I usually take cards?\I can't remember!\May the scarlet kadsuras of Mount Afusaka live up to their name\Excuse me.\Nishida, win your match first.\Huh? response:	That'll make it easier on the rest of us.
context: What do I do?\How do I usually take cards?\I can't remember!\May the scarlet kadsuras of Mount Afusaka live up to their name\Excuse me.\Nishida, win your match first.\Huh?\That'll make it easier on the rest of us. response:	Oe-san's hanging in there!
context: How do I usually take cards?\I can't remember!\May the scarlet kadsuras of Mount Afusaka live up to their name\Excuse me.\Nishida, win your match first.\Huh?\That'll make it easier on the rest of us.\Oe-san's hanging in there! response:	I've never seen you play so well!
context: I can't remember!\May the scarlet kadsuras of Mount Afusaka live up to their name\Excuse me.\Nishida, win your match first.\Huh?\That'll make it easier on the rest of us.\Oe-san's hanging in there!\I've never seen you play so well! response:	You can win!
context: May the scarlet kadsuras of Mount Afusaka live up to their name\Excuse me.\Nishida, win your match first.\Huh?\That'll make it easier on the rest of us.\Oe-san's hanging in there!\I've never seen you play so well!\You can win! response:	Chihaya.
context: Excuse me.\Nishida, win your match first.\Huh?\That'll make it easier on the rest of us.\Oe-san's hanging in there!\I've never seen you play so well!\You can win!\Chihaya. response:	Huh?
context: Nishida, win your match first.\Huh?\That'll make it easier on the rest of us.\Oe-san's hanging in there!\I've never seen you play so well!\You can win!\Chihaya.\Huh? response:	You can win if you just breathe.
context: Huh?\That'll make it easier on the rest of us.\Oe-san's hanging in there!\I've never seen you play so well!\You can win!\Chihaya.\Huh?\You can win if you just breathe. response:	Breathe?
context: That'll make it easier on the rest of us.\Oe-san's hanging in there!\I've never seen you play so well!\You can win!\Chihaya.\Huh?\You can win if you just breathe.\Breathe? response:	So this is what my opponent looks like.
context: Oe-san's hanging in there!\I've never seen you play so well!\You can win!\Chihaya.\Huh?\You can win if you just breathe.\Breathe?\So this is what my opponent looks like. response:	She's been yelling the most.
context: I've never seen you play so well!\You can win!\Chihaya.\Huh?\You can win if you just breathe.\Breathe?\So this is what my opponent looks like.\She's been yelling the most. response:	Look at her sweat...
context: You can win!\Chihaya.\Huh?\You can win if you just breathe.\Breathe?\So this is what my opponent looks like.\She's been yelling the most.\Look at her sweat... response:	I have eight cards left.
context: Chihaya.\Huh?\You can win if you just breathe.\Breathe?\So this is what my opponent looks like.\She's been yelling the most.\Look at her sweat...\I have eight cards left. response:	She has two cards.
context: Huh?\You can win if you just breathe.\Breathe?\So this is what my opponent looks like.\She's been yelling the most.\Look at her sweat...\I have eight cards left.\She has two cards. response:	I'm losing pretty badly.
context: You can win if you just breathe.\Breathe?\So this is what my opponent looks like.\She's been yelling the most.\Look at her sweat...\I have eight cards left.\She has two cards.\I'm losing pretty badly. response:	Third! Heads up!
context: Breathe?\So this is what my opponent looks like.\She's been yelling the most.\Look at her sweat...\I have eight cards left.\She has two cards.\I'm losing pretty badly.\Third! Heads up! response:	and allow us this secret rendezvous
context: So this is what my opponent looks like.\She's been yelling the most.\Look at her sweat...\I have eight cards left.\She has two cards.\I'm losing pretty badly.\Third! Heads up!\and allow us this secret rendezvous response:	I can hear!
context: She's been yelling the most.\Look at her sweat...\I have eight cards left.\She has two cards.\I'm losing pretty badly.\Third! Heads up!\and allow us this secret rendezvous\I can hear! response:	When I must hide these burning feelings,
context: Look at her sweat...\I have eight cards left.\She has two cards.\I'm losing pretty badly.\Third! Heads up!\and allow us this secret rendezvous\I can hear!\When I must hide these burning feelings, response:	Yes!
context: I have eight cards left.\She has two cards.\I'm losing pretty badly.\Third! Heads up!\and allow us this secret rendezvous\I can hear!\When I must hide these burning feelings,\Yes! response:	Yeah!
context: She has two cards.\I'm losing pretty badly.\Third! Heads up!\and allow us this secret rendezvous\I can hear!\When I must hide these burning feelings,\Yes!\Yeah! response:	Nice!
context: I'm losing pretty badly.\Third! Heads up!\and allow us this secret rendezvous\I can hear!\When I must hide these burning feelings,\Yes!\Yeah!\Nice! response:	All right!
context: Third! Heads up!\and allow us this secret rendezvous\I can hear!\When I must hide these burning feelings,\Yes!\Yeah!\Nice!\All right! response:	Though I prayed to...
context: and allow us this secret rendezvous\I can hear!\When I must hide these burning feelings,\Yes!\Yeah!\Nice!\All right!\Though I prayed to... response:	Four cards down.
context: I can hear!\When I must hide these burning feelings,\Yes!\Yeah!\Nice!\All right!\Though I prayed to...\Four cards down. response:	She's on the attack since there isn't much risk of a fault.
context: When I must hide these burning feelings,\Yes!\Yeah!\Nice!\All right!\Though I prayed to...\Four cards down.\She's on the attack since there isn't much risk of a fault. response:	All of a sudden, she's incredibly good.
context: Yes!\Yeah!\Nice!\All right!\Though I prayed to...\Four cards down.\She's on the attack since there isn't much risk of a fault.\All of a sudden, she's incredibly good. response:	She must be a sadist.
context: Yeah!\Nice!\All right!\Though I prayed to...\Four cards down.\She's on the attack since there isn't much risk of a fault.\All of a sudden, she's incredibly good.\She must be a sadist. response:	Three cards down.
context: Nice!\All right!\Though I prayed to...\Four cards down.\She's on the attack since there isn't much risk of a fault.\All of a sudden, she's incredibly good.\She must be a sadist.\Three cards down. response:	Gust of wind leaves fall leaves falling
context: All right!\Though I prayed to...\Four cards down.\She's on the attack since there isn't much risk of a fault.\All of a sudden, she's incredibly good.\She must be a sadist.\Three cards down.\Gust of wind leaves fall leaves falling response:	Victory! Mizusawa's up one!
context: Though I prayed to...\Four cards down.\She's on the attack since there isn't much risk of a fault.\All of a sudden, she's incredibly good.\She must be a sadist.\Three cards down.\Gust of wind leaves fall leaves falling\Victory! Mizusawa's up one! response:	I also won! Mizusawa's up two!
context: Four cards down.\She's on the attack since there isn't much risk of a fault.\All of a sudden, she's incredibly good.\She must be a sadist.\Three cards down.\Gust of wind leaves fall leaves falling\Victory! Mizusawa's up one!\I also won! Mizusawa's up two! response:	Two cards down.
context: She's on the attack since there isn't much risk of a fault.\All of a sudden, she's incredibly good.\She must be a sadist.\Three cards down.\Gust of wind leaves fall leaves falling\Victory! Mizusawa's up one!\I also won! Mizusawa's up two!\Two cards down. response:	Since I could not hide my love,
context: All of a sudden, she's incredibly good.\She must be a sadist.\Three cards down.\Gust of wind leaves fall leaves falling\Victory! Mizusawa's up one!\I also won! Mizusawa's up two!\Two cards down.\Since I could not hide my love, response:	Tomihara West has two wins!
context: She must be a sadist.\Three cards down.\Gust of wind leaves fall leaves falling\Victory! Mizusawa's up one!\I also won! Mizusawa's up two!\Two cards down.\Since I could not hide my love,\Tomihara West has two wins! response:	She's still down a card.
context: Three cards down.\Gust of wind leaves fall leaves falling\Victory! Mizusawa's up one!\I also won! Mizusawa's up two!\Two cards down.\Since I could not hide my love,\Tomihara West has two wins!\She's still down a card. response:	She made up...
context: Gust of wind leaves fall leaves falling\Victory! Mizusawa's up one!\I also won! Mizusawa's up two!\Two cards down.\Since I could not hide my love,\Tomihara West has two wins!\She's still down a card.\She made up... response:	may the wind bring clouds to extend their stay
context: Victory! Mizusawa's up one!\I also won! Mizusawa's up two!\Two cards down.\Since I could not hide my love,\Tomihara West has two wins!\She's still down a card.\She made up...\may the wind bring clouds to extend their stay response:	a six card deficit!
context: I also won! Mizusawa's up two!\Two cards down.\Since I could not hide my love,\Tomihara West has two wins!\She's still down a card.\She made up...\may the wind bring clouds to extend their stay\a six card deficit! response:	You can do it, Ayase!
context: Two cards down.\Since I could not hide my love,\Tomihara West has two wins!\She's still down a card.\She made up...\may the wind bring clouds to extend their stay\a six card deficit!\You can do it, Ayase! response:	Mizusawa High School, three wins.
context: Since I could not hide my love,\Tomihara West has two wins!\She's still down a card.\She made up...\may the wind bring clouds to extend their stay\a six card deficit!\You can do it, Ayase!\Mizusawa High School, three wins. response:	Tomihara West High School, two wins.
context: Tomihara West has two wins!\She's still down a card.\She made up...\may the wind bring clouds to extend their stay\a six card deficit!\You can do it, Ayase!\Mizusawa High School, three wins.\Tomihara West High School, two wins. response:	Mizusawa High School wins the match.
context: She's still down a card.\She made up...\may the wind bring clouds to extend their stay\a six card deficit!\You can do it, Ayase!\Mizusawa High School, three wins.\Tomihara West High School, two wins.\Mizusawa High School wins the match. response:	Thank you very much!
context: She made up...\may the wind bring clouds to extend their stay\a six card deficit!\You can do it, Ayase!\Mizusawa High School, three wins.\Tomihara West High School, two wins.\Mizusawa High School wins the match.\Thank you very much! response:	She's asleep.
context: may the wind bring clouds to extend their stay\a six card deficit!\You can do it, Ayase!\Mizusawa High School, three wins.\Tomihara West High School, two wins.\Mizusawa High School wins the match.\Thank you very much!\She's asleep. response:	Again?
context: a six card deficit!\You can do it, Ayase!\Mizusawa High School, three wins.\Tomihara West High School, two wins.\Mizusawa High School wins the match.\Thank you very much!\She's asleep.\Again? response:	Oh! Kana-chan?!
context: You can do it, Ayase!\Mizusawa High School, three wins.\Tomihara West High School, two wins.\Mizusawa High School wins the match.\Thank you very much!\She's asleep.\Again?\Oh! Kana-chan?! response:	Desktomu-kun!
context: Mizusawa High School, three wins.\Tomihara West High School, two wins.\Mizusawa High School wins the match.\Thank you very much!\She's asleep.\Again?\Oh! Kana-chan?!\Desktomu-kun! response:	I won't let you run away, Desktomu-kun!
context: Tomihara West High School, two wins.\Mizusawa High School wins the match.\Thank you very much!\She's asleep.\Again?\Oh! Kana-chan?!\Desktomu-kun!\I won't let you run away, Desktomu-kun! response:	Why did you loosen your obi?
context: Mizusawa High School wins the match.\Thank you very much!\She's asleep.\Again?\Oh! Kana-chan?!\Desktomu-kun!\I won't let you run away, Desktomu-kun!\Why did you loosen your obi? response:	I'll fix it for you, so stand up straight!
context: Thank you very much!\She's asleep.\Again?\Oh! Kana-chan?!\Desktomu-kun!\I won't let you run away, Desktomu-kun!\Why did you loosen your obi?\I'll fix it for you, so stand up straight! response:	Have you noticed?
context: She's asleep.\Again?\Oh! Kana-chan?!\Desktomu-kun!\I won't let you run away, Desktomu-kun!\Why did you loosen your obi?\I'll fix it for you, so stand up straight!\Have you noticed? response:	Huh?
